Orthogroup	ASTE.longest_only	HILL.longest_only
OG0000935	LOC118508431|XP_035904105.1|ASTE, LOC118507553|XP_035902028.1|ASTE	LOC119652079|XP_037911945.1|HILL
OG0000936	LOC118512980|XP_035914130.1|ASTE	LOC119658888|XP_037922606.1|HILL
OG0000938	LOC118508148|XP_035903581.1|ASTE	LOC119657122|XP_037919814.1|HILL
OG0000939	LOC118513339|XP_035914854.1|ASTE	LOC119661716|XP_037927099.1|HILL
OG0000940	LOC118504529|XP_035894966.1|ASTE	LOC119656570|XP_037918885.1|HILL
OG0000942	LOC118504770|XP_035895593.1|ASTE	LOC119648309|XP_037905916.1|HILL
OG0000943	LOC118512854|XP_035913820.1|ASTE	LOC119661204|XP_037926354.1|HILL, LOC119661205|XP_037926357.1|HILL
OG0000944	LOC118509354|XP_035905765.1|ASTE	LOC119660771|XP_037925462.1|HILL
OG0000945	LOC118509858|XP_035906959.1|ASTE	LOC119661753|XP_037927151.1|HILL
OG0000946	LOC118510015|XP_035907295.1|ASTE	LOC119661708|XP_037927089.1|HILL
OG0000946	LOC118510035|XP_035907316.1|ASTE, LOC118512577|XP_035913093.1|ASTE	LOC119661296|XP_037926510.1|HILL
OG0000947	LOC118513802|XP_035915895.1|ASTE, LOC118513803|XP_035915898.1|ASTE, LOC118513801|XP_035915893.1|ASTE, LOC118513800|XP_035915891.1|ASTE	LOC119659221|XP_037923125.1|HILL
OG0000948	LOC118507585|XP_035902140.1|ASTE	LOC119650053|XP_037908470.1|HILL
OG0000949	LOC118504586|XP_035895128.1|ASTE, LOC118504585|XP_035895126.1|ASTE	LOC119655964|XP_037918123.1|HILL
OG0000950	LOC118505342|XP_035896892.1|ASTE	LOC119656859|XP_037919440.1|HILL
OG0000951	LOC118505491|XP_035897238.1|ASTE	LOC119660211|XP_037924573.1|HILL
OG0000952	LOC118514194|XP_035916776.1|ASTE, LOC118508446|XP_035904135.1|ASTE	LOC119647108|XP_037903814.1|HILL
OG0000963	LOC118516900|XP_035918640.1|ASTE	LOC119654346|XP_037915614.1|HILL, LOC119655736|XP_037917714.1|HILL, LOC119658493|XP_037921884.1|HILL, LOC119658308|XP_037921548.1|HILL, LOC119646871|XP_037903426.1|HILL, LOC119646573|XP_037902991.1|HILL, LOC119658492|XP_037921883.1|HILL, LOC119657269|XP_037920030.1|HILL
OG0000964	LOC118508300|XP_035903846.1|ASTE	LOC119660339|XP_037924753.1|HILL
OG0000965	LOC118508969|XP_035904831.1|ASTE	LOC119657119|XP_037919807.1|HILL
OG0000966	LOC118516206|XP_035918003.1|ASTE	LOC119659817|XP_037924028.1|HILL
OG0000968	LOC118514249|XP_035916854.1|ASTE	LOC119650278|XP_037908831.1|HILL, LOC119648563|XP_037906261.1|HILL, LOC119648564|XP_037906262.1|HILL, LOC119648565|XP_037906263.1|HILL, LOC119649022|XP_037906905.1|HILL, LOC119650083|XP_037908515.1|HILL, LOC119649837|XP_037908109.1|HILL, LOC119650193|XP_037908687.1|HILL
OG0000969	LOC118511848|XP_035911286.1|ASTE	LOC119655293|XP_037917046.1|HILL
OG0000970	LOC118511626|XP_035910826.1|ASTE	LOC119660558|XP_037925126.1|HILL
OG0000971	LOC118514114|XP_035916583.1|ASTE, LOC118514113|XP_035916582.1|ASTE, LOC118514112|XP_035916581.1|ASTE, LOC118512504|XP_035912908.1|ASTE	LOC119646696|XP_037903188.1|HILL
OG0000972	LOC118513280|XP_035914739.1|ASTE	LOC119655462|XP_037917295.1|HILL
OG0000975	LOC118502571|XP_035890786.1|ASTE	LOC119659274|XP_037923207.1|HILL
OG0000976	LOC118508385|XP_035904016.1|ASTE	LOC119659502|XP_037923556.1|HILL
OG0000977	LOC118510938|XP_035909267.1|ASTE	LOC119658812|XP_037922463.1|HILL
OG0000978	LOC118508060|XP_035903408.1|ASTE	LOC119659555|XP_037923632.1|HILL
OG0000988	LOC118511282|XP_035910069.1|ASTE	LOC119656493|XP_037918752.1|HILL
OG0000990	LOC118517440|XP_035919462.1|ASTE	LOC119658075|XP_037921263.1|HILL
OG0000991	LOC118512066|XP_035911834.1|ASTE	LOC119656681|XP_037919092.1|HILL
OG0000992	LOC118505427|XP_035897082.1|ASTE	LOC119646600|XP_037903022.1|HILL
OG0000994	LOC118504833|XP_035895730.1|ASTE	LOC119658292|XP_037921515.1|HILL
OG0000995	LOC118512963|XP_035914082.1|ASTE	LOC119658915|XP_037922663.1|HILL
OG0000996	LOC118512440|XP_035912794.1|ASTE	LOC119646992|XP_037903636.1|HILL
OG0000997	LOC118509566|XP_035906219.1|ASTE, LOC118516428|XP_035918192.1|ASTE	LOC119661765|XP_037927163.1|HILL
OG0000998	LOC118511296|XP_035910096.1|ASTE	LOC119647895|XP_037905126.1|HILL, LOC119647894|XP_037905121.1|HILL
OG0000999	LOC118509774|XP_035906806.1|ASTE	LOC119653389|XP_037913868.1|HILL
OG0001000	LOC118511145|XP_035909767.1|ASTE, LOC118509974|XP_035907247.1|ASTE, LOC118512285|XP_035912401.1|ASTE, LOC118509969|XP_035907241.1|ASTE, LOC118509975|XP_035907248.1|ASTE, LOC118509966|XP_035907237.1|ASTE, LOC118509968|XP_035907240.1|ASTE, LOC118509967|XP_035907239.1|ASTE, LOC118509971|XP_035907243.1|ASTE, LOC118509965|XP_035907236.1|ASTE, LOC118509973|XP_035907245.1|ASTE, LOC118509116|XP_035905180.1|ASTE, LOC118512274|XP_035912356.1|ASTE, LOC118509970|XP_035907242.1|ASTE, LOC118509972|XP_035907244.1|ASTE, LOC118513578|XP_035915419.1|ASTE	LOC119661572|XP_037926898.1|HILL
OG0001001	LOC118514530|XP_035917404.1|ASTE, LOC118514517|XP_035917374.1|ASTE, LOC118514520|XP_035917383.1|ASTE, LOC118513457|XP_035915118.1|ASTE	LOC119661125|XP_037926250.1|HILL
OG0001002	LOC118514655|XP_035917581.1|ASTE	LOC119654243|XP_037915413.1|HILL
OG0001003	LOC118506710|XP_035900094.1|ASTE	LOC119658682|XP_037922174.1|HILL
OG0001004	LOC118503620|XP_035892998.1|ASTE	LOC119660421|XP_037924896.1|HILL
OG0001005	LOC118502561|XP_035890772.1|ASTE	LOC119653619|XP_037914316.1|HILL
OG0001006	LOC118517610|XP_035919799.1|ASTE	LOC119649453|XP_037907535.1|HILL
OG0001007	LOC118505393|XP_035896998.1|ASTE	LOC119656271|XP_037918622.1|HILL
OG0001008	LOC118504118|XP_035894102.1|ASTE	LOC119655408|XP_037917219.1|HILL
OG0001009	LOC118510858|XP_035909084.1|ASTE	LOC119656127|XP_037918388.1|HILL
OG0001019	LOC118517381|XP_035919300.1|ASTE, LOC118505301|XP_035896815.1|ASTE	LOC119657389|XP_037920202.1|HILL
OG0001020	LOC118517494|XP_035919584.1|ASTE, LOC118503895|XP_035893572.1|ASTE	LOC119657985|XP_037921129.1|HILL, LOC119657205|XP_037919940.1|HILL, LOC119657634|XP_037920567.1|HILL
OG0001021	LOC118504539|XP_035895002.1|ASTE	LOC119651094|XP_037910375.1|HILL
OG0001022	LOC118510698|XP_035908784.1|ASTE, LOC118510644|XP_035908633.1|ASTE	LOC119658389|XP_037921700.1|HILL
OG0001024	LOC118504718|XP_035895454.1|ASTE, LOC118512037|XP_035911727.1|ASTE	LOC119659862|XP_037924098.1|HILL, LOC119660009|XP_037924314.1|HILL
OG0001025	LOC118512141|XP_035912055.1|ASTE	LOC119649739|XP_037907949.1|HILL
OG0001026	LOC118511256|XP_035910013.1|ASTE, LOC118512733|XP_035913488.1|ASTE	LOC119655498|XP_037917331.1|HILL
OG0001027	LOC118514172|XP_035916730.1|ASTE, LOC118514174|XP_035916735.1|ASTE	LOC119648947|XP_037906790.1|HILL, LOC119647827|XP_037904993.1|HILL
OG0001028	LOC118509366|XP_035905783.1|ASTE	LOC119649985|XP_037908355.1|HILL
OG0001029	LOC118506615|XP_035899873.1|ASTE	LOC119648440|XP_037906122.1|HILL
OG0001031	LOC118513594|XP_035915474.1|ASTE	LOC119650960|XP_037910134.1|HILL
OG0001032	LOC118502553|XP_035890742.1|ASTE	LOC119653033|XP_037913407.1|HILL
OG0001033	LOC118507110|XP_035901005.1|ASTE	LOC119656017|XP_037918195.1|HILL
OG0001042	LOC118512102|XP_035911999.1|ASTE, LOC118512341|XP_035912566.1|ASTE, LOC118507381|XP_035901719.1|ASTE, LOC118512064|XP_035911870.1|ASTE	LOC119646639|XP_037903080.1|HILL
OG0001043	LOC118505866|XP_035898174.1|ASTE	LOC119658007|XP_037921157.1|HILL, LOC119657881|XP_037920940.1|HILL, LOC119657268|XP_037920029.1|HILL
OG0001044	LOC118513170|XP_035914510.1|ASTE	LOC119647224|XP_037903984.1|HILL
OG0001045	LOC118507906|XP_035903057.1|ASTE	LOC119652268|XP_037912181.1|HILL
OG0001046	LOC118506997|XP_035900775.1|ASTE	LOC119654795|XP_037916272.1|HILL
OG0001047	LOC118513825|XP_035915954.1|ASTE	LOC119657541|XP_037920411.1|HILL
OG0001048	LOC118508135|XP_035903535.1|ASTE, LOC118513731|XP_035915777.1|ASTE	LOC119647179|XP_037903915.1|HILL
OG0001049	LOC118510290|XP_035907799.1|ASTE	LOC119647474|XP_037904341.1|HILL
OG0001050	LOC118514219|XP_035916809.1|ASTE	LOC119647631|XP_037904616.1|HILL
OG0001051	LOC118510039|XP_035907319.1|ASTE	LOC119652144|XP_037912013.1|HILL, LOC119652142|XP_037912011.1|HILL, LOC119652143|XP_037912012.1|HILL
OG0001051	LOC118509235|XP_035905437.1|ASTE	LOC119649498|XP_037907593.1|HILL
OG0001052	LOC118513249|XP_035914703.1|ASTE	LOC119646181|XP_037902491.1|HILL
OG0001053	LOC118506573|XP_035899808.1|ASTE	LOC119655659|XP_037917572.1|HILL
OG0001054	LOC118508364|XP_035903978.1|ASTE	LOC119660306|XP_037924708.1|HILL
OG0001056	LOC118505006|XP_035896088.1|ASTE	LOC119655097|XP_037916740.1|HILL
OG0001057	LOC118507569|XP_035902085.1|ASTE	LOC119653748|XP_037914605.1|HILL
OG0001058	LOC118505311|XP_035896842.1|ASTE	LOC119653471|XP_037914017.1|HILL
OG0001059	LOC118503881|XP_035893529.1|ASTE	LOC119647686|XP_037904696.1|HILL
OG0001072	LOC118517493|XP_035919583.1|ASTE	LOC119653742|XP_037914594.1|HILL
OG0001073	LOC118504199|XP_035894705.1|ASTE	LOC119656558|XP_037918865.1|HILL, LOC119656559|XP_037918867.1|HILL, LOC119656562|XP_037918871.1|HILL, LOC119656561|XP_037918870.1|HILL, LOC119656557|XP_037918863.1|HILL
OG0001074	LOC118517447|XP_035919482.1|ASTE	LOC119661284|XP_037926525.1|HILL
OG0001074	LOC118503056|XP_035891814.1|ASTE	LOC119653482|XP_037914037.1|HILL, LOC119653483|XP_037914038.1|HILL
OG0001075	LOC118504760|XP_035895580.1|ASTE	LOC119653121|XP_037913575.1|HILL, LOC119655936|XP_037918051.1|HILL
OG0001077	LOC118507855|XP_035902882.1|ASTE	LOC119658889|XP_037922615.1|HILL
OG0001078	LOC118516377|XP_035918121.1|ASTE, LOC118512764|XP_035913554.1|ASTE	LOC119647701|XP_037904714.1|HILL
OG0001079	LOC118517005|XP_035918738.1|ASTE, LOC118508917|XP_035904672.1|ASTE	LOC119650348|XP_037908950.1|HILL
OG0001080	LOC118512188|XP_035912172.1|ASTE	LOC119650340|XP_037908935.1|HILL
OG0001081	LOC118512185|XP_035912169.1|ASTE, LOC118510555|XP_035908430.1|ASTE	LOC119654600|XP_037915997.1|HILL
OG0001082	LOC118509103|XP_035905157.1|ASTE, LOC118509102|XP_035905155.1|ASTE	LOC119658666|XP_037922151.1|HILL
OG0001083	LOC118514263|XP_035916872.1|ASTE	LOC119648140|XP_037905614.1|HILL
OG0001084	LOC118507701|XP_035902459.1|ASTE	LOC119658838|XP_037922509.1|HILL
OG0001085	LOC118509491|XP_035906039.1|ASTE	LOC119661259|XP_037926439.1|HILL
OG0001086	LOC118512796|XP_035913612.1|ASTE	LOC119654908|XP_037916469.1|HILL
OG0001087	LOC118509622|XP_035906371.1|ASTE	LOC119661246|XP_037926413.1|HILL
OG0001088	LOC118509035|XP_035904967.1|ASTE	LOC119647748|XP_037904795.1|HILL
OG0001089	LOC118512918|XP_035913960.1|ASTE	LOC119649506|XP_037907604.1|HILL
OG0001090	LOC118510579|XP_035908464.1|ASTE, LOC118514620|XP_035917510.1|ASTE, LOC118514621|XP_035917512.1|ASTE	LOC119650125|XP_037908578.1|HILL
OG0001091	LOC118513159|XP_035914499.1|ASTE, LOC118513162|XP_035914502.1|ASTE, LOC118514468|XP_035917286.1|ASTE, LOC118513160|XP_035914501.1|ASTE	LOC119648589|XP_037906287.1|HILL, LOC119650284|XP_037908839.1|HILL, LOC119650359|XP_037908974.1|HILL, LOC119649844|XP_037908117.1|HILL, LOC119648299|XP_037905885.1|HILL
OG0001092	LOC118514559|XP_035917442.1|ASTE	LOC119651442|XP_037910974.1|HILL
OG0001093	LOC118513542|XP_035915309.1|ASTE	LOC119651291|XP_037910736.1|HILL, LOC119652250|XP_037912158.1|HILL
OG0001094	LOC118513664|XP_035915652.1|ASTE	LOC119653073|XP_037913485.1|HILL
OG0001095	LOC118511712|XP_035911027.1|ASTE, LOC118511713|XP_035911028.1|ASTE, LOC118511711|XP_035911025.1|ASTE, LOC118511710|XP_035911024.1|ASTE	LOC119651165|XP_037910511.1|HILL
OG0001096	LOC118514009|XP_035916369.1|ASTE, LOC118510061|XP_035907344.1|ASTE	LOC119654769|XP_037916238.1|HILL, LOC119655109|XP_037916759.1|HILL
OG0001097	LOC118513278|XP_035914737.1|ASTE	LOC119661406|XP_037926663.1|HILL
OG0001099	LOC118504634|XP_035895252.1|ASTE	LOC119649218|XP_037907205.1|HILL, LOC119648717|XP_037906453.1|HILL, LOC119649369|XP_037907413.1|HILL
OG0001100	LOC118503634|XP_035893024.1|ASTE	LOC119655645|XP_037917552.1|HILL
OG0001101	LOC118507368|XP_035901679.1|ASTE	LOC119656262|XP_037918608.1|HILL
OG0001102	LOC118504079|XP_035894038.1|ASTE	LOC119647913|XP_037905163.1|HILL
OG0001103	LOC118516558|XP_035918409.1|ASTE, LOC118503233|XP_035892133.1|ASTE, LOC118516551|XP_035918390.1|ASTE, LOC118503234|XP_035892134.1|ASTE, LOC118511884|XP_035911404.1|ASTE, LOC118511885|XP_035911405.1|ASTE	LOC119651483|XP_037911022.1|HILL
OG0001104	LOC118504208|XP_035894289.1|ASTE	LOC119654690|XP_037916128.1|HILL
OG0001105	LOC118504854|XP_035895762.1|ASTE	LOC119654540|XP_037915913.1|HILL
OG0001106	LOC118503338|XP_035892396.1|ASTE, LOC118503340|XP_035892398.1|ASTE	LOC119660910|XP_037925785.1|HILL
OG0001118	LOC118511364|XP_035910219.1|ASTE, LOC118516339|XP_035918043.1|ASTE	LOC119658022|XP_037921179.1|HILL
OG0001119	LOC118508166|XP_035903605.1|ASTE, LOC118502857|XP_035891459.1|ASTE	LOC119658275|XP_037921494.1|HILL
OG0001120	LOC118502829|XP_035891396.1|ASTE, LOC118502865|XP_035891466.1|ASTE	LOC119651250|XP_037910659.1|HILL
OG0001121	LOC118517291|XP_035919169.1|ASTE	LOC119647714|XP_037904737.1|HILL
OG0001122	LOC118510077|XP_035907374.1|ASTE	LOC119650129|XP_037908586.1|HILL
OG0001124	LOC118512134|XP_035912037.1|ASTE	LOC119661581|XP_037926908.1|HILL, LOC119653509|XP_037914097.1|HILL
OG0001125	LOC118514381|XP_035917148.1|ASTE, LOC118514384|XP_035917155.1|ASTE	LOC119648754|XP_037906506.1|HILL
OG0001126	LOC118514360|XP_035917078.1|ASTE	LOC119650445|XP_037909228.1|HILL
OG0001127	LOC118509592|XP_035906265.1|ASTE, LOC118504020|XP_035893881.1|ASTE	LOC119648123|XP_037905573.1|HILL, LOC119647815|XP_037904971.1|HILL, LOC119647572|XP_037904500.1|HILL, LOC119647816|XP_037904972.1|HILL, LOC119647817|XP_037904973.1|HILL, LOC119647820|XP_037904978.1|HILL
OG0001128	LOC118509705|XP_035906679.1|ASTE, LOC118512546|XP_035913014.1|ASTE	LOC119660463|XP_037924958.1|HILL
OG0001129	LOC118511039|XP_035909525.1|ASTE	LOC119650885|XP_037909986.1|HILL
OG0001130	LOC118511149|XP_035909769.1|ASTE	LOC119653058|XP_037913465.1|HILL
OG0001131	LOC118513997|XP_035916323.1|ASTE, LOC118513994|XP_035916315.1|ASTE, LOC118513993|XP_035916314.1|ASTE	LOC119660936|XP_037925859.1|HILL
OG0001133	LOC118513755|XP_035915813.1|ASTE	LOC119647256|XP_037904063.1|HILL
OG0001134	LOC118502438|XP_035890559.1|ASTE	LOC119656169|XP_037918443.1|HILL, LOC119656168|XP_037918442.1|HILL, LOC119655305|XP_037917062.1|HILL, LOC119654050|XP_037915138.1|HILL, LOC119654064|XP_037915156.1|HILL, LOC119653774|XP_037914701.1|HILL
OG0001135	LOC118517104|XP_035918855.1|ASTE, LOC118503680|XP_035893115.1|ASTE	LOC119654839|XP_037916342.1|HILL
OG0001135	LOC118506668|XP_035899997.1|ASTE	LOC119654481|XP_037915830.1|HILL
OG0001136	LOC118502679|XP_035891077.1|ASTE	LOC119660441|XP_037924921.1|HILL
OG0001137	LOC118507713|XP_035902501.1|ASTE	LOC119659607|XP_037923706.1|HILL, LOC119659962|XP_037924244.1|HILL, LOC119659283|XP_037923219.1|HILL, LOC119659485|XP_037923526.1|HILL, LOC119659510|XP_037923568.1|HILL, LOC119659576|XP_037923661.1|HILL, LOC119659818|XP_037924029.1|HILL, LOC119659917|XP_037924170.1|HILL, LOC119660171|XP_037924505.1|HILL, LOC119659452|XP_037923465.1|HILL, LOC119659493|XP_037923539.1|HILL, LOC119659623|XP_037923751.1|HILL, LOC119659635|XP_037923762.1|HILL
OG0001138	LOC118509208|XP_035905374.1|ASTE	LOC119655094|XP_037916728.1|HILL
OG0001139	LOC118512386|XP_035912651.1|ASTE	LOC119647597|XP_037904547.1|HILL
OG0001153	LOC118508003|XP_035903270.1|ASTE	LOC119660793|XP_037925528.1|HILL
OG0001154	LOC118512659|XP_035913299.1|ASTE	LOC119651636|XP_037911228.1|HILL
OG0001155	LOC118504144|XP_035894135.1|ASTE, LOC118506049|XP_035898576.1|ASTE	LOC119656861|XP_037919444.1|HILL
OG0001156	LOC118509746|XP_035906769.1|ASTE	LOC119650793|XP_037909853.1|HILL, LOC119650795|XP_037909857.1|HILL
OG0001156	LOC118509743|XP_035906767.1|ASTE, LOC118507462|XP_035901848.1|ASTE	LOC119650794|XP_037909856.1|HILL
OG0001157	LOC118506530|XP_035899687.1|ASTE	LOC119660564|XP_037925135.1|HILL
OG0001157	LOC118504721|XP_035895504.1|ASTE	LOC119651295|XP_037910744.1|HILL
OG0001158	LOC118508287|XP_035903820.1|ASTE	LOC119660397|XP_037924862.1|HILL
OG0001158	LOC118509830|XP_035906897.1|ASTE	LOC119657603|XP_037920533.1|HILL
OG0001160	LOC118506788|XP_035900298.1|ASTE	LOC119653171|XP_037913646.1|HILL
OG0001161	LOC118506803|XP_035900336.1|ASTE	LOC119650746|XP_037909750.1|HILL
OG0001162	LOC118505144|XP_035896396.1|ASTE	LOC119658310|XP_037921547.1|HILL
OG0001163	LOC118507505|XP_035901931.1|ASTE	LOC119650564|XP_037909297.1|HILL
OG0001164	LOC118504965|XP_035895980.1|ASTE, LOC118505092|XP_035896283.1|ASTE, LOC118504966|XP_035895982.1|ASTE	LOC119651647|XP_037911251.1|HILL
OG0001165	LOC118507467|XP_035901855.1|ASTE	LOC119657120|XP_037919808.1|HILL, LOC119657495|XP_037920353.1|HILL
OG0001166	LOC118510245|XP_035907708.1|ASTE	LOC119649162|XP_037907104.1|HILL
OG0001167	LOC118517289|XP_035919161.1|ASTE, LOC118513604|XP_035915534.1|ASTE	LOC119646574|XP_037902992.1|HILL
OG0001168	LOC118509897|XP_035907038.1|ASTE	LOC119655740|XP_037917721.1|HILL
OG0001169	LOC118509719|XP_035906701.1|ASTE	LOC119658036|XP_037921197.1|HILL
OG0001170	LOC118507819|XP_035902790.1|ASTE	LOC119659790|XP_037923985.1|HILL
OG0001171	LOC118512251|XP_035912287.1|ASTE, LOC118517164|XP_035918942.1|ASTE	LOC119650467|XP_037909262.1|HILL
OG0001172	LOC118514628|XP_035917519.1|ASTE, LOC118509860|XP_035906961.1|ASTE	LOC119661407|XP_037926664.1|HILL
OG0001173	LOC118503022|XP_035891739.1|ASTE, LOC118512345|XP_035912525.1|ASTE	LOC119660364|XP_037924800.1|HILL, LOC119658996|XP_037922805.1|HILL
OG0001174	LOC118510344|XP_035907928.1|ASTE	LOC119647791|XP_037904916.1|HILL
OG0001175	LOC118506996|XP_035900774.1|ASTE	LOC119654794|XP_037916271.1|HILL
OG0001176	LOC118513904|XP_035916123.1|ASTE, LOC118513896|XP_035916106.1|ASTE, LOC118513895|XP_035916105.1|ASTE	LOC119655006|XP_037916605.1|HILL
OG0001178	LOC118514302|XP_035916975.1|ASTE	LOC119646835|XP_037903380.1|HILL
OG0001178	LOC118511785|XP_035911195.1|ASTE	LOC119661423|XP_037926694.1|HILL
OG0001179	LOC118512602|XP_035913151.1|ASTE	LOC119646342|XP_037902696.1|HILL
OG0001180	LOC118510715|XP_035908811.1|ASTE	LOC119660988|XP_037926002.1|HILL
OG0001181	LOC118505739|XP_035897822.1|ASTE	LOC119648244|XP_037905804.1|HILL
OG0001182	LOC118507133|XP_035901055.1|ASTE, LOC118507129|XP_035901039.1|ASTE, LOC118507131|XP_035901049.1|ASTE	LOC119659498|XP_037923550.1|HILL, LOC119659994|XP_037924297.1|HILL
OG0001183	LOC118506509|XP_035899620.1|ASTE, LOC118506511|XP_035899628.1|ASTE	LOC119660414|XP_037924881.1|HILL
OG0001184	LOC118506246|XP_035899010.1|ASTE	LOC119659017|XP_037922836.1|HILL
OG0001185	LOC118507718|XP_035902509.1|ASTE	LOC119658701|XP_037922219.1|HILL
OG0001186	LOC118506012|XP_035898491.1|ASTE	LOC119659434|XP_037923445.1|HILL
OG0001187	LOC118504060|XP_035893987.1|ASTE, LOC118504073|XP_035894019.1|ASTE	LOC119656116|XP_037918366.1|HILL
OG0001188	LOC118507751|XP_035902650.1|ASTE, LOC118503704|XP_035893160.1|ASTE	LOC119653813|XP_037914766.1|HILL
OG0001189	LOC118506041|XP_035898563.1|ASTE, LOC118516408|XP_035918164.1|ASTE, LOC118505894|XP_035898241.1|ASTE, LOC118516472|XP_035918283.1|ASTE	LOC119654676|XP_037916107.1|HILL
OG0001190	LOC118508563|XP_035904355.1|ASTE, LOC118508561|XP_035904352.1|ASTE	LOC119655814|XP_037917847.1|HILL, LOC119655837|XP_037917871.1|HILL, LOC119655662|XP_037917574.1|HILL
OG0001191	LOC118508197|XP_035903654.1|ASTE, LOC118508190|XP_035903644.1|ASTE	LOC119654289|XP_037915506.1|HILL
OG0001192	LOC118507442|XP_035901817.1|ASTE	LOC119659428|XP_037923436.1|HILL, LOC119659358|XP_037923338.1|HILL, LOC119649057|XP_037906966.1|HILL, LOC119659885|XP_037924131.1|HILL
OG0001193	LOC118506106|XP_035898685.1|ASTE	LOC119654818|XP_037916306.1|HILL
OG0001194	LOC118505981|XP_035898435.1|ASTE	LOC119648370|XP_037906025.1|HILL
OG0001195	LOC118517297|XP_035919177.1|ASTE, LOC118517296|XP_035919175.1|ASTE, LOC118503111|XP_035891943.1|ASTE	LOC119654582|XP_037915969.1|HILL
OG0001200	LOC118502866|XP_035891470.1|ASTE	LOC119657294|XP_037920068.1|HILL
OG0001201	LOC118507003|XP_035900789.1|ASTE	LOC119659691|XP_037923872.1|HILL, LOC119660477|XP_037924996.1|HILL, LOC119660451|XP_037924938.1|HILL
OG0001202	LOC118517404|XP_035919371.1|ASTE	LOC119658232|XP_037921438.1|HILL
OG0001203	LOC118509632|XP_035906421.1|ASTE	LOC119660998|XP_037926022.1|HILL
OG0001203	LOC118509691|XP_035906644.1|ASTE	LOC119660891|XP_037925745.1|HILL
OG0001204	LOC118516568|XP_035918429.1|ASTE	LOC119657884|XP_037920948.1|HILL
OG0001205	LOC118515886|XP_035917968.1|ASTE	LOC119657124|XP_037919816.1|HILL
OG0001205	LOC118517643|XP_035919856.1|ASTE	LOC119654814|XP_037916298.1|HILL
OG0001206	LOC118507373|XP_035901708.1|ASTE, LOC118510114|XP_035907474.1|ASTE	LOC119652245|XP_037912149.1|HILL
OG0001207	LOC118517362|XP_035919272.1|ASTE, LOC118512174|XP_035912154.1|ASTE	LOC119658299|XP_037921525.1|HILL
OG0001208	LOC118510473|XP_035908233.1|ASTE	LOC119653056|XP_037913463.1|HILL
OG0001208	LOC118508317|XP_035903879.1|ASTE	LOC119646175|XP_037902484.1|HILL
OG0001208	LOC118505348|XP_035897352.1|ASTE	LOC119657034|XP_037919714.1|HILL
OG0001209	LOC118503498|XP_035892723.1|ASTE, LOC118503492|XP_035892710.1|ASTE	LOC119652741|XP_037912967.1|HILL
OG0001210	LOC118506747|XP_035900223.1|ASTE, LOC118506743|XP_035900201.1|ASTE	LOC119657755|XP_037920737.1|HILL
OG0001211	LOC118504432|XP_035894765.1|ASTE	LOC119652060|XP_037911926.1|HILL
OG0001212	LOC118506149|XP_035898795.1|ASTE, LOC118503033|XP_035891757.1|ASTE	LOC119658512|XP_037921913.1|HILL
OG0001213	LOC118505302|XP_035896814.1|ASTE, LOC118505303|XP_035896816.1|ASTE	LOC119659447|XP_037923459.1|HILL
OG0001214	LOC118507998|XP_035903262.1|ASTE	LOC119652669|XP_037912863.1|HILL
OG0001215	LOC118508007|XP_035903285.1|ASTE, LOC118508004|XP_035903271.1|ASTE	LOC119652850|XP_037913130.1|HILL
OG0001216	LOC118507996|XP_035903258.1|ASTE	LOC119653102|XP_037913545.1|HILL
OG0001217	LOC118503463|XP_035892642.1|ASTE	LOC119651703|XP_037911344.1|HILL
OG0001218	LOC118507811|XP_035902772.1|ASTE	LOC119659492|XP_037923538.1|HILL
OG0001220	LOC118508888|XP_035904614.1|ASTE, LOC118508889|XP_035904615.1|ASTE	LOC119652163|XP_037912039.1|HILL
OG0001221	LOC118511247|XP_035909988.1|ASTE, LOC118516930|XP_035918670.1|ASTE, LOC118516931|XP_035918671.1|ASTE, LOC118511246|XP_035909985.1|ASTE, LOC118510589|XP_035908483.1|ASTE	LOC119650451|XP_037909237.1|HILL
OG0001222	LOC118505963|XP_035898392.1|ASTE	LOC119660867|XP_037925704.1|HILL
OG0001223	LOC118514347|XP_035917058.1|ASTE	LOC119654577|XP_037915964.1|HILL
OG0001224	LOC118506033|XP_035898545.1|ASTE	LOC119655657|XP_037917569.1|HILL
OG0001225	LOC118509675|XP_035906574.1|ASTE	LOC119646976|XP_037903609.1|HILL
OG0001226	LOC118511394|XP_035910317.1|ASTE	LOC119657789|XP_037920804.1|HILL, LOC119646174|XP_037902482.1|HILL, LOC119661587|XP_037926917.1|HILL
OG0001227	LOC118511067|XP_035909568.1|ASTE	LOC119647209|XP_037903963.1|HILL, LOC119647103|XP_037903808.1|HILL
OG0001228	LOC118512395|XP_035912669.1|ASTE	LOC119655872|XP_037917929.1|HILL, LOC119655332|XP_037917103.1|HILL, LOC119654512|XP_037915878.1|HILL, LOC119655056|XP_037916675.1|HILL
OG0001229	LOC118514527|XP_035917400.1|ASTE	LOC119646290|XP_037902629.1|HILL
OG0001230	LOC118509042|XP_035905008.1|ASTE	LOC119661031|XP_037926123.1|HILL
OG0001231	LOC118511796|XP_035911219.1|ASTE	LOC119652521|XP_037912644.1|HILL
OG0001233	LOC118508945|XP_035904747.1|ASTE	LOC119661290|XP_037926495.1|HILL
OG0001234	LOC118511242|XP_035909975.1|ASTE	LOC119659090|XP_037922934.1|HILL
OG0001235	LOC118510723|XP_035908825.1|ASTE	LOC119646499|XP_037902882.1|HILL
