Orthogroup	ASTE.longest_only	DMEL.longest_only
OG0001735	LOC118509500|XP_035906051.1|ASTE	CG5664|NP_649314.2|DMEL
OG0001736	LOC118512837|XP_035913783.1|ASTE	CG15093|NP_611373.1|DMEL
OG0001737	LOC118511438|XP_035910426.1|ASTE	CG30183|NP_611819.2|DMEL
OG0001738	LOC118514230|XP_035916826.1|ASTE	CG6479|NP_648968.2|DMEL
OG0001739	LOC118511795|XP_035911218.1|ASTE	CG14464|NP_001036466.2|DMEL
OG0001740	LOC118512766|XP_035913558.1|ASTE, LOC118516356|XP_035918081.1|ASTE	Ice1|NP_611786.1|DMEL
OG0001742	LOC118514205|XP_035916791.1|ASTE	Ccs|NP_001163108.1|DMEL
OG0001743	LOC118509515|XP_035906105.1|ASTE	CG8001|NP_647657.1|DMEL
OG0001744	LOC118509613|XP_035906319.1|ASTE	l_2_01289|NP_001163065.1|DMEL
OG0001745	LOC118510343|XP_035907906.1|ASTE	CG42260|NP_001356969.1|DMEL
OG0001746	LOC118511871|XP_035911364.1|ASTE	CG8003|NP_648406.1|DMEL
OG0001747	LOC118512853|XP_035913817.1|ASTE	grh|NP_476845.2|DMEL
OG0001748	LOC118509126|XP_035905213.1|ASTE, LOC118509118|XP_035905182.1|ASTE	mfr|NP_001137919.1|DMEL
OG0001749	LOC118514171|XP_035916729.1|ASTE, LOC118516709|XP_035918560.1|ASTE	SIFa|NP_001246496.1|DMEL
OG0001750	LOC118514170|XP_035916728.1|ASTE, LOC118516708|XP_035918543.1|ASTE	Start1|NP_001246495.1|DMEL
OG0001751	LOC118511876|XP_035911386.1|ASTE	blot|NP_524125.2|DMEL
OG0001752	LOC118509574|XP_035906233.1|ASTE, LOC118516424|XP_035918188.1|ASTE	CG13288|NP_001261455.1|DMEL
OG0001753	LOC118511557|XP_035910679.1|ASTE	CG42324|NP_647819.3|DMEL
OG0001754	LOC118512260|XP_035912318.1|ASTE	muskelin|NP_610801.1|DMEL
OG0001755	LOC118513483|XP_035915187.1|ASTE	CG32264|NP_728897.1|DMEL
OG0001756	LOC118511549|XP_035910651.1|ASTE	Rho1|NP_477098.1|DMEL
OG0001757	LOC118511847|XP_035911284.1|ASTE	imd|NP_573394.1|DMEL
OG0001758	LOC118511858|XP_035911299.1|ASTE	bru3|NP_001369050.1|DMEL
OG0001759	LOC118511522|XP_035910603.1|ASTE	Mtap|NP_001261049.1|DMEL
OG0001760	LOC118511345|XP_035910192.1|ASTE	Rad51D|NP_610466.2|DMEL
OG0001761	LOC118509572|XP_035906230.1|ASTE, LOC118516430|XP_035918200.1|ASTE	MFS16|NP_726048.1|DMEL
OG0001762	LOC118505666|XP_035897685.1|ASTE, LOC118504544|XP_035895039.1|ASTE	AkhR|NP_995639.1|DMEL
OG0001763	LOC118504332|XP_035894559.1|ASTE	Nha1|NP_723224.2|DMEL
OG0001764	LOC118510973|XP_035909359.1|ASTE	Dhfr|NP_001036720.1|DMEL
OG0001765	LOC118510963|XP_035909322.1|ASTE	brp|NP_001246228.1|DMEL
OG0001766	LOC118512726|XP_035913475.1|ASTE	CG17834|NP_609242.2|DMEL
OG0001767	LOC118511704|XP_035911013.1|ASTE	CG34393|NP_608753.2|DMEL
OG0001768	LOC118513979|XP_035916298.1|ASTE	RpLP1|NP_476630.1|DMEL
OG0001769	LOC118510626|XP_035908556.1|ASTE	dsf|NP_477140.1|DMEL
OG0001770	LOC118513941|XP_035916217.1|ASTE	SmydA-3|NP_609464.1|DMEL
OG0001771	LOC118513978|XP_035916297.1|ASTE	Thor|NP_477295.1|DMEL
OG0001772	LOC118511057|XP_035909559.1|ASTE	RnrL|NP_477027.1|DMEL
OG0001774	LOC118513879|XP_035916079.1|ASTE, LOC118517087|XP_035918832.1|ASTE, LOC118517088|XP_035918833.1|ASTE	egg|NP_611966.3|DMEL
OG0001776	LOC118513424|XP_035915030.1|ASTE	CG31637|NP_609043.1|DMEL
OG0001777	LOC118511584|XP_035910729.1|ASTE	chm|NP_609117.4|DMEL
OG0001778	LOC118510842|XP_035909063.1|ASTE	fzy|NP_477501.1|DMEL
OG0001779	LOC118513433|XP_035915055.1|ASTE	CG44153|NP_001097136.2|DMEL
OG0001780	LOC118508989|XP_035904880.1|ASTE	ap|NP_724428.1|DMEL
OG0001781	LOC118513441|XP_035915075.1|ASTE, LOC118509132|XP_035905224.1|ASTE	lok|NP_477219.1|DMEL
OG0001782	LOC118510004|XP_035907282.1|ASTE, LOC118515321|XP_035917903.1|ASTE	CG42784|NP_001188798.2|DMEL
OG0001783	LOC118510106|XP_035907465.1|ASTE	Tsp29Fb|NP_523516.1|DMEL
OG0001784	LOC118514156|XP_035916665.1|ASTE	CG31935|NP_608608.2|DMEL
OG0001785	LOC118508993|XP_035904884.1|ASTE	Smyd4-1|NP_724802.1|DMEL
OG0001786	LOC118512499|XP_035912901.1|ASTE	CG4497|NP_609102.1|DMEL
OG0001787	LOC118512503|XP_035912906.1|ASTE	CG13784|NP_001260176.1|DMEL
OG0001788	LOC118515317|XP_035917897.1|ASTE, LOC118509847|XP_035906938.1|ASTE	tum|NP_610912.2|DMEL
OG0001789	LOC118509199|XP_035905362.1|ASTE, LOC118517261|XP_035919128.1|ASTE	CG3085|NP_611752.1|DMEL
OG0001790	LOC118513622|XP_035915572.1|ASTE	CG5171|NP_001188709.1|DMEL
OG0001791	LOC118517108|XP_035918868.1|ASTE, LOC118513805|XP_035915901.1|ASTE	E_Pc_|NP_001260897.1|DMEL
OG0001792	LOC118513003|XP_035914153.1|ASTE	ham|NP_724130.4|DMEL
OG0001793	LOC118513202|XP_035914586.1|ASTE	Shrm|NP_001097307.1|DMEL
OG0001794	LOC118514049|XP_035916437.1|ASTE	cact|NP_476942.1|DMEL
OG0001795	LOC118510682|XP_035908738.1|ASTE	mtgo|NP_001137829.1|DMEL
OG0001797	LOC118517191|XP_035919029.1|ASTE, LOC118505359|XP_035896928.1|ASTE	dpr7|NP_001096850.2|DMEL
OG0001798	LOC118504609|XP_035895179.1|ASTE	robl|NP_523771.1|DMEL
OG0001799	LOC118502437|XP_035890558.1|ASTE	stg1|NP_001027082.1|DMEL, CG11566|NP_001027081.1|DMEL
OG0001800	LOC118506758|XP_035900245.1|ASTE	santa-maria|NP_723277.3|DMEL
OG0001801	LOC118504812|XP_035895709.1|ASTE	nbs|NP_651973.4|DMEL
OG0001802	LOC118517567|XP_035919704.1|ASTE	mRpL19|NP_524284.1|DMEL
OG0001803	LOC118505481|XP_035897192.1|ASTE	CG15497|NP_650976.1|DMEL
OG0001804	LOC118502465|XP_035890589.1|ASTE	Pi4KIIalpha|NP_730944.2|DMEL
OG0001805	LOC118506677|XP_035900025.1|ASTE	Gr66a|NP_523971.3|DMEL
OG0001806	LOC118505362|XP_035896945.1|ASTE	CG5789|NP_651269.1|DMEL
OG0001808	LOC118507956|XP_035903175.1|ASTE	PGRP-LB|NP_001247052.1|DMEL
OG0001809	LOC118506690|XP_035900055.1|ASTE	slx1|NP_649484.3|DMEL
OG0001810	LOC118513263|XP_035914719.1|ASTE	CG31457|NP_732828.1|DMEL
OG0001811	LOC118502528|XP_035890686.1|ASTE	Optix|NP_001260793.1|DMEL
OG0001812	LOC118504326|XP_035894548.1|ASTE	ksh|NP_652499.2|DMEL
OG0001814	LOC118517396|XP_035919353.1|ASTE, LOC118510975|XP_035909362.1|ASTE	wtrw|NP_731193.1|DMEL
OG0001815	LOC118510989|XP_035909397.1|ASTE	RpL13A|NP_649560.1|DMEL
OG0001816	LOC118504272|XP_035894399.1|ASTE	Roe1|NP_610886.2|DMEL
OG0001817	LOC118512394|XP_035912666.1|ASTE	PCB|NP_724841.1|DMEL
OG0001818	LOC118507139|XP_035901062.1|ASTE	CG42339|NP_572674.3|DMEL
OG0001819	LOC118504802|XP_035895683.1|ASTE	CG3045|NP_611646.1|DMEL
OG0001820	LOC118503962|XP_035893750.1|ASTE	CG18155|NP_996360.2|DMEL
OG0001821	LOC118504871|XP_035895815.1|ASTE	CG4781|NP_611951.1|DMEL
OG0001822	LOC118506228|XP_035898959.1|ASTE	CG13532|NP_611728.1|DMEL
OG0001823	LOC118507932|XP_035903129.1|ASTE, LOC118517652|XP_035919872.1|ASTE	Sod1|NP_476735.1|DMEL
OG0001824	LOC118508277|XP_035903811.1|ASTE	CG31937|NP_608616.2|DMEL
OG0001825	LOC118503934|XP_035893674.1|ASTE	sm|NP_001246428.1|DMEL
OG0001826	LOC118505312|XP_035896843.1|ASTE	Prosbeta5|NP_652014.1|DMEL
OG0001827	LOC118504777|XP_035895602.1|ASTE	SmydA-6|NP_611182.1|DMEL
OG0001828	LOC118505912|XP_035898264.1|ASTE	Set2|NP_572888.2|DMEL
OG0001829	LOC118517209|XP_035919064.1|ASTE, LOC118507913|XP_035903099.1|ASTE	CG8888|NP_610724.1|DMEL
OG0001830	LOC118505776|XP_035897940.1|ASTE	CG9890|NP_611750.1|DMEL
OG0001831	LOC118504166|XP_035894196.1|ASTE, LOC118504167|XP_035894201.1|ASTE	CG7402|NP_649023.1|DMEL
OG0001832	LOC118503535|XP_035892814.1|ASTE	Efr|NP_572299.1|DMEL
OG0001833	LOC118503397|XP_035892492.1|ASTE	Taldo|NP_523835.2|DMEL
OG0001834	LOC118504457|XP_035894845.1|ASTE, LOC118503601|XP_035892965.1|ASTE, LOC118512858|XP_035913834.1|ASTE	UQCR-C1|NP_650401.1|DMEL
OG0001837	LOC118509598|XP_035906281.1|ASTE	CG13896|NP_001261221.2|DMEL
OG0001848	LOC118513372|XP_035914900.1|ASTE	CG40470|NP_001036635.1|DMEL
OG0001849	LOC118504814|XP_035895711.1|ASTE, LOC118504813|XP_035895710.1|ASTE	Rpt2|NP_524469.2|DMEL
OG0001850	LOC118509662|XP_035906527.1|ASTE	Sox102F|NP_001014695.1|DMEL
OG0001851	LOC118509524|XP_035906130.1|ASTE	zfh2|NP_524623.2|DMEL
OG0001852	LOC118509475|XP_035906008.1|ASTE	trh|NP_001261207.1|DMEL
OG0001853	LOC118509380|XP_035905817.1|ASTE	scrib|NP_001163746.1|DMEL
OG0001854	LOC118517529|XP_035919655.1|ASTE	CG9123|NP_573018.1|DMEL, CG12608|NP_573019.1|DMEL
OG0001855	LOC118511958|XP_035911573.1|ASTE	Vkor|NP_001014533.1|DMEL
OG0001856	LOC118505541|XP_035897369.1|ASTE, LOC118505545|XP_035897383.1|ASTE	e_r_|NP_524662.1|DMEL
OG0001857	LOC118517503|XP_035919611.1|ASTE	mal|NP_523423.1|DMEL
OG0001858	LOC118515515|XP_035917926.1|ASTE	Ing3|NP_573316.1|DMEL
OG0001859	LOC118515902|XP_035917969.1|ASTE	CG32500|NP_728447.2|DMEL, CG32857|NP_728443.1|DMEL, CG33502|NP_996529.1|DMEL
OG0001860	LOC118510558|XP_035908434.1|ASTE	CG13698|NP_649027.1|DMEL
OG0001861	LOC118506584|XP_035899832.1|ASTE	ball|NP_651508.1|DMEL
OG0001862	LOC118512568|XP_035913060.1|ASTE, LOC118516436|XP_035918211.1|ASTE	Cbs|NP_608424.1|DMEL
OG0001863	LOC118502521|XP_035890675.1|ASTE	Grip91|NP_524919.2|DMEL
OG0001864	LOC118502696|XP_035891112.1|ASTE	jvl|NP_001247105.1|DMEL
OG0001865	LOC118510313|XP_035907844.1|ASTE	DENR|NP_573176.1|DMEL
OG0001866	LOC118509981|XP_035907254.1|ASTE, LOC118517439|XP_035919465.1|ASTE	sim|NP_524340.2|DMEL
OG0001867	LOC118507545|XP_035902021.1|ASTE, LOC118508521|XP_035904269.1|ASTE	Nedd4|NP_648993.1|DMEL
OG0001868	LOC118517415|XP_035919411.1|ASTE	clumsy|NP_001036373.1|DMEL
OG0001869	LOC118517411|XP_035919386.1|ASTE, LOC118504806|XP_035895694.1|ASTE	Grik|NP_001262788.1|DMEL
OG0001870	LOC118505043|XP_035896191.1|ASTE	CG4020|NP_572276.1|DMEL
OG0001871	LOC118511316|XP_035910126.1|ASTE	PGRP-SA|NP_572727.1|DMEL
OG0001872	LOC118517586|XP_035919758.1|ASTE	CG15537|NP_001097981.1|DMEL
OG0001873	LOC118502801|XP_035891314.1|ASTE	beta-Man|NP_649436.2|DMEL
OG0001874	LOC118512878|XP_035913869.1|ASTE, LOC118512869|XP_035913857.1|ASTE	bai|NP_651323.3|DMEL
OG0001875	LOC118505059|XP_035896232.1|ASTE	CG12071|NP_651832.3|DMEL
OG0001876	LOC118505620|XP_035897575.1|ASTE	Mvd|NP_573068.3|DMEL
OG0001877	LOC118511185|XP_035909840.1|ASTE	CG2662|NP_570018.1|DMEL
OG0001878	LOC118513042|XP_035914227.1|ASTE, LOC118516541|XP_035918379.1|ASTE	Droj2|NP_650283.1|DMEL
OG0001879	LOC118504755|XP_035895569.1|ASTE	stac|NP_651329.4|DMEL
OG0001880	LOC118508454|XP_035904149.1|ASTE	P5cr|NP_524400.2|DMEL
OG0001881	LOC118507542|XP_035902014.1|ASTE	lbe|NP_524435.2|DMEL
OG0001882	LOC118507538|XP_035902008.1|ASTE	CG5882|NP_651540.1|DMEL
OG0001883	LOC118506779|XP_035900279.1|ASTE	Cow|NP_001262857.1|DMEL
OG0001884	LOC118506780|XP_035900285.1|ASTE	AdSS|NP_650918.1|DMEL
OG0001885	LOC118512936|XP_035914012.1|ASTE	CG6770|NP_609539.1|DMEL
OG0001886	LOC118502907|XP_035891521.1|ASTE	CG9356|NP_649889.1|DMEL
OG0001887	LOC118502569|XP_035890784.1|ASTE	ND-B14|NP_610629.1|DMEL
OG0001888	LOC118502568|XP_035890783.1|ASTE	CG12173|NP_649523.1|DMEL
OG0001889	LOC118502846|XP_035891435.1|ASTE	APC4|NP_572522.2|DMEL
OG0001890	LOC118505228|XP_035896649.1|ASTE	CG5274|NP_649222.1|DMEL
OG0001891	LOC118505829|XP_035898072.1|ASTE	Gfrl|NP_001247206.1|DMEL
OG0001892	LOC118507471|XP_035901866.1|ASTE	vtd|NP_001015132.1|DMEL
OG0001893	LOC118517612|XP_035919801.1|ASTE	DNApol-alpha73|NP_733206.3|DMEL
OG0001894	LOC118502737|XP_035891194.1|ASTE	CG30382|NP_724616.1|DMEL, Prosalpha1|NP_724614.1|DMEL
OG0001895	LOC118517179|XP_035918977.1|ASTE, LOC118504673|XP_035895356.1|ASTE	Gyf|NP_001162827.1|DMEL
OG0001896	LOC118504211|XP_035894295.1|ASTE	MFS17|NP_001015096.2|DMEL
OG0001897	LOC118503289|XP_035892271.1|ASTE	tws|NP_476880.1|DMEL
OG0001898	LOC118506902|XP_035900578.1|ASTE	mh|NP_573032.1|DMEL
OG0001899	LOC118505189|XP_035896537.1|ASTE	CG7720|NP_650753.1|DMEL
OG0001900	LOC118511635|XP_035910841.1|ASTE, LOC118506007|XP_035898485.1|ASTE	lush|NP_524162.1|DMEL
OG0001901	LOC118506440|XP_035899461.1|ASTE	CG31635|NP_001260135.1|DMEL
OG0001902	LOC118502669|XP_035891033.1|ASTE	Myo81F|NP_001303492.1|DMEL
OG0001903	LOC118507507|XP_035901939.1|ASTE	CG1103|NP_001036660.1|DMEL
OG0001904	LOC118507779|XP_035902707.1|ASTE	NSD|NP_733239.1|DMEL
OG0001905	LOC118508456|XP_035904151.1|ASTE	l_1_10Bb|NP_511117.1|DMEL
OG0001906	LOC118504404|XP_035894725.1|ASTE	Calx|NP_001247215.1|DMEL
OG0001907	LOC118505220|XP_035896630.1|ASTE	caz|NP_523365.2|DMEL
OG0001908	LOC118503469|XP_035892656.1|ASTE	HSPBAP1|NP_651581.2|DMEL
OG0001909	LOC118507734|XP_035902596.1|ASTE	Hexo2|NP_525081.1|DMEL
OG0001910	LOC118511959|XP_035911574.1|ASTE	ohgt|NP_649973.1|DMEL
OG0001911	LOC118502984|XP_035891662.1|ASTE	CG42342|NP_001189234.1|DMEL
OG0001912	LOC118508008|XP_035903286.1|ASTE, LOC118508010|XP_035903287.1|ASTE	CG8093|NP_611020.1|DMEL
OG0001914	LOC118503589|XP_035892926.1|ASTE	mask|NP_001247280.1|DMEL
OG0001915	LOC118512060|XP_035911813.1|ASTE	ACXD|NP_620469.2|DMEL
OG0001916	LOC118511475|XP_035910503.1|ASTE	Topors|NP_611388.1|DMEL
OG0001917	LOC118513127|XP_035914437.1|ASTE	CG8492|NP_648151.2|DMEL
OG0001918	LOC118517011|XP_035918748.1|ASTE, LOC118514166|XP_035916721.1|ASTE	CG15014|NP_647892.1|DMEL
OG0001919	LOC118512184|XP_035912168.1|ASTE	CG30467|NP_611044.1|DMEL
OG0001920	LOC118512170|XP_035912147.1|ASTE	fwd|NP_001356971.1|DMEL
OG0001921	LOC118517010|XP_035918746.1|ASTE, LOC118508920|XP_035904676.1|ASTE	cbc|NP_610876.1|DMEL
OG0001922	LOC118512105|XP_035911969.1|ASTE	asrij|NP_001261143.1|DMEL
OG0001924	LOC118512164|XP_035912136.1|ASTE	CG17691|NP_001104018.1|DMEL
OG0001926	LOC118510487|XP_035908262.1|ASTE	ImpE1|NP_524849.2|DMEL
OG0001927	LOC118510530|XP_035908368.1|ASTE	Nup54|NP_610783.1|DMEL
OG0001928	LOC118510560|XP_035908437.1|ASTE	CG8009|NP_648400.1|DMEL
OG0001929	LOC118510461|XP_035908189.1|ASTE	Rbfox1|NP_001246707.1|DMEL
OG0001930	LOC118508898|XP_035904629.1|ASTE	GEFmeso|NP_788403.2|DMEL
OG0001932	LOC118510460|XP_035908185.1|ASTE	JIL-1|NP_648432.1|DMEL
OG0001933	LOC118509537|XP_035906156.1|ASTE	CG4866|NP_611224.1|DMEL
OG0001934	LOC118509431|XP_035905913.1|ASTE	Gem3|NP_524019.1|DMEL
OG0001935	LOC118513097|XP_035914391.1|ASTE	l_3_72Dp|NP_730119.1|DMEL
OG0001937	LOC118509494|XP_035906042.1|ASTE	Fs|NP_652376.2|DMEL
OG0001938	LOC118509934|XP_035907157.1|ASTE	CG18335|NP_610666.1|DMEL
OG0001939	LOC118509773|XP_035906805.1|ASTE	CG15650|NP_611529.1|DMEL
OG0001940	LOC118509670|XP_035906552.1|ASTE	CG46385|NP_001356959.1|DMEL
OG0001941	LOC118516419|XP_035918176.1|ASTE, LOC118509546|XP_035906188.1|ASTE	Atac3|NP_001246531.1|DMEL
OG0001942	LOC118511431|XP_035910415.1|ASTE	CG9447|NP_610243.4|DMEL
OG0001943	LOC118511442|XP_035910434.1|ASTE	CG13055|NP_648851.1|DMEL
OG0001944	LOC118514250|XP_035916857.1|ASTE	Mtch|NP_523869.1|DMEL
OG0001945	LOC118511792|XP_035911212.1|ASTE	Dgk|NP_724619.2|DMEL
OG0001946	LOC118511383|XP_035910283.1|ASTE	Cyt-b5|NP_610294.1|DMEL
OG0001947	LOC118511381|XP_035910279.1|ASTE	HLH54F|NP_477302.1|DMEL
OG0001948	LOC118516693|XP_035918531.1|ASTE, LOC118512776|XP_035913577.1|ASTE, LOC118516355|XP_035918080.1|ASTE	CG6179|NP_573288.1|DMEL
OG0001949	LOC118514380|XP_035917147.1|ASTE	Eip78C|NP_524195.2|DMEL
OG0001950	LOC118509618|XP_035906343.1|ASTE	Itpr|NP_730941.1|DMEL
OG0001951	LOC118510328|XP_035907866.1|ASTE	jbug|NP_001261140.1|DMEL
OG0001952	LOC118511327|XP_035910146.1|ASTE	TpnC41C|NP_523619.2|DMEL
OG0001953	LOC118514332|XP_035917032.1|ASTE	Oatp58Dc|NP_001097409.1|DMEL
OG0001954	LOC118509514|XP_035906101.1|ASTE	KCNQ|NP_788300.3|DMEL
OG0001955	LOC118509453|XP_035905966.1|ASTE	CG17765|NP_610592.1|DMEL
OG0001956	LOC118510369|XP_035907982.1|ASTE	nmo|NP_001356976.1|DMEL
OG0001957	LOC118514359|XP_035917074.1|ASTE	RpL29|NP_477203.1|DMEL
OG0001958	LOC118512020|XP_035911693.1|ASTE	CG30116|NP_725799.1|DMEL
OG0001959	LOC118510433|XP_035908103.1|ASTE	Toll-9|NP_649214.1|DMEL
OG0001960	LOC118513135|XP_035914454.1|ASTE	Psa|NP_728614.1|DMEL
OG0001961	LOC118514169|XP_035916723.1|ASTE, LOC118516704|XP_035918541.1|ASTE	Dll|NP_001137759.1|DMEL
OG0001962	LOC118509688|XP_035906633.1|ASTE	phr|NP_523653.2|DMEL
OG0001963	LOC118514231|XP_035916827.1|ASTE	CG9706|NP_001356982.1|DMEL
OG0001964	LOC118511307|XP_035910111.1|ASTE	smid|NP_523959.2|DMEL
OG0001966	LOC118509748|XP_035906772.1|ASTE	P5cr-2|NP_650632.1|DMEL
OG0001967	LOC118509246|XP_035905461.1|ASTE	Lapsyn|NP_611561.1|DMEL
OG0001968	LOC118514627|XP_035917518.1|ASTE	NijA|NP_996040.1|DMEL
OG0001969	LOC118511846|XP_035911283.1|ASTE	Orc1|NP_477303.1|DMEL
OG0001970	LOC118511519|XP_035910600.1|ASTE	blw|NP_726243.1|DMEL
OG0001971	LOC118511337|XP_035910163.1|ASTE	CG11041|NP_611453.2|DMEL
OG0001972	LOC118511336|XP_035910162.1|ASTE	IFT20|NP_724409.3|DMEL
OG0001973	LOC118516350|XP_035918061.1|ASTE, LOC118511351|XP_035910203.1|ASTE	CG43795|NP_001097435.2|DMEL
OG0001974	LOC118512000|XP_035911635.1|ASTE	Myd88|NP_610479.1|DMEL
OG0001975	LOC118512279|XP_035912384.1|ASTE	CG13806|NP_647708.1|DMEL
OG0001976	LOC118503366|XP_035892456.1|ASTE	SmD3|NP_725106.1|DMEL
OG0001977	LOC118511744|XP_035911094.1|ASTE	cup|NP_523493.3|DMEL
OG0001978	LOC118511110|XP_035909728.1|ASTE	Arr1|NP_476681.1|DMEL
OG0001979	LOC118511116|XP_035909734.1|ASTE	Rack1|NP_477269.1|DMEL
OG0001980	LOC118513565|XP_035915386.1|ASTE	galectin|NP_608487.1|DMEL
OG0001982	LOC118509169|XP_035905321.1|ASTE	Gpb5|NP_001104335.1|DMEL
OG0001983	LOC118510008|XP_035907286.1|ASTE, LOC118513553|XP_035915342.1|ASTE	AGO3|NP_001036627.2|DMEL
OG0001984	LOC118511044|XP_035909534.1|ASTE	CG9154|NP_608993.2|DMEL
OG0001985	LOC118509326|XP_035905680.1|ASTE	Apoltp|NP_995670.2|DMEL
OG0001986	LOC118512643|XP_035913247.1|ASTE	TTLL3A|NP_609069.1|DMEL
OG0001987	LOC118507975|XP_035903207.1|ASTE	su_sable_|NP_476754.1|DMEL
OG0001988	LOC118513408|XP_035915005.1|ASTE	EDTP|NP_995873.2|DMEL
OG0001989	LOC118513235|XP_035914679.1|ASTE	Gr21a|NP_001259841.1|DMEL
OG0001990	LOC118512435|XP_035912789.1|ASTE	loh|NP_609406.2|DMEL
OG0001991	LOC118512974|XP_035914095.1|ASTE	DIP-lambda|NP_001334747.1|DMEL
OG0001992	LOC118511266|XP_035910029.1|ASTE	CG31760|NP_723730.2|DMEL
OG0001993	LOC118512545|XP_035913013.1|ASTE	Sec61alpha|NP_609034.1|DMEL
OG0001994	LOC118511659|XP_035910900.1|ASTE	TFAM|NP_732527.1|DMEL
OG0001995	LOC118509054|XP_035905057.1|ASTE, LOC118509055|XP_035905058.1|ASTE	CG10194|NP_609973.1|DMEL
OG0001996	LOC118512512|XP_035912922.1|ASTE	nompC|NP_523483.2|DMEL
OG0001997	LOC118513345|XP_035914866.1|ASTE	CG3894|NP_611963.5|DMEL
OG0001998	LOC118512548|XP_035913021.1|ASTE	Eps-15|NP_611965.2|DMEL
OG0001999	LOC118508967|XP_035904805.1|ASTE	Hr3|NP_001334718.1|DMEL
OG0002000	LOC118513738|XP_035915788.1|ASTE	CG14274|NP_609212.2|DMEL
OG0002001	LOC118514686|XP_035917625.1|ASTE	kel|NP_476589.4|DMEL
OG0002002	LOC118514563|XP_035917455.1|ASTE	Dera|NP_610781.1|DMEL
OG0002003	LOC118511610|XP_035910791.1|ASTE	Tsp29Fa|NP_523515.1|DMEL
OG0002004	LOC118512585|XP_035913108.1|ASTE	qua|NP_001246066.1|DMEL
OG0002005	LOC118511777|XP_035911165.1|ASTE	PRL-1|NP_609780.1|DMEL
OG0002006	LOC118514508|XP_035917337.1|ASTE	Ziz|NP_001260200.1|DMEL
OG0002008	LOC118512608|XP_035913173.1|ASTE	eIF4G1|NP_001096852.1|DMEL
OG0002009	LOC118513696|XP_035915713.1|ASTE	fd59A|NP_523814.1|DMEL
OG0002010	LOC118517126|XP_035918881.1|ASTE, LOC118513710|XP_035915736.1|ASTE	Argl|NP_609257.3|DMEL
OG0002011	LOC118513808|XP_035915910.1|ASTE	nesd|NP_610025.1|DMEL
OG0002012	LOC118510849|XP_035909072.1|ASTE	TpnC25D|NP_608915.2|DMEL
OG0002013	LOC118513328|XP_035914829.1|ASTE	Lim3|NP_001260559.1|DMEL
OG0002014	LOC118509890|XP_035907029.1|ASTE, LOC118509889|XP_035907028.1|ASTE, LOC118509884|XP_035907017.1|ASTE	CG10527|NP_611544.1|DMEL
OG0002015	LOC118513006|XP_035914160.1|ASTE	Uro|NP_476779.1|DMEL
OG0002016	LOC118513208|XP_035914607.1|ASTE	babo|NP_476999.1|DMEL
OG0002017	LOC118512972|XP_035914092.1|ASTE	Nos|NP_523541.2|DMEL
OG0002018	LOC118510770|XP_035908923.1|ASTE	Daxx|NP_609035.2|DMEL
OG0002019	LOC118510741|XP_035908861.1|ASTE	vir-1|NP_723746.1|DMEL
OG0002020	LOC118509949|XP_035907173.1|ASTE	RanGAP|NP_476712.1|DMEL
OG0002021	LOC118509945|XP_035907170.1|ASTE	tud|NP_476773.1|DMEL
OG0002022	LOC118506403|XP_035899361.1|ASTE	CG14397|NP_001163027.1|DMEL
OG0002023	LOC118514075|XP_035916494.1|ASTE, LOC118514074|XP_035916493.1|ASTE	ry|NP_524337.1|DMEL
OG0002024	LOC118510711|XP_035908803.1|ASTE	CG4968|NP_609375.1|DMEL
OG0002025	LOC118510667|XP_035908700.1|ASTE	salm|NP_723670.2|DMEL
OG0002026	LOC118505323|XP_035896859.1|ASTE	CG7139|NP_649378.1|DMEL
OG0002027	LOC118505612|XP_035897545.1|ASTE	px|NP_726208.1|DMEL
OG0002028	LOC118505621|XP_035897576.1|ASTE	CG5554|NP_001286784.1|DMEL
OG0002029	LOC118505201|XP_035896575.1|ASTE	Sse|NP_523935.1|DMEL
OG0002030	LOC118511575|XP_035910713.1|ASTE	ATPsynF|NP_611940.1|DMEL
OG0002031	LOC118512378|XP_035912638.1|ASTE	Rpn13|NP_001137662.1|DMEL
OG0002032	LOC118517050|XP_035918791.1|ASTE, LOC118508330|XP_035903892.1|ASTE	Snmp1|NP_650953.1|DMEL
OG0002033	LOC118506726|XP_035900150.1|ASTE	Ork1|NP_001285097.1|DMEL
OG0002034	LOC118502758|XP_035891223.1|ASTE	DAAM|NP_001188522.1|DMEL
OG0002035	LOC118505534|XP_035897342.1|ASTE	Dhod|NP_477224.1|DMEL
OG0002036	LOC118506749|XP_035900224.1|ASTE	Glut4EF|NP_001262443.1|DMEL
OG0002037	LOC118504715|XP_035895445.1|ASTE	VhaM9.7-a|NP_001097499.1|DMEL
OG0002038	LOC118504932|XP_035895918.1|ASTE	CG4390|NP_732486.2|DMEL
OG0002039	LOC118504935|XP_035895925.1|ASTE	CG40472|NP_001163845.1|DMEL, ND-AGGG|NP_001015476.1|DMEL
OG0002040	LOC118505123|XP_035896330.1|ASTE	CG41284|NP_001104417.3|DMEL, CG42598|NP_001163857.2|DMEL
OG0002041	LOC118507060|XP_035900921.1|ASTE	Acsl|NP_001260810.1|DMEL
OG0002042	LOC118515263|XP_035917841.1|ASTE, LOC118508265|XP_035903789.1|ASTE	Obp84a|NP_001097700.2|DMEL
OG0002043	LOC118504219|XP_035894318.1|ASTE	CG2100|NP_649578.1|DMEL
