Orthogroup	ASTE.longest_only	SLEB.longest_only
OG0002186	LOC118505240|XP_035896683.1|ASTE	LOC115626433|XP_030377668.1|SLEB
OG0002187	LOC118506381|XP_035899306.1|ASTE	LOC115620645|XP_030369853.1|SLEB
OG0002188	LOC118511393|XP_035910316.1|ASTE	LOC115634041|XP_030387445.1|SLEB
OG0002189	LOC118502867|XP_035891467.1|ASTE	LOC115629970|XP_030382449.1|SLEB
OG0002190	LOC118507907|XP_035903063.1|ASTE	LOC115620341|XP_030369401.1|SLEB
OG0002191	LOC118503569|XP_035892895.1|ASTE	LOC115634376|XP_030387916.1|SLEB
OG0002192	LOC118507169|XP_035901128.1|ASTE	LOC115622715|XP_030372613.1|SLEB
OG0002193	LOC118502697|XP_035891110.1|ASTE	LOC115621536|XP_030371062.1|SLEB
OG0002194	LOC118502888|XP_035891499.1|ASTE	LOC115621452|XP_030370966.1|SLEB
OG0002195	LOC118507796|XP_035902742.1|ASTE	LOC115620502|XP_030369615.1|SLEB
OG0002196	LOC118504279|XP_035894446.1|ASTE	LOC115627300|XP_030378796.1|SLEB, LOC115629564|XP_030381916.1|SLEB
OG0002197	LOC118506443|XP_035899471.1|ASTE	LOC115624554|XP_030375141.1|SLEB
OG0002198	LOC118506179|XP_035898845.1|ASTE	LOC115623510|XP_030373749.1|SLEB
OG0002199	LOC118506450|XP_035899482.1|ASTE	LOC115620633|XP_030369823.1|SLEB
OG0002200	LOC118505414|XP_035897056.1|ASTE	LOC115629549|XP_030381891.1|SLEB, LOC115621724|XP_030371298.1|SLEB, LOC115625638|XP_030376627.1|SLEB
OG0002202	LOC118517055|XP_035918796.1|ASTE, LOC118508321|XP_035903883.1|ASTE	LOC115620495|XP_030369601.1|SLEB
OG0002203	LOC118502929|XP_035891560.1|ASTE	LOC115625105|XP_030375868.1|SLEB
OG0002204	LOC118506367|XP_035899283.1|ASTE	LOC115620636|XP_030369833.1|SLEB
OG0002205	LOC118506796|XP_035900311.1|ASTE	LOC115621680|XP_030371250.1|SLEB, LOC115621691|XP_030371260.1|SLEB
OG0002206	LOC118507999|XP_035903263.1|ASTE	LOC115621603|XP_030371156.1|SLEB
OG0002207	LOC118505211|XP_035896613.1|ASTE	LOC115620325|XP_030369379.1|SLEB
OG0002208	LOC118505185|XP_035896533.1|ASTE	LOC115620911|XP_030370263.1|SLEB
OG0002209	LOC118504832|XP_035895729.1|ASTE	LOC115628848|XP_030380957.1|SLEB
OG0002210	LOC118508005|XP_035903280.1|ASTE	LOC115625302|XP_030376180.1|SLEB
OG0002211	LOC118505434|XP_035897105.1|ASTE, LOC118505435|XP_035897109.1|ASTE	LOC115620489|XP_030369587.1|SLEB
OG0002212	LOC118503193|XP_035892068.1|ASTE	LOC115621569|XP_030371116.1|SLEB
OG0002213	LOC118505443|XP_035897133.1|ASTE	LOC115624038|XP_030374476.1|SLEB, LOC115624034|XP_030374472.1|SLEB
OG0002214	LOC118517710|XP_035920049.1|ASTE	LOC115621549|XP_030371077.1|SLEB
OG0002215	LOC118511933|XP_035911507.1|ASTE	LOC115620281|XP_030369315.1|SLEB
OG0002216	LOC118506810|XP_035900361.1|ASTE	LOC115631264|XP_030383835.1|SLEB
OG0002217	LOC118504422|XP_035894751.1|ASTE	LOC115625291|XP_030376164.1|SLEB
OG0002218	LOC118508587|XP_035904385.1|ASTE	LOC115627664|XP_030379266.1|SLEB
OG0002219	LOC118502956|XP_035891612.1|ASTE, LOC118507789|XP_035902718.1|ASTE	LOC115620459|XP_030369550.1|SLEB
OG0002220	LOC118502954|XP_035891604.1|ASTE	LOC115620458|XP_030369549.1|SLEB
OG0002221	LOC118512120|XP_035911991.1|ASTE	LOC115632759|XP_030385868.1|SLEB
OG0002224	LOC118511464|XP_035910459.1|ASTE	LOC115620838|XP_030370135.1|SLEB
OG0002225	LOC118513122|XP_035914417.1|ASTE	LOC115632265|XP_030385202.1|SLEB
OG0002226	LOC118512964|XP_035914083.1|ASTE	LOC115633854|XP_030387206.1|SLEB
OG0002227	LOC118512046|XP_035911768.1|ASTE	LOC115634121|XP_030387544.1|SLEB
OG0002228	LOC118512073|XP_035911856.1|ASTE	LOC115621375|XP_030370866.1|SLEB
OG0002229	LOC118512084|XP_035911937.1|ASTE	LOC115626474|XP_030377722.1|SLEB
OG0002230	LOC118512100|XP_035911960.1|ASTE	LOC115625458|XP_030376369.1|SLEB
OG0002231	LOC118512056|XP_035911800.1|ASTE	LOC115633893|XP_030387258.1|SLEB
OG0002233	LOC118509110|XP_035905172.1|ASTE, LOC118516894|XP_035918632.1|ASTE	LOC115632421|XP_030385422.1|SLEB
OG0002234	LOC118513338|XP_035914853.1|ASTE, LOC118513012|XP_035914179.1|ASTE	LOC115628565|XP_030380592.1|SLEB
OG0002235	LOC118516351|XP_035918062.1|ASTE, LOC118511365|XP_035910220.1|ASTE	LOC115633399|XP_030386705.1|SLEB
OG0002236	LOC118513001|XP_035914151.1|ASTE	LOC115630431|XP_030382851.1|SLEB
OG0002237	LOC118512996|XP_035914146.1|ASTE	LOC115628574|XP_030380606.1|SLEB
OG0002238	LOC118514491|XP_035917307.1|ASTE	LOC115628347|XP_030380279.1|SLEB
OG0002239	LOC118510562|XP_035908439.1|ASTE	LOC115621487|XP_030371017.1|SLEB
OG0002240	LOC118508906|XP_035904657.1|ASTE	LOC115634354|XP_030387873.1|SLEB
OG0002241	LOC118512142|XP_035912062.1|ASTE	LOC115632775|XP_030385881.1|SLEB
OG0002243	LOC118509122|XP_035905202.1|ASTE	LOC115626469|XP_030377712.1|SLEB, LOC115626389|XP_030377609.1|SLEB, LOC115626432|XP_030377666.1|SLEB
OG0002244	LOC118509120|XP_035905197.1|ASTE	LOC115629850|XP_030382291.1|SLEB
OG0002245	LOC118512677|XP_035913349.1|ASTE	LOC115632735|XP_030385841.1|SLEB
OG0002246	LOC118512690|XP_035913373.1|ASTE	LOC115631968|XP_030384718.1|SLEB
OG0002247	LOC118513104|XP_035914398.1|ASTE	LOC115628972|XP_030381114.1|SLEB
OG0002248	LOC118509410|XP_035905873.1|ASTE	LOC115624989|XP_030375717.1|SLEB
OG0002249	LOC118506297|XP_035899129.1|ASTE, LOC118509498|XP_035906049.1|ASTE	LOC115622515|XP_030372329.1|SLEB
OG0002250	LOC118509644|XP_035906444.1|ASTE	LOC115634673|XP_030388392.1|SLEB
OG0002251	LOC118509713|XP_035906691.1|ASTE	LOC115634674|XP_030388393.1|SLEB
OG0002252	LOC118511909|XP_035911437.1|ASTE	LOC115620012|XP_030368973.1|SLEB
OG0002253	LOC118509671|XP_035906564.1|ASTE	LOC115624581|XP_030375181.1|SLEB
OG0002254	LOC118510161|XP_035907562.1|ASTE	LOC115620972|XP_030370353.1|SLEB
OG0002255	LOC118511430|XP_035910414.1|ASTE	LOC115629150|XP_030381373.1|SLEB
OG0002256	LOC118511531|XP_035910613.1|ASTE	LOC115628490|XP_030380484.1|SLEB
OG0002257	LOC118509590|XP_035906256.1|ASTE	LOC115633350|XP_030386648.1|SLEB
OG0002258	LOC118510362|XP_035907963.1|ASTE	LOC115622305|XP_030372070.1|SLEB
OG0002260	LOC118510417|XP_035908079.1|ASTE	LOC115622216|XP_030371973.1|SLEB
OG0002261	LOC118510383|XP_035908022.1|ASTE	LOC115623553|XP_030373808.1|SLEB
OG0002263	LOC118511448|XP_035910442.1|ASTE	LOC115632436|XP_030385440.1|SLEB
OG0002264	LOC118509654|XP_035906501.1|ASTE	LOC115626809|XP_030378182.1|SLEB
OG0002265	LOC118512810|XP_035913655.1|ASTE	LOC115632858|XP_030385978.1|SLEB
OG0002266	LOC118510215|XP_035907667.1|ASTE	LOC115624816|XP_030375522.1|SLEB
OG0002267	LOC118514340|XP_035917050.1|ASTE	LOC115632152|XP_030385029.1|SLEB
OG0002268	LOC118514259|XP_035916868.1|ASTE	LOC115622653|XP_030372522.1|SLEB
OG0002269	LOC118510335|XP_035907886.1|ASTE	LOC115623638|XP_030373985.1|SLEB
OG0002270	LOC118510096|XP_035907414.1|ASTE	LOC115622630|XP_030372500.1|SLEB
OG0002271	LOC118510340|XP_035907904.1|ASTE	LOC115622444|XP_030372245.1|SLEB
OG0002272	LOC118514352|XP_035917067.1|ASTE	LOC115628439|XP_030380401.1|SLEB
OG0002273	LOC118512827|XP_035913708.1|ASTE	LOC115634139|XP_030387567.1|SLEB
OG0002274	LOC118511865|XP_035911340.1|ASTE	LOC115634574|XP_030388258.1|SLEB
OG0002275	LOC118514222|XP_035916813.1|ASTE	LOC115622664|XP_030372537.1|SLEB
OG0002276	LOC118514361|XP_035917082.1|ASTE	LOC115628348|XP_030380273.1|SLEB
OG0002277	LOC118508950|XP_035904757.1|ASTE	LOC115628432|XP_030380380.1|SLEB
OG0002277	LOC118509700|XP_035906664.1|ASTE	LOC115628281|XP_030380170.1|SLEB
OG0002278	LOC118509037|XP_035904970.1|ASTE	LOC115622351|XP_030372125.1|SLEB
OG0002279	LOC118510327|XP_035907865.1|ASTE	LOC115622725|XP_030372625.1|SLEB
OG0002280	LOC118510303|XP_035907825.1|ASTE	LOC115632369|XP_030385348.1|SLEB
OG0002281	LOC118516379|XP_035918124.1|ASTE, LOC118512783|XP_035913589.1|ASTE	LOC115629760|XP_030382166.1|SLEB, LOC115632446|XP_030385453.1|SLEB
OG0002282	LOC118514625|XP_035917516.1|ASTE	LOC115632826|XP_030385938.1|SLEB
OG0002283	LOC118508859|XP_035904510.1|ASTE	LOC115634640|XP_030388356.1|SLEB
OG0002284	LOC118517324|XP_035919197.1|ASTE, LOC118509383|XP_035905819.1|ASTE	LOC115633750|XP_030387085.1|SLEB
OG0002285	LOC118509559|XP_035906207.1|ASTE	LOC115629673|XP_030382051.1|SLEB
OG0002286	LOC118514227|XP_035916819.1|ASTE	LOC115623804|XP_030374210.1|SLEB
OG0002287	LOC118511799|XP_035911222.1|ASTE	LOC115628409|XP_030380398.1|SLEB
OG0002288	LOC118511560|XP_035910685.1|ASTE	LOC115623246|XP_030373369.1|SLEB
OG0002289	LOC118514451|XP_035917261.1|ASTE	LOC115632534|XP_030385599.1|SLEB
OG0002290	LOC118511748|XP_035911105.1|ASTE	LOC115626452|XP_030377688.1|SLEB
OG0002291	LOC118509648|XP_035906462.1|ASTE	LOC115632965|XP_030386129.1|SLEB
OG0002292	LOC118510356|XP_035907950.1|ASTE	LOC115633720|XP_030387044.1|SLEB
OG0002293	LOC118511334|XP_035910160.1|ASTE	LOC115633735|XP_030387066.1|SLEB
OG0002294	LOC118511350|XP_035910202.1|ASTE	LOC115625315|XP_030376196.1|SLEB
OG0002295	LOC118505030|XP_035896139.1|ASTE	LOC115629022|XP_030381178.1|SLEB
OG0002296	LOC118504540|XP_035895003.1|ASTE	LOC115625789|XP_030376821.1|SLEB
OG0002297	LOC118507004|XP_035900791.1|ASTE	LOC115628956|XP_030381092.1|SLEB
OG0002298	LOC118511201|XP_035909873.1|ASTE	LOC115626224|XP_030377386.1|SLEB
OG0002299	LOC118511199|XP_035909871.1|ASTE	LOC115620374|XP_030369480.1|SLEB
OG0002300	LOC118511035|XP_035909515.1|ASTE	LOC115628567|XP_030380590.1|SLEB
OG0002301	LOC118513933|XP_035916197.1|ASTE	LOC115628970|XP_030381106.1|SLEB
OG0002302	LOC118511746|XP_035911098.1|ASTE	LOC115625861|XP_030376929.1|SLEB
OG0002303	LOC118507661|XP_035902331.1|ASTE	LOC115629702|XP_030382080.1|SLEB
OG0002304	LOC118512695|XP_035913396.1|ASTE	LOC115626371|XP_030377586.1|SLEB
OG0002305	LOC118513310|XP_035914786.1|ASTE	LOC115628170|XP_030380011.1|SLEB
OG0002306	LOC118511191|XP_035909854.1|ASTE, LOC118517336|XP_035919213.1|ASTE	LOC115628522|XP_030380535.1|SLEB
OG0002307	LOC118511257|XP_035910014.1|ASTE	LOC115631633|XP_030384302.1|SLEB
OG0002308	LOC118513924|XP_035916185.1|ASTE	LOC115625673|XP_030376669.1|SLEB
OG0002309	LOC118503597|XP_035892944.1|ASTE, LOC118513980|XP_035916300.1|ASTE	LOC115630618|XP_030383105.1|SLEB
OG0002310	LOC118513511|XP_035915258.1|ASTE	LOC115628525|XP_030380544.1|SLEB
OG0002311	LOC118511175|XP_035909812.1|ASTE	LOC115626183|XP_030377320.1|SLEB
OG0002312	LOC118511173|XP_035909809.1|ASTE	LOC115625923|XP_030377018.1|SLEB
OG0002313	LOC118511612|XP_035910795.1|ASTE	LOC115621950|XP_030371656.1|SLEB, LOC115634761|XP_030388513.1|SLEB
OG0002314	LOC118513875|XP_035916074.1|ASTE, LOC118517084|XP_035918830.1|ASTE	LOC115634610|XP_030388320.1|SLEB
OG0002315	LOC118514019|XP_035916384.1|ASTE, LOC118511103|XP_035909716.1|ASTE	LOC115633643|XP_030386944.1|SLEB
OG0002316	LOC118511127|XP_035909753.1|ASTE	LOC115631649|XP_030384320.1|SLEB
OG0002317	LOC118511641|XP_035910855.1|ASTE	LOC115632585|XP_030385665.1|SLEB
OG0002318	LOC118514012|XP_035916374.1|ASTE	LOC115630417|XP_030382812.1|SLEB
OG0002319	LOC118514001|XP_035916330.1|ASTE	LOC115626161|XP_030377296.1|SLEB
OG0002320	LOC118513420|XP_035915025.1|ASTE	LOC115630504|XP_030382960.1|SLEB
OG0002321	LOC118513236|XP_035914681.1|ASTE	LOC115628164|XP_030380004.1|SLEB
OG0002322	LOC118510602|XP_035908502.1|ASTE	LOC115625778|XP_030376809.1|SLEB
OG0002323	LOC118513423|XP_035915029.1|ASTE	LOC115628510|XP_030380514.1|SLEB
OG0002324	LOC118509076|XP_035905101.1|ASTE	LOC115626088|XP_030377201.1|SLEB, LOC115626669|XP_030377956.1|SLEB
OG0002325	LOC118509087|XP_035905112.1|ASTE	LOC115622713|XP_030372609.1|SLEB
OG0002326	LOC118509088|XP_035905115.1|ASTE	LOC115622125|XP_030371837.1|SLEB
OG0002327	LOC118509089|XP_035905116.1|ASTE	LOC115623373|XP_030373524.1|SLEB
OG0002328	LOC118511755|XP_035911113.1|ASTE	LOC115629084|XP_030381258.1|SLEB, LOC115628980|XP_030381120.1|SLEB
OG0002329	LOC118511606|XP_035910782.1|ASTE	LOC115630683|XP_030383190.1|SLEB, LOC115630644|XP_030383144.1|SLEB
OG0002330	LOC118511682|XP_035910949.1|ASTE	LOC115630490|XP_030382936.1|SLEB
OG0002331	LOC118511660|XP_035910901.1|ASTE	LOC115628729|XP_030380793.1|SLEB
OG0002332	LOC118509846|XP_035906937.1|ASTE	LOC115622572|XP_030372411.1|SLEB
OG0002333	LOC118508802|XP_035904414.1|ASTE	LOC115619945|XP_030368836.1|SLEB
OG0002334	LOC118513671|XP_035915667.1|ASTE	LOC115620836|XP_030370129.1|SLEB, LOC115626565|XP_030377803.1|SLEB, LOC115626316|XP_030377512.1|SLEB
OG0002335	LOC118511602|XP_035910777.1|ASTE	LOC115624626|XP_030375244.1|SLEB
OG0002336	LOC118509052|XP_035905054.1|ASTE	LOC115628438|XP_030380399.1|SLEB
OG0002337	LOC118514506|XP_035917335.1|ASTE	LOC115627141|XP_030378582.1|SLEB
OG0002338	LOC118512501|XP_035912903.1|ASTE	LOC115631260|XP_030383831.1|SLEB
OG0002339	LOC118512524|XP_035912959.1|ASTE	LOC115628456|XP_030380433.1|SLEB
OG0002340	LOC118512521|XP_035912955.1|ASTE, LOC118512520|XP_035912954.1|ASTE	LOC115631476|XP_030384090.1|SLEB
OG0002341	LOC118512475|XP_035912856.1|ASTE	LOC115628652|XP_030380683.1|SLEB
OG0002342	LOC118512469|XP_035912844.1|ASTE	LOC115625493|XP_030376406.1|SLEB, LOC115631009|XP_030383472.1|SLEB
OG0002343	LOC118512556|XP_035913035.1|ASTE	LOC115631017|XP_030383489.1|SLEB
OG0002344	LOC118512570|XP_035913078.1|ASTE	LOC115629841|XP_030382282.1|SLEB
OG0002345	LOC118513768|XP_035915837.1|ASTE	LOC115629649|XP_030382023.1|SLEB
OG0002346	LOC118511769|XP_035911150.1|ASTE	LOC115625888|XP_030376970.1|SLEB
OG0002347	LOC118514162|XP_035916719.1|ASTE	LOC115633688|XP_030387005.1|SLEB
OG0002348	LOC118513743|XP_035915793.1|ASTE	LOC115631387|XP_030383969.1|SLEB
OG0002349	LOC118513770|XP_035915840.1|ASTE	LOC115633919|XP_030387289.1|SLEB
OG0002350	LOC118510057|XP_035907339.1|ASTE	LOC115629611|XP_030381971.1|SLEB
OG0002351	LOC118513362|XP_035914887.1|ASTE	LOC115626994|XP_030378372.1|SLEB
OG0002352	LOC118512531|XP_035912976.1|ASTE	LOC115634054|XP_030387498.1|SLEB
OG0002353	LOC118510590|XP_035908484.1|ASTE	LOC115626187|XP_030377325.1|SLEB
OG0002354	LOC118511776|XP_035911164.1|ASTE	LOC115626368|XP_030377582.1|SLEB
OG0002355	LOC118514537|XP_035917413.1|ASTE	LOC115625684|XP_030376680.1|SLEB
OG0002356	LOC118508982|XP_035904863.1|ASTE	LOC115630397|XP_030382780.1|SLEB
OG0002357	LOC118508981|XP_035904862.1|ASTE	LOC115625253|XP_030376106.1|SLEB
OG0002358	LOC118513283|XP_035914743.1|ASTE	LOC115630494|XP_030382942.1|SLEB
OG0002359	LOC118509223|XP_035905416.1|ASTE	LOC115627066|XP_030378473.1|SLEB
OG0002360	LOC118512597|XP_035913143.1|ASTE	LOC115630585|XP_030383064.1|SLEB
OG0002361	LOC118513702|XP_035915719.1|ASTE	LOC115623164|XP_030373238.1|SLEB
OG0002362	LOC118510846|XP_035909066.1|ASTE	LOC115631490|XP_030384108.1|SLEB
OG0002363	LOC118509832|XP_035906916.1|ASTE	LOC115631139|XP_030383668.1|SLEB
OG0002364	LOC118509831|XP_035906898.1|ASTE	LOC115631982|XP_030384747.1|SLEB
OG0002365	LOC118509113|XP_035905177.1|ASTE	LOC115631278|XP_030383852.1|SLEB
OG0002366	LOC118510543|XP_035908400.1|ASTE	LOC115630760|XP_030383275.1|SLEB
OG0002367	LOC118513811|XP_035915932.1|ASTE	LOC115630992|XP_030383442.1|SLEB
OG0002368	LOC118513828|XP_035915960.1|ASTE, LOC118517107|XP_035918864.1|ASTE	LOC115626337|XP_030377542.1|SLEB
OG0002369	LOC118514288|XP_035916930.1|ASTE	LOC115629583|XP_030381936.1|SLEB
OG0002370	LOC118508813|XP_035904447.1|ASTE	LOC115626037|XP_030377147.1|SLEB
OG0002371	LOC118508816|XP_035904450.1|ASTE	LOC115625676|XP_030376673.1|SLEB
OG0002372	LOC118514070|XP_035916489.1|ASTE	LOC115628600|XP_030380643.1|SLEB
OG0002373	LOC118510670|XP_035908710.1|ASTE	LOC115631115|XP_030383635.1|SLEB
OG0002374	LOC118510661|XP_035908685.1|ASTE	LOC115621914|XP_030371610.1|SLEB
OG0002375	LOC118503833|XP_035893433.1|ASTE	LOC115624037|XP_030374475.1|SLEB
OG0002376	LOC118506586|XP_035899833.1|ASTE	LOC115625993|XP_030377097.1|SLEB
OG0002377	LOC118506623|XP_035899885.1|ASTE	LOC115625060|XP_030375792.1|SLEB
OG0002378	LOC118507629|XP_035902247.1|ASTE	LOC115622674|XP_030372548.1|SLEB
OG0002379	LOC118506607|XP_035899867.1|ASTE	LOC115631570|XP_030384222.1|SLEB
OG0002380	LOC118505669|XP_035897688.1|ASTE	LOC115629361|XP_030381673.1|SLEB
OG0002381	LOC118505685|XP_035897713.1|ASTE	LOC115626713|XP_030378016.1|SLEB
OG0002382	LOC118505709|XP_035897769.1|ASTE, LOC118505699|XP_035897739.1|ASTE	LOC115627104|XP_030378521.1|SLEB
OG0002383	LOC118505703|XP_035897746.1|ASTE, LOC118505718|XP_035897788.1|ASTE	LOC115628329|XP_030380246.1|SLEB
OG0002384	LOC118508352|XP_035903943.1|ASTE	LOC115630231|XP_030382644.1|SLEB
OG0002386	LOC118506742|XP_035900194.1|ASTE	LOC115623844|XP_030374245.1|SLEB
OG0002387	LOC118507126|XP_035901026.1|ASTE	LOC115620570|XP_030369724.1|SLEB
OG0002388	LOC118504693|XP_035895406.1|ASTE	LOC115625272|XP_030376135.1|SLEB
OG0002389	LOC118506609|XP_035899869.1|ASTE	LOC115620296|XP_030369338.1|SLEB
OG0002390	LOC118517575|XP_035919722.1|ASTE	LOC115630543|XP_030383013.1|SLEB
OG0002391	LOC118506518|XP_035899639.1|ASTE	LOC115632949|XP_030386109.1|SLEB
OG0002392	LOC118505514|XP_035897307.1|ASTE	LOC115622399|XP_030372188.1|SLEB
OG0002393	LOC118505499|XP_035897252.1|ASTE	LOC115628294|XP_030380200.1|SLEB
OG0002394	LOC118505483|XP_035897204.1|ASTE	LOC115625219|XP_030376059.1|SLEB, LOC115628109|XP_030379951.1|SLEB
OG0002395	LOC118516845|XP_035918590.1|ASTE, LOC118503688|XP_035893123.1|ASTE, LOC118515252|XP_035917831.1|ASTE	LOC115624348|XP_030374861.1|SLEB
OG0002396	LOC118502575|XP_035890793.1|ASTE	LOC115626919|XP_030378291.1|SLEB
OG0002397	LOC118502605|XP_035890862.1|ASTE	LOC115626081|XP_030377197.1|SLEB
OG0002398	LOC118507045|XP_035900892.1|ASTE	LOC115633420|XP_030386739.1|SLEB
OG0002399	LOC118507048|XP_035900899.1|ASTE	LOC115634456|XP_030388040.1|SLEB, LOC115624813|XP_030375519.1|SLEB
OG0002400	LOC118507056|XP_035900911.1|ASTE	LOC115621720|XP_030371297.1|SLEB, LOC115630023|XP_030382549.1|SLEB
OG0002401	LOC118507678|XP_035902362.1|ASTE	LOC115627918|XP_030379673.1|SLEB
OG0002402	LOC118506828|XP_035900426.1|ASTE	LOC115625287|XP_030376158.1|SLEB
OG0002403	LOC118506829|XP_035900432.1|ASTE	LOC115621324|XP_030370804.1|SLEB
OG0002404	LOC118504591|XP_035895141.1|ASTE	LOC115620509|XP_030369628.1|SLEB
OG0002405	LOC118508261|XP_035903780.1|ASTE	LOC115624222|XP_030374696.1|SLEB
OG0002406	LOC118508271|XP_035903805.1|ASTE	LOC115622115|XP_030371819.1|SLEB
OG0002408	LOC118502778|XP_035891268.1|ASTE, LOC118502777|XP_035891266.1|ASTE	LOC115625056|XP_030375778.1|SLEB
OG0002410	LOC118502983|XP_035891659.1|ASTE	LOC115623956|XP_030374381.1|SLEB
OG0002411	LOC118517197|XP_035919040.1|ASTE, LOC118505133|XP_035896365.1|ASTE	LOC115623530|XP_030373772.1|SLEB
OG0002412	LOC118517195|XP_035919039.1|ASTE, LOC118505128|XP_035896338.1|ASTE	LOC115628660|XP_030380687.1|SLEB
OG0002413	LOC118506549|XP_035899738.1|ASTE	LOC115629846|XP_030382286.1|SLEB
OG0002414	LOC118507621|XP_035902236.1|ASTE	LOC115633056|XP_030386261.1|SLEB
OG0002415	LOC118507579|XP_035902126.1|ASTE	LOC115623387|XP_030373548.1|SLEB
OG0002418	LOC118506702|XP_035900087.1|ASTE	LOC115620589|XP_030369758.1|SLEB
OG0002419	LOC118506728|XP_035900158.1|ASTE, LOC118512421|XP_035912717.1|ASTE	LOC115629362|XP_030381676.1|SLEB
OG0002420	LOC118506395|XP_035899337.1|ASTE	LOC115632828|XP_030385942.1|SLEB, LOC115632827|XP_030385940.1|SLEB
OG0002421	LOC118504513|XP_035894938.1|ASTE	LOC115625415|XP_030376314.1|SLEB
OG0002422	LOC118502812|XP_035891345.1|ASTE	LOC115623520|XP_030373761.1|SLEB
OG0002423	LOC118506401|XP_035899355.1|ASTE	LOC115622335|XP_030372107.1|SLEB
OG0002424	LOC118504258|XP_035894380.1|ASTE	LOC115628016|XP_030379806.1|SLEB
OG0002425	LOC118508523|XP_035904275.1|ASTE	LOC115626778|XP_030378104.1|SLEB
OG0002426	LOC118504316|XP_035894517.1|ASTE	LOC115623080|XP_030373139.1|SLEB
OG0002427	LOC118504325|XP_035894546.1|ASTE	LOC115627865|XP_030379606.1|SLEB
OG0002428	LOC118504979|XP_035896015.1|ASTE	LOC115627112|XP_030378538.1|SLEB
OG0002429	LOC118507080|XP_035900956.1|ASTE	LOC115622869|XP_030372816.1|SLEB
OG0002430	LOC118504270|XP_035894395.1|ASTE	LOC115629395|XP_030381709.1|SLEB
OG0002431	LOC118505814|XP_035898052.1|ASTE	LOC115620073|XP_030369095.1|SLEB
OG0002432	LOC118510663|XP_035908693.1|ASTE	LOC115627150|XP_030378588.1|SLEB
OG0002433	LOC118507973|XP_035903198.1|ASTE	LOC115622016|XP_030371731.1|SLEB
OG0002434	LOC118507976|XP_035903216.1|ASTE	LOC115628085|XP_030379922.1|SLEB
OG0002436	LOC118504101|XP_035894078.1|ASTE	LOC115620070|XP_030369086.1|SLEB
OG0002437	LOC118507141|XP_035901068.1|ASTE, LOC118508118|XP_035903517.1|ASTE	LOC115634559|XP_030388235.1|SLEB
OG0002438	LOC118508224|XP_035903708.1|ASTE	LOC115627458|XP_030378988.1|SLEB
OG0002439	LOC118504329|XP_035894553.1|ASTE	LOC115626255|XP_030377418.1|SLEB
OG0002440	LOC118505971|XP_035898413.1|ASTE	LOC115632228|XP_030385148.1|SLEB
OG0002441	LOC118505273|XP_035896728.1|ASTE	LOC115633933|XP_030387309.1|SLEB
OG0002442	LOC118503525|XP_035892803.1|ASTE	LOC115624532|XP_030375116.1|SLEB
OG0002443	LOC118505846|XP_035898110.1|ASTE	LOC115629147|XP_030381370.1|SLEB
OG0002444	LOC118504799|XP_035895670.1|ASTE	LOC115624620|XP_030375230.1|SLEB
OG0002445	LOC118507410|XP_035901764.1|ASTE	LOC115625329|XP_030376217.1|SLEB
OG0002446	LOC118504117|XP_035894101.1|ASTE	LOC115631021|XP_030383500.1|SLEB
OG0002447	LOC118503398|XP_035892493.1|ASTE	LOC115622195|XP_030371946.1|SLEB, LOC115630210|XP_030382638.1|SLEB, LOC115630211|XP_030382639.1|SLEB
OG0002448	LOC118507992|XP_035903254.1|ASTE	LOC115621395|XP_030370900.1|SLEB
OG0002449	LOC118507984|XP_035903243.1|ASTE	LOC115630118|XP_030382593.1|SLEB
OG0002450	LOC118502520|XP_035890674.1|ASTE	LOC115624096|XP_030374545.1|SLEB
OG0002451	LOC118503703|XP_035893159.1|ASTE	LOC115634330|XP_030387847.1|SLEB
OG0002452	LOC118503937|XP_035893700.1|ASTE	LOC115634006|XP_030387392.1|SLEB
OG0002453	LOC118503924|XP_035893647.1|ASTE	LOC115623695|XP_030374033.1|SLEB
OG0002454	LOC118506069|XP_035898623.1|ASTE, LOC118516511|XP_035918335.1|ASTE	LOC115622627|XP_030372494.1|SLEB
OG0002455	LOC118516513|XP_035918337.1|ASTE, LOC118506067|XP_035898618.1|ASTE, LOC118516330|XP_035918024.1|ASTE	LOC115622475|XP_030372279.1|SLEB
OG0002456	LOC118506036|XP_035898560.1|ASTE	LOC115624950|XP_030375661.1|SLEB
OG0002457	LOC118507966|XP_035903188.1|ASTE	LOC115619962|XP_030368853.1|SLEB
OG0002458	LOC118512529|XP_035912969.1|ASTE	LOC115624895|XP_030375607.1|SLEB
OG0002459	LOC118507931|XP_035903127.1|ASTE	LOC115627098|XP_030378518.1|SLEB
OG0002460	LOC118505945|XP_035898362.1|ASTE	LOC115624947|XP_030375658.1|SLEB
OG0002461	LOC118507370|XP_035901705.1|ASTE	LOC115634616|XP_030388324.1|SLEB
OG0002462	LOC118504057|XP_035893982.1|ASTE	LOC115634446|XP_030388029.1|SLEB
OG0002463	LOC118510087|XP_035907391.1|ASTE	LOC115626822|XP_030378166.1|SLEB
OG0002464	LOC118508142|XP_035903561.1|ASTE	LOC115624736|XP_030375421.1|SLEB
OG0002465	LOC118508141|XP_035903560.1|ASTE	LOC115624655|XP_030375296.1|SLEB
OG0002466	LOC118516529|XP_035918358.1|ASTE, LOC118506077|XP_035898639.1|ASTE	LOC115627784|XP_030379454.1|SLEB
