Orthogroup	ASTE.longest_only	DSEC.longest_only
OG0001542	LOC118502635|XP_035890979.1|ASTE	LOC6606911|XP_032577139.1|DSEC
OG0001545	LOC118506676|XP_035900013.1|ASTE	LOC6615252|XP_032582746.1|DSEC, LOC6620716|XP_032582113.1|DSEC
OG0001546	LOC118508312|XP_035903877.1|ASTE	LOC6615251|XP_002039656.2|DSEC
OG0001547	LOC118506882|XP_035900543.1|ASTE	LOC6616227|XP_002040592.2|DSEC
OG0001548	LOC118517085|XP_035918834.1|ASTE	LOC6617952|XP_002042260.2|DSEC
OG0001549	LOC118511070|XP_035909580.1|ASTE	LOC6614425|XP_032583709.1|DSEC
OG0001551	LOC118508471|XP_035904171.1|ASTE	LOC6607512|XP_032577583.1|DSEC
OG0001552	LOC118506807|XP_035900358.1|ASTE	LOC6607142|XP_002031928.1|DSEC
OG0001553	LOC118504450|XP_035894835.1|ASTE, LOC118507559|XP_035902043.1|ASTE	LOC6612577|XP_032581040.1|DSEC
OG0001554	LOC118503590|XP_035892934.1|ASTE	LOC6606938|XP_002031732.2|DSEC
OG0001555	LOC118514560|XP_035917444.1|ASTE, LOC118508297|XP_035903840.1|ASTE	LOC6614609|XP_002039037.1|DSEC
OG0001556	LOC118514356|XP_035917071.1|ASTE	LOC6609752|XP_002034406.1|DSEC
OG0001557	LOC118504645|XP_035895294.1|ASTE, LOC118505132|XP_035896359.1|ASTE	LOC6619900|XP_032581649.1|DSEC
OG0001558	LOC118504481|XP_035894891.1|ASTE	LOC6619998|XP_032580368.1|DSEC
OG0001559	LOC118502705|XP_035891142.1|ASTE	LOC6607719|XP_002032482.1|DSEC
OG0001560	LOC118506880|XP_035900522.1|ASTE	LOC6614310|XP_032579474.1|DSEC
OG0001561	LOC118502733|XP_035891187.1|ASTE, LOC118515314|XP_035917895.1|ASTE	LOC6616763|XP_002041100.1|DSEC
OG0001562	LOC118511566|XP_035910698.1|ASTE	LOC6611424|XP_002035968.1|DSEC
OG0001563	LOC118506798|XP_035900314.1|ASTE	LOC6620135|XP_002044347.1|DSEC
OG0001564	LOC118505168|XP_035896467.1|ASTE	LOC6607335|XP_032578554.1|DSEC
OG0001565	LOC118515292|XP_035917863.1|ASTE, LOC118506372|XP_035899287.1|ASTE	LOC6607310|XP_032577806.1|DSEC
OG0001566	LOC118505781|XP_035897970.1|ASTE	LOC6606905|XP_002031699.1|DSEC
OG0001567	LOC118511921|XP_035911452.1|ASTE	LOC6608654|XP_002033388.1|DSEC
OG0001568	LOC118511924|XP_035911466.1|ASTE	LOC6606400|XP_032579137.1|DSEC
OG0001569	LOC118511929|XP_035911502.1|ASTE	LOC6606491|XP_002031292.1|DSEC
OG0001570	LOC118504393|XP_035894692.1|ASTE	LOC6606541|XP_002031342.1|DSEC
OG0001571	LOC118511747|XP_035911102.1|ASTE	LOC6611981|XP_032583112.1|DSEC
OG0001572	LOC118508886|XP_035904608.1|ASTE, LOC118508884|XP_035904598.1|ASTE	LOC6617918|XP_002042226.1|DSEC
OG0001573	LOC118512694|XP_035913394.1|ASTE	LOC6610826|XP_002035392.2|DSEC
OG0001574	LOC118517603|XP_035919784.1|ASTE, LOC118509099|XP_035905148.1|ASTE	LOC6615845|XP_032580246.1|DSEC
OG0001575	LOC118511278|XP_035910063.1|ASTE	LOC6607704|XP_002032468.1|DSEC
OG0001576	LOC118512248|XP_035912283.1|ASTE	LOC6606862|XP_002031656.1|DSEC
OG0001577	LOC118508852|XP_035904498.1|ASTE	LOC6612759|XP_032576594.1|DSEC
OG0001578	LOC118517265|XP_035919131.1|ASTE, LOC118510235|XP_035907693.1|ASTE	LOC6609801|XP_002034455.1|DSEC
OG0001579	LOC118509698|XP_035906659.1|ASTE	LOC116803113|XP_032582962.1|DSEC, LOC6615055|XP_032580390.1|DSEC
OG0001580	LOC118511539|XP_035910626.1|ASTE	LOC6608557|XP_032571031.1|DSEC, LOC116800703|XP_032573053.1|DSEC
OG0001581	LOC118512895|XP_035913900.1|ASTE	LOC6617466|XP_002041783.2|DSEC
OG0001582	LOC118514210|XP_035916796.1|ASTE	LOC6608860|XP_032571863.1|DSEC, LOC6608859|XP_032572212.1|DSEC
OG0001583	LOC118509919|XP_035907122.1|ASTE	LOC6608073|XP_002032821.1|DSEC
OG0001584	LOC118509247|XP_035905474.1|ASTE	LOC6610241|XP_002034836.1|DSEC
OG0001586	LOC118510349|XP_035907937.1|ASTE	LOC6611138|XP_002035695.1|DSEC
OG0001587	LOC118511335|XP_035910161.1|ASTE	LOC6620406|XP_002044615.1|DSEC
OG0001588	LOC118512235|XP_035912262.1|ASTE	LOC6608038|XP_002032786.1|DSEC
OG0001589	LOC118507578|XP_035902124.1|ASTE	LOC6620745|XP_002044947.1|DSEC
OG0001590	LOC118512262|XP_035912326.1|ASTE	LOC6609935|XP_032572120.1|DSEC
OG0001591	LOC118509673|XP_035906569.1|ASTE	LOC6617947|XP_032580507.1|DSEC, LOC6620204|XP_002044411.2|DSEC, LOC6612686|XP_032577137.1|DSEC
OG0001593	LOC118513303|XP_035914777.1|ASTE	LOC6617742|XP_002042054.1|DSEC
OG0001594	LOC118508926|XP_035904703.1|ASTE	LOC6613359|XP_032569730.1|DSEC
OG0001595	LOC118513575|XP_035915404.1|ASTE	LOC6608674|XP_032570831.1|DSEC
OG0001596	LOC118509053|XP_035905056.1|ASTE	LOC6614708|XP_002039135.1|DSEC
OG0001597	LOC118509170|XP_035905323.1|ASTE	LOC116803617|XP_032583550.1|DSEC, LOC116803619|XP_032583557.1|DSEC, LOC116803612|XP_032583535.1|DSEC
OG0001598	LOC118514155|XP_035916662.1|ASTE, LOC118517206|XP_035919060.1|ASTE	LOC6611259|XP_002035814.2|DSEC
OG0001599	LOC118513962|XP_035916270.1|ASTE	LOC6611443|XP_002035986.1|DSEC
OG0001600	LOC118512033|XP_035911718.1|ASTE	LOC6611317|XP_032579060.1|DSEC
OG0001601	LOC118511048|XP_035909539.1|ASTE	LOC6613583|XP_002038051.1|DSEC
OG0001603	LOC118513928|XP_035916189.1|ASTE, LOC118513930|XP_035916193.1|ASTE	LOC6611828|XP_002036350.1|DSEC
OG0001604	LOC118506855|XP_035900478.1|ASTE	LOC6612269|XP_032582174.1|DSEC
OG0001605	LOC118517091|XP_035918837.1|ASTE, LOC118513873|XP_035916071.1|ASTE	LOC6608202|XP_002032947.1|DSEC
OG0001606	LOC118511131|XP_035909758.1|ASTE	LOC116800582|XP_032572236.1|DSEC
OG0001607	LOC118515235|XP_035917813.1|ASTE, LOC118513582|XP_035915438.1|ASTE	LOC6614416|XP_002038849.1|DSEC
OG0001608	LOC118511595|XP_035910750.1|ASTE	LOC116800459|XP_032571468.1|DSEC, LOC116800460|XP_032571478.1|DSEC, LOC6619342|XP_002043517.2|DSEC
OG0001609	LOC118509990|XP_035907266.1|ASTE, LOC118514436|XP_035917229.1|ASTE	LOC6609275|XP_032571343.1|DSEC
OG0001610	LOC118513447|XP_035915090.1|ASTE	LOC6614768|XP_002039187.1|DSEC
OG0001611	LOC118511616|XP_035910799.1|ASTE	LOC6618194|XP_002042469.1|DSEC
OG0001612	LOC118514150|XP_035916656.1|ASTE, LOC118514149|XP_035916653.1|ASTE, LOC118514151|XP_035916657.1|ASTE	LOC6611645|XP_002036181.1|DSEC
OG0001613	LOC118511024|XP_035909495.1|ASTE, LOC118511023|XP_035909494.1|ASTE	LOC6621777|XP_032575672.1|DSEC
OG0001614	LOC118508973|XP_035904842.1|ASTE	LOC6608269|XP_032571892.1|DSEC
OG0001615	LOC118510591|XP_035908485.1|ASTE	LOC116800522|XP_032571843.1|DSEC
OG0001616	LOC118513265|XP_035914725.1|ASTE	LOC6617691|XP_002042003.1|DSEC
OG0001617	LOC118510872|XP_035909124.1|ASTE	LOC6614736|XP_032569984.1|DSEC
OG0001618	LOC118506415|XP_035899396.1|ASTE, LOC118502532|XP_035890695.1|ASTE	LOC6611973|XP_002036490.2|DSEC
OG0001619	LOC118512480|XP_035912868.1|ASTE	LOC6611774|XP_002036297.1|DSEC
OG0001620	LOC118510914|XP_035909210.1|ASTE	LOC6615774|XP_032570297.1|DSEC
OG0001621	LOC118513213|XP_035914620.1|ASTE	LOC6609364|XP_002034053.1|DSEC
OG0001622	LOC118513207|XP_035914604.1|ASTE, LOC118504603|XP_035895160.1|ASTE	LOC6619768|XP_002043981.1|DSEC
OG0001623	LOC118513316|XP_035914811.1|ASTE	LOC6617260|XP_032574083.1|DSEC
OG0001624	LOC118510774|XP_035908934.1|ASTE	LOC6613634|XP_002038104.1|DSEC
OG0001625	LOC118510768|XP_035908920.1|ASTE	LOC6619307|XP_002043524.1|DSEC
OG0001626	LOC118504252|XP_035894372.1|ASTE	LOC6611608|XP_002036145.1|DSEC
OG0001627	LOC118504929|XP_035895915.1|ASTE	LOC6621117|XP_032578663.1|DSEC
OG0001628	LOC118514678|XP_035917619.1|ASTE	LOC6617042|XP_002041370.1|DSEC
OG0001630	LOC118502353|XP_035890429.1|ASTE	LOC6607703|XP_002032467.1|DSEC
OG0001631	LOC118506721|XP_035900137.1|ASTE	LOC6613845|XP_032578151.1|DSEC
OG0001632	LOC118502653|XP_035890997.1|ASTE	LOC6611871|XP_002036389.1|DSEC
OG0001633	LOC118502573|XP_035890791.1|ASTE, LOC118502572|XP_035890789.1|ASTE	LOC6606812|XP_002031609.1|DSEC
OG0001635	LOC118506413|XP_035899385.1|ASTE, LOC118506412|XP_035899384.1|ASTE	LOC6616993|XP_032578541.1|DSEC
OG0001637	LOC118507153|XP_035901082.1|ASTE	LOC6607127|XP_002031915.1|DSEC
OG0001638	LOC118504328|XP_035894552.1|ASTE	LOC6612441|XP_002036949.2|DSEC, LOC6616646|XP_002041003.1|DSEC, LOC6616130|XP_002040495.1|DSEC
OG0001639	LOC118507978|XP_035903220.1|ASTE	LOC6619141|XP_002043381.1|DSEC
OG0001640	LOC118511402|XP_035910329.1|ASTE	LOC6621645|XP_032577074.1|DSEC
OG0001641	LOC118504238|XP_035894355.1|ASTE	LOC6606765|XP_002031562.1|DSEC
OG0001642	LOC118504527|XP_035894962.1|ASTE	LOC6620169|XP_002044380.1|DSEC
OG0001643	LOC118508101|XP_035903477.1|ASTE	LOC6611589|XP_002036126.1|DSEC
OG0001644	LOC118503910|XP_035893596.1|ASTE	LOC6605571|XP_002030393.1|DSEC
OG0001645	LOC118506316|XP_035899158.1|ASTE	LOC6615476|XP_002039856.1|DSEC
OG0001646	LOC118507916|XP_035903110.1|ASTE	LOC6609550|XP_032571493.1|DSEC
OG0001647	LOC118507219|XP_035901214.1|ASTE	LOC6607979|XP_032572871.1|DSEC
OG0001648	LOC118504048|XP_035893944.1|ASTE	LOC6605664|XP_032575123.1|DSEC
OG0001649	LOC118512355|XP_035912550.1|ASTE	LOC6609118|XP_002033820.1|DSEC
OG0001650	LOC118503629|XP_035893012.1|ASTE, LOC118507436|XP_035901808.1|ASTE	LOC6609916|XP_002034566.1|DSEC
OG0001651	LOC118506207|XP_035898907.1|ASTE, LOC118506315|XP_035899157.1|ASTE	LOC6615580|XP_032573028.1|DSEC
OG0001652	LOC118504165|XP_035894194.1|ASTE	LOC6606138|XP_002030946.2|DSEC
OG0001653	LOC118503238|XP_035892140.1|ASTE	LOC6616492|XP_002040852.1|DSEC
OG0001654	LOC118503058|XP_035891817.1|ASTE	LOC6609634|XP_032572253.1|DSEC
OG0001655	LOC118503057|XP_035891815.1|ASTE	LOC6608376|XP_002033112.1|DSEC
OG0001656	LOC118503089|XP_035891872.1|ASTE	LOC6613160|XP_032583324.1|DSEC
OG0001657	LOC118503360|XP_035892445.1|ASTE	LOC6605776|XP_002030591.1|DSEC
OG0001658	LOC118508050|XP_035903397.1|ASTE	LOC6605350|XP_002030184.1|DSEC
OG0001659	LOC118504911|XP_035895873.1|ASTE	LOC6605591|XP_002030410.1|DSEC
OG0001660	LOC118504453|XP_035894843.1|ASTE	LOC6610350|XP_002034936.1|DSEC
OG0001661	LOC118508365|XP_035903979.1|ASTE	LOC6606906|XP_002031700.1|DSEC
OG0001662	LOC118510373|XP_035907991.1|ASTE	LOC6604833|XP_002029678.1|DSEC
OG0001678	LOC118505686|XP_035897718.1|ASTE	LOC6618088|XP_032580068.1|DSEC
OG0001679	LOC118506580|XP_035899831.1|ASTE, LOC118506589|XP_035899844.1|ASTE	LOC6612326|XP_002036836.1|DSEC
OG0001680	LOC118503965|XP_035893774.1|ASTE	LOC6619002|XP_002043247.2|DSEC
OG0001681	LOC118511258|XP_035910021.1|ASTE	LOC6617477|XP_032581702.1|DSEC
OG0001682	LOC118505497|XP_035897250.1|ASTE	LOC6614819|XP_002039238.1|DSEC
OG0001683	LOC118502935|XP_035891580.1|ASTE, LOC118511236|XP_035909966.1|ASTE	LOC6611677|XP_032579879.1|DSEC
OG0001684	LOC118510517|XP_035908380.1|ASTE, LOC118509599|XP_035906283.1|ASTE	LOC6619460|XP_032579780.1|DSEC
OG0001685	LOC118513284|XP_035914745.1|ASTE	LOC6613681|XP_002038151.1|DSEC
OG0001686	LOC118511071|XP_035909614.1|ASTE	LOC116802218|XP_032581873.1|DSEC, LOC6614906|XP_032581874.1|DSEC
OG0001687	LOC118507884|XP_035903014.1|ASTE	LOC6615855|XP_032581108.1|DSEC
OG0001688	LOC118504183|XP_035894235.1|ASTE	LOC6612333|XP_002036843.1|DSEC, LOC6612334|XP_032581990.1|DSEC
OG0001689	LOC118507763|XP_035902677.1|ASTE	LOC6619907|XP_002044119.2|DSEC
OG0001690	LOC118517487|XP_035919576.1|ASTE	LOC6610924|XP_002035481.1|DSEC
OG0001691	LOC118511295|XP_035910098.1|ASTE	LOC6611585|XP_002036123.2|DSEC
OG0001694	LOC118508393|XP_035904036.1|ASTE	LOC6613741|XP_002038211.2|DSEC
OG0001695	LOC118505813|XP_035898050.1|ASTE	LOC6609825|XP_002034479.1|DSEC
OG0001696	LOC118502666|XP_035891025.1|ASTE	LOC6606977|XP_002031769.2|DSEC
OG0001698	LOC118517004|XP_035918739.1|ASTE	LOC6615098|XP_032580674.1|DSEC
OG0001699	LOC118504564|XP_035895066.1|ASTE	LOC6606944|XP_002031738.1|DSEC
OG0001700	LOC118502360|XP_035890470.1|ASTE	LOC6607078|XP_002031866.1|DSEC
OG0001701	LOC118502680|XP_035891081.1|ASTE	LOC6614047|XP_032577458.1|DSEC
OG0001702	LOC118513413|XP_035915014.1|ASTE	LOC6611893|XP_002036410.1|DSEC
OG0001703	LOC118508469|XP_035904168.1|ASTE	LOC6607517|XP_002032286.2|DSEC
OG0001704	LOC118508468|XP_035904167.1|ASTE	LOC6607518|XP_002032287.2|DSEC
OG0001705	LOC118508458|XP_035904154.1|ASTE	LOC6612754|XP_032577008.1|DSEC
OG0001706	LOC118506152|XP_035898802.1|ASTE	LOC6619116|XP_002043356.1|DSEC
OG0001707	LOC118505428|XP_035897085.1|ASTE	LOC6607557|XP_032577104.1|DSEC
OG0001708	LOC118506955|XP_035900667.1|ASTE	LOC6606489|XP_002031290.1|DSEC
OG0001709	LOC118508295|XP_035903837.1|ASTE	LOC6610768|XP_002035334.1|DSEC
OG0001710	LOC118507504|XP_035901928.1|ASTE	LOC6607348|XP_002032121.1|DSEC
OG0001711	LOC118503294|XP_035892281.1|ASTE	LOC6607424|XP_032578696.1|DSEC
OG0001712	LOC118505624|XP_035897580.1|ASTE	LOC6607663|XP_032576830.1|DSEC
OG0001713	LOC118506917|XP_035900606.1|ASTE	LOC6606842|XP_002031639.2|DSEC
OG0001714	LOC118505300|XP_035896802.1|ASTE	LOC6613905|XP_032579215.1|DSEC
OG0001715	LOC118514342|XP_035917052.1|ASTE, LOC118507864|XP_035902961.1|ASTE	LOC6618003|XP_002042311.2|DSEC
OG0001716	LOC118504968|XP_035895992.1|ASTE	LOC6620173|XP_002044384.1|DSEC
OG0001717	LOC118504829|XP_035895725.1|ASTE	LOC6612783|XP_032579054.1|DSEC
OG0001718	LOC118516463|XP_035918256.1|ASTE, LOC118505033|XP_035896155.1|ASTE	LOC6607470|XP_032578573.1|DSEC
OG0001719	LOC118507821|XP_035902795.1|ASTE	LOC6607563|XP_032576632.1|DSEC
OG0001720	LOC118508567|XP_035904359.1|ASTE	LOC6606915|XP_032578893.1|DSEC
OG0001721	LOC118505089|XP_035896279.1|ASTE, LOC118505097|XP_035896292.1|ASTE	LOC6607294|XP_002032073.1|DSEC
OG0001722	LOC118510173|XP_035907586.1|ASTE, LOC118510171|XP_035907579.1|ASTE	LOC6605862|XP_032573859.1|DSEC
OG0001723	LOC118512085|XP_035911941.1|ASTE	LOC6619122|XP_002043362.1|DSEC
OG0001724	LOC118508883|XP_035904591.1|ASTE	LOC6615381|XP_032572247.1|DSEC
OG0001725	LOC118508866|XP_035904519.1|ASTE	LOC6608464|XP_032572309.1|DSEC
OG0001726	LOC118509604|XP_035906293.1|ASTE	LOC6616370|XP_002040730.1|DSEC
OG0001727	LOC118511368|XP_035910239.1|ASTE, LOC118508032|XP_035903326.1|ASTE	LOC6607454|XP_002032223.1|DSEC
OG0001728	LOC118512957|XP_035914073.1|ASTE	LOC6608724|XP_002033448.1|DSEC
OG0001729	LOC118512169|XP_035912142.1|ASTE	LOC6618921|XP_032571585.1|DSEC
OG0001730	LOC118510465|XP_035908214.1|ASTE	LOC6617702|XP_002042014.2|DSEC
OG0001732	LOC118509125|XP_035905212.1|ASTE	LOC6613594|XP_002038063.1|DSEC
OG0001733	LOC118513033|XP_035914203.1|ASTE	LOC6615345|XP_002039743.1|DSEC
OG0001734	LOC118513030|XP_035914199.1|ASTE, LOC118513036|XP_035914206.1|ASTE	LOC6608281|XP_032571568.1|DSEC
OG0001735	LOC118509500|XP_035906051.1|ASTE	LOC116801097|XP_032574602.1|DSEC
OG0001736	LOC118512837|XP_035913783.1|ASTE	LOC6609855|XP_032570861.1|DSEC
OG0001737	LOC118511438|XP_035910426.1|ASTE	LOC6615756|XP_002040127.2|DSEC
OG0001738	LOC118514230|XP_035916826.1|ASTE	LOC6606067|XP_002030877.1|DSEC
OG0001739	LOC118511795|XP_035911218.1|ASTE	LOC116801613|XP_032578125.1|DSEC
OG0001740	LOC118512766|XP_035913558.1|ASTE, LOC118516356|XP_035918081.1|ASTE	LOC6615698|XP_002040069.2|DSEC
OG0001742	LOC118514205|XP_035916791.1|ASTE	LOC6608466|XP_002033200.2|DSEC
OG0001743	LOC118509515|XP_035906105.1|ASTE	LOC6610394|XP_032575531.1|DSEC
OG0001744	LOC118509613|XP_035906319.1|ASTE	LOC6607885|XP_032570103.1|DSEC
OG0001745	LOC118510343|XP_035907906.1|ASTE	LOC6615591|XP_032572070.1|DSEC
OG0001746	LOC118511871|XP_035911364.1|ASTE	LOC6605173|XP_002030012.1|DSEC
OG0001747	LOC118512853|XP_035913817.1|ASTE	LOC6609700|XP_032571896.1|DSEC
OG0001748	LOC118509126|XP_035905213.1|ASTE, LOC118509118|XP_035905182.1|ASTE	LOC6604950|XP_032575291.1|DSEC
OG0001749	LOC118514171|XP_035916729.1|ASTE, LOC118516709|XP_035918560.1|ASTE	LOC6618838|XP_002043087.1|DSEC
OG0001750	LOC118514170|XP_035916728.1|ASTE, LOC118516708|XP_035918543.1|ASTE	LOC6618836|XP_032571987.1|DSEC
OG0001751	LOC118511876|XP_035911386.1|ASTE	LOC6606077|XP_032575183.1|DSEC
OG0001752	LOC118509574|XP_035906233.1|ASTE, LOC118516424|XP_035918188.1|ASTE	LOC6610938|XP_002035495.1|DSEC
OG0001753	LOC118511557|XP_035910679.1|ASTE	LOC6610644|XP_032573611.1|DSEC
OG0001754	LOC118512260|XP_035912318.1|ASTE	LOC6608875|XP_002033589.1|DSEC
OG0001755	LOC118513483|XP_035915187.1|ASTE	LOC6610654|XP_032575320.1|DSEC
OG0001756	LOC118511549|XP_035910651.1|ASTE	LOC6609372|XP_032573040.1|DSEC
OG0001757	LOC118511847|XP_035911284.1|ASTE	LOC6609792|XP_002034446.1|DSEC
OG0001758	LOC118511858|XP_035911299.1|ASTE	LOC6605599|XP_032573278.1|DSEC
OG0001759	LOC118511522|XP_035910603.1|ASTE	LOC6609590|XP_002034267.1|DSEC
OG0001760	LOC118511345|XP_035910192.1|ASTE	LOC6608315|XP_002033052.1|DSEC
OG0001761	LOC118509572|XP_035906230.1|ASTE, LOC118516430|XP_035918200.1|ASTE	LOC6615343|XP_032570221.1|DSEC
OG0001762	LOC118505666|XP_035897685.1|ASTE, LOC118504544|XP_035895039.1|ASTE	LOC6611428|XP_002035972.2|DSEC
OG0001763	LOC118504332|XP_035894559.1|ASTE	LOC6611454|XP_032578141.1|DSEC
OG0001764	LOC118510973|XP_035909359.1|ASTE	LOC6616871|XP_002041207.1|DSEC
OG0001765	LOC118510963|XP_035909322.1|ASTE	LOC6608363|XP_032572939.1|DSEC
OG0001766	LOC118512726|XP_035913475.1|ASTE	LOC6611719|XP_002036252.1|DSEC
OG0001767	LOC118511704|XP_035911013.1|ASTE	LOC6613220|XP_002037698.2|DSEC
OG0001768	LOC118513979|XP_035916298.1|ASTE	LOC6617251|XP_002041578.1|DSEC
OG0001769	LOC118510626|XP_035908556.1|ASTE	LOC6613541|XP_002038009.2|DSEC
OG0001770	LOC118513941|XP_035916217.1|ASTE	LOC6612075|XP_002036592.1|DSEC
OG0001771	LOC118513978|XP_035916297.1|ASTE	LOC6621141|XP_002045320.1|DSEC
OG0001772	LOC118511057|XP_035909559.1|ASTE	LOC6611964|XP_002036481.1|DSEC
OG0001774	LOC118513879|XP_035916079.1|ASTE, LOC118517087|XP_035918832.1|ASTE, LOC118517088|XP_035918833.1|ASTE	LOC6618876|XP_002043124.2|DSEC
OG0001776	LOC118513424|XP_035915030.1|ASTE	LOC6611398|XP_032569881.1|DSEC
OG0001777	LOC118511584|XP_035910729.1|ASTE	LOC6611527|XP_002036068.1|DSEC
OG0001778	LOC118510842|XP_035909063.1|ASTE	LOC6613687|XP_002038157.1|DSEC
OG0001779	LOC118513433|XP_035915055.1|ASTE	LOC6611912|XP_032569873.1|DSEC
OG0001780	LOC118508989|XP_035904880.1|ASTE	LOC6619124|XP_032570511.1|DSEC
OG0001781	LOC118513441|XP_035915075.1|ASTE, LOC118509132|XP_035905224.1|ASTE	LOC6614767|XP_032582941.1|DSEC
OG0001782	LOC118510004|XP_035907282.1|ASTE, LOC118515321|XP_035917903.1|ASTE	LOC6617880|XP_002042188.2|DSEC
OG0001783	LOC118510106|XP_035907465.1|ASTE	LOC6611759|XP_002036282.1|DSEC
OG0001784	LOC118514156|XP_035916665.1|ASTE	LOC6617389|XP_002041714.1|DSEC
OG0001785	LOC118508993|XP_035904884.1|ASTE	LOC6608371|XP_002033107.1|DSEC
OG0001786	LOC118512499|XP_035912901.1|ASTE	LOC6611504|XP_002036045.1|DSEC
OG0001787	LOC118512503|XP_035912906.1|ASTE	LOC6611506|XP_032575646.1|DSEC
OG0001788	LOC118515317|XP_035917897.1|ASTE, LOC118509847|XP_035906938.1|ASTE	LOC6609060|XP_002033763.1|DSEC
OG0001789	LOC118509199|XP_035905362.1|ASTE, LOC118517261|XP_035919128.1|ASTE	LOC6615650|XP_002040021.1|DSEC
OG0001790	LOC118513622|XP_035915572.1|ASTE	LOC6611523|XP_032570130.1|DSEC
OG0001791	LOC118517108|XP_035918868.1|ASTE, LOC118513805|XP_035915901.1|ASTE	LOC6608679|XP_002033408.1|DSEC
OG0001792	LOC118513003|XP_035914153.1|ASTE	LOC6614589|XP_032580535.1|DSEC
OG0001793	LOC118513202|XP_035914586.1|ASTE	LOC6609124|XP_032570503.1|DSEC
OG0001794	LOC118514049|XP_035916437.1|ASTE	LOC6613688|XP_032583463.1|DSEC
OG0001795	LOC118510682|XP_035908738.1|ASTE	LOC6614395|XP_032583523.1|DSEC
OG0001797	LOC118517191|XP_035919029.1|ASTE, LOC118505359|XP_035896928.1|ASTE	LOC6619447|XP_002043661.2|DSEC
OG0001798	LOC118504609|XP_035895179.1|ASTE	LOC6620933|XP_002045128.2|DSEC
OG0001799	LOC118502437|XP_035890558.1|ASTE	LOC6615191|XP_002039604.1|DSEC, LOC116802026|XP_032580782.1|DSEC
OG0001800	LOC118506758|XP_035900245.1|ASTE	LOC6611533|XP_002036072.2|DSEC
OG0001801	LOC118504812|XP_035895709.1|ASTE	LOC6605091|XP_032573929.1|DSEC
OG0001802	LOC118517567|XP_035919704.1|ASTE	LOC6607229|XP_002032013.2|DSEC
OG0001803	LOC118505481|XP_035897192.1|ASTE	LOC6614330|XP_002038770.1|DSEC
OG0001804	LOC118502465|XP_035890589.1|ASTE	LOC6613962|XP_032576862.1|DSEC
OG0001805	LOC118506677|XP_035900025.1|ASTE	LOC6604853|XP_032575508.1|DSEC
OG0001806	LOC118505362|XP_035896945.1|ASTE	LOC6607764|XP_002032527.1|DSEC
OG0001808	LOC118507956|XP_035903175.1|ASTE	LOC6606820|XP_032576925.1|DSEC
OG0001809	LOC118506690|XP_035900055.1|ASTE	LOC6613849|XP_002038318.2|DSEC
OG0001810	LOC118513263|XP_035914719.1|ASTE	LOC6607539|XP_002032308.1|DSEC
OG0001811	LOC118502528|XP_035890686.1|ASTE	LOC6608103|XP_002032851.1|DSEC
OG0001812	LOC118504326|XP_035894548.1|ASTE	LOC6614995|XP_032581492.1|DSEC
OG0001814	LOC118517396|XP_035919353.1|ASTE, LOC118510975|XP_035909362.1|ASTE	LOC6614299|XP_002038739.1|DSEC
OG0001815	LOC118510989|XP_035909397.1|ASTE	LOC6613989|XP_002038445.1|DSEC
OG0001816	LOC118504272|XP_035894399.1|ASTE	LOC6609026|XP_002033730.1|DSEC
OG0001817	LOC118512394|XP_035912666.1|ASTE	LOC6621152|XP_032571407.1|DSEC
OG0001818	LOC118507139|XP_035901062.1|ASTE	LOC6617615|XP_032581450.1|DSEC
OG0001819	LOC118504802|XP_035895683.1|ASTE	LOC6615490|XP_002039870.1|DSEC
OG0001820	LOC118503962|XP_035893750.1|ASTE	LOC6618977|XP_002043222.2|DSEC
OG0001821	LOC118504871|XP_035895815.1|ASTE	LOC6618857|XP_002043105.1|DSEC
OG0001822	LOC118506228|XP_035898959.1|ASTE	LOC6615614|XP_002039988.1|DSEC
OG0001823	LOC118507932|XP_035903129.1|ASTE, LOC118517652|XP_035919872.1|ASTE	LOC6605231|XP_002030069.1|DSEC
OG0001824	LOC118508277|XP_035903811.1|ASTE	LOC6617401|XP_002041726.2|DSEC
OG0001825	LOC118503934|XP_035893674.1|ASTE	LOC6609964|XP_032572454.1|DSEC
OG0001826	LOC118505312|XP_035896843.1|ASTE	LOC6608564|XP_002033298.1|DSEC
OG0001827	LOC118504777|XP_035895602.1|ASTE	LOC6609541|XP_002034224.2|DSEC
OG0001828	LOC118505912|XP_035898264.1|ASTE	LOC6618681|XP_002042940.2|DSEC
OG0001829	LOC118517209|XP_035919064.1|ASTE, LOC118507913|XP_035903099.1|ASTE	LOC6608753|XP_032571787.1|DSEC
OG0001830	LOC118505776|XP_035897940.1|ASTE	LOC6615644|XP_002040018.1|DSEC
OG0001831	LOC118504166|XP_035894196.1|ASTE, LOC118504167|XP_035894201.1|ASTE	LOC6606148|XP_032574319.1|DSEC
OG0001832	LOC118503535|XP_035892814.1|ASTE	LOC6612303|XP_002036813.2|DSEC
OG0001833	LOC118503397|XP_035892492.1|ASTE	LOC6615809|XP_002040179.2|DSEC
OG0001834	LOC118504457|XP_035894845.1|ASTE, LOC118503601|XP_035892965.1|ASTE, LOC118512858|XP_035913834.1|ASTE	LOC6606340|XP_002031145.1|DSEC
OG0001837	LOC118509598|XP_035906281.1|ASTE	LOC6610216|XP_002034823.2|DSEC
OG0001848	LOC118513372|XP_035914900.1|ASTE	LOC116800890|XP_032573143.1|DSEC
