Orthogroup	ASTE.longest_only	DSUB.longest_only
OG0001285	LOC118503095|XP_035891886.1|ASTE, LOC118512716|XP_035913448.1|ASTE	LOC117893184|XP_034655568.1|DSUB
OG0001286	LOC118512447|XP_035912804.1|ASTE	LOC117900861|XP_034667274.1|DSUB
OG0001287	LOC118512730|XP_035913483.1|ASTE	LOC117898019|XP_034663042.1|DSUB
OG0001288	LOC118512489|XP_035912886.1|ASTE	LOC117900970|XP_034667443.1|DSUB
OG0001289	LOC118514047|XP_035916431.1|ASTE	LOC117900082|XP_034666177.1|DSUB
OG0001290	LOC118510651|XP_035908659.1|ASTE	LOC117900545|XP_034666836.1|DSUB
OG0001291	LOC118506591|XP_035899841.1|ASTE	LOC117892388|XP_034654495.1|DSUB
OG0001292	LOC118503098|XP_035891890.1|ASTE, LOC118503104|XP_035891929.1|ASTE	LOC117892546|XP_034654746.1|DSUB
OG0001293	LOC118506581|XP_035899830.1|ASTE	LOC117891747|XP_034653248.1|DSUB
OG0001294	LOC118504858|XP_035895786.1|ASTE	LOC117899242|XP_034665009.1|DSUB
OG0001295	LOC118505807|XP_035898040.1|ASTE	LOC117903050|XP_034670680.1|DSUB, LOC117896521|XP_034660780.1|DSUB
OG0001296	LOC118508335|XP_035903896.1|ASTE, LOC118517059|XP_035918802.1|ASTE	LOC117891998|XP_034653775.1|DSUB
OG0001297	LOC118505340|XP_035896889.1|ASTE	LOC117899432|XP_034665325.1|DSUB
OG0001298	LOC118502576|XP_035890795.1|ASTE, LOC118506506|XP_035899615.1|ASTE	LOC117899504|XP_034665445.1|DSUB
OG0001299	LOC118505511|XP_035897300.1|ASTE, LOC118505510|XP_035897296.1|ASTE	LOC117892953|XP_034655175.1|DSUB
OG0001300	LOC118505015|XP_035896097.1|ASTE	LOC117899601|XP_034665615.1|DSUB
OG0001301	LOC118517591|XP_035919764.1|ASTE, LOC118505292|XP_035896780.1|ASTE, LOC118517184|XP_035918995.1|ASTE	LOC117900293|XP_034666497.1|DSUB
OG0001302	LOC118506830|XP_035900433.1|ASTE	LOC117891275|XP_034652542.1|DSUB
OG0001303	LOC118517568|XP_035919706.1|ASTE	LOC117899130|XP_034664817.1|DSUB
OG0001304	LOC118502579|XP_035890806.1|ASTE	LOC117890125|XP_034650696.1|DSUB
OG0001305	LOC118508529|XP_035904296.1|ASTE	LOC117898218|XP_034663338.1|DSUB
OG0001306	LOC118507719|XP_035902560.1|ASTE	LOC117897778|XP_034662717.1|DSUB
OG0001307	LOC118502798|XP_035891298.1|ASTE	LOC117895495|XP_034659081.1|DSUB, LOC117895504|XP_034659093.1|DSUB
OG0001308	LOC118506555|XP_035899757.1|ASTE	LOC117903515|XP_034671514.1|DSUB, LOC117894932|XP_034658126.1|DSUB
OG0001309	LOC118507709|XP_035902497.1|ASTE, LOC118507710|XP_035902498.1|ASTE	LOC117896098|XP_034660040.1|DSUB
OG0001311	LOC118503317|XP_035892341.1|ASTE, LOC118517427|XP_035919433.1|ASTE	LOC117899702|XP_034665804.1|DSUB
OG0001312	LOC118503305|XP_035892318.1|ASTE	LOC117894901|XP_034658084.1|DSUB
OG0001313	LOC118507236|XP_035901379.1|ASTE	LOC117889720|XP_034650031.1|DSUB
OG0001314	LOC118512881|XP_035914293.1|ASTE	LOC117901295|XP_034667880.1|DSUB
OG0001315	LOC118506659|XP_035899970.1|ASTE	LOC117903756|XP_034672057.1|DSUB
OG0001326	LOC118508303|XP_035903851.1|ASTE	LOC117899558|XP_034665538.1|DSUB
OG0001328	LOC118503066|XP_035891829.1|ASTE	LOC117898989|XP_034664626.1|DSUB
OG0001329	LOC118509272|XP_035905520.1|ASTE	LOC117899694|XP_034665792.1|DSUB
OG0001330	LOC118517158|XP_035918929.1|ASTE	LOC117890337|XP_034651058.1|DSUB
OG0001331	LOC118512722|XP_035913464.1|ASTE	LOC117891842|XP_034653486.1|DSUB
OG0001332	LOC118511331|XP_035910159.1|ASTE, LOC118511265|XP_035910034.1|ASTE	LOC117901146|XP_034667683.1|DSUB
OG0001333	LOC118509806|XP_035906845.1|ASTE, LOC118509778|XP_035906813.1|ASTE	LOC117901604|XP_034668308.1|DSUB
OG0001334	LOC118502597|XP_035890857.1|ASTE, LOC118502813|XP_035891349.1|ASTE	LOC117896429|XP_034660643.1|DSUB
OG0001335	LOC118505565|XP_035897415.1|ASTE, LOC118505566|XP_035897416.1|ASTE	LOC117898406|XP_034663664.1|DSUB
OG0001337	LOC118511391|XP_035910312.1|ASTE	LOC117895494|XP_034659121.1|DSUB
OG0001338	LOC118505063|XP_035896234.1|ASTE, LOC118516461|XP_035918252.1|ASTE	LOC117891857|XP_034653506.1|DSUB
OG0001339	LOC118502918|XP_035891545.1|ASTE, LOC118512193|XP_035912188.1|ASTE	LOC117890250|XP_034650887.1|DSUB
OG0001340	LOC118506774|XP_035900262.1|ASTE	LOC117897876|XP_034662843.1|DSUB
OG0001341	LOC118507844|XP_035902868.1|ASTE	LOC117897797|XP_034662738.1|DSUB
OG0001343	LOC118502423|XP_035890543.1|ASTE	LOC117896044|XP_034659943.1|DSUB
OG0001344	LOC118506366|XP_035899279.1|ASTE, LOC118506365|XP_035899272.1|ASTE	LOC117897464|XP_034662202.1|DSUB
OG0001345	LOC118516458|XP_035918249.1|ASTE, LOC118505112|XP_035896307.1|ASTE, LOC118516457|XP_035918247.1|ASTE, LOC118505111|XP_035896305.1|ASTE	LOC117897803|XP_034662743.1|DSUB
OG0001346	LOC118505438|XP_035897125.1|ASTE	LOC117898267|XP_034663412.1|DSUB
OG0001347	LOC118508585|XP_035904383.1|ASTE	LOC117889718|XP_034650030.1|DSUB, LOC117892747|XP_034655062.1|DSUB, LOC117901005|XP_034667497.1|DSUB
OG0001348	LOC118517273|XP_035919140.1|ASTE, LOC118514280|XP_035916915.1|ASTE	LOC117901176|XP_034667723.1|DSUB
OG0001349	LOC118510488|XP_035908267.1|ASTE	LOC117895328|XP_034658789.1|DSUB
OG0001350	LOC118512205|XP_035912208.1|ASTE	LOC117895178|XP_034658531.1|DSUB
OG0001351	LOC118512096|XP_035911955.1|ASTE	LOC117891192|XP_034652419.1|DSUB
OG0001352	LOC118509480|XP_035906015.1|ASTE	LOC117890471|XP_034651217.1|DSUB
OG0001353	LOC118504607|XP_035895177.1|ASTE, LOC118509513|XP_035906095.1|ASTE	LOC117895552|XP_034659149.1|DSUB
OG0001354	LOC118511541|XP_035910637.1|ASTE	LOC117890676|XP_034651548.1|DSUB
OG0001355	LOC118511525|XP_035910607.1|ASTE	LOC117891843|XP_034653484.1|DSUB
OG0001356	LOC118513488|XP_035915204.1|ASTE, LOC118509738|XP_035906760.1|ASTE	LOC117899784|XP_034665948.1|DSUB
OG0001357	LOC118512759|XP_035913542.1|ASTE, LOC118516367|XP_035918113.1|ASTE	LOC117893337|XP_034655817.1|DSUB
OG0001358	LOC118512760|XP_035913544.1|ASTE, LOC118516364|XP_035918093.1|ASTE	LOC117895008|XP_034658248.1|DSUB
OG0001359	LOC118514604|XP_035917493.1|ASTE, LOC118512664|XP_035913309.1|ASTE	LOC117902602|XP_034670005.1|DSUB
OG0001360	LOC118514357|XP_035917072.1|ASTE	LOC117890925|XP_034651947.1|DSUB
OG0001361	LOC118509799|XP_035906828.1|ASTE, LOC118509800|XP_035906829.1|ASTE	LOC117894211|XP_034657017.1|DSUB
OG0001362	LOC118512297|XP_035912420.1|ASTE	LOC117896771|XP_034661139.1|DSUB, LOC117892976|XP_034655212.1|DSUB, LOC117903331|XP_034671166.1|DSUB, LOC117894487|XP_034657486.1|DSUB
OG0001363	LOC118503687|XP_035893121.1|ASTE, LOC118512288|XP_035912404.1|ASTE	LOC117897980|XP_034662984.1|DSUB
OG0001364	LOC118514188|XP_035916767.1|ASTE, LOC118513327|XP_035914827.1|ASTE	LOC117890480|XP_034651237.1|DSUB
OG0001365	LOC118513191|XP_035914572.1|ASTE	LOC117894181|XP_034656982.1|DSUB, LOC117894623|XP_034657679.1|DSUB
OG0001367	LOC118509863|XP_035906966.1|ASTE	LOC117891830|XP_034653467.1|DSUB
OG0001368	LOC118513233|XP_035914671.1|ASTE	LOC117891775|XP_034653330.1|DSUB
OG0001369	LOC118514260|XP_035916869.1|ASTE	LOC117903064|XP_034670708.1|DSUB
OG0001370	LOC118517323|XP_035919196.1|ASTE, LOC118509379|XP_035905813.1|ASTE	LOC117891622|XP_034653049.1|DSUB
OG0001371	LOC118509649|XP_035906463.1|ASTE	LOC117902328|XP_034669509.1|DSUB
OG0001372	LOC118512013|XP_035911681.1|ASTE	LOC117891269|XP_034652534.1|DSUB
OG0001373	LOC118511033|XP_035909507.1|ASTE	LOC117901814|XP_034668619.1|DSUB
OG0001374	LOC118513899|XP_035916109.1|ASTE	LOC117893691|XP_034656272.1|DSUB, LOC117890749|XP_034651698.1|DSUB
OG0001376	LOC118515231|XP_035917809.1|ASTE, LOC118513577|XP_035915418.1|ASTE, LOC118515229|XP_035917808.1|ASTE, LOC118513576|XP_035915417.1|ASTE	LOC117889793|XP_034650156.1|DSUB
OG0001377	LOC118513915|XP_035916158.1|ASTE	LOC117903007|XP_034670643.1|DSUB, LOC117902522|XP_034669840.1|DSUB
OG0001378	LOC118512644|XP_035913253.1|ASTE	LOC117902119|XP_034669132.1|DSUB, LOC117901745|XP_034668523.1|DSUB
OG0001379	LOC118513885|XP_035916092.1|ASTE	LOC117901577|XP_034668267.1|DSUB
OG0001380	LOC118508988|XP_035904879.1|ASTE	LOC117892138|XP_034654066.1|DSUB
OG0001381	LOC118514539|XP_035917415.1|ASTE	LOC117890026|XP_034650532.1|DSUB
OG0001382	LOC118512516|XP_035912927.1|ASTE	LOC117902248|XP_034669384.1|DSUB
OG0001383	LOC118511029|XP_035909502.1|ASTE	LOC117902679|XP_034670102.1|DSUB, LOC117892025|XP_034653813.1|DSUB
OG0001384	LOC118509868|XP_035906984.1|ASTE	LOC117901688|XP_034668421.1|DSUB
OG0001385	LOC118513824|XP_035915953.1|ASTE, LOC118506497|XP_035899585.1|ASTE	LOC117900317|XP_034666537.1|DSUB
OG0001387	LOC118510806|XP_035909014.1|ASTE, LOC118510807|XP_035909016.1|ASTE	LOC117901473|XP_034668127.1|DSUB
OG0001388	LOC118510750|XP_035908882.1|ASTE, LOC118510751|XP_035908887.1|ASTE	LOC117901584|XP_034668282.1|DSUB
OG0001389	LOC118504458|XP_035894846.1|ASTE, LOC118504454|XP_035894839.1|ASTE	LOC117899067|XP_034664725.1|DSUB
OG0001390	LOC118506752|XP_035900235.1|ASTE	LOC117902089|XP_034669076.1|DSUB
OG0001391	LOC118504503|XP_035894922.1|ASTE	LOC117894281|XP_034657131.1|DSUB, LOC117902287|XP_034669455.1|DSUB
OG0001392	LOC118506657|XP_035899968.1|ASTE	LOC117903787|XP_034672105.1|DSUB
OG0001393	LOC118502606|XP_035890863.1|ASTE	LOC117901432|XP_034668070.1|DSUB
OG0001394	LOC118507094|XP_035900977.1|ASTE, LOC118504798|XP_035895669.1|ASTE	LOC117902461|XP_034669755.1|DSUB
OG0001395	LOC118505832|XP_035898080.1|ASTE	LOC117899220|XP_034664984.1|DSUB, LOC117898498|XP_034663831.1|DSUB
OG0001396	LOC118506543|XP_035899727.1|ASTE	LOC117900707|XP_034667055.1|DSUB, LOC117893191|XP_034655595.1|DSUB
OG0001397	LOC118508436|XP_035904108.1|ASTE, LOC118507361|XP_035901666.1|ASTE	LOC117897974|XP_034662977.1|DSUB
OG0001399	LOC118512891|XP_035913888.1|ASTE	LOC117892167|XP_034654124.1|DSUB
OG0001400	LOC118503474|XP_035892665.1|ASTE	LOC117898537|XP_034663902.1|DSUB
OG0001401	LOC118508071|XP_035903427.1|ASTE, LOC118509254|XP_035905482.1|ASTE	LOC117894765|XP_034657874.1|DSUB
OG0001402	LOC118508085|XP_035903453.1|ASTE	LOC117895826|XP_034659654.1|DSUB
OG0001403	LOC118512335|XP_035912510.1|ASTE	LOC117894413|XP_034657314.1|DSUB
OG0001404	LOC118505990|XP_035898449.1|ASTE	LOC117890829|XP_034651797.1|DSUB
OG0001405	LOC118516517|XP_035918344.1|ASTE, LOC118516525|XP_035918353.1|ASTE, LOC118506091|XP_035898664.1|ASTE	LOC117891988|XP_034653756.1|DSUB
OG0001406	LOC118506116|XP_035898717.1|ASTE	LOC117900291|XP_034666494.1|DSUB, LOC117889756|XP_034650096.1|DSUB
OG0001407	LOC118508052|XP_035903398.1|ASTE	LOC117894005|XP_034656719.1|DSUB
OG0001408	LOC118509985|XP_035907259.1|ASTE	LOC117890466|XP_034651212.1|DSUB
OG0001410	LOC118506989|XP_035900800.1|ASTE, LOC118507043|XP_035900935.1|ASTE, LOC118517067|XP_035918817.1|ASTE	LOC117893689|XP_034656270.1|DSUB
OG0001429	LOC118504939|XP_035895931.1|ASTE, LOC118504930|XP_035895920.1|ASTE	LOC117896213|XP_034660236.1|DSUB
OG0001430	LOC118513099|XP_035914393.1|ASTE, LOC118510660|XP_035908704.1|ASTE	LOC117899690|XP_034665782.1|DSUB
OG0001431	LOC118502803|XP_035891317.1|ASTE	LOC117897075|XP_034661605.1|DSUB
OG0001432	LOC118517173|XP_035918974.1|ASTE, LOC118505181|XP_035896528.1|ASTE	LOC117891043|XP_034652107.1|DSUB
OG0001433	LOC118503728|XP_035893234.1|ASTE	LOC117898003|XP_034663025.1|DSUB, LOC117903908|XP_034672305.1|DSUB, LOC117897514|XP_034662319.1|DSUB
OG0001434	LOC118503987|XP_035893827.1|ASTE	LOC117899147|XP_034664847.1|DSUB, LOC117890696|XP_034651597.1|DSUB
OG0001435	LOC118511737|XP_035911080.1|ASTE	LOC117892714|XP_034655025.1|DSUB, LOC117898570|XP_034663948.1|DSUB, LOC117890732|XP_034651677.1|DSUB
OG0001436	LOC118517432|XP_035919444.1|ASTE	LOC117889589|XP_034649889.1|DSUB
OG0001437	LOC118513084|XP_035914345.1|ASTE	LOC117902347|XP_034669541.1|DSUB
OG0001438	LOC118503425|XP_035892562.1|ASTE, LOC118511093|XP_035909688.1|ASTE	LOC117899464|XP_034665370.1|DSUB
OG0001439	LOC118506957|XP_035900670.1|ASTE, LOC118505187|XP_035896539.1|ASTE	LOC117898704|XP_034664213.1|DSUB
OG0001440	LOC118508086|XP_035903459.1|ASTE	LOC117897098|XP_034661637.1|DSUB
OG0001442	LOC118508483|XP_035904197.1|ASTE, LOC118505129|XP_035896339.1|ASTE	LOC117902612|XP_034670015.1|DSUB
OG0001443	LOC118506833|XP_035900438.1|ASTE, LOC118506832|XP_035900437.1|ASTE	LOC117896138|XP_034660098.1|DSUB
OG0001444	LOC118502379|XP_035890493.1|ASTE	LOC117897118|XP_034661661.1|DSUB
OG0001445	LOC118503034|XP_035891758.1|ASTE	LOC117891243|XP_034652480.1|DSUB, LOC117897937|XP_034662918.1|DSUB
OG0001446	LOC118505222|XP_035896639.1|ASTE	LOC117896614|XP_034660939.1|DSUB
OG0001447	LOC118504441|XP_035894794.1|ASTE	LOC117898380|XP_034663615.1|DSUB
OG0001448	LOC118508304|XP_035903852.1|ASTE	LOC117899559|XP_034665542.1|DSUB
OG0001449	LOC118502961|XP_035891617.1|ASTE	LOC117890356|XP_034651041.1|DSUB
OG0001450	LOC118512095|XP_035911953.1|ASTE	LOC117902675|XP_034670096.1|DSUB
OG0001451	LOC118510862|XP_035909101.1|ASTE	LOC117890625|XP_034651463.1|DSUB
OG0001452	LOC118508899|XP_035904631.1|ASTE	LOC117890385|XP_034651077.1|DSUB, LOC117890384|XP_034651076.1|DSUB
OG0001453	LOC118513011|XP_035914178.1|ASTE, LOC118513010|XP_035914177.1|ASTE	LOC117893475|XP_034655989.1|DSUB
OG0001454	LOC118511629|XP_035910833.1|ASTE, LOC118512994|XP_035914143.1|ASTE	LOC117896877|XP_034661296.1|DSUB
OG0001455	LOC118512978|XP_035914115.1|ASTE	LOC117894075|XP_034656827.1|DSUB, LOC117893639|XP_034656217.1|DSUB
OG0001456	LOC118513600|XP_035915513.1|ASTE, LOC118517282|XP_035919146.1|ASTE	LOC117892340|XP_034654385.1|DSUB
OG0001457	LOC118512050|XP_035911786.1|ASTE	LOC117891098|XP_034652174.1|DSUB
OG0001458	LOC118512939|XP_035914013.1|ASTE, LOC118508836|XP_035904476.1|ASTE	LOC117891572|XP_034652985.1|DSUB
OG0001459	LOC118514612|XP_035917501.1|ASTE, LOC118512686|XP_035913362.1|ASTE	LOC117894577|XP_034657609.1|DSUB
OG0001460	LOC118509617|XP_035906336.1|ASTE	LOC117891972|XP_034653735.1|DSUB
OG0001461	LOC118512844|XP_035913798.1|ASTE	LOC117894609|XP_034657654.1|DSUB, LOC117895173|XP_034658527.1|DSUB
OG0001462	LOC118514225|XP_035916816.1|ASTE, LOC118514224|XP_035916815.1|ASTE, LOC118514226|XP_035916817.1|ASTE	LOC117893099|XP_034655422.1|DSUB
OG0001464	LOC118510298|XP_035907815.1|ASTE	LOC117891597|XP_034653023.1|DSUB
OG0001466	LOC118509517|XP_035906111.1|ASTE	LOC117901653|XP_034668380.1|DSUB
OG0001467	LOC118517642|XP_035919855.1|ASTE, LOC118510380|XP_035908019.1|ASTE	LOC117901534|XP_034668215.1|DSUB
OG0001468	LOC118517241|XP_035919108.1|ASTE, LOC118509363|XP_035905779.1|ASTE	LOC117894733|XP_034657820.1|DSUB
OG0001469	LOC118512310|XP_035912446.1|ASTE	LOC117891252|XP_034652512.1|DSUB
OG0001470	LOC118509554|XP_035906198.1|ASTE, LOC118509555|XP_035906200.1|ASTE	LOC117894710|XP_034657782.1|DSUB
OG0001471	LOC118509952|XP_035907180.1|ASTE	LOC117894182|XP_034656978.1|DSUB
OG0001472	LOC118511819|XP_035911252.1|ASTE	LOC117903261|XP_034671055.1|DSUB, LOC117894040|XP_034656780.1|DSUB
OG0001473	LOC118509034|XP_035904965.1|ASTE, LOC118509031|XP_035904961.1|ASTE, LOC118509018|XP_035904929.1|ASTE	LOC117898645|XP_034664097.1|DSUB
OG0001474	LOC118511983|XP_035911615.1|ASTE	LOC117903264|XP_034671061.1|DSUB, LOC117891139|XP_034652239.1|DSUB
OG0001475	LOC118505830|XP_035898077.1|ASTE	LOC117891182|XP_034652399.1|DSUB, LOC117891183|XP_034652400.1|DSUB
OG0001476	LOC118510956|XP_035909305.1|ASTE	LOC117889780|XP_034650136.1|DSUB
OG0001477	LOC118513902|XP_035916117.1|ASTE	LOC117897720|XP_034662636.1|DSUB
OG0001478	LOC118509976|XP_035907249.1|ASTE, LOC118513674|XP_035915670.1|ASTE	LOC117902477|XP_034669777.1|DSUB
OG0001479	LOC118513844|XP_035916015.1|ASTE	LOC117900242|XP_034666425.1|DSUB
OG0001480	LOC118513940|XP_035916216.1|ASTE	LOC117902474|XP_034669773.1|DSUB
OG0001481	LOC118511126|XP_035909752.1|ASTE	LOC117902652|XP_034670069.1|DSUB
OG0001482	LOC118514014|XP_035916376.1|ASTE	LOC117891261|XP_034652525.1|DSUB
OG0001483	LOC118510033|XP_035907314.1|ASTE	LOC117902183|XP_034669247.1|DSUB
OG0001484	LOC118511672|XP_035910923.1|ASTE	LOC117900371|XP_034666612.1|DSUB
OG0001485	LOC118512587|XP_035913119.1|ASTE	LOC117894670|XP_034657739.1|DSUB
OG0001486	LOC118513256|XP_035914712.1|ASTE, LOC118513257|XP_035914713.1|ASTE	LOC117900841|XP_034667244.1|DSUB
OG0001487	LOC118511555|XP_035910677.1|ASTE	LOC117900529|XP_034666819.1|DSUB
OG0001488	LOC118509962|XP_035907234.1|ASTE	LOC117890602|XP_034651432.1|DSUB
OG0001489	LOC118510785|XP_035908963.1|ASTE	LOC117901252|XP_034667823.1|DSUB
OG0001490	LOC118510781|XP_035908959.1|ASTE	LOC117900228|XP_034666404.1|DSUB
OG0001491	LOC118514099|XP_035916532.1|ASTE	LOC117902809|XP_034670323.1|DSUB
OG0001492	LOC118510657|XP_035908675.1|ASTE	LOC117900677|XP_034667013.1|DSUB
OG0001493	LOC118506650|XP_035899947.1|ASTE	LOC117898401|XP_034663653.1|DSUB, LOC117898574|XP_034663982.1|DSUB
OG0001494	LOC118517546|XP_035919678.1|ASTE	LOC117891814|XP_034653420.1|DSUB
OG0001495	LOC118506658|XP_035899969.1|ASTE	LOC117892726|XP_034655040.1|DSUB
OG0001496	LOC118507659|XP_035902329.1|ASTE	LOC117903379|XP_034671240.1|DSUB
OG0001497	LOC118502537|XP_035890702.1|ASTE	LOC117891137|XP_034652236.1|DSUB
OG0001500	LOC118505138|XP_035896380.1|ASTE	LOC117892233|XP_034654228.1|DSUB, LOC117892232|XP_034654226.1|DSUB
OG0001501	LOC118507979|XP_035903221.1|ASTE	LOC117899270|XP_034665059.1|DSUB
OG0001502	LOC118504323|XP_035894545.1|ASTE	LOC117891487|XP_034652859.1|DSUB
OG0001503	LOC118512405|XP_035912684.1|ASTE	LOC117891931|XP_034653657.1|DSUB
OG0001504	LOC118507224|XP_035901272.1|ASTE	LOC117901359|XP_034667960.1|DSUB, LOC117903170|XP_034670905.1|DSUB
OG0001506	LOC118503700|XP_035893156.1|ASTE, LOC118503701|XP_035893157.1|ASTE	LOC117891934|XP_034653667.1|DSUB
OG0001507	LOC118508184|XP_035903636.1|ASTE, LOC118508187|XP_035903638.1|ASTE	LOC117890879|XP_034651863.1|DSUB
OG0001508	LOC118506283|XP_035899092.1|ASTE, LOC118506285|XP_035899099.1|ASTE	LOC117890404|XP_034651105.1|DSUB
OG0001509	LOC118505926|XP_035898319.1|ASTE	LOC117889997|XP_034650474.1|DSUB
OG0001510	LOC118507303|XP_035901570.1|ASTE, LOC118503983|XP_035893820.1|ASTE	LOC117901448|XP_034668084.1|DSUB
OG0001511	LOC118507242|XP_035901387.1|ASTE	LOC117890645|XP_034651488.1|DSUB
OG0001512	LOC118503073|XP_035891843.1|ASTE	LOC117894835|XP_034657974.1|DSUB
OG0001513	LOC118508391|XP_035904027.1|ASTE	LOC117893187|XP_034655588.1|DSUB
OG0001515	LOC118503019|XP_035891735.1|ASTE	LOC117903350|XP_034671192.1|DSUB, LOC117898275|XP_034663421.1|DSUB
OG0001534	LOC118505899|XP_035898676.1|ASTE	LOC117902737|XP_034670225.1|DSUB
OG0001535	LOC118517720|XP_035920066.1|ASTE	LOC117903488|XP_034671446.1|DSUB
OG0001536	LOC118506790|XP_035900302.1|ASTE	LOC117891715|XP_034653203.1|DSUB
OG0001537	LOC118503752|XP_035893296.1|ASTE, LOC118503751|XP_035893295.1|ASTE	LOC117902482|XP_034669784.1|DSUB, LOC117900716|XP_034667071.1|DSUB, LOC117901961|XP_034668832.1|DSUB
OG0001538	LOC118503667|XP_035893096.1|ASTE	LOC117903735|XP_034671984.1|DSUB
OG0001539	LOC118517360|XP_035919269.1|ASTE	LOC117891047|XP_034652108.1|DSUB
OG0001540	LOC118511146|XP_035909770.1|ASTE	LOC117900426|XP_034666681.1|DSUB
OG0001541	LOC118517446|XP_035919481.1|ASTE	LOC117893218|XP_034655643.1|DSUB
OG0001542	LOC118502635|XP_035890979.1|ASTE	LOC117897389|XP_034662089.1|DSUB
OG0001545	LOC118506676|XP_035900013.1|ASTE	LOC117890747|XP_034651697.1|DSUB
OG0001546	LOC118508312|XP_035903877.1|ASTE	LOC117890738|XP_034651685.1|DSUB
OG0001547	LOC118506882|XP_035900543.1|ASTE	LOC117903411|XP_034671306.1|DSUB
OG0001548	LOC118517085|XP_035918834.1|ASTE	LOC117900396|XP_034666641.1|DSUB, LOC117895482|XP_034659058.1|DSUB
OG0001549	LOC118511070|XP_035909580.1|ASTE	LOC117902575|XP_034669944.1|DSUB
OG0001551	LOC118508471|XP_035904171.1|ASTE	LOC117895967|XP_034659812.1|DSUB
OG0001552	LOC118506807|XP_035900358.1|ASTE	LOC117898270|XP_034663416.1|DSUB
OG0001553	LOC118504450|XP_035894835.1|ASTE, LOC118507559|XP_035902043.1|ASTE	LOC117903035|XP_034670656.1|DSUB
OG0001554	LOC118503590|XP_035892934.1|ASTE	LOC117897250|XP_034661864.1|DSUB
OG0001555	LOC118514560|XP_035917444.1|ASTE, LOC118508297|XP_035903840.1|ASTE	LOC117902236|XP_034669370.1|DSUB
OG0001556	LOC118514356|XP_035917071.1|ASTE	LOC117890875|XP_034651858.1|DSUB
OG0001557	LOC118504645|XP_035895294.1|ASTE, LOC118505132|XP_035896359.1|ASTE	LOC117903857|XP_034672228.1|DSUB
OG0001558	LOC118504481|XP_035894891.1|ASTE	LOC117892157|XP_034654113.1|DSUB
OG0001559	LOC118502705|XP_035891142.1|ASTE	LOC117897583|XP_034662428.1|DSUB
OG0001560	LOC118506880|XP_035900522.1|ASTE	LOC117899756|XP_034665898.1|DSUB
OG0001561	LOC118502733|XP_035891187.1|ASTE, LOC118515314|XP_035917895.1|ASTE	LOC117899387|XP_034665260.1|DSUB
OG0001562	LOC118511566|XP_035910698.1|ASTE	LOC117902611|XP_034670014.1|DSUB
OG0001563	LOC118506798|XP_035900314.1|ASTE	LOC117897154|XP_034661717.1|DSUB
OG0001564	LOC118505168|XP_035896467.1|ASTE	LOC117899770|XP_034665920.1|DSUB
OG0001565	LOC118515292|XP_035917863.1|ASTE, LOC118506372|XP_035899287.1|ASTE	LOC117897544|XP_034662360.1|DSUB
OG0001566	LOC118505781|XP_035897970.1|ASTE	LOC117890098|XP_034651057.1|DSUB, LOC117899162|XP_034664912.1|DSUB
OG0001567	LOC118511921|XP_035911452.1|ASTE	LOC117889936|XP_034650358.1|DSUB
OG0001568	LOC118511924|XP_035911466.1|ASTE	LOC117899329|XP_034665156.1|DSUB
OG0001569	LOC118511929|XP_035911502.1|ASTE	LOC117896785|XP_034661173.1|DSUB
OG0001570	LOC118504393|XP_035894692.1|ASTE	LOC117896829|XP_034661233.1|DSUB
OG0001571	LOC118511747|XP_035911102.1|ASTE	LOC117899979|XP_034666035.1|DSUB
OG0001572	LOC118508886|XP_035904608.1|ASTE, LOC118508884|XP_035904598.1|ASTE	LOC117895837|XP_034659675.1|DSUB
OG0001573	LOC118512694|XP_035913394.1|ASTE	LOC117895848|XP_034659700.1|DSUB
OG0001574	LOC118517603|XP_035919784.1|ASTE, LOC118509099|XP_035905148.1|ASTE	LOC117903383|XP_034671259.1|DSUB
OG0001575	LOC118511278|XP_035910063.1|ASTE	LOC117899564|XP_034665560.1|DSUB
OG0001576	LOC118512248|XP_035912283.1|ASTE	LOC117897611|XP_034662466.1|DSUB
OG0001577	LOC118508852|XP_035904498.1|ASTE	LOC117896651|XP_034660988.1|DSUB, LOC117898066|XP_034663130.1|DSUB
OG0001578	LOC118517265|XP_035919131.1|ASTE, LOC118510235|XP_035907693.1|ASTE	LOC117891087|XP_034652157.1|DSUB
OG0001579	LOC118509698|XP_035906659.1|ASTE	LOC117893930|XP_034656604.1|DSUB, LOC117903517|XP_034671520.1|DSUB
OG0001580	LOC118511539|XP_035910626.1|ASTE	LOC117891945|XP_034653689.1|DSUB
OG0001581	LOC118512895|XP_035913900.1|ASTE	LOC117895947|XP_034659792.1|DSUB
OG0001582	LOC118514210|XP_035916796.1|ASTE	LOC117890276|XP_034650926.1|DSUB
OG0001583	LOC118509919|XP_035907122.1|ASTE	LOC117890416|XP_034651121.1|DSUB
OG0001584	LOC118509247|XP_035905474.1|ASTE	LOC117894199|XP_034657005.1|DSUB, LOC117894198|XP_034657004.1|DSUB
OG0001586	LOC118510349|XP_035907937.1|ASTE	LOC117895044|XP_034658313.1|DSUB, LOC117895785|XP_034659580.1|DSUB
OG0001587	LOC118511335|XP_035910161.1|ASTE	LOC117891315|XP_034652618.1|DSUB
OG0001588	LOC118512235|XP_035912262.1|ASTE	LOC117891201|XP_034652428.1|DSUB
OG0001589	LOC118507578|XP_035902124.1|ASTE	LOC117900959|XP_034667425.1|DSUB
