Orthogroup	ASTE.longest_only	DSER.longest_only
OG0001364	LOC118514188|XP_035916767.1|ASTE, LOC118513327|XP_035914827.1|ASTE	LOC110191559|XP_020818093.1|DSER
OG0001365	LOC118513191|XP_035914572.1|ASTE	LOC110191304|XP_020817774.1|DSER
OG0001367	LOC118509863|XP_035906966.1|ASTE	LOC110180165|XP_020803499.1|DSER
OG0001368	LOC118513233|XP_035914671.1|ASTE	LOC110188968|XP_020814572.1|DSER
OG0001369	LOC118514260|XP_035916869.1|ASTE	LOC110183634|XP_020807611.1|DSER
OG0001370	LOC118517323|XP_035919196.1|ASTE, LOC118509379|XP_035905813.1|ASTE	LOC110178462|XP_020801260.1|DSER
OG0001372	LOC118512013|XP_035911681.1|ASTE	LOC110176859|XP_020798993.1|DSER
OG0001373	LOC118511033|XP_035909507.1|ASTE	LOC110182721|XP_020806480.1|DSER
OG0001374	LOC118513899|XP_035916109.1|ASTE	LOC110189535|XP_020815323.1|DSER, LOC110176776|XP_020798873.1|DSER
OG0001376	LOC118515231|XP_035917809.1|ASTE, LOC118513577|XP_035915418.1|ASTE, LOC118515229|XP_035917808.1|ASTE, LOC118513576|XP_035915417.1|ASTE	LOC110179351|XP_020802520.1|DSER
OG0001377	LOC118513915|XP_035916158.1|ASTE	LOC110176816|XP_020798916.1|DSER
OG0001378	LOC118512644|XP_035913253.1|ASTE	LOC110185914|XP_020810585.1|DSER
OG0001379	LOC118513885|XP_035916092.1|ASTE	LOC110182598|XP_020806311.1|DSER
OG0001380	LOC118508988|XP_035904879.1|ASTE	LOC110189757|XP_020815630.1|DSER
OG0001381	LOC118514539|XP_035917415.1|ASTE	LOC110182389|XP_020806091.1|DSER
OG0001382	LOC118512516|XP_035912927.1|ASTE	LOC110187249|XP_020812306.1|DSER
OG0001383	LOC118511029|XP_035909502.1|ASTE	LOC110176382|XP_020798372.1|DSER, LOC110188936|XP_020814534.1|DSER
OG0001384	LOC118509868|XP_035906984.1|ASTE	LOC110181428|XP_020804830.1|DSER
OG0001385	LOC118513824|XP_035915953.1|ASTE, LOC118506497|XP_035899585.1|ASTE	LOC110177889|XP_020800514.1|DSER
OG0001387	LOC118510806|XP_035909014.1|ASTE, LOC118510807|XP_035909016.1|ASTE	LOC110182657|XP_020806388.1|DSER
OG0001388	LOC118510750|XP_035908882.1|ASTE, LOC118510751|XP_035908887.1|ASTE	LOC110183323|XP_020807228.1|DSER
OG0001389	LOC118504458|XP_035894846.1|ASTE, LOC118504454|XP_035894839.1|ASTE	LOC110185063|XP_020809402.1|DSER
OG0001390	LOC118506752|XP_035900235.1|ASTE	LOC110183025|XP_020806871.1|DSER, LOC110183011|XP_020806857.1|DSER, LOC110185616|XP_020810223.1|DSER
OG0001391	LOC118504503|XP_035894922.1|ASTE	LOC110181410|XP_020804806.1|DSER
OG0001392	LOC118506657|XP_035899968.1|ASTE	LOC110191965|XP_020818642.1|DSER
OG0001393	LOC118502606|XP_035890863.1|ASTE	LOC110178053|XP_020800722.1|DSER, LOC110183752|XP_020807767.1|DSER
OG0001394	LOC118507094|XP_035900977.1|ASTE, LOC118504798|XP_035895669.1|ASTE	LOC110183308|XP_020807207.1|DSER
OG0001395	LOC118505832|XP_035898080.1|ASTE	LOC110188685|XP_020814146.1|DSER, LOC110191803|XP_020818413.1|DSER
OG0001396	LOC118506543|XP_035899727.1|ASTE	LOC110175946|XP_020797792.1|DSER
OG0001397	LOC118508436|XP_035904108.1|ASTE, LOC118507361|XP_035901666.1|ASTE	LOC110186482|XP_020811328.1|DSER
OG0001399	LOC118512891|XP_035913888.1|ASTE	LOC110185364|XP_020809805.1|DSER
OG0001400	LOC118503474|XP_035892665.1|ASTE	LOC110188075|XP_020813285.1|DSER
OG0001401	LOC118508071|XP_035903427.1|ASTE, LOC118509254|XP_035905482.1|ASTE	LOC110178575|XP_020801406.1|DSER
OG0001402	LOC118508085|XP_035903453.1|ASTE	LOC110190062|XP_020816026.1|DSER, LOC110190149|XP_020816137.1|DSER
OG0001403	LOC118512335|XP_035912510.1|ASTE	LOC110190054|XP_020816019.1|DSER, LOC110187847|XP_020812993.1|DSER
OG0001404	LOC118505990|XP_035898449.1|ASTE	LOC110191336|XP_020817845.1|DSER
OG0001405	LOC118516517|XP_035918344.1|ASTE, LOC118516525|XP_035918353.1|ASTE, LOC118506091|XP_035898664.1|ASTE	LOC110177815|XP_020800363.1|DSER
OG0001406	LOC118506116|XP_035898717.1|ASTE	LOC110190619|XP_020816873.1|DSER, LOC110181774|XP_020805307.1|DSER, LOC110181886|XP_020805474.1|DSER
OG0001407	LOC118508052|XP_035903398.1|ASTE	LOC110190043|XP_020816008.1|DSER
OG0001408	LOC118509985|XP_035907259.1|ASTE	LOC110178481|XP_020801281.1|DSER
OG0001429	LOC118504939|XP_035895931.1|ASTE, LOC118504930|XP_035895920.1|ASTE	LOC110190782|XP_020817082.1|DSER
OG0001430	LOC118513099|XP_035914393.1|ASTE, LOC118510660|XP_035908704.1|ASTE	LOC110185626|XP_020810239.1|DSER
OG0001431	LOC118502803|XP_035891317.1|ASTE	LOC110184409|XP_020808600.1|DSER
OG0001432	LOC118517173|XP_035918974.1|ASTE, LOC118505181|XP_035896528.1|ASTE	LOC110184278|XP_020808408.1|DSER
OG0001433	LOC118503728|XP_035893234.1|ASTE	LOC110177389|XP_020799751.1|DSER
OG0001434	LOC118503987|XP_035893827.1|ASTE	LOC110184378|XP_020808538.1|DSER
OG0001435	LOC118511737|XP_035911080.1|ASTE	LOC110180755|XP_020804097.1|DSER
OG0001436	LOC118517432|XP_035919444.1|ASTE	LOC110181808|XP_020805354.1|DSER, LOC110180462|XP_020803797.1|DSER
OG0001437	LOC118513084|XP_035914345.1|ASTE	LOC110183823|XP_020807834.1|DSER
OG0001438	LOC118503425|XP_035892562.1|ASTE, LOC118511093|XP_035909688.1|ASTE	LOC110184190|XP_020808280.1|DSER
OG0001439	LOC118506957|XP_035900670.1|ASTE, LOC118505187|XP_035896539.1|ASTE	LOC110177143|XP_020799378.1|DSER
OG0001440	LOC118508086|XP_035903459.1|ASTE	LOC110180646|XP_020803999.1|DSER
OG0001442	LOC118508483|XP_035904197.1|ASTE, LOC118505129|XP_035896339.1|ASTE	LOC110185799|XP_020810461.1|DSER
OG0001443	LOC118506833|XP_035900438.1|ASTE, LOC118506832|XP_035900437.1|ASTE	LOC110186978|XP_020811988.1|DSER
OG0001444	LOC118502379|XP_035890493.1|ASTE	LOC110191153|XP_020817569.1|DSER
OG0001445	LOC118503034|XP_035891758.1|ASTE	LOC110176425|XP_020798430.1|DSER
OG0001446	LOC118505222|XP_035896639.1|ASTE	LOC110191320|XP_020817801.1|DSER
OG0001447	LOC118504441|XP_035894794.1|ASTE	LOC110188747|XP_020814247.1|DSER
OG0001448	LOC118508304|XP_035903852.1|ASTE	LOC110186586|XP_020811465.1|DSER
OG0001449	LOC118502961|XP_035891617.1|ASTE	LOC110189258|XP_020814928.1|DSER
OG0001450	LOC118512095|XP_035911953.1|ASTE	LOC110183117|XP_020806966.1|DSER
OG0001451	LOC118510862|XP_035909101.1|ASTE	LOC110189725|XP_020815575.1|DSER
OG0001452	LOC118508899|XP_035904631.1|ASTE	LOC110182858|XP_020806666.1|DSER, LOC110181671|XP_020805167.1|DSER
OG0001453	LOC118513011|XP_035914178.1|ASTE, LOC118513010|XP_035914177.1|ASTE	LOC110189931|XP_020815874.1|DSER
OG0001454	LOC118511629|XP_035910833.1|ASTE, LOC118512994|XP_035914143.1|ASTE	LOC110191026|XP_020817404.1|DSER
OG0001455	LOC118512978|XP_035914115.1|ASTE	LOC110189837|XP_020815692.1|DSER
OG0001456	LOC118513600|XP_035915513.1|ASTE, LOC118517282|XP_035919146.1|ASTE	LOC110178293|XP_020801025.1|DSER
OG0001457	LOC118512050|XP_035911786.1|ASTE	LOC110189247|XP_020814910.1|DSER
OG0001458	LOC118512939|XP_035914013.1|ASTE, LOC118508836|XP_035904476.1|ASTE	LOC110189202|XP_020814831.1|DSER
OG0001459	LOC118514612|XP_035917501.1|ASTE, LOC118512686|XP_035913362.1|ASTE	LOC110184770|XP_020809064.1|DSER
OG0001460	LOC118509617|XP_035906336.1|ASTE	LOC110191532|XP_020818062.1|DSER
OG0001461	LOC118512844|XP_035913798.1|ASTE	LOC110187641|XP_020812708.1|DSER
OG0001462	LOC118514225|XP_035916816.1|ASTE, LOC118514224|XP_035916815.1|ASTE, LOC118514226|XP_035916817.1|ASTE	LOC110182799|XP_020806591.1|DSER
OG0001464	LOC118510298|XP_035907815.1|ASTE	LOC110179535|XP_020802773.1|DSER
OG0001466	LOC118509517|XP_035906111.1|ASTE	LOC110183931|XP_020807954.1|DSER
OG0001468	LOC118517241|XP_035919108.1|ASTE, LOC118509363|XP_035905779.1|ASTE	LOC110190555|XP_020816769.1|DSER
OG0001469	LOC118512310|XP_035912446.1|ASTE	LOC110179277|XP_020802424.1|DSER
OG0001470	LOC118509554|XP_035906198.1|ASTE, LOC118509555|XP_035906200.1|ASTE	LOC110190035|XP_020815996.1|DSER
OG0001471	LOC118509952|XP_035907180.1|ASTE	LOC110178592|XP_020801437.1|DSER
OG0001472	LOC118511819|XP_035911252.1|ASTE	LOC110183597|XP_020807570.1|DSER
OG0001473	LOC118509034|XP_035904965.1|ASTE, LOC118509031|XP_035904961.1|ASTE, LOC118509018|XP_035904929.1|ASTE	LOC110188672|XP_020814128.1|DSER
OG0001474	LOC118511983|XP_035911615.1|ASTE	LOC110181936|XP_020805532.1|DSER
OG0001475	LOC118505830|XP_035898077.1|ASTE	LOC110177996|XP_020800654.1|DSER
OG0001476	LOC118510956|XP_035909305.1|ASTE	LOC110187605|XP_020812657.1|DSER, LOC110176554|XP_020798645.1|DSER
OG0001477	LOC118513902|XP_035916117.1|ASTE	LOC110189026|XP_020814648.1|DSER
OG0001478	LOC118509976|XP_035907249.1|ASTE, LOC118513674|XP_035915670.1|ASTE	LOC110187548|XP_020812595.1|DSER
OG0001479	LOC118513844|XP_035916015.1|ASTE	LOC110179676|XP_020802946.1|DSER, LOC110191223|XP_020817649.1|DSER
OG0001480	LOC118513940|XP_035916216.1|ASTE	LOC110187553|XP_020812601.1|DSER, LOC110187552|XP_020812599.1|DSER
OG0001481	LOC118511126|XP_035909752.1|ASTE	LOC110176876|XP_020799011.1|DSER
OG0001482	LOC118514014|XP_035916376.1|ASTE	LOC110181265|XP_020804634.1|DSER
OG0001483	LOC118510033|XP_035907314.1|ASTE	LOC110182816|XP_020806611.1|DSER
OG0001484	LOC118511672|XP_035910923.1|ASTE	LOC110183754|XP_020807772.1|DSER
OG0001485	LOC118512587|XP_035913119.1|ASTE	LOC110185243|XP_020809638.1|DSER
OG0001486	LOC118513256|XP_035914712.1|ASTE, LOC118513257|XP_035914713.1|ASTE	LOC110176805|XP_020798902.1|DSER
OG0001487	LOC118511555|XP_035910677.1|ASTE	LOC110188788|XP_020814294.1|DSER
OG0001488	LOC118509962|XP_035907234.1|ASTE	LOC110177414|XP_020799794.1|DSER
OG0001489	LOC118510785|XP_035908963.1|ASTE	LOC110181343|XP_020804721.1|DSER
OG0001490	LOC118510781|XP_035908959.1|ASTE	LOC110185769|XP_020810431.1|DSER
OG0001491	LOC118514099|XP_035916532.1|ASTE	LOC110187309|XP_020812357.1|DSER
OG0001492	LOC118510657|XP_035908675.1|ASTE	LOC110181212|XP_020804553.1|DSER
OG0001493	LOC118506650|XP_035899947.1|ASTE	LOC110180168|XP_020803485.1|DSER
OG0001494	LOC118517546|XP_035919678.1|ASTE	LOC110178035|XP_020800710.1|DSER
OG0001495	LOC118506658|XP_035899969.1|ASTE	LOC110180734|XP_020804078.1|DSER
OG0001496	LOC118507659|XP_035902329.1|ASTE	LOC110184335|XP_020808490.1|DSER
OG0001497	LOC118502537|XP_035890702.1|ASTE	LOC110176866|XP_020799000.1|DSER
OG0001500	LOC118505138|XP_035896380.1|ASTE	LOC110184038|XP_020808072.1|DSER
OG0001501	LOC118507979|XP_035903221.1|ASTE	LOC110176661|XP_020798758.1|DSER
OG0001502	LOC118504323|XP_035894545.1|ASTE	LOC110177834|XP_020800438.1|DSER
OG0001503	LOC118512405|XP_035912684.1|ASTE	LOC110189457|XP_020815191.1|DSER
OG0001504	LOC118507224|XP_035901272.1|ASTE	LOC110180420|XP_020803743.1|DSER
OG0001506	LOC118503700|XP_035893156.1|ASTE, LOC118503701|XP_035893157.1|ASTE	LOC110182469|XP_020806170.1|DSER
OG0001507	LOC118508184|XP_035903636.1|ASTE, LOC118508187|XP_035903638.1|ASTE	LOC110177671|XP_020800152.1|DSER
OG0001508	LOC118506283|XP_035899092.1|ASTE, LOC118506285|XP_035899099.1|ASTE	LOC110176894|XP_020799041.1|DSER
OG0001509	LOC118505926|XP_035898319.1|ASTE	LOC110177772|XP_020800297.1|DSER
OG0001510	LOC118507303|XP_035901570.1|ASTE, LOC118503983|XP_035893820.1|ASTE	LOC110185704|XP_020810334.1|DSER
OG0001511	LOC118507242|XP_035901387.1|ASTE	LOC110180232|XP_020803545.1|DSER, LOC110180249|XP_020803565.1|DSER
OG0001512	LOC118503073|XP_035891843.1|ASTE	LOC110176730|XP_020798833.1|DSER
OG0001513	LOC118508391|XP_035904027.1|ASTE	LOC110190376|XP_020816448.1|DSER
OG0001515	LOC118503019|XP_035891735.1|ASTE	LOC110179484|XP_020802717.1|DSER
OG0001534	LOC118505899|XP_035898676.1|ASTE	LOC110187078|XP_020812126.1|DSER
OG0001535	LOC118517720|XP_035920066.1|ASTE	LOC110176048|XP_020797921.1|DSER
OG0001536	LOC118506790|XP_035900302.1|ASTE	LOC110184295|XP_020808441.1|DSER
OG0001537	LOC118503752|XP_035893296.1|ASTE, LOC118503751|XP_035893295.1|ASTE	LOC110178134|XP_020800820.1|DSER
OG0001538	LOC118503667|XP_035893096.1|ASTE	LOC110184208|XP_020808314.1|DSER
OG0001539	LOC118517360|XP_035919269.1|ASTE	LOC110178507|XP_020801315.1|DSER
OG0001540	LOC118511146|XP_035909770.1|ASTE	LOC110176958|XP_020799124.1|DSER
OG0001541	LOC118517446|XP_035919481.1|ASTE	LOC110190308|XP_020816355.1|DSER
OG0001542	LOC118502635|XP_035890979.1|ASTE	LOC110190931|XP_020817256.1|DSER
OG0001545	LOC118506676|XP_035900013.1|ASTE	LOC110181720|XP_020805235.1|DSER
OG0001546	LOC118508312|XP_035903877.1|ASTE	LOC110181874|XP_020805459.1|DSER
OG0001548	LOC118517085|XP_035918834.1|ASTE	LOC110177396|XP_020799760.1|DSER, LOC110181569|XP_020805018.1|DSER
OG0001549	LOC118511070|XP_035909580.1|ASTE	LOC110184857|XP_020809157.1|DSER
OG0001551	LOC118508471|XP_035904171.1|ASTE	LOC110190326|XP_020816384.1|DSER
OG0001552	LOC118506807|XP_035900358.1|ASTE	LOC110186522|XP_020811379.1|DSER
OG0001553	LOC118504450|XP_035894835.1|ASTE, LOC118507559|XP_035902043.1|ASTE	LOC110184469|XP_020808668.1|DSER, LOC110184404|XP_020808589.1|DSER
OG0001554	LOC118503590|XP_035892934.1|ASTE	LOC110191002|XP_020817377.1|DSER
OG0001555	LOC118514560|XP_035917444.1|ASTE, LOC118508297|XP_035903840.1|ASTE	LOC110176895|XP_020799038.1|DSER
OG0001556	LOC118514356|XP_035917071.1|ASTE	LOC110191542|XP_020818073.1|DSER
OG0001557	LOC118504645|XP_035895294.1|ASTE, LOC118505132|XP_035896359.1|ASTE	LOC110184225|XP_020808338.1|DSER
OG0001558	LOC118504481|XP_035894891.1|ASTE	LOC110184399|XP_020808581.1|DSER
OG0001559	LOC118502705|XP_035891142.1|ASTE	LOC110176420|XP_020798422.1|DSER
OG0001560	LOC118506880|XP_035900522.1|ASTE	LOC110185398|XP_020809843.1|DSER
OG0001561	LOC118502733|XP_035891187.1|ASTE, LOC118515314|XP_035917895.1|ASTE	LOC110187697|XP_020812791.1|DSER
OG0001562	LOC118511566|XP_035910698.1|ASTE	LOC110185599|XP_020810201.1|DSER
OG0001563	LOC118506798|XP_035900314.1|ASTE	LOC110179403|XP_020802586.1|DSER
OG0001564	LOC118505168|XP_035896467.1|ASTE	LOC110191232|XP_020817661.1|DSER
OG0001565	LOC118515292|XP_035917863.1|ASTE, LOC118506372|XP_035899287.1|ASTE	LOC110185603|XP_020810208.1|DSER
OG0001566	LOC118505781|XP_035897970.1|ASTE	LOC110188333|XP_020813700.1|DSER
OG0001567	LOC118511921|XP_035911452.1|ASTE	LOC110179297|XP_020802442.1|DSER
OG0001568	LOC118511924|XP_035911466.1|ASTE	LOC110176511|XP_020798546.1|DSER
OG0001569	LOC118511929|XP_035911502.1|ASTE	LOC110191285|XP_020817751.1|DSER
OG0001570	LOC118504393|XP_035894692.1|ASTE	LOC110184133|XP_020808204.1|DSER
OG0001571	LOC118511747|XP_035911102.1|ASTE	LOC110183341|XP_020807251.1|DSER
OG0001572	LOC118508886|XP_035904608.1|ASTE, LOC118508884|XP_035904598.1|ASTE	LOC110175939|XP_020797779.1|DSER
OG0001573	LOC118512694|XP_035913394.1|ASTE	LOC110189850|XP_020815719.1|DSER
OG0001574	LOC118517603|XP_035919784.1|ASTE, LOC118509099|XP_035905148.1|ASTE	LOC110182651|XP_020806378.1|DSER
OG0001575	LOC118511278|XP_035910063.1|ASTE	LOC110188133|XP_020813380.1|DSER
OG0001576	LOC118512248|XP_035912283.1|ASTE	LOC110190997|XP_020817369.1|DSER
OG0001577	LOC118508852|XP_035904498.1|ASTE	LOC110176408|XP_020798407.1|DSER
OG0001578	LOC118517265|XP_035919131.1|ASTE, LOC118510235|XP_035907693.1|ASTE	LOC110189352|XP_020815053.1|DSER
OG0001579	LOC118509698|XP_035906659.1|ASTE	LOC110180100|XP_020803384.1|DSER
OG0001580	LOC118511539|XP_035910626.1|ASTE	LOC110189292|XP_020814982.1|DSER
OG0001581	LOC118512895|XP_035913900.1|ASTE	LOC110179377|XP_020802550.1|DSER
OG0001582	LOC118514210|XP_035916796.1|ASTE	LOC110180013|XP_020803265.1|DSER
OG0001583	LOC118509919|XP_035907122.1|ASTE	LOC110182941|XP_020806780.1|DSER
OG0001584	LOC118509247|XP_035905474.1|ASTE	LOC110178634|XP_020801480.1|DSER
OG0001586	LOC118510349|XP_035907937.1|ASTE	LOC110176704|XP_020798801.1|DSER, LOC110182108|XP_020805774.1|DSER
OG0001587	LOC118511335|XP_035910161.1|ASTE	LOC110176671|XP_020798765.1|DSER
OG0001588	LOC118512235|XP_035912262.1|ASTE	LOC110191903|XP_020818551.1|DSER
OG0001589	LOC118507578|XP_035902124.1|ASTE	LOC110188771|XP_020814263.1|DSER
OG0001590	LOC118512262|XP_035912326.1|ASTE	LOC110179414|XP_020802604.1|DSER
OG0001591	LOC118509673|XP_035906569.1|ASTE	LOC110186457|XP_020811300.1|DSER
OG0001593	LOC118513303|XP_035914777.1|ASTE	LOC110184822|XP_020809124.1|DSER
OG0001594	LOC118508926|XP_035904703.1|ASTE	LOC110179174|XP_020802234.1|DSER
OG0001595	LOC118513575|XP_035915404.1|ASTE	LOC110179333|XP_020802486.1|DSER
OG0001596	LOC118509053|XP_035905056.1|ASTE	LOC110185795|XP_020810458.1|DSER
OG0001597	LOC118509170|XP_035905323.1|ASTE	LOC110184514|XP_020808741.1|DSER, LOC110184512|XP_020808733.1|DSER
OG0001598	LOC118514155|XP_035916662.1|ASTE, LOC118517206|XP_035919060.1|ASTE	LOC110185984|XP_020810666.1|DSER
OG0001599	LOC118513962|XP_035916270.1|ASTE	LOC110185981|XP_020810664.1|DSER
OG0001600	LOC118512033|XP_035911718.1|ASTE	LOC110185546|XP_020810121.1|DSER
OG0001601	LOC118511048|XP_035909539.1|ASTE	LOC110185872|XP_020810542.1|DSER
OG0001603	LOC118513928|XP_035916189.1|ASTE, LOC118513930|XP_035916193.1|ASTE	LOC110177883|XP_020800506.1|DSER
OG0001604	LOC118506855|XP_035900478.1|ASTE	LOC110188612|XP_020814040.1|DSER, LOC110184676|XP_020808943.1|DSER, LOC110179581|XP_020802833.1|DSER
OG0001605	LOC118517091|XP_035918837.1|ASTE, LOC118513873|XP_035916071.1|ASTE	LOC110190889|XP_020817209.1|DSER
OG0001606	LOC118511131|XP_035909758.1|ASTE	LOC110185536|XP_020810103.1|DSER, LOC110187183|XP_020812241.1|DSER
OG0001607	LOC118515235|XP_035917813.1|ASTE, LOC118513582|XP_035915438.1|ASTE	LOC110184865|XP_020809169.1|DSER
OG0001608	LOC118511595|XP_035910750.1|ASTE	LOC110185092|XP_020809442.1|DSER
OG0001609	LOC118509990|XP_035907266.1|ASTE, LOC118514436|XP_035917229.1|ASTE	LOC110177790|XP_020800318.1|DSER
OG0001610	LOC118513447|XP_035915090.1|ASTE	LOC110185752|XP_020810410.1|DSER
OG0001611	LOC118511616|XP_035910799.1|ASTE	LOC110184973|XP_020809283.1|DSER
OG0001612	LOC118514150|XP_035916656.1|ASTE, LOC118514149|XP_035916653.1|ASTE, LOC118514151|XP_035916657.1|ASTE	LOC110177030|XP_020799206.1|DSER
OG0001613	LOC118511024|XP_035909495.1|ASTE, LOC118511023|XP_035909494.1|ASTE	LOC110183325|XP_020807231.1|DSER
OG0001614	LOC118508973|XP_035904842.1|ASTE	LOC110188952|XP_020814551.1|DSER
OG0001615	LOC118510591|XP_035908485.1|ASTE	LOC110185059|XP_020809394.1|DSER, LOC110185017|XP_020809328.1|DSER, LOC110185014|XP_020809326.1|DSER
OG0001616	LOC118513265|XP_035914725.1|ASTE	LOC110180777|XP_020804116.1|DSER, LOC110184944|XP_020809249.1|DSER
OG0001617	LOC118510872|XP_035909124.1|ASTE	LOC110181353|XP_020804732.1|DSER
OG0001618	LOC118506415|XP_035899396.1|ASTE, LOC118502532|XP_035890695.1|ASTE	LOC110183368|XP_020807289.1|DSER
OG0001619	LOC118512480|XP_035912868.1|ASTE	LOC110179866|XP_020803125.1|DSER, LOC110181417|XP_020804817.1|DSER
OG0001620	LOC118510914|XP_035909210.1|ASTE	LOC110180997|XP_020804335.1|DSER
OG0001621	LOC118513213|XP_035914620.1|ASTE	LOC110188940|XP_020814538.1|DSER
OG0001622	LOC118513207|XP_035914604.1|ASTE, LOC118504603|XP_035895160.1|ASTE	LOC110179079|XP_020802118.1|DSER
OG0001623	LOC118513316|XP_035914811.1|ASTE	LOC110178195|XP_020800888.1|DSER
OG0001624	LOC118510774|XP_035908934.1|ASTE	LOC110180584|XP_020803935.1|DSER
OG0001625	LOC118510768|XP_035908920.1|ASTE	LOC110185136|XP_020809495.1|DSER
OG0001626	LOC118504252|XP_035894372.1|ASTE	LOC110176832|XP_020798943.1|DSER
OG0001627	LOC118504929|XP_035895915.1|ASTE	LOC110188305|XP_020813671.1|DSER
OG0001628	LOC118514678|XP_035917619.1|ASTE	LOC110186154|XP_020810863.1|DSER
OG0001630	LOC118502353|XP_035890429.1|ASTE	LOC110188658|XP_020814103.1|DSER
OG0001631	LOC118506721|XP_035900137.1|ASTE	LOC110187837|XP_020812975.1|DSER
OG0001632	LOC118502653|XP_035890997.1|ASTE	LOC110183479|XP_020807418.1|DSER
OG0001633	LOC118502573|XP_035890791.1|ASTE, LOC118502572|XP_035890789.1|ASTE	LOC110186992|XP_020812008.1|DSER
OG0001635	LOC118506413|XP_035899385.1|ASTE, LOC118506412|XP_035899384.1|ASTE	LOC110176436|XP_020798445.1|DSER
OG0001636	LOC118506419|XP_035899410.1|ASTE	LOC110183894|XP_020807899.1|DSER, LOC110188003|XP_020813184.1|DSER
OG0001637	LOC118507153|XP_035901082.1|ASTE	LOC110188002|XP_020813187.1|DSER
OG0001638	LOC118504328|XP_035894552.1|ASTE	LOC110183246|XP_020807126.1|DSER, LOC110183253|XP_020807137.1|DSER
OG0001639	LOC118507978|XP_035903220.1|ASTE	LOC110189588|XP_020815379.1|DSER
OG0001640	LOC118511402|XP_035910329.1|ASTE	LOC110177161|XP_020799405.1|DSER
OG0001641	LOC118504238|XP_035894355.1|ASTE	LOC110188231|XP_020813543.1|DSER
OG0001642	LOC118504527|XP_035894962.1|ASTE	LOC110179721|XP_020802999.1|DSER, LOC110185296|XP_020809703.1|DSER
OG0001643	LOC118508101|XP_035903477.1|ASTE	LOC110176906|XP_020799054.1|DSER
OG0001644	LOC118503910|XP_035893596.1|ASTE	LOC110190968|XP_020817317.1|DSER
OG0001645	LOC118506316|XP_035899158.1|ASTE	LOC110177791|XP_020800319.1|DSER
OG0001646	LOC118507916|XP_035903110.1|ASTE	LOC110182597|XP_020806315.1|DSER
OG0001647	LOC118507219|XP_035901214.1|ASTE	LOC110189703|XP_020815538.1|DSER
OG0001648	LOC118504048|XP_035893944.1|ASTE	LOC110185328|XP_020809759.1|DSER
OG0001649	LOC118512355|XP_035912550.1|ASTE	LOC110176775|XP_020798872.1|DSER, LOC110189607|XP_020815401.1|DSER
OG0001650	LOC118503629|XP_035893012.1|ASTE, LOC118507436|XP_035901808.1|ASTE	LOC110177865|XP_020800470.1|DSER
OG0001651	LOC118506207|XP_035898907.1|ASTE, LOC118506315|XP_035899157.1|ASTE	LOC110177581|XP_020800026.1|DSER
OG0001652	LOC118504165|XP_035894194.1|ASTE	LOC110178956|XP_020801917.1|DSER
OG0001653	LOC118503238|XP_035892140.1|ASTE	LOC110179817|XP_020803082.1|DSER
OG0001654	LOC118503058|XP_035891817.1|ASTE	LOC110184242|XP_020808394.1|DSER
OG0001655	LOC118503057|XP_035891815.1|ASTE	LOC110191811|XP_020818427.1|DSER
OG0001656	LOC118503089|XP_035891872.1|ASTE	LOC110185925|XP_020810596.1|DSER
OG0001657	LOC118503360|XP_035892445.1|ASTE	LOC110176149|XP_020798045.1|DSER
OG0001658	LOC118508050|XP_035903397.1|ASTE	LOC110179017|XP_020802018.1|DSER
OG0001659	LOC118504911|XP_035895873.1|ASTE	LOC110189966|XP_020815914.1|DSER
OG0001660	LOC118504453|XP_035894843.1|ASTE	LOC110191317|XP_020817797.1|DSER
OG0001661	LOC118508365|XP_035903979.1|ASTE	LOC110191057|XP_020817445.1|DSER
OG0001662	LOC118510373|XP_035907991.1|ASTE	LOC110183630|XP_020807607.1|DSER
OG0001678	LOC118505686|XP_035897718.1|ASTE	LOC110184410|XP_020808603.1|DSER
OG0001679	LOC118506580|XP_035899831.1|ASTE, LOC118506589|XP_035899844.1|ASTE	LOC110181508|XP_020804936.1|DSER
OG0001680	LOC118503965|XP_035893774.1|ASTE	LOC110184253|XP_020808373.1|DSER
OG0001681	LOC118511258|XP_035910021.1|ASTE	LOC110175960|XP_020797808.1|DSER
OG0001682	LOC118505497|XP_035897250.1|ASTE	LOC110187775|XP_020812898.1|DSER
OG0001683	LOC118502935|XP_035891580.1|ASTE, LOC118511236|XP_035909966.1|ASTE	LOC110183824|XP_020807835.1|DSER
OG0001684	LOC118510517|XP_035908380.1|ASTE, LOC118509599|XP_035906283.1|ASTE	LOC110185402|XP_020809861.1|DSER
OG0001685	LOC118513284|XP_035914745.1|ASTE	LOC110181199|XP_020804539.1|DSER
OG0001686	LOC118511071|XP_035909614.1|ASTE	LOC110182030|XP_020805619.1|DSER
OG0001687	LOC118507884|XP_035903014.1|ASTE	LOC110185531|XP_020810098.1|DSER
OG0001688	LOC118504183|XP_035894235.1|ASTE	LOC110181533|XP_020804972.1|DSER
OG0001689	LOC118507763|XP_035902677.1|ASTE	LOC110179493|XP_020802726.1|DSER
OG0001690	LOC118517487|XP_035919576.1|ASTE	LOC110190827|XP_020817145.1|DSER
OG0001691	LOC118511295|XP_035910098.1|ASTE	LOC110177061|XP_020799236.1|DSER
OG0001693	LOC118510630|XP_035908562.1|ASTE, LOC118511352|XP_035910209.1|ASTE	LOC110187861|XP_020813005.1|DSER
