Orthogroup	ASTE.longest_only	DSAN.longest_only
OG0001106	LOC118503338|XP_035892396.1|ASTE, LOC118503340|XP_035892398.1|ASTE	LOC120454932|XP_039496623.1|DSAN
OG0001118	LOC118511364|XP_035910219.1|ASTE, LOC118516339|XP_035918043.1|ASTE	LOC120455275|XP_039497230.1|DSAN
OG0001120	LOC118502829|XP_035891396.1|ASTE, LOC118502865|XP_035891466.1|ASTE	LOC120453326|XP_039493920.1|DSAN
OG0001121	LOC118517291|XP_035919169.1|ASTE	LOC120456148|XP_039498714.1|DSAN
OG0001122	LOC118510077|XP_035907374.1|ASTE	LOC120449721|XP_039488282.1|DSAN
OG0001124	LOC118512134|XP_035912037.1|ASTE	LOC120451342|XP_039490854.1|DSAN
OG0001125	LOC118514381|XP_035917148.1|ASTE, LOC118514384|XP_035917155.1|ASTE	LOC120453784|XP_039494568.1|DSAN
OG0001127	LOC118509592|XP_035906265.1|ASTE, LOC118504020|XP_035893881.1|ASTE, LOC118507319|XP_035901600.1|ASTE, LOC118507314|XP_035901590.1|ASTE	LOC120450189|XP_039488988.1|DSAN
OG0001128	LOC118509705|XP_035906679.1|ASTE, LOC118512546|XP_035913014.1|ASTE	LOC120444371|XP_039479912.1|DSAN
OG0001129	LOC118511039|XP_035909525.1|ASTE	LOC120445603|XP_039482043.1|DSAN
OG0001130	LOC118511149|XP_035909769.1|ASTE	LOC120449775|XP_039488352.1|DSAN
OG0001131	LOC118513997|XP_035916323.1|ASTE, LOC118513994|XP_035916315.1|ASTE, LOC118513993|XP_035916314.1|ASTE	LOC120454928|XP_039496619.1|DSAN
OG0001133	LOC118513755|XP_035915813.1|ASTE	LOC120444390|XP_039479942.1|DSAN
OG0001134	LOC118502438|XP_035890559.1|ASTE	LOC120445094|XP_039481159.1|DSAN
OG0001135	LOC118517104|XP_035918855.1|ASTE, LOC118503680|XP_035893115.1|ASTE, LOC118506668|XP_035899997.1|ASTE	LOC120452560|XP_039492773.1|DSAN
OG0001136	LOC118502679|XP_035891077.1|ASTE	LOC120453627|XP_039494344.1|DSAN
OG0001137	LOC118507713|XP_035902501.1|ASTE	LOC120453703|XP_039494460.1|DSAN
OG0001138	LOC118509208|XP_035905374.1|ASTE	LOC120449719|XP_039488279.1|DSAN
OG0001139	LOC118512386|XP_035912651.1|ASTE	LOC120449173|XP_039487449.1|DSAN
OG0001153	LOC118508003|XP_035903270.1|ASTE	LOC120445845|XP_039482408.1|DSAN
OG0001154	LOC118512659|XP_035913299.1|ASTE	LOC120454265|XP_039495355.1|DSAN
OG0001157	LOC118504721|XP_035895504.1|ASTE	LOC120451044|XP_039490332.1|DSAN
OG0001158	LOC118509830|XP_035906897.1|ASTE	LOC120451907|XP_039491853.1|DSAN
OG0001160	LOC118506788|XP_035900298.1|ASTE	LOC120453881|XP_039494731.1|DSAN
OG0001162	LOC118505144|XP_035896396.1|ASTE	LOC120452327|XP_039492414.1|DSAN
OG0001163	LOC118507505|XP_035901931.1|ASTE	LOC120451673|XP_039491483.1|DSAN
OG0001164	LOC118504965|XP_035895980.1|ASTE, LOC118505092|XP_035896283.1|ASTE, LOC118504966|XP_035895982.1|ASTE	LOC120451882|XP_039491823.1|DSAN
OG0001165	LOC118507467|XP_035901855.1|ASTE	LOC120444551|XP_039480235.1|DSAN
OG0001167	LOC118517289|XP_035919161.1|ASTE, LOC118513604|XP_035915534.1|ASTE	LOC120451546|XP_039491267.1|DSAN
OG0001168	LOC118509897|XP_035907038.1|ASTE	LOC120445633|XP_039482094.1|DSAN
OG0001169	LOC118509719|XP_035906701.1|ASTE	LOC120456646|XP_039499506.1|DSAN
OG0001170	LOC118507819|XP_035902790.1|ASTE	LOC120454233|XP_039495270.1|DSAN
OG0001171	LOC118512251|XP_035912287.1|ASTE, LOC118517164|XP_035918942.1|ASTE	LOC120450307|XP_039489189.1|DSAN
OG0001172	LOC118514628|XP_035917519.1|ASTE, LOC118509860|XP_035906961.1|ASTE	LOC120444563|XP_039480253.1|DSAN
OG0001173	LOC118503022|XP_035891739.1|ASTE, LOC118512345|XP_035912525.1|ASTE	LOC120451160|XP_039490528.1|DSAN
OG0001174	LOC118510344|XP_035907928.1|ASTE	LOC120450389|XP_039489314.1|DSAN, LOC120450390|XP_039489316.1|DSAN
OG0001175	LOC118506996|XP_035900774.1|ASTE	LOC120444452|XP_039480050.1|DSAN
OG0001176	LOC118513904|XP_035916123.1|ASTE, LOC118513896|XP_035916106.1|ASTE, LOC118513895|XP_035916105.1|ASTE	LOC120447206|XP_039484643.1|DSAN
OG0001177	LOC118510697|XP_035908780.1|ASTE	LOC120444708|XP_039480515.1|DSAN
OG0001178	LOC118511785|XP_035911195.1|ASTE	LOC120445338|XP_039481608.1|DSAN
OG0001179	LOC118512602|XP_035913151.1|ASTE	LOC120444978|XP_039480936.1|DSAN
OG0001180	LOC118510715|XP_035908811.1|ASTE	LOC120454873|XP_039496364.1|DSAN
OG0001181	LOC118505739|XP_035897822.1|ASTE	LOC120448262|XP_039486114.1|DSAN
OG0001182	LOC118507133|XP_035901055.1|ASTE, LOC118507129|XP_035901039.1|ASTE, LOC118507131|XP_035901049.1|ASTE	LOC120452613|XP_039492845.1|DSAN
OG0001183	LOC118506509|XP_035899620.1|ASTE, LOC118506511|XP_035899628.1|ASTE	LOC120454469|XP_039495723.1|DSAN
OG0001185	LOC118507718|XP_035902509.1|ASTE	LOC120451475|XP_039491102.1|DSAN
OG0001186	LOC118506012|XP_035898491.1|ASTE	LOC120450762|XP_039489836.1|DSAN
OG0001187	LOC118504060|XP_035893987.1|ASTE, LOC118504073|XP_035894019.1|ASTE	LOC120445110|XP_039481189.1|DSAN
OG0001188	LOC118507751|XP_035902650.1|ASTE, LOC118503704|XP_035893160.1|ASTE	LOC120446633|XP_039483631.1|DSAN
OG0001189	LOC118506041|XP_035898563.1|ASTE, LOC118516408|XP_035918164.1|ASTE, LOC118505894|XP_035898241.1|ASTE, LOC118516472|XP_035918283.1|ASTE	LOC120445876|XP_039482455.1|DSAN
OG0001190	LOC118508563|XP_035904355.1|ASTE, LOC118508561|XP_035904352.1|ASTE	LOC120456657|XP_039499522.1|DSAN
OG0001191	LOC118508197|XP_035903654.1|ASTE, LOC118508190|XP_035903644.1|ASTE	LOC120458092|XP_039501553.1|DSAN
OG0001192	LOC118507442|XP_035901817.1|ASTE	LOC120458788|XP_039502504.1|DSAN
OG0001193	LOC118506106|XP_035898685.1|ASTE	LOC120452043|XP_039492029.1|DSAN
OG0001194	LOC118505981|XP_035898435.1|ASTE	LOC120456290|XP_039498968.1|DSAN
OG0001195	LOC118517297|XP_035919177.1|ASTE, LOC118517296|XP_035919175.1|ASTE, LOC118503111|XP_035891943.1|ASTE	LOC120458677|XP_039502348.1|DSAN
OG0001201	LOC118507003|XP_035900789.1|ASTE	LOC120452215|XP_039492271.1|DSAN
OG0001202	LOC118517404|XP_035919371.1|ASTE	LOC120456566|XP_039499381.1|DSAN
OG0001203	LOC118509632|XP_035906421.1|ASTE, LOC118509691|XP_035906644.1|ASTE	LOC120454906|XP_039496521.1|DSAN
OG0001204	LOC118516568|XP_035918429.1|ASTE	LOC120458037|XP_039501480.1|DSAN
OG0001205	LOC118517643|XP_035919856.1|ASTE	LOC120454066|XP_039495009.1|DSAN
OG0001206	LOC118507373|XP_035901708.1|ASTE, LOC118510114|XP_035907474.1|ASTE	LOC120454522|XP_039495822.1|DSAN
OG0001207	LOC118517362|XP_035919272.1|ASTE, LOC118512174|XP_035912154.1|ASTE	LOC120456024|XP_039498523.1|DSAN
OG0001208	LOC118505348|XP_035897352.1|ASTE	LOC120456782|XP_039499729.1|DSAN
OG0001209	LOC118503498|XP_035892723.1|ASTE, LOC118503492|XP_035892710.1|ASTE	LOC120453815|XP_039494628.1|DSAN
OG0001210	LOC118506747|XP_035900223.1|ASTE, LOC118506743|XP_035900201.1|ASTE	LOC120456370|XP_039499116.1|DSAN
OG0001211	LOC118504432|XP_035894765.1|ASTE	LOC120453762|XP_039494530.1|DSAN
OG0001212	LOC118506149|XP_035898795.1|ASTE, LOC118503033|XP_035891757.1|ASTE	LOC120456875|XP_039499905.1|DSAN
OG0001213	LOC118505302|XP_035896814.1|ASTE, LOC118505303|XP_035896816.1|ASTE	LOC120452768|XP_039493087.1|DSAN
OG0001214	LOC118507998|XP_035903262.1|ASTE	LOC120451940|XP_039491894.1|DSAN
OG0001215	LOC118508007|XP_035903285.1|ASTE, LOC118508004|XP_035903271.1|ASTE	LOC120451059|XP_039490351.1|DSAN
OG0001216	LOC118507996|XP_035903258.1|ASTE	LOC120454395|XP_039495580.1|DSAN
OG0001217	LOC118503463|XP_035892642.1|ASTE	LOC120445263|XP_039481487.1|DSAN
OG0001218	LOC118507811|XP_035902772.1|ASTE	LOC120451532|XP_039491244.1|DSAN
OG0001220	LOC118508888|XP_035904614.1|ASTE, LOC118508889|XP_035904615.1|ASTE	LOC120458812|XP_039502544.1|DSAN
OG0001221	LOC118511247|XP_035909988.1|ASTE, LOC118516930|XP_035918670.1|ASTE, LOC118516931|XP_035918671.1|ASTE, LOC118511246|XP_035909985.1|ASTE, LOC118510589|XP_035908483.1|ASTE	LOC120444421|XP_039479985.1|DSAN
OG0001223	LOC118514347|XP_035917058.1|ASTE	LOC120447652|XP_039485103.1|DSAN
OG0001224	LOC118506033|XP_035898545.1|ASTE	LOC120445232|XP_039481425.1|DSAN
OG0001225	LOC118509675|XP_035906574.1|ASTE	LOC120454278|XP_039495426.1|DSAN
OG0001226	LOC118511394|XP_035910317.1|ASTE	LOC120457783|XP_039501212.1|DSAN
OG0001227	LOC118511067|XP_035909568.1|ASTE	LOC120451098|XP_039490440.1|DSAN
OG0001228	LOC118512395|XP_035912669.1|ASTE	LOC120455738|XP_039498094.1|DSAN
OG0001229	LOC118514527|XP_035917400.1|ASTE	LOC120457614|XP_039501056.1|DSAN
OG0001230	LOC118509042|XP_035905008.1|ASTE	LOC120444322|XP_039479804.1|DSAN
OG0001231	LOC118511796|XP_035911219.1|ASTE	LOC120445468|XP_039481848.1|DSAN
OG0001233	LOC118508945|XP_035904747.1|ASTE	LOC120458720|XP_039502403.1|DSAN, LOC120458811|XP_039502543.1|DSAN, LOC120458719|XP_039502402.1|DSAN, LOC120458810|XP_039502542.1|DSAN
OG0001234	LOC118511242|XP_035909975.1|ASTE	LOC120444577|XP_039480271.1|DSAN
OG0001235	LOC118510723|XP_035908825.1|ASTE	LOC120451821|XP_039491728.1|DSAN
OG0001236	LOC118505735|XP_035897816.1|ASTE	LOC120449391|XP_039487768.1|DSAN
OG0001237	LOC118505306|XP_035896830.1|ASTE	LOC120449126|XP_039487373.1|DSAN, LOC120454516|XP_039495810.1|DSAN
OG0001238	LOC118504642|XP_035895262.1|ASTE	LOC120451010|XP_039490261.1|DSAN
OG0001239	LOC118508095|XP_035903470.1|ASTE, LOC118503658|XP_035893074.1|ASTE	LOC120454636|XP_039496059.1|DSAN
OG0001240	LOC118508254|XP_035903765.1|ASTE, LOC118515267|XP_035917851.1|ASTE, LOC118503513|XP_035892757.1|ASTE	LOC120451855|XP_039491781.1|DSAN
OG0001241	LOC118506705|XP_035900090.1|ASTE	LOC120446433|XP_039483332.1|DSAN
OG0001242	LOC118502640|XP_035890980.1|ASTE	LOC120455383|XP_039497443.1|DSAN
OG0001244	LOC118509322|XP_035905679.1|ASTE	LOC120451704|XP_039491536.1|DSAN
OG0001246	LOC118504887|XP_035895838.1|ASTE, LOC118504885|XP_035895835.1|ASTE, LOC118504884|XP_035895834.1|ASTE	LOC120444883|XP_039480799.1|DSAN
OG0001247	LOC118508155|XP_035903585.1|ASTE	LOC120444065|XP_039479513.1|DSAN
OG0001249	LOC118508107|XP_035903494.1|ASTE	LOC120453962|XP_039494846.1|DSAN, LOC120455502|XP_039497698.1|DSAN
OG0001257	LOC118509652|XP_035906493.1|ASTE	LOC120454919|XP_039496583.1|DSAN
OG0001258	LOC118505200|XP_035896573.1|ASTE	LOC120452399|XP_039492551.1|DSAN
OG0001259	LOC118517449|XP_035919488.1|ASTE, LOC118506304|XP_035899145.1|ASTE	LOC120455980|XP_039498467.1|DSAN
OG0001260	LOC118512715|XP_035913451.1|ASTE	LOC120452318|XP_039492405.1|DSAN
OG0001261	LOC118509960|XP_035907260.1|ASTE, LOC118514207|XP_035916793.1|ASTE	LOC120456330|XP_039499031.1|DSAN
OG0001263	LOC118508293|XP_035903835.1|ASTE	LOC120450959|XP_039490180.1|DSAN
OG0001264	LOC118509213|XP_035905380.1|ASTE, LOC118517408|XP_035919375.1|ASTE	LOC120458497|XP_039502098.1|DSAN
OG0001266	LOC118507536|XP_035902006.1|ASTE	LOC120444600|XP_039480309.1|DSAN
OG0001267	LOC118502916|XP_035891542.1|ASTE, LOC118502906|XP_035891520.1|ASTE	LOC120452726|XP_039493025.1|DSAN
OG0001269	LOC118507188|XP_035901153.1|ASTE	LOC120446601|XP_039483567.1|DSAN
OG0001270	LOC118503699|XP_035893154.1|ASTE, LOC118508000|XP_035903266.1|ASTE	LOC120453297|XP_039493861.1|DSAN
OG0001271	LOC118511452|XP_035910445.1|ASTE, LOC118511451|XP_035910444.1|ASTE, LOC118508844|XP_035904487.1|ASTE	LOC120449834|XP_039488421.1|DSAN
OG0001272	LOC118509409|XP_035905868.1|ASTE	LOC120447570|XP_039484964.1|DSAN
OG0001273	LOC118507925|XP_035903121.1|ASTE	LOC120451874|XP_039491815.1|DSAN
OG0001274	LOC118516387|XP_035918144.1|ASTE, LOC118512763|XP_035913553.1|ASTE, LOC118512772|XP_035913569.1|ASTE, LOC118516384|XP_035918138.1|ASTE, LOC118516383|XP_035918137.1|ASTE, LOC118512771|XP_035913568.1|ASTE	LOC120450546|XP_039489584.1|DSAN
OG0001276	LOC118513068|XP_035914309.1|ASTE	LOC120448880|XP_039487028.1|DSAN
OG0001277	LOC118512920|XP_035913964.1|ASTE	LOC120449559|XP_039488040.1|DSAN
OG0001278	LOC118512294|XP_035912414.1|ASTE	LOC120448182|XP_039485966.1|DSAN
OG0001279	LOC118512298|XP_035912422.1|ASTE	LOC120449975|XP_039488617.1|DSAN
OG0001280	LOC118514238|XP_035916834.1|ASTE	LOC120450370|XP_039489287.1|DSAN
OG0001281	LOC118512634|XP_035913223.1|ASTE	LOC120449072|XP_039487304.1|DSAN
OG0001282	LOC118514262|XP_035916871.1|ASTE	LOC120458023|XP_039501461.1|DSAN
OG0001283	LOC118511551|XP_035910663.1|ASTE	LOC120445360|XP_039481652.1|DSAN
OG0001284	LOC118513903|XP_035916119.1|ASTE	LOC120457477|XP_039500964.1|DSAN
OG0001285	LOC118503095|XP_035891886.1|ASTE, LOC118512716|XP_035913448.1|ASTE	LOC120449813|XP_039488395.1|DSAN
OG0001286	LOC118512447|XP_035912804.1|ASTE	LOC120457800|XP_039501230.1|DSAN
OG0001287	LOC118512730|XP_035913483.1|ASTE	LOC120453620|XP_039494336.1|DSAN
OG0001288	LOC118512489|XP_035912886.1|ASTE	LOC120458137|XP_039501615.1|DSAN
OG0001289	LOC118514047|XP_035916431.1|ASTE	LOC120457765|XP_039501196.1|DSAN
OG0001290	LOC118510651|XP_035908659.1|ASTE	LOC120448010|XP_039485704.1|DSAN
OG0001291	LOC118506591|XP_035899841.1|ASTE	LOC120446058|XP_039482769.1|DSAN
OG0001292	LOC118503098|XP_035891890.1|ASTE, LOC118503104|XP_035891929.1|ASTE	LOC120447252|XP_039484712.1|DSAN
OG0001293	LOC118506581|XP_035899830.1|ASTE	LOC120455311|XP_039497295.1|DSAN
OG0001294	LOC118504858|XP_035895786.1|ASTE	LOC120450780|XP_039489872.1|DSAN
OG0001295	LOC118505807|XP_035898040.1|ASTE	LOC120456338|XP_039499045.1|DSAN
OG0001296	LOC118508335|XP_035903896.1|ASTE, LOC118517059|XP_035918802.1|ASTE	LOC120457893|XP_039501343.1|DSAN
OG0001297	LOC118505340|XP_035896889.1|ASTE	LOC120454402|XP_039495597.1|DSAN
OG0001298	LOC118502576|XP_035890795.1|ASTE, LOC118506506|XP_035899615.1|ASTE	LOC120453180|XP_039493678.1|DSAN
OG0001299	LOC118505511|XP_035897300.1|ASTE, LOC118505510|XP_035897296.1|ASTE	LOC120448416|XP_039486349.1|DSAN
OG0001300	LOC118505015|XP_035896097.1|ASTE	LOC120452982|XP_039493413.1|DSAN
OG0001301	LOC118517591|XP_035919764.1|ASTE, LOC118505292|XP_035896780.1|ASTE, LOC118517184|XP_035918995.1|ASTE	LOC120458540|XP_039502154.1|DSAN
OG0001302	LOC118506830|XP_035900433.1|ASTE	LOC120445846|XP_039482413.1|DSAN
OG0001303	LOC118517568|XP_035919706.1|ASTE	LOC120451340|XP_039490853.1|DSAN
OG0001304	LOC118502579|XP_035890806.1|ASTE	LOC120444345|XP_039479852.1|DSAN
OG0001305	LOC118508529|XP_035904296.1|ASTE	LOC120453298|XP_039493862.1|DSAN
OG0001306	LOC118507719|XP_035902560.1|ASTE	LOC120451203|XP_039490589.1|DSAN
OG0001307	LOC118502798|XP_035891298.1|ASTE	LOC120447650|XP_039485094.1|DSAN
OG0001308	LOC118506555|XP_035899757.1|ASTE	LOC120454986|XP_039496712.1|DSAN
OG0001309	LOC118507709|XP_035902497.1|ASTE, LOC118507710|XP_035902498.1|ASTE	LOC120453811|XP_039494623.1|DSAN
OG0001311	LOC118503317|XP_035892341.1|ASTE, LOC118517427|XP_035919433.1|ASTE	LOC120457266|XP_039500618.1|DSAN
OG0001312	LOC118503305|XP_035892318.1|ASTE	LOC120447848|XP_039485389.1|DSAN, LOC120447847|XP_039485388.1|DSAN
OG0001313	LOC118507236|XP_035901379.1|ASTE	LOC120445864|XP_039482440.1|DSAN
OG0001314	LOC118512881|XP_035914293.1|ASTE	LOC120458038|XP_039501481.1|DSAN
OG0001315	LOC118506659|XP_035899970.1|ASTE	LOC120455400|XP_039497474.1|DSAN
OG0001326	LOC118508303|XP_035903851.1|ASTE	LOC120451385|XP_039490979.1|DSAN
OG0001328	LOC118503066|XP_035891829.1|ASTE	LOC120456604|XP_039499448.1|DSAN
OG0001329	LOC118509272|XP_035905520.1|ASTE	LOC120456419|XP_039499185.1|DSAN
OG0001330	LOC118517158|XP_035918929.1|ASTE	LOC120455102|XP_039496912.1|DSAN
OG0001331	LOC118512722|XP_035913464.1|ASTE	LOC120457350|XP_039500799.1|DSAN
OG0001332	LOC118511331|XP_035910159.1|ASTE, LOC118511265|XP_035910034.1|ASTE	LOC120455478|XP_039497647.1|DSAN
OG0001333	LOC118509806|XP_035906845.1|ASTE, LOC118509778|XP_035906813.1|ASTE	LOC120458249|XP_039501772.1|DSAN
OG0001334	LOC118502597|XP_035890857.1|ASTE, LOC118502813|XP_035891349.1|ASTE	LOC120452874|XP_039493255.1|DSAN
OG0001335	LOC118505565|XP_035897415.1|ASTE, LOC118505566|XP_035897416.1|ASTE	LOC120452572|XP_039492788.1|DSAN
OG0001337	LOC118511391|XP_035910312.1|ASTE	LOC120456473|XP_039499265.1|DSAN
OG0001338	LOC118505063|XP_035896234.1|ASTE, LOC118516461|XP_035918252.1|ASTE	LOC120446915|XP_039484087.1|DSAN
OG0001339	LOC118502918|XP_035891545.1|ASTE, LOC118512193|XP_035912188.1|ASTE	LOC120444579|XP_039480273.1|DSAN
OG0001340	LOC118506774|XP_035900262.1|ASTE	LOC120457591|XP_039501035.1|DSAN
OG0001341	LOC118507844|XP_035902868.1|ASTE	LOC120453145|XP_039493635.1|DSAN
OG0001344	LOC118506366|XP_035899279.1|ASTE, LOC118506365|XP_035899272.1|ASTE	LOC120452771|XP_039493094.1|DSAN
OG0001345	LOC118516458|XP_035918249.1|ASTE, LOC118505112|XP_035896307.1|ASTE, LOC118516457|XP_035918247.1|ASTE, LOC118505111|XP_035896305.1|ASTE	LOC120454454|XP_039495699.1|DSAN
OG0001346	LOC118505438|XP_035897125.1|ASTE	LOC120453109|XP_039493578.1|DSAN
OG0001347	LOC118508585|XP_035904383.1|ASTE	LOC120457279|XP_039500650.1|DSAN
OG0001348	LOC118517273|XP_035919140.1|ASTE, LOC118514280|XP_035916915.1|ASTE	LOC120455063|XP_039496848.1|DSAN
OG0001349	LOC118510488|XP_035908267.1|ASTE	LOC120449527|XP_039487974.1|DSAN
OG0001350	LOC118512205|XP_035912208.1|ASTE	LOC120449870|XP_039488463.1|DSAN
OG0001351	LOC118512096|XP_035911955.1|ASTE	LOC120458654|XP_039502319.1|DSAN
OG0001352	LOC118509480|XP_035906015.1|ASTE	LOC120458600|XP_039502234.1|DSAN
OG0001353	LOC118504607|XP_035895177.1|ASTE, LOC118509513|XP_035906095.1|ASTE	LOC120448202|XP_039486002.1|DSAN
OG0001354	LOC118511541|XP_035910637.1|ASTE	LOC120445093|XP_039481156.1|DSAN
OG0001355	LOC118511525|XP_035910607.1|ASTE	LOC120444536|XP_039480217.1|DSAN
OG0001356	LOC118513488|XP_035915204.1|ASTE, LOC118509738|XP_035906760.1|ASTE	LOC120451676|XP_039491491.1|DSAN
OG0001357	LOC118512759|XP_035913542.1|ASTE, LOC118516367|XP_035918113.1|ASTE	LOC120448070|XP_039485775.1|DSAN
OG0001358	LOC118512760|XP_035913544.1|ASTE, LOC118516364|XP_035918093.1|ASTE	LOC120447496|XP_039484827.1|DSAN
OG0001359	LOC118514604|XP_035917493.1|ASTE, LOC118512664|XP_035913309.1|ASTE	LOC120444189|XP_039479694.1|DSAN
OG0001360	LOC118514357|XP_035917072.1|ASTE	LOC120458467|XP_039502054.1|DSAN
OG0001361	LOC118509799|XP_035906828.1|ASTE, LOC118509800|XP_035906829.1|ASTE	LOC120447505|XP_039484849.1|DSAN
OG0001362	LOC118512297|XP_035912420.1|ASTE	LOC120448870|XP_039487016.1|DSAN
OG0001363	LOC118503687|XP_035893121.1|ASTE, LOC118512288|XP_035912404.1|ASTE	LOC120451521|XP_039491223.1|DSAN
OG0001364	LOC118514188|XP_035916767.1|ASTE, LOC118513327|XP_035914827.1|ASTE	LOC120445909|XP_039482499.1|DSAN
OG0001365	LOC118513191|XP_035914572.1|ASTE	LOC120447935|XP_039485533.1|DSAN
OG0001367	LOC118509863|XP_035906966.1|ASTE	LOC120445401|XP_039481745.1|DSAN
OG0001368	LOC118513233|XP_035914671.1|ASTE	LOC120447089|XP_039484430.1|DSAN
OG0001369	LOC118514260|XP_035916869.1|ASTE	LOC120456639|XP_039499495.1|DSAN
OG0001370	LOC118517323|XP_035919196.1|ASTE, LOC118509379|XP_035905813.1|ASTE	LOC120446731|XP_039483782.1|DSAN
OG0001371	LOC118509649|XP_035906463.1|ASTE	LOC120457838|XP_039501285.1|DSAN
OG0001372	LOC118512013|XP_035911681.1|ASTE	LOC120445921|XP_039482513.1|DSAN
OG0001373	LOC118511033|XP_035909507.1|ASTE	LOC120449057|XP_039487326.1|DSAN
OG0001374	LOC118513899|XP_035916109.1|ASTE	LOC120446722|XP_039483768.1|DSAN
OG0001376	LOC118515231|XP_035917809.1|ASTE, LOC118513577|XP_035915418.1|ASTE, LOC118515229|XP_035917808.1|ASTE, LOC118513576|XP_035915417.1|ASTE	LOC120446545|XP_039483495.1|DSAN
OG0001377	LOC118513915|XP_035916158.1|ASTE	LOC120449372|XP_039487741.1|DSAN, LOC120443995|XP_039479407.1|DSAN
OG0001378	LOC118512644|XP_035913253.1|ASTE	LOC120458422|XP_039501994.1|DSAN
OG0001379	LOC118513885|XP_035916092.1|ASTE	LOC120458073|XP_039501519.1|DSAN
OG0001380	LOC118508988|XP_035904879.1|ASTE	LOC120458546|XP_039502161.1|DSAN, LOC120458562|XP_039502184.1|DSAN, LOC120457340|XP_039500787.1|DSAN
OG0001381	LOC118514539|XP_035917415.1|ASTE	LOC120444314|XP_039479791.1|DSAN
OG0001382	LOC118512516|XP_035912927.1|ASTE	LOC120458792|XP_039502510.1|DSAN
OG0001383	LOC118511029|XP_035909502.1|ASTE	LOC120443692|XP_039478869.1|DSAN
OG0001384	LOC118509868|XP_035906984.1|ASTE	LOC120446517|XP_039483462.1|DSAN
OG0001385	LOC118513824|XP_035915953.1|ASTE, LOC118506497|XP_035899585.1|ASTE	LOC120457912|XP_039501384.1|DSAN
OG0001387	LOC118510806|XP_035909014.1|ASTE, LOC118510807|XP_035909016.1|ASTE	LOC120458289|XP_039501821.1|DSAN
OG0001388	LOC118510750|XP_035908882.1|ASTE, LOC118510751|XP_035908887.1|ASTE	LOC120458876|XP_039502647.1|DSAN
OG0001389	LOC118504458|XP_035894846.1|ASTE, LOC118504454|XP_035894839.1|ASTE	LOC120453709|XP_039494465.1|DSAN
OG0001390	LOC118506752|XP_035900235.1|ASTE	LOC120458781|XP_039502495.1|DSAN
OG0001391	LOC118504503|XP_035894922.1|ASTE	LOC120444300|XP_039479755.1|DSAN
OG0001392	LOC118506657|XP_035899968.1|ASTE	LOC120455323|XP_039497334.1|DSAN
OG0001393	LOC118502606|XP_035890863.1|ASTE	LOC120444386|XP_039479928.1|DSAN
OG0001394	LOC118507094|XP_035900977.1|ASTE, LOC118504798|XP_035895669.1|ASTE	LOC120444588|XP_039480295.1|DSAN
OG0001395	LOC118505832|XP_035898080.1|ASTE	LOC120454417|XP_039495622.1|DSAN
OG0001396	LOC118506543|XP_035899727.1|ASTE	LOC120455605|XP_039497919.1|DSAN
OG0001397	LOC118508436|XP_035904108.1|ASTE, LOC118507361|XP_035901666.1|ASTE	LOC120453375|XP_039493983.1|DSAN
OG0001399	LOC118512891|XP_035913888.1|ASTE	LOC120455879|XP_039498300.1|DSAN
OG0001400	LOC118503474|XP_035892665.1|ASTE	LOC120450810|XP_039489919.1|DSAN
OG0001401	LOC118508071|XP_035903427.1|ASTE, LOC118509254|XP_035905482.1|ASTE	LOC120448535|XP_039486513.1|DSAN
OG0001402	LOC118508085|XP_035903453.1|ASTE	LOC120449566|XP_039488052.1|DSAN
OG0001403	LOC118512335|XP_035912510.1|ASTE	LOC120449650|XP_039488176.1|DSAN
OG0001404	LOC118505990|XP_035898449.1|ASTE	LOC120444774|XP_039480641.1|DSAN
OG0001405	LOC118516517|XP_035918344.1|ASTE, LOC118516525|XP_035918353.1|ASTE, LOC118506091|XP_035898664.1|ASTE	LOC120444292|XP_039479747.1|DSAN
OG0001406	LOC118506116|XP_035898717.1|ASTE	LOC120455196|XP_039497073.1|DSAN
OG0001407	LOC118508052|XP_035903398.1|ASTE	LOC120450258|XP_039489082.1|DSAN
OG0001408	LOC118509985|XP_035907259.1|ASTE	LOC120446677|XP_039483685.1|DSAN
OG0001429	LOC118504939|XP_035895931.1|ASTE, LOC118504930|XP_035895920.1|ASTE	LOC120452313|XP_039492397.1|DSAN
OG0001430	LOC118513099|XP_035914393.1|ASTE, LOC118510660|XP_035908704.1|ASTE	LOC120454598|XP_039495984.1|DSAN
OG0001431	LOC118502803|XP_035891317.1|ASTE	LOC120455556|XP_039497837.1|DSAN
OG0001432	LOC118517173|XP_035918974.1|ASTE, LOC118505181|XP_035896528.1|ASTE	LOC120455952|XP_039498429.1|DSAN
OG0001433	LOC118503728|XP_035893234.1|ASTE	LOC120452876|XP_039493260.1|DSAN
OG0001434	LOC118503987|XP_035893827.1|ASTE	LOC120455292|XP_039497266.1|DSAN
OG0001435	LOC118511737|XP_035911080.1|ASTE	LOC120443913|XP_039479288.1|DSAN
OG0001436	LOC118517432|XP_035919444.1|ASTE	LOC120451187|XP_039490570.1|DSAN
OG0001437	LOC118513084|XP_035914345.1|ASTE	LOC120446405|XP_039483283.1|DSAN
OG0001438	LOC118503425|XP_035892562.1|ASTE, LOC118511093|XP_035909688.1|ASTE	LOC120451039|XP_039490301.1|DSAN
OG0001439	LOC118506957|XP_035900670.1|ASTE, LOC118505187|XP_035896539.1|ASTE	LOC120452182|XP_039492226.1|DSAN
