Orthogroup	BTRY.longest_only	DYAK.longest_only
OG0001552	LOC120766190|XP_039947481.1|BTRY	LOC6536332|XP_002096916.1|DYAK
OG0001553	LOC120773720|XP_039958701.1|BTRY, LOC120776008|XP_039962377.1|BTRY	LOC6524306|XP_002100165.1|DYAK
OG0001554	LOC120773438|XP_039958258.1|BTRY	LOC6536531|XP_015047805.1|DYAK
OG0001555	LOC120769338|XP_039952228.1|BTRY	LOC6529636|XP_002090630.1|DYAK
OG0001556	LOC120770110|XP_039953215.1|BTRY	LOC6531128|XP_002091962.1|DYAK
OG0001557	LOC120774237|XP_039959632.1|BTRY	LOC6525552|XP_002101387.1|DYAK
OG0001558	LOC120776051|XP_039962442.1|BTRY	LOC6524901|XP_002100741.1|DYAK
OG0001559	LOC120766322|XP_039947680.1|BTRY	LOC6538745|XP_002099260.1|DYAK
OG0001561	LOC120766537|XP_039948049.1|BTRY, LOC120766528|XP_039948032.1|BTRY	LOC6537458|XP_002098014.1|DYAK
OG0001562	LOC120782857|XP_039971324.1|BTRY	LOC6527050|XP_002088143.1|DYAK
OG0001563	LOC120771274|XP_039955133.1|BTRY	LOC6535223|XP_039229482.1|DYAK
OG0001564	LOC120766484|XP_039947962.1|BTRY	LOC6537647|XP_039231850.1|DYAK
OG0001565	LOC120766874|XP_039948539.1|BTRY	LOC6536171|XP_002096762.3|DYAK
OG0001566	LOC120782328|XP_039970487.1|BTRY	LOC6536563|XP_002097139.1|DYAK
OG0001567	LOC120772164|XP_039956538.1|BTRY	LOC6530297|XP_002091224.2|DYAK
OG0001568	LOC120782686|XP_039971015.1|BTRY	LOC6537312|XP_039232413.1|DYAK
OG0001569	LOC120782487|XP_039970722.1|BTRY	LOC6536996|XP_002097565.1|DYAK
OG0001570	LOC120782368|XP_039970540.1|BTRY	LOC6536948|XP_002097517.1|DYAK
OG0001572	LOC120775782|XP_039962053.1|BTRY	LOC6524953|XP_002100793.1|DYAK
OG0001573	LOC120777157|XP_039964235.1|BTRY	LOC6533011|XP_015049767.1|DYAK
OG0001574	LOC120776055|XP_039962447.1|BTRY, LOC120781219|XP_039969282.1|BTRY	LOC6523786|XP_039228411.1|DYAK
OG0001575	LOC120780662|XP_039968858.1|BTRY	LOC6538757|XP_002099271.1|DYAK
OG0001576	LOC120766533|XP_039948038.1|BTRY	LOC6536606|XP_002097182.1|DYAK
OG0001577	LOC120768550|XP_039951227.1|BTRY, LOC120769307|XP_039952174.1|BTRY	LOC6537990|XP_002098525.2|DYAK
OG0001578	LOC120772667|XP_039957335.1|BTRY	LOC6531077|XP_002091911.1|DYAK
OG0001579	LOC120774265|XP_039959669.1|BTRY	LOC6525136|XP_015046115.2|DYAK
OG0001580	LOC120770174|XP_039953322.1|BTRY	LOC6529366|XP_015052305.1|DYAK
OG0001581	LOC120773814|XP_039958855.1|BTRY	LOC6525929|XP_002101749.2|DYAK
OG0001582	LOC120770043|XP_039953092.1|BTRY	LOC6530092|XP_002091038.2|DYAK
OG0001583	LOC120771741|XP_039955847.1|BTRY	LOC6528492|XP_002089538.1|DYAK
OG0001584	LOC120777659|XP_039965046.1|BTRY	LOC6532291|XP_002093051.1|DYAK
OG0001585	LOC120775963|XP_039962308.1|BTRY	LOC6525556|XP_039229292.1|DYAK
OG0001586	LOC120777890|XP_039965386.1|BTRY	LOC6533311|XP_002094037.1|DYAK
OG0001587	LOC120771025|XP_039954735.1|BTRY	LOC6539196|XP_002086097.1|DYAK
OG0001588	LOC120781566|XP_039969737.1|BTRY, LOC120779466|XP_039967663.1|BTRY, LOC120780829|XP_039969007.1|BTRY, LOC120781620|XP_039969787.1|BTRY, LOC120778336|XP_039966064.1|BTRY, LOC120778376|XP_039966097.1|BTRY, LOC120772130|XP_039956480.1|BTRY	LOC6528464|XP_002089510.1|DYAK
OG0001589	LOC120767539|XP_039949577.1|BTRY	LOC6539157|XP_002086062.2|DYAK
OG0001590	LOC120772466|XP_039957038.1|BTRY	LOC6530950|XP_039228473.1|DYAK
OG0001591	LOC120774435|XP_039960013.1|BTRY	LOC6538061|XP_002098596.2|DYAK
OG0001592	LOC120768200|XP_039950706.1|BTRY	LOC6527394|XP_015053118.1|DYAK
OG0001593	LOC120768303|XP_039950867.1|BTRY	LOC6527385|XP_015053127.1|DYAK
OG0001594	LOC120769207|XP_039952035.1|BTRY	LOC6526840|XP_039227070.1|DYAK
OG0001595	LOC120768888|XP_039951575.1|BTRY, LOC120770067|XP_039953123.1|BTRY	LOC6530274|XP_015052626.1|DYAK
OG0001596	LOC120767379|XP_039949302.1|BTRY	LOC6529732|XP_002090725.1|DYAK
OG0001597	LOC120768904|XP_039951600.1|BTRY, LOC120767560|XP_039949631.1|BTRY	LOC26536371|XP_015044621.2|DYAK
OG0001599	LOC120767223|XP_039949018.1|BTRY, LOC120769042|XP_039951823.1|BTRY	LOC6527031|XP_002088125.1|DYAK
OG0001600	LOC120769367|XP_039952262.1|BTRY	LOC6528275|XP_002089328.2|DYAK
OG0001601	LOC120769383|XP_039952285.1|BTRY	LOC6528058|XP_002089125.1|DYAK
OG0001602	LOC120769016|XP_039951794.1|BTRY, LOC120768423|XP_039951038.1|BTRY	LOC6527853|XP_002088925.2|DYAK
OG0001603	LOC120781755|XP_039969921.1|BTRY	LOC6527874|XP_002088946.1|DYAK
OG0001604	LOC120775318|XP_039961389.1|BTRY	LOC6524030|XP_002099902.1|DYAK
OG0001605	LOC120771906|XP_039956122.1|BTRY	LOC6528615|XP_002089658.1|DYAK
OG0001606	LOC120771194|XP_039955024.1|BTRY	LOC26535450|XP_015045204.1|DYAK
OG0001607	LOC120768129|XP_039950617.1|BTRY	LOC6529524|XP_002090526.1|DYAK
OG0001608	LOC120767966|XP_039950303.1|BTRY	LOC6529210|XP_015052226.1|DYAK
OG0001609	LOC120771513|XP_039955502.1|BTRY	LOC6530512|XP_002091427.2|DYAK
OG0001610	LOC120768040|XP_039950474.1|BTRY	LOC6529790|XP_002090774.1|DYAK
OG0001611	LOC120767394|XP_039949347.1|BTRY	LOC6530314|XP_002091241.1|DYAK
OG0001612	LOC120769047|XP_039951829.1|BTRY	LOC6527682|XP_002088768.1|DYAK
OG0001613	LOC120781708|XP_039969874.1|BTRY	LOC6528050|XP_002089117.1|DYAK
OG0001614	LOC120770261|XP_039953505.1|BTRY	LOC6528678|XP_039227172.1|DYAK
OG0001615	LOC120768094|XP_039950567.1|BTRY	LOC6539079|XP_015045325.1|DYAK
OG0001616	LOC120768168|XP_039950666.1|BTRY	LOC6527331|XP_002088423.1|DYAK
OG0001617	LOC120767737|XP_039949880.1|BTRY	LOC6529759|XP_002090749.1|DYAK
OG0001618	LOC120781739|XP_039969906.1|BTRY, LOC120779501|XP_039967728.1|BTRY	LOC6528024|XP_002089091.2|DYAK
OG0001619	LOC120768673|XP_039951384.1|BTRY	LOC6527820|XP_002088893.1|DYAK
OG0001620	LOC120771749|XP_039955854.1|BTRY	LOC6531896|XP_002092683.1|DYAK
OG0001621	LOC120771724|XP_039955812.1|BTRY, LOC120771723|XP_039955811.1|BTRY	LOC6531487|XP_002092286.1|DYAK
OG0001622	LOC120773571|XP_039958475.1|BTRY	LOC6525238|XP_002101076.1|DYAK
OG0001623	LOC120769015|XP_039951792.1|BTRY	LOC6526313|XP_002087435.1|DYAK
OG0001624	LOC120768671|XP_039951382.1|BTRY	LOC6527084|XP_002088177.1|DYAK
OG0001625	LOC120767589|XP_039949671.1|BTRY	LOC6529202|XP_002090209.1|DYAK
OG0001626	LOC120769165|XP_039951984.1|BTRY, LOC120780775|XP_039968961.1|BTRY, LOC120781525|XP_039969681.1|BTRY, LOC120768868|XP_039951592.1|BTRY, LOC120780853|XP_039969025.1|BTRY, LOC120780708|XP_039968902.1|BTRY	LOC6527645|XP_002088733.1|DYAK
OG0001627	LOC120766512|XP_039948013.1|BTRY	LOC6537213|XP_015048201.1|DYAK
OG0001628	LOC120782304|XP_039970448.1|BTRY	LOC6538398|XP_002098922.1|DYAK
OG0001629	LOC120780301|XP_039968525.1|BTRY	LOC6529130|XP_002090141.2|DYAK
OG0001630	LOC120774406|XP_039959964.1|BTRY	LOC6538758|XP_002099272.1|DYAK
OG0001631	LOC120766490|XP_039947975.1|BTRY	LOC6535307|XP_039232763.1|DYAK
OG0001632	LOC120773864|XP_039958954.1|BTRY	LOC6527916|XP_002088984.1|DYAK
OG0001633	LOC120782174|XP_039970245.1|BTRY	LOC6537432|XP_002097988.1|DYAK
OG0001634	LOC120780977|XP_039969136.1|BTRY	LOC26535976|XP_015046979.1|DYAK
OG0001635	LOC120767014|XP_039948776.1|BTRY	LOC6538443|XP_002098967.2|DYAK
OG0001636	LOC120782607|XP_039970905.1|BTRY	LOC6536089|XP_002096698.2|DYAK
OG0001637	LOC120782767|XP_039971163.1|BTRY	LOC6536346|XP_002096928.1|DYAK
OG0001638	LOC120775623|XP_039961806.1|BTRY	LOC6524418|XP_002100276.1|DYAK
OG0001639	LOC120773453|XP_039958280.1|BTRY	LOC6529090|XP_039226490.1|DYAK
OG0001640	LOC120782481|XP_039970709.1|BTRY	LOC6536103|XP_002096711.1|DYAK
OG0001641	LOC120776372|XP_039962892.1|BTRY, LOC120776378|XP_039962907.1|BTRY	LOC6537385|XP_002097941.1|DYAK
OG0001642	LOC120768516|XP_039951178.1|BTRY	LOC6525351|XP_002101187.1|DYAK
OG0001643	LOC120778751|XP_039966661.1|BTRY	LOC6526889|XP_002087989.1|DYAK
OG0001644	LOC120777827|XP_039965298.1|BTRY	LOC6534003|XP_015050362.1|DYAK
OG0001645	LOC120771713|XP_039955796.1|BTRY	LOC6530523|XP_002091438.1|DYAK
OG0001646	LOC120771007|XP_039954704.1|BTRY	LOC6531686|XP_015051484.1|DYAK
OG0001647	LOC120773110|XP_039958038.1|BTRY	LOC6528407|XP_039227465.1|DYAK
OG0001648	LOC120777228|XP_039964342.1|BTRY	LOC6534098|XP_015050438.1|DYAK
OG0001649	LOC120771979|XP_039956268.1|BTRY	LOC6530361|XP_002091287.1|DYAK
OG0001650	LOC120770854|XP_039954397.1|BTRY, LOC120771106|XP_039954884.1|BTRY	LOC6530966|XP_039227795.1|DYAK
OG0001651	LOC120773100|XP_039958005.1|BTRY	LOC6531317|XP_015051240.1|DYAK
OG0001652	LOC120777615|XP_039964997.1|BTRY, LOC120777616|XP_039964998.1|BTRY, LOC120777612|XP_039964995.1|BTRY, LOC120778126|XP_039965763.1|BTRY, LOC120777630|XP_039965017.1|BTRY	LOC6534276|XP_002094957.2|DYAK
OG0001653	LOC120779006|XP_039967059.1|BTRY	LOC6534596|XP_002095272.1|DYAK
OG0001654	LOC120770472|XP_039953901.1|BTRY	LOC6531253|XP_002092062.1|DYAK
OG0001655	LOC120771349|XP_039955230.1|BTRY	LOC6528780|XP_002089814.2|DYAK
OG0001656	LOC120769468|XP_039952417.1|BTRY	LOC6526630|XP_002087738.1|DYAK
OG0001657	LOC120779047|XP_039967118.1|BTRY	LOC6534480|XP_002095157.2|DYAK
OG0001658	LOC120778524|XP_039966293.1|BTRY	LOC6533792|XP_002094493.1|DYAK
OG0001659	LOC120778116|XP_039965752.1|BTRY	LOC6534024|XP_002094711.1|DYAK
OG0001660	LOC120778098|XP_039965734.1|BTRY	LOC6532397|XP_002093148.1|DYAK
OG0001661	LOC120780265|XP_039968455.1|BTRY	LOC6536562|XP_002097138.1|DYAK
OG0001662	LOC120776586|XP_039963289.1|BTRY	LOC6532763|XP_002093505.1|DYAK
OG0001663	LOC120766620|XP_039948165.1|BTRY	LOC6536908|XP_002097477.2|DYAK
OG0001664	LOC120772614|XP_039957262.1|BTRY	LOC6530951|XP_002091789.1|DYAK
OG0001666	LOC120769107|XP_039951903.1|BTRY, LOC120775078|XP_039961006.1|BTRY, LOC120777641|XP_039965027.1|BTRY	LOC6526700|XP_002087803.1|DYAK
OG0001667	LOC120772049|XP_039956355.1|BTRY	LOC6531180|XP_002092009.1|DYAK
OG0001668	LOC120777563|XP_039964893.1|BTRY	LOC6533151|XP_002093877.2|DYAK
OG0001669	LOC120777153|XP_039964232.1|BTRY	LOC6532888|XP_002093624.3|DYAK
OG0001670	LOC120777810|XP_039965279.1|BTRY	LOC6526031|XP_002101848.1|DYAK, LOC6529074|XP_015054193.1|DYAK
OG0001678	LOC120773994|XP_039959194.1|BTRY	LOC6525684|XP_002101506.2|DYAK
OG0001679	LOC120775406|XP_039961504.1|BTRY	LOC6525501|XP_002101336.1|DYAK
OG0001680	LOC120774834|XP_039960583.1|BTRY	LOC6525411|XP_039228835.1|DYAK
OG0001681	LOC120775858|XP_039962162.1|BTRY	LOC6525938|XP_002101758.1|DYAK
OG0001682	LOC120775617|XP_039961798.1|BTRY	LOC6525746|XP_015046472.1|DYAK
OG0001683	LOC120767545|XP_039949590.1|BTRY	LOC6527715|XP_002088799.1|DYAK
OG0001684	LOC120779634|XP_039967915.1|BTRY	LOC6523726|XP_002099601.1|DYAK
OG0001685	LOC120767886|XP_039950144.1|BTRY	LOC6528930|XP_002089962.1|DYAK
OG0001686	LOC120773689|XP_039958656.1|BTRY	LOC6525843|XP_002101663.1|DYAK
OG0001687	LOC120775256|XP_039961272.1|BTRY	LOC6523795|XP_002099670.1|DYAK
OG0001688	LOC120775415|XP_039961525.1|BTRY	LOC6525494|XP_002101329.1|DYAK
OG0001689	LOC120774050|XP_039959286.1|BTRY	LOC6525545|XP_002101380.2|DYAK
OG0001690	LOC120778546|XP_039966329.1|BTRY	LOC6533112|XP_002093838.1|DYAK
OG0001691	LOC120767694|XP_039949819.1|BTRY	LOC6526893|XP_002087992.1|DYAK
OG0001692	LOC120771701|XP_039955813.1|BTRY	LOC6535612|XP_039231210.1|DYAK
OG0001693	LOC120773621|XP_039958558.1|BTRY	LOC6524597|XP_015045767.1|DYAK
OG0001694	LOC120766963|XP_039948686.1|BTRY	LOC6535584|XP_039231295.1|DYAK
OG0001695	LOC120775207|XP_039961205.1|BTRY	LOC6531057|XP_002091891.1|DYAK
OG0001696	LOC120766771|XP_039948385.1|BTRY	LOC6536493|XP_015047766.1|DYAK
OG0001697	LOC120780525|XP_039968725.1|BTRY	LOC6538604|XP_002099126.1|DYAK
OG0001698	LOC120773831|XP_039958878.1|BTRY	LOC6526057|XP_039230233.1|DYAK
OG0001699	LOC120766782|XP_039948408.1|BTRY	LOC6536526|XP_002097102.1|DYAK
OG0001700	LOC120782051|XP_039970139.1|BTRY	LOC6536393|XP_015047728.1|DYAK
OG0001701	LOC120770465|XP_039953898.1|BTRY	LOC6537549|XP_002098095.2|DYAK
OG0001702	LOC120767466|XP_039949488.1|BTRY	LOC6527938|XP_002089005.1|DYAK
OG0001703	LOC120778914|XP_039966898.1|BTRY	LOC6537826|XP_002098367.2|DYAK
OG0001704	LOC120782453|XP_039970675.1|BTRY	LOC6537827|XP_002098368.1|DYAK
OG0001705	LOC120782483|XP_039970714.1|BTRY	LOC6537994|XP_015048602.1|DYAK
OG0001706	LOC120769700|XP_039952761.1|BTRY	LOC6529114|XP_015054172.1|DYAK
OG0001707	LOC120766391|XP_039947766.1|BTRY	LOC6537866|XP_039231170.1|DYAK
OG0001708	LOC120777881|XP_039965377.1|BTRY	LOC6536998|XP_039232272.1|DYAK
OG0001709	LOC120778146|XP_039965804.1|BTRY	LOC6532954|XP_002093689.1|DYAK
OG0001710	LOC120766504|XP_039947995.1|BTRY	LOC6537661|XP_039232835.1|DYAK
OG0001711	LOC120766563|XP_039948091.1|BTRY	LOC6537742|XP_015048478.1|DYAK
OG0001712	LOC120766578|XP_039948105.1|BTRY	LOC6538797|XP_002099310.1|DYAK
OG0001713	LOC120781943|XP_039970043.1|BTRY	LOC6536624|XP_002097196.1|DYAK
OG0001714	LOC120782578|XP_039970855.1|BTRY	LOC6535367|XP_039232025.1|DYAK
OG0001715	LOC120773976|XP_039959157.1|BTRY	LOC6525596|XP_002101431.2|DYAK
OG0001716	LOC120774900|XP_039960702.1|BTRY	LOC6525347|XP_002101183.1|DYAK
OG0001717	LOC120768973|XP_039951709.1|BTRY	LOC6537970|XP_002098507.2|DYAK
OG0001718	LOC120774975|XP_039960810.1|BTRY	LOC6537784|XP_039232755.1|DYAK
OG0001719	LOC120782615|XP_039970917.1|BTRY	LOC6537872|XP_039231044.1|DYAK
OG0001720	LOC120780228|XP_039968413.1|BTRY	LOC6536555|XP_039232796.1|DYAK
OG0001721	LOC120782003|XP_039970102.1|BTRY	LOC6536187|XP_002096778.1|DYAK
OG0001722	LOC120779073|XP_039967145.1|BTRY	LOC6539549|XP_015045106.2|DYAK
OG0001723	LOC120771972|XP_039956257.1|BTRY	LOC6529108|XP_002090121.1|DYAK
OG0001724	LOC120770913|XP_039954526.1|BTRY	LOC6530621|XP_039228677.1|DYAK
OG0001725	LOC120771944|XP_039956185.1|BTRY	LOC6528870|XP_015054095.1|DYAK
OG0001726	LOC120778418|XP_039966135.1|BTRY	LOC6534724|XP_002095399.1|DYAK
OG0001727	LOC120766308|XP_039947658.1|BTRY	LOC6537769|XP_002098310.1|DYAK
OG0001728	LOC120770885|XP_039954461.1|BTRY	LOC6530222|XP_002091159.1|DYAK
OG0001729	LOC120770998|XP_039954688.1|BTRY	LOC6532157|XP_039228994.1|DYAK
OG0001730	LOC120769487|XP_039952451.1|BTRY, LOC120769486|XP_039952448.1|BTRY	LOC6527343|XP_002088435.1|DYAK
OG0001731	LOC120772903|XP_039957724.1|BTRY	LOC6530011|XP_039228078.1|DYAK
OG0001732	LOC120782146|XP_039970217.1|BTRY	LOC6527125|XP_002088219.1|DYAK
OG0001733	LOC120770114|XP_039953220.1|BTRY	LOC6530654|XP_002091552.1|DYAK
OG0001734	LOC120770997|XP_039954678.1|BTRY	LOC6528690|XP_002089732.1|DYAK
OG0001735	LOC120776488|XP_039963103.1|BTRY	LOC6534649|XP_002095324.2|DYAK
OG0001736	LOC120771460|XP_039955406.1|BTRY	LOC6531026|XP_002091863.1|DYAK
OG0001737	LOC120770561|XP_039954074.1|BTRY	LOC6531873|XP_002092660.2|DYAK
OG0001738	LOC120776367|XP_039962879.1|BTRY	LOC6534349|XP_002095028.1|DYAK
OG0001739	LOC120771361|XP_039955251.1|BTRY	LOC26536353|XP_015045318.1|DYAK
OG0001740	LOC120771162|XP_039954975.1|BTRY	LOC6531814|XP_002092601.1|DYAK
OG0001741	LOC120778593|XP_039966402.1|BTRY	LOC6539040|XP_002099542.1|DYAK
OG0001742	LOC120772299|XP_039956742.1|BTRY	LOC6528872|XP_002089904.1|DYAK
OG0001743	LOC120777835|XP_039965306.1|BTRY	LOC6532441|XP_002093188.1|DYAK
OG0001744	LOC120770428|XP_039953815.1|BTRY	LOC6528316|XP_039226740.1|DYAK
OG0001745	LOC120773048|XP_039957913.1|BTRY	LOC6531327|XP_039228422.1|DYAK
OG0001746	LOC120778508|XP_039966274.1|BTRY	LOC6533610|XP_002094318.1|DYAK
OG0001747	LOC120770033|XP_039953077.1|BTRY	LOC6531184|XP_039228291.1|DYAK
OG0001748	LOC120777796|XP_039965262.1|BTRY	LOC6532644|XP_002093388.2|DYAK
OG0001749	LOC120771928|XP_039956159.1|BTRY	LOC6532075|XP_002092852.1|DYAK
OG0001750	LOC120772894|XP_039957700.1|BTRY	LOC6532073|XP_002092850.1|DYAK
OG0001751	LOC120776536|XP_039963204.1|BTRY	LOC6534338|XP_015050580.1|DYAK
OG0001752	LOC120777116|XP_039964188.1|BTRY, LOC120773153|XP_039958075.1|BTRY, LOC120777543|XP_039964865.1|BTRY, LOC120778192|XP_039965864.1|BTRY, LOC120777860|XP_039965340.1|BTRY	LOC6533128|XP_002093854.1|DYAK
OG0001753	LOC120778234|XP_039965926.1|BTRY	LOC6532831|XP_015049628.2|DYAK
OG0001754	LOC120771219|XP_039955060.1|BTRY	LOC6530076|XP_015052583.2|DYAK
OG0001755	LOC120778132|XP_039965777.1|BTRY	LOC6532841|XP_015049649.1|DYAK
OG0001756	LOC120781251|XP_039969333.1|BTRY	LOC6531481|XP_002092280.1|DYAK
OG0001757	LOC120772752|XP_039957449.1|BTRY	LOC6531086|XP_002091920.1|DYAK
OG0001758	LOC120776614|XP_039963338.1|BTRY	LOC6534033|XP_015050384.1|DYAK
OG0001759	LOC120772921|XP_039957754.1|BTRY, LOC120772922|XP_039957755.1|BTRY	LOC6531651|XP_002092448.3|DYAK
OG0001761	LOC120770593|XP_039954123.1|BTRY	LOC6530656|XP_002091554.2|DYAK
OG0001762	LOC120769031|XP_039951807.1|BTRY	LOC6527046|XP_015053579.1|DYAK
OG0001763	LOC120768518|XP_039951180.1|BTRY, LOC120768856|XP_039951546.1|BTRY	LOC6527020|XP_002088115.2|DYAK
OG0001764	LOC120769804|XP_039952937.1|BTRY, LOC120779183|XP_039967369.1|BTRY	LOC6537029|XP_002097596.2|DYAK
OG0001765	LOC120773539|XP_039958431.1|BTRY	LOC6528766|XP_039227560.1|DYAK
OG0001766	LOC120769442|XP_039952359.1|BTRY	LOC6527761|XP_015053795.1|DYAK
OG0001767	LOC120769265|XP_039952105.1|BTRY	LOC6526693|XP_002087797.2|DYAK
OG0001768	LOC120774275|XP_039959698.1|BTRY	LOC6526304|XP_002087426.1|DYAK
OG0001769	LOC120768870|XP_039951559.1|BTRY	LOC6528096|XP_002089163.1|DYAK
OG0001770	LOC120767908|XP_039950193.1|BTRY	LOC6527199|XP_002088293.1|DYAK
OG0001771	LOC120769517|XP_039952489.1|BTRY	LOC6526731|XP_002087834.1|DYAK
OG0001772	LOC120768053|XP_039950504.1|BTRY, LOC120768993|XP_039951761.1|BTRY	LOC6528015|XP_002089082.1|DYAK
OG0001773	LOC120769306|XP_039952173.1|BTRY	LOC6527945|XP_002089012.3|DYAK
OG0001774	LOC120770925|XP_039954562.1|BTRY	LOC120322342|XP_039233324.1|DYAK, LOC6532112|XP_002092888.2|DYAK
OG0001775	LOC120773459|XP_039958293.1|BTRY	LOC6525013|XP_002100852.1|DYAK
OG0001776	LOC120768559|XP_039951237.1|BTRY	LOC6527078|XP_002088171.1|DYAK
OG0001777	LOC120767835|XP_039950059.1|BTRY	LOC6526949|XP_002088045.1|DYAK
OG0001778	LOC120769453|XP_039952391.1|BTRY	LOC6528924|XP_002089956.1|DYAK
OG0001779	LOC120768553|XP_039951231.1|BTRY	LOC6527958|XP_039226979.1|DYAK
OG0001780	LOC120771973|XP_039956258.1|BTRY	LOC6529106|XP_002090119.1|DYAK
OG0001781	LOC120767984|XP_039950335.1|BTRY	LOC6529789|XP_039229228.1|DYAK
OG0001782	LOC120781633|XP_039969798.1|BTRY	LOC6527519|XP_015053705.1|DYAK
OG0001783	LOC120768122|XP_039950608.1|BTRY	LOC6527800|XP_002088873.1|DYAK
OG0001784	LOC120769571|XP_039952560.1|BTRY	LOC6526434|XP_002087553.1|DYAK
OG0001785	LOC120770903|XP_039954510.1|BTRY	LOC6528775|XP_002089809.1|DYAK
OG0001786	LOC120767277|XP_039949083.1|BTRY	LOC6526971|XP_002088067.1|DYAK
OG0001787	LOC120767664|XP_039949771.1|BTRY, LOC120767586|XP_039949667.1|BTRY	LOC6526969|XP_002088065.2|DYAK
OG0001788	LOC120770751|XP_039954272.1|BTRY, LOC120776528|XP_039963195.1|BTRY	LOC6529898|XP_002090855.1|DYAK
OG0001789	LOC120776731|XP_039963592.1|BTRY	LOC6531765|XP_002092552.1|DYAK
OG0001790	LOC120767203|XP_039948941.1|BTRY, LOC120767200|XP_039948938.1|BTRY	LOC6526953|XP_002088049.1|DYAK
OG0001791	LOC120772783|XP_039957496.1|BTRY	LOC6530270|XP_039229130.1|DYAK
OG0001792	LOC120769232|XP_039952064.1|BTRY	LOC6529618|XP_015052092.1|DYAK
OG0001793	LOC120770991|XP_039954672.1|BTRY	LOC6530368|XP_015052658.1|DYAK
OG0001794	LOC120769690|XP_039952750.1|BTRY, LOC120767232|XP_039948995.1|BTRY	LOC6528923|XP_002089955.1|DYAK
OG0001795	LOC120769557|XP_039952539.1|BTRY	LOC6529544|XP_015052105.1|DYAK
OG0001796	LOC120776048|XP_039962432.1|BTRY	LOC6525593|XP_002101428.1|DYAK
OG0001797	LOC120779744|XP_039968051.1|BTRY	LOC6523713|XP_039233042.1|DYAK
OG0001798	LOC120770413|XP_039953782.1|BTRY	LOC6531641|XP_002092438.1|DYAK
OG0001799	LOC120775892|XP_039962216.1|BTRY	LOC6526142|XP_002101956.2|DYAK
OG0001800	LOC120767428|XP_039949405.1|BTRY, LOC120769485|XP_039952446.1|BTRY	LOC6526943|XP_002088041.2|DYAK
OG0001801	LOC120777696|XP_039965104.1|BTRY	LOC6532511|XP_002093257.2|DYAK
OG0001802	LOC120782842|XP_039971305.1|BTRY	LOC6536248|XP_002096834.1|DYAK
OG0001803	LOC120777138|XP_039964221.1|BTRY	LOC6535965|XP_039231787.1|DYAK
OG0001805	LOC120773709|XP_039958685.1|BTRY, LOC120779130|XP_039967268.1|BTRY	LOC6532739|XP_002093481.1|DYAK
OG0001806	LOC120782256|XP_039970355.1|BTRY, LOC120782255|XP_039970354.1|BTRY	LOC6538699|XP_002099214.1|DYAK
OG0001807	LOC120780156|XP_039968372.1|BTRY	LOC6537207|XP_002097765.1|DYAK
OG0001808	LOC120766469|XP_039947942.1|BTRY	LOC6536643|XP_015047865.1|DYAK
OG0001809	LOC120782562|XP_039970830.1|BTRY	LOC6535310|XP_015047048.2|DYAK
OG0001811	LOC120772219|XP_039956632.1|BTRY	LOC6528522|XP_002089568.3|DYAK
OG0001812	LOC120775050|XP_039960965.1|BTRY	LOC6525188|XP_015046148.1|DYAK
OG0001813	LOC120766809|XP_039948448.1|BTRY	LOC6535695|XP_039231150.1|DYAK
OG0001814	LOC120782813|XP_039971226.1|BTRY	LOC6535998|XP_039231592.1|DYAK
OG0001815	LOC120779203|XP_039967411.1|BTRY	LOC6537498|XP_002098046.1|DYAK
OG0001816	LOC120771566|XP_039955566.1|BTRY	LOC6529928|XP_002090884.1|DYAK
OG0001817	LOC120773083|XP_039957967.1|BTRY	LOC6528821|XP_039226531.1|DYAK
OG0001818	LOC120774509|XP_039960128.1|BTRY	LOC6525087|XP_039226098.1|DYAK
OG0001819	LOC120772593|XP_039957238.1|BTRY	LOC6531584|XP_002092382.1|DYAK
OG0001820	LOC120771633|XP_039955661.1|BTRY	LOC6525439|XP_002101274.1|DYAK
OG0001821	LOC120771343|XP_039955225.1|BTRY	LOC6532093|XP_002092869.1|DYAK
OG0001822	LOC120772433|XP_039956978.1|BTRY, LOC120782104|XP_039970184.1|BTRY	LOC6531730|XP_002092520.1|DYAK
OG0001823	LOC120778288|XP_039966009.1|BTRY	LOC6533669|XP_002094375.1|DYAK
OG0001824	LOC120769449|XP_039952376.1|BTRY	LOC6526447|XP_002087566.1|DYAK
OG0001825	LOC120771104|XP_039954880.1|BTRY	LOC6530918|XP_039228589.1|DYAK
OG0001826	LOC120769304|XP_039952171.1|BTRY, LOC120772559|XP_039957177.1|BTRY	LOC6529359|XP_002090364.1|DYAK
OG0001827	LOC120772888|XP_039957673.1|BTRY	LOC6531696|XP_015051490.1|DYAK
OG0001828	LOC120776203|XP_039962772.1|BTRY	LOC6524613|XP_002100470.1|DYAK
OG0001829	LOC120772850|XP_039957599.1|BTRY	LOC6530195|XP_002091133.1|DYAK
OG0001830	LOC120770855|XP_039954402.1|BTRY	LOC6531758|XP_002092548.1|DYAK
OG0001831	LOC120778154|XP_039965813.1|BTRY	LOC6534266|XP_002094947.1|DYAK
OG0001832	LOC120772911|XP_039957739.1|BTRY	LOC6524003|XP_015045421.1|DYAK
OG0001833	LOC120772336|XP_039956814.1|BTRY	LOC6531931|XP_002092717.2|DYAK
OG0001834	LOC120766284|XP_039947620.1|BTRY	LOC6537260|XP_002097818.1|DYAK
