Orthogroup	BTRY.longest_only	BCOP.longest_only
OG0001487	LOC120768652|XP_039951358.1|BTRY	LOC119071292|XP_037032057.1|BCOP
OG0001488	LOC120772670|XP_039957339.1|BTRY	LOC119080267|XP_037044416.1|BCOP, LOC119080265|XP_037044409.1|BCOP
OG0001489	LOC120767342|XP_039949234.1|BTRY	LOC119082548|XP_037047954.1|BCOP
OG0001490	LOC120768019|XP_039950412.1|BTRY	LOC119082084|XP_037047339.1|BCOP
OG0001491	LOC120767808|XP_039950015.1|BTRY	LOC119078712|XP_037042279.1|BCOP
OG0001493	LOC120775542|XP_039961700.1|BTRY	LOC119075234|XP_037037521.1|BCOP
OG0001494	LOC120775051|XP_039960966.1|BTRY	LOC119077643|XP_037040759.1|BCOP
OG0001495	LOC120772349|XP_039956848.1|BTRY	LOC119074897|XP_037037139.1|BCOP
OG0001496	LOC120774130|XP_039959440.1|BTRY	LOC119074211|XP_037036147.1|BCOP
OG0001497	LOC120771775|XP_039955900.1|BTRY, LOC120769646|XP_039952685.1|BTRY	LOC119078593|XP_037042074.1|BCOP, LOC119081292|XP_037045948.1|BCOP, LOC119072594|XP_037033744.1|BCOP
OG0001498	LOC120766179|XP_039947470.1|BTRY	LOC119074573|XP_037036695.1|BCOP
OG0001500	LOC120771482|XP_039955453.1|BTRY	LOC119068893|XP_037028658.1|BCOP
OG0001502	LOC120770256|XP_039953493.1|BTRY	LOC119079851|XP_037043814.1|BCOP
OG0001503	LOC120771588|XP_039955593.1|BTRY, LOC120770730|XP_039954254.1|BTRY, LOC120770732|XP_039954256.1|BTRY, LOC120772319|XP_039956771.1|BTRY	LOC119083702|XP_037049389.1|BCOP, LOC119077333|XP_037040410.1|BCOP
OG0001504	LOC120774259|XP_039959659.1|BTRY	LOC119072387|XP_037033490.1|BCOP
OG0001505	LOC120770074|XP_039953137.1|BTRY	LOC119082674|XP_037048147.1|BCOP
OG0001506	LOC120773003|XP_039957855.1|BTRY	LOC119079020|XP_037042692.1|BCOP
OG0001507	LOC120770341|XP_039953673.1|BTRY	LOC119071742|XP_037032669.1|BCOP
OG0001508	LOC120772145|XP_039956512.1|BTRY	LOC119080040|XP_037044136.1|BCOP, LOC119066573|XP_037025018.1|BCOP
OG0001509	LOC120771580|XP_039955582.1|BTRY	LOC119083247|XP_037048804.1|BCOP
OG0001510	LOC120781615|XP_039969785.1|BTRY	LOC119081977|XP_037047185.1|BCOP, LOC119072757|XP_037033941.1|BCOP
OG0001511	LOC120772234|XP_039956659.1|BTRY, LOC120770749|XP_039954270.1|BTRY	LOC119066136|XP_037024322.1|BCOP
OG0001512	LOC120777746|XP_039965173.1|BTRY	LOC119071191|XP_037031860.1|BCOP, LOC119077034|XP_037040054.1|BCOP, LOC119071183|XP_037031848.1|BCOP, LOC119071407|XP_037032181.1|BCOP, LOC119071406|XP_037032179.1|BCOP, LOC119071408|XP_037032182.1|BCOP, LOC119071188|XP_037031857.1|BCOP
OG0001513	LOC120778691|XP_039966570.1|BTRY	LOC119071130|XP_037031699.1|BCOP
OG0001515	LOC120775510|XP_039961653.1|BTRY	LOC119076873|XP_037039777.1|BCOP
OG0001517	LOC120782375|XP_039970550.1|BTRY	LOC119085002|XP_037051073.1|BCOP
OG0001518	LOC120779306|XP_039967452.1|BTRY, LOC120766787|XP_039948417.1|BTRY, LOC120775873|XP_039962180.1|BTRY	LOC119067207|XP_037025945.1|BCOP
OG0001534	LOC120773392|XP_039958161.1|BTRY	LOC119069790|XP_037029827.1|BCOP
OG0001535	LOC120775729|XP_039961981.1|BTRY	LOC119081291|XP_037045952.1|BCOP
OG0001536	LOC120775631|XP_039961819.1|BTRY	LOC119083641|XP_037049277.1|BCOP
OG0001537	LOC120769213|XP_039952040.1|BTRY	LOC119070285|XP_037030449.1|BCOP, LOC119070287|XP_037030450.1|BCOP
OG0001538	LOC120774223|XP_039959615.1|BTRY	LOC119084761|XP_037050722.1|BCOP
OG0001539	LOC120769993|XP_039953013.1|BTRY	LOC119080435|XP_037044693.1|BCOP
OG0001540	LOC120767701|XP_039949832.1|BTRY	LOC119077061|XP_037040084.1|BCOP
OG0001541	LOC120778886|XP_039966865.1|BTRY	LOC119067503|XP_037026408.1|BCOP, LOC119074747|XP_037036905.1|BCOP
OG0001542	LOC120780462|XP_039968670.1|BTRY, LOC120780966|XP_039969127.1|BTRY	LOC119083755|XP_037049434.1|BCOP
OG0001543	LOC120776148|XP_039962623.1|BTRY	LOC119067212|XP_037025951.1|BCOP
OG0001544	LOC120774774|XP_039960479.1|BTRY	LOC119068022|XP_037027277.1|BCOP
OG0001545	LOC120774829|XP_039960574.1|BTRY	LOC119071911|XP_037032925.1|BCOP, LOC119067565|XP_037026541.1|BCOP
OG0001546	LOC120774220|XP_039959610.1|BTRY	LOC119084624|XP_037050587.1|BCOP, LOC119069480|XP_037029442.1|BCOP, LOC119071884|XP_037032878.1|BCOP
OG0001547	LOC120776049|XP_039962433.1|BTRY, LOC120774592|XP_039960258.1|BTRY	LOC119083969|XP_037049669.1|BCOP
OG0001548	LOC120775951|XP_039962296.1|BTRY	LOC119067604|XP_037026594.1|BCOP
OG0001549	LOC120768282|XP_039950846.1|BTRY	LOC119078658|XP_037042167.1|BCOP
OG0001550	LOC120769353|XP_039952286.1|BTRY	LOC119067024|XP_037025651.1|BCOP
OG0001551	LOC120781953|XP_039970050.1|BTRY	LOC119068659|XP_037028230.1|BCOP
OG0001552	LOC120766190|XP_039947481.1|BTRY	LOC119069945|XP_037030067.1|BCOP
OG0001553	LOC120773720|XP_039958701.1|BTRY, LOC120776008|XP_039962377.1|BTRY	LOC119068481|XP_037027987.1|BCOP, LOC119077795|XP_037041001.1|BCOP
OG0001554	LOC120773438|XP_039958258.1|BTRY	LOC119068534|XP_037028040.1|BCOP
OG0001556	LOC120770110|XP_039953215.1|BTRY	LOC119069503|XP_037029472.1|BCOP
OG0001557	LOC120774237|XP_039959632.1|BTRY	LOC119077131|XP_037040206.1|BCOP
OG0001558	LOC120776051|XP_039962442.1|BTRY	LOC119085650|XP_037051990.1|BCOP
OG0001559	LOC120766322|XP_039947680.1|BTRY	LOC119069552|XP_037029526.1|BCOP, LOC119067227|XP_037025974.1|BCOP
OG0001560	LOC120767800|XP_039950004.1|BTRY	LOC119070423|XP_037030655.1|BCOP
OG0001561	LOC120766537|XP_039948049.1|BTRY, LOC120766528|XP_039948032.1|BTRY	LOC119078770|XP_037042373.1|BCOP
OG0001562	LOC120782857|XP_039971324.1|BTRY	LOC119073818|XP_037035490.1|BCOP
OG0001563	LOC120771274|XP_039955133.1|BTRY	LOC119067500|XP_037026402.1|BCOP
OG0001564	LOC120766484|XP_039947962.1|BTRY	LOC119067239|XP_037025996.1|BCOP
OG0001565	LOC120766874|XP_039948539.1|BTRY	LOC119067360|XP_037026166.1|BCOP
OG0001566	LOC120782328|XP_039970487.1|BTRY	LOC119067590|XP_037026583.1|BCOP
OG0001567	LOC120772164|XP_039956538.1|BTRY	LOC119085861|XP_037052270.1|BCOP
OG0001568	LOC120782686|XP_039971015.1|BTRY	LOC119069780|XP_037029810.1|BCOP
OG0001570	LOC120782368|XP_039970540.1|BTRY	LOC119070649|XP_037030978.1|BCOP, LOC119070659|XP_037030988.1|BCOP, LOC119067461|XP_037026342.1|BCOP
OG0001572	LOC120775782|XP_039962053.1|BTRY	LOC119073400|XP_037034725.1|BCOP
OG0001573	LOC120777599|XP_039964971.1|BTRY, LOC120777157|XP_039964235.1|BTRY	LOC119082450|XP_037047868.1|BCOP, LOC119083348|XP_037048936.1|BCOP
OG0001574	LOC120781219|XP_039969282.1|BTRY	LOC119073628|XP_037035113.1|BCOP
OG0001575	LOC120780662|XP_039968858.1|BTRY	LOC119070120|XP_037030329.1|BCOP, LOC119071146|XP_037031769.1|BCOP
OG0001576	LOC120766533|XP_039948038.1|BTRY	LOC119082146|XP_037047441.1|BCOP, LOC119084794|XP_037050755.1|BCOP
OG0001577	LOC120768550|XP_039951227.1|BTRY, LOC120769307|XP_039952174.1|BTRY	LOC119076585|XP_037039324.1|BCOP
OG0001578	LOC120772667|XP_039957335.1|BTRY	LOC119066452|XP_037024848.1|BCOP, LOC119085051|XP_037051162.1|BCOP, LOC119085839|XP_037052237.1|BCOP, LOC119082619|XP_037048073.1|BCOP
OG0001579	LOC120774265|XP_039959669.1|BTRY	LOC119083540|XP_037049158.1|BCOP
OG0001580	LOC120770174|XP_039953322.1|BTRY	LOC119080394|XP_037044608.1|BCOP
OG0001581	LOC120773814|XP_039958855.1|BTRY	LOC119081125|XP_037045764.1|BCOP
OG0001582	LOC120770043|XP_039953092.1|BTRY	LOC119073350|XP_037034640.1|BCOP
OG0001584	LOC120777659|XP_039965046.1|BTRY	LOC119074639|XP_037036814.1|BCOP, LOC119067311|XP_037026114.1|BCOP
OG0001585	LOC120775963|XP_039962308.1|BTRY	LOC119067960|XP_037027182.1|BCOP
OG0001586	LOC120777890|XP_039965386.1|BTRY	LOC119081213|XP_037045828.1|BCOP
OG0001587	LOC120771025|XP_039954735.1|BTRY	LOC119071784|XP_037032739.1|BCOP
OG0001588	LOC120781566|XP_039969737.1|BTRY, LOC120779466|XP_039967663.1|BTRY, LOC120780829|XP_039969007.1|BTRY, LOC120781620|XP_039969787.1|BTRY, LOC120778336|XP_039966064.1|BTRY, LOC120778376|XP_039966097.1|BTRY, LOC120772130|XP_039956480.1|BTRY	LOC119073902|XP_037035686.1|BCOP
OG0001589	LOC120767539|XP_039949577.1|BTRY	LOC119072887|XP_037034105.1|BCOP
OG0001590	LOC120772466|XP_039957038.1|BTRY	LOC119071876|XP_037032846.1|BCOP
OG0001591	LOC120774435|XP_039960013.1|BTRY	LOC119082064|XP_037047296.1|BCOP
OG0001592	LOC120768200|XP_039950706.1|BTRY	LOC119066743|XP_037025260.1|BCOP
OG0001593	LOC120768303|XP_039950867.1|BTRY	LOC119066748|XP_037025272.1|BCOP, LOC119066741|XP_037025258.1|BCOP
OG0001595	LOC120768888|XP_039951575.1|BTRY, LOC120770067|XP_039953123.1|BTRY	LOC119073618|XP_037035090.1|BCOP
OG0001596	LOC120767379|XP_039949302.1|BTRY	LOC119074048|XP_037035889.1|BCOP, LOC119082323|XP_037047717.1|BCOP, LOC119078412|XP_037041808.1|BCOP, LOC119077099|XP_037040151.1|BCOP
OG0001597	LOC120768904|XP_039951600.1|BTRY, LOC120767560|XP_039949631.1|BTRY	LOC119081933|XP_037047081.1|BCOP
OG0001598	LOC120769351|XP_039952248.1|BTRY	LOC119081944|XP_037047103.1|BCOP
OG0001599	LOC120767223|XP_039949018.1|BTRY, LOC120769042|XP_039951823.1|BTRY	LOC119077001|XP_037040003.1|BCOP
OG0001601	LOC120769383|XP_039952285.1|BTRY	LOC119078696|XP_037042253.1|BCOP
OG0001602	LOC120769016|XP_039951794.1|BTRY, LOC120768423|XP_039951038.1|BTRY	LOC119085260|XP_037051503.1|BCOP
OG0001603	LOC120781755|XP_039969921.1|BTRY	LOC119072752|XP_037033933.1|BCOP, LOC119072750|XP_037033931.1|BCOP
OG0001604	LOC120775318|XP_039961389.1|BTRY	LOC119084493|XP_037050394.1|BCOP
OG0001605	LOC120771906|XP_039956122.1|BTRY	LOC119073863|XP_037035623.1|BCOP
OG0001606	LOC120771194|XP_039955024.1|BTRY	LOC119071515|XP_037032285.1|BCOP
OG0001607	LOC120768129|XP_039950617.1|BTRY	LOC119081917|XP_037047049.1|BCOP
OG0001608	LOC120767966|XP_039950303.1|BTRY	LOC119069430|XP_037029382.1|BCOP, LOC119070907|XP_037031331.1|BCOP
OG0001609	LOC120771513|XP_039955502.1|BTRY	LOC119080234|XP_037044376.1|BCOP
OG0001610	LOC120768040|XP_039950474.1|BTRY	LOC119085960|XP_037052411.1|BCOP
OG0001611	LOC120767394|XP_039949347.1|BTRY	LOC119078606|XP_037042095.1|BCOP
OG0001612	LOC120769047|XP_039951829.1|BTRY	LOC119068420|XP_037027884.1|BCOP, LOC119085336|XP_037051614.1|BCOP
OG0001613	LOC120781708|XP_039969874.1|BTRY	LOC119078421|XP_037041823.1|BCOP
OG0001614	LOC120770261|XP_039953505.1|BTRY	LOC119084837|XP_037050828.1|BCOP
OG0001615	LOC120768094|XP_039950567.1|BTRY	LOC119082410|XP_037047838.1|BCOP
OG0001616	LOC120768168|XP_039950666.1|BTRY	LOC119075332|XP_037037655.1|BCOP
OG0001617	LOC120767737|XP_039949880.1|BTRY	LOC119071474|XP_037032218.1|BCOP
OG0001618	LOC120781739|XP_039969906.1|BTRY, LOC120779501|XP_039967728.1|BTRY	LOC119078628|XP_037042122.1|BCOP
OG0001619	LOC120768673|XP_039951384.1|BTRY	LOC119071103|XP_037031640.1|BCOP
OG0001620	LOC120771749|XP_039955854.1|BTRY	LOC119085342|XP_037051620.1|BCOP
OG0001621	LOC120771724|XP_039955812.1|BTRY, LOC120771723|XP_039955811.1|BTRY	LOC119066774|XP_037025323.1|BCOP, LOC119080914|XP_037045424.1|BCOP, LOC119077640|XP_037040755.1|BCOP, LOC119070524|XP_037030795.1|BCOP, LOC119066295|XP_037024565.1|BCOP, LOC119083210|XP_037048772.1|BCOP
OG0001622	LOC120773571|XP_039958475.1|BTRY	LOC119068566|XP_037028089.1|BCOP
OG0001623	LOC120769015|XP_039951792.1|BTRY	LOC119083103|XP_037048625.1|BCOP, LOC119083105|XP_037048631.1|BCOP, LOC119083108|XP_037048635.1|BCOP
OG0001624	LOC120768671|XP_039951382.1|BTRY	LOC119085274|XP_037051523.1|BCOP, LOC119075636|XP_037038012.1|BCOP
OG0001625	LOC120767589|XP_039949671.1|BTRY	LOC119066260|XP_037024508.1|BCOP
OG0001626	LOC120769165|XP_039951984.1|BTRY, LOC120780775|XP_039968961.1|BTRY, LOC120781525|XP_039969681.1|BTRY, LOC120768868|XP_039951592.1|BTRY, LOC120780853|XP_039969025.1|BTRY, LOC120780708|XP_039968902.1|BTRY, LOC120767832|XP_039950053.1|BTRY	LOC119074811|XP_037036993.1|BCOP
OG0001628	LOC120782304|XP_039970448.1|BTRY	LOC119076696|XP_037039506.1|BCOP
OG0001629	LOC120780301|XP_039968525.1|BTRY	LOC119076817|XP_037039700.1|BCOP, LOC119076293|XP_037038851.1|BCOP, LOC119077391|XP_037040487.1|BCOP
OG0001630	LOC120774406|XP_039959964.1|BTRY	LOC119077822|XP_037041025.1|BCOP
OG0001631	LOC120766490|XP_039947975.1|BTRY	LOC119083402|XP_037049016.1|BCOP, LOC119076405|XP_037039027.1|BCOP
OG0001632	LOC120773864|XP_039958954.1|BTRY	LOC119068038|XP_037027298.1|BCOP, LOC119068036|XP_037027296.1|BCOP
OG0001633	LOC120782174|XP_039970245.1|BTRY	LOC119084121|XP_037049869.1|BCOP, LOC119077838|XP_037041049.1|BCOP
OG0001635	LOC120767014|XP_039948776.1|BTRY	LOC119073768|XP_037035330.1|BCOP
OG0001636	LOC120782608|XP_039970909.1|BTRY, LOC120782607|XP_039970905.1|BTRY	LOC119066825|XP_037025377.1|BCOP, LOC119069449|XP_037029399.1|BCOP, LOC119086042|XP_037052511.1|BCOP
OG0001637	LOC120782767|XP_039971163.1|BTRY	LOC119072635|XP_037033773.1|BCOP, LOC119085107|XP_037051257.1|BCOP
OG0001638	LOC120775623|XP_039961806.1|BTRY	LOC119076967|XP_037039954.1|BCOP, LOC119073720|XP_037035241.1|BCOP
OG0001639	LOC120773453|XP_039958280.1|BTRY	LOC119076591|XP_037039330.1|BCOP
OG0001640	LOC120782481|XP_039970709.1|BTRY	LOC119076800|XP_037039659.1|BCOP
OG0001641	LOC120776372|XP_039962892.1|BTRY, LOC120776378|XP_039962907.1|BTRY	LOC119083470|XP_037049086.1|BCOP, LOC119079711|XP_037043663.1|BCOP
OG0001642	LOC120768516|XP_039951178.1|BTRY	LOC119066090|XP_037024257.1|BCOP
OG0001643	LOC120778751|XP_039966661.1|BTRY	LOC119078224|XP_037041579.1|BCOP
OG0001645	LOC120771713|XP_039955796.1|BTRY	LOC119071400|XP_037032171.1|BCOP, LOC119071401|XP_037032172.1|BCOP
OG0001646	LOC120771007|XP_039954704.1|BTRY	LOC119071297|XP_037032066.1|BCOP, LOC119071313|XP_037032088.1|BCOP, LOC119071315|XP_037032093.1|BCOP, LOC119071414|XP_037032186.1|BCOP, LOC119071415|XP_037032187.1|BCOP, LOC119071312|XP_037032086.1|BCOP
OG0001647	LOC120773110|XP_039958038.1|BTRY	LOC119066071|XP_037024196.1|BCOP
OG0001648	LOC120777228|XP_039964342.1|BTRY	LOC119074220|XP_037036116.1|BCOP
OG0001649	LOC120771979|XP_039956268.1|BTRY	LOC119082638|XP_037048099.1|BCOP, LOC119082195|XP_037047524.1|BCOP
OG0001650	LOC120770854|XP_039954397.1|BTRY, LOC120771106|XP_039954884.1|BTRY	LOC119085352|XP_037051622.1|BCOP
OG0001651	LOC120773100|XP_039958005.1|BTRY	LOC119081719|XP_037046753.1|BCOP
OG0001652	LOC120777615|XP_039964997.1|BTRY, LOC120777616|XP_039964998.1|BTRY, LOC120777612|XP_039964995.1|BTRY, LOC120778126|XP_039965763.1|BTRY, LOC120777630|XP_039965017.1|BTRY	LOC119070872|XP_037031280.1|BCOP
OG0001653	LOC120779006|XP_039967059.1|BTRY	LOC119071874|XP_037032844.1|BCOP
OG0001654	LOC120770472|XP_039953901.1|BTRY	LOC119069545|XP_037029520.1|BCOP
OG0001655	LOC120771349|XP_039955230.1|BTRY	LOC119077077|XP_037040131.1|BCOP, LOC119083695|XP_037049375.1|BCOP
OG0001656	LOC120769468|XP_039952417.1|BTRY	LOC119068316|XP_037027759.1|BCOP, LOC119067357|XP_037026162.1|BCOP, LOC119071770|XP_037032715.1|BCOP
OG0001657	LOC120779047|XP_039967118.1|BTRY	LOC119086068|XP_037052539.1|BCOP
OG0001658	LOC120778524|XP_039966293.1|BTRY	LOC119071227|XP_037031938.1|BCOP
OG0001659	LOC120778116|XP_039965752.1|BTRY	LOC119071248|XP_037031981.1|BCOP
OG0001660	LOC120778098|XP_039965734.1|BTRY	LOC119082328|XP_037047729.1|BCOP
OG0001661	LOC120780265|XP_039968455.1|BTRY	LOC119078813|XP_037042413.1|BCOP, LOC119085962|XP_037052414.1|BCOP
OG0001663	LOC120766934|XP_039948618.1|BTRY, LOC120766620|XP_039948165.1|BTRY	LOC119068581|XP_037028121.1|BCOP, LOC119068578|XP_037028118.1|BCOP
OG0001678	LOC120774610|XP_039960272.1|BTRY, LOC120774609|XP_039960271.1|BTRY, LOC120773994|XP_039959194.1|BTRY	LOC119084546|XP_037050454.1|BCOP, LOC119077826|XP_037041028.1|BCOP
OG0001679	LOC120775406|XP_039961504.1|BTRY	LOC119068406|XP_037027864.1|BCOP
OG0001680	LOC120774834|XP_039960583.1|BTRY	LOC119067812|XP_037026859.1|BCOP
OG0001681	LOC120775858|XP_039962162.1|BTRY	LOC119070363|XP_037030555.1|BCOP, LOC119076744|XP_037039584.1|BCOP
OG0001682	LOC120775617|XP_039961798.1|BTRY	LOC119085255|XP_037051487.1|BCOP, LOC119069413|XP_037029357.1|BCOP, LOC119078998|XP_037042658.1|BCOP
OG0001683	LOC120767545|XP_039949590.1|BTRY	LOC119070881|XP_037031295.1|BCOP
OG0001684	LOC120779634|XP_039967915.1|BTRY	LOC119077200|XP_037040276.1|BCOP, LOC119076428|XP_037039068.1|BCOP
OG0001685	LOC120767886|XP_039950144.1|BTRY	LOC119077691|XP_037040851.1|BCOP
OG0001686	LOC120773689|XP_039958656.1|BTRY	LOC119069627|XP_037029621.1|BCOP
OG0001687	LOC120775256|XP_039961272.1|BTRY	LOC119068651|XP_037028222.1|BCOP
OG0001688	LOC120775415|XP_039961525.1|BTRY	LOC119076000|XP_037038468.1|BCOP
OG0001689	LOC120774050|XP_039959286.1|BTRY	LOC119075265|XP_037037557.1|BCOP, LOC119084308|XP_037050123.1|BCOP, LOC119069045|XP_037028810.1|BCOP
OG0001690	LOC120778546|XP_039966329.1|BTRY	LOC119080524|XP_037044829.1|BCOP
OG0001691	LOC120767694|XP_039949819.1|BTRY	LOC119077971|XP_037041247.1|BCOP
OG0001693	LOC120773621|XP_039958558.1|BTRY	LOC119069078|XP_037028850.1|BCOP
OG0001694	LOC120766963|XP_039948686.1|BTRY	LOC119069932|XP_037030051.1|BCOP
OG0001695	LOC120775207|XP_039961205.1|BTRY	LOC119067243|XP_037026004.1|BCOP
OG0001696	LOC120766771|XP_039948385.1|BTRY	LOC119067018|XP_037025641.1|BCOP
OG0001697	LOC120780525|XP_039968725.1|BTRY	LOC119067851|XP_037026983.1|BCOP
OG0001698	LOC120773831|XP_039958878.1|BTRY	LOC119068832|XP_037028497.1|BCOP
OG0001699	LOC120766782|XP_039948408.1|BTRY	LOC119067858|XP_037026990.1|BCOP
OG0001700	LOC120782051|XP_039970139.1|BTRY	LOC119077575|XP_037040681.1|BCOP, LOC119084064|XP_037049798.1|BCOP
OG0001701	LOC120770465|XP_039953898.1|BTRY	LOC119069177|XP_037028999.1|BCOP
OG0001702	LOC120767466|XP_039949488.1|BTRY	LOC119066373|XP_037024692.1|BCOP
OG0001703	LOC120778914|XP_039966898.1|BTRY	LOC119068930|XP_037028690.1|BCOP
OG0001704	LOC120782453|XP_039970675.1|BTRY	LOC119068928|XP_037028688.1|BCOP
OG0001705	LOC120782483|XP_039970714.1|BTRY	LOC119067910|XP_037027098.1|BCOP
OG0001706	LOC120769700|XP_039952761.1|BTRY	LOC119081527|XP_037046427.1|BCOP
OG0001707	LOC120766391|XP_039947766.1|BTRY	LOC119070533|XP_037030802.1|BCOP
OG0001708	LOC120777881|XP_039965377.1|BTRY	LOC119068790|XP_037028445.1|BCOP
OG0001709	LOC120778146|XP_039965804.1|BTRY	LOC119068970|XP_037028730.1|BCOP
OG0001711	LOC120766563|XP_039948091.1|BTRY	LOC119070360|XP_037030550.1|BCOP
OG0001712	LOC120766578|XP_039948105.1|BTRY	LOC119069168|XP_037028972.1|BCOP
OG0001713	LOC120781943|XP_039970043.1|BTRY	LOC119070411|XP_037030638.1|BCOP
OG0001714	LOC120782578|XP_039970855.1|BTRY	LOC119068105|XP_037027426.1|BCOP
OG0001715	LOC120773976|XP_039959157.1|BTRY	LOC119068244|XP_037027670.1|BCOP
OG0001716	LOC120774900|XP_039960702.1|BTRY	LOC119081196|XP_037045807.1|BCOP
OG0001717	LOC120768973|XP_039951709.1|BTRY	LOC119067038|XP_037025668.1|BCOP
OG0001718	LOC120774975|XP_039960810.1|BTRY	LOC119067040|XP_037025672.1|BCOP
OG0001719	LOC120782615|XP_039970917.1|BTRY	LOC119068679|XP_037028259.1|BCOP
OG0001720	LOC120780228|XP_039968413.1|BTRY, LOC120780383|XP_039968604.1|BTRY	LOC119070509|XP_037030762.1|BCOP
OG0001721	LOC120782003|XP_039970102.1|BTRY	LOC119067428|XP_037026293.1|BCOP
OG0001722	LOC120779073|XP_039967145.1|BTRY	LOC119074593|XP_037036734.1|BCOP
OG0001723	LOC120771972|XP_039956257.1|BTRY	LOC119083678|XP_037049357.1|BCOP
OG0001724	LOC120770913|XP_039954526.1|BTRY	LOC119074111|XP_037035969.1|BCOP
OG0001725	LOC120770296|XP_039953586.1|BTRY, LOC120771944|XP_039956185.1|BTRY	LOC119073997|XP_037035821.1|BCOP
OG0001726	LOC120778418|XP_039966135.1|BTRY	LOC119073360|XP_037034663.1|BCOP
OG0001727	LOC120766308|XP_039947658.1|BTRY	LOC119070539|XP_037030810.1|BCOP
OG0001728	LOC120770885|XP_039954461.1|BTRY	LOC119076376|XP_037038987.1|BCOP, LOC119081678|XP_037046662.1|BCOP
OG0001729	LOC120770998|XP_039954688.1|BTRY	LOC119079298|XP_037042980.1|BCOP
OG0001730	LOC120769487|XP_039952451.1|BTRY, LOC120769486|XP_039952448.1|BTRY	LOC119085974|XP_037052431.1|BCOP
OG0001731	LOC120772903|XP_039957724.1|BTRY	LOC119077466|XP_037040571.1|BCOP
OG0001733	LOC120770114|XP_039953220.1|BTRY	LOC119083620|XP_037049252.1|BCOP, LOC119083619|XP_037049251.1|BCOP
OG0001734	LOC120770997|XP_039954678.1|BTRY	LOC119075456|XP_037037792.1|BCOP, LOC119070476|XP_037030728.1|BCOP
OG0001735	LOC120776488|XP_039963103.1|BTRY	LOC119073264|XP_037034537.1|BCOP
OG0001736	LOC120771460|XP_039955406.1|BTRY	LOC119080231|XP_037044373.1|BCOP
OG0001737	LOC120770561|XP_039954074.1|BTRY	LOC119080960|XP_037045487.1|BCOP
OG0001738	LOC120776367|XP_039962879.1|BTRY	LOC119080843|XP_037045298.1|BCOP
OG0001739	LOC120771361|XP_039955251.1|BTRY	LOC119080808|XP_037045274.1|BCOP
OG0001740	LOC120771162|XP_039954975.1|BTRY	LOC119075498|XP_037037858.1|BCOP, LOC119070240|XP_037030407.1|BCOP
OG0001741	LOC120778593|XP_039966402.1|BTRY	LOC119073401|XP_037034730.1|BCOP, LOC119085850|XP_037052253.1|BCOP
OG0001742	LOC120772299|XP_039956742.1|BTRY	LOC119080199|XP_037044335.1|BCOP
OG0001743	LOC120777835|XP_039965306.1|BTRY	LOC119076138|XP_037038711.1|BCOP
OG0001744	LOC120770428|XP_039953815.1|BTRY	LOC119079410|XP_037043196.1|BCOP
OG0001745	LOC120773048|XP_039957913.1|BTRY	LOC119081729|XP_037046785.1|BCOP
OG0001746	LOC120778508|XP_039966274.1|BTRY	LOC119085490|XP_037051801.1|BCOP
OG0001747	LOC120770033|XP_039953077.1|BTRY	LOC119079630|XP_037043520.1|BCOP
OG0001748	LOC120777796|XP_039965262.1|BTRY	LOC119081126|XP_037045765.1|BCOP
OG0001749	LOC120771928|XP_039956159.1|BTRY	LOC119079661|XP_037043605.1|BCOP
OG0001750	LOC120772894|XP_039957700.1|BTRY	LOC119079658|XP_037043596.1|BCOP
OG0001751	LOC120776536|XP_039963204.1|BTRY	LOC119080835|XP_037045288.1|BCOP
OG0001752	LOC120777116|XP_039964188.1|BTRY, LOC120773153|XP_039958075.1|BTRY, LOC120777543|XP_039964865.1|BTRY, LOC120778192|XP_039965864.1|BTRY, LOC120777860|XP_039965340.1|BTRY	LOC119080955|XP_037045480.1|BCOP
OG0001753	LOC120778234|XP_039965926.1|BTRY	LOC119073253|XP_037034509.1|BCOP
OG0001754	LOC120771219|XP_039955060.1|BTRY	LOC119073323|XP_037034608.1|BCOP
OG0001755	LOC120778132|XP_039965777.1|BTRY	LOC119076046|XP_037038572.1|BCOP
OG0001756	LOC120781251|XP_039969333.1|BTRY	LOC119074519|XP_037036577.1|BCOP
OG0001757	LOC120772752|XP_039957449.1|BTRY	LOC119074147|XP_037036042.1|BCOP
OG0001758	LOC120776614|XP_039963338.1|BTRY	LOC119080723|XP_037045104.1|BCOP
OG0001759	LOC120772921|XP_039957754.1|BTRY, LOC120772922|XP_039957755.1|BTRY	LOC119073603|XP_037035073.1|BCOP
OG0001761	LOC120770593|XP_039954123.1|BTRY	LOC119073322|XP_037034606.1|BCOP
OG0001762	LOC120769031|XP_039951807.1|BTRY	LOC119066255|XP_037024487.1|BCOP
OG0001763	LOC120768518|XP_039951180.1|BTRY, LOC120768856|XP_039951546.1|BTRY	LOC119080693|XP_037045035.1|BCOP, LOC119066128|XP_037024312.1|BCOP
OG0001764	LOC120769804|XP_039952937.1|BTRY, LOC120779183|XP_039967369.1|BTRY	LOC119084901|XP_037050950.1|BCOP
OG0001765	LOC120773539|XP_039958431.1|BTRY	LOC119073248|XP_037034476.1|BCOP
OG0001766	LOC120769442|XP_039952359.1|BTRY	LOC119083409|XP_037049024.1|BCOP, LOC119082183|XP_037047494.1|BCOP, LOC119082515|XP_037047922.1|BCOP
OG0001767	LOC120769265|XP_039952105.1|BTRY	LOC119084667|XP_037050638.1|BCOP
