Orthogroup	BTRY.longest_only	DSUB.longest_only
OG0000229	LOC120778329|XP_039966059.1|BTRY	LOC117897556|XP_034662377.1|DSUB
OG0000229	LOC120766410|XP_039947795.1|BTRY	LOC117897557|XP_034662378.1|DSUB
OG0000229	LOC120770932|XP_039954575.1|BTRY	LOC117897685|XP_034662587.1|DSUB
OG0000230	LOC120772379|XP_039956903.1|BTRY	LOC117890665|XP_034651529.1|DSUB
OG0000230	LOC120773112|XP_039958040.1|BTRY, LOC120773115|XP_039958041.1|BTRY, LOC120773111|XP_039958039.1|BTRY, LOC120772380|XP_039956905.1|BTRY, LOC120772381|XP_039956906.1|BTRY	LOC117890667|XP_034651534.1|DSUB, LOC117890666|XP_034651533.1|DSUB, LOC117889710|XP_034650021.1|DSUB
OG0000232	LOC120780393|XP_039968613.1|BTRY	LOC117896096|XP_034660038.1|DSUB
OG0000233	LOC120782482|XP_039970713.1|BTRY, LOC120766915|XP_039948595.1|BTRY	LOC117898998|XP_034664634.1|DSUB
OG0000233	LOC120766893|XP_039948577.1|BTRY	LOC117897951|XP_034662941.1|DSUB, LOC117897979|XP_034662982.1|DSUB
OG0000234	LOC120771255|XP_039955106.1|BTRY	LOC117891584|XP_034653003.1|DSUB, LOC117891586|XP_034653005.1|DSUB
OG0000235	LOC120766205|XP_039947506.1|BTRY	LOC117899536|XP_034665501.1|DSUB, LOC117899535|XP_034665500.1|DSUB
OG0000236	LOC120779324|XP_039967460.1|BTRY	LOC117894420|XP_034657334.1|DSUB, LOC117901154|XP_034667695.1|DSUB, LOC117901600|XP_034668303.1|DSUB, LOC117898442|XP_034663742.1|DSUB
OG0000237	LOC120770026|XP_039953060.1|BTRY	LOC117890299|XP_034650958.1|DSUB, LOC117898995|XP_034664629.1|DSUB
OG0000238	LOC120767817|XP_039950032.1|BTRY, LOC120767816|XP_039950029.1|BTRY	LOC117901476|XP_034668131.1|DSUB
OG0000238	LOC120767818|XP_039950033.1|BTRY	LOC117901835|XP_034668659.1|DSUB
OG0000239	LOC120782210|XP_039970302.1|BTRY, LOC120782212|XP_039970305.1|BTRY	LOC117897153|XP_034661716.1|DSUB, LOC117899781|XP_034665945.1|DSUB, LOC117896736|XP_034661093.1|DSUB
OG0000240	LOC120766348|XP_039947708.1|BTRY	LOC117898079|XP_034663148.1|DSUB
OG0000240	LOC120767708|XP_039949841.1|BTRY	LOC117896971|XP_034661411.1|DSUB
OG0000241	LOC120776535|XP_039963203.1|BTRY	LOC117895119|XP_034658415.1|DSUB, LOC117893998|XP_034656704.1|DSUB
OG0000242	LOC120779602|XP_039967884.1|BTRY, LOC120781582|XP_039969749.1|BTRY	LOC117897335|XP_034661996.1|DSUB, LOC117898167|XP_034663267.1|DSUB, LOC117900840|XP_034667243.1|DSUB
OG0000243	LOC120777870|XP_039965358.1|BTRY, LOC120782120|XP_039970196.1|BTRY, LOC120782121|XP_039970197.1|BTRY, LOC120767294|XP_039949112.1|BTRY	LOC117893359|XP_034655841.1|DSUB, LOC117897597|XP_034662446.1|DSUB, LOC117894850|XP_034657997.1|DSUB
OG0000246	LOC120771164|XP_039954981.1|BTRY, LOC120772367|XP_039956870.1|BTRY	LOC117891855|XP_034653504.1|DSUB
OG0000247	LOC120776691|XP_039963508.1|BTRY	LOC117893203|XP_034655609.1|DSUB, LOC117894335|XP_034657211.1|DSUB, LOC117894068|XP_034656812.1|DSUB
OG0000248	LOC120777084|XP_039964150.1|BTRY	LOC117895787|XP_034659578.1|DSUB
OG0000248	LOC120777085|XP_039964152.1|BTRY	LOC117895788|XP_034659581.1|DSUB, LOC117891015|XP_034652064.1|DSUB
OG0000249	LOC120767842|XP_039950069.1|BTRY	LOC117902817|XP_034670334.1|DSUB
OG0000249	LOC120767841|XP_039950068.1|BTRY	LOC117902816|XP_034670333.1|DSUB, LOC117902808|XP_034670321.1|DSUB
OG0000250	LOC120769438|XP_039952355.1|BTRY	LOC117899953|XP_034665998.1|DSUB
OG0000250	LOC120767838|XP_039950063.1|BTRY	LOC117901011|XP_034667501.1|DSUB
OG0000250	LOC120769437|XP_039952352.1|BTRY	LOC117899954|XP_034665999.1|DSUB
OG0000251	LOC120774796|XP_039960519.1|BTRY	LOC117889574|XP_034649867.1|DSUB, LOC117891605|XP_034653029.1|DSUB, LOC117895670|XP_034659382.1|DSUB
OG0000252	LOC120771831|XP_039956003.1|BTRY	LOC117890116|XP_034650678.1|DSUB
OG0000252	LOC120771830|XP_039956002.1|BTRY	LOC117890155|XP_034650738.1|DSUB
OG0000252	LOC120771832|XP_039956004.1|BTRY	LOC117891525|XP_034652916.1|DSUB
OG0000255	LOC120772461|XP_039957022.1|BTRY	LOC117892509|XP_034654682.1|DSUB
OG0000255	LOC120772459|XP_039957016.1|BTRY, LOC120772460|XP_039957017.1|BTRY, LOC120772462|XP_039957023.1|BTRY, LOC120772463|XP_039957024.1|BTRY, LOC120772455|XP_039957012.1|BTRY	LOC117892508|XP_034654680.1|DSUB
OG0000256	LOC120771716|XP_039955804.1|BTRY	LOC117892112|XP_034654018.1|DSUB
OG0000256	LOC120770923|XP_039954553.1|BTRY	LOC117889703|XP_034650012.1|DSUB
OG0000257	LOC120772453|XP_039957010.1|BTRY	LOC117891414|XP_034652753.1|DSUB
OG0000258	LOC120774772|XP_039960478.1|BTRY	LOC117901966|XP_034668838.1|DSUB, LOC117898237|XP_034663366.1|DSUB
OG0000258	LOC120775199|XP_039961195.1|BTRY	LOC117894337|XP_034657213.1|DSUB
OG0000260	LOC120772651|XP_039957311.1|BTRY, LOC120772119|XP_039956464.1|BTRY, LOC120770425|XP_039953809.1|BTRY, LOC120772652|XP_039957313.1|BTRY, LOC120766992|XP_039948730.1|BTRY	LOC117892690|XP_034654992.1|DSUB, LOC117898829|XP_034664386.1|DSUB, LOC117892691|XP_034654993.1|DSUB
OG0000261	LOC120767229|XP_039948989.1|BTRY	LOC117901943|XP_034668806.1|DSUB, LOC117901942|XP_034668804.1|DSUB
OG0000262	LOC120776457|XP_039963055.1|BTRY	LOC117895023|XP_034658282.1|DSUB, LOC117895022|XP_034658281.1|DSUB
OG0000262	LOC120770297|XP_039953591.1|BTRY	LOC117890687|XP_034651565.1|DSUB
OG0000263	LOC120771776|XP_039955901.1|BTRY	LOC117891068|XP_034652133.1|DSUB
OG0000263	LOC120776891|XP_039963882.1|BTRY	LOC117895257|XP_034658669.1|DSUB
OG0000264	LOC120775717|XP_039961963.1|BTRY	LOC117895467|XP_034659036.1|DSUB
OG0000264	LOC120773582|XP_039958503.1|BTRY	LOC117895458|XP_034659025.1|DSUB
OG0000264	LOC120766704|XP_039948285.1|BTRY	LOC117897476|XP_034662222.1|DSUB
OG0000265	LOC120777120|XP_039964198.1|BTRY	LOC117895562|XP_034659169.1|DSUB
OG0000267	LOC120766696|XP_039948278.1|BTRY	LOC117897150|XP_034661713.1|DSUB
OG0000267	LOC120778819|XP_039966762.1|BTRY	LOC117897149|XP_034661712.1|DSUB
OG0000268	LOC120772995|XP_039957844.1|BTRY	LOC117897967|XP_034662968.1|DSUB, LOC117897965|XP_034662964.1|DSUB
OG0000269	LOC120766524|XP_039948028.1|BTRY	LOC117897858|XP_034662822.1|DSUB
OG0000269	LOC120766196|XP_039947490.1|BTRY	LOC117896391|XP_034660587.1|DSUB
OG0000270	LOC120770505|XP_039953963.1|BTRY	LOC117889749|XP_034650086.1|DSUB
OG0000271	LOC120781422|XP_039969577.1|BTRY	LOC117901722|XP_034668491.1|DSUB
OG0000271	LOC120775334|XP_039961409.1|BTRY	LOC117892475|XP_034654618.1|DSUB, LOC117890210|XP_034650833.1|DSUB
OG0000272	LOC120779531|XP_039967811.1|BTRY	LOC117902907|XP_034670356.1|DSUB
OG0000273	LOC120782144|XP_039970219.1|BTRY	LOC117897831|XP_034662784.1|DSUB
OG0000274	LOC120782521|XP_039970764.1|BTRY, LOC120772279|XP_039956724.1|BTRY, LOC120771067|XP_039954808.1|BTRY, LOC120772768|XP_039957476.1|BTRY, LOC120772787|XP_039957503.1|BTRY	LOC117899731|XP_034665866.1|DSUB, LOC117899732|XP_034665867.1|DSUB, LOC117896897|XP_034661321.1|DSUB, LOC117891912|XP_034653626.1|DSUB
OG0000276	LOC120770987|XP_039954666.1|BTRY, LOC120768923|XP_039951635.1|BTRY, LOC120778943|XP_039966938.1|BTRY, LOC120771629|XP_039955654.1|BTRY, LOC120770986|XP_039954662.1|BTRY, LOC120771816|XP_039955968.1|BTRY	LOC117890635|XP_034651473.1|DSUB
OG0000277	LOC120775457|XP_039961619.1|BTRY	LOC117899094|XP_034664761.1|DSUB, LOC117897599|XP_034662448.1|DSUB, LOC117899095|XP_034664762.1|DSUB
OG0000279	LOC120779005|XP_039967058.1|BTRY, LOC120777608|XP_039964991.1|BTRY	LOC117895153|XP_034658481.1|DSUB, LOC117895154|XP_034658482.1|DSUB
OG0000280	LOC120776799|XP_039963722.1|BTRY	LOC117894259|XP_034657105.1|DSUB
OG0000280	LOC120776798|XP_039963721.1|BTRY	LOC117894258|XP_034657103.1|DSUB
OG0000281	LOC120779054|XP_039967123.1|BTRY	LOC117892940|XP_034655154.1|DSUB, LOC117903259|XP_034671053.1|DSUB, LOC117891142|XP_034652252.1|DSUB
OG0000282	LOC120778082|XP_039965713.1|BTRY, LOC120778087|XP_039965718.1|BTRY	LOC117893578|XP_034656142.1|DSUB
OG0000283	LOC120771747|XP_039955852.1|BTRY	LOC117890397|XP_034651092.1|DSUB
OG0000283	LOC120767065|XP_039948854.1|BTRY	LOC117899378|XP_034665251.1|DSUB
OG0000284	LOC120769808|XP_039952943.1|BTRY	LOC117901497|XP_034668157.1|DSUB
OG0000284	LOC120769666|XP_039952714.1|BTRY	LOC117900139|XP_034666258.1|DSUB
OG0000285	LOC120771730|XP_039955823.1|BTRY	LOC117890597|XP_034651425.1|DSUB
OG0000285	LOC120770215|XP_039953419.1|BTRY, LOC120772745|XP_039957440.1|BTRY	LOC117891178|XP_034652393.1|DSUB
OG0000286	LOC120768103|XP_039950583.1|BTRY	LOC117900070|XP_034666164.1|DSUB
OG0000286	LOC120768105|XP_039950585.1|BTRY	LOC117900071|XP_034666165.1|DSUB
OG0000286	LOC120768104|XP_039950584.1|BTRY	LOC117900073|XP_034666168.1|DSUB
OG0000287	LOC120773940|XP_039959087.1|BTRY	LOC117903437|XP_034671352.1|DSUB
OG0000287	LOC120773944|XP_039959094.1|BTRY, LOC120773943|XP_039959093.1|BTRY	LOC117903433|XP_034671347.1|DSUB
OG0000287	LOC120773942|XP_039959092.1|BTRY	LOC117903434|XP_034671348.1|DSUB
OG0000288	LOC120774584|XP_039960251.1|BTRY	LOC117901108|XP_034667632.1|DSUB, LOC117901105|XP_034667628.1|DSUB
OG0000289	LOC120776887|XP_039963879.1|BTRY, LOC120776886|XP_039963877.1|BTRY	LOC117894496|XP_034657496.1|DSUB
OG0000289	LOC120776898|XP_039963894.1|BTRY	LOC117892960|XP_034655184.1|DSUB
OG0000289	LOC120776870|XP_039963861.1|BTRY	LOC117894495|XP_034657494.1|DSUB
OG0000292	LOC120776580|XP_039963280.1|BTRY	LOC117893602|XP_034656168.1|DSUB
OG0000293	LOC120766258|XP_039947578.1|BTRY	LOC117899048|XP_034664699.1|DSUB
OG0000293	LOC120766389|XP_039947764.1|BTRY	LOC117897909|XP_034662878.1|DSUB
OG0000294	LOC120779893|XP_039968175.1|BTRY	LOC117900007|XP_034666081.1|DSUB
OG0000294	LOC120776200|XP_039962765.1|BTRY	LOC117903073|XP_034670731.1|DSUB
OG0000295	LOC120775150|XP_039961119.1|BTRY	LOC117891911|XP_034653625.1|DSUB, LOC117899255|XP_034665033.1|DSUB
OG0000296	LOC120774859|XP_039960620.1|BTRY	LOC117900574|XP_034666875.1|DSUB, LOC117893706|XP_034656284.1|DSUB, LOC117903336|XP_034671174.1|DSUB
OG0000297	LOC120771123|XP_039954906.1|BTRY, LOC120771120|XP_039954904.1|BTRY, LOC120771121|XP_039954905.1|BTRY	LOC117890260|XP_034650908.1|DSUB, LOC117890328|XP_034651009.1|DSUB
OG0000298	LOC120775311|XP_039961380.1|BTRY	LOC117898844|XP_034664413.1|DSUB, LOC117891230|XP_034652470.1|DSUB, LOC117899416|XP_034665297.1|DSUB
OG0000299	LOC120766924|XP_039948603.1|BTRY	LOC117899483|XP_034665406.1|DSUB
OG0000299	LOC120777590|XP_039964988.1|BTRY	LOC117899484|XP_034665411.1|DSUB
OG0000300	LOC120778403|XP_039966121.1|BTRY	LOC117893787|XP_034656422.1|DSUB, LOC117893327|XP_034655808.1|DSUB, LOC117893325|XP_034655805.1|DSUB
OG0000301	LOC120779661|XP_039967950.1|BTRY	LOC117902948|XP_034670460.1|DSUB
OG0000301	LOC120767206|XP_039948949.1|BTRY	LOC117901488|XP_034668147.1|DSUB
OG0000302	LOC120778692|XP_039966580.1|BTRY, LOC120778344|XP_039966068.1|BTRY	LOC117893650|XP_034656231.1|DSUB
OG0000302	LOC120777937|XP_039965464.1|BTRY	LOC117893651|XP_034656232.1|DSUB
OG0000303	LOC120779740|XP_039968048.1|BTRY	LOC117895039|XP_034658304.1|DSUB, LOC117891866|XP_034653524.1|DSUB, LOC117901481|XP_034668141.1|DSUB
OG0000304	LOC120776331|XP_039962801.1|BTRY	LOC117902603|XP_034670006.1|DSUB, LOC117899347|XP_034665190.1|DSUB, LOC117899348|XP_034665191.1|DSUB
OG0000305	LOC120768131|XP_039950624.1|BTRY	LOC117895124|XP_034658424.1|DSUB, LOC117895123|XP_034658423.1|DSUB
OG0000305	LOC120778426|XP_039966142.1|BTRY	LOC117893182|XP_034655566.1|DSUB
OG0000306	LOC120775066|XP_039960982.1|BTRY	LOC117891461|XP_034652835.1|DSUB, LOC117903110|XP_034670827.1|DSUB
OG0000307	LOC120782706|XP_039971045.1|BTRY	LOC117897347|XP_034662011.1|DSUB
OG0000307	LOC120782833|XP_039971288.1|BTRY	LOC117898551|XP_034663922.1|DSUB
OG0000308	LOC120774160|XP_039959511.1|BTRY	LOC117900737|XP_034667103.1|DSUB, LOC117901106|XP_034667630.1|DSUB, LOC117898311|XP_034663486.1|DSUB, LOC117902629|XP_034670040.1|DSUB
OG0000309	LOC120770969|XP_039954638.1|BTRY	LOC117896617|XP_034660942.1|DSUB, LOC117898208|XP_034663320.1|DSUB
OG0000310	LOC120774938|XP_039960752.1|BTRY	LOC117891914|XP_034653628.1|DSUB, LOC117890945|XP_034651974.1|DSUB
OG0000311	LOC120774311|XP_039959777.1|BTRY	LOC117897526|XP_034662335.1|DSUB, LOC117896202|XP_034660220.1|DSUB, LOC117894299|XP_034657159.1|DSUB
OG0000312	LOC120768539|XP_039951210.1|BTRY	LOC117900135|XP_034666252.1|DSUB
OG0000312	LOC120768898|XP_039951586.1|BTRY	LOC117901246|XP_034667813.1|DSUB
OG0000313	LOC120767595|XP_039949678.1|BTRY	LOC117900261|XP_034666457.1|DSUB
OG0000313	LOC120767596|XP_039949679.1|BTRY	LOC117901190|XP_034667733.1|DSUB
OG0000314	LOC120768914|XP_039951615.1|BTRY	LOC117902699|XP_034670136.1|DSUB
OG0000315	LOC120767408|XP_039949384.1|BTRY	LOC117902252|XP_034669401.1|DSUB
OG0000316	LOC120771614|XP_039955637.1|BTRY	LOC117890294|XP_034650953.1|DSUB
OG0000317	LOC120767316|XP_039949186.1|BTRY	LOC117897468|XP_034662210.1|DSUB, LOC117897469|XP_034662211.1|DSUB, LOC117899519|XP_034665462.1|DSUB, LOC117897439|XP_034662170.1|DSUB, LOC117897793|XP_034662734.1|DSUB, LOC117897339|XP_034662000.1|DSUB, LOC117897794|XP_034662735.1|DSUB, LOC117897792|XP_034662733.1|DSUB
OG0000318	LOC120779462|XP_039967658.1|BTRY	LOC117889585|XP_034649884.1|DSUB
OG0000320	LOC120780262|XP_039968454.1|BTRY	LOC117897732|XP_034662652.1|DSUB
OG0000320	LOC120775663|XP_039961866.1|BTRY	LOC117901401|XP_034668026.1|DSUB, LOC117896806|XP_034661201.1|DSUB
OG0000321	LOC120767653|XP_039949760.1|BTRY	LOC117902136|XP_034669161.1|DSUB, LOC117902137|XP_034669163.1|DSUB
OG0000322	LOC120773648|XP_039958591.1|BTRY	LOC117902919|XP_034670389.1|DSUB, LOC117903109|XP_034670826.1|DSUB
OG0000323	LOC120781479|XP_039969632.1|BTRY	LOC117902100|XP_034669095.1|DSUB
OG0000323	LOC120768274|XP_039950811.1|BTRY	LOC117897036|XP_034661507.1|DSUB
OG0000324	LOC120772196|XP_039956595.1|BTRY	LOC117890823|XP_034651787.1|DSUB
OG0000325	LOC120780635|XP_039968827.1|BTRY, LOC120780634|XP_039968826.1|BTRY	LOC117894659|XP_034657724.1|DSUB
OG0000325	LOC120779055|XP_039967124.1|BTRY	LOC117894477|XP_034657469.1|DSUB
OG0000327	LOC120772284|XP_039956728.1|BTRY, LOC120772454|XP_039957011.1|BTRY, LOC120771900|XP_039956109.1|BTRY	LOC117890953|XP_034651985.1|DSUB, LOC117890952|XP_034651984.1|DSUB, LOC117890955|XP_034651987.1|DSUB
OG0000328	LOC120777056|XP_039964104.1|BTRY	LOC117891079|XP_034652150.1|DSUB, LOC117893351|XP_034655832.1|DSUB, LOC117893347|XP_034655827.1|DSUB
OG0000331	LOC120769238|XP_039952071.1|BTRY	LOC117900988|XP_034667475.1|DSUB, LOC117901925|XP_034668785.1|DSUB, LOC117901773|XP_034668564.1|DSUB, LOC117901226|XP_034667788.1|DSUB, LOC117900858|XP_034667269.1|DSUB
OG0000332	LOC120766326|XP_039947684.1|BTRY	LOC117903681|XP_034671910.1|DSUB, LOC117898137|XP_034663222.1|DSUB
OG0000332	LOC120774351|XP_039959870.1|BTRY, LOC120774932|XP_039960743.1|BTRY	LOC117903192|XP_034670967.1|DSUB
OG0000333	LOC120776546|XP_039963228.1|BTRY, LOC120776544|XP_039963218.1|BTRY, LOC120776542|XP_039963214.1|BTRY	LOC117894230|XP_034657037.1|DSUB
OG0000333	LOC120776547|XP_039963229.1|BTRY	LOC117894460|XP_034657451.1|DSUB
OG0000334	LOC120774998|XP_039960854.1|BTRY	LOC117892029|XP_034653843.1|DSUB
OG0000334	LOC120771849|XP_039956026.1|BTRY, LOC120772789|XP_039957505.1|BTRY	LOC117890520|XP_034651317.1|DSUB
OG0000335	LOC120767480|XP_039949505.1|BTRY	LOC117902271|XP_034669423.1|DSUB
OG0000335	LOC120767479|XP_039949503.1|BTRY	LOC117902269|XP_034669419.1|DSUB
OG0000336	LOC120769770|XP_039952889.1|BTRY	LOC117896583|XP_034660894.1|DSUB, LOC117895978|XP_034659829.1|DSUB, LOC117895976|XP_034659826.1|DSUB
OG0000337	LOC120766375|XP_039947742.1|BTRY	LOC117893332|XP_034655813.1|DSUB, LOC117893333|XP_034655814.1|DSUB, LOC117893473|XP_034655986.1|DSUB, LOC117893591|XP_034656156.1|DSUB
OG0000338	LOC120777234|XP_039964352.1|BTRY	LOC117895578|XP_034659190.1|DSUB
OG0000338	LOC120770461|XP_039953889.1|BTRY	LOC117892357|XP_034654454.1|DSUB
OG0000339	LOC120778134|XP_039965792.1|BTRY	LOC117894536|XP_034657546.1|DSUB
OG0000340	LOC120771806|XP_039955946.1|BTRY	LOC117892636|XP_034654879.1|DSUB
OG0000342	LOC120774021|XP_039959243.1|BTRY	LOC117900549|XP_034666847.1|DSUB, LOC117890304|XP_034650969.1|DSUB
OG0000343	LOC120778308|XP_039966037.1|BTRY	LOC117897637|XP_034662502.1|DSUB
OG0000344	LOC120771051|XP_039954788.1|BTRY	LOC117890222|XP_034650850.1|DSUB
OG0000344	LOC120766693|XP_039948277.1|BTRY	LOC117896300|XP_034660413.1|DSUB
OG0000345	LOC120773088|XP_039957990.1|BTRY	LOC117891285|XP_034652567.1|DSUB
OG0000345	LOC120770320|XP_039953635.1|BTRY	LOC117890999|XP_034652039.1|DSUB
OG0000346	LOC120771778|XP_039955902.1|BTRY	LOC117890209|XP_034650832.1|DSUB
OG0000347	LOC120777530|XP_039964847.1|BTRY	LOC117894249|XP_034657091.1|DSUB
OG0000347	LOC120767435|XP_039949430.1|BTRY	LOC117901624|XP_034668343.1|DSUB
OG0000348	LOC120769393|XP_039952297.1|BTRY	LOC117901783|XP_034668583.1|DSUB
OG0000348	LOC120767574|XP_039949645.1|BTRY	LOC117900771|XP_034667142.1|DSUB
OG0000349	LOC120768895|XP_039951582.1|BTRY	LOC117901418|XP_034668045.1|DSUB
OG0000350	LOC120776422|XP_039963001.1|BTRY	LOC117893519|XP_034656049.1|DSUB
OG0000350	LOC120776439|XP_039963028.1|BTRY	LOC117899344|XP_034665188.1|DSUB
OG0000351	LOC120771786|XP_039955914.1|BTRY	LOC117892035|XP_034653851.1|DSUB
OG0000351	LOC120770740|XP_039954263.1|BTRY	LOC117892037|XP_034653852.1|DSUB
OG0000353	LOC120776473|XP_039963083.1|BTRY	LOC117899202|XP_034664965.1|DSUB
OG0000353	LOC120781466|XP_039969623.1|BTRY	LOC117902638|XP_034670051.1|DSUB
OG0000354	LOC120767660|XP_039949767.1|BTRY	LOC117900929|XP_034667384.1|DSUB
OG0000355	LOC120771205|XP_039955041.1|BTRY	LOC117891105|XP_034652185.1|DSUB
OG0000355	LOC120770439|XP_039953843.1|BTRY	LOC117892437|XP_034654568.1|DSUB
OG0000356	LOC120770335|XP_039953665.1|BTRY, LOC120770334|XP_039953663.1|BTRY, LOC120772442|XP_039956993.1|BTRY	LOC117902257|XP_034669406.1|DSUB, LOC117902254|XP_034669403.1|DSUB
OG0000358	LOC120777551|XP_039964877.1|BTRY	LOC117896664|XP_034661001.1|DSUB
OG0000359	LOC120778373|XP_039966093.1|BTRY	LOC117894993|XP_034658232.1|DSUB
OG0000361	LOC120768611|XP_039951311.1|BTRY	LOC117900157|XP_034666288.1|DSUB, LOC117901763|XP_034668542.1|DSUB
OG0000362	LOC120779094|XP_039967196.1|BTRY	LOC117902966|XP_034670511.1|DSUB
OG0000362	LOC120778669|XP_039966535.1|BTRY	LOC117895354|XP_034658829.1|DSUB
OG0000363	LOC120775658|XP_039961859.1|BTRY	LOC117897733|XP_034662653.1|DSUB
OG0000363	LOC120779091|XP_039967181.1|BTRY	LOC117893562|XP_034656116.1|DSUB
OG0000365	LOC120772169|XP_039956543.1|BTRY	LOC117890979|XP_034652011.1|DSUB
OG0000365	LOC120768322|XP_039950894.1|BTRY	LOC117900502|XP_034666784.1|DSUB
OG0000366	LOC120774263|XP_039959665.1|BTRY	LOC117896792|XP_034661194.1|DSUB
OG0000366	LOC120780807|XP_039968989.1|BTRY	LOC117899469|XP_034665377.1|DSUB
OG0000367	LOC120768508|XP_039951168.1|BTRY	LOC117895052|XP_034658320.1|DSUB
OG0000367	LOC120770824|XP_039954338.1|BTRY	LOC117890868|XP_034651845.1|DSUB, LOC117889724|XP_034650037.1|DSUB
OG0000368	LOC120778882|XP_039966859.1|BTRY, LOC120778883|XP_039966860.1|BTRY	LOC117893247|XP_034655701.1|DSUB
OG0000368	LOC120777794|XP_039965259.1|BTRY	LOC117895829|XP_034659657.1|DSUB
OG0000370	LOC120774286|XP_039959713.1|BTRY	LOC117894478|XP_034657470.1|DSUB, LOC117893329|XP_034655810.1|DSUB, LOC117892427|XP_034654556.1|DSUB
OG0000376	LOC120775818|XP_039962106.1|BTRY	LOC117903490|XP_034671452.1|DSUB, LOC117903482|XP_034671440.1|DSUB, LOC117900440|XP_034666701.1|DSUB
OG0000377	LOC120772534|XP_039957145.1|BTRY, LOC120772535|XP_039957147.1|BTRY, LOC120774731|XP_039960417.1|BTRY, LOC120774730|XP_039960415.1|BTRY	LOC117903549|XP_034671634.1|DSUB, LOC117896538|XP_034660812.1|DSUB
OG0000378	LOC120776151|XP_039962629.1|BTRY	LOC117891845|XP_034653487.1|DSUB
OG0000378	LOC120769436|XP_039952351.1|BTRY	LOC117903793|XP_034672113.1|DSUB
OG0000379	LOC120772092|XP_039956430.1|BTRY	LOC117892661|XP_034654939.1|DSUB, LOC117892660|XP_034654937.1|DSUB, LOC117891835|XP_034653477.1|DSUB
OG0000380	LOC120777433|XP_039964674.1|BTRY	LOC117891563|XP_034652973.1|DSUB, LOC117892479|XP_034654624.1|DSUB
OG0000380	LOC120777435|XP_039964675.1|BTRY	LOC117895027|XP_034658288.1|DSUB
OG0000381	LOC120767468|XP_039949490.1|BTRY	LOC117902520|XP_034669836.1|DSUB
OG0000382	LOC120775122|XP_039961078.1|BTRY	LOC117895616|XP_034659256.1|DSUB
OG0000383	LOC120767904|XP_039950185.1|BTRY	LOC117902799|XP_034670309.1|DSUB
OG0000383	LOC120767902|XP_039950182.1|BTRY	LOC117902584|XP_034669973.1|DSUB
OG0000384	LOC120772420|XP_039956966.1|BTRY	LOC117891367|XP_034652695.1|DSUB
OG0000384	LOC120770607|XP_039954144.1|BTRY	LOC117892277|XP_034654288.1|DSUB
OG0000385	LOC120780127|XP_039968341.1|BTRY, LOC120774086|XP_039959352.1|BTRY	LOC117897472|XP_034662217.1|DSUB
OG0000385	LOC120774085|XP_039959350.1|BTRY, LOC120774973|XP_039960799.1|BTRY	LOC117894961|XP_034658186.1|DSUB
OG0000386	LOC120781604|XP_039969777.1|BTRY	LOC117895857|XP_034659714.1|DSUB, LOC117897506|XP_034662286.1|DSUB
OG0000389	LOC120781746|XP_039969909.1|BTRY	LOC117896317|XP_034660439.1|DSUB
OG0000389	LOC120771680|XP_039955737.1|BTRY	LOC117893735|XP_034656351.1|DSUB
OG0000390	LOC120771071|XP_039954817.1|BTRY	LOC117902163|XP_034669192.1|DSUB
OG0000391	LOC120771069|XP_039954812.1|BTRY	LOC117890856|XP_034651833.1|DSUB
OG0000391	LOC120771124|XP_039954907.1|BTRY	LOC117891397|XP_034652731.1|DSUB
OG0000392	LOC120769281|XP_039952131.1|BTRY	LOC117901576|XP_034668266.1|DSUB
OG0000392	LOC120769186|XP_039952008.1|BTRY	LOC117901771|XP_034668559.1|DSUB
OG0000393	LOC120767748|XP_039949897.1|BTRY	LOC117902199|XP_034669291.1|DSUB
OG0000393	LOC120768428|XP_039951042.1|BTRY	LOC117902201|XP_034669305.1|DSUB
OG0000394	LOC120773359|XP_039958117.1|BTRY	LOC117903144|XP_034670874.1|DSUB
OG0000394	LOC120773360|XP_039958118.1|BTRY, LOC120773362|XP_039958122.1|BTRY, LOC120773361|XP_039958119.1|BTRY	LOC117903145|XP_034670875.1|DSUB
OG0000395	LOC120778433|XP_039966149.1|BTRY	LOC117894769|XP_034657878.1|DSUB, LOC117893522|XP_034656053.1|DSUB, LOC117894776|XP_034657893.1|DSUB
OG0000396	LOC120769341|XP_039952232.1|BTRY, LOC120767208|XP_039948951.1|BTRY	LOC117901487|XP_034668145.1|DSUB
OG0000397	LOC120770499|XP_039953957.1|BTRY, LOC120770497|XP_039953954.1|BTRY	LOC117889859|XP_034650251.1|DSUB, LOC117890739|XP_034651681.1|DSUB, LOC117889858|XP_034650250.1|DSUB, LOC117889857|XP_034650249.1|DSUB
OG0000399	LOC120766843|XP_039948489.1|BTRY	LOC117896903|XP_034661330.1|DSUB
OG0000399	LOC120766879|XP_039948547.1|BTRY	LOC117896902|XP_034661328.1|DSUB
OG0000400	LOC120774408|XP_039959967.1|BTRY	LOC117903030|XP_034670652.1|DSUB
OG0000400	LOC120774940|XP_039960753.1|BTRY, LOC120774941|XP_039960754.1|BTRY, LOC120774766|XP_039960460.1|BTRY	LOC117903029|XP_034670651.1|DSUB
OG0000401	LOC120774242|XP_039959636.1|BTRY	LOC117893900|XP_034656569.1|DSUB, LOC117898664|XP_034664134.1|DSUB
OG0000402	LOC120776166|XP_039962707.1|BTRY	LOC117903357|XP_034671202.1|DSUB
OG0000403	LOC120767034|XP_039948814.1|BTRY	LOC117896471|XP_034660696.1|DSUB
