Orthogroup	BTRY.longest_only	AAEG.longest_only
OG0002158	LOC120770530|XP_039954015.1|BTRY	LOC5575865|XP_021704847.1|AAEG
OG0002159	LOC120778695|XP_039966587.1|BTRY	LOC5579199|XP_021705121.1|AAEG
OG0002160	LOC120778737|XP_039966642.1|BTRY	LOC5577891|XP_001663597.2|AAEG
OG0002161	LOC120778165|XP_039965837.1|BTRY	LOC5578146|XP_001663717.1|AAEG
OG0002162	LOC120769743|XP_039952873.1|BTRY, LOC120777117|XP_039964189.1|BTRY	LOC5578143|XP_001663713.2|AAEG
OG0002163	LOC120775200|XP_039961197.1|BTRY	LOC5565033|XP_001649405.1|AAEG
OG0002164	LOC120777436|XP_039964677.1|BTRY	LOC5565255|XP_001649617.2|AAEG
OG0002165	LOC120777673|XP_039965076.1|BTRY	LOC5576560|XP_001662743.2|AAEG
OG0002166	LOC120769440|XP_039952357.1|BTRY	LOC5575292|XP_001655670.2|AAEG, LOC110680524|XP_021712013.1|AAEG
OG0002167	LOC120771298|XP_039955167.1|BTRY, LOC120780128|XP_039968343.1|BTRY	LOC110673987|XP_021706322.1|AAEG, LOC5579217|XP_021712812.1|AAEG
OG0002168	LOC120774016|XP_039959233.1|BTRY	LOC5578905|XP_021708397.1|AAEG, LOC5571580|XP_001659788.1|AAEG
OG0002169	LOC120776572|XP_039963269.1|BTRY	LOC5568544|XP_021707598.1|AAEG
OG0002170	LOC120779906|XP_039968187.1|BTRY	LOC5572782|XP_001654181.2|AAEG
OG0002171	LOC120782875|XP_039971355.1|BTRY	LOC5579419|XP_021708592.1|AAEG
OG0002172	LOC120782385|XP_039970562.1|BTRY	LOC5568282|XP_001657979.2|AAEG, LOC110680636|XP_021712124.1|AAEG
OG0002173	LOC120769489|XP_039952453.1|BTRY	LOC5568277|XP_001657974.1|AAEG
OG0002174	LOC120766345|XP_039947706.1|BTRY	LOC110679174|XP_021708963.1|AAEG
OG0002175	LOC120766346|XP_039947707.1|BTRY	LOC5566081|XP_021708971.1|AAEG
OG0002176	LOC120777817|XP_039965291.1|BTRY	LOC110680241|XP_021711747.1|AAEG, LOC5570609|XP_001653273.1|AAEG, LOC110679314|XP_021709372.1|AAEG, LOC110681060|XP_021712517.1|AAEG
OG0002177	LOC120782633|XP_039970935.1|BTRY	LOC5573875|XP_021709949.1|AAEG, LOC5573874|XP_001654907.2|AAEG
OG0002178	LOC120776177|XP_039962728.1|BTRY	LOC110680388|XP_021711889.1|AAEG, LOC5566202|XP_021710220.1|AAEG, LOC110680809|XP_021712277.1|AAEG
OG0002179	LOC120780756|XP_039968945.1|BTRY	LOC5569456|XP_021710812.1|AAEG
OG0002180	LOC120782301|XP_039970445.1|BTRY	LOC110674011|XP_021710984.1|AAEG, LOC5574069|XP_021694277.1|AAEG
OG0002181	LOC120775451|XP_039961571.1|BTRY	LOC110681123|XP_021712582.1|AAEG, LOC110680479|XP_021711976.1|AAEG, LOC23687808|XP_021711326.1|AAEG
OG0002182	LOC120767932|XP_039950230.1|BTRY	LOC5577702|XP_021711690.1|AAEG
OG0002183	LOC120771506|XP_039955493.1|BTRY	LOC5564014|XP_001648337.2|AAEG, LOC5568461|XP_001652295.2|AAEG
OG0002184	LOC120772371|XP_039956882.1|BTRY	LOC23687633|XP_011493096.1|AAEG
OG0002185	LOC120774548|XP_039960216.1|BTRY	LOC5572727|XP_001660555.2|AAEG, LOC110680500|XP_021711993.1|AAEG
OG0002186	LOC120782727|XP_039971089.1|BTRY	LOC5567783|XP_001657684.2|AAEG
OG0002187	LOC120776616|XP_039963345.1|BTRY	LOC5571783|XP_001659922.2|AAEG
OG0002188	LOC120772246|XP_039956676.1|BTRY, LOC120780043|XP_039968250.1|BTRY	LOC5571794|XP_001659928.1|AAEG, LOC110681308|XP_021712759.1|AAEG
OG0002189	LOC120780476|XP_039968686.1|BTRY	LOC5578994|XP_001664173.2|AAEG
OG0002190	LOC120772217|XP_039956633.1|BTRY	LOC5573374|XP_021712991.1|AAEG
OG0002191	LOC120777624|XP_039965011.1|BTRY	LOC110680462|XP_021711958.1|AAEG, LOC5573373|XP_021712993.1|AAEG
OG0002192	LOC120778176|XP_039965845.1|BTRY	LOC5577009|XP_021694395.1|AAEG, LOC5568710|XP_001652535.1|AAEG
OG0002193	LOC120782496|XP_039970734.1|BTRY	LOC5572572|XP_021713041.1|AAEG
OG0002194	LOC120766641|XP_039948194.1|BTRY	LOC5580291|XP_001662917.2|AAEG
OG0002195	LOC120782513|XP_039970755.1|BTRY	LOC5572335|XP_001654025.2|AAEG
OG0002196	LOC120782698|XP_039971032.1|BTRY	LOC5567840|XP_001657749.1|AAEG
OG0002197	LOC120782519|XP_039970762.1|BTRY	LOC5569227|XP_021713253.1|AAEG
OG0002198	LOC120766983|XP_039948716.1|BTRY, LOC120766982|XP_039948711.1|BTRY	LOC110681200|XP_021712673.1|AAEG, LOC5564690|XP_021693000.1|AAEG
OG0002199	LOC120782742|XP_039971109.1|BTRY	LOC5576838|XP_001662954.2|AAEG
OG0002200	LOC120780430|XP_039968640.1|BTRY	LOC5580084|XP_001654840.2|AAEG
OG0002202	LOC120769735|XP_039952825.1|BTRY	LOC5576722|XP_021693362.1|AAEG
OG0002203	LOC120768318|XP_039950895.1|BTRY	LOC23687451|XP_021693393.1|AAEG
OG0002204	LOC120774250|XP_039959651.1|BTRY	LOC5568910|XP_001658235.3|AAEG
OG0002205	LOC120766979|XP_039948709.1|BTRY	LOC5568906|XP_001658227.1|AAEG
OG0002206	LOC120766255|XP_039947575.1|BTRY	LOC5575607|XP_001662097.2|AAEG
OG0002207	LOC120782703|XP_039971043.1|BTRY	LOC5577394|XP_021693559.1|AAEG, LOC5577396|XP_021693560.1|AAEG
OG0002208	LOC120766200|XP_039947494.1|BTRY	LOC5577397|XP_001656471.2|AAEG
OG0002209	LOC120772440|XP_039956991.1|BTRY	LOC5573438|XP_001660875.1|AAEG
OG0002210	LOC120782766|XP_039971161.1|BTRY	LOC5573431|XP_021693614.1|AAEG
OG0002211	LOC120772181|XP_039956567.1|BTRY	LOC23687928|XP_021693634.1|AAEG
OG0002212	LOC120766260|XP_039947580.1|BTRY	LOC5576199|XP_001662538.1|AAEG
OG0002213	LOC120771487|XP_039955464.1|BTRY	LOC110674166|XP_021693781.1|AAEG
OG0002214	LOC120766242|XP_039947559.1|BTRY	LOC5569692|XP_021693813.1|AAEG
OG0002215	LOC120773612|XP_039958583.1|BTRY	LOC5577633|XP_021693875.1|AAEG
OG0002216	LOC120771455|XP_039955400.1|BTRY	LOC5565144|XP_001649509.2|AAEG
OG0002217	LOC120782590|XP_039970875.1|BTRY	LOC5577581|XP_021694029.1|AAEG
OG0002218	LOC120773744|XP_039958739.1|BTRY	LOC5576138|XP_001662485.2|AAEG
OG0002219	LOC120782215|XP_039970309.1|BTRY	LOC5575228|XP_021694130.1|AAEG
OG0002220	LOC120778357|XP_039966078.1|BTRY	LOC5575226|XP_001655632.2|AAEG, LOC5575225|XP_001655631.2|AAEG
OG0002221	LOC120777064|XP_039964122.1|BTRY, LOC120777060|XP_039964107.1|BTRY	LOC5566135|XP_021699107.1|AAEG
OG0002222	LOC120770939|XP_039954583.1|BTRY	LOC5566138|XP_001650497.2|AAEG
OG0002223	LOC120772878|XP_039957654.1|BTRY	LOC110680342|XP_021711853.1|AAEG
OG0002224	LOC120781272|XP_039969397.1|BTRY	LOC5566116|XP_021695406.1|AAEG
OG0002225	LOC120778238|XP_039965929.1|BTRY	LOC5579245|XP_021699518.1|AAEG, LOC5579873|XP_021695535.1|AAEG
OG0002226	LOC120770385|XP_039953740.1|BTRY	LOC5578206|XP_001656850.1|AAEG
OG0002227	LOC120771486|XP_039955458.1|BTRY	LOC5571223|XP_021695800.1|AAEG
OG0002228	LOC120771656|XP_039955705.1|BTRY	LOC5571289|XP_021695851.1|AAEG
OG0002229	LOC120773050|XP_039957915.1|BTRY	LOC5571291|XP_001653593.1|AAEG
OG0002230	LOC120770234|XP_039953455.1|BTRY	LOC5571286|XP_021695868.1|AAEG
OG0002231	LOC120771227|XP_039955072.1|BTRY	LOC5571266|XP_021695918.1|AAEG
OG0002232	LOC120781262|XP_039969351.1|BTRY, LOC120781261|XP_039969349.1|BTRY, LOC120781255|XP_039969340.1|BTRY	LOC5578169|XP_001663739.2|AAEG, LOC5578177|XP_021696079.1|AAEG
OG0002233	LOC120778278|XP_039965998.1|BTRY	LOC5569904|XP_001658802.1|AAEG
OG0002234	LOC120772414|XP_039956947.1|BTRY	LOC5579984|XP_001660250.1|AAEG, LOC5571160|XP_021707557.1|AAEG, LOC5571167|XP_001653496.1|AAEG, LOC5571165|XP_001653497.1|AAEG, LOC5571161|XP_001653495.2|AAEG, LOC5579985|XP_021701506.1|AAEG
OG0002235	LOC120772533|XP_039957135.1|BTRY	LOC5579251|XP_021696334.1|AAEG
OG0002236	LOC120771370|XP_039955263.1|BTRY	LOC5570501|XP_001659177.2|AAEG
OG0002237	LOC120771521|XP_039955513.1|BTRY	LOC5570540|XP_021696462.1|AAEG
OG0002238	LOC120769974|XP_039952978.1|BTRY	LOC5569218|XP_021696600.1|AAEG
OG0002239	LOC120770376|XP_039953727.1|BTRY	LOC5568112|XP_001652051.1|AAEG
OG0002240	LOC120772781|XP_039957493.1|BTRY	LOC5569443|XP_021696660.1|AAEG
OG0002241	LOC120778384|XP_039966105.1|BTRY	LOC5566343|XP_001650739.2|AAEG
OG0002242	LOC120776862|XP_039963842.1|BTRY	LOC5572351|XP_021696813.1|AAEG
OG0002243	LOC120768263|XP_039950794.1|BTRY	LOC5572349|XP_001660308.1|AAEG
OG0002244	LOC120777793|XP_039965258.1|BTRY	LOC5572345|XP_021702613.1|AAEG
OG0002245	LOC120777233|XP_039964349.1|BTRY	LOC5566222|XP_021696874.1|AAEG
OG0002246	LOC120771006|XP_039954701.1|BTRY	LOC110675641|XP_021696886.1|AAEG
OG0002247	LOC120778552|XP_039966337.1|BTRY	LOC5576411|XP_001656113.1|AAEG
OG0002248	LOC120778173|XP_039965843.1|BTRY, LOC120778810|XP_039966747.1|BTRY	LOC5565215|XP_001649548.1|AAEG
OG0002249	LOC120777043|XP_039964088.1|BTRY	LOC5574899|XP_001655400.1|AAEG
OG0002250	LOC120772826|XP_039957567.1|BTRY	LOC5571831|XP_021697154.1|AAEG
OG0002251	LOC120772890|XP_039957694.1|BTRY	LOC5571834|XP_021697158.1|AAEG
OG0002252	LOC120772168|XP_039956542.1|BTRY	LOC110677272|XP_021704095.1|AAEG
OG0002253	LOC120770911|XP_039954522.1|BTRY	LOC5571489|XP_001659733.2|AAEG
OG0002254	LOC120766760|XP_039948372.1|BTRY	LOC5572700|XP_001660519.2|AAEG
OG0002255	LOC120775528|XP_039961683.1|BTRY	LOC5578538|XP_001663929.2|AAEG
OG0002256	LOC120773042|XP_039957905.1|BTRY	LOC110675816|XP_021697355.1|AAEG, LOC5576646|XP_021697346.1|AAEG
OG0002257	LOC120771877|XP_039956066.1|BTRY	LOC5578231|XP_021697380.1|AAEG
OG0002258	LOC120778840|XP_039966797.1|BTRY, LOC120777948|XP_039965494.1|BTRY	LOC5571390|XP_021697410.1|AAEG
OG0002259	LOC120773946|XP_039959096.1|BTRY	LOC5579062|XP_021697431.1|AAEG, LOC5579061|XP_021697430.1|AAEG, LOC5579878|XP_021697411.1|AAEG
OG0002260	LOC120778607|XP_039966417.1|BTRY	LOC5579059|XP_001657255.2|AAEG
OG0002261	LOC120777953|XP_039965500.1|BTRY	LOC5575236|XP_001656285.1|AAEG
OG0002263	LOC120777692|XP_039965099.1|BTRY	LOC5572748|XP_001660576.1|AAEG
OG0002264	LOC120770936|XP_039954578.1|BTRY	LOC5566364|XP_021697650.1|AAEG
OG0002265	LOC120778554|XP_039966339.1|BTRY	LOC5565540|XP_001649899.1|AAEG
OG0002266	LOC120778689|XP_039966568.1|BTRY	LOC5564443|XP_001648786.1|AAEG
OG0002267	LOC120776839|XP_039963799.1|BTRY	LOC5563744|XP_001648027.2|AAEG
OG0002268	LOC120777703|XP_039965117.1|BTRY	LOC5563742|XP_001648030.2|AAEG
OG0002269	LOC120771964|XP_039956233.1|BTRY	LOC110676024|XP_021698067.1|AAEG
OG0002270	LOC120771342|XP_039955222.1|BTRY	LOC5578284|XP_021698247.1|AAEG
OG0002271	LOC120777520|XP_039964823.1|BTRY	LOC5565466|XP_001649826.2|AAEG
OG0002272	LOC120776838|XP_039963798.1|BTRY	LOC110680930|XP_021712403.1|AAEG, LOC5574155|XP_001655062.1|AAEG
OG0002273	LOC120779177|XP_039967349.1|BTRY	LOC5579421|XP_021698495.1|AAEG
OG0002274	LOC120779182|XP_039967360.1|BTRY	LOC5569595|XP_021698523.1|AAEG
OG0002275	LOC120777698|XP_039965106.1|BTRY	LOC5570786|XP_021698601.1|AAEG
OG0002276	LOC120776330|XP_039962794.1|BTRY	LOC5576958|XP_021698655.1|AAEG
OG0002277	LOC120776334|XP_039962802.1|BTRY	LOC5572280|XP_021698730.1|AAEG
OG0002278	LOC120776981|XP_039964014.1|BTRY, LOC120782013|XP_039970106.1|BTRY	LOC5574038|XP_021698765.1|AAEG
OG0002279	LOC120776414|XP_039962977.1|BTRY	LOC5572209|XP_001653877.1|AAEG
OG0002280	LOC120776635|XP_039963387.1|BTRY	LOC5572197|XP_021698799.1|AAEG
OG0002281	LOC120778106|XP_039965742.1|BTRY	LOC5571720|XP_001659858.1|AAEG
OG0002282	LOC120778021|XP_039965626.1|BTRY	LOC5566009|XP_021698864.1|AAEG
OG0002283	LOC120772928|XP_039957762.1|BTRY	LOC5577387|XP_021698901.1|AAEG
OG0002284	LOC120772674|XP_039957345.1|BTRY	LOC5574345|XP_001661380.1|AAEG
OG0002285	LOC120777223|XP_039964337.1|BTRY	LOC5573278|XP_001654490.2|AAEG
OG0002286	LOC120776729|XP_039963588.1|BTRY	LOC5575498|XP_001662010.2|AAEG, LOC5571748|XP_021710757.1|AAEG
OG0002287	LOC120771279|XP_039955139.1|BTRY	LOC5578128|XP_021699192.1|AAEG
OG0002288	LOC120778775|XP_039966690.1|BTRY	LOC5578126|XP_021699193.1|AAEG
OG0002289	LOC120778582|XP_039966383.1|BTRY	LOC5577139|XP_001663227.2|AAEG
OG0002290	LOC120782139|XP_039970212.1|BTRY	LOC5579143|XP_021699403.1|AAEG
OG0002291	LOC120772918|XP_039957752.1|BTRY, LOC120771641|XP_039955675.1|BTRY	LOC110681084|XP_021712551.1|AAEG, LOC5575930|XP_021699441.1|AAEG
OG0002292	LOC120770846|XP_039954380.1|BTRY	LOC5570333|XP_021699483.1|AAEG
OG0002293	LOC120771024|XP_039954734.1|BTRY	LOC5563932|XP_001648253.1|AAEG
OG0002294	LOC120771017|XP_039954726.1|BTRY	LOC5566074|XP_001650442.1|AAEG
OG0002295	LOC120768116|XP_039950598.1|BTRY	LOC5569978|XP_021700031.1|AAEG
OG0002296	LOC120781622|XP_039969789.1|BTRY	LOC110674013|XP_021700086.1|AAEG
OG0002297	LOC120769798|XP_039952923.1|BTRY	LOC5569115|XP_021700161.1|AAEG
OG0002298	LOC120771231|XP_039955077.1|BTRY	LOC5579525|XP_001647834.1|AAEG
OG0002299	LOC120774431|XP_039960003.1|BTRY	LOC5574369|XP_001661404.1|AAEG
OG0002300	LOC120768260|XP_039950788.1|BTRY	LOC5568034|XP_021700205.1|AAEG
OG0002301	LOC120768854|XP_039951544.1|BTRY	LOC5571143|XP_021700266.1|AAEG
OG0002302	LOC120768013|XP_039950383.1|BTRY	LOC5575446|XP_021700365.1|AAEG
OG0002303	LOC120775941|XP_039962285.1|BTRY	LOC5563592|XP_001647928.1|AAEG, LOC5575450|XP_001661966.1|AAEG
OG0002304	LOC120768600|XP_039951296.1|BTRY	LOC5569376|XP_021700462.1|AAEG
OG0002305	LOC120777269|XP_039964407.1|BTRY	LOC5569504|XP_001658589.2|AAEG
OG0002306	LOC120781484|XP_039969636.1|BTRY	LOC5576949|XP_021700496.1|AAEG
OG0002307	LOC120767389|XP_039949335.1|BTRY	LOC5564174|XP_021700568.1|AAEG
OG0002308	LOC120781412|XP_039969558.1|BTRY	LOC5572923|XP_001654258.2|AAEG
OG0002309	LOC120768145|XP_039950638.1|BTRY	LOC5571735|XP_001659877.1|AAEG
OG0002310	LOC120769727|XP_039952808.1|BTRY	LOC110680434|XP_021711924.1|AAEG, LOC110675178|XP_021695265.1|AAEG, LOC5568762|XP_021695264.1|AAEG
OG0002311	LOC120769706|XP_039952774.1|BTRY	LOC5566252|XP_021700959.1|AAEG
OG0002312	LOC120769816|XP_039952957.1|BTRY	LOC5566254|XP_001650631.2|AAEG, LOC110680445|XP_021711931.1|AAEG
OG0002313	LOC120771621|XP_039955645.1|BTRY	LOC5564484|XP_001648831.2|AAEG
OG0002314	LOC120772175|XP_039956556.1|BTRY	LOC5564514|XP_001648842.1|AAEG
OG0002315	LOC120772590|XP_039957232.1|BTRY	LOC5571665|XP_001653751.2|AAEG, LOC5564483|XP_001648851.1|AAEG
OG0002316	LOC120771015|XP_039954724.1|BTRY	LOC5576571|XP_001662757.1|AAEG
OG0002317	LOC120778631|XP_039966460.1|BTRY	LOC5566525|XP_021701161.1|AAEG
OG0002318	LOC120768376|XP_039950976.1|BTRY	LOC5571653|XP_001653740.1|AAEG
OG0002319	LOC120769267|XP_039952107.1|BTRY	LOC5571644|XP_001653735.2|AAEG
OG0002320	LOC120772300|XP_039956743.1|BTRY	LOC110681281|XP_021712740.1|AAEG, LOC5574482|XP_001655142.1|AAEG
OG0002321	LOC120769152|XP_039951965.1|BTRY	LOC5574485|XP_001655146.1|AAEG
OG0002322	LOC120769349|XP_039952246.1|BTRY	LOC110680564|XP_021712042.1|AAEG, LOC5573861|XP_001654892.1|AAEG
OG0002323	LOC120767299|XP_039949119.1|BTRY	LOC5578966|XP_001664143.2|AAEG
OG0002324	LOC120778954|XP_039966959.1|BTRY	LOC5578757|XP_001657125.1|AAEG
OG0002325	LOC120777126|XP_039964204.1|BTRY	LOC5568890|XP_021701464.1|AAEG
OG0002326	LOC120777602|XP_039964974.1|BTRY	LOC5571215|XP_021701465.1|AAEG
OG0002327	LOC120777338|XP_039964517.1|BTRY	LOC5570471|XP_021701473.1|AAEG
OG0002328	LOC120769220|XP_039952050.1|BTRY, LOC120775378|XP_039961473.1|BTRY	LOC5566092|XP_021701509.1|AAEG
OG0002329	LOC120769131|XP_039951932.1|BTRY	LOC5566511|XP_021701514.1|AAEG
OG0002330	LOC120768641|XP_039951345.1|BTRY	LOC5576426|XP_001662634.2|AAEG
OG0002331	LOC120774109|XP_039959402.1|BTRY	LOC5565281|XP_021701536.1|AAEG
OG0002332	LOC120780112|XP_039968329.1|BTRY	LOC5569339|XP_021701616.1|AAEG
OG0002333	LOC120771097|XP_039954864.1|BTRY	LOC5564477|XP_021701636.1|AAEG
OG0002334	LOC120769117|XP_039951911.1|BTRY	LOC5566251|XP_021701697.1|AAEG
OG0002335	LOC120772571|XP_039957196.1|BTRY	LOC5566660|XP_021701733.1|AAEG
OG0002336	LOC120777770|XP_039965217.1|BTRY	LOC5579210|XP_021701833.1|AAEG
OG0002337	LOC120772471|XP_039957043.1|BTRY	LOC5569047|XP_021701849.1|AAEG
OG0002338	LOC120768639|XP_039951339.1|BTRY	LOC5569036|XP_021701860.1|AAEG
OG0002339	LOC120768163|XP_039950658.1|BTRY	LOC5566648|XP_021701909.1|AAEG
OG0002340	LOC120767919|XP_039950212.1|BTRY	LOC5576505|XP_021701921.1|AAEG
OG0002341	LOC120770028|XP_039953073.1|BTRY	LOC5577105|XP_001663197.2|AAEG
OG0002342	LOC120768577|XP_039951263.1|BTRY	LOC5577563|XP_021701939.1|AAEG
OG0002343	LOC120767462|XP_039949479.1|BTRY	LOC110676862|XP_021701997.1|AAEG
OG0002344	LOC120767687|XP_039949812.1|BTRY	LOC5578960|XP_021702009.1|AAEG
OG0002345	LOC120771052|XP_039954789.1|BTRY	LOC110680430|XP_021711920.1|AAEG, LOC5573395|XP_001654562.1|AAEG
OG0002346	LOC120768222|XP_039950733.1|BTRY	LOC5573393|XP_001654564.2|AAEG
OG0002347	LOC120771155|XP_039954965.1|BTRY	LOC5572179|XP_001660269.1|AAEG
OG0002348	LOC120769723|XP_039952799.1|BTRY	LOC5573070|XP_001660705.2|AAEG
OG0002349	LOC120772314|XP_039956765.1|BTRY	LOC23687521|XP_011493451.1|AAEG
OG0002350	LOC120771050|XP_039954787.1|BTRY	LOC5570831|XP_001653338.1|AAEG
OG0002351	LOC120772212|XP_039956626.1|BTRY	LOC5577606|XP_001656600.1|AAEG
OG0002352	LOC120772550|XP_039957168.1|BTRY	LOC5573506|XP_021702245.1|AAEG
OG0002353	LOC120768963|XP_039951691.1|BTRY	LOC110676915|XP_021702417.1|AAEG, LOC5572432|XP_001660373.2|AAEG
OG0002354	LOC120767827|XP_039950049.1|BTRY	LOC5572464|XP_001660411.1|AAEG
OG0002355	LOC120768404|XP_039951013.1|BTRY	LOC5577427|XP_021702663.1|AAEG
OG0002356	LOC120769561|XP_039952547.1|BTRY	LOC5572791|XP_001654193.2|AAEG
OG0002357	LOC120771208|XP_039955048.1|BTRY	LOC5572792|XP_001654191.2|AAEG
OG0002358	LOC120778549|XP_039966336.1|BTRY	LOC5570686|XP_021702711.1|AAEG
OG0002359	LOC120773616|XP_039958549.1|BTRY	LOC5575512|XP_001655769.1|AAEG
OG0002360	LOC120781380|XP_039969520.1|BTRY	LOC5577547|XP_001656563.1|AAEG
OG0002361	LOC120779084|XP_039967168.1|BTRY	LOC5577919|XP_001656704.1|AAEG
OG0002362	LOC120767544|XP_039949584.1|BTRY	LOC5575842|XP_021702943.1|AAEG
OG0002363	LOC120769728|XP_039952809.1|BTRY	LOC110680404|XP_021711898.1|AAEG, LOC5573819|XP_001661064.2|AAEG
OG0002364	LOC120781486|XP_039969642.1|BTRY	LOC5573818|XP_021702978.1|AAEG
OG0002365	LOC120781450|XP_039969599.1|BTRY	LOC5573817|XP_021702998.1|AAEG
OG0002366	LOC120768482|XP_039951130.1|BTRY	LOC5568933|XP_001658255.2|AAEG
OG0002367	LOC120768394|XP_039951000.1|BTRY	LOC5573178|XP_021703282.1|AAEG
OG0002368	LOC120769200|XP_039952029.1|BTRY	LOC5578839|XP_021703324.1|AAEG
OG0002369	LOC120767924|XP_039950217.1|BTRY	LOC5573932|XP_021703372.1|AAEG
OG0002370	LOC120768100|XP_039950577.1|BTRY	LOC5569882|XP_021703464.1|AAEG
OG0002371	LOC120767929|XP_039950224.1|BTRY	LOC110677096|XP_021703473.1|AAEG
OG0002372	LOC120767678|XP_039949787.1|BTRY	LOC110675253|XP_021695392.1|AAEG, LOC110681274|XP_021712734.1|AAEG, LOC5568083|XP_021695393.1|AAEG
OG0002373	LOC120767790|XP_039949987.1|BTRY	LOC110677914|XP_021705594.1|AAEG, LOC5564878|XP_001649236.1|AAEG
OG0002374	LOC120777442|XP_039964728.1|BTRY, LOC120777360|XP_039964606.1|BTRY, LOC120777206|XP_039964354.1|BTRY, LOC120774062|XP_039959305.1|BTRY	LOC5569774|XP_021704068.1|AAEG
OG0002375	LOC120782127|XP_039970202.1|BTRY	LOC5567894|XP_021710638.1|AAEG
OG0002376	LOC120767809|XP_039950021.1|BTRY	LOC5570318|XP_001653144.1|AAEG
OG0002377	LOC120766959|XP_039948683.1|BTRY	LOC5570225|XP_001659004.1|AAEG, LOC110680233|XP_021711740.1|AAEG
OG0002378	LOC120778503|XP_039966266.1|BTRY	LOC5579024|XP_001664205.1|AAEG
OG0002379	LOC120767333|XP_039949210.1|BTRY	LOC5572836|XP_021710372.1|AAEG
OG0002380	LOC120774049|XP_039959285.1|BTRY	LOC5578643|XP_001663981.1|AAEG
OG0002381	LOC120772596|XP_039957243.1|BTRY, LOC120772619|XP_039957268.1|BTRY	LOC5576653|XP_001656190.1|AAEG
OG0002382	LOC120774097|XP_039959379.1|BTRY	LOC5576668|XP_021708017.1|AAEG
OG0002383	LOC120778327|XP_039966057.1|BTRY, LOC120777564|XP_039964894.1|BTRY	LOC5567639|XP_001651832.2|AAEG
OG0002384	LOC120775472|XP_039961602.1|BTRY	LOC5570773|XP_001659363.2|AAEG
OG0002386	LOC120782409|XP_039970590.1|BTRY	LOC110680574|XP_021712048.1|AAEG, LOC5577684|XP_021705431.1|AAEG
OG0002387	LOC120782202|XP_039970284.1|BTRY	LOC5571231|XP_021707001.1|AAEG
OG0002388	LOC120775028|XP_039960923.1|BTRY	LOC5573963|XP_021709631.1|AAEG
OG0002389	LOC120766629|XP_039948179.1|BTRY	LOC5570243|XP_001659022.1|AAEG
OG0002390	LOC120779581|XP_039967858.1|BTRY	LOC5573084|XP_001660716.2|AAEG
OG0002391	LOC120771582|XP_039955588.1|BTRY	LOC5567679|XP_021710468.1|AAEG
OG0002392	LOC120776705|XP_039963535.1|BTRY	LOC5569951|XP_021705381.1|AAEG, LOC110679141|XP_021708886.1|AAEG
OG0002393	LOC120777764|XP_039965202.1|BTRY	LOC5567391|XP_001651793.1|AAEG
OG0002394	LOC120775635|XP_039961827.1|BTRY	LOC5567399|XP_021704785.1|AAEG
OG0002395	LOC120782288|XP_039970426.1|BTRY	LOC5569257|XP_021710071.1|AAEG
OG0002396	LOC120770500|XP_039953958.1|BTRY	LOC5579179|XP_001664274.1|AAEG
OG0002397	LOC120772045|XP_039956352.1|BTRY	LOC5566175|XP_001650523.1|AAEG
OG0002398	LOC120775389|XP_039961483.1|BTRY	LOC5570976|XP_021710337.1|AAEG
OG0002399	LOC120772107|XP_039956452.1|BTRY	LOC5576189|XP_021708650.1|AAEG
OG0002400	LOC120771689|XP_039955756.1|BTRY	LOC5574224|XP_001661274.3|AAEG
OG0002401	LOC120779601|XP_039967880.1|BTRY	LOC5579277|XP_021707204.1|AAEG
OG0002402	LOC120766837|XP_039948482.1|BTRY, LOC120766268|XP_039947591.1|BTRY	LOC5564866|XP_021711005.1|AAEG
OG0002403	LOC120777028|XP_039964077.1|BTRY	LOC5564863|XP_021704848.1|AAEG
OG0002404	LOC120772978|XP_039957828.1|BTRY	LOC5575190|XP_001655573.2|AAEG
OG0002405	LOC120782476|XP_039970704.1|BTRY	LOC5567058|XP_021706909.1|AAEG
OG0002406	LOC120777421|XP_039964656.1|BTRY	LOC5566937|XP_001651352.1|AAEG
OG0002407	LOC120766669|XP_039948238.1|BTRY	LOC5572556|XP_021708614.1|AAEG
OG0002408	LOC120766956|XP_039948679.1|BTRY	LOC5572568|XP_021704559.1|AAEG, LOC5572566|XP_001654082.2|AAEG
OG0002409	LOC120777866|XP_039965352.1|BTRY, LOC120777567|XP_039964900.1|BTRY, LOC120782043|XP_039970132.1|BTRY, LOC120777565|XP_039964899.1|BTRY, LOC120781338|XP_039969474.1|BTRY, LOC120781339|XP_039969476.1|BTRY, LOC120778228|XP_039965920.1|BTRY	LOC5580151|XP_001655292.1|AAEG
OG0002410	LOC120782394|XP_039970571.1|BTRY	LOC110678703|XP_021707609.1|AAEG, LOC110678702|XP_021707608.1|AAEG
OG0002411	LOC120772673|XP_039957348.1|BTRY	LOC5567581|XP_001651824.1|AAEG
OG0002412	LOC120780948|XP_039969112.1|BTRY	LOC5567583|XP_001651826.2|AAEG
OG0002413	LOC120774104|XP_039959394.1|BTRY	LOC5574866|XP_021709482.1|AAEG
OG0002414	LOC120777597|XP_039964967.1|BTRY	LOC5568498|XP_001652320.1|AAEG
OG0002415	LOC120773409|XP_039958220.1|BTRY	LOC5576000|XP_021704716.1|AAEG
OG0002417	LOC120769366|XP_039952261.1|BTRY	LOC110678397|XP_021706925.1|AAEG, LOC110680763|XP_021712243.1|AAEG
OG0002418	LOC120780296|XP_039968522.1|BTRY	LOC5573880|XP_021710256.1|AAEG
