Orthogroup	BTRY.longest_only	DBIA.longest_only
OG0001894	LOC120771323|XP_039955201.1|BTRY	LOC108036628|XP_016968388.1|DBIA
OG0001895	LOC120781314|XP_039969452.1|BTRY, LOC120779556|XP_039967831.1|BTRY	LOC108035995|XP_016967357.1|DBIA
OG0001897	LOC120768001|XP_039950361.1|BTRY	LOC108031733|XP_016960901.1|DBIA
OG0001898	LOC120773741|XP_039958735.1|BTRY	LOC108026610|XP_016953083.1|DBIA
OG0001899	LOC120775806|XP_039962093.1|BTRY	LOC108031467|XP_016960395.1|DBIA
OG0001900	LOC120777251|XP_039964380.1|BTRY	LOC108030914|XP_016959593.1|DBIA
OG0001901	LOC120767988|XP_039950340.1|BTRY	LOC108033763|XP_016963832.1|DBIA
OG0001903	LOC120775305|XP_039961376.1|BTRY	LOC108024972|XP_016950704.1|DBIA
OG0001904	LOC120776156|XP_039963004.1|BTRY	LOC108024563|XP_016950046.1|DBIA
OG0001906	LOC120782744|XP_039971111.1|BTRY, LOC120782743|XP_039971110.1|BTRY	LOC108027214|XP_016954025.1|DBIA
OG0001907	LOC120773870|XP_039958957.1|BTRY	LOC108025867|XP_016952028.1|DBIA
OG0001908	LOC120778174|XP_039965847.1|BTRY	LOC108024714|XP_016950295.1|DBIA
OG0001909	LOC120774269|XP_039959681.1|BTRY	LOC108023581|XP_016948666.1|DBIA
OG0001910	LOC120775975|XP_039962334.1|BTRY	LOC108031870|XP_016961117.1|DBIA
OG0001911	LOC120766736|XP_039948322.1|BTRY	LOC108023087|XP_016947834.1|DBIA
OG0001913	LOC120769636|XP_039952673.1|BTRY	LOC108034264|XP_016964612.1|DBIA
OG0001914	LOC120780923|XP_039969086.1|BTRY	LOC108026134|XP_016952337.1|DBIA
OG0001915	LOC120777134|XP_039964215.1|BTRY, LOC120769982|XP_039952991.1|BTRY, LOC120769981|XP_039952990.1|BTRY	LOC108035620|XP_016966798.1|DBIA
OG0001916	LOC120770934|XP_039954572.1|BTRY	LOC108030257|XP_016958566.1|DBIA
OG0001917	LOC120777371|XP_039964582.1|BTRY	LOC108034903|XP_016965619.1|DBIA
OG0001918	LOC120778807|XP_039966745.1|BTRY	LOC108035503|XP_016966650.1|DBIA
OG0001919	LOC120771790|XP_039955921.1|BTRY	LOC108030141|XP_016958345.1|DBIA
OG0001920	LOC120776391|XP_039962937.1|BTRY	LOC108029830|XP_016957820.1|DBIA
OG0001921	LOC120776541|XP_039963213.1|BTRY	LOC108029799|XP_016957803.1|DBIA
OG0001922	LOC120771975|XP_039956265.1|BTRY	LOC108026928|XP_016953629.1|DBIA
OG0001923	LOC120777208|XP_039964317.1|BTRY	LOC108028361|XP_016955623.1|DBIA
OG0001924	LOC120767888|XP_039950147.1|BTRY	LOC108035852|XP_016967085.1|DBIA, LOC108031427|XP_016960323.1|DBIA
OG0001925	LOC120778187|XP_039965858.1|BTRY	LOC108035299|XP_016966358.1|DBIA
OG0001926	LOC120776505|XP_039963133.1|BTRY	LOC108035546|XP_016966704.1|DBIA
OG0001927	LOC120772111|XP_039956455.1|BTRY	LOC108023039|XP_016947769.1|DBIA
OG0001928	LOC120778640|XP_039966473.1|BTRY	LOC108035241|XP_016966263.1|DBIA
OG0001929	LOC120777589|XP_039964938.1|BTRY	LOC108034786|XP_016965234.1|DBIA
OG0001930	LOC120770289|XP_039953560.1|BTRY	LOC108030121|XP_016958311.1|DBIA
OG0001932	LOC120777356|XP_039964545.1|BTRY	LOC108028311|XP_016955523.1|DBIA
OG0001933	LOC120771690|XP_039955758.1|BTRY	LOC108022469|XP_016946908.1|DBIA
OG0001934	LOC120777393|XP_039964620.1|BTRY	LOC108035528|XP_016966686.1|DBIA
OG0001935	LOC120776510|XP_039963148.1|BTRY	LOC108034558|XP_016964976.1|DBIA
OG0001937	LOC120770953|XP_039954601.1|BTRY	LOC108026767|XP_016953399.1|DBIA
OG0001938	LOC120771881|XP_039956074.1|BTRY	LOC108022701|XP_016947263.1|DBIA
OG0001939	LOC120771918|XP_039956142.1|BTRY	LOC108022216|XP_016946559.1|DBIA
OG0001940	LOC120773102|XP_039958007.1|BTRY	LOC108036314|XP_016967813.1|DBIA
OG0001941	LOC120778078|XP_039965706.1|BTRY	LOC108031298|XP_016960034.1|DBIA
OG0001942	LOC120772531|XP_039957133.1|BTRY	LOC108030250|XP_016958558.1|DBIA
OG0001943	LOC120779078|XP_039967159.1|BTRY, LOC120778871|XP_039966850.1|BTRY	LOC108034597|XP_016965019.1|DBIA
OG0001944	LOC120778575|XP_039966373.1|BTRY	LOC108030151|XP_016958366.1|DBIA
OG0001945	LOC120771554|XP_039955549.1|BTRY	LOC108036393|XP_016967991.1|DBIA
OG0001946	LOC120772230|XP_039956656.1|BTRY	LOC108030219|XP_016958483.1|DBIA
OG0001947	LOC120772482|XP_039957061.1|BTRY, LOC120770045|XP_039953097.1|BTRY	LOC108022314|XP_016946663.1|DBIA
OG0001948	LOC120776857|XP_039963837.1|BTRY	LOC108035752|XP_016966938.1|DBIA
OG0001949	LOC120778048|XP_039965657.1|BTRY	LOC108028554|XP_016955946.1|DBIA
OG0001950	LOC120782371|XP_039970542.1|BTRY	LOC108022466|XP_016947298.1|DBIA, LOC108023806|XP_016948936.1|DBIA
OG0001951	LOC120772577|XP_039957214.1|BTRY	LOC108026608|XP_016953071.1|DBIA
OG0001952	LOC120772022|XP_039956323.1|BTRY	LOC108027585|XP_016954592.1|DBIA, LOC108026988|XP_016953679.1|DBIA
OG0001953	LOC120772849|XP_039957596.1|BTRY, LOC120771094|XP_039954855.1|BTRY	LOC108026794|XP_016953444.1|DBIA
OG0001954	LOC120770100|XP_039953205.1|BTRY	LOC108022568|XP_016947054.1|DBIA
OG0001955	LOC120772766|XP_039957475.1|BTRY	LOC108036226|XP_016967726.1|DBIA
OG0001956	LOC120777376|XP_039964599.1|BTRY	LOC108034832|XP_016965433.1|DBIA
OG0001957	LOC120772177|XP_039956559.1|BTRY	LOC108026667|XP_016953203.1|DBIA
OG0001958	LOC120770258|XP_039953498.1|BTRY	LOC108030170|XP_016958395.1|DBIA
OG0001959	LOC120778938|XP_039966929.1|BTRY	LOC108028762|XP_016956224.1|DBIA
OG0001960	LOC120776344|XP_039962830.1|BTRY	LOC108030448|XP_016958841.1|DBIA
OG0001961	LOC120770306|XP_039953608.1|BTRY	LOC108023003|XP_016947723.1|DBIA
OG0001962	LOC120771321|XP_039955199.1|BTRY, LOC120772250|XP_039956686.1|BTRY	LOC108036626|XP_016968387.1|DBIA
OG0001963	LOC120772630|XP_039957286.1|BTRY	LOC108035419|XP_016966529.1|DBIA
OG0001964	LOC120777367|XP_039964570.1|BTRY	LOC108028508|XP_016955879.1|DBIA
OG0001965	LOC120778986|XP_039967018.1|BTRY	LOC108028661|XP_016956078.1|DBIA
OG0001966	LOC120782546|XP_039970810.1|BTRY	LOC108031886|XP_016961139.1|DBIA
OG0001967	LOC120771395|XP_039955295.1|BTRY	LOC108026536|XP_016952972.1|DBIA
OG0001968	LOC120778717|XP_039966614.1|BTRY	LOC108034573|XP_016964992.1|DBIA
OG0001969	LOC120770952|XP_039954600.1|BTRY	LOC108030134|XP_016958337.1|DBIA
OG0001970	LOC120772750|XP_039957446.1|BTRY	LOC108026876|XP_016953556.1|DBIA
OG0001971	LOC120768970|XP_039951699.1|BTRY	LOC108029353|XP_016957033.1|DBIA
OG0001972	LOC120771026|XP_039954736.1|BTRY	LOC108030149|XP_016958358.1|DBIA
OG0001973	LOC120771553|XP_039955548.1|BTRY	LOC108022954|XP_016947658.1|DBIA
OG0001974	LOC120770989|XP_039954670.1|BTRY	LOC108036609|XP_016968360.1|DBIA
OG0001975	LOC120778480|XP_039966230.1|BTRY	LOC108034636|XP_016965062.1|DBIA
OG0001976	LOC120780305|XP_039968530.1|BTRY, LOC120770408|XP_039953776.1|BTRY	LOC108030139|XP_016958343.1|DBIA
OG0001977	LOC120767534|XP_039949559.1|BTRY	LOC108033711|XP_016963732.1|DBIA
OG0001978	LOC120768188|XP_039950691.1|BTRY, LOC120768189|XP_039950692.1|BTRY	LOC108034242|XP_016964582.1|DBIA
OG0001979	LOC120767436|XP_039949433.1|BTRY	LOC108036791|XP_016968627.1|DBIA
OG0001980	LOC120767598|XP_039949680.1|BTRY, LOC120769664|XP_039952710.1|BTRY	LOC108033269|XP_016963028.1|DBIA
OG0001981	LOC120768074|XP_039950537.1|BTRY	LOC108029219|XP_016956898.1|DBIA
OG0001982	LOC120769190|XP_039952018.1|BTRY	LOC108036869|XP_016968738.1|DBIA
OG0001983	LOC120773400|XP_039958190.1|BTRY	LOC108031647|XP_016960770.1|DBIA
OG0001984	LOC120769382|XP_039952284.1|BTRY	LOC108021858|XP_016946136.1|DBIA
OG0001985	LOC120780145|XP_039968365.1|BTRY	LOC108032540|XP_016961902.1|DBIA
OG0001986	LOC120768862|XP_039951551.1|BTRY	LOC108034032|XP_016964267.1|DBIA
OG0001987	LOC120774159|XP_039959505.1|BTRY	LOC108024211|XP_016949555.1|DBIA
OG0001988	LOC120770037|XP_039953086.1|BTRY	LOC108022660|XP_016947215.1|DBIA
OG0001989	LOC120767867|XP_039950114.1|BTRY, LOC120772540|XP_039957155.1|BTRY	LOC108028992|XP_016956522.1|DBIA
OG0001992	LOC120768570|XP_039951253.1|BTRY	LOC108033946|XP_016964123.1|DBIA
OG0001993	LOC120768392|XP_039950998.1|BTRY	LOC108033885|XP_016964019.1|DBIA
OG0001994	LOC120773364|XP_039958128.1|BTRY	LOC108031747|XP_016960937.1|DBIA
OG0001995	LOC120781538|XP_039969703.1|BTRY	LOC108032823|XP_016962327.1|DBIA
OG0001996	LOC120767965|XP_039950302.1|BTRY	LOC108029211|XP_016956891.1|DBIA
OG0001997	LOC120770842|XP_039954372.1|BTRY	LOC108022527|XP_016946993.1|DBIA
OG0001998	LOC120770212|XP_039953400.1|BTRY	LOC108022532|XP_016946997.1|DBIA
OG0001999	LOC120771449|XP_039955391.1|BTRY	LOC108022615|XP_016947144.1|DBIA
OG0002000	LOC120769380|XP_039952283.1|BTRY	LOC108036051|XP_016967483.1|DBIA
OG0002001	LOC120767679|XP_039949788.1|BTRY	LOC108033698|XP_016963687.1|DBIA
OG0002002	LOC120771088|XP_039954848.1|BTRY	LOC108022935|XP_016947637.1|DBIA
OG0002003	LOC120768124|XP_039950610.1|BTRY	LOC108036750|XP_016968558.1|DBIA
OG0002004	LOC120768071|XP_039950531.1|BTRY	LOC108034089|XP_016964345.1|DBIA
OG0002005	LOC120768433|XP_039951049.1|BTRY	LOC108032650|XP_016962091.1|DBIA
OG0002006	LOC120768995|XP_039951762.1|BTRY	LOC108033690|XP_016963666.1|DBIA
OG0002007	LOC120768444|XP_039951068.1|BTRY	LOC108036124|XP_016967598.1|DBIA
OG0002008	LOC120779457|XP_039967649.1|BTRY	LOC108035993|XP_016967345.1|DBIA
OG0002009	LOC120772782|XP_039957495.1|BTRY, LOC120782105|XP_039970186.1|BTRY	LOC108026547|XP_016952986.1|DBIA
OG0002010	LOC120769613|XP_039952647.1|BTRY	LOC108036794|XP_016968630.1|DBIA
OG0002011	LOC120769493|XP_039952456.1|BTRY	LOC108032757|XP_016962239.1|DBIA
OG0002012	LOC120767387|XP_039949326.1|BTRY	LOC108029065|XP_016956624.1|DBIA
OG0002013	LOC120769127|XP_039951922.1|BTRY	LOC108034119|XP_016964391.1|DBIA
OG0002014	LOC120771209|XP_039955045.1|BTRY	LOC108023032|XP_016947760.1|DBIA
OG0002015	LOC120769638|XP_039952677.1|BTRY	LOC108034298|XP_016964650.1|DBIA
OG0002016	LOC120772236|XP_039956662.1|BTRY	LOC108030180|XP_016958415.1|DBIA
OG0002017	LOC120769000|XP_039951774.1|BTRY, LOC120768077|XP_039950541.1|BTRY, LOC120767811|XP_039950023.1|BTRY	LOC108033902|XP_016964055.1|DBIA
OG0002018	LOC120767880|XP_039950140.1|BTRY	LOC108033836|XP_016963952.1|DBIA, LOC108033255|XP_016963009.1|DBIA
OG0002019	LOC120767713|XP_039949843.1|BTRY	LOC108033891|XP_016964027.1|DBIA
OG0002020	LOC120769272|XP_039952118.1|BTRY	LOC108036098|XP_016967553.1|DBIA
OG0002021	LOC120772968|XP_039957805.1|BTRY	LOC108026694|XP_016953271.1|DBIA
OG0002022	LOC120767733|XP_039949875.1|BTRY	LOC108033550|XP_016963384.1|DBIA
OG0002023	LOC120771303|XP_039955174.1|BTRY	LOC108025044|XP_016950792.1|DBIA
OG0002024	LOC120769476|XP_039952432.1|BTRY	LOC108034158|XP_016964451.1|DBIA
OG0002025	LOC120769378|XP_039952280.1|BTRY	LOC108033995|XP_016964210.1|DBIA
OG0002026	LOC120777293|XP_039964438.1|BTRY	LOC108030863|XP_016959498.1|DBIA
OG0002027	LOC120772974|XP_039957816.1|BTRY	LOC108026624|XP_016953125.1|DBIA
OG0002028	LOC120771529|XP_039955521.1|BTRY	LOC108026781|XP_016953427.1|DBIA
OG0002029	LOC120777455|XP_039964710.1|BTRY	LOC108028242|XP_016955409.1|DBIA
OG0002030	LOC120771727|XP_039955816.1|BTRY	LOC108022732|XP_016947311.1|DBIA
OG0002031	LOC120780129|XP_039968344.1|BTRY	LOC108029767|XP_016957762.1|DBIA
OG0002032	LOC120772253|XP_039956690.1|BTRY, LOC120767993|XP_039950348.1|BTRY	LOC108027155|XP_016953873.1|DBIA
OG0002033	LOC120773383|XP_039958147.1|BTRY	LOC108025690|XP_016951713.1|DBIA
OG0002034	LOC120773477|XP_039958329.1|BTRY	LOC108023510|XP_016948542.1|DBIA
OG0002035	LOC120776579|XP_039963283.1|BTRY	LOC108032165|XP_016961507.1|DBIA
OG0002036	LOC120782530|XP_039970783.1|BTRY	LOC108031058|XP_016959748.1|DBIA
OG0002037	LOC120775610|XP_039961784.1|BTRY	LOC108035209|XP_016966208.1|DBIA
OG0002038	LOC120782344|XP_039970511.1|BTRY	LOC108032083|XP_016961396.1|DBIA
OG0002039	LOC120781402|XP_039969547.1|BTRY	LOC108036875|XP_016968740.1|DBIA
OG0002040	LOC120780294|XP_039968512.1|BTRY	LOC108030488|XP_016958859.1|DBIA
OG0002041	LOC120770828|XP_039954348.1|BTRY	LOC108029595|XP_016957456.1|DBIA
OG0002042	LOC120766180|XP_039947471.1|BTRY, LOC120776672|XP_039963483.1|BTRY	LOC108027364|XP_016954275.1|DBIA
OG0002043	LOC120782311|XP_039970461.1|BTRY	LOC108027390|XP_016954315.1|DBIA
OG0002044	LOC120767038|XP_039948817.1|BTRY	LOC108031005|XP_016959694.1|DBIA, LOC108031652|XP_016960772.1|DBIA
OG0002045	LOC120766980|XP_039948710.1|BTRY	LOC108032117|XP_016961439.1|DBIA
OG0002046	LOC120774522|XP_039960152.1|BTRY	LOC108024803|XP_016950414.1|DBIA, LOC108035755|XP_016966942.1|DBIA
OG0002048	LOC120766304|XP_039947653.1|BTRY	LOC108031157|XP_016959862.1|DBIA, LOC108031332|XP_016960073.1|DBIA
OG0002049	LOC120766463|XP_039947926.1|BTRY	LOC108024523|XP_016949967.1|DBIA
OG0002050	LOC120771772|XP_039955899.1|BTRY	LOC108026222|XP_016952534.1|DBIA
OG0002051	LOC120772938|XP_039957776.1|BTRY	LOC108022767|XP_016947362.1|DBIA
OG0002052	LOC120777173|XP_039964265.1|BTRY, LOC120777170|XP_039964260.1|BTRY	LOC108034415|XP_016964787.1|DBIA
OG0002053	LOC120782891|XP_039971374.1|BTRY	LOC108031812|XP_016961027.1|DBIA
OG0002054	LOC120766409|XP_039947794.1|BTRY	LOC108027218|XP_016954036.1|DBIA
OG0002055	LOC120767028|XP_039948808.1|BTRY	LOC108031828|XP_016961055.1|DBIA
OG0002056	LOC120776501|XP_039963129.1|BTRY	LOC108030569|XP_016958960.1|DBIA
OG0002057	LOC120769761|XP_039952858.1|BTRY	LOC108034187|XP_016964498.1|DBIA
OG0002058	LOC120782238|XP_039970339.1|BTRY	LOC108029949|XP_016957944.1|DBIA
OG0002059	LOC120767646|XP_039949754.1|BTRY	LOC108026272|XP_016952623.1|DBIA
OG0002060	LOC120770532|XP_039954018.1|BTRY	LOC108022881|XP_016947567.1|DBIA
OG0002061	LOC120770141|XP_039953262.1|BTRY	LOC108026884|XP_016953573.1|DBIA
OG0002062	LOC120774098|XP_039959381.1|BTRY	LOC108035785|XP_016967000.1|DBIA
OG0002063	LOC120773584|XP_039958505.1|BTRY	LOC108023240|XP_016948007.1|DBIA
OG0002064	LOC120774014|XP_039959228.1|BTRY	LOC108035465|XP_016966602.1|DBIA
OG0002065	LOC120776962|XP_039963987.1|BTRY	LOC108035060|XP_016965935.1|DBIA
OG0002066	LOC120782671|XP_039970987.1|BTRY	LOC108026130|XP_016952323.1|DBIA
OG0002067	LOC120772472|XP_039957045.1|BTRY	LOC108026967|XP_016953672.1|DBIA
OG0002068	LOC120770529|XP_039954012.1|BTRY	LOC108030377|XP_016958736.1|DBIA
OG0002069	LOC120774329|XP_039959813.1|BTRY	LOC108031619|XP_016960710.1|DBIA
OG0002070	LOC120766998|XP_039948742.1|BTRY	LOC108024855|XP_016950486.1|DBIA
OG0002071	LOC120767075|XP_039948871.1|BTRY	LOC108026131|XP_016952334.1|DBIA
OG0002072	LOC120772197|XP_039956596.1|BTRY	LOC108036536|XP_016968249.1|DBIA
OG0002074	LOC120770190|XP_039953355.1|BTRY	LOC108026911|XP_016953609.1|DBIA
OG0002075	LOC120778752|XP_039966662.1|BTRY	LOC108036769|XP_016968598.1|DBIA
OG0002076	LOC120772866|XP_039957631.1|BTRY	LOC108022782|XP_016947384.1|DBIA
OG0002077	LOC120772483|XP_039957062.1|BTRY	LOC108029177|XP_016956828.1|DBIA, LOC108029160|XP_016956793.1|DBIA
OG0002078	LOC120778306|XP_039966032.1|BTRY, LOC120771839|XP_039956016.1|BTRY, LOC120776529|XP_039963196.1|BTRY	LOC108029667|XP_016957584.1|DBIA
OG0002079	LOC120776434|XP_039963022.1|BTRY, LOC120776433|XP_039963021.1|BTRY, LOC120776436|XP_039963023.1|BTRY	LOC108028294|XP_016955502.1|DBIA
OG0002080	LOC120771729|XP_039955819.1|BTRY	LOC108022999|XP_016947719.1|DBIA
OG0002081	LOC120772038|XP_039956343.1|BTRY	LOC108026959|XP_016953663.1|DBIA
OG0002082	LOC120770293|XP_039953572.1|BTRY	LOC108036374|XP_016967963.1|DBIA
OG0002084	LOC120770021|XP_039953052.1|BTRY	LOC108023060|XP_016947796.1|DBIA
OG0002085	LOC120771018|XP_039954727.1|BTRY	LOC108026658|XP_016953185.1|DBIA
OG0002086	LOC120772116|XP_039956461.1|BTRY	LOC108022809|XP_016947432.1|DBIA
OG0002087	LOC120776621|XP_039963352.1|BTRY	LOC108028017|XP_016955138.1|DBIA
OG0002088	LOC120776500|XP_039963124.1|BTRY	LOC108028348|XP_016955589.1|DBIA
OG0002089	LOC120771504|XP_039955492.1|BTRY	LOC108029607|XP_016957475.1|DBIA
OG0002090	LOC120778458|XP_039966190.1|BTRY	LOC108028596|XP_016956000.1|DBIA
OG0002091	LOC120772034|XP_039956339.1|BTRY	LOC108026606|XP_016953068.1|DBIA
OG0002092	LOC120776973|XP_039964000.1|BTRY	LOC108035213|XP_016966217.1|DBIA
OG0002093	LOC120772955|XP_039957792.1|BTRY	LOC108022843|XP_016947504.1|DBIA
OG0002094	LOC120782021|XP_039970113.1|BTRY, LOC120772120|XP_039956465.1|BTRY	LOC108026593|XP_016953054.1|DBIA
OG0002095	LOC120773387|XP_039958155.1|BTRY	LOC108024093|XP_016949357.1|DBIA
OG0002097	LOC120771345|XP_039955226.1|BTRY	LOC108036327|XP_016967829.1|DBIA
OG0002098	LOC120778313|XP_039966040.1|BTRY	LOC108030845|XP_016959471.1|DBIA
OG0002099	LOC120782448|XP_039970668.1|BTRY	LOC108031104|XP_016959804.1|DBIA, LOC108032054|XP_016961359.1|DBIA
OG0002100	LOC120779044|XP_039967109.1|BTRY	LOC108030656|XP_016959164.1|DBIA
OG0002101	LOC120770414|XP_039953783.1|BTRY	LOC108029579|XP_016957430.1|DBIA
OG0002102	LOC120771001|XP_039954692.1|BTRY	LOC108029639|XP_016957531.1|DBIA
OG0002103	LOC120776466|XP_039963070.1|BTRY	LOC108022173|XP_016946511.1|DBIA, LOC108031937|XP_016961206.1|DBIA
OG0002106	LOC120778715|XP_039966612.1|BTRY, LOC120775314|XP_039961388.1|BTRY	LOC108031737|XP_016960916.1|DBIA
OG0002107	LOC120768573|XP_039951255.1|BTRY	LOC108033919|XP_016964079.1|DBIA
OG0002108	LOC120766185|XP_039947475.1|BTRY	LOC108024420|XP_016949826.1|DBIA
OG0002109	LOC120771385|XP_039955326.1|BTRY	LOC108025171|XP_016950937.1|DBIA
OG0002117	LOC120775672|XP_039961884.1|BTRY	LOC108026695|XP_016953272.1|DBIA
OG0002119	LOC120782169|XP_039970240.1|BTRY	LOC108026199|XP_016952480.1|DBIA
OG0002120	LOC120779722|XP_039968021.1|BTRY	LOC108036012|XP_016967414.1|DBIA
OG0002121	LOC120770229|XP_039953448.1|BTRY	LOC108026235|XP_016952559.1|DBIA
OG0002123	LOC120767337|XP_039949215.1|BTRY	LOC108033850|XP_016963974.1|DBIA
OG0002124	LOC120775759|XP_039962026.1|BTRY	LOC108035796|XP_016967027.1|DBIA
OG0002125	LOC120771596|XP_039955601.1|BTRY	LOC108030030|XP_016958074.1|DBIA
OG0002126	LOC120779102|XP_039967204.1|BTRY	LOC108028833|XP_016956310.1|DBIA
OG0002127	LOC120774307|XP_039959772.1|BTRY	LOC108023591|XP_016948683.1|DBIA
OG0002128	LOC120773874|XP_039958962.1|BTRY	LOC108035766|XP_016966958.1|DBIA
OG0002129	LOC120769003|XP_039951780.1|BTRY	LOC108031580|XP_016960634.1|DBIA
OG0002130	LOC120775666|XP_039961869.1|BTRY	LOC108023316|XP_016948108.1|DBIA
OG0002131	LOC120766285|XP_039947621.1|BTRY	LOC108025363|XP_016951315.1|DBIA
OG0002132	LOC120768065|XP_039950519.1|BTRY	LOC108034811|XP_016965348.1|DBIA
OG0002133	LOC120775535|XP_039961691.1|BTRY	LOC108030309|XP_016958634.1|DBIA, LOC108036294|XP_016967797.1|DBIA
OG0002134	LOC120774399|XP_039959952.1|BTRY	LOC108023559|XP_016948635.1|DBIA
OG0002135	LOC120774092|XP_039959360.1|BTRY, LOC120776012|XP_039962389.1|BTRY	LOC108023951|XP_016949132.1|DBIA
OG0002136	LOC120781308|XP_039969442.1|BTRY	LOC108025326|XP_016951241.1|DBIA
OG0002137	LOC120773714|XP_039958693.1|BTRY	LOC108026146|XP_016952366.1|DBIA
OG0002138	LOC120774425|XP_039959993.1|BTRY	LOC108023692|XP_016948805.1|DBIA
OG0002139	LOC120774492|XP_039960097.1|BTRY	LOC108033054|XP_016962670.1|DBIA
OG0002140	LOC120775870|XP_039962174.1|BTRY	LOC108023214|XP_016947973.1|DBIA
OG0002141	LOC120780589|XP_039968783.1|BTRY	LOC108024077|XP_016949341.1|DBIA
OG0002142	LOC120780614|XP_039968812.1|BTRY	LOC108024995|XP_016950740.1|DBIA
OG0002143	LOC120768579|XP_039951269.1|BTRY	LOC108027786|XP_016954842.1|DBIA
OG0002144	LOC120779093|XP_039967190.1|BTRY	LOC108036687|XP_016968468.1|DBIA, LOC108033014|XP_016962633.1|DBIA
OG0002145	LOC120779008|XP_039967065.1|BTRY	LOC108031903|XP_016961159.1|DBIA
OG0002146	LOC120777451|XP_039964709.1|BTRY	LOC108024962|XP_016950689.1|DBIA
OG0002147	LOC120775231|XP_039961238.1|BTRY	LOC108025764|XP_016951847.1|DBIA
OG0002148	LOC120776565|XP_039963261.1|BTRY, LOC120776564|XP_039963260.1|BTRY	LOC108034563|XP_016964981.1|DBIA
OG0002149	LOC120779909|XP_039968188.1|BTRY	LOC108036005|XP_016967390.1|DBIA
OG0002150	LOC120774658|XP_039960320.1|BTRY	LOC108026580|XP_016953026.1|DBIA
OG0002151	LOC120774426|XP_039959994.1|BTRY	LOC108033385|XP_016963193.1|DBIA
OG0002152	LOC120768670|XP_039951389.1|BTRY	LOC108025125|XP_016950885.1|DBIA
OG0002153	LOC120779000|XP_039967040.1|BTRY	LOC108026066|XP_016952250.1|DBIA
OG0002154	LOC120774004|XP_039959214.1|BTRY	LOC108023601|XP_016948698.1|DBIA
OG0002155	LOC120782501|XP_039970742.1|BTRY	LOC108025109|XP_016950863.1|DBIA
OG0002156	LOC120777357|XP_039964559.1|BTRY	LOC108030806|XP_016959390.1|DBIA
OG0002157	LOC120782568|XP_039970840.1|BTRY	LOC108024344|XP_016949738.1|DBIA
OG0002158	LOC120770530|XP_039954015.1|BTRY	LOC108030378|XP_016958737.1|DBIA
OG0002159	LOC120778695|XP_039966587.1|BTRY	LOC108022600|XP_016947123.1|DBIA
OG0002161	LOC120778165|XP_039965837.1|BTRY	LOC108031804|XP_016961013.1|DBIA
OG0002162	LOC120769743|XP_039952873.1|BTRY, LOC120777117|XP_039964189.1|BTRY	LOC108024705|XP_016950278.1|DBIA
OG0002163	LOC120775200|XP_039961197.1|BTRY	LOC108036566|XP_016968306.1|DBIA
OG0002164	LOC120777436|XP_039964677.1|BTRY	LOC108026438|XP_016952864.1|DBIA
OG0002165	LOC120777673|XP_039965076.1|BTRY	LOC108033622|XP_016963484.1|DBIA
OG0002166	LOC120769440|XP_039952357.1|BTRY	LOC108036799|XP_016968635.1|DBIA
OG0002167	LOC120771298|XP_039955167.1|BTRY, LOC120780128|XP_039968343.1|BTRY	LOC108030451|XP_016958832.1|DBIA
OG0002168	LOC120774016|XP_039959233.1|BTRY	LOC108026917|XP_016953617.1|DBIA
OG0002169	LOC120776572|XP_039963269.1|BTRY	LOC108035317|XP_016966379.1|DBIA
OG0002170	LOC120779906|XP_039968187.1|BTRY	LOC108024903|XP_016950557.1|DBIA
OG0002171	LOC120782875|XP_039971355.1|BTRY	LOC108026205|XP_016952496.1|DBIA
OG0002172	LOC120782385|XP_039970562.1|BTRY	LOC108032234|XP_016961585.1|DBIA
OG0002173	LOC120769489|XP_039952453.1|BTRY	LOC108033327|XP_016963101.1|DBIA
OG0002174	LOC120766345|XP_039947706.1|BTRY	LOC108024757|XP_016950355.1|DBIA
OG0002175	LOC120766346|XP_039947707.1|BTRY	LOC108024758|XP_016950356.1|DBIA
OG0002176	LOC120777817|XP_039965291.1|BTRY	LOC108032126|XP_016961447.1|DBIA
OG0002177	LOC120782633|XP_039970935.1|BTRY	LOC108023355|XP_016948207.1|DBIA
OG0002178	LOC120776177|XP_039962728.1|BTRY	LOC108025240|XP_016951075.1|DBIA
OG0002179	LOC120780756|XP_039968945.1|BTRY	LOC108026414|XP_016952831.1|DBIA
OG0002180	LOC120782301|XP_039970445.1|BTRY	LOC108025207|XP_016951029.1|DBIA
OG0002181	LOC120775451|XP_039961571.1|BTRY	LOC108023675|XP_016948785.1|DBIA
OG0002182	LOC120767932|XP_039950230.1|BTRY	LOC108031489|XP_016960466.1|DBIA
OG0002183	LOC120771506|XP_039955493.1|BTRY	LOC108036244|XP_016967741.1|DBIA
OG0002184	LOC120772371|XP_039956882.1|BTRY	LOC108031751|XP_016960944.1|DBIA
OG0002185	LOC120774548|XP_039960216.1|BTRY	LOC108023846|XP_016948980.1|DBIA, LOC108026323|XP_016952702.1|DBIA
OG0002186	LOC120782727|XP_039971089.1|BTRY	LOC108023829|XP_016948965.1|DBIA
OG0002187	LOC120776616|XP_039963345.1|BTRY	LOC108032093|XP_016961408.1|DBIA
OG0002188	LOC120772246|XP_039956676.1|BTRY, LOC120780043|XP_039968250.1|BTRY	LOC108026653|XP_016953180.1|DBIA
OG0002189	LOC120780476|XP_039968686.1|BTRY	LOC108022847|XP_016947550.1|DBIA
