Orthogroup	BTRY.longest_only	DSIM.longest_only
OG0000449	LOC120776397|XP_039962951.1|BTRY	LOC6738491|XP_016032337.1|DSIM
OG0000449	LOC120767465|XP_039949487.1|BTRY	LOC27206496|XP_016025567.1|DSIM
OG0000450	LOC120774365|XP_039959889.1|BTRY	LOC6725615|XP_039153373.1|DSIM
OG0000450	LOC120774824|XP_039960565.1|BTRY	LOC6726282|XP_016039800.1|DSIM
OG0000451	LOC120775737|XP_039961988.1|BTRY	LOC27207003|XP_016037668.2|DSIM
OG0000451	LOC120775735|XP_039961987.1|BTRY, LOC120775418|XP_039961530.1|BTRY	LOC27207524|XP_016037663.1|DSIM
OG0000453	LOC120766550|XP_039948067.1|BTRY	LOC6728163|XP_002103513.1|DSIM
OG0000453	LOC120782890|XP_039971372.1|BTRY	LOC6728164|XP_016034771.1|DSIM
OG0000454	LOC120771593|XP_039955599.1|BTRY, LOC120771036|XP_039954758.1|BTRY	LOC6726913|XP_002102315.2|DSIM, LOC6736394|XP_002083266.1|DSIM
OG0000455	LOC120771949|XP_039956193.1|BTRY	LOC6734192|XP_016027223.1|DSIM, LOC6734191|XP_002081220.3|DSIM
OG0000456	LOC120779448|XP_039967629.1|BTRY	LOC6724709|XP_016037468.1|DSIM
OG0000456	LOC120768512|XP_039951171.1|BTRY	LOC6732311|XP_039147151.1|DSIM
OG0000457	LOC120781641|XP_039969806.1|BTRY	LOC6731599|XP_016024274.1|DSIM
OG0000457	LOC120768879|XP_039951566.1|BTRY	LOC6731206|XP_016023750.1|DSIM
OG0000458	LOC120768030|XP_039950444.1|BTRY	LOC6732128|XP_016024795.1|DSIM
OG0000460	LOC120768381|XP_039950981.1|BTRY	LOC6730581|XP_002077760.1|DSIM
OG0000462	LOC120766648|XP_039948245.1|BTRY	LOC6727464|XP_002102844.1|DSIM, LOC6727463|XP_016034059.1|DSIM, LOC6727462|XP_002102842.1|DSIM
OG0000463	LOC120772993|XP_039957840.1|BTRY	LOC6739765|XP_002076658.2|DSIM, LOC6726612|XP_002107561.2|DSIM, LOC27208749|XP_016035888.1|DSIM
OG0000465	LOC120780110|XP_039968359.1|BTRY	LOC6729455|XP_039151173.1|DSIM
OG0000465	LOC120772118|XP_039956467.1|BTRY	LOC6729454|XP_016036128.1|DSIM
OG0000466	LOC120773729|XP_039958719.1|BTRY	LOC6725675|XP_039152393.1|DSIM
OG0000466	LOC120768513|XP_039951175.1|BTRY	LOC27206536|XP_016022876.1|DSIM
OG0000467	LOC120772136|XP_039956488.1|BTRY	LOC6733345|XP_039148295.1|DSIM
OG0000467	LOC120772332|XP_039956808.1|BTRY	LOC6733330|XP_016026243.2|DSIM
OG0000468	LOC120766448|XP_039947890.1|BTRY	LOC6730365|XP_016037139.1|DSIM
OG0000468	LOC120772763|XP_039957470.1|BTRY	LOC27206161|XP_016027062.1|DSIM
OG0000469	LOC120767613|XP_039949700.1|BTRY	LOC6732078|XP_039146920.1|DSIM
OG0000470	LOC120778542|XP_039966325.1|BTRY	LOC6739070|XP_039150244.1|DSIM
OG0000470	LOC120782030|XP_039970120.1|BTRY	LOC6738890|XP_016032712.2|DSIM
OG0000471	LOC120767631|XP_039949725.1|BTRY, LOC120769192|XP_039952020.1|BTRY	LOC6739603|XP_002076499.2|DSIM, LOC6730706|XP_002077876.2|DSIM
OG0000473	LOC120775766|XP_039962033.1|BTRY	LOC6725517|XP_002106530.1|DSIM
OG0000473	LOC120775662|XP_039961864.1|BTRY	LOC27207893|XP_016037795.1|DSIM
OG0000474	LOC120775186|XP_039961175.1|BTRY	LOC6726201|XP_002107176.1|DSIM, LOC6737659|XP_016031424.1|DSIM
OG0000475	LOC120767162|XP_039948919.1|BTRY	LOC6729081|XP_016035728.1|DSIM
OG0000475	LOC120770612|XP_039954148.1|BTRY	LOC6729082|XP_002104403.2|DSIM
OG0000476	LOC120766557|XP_039948077.1|BTRY	LOC6728789|XP_002104124.1|DSIM
OG0000476	LOC120770518|XP_039953995.1|BTRY	LOC6728788|XP_016035478.1|DSIM
OG0000477	LOC120775069|XP_039960995.1|BTRY	LOC6728990|XP_002104312.2|DSIM
OG0000477	LOC120782442|XP_039970662.1|BTRY, LOC120774017|XP_039959237.1|BTRY, LOC120774008|XP_039959225.1|BTRY	LOC6728989|XP_002104311.1|DSIM
OG0000478	LOC120772691|XP_039957364.1|BTRY, LOC120773038|XP_039957901.1|BTRY	LOC6740109|XP_002076994.1|DSIM, LOC6729726|XP_002105032.1|DSIM
OG0000479	LOC120782720|XP_039971077.1|BTRY, LOC120779825|XP_039968130.1|BTRY, LOC120766753|XP_039948360.1|BTRY	LOC6728810|XP_002104144.1|DSIM, LOC6728811|XP_002104145.1|DSIM
OG0000480	LOC120768928|XP_039951642.1|BTRY	LOC6730757|XP_016023173.1|DSIM, LOC6730755|XP_002077923.2|DSIM
OG0000481	LOC120779715|XP_039968014.1|BTRY	LOC120284939|XP_039150472.1|DSIM, LOC120285016|XP_039151105.1|DSIM, LOC120284845|XP_039150315.1|DSIM
OG0000482	LOC120766731|XP_039948318.1|BTRY	LOC6728411|XP_002103758.1|DSIM
OG0000483	LOC120766986|XP_039948724.1|BTRY	LOC6729405|XP_002104720.1|DSIM, LOC27206920|XP_016036051.1|DSIM
OG0000484	LOC120766420|XP_039947886.1|BTRY	LOC6727458|XP_039151565.1|DSIM
OG0000484	LOC120766487|XP_039948012.1|BTRY	LOC6727460|XP_016034056.1|DSIM
OG0000485	LOC120777647|XP_039965033.1|BTRY	LOC6738562|XP_016032422.1|DSIM
OG0000486	LOC120771363|XP_039955254.1|BTRY, LOC120772509|XP_039957088.1|BTRY	LOC6735909|XP_016029260.1|DSIM, LOC6735907|XP_016029258.1|DSIM
OG0000487	LOC120771254|XP_039955105.1|BTRY	LOC27209334|XP_016027590.1|DSIM
OG0000487	LOC120770707|XP_039954222.1|BTRY, LOC120771626|XP_039955650.1|BTRY, LOC120772506|XP_039957085.1|BTRY	LOC27209106|XP_016027589.1|DSIM
OG0000489	LOC120766213|XP_039947516.1|BTRY	LOC27206627|XP_016037155.1|DSIM
OG0000489	LOC120769711|XP_039952787.1|BTRY	LOC6740080|XP_016038891.1|DSIM
OG0000490	LOC120775304|XP_039961372.1|BTRY	LOC6725028|XP_016037976.1|DSIM
OG0000490	LOC120776015|XP_039962394.1|BTRY	LOC6726609|XP_039152566.1|DSIM
OG0000491	LOC120772631|XP_039957287.1|BTRY	LOC6734068|XP_002081103.1|DSIM, LOC6734069|XP_002081104.1|DSIM
OG0000492	LOC120772323|XP_039956787.1|BTRY	LOC6733706|XP_016026674.1|DSIM
OG0000492	LOC120774473|XP_039960063.1|BTRY	LOC6732477|XP_002079597.1|DSIM
OG0000493	LOC120768974|XP_039951710.1|BTRY	LOC6729918|XP_002105220.1|DSIM, LOC6729917|XP_002105219.1|DSIM
OG0000494	LOC120769283|XP_039952138.1|BTRY	LOC6732394|XP_016025045.1|DSIM
OG0000495	LOC120770491|XP_039953940.1|BTRY, LOC120772615|XP_039957263.1|BTRY	LOC6725339|XP_002106356.2|DSIM
OG0000495	LOC120770492|XP_039953943.1|BTRY	LOC6734661|XP_016027852.1|DSIM
OG0000496	LOC120768068|XP_039950524.1|BTRY	LOC6731116|XP_016023655.1|DSIM
OG0000497	LOC120768950|XP_039951670.1|BTRY	LOC6731319|XP_016023891.1|DSIM
OG0000497	LOC120769545|XP_039952523.1|BTRY	LOC6731320|XP_039147220.1|DSIM
OG0000498	LOC120782315|XP_039970465.1|BTRY	LOC6729410|XP_039151136.1|DSIM
OG0000498	LOC120768227|XP_039950745.1|BTRY	LOC27208577|XP_016036059.1|DSIM
OG0000499	LOC120774341|XP_039959837.1|BTRY	LOC6734630|XP_002081638.2|DSIM
OG0000499	LOC120766275|XP_039947611.1|BTRY	LOC27207475|XP_016037878.1|DSIM
OG0000500	LOC120778821|XP_039966760.1|BTRY	LOC6738567|XP_002085372.1|DSIM
OG0000500	LOC120778259|XP_039965970.1|BTRY	LOC6738565|XP_016032423.1|DSIM
OG0000501	LOC120771118|XP_039954902.1|BTRY	LOC6733533|XP_016026497.1|DSIM, LOC6739351|XP_002076257.1|DSIM, LOC6731666|XP_002078806.1|DSIM
OG0000504	LOC120776440|XP_039963029.1|BTRY, LOC120776441|XP_039963032.1|BTRY, LOC120778621|XP_039966438.1|BTRY, LOC120776645|XP_039963412.1|BTRY, LOC120777904|XP_039965419.1|BTRY	LOC6738379|XP_002085188.2|DSIM
OG0000505	LOC120775324|XP_039961397.1|BTRY	LOC6724999|XP_016037951.1|DSIM
OG0000505	LOC120774415|XP_039959976.1|BTRY	LOC6724994|XP_039154067.1|DSIM
OG0000506	LOC120766859|XP_039948522.1|BTRY	LOC6729559|XP_002104867.1|DSIM
OG0000506	LOC120782649|XP_039970957.1|BTRY	LOC6729560|XP_016036228.1|DSIM
OG0000507	LOC120773974|XP_039959153.1|BTRY	LOC6725622|XP_016038817.1|DSIM
OG0000507	LOC120773975|XP_039959154.1|BTRY	LOC6725623|XP_016038818.1|DSIM
OG0000508	LOC120776949|XP_039963970.1|BTRY	LOC6736335|XP_016029810.2|DSIM, LOC6736194|XP_016029625.1|DSIM
OG0000509	LOC120772985|XP_039957831.1|BTRY	LOC6734784|XP_016027983.1|DSIM
OG0000509	LOC120772083|XP_039956414.1|BTRY	LOC6734768|XP_039148831.1|DSIM
OG0000510	LOC120772271|XP_039956709.1|BTRY	LOC6734438|XP_002081458.1|DSIM
OG0000511	LOC120769370|XP_039952267.1|BTRY	LOC6732558|XP_002079677.1|DSIM
OG0000511	LOC120769224|XP_039952054.1|BTRY	LOC6732559|XP_016025241.1|DSIM
OG0000512	LOC120768852|XP_039951539.1|BTRY	LOC6731946|XP_002079081.1|DSIM
OG0000512	LOC120767602|XP_039949686.1|BTRY	LOC6737709|XP_002084541.2|DSIM
OG0000513	LOC120769179|XP_039951999.1|BTRY	LOC6739277|XP_016026129.1|DSIM
OG0000513	LOC120768966|XP_039951693.1|BTRY	LOC6732762|XP_002079875.1|DSIM
OG0000514	LOC120769684|XP_039952740.1|BTRY	LOC6732113|XP_016024784.1|DSIM
OG0000514	LOC120769689|XP_039952749.1|BTRY	LOC6732109|XP_016024780.2|DSIM
OG0000515	LOC120779487|XP_039967707.1|BTRY, LOC120779596|XP_039967875.1|BTRY	LOC6724738|XP_016037401.2|DSIM
OG0000515	LOC120782348|XP_039970514.1|BTRY	LOC27207145|XP_016032111.1|DSIM
OG0000516	LOC120774305|XP_039959770.1|BTRY, LOC120774648|XP_039960307.1|BTRY	LOC6740132|XP_016039324.1|DSIM, LOC6725967|XP_002106950.1|DSIM
OG0000517	LOC120777075|XP_039964137.1|BTRY, LOC120777077|XP_039964140.1|BTRY	LOC6738221|XP_002085033.1|DSIM, LOC6738222|XP_002085034.1|DSIM
OG0000518	LOC120770868|XP_039954424.1|BTRY	LOC6737253|XP_002084093.1|DSIM
OG0000521	LOC120775638|XP_039961825.1|BTRY	LOC6726375|XP_002107334.2|DSIM, LOC6726369|XP_016022763.1|DSIM
OG0000522	LOC120774539|XP_039960199.1|BTRY	LOC6727077|XP_002102474.1|DSIM, LOC6726119|XP_016039610.1|DSIM
OG0000523	LOC120780298|XP_039968523.1|BTRY	LOC6729532|XP_016036205.1|DSIM
OG0000523	LOC120774979|XP_039960814.1|BTRY	LOC6739891|XP_016040228.1|DSIM
OG0000524	LOC120769532|XP_039952508.1|BTRY	LOC6729150|XP_002104471.1|DSIM, LOC6728643|XP_016035272.2|DSIM
OG0000525	LOC120770398|XP_039953764.1|BTRY, LOC120770397|XP_039953762.1|BTRY, LOC120770400|XP_039953768.1|BTRY, LOC120771845|XP_039956021.1|BTRY	LOC6733674|XP_016026647.1|DSIM, LOC6733673|XP_002080720.2|DSIM
OG0000526	LOC120780162|XP_039968375.1|BTRY	LOC6732852|XP_002079962.1|DSIM, LOC6735353|XP_002082300.1|DSIM
OG0000527	LOC120767406|XP_039949378.1|BTRY	LOC6730936|XP_016023386.1|DSIM
OG0000528	LOC120767683|XP_039949807.1|BTRY	LOC6730848|XP_002078012.1|DSIM
OG0000529	LOC120767635|XP_039949736.1|BTRY	LOC6730711|XP_002077881.1|DSIM
OG0000530	LOC120776537|XP_039963209.1|BTRY	LOC6737598|XP_016031381.2|DSIM
OG0000530	LOC120778816|XP_039966756.1|BTRY	LOC6736444|XP_002083315.1|DSIM
OG0000531	LOC120767638|XP_039949739.1|BTRY	LOC6739542|XP_016025848.1|DSIM, LOC6732663|XP_002079780.1|DSIM
OG0000532	LOC120766923|XP_039948602.1|BTRY	LOC6727358|XP_002102743.2|DSIM, LOC27208740|XP_016033896.2|DSIM
OG0000533	LOC120775711|XP_039961956.1|BTRY	LOC27206330|XP_016040259.1|DSIM
OG0000533	LOC120776600|XP_039963320.1|BTRY	LOC6728910|XP_002104240.1|DSIM
OG0000534	LOC120774093|XP_039959362.1|BTRY	LOC6725839|XP_016039160.1|DSIM, LOC6732376|XP_016025030.1|DSIM
OG0000535	LOC120771683|XP_039955748.1|BTRY	LOC6733869|XP_016026891.1|DSIM, LOC6733513|XP_002080568.1|DSIM
OG0000536	LOC120778760|XP_039966672.1|BTRY	LOC6736884|XP_039150033.1|DSIM
OG0000537	LOC120772240|XP_039956668.1|BTRY	LOC6739283|XP_016026253.1|DSIM
OG0000538	LOC120771082|XP_039954840.1|BTRY	LOC27207969|XP_016028250.1|DSIM
OG0000538	LOC120769984|XP_039952994.1|BTRY	LOC27206155|XP_016026571.1|DSIM
OG0000539	LOC120782873|XP_039971349.1|BTRY	LOC6729697|XP_002105003.1|DSIM
OG0000539	LOC120766319|XP_039947675.1|BTRY	LOC6729698|XP_002105004.1|DSIM
OG0000540	LOC120769539|XP_039952518.1|BTRY, LOC120768273|XP_039950807.1|BTRY	LOC27206844|XP_016025692.1|DSIM, LOC6733012|XP_002080091.1|DSIM
OG0000542	LOC120770999|XP_039954690.1|BTRY	LOC6729614|XP_016036256.1|DSIM
OG0000542	LOC120768572|XP_039951254.1|BTRY	LOC27209038|XP_016037300.1|DSIM
OG0000543	LOC120775741|XP_039962000.1|BTRY	LOC6729227|XP_016035879.1|DSIM
OG0000543	LOC120781210|XP_039969264.1|BTRY	LOC6739313|XP_016026414.1|DSIM
OG0000544	LOC120778784|XP_039966705.1|BTRY	LOC6737052|XP_002083899.1|DSIM
OG0000544	LOC120782819|XP_039971267.1|BTRY	LOC6727141|XP_016033622.1|DSIM
OG0000545	LOC120779132|XP_039967273.1|BTRY	LOC6727725|XP_016034301.1|DSIM
OG0000545	LOC120777855|XP_039965332.1|BTRY	LOC6727721|XP_016034296.1|DSIM
OG0000546	LOC120774190|XP_039959553.1|BTRY	LOC6728042|XP_002103394.1|DSIM, LOC27208712|XP_016022700.1|DSIM
OG0000547	LOC120775742|XP_039962001.1|BTRY	LOC6740073|XP_016038882.1|DSIM, LOC6738141|XP_002084954.1|DSIM, LOC6730714|XP_002077884.2|DSIM
OG0000548	LOC120778152|XP_039965809.1|BTRY	LOC6738972|XP_002085767.2|DSIM, LOC6738971|XP_016032799.2|DSIM
OG0000549	LOC120770506|XP_039953967.1|BTRY	LOC6735914|XP_016029271.1|DSIM
OG0000550	LOC120777862|XP_039965345.1|BTRY	LOC6736212|XP_016029656.1|DSIM
OG0000550	LOC120777763|XP_039965201.1|BTRY	LOC27206957|XP_016029658.2|DSIM
OG0000551	LOC120770108|XP_039953211.1|BTRY, LOC120770115|XP_039953222.1|BTRY	LOC6734679|XP_039147993.1|DSIM
OG0000552	LOC120766712|XP_039948292.1|BTRY	LOC6730180|XP_002105471.1|DSIM, LOC6730179|XP_002105470.1|DSIM
OG0000553	LOC120768198|XP_039950704.1|BTRY, LOC120768197|XP_039950702.1|BTRY, LOC120769626|XP_039952665.1|BTRY	LOC6731672|XP_002078812.1|DSIM
OG0000554	LOC120775942|XP_039962289.1|BTRY	LOC6729254|XP_002104574.2|DSIM, LOC6729255|XP_002104575.1|DSIM
OG0000555	LOC120777453|XP_039964706.1|BTRY	LOC6739592|XP_002076488.1|DSIM, LOC6736611|XP_039149447.1|DSIM
OG0000556	LOC120766962|XP_039948685.1|BTRY	LOC6726221|XP_002107196.1|DSIM, LOC6727909|XP_002103264.1|DSIM
OG0000557	LOC120766756|XP_039948364.1|BTRY	LOC6728408|XP_002103755.1|DSIM
OG0000557	LOC120782350|XP_039970516.1|BTRY	LOC6728409|XP_016035005.2|DSIM
OG0000558	LOC120776305|XP_039962785.1|BTRY, LOC120776489|XP_039963107.1|BTRY	LOC6727893|XP_016034500.1|DSIM, LOC6725385|XP_002106402.1|DSIM
OG0000559	LOC120782203|XP_039970326.1|BTRY	LOC6728670|XP_016035331.1|DSIM
OG0000559	LOC120778831|XP_039966776.1|BTRY, LOC120778424|XP_039966141.1|BTRY	LOC6738133|XP_002084946.1|DSIM
OG0000560	LOC120771404|XP_039955313.1|BTRY	LOC6733368|XP_016026282.1|DSIM, LOC6733366|XP_002080423.1|DSIM
OG0000561	LOC120778148|XP_039965805.1|BTRY	LOC6737822|XP_016031601.1|DSIM
OG0000561	LOC120778579|XP_039966376.1|BTRY	LOC6737818|XP_002084646.1|DSIM
OG0000562	LOC120776985|XP_039964018.1|BTRY	LOC6737667|XP_002084499.1|DSIM
OG0000562	LOC120776671|XP_039963479.1|BTRY	LOC6737647|XP_002084479.2|DSIM
OG0000564	LOC120778345|XP_039966069.1|BTRY	LOC6738979|XP_002085774.1|DSIM
OG0000564	LOC120777865|XP_039965351.1|BTRY	LOC6738981|XP_002085776.1|DSIM
OG0000566	LOC120780611|XP_039968803.1|BTRY	LOC6727770|XP_016034346.1|DSIM
OG0000566	LOC120778897|XP_039966879.1|BTRY	LOC6736525|XP_016030112.1|DSIM
OG0000567	LOC120775696|XP_039961941.1|BTRY	LOC6725239|XP_002106261.1|DSIM
OG0000567	LOC120774482|XP_039960077.1|BTRY	LOC6725240|XP_039152456.1|DSIM
OG0000568	LOC120782259|XP_039970358.1|BTRY	LOC6725021|XP_016037973.1|DSIM, LOC6726684|XP_016033176.1|DSIM
OG0000569	LOC120782617|XP_039970920.1|BTRY	LOC27209076|XP_016035400.1|DSIM
OG0000569	LOC120780914|XP_039969079.1|BTRY	LOC27207615|XP_039150133.1|DSIM
OG0000570	LOC120782352|XP_039970518.1|BTRY	LOC6729379|XP_002104694.2|DSIM
OG0000570	LOC120781684|XP_039969839.1|BTRY	LOC27206481|XP_016036022.1|DSIM
OG0000571	LOC120776321|XP_039962789.1|BTRY	LOC6729914|XP_016036675.2|DSIM
OG0000571	LOC120782759|XP_039971147.1|BTRY	LOC6729912|XP_016036669.1|DSIM
OG0000572	LOC120766363|XP_039947727.1|BTRY	LOC6728301|XP_002103650.1|DSIM
OG0000572	LOC120766624|XP_039948170.1|BTRY	LOC6728303|XP_016034939.1|DSIM
OG0000573	LOC120777513|XP_039964812.1|BTRY, LOC120777517|XP_039964820.1|BTRY	LOC6736499|XP_002083369.1|DSIM, LOC6735923|XP_002082833.1|DSIM
OG0000574	LOC120776636|XP_039963388.1|BTRY	LOC6727371|XP_002102756.2|DSIM
OG0000575	LOC120777122|XP_039964199.1|BTRY	LOC6737849|XP_002084677.1|DSIM
OG0000575	LOC120778944|XP_039966939.1|BTRY, LOC120778817|XP_039966757.1|BTRY	LOC6737848|XP_039149267.1|DSIM
OG0000577	LOC120769242|XP_039952076.1|BTRY	LOC6732722|XP_039147006.1|DSIM, LOC6732723|XP_039147004.1|DSIM
OG0000578	LOC120768542|XP_039951215.1|BTRY	LOC6731846|XP_016024528.1|DSIM
OG0000578	LOC120777900|XP_039965413.1|BTRY, LOC120769124|XP_039951920.1|BTRY	LOC6735803|XP_016029187.1|DSIM
OG0000579	LOC120771467|XP_039955413.1|BTRY	LOC27206467|XP_016034754.1|DSIM
OG0000579	LOC120778504|XP_039966267.1|BTRY	LOC6737900|XP_002084728.1|DSIM
OG0000580	LOC120766709|XP_039948290.1|BTRY, LOC120782512|XP_039970754.1|BTRY	LOC6728593|XP_002103934.1|DSIM, LOC6728592|XP_039150433.1|DSIM
OG0000581	LOC120766216|XP_039947533.1|BTRY	LOC6727246|XP_016033748.1|DSIM
OG0000581	LOC120774791|XP_039960506.1|BTRY	LOC6726136|XP_016039660.1|DSIM
OG0000582	LOC120772613|XP_039957261.1|BTRY	LOC6737738|XP_016031517.1|DSIM
OG0000582	LOC120770442|XP_039953845.1|BTRY	LOC6735252|XP_016028577.1|DSIM
OG0000583	LOC120772305|XP_039956751.1|BTRY	LOC6735863|XP_016029228.1|DSIM
OG0000584	LOC120773787|XP_039958812.1|BTRY	LOC6731596|XP_002078737.1|DSIM, LOC6731595|XP_002078736.1|DSIM
OG0000589	LOC120775967|XP_039962317.1|BTRY	LOC27206814|XP_039153177.1|DSIM
OG0000590	LOC120774336|XP_039959829.1|BTRY	LOC6729203|XP_002104524.2|DSIM
OG0000592	LOC120772914|XP_039957748.1|BTRY	LOC6733436|XP_002080493.2|DSIM, LOC6734479|XP_016027606.1|DSIM
OG0000593	LOC120774484|XP_039960081.1|BTRY	LOC6730057|XP_002105350.1|DSIM, LOC6726097|XP_016039566.1|DSIM
OG0000594	LOC120776937|XP_039963952.1|BTRY, LOC120776957|XP_039963985.1|BTRY	LOC27209439|XP_016036787.1|DSIM, LOC6728405|XP_002103752.2|DSIM
OG0000595	LOC120778985|XP_039967021.1|BTRY	LOC6728196|XP_016034835.2|DSIM
OG0000595	LOC120773103|XP_039958013.1|BTRY	LOC27208518|XP_039151611.1|DSIM
OG0000596	LOC120775092|XP_039961027.1|BTRY	LOC6724830|XP_016037613.1|DSIM
OG0000596	LOC120778360|XP_039966084.1|BTRY	LOC6728617|XP_016035255.1|DSIM
OG0000597	LOC120766973|XP_039948698.1|BTRY	LOC6729484|XP_016036156.1|DSIM
OG0000598	LOC120766839|XP_039948484.1|BTRY, LOC120766841|XP_039948485.1|BTRY	LOC6728292|XP_002103641.1|DSIM
OG0000600	LOC120771549|XP_039955542.1|BTRY	LOC6734249|XP_002081278.1|DSIM
OG0000601	LOC120769303|XP_039952170.1|BTRY	LOC6731309|XP_002078465.1|DSIM, LOC6730768|XP_002077936.2|DSIM
OG0000602	LOC120768420|XP_039951035.1|BTRY	LOC6732174|XP_002079305.1|DSIM
OG0000602	LOC120769465|XP_039952411.1|BTRY	LOC6732175|XP_002079306.1|DSIM
OG0000603	LOC120769731|XP_039952813.1|BTRY	LOC6727726|XP_016034303.1|DSIM, LOC6730661|XP_039154427.1|DSIM, LOC6731453|XP_016024107.1|DSIM
OG0000604	LOC120768047|XP_039950490.1|BTRY	LOC6730767|XP_002077935.1|DSIM
OG0000604	LOC120768046|XP_039950487.1|BTRY	LOC6730766|XP_002077934.1|DSIM
OG0000605	LOC120769679|XP_039952733.1|BTRY, LOC120768195|XP_039950700.1|BTRY	LOC6733033|XP_002080112.1|DSIM
OG0000606	LOC120776032|XP_039962410.1|BTRY	LOC6729172|XP_002104493.2|DSIM
OG0000607	LOC120775170|XP_039961159.1|BTRY	LOC6727755|XP_002103117.1|DSIM, LOC27207966|XP_016033737.1|DSIM
OG0000608	LOC120771362|XP_039955252.1|BTRY	LOC6729735|XP_016036395.1|DSIM
OG0000609	LOC120774369|XP_039959897.1|BTRY	LOC27206538|XP_016023012.1|DSIM
OG0000610	LOC120776826|XP_039963780.1|BTRY	LOC6738612|XP_016032454.1|DSIM, LOC6735620|XP_002082540.1|DSIM
OG0000611	LOC120771420|XP_039955336.1|BTRY	LOC6735484|XP_016028822.1|DSIM, LOC6734765|XP_002081768.1|DSIM
OG0000614	LOC120776006|XP_039962372.1|BTRY	LOC6739882|XP_039153006.1|DSIM
OG0000615	LOC120766300|XP_039947638.1|BTRY	LOC6726360|XP_039152975.1|DSIM, LOC27209315|XP_039150606.1|DSIM
OG0000616	LOC120775714|XP_039961960.1|BTRY, LOC120775702|XP_039961947.1|BTRY, LOC120775470|XP_039961596.1|BTRY, LOC120775611|XP_039961785.1|BTRY	LOC6726352|XP_016039930.1|DSIM, LOC6740199|XP_016039931.1|DSIM
OG0000617	LOC120766658|XP_039948225.1|BTRY	LOC6729864|XP_039151242.1|DSIM
OG0000617	LOC120766225|XP_039947535.1|BTRY	LOC6728352|XP_016034977.1|DSIM
OG0000618	LOC120774191|XP_039959558.1|BTRY	LOC6729022|XP_016035683.1|DSIM
OG0000619	LOC120770241|XP_039953473.1|BTRY	LOC6735167|XP_002082142.1|DSIM
OG0000620	LOC120770404|XP_039953772.1|BTRY	LOC6726489|XP_002107446.1|DSIM
OG0000621	LOC120775491|XP_039961630.1|BTRY	LOC6727345|XP_002102730.1|DSIM, LOC6739959|XP_016037887.1|DSIM
OG0000622	LOC120778660|XP_039966517.1|BTRY	LOC6737034|XP_002083881.1|DSIM, LOC6737393|XP_016031141.1|DSIM
OG0000623	LOC120776793|XP_039963713.1|BTRY	LOC27206265|XP_016029788.1|DSIM
OG0000623	LOC120776685|XP_039963497.1|BTRY	LOC27206242|XP_016030769.1|DSIM
OG0000624	LOC120770040|XP_039953089.1|BTRY	LOC6735140|XP_002082117.1|DSIM, LOC6735141|XP_016028423.1|DSIM
OG0000625	LOC120776452|XP_039963043.1|BTRY	LOC6736941|XP_016030587.1|DSIM, LOC6736939|XP_002083786.1|DSIM
OG0000626	LOC120771101|XP_039954876.1|BTRY	LOC6735896|XP_016029250.1|DSIM
OG0000627	LOC120776359|XP_039962868.1|BTRY	LOC6738464|XP_002085271.1|DSIM
OG0000627	LOC120774493|XP_039960098.1|BTRY	LOC6725135|XP_002106161.1|DSIM
OG0000628	LOC120768533|XP_039951203.1|BTRY	LOC6732172|XP_002079303.2|DSIM, LOC6731753|XP_002078888.1|DSIM
OG0000629	LOC120767240|XP_039949015.1|BTRY	LOC6728572|XP_002103913.2|DSIM, LOC6733053|XP_002080131.2|DSIM
OG0000630	LOC120768594|XP_039951291.1|BTRY	LOC6732796|XP_016025504.1|DSIM
OG0000630	LOC120768253|XP_039950781.1|BTRY	LOC6732789|XP_002079902.3|DSIM
OG0000631	LOC120769034|XP_039951813.1|BTRY	LOC27208670|XP_016024744.1|DSIM, LOC6732402|XP_016025062.1|DSIM
OG0000632	LOC120768631|XP_039951330.1|BTRY	LOC6730992|XP_016023455.1|DSIM, LOC6730529|XP_016022984.1|DSIM
OG0000635	LOC120771029|XP_039954743.1|BTRY	LOC6735347|XP_002082294.1|DSIM, LOC6726071|XP_002107053.2|DSIM
OG0000636	LOC120774407|XP_039959966.1|BTRY	LOC6732793|XP_002079906.1|DSIM, LOC6732794|XP_016025503.1|DSIM
OG0000637	LOC120774775|XP_039960480.1|BTRY	LOC6725170|XP_016038187.1|DSIM
OG0000637	LOC120775765|XP_039962032.1|BTRY	LOC6725171|XP_039152707.1|DSIM
OG0000638	LOC120776108|XP_039962534.1|BTRY	LOC6729311|XP_016035943.1|DSIM, LOC6726151|XP_016039682.1|DSIM
OG0000639	LOC120776470|XP_039963074.1|BTRY	LOC6738948|XP_016032771.1|DSIM
OG0000642	LOC120778716|XP_039966613.1|BTRY, LOC120778015|XP_039965615.1|BTRY	LOC6734145|XP_016027156.1|DSIM, LOC6732352|XP_016025004.1|DSIM
OG0000643	LOC120778680|XP_039966551.1|BTRY, LOC120767030|XP_039948810.1|BTRY, LOC120766788|XP_039948419.1|BTRY	LOC27207387|XP_016036588.1|DSIM, LOC6729854|XP_002105157.1|DSIM, LOC6729853|XP_002105156.2|DSIM
OG0000644	LOC120768079|XP_039950543.1|BTRY	LOC6737677|XP_002084509.1|DSIM, LOC6737674|XP_002084506.1|DSIM, LOC6737673|XP_002084505.2|DSIM
