Orthogroup	BTRY.longest_only	DMEL.longest_only
OG0000650	LOC120778312|XP_039966039.1|BTRY	Rad23|NP_651918.2|DMEL
OG0000651	LOC120777253|XP_039964383.1|BTRY	Fit2|NP_648947.1|DMEL, Fit1|NP_728936.1|DMEL
OG0000652	LOC120772025|XP_039956326.1|BTRY	CanB2|NP_524874.2|DMEL, CanB|NP_524741.1|DMEL
OG0000653	LOC120779703|XP_039968003.1|BTRY, LOC120771262|XP_039955118.1|BTRY	Sccpdh2|NP_650190.1|DMEL, Sccpdh1|NP_649517.1|DMEL
OG0000654	LOC120777165|XP_039964249.1|BTRY	Nc73EF|NP_001097629.1|DMEL
OG0000655	LOC120781232|XP_039969302.1|BTRY	Nacalpha|NP_477216.1|DMEL, CG4415|NP_608561.2|DMEL
OG0000656	LOC120767029|XP_039948809.1|BTRY	GC1|NP_650134.1|DMEL
OG0000656	LOC120774595|XP_039960261.1|BTRY	GC2|NP_731657.2|DMEL
OG0000657	LOC120768026|XP_039950434.1|BTRY	CG3213|NP_608787.1|DMEL
OG0000658	LOC120775403|XP_039961500.1|BTRY	RpS5a|NP_523382.1|DMEL
OG0000659	LOC120782147|XP_039970218.1|BTRY	gammaTub23C|NP_476804.1|DMEL, gammaTub37C|NP_476922.1|DMEL
OG0000660	LOC120771061|XP_039954801.1|BTRY	alpha4GT1|NP_608737.1|DMEL
OG0000661	LOC120767720|XP_039949850.1|BTRY	mrva|NP_648103.1|DMEL, CG12194|NP_001162873.1|DMEL
OG0000662	LOC120777857|XP_039965335.1|BTRY	Scsalpha1|NP_523905.2|DMEL
OG0000662	LOC120777932|XP_039965448.1|BTRY	Scsalpha2|NP_650809.1|DMEL
OG0000663	LOC120781218|XP_039969275.1|BTRY	pain|NP_611979.1|DMEL
OG0000664	LOC120776183|XP_039962735.1|BTRY	Cbp80|NP_726938.1|DMEL
OG0000665	LOC120766477|XP_039947953.1|BTRY, LOC120779745|XP_039968064.1|BTRY	to|NP_524497.1|DMEL
OG0000665	LOC120766254|XP_039947574.1|BTRY	CG11854|NP_651358.4|DMEL
OG0000666	LOC120770479|XP_039953917.1|BTRY, LOC120770478|XP_039953915.1|BTRY	CG10444|NP_611465.2|DMEL
OG0000666	LOC120775238|XP_039961251.1|BTRY	CG32669|NP_727460.1|DMEL
OG0000667	LOC120766741|XP_039948341.1|BTRY	Tsp3A|NP_525054.2|DMEL, Tsp86D|NP_001262468.1|DMEL
OG0000668	LOC120780330|XP_039968558.1|BTRY	CG40045|NP_001036640.1|DMEL
OG0000669	LOC120774304|XP_039959769.1|BTRY	CG9521|NP_572977.1|DMEL
OG0000669	LOC120774306|XP_039959771.1|BTRY, LOC120775615|XP_039961794.1|BTRY	CG9519|NP_572978.1|DMEL
OG0000670	LOC120775920|XP_039962256.1|BTRY	CG4438|NP_609286.1|DMEL, CG11444|NP_572171.1|DMEL
OG0000671	LOC120782859|XP_039971325.1|BTRY	Gfat1|NP_001015157.2|DMEL
OG0000671	LOC120779834|XP_039968135.1|BTRY	Gfat2|NP_651617.1|DMEL
OG0000672	LOC120778847|XP_039966808.1|BTRY	CG18130|NP_572772.1|DMEL, CG14221|NP_001259713.1|DMEL
OG0000673	LOC120780362|XP_039968587.1|BTRY, LOC120773620|XP_039958557.1|BTRY	Jafrac1|NP_477510.1|DMEL, CG6888|NP_648759.1|DMEL
OG0000675	LOC120768402|XP_039951011.1|BTRY, LOC120769614|XP_039952648.1|BTRY, LOC120769623|XP_039952662.1|BTRY, LOC120768269|XP_039950801.1|BTRY	Bace|NP_609235.1|DMEL
OG0000677	LOC120774442|XP_039960017.1|BTRY	Lint-1|NP_572692.1|DMEL
OG0000678	LOC120780287|XP_039968489.1|BTRY	CG3534|NP_650582.1|DMEL, CG3544|NP_608543.1|DMEL
OG0000679	LOC120775899|XP_039962224.1|BTRY	CG15739|NP_572760.1|DMEL
OG0000680	LOC120773876|XP_039958965.1|BTRY	CG14196|NP_573367.1|DMEL
OG0000680	LOC120773880|XP_039958976.1|BTRY, LOC120773878|XP_039958970.1|BTRY	out|NP_573378.1|DMEL
OG0000681	LOC120773430|XP_039958244.1|BTRY	Nsf2|NP_788676.1|DMEL, comt|NP_524877.1|DMEL
OG0000683	LOC120766329|XP_039947691.1|BTRY	CG6178|NP_651221.1|DMEL
OG0000684	LOC120782171|XP_039970241.1|BTRY	eIF3d2|NP_731675.1|DMEL, eIF3d1|NP_524463.2|DMEL
OG0000685	LOC120772951|XP_039957791.1|BTRY	Rab1|NP_732610.1|DMEL
OG0000686	LOC120781242|XP_039969316.1|BTRY	SdhB|NP_477101.1|DMEL
OG0000686	LOC120773579|XP_039958500.1|BTRY	SdhBL|NP_573340.1|DMEL
OG0000687	LOC120776960|XP_039963984.1|BTRY	CG8517|NP_611446.3|DMEL, CG8993|NP_647716.1|DMEL
OG0000688	LOC120772776|XP_039957486.1|BTRY	olf186-F|NP_001137696.1|DMEL
OG0000689	LOC120770031|XP_039953075.1|BTRY	COX7C|NP_652397.1|DMEL, CG44296|NP_001286270.1|DMEL
OG0000690	LOC120773565|XP_039958468.1|BTRY, LOC120773566|XP_039958469.1|BTRY	Obp19a|NP_728338.2|DMEL
OG0000691	LOC120777191|XP_039964294.1|BTRY	CG9314|NP_609248.1|DMEL, Cat|NP_536731.1|DMEL
OG0000692	LOC120779210|XP_039967421.1|BTRY	Cpr72Ea|NP_648882.1|DMEL
OG0000692	LOC120778127|XP_039965765.1|BTRY	Cpr72Eb|NP_648883.1|DMEL
OG0000693	LOC120771158|XP_039954971.1|BTRY	CG12994|NP_652488.1|DMEL
OG0000693	LOC120782889|XP_039971371.1|BTRY	CG17193|NP_652224.1|DMEL
OG0000694	LOC120774032|XP_039959264.1|BTRY	Tango5|NP_727444.1|DMEL
OG0000695	LOC120767751|XP_039949899.1|BTRY	smal|NP_723165.2|DMEL
OG0000695	LOC120781358|XP_039969503.1|BTRY	Ddr|NP_001285666.1|DMEL
OG0000696	LOC120768165|XP_039950663.1|BTRY	baf|NP_609176.1|DMEL
OG0000697	LOC120781423|XP_039969578.1|BTRY	CG13994|NP_608988.1|DMEL
OG0000698	LOC120768119|XP_039950603.1|BTRY	slp1|NP_476730.1|DMEL
OG0000698	LOC120769374|XP_039952275.1|BTRY	slp2|NP_476834.1|DMEL
OG0000699	LOC120768226|XP_039950738.1|BTRY	MICU1|NP_001097110.1|DMEL, CG4704|NP_651103.1|DMEL
OG0000700	LOC120768126|XP_039950614.1|BTRY	CG4341|NP_608558.1|DMEL, CG31690|NP_995615.2|DMEL
OG0000701	LOC120771893|XP_039956097.1|BTRY	CG10814|NP_610868.1|DMEL
OG0000701	LOC120776077|XP_039962480.1|BTRY	CG5321|NP_572967.2|DMEL
OG0000702	LOC120781839|XP_039969995.1|BTRY	LpR1|NP_001097934.2|DMEL, LpR2|NP_001097928.1|DMEL
OG0000703	LOC120770853|XP_039954392.1|BTRY	Gpo1|NP_001097332.1|DMEL
OG0000704	LOC120775825|XP_039962115.1|BTRY	sgg|NP_001259193.1|DMEL
OG0000705	LOC120776363|XP_039962873.1|BTRY	Pcyt2|NP_647622.1|DMEL, Pcyt1|NP_647621.1|DMEL
OG0000706	LOC120773351|XP_039958105.1|BTRY	CG5790|NP_609876.2|DMEL, Cdc7|NP_727103.1|DMEL
OG0000707	LOC120774249|XP_039959648.1|BTRY	LS2|NP_611769.2|DMEL, U2af50|NP_001245708.1|DMEL
OG0000708	LOC120773437|XP_039958254.1|BTRY	Ptp4E|NP_525076.2|DMEL, Ptp10D|NP_996413.2|DMEL
OG0000709	LOC120774189|XP_039959550.1|BTRY	eIF4H2|NP_651820.1|DMEL, eIF4H1|NP_001285330.1|DMEL
OG0000710	LOC120772668|XP_039957337.1|BTRY	Ubc84D|NP_524260.1|DMEL, Ubc10|NP_477414.1|DMEL
OG0000711	LOC120774260|XP_039959660.1|BTRY	CG12362|NP_648392.1|DMEL, ari-1|NP_523399.1|DMEL
OG0000712	LOC120766277|XP_039947612.1|BTRY	trem|NP_650861.1|DMEL, CG4936|NP_650862.1|DMEL
OG0000713	LOC120771290|XP_039955155.1|BTRY	Vha14-1|NP_476969.1|DMEL
OG0000714	LOC120776187|XP_039962745.1|BTRY	TTLL1A|NP_573197.2|DMEL, TTLL1B|NP_729025.1|DMEL
OG0000715	LOC120777705|XP_039965118.1|BTRY	CG13380|NP_001262016.1|DMEL
OG0000716	LOC120778741|XP_039966644.1|BTRY	Prosbeta2R1|NP_572267.1|DMEL, Prosbeta2|NP_524076.2|DMEL
OG0000717	LOC120776443|XP_039963034.1|BTRY	CG14455|NP_649402.2|DMEL
OG0000718	LOC120779472|XP_039967675.1|BTRY	Ekar|NP_001036250.1|DMEL
OG0000719	LOC120778733|XP_039966631.1|BTRY	CG6749|NP_648354.1|DMEL, CG32055|NP_729599.1|DMEL
OG0000720	LOC120769277|XP_039952127.1|BTRY, LOC120766434|XP_039947872.1|BTRY	Nep7|NP_651603.1|DMEL, Nepl12|NP_649924.1|DMEL
OG0000721	LOC120769802|XP_039952930.1|BTRY, LOC120769794|XP_039952916.1|BTRY	Vm26Ac|NP_608973.1|DMEL, Vm26Aa|NP_476783.1|DMEL
OG0000722	LOC120772992|XP_039957839.1|BTRY	Ir60d|NP_001137757.2|DMEL, Ir60b|NP_001137755.1|DMEL
OG0000723	LOC120770243|XP_039953475.1|BTRY, LOC120772389|XP_039956912.1|BTRY, LOC120770246|XP_039953478.1|BTRY, LOC120770248|XP_039953479.1|BTRY, LOC120770245|XP_039953477.1|BTRY	CG13323|NP_610832.1|DMEL, CG13324|NP_610833.1|DMEL
OG0000724	LOC120775707|XP_039961953.1|BTRY	Rpt6|NP_608447.1|DMEL
OG0000726	LOC120766296|XP_039947634.1|BTRY	Gyc89Db|NP_650551.1|DMEL, Gyc89Da|NP_001036718.1|DMEL
OG0000727	LOC120774034|XP_039959268.1|BTRY	CG5316|NP_650805.1|DMEL
OG0000728	LOC120776543|XP_039963259.1|BTRY, LOC120782773|XP_039971178.1|BTRY	CG45050|NP_001262407.1|DMEL
OG0000729	LOC120766518|XP_039948019.1|BTRY	CG42814|NP_001189301.1|DMEL, CG42813|NP_733202.2|DMEL
OG0000730	LOC120776578|XP_039963276.1|BTRY	CG34015|NP_001033848.1|DMEL, CG15362|NP_608634.1|DMEL
OG0000731	LOC120772324|XP_039956789.1|BTRY	CG11353|NP_647915.1|DMEL, CG30471|NP_001261001.1|DMEL
OG0000732	LOC120776637|XP_039963390.1|BTRY	sina|NP_476725.1|DMEL
OG0000733	LOC120778269|XP_039965982.1|BTRY	Cyt-c1L|NP_651683.1|DMEL, Cyt-c1|NP_647958.1|DMEL
OG0000734	LOC120777306|XP_039964465.1|BTRY	CG14995|NP_728935.1|DMEL
OG0000735	LOC120775254|XP_039961269.1|BTRY	TrxT|NP_572212.1|DMEL
OG0000736	LOC120768185|XP_039950687.1|BTRY	FASN2|NP_001259986.1|DMEL, FASN1|NP_001137778.2|DMEL
OG0000737	LOC120770597|XP_039954132.1|BTRY	Adf1|NP_001260730.1|DMEL
OG0000738	LOC120774532|XP_039960179.1|BTRY	Sirup|NP_609170.1|DMEL
OG0000738	LOC120774465|XP_039960055.1|BTRY	CG15283|NP_652574.3|DMEL
OG0000739	LOC120769188|XP_039952017.1|BTRY	VhaPPA1-2|NP_650406.2|DMEL, VhaPPA1-1|NP_652010.1|DMEL
OG0000740	LOC120769587|XP_039952580.1|BTRY	kl-3|NP_001104482.3|DMEL
OG0000740	LOC120782338|XP_039970508.1|BTRY	CG9492|NP_001287256.1|DMEL
OG0000741	LOC120775681|XP_039961907.1|BTRY	nonA|NP_727962.1|DMEL, nonA-l|NP_536740.1|DMEL
OG0000742	LOC120775564|XP_039961723.1|BTRY	CG1695|NP_728346.2|DMEL
OG0000742	LOC120773637|XP_039958580.1|BTRY	tbc|NP_608395.6|DMEL
OG0000743	LOC120777027|XP_039964073.1|BTRY	Ctr9|NP_788449.1|DMEL, CG9899|NP_611764.1|DMEL
OG0000744	LOC120771263|XP_039955114.1|BTRY	CG18003|NP_001027401.1|DMEL
OG0000745	LOC120774817|XP_039960555.1|BTRY	CAH15|NP_611525.1|DMEL, CAH13|NP_610602.2|DMEL
OG0000746	LOC120770348|XP_039953684.1|BTRY	Odc2|NP_477053.2|DMEL, Odc1|NP_477052.2|DMEL
OG0000747	LOC120777765|XP_039965203.1|BTRY	Mes2|NP_730768.1|DMEL
OG0000747	LOC120778589|XP_039966390.1|BTRY	CG12768|NP_649431.1|DMEL
OG0000748	LOC120773967|XP_039959137.1|BTRY	CG15395|NP_608696.3|DMEL, mei-38|NP_001334676.1|DMEL
OG0000750	LOC120768132|XP_039950622.1|BTRY	Or49a|NP_523711.3|DMEL, Or85f|NP_524289.1|DMEL
OG0000753	LOC120782584|XP_039970866.1|BTRY	CG5196|NP_650191.1|DMEL
OG0000754	LOC120774193|XP_039959555.1|BTRY	CG4829|NP_728030.2|DMEL
OG0000754	LOC120775796|XP_039962074.1|BTRY	CG1492|NP_572774.1|DMEL
OG0000755	LOC120782748|XP_039971125.1|BTRY	PK2-R2|NP_731788.1|DMEL, PK2-R1|NP_731790.1|DMEL
OG0000756	LOC120781989|XP_039970090.1|BTRY	fd96Ca|NP_524495.1|DMEL
OG0000757	LOC120777018|XP_039964065.1|BTRY	eIF1|NP_647792.1|DMEL
OG0000758	LOC120777449|XP_039964700.1|BTRY, LOC120776692|XP_039963509.1|BTRY	Agpat4|NP_648887.1|DMEL, Agpat3|NP_001246793.1|DMEL
OG0000759	LOC120777578|XP_039964922.1|BTRY	MsR1|NP_001261324.1|DMEL, MsR2|NP_001261323.1|DMEL
OG0000760	LOC120772186|XP_039956570.1|BTRY	CG30274|NP_726252.1|DMEL
OG0000761	LOC120774206|XP_039959587.1|BTRY	RluA-1|NP_723592.1|DMEL, RluA-2|NP_609411.1|DMEL
OG0000762	LOC120768246|XP_039950771.1|BTRY	Wdr82|NP_609217.1|DMEL
OG0000763	LOC120767861|XP_039950109.1|BTRY	CG33510|NP_001014493.2|DMEL
OG0000763	LOC120769012|XP_039951790.1|BTRY	CG33509|NP_001014494.1|DMEL
OG0000764	LOC120774111|XP_039959405.1|BTRY	Gld2|NP_001262829.1|DMEL, wisp|NP_572766.1|DMEL
OG0000765	LOC120774411|XP_039959970.1|BTRY	Naa30B|NP_728606.1|DMEL, Naa30A|NP_726727.1|DMEL
OG0000766	LOC120775821|XP_039962110.1|BTRY	CG9582|NP_609270.1|DMEL, CG5254|NP_569856.2|DMEL
OG0000767	LOC120777098|XP_039964166.1|BTRY	mia|NP_001138010.1|DMEL, Taf6|NP_524161.2|DMEL
OG0000768	LOC120779170|XP_039967338.1|BTRY	polo|NP_524179.2|DMEL
OG0000769	LOC120775506|XP_039961648.1|BTRY	CG5111|NP_651402.1|DMEL, CG15445|NP_728390.1|DMEL
OG0000770	LOC120770463|XP_039953893.1|BTRY, LOC120770468|XP_039953897.1|BTRY, LOC120770466|XP_039953895.1|BTRY, LOC120770464|XP_039953894.1|BTRY, LOC120770467|XP_039953896.1|BTRY	Def|NP_523672.1|DMEL
OG0000771	LOC120777920|XP_039965438.1|BTRY	CG32263|NP_728903.1|DMEL, CG32262|NP_647831.1|DMEL
OG0000772	LOC120771782|XP_039955909.1|BTRY, LOC120781820|XP_039969974.1|BTRY	CG30424|NP_001097455.1|DMEL, CG12970|NP_788360.2|DMEL
OG0000773	LOC120766773|XP_039948391.1|BTRY, LOC120766774|XP_039948393.1|BTRY, LOC120781824|XP_039969978.1|BTRY, LOC120782045|XP_039970134.1|BTRY, LOC120768772|XP_039951471.1|BTRY, LOC120779817|XP_039968123.1|BTRY, LOC120780388|XP_039968609.1|BTRY	CG17977|NP_652401.1|DMEL
OG0000774	LOC120767578|XP_039949657.1|BTRY, LOC120769166|XP_039951985.1|BTRY	CG43776|NP_001261162.1|DMEL, CG43777|NP_001261163.1|DMEL, CG43775|NP_726425.3|DMEL
OG0000775	LOC120770460|XP_039953888.1|BTRY	CG34315|NP_001097298.2|DMEL, CG12209|NP_610565.2|DMEL
OG0000778	LOC120780464|XP_039968675.1|BTRY	spo|NP_647975.2|DMEL, spok|NP_001104460.2|DMEL
OG0000779	LOC120774928|XP_039960739.1|BTRY	CG1998|NP_572887.1|DMEL
OG0000780	LOC120775929|XP_039962269.1|BTRY, LOC120775688|XP_039961921.1|BTRY, LOC120775424|XP_039961540.1|BTRY	Marc|NP_610523.2|DMEL
OG0000781	LOC120775995|XP_039962361.1|BTRY	Trxr-1|NP_727251.1|DMEL, Trxr-2|NP_524216.1|DMEL
OG0000782	LOC120773929|XP_039959062.1|BTRY	CG5906|NP_648518.1|DMEL, CG1662|NP_572883.1|DMEL
OG0000783	LOC120773742|XP_039958737.1|BTRY	Rpt4|NP_572308.3|DMEL
OG0000784	LOC120773701|XP_039958669.1|BTRY	ND-24L|NP_648965.1|DMEL, ND-24|NP_573228.1|DMEL
OG0000785	LOC120771505|XP_039955496.1|BTRY	Ssl2|NP_651656.2|DMEL, Hmu|NP_477159.1|DMEL
OG0000786	LOC120767026|XP_039948800.1|BTRY	Atpalpha|NP_732572.1|DMEL
OG0000787	LOC120778601|XP_039966408.1|BTRY	Uch-L5|NP_524003.1|DMEL, Uch-L5R|NP_572781.1|DMEL
OG0000788	LOC120777933|XP_039965449.1|BTRY	CG42830|NP_001188834.1|DMEL, akirin|NP_648113.1|DMEL
OG0000789	LOC120769350|XP_039952247.1|BTRY	CG34011|NP_001033878.3|DMEL, CG14007|NP_001097090.2|DMEL
OG0000790	LOC120769474|XP_039952427.1|BTRY	CG31975|NP_001162840.1|DMEL, CG31974|NP_001259800.1|DMEL
OG0000791	LOC120768708|XP_039951415.1|BTRY	CG6036|NP_651472.2|DMEL, alph|NP_651701.1|DMEL
OG0000792	LOC120772029|XP_039956333.1|BTRY, LOC120769032|XP_039951810.1|BTRY, LOC120768955|XP_039951678.1|BTRY	NLaz|NP_001259867.1|DMEL
OG0000793	LOC120775479|XP_039961612.1|BTRY, LOC120782280|XP_039970415.1|BTRY	CG4686|NP_650837.1|DMEL, CG42395|NP_001138182.3|DMEL
OG0000794	LOC120773426|XP_039958236.1|BTRY	CG5126|NP_608584.1|DMEL
OG0000795	LOC120774035|XP_039959269.1|BTRY	Atg8a|NP_727447.1|DMEL, Atg8b|NP_650649.1|DMEL
OG0000796	LOC120775582|XP_039961751.1|BTRY	Rpt3|NP_572686.1|DMEL
OG0000797	LOC120778004|XP_039965605.1|BTRY, LOC120777994|XP_039965582.1|BTRY	CG9399|NP_649913.1|DMEL, CG9396|NP_649912.1|DMEL
OG0000798	LOC120770192|XP_039953357.1|BTRY	CG33156|NP_788346.1|DMEL, CG6145|NP_725314.1|DMEL
OG0000799	LOC120773065|XP_039957937.1|BTRY	CG14740|NP_650152.1|DMEL
OG0000799	LOC120773998|XP_039959208.1|BTRY	kdn|NP_727091.1|DMEL
OG0000800	LOC120778314|XP_039966041.1|BTRY	CG10147|NP_648046.1|DMEL
OG0000801	LOC120772115|XP_039956460.1|BTRY	CG12782|NP_611772.2|DMEL, Rae1|NP_611597.1|DMEL
OG0000802	LOC120778880|XP_039966857.1|BTRY, LOC120775075|XP_039961000.1|BTRY	vanin-like|NP_572297.1|DMEL, CG32751|NP_001284927.1|DMEL
OG0000803	LOC120768230|XP_039950750.1|BTRY	Dpy-30L1|NP_609445.1|DMEL, Dpy-30L2|NP_647854.1|DMEL
OG0000804	LOC120772809|XP_039957534.1|BTRY	CG13168|NP_995823.1|DMEL, CG1137|NP_649665.2|DMEL
OG0000805	LOC120771531|XP_039955524.1|BTRY, LOC120769975|XP_039952984.1|BTRY, LOC120771901|XP_039956112.1|BTRY	CG4714|NP_610857.2|DMEL, CG4712|NP_610856.1|DMEL
OG0000806	LOC120768380|XP_039950980.1|BTRY	CG18131|NP_608601.1|DMEL
OG0000807	LOC120780675|XP_039968878.1|BTRY, LOC120777130|XP_039964209.1|BTRY	CG14352|NP_608609.1|DMEL
OG0000810	LOC120770073|XP_039953136.1|BTRY, LOC120772971|XP_039957812.1|BTRY, LOC120771755|XP_039955870.1|BTRY, LOC120778366|XP_039966087.1|BTRY	Cyp9b1|NP_523645.1|DMEL, Cyp9b2|NP_523646.1|DMEL
OG0000811	LOC120771809|XP_039955948.1|BTRY	CG7997|NP_611119.1|DMEL
OG0000812	LOC120775281|XP_039961314.1|BTRY	CG8974|NP_573076.1|DMEL, CG32581|NP_727898.2|DMEL, CG32847|NP_730026.1|DMEL
OG0000813	LOC120771454|XP_039955399.1|BTRY	bic|NP_476853.1|DMEL
OG0000814	LOC120767334|XP_039949212.1|BTRY	jhamt|NP_609793.2|DMEL
OG0000815	LOC120768159|XP_039950654.1|BTRY, LOC120768954|XP_039951677.1|BTRY	CG12512|NP_608924.1|DMEL
OG0000816	LOC120775669|XP_039961872.1|BTRY	CG2076|NP_572681.1|DMEL, Mics1|NP_649725.2|DMEL
OG0000818	LOC120775462|XP_039961582.1|BTRY	CG13369|NP_569850.1|DMEL, CG17010|NP_609560.2|DMEL
OG0000819	LOC120775543|XP_039961702.1|BTRY	OdsH|NP_523389.3|DMEL, unc-4|NP_001285389.1|DMEL
OG0000820	LOC120771555|XP_039955552.1|BTRY	CG12231|NP_573390.1|DMEL
OG0000820	LOC120772520|XP_039957109.1|BTRY	CG7222|NP_610613.1|DMEL
OG0000821	LOC120772757|XP_039957459.1|BTRY	Fib|NP_523817.1|DMEL
OG0000822	LOC120775399|XP_039961495.1|BTRY	CG13727|NP_648969.1|DMEL, CG13386|NP_609226.1|DMEL
OG0000824	LOC120767360|XP_039949263.1|BTRY, LOC120767921|XP_039950258.1|BTRY	Pkd2|NP_609561.2|DMEL
OG0000825	LOC120767740|XP_039949884.1|BTRY, LOC120771922|XP_039956146.1|BTRY	Or74a|NP_524123.1|DMEL, Or35a|NP_723916.1|DMEL
OG0000826	LOC120770038|XP_039953088.1|BTRY	Lhr|NP_611210.3|DMEL
OG0000827	LOC120778544|XP_039966327.1|BTRY	Lcp65Ab1|NP_524814.2|DMEL, Lcp65Ab2|NP_788469.1|DMEL
OG0000830	LOC120774246|XP_039959645.1|BTRY, LOC120775157|XP_039961129.1|BTRY	AnxB10|NP_001162804.1|DMEL
OG0000831	LOC120778940|XP_039966934.1|BTRY	Lsp2|NP_524816.1|DMEL
OG0000832	LOC120772198|XP_039956598.1|BTRY	EMC7|NP_611078.1|DMEL
OG0000833	LOC120778042|XP_039965651.1|BTRY	Ir75d|NP_649074.2|DMEL
OG0000834	LOC120780757|XP_039968946.1|BTRY, LOC120769278|XP_039952168.1|BTRY, LOC120769108|XP_039951937.1|BTRY, LOC120780576|XP_039968772.1|BTRY, LOC120780644|XP_039968843.1|BTRY	CG15515|NP_001263088.1|DMEL
OG0000835	LOC120779208|XP_039967415.1|BTRY	Dscam2|NP_001261500.1|DMEL
OG0000836	LOC120781419|XP_039969566.1|BTRY	CG2528|NP_610129.3|DMEL, CG5355|NP_609397.2|DMEL
OG0000837	LOC120773390|XP_039958158.1|BTRY	fzr|NP_524852.2|DMEL
OG0000838	LOC120769530|XP_039952503.1|BTRY	CG42502|NP_001163011.1|DMEL
OG0000838	LOC120768167|XP_039950665.1|BTRY	CG42305|NP_001137837.1|DMEL
OG0000839	LOC120782411|XP_039970593.1|BTRY	Atu|NP_524240.1|DMEL, CG10887|NP_650866.1|DMEL
OG0000840	LOC120775062|XP_039960976.1|BTRY	tomboy40|NP_610213.1|DMEL, Tom40|NP_652003.2|DMEL
OG0000841	LOC120774627|XP_039960288.1|BTRY	CG42402|NP_001287642.1|DMEL
OG0000842	LOC120771230|XP_039955075.1|BTRY	Sep5|NP_651961.1|DMEL, Sep2|NP_524417.1|DMEL
OG0000843	LOC120767219|XP_039948968.1|BTRY	thoc5|NP_611856.1|DMEL
OG0000844	LOC120772952|XP_039957787.1|BTRY	Mlp60A|NP_001137750.1|DMEL, Mlp84B|NP_477122.1|DMEL
OG0000845	LOC120774535|XP_039960190.1|BTRY, LOC120774534|XP_039960189.1|BTRY, LOC120775645|XP_039961835.1|BTRY, LOC120775849|XP_039962153.1|BTRY	CG11695|NP_572732.1|DMEL, CG11696|NP_572731.1|DMEL
OG0000846	LOC120773907|XP_039959060.1|BTRY, LOC120774489|XP_039960093.1|BTRY, LOC120766186|XP_039947480.1|BTRY, LOC120774490|XP_039960094.1|BTRY, LOC120782809|XP_039971222.1|BTRY, LOC120782732|XP_039971098.1|BTRY, LOC120774488|XP_039960092.1|BTRY, LOC120766169|XP_039947456.1|BTRY, LOC120766846|XP_039948496.1|BTRY, LOC120777346|XP_039964533.1|BTRY	Obp99c|NP_651711.1|DMEL
OG0000847	LOC120772970|XP_039957811.1|BTRY	Cyp9h1|NP_610820.1|DMEL, Cyp9c1|NP_523850.1|DMEL
OG0000848	LOC120769395|XP_039952300.1|BTRY	CG4267|NP_608661.1|DMEL
OG0000848	LOC120769492|XP_039952455.1|BTRY	CG6675|NP_610132.3|DMEL
OG0000849	LOC120767744|XP_039949889.1|BTRY, LOC120769234|XP_039952068.1|BTRY	CG6614|NP_609511.3|DMEL, CG14339|NP_608566.1|DMEL
OG0000850	LOC120771754|XP_039955869.1|BTRY	CG30268|NP_611712.2|DMEL, CG30275|NP_788430.3|DMEL
OG0000854	LOC120775175|XP_039961162.1|BTRY	CG3097|NP_572259.1|DMEL
OG0000855	LOC120773441|XP_039958257.1|BTRY	CG3740|NP_569932.1|DMEL
OG0000856	LOC120777247|XP_039964372.1|BTRY	CG5347|NP_572970.1|DMEL, Mkrn1|NP_524704.1|DMEL
OG0000857	LOC120775727|XP_039961977.1|BTRY, LOC120775728|XP_039961978.1|BTRY, LOC120775725|XP_039961975.1|BTRY	Mgstl|NP_524696.2|DMEL
OG0000858	LOC120766865|XP_039948533.1|BTRY, LOC120766875|XP_039948543.1|BTRY	yellow-f|NP_524335.1|DMEL, yellow-f2|NP_650247.1|DMEL
OG0000860	LOC120776818|XP_039963769.1|BTRY	CG5078|NP_649238.3|DMEL, CG11537|NP_001097489.1|DMEL
OG0000861	LOC120770507|XP_039953969.1|BTRY	St3|NP_001261155.1|DMEL
OG0000862	LOC120770600|XP_039954136.1|BTRY	CG15653|NP_611540.1|DMEL, CG31913|NP_723119.1|DMEL
OG0000863	LOC120777304|XP_039964456.1|BTRY	CG18596|NP_651031.1|DMEL
OG0000864	LOC120774119|XP_039959414.1|BTRY	CG16848|NP_609653.1|DMEL, CG4407|NP_572837.1|DMEL
OG0000865	LOC120766549|XP_039948069.1|BTRY	CG34334|NP_001097042.1|DMEL, RnpS1|NP_649903.1|DMEL
OG0000866	LOC120767427|XP_039949404.1|BTRY	CG4887|NP_608582.2|DMEL, CG4896|NP_608583.5|DMEL
OG0000867	LOC120769201|XP_039952030.1|BTRY	nmd|NP_609373.1|DMEL
OG0000868	LOC120775630|XP_039961818.1|BTRY	CG2061|NP_572682.1|DMEL
OG0000869	LOC120782245|XP_039970346.1|BTRY	CG14609|NP_649704.3|DMEL
OG0000870	LOC120770900|XP_039954505.1|BTRY	CG13562|NP_001246484.1|DMEL
OG0000871	LOC120770580|XP_039954094.1|BTRY	Smyd4-4|NP_610730.1|DMEL
OG0000872	LOC120772394|XP_039956919.1|BTRY	tsr|NP_477034.1|DMEL
OG0000873	LOC120776591|XP_039963293.1|BTRY	olf413|NP_730711.3|DMEL
OG0000874	LOC120770902|XP_039954507.1|BTRY	CG6978|NP_572188.1|DMEL, Picot|NP_725600.1|DMEL
OG0000875	LOC120778610|XP_039966422.1|BTRY	Tom20|NP_649169.3|DMEL
OG0000877	LOC120775435|XP_039961555.1|BTRY	ms_3_76Cc|NP_649136.1|DMEL, CG12470|NP_569838.1|DMEL
