Orthogroup	BTRY.longest_only	DPSE.longest_only
OG0001310	LOC120775440|XP_039961559.1|BTRY	LOC4814497|XP_033240066.1|DPSE
OG0001311	LOC120773803|XP_039958846.1|BTRY	LOC6901028|XP_033239697.1|DPSE, LOC6902855|XP_002132591.2|DPSE
OG0001312	LOC120776907|XP_039963912.1|BTRY	LOC6900500|XP_002134889.2|DPSE
OG0001313	LOC120770353|XP_039953690.1|BTRY	LOC4803950|XP_001360588.3|DPSE
OG0001314	LOC120767878|XP_039950138.1|BTRY	LOC6902715|XP_002133229.2|DPSE
OG0001315	LOC120774078|XP_039959337.1|BTRY, LOC120774081|XP_039959343.1|BTRY	LOC4815428|XP_033240821.1|DPSE
OG0001316	LOC120772662|XP_039957329.1|BTRY	LOC4804779|XP_001361288.1|DPSE
OG0001317	LOC120768146|XP_039950640.1|BTRY	LOC4816600|XP_015036643.2|DPSE, LOC117184572|XP_033238734.1|DPSE
OG0001318	LOC120778561|XP_039966357.1|BTRY, LOC120778560|XP_039966356.1|BTRY, LOC120775908|XP_039962233.1|BTRY, LOC120775684|XP_039961917.1|BTRY, LOC120768697|XP_039951404.1|BTRY, LOC120770639|XP_039954174.1|BTRY, LOC120780886|XP_039969056.1|BTRY, LOC120780852|XP_039969024.1|BTRY, LOC120781517|XP_039969673.1|BTRY, LOC120767826|XP_039950045.1|BTRY	LOC6897705|XP_002137831.3|DPSE
OG0001319	LOC120768591|XP_039951286.1|BTRY	LOC4816460|XP_001356208.4|DPSE
OG0001320	LOC120772672|XP_039957341.1|BTRY	LOC6901565|XP_033238891.1|DPSE, LOC4803671|XP_001360352.4|DPSE, LOC6901820|XP_002134488.3|DPSE, LOC6897016|XP_002137201.3|DPSE
OG0001321	LOC120771223|XP_039955067.1|BTRY, LOC120771222|XP_039955063.1|BTRY, LOC120771220|XP_039955061.1|BTRY, LOC120771221|XP_039955062.1|BTRY, LOC120771224|XP_039955070.1|BTRY, LOC120772642|XP_039957300.1|BTRY	LOC6898160|XP_002138238.1|DPSE
OG0001326	LOC120782292|XP_039970429.1|BTRY	LOC4800395|XP_015038520.2|DPSE
OG0001328	LOC120775284|XP_039961330.1|BTRY	LOC117185158|XP_033241167.1|DPSE, LOC117184554|XP_033238665.1|DPSE, LOC117184553|XP_033238664.1|DPSE, LOC6899629|XP_033241162.1|DPSE
OG0001329	LOC120773835|XP_039958891.1|BTRY	LOC117184586|XP_033238823.1|DPSE, LOC117184587|XP_033238824.1|DPSE, LOC117184588|XP_033238825.1|DPSE, LOC6902228|XP_002133756.3|DPSE, LOC6902230|XP_033238821.1|DPSE
OG0001330	LOC120773909|XP_039959027.1|BTRY	LOC6901440|XP_015041691.2|DPSE
OG0001331	LOC120775101|XP_039961048.1|BTRY, LOC120775275|XP_039961305.1|BTRY	LOC4815539|XP_001355433.1|DPSE
OG0001333	LOC120775756|XP_039962023.1|BTRY	LOC4816398|XP_001355929.3|DPSE
OG0001334	LOC120778828|XP_039966775.1|BTRY	LOC4800384|XP_001357669.3|DPSE
OG0001335	LOC120773615|XP_039958551.1|BTRY	LOC4802587|XP_001359480.4|DPSE
OG0001336	LOC120780069|XP_039968278.1|BTRY, LOC120779658|XP_039967949.1|BTRY, LOC120768543|XP_039951216.1|BTRY, LOC120781346|XP_039969485.1|BTRY, LOC120768117|XP_039950600.1|BTRY, LOC120781711|XP_039969879.1|BTRY	LOC6896860|XP_002137051.2|DPSE
OG0001337	LOC120773491|XP_039958367.1|BTRY	LOC4814195|XP_001354328.3|DPSE
OG0001338	LOC120771890|XP_039956093.1|BTRY	LOC4804098|XP_015039609.2|DPSE
OG0001339	LOC120773010|XP_039957866.1|BTRY	LOC4805092|XP_001361553.4|DPSE
OG0001340	LOC120775019|XP_039960904.1|BTRY	LOC26532891|XP_033238369.1|DPSE
OG0001341	LOC120767765|XP_039949941.1|BTRY	LOC4800440|XP_001357716.2|DPSE
OG0001342	LOC120770477|XP_039953919.1|BTRY	LOC6896715|XP_033235133.1|DPSE
OG0001343	LOC120766899|XP_039948583.1|BTRY, LOC120766632|XP_039948183.1|BTRY	LOC4801898|XP_001358919.4|DPSE
OG0001344	LOC120782334|XP_039970496.1|BTRY	LOC4800328|XP_001357582.3|DPSE
OG0001345	LOC120773695|XP_039958702.1|BTRY	LOC4800776|XP_001357991.3|DPSE
OG0001346	LOC120776965|XP_039963995.1|BTRY	LOC117183281|XP_033232568.1|DPSE, LOC117183283|XP_033232570.1|DPSE, LOC4800359|XP_001357555.4|DPSE
OG0001347	LOC120773736|XP_039958726.1|BTRY	LOC6901883|XP_002133418.2|DPSE, LOC6900220|XP_002135550.2|DPSE, LOC6900222|XP_002135552.2|DPSE
OG0001348	LOC120770887|XP_039954463.1|BTRY	LOC6901208|XP_002133909.1|DPSE
OG0001349	LOC120776506|XP_039963135.1|BTRY	LOC4813943|XP_033238542.1|DPSE
OG0001350	LOC120775177|XP_039961165.1|BTRY	LOC4813819|XP_001353919.4|DPSE
OG0001351	LOC120772342|XP_039956839.1|BTRY	LOC4804081|XP_001360699.3|DPSE
OG0001352	LOC120770427|XP_039953812.1|BTRY	LOC6898659|XP_033234153.1|DPSE
OG0001353	LOC120775085|XP_039961016.1|BTRY	LOC4812831|XP_001353157.1|DPSE
OG0001354	LOC120771766|XP_039955884.1|BTRY	LOC4804539|XP_015039998.2|DPSE
OG0001355	LOC120781279|XP_039969408.1|BTRY	LOC4804222|XP_001360816.1|DPSE
OG0001356	LOC120766990|XP_039948727.1|BTRY	LOC6897925|XP_033239001.1|DPSE
OG0001357	LOC120777973|XP_039965545.1|BTRY	LOC4813405|XP_001353261.1|DPSE
OG0001358	LOC120778952|XP_039966955.1|BTRY	LOC4813256|XP_001353488.3|DPSE
OG0001359	LOC120768999|XP_039951773.1|BTRY, LOC120769222|XP_039952052.1|BTRY	LOC4816205|XP_001355787.2|DPSE
OG0001360	LOC120770113|XP_039953218.1|BTRY	LOC4804711|XP_001361229.2|DPSE
OG0001361	LOC120778468|XP_039966214.1|BTRY	LOC6900308|XP_002135629.2|DPSE
OG0001362	LOC120779122|XP_039967249.1|BTRY	LOC4812684|XP_001353067.1|DPSE
OG0001363	LOC120774036|XP_039959270.1|BTRY, LOC120766220|XP_039947529.1|BTRY	LOC4803273|XP_001360041.1|DPSE
OG0001364	LOC120771627|XP_039955651.1|BTRY	LOC6899426|XP_033233715.1|DPSE
OG0001365	LOC120777538|XP_039964860.1|BTRY	LOC6901937|XP_002133471.1|DPSE, LOC6897710|XP_002137833.2|DPSE, LOC6900941|XP_002134642.1|DPSE
OG0001366	LOC120777216|XP_039964327.1|BTRY	LOC117183342|XP_033232838.1|DPSE, LOC4814116|XP_001354266.4|DPSE, LOC6897017|XP_033233187.1|DPSE
OG0001367	LOC120771166|XP_039954983.1|BTRY	LOC6898419|XP_015039708.1|DPSE
OG0001368	LOC120773398|XP_039958182.1|BTRY	LOC6898537|XP_015040035.2|DPSE
OG0001369	LOC120773753|XP_039958753.1|BTRY	LOC4815190|XP_001354724.3|DPSE
OG0001370	LOC120770535|XP_039954023.1|BTRY	LOC4804486|XP_015039979.2|DPSE
OG0001371	LOC120769369|XP_039952266.1|BTRY	LOC6903318|XP_033235499.1|DPSE
OG0001372	LOC120770332|XP_039953661.1|BTRY	LOC15382872|XP_033233220.1|DPSE
OG0001373	LOC120779352|XP_039967482.1|BTRY, LOC120768582|XP_039951271.1|BTRY, LOC120781489|XP_039969647.1|BTRY, LOC120768837|XP_039951522.1|BTRY	LOC6902589|XP_002133117.3|DPSE
OG0001374	LOC120772264|XP_039956701.1|BTRY	LOC6902435|XP_002132981.2|DPSE, LOC4805487|XP_001361882.1|DPSE
OG0001375	LOC120782337|XP_039970502.1|BTRY	LOC4802527|XP_001359431.4|DPSE
OG0001376	LOC120770065|XP_039953119.1|BTRY	LOC4805015|XP_001361485.2|DPSE
OG0001378	LOC120769683|XP_039952738.1|BTRY	LOC6902363|XP_002133309.3|DPSE, LOC4818042|XP_015035490.2|DPSE
OG0001379	LOC120768916|XP_039951622.1|BTRY	LOC4817188|XP_015036107.1|DPSE
OG0001380	LOC120771617|XP_039955641.1|BTRY	LOC6898672|XP_015040234.2|DPSE
OG0001381	LOC120772383|XP_039956907.1|BTRY	LOC4803820|XP_001360475.2|DPSE
OG0001382	LOC120768562|XP_039951243.1|BTRY	LOC117183986|XP_033235659.1|DPSE, LOC6903567|XP_015035556.2|DPSE
OG0001383	LOC120772239|XP_039956667.1|BTRY	LOC6903341|XP_002132222.1|DPSE, LOC4803354|XP_001360112.1|DPSE
OG0001384	LOC120769361|XP_039952256.1|BTRY, LOC120769193|XP_039952021.1|BTRY, LOC120768754|XP_039951460.1|BTRY	LOC117183959|XP_033235580.1|DPSE, LOC4816707|XP_001356285.1|DPSE
OG0001385	LOC120781748|XP_039969914.1|BTRY	LOC4817464|XP_033235365.1|DPSE
OG0001386	LOC120767372|XP_039949284.1|BTRY	LOC6903315|XP_033236837.1|DPSE
OG0001387	LOC120769696|XP_039952757.1|BTRY	LOC4818098|XP_033236808.1|DPSE
OG0001388	LOC120769817|XP_039952959.1|BTRY	LOC26533386|XP_033236160.1|DPSE
OG0001389	LOC120782244|XP_039970345.1|BTRY	LOC4800555|XP_033241836.1|DPSE
OG0001390	LOC120767925|XP_039950220.1|BTRY, LOC120778231|XP_039965923.1|BTRY	LOC4817570|XP_015036346.1|DPSE
OG0001391	LOC120768082|XP_039950545.1|BTRY	LOC26533271|XP_033239487.1|DPSE, LOC6900533|XP_033237383.1|DPSE, LOC4811697|XP_001352279.2|DPSE
OG0001392	LOC120774728|XP_039960413.1|BTRY	LOC4814504|XP_001355029.4|DPSE
OG0001393	LOC120774011|XP_039959224.1|BTRY	LOC6901671|XP_002134340.1|DPSE, LOC6897229|XP_002137401.1|DPSE
OG0001394	LOC120779731|XP_039968036.1|BTRY	LOC6903314|XP_033236868.1|DPSE
OG0001395	LOC120771413|XP_039955330.1|BTRY	LOC4803088|XP_001359887.1|DPSE, LOC6897547|XP_002137693.4|DPSE
OG0001396	LOC120774065|XP_039959304.1|BTRY	LOC6902447|XP_002132992.2|DPSE, LOC6901333|XP_015041580.2|DPSE
OG0001397	LOC120782431|XP_039970648.1|BTRY	LOC4802822|XP_001359664.2|DPSE
OG0001398	LOC120773981|XP_039959171.1|BTRY	LOC4815444|XP_015041220.2|DPSE
OG0001399	LOC120772680|XP_039957352.1|BTRY	LOC26533571|XP_033234447.1|DPSE
OG0001400	LOC120766299|XP_039947637.1|BTRY	LOC6897176|XP_002137356.5|DPSE
OG0001401	LOC120778432|XP_039966148.1|BTRY	LOC117184478|XP_033238169.1|DPSE, LOC4813398|XP_001353301.2|DPSE
OG0001402	LOC120777918|XP_039965436.1|BTRY	LOC6900298|XP_002135620.2|DPSE
OG0001403	LOC120777950|XP_039965495.1|BTRY	LOC4812519|XP_001352966.2|DPSE
OG0001404	LOC120780098|XP_039968315.1|BTRY	LOC4804384|XP_015039907.1|DPSE
OG0001405	LOC120772539|XP_039957154.1|BTRY	LOC4805705|XP_001362061.3|DPSE
OG0001406	LOC120776087|XP_039962499.1|BTRY	LOC6903006|XP_002132728.1|DPSE, LOC4814627|XP_001354880.2|DPSE
OG0001407	LOC120778664|XP_039966523.1|BTRY	LOC6902488|XP_002133033.3|DPSE, LOC117183188|XP_033236176.1|DPSE, LOC6900695|XP_002135059.2|DPSE
OG0001408	LOC120771189|XP_039955019.1|BTRY	LOC4805667|XP_001362028.2|DPSE
OG0001411	LOC120771347|XP_039955232.1|BTRY	LOC4801581|XP_001358651.2|DPSE
OG0001412	LOC120769326|XP_039952214.1|BTRY	LOC4817506|XP_001356924.4|DPSE
OG0001413	LOC120771740|XP_039955846.1|BTRY, LOC120772413|XP_039956946.1|BTRY, LOC120773077|XP_039957955.1|BTRY	LOC4804109|XP_001360723.2|DPSE
OG0001414	LOC120770585|XP_039954101.1|BTRY	LOC117183189|XP_033233985.1|DPSE, LOC6898405|XP_033233984.1|DPSE
OG0001415	LOC120770770|XP_039954286.1|BTRY	LOC6898333|XP_002138388.2|DPSE, LOC4804010|XP_001360641.3|DPSE
OG0001416	LOC120772487|XP_039957067.1|BTRY	LOC4816135|XP_033236711.1|DPSE
OG0001417	LOC120772071|XP_039956396.1|BTRY, LOC120772354|XP_039956852.1|BTRY, LOC120772152|XP_039956517.1|BTRY, LOC120772187|XP_039956586.1|BTRY	LOC4815671|XP_015041028.2|DPSE
OG0001418	LOC120778054|XP_039965668.1|BTRY	LOC4812707|XP_001353087.3|DPSE
OG0001419	LOC120777768|XP_039965212.1|BTRY, LOC120778044|XP_039965652.1|BTRY	LOC4818169|XP_001357428.3|DPSE, LOC6903544|XP_002132419.2|DPSE
OG0001429	LOC120782830|XP_039971283.1|BTRY	LOC6897285|XP_015037335.2|DPSE
OG0001430	LOC120766978|XP_039948707.1|BTRY	LOC4802004|XP_033235971.1|DPSE
OG0001431	LOC120774499|XP_039960103.1|BTRY	LOC4815815|XP_033239674.1|DPSE
OG0001432	LOC120774090|XP_039959357.1|BTRY	LOC4814404|XP_033239312.1|DPSE
OG0001433	LOC120775203|XP_039961200.1|BTRY	LOC6901708|XP_002134376.2|DPSE, LOC4800932|XP_001358119.3|DPSE
OG0001434	LOC120773915|XP_039959044.1|BTRY	LOC4814818|XP_033241176.1|DPSE
OG0001435	LOC120772309|XP_039956756.1|BTRY	LOC4804343|XP_001360918.3|DPSE, LOC6901740|XP_002134409.2|DPSE
OG0001436	LOC120775484|XP_039961622.1|BTRY	LOC6901855|XP_002133393.1|DPSE
OG0001437	LOC120766433|XP_039947871.1|BTRY	LOC4816856|XP_001356391.1|DPSE
OG0001438	LOC120782733|XP_039971099.1|BTRY	LOC6901931|XP_002133465.3|DPSE, LOC4800623|XP_001357865.2|DPSE
OG0001439	LOC120773869|XP_039958960.1|BTRY	LOC4801550|XP_001358622.2|DPSE
OG0001440	LOC120773373|XP_039958135.1|BTRY	LOC6901561|XP_002134235.3|DPSE
OG0001441	LOC120774491|XP_039960096.1|BTRY	LOC4815177|XP_001354939.2|DPSE
OG0001442	LOC120775633|XP_039961821.1|BTRY	LOC117184543|XP_033238623.1|DPSE, LOC4816112|XP_001355784.2|DPSE
OG0001443	LOC120766472|XP_039947944.1|BTRY	LOC4800405|XP_001357688.2|DPSE
OG0001444	LOC120766241|XP_039947557.1|BTRY	LOC4800958|XP_001358140.3|DPSE
OG0001445	LOC120771628|XP_039955653.1|BTRY, LOC120782761|XP_039971156.1|BTRY	LOC26532481|XP_015039566.1|DPSE, LOC6897777|XP_003736809.3|DPSE
OG0001446	LOC120771368|XP_039955265.1|BTRY	LOC6896960|XP_033232426.1|DPSE
OG0001447	LOC120782492|XP_039970730.1|BTRY	LOC4802832|XP_015038128.2|DPSE
OG0001448	LOC120775555|XP_039961718.1|BTRY	LOC4800396|XP_001357681.2|DPSE
OG0001449	LOC120777333|XP_039964509.1|BTRY	LOC6898959|XP_002138919.1|DPSE
OG0001450	LOC120766855|XP_039948516.1|BTRY	LOC6903339|XP_033235136.1|DPSE
OG0001451	LOC120771731|XP_039955824.1|BTRY	LOC4803471|XP_033234372.1|DPSE
OG0001452	LOC120771041|XP_039954770.1|BTRY	LOC4804251|XP_015039767.2|DPSE
OG0001453	LOC120777772|XP_039965220.1|BTRY	LOC4813723|XP_001353213.1|DPSE
OG0001454	LOC120780351|XP_039968577.1|BTRY	LOC4802098|XP_033232956.1|DPSE
OG0001455	LOC120776551|XP_039963234.1|BTRY	LOC4812289|XP_015043887.2|DPSE
OG0001456	LOC120770451|XP_039953870.1|BTRY	LOC6898426|XP_033235039.1|DPSE
OG0001457	LOC120770960|XP_039954623.1|BTRY	LOC6898347|XP_002138400.2|DPSE
OG0001458	LOC120771956|XP_039956201.1|BTRY	LOC4803884|XP_015039408.1|DPSE
OG0001459	LOC120778806|XP_039966744.1|BTRY	LOC6900728|XP_033239166.1|DPSE
OG0001460	LOC120773018|XP_039957880.1|BTRY	LOC4804906|XP_001361391.4|DPSE
OG0001461	LOC120774970|XP_039960794.1|BTRY	LOC4815237|XP_001355217.2|DPSE, LOC6900775|XP_002135134.2|DPSE
OG0001462	LOC120776832|XP_039963787.1|BTRY	LOC4813013|XP_001353471.1|DPSE
OG0001463	LOC120781706|XP_039969880.1|BTRY	LOC4802674|XP_033240706.1|DPSE
OG0001464	LOC120776193|XP_039962753.1|BTRY	LOC4815559|XP_001355245.2|DPSE
OG0001465	LOC120771390|XP_039955291.1|BTRY	LOC4805316|XP_001361736.1|DPSE
OG0001466	LOC120767954|XP_039950275.1|BTRY	LOC4816529|XP_001355889.3|DPSE, LOC6902457|XP_002133002.2|DPSE
OG0001467	LOC120767261|XP_039949063.1|BTRY	LOC4817029|XP_001356804.1|DPSE
OG0001468	LOC120777662|XP_039965050.1|BTRY	LOC6900906|XP_015042501.1|DPSE
OG0001469	LOC120771471|XP_039955432.1|BTRY	LOC4805343|XP_001361758.3|DPSE
OG0001470	LOC120778470|XP_039966215.1|BTRY	LOC4813699|XP_001353535.1|DPSE
OG0001471	LOC120779131|XP_039967269.1|BTRY	LOC6900617|XP_033237620.1|DPSE
OG0001472	LOC120778778|XP_039966696.1|BTRY	LOC6900268|XP_002135596.2|DPSE, LOC4812557|XP_001352596.1|DPSE
OG0001473	LOC120766625|XP_039948173.1|BTRY	LOC4802762|XP_033241710.1|DPSE
OG0001474	LOC120772046|XP_039956353.1|BTRY	LOC4815065|XP_001355098.3|DPSE, LOC6898022|XP_002138111.1|DPSE
OG0001475	LOC120772157|XP_039956527.1|BTRY	LOC4804087|XP_001360705.3|DPSE, LOC117183749|XP_033234654.1|DPSE
OG0001476	LOC120770240|XP_039953472.1|BTRY	LOC4811726|XP_033234912.1|DPSE
OG0001477	LOC120775537|XP_039961693.1|BTRY	LOC4800999|XP_001358174.1|DPSE
OG0001478	LOC120767348|XP_039949242.1|BTRY	LOC4817152|XP_015035818.2|DPSE
OG0001479	LOC120775463|XP_039961584.1|BTRY	LOC6901137|XP_002134613.1|DPSE
OG0001480	LOC120767608|XP_039949695.1|BTRY, LOC120767609|XP_039949696.1|BTRY	LOC26532259|XP_033239493.1|DPSE, LOC4816871|XP_001356440.2|DPSE
OG0001481	LOC120768586|XP_039951279.1|BTRY, LOC120768585|XP_039951278.1|BTRY	LOC4816575|XP_033235399.1|DPSE
OG0001482	LOC120770049|XP_039953101.1|BTRY, LOC120770087|XP_039953169.1|BTRY	LOC4803816|XP_001360473.2|DPSE
OG0001483	LOC120768403|XP_039951012.1|BTRY	LOC6902747|XP_002133261.3|DPSE
OG0001484	LOC120779760|XP_039968077.1|BTRY	LOC4817380|XP_001356763.3|DPSE
OG0001485	LOC120778497|XP_039966256.1|BTRY	LOC4812899|XP_001353479.2|DPSE
OG0001486	LOC120769218|XP_039952046.1|BTRY	LOC4816791|XP_001356878.2|DPSE
OG0001487	LOC120768652|XP_039951358.1|BTRY	LOC117184005|XP_033235746.1|DPSE, LOC26533936|XP_033235734.1|DPSE
OG0001488	LOC120772670|XP_039957339.1|BTRY	LOC4803343|XP_001360123.1|DPSE
OG0001489	LOC120767342|XP_039949234.1|BTRY	LOC6902623|XP_033236795.1|DPSE
OG0001490	LOC120768019|XP_039950412.1|BTRY	LOC4816681|XP_001356160.2|DPSE
OG0001491	LOC120767808|XP_039950015.1|BTRY	LOC4816854|XP_001356623.1|DPSE
OG0001492	LOC120773901|XP_039959015.1|BTRY	LOC6899617|XP_033237206.1|DPSE
OG0001493	LOC120775542|XP_039961700.1|BTRY	LOC6897402|XP_002137554.1|DPSE, LOC6902134|XP_033239566.1|DPSE
OG0001494	LOC120775051|XP_039960966.1|BTRY	LOC4815259|XP_001355149.2|DPSE
OG0001495	LOC120772349|XP_039956848.1|BTRY	LOC26532043|XP_015039832.2|DPSE, LOC6900450|XP_002134843.2|DPSE
OG0001496	LOC120774130|XP_039959440.1|BTRY	LOC6900610|XP_033240045.1|DPSE, LOC4814682|XP_001354531.1|DPSE
OG0001497	LOC120771775|XP_039955900.1|BTRY, LOC120769646|XP_039952685.1|BTRY	LOC4804501|XP_001361056.2|DPSE
OG0001498	LOC120766179|XP_039947470.1|BTRY	LOC6897855|XP_003736867.2|DPSE
OG0001500	LOC120771482|XP_039955453.1|BTRY	LOC6899126|XP_033233194.1|DPSE, LOC6899125|XP_015040870.2|DPSE, LOC4805743|XP_001362090.1|DPSE
OG0001501	LOC120772387|XP_039956914.1|BTRY, LOC120782885|XP_039971368.1|BTRY	LOC4802582|XP_001359476.3|DPSE
OG0001502	LOC120770256|XP_039953493.1|BTRY	LOC4804017|XP_001360647.2|DPSE
OG0001503	LOC120771588|XP_039955593.1|BTRY, LOC120770730|XP_039954254.1|BTRY, LOC120770732|XP_039954256.1|BTRY, LOC120772319|XP_039956771.1|BTRY	LOC4803495|XP_033233832.1|DPSE
OG0001504	LOC120774259|XP_039959659.1|BTRY	LOC6901832|XP_033237623.1|DPSE
OG0001506	LOC120773003|XP_039957855.1|BTRY	LOC4803384|XP_001357539.2|DPSE
OG0001507	LOC120770341|XP_039953673.1|BTRY	LOC6898842|XP_015040510.2|DPSE
OG0001508	LOC120772145|XP_039956512.1|BTRY	LOC4804500|XP_001361055.2|DPSE
OG0001509	LOC120771580|XP_039955582.1|BTRY	LOC4803692|XP_015039277.2|DPSE
OG0001510	LOC120781615|XP_039969785.1|BTRY	LOC4818051|XP_001357203.1|DPSE
OG0001512	LOC120777746|XP_039965173.1|BTRY	LOC4813908|XP_001353240.2|DPSE
OG0001513	LOC120778691|XP_039966570.1|BTRY	LOC4813557|XP_033237473.1|DPSE
OG0001515	LOC120775510|XP_039961653.1|BTRY	LOC6901149|XP_002134625.1|DPSE, LOC6897372|XP_002137525.3|DPSE
OG0001517	LOC120782375|XP_039970550.1|BTRY	LOC4800665|XP_001357897.3|DPSE
OG0001518	LOC120779306|XP_039967452.1|BTRY, LOC120766787|XP_039948417.1|BTRY, LOC120775873|XP_039962180.1|BTRY	LOC4815243|XP_001355130.4|DPSE
OG0001519	LOC120780565|XP_039968760.1|BTRY	LOC4802981|XP_001359790.3|DPSE
OG0001520	LOC120767096|XP_039948911.1|BTRY	LOC4801929|XP_001358947.1|DPSE
OG0001521	LOC120767572|XP_039949643.1|BTRY	LOC4817973|XP_001357298.2|DPSE, LOC6903413|XP_033235958.1|DPSE
OG0001523	LOC120772775|XP_039957485.1|BTRY, LOC120772774|XP_039957484.1|BTRY, LOC120772773|XP_039957482.1|BTRY	LOC4805224|XP_001361663.3|DPSE
OG0001524	LOC120769997|XP_039953020.1|BTRY	LOC6898942|XP_002138905.2|DPSE, LOC4805404|XP_033234435.1|DPSE
OG0001525	LOC120775416|XP_039961527.1|BTRY	LOC6901466|XP_015041725.2|DPSE, LOC6901467|XP_002134153.3|DPSE
OG0001526	LOC120773750|XP_039958748.1|BTRY, LOC120775799|XP_039962077.1|BTRY	LOC6901419|XP_002134105.2|DPSE
OG0001527	LOC120775206|XP_039961204.1|BTRY	LOC117184663|XP_033239147.1|DPSE
OG0001528	LOC120777088|XP_039964156.1|BTRY	LOC117183222|XP_033233117.1|DPSE, LOC117183323|XP_033232739.1|DPSE, LOC6897003|XP_033241814.1|DPSE, LOC117183192|XP_033240454.1|DPSE, LOC4801024|XP_001358194.5|DPSE
OG0001534	LOC120773392|XP_039958161.1|BTRY	LOC6902031|XP_033237898.1|DPSE
OG0001535	LOC120775729|XP_039961981.1|BTRY	LOC4814357|XP_001354423.1|DPSE
OG0001536	LOC120775631|XP_039961819.1|BTRY	LOC4814601|XP_001354832.2|DPSE
OG0001537	LOC120769213|XP_039952040.1|BTRY	LOC6902813|XP_015035819.2|DPSE, LOC4817068|XP_001356428.1|DPSE
OG0001538	LOC120774223|XP_039959615.1|BTRY	LOC6902153|XP_015041209.2|DPSE
OG0001539	LOC120769993|XP_039953013.1|BTRY	LOC4803955|XP_001360593.2|DPSE
OG0001540	LOC120767701|XP_039949832.1|BTRY	LOC6899940|XP_002135308.2|DPSE, LOC26532228|XP_015037482.2|DPSE, LOC4816801|XP_001356412.3|DPSE
OG0001541	LOC120778886|XP_039966865.1|BTRY	LOC4812581|XP_001352392.3|DPSE
OG0001542	LOC120780462|XP_039968670.1|BTRY, LOC120780966|XP_039969127.1|BTRY	LOC4802105|XP_002137604.3|DPSE
OG0001543	LOC120776148|XP_039962623.1|BTRY	LOC4814491|XP_001354698.2|DPSE
OG0001544	LOC120774774|XP_039960479.1|BTRY	LOC6901826|XP_015042172.2|DPSE
OG0001545	LOC120774829|XP_039960574.1|BTRY	LOC6901886|XP_033237687.1|DPSE
OG0001546	LOC120774220|XP_039959610.1|BTRY	LOC4815501|XP_033237685.1|DPSE
OG0001547	LOC120776049|XP_039962433.1|BTRY, LOC120774592|XP_039960258.1|BTRY	LOC6901306|XP_033240413.1|DPSE
OG0001548	LOC120775951|XP_039962296.1|BTRY	LOC6902854|XP_002132590.1|DPSE, LOC4814556|XP_015041555.1|DPSE
OG0001549	LOC120768282|XP_039950846.1|BTRY	LOC6902880|XP_015035927.2|DPSE
OG0001550	LOC120769353|XP_039952286.1|BTRY	LOC6897009|XP_002137194.3|DPSE
OG0001551	LOC120781953|XP_039970050.1|BTRY	LOC4800916|XP_015038617.2|DPSE
OG0001552	LOC120766190|XP_039947481.1|BTRY	LOC4800355|XP_001357559.1|DPSE
OG0001553	LOC120773720|XP_039958701.1|BTRY, LOC120776008|XP_039962377.1|BTRY	LOC4814982|XP_033239500.1|DPSE
OG0001554	LOC120773438|XP_039958258.1|BTRY	LOC4801012|XP_015038636.2|DPSE
OG0001555	LOC120769338|XP_039952228.1|BTRY	LOC4817337|XP_001356893.1|DPSE
OG0001556	LOC120770110|XP_039953215.1|BTRY	LOC4804780|XP_001361289.1|DPSE
OG0001557	LOC120774237|XP_039959632.1|BTRY	LOC4815477|XP_015041023.2|DPSE
OG0001558	LOC120776051|XP_039962442.1|BTRY	LOC26532991|XP_015044202.2|DPSE, LOC4811768|XP_033238062.1|DPSE
OG0001559	LOC120766322|XP_039947680.1|BTRY	LOC4801718|XP_001358763.3|DPSE
OG0001561	LOC120766537|XP_039948049.1|BTRY, LOC120766528|XP_039948032.1|BTRY	LOC4801206|XP_015037090.2|DPSE
OG0001562	LOC120782857|XP_039971324.1|BTRY	LOC4816177|XP_001355789.3|DPSE
OG0001563	LOC120771274|XP_039955133.1|BTRY	LOC6899766|XP_033241743.1|DPSE
OG0001564	LOC120766484|XP_039947962.1|BTRY	LOC4800966|XP_033241641.1|DPSE
OG0001565	LOC120766874|XP_039948539.1|BTRY	LOC4801588|XP_001358657.4|DPSE
OG0001566	LOC120782328|XP_039970487.1|BTRY	LOC6901752|XP_002134421.1|DPSE, LOC6897361|XP_002137514.1|DPSE
OG0001567	LOC120772164|XP_039956538.1|BTRY	LOC4805109|XP_001361567.2|DPSE
OG0001568	LOC120782686|XP_039971015.1|BTRY	LOC4801949|XP_033232924.1|DPSE
OG0001569	LOC120782487|XP_039970722.1|BTRY	LOC6897137|XP_015037138.2|DPSE
OG0001570	LOC120782368|XP_039970540.1|BTRY	LOC4801271|XP_001358391.3|DPSE
OG0001572	LOC120775782|XP_039962053.1|BTRY	LOC4814552|XP_001355107.2|DPSE
OG0001573	LOC120777599|XP_039964971.1|BTRY, LOC120777157|XP_039964235.1|BTRY	LOC6900063|XP_033238385.1|DPSE
OG0001574	LOC120776055|XP_039962447.1|BTRY, LOC120781219|XP_039969282.1|BTRY	LOC4815338|XP_001354779.2|DPSE
OG0001575	LOC120780662|XP_039968858.1|BTRY	LOC4801789|XP_003736600.3|DPSE
OG0001576	LOC120766533|XP_039948038.1|BTRY	LOC4803146|XP_001359936.1|DPSE
