Orthogroup	BTRY.longest_only	DVIR.longest_only
OG0001489	LOC120767342|XP_039949234.1|BTRY	LOC6628302|XP_032293705.1|DVIR
OG0001490	LOC120768019|XP_039950412.1|BTRY	LOC6628805|XP_002051228.2|DVIR
OG0001491	LOC120767808|XP_039950015.1|BTRY	LOC6628875|XP_002052341.2|DVIR, LOC6628874|XP_002052340.1|DVIR, LOC6628876|XP_002052342.1|DVIR
OG0001492	LOC120773901|XP_039959015.1|BTRY	LOC26530471|XP_002059192.2|DVIR
OG0001493	LOC120775542|XP_039961700.1|BTRY	LOC6634276|XP_002057693.2|DVIR, LOC6634813|XP_002058139.1|DVIR
OG0001494	LOC120775051|XP_039960966.1|BTRY	LOC6631633|XP_002055136.1|DVIR
OG0001495	LOC120772349|XP_039956848.1|BTRY	LOC6627251|XP_002050402.1|DVIR
OG0001496	LOC120774130|XP_039959440.1|BTRY	LOC6634496|XP_002058234.1|DVIR
OG0001497	LOC120771775|XP_039955900.1|BTRY, LOC120769646|XP_039952685.1|BTRY	LOC6625685|XP_002050318.1|DVIR
OG0001498	LOC120766179|XP_039947470.1|BTRY	LOC6632276|XP_002056414.3|DVIR
OG0001500	LOC120771482|XP_039955453.1|BTRY	LOC6635366|XP_002058890.1|DVIR
OG0001501	LOC120772387|XP_039956914.1|BTRY, LOC120782885|XP_039971368.1|BTRY	LOC116651718|XP_032294565.1|DVIR, LOC6630896|XP_002053125.2|DVIR
OG0001502	LOC120770256|XP_039953493.1|BTRY	LOC6626454|XP_015029404.1|DVIR
OG0001503	LOC120771588|XP_039955593.1|BTRY, LOC120770730|XP_039954254.1|BTRY, LOC120770732|XP_039954256.1|BTRY, LOC120772319|XP_039956771.1|BTRY	LOC6625422|XP_032292789.1|DVIR
OG0001504	LOC120774259|XP_039959659.1|BTRY	LOC6633630|XP_032295937.1|DVIR
OG0001505	LOC120770074|XP_039953137.1|BTRY	LOC6626095|XP_015029787.2|DVIR
OG0001506	LOC120773003|XP_039957855.1|BTRY	LOC6625521|XP_002048997.1|DVIR
OG0001507	LOC120770341|XP_039953673.1|BTRY	LOC6624736|XP_002049739.1|DVIR
OG0001508	LOC120772145|XP_039956512.1|BTRY	LOC6625073|XP_002049086.1|DVIR
OG0001509	LOC120771580|XP_039955582.1|BTRY	LOC6626252|XP_032293162.1|DVIR
OG0001510	LOC120781615|XP_039969785.1|BTRY	LOC6628916|XP_002051384.1|DVIR
OG0001512	LOC120777746|XP_039965173.1|BTRY	LOC6622570|XP_002046662.1|DVIR
OG0001513	LOC120778691|XP_039966570.1|BTRY	LOC6624512|XP_032291000.1|DVIR
OG0001515	LOC120775510|XP_039961653.1|BTRY	LOC6635503|XP_002059043.1|DVIR
OG0001517	LOC120782375|XP_039970550.1|BTRY	LOC26530359|XP_032289499.1|DVIR, LOC6633220|XP_002055985.1|DVIR
OG0001518	LOC120779306|XP_039967452.1|BTRY, LOC120766787|XP_039948417.1|BTRY, LOC120775873|XP_039962180.1|BTRY	LOC6631991|XP_032296168.1|DVIR
OG0001519	LOC120780565|XP_039968760.1|BTRY	LOC6632496|XP_032289569.1|DVIR
OG0001520	LOC120767096|XP_039948911.1|BTRY	LOC6630307|XP_002054192.1|DVIR
OG0001521	LOC120767572|XP_039949643.1|BTRY	LOC6633942|XP_002057612.1|DVIR
OG0001522	LOC120767581|XP_039949660.1|BTRY	LOC26530739|XP_015028845.1|DVIR
OG0001523	LOC120772775|XP_039957485.1|BTRY, LOC120772774|XP_039957484.1|BTRY, LOC120772773|XP_039957482.1|BTRY	LOC6636360|XP_032292054.1|DVIR
OG0001524	LOC120769997|XP_039953020.1|BTRY	LOC6625065|XP_032293034.1|DVIR, LOC6625064|XP_002049211.1|DVIR
OG0001525	LOC120775416|XP_039961527.1|BTRY	LOC6629655|XP_002053594.2|DVIR, LOC6636042|XP_032295758.1|DVIR
OG0001526	LOC120773750|XP_039958748.1|BTRY, LOC120775799|XP_039962077.1|BTRY	LOC6636726|XP_002060121.1|DVIR
OG0001527	LOC120775205|XP_039961202.1|BTRY, LOC120775206|XP_039961204.1|BTRY	LOC6631625|XP_015026695.1|DVIR
OG0001528	LOC120777088|XP_039964156.1|BTRY	LOC6636973|XP_032291157.1|DVIR, LOC6630648|XP_032288745.1|DVIR
OG0001534	LOC120773392|XP_039958161.1|BTRY	LOC6633419|XP_002056818.2|DVIR, LOC6633420|XP_015025564.2|DVIR
OG0001535	LOC120775729|XP_039961981.1|BTRY	LOC6632158|XP_002055767.1|DVIR
OG0001536	LOC120775631|XP_039961819.1|BTRY	LOC6633483|XP_002056992.1|DVIR
OG0001537	LOC120769213|XP_039952040.1|BTRY	LOC6627849|XP_002052844.1|DVIR
OG0001538	LOC120774223|XP_039959615.1|BTRY	LOC6636137|XP_002059531.1|DVIR
OG0001539	LOC120769993|XP_039953013.1|BTRY	LOC6626037|XP_002050804.1|DVIR
OG0001540	LOC120767701|XP_039949832.1|BTRY	LOC6628382|XP_002052634.2|DVIR
OG0001541	LOC120778886|XP_039966865.1|BTRY	LOC6622387|XP_002047931.1|DVIR
OG0001542	LOC120780966|XP_039969127.1|BTRY	LOC6632523|XP_015025960.1|DVIR
OG0001543	LOC120776148|XP_039962623.1|BTRY	LOC6631988|XP_032296213.1|DVIR
OG0001544	LOC120774774|XP_039960479.1|BTRY	LOC6633701|XP_032295821.1|DVIR
OG0001545	LOC120774829|XP_039960574.1|BTRY	LOC6633675|XP_002057280.2|DVIR
OG0001546	LOC120774220|XP_039959610.1|BTRY	LOC6633293|XP_032296587.1|DVIR
OG0001547	LOC120776049|XP_039962433.1|BTRY, LOC120774592|XP_039960258.1|BTRY	LOC6635603|XP_032296130.1|DVIR
OG0001548	LOC120775951|XP_039962296.1|BTRY	LOC6632140|XP_015026672.1|DVIR
OG0001549	LOC120768282|XP_039950846.1|BTRY	LOC6627927|XP_032294527.1|DVIR
OG0001550	LOC120769353|XP_039952286.1|BTRY	LOC6631201|XP_002053043.1|DVIR
OG0001551	LOC120781953|XP_039970050.1|BTRY	LOC6635098|XP_002058360.2|DVIR
OG0001552	LOC120766190|XP_039947481.1|BTRY	LOC6632817|XP_002055904.2|DVIR, LOC6636395|XP_002059964.1|DVIR
OG0001553	LOC120773720|XP_039958701.1|BTRY, LOC120776008|XP_039962377.1|BTRY	LOC6631643|XP_002055362.1|DVIR
OG0001554	LOC120773438|XP_039958258.1|BTRY	LOC6629711|XP_015027366.2|DVIR, LOC26531409|XP_015027896.1|DVIR
OG0001555	LOC120769338|XP_039952228.1|BTRY	LOC6627939|XP_002052664.1|DVIR
OG0001556	LOC120770110|XP_039953215.1|BTRY	LOC6626809|XP_002050926.1|DVIR
OG0001557	LOC120774237|XP_039959632.1|BTRY	LOC6634812|XP_032296285.1|DVIR
OG0001558	LOC120776051|XP_039962442.1|BTRY	LOC6636517|XP_002060007.1|DVIR
OG0001559	LOC120766322|XP_039947680.1|BTRY	LOC6630035|XP_002054026.1|DVIR
OG0001561	LOC120766537|XP_039948049.1|BTRY, LOC120766528|XP_039948032.1|BTRY	LOC6630692|XP_002054399.1|DVIR
OG0001562	LOC120782857|XP_039971324.1|BTRY	LOC6627453|XP_002052475.1|DVIR
OG0001563	LOC120771274|XP_039955133.1|BTRY	LOC6635263|XP_002058739.1|DVIR
OG0001564	LOC120766484|XP_039947962.1|BTRY	LOC6634940|XP_032294819.1|DVIR
OG0001565	LOC120766874|XP_039948539.1|BTRY	LOC6631006|XP_032291625.1|DVIR
OG0001566	LOC120782328|XP_039970487.1|BTRY	LOC6631194|XP_002054839.1|DVIR
OG0001567	LOC120772164|XP_039956538.1|BTRY	LOC6626729|XP_032293014.1|DVIR
OG0001568	LOC120782686|XP_039971015.1|BTRY	LOC6630739|XP_032294785.1|DVIR
OG0001569	LOC120782487|XP_039970722.1|BTRY	LOC6635004|XP_002058517.1|DVIR
OG0001570	LOC120782368|XP_039970540.1|BTRY	LOC6632235|XP_002056084.1|DVIR
OG0001572	LOC120775782|XP_039962053.1|BTRY	LOC6631909|XP_002055590.1|DVIR
OG0001573	LOC120777157|XP_039964235.1|BTRY	LOC6636548|XP_032291461.1|DVIR
OG0001574	LOC120776055|XP_039962447.1|BTRY, LOC120781219|XP_039969282.1|BTRY	LOC6631446|XP_032295885.1|DVIR
OG0001575	LOC120780662|XP_039968858.1|BTRY	LOC6635056|XP_032295162.1|DVIR, LOC6635055|XP_002058622.1|DVIR
OG0001576	LOC120766533|XP_039948038.1|BTRY	LOC6629579|XP_002054871.1|DVIR
OG0001577	LOC120768550|XP_039951227.1|BTRY, LOC120769307|XP_039952174.1|BTRY	LOC6635038|XP_015024840.1|DVIR
OG0001578	LOC120772667|XP_039957335.1|BTRY	LOC6624886|XP_002050976.2|DVIR
OG0001579	LOC120774265|XP_039959669.1|BTRY	LOC6634558|XP_032296467.1|DVIR
OG0001580	LOC120770174|XP_039953322.1|BTRY	LOC6626554|XP_015029140.1|DVIR
OG0001581	LOC120773814|XP_039958855.1|BTRY	LOC6631895|XP_032295271.1|DVIR
OG0001582	LOC120770043|XP_039953092.1|BTRY	LOC6635942|XP_002059294.2|DVIR
OG0001583	LOC120771741|XP_039955847.1|BTRY	LOC6635884|XP_032292196.1|DVIR
OG0001584	LOC120777659|XP_039965046.1|BTRY	LOC6623401|XP_002047781.1|DVIR
OG0001585	LOC120775963|XP_039962308.1|BTRY	LOC6634799|XP_002058134.3|DVIR
OG0001586	LOC120777890|XP_039965386.1|BTRY	LOC6624641|XP_002046648.1|DVIR
OG0001587	LOC120771025|XP_039954735.1|BTRY	LOC6626124|XP_002050031.1|DVIR
OG0001588	LOC120781566|XP_039969737.1|BTRY, LOC120779466|XP_039967663.1|BTRY, LOC120780829|XP_039969007.1|BTRY, LOC120781620|XP_039969787.1|BTRY, LOC120778336|XP_039966064.1|BTRY, LOC120778376|XP_039966097.1|BTRY, LOC120772130|XP_039956480.1|BTRY	LOC6626346|XP_002050347.1|DVIR
OG0001589	LOC120767539|XP_039949577.1|BTRY	LOC6629177|XP_002052372.1|DVIR
OG0001590	LOC120772466|XP_039957038.1|BTRY	LOC6625510|XP_032292927.1|DVIR
OG0001591	LOC120774435|XP_039960013.1|BTRY	LOC6635029|XP_015024843.1|DVIR
OG0001592	LOC120768200|XP_039950706.1|BTRY	LOC6635672|XP_015024410.2|DVIR
OG0001593	LOC120768303|XP_039950867.1|BTRY	LOC6635669|XP_032294680.1|DVIR
OG0001594	LOC120769207|XP_039952035.1|BTRY	LOC6627370|XP_032294134.1|DVIR
OG0001595	LOC120768888|XP_039951575.1|BTRY, LOC120770067|XP_039953123.1|BTRY	LOC6625393|XP_002050138.2|DVIR
OG0001596	LOC120767379|XP_039949302.1|BTRY	LOC26531871|XP_015025417.1|DVIR, LOC6633940|XP_002057610.1|DVIR
OG0001597	LOC120768904|XP_039951600.1|BTRY, LOC120767560|XP_039949631.1|BTRY	LOC6629005|XP_032293487.1|DVIR
OG0001599	LOC120767223|XP_039949018.1|BTRY, LOC120769042|XP_039951823.1|BTRY	LOC6628073|XP_002051438.1|DVIR
OG0001600	LOC120769367|XP_039952262.1|BTRY	LOC6628579|XP_032293419.1|DVIR
OG0001601	LOC120769383|XP_039952285.1|BTRY	LOC6628167|XP_002051463.1|DVIR
OG0001602	LOC120769016|XP_039951794.1|BTRY, LOC120768423|XP_039951038.1|BTRY	LOC6634071|XP_002057873.1|DVIR
OG0001603	LOC120781755|XP_039969921.1|BTRY	LOC6634034|XP_002057771.3|DVIR
OG0001604	LOC120775318|XP_039961389.1|BTRY	LOC6633240|XP_002057410.1|DVIR, LOC6629656|XP_002053595.1|DVIR
OG0001605	LOC120771906|XP_039956122.1|BTRY	LOC6626807|XP_002050924.1|DVIR
OG0001606	LOC120771194|XP_039955024.1|BTRY	LOC6626144|XP_032292508.1|DVIR
OG0001607	LOC120768129|XP_039950617.1|BTRY	LOC6627701|XP_002051985.1|DVIR
OG0001608	LOC120767966|XP_039950303.1|BTRY	LOC6633945|XP_002057832.1|DVIR
OG0001609	LOC120771513|XP_039955502.1|BTRY	LOC6636380|XP_002059909.1|DVIR
OG0001610	LOC120768040|XP_039950474.1|BTRY	LOC6634354|XP_002057818.2|DVIR
OG0001611	LOC120767394|XP_039949347.1|BTRY	LOC6634650|XP_002058301.3|DVIR, LOC6627980|XP_002052692.2|DVIR
OG0001612	LOC120769047|XP_039951829.1|BTRY	LOC6628384|XP_002052636.1|DVIR
OG0001613	LOC120781708|XP_039969874.1|BTRY	LOC6628091|XP_002051151.1|DVIR
OG0001614	LOC120770261|XP_039953505.1|BTRY	LOC6625998|XP_032292709.1|DVIR
OG0001615	LOC120768094|XP_039950567.1|BTRY	LOC6627742|XP_015028037.1|DVIR
OG0001616	LOC120768168|XP_039950666.1|BTRY	LOC6628926|XP_002052349.1|DVIR
OG0001617	LOC120767737|XP_039949880.1|BTRY	LOC6628393|XP_015028130.1|DVIR
OG0001618	LOC120781739|XP_039969906.1|BTRY	LOC6636275|XP_002059688.3|DVIR
OG0001619	LOC120768673|XP_039951384.1|BTRY	LOC6627417|XP_002051090.1|DVIR
OG0001620	LOC120771749|XP_039955854.1|BTRY	LOC6633678|XP_002057283.2|DVIR, LOC6633679|XP_002057284.1|DVIR
OG0001621	LOC120771724|XP_039955812.1|BTRY, LOC120771723|XP_039955811.1|BTRY	LOC6624982|XP_032292122.1|DVIR
OG0001622	LOC120773571|XP_039958475.1|BTRY	LOC6636031|XP_002059636.1|DVIR
OG0001623	LOC120769015|XP_039951792.1|BTRY	LOC6627777|XP_032294236.1|DVIR
OG0001624	LOC120768671|XP_039951382.1|BTRY	LOC6634215|XP_002057808.1|DVIR
OG0001625	LOC120767589|XP_039949671.1|BTRY	LOC6624951|XP_002049175.2|DVIR, LOC6628782|XP_002051065.1|DVIR
OG0001626	LOC120769165|XP_039951984.1|BTRY, LOC120780775|XP_039968961.1|BTRY, LOC120781525|XP_039969681.1|BTRY, LOC120768868|XP_039951592.1|BTRY, LOC120780853|XP_039969025.1|BTRY, LOC120780708|XP_039968902.1|BTRY	LOC6627793|XP_002052681.2|DVIR
OG0001627	LOC120766512|XP_039948013.1|BTRY	LOC6630269|XP_002053698.1|DVIR
OG0001628	LOC120782304|XP_039970448.1|BTRY	LOC6630020|XP_032292713.1|DVIR
OG0001629	LOC120780301|XP_039968525.1|BTRY	LOC6635260|XP_032296678.1|DVIR
OG0001630	LOC120774406|XP_039959964.1|BTRY	LOC6635057|XP_002058624.1|DVIR
OG0001631	LOC120766490|XP_039947975.1|BTRY	LOC6629460|XP_002054707.1|DVIR
OG0001632	LOC120773864|XP_039958954.1|BTRY	LOC6629097|XP_002052442.1|DVIR
OG0001633	LOC120782174|XP_039970245.1|BTRY	LOC6632294|XP_002056736.1|DVIR
OG0001634	LOC120780977|XP_039969136.1|BTRY	LOC6635246|XP_032296667.1|DVIR
OG0001635	LOC120767014|XP_039948776.1|BTRY	LOC6630863|XP_002053465.1|DVIR
OG0001636	LOC120782607|XP_039970905.1|BTRY	LOC6630794|XP_002054652.1|DVIR
OG0001637	LOC120782767|XP_039971163.1|BTRY	LOC6629588|XP_002052995.1|DVIR
OG0001638	LOC120775623|XP_039961806.1|BTRY	LOC6633428|XP_002057221.2|DVIR
OG0001639	LOC120773453|XP_039958280.1|BTRY	LOC6635865|XP_002059339.2|DVIR
OG0001640	LOC120782481|XP_039970709.1|BTRY	LOC6630700|XP_015027746.1|DVIR
OG0001641	LOC120776372|XP_039962892.1|BTRY, LOC120776378|XP_039962907.1|BTRY	LOC6630119|XP_002053390.1|DVIR
OG0001642	LOC120768516|XP_039951178.1|BTRY	LOC6631893|XP_002055494.1|DVIR
OG0001643	LOC120778751|XP_039966661.1|BTRY	LOC6628428|XP_032294349.1|DVIR
OG0001644	LOC120777827|XP_039965298.1|BTRY	LOC6623223|XP_002047631.2|DVIR
OG0001645	LOC120771713|XP_039955796.1|BTRY	LOC6626701|XP_032292740.1|DVIR
OG0001646	LOC120771007|XP_039954704.1|BTRY	LOC6625117|XP_002049497.1|DVIR
OG0001647	LOC120773110|XP_039958038.1|BTRY	LOC6625419|XP_032292754.1|DVIR
OG0001648	LOC120777228|XP_039964342.1|BTRY	LOC6624082|XP_032294396.1|DVIR, LOC116650710|XP_032291056.1|DVIR
OG0001649	LOC120771979|XP_039956268.1|BTRY	LOC6626679|XP_002050874.1|DVIR
OG0001650	LOC120770854|XP_039954397.1|BTRY, LOC120771106|XP_039954884.1|BTRY	LOC6626085|XP_032293018.1|DVIR
OG0001651	LOC120773100|XP_039958005.1|BTRY	LOC6626016|XP_002050240.2|DVIR
OG0001652	LOC120777615|XP_039964997.1|BTRY, LOC120777616|XP_039964998.1|BTRY, LOC120777612|XP_039964995.1|BTRY, LOC120778126|XP_039965763.1|BTRY, LOC120777630|XP_039965017.1|BTRY	LOC6624475|XP_002048399.1|DVIR
OG0001653	LOC120779006|XP_039967059.1|BTRY	LOC6624244|XP_002048656.1|DVIR
OG0001654	LOC120770472|XP_039953901.1|BTRY	LOC6625050|XP_002049171.1|DVIR
OG0001655	LOC120771349|XP_039955230.1|BTRY	LOC6625107|XP_002049281.2|DVIR
OG0001656	LOC120769468|XP_039952417.1|BTRY	LOC6628735|XP_002051072.2|DVIR
OG0001657	LOC120779047|XP_039967118.1|BTRY	LOC6623640|XP_002048241.1|DVIR
OG0001658	LOC120778524|XP_039966293.1|BTRY	LOC6624681|XP_002047644.1|DVIR
OG0001659	LOC120778116|XP_039965752.1|BTRY	LOC6622043|XP_002047961.1|DVIR
OG0001660	LOC120778098|XP_039965734.1|BTRY	LOC6624689|XP_002046642.1|DVIR
OG0001661	LOC120780265|XP_039968455.1|BTRY	LOC6629172|XP_002051911.1|DVIR, LOC6632467|XP_002055803.1|DVIR
OG0001662	LOC120776586|XP_039963289.1|BTRY	LOC6622471|XP_002046420.2|DVIR
OG0001663	LOC120766934|XP_039948618.1|BTRY	LOC6632891|XP_002056191.1|DVIR
OG0001663	LOC120766620|XP_039948165.1|BTRY	LOC6632890|XP_002056190.2|DVIR
OG0001664	LOC120772272|XP_039956710.1|BTRY	LOC6625097|XP_002049548.1|DVIR
OG0001664	LOC120772614|XP_039957262.1|BTRY	LOC6625272|XP_002049363.1|DVIR
OG0001666	LOC120769107|XP_039951903.1|BTRY, LOC120775078|XP_039961006.1|BTRY, LOC120777641|XP_039965027.1|BTRY	LOC6627997|XP_002051786.1|DVIR
OG0001667	LOC120772049|XP_039956355.1|BTRY	LOC6625155|XP_002050616.2|DVIR
OG0001668	LOC120777563|XP_039964893.1|BTRY	LOC6624478|XP_002046534.1|DVIR
OG0001669	LOC120777153|XP_039964232.1|BTRY	LOC6623370|XP_002047775.3|DVIR
OG0001670	LOC120777810|XP_039965279.1|BTRY	LOC6625804|XP_002049188.1|DVIR
OG0001678	LOC120773994|XP_039959194.1|BTRY	LOC6631416|XP_032295640.1|DVIR
OG0001679	LOC120775406|XP_039961504.1|BTRY	LOC6636177|XP_002059563.1|DVIR
OG0001680	LOC120774834|XP_039960583.1|BTRY	LOC6629747|XP_002053889.1|DVIR, LOC6634612|XP_002058097.3|DVIR
OG0001681	LOC120775858|XP_039962162.1|BTRY	LOC6632197|XP_032295509.1|DVIR
OG0001682	LOC120775617|XP_039961798.1|BTRY	LOC6633484|XP_002056993.1|DVIR
OG0001683	LOC120767545|XP_039949590.1|BTRY	LOC6634310|XP_002057560.1|DVIR
OG0001684	LOC120779634|XP_039967915.1|BTRY	LOC6636231|XP_002059711.1|DVIR
OG0001685	LOC120767886|XP_039950144.1|BTRY	LOC6627830|XP_002051754.1|DVIR
OG0001686	LOC120773689|XP_039958656.1|BTRY	LOC6636719|XP_002060192.1|DVIR
OG0001687	LOC120775256|XP_039961272.1|BTRY	LOC6634595|XP_002058250.1|DVIR
OG0001688	LOC120775415|XP_039961525.1|BTRY	LOC6636043|XP_002059570.1|DVIR
OG0001689	LOC120774050|XP_039959286.1|BTRY	LOC6636165|XP_032295804.1|DVIR
OG0001690	LOC120778546|XP_039966329.1|BTRY	LOC6622427|XP_002047201.1|DVIR
OG0001691	LOC120767694|XP_039949819.1|BTRY	LOC6628425|XP_002051864.1|DVIR
OG0001693	LOC120773621|XP_039958558.1|BTRY	LOC6634552|XP_002057969.1|DVIR
OG0001694	LOC120766963|XP_039948686.1|BTRY	LOC6632586|XP_015025869.2|DVIR
OG0001695	LOC120775207|XP_039961205.1|BTRY	LOC6629748|XP_002053890.1|DVIR, LOC6636636|XP_002060103.1|DVIR
OG0001696	LOC120766771|XP_039948385.1|BTRY	LOC6631252|XP_032288902.1|DVIR
OG0001697	LOC120780525|XP_039968725.1|BTRY	LOC6635230|XP_032296693.1|DVIR
OG0001698	LOC120773831|XP_039958878.1|BTRY	LOC6634422|XP_032289268.1|DVIR
OG0001699	LOC120766782|XP_039948408.1|BTRY	LOC6629707|XP_015027257.1|DVIR
OG0001700	LOC120782051|XP_039970139.1|BTRY	LOC6631235|XP_002054664.2|DVIR
OG0001701	LOC120770465|XP_039953898.1|BTRY	LOC6635179|XP_032294978.1|DVIR
OG0001702	LOC120767466|XP_039949488.1|BTRY	LOC6633956|XP_002057759.1|DVIR
OG0001703	LOC120778914|XP_039966898.1|BTRY	LOC6635096|XP_002058358.2|DVIR
OG0001704	LOC120782453|XP_039970675.1|BTRY	LOC6635095|XP_032289349.1|DVIR
OG0001705	LOC120782483|XP_039970714.1|BTRY	LOC6626145|XP_015030170.1|DVIR
OG0001706	LOC120769700|XP_039952761.1|BTRY	LOC6633908|XP_002057601.1|DVIR
OG0001707	LOC120766391|XP_039947766.1|BTRY	LOC6631175|XP_002054305.2|DVIR
OG0001708	LOC120777881|XP_039965377.1|BTRY	LOC6634839|XP_002058519.1|DVIR
OG0001709	LOC120778146|XP_039965804.1|BTRY	LOC6622167|XP_002047079.1|DVIR
OG0001710	LOC120766504|XP_039947995.1|BTRY	LOC6630410|XP_002054198.1|DVIR
OG0001711	LOC120766563|XP_039948091.1|BTRY	LOC6630563|XP_015027683.1|DVIR
OG0001712	LOC120766578|XP_039948105.1|BTRY	LOC6630773|XP_002054831.1|DVIR
OG0001713	LOC120781943|XP_039970043.1|BTRY	LOC6630414|XP_002053289.1|DVIR, LOC6630597|XP_002053288.1|DVIR
OG0001714	LOC120782578|XP_039970855.1|BTRY	LOC6633102|XP_002056582.1|DVIR
OG0001715	LOC120773976|XP_039959157.1|BTRY	LOC6632005|XP_032295440.1|DVIR
OG0001716	LOC120774900|XP_039960702.1|BTRY	LOC6633711|XP_002057115.2|DVIR, LOC6632032|XP_002055498.1|DVIR
OG0001717	LOC120768973|XP_039951709.1|BTRY	LOC6635214|XP_002058402.3|DVIR
OG0001718	LOC120774975|XP_039960810.1|BTRY	LOC6632386|XP_032289423.1|DVIR
OG0001719	LOC120782615|XP_039970917.1|BTRY	LOC6630924|XP_002054313.2|DVIR
OG0001720	LOC120780228|XP_039968413.1|BTRY	LOC26531126|XP_032288916.1|DVIR
OG0001721	LOC120782003|XP_039970102.1|BTRY	LOC26531576|XP_015026293.1|DVIR
OG0001722	LOC120779073|XP_039967145.1|BTRY	LOC6624468|XP_032290389.1|DVIR
OG0001723	LOC120771972|XP_039956257.1|BTRY	LOC6636375|XP_002059904.3|DVIR
OG0001724	LOC120770913|XP_039954526.1|BTRY	LOC6624772|XP_032291921.1|DVIR
OG0001725	LOC120771944|XP_039956185.1|BTRY	LOC6626499|XP_015030158.2|DVIR
OG0001726	LOC120778418|XP_039966135.1|BTRY	LOC6623914|XP_002046289.1|DVIR
OG0001727	LOC120766308|XP_039947658.1|BTRY	LOC6631214|XP_002053957.1|DVIR
OG0001728	LOC120770885|XP_039954461.1|BTRY	LOC6635967|XP_002059331.1|DVIR
OG0001729	LOC120770998|XP_039954688.1|BTRY	LOC6625208|XP_032292042.1|DVIR
OG0001730	LOC120769487|XP_039952451.1|BTRY, LOC120769486|XP_039952448.1|BTRY	LOC6627881|XP_015028332.1|DVIR
OG0001731	LOC120772903|XP_039957724.1|BTRY	LOC6626643|XP_032291605.1|DVIR
OG0001732	LOC120782146|XP_039970217.1|BTRY	LOC6628972|XP_015028169.1|DVIR
OG0001733	LOC120770114|XP_039953220.1|BTRY	LOC6635985|XP_002059303.2|DVIR
OG0001734	LOC120770997|XP_039954678.1|BTRY	LOC6625613|XP_032291913.1|DVIR
OG0001735	LOC120776488|XP_039963103.1|BTRY	LOC6624372|XP_032290677.1|DVIR
OG0001736	LOC120771460|XP_039955406.1|BTRY	LOC6627203|XP_002050275.1|DVIR
OG0001737	LOC120770561|XP_039954074.1|BTRY	LOC6625580|XP_002048841.2|DVIR
OG0001738	LOC120776367|XP_039962879.1|BTRY	LOC6623250|XP_002046718.2|DVIR
OG0001739	LOC120771361|XP_039955251.1|BTRY	LOC6629241|XP_002052617.1|DVIR
OG0001740	LOC120771162|XP_039954975.1|BTRY	LOC6626639|XP_032292025.1|DVIR
OG0001741	LOC120778593|XP_039966402.1|BTRY	LOC6629328|XP_002053869.3|DVIR
OG0001742	LOC120772299|XP_039956742.1|BTRY	LOC6625338|XP_015029205.1|DVIR
OG0001743	LOC120777835|XP_039965306.1|BTRY	LOC6636853|XP_002060283.1|DVIR
OG0001744	LOC120770428|XP_039953815.1|BTRY	LOC6625773|XP_002050475.2|DVIR
OG0001745	LOC120773048|XP_039957913.1|BTRY	LOC6626749|XP_032291853.1|DVIR
OG0001746	LOC120778508|XP_039966274.1|BTRY	LOC6624110|XP_002047859.1|DVIR
OG0001747	LOC120770033|XP_039953077.1|BTRY	LOC6624956|XP_032291897.1|DVIR
OG0001748	LOC120777796|XP_039965262.1|BTRY	LOC6623520|XP_015030866.1|DVIR
OG0001749	LOC120771928|XP_039956159.1|BTRY	LOC6626419|XP_002050363.2|DVIR
OG0001750	LOC120772894|XP_039957700.1|BTRY	LOC6626420|XP_015029230.1|DVIR
OG0001751	LOC120776536|XP_039963204.1|BTRY	LOC6622950|XP_032290643.1|DVIR
OG0001752	LOC120777116|XP_039964188.1|BTRY, LOC120773153|XP_039958075.1|BTRY, LOC120777543|XP_039964865.1|BTRY, LOC120778192|XP_039965864.1|BTRY, LOC120777860|XP_039965340.1|BTRY	LOC6624699|XP_002047193.1|DVIR
OG0001753	LOC120778234|XP_039965926.1|BTRY	LOC6623717|XP_015030902.1|DVIR
OG0001754	LOC120771219|XP_039955060.1|BTRY	LOC6626216|XP_002050744.1|DVIR
OG0001755	LOC120778132|XP_039965777.1|BTRY	LOC6624298|XP_032290740.1|DVIR, LOC116650008|XP_032289218.1|DVIR
OG0001756	LOC120781251|XP_039969333.1|BTRY	LOC6626720|XP_002050670.1|DVIR
OG0001757	LOC120772752|XP_039957449.1|BTRY	LOC6625449|XP_002050985.1|DVIR, LOC116651117|XP_032292870.1|DVIR
OG0001758	LOC120776614|XP_039963338.1|BTRY	LOC6623466|XP_032290223.1|DVIR
OG0001759	LOC120772921|XP_039957754.1|BTRY, LOC120772922|XP_039957755.1|BTRY	LOC6625894|XP_002050115.3|DVIR
OG0001761	LOC120770593|XP_039954123.1|BTRY	LOC6625683|XP_015029980.1|DVIR
OG0001762	LOC120769031|XP_039951807.1|BTRY	LOC6627905|XP_002051398.2|DVIR
OG0001763	LOC120768518|XP_039951180.1|BTRY, LOC120768856|XP_039951546.1|BTRY	LOC6627645|XP_015028460.1|DVIR, LOC6627644|XP_032294480.1|DVIR
OG0001764	LOC120769804|XP_039952937.1|BTRY, LOC120779183|XP_039967369.1|BTRY	LOC6633144|XP_002056383.1|DVIR
OG0001765	LOC120773539|XP_039958431.1|BTRY	LOC116649770|XP_032290313.1|DVIR, LOC6636456|XP_032291726.1|DVIR
OG0001766	LOC120769442|XP_039952359.1|BTRY	LOC6628144|XP_015028676.1|DVIR
