Orthogroup	BTRY.longest_only	DSER.longest_only
OG0001551	LOC120781953|XP_039970050.1|BTRY	LOC110190326|XP_020816384.1|DSER
OG0001552	LOC120766190|XP_039947481.1|BTRY	LOC110186522|XP_020811379.1|DSER
OG0001553	LOC120773720|XP_039958701.1|BTRY, LOC120776008|XP_039962377.1|BTRY	LOC110184469|XP_020808668.1|DSER, LOC110184404|XP_020808589.1|DSER
OG0001554	LOC120773438|XP_039958258.1|BTRY	LOC110191002|XP_020817377.1|DSER
OG0001555	LOC120769338|XP_039952228.1|BTRY	LOC110176895|XP_020799038.1|DSER
OG0001556	LOC120770110|XP_039953215.1|BTRY	LOC110191542|XP_020818073.1|DSER
OG0001557	LOC120774237|XP_039959632.1|BTRY	LOC110184225|XP_020808338.1|DSER
OG0001558	LOC120776051|XP_039962442.1|BTRY	LOC110184399|XP_020808581.1|DSER
OG0001559	LOC120766322|XP_039947680.1|BTRY	LOC110176420|XP_020798422.1|DSER
OG0001561	LOC120766537|XP_039948049.1|BTRY, LOC120766528|XP_039948032.1|BTRY	LOC110187697|XP_020812791.1|DSER
OG0001562	LOC120782857|XP_039971324.1|BTRY	LOC110185599|XP_020810201.1|DSER
OG0001563	LOC120771274|XP_039955133.1|BTRY	LOC110179403|XP_020802586.1|DSER
OG0001564	LOC120766484|XP_039947962.1|BTRY	LOC110191232|XP_020817661.1|DSER
OG0001565	LOC120766874|XP_039948539.1|BTRY	LOC110185603|XP_020810208.1|DSER
OG0001566	LOC120782328|XP_039970487.1|BTRY	LOC110188333|XP_020813700.1|DSER
OG0001567	LOC120772164|XP_039956538.1|BTRY	LOC110179297|XP_020802442.1|DSER
OG0001568	LOC120782686|XP_039971015.1|BTRY	LOC110176511|XP_020798546.1|DSER
OG0001569	LOC120782487|XP_039970722.1|BTRY	LOC110191285|XP_020817751.1|DSER
OG0001570	LOC120782368|XP_039970540.1|BTRY	LOC110184133|XP_020808204.1|DSER
OG0001572	LOC120775782|XP_039962053.1|BTRY	LOC110175939|XP_020797779.1|DSER
OG0001573	LOC120777157|XP_039964235.1|BTRY	LOC110189850|XP_020815719.1|DSER
OG0001574	LOC120776055|XP_039962447.1|BTRY, LOC120781219|XP_039969282.1|BTRY	LOC110182651|XP_020806378.1|DSER
OG0001575	LOC120780662|XP_039968858.1|BTRY	LOC110188133|XP_020813380.1|DSER
OG0001576	LOC120766533|XP_039948038.1|BTRY	LOC110190997|XP_020817369.1|DSER
OG0001577	LOC120768550|XP_039951227.1|BTRY, LOC120769307|XP_039952174.1|BTRY	LOC110176408|XP_020798407.1|DSER
OG0001578	LOC120772667|XP_039957335.1|BTRY	LOC110189352|XP_020815053.1|DSER
OG0001579	LOC120774265|XP_039959669.1|BTRY	LOC110180100|XP_020803384.1|DSER
OG0001580	LOC120770174|XP_039953322.1|BTRY	LOC110189292|XP_020814982.1|DSER
OG0001581	LOC120773814|XP_039958855.1|BTRY	LOC110179377|XP_020802550.1|DSER
OG0001582	LOC120770043|XP_039953092.1|BTRY	LOC110180013|XP_020803265.1|DSER
OG0001583	LOC120771741|XP_039955847.1|BTRY	LOC110182941|XP_020806780.1|DSER
OG0001584	LOC120777659|XP_039965046.1|BTRY	LOC110178634|XP_020801480.1|DSER
OG0001585	LOC120775963|XP_039962308.1|BTRY	LOC110184222|XP_020808333.1|DSER
OG0001586	LOC120777890|XP_039965386.1|BTRY	LOC110176704|XP_020798801.1|DSER, LOC110182108|XP_020805774.1|DSER
OG0001587	LOC120771025|XP_039954735.1|BTRY	LOC110176671|XP_020798765.1|DSER
OG0001588	LOC120781566|XP_039969737.1|BTRY, LOC120779466|XP_039967663.1|BTRY, LOC120780829|XP_039969007.1|BTRY, LOC120781620|XP_039969787.1|BTRY, LOC120778336|XP_039966064.1|BTRY, LOC120778376|XP_039966097.1|BTRY, LOC120772130|XP_039956480.1|BTRY	LOC110191903|XP_020818551.1|DSER
OG0001589	LOC120767539|XP_039949577.1|BTRY	LOC110188771|XP_020814263.1|DSER
OG0001590	LOC120772466|XP_039957038.1|BTRY	LOC110179414|XP_020802604.1|DSER
OG0001591	LOC120774435|XP_039960013.1|BTRY	LOC110186457|XP_020811300.1|DSER
OG0001592	LOC120768200|XP_039950706.1|BTRY	LOC110183909|XP_020807913.1|DSER, LOC110177979|XP_020800631.1|DSER
OG0001593	LOC120768303|XP_039950867.1|BTRY	LOC110184822|XP_020809124.1|DSER
OG0001594	LOC120769207|XP_039952035.1|BTRY	LOC110179174|XP_020802234.1|DSER
OG0001595	LOC120768888|XP_039951575.1|BTRY, LOC120770067|XP_039953123.1|BTRY	LOC110179333|XP_020802486.1|DSER
OG0001596	LOC120767379|XP_039949302.1|BTRY	LOC110185795|XP_020810458.1|DSER
OG0001597	LOC120768904|XP_039951600.1|BTRY, LOC120767560|XP_039949631.1|BTRY	LOC110184514|XP_020808741.1|DSER, LOC110184512|XP_020808733.1|DSER
OG0001599	LOC120767223|XP_039949018.1|BTRY, LOC120769042|XP_039951823.1|BTRY	LOC110185981|XP_020810664.1|DSER
OG0001600	LOC120769367|XP_039952262.1|BTRY	LOC110185546|XP_020810121.1|DSER
OG0001601	LOC120769383|XP_039952285.1|BTRY	LOC110185872|XP_020810542.1|DSER
OG0001602	LOC120769016|XP_039951794.1|BTRY, LOC120768423|XP_039951038.1|BTRY	LOC110183735|XP_020807740.1|DSER
OG0001603	LOC120781755|XP_039969921.1|BTRY	LOC110177883|XP_020800506.1|DSER
OG0001604	LOC120775318|XP_039961389.1|BTRY	LOC110188612|XP_020814040.1|DSER, LOC110184676|XP_020808943.1|DSER, LOC110179581|XP_020802833.1|DSER
OG0001605	LOC120771906|XP_039956122.1|BTRY	LOC110190889|XP_020817209.1|DSER
OG0001606	LOC120771194|XP_039955024.1|BTRY	LOC110185536|XP_020810103.1|DSER, LOC110187183|XP_020812241.1|DSER
OG0001607	LOC120768129|XP_039950617.1|BTRY	LOC110184865|XP_020809169.1|DSER
OG0001608	LOC120767966|XP_039950303.1|BTRY	LOC110185092|XP_020809442.1|DSER
OG0001609	LOC120771513|XP_039955502.1|BTRY	LOC110177790|XP_020800318.1|DSER
OG0001610	LOC120768040|XP_039950474.1|BTRY	LOC110185752|XP_020810410.1|DSER
OG0001611	LOC120767394|XP_039949347.1|BTRY	LOC110184973|XP_020809283.1|DSER
OG0001612	LOC120769047|XP_039951829.1|BTRY	LOC110177030|XP_020799206.1|DSER
OG0001613	LOC120781708|XP_039969874.1|BTRY	LOC110183325|XP_020807231.1|DSER
OG0001614	LOC120770261|XP_039953505.1|BTRY	LOC110188952|XP_020814551.1|DSER
OG0001615	LOC120768094|XP_039950567.1|BTRY	LOC110185059|XP_020809394.1|DSER, LOC110185017|XP_020809328.1|DSER, LOC110185014|XP_020809326.1|DSER
OG0001616	LOC120768168|XP_039950666.1|BTRY	LOC110180777|XP_020804116.1|DSER, LOC110184944|XP_020809249.1|DSER
OG0001617	LOC120767737|XP_039949880.1|BTRY	LOC110181353|XP_020804732.1|DSER
OG0001618	LOC120781739|XP_039969906.1|BTRY, LOC120779501|XP_039967728.1|BTRY	LOC110183368|XP_020807289.1|DSER
OG0001619	LOC120768673|XP_039951384.1|BTRY	LOC110179866|XP_020803125.1|DSER, LOC110181417|XP_020804817.1|DSER
OG0001620	LOC120771749|XP_039955854.1|BTRY	LOC110180997|XP_020804335.1|DSER
OG0001621	LOC120771724|XP_039955812.1|BTRY, LOC120771723|XP_039955811.1|BTRY	LOC110188940|XP_020814538.1|DSER
OG0001622	LOC120773571|XP_039958475.1|BTRY	LOC110179079|XP_020802118.1|DSER
OG0001623	LOC120769015|XP_039951792.1|BTRY	LOC110178195|XP_020800888.1|DSER
OG0001624	LOC120768671|XP_039951382.1|BTRY	LOC110180584|XP_020803935.1|DSER
OG0001625	LOC120767589|XP_039949671.1|BTRY	LOC110185136|XP_020809495.1|DSER
OG0001626	LOC120769165|XP_039951984.1|BTRY, LOC120780775|XP_039968961.1|BTRY, LOC120781525|XP_039969681.1|BTRY, LOC120768868|XP_039951592.1|BTRY, LOC120780853|XP_039969025.1|BTRY, LOC120780708|XP_039968902.1|BTRY	LOC110176832|XP_020798943.1|DSER
OG0001627	LOC120766512|XP_039948013.1|BTRY	LOC110188305|XP_020813671.1|DSER
OG0001628	LOC120782304|XP_039970448.1|BTRY	LOC110186154|XP_020810863.1|DSER
OG0001629	LOC120780301|XP_039968525.1|BTRY	LOC110182511|XP_020806219.1|DSER
OG0001630	LOC120774406|XP_039959964.1|BTRY	LOC110188658|XP_020814103.1|DSER
OG0001631	LOC120766490|XP_039947975.1|BTRY	LOC110187837|XP_020812975.1|DSER
OG0001632	LOC120773864|XP_039958954.1|BTRY	LOC110183479|XP_020807418.1|DSER
OG0001633	LOC120782174|XP_039970245.1|BTRY	LOC110186992|XP_020812008.1|DSER
OG0001634	LOC120780977|XP_039969136.1|BTRY	LOC110184526|XP_020808760.1|DSER
OG0001635	LOC120767014|XP_039948776.1|BTRY	LOC110176436|XP_020798445.1|DSER
OG0001636	LOC120782607|XP_039970905.1|BTRY	LOC110183894|XP_020807899.1|DSER, LOC110188003|XP_020813184.1|DSER
OG0001637	LOC120782767|XP_039971163.1|BTRY	LOC110188002|XP_020813187.1|DSER
OG0001638	LOC120775623|XP_039961806.1|BTRY	LOC110183246|XP_020807126.1|DSER, LOC110183253|XP_020807137.1|DSER
OG0001639	LOC120773453|XP_039958280.1|BTRY	LOC110189588|XP_020815379.1|DSER
OG0001640	LOC120782481|XP_039970709.1|BTRY	LOC110177161|XP_020799405.1|DSER
OG0001641	LOC120776372|XP_039962892.1|BTRY, LOC120776378|XP_039962907.1|BTRY	LOC110188231|XP_020813543.1|DSER
OG0001642	LOC120768516|XP_039951178.1|BTRY	LOC110179721|XP_020802999.1|DSER, LOC110185296|XP_020809703.1|DSER
OG0001643	LOC120778751|XP_039966661.1|BTRY	LOC110176906|XP_020799054.1|DSER
OG0001644	LOC120777827|XP_039965298.1|BTRY	LOC110190968|XP_020817317.1|DSER
OG0001645	LOC120771713|XP_039955796.1|BTRY	LOC110177791|XP_020800319.1|DSER
OG0001646	LOC120771007|XP_039954704.1|BTRY	LOC110182597|XP_020806315.1|DSER
OG0001647	LOC120773110|XP_039958038.1|BTRY	LOC110189703|XP_020815538.1|DSER
OG0001648	LOC120777228|XP_039964342.1|BTRY	LOC110185328|XP_020809759.1|DSER
OG0001649	LOC120771979|XP_039956268.1|BTRY	LOC110176775|XP_020798872.1|DSER, LOC110189607|XP_020815401.1|DSER
OG0001650	LOC120770854|XP_039954397.1|BTRY, LOC120771106|XP_039954884.1|BTRY	LOC110177865|XP_020800470.1|DSER
OG0001651	LOC120773100|XP_039958005.1|BTRY	LOC110177581|XP_020800026.1|DSER
OG0001652	LOC120777615|XP_039964997.1|BTRY, LOC120777616|XP_039964998.1|BTRY, LOC120777612|XP_039964995.1|BTRY, LOC120778126|XP_039965763.1|BTRY, LOC120777630|XP_039965017.1|BTRY	LOC110178956|XP_020801917.1|DSER
OG0001653	LOC120779006|XP_039967059.1|BTRY	LOC110179817|XP_020803082.1|DSER
OG0001654	LOC120770472|XP_039953901.1|BTRY	LOC110184242|XP_020808394.1|DSER
OG0001655	LOC120771349|XP_039955230.1|BTRY	LOC110191811|XP_020818427.1|DSER
OG0001656	LOC120769468|XP_039952417.1|BTRY	LOC110185925|XP_020810596.1|DSER
OG0001657	LOC120779047|XP_039967118.1|BTRY	LOC110176149|XP_020798045.1|DSER
OG0001658	LOC120778524|XP_039966293.1|BTRY	LOC110179017|XP_020802018.1|DSER
OG0001659	LOC120778116|XP_039965752.1|BTRY	LOC110189966|XP_020815914.1|DSER
OG0001660	LOC120778098|XP_039965734.1|BTRY	LOC110191317|XP_020817797.1|DSER
OG0001661	LOC120780265|XP_039968455.1|BTRY	LOC110191057|XP_020817445.1|DSER
OG0001662	LOC120776586|XP_039963289.1|BTRY	LOC110183630|XP_020807607.1|DSER
OG0001664	LOC120772614|XP_039957262.1|BTRY	LOC110179607|XP_020802866.1|DSER
OG0001666	LOC120769107|XP_039951903.1|BTRY, LOC120775078|XP_039961006.1|BTRY, LOC120777641|XP_039965027.1|BTRY	LOC110183749|XP_020807764.1|DSER
OG0001667	LOC120772049|XP_039956355.1|BTRY	LOC110177912|XP_020800543.1|DSER
OG0001668	LOC120777563|XP_039964893.1|BTRY	LOC110184697|XP_020808968.1|DSER, LOC110184724|XP_020809009.1|DSER
OG0001669	LOC120777153|XP_039964232.1|BTRY	LOC110178642|XP_020801493.1|DSER, LOC110178640|XP_020801490.1|DSER
OG0001670	LOC120777810|XP_039965279.1|BTRY	LOC110180115|XP_020803413.1|DSER, LOC110189311|XP_020815012.1|DSER
OG0001678	LOC120773994|XP_039959194.1|BTRY	LOC110184410|XP_020808603.1|DSER
OG0001679	LOC120775406|XP_039961504.1|BTRY	LOC110181508|XP_020804936.1|DSER
OG0001680	LOC120774834|XP_039960583.1|BTRY	LOC110184253|XP_020808373.1|DSER
OG0001681	LOC120775858|XP_039962162.1|BTRY	LOC110175960|XP_020797808.1|DSER
OG0001682	LOC120775617|XP_039961798.1|BTRY	LOC110187775|XP_020812898.1|DSER
OG0001683	LOC120767545|XP_039949590.1|BTRY	LOC110183824|XP_020807835.1|DSER
OG0001684	LOC120779634|XP_039967915.1|BTRY	LOC110185402|XP_020809861.1|DSER
OG0001685	LOC120767886|XP_039950144.1|BTRY	LOC110181199|XP_020804539.1|DSER
OG0001686	LOC120773689|XP_039958656.1|BTRY	LOC110182030|XP_020805619.1|DSER
OG0001687	LOC120775256|XP_039961272.1|BTRY	LOC110185531|XP_020810098.1|DSER
OG0001688	LOC120775415|XP_039961525.1|BTRY	LOC110181533|XP_020804972.1|DSER
OG0001689	LOC120774050|XP_039959286.1|BTRY	LOC110179493|XP_020802726.1|DSER
OG0001690	LOC120778546|XP_039966329.1|BTRY	LOC110190827|XP_020817145.1|DSER
OG0001691	LOC120767694|XP_039949819.1|BTRY	LOC110177061|XP_020799236.1|DSER
OG0001693	LOC120773621|XP_039958558.1|BTRY	LOC110184239|XP_020808354.1|DSER
OG0001694	LOC120766963|XP_039948686.1|BTRY	LOC110183673|XP_020807671.1|DSER, LOC110187998|XP_020813180.1|DSER
OG0001695	LOC120775207|XP_039961205.1|BTRY	LOC110189435|XP_020815165.1|DSER
OG0001696	LOC120766771|XP_039948385.1|BTRY	LOC110186234|XP_020810957.1|DSER
OG0001697	LOC120780525|XP_039968725.1|BTRY	LOC110191120|XP_020817528.1|DSER
OG0001698	LOC120773831|XP_039958878.1|BTRY	LOC110184187|XP_020808257.1|DSER
OG0001699	LOC120766782|XP_039948408.1|BTRY	LOC110189749|XP_020815619.1|DSER
OG0001700	LOC120782051|XP_039970139.1|BTRY	LOC110184928|XP_020809234.1|DSER
OG0001701	LOC120770465|XP_039953898.1|BTRY	LOC110191392|XP_020817907.1|DSER
OG0001702	LOC120767466|XP_039949488.1|BTRY	LOC110183213|XP_020807085.1|DSER
OG0001703	LOC120778914|XP_039966898.1|BTRY	LOC110191141|XP_020817554.1|DSER
OG0001704	LOC120782453|XP_039970675.1|BTRY	LOC110191123|XP_020817534.1|DSER
OG0001705	LOC120782483|XP_039970714.1|BTRY	LOC110176417|XP_020798418.1|DSER
OG0001706	LOC120769700|XP_039952761.1|BTRY	LOC110188790|XP_020814302.1|DSER, LOC110188787|XP_020814293.1|DSER
OG0001707	LOC120766391|XP_039947766.1|BTRY	LOC110191323|XP_020817805.1|DSER
OG0001708	LOC120777881|XP_039965377.1|BTRY	LOC110191291|XP_020817759.1|DSER
OG0001709	LOC120778146|XP_039965804.1|BTRY	LOC110183571|XP_020807538.1|DSER
OG0001710	LOC120766504|XP_039947995.1|BTRY	LOC110191114|XP_020817518.1|DSER
OG0001711	LOC120766563|XP_039948091.1|BTRY	LOC110188278|XP_020813631.1|DSER
OG0001712	LOC120766578|XP_039948105.1|BTRY	LOC110191382|XP_020817896.1|DSER
OG0001713	LOC120781943|XP_039970043.1|BTRY	LOC110177416|XP_020799792.1|DSER
OG0001714	LOC120782578|XP_039970855.1|BTRY	LOC110188055|XP_020813264.1|DSER
OG0001715	LOC120773976|XP_039959157.1|BTRY	LOC110179103|XP_020802150.1|DSER
OG0001716	LOC120774900|XP_039960702.1|BTRY	LOC110179735|XP_020803011.1|DSER
OG0001717	LOC120768973|XP_039951709.1|BTRY	LOC110191357|XP_020817863.1|DSER, LOC110191276|XP_020817731.1|DSER
OG0001718	LOC120774975|XP_039960810.1|BTRY	LOC110177371|XP_020799727.1|DSER
OG0001719	LOC120782615|XP_039970917.1|BTRY	LOC110190942|XP_020817276.1|DSER
OG0001720	LOC120780228|XP_039968413.1|BTRY	LOC110191107|XP_020817511.1|DSER
OG0001721	LOC120782003|XP_039970102.1|BTRY	LOC110186912|XP_020811891.1|DSER
OG0001722	LOC120779073|XP_039967145.1|BTRY	LOC110190597|XP_020816849.1|DSER
OG0001723	LOC120771972|XP_039956257.1|BTRY	LOC110189385|XP_020815094.1|DSER
OG0001724	LOC120770913|XP_039954526.1|BTRY	LOC110176796|XP_020798891.1|DSER, LOC110189504|XP_020815271.1|DSER
OG0001725	LOC120771944|XP_039956185.1|BTRY	LOC110178005|XP_020800666.1|DSER
OG0001726	LOC120778418|XP_039966135.1|BTRY	LOC110190130|XP_020816113.1|DSER
OG0001727	LOC120766308|XP_039947658.1|BTRY	LOC110188409|XP_020813793.1|DSER
OG0001728	LOC120770885|XP_039954461.1|BTRY	LOC110178286|XP_020801016.1|DSER
OG0001729	LOC120770998|XP_039954688.1|BTRY	LOC110180250|XP_020803566.1|DSER
OG0001730	LOC120769487|XP_039952451.1|BTRY, LOC120769486|XP_039952448.1|BTRY	LOC110184955|XP_020809261.1|DSER
OG0001731	LOC120772903|XP_039957724.1|BTRY	LOC110189248|XP_020814911.1|DSER
OG0001732	LOC120782146|XP_039970217.1|BTRY	LOC110185791|XP_020810454.1|DSER
OG0001733	LOC120770114|XP_039953220.1|BTRY	LOC110179330|XP_020802482.1|DSER
OG0001734	LOC120770997|XP_039954678.1|BTRY	LOC110188963|XP_020814565.1|DSER
OG0001735	LOC120776488|XP_039963103.1|BTRY	LOC110190783|XP_020817079.1|DSER, LOC110190784|XP_020817080.1|DSER
OG0001736	LOC120771460|XP_039955406.1|BTRY	LOC110178468|XP_020801267.1|DSER, LOC110178492|XP_020801299.1|DSER
OG0001737	LOC120770561|XP_039954074.1|BTRY	LOC110177053|XP_020799230.1|DSER
OG0001738	LOC120776367|XP_039962879.1|BTRY	LOC110190299|XP_020816343.1|DSER
OG0001739	LOC120771361|XP_039955251.1|BTRY	LOC110182624|XP_020806346.1|DSER, LOC110184026|XP_020808050.1|DSER
OG0001740	LOC120771162|XP_039954975.1|BTRY	LOC110178533|XP_020801350.1|DSER
OG0001741	LOC120778593|XP_039966402.1|BTRY	LOC110186261|XP_020811027.1|DSER
OG0001742	LOC120772299|XP_039956742.1|BTRY	LOC110178302|XP_020801050.1|DSER
OG0001743	LOC120777835|XP_039965306.1|BTRY	LOC110177583|XP_020800023.1|DSER
OG0001744	LOC120770428|XP_039953815.1|BTRY	LOC110189667|XP_020815470.1|DSER
OG0001745	LOC120773048|XP_039957913.1|BTRY	LOC110181156|XP_020804493.1|DSER
OG0001746	LOC120778508|XP_039966274.1|BTRY	LOC110185160|XP_020809524.1|DSER
OG0001747	LOC120770033|XP_039953077.1|BTRY	LOC110177915|XP_020800551.1|DSER
OG0001748	LOC120777796|XP_039965262.1|BTRY	LOC110190693|XP_020816965.1|DSER
OG0001749	LOC120771928|XP_039956159.1|BTRY	LOC110178200|XP_020800897.1|DSER
OG0001750	LOC120772894|XP_039957700.1|BTRY	LOC110178180|XP_020800875.1|DSER
OG0001751	LOC120776536|XP_039963204.1|BTRY	LOC110189902|XP_020815824.1|DSER
OG0001752	LOC120777116|XP_039964188.1|BTRY, LOC120773153|XP_039958075.1|BTRY, LOC120777543|XP_039964865.1|BTRY, LOC120778192|XP_039965864.1|BTRY, LOC120777860|XP_039965340.1|BTRY	LOC110190701|XP_020816972.1|DSER
OG0001753	LOC120778234|XP_039965926.1|BTRY	LOC110177580|XP_020800020.1|DSER
OG0001754	LOC120771219|XP_039955060.1|BTRY	LOC110190951|XP_020817294.1|DSER
OG0001755	LOC120778132|XP_039965777.1|BTRY	LOC110177593|XP_020800036.1|DSER
OG0001756	LOC120781251|XP_039969333.1|BTRY	LOC110188948|XP_020814547.1|DSER
OG0001757	LOC120772752|XP_039957449.1|BTRY	LOC110189713|XP_020815561.1|DSER
OG0001758	LOC120776614|XP_039963338.1|BTRY	LOC110189895|XP_020815807.1|DSER
OG0001759	LOC120772921|XP_039957754.1|BTRY, LOC120772922|XP_039957755.1|BTRY	LOC110176785|XP_020798880.1|DSER, LOC110189489|XP_020815238.1|DSER
OG0001761	LOC120770593|XP_039954123.1|BTRY	LOC110179315|XP_020802462.1|DSER
OG0001762	LOC120769031|XP_039951807.1|BTRY	LOC110185565|XP_020810144.1|DSER
OG0001763	LOC120768518|XP_039951180.1|BTRY, LOC120768856|XP_039951546.1|BTRY	LOC110185560|XP_020810138.1|DSER
OG0001764	LOC120769804|XP_039952937.1|BTRY, LOC120779183|XP_039967369.1|BTRY	LOC110177353|XP_020799704.1|DSER
OG0001765	LOC120773539|XP_039958431.1|BTRY	LOC110189309|XP_020815042.1|DSER
OG0001766	LOC120769442|XP_039952359.1|BTRY	LOC110183867|XP_020807879.1|DSER
OG0001767	LOC120769265|XP_039952105.1|BTRY	LOC110187214|XP_020812272.1|DSER
OG0001768	LOC120774275|XP_039959698.1|BTRY	LOC110187558|XP_020812606.1|DSER
OG0001769	LOC120768870|XP_039951559.1|BTRY	LOC110183086|XP_020806935.1|DSER
OG0001770	LOC120767908|XP_039950193.1|BTRY	LOC110183453|XP_020807391.1|DSER
OG0001771	LOC120769517|XP_039952489.1|BTRY	LOC110176931|XP_020799087.1|DSER
OG0001772	LOC120768053|XP_039950504.1|BTRY, LOC120768993|XP_039951761.1|BTRY	LOC110183356|XP_020807276.1|DSER
OG0001773	LOC120769306|XP_039952173.1|BTRY	LOC110187362|XP_020812412.1|DSER
OG0001774	LOC120770925|XP_039954562.1|BTRY	LOC110189614|XP_020815409.1|DSER
OG0001775	LOC120773459|XP_039958293.1|BTRY	LOC110180408|XP_020803723.1|DSER
OG0001776	LOC120768559|XP_039951237.1|BTRY	LOC110180587|XP_020803938.1|DSER
OG0001777	LOC120767835|XP_039950059.1|BTRY	LOC110182656|XP_020806387.1|DSER
OG0001778	LOC120769453|XP_039952391.1|BTRY	LOC110181205|XP_020804545.1|DSER
OG0001779	LOC120768553|XP_039951231.1|BTRY	LOC110187368|XP_020812418.1|DSER, LOC110187369|XP_020812419.1|DSER
OG0001780	LOC120771973|XP_039956258.1|BTRY	LOC110189579|XP_020815371.1|DSER
OG0001781	LOC120767984|XP_039950335.1|BTRY	LOC110190216|XP_020816231.1|DSER, LOC110185643|XP_020810260.1|DSER
OG0001782	LOC120781633|XP_039969798.1|BTRY	LOC110185134|XP_020809490.1|DSER
OG0001783	LOC120768122|XP_039950608.1|BTRY	LOC110183017|XP_020806864.1|DSER, LOC110183032|XP_020806877.1|DSER, LOC110180605|XP_020803949.1|DSER
OG0001784	LOC120769571|XP_039952560.1|BTRY	LOC110179930|XP_020803187.1|DSER
OG0001785	LOC120770903|XP_039954510.1|BTRY	LOC110177048|XP_020799227.1|DSER
OG0001786	LOC120767277|XP_039949083.1|BTRY	LOC110180228|XP_020803537.1|DSER, LOC110182659|XP_020806393.1|DSER
OG0001787	LOC120767664|XP_039949771.1|BTRY, LOC120767586|XP_039949667.1|BTRY	LOC110182677|XP_020806423.1|DSER
OG0001788	LOC120770751|XP_039954272.1|BTRY, LOC120776528|XP_039963195.1|BTRY	LOC110189786|XP_020815677.1|DSER
OG0001789	LOC120776731|XP_039963592.1|BTRY	LOC110184064|XP_020808101.1|DSER
OG0001790	LOC120767203|XP_039948941.1|BTRY, LOC120767200|XP_039948938.1|BTRY	LOC110182675|XP_020806419.1|DSER, LOC110180302|XP_020803615.1|DSER
OG0001791	LOC120772783|XP_039957496.1|BTRY	LOC110179372|XP_020802549.1|DSER
OG0001792	LOC120769232|XP_039952064.1|BTRY	LOC110176918|XP_020799069.1|DSER
OG0001793	LOC120770991|XP_039954672.1|BTRY	LOC110189201|XP_020814830.1|DSER
OG0001794	LOC120769690|XP_039952750.1|BTRY, LOC120767232|XP_039948995.1|BTRY	LOC110181207|XP_020804546.1|DSER
OG0001795	LOC120769557|XP_039952539.1|BTRY	LOC110181163|XP_020804497.1|DSER, LOC110181155|XP_020804490.1|DSER
OG0001796	LOC120776048|XP_039962432.1|BTRY	LOC110180642|XP_020803995.1|DSER
OG0001797	LOC120779744|XP_039968051.1|BTRY	LOC110185486|XP_020810018.1|DSER
OG0001798	LOC120770413|XP_039953782.1|BTRY	LOC110189592|XP_020815383.1|DSER
OG0001799	LOC120775892|XP_039962216.1|BTRY	LOC110176010|XP_020797874.1|DSER
OG0001800	LOC120767428|XP_039949405.1|BTRY, LOC120769485|XP_039952446.1|BTRY	LOC110182665|XP_020806402.1|DSER
OG0001801	LOC120777696|XP_039965104.1|BTRY	LOC110190517|XP_020816709.1|DSER
OG0001802	LOC120782842|XP_039971305.1|BTRY	LOC110188484|XP_020813873.1|DSER
OG0001803	LOC120777138|XP_039964221.1|BTRY	LOC110188467|XP_020813855.1|DSER
OG0001805	LOC120773709|XP_039958685.1|BTRY, LOC120779130|XP_039967268.1|BTRY	LOC110191301|XP_020817771.1|DSER
OG0001806	LOC120782256|XP_039970355.1|BTRY, LOC120782255|XP_039970354.1|BTRY	LOC110186238|XP_020810967.1|DSER
OG0001807	LOC120780156|XP_039968372.1|BTRY	LOC110188329|XP_020813695.1|DSER
OG0001808	LOC120766469|XP_039947942.1|BTRY	LOC110186492|XP_020811344.1|DSER
OG0001809	LOC120782562|XP_039970830.1|BTRY	LOC110187669|XP_020812748.1|DSER
OG0001811	LOC120772219|XP_039956632.1|BTRY	LOC110182922|XP_020806745.1|DSER
OG0001812	LOC120775050|XP_039960965.1|BTRY	LOC110180134|XP_020803436.1|DSER
OG0001813	LOC120766809|XP_039948448.1|BTRY	LOC110188541|XP_020813956.1|DSER
OG0001814	LOC120782813|XP_039971226.1|BTRY	LOC110186621|XP_020811530.1|DSER
OG0001815	LOC120779203|XP_039967411.1|BTRY	LOC110187651|XP_020812719.1|DSER
OG0001816	LOC120771566|XP_039955566.1|BTRY	LOC110189460|XP_020815194.1|DSER
OG0001817	LOC120773083|XP_039957967.1|BTRY	LOC110189251|XP_020814915.1|DSER
OG0001818	LOC120774509|XP_039960128.1|BTRY	LOC110181517|XP_020804949.1|DSER
OG0001819	LOC120772593|XP_039957238.1|BTRY	LOC110177726|XP_020800230.1|DSER
OG0001820	LOC120771633|XP_039955661.1|BTRY	LOC110183531|XP_020807487.1|DSER
OG0001821	LOC120771343|XP_039955225.1|BTRY	LOC110178279|XP_020801011.1|DSER
OG0001822	LOC120772433|XP_039956978.1|BTRY, LOC120782104|XP_039970184.1|BTRY	LOC110179618|XP_020802886.1|DSER
OG0001823	LOC120778288|XP_039966009.1|BTRY	LOC110190064|XP_020816029.1|DSER
OG0001824	LOC120769449|XP_039952376.1|BTRY	LOC110181151|XP_020804484.1|DSER
OG0001825	LOC120771104|XP_039954880.1|BTRY	LOC110178948|XP_020801909.1|DSER
OG0001826	LOC120769304|XP_039952171.1|BTRY, LOC120772559|XP_039957177.1|BTRY	LOC110189294|XP_020814984.1|DSER
OG0001827	LOC120772888|XP_039957673.1|BTRY	LOC110179183|XP_020802253.1|DSER
OG0001828	LOC120776203|XP_039962772.1|BTRY	LOC110182093|XP_020805734.1|DSER
