Orthogroup	BTRY.longest_only	CQUI.longest_only
OG0000661	LOC120767720|XP_039949850.1|BTRY	LOC6033622|XP_001844049.2|CQUI
OG0000662	LOC120777857|XP_039965335.1|BTRY, LOC120777932|XP_039965448.1|BTRY	LOC6052557|XP_038120537.1|CQUI
OG0000663	LOC120781218|XP_039969275.1|BTRY	LOC6039520|XP_001849122.2|CQUI
OG0000664	LOC120776183|XP_039962735.1|BTRY	LOC6046260|XP_038114809.1|CQUI
OG0000665	LOC120766477|XP_039947953.1|BTRY, LOC120779745|XP_039968064.1|BTRY, LOC120766254|XP_039947574.1|BTRY	LOC6048712|XP_001865588.1|CQUI
OG0000666	LOC120770479|XP_039953917.1|BTRY, LOC120770478|XP_039953915.1|BTRY, LOC120775238|XP_039961251.1|BTRY	LOC6054798|XP_038119012.1|CQUI
OG0000667	LOC120766741|XP_039948341.1|BTRY	LOC6046897|XP_038119403.1|CQUI
OG0000668	LOC120780330|XP_039968558.1|BTRY	LOC6046395|XP_038118170.1|CQUI
OG0000669	LOC120774304|XP_039959769.1|BTRY, LOC120774306|XP_039959771.1|BTRY, LOC120775615|XP_039961794.1|BTRY	LOC119770724|XP_038122042.1|CQUI
OG0000670	LOC120775920|XP_039962256.1|BTRY	LOC6046815|XP_038111687.1|CQUI
OG0000671	LOC120782859|XP_039971325.1|BTRY, LOC120779834|XP_039968135.1|BTRY	LOC6038345|XP_001848160.1|CQUI
OG0000672	LOC120778847|XP_039966808.1|BTRY	LOC6043037|XP_038113688.1|CQUI
OG0000673	LOC120780362|XP_039968587.1|BTRY, LOC120773620|XP_039958557.1|BTRY	LOC6034544|XP_001844844.1|CQUI
OG0000677	LOC120774442|XP_039960017.1|BTRY	LOC119771220|XP_038122896.1|CQUI
OG0000678	LOC120780287|XP_039968489.1|BTRY	LOC6049218|XP_001866018.1|CQUI
OG0000679	LOC120775899|XP_039962224.1|BTRY	LOC6043332|XP_001858497.2|CQUI, LOC6043334|XP_038120970.1|CQUI, LOC119770348|XP_038120969.1|CQUI, LOC6051380|XP_001867828.2|CQUI, LOC6041272|XP_001850558.1|CQUI, LOC6041270|XP_038114788.1|CQUI
OG0000680	LOC120773876|XP_039958965.1|BTRY, LOC120773880|XP_039958976.1|BTRY, LOC120773878|XP_039958970.1|BTRY	LOC6040463|XP_038110968.1|CQUI
OG0000681	LOC120773430|XP_039958244.1|BTRY	LOC6034420|XP_038105001.1|CQUI
OG0000683	LOC120766329|XP_039947691.1|BTRY	LOC119771188|XP_038122716.1|CQUI, LOC119771187|XP_038122715.1|CQUI, LOC6041367|XP_001850634.1|CQUI, LOC6035206|XP_001845435.2|CQUI
OG0000684	LOC120782171|XP_039970241.1|BTRY	LOC6048395|XP_001865319.1|CQUI
OG0000685	LOC120772951|XP_039957791.1|BTRY	LOC6037400|XP_038114905.1|CQUI
OG0000686	LOC120781242|XP_039969316.1|BTRY, LOC120773579|XP_039958500.1|BTRY	LOC6051596|XP_038120199.1|CQUI
OG0000687	LOC120776960|XP_039963984.1|BTRY	LOC6035321|XP_001845536.1|CQUI
OG0000688	LOC120772776|XP_039957486.1|BTRY	LOC6040659|XP_038115242.1|CQUI
OG0000689	LOC120770031|XP_039953075.1|BTRY	LOC119769612|XP_038118657.1|CQUI
OG0000690	LOC120773565|XP_039958468.1|BTRY, LOC120773566|XP_039958469.1|BTRY	LOC6050670|XP_038115594.1|CQUI, LOC6038219|XP_001848048.1|CQUI, LOC6047742|XP_001864761.2|CQUI, LOC6042033|XP_001851195.2|CQUI, LOC6050673|XP_001867238.2|CQUI
OG0000691	LOC120777191|XP_039964294.1|BTRY	LOC6038874|XP_038122076.1|CQUI
OG0000692	LOC120779210|XP_039967421.1|BTRY, LOC120778127|XP_039965765.1|BTRY	LOC6050833|XP_038117216.1|CQUI, LOC6050834|XP_001867362.2|CQUI
OG0000694	LOC120774032|XP_039959264.1|BTRY	LOC6047733|XP_038120382.1|CQUI
OG0000695	LOC120767751|XP_039949899.1|BTRY, LOC120781358|XP_039969503.1|BTRY	LOC6043622|XP_038113841.1|CQUI
OG0000696	LOC120768165|XP_039950663.1|BTRY	LOC6034106|XP_001844471.1|CQUI
OG0000697	LOC120781423|XP_039969578.1|BTRY	LOC6037877|XP_001847743.2|CQUI
OG0000698	LOC120768119|XP_039950603.1|BTRY, LOC120769374|XP_039952275.1|BTRY	LOC6054309|XP_038113357.1|CQUI
OG0000699	LOC120768226|XP_039950738.1|BTRY	LOC6031882|XP_038111805.1|CQUI
OG0000700	LOC120768126|XP_039950614.1|BTRY	LOC6045669|XP_038108368.1|CQUI
OG0000701	LOC120771893|XP_039956097.1|BTRY, LOC120776077|XP_039962480.1|BTRY	LOC6050972|XP_038112604.1|CQUI
OG0000702	LOC120781839|XP_039969995.1|BTRY	LOC6052432|XP_038117603.1|CQUI
OG0000703	LOC120770853|XP_039954392.1|BTRY	LOC6035033|XP_038122275.1|CQUI
OG0000704	LOC120775825|XP_039962115.1|BTRY	LOC6038164|XP_038120107.1|CQUI
OG0000705	LOC120776363|XP_039962873.1|BTRY	LOC6052245|XP_038115015.1|CQUI
OG0000706	LOC120773351|XP_039958105.1|BTRY	LOC6046887|XP_038117985.1|CQUI
OG0000707	LOC120774249|XP_039959648.1|BTRY	LOC6045804|XP_038117453.1|CQUI
OG0000708	LOC120773437|XP_039958254.1|BTRY	LOC6037569|XP_038120474.1|CQUI
OG0000709	LOC120774189|XP_039959550.1|BTRY	LOC6039218|XP_038117369.1|CQUI
OG0000710	LOC120772668|XP_039957337.1|BTRY	LOC6031510|XP_001842300.1|CQUI
OG0000711	LOC120774260|XP_039959660.1|BTRY	LOC6036869|XP_001846852.1|CQUI
OG0000712	LOC120766277|XP_039947612.1|BTRY	LOC119766789|XP_038108506.1|CQUI, LOC6045985|XP_038106057.1|CQUI
OG0000713	LOC120771290|XP_039955155.1|BTRY	LOC6049870|XP_001866561.1|CQUI
OG0000714	LOC120776187|XP_039962745.1|BTRY	LOC6045584|XP_038113889.1|CQUI
OG0000715	LOC120777705|XP_039965118.1|BTRY	LOC119767953|XP_038113953.1|CQUI
OG0000716	LOC120778741|XP_039966644.1|BTRY	LOC6040190|XP_001849640.2|CQUI
OG0000724	LOC120775707|XP_039961953.1|BTRY	LOC6042711|XP_001870728.1|CQUI
OG0000726	LOC120766296|XP_039947634.1|BTRY	LOC6035562|XP_038104583.1|CQUI
OG0000727	LOC120774034|XP_039959268.1|BTRY	LOC6032646|XP_001843213.2|CQUI, LOC6032648|XP_038122826.1|CQUI
OG0000730	LOC120776578|XP_039963276.1|BTRY	LOC6031123|XP_001841967.1|CQUI
OG0000731	LOC120772324|XP_039956789.1|BTRY	LOC6043928|XP_001861511.1|CQUI
OG0000732	LOC120776637|XP_039963390.1|BTRY	LOC6041983|XP_001851156.1|CQUI
OG0000733	LOC120778269|XP_039965982.1|BTRY	LOC6047563|XP_001864598.2|CQUI
OG0000734	LOC120777306|XP_039964465.1|BTRY	LOC6052234|XP_038116578.1|CQUI
OG0000735	LOC120775254|XP_039961269.1|BTRY	LOC6044469|XP_001861983.1|CQUI
OG0000736	LOC120768185|XP_039950687.1|BTRY	LOC6037099|XP_038112503.1|CQUI
OG0000737	LOC120774544|XP_039960207.1|BTRY, LOC120774701|XP_039960364.1|BTRY, LOC120775550|XP_039961711.1|BTRY, LOC120782137|XP_039970209.1|BTRY, LOC120779664|XP_039967957.1|BTRY, LOC120781594|XP_039969762.1|BTRY, LOC120778330|XP_039966058.1|BTRY	LOC6050421|XP_001867033.2|CQUI
OG0000738	LOC120774532|XP_039960179.1|BTRY, LOC120774465|XP_039960055.1|BTRY	LOC6036448|XP_001846499.1|CQUI
OG0000739	LOC120769188|XP_039952017.1|BTRY	LOC6036343|XP_038110352.1|CQUI
OG0000740	LOC120769587|XP_039952580.1|BTRY	LOC6045778|XP_038107229.1|CQUI
OG0000740	LOC120782338|XP_039970508.1|BTRY	LOC6038854|XP_038113339.1|CQUI
OG0000741	LOC120775681|XP_039961907.1|BTRY	LOC6038156|XP_038115491.1|CQUI, LOC6038158|XP_001847991.2|CQUI
OG0000742	LOC120775564|XP_039961723.1|BTRY, LOC120773637|XP_039958580.1|BTRY	LOC6046871|XP_038115688.1|CQUI
OG0000743	LOC120777027|XP_039964073.1|BTRY	LOC6050273|XP_001866910.2|CQUI
OG0000744	LOC120771263|XP_039955114.1|BTRY	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI
OG0000746	LOC120770348|XP_039953684.1|BTRY	LOC6043117|XP_001855912.2|CQUI
OG0000753	LOC120782584|XP_039970866.1|BTRY	LOC6048959|XP_038122824.1|CQUI
OG0000754	LOC120774193|XP_039959555.1|BTRY, LOC120775796|XP_039962074.1|BTRY	LOC6049897|XP_001866577.2|CQUI
OG0000756	LOC120781989|XP_039970090.1|BTRY	LOC6046145|XP_001863379.2|CQUI
OG0000757	LOC120777018|XP_039964065.1|BTRY	LOC6046554|XP_038118070.1|CQUI
OG0000758	LOC120777449|XP_039964700.1|BTRY, LOC120776692|XP_039963509.1|BTRY	LOC6040607|XP_038119298.1|CQUI
OG0000760	LOC120772186|XP_039956570.1|BTRY	LOC6031804|XP_038112857.1|CQUI
OG0000761	LOC120774206|XP_039959587.1|BTRY	LOC6033760|XP_038107373.1|CQUI
OG0000762	LOC120768246|XP_039950771.1|BTRY	LOC6037908|XP_001847768.1|CQUI
OG0000764	LOC120774111|XP_039959405.1|BTRY	LOC6039471|XP_038122347.1|CQUI
OG0000765	LOC120774411|XP_039959970.1|BTRY	LOC6049633|XP_038120394.1|CQUI
OG0000766	LOC120775821|XP_039962110.1|BTRY	LOC6046669|XP_001863836.1|CQUI
OG0000767	LOC120777098|XP_039964166.1|BTRY	LOC6033818|XP_001844213.2|CQUI
OG0000768	LOC120779170|XP_039967338.1|BTRY	LOC6037757|XP_038118780.1|CQUI
OG0000769	LOC120775506|XP_039961648.1|BTRY	LOC6036915|XP_001846890.2|CQUI
OG0000770	LOC120770463|XP_039953893.1|BTRY, LOC120770468|XP_039953897.1|BTRY, LOC120770466|XP_039953895.1|BTRY, LOC120770464|XP_039953894.1|BTRY, LOC120770467|XP_039953896.1|BTRY	LOC119766679|XP_038107821.1|CQUI, LOC6032313|XP_001842945.1|CQUI
OG0000771	LOC120777920|XP_039965438.1|BTRY, LOC120773931|XP_039959064.1|BTRY	LOC6037662|XP_038113592.1|CQUI
OG0000778	LOC120780464|XP_039968675.1|BTRY	LOC6038198|XP_038117770.1|CQUI
OG0000779	LOC120774928|XP_039960739.1|BTRY	LOC6051382|XP_038104144.1|CQUI, LOC6051383|XP_038115271.1|CQUI, LOC6041720|XP_038104033.1|CQUI, LOC6044161|XP_001861710.2|CQUI, LOC6044291|XP_038121588.1|CQUI
OG0000780	LOC120775929|XP_039962269.1|BTRY, LOC120775688|XP_039961921.1|BTRY, LOC120775424|XP_039961540.1|BTRY	LOC6044209|XP_038104803.1|CQUI, LOC6044211|XP_038104434.1|CQUI, LOC6044213|XP_038122683.1|CQUI
OG0000781	LOC120775995|XP_039962361.1|BTRY	LOC6037941|XP_038110485.1|CQUI
OG0000782	LOC120773929|XP_039959062.1|BTRY	LOC6034796|XP_038114655.1|CQUI
OG0000783	LOC120773742|XP_039958737.1|BTRY	LOC6034787|XP_001845060.1|CQUI
OG0000784	LOC120773701|XP_039958669.1|BTRY	LOC6052698|XP_038104428.1|CQUI
OG0000785	LOC120771505|XP_039955496.1|BTRY	LOC6046529|XP_001863710.2|CQUI, LOC6046527|XP_001863709.2|CQUI
OG0000786	LOC120767026|XP_039948800.1|BTRY	LOC6037507|XP_038107901.1|CQUI
OG0000787	LOC120778601|XP_039966408.1|BTRY	LOC6035614|XP_001845763.1|CQUI
OG0000788	LOC120777933|XP_039965449.1|BTRY	LOC6045925|XP_001863200.1|CQUI
OG0000789	LOC120769350|XP_039952247.1|BTRY	LOC6047537|XP_001864587.2|CQUI
OG0000790	LOC120769474|XP_039952427.1|BTRY	LOC119767740|XP_038113035.1|CQUI
OG0000791	LOC120768708|XP_039951415.1|BTRY	LOC6036471|XP_001846521.1|CQUI
OG0000792	LOC120772029|XP_039956333.1|BTRY, LOC120769032|XP_039951810.1|BTRY, LOC120768955|XP_039951678.1|BTRY	LOC119767396|XP_038111828.1|CQUI, LOC6046623|XP_001863795.2|CQUI
OG0000793	LOC120775479|XP_039961612.1|BTRY, LOC120782280|XP_039970415.1|BTRY	LOC6046063|XP_001863318.1|CQUI
OG0000794	LOC120773426|XP_039958236.1|BTRY	LOC6050901|XP_001867420.2|CQUI, LOC6050899|XP_001867422.2|CQUI
OG0000795	LOC120774035|XP_039959269.1|BTRY	LOC6034049|XP_001844428.2|CQUI
OG0000796	LOC120775582|XP_039961751.1|BTRY	LOC6036713|XP_001846717.2|CQUI
OG0000797	LOC120778004|XP_039965605.1|BTRY, LOC120777994|XP_039965582.1|BTRY	LOC6037066|XP_001847023.1|CQUI, LOC6046197|XP_001863428.1|CQUI
OG0000798	LOC120770192|XP_039953357.1|BTRY	LOC6052446|XP_038107346.1|CQUI
OG0000799	LOC120773065|XP_039957937.1|BTRY, LOC120773998|XP_039959208.1|BTRY	LOC6054174|XP_038108545.1|CQUI
OG0000801	LOC120772115|XP_039956460.1|BTRY	LOC6046949|XP_001864068.1|CQUI
OG0000802	LOC120778880|XP_039966857.1|BTRY, LOC120775075|XP_039961000.1|BTRY	LOC6040365|XP_001849765.2|CQUI, LOC6051527|XP_038106125.1|CQUI, LOC6040366|XP_038110323.1|CQUI
OG0000803	LOC120768230|XP_039950750.1|BTRY	LOC6036009|XP_001846113.1|CQUI
OG0000811	LOC120771809|XP_039955948.1|BTRY	LOC6032795|XP_001843334.2|CQUI
OG0000812	LOC120775281|XP_039961314.1|BTRY	LOC6031005|XP_038117373.1|CQUI
OG0000814	LOC120767334|XP_039949212.1|BTRY	LOC6042898|XP_038118763.1|CQUI
OG0000815	LOC120768159|XP_039950654.1|BTRY, LOC120768954|XP_039951677.1|BTRY	LOC6031268|XP_038112299.1|CQUI, LOC6031267|XP_001842093.2|CQUI, LOC119766437|XP_038106914.1|CQUI, LOC6031271|XP_038111478.1|CQUI, LOC6031270|XP_038110981.1|CQUI
OG0000816	LOC120775669|XP_039961872.1|BTRY	LOC6036458|XP_001846508.1|CQUI
OG0000819	LOC120775543|XP_039961702.1|BTRY	LOC6051147|XP_038117088.1|CQUI
OG0000820	LOC120771555|XP_039955552.1|BTRY, LOC120772520|XP_039957109.1|BTRY	LOC6038086|XP_038108938.1|CQUI
OG0000821	LOC120772757|XP_039957459.1|BTRY	LOC6036623|XP_001846651.2|CQUI
OG0000822	LOC120775399|XP_039961495.1|BTRY	LOC6036736|XP_001846735.2|CQUI
OG0000830	LOC120774246|XP_039959645.1|BTRY, LOC120775157|XP_039961129.1|BTRY	LOC6040678|XP_001850034.1|CQUI, LOC6040677|XP_001850032.1|CQUI, LOC6040679|XP_001850033.2|CQUI
OG0000831	LOC120778940|XP_039966934.1|BTRY	LOC6032985|XP_038104688.1|CQUI, LOC6032982|XP_001843494.2|CQUI, LOC6039734|XP_001849286.2|CQUI
OG0000832	LOC120772198|XP_039956598.1|BTRY	LOC6038039|XP_001847884.1|CQUI
OG0000833	LOC120778042|XP_039965651.1|BTRY	LOC119770850|XP_038122366.1|CQUI, LOC6043801|XP_038117043.1|CQUI
OG0000834	LOC120766868|XP_039948532.1|BTRY, LOC120780757|XP_039968946.1|BTRY, LOC120769278|XP_039952168.1|BTRY, LOC120769108|XP_039951937.1|BTRY, LOC120780576|XP_039968772.1|BTRY, LOC120780644|XP_039968843.1|BTRY	LOC6049792|XP_001866498.2|CQUI
OG0000836	LOC120781419|XP_039969566.1|BTRY	LOC6033191|XP_038110903.1|CQUI
OG0000837	LOC120773390|XP_039958158.1|BTRY	LOC6046885|XP_038117989.1|CQUI
OG0000838	LOC120769530|XP_039952503.1|BTRY, LOC120768167|XP_039950665.1|BTRY	LOC6039707|XP_001849263.2|CQUI
OG0000839	LOC120782411|XP_039970593.1|BTRY	LOC6032544|XP_001843124.2|CQUI
OG0000840	LOC120775062|XP_039960976.1|BTRY	LOC6033814|XP_001844211.2|CQUI
OG0000842	LOC120771230|XP_039955075.1|BTRY	LOC6052627|XP_038111165.1|CQUI
OG0000843	LOC120767219|XP_039948968.1|BTRY	LOC6047696|XP_038104663.1|CQUI, LOC6052901|XP_001869081.2|CQUI
OG0000844	LOC120772952|XP_039957787.1|BTRY	LOC6040955|XP_038108140.1|CQUI
OG0000845	LOC120774535|XP_039960190.1|BTRY, LOC120774534|XP_039960189.1|BTRY, LOC120775645|XP_039961835.1|BTRY, LOC120775849|XP_039962153.1|BTRY	LOC119769629|XP_038118744.1|CQUI, LOC6040642|XP_001850007.2|CQUI
OG0000853	LOC120772864|XP_039957627.1|BTRY	LOC119770194|XP_038120568.1|CQUI, LOC119766069|XP_038106376.1|CQUI
OG0000854	LOC120775175|XP_039961162.1|BTRY	LOC6041770|XP_001850988.2|CQUI
OG0000855	LOC120773441|XP_039958257.1|BTRY	LOC6040439|XP_038111121.1|CQUI
OG0000856	LOC120777247|XP_039964372.1|BTRY	LOC6042751|XP_038104746.1|CQUI
OG0000857	LOC120775727|XP_039961977.1|BTRY, LOC120775728|XP_039961978.1|BTRY, LOC120775725|XP_039961975.1|BTRY	LOC6045738|XP_038104079.1|CQUI, LOC6045740|XP_001863047.2|CQUI, LOC6048852|XP_001865699.1|CQUI, LOC6052371|XP_001868657.2|CQUI
OG0000858	LOC120766865|XP_039948533.1|BTRY, LOC120766875|XP_039948543.1|BTRY	LOC6033717|XP_001844137.2|CQUI
OG0000860	LOC120776818|XP_039963769.1|BTRY	LOC6032867|XP_038115886.1|CQUI
OG0000861	LOC120770507|XP_039953969.1|BTRY	LOC6037309|XP_001847235.1|CQUI
OG0000862	LOC120770600|XP_039954136.1|BTRY	LOC6043976|XP_001861556.2|CQUI
OG0000863	LOC120777304|XP_039964456.1|BTRY	LOC6044024|XP_038115592.1|CQUI
OG0000864	LOC120774119|XP_039959414.1|BTRY	LOC6041419|XP_038113943.1|CQUI
OG0000865	LOC120766549|XP_039948069.1|BTRY	LOC6032934|XP_038112958.1|CQUI
OG0000866	LOC120767427|XP_039949404.1|BTRY	LOC6041493|XP_038110702.1|CQUI
OG0000867	LOC120769201|XP_039952030.1|BTRY	LOC6050061|XP_001866728.2|CQUI
OG0000868	LOC120775630|XP_039961818.1|BTRY	LOC6037576|XP_001847472.2|CQUI, LOC6038283|XP_038112513.1|CQUI
OG0000869	LOC120782245|XP_039970346.1|BTRY	LOC119767364|XP_038111763.1|CQUI
OG0000871	LOC120770580|XP_039954094.1|BTRY	LOC6038540|XP_001848327.2|CQUI, LOC6038577|XP_038106280.1|CQUI, LOC6038538|XP_001848325.2|CQUI
OG0000872	LOC120772394|XP_039956919.1|BTRY	LOC6038131|XP_001847929.1|CQUI
OG0000873	LOC120777986|XP_039965559.1|BTRY, LOC120776591|XP_039963293.1|BTRY	LOC6047243|XP_001864326.2|CQUI, LOC6038744|XP_038111904.1|CQUI, LOC6036763|XP_038106219.1|CQUI
OG0000874	LOC120770902|XP_039954507.1|BTRY	LOC6037196|XP_038109655.1|CQUI
OG0000875	LOC120770563|XP_039954079.1|BTRY, LOC120778610|XP_039966422.1|BTRY	LOC6040537|XP_038110191.1|CQUI
OG0000882	LOC120774291|XP_039959730.1|BTRY	LOC6051045|XP_038104452.1|CQUI
OG0000883	LOC120776018|XP_039962396.1|BTRY	LOC6048227|XP_038121671.1|CQUI, LOC6041000|XP_038121158.1|CQUI, LOC6030792|XP_001841691.2|CQUI, LOC6047675|XP_001864705.2|CQUI
OG0000885	LOC120774517|XP_039960149.1|BTRY	LOC6048168|XP_001865124.1|CQUI, LOC6048169|XP_001865125.1|CQUI, LOC6048170|XP_001865126.1|CQUI
OG0000887	LOC120773605|XP_039958539.1|BTRY	LOC6052421|XP_038120936.1|CQUI, LOC6052420|XP_038121806.1|CQUI, LOC6039002|XP_001848684.2|CQUI
OG0000888	LOC120776533|XP_039963201.1|BTRY, LOC120777068|XP_039964128.1|BTRY	LOC6036591|XP_038115396.1|CQUI, LOC6036581|XP_038118642.1|CQUI
OG0000889	LOC120778820|XP_039966759.1|BTRY	LOC6033544|XP_001843978.2|CQUI
OG0000890	LOC120772751|XP_039957448.1|BTRY	LOC6043796|XP_001861395.2|CQUI
OG0000891	LOC120769734|XP_039952818.1|BTRY	LOC6041067|XP_038111593.1|CQUI
OG0000892	LOC120779101|XP_039967201.1|BTRY	LOC6041555|XP_001850801.2|CQUI
OG0000893	LOC120766495|XP_039947980.1|BTRY	LOC6034999|XP_001845244.2|CQUI, LOC6034994|XP_038116648.1|CQUI, LOC6034998|XP_038115749.1|CQUI, LOC6034997|XP_038115753.1|CQUI, LOC6034995|XP_001845241.2|CQUI, LOC119768921|XP_038116647.1|CQUI, LOC119768764|XP_038115747.1|CQUI, LOC119768763|XP_038115744.1|CQUI, LOC119768765|XP_038115748.1|CQUI
OG0000894	LOC120782827|XP_039971281.1|BTRY	LOC6043434|XP_001859054.2|CQUI
OG0000895	LOC120772037|XP_039956342.1|BTRY	LOC6050900|XP_001867421.2|CQUI
OG0000896	LOC120775239|XP_039961253.1|BTRY	LOC6048670|XP_038107984.1|CQUI
OG0000907	LOC120772753|XP_039957450.1|BTRY	LOC6052354|XP_001868642.2|CQUI
OG0000909	LOC120766740|XP_039948340.1|BTRY	LOC6039203|XP_038105481.1|CQUI
OG0000910	LOC120773984|XP_039959175.1|BTRY	LOC6034092|XP_038116190.1|CQUI
OG0000911	LOC120772726|XP_039957422.1|BTRY	LOC6033485|XP_001843927.2|CQUI
OG0000912	LOC120776476|XP_039963086.1|BTRY	LOC6033531|XP_001843968.1|CQUI, LOC6033530|XP_001843967.1|CQUI
OG0000914	LOC120772170|XP_039956544.1|BTRY	LOC6032957|XP_001843473.2|CQUI, LOC6032960|XP_001843476.1|CQUI, LOC6032959|XP_001843475.1|CQUI, LOC6042107|XP_001851258.1|CQUI
OG0000915	LOC120772008|XP_039956302.1|BTRY	LOC6049126|XP_038107760.1|CQUI
OG0000916	LOC120767306|XP_039949146.1|BTRY	LOC6044540|XP_038107414.1|CQUI, LOC6044537|XP_038109271.1|CQUI
OG0000917	LOC120767326|XP_039949201.1|BTRY	LOC6036130|XP_038112959.1|CQUI
OG0000918	LOC120769701|XP_039952763.1|BTRY	LOC6053853|XP_038107451.1|CQUI
OG0000920	LOC120774066|XP_039959306.1|BTRY	LOC6037854|XP_038106185.1|CQUI, LOC119766065|XP_038106368.1|CQUI, LOC6037857|XP_001847730.2|CQUI, LOC6037858|XP_038106186.1|CQUI, LOC119765965|XP_038106190.1|CQUI, LOC119765963|XP_038106188.1|CQUI, LOC119765964|XP_038106189.1|CQUI, LOC6039737|XP_001849288.1|CQUI
OG0000921	LOC120775144|XP_039961106.1|BTRY	LOC119770129|XP_038120407.1|CQUI, LOC6032513|XP_038120403.1|CQUI
OG0000922	LOC120776974|XP_039964002.1|BTRY, LOC120778996|XP_039967033.1|BTRY, LOC120778997|XP_039967034.1|BTRY	LOC6035826|XP_001845946.2|CQUI
OG0000923	LOC120782266|XP_039970376.1|BTRY, LOC120772828|XP_039957568.1|BTRY	LOC6039960|XP_001849453.1|CQUI
OG0000924	LOC120774845|XP_039960596.1|BTRY	LOC6052729|XP_038108922.1|CQUI
OG0000925	LOC120781343|XP_039969481.1|BTRY	LOC6037245|XP_038114185.1|CQUI, LOC6037244|XP_001847173.1|CQUI
OG0000936	LOC120780309|XP_039968536.1|BTRY	LOC6044999|XP_001862423.1|CQUI
OG0000937	LOC120777080|XP_039964147.1|BTRY, LOC120773775|XP_039958793.1|BTRY, LOC120773372|XP_039958134.1|BTRY	LOC6047549|XP_038122304.1|CQUI, LOC6038645|XP_038109622.1|CQUI
OG0000938	LOC120773905|XP_039959019.1|BTRY	LOC6041884|XP_001851080.1|CQUI
OG0000939	LOC120768922|XP_039951631.1|BTRY	LOC6044428|XP_001861946.1|CQUI
OG0000941	LOC120774258|XP_039959658.1|BTRY	LOC6049171|XP_001865978.1|CQUI
OG0000943	LOC120772195|XP_039956594.1|BTRY, LOC120781099|XP_039969176.1|BTRY	LOC6036204|XP_038120020.1|CQUI
OG0000944	LOC120774959|XP_039960779.1|BTRY	LOC6038238|XP_038118238.1|CQUI
OG0000945	LOC120771938|XP_039956169.1|BTRY	LOC6040018|XP_001849494.2|CQUI
OG0000946	LOC120776694|XP_039963513.1|BTRY	LOC6044471|XP_038106712.1|CQUI, LOC6041548|XP_038107584.1|CQUI
OG0000947	LOC120771371|XP_039955264.1|BTRY	LOC6034360|XP_001844678.1|CQUI, LOC6034379|XP_038109332.1|CQUI, LOC6034378|XP_038109331.1|CQUI, LOC6034359|XP_001844677.2|CQUI
OG0000948	LOC120777806|XP_039965274.1|BTRY	LOC6048908|XP_001865747.2|CQUI
OG0000949	LOC120775099|XP_039961043.1|BTRY	LOC6033022|XP_038115508.1|CQUI
OG0000949	LOC120775098|XP_039961039.1|BTRY	LOC6033023|XP_038115510.1|CQUI
OG0000950	LOC120774043|XP_039959277.1|BTRY	LOC6046062|XP_001863317.2|CQUI
OG0000951	LOC120766831|XP_039948476.1|BTRY	LOC119769688|XP_038118996.1|CQUI, LOC6039379|XP_038121296.1|CQUI
OG0000952	LOC120767446|XP_039949443.1|BTRY	LOC119770231|XP_038120613.1|CQUI, LOC6045137|XP_001862538.2|CQUI
OG0000953	LOC120770144|XP_039953267.1|BTRY, LOC120780849|XP_039969022.1|BTRY	LOC119766237|XP_038106605.1|CQUI, LOC119770105|XP_038120274.1|CQUI, LOC119770160|XP_038120495.1|CQUI
OG0000963	LOC120775499|XP_039961640.1|BTRY, LOC120775027|XP_039960918.1|BTRY	LOC119765405|XP_038105122.1|CQUI, LOC6052738|XP_001868962.2|CQUI, LOC6052742|XP_001868961.1|CQUI, LOC6052739|XP_001868963.1|CQUI
OG0000964	LOC120772372|XP_039956892.1|BTRY	LOC6035895|XP_038106137.1|CQUI, LOC6047021|XP_038104314.1|CQUI, LOC6032708|XP_001843260.2|CQUI
OG0000965	LOC120774944|XP_039960757.1|BTRY	LOC6039055|XP_001848733.2|CQUI
OG0000966	LOC120780240|XP_039968432.1|BTRY	LOC6034419|XP_038105028.1|CQUI
OG0000969	LOC120772178|XP_039956560.1|BTRY	LOC6043792|XP_001861393.1|CQUI
OG0000970	LOC120782451|XP_039970673.1|BTRY	LOC6033272|XP_001843743.2|CQUI
OG0000971	LOC120767365|XP_039949272.1|BTRY	LOC6036039|XP_001846141.1|CQUI, LOC6040867|XP_001850197.1|CQUI
OG0000972	LOC120778464|XP_039966204.1|BTRY	LOC6031858|XP_038113015.1|CQUI
OG0000974	LOC120778085|XP_039965717.1|BTRY, LOC120777154|XP_039964233.1|BTRY	LOC6049993|XP_038116186.1|CQUI, LOC6049992|XP_038116176.1|CQUI, LOC6049994|XP_038116185.1|CQUI, LOC6049990|XP_001866665.1|CQUI
OG0000975	LOC120766642|XP_039948196.1|BTRY, LOC120780233|XP_039968423.1|BTRY	LOC6046902|XP_001864030.2|CQUI
OG0000977	LOC120766485|XP_039947973.1|BTRY	LOC6053094|XP_038112904.1|CQUI
OG0000978	LOC120782225|XP_039970327.1|BTRY	LOC6051170|XP_038108380.1|CQUI
OG0000988	LOC120774608|XP_039960269.1|BTRY	LOC6042735|XP_001870746.2|CQUI
OG0000990	LOC120775802|XP_039962082.1|BTRY	LOC119767687|XP_038112787.1|CQUI
OG0000991	LOC120773913|XP_039959037.1|BTRY	LOC6040891|XP_038105368.1|CQUI, LOC6042501|XP_038104580.1|CQUI
OG0000992	LOC120766585|XP_039948118.1|BTRY	LOC6042422|XP_001851542.2|CQUI
