Orthogroup	BTRY.longest_only	DEUG.longest_only
OG0001996	LOC120767965|XP_039950302.1|BTRY	LOC108102650|XP_017063274.1|DEUG
OG0001997	LOC120770842|XP_039954372.1|BTRY	LOC108107292|XP_017070238.1|DEUG
OG0001998	LOC120770212|XP_039953400.1|BTRY	LOC108107288|XP_017070231.1|DEUG
OG0001999	LOC120771449|XP_039955391.1|BTRY	LOC108104799|XP_017066559.1|DEUG
OG0002000	LOC120769380|XP_039952283.1|BTRY	LOC108106196|XP_017068612.1|DEUG
OG0002001	LOC120767679|XP_039949788.1|BTRY	LOC108105675|XP_017067866.1|DEUG
OG0002002	LOC120771088|XP_039954848.1|BTRY	LOC108106667|XP_017069386.1|DEUG
OG0002003	LOC120768124|XP_039950610.1|BTRY	LOC108110700|XP_017075330.1|DEUG
OG0002004	LOC120768071|XP_039950531.1|BTRY	LOC108103079|XP_017063918.1|DEUG
OG0002005	LOC120768433|XP_039951049.1|BTRY	LOC108102463|XP_017062999.1|DEUG
OG0002006	LOC120768995|XP_039951762.1|BTRY	LOC108106969|XP_017069760.1|DEUG
OG0002007	LOC120768444|XP_039951068.1|BTRY	LOC108106168|XP_017068573.1|DEUG
OG0002008	LOC120779457|XP_039967649.1|BTRY	LOC108102371|XP_017062779.1|DEUG
OG0002009	LOC120772782|XP_039957495.1|BTRY, LOC120782105|XP_039970186.1|BTRY	LOC108112245|XP_017077556.1|DEUG
OG0002010	LOC120769613|XP_039952647.1|BTRY	LOC108110978|XP_017075775.1|DEUG
OG0002011	LOC120769493|XP_039952456.1|BTRY	LOC108114881|XP_017081528.1|DEUG
OG0002012	LOC120767387|XP_039949326.1|BTRY	LOC108102548|XP_017063098.1|DEUG
OG0002013	LOC120769127|XP_039951922.1|BTRY	LOC108106843|XP_017069568.1|DEUG
OG0002014	LOC120771209|XP_039955045.1|BTRY	LOC108109217|XP_017073170.1|DEUG
OG0002015	LOC120769638|XP_039952677.1|BTRY	LOC108106864|XP_017069597.1|DEUG
OG0002016	LOC120772236|XP_039956662.1|BTRY	LOC108104518|XP_017066136.1|DEUG
OG0002017	LOC120769000|XP_039951774.1|BTRY, LOC120768077|XP_039950541.1|BTRY, LOC120767811|XP_039950023.1|BTRY	LOC108111047|XP_017075865.1|DEUG
OG0002018	LOC120767880|XP_039950140.1|BTRY	LOC108106989|XP_017069815.1|DEUG
OG0002019	LOC120767713|XP_039949843.1|BTRY	LOC108104122|XP_017065513.1|DEUG
OG0002020	LOC120769272|XP_039952118.1|BTRY	LOC108106935|XP_017069689.1|DEUG
OG0002021	LOC120772968|XP_039957805.1|BTRY	LOC108109121|XP_017073005.1|DEUG
OG0002022	LOC120767733|XP_039949875.1|BTRY	LOC108115506|XP_017082487.1|DEUG
OG0002023	LOC120771303|XP_039955174.1|BTRY	LOC108116962|XP_017084607.1|DEUG
OG0002024	LOC120769476|XP_039952432.1|BTRY	LOC108111137|XP_017075992.1|DEUG
OG0002025	LOC120769378|XP_039952280.1|BTRY	LOC108112173|XP_017077465.1|DEUG
OG0002026	LOC120777293|XP_039964438.1|BTRY	LOC108108713|XP_017072335.1|DEUG
OG0002027	LOC120772974|XP_039957816.1|BTRY	LOC108112504|XP_017077872.1|DEUG
OG0002028	LOC120771529|XP_039955521.1|BTRY	LOC108107326|XP_017070300.1|DEUG
OG0002029	LOC120777455|XP_039964710.1|BTRY	LOC108107635|XP_017070709.1|DEUG
OG0002030	LOC120771727|XP_039955816.1|BTRY	LOC108107206|XP_017070111.1|DEUG
OG0002031	LOC120780129|XP_039968344.1|BTRY	LOC108106412|XP_017068921.1|DEUG
OG0002032	LOC120772253|XP_039956690.1|BTRY, LOC120767993|XP_039950348.1|BTRY	LOC108110194|XP_017074644.1|DEUG
OG0002033	LOC120773383|XP_039958147.1|BTRY	LOC108117609|XP_017085622.1|DEUG
OG0002034	LOC120773477|XP_039958329.1|BTRY	LOC108118538|XP_017086777.1|DEUG
OG0002035	LOC120776579|XP_039963283.1|BTRY	LOC108109475|XP_017073489.1|DEUG
OG0002036	LOC120782530|XP_039970783.1|BTRY	LOC108108361|XP_017071892.1|DEUG
OG0002037	LOC120775610|XP_039961784.1|BTRY	LOC108108042|XP_017071405.1|DEUG
OG0002038	LOC120782344|XP_039970511.1|BTRY	LOC108105918|XP_017068191.1|DEUG, LOC108117307|XP_017085156.1|DEUG
OG0002039	LOC120781402|XP_039969547.1|BTRY	LOC108117443|XP_017085352.1|DEUG
OG0002040	LOC120780294|XP_039968512.1|BTRY	LOC108104322|XP_017065794.1|DEUG
OG0002041	LOC120770828|XP_039954348.1|BTRY	LOC108104542|XP_017066171.1|DEUG
OG0002042	LOC120766180|XP_039947471.1|BTRY, LOC120776672|XP_039963483.1|BTRY	LOC108116210|XP_017083484.1|DEUG
OG0002043	LOC120782311|XP_039970461.1|BTRY	LOC108115365|XP_017082281.1|DEUG
OG0002044	LOC120767038|XP_039948817.1|BTRY	LOC108115616|XP_017082638.1|DEUG
OG0002045	LOC120766980|XP_039948710.1|BTRY	LOC108109587|XP_017073653.1|DEUG
OG0002046	LOC120774522|XP_039960152.1|BTRY	LOC108117721|XP_017085769.1|DEUG
OG0002048	LOC120766304|XP_039947653.1|BTRY	LOC108111726|XP_017076768.1|DEUG
OG0002049	LOC120766463|XP_039947926.1|BTRY	LOC108116362|XP_017083675.1|DEUG
OG0002050	LOC120771772|XP_039955899.1|BTRY	LOC108116378|XP_017083708.1|DEUG
OG0002051	LOC120772938|XP_039957776.1|BTRY	LOC108106682|XP_017069402.1|DEUG
OG0002052	LOC120777173|XP_039964265.1|BTRY, LOC120777170|XP_039964260.1|BTRY	LOC108114669|XP_017081237.1|DEUG
OG0002053	LOC120782891|XP_039971374.1|BTRY	LOC108109541|XP_017073599.1|DEUG
OG0002054	LOC120766409|XP_039947794.1|BTRY	LOC108115324|XP_017082221.1|DEUG
OG0002055	LOC120767028|XP_039948808.1|BTRY	LOC108111792|XP_017076870.1|DEUG
OG0002056	LOC120776501|XP_039963129.1|BTRY	LOC108107821|XP_017071057.1|DEUG
OG0002057	LOC120769761|XP_039952858.1|BTRY	LOC108111178|XP_017076047.1|DEUG
OG0002058	LOC120782238|XP_039970339.1|BTRY	LOC108104649|XP_017066319.1|DEUG
OG0002059	LOC120767646|XP_039949754.1|BTRY	LOC108113749|XP_017079932.1|DEUG
OG0002060	LOC120770532|XP_039954018.1|BTRY	LOC108106699|XP_017069421.1|DEUG
OG0002061	LOC120770141|XP_039953262.1|BTRY	LOC108107439|XP_017070468.1|DEUG
OG0002062	LOC120774098|XP_039959381.1|BTRY	LOC108117693|XP_017085711.1|DEUG
OG0002063	LOC120773584|XP_039958505.1|BTRY	LOC108109724|XP_017073858.1|DEUG
OG0002064	LOC120774014|XP_039959228.1|BTRY	LOC108108141|XP_017071557.1|DEUG
OG0002065	LOC120776962|XP_039963987.1|BTRY	LOC108107826|XP_017071065.1|DEUG
OG0002066	LOC120782671|XP_039970987.1|BTRY	LOC108116352|XP_017083656.1|DEUG
OG0002067	LOC120772472|XP_039957045.1|BTRY	LOC108107327|XP_017070302.1|DEUG
OG0002068	LOC120770529|XP_039954012.1|BTRY	LOC108113089|XP_017079024.1|DEUG
OG0002069	LOC120774329|XP_039959813.1|BTRY	LOC108107025|XP_017069862.1|DEUG
OG0002070	LOC120766998|XP_039948742.1|BTRY	LOC108116524|XP_017083950.1|DEUG
OG0002071	LOC120767075|XP_039948871.1|BTRY	LOC108113742|XP_017079920.1|DEUG
OG0002072	LOC120772197|XP_039956596.1|BTRY	LOC108113368|XP_017079424.1|DEUG
OG0002074	LOC120770190|XP_039953355.1|BTRY	LOC108106780|XP_017069510.1|DEUG
OG0002075	LOC120778752|XP_039966662.1|BTRY	LOC108107164|XP_017070065.1|DEUG
OG0002076	LOC120772866|XP_039957631.1|BTRY	LOC108112911|XP_017078771.1|DEUG
OG0002077	LOC120772483|XP_039957062.1|BTRY	LOC108102794|XP_017063451.1|DEUG
OG0002078	LOC120778306|XP_039966032.1|BTRY, LOC120771839|XP_039956016.1|BTRY, LOC120776529|XP_039963196.1|BTRY	LOC108106249|XP_017068704.1|DEUG
OG0002079	LOC120776434|XP_039963022.1|BTRY, LOC120776433|XP_039963021.1|BTRY, LOC120776436|XP_039963023.1|BTRY	LOC108114332|XP_017080745.1|DEUG
OG0002080	LOC120771729|XP_039955819.1|BTRY	LOC108113176|XP_017079182.1|DEUG
OG0002081	LOC120772038|XP_039956343.1|BTRY	LOC108107495|XP_017070532.1|DEUG
OG0002082	LOC120770293|XP_039953572.1|BTRY	LOC108112714|XP_017078429.1|DEUG
OG0002084	LOC120770021|XP_039953052.1|BTRY	LOC108112671|XP_017078299.1|DEUG
OG0002085	LOC120771018|XP_039954727.1|BTRY	LOC108112964|XP_017078853.1|DEUG
OG0002086	LOC120772116|XP_039956461.1|BTRY	LOC108113323|XP_017079366.1|DEUG
OG0002087	LOC120776621|XP_039963352.1|BTRY	LOC108107558|XP_017070600.1|DEUG
OG0002088	LOC120776500|XP_039963124.1|BTRY	LOC108114396|XP_017080858.1|DEUG
OG0002089	LOC120771504|XP_039955492.1|BTRY	LOC108103916|XP_017065152.1|DEUG, LOC108104511|XP_017066120.1|DEUG
OG0002090	LOC120778458|XP_039966190.1|BTRY	LOC108114570|XP_017081110.1|DEUG
OG0002091	LOC120772034|XP_039956339.1|BTRY	LOC108107234|XP_017070141.1|DEUG
OG0002092	LOC120776973|XP_039964000.1|BTRY	LOC108114255|XP_017080640.1|DEUG
OG0002093	LOC120772955|XP_039957792.1|BTRY	LOC108112009|XP_017077236.1|DEUG
OG0002094	LOC120782021|XP_039970113.1|BTRY, LOC120772120|XP_039956465.1|BTRY	LOC108107232|XP_017070139.1|DEUG
OG0002095	LOC120773387|XP_039958155.1|BTRY	LOC108105108|XP_017067031.1|DEUG
OG0002097	LOC120771345|XP_039955226.1|BTRY	LOC108104812|XP_017066585.1|DEUG
OG0002098	LOC120778313|XP_039966040.1|BTRY	LOC108108800|XP_017072470.1|DEUG
OG0002099	LOC120782448|XP_039970668.1|BTRY	LOC108109528|XP_017073581.1|DEUG
OG0002100	LOC120779044|XP_039967109.1|BTRY	LOC108118242|XP_017086319.1|DEUG
OG0002101	LOC120770414|XP_039953783.1|BTRY	LOC108113412|XP_017079458.1|DEUG
OG0002102	LOC120771001|XP_039954692.1|BTRY	LOC108109088|XP_017072946.1|DEUG
OG0002103	LOC120776466|XP_039963070.1|BTRY	LOC108109548|XP_017073607.1|DEUG
OG0002106	LOC120778715|XP_039966612.1|BTRY, LOC120775314|XP_039961388.1|BTRY	LOC108109540|XP_017073598.1|DEUG
OG0002107	LOC120768573|XP_039951255.1|BTRY	LOC108111001|XP_017075800.1|DEUG
OG0002108	LOC120766185|XP_039947475.1|BTRY	LOC108111598|XP_017076608.1|DEUG
OG0002109	LOC120771385|XP_039955326.1|BTRY	LOC108109016|XP_017072790.1|DEUG, LOC108109007|XP_017072770.1|DEUG
OG0002117	LOC120775672|XP_039961884.1|BTRY	LOC108109279|XP_017073260.1|DEUG
OG0002119	LOC120782169|XP_039970240.1|BTRY	LOC108113728|XP_017079903.1|DEUG
OG0002120	LOC120779722|XP_039968021.1|BTRY	LOC108102378|XP_017062791.1|DEUG
OG0002121	LOC120770229|XP_039953448.1|BTRY	LOC108116026|XP_017083202.1|DEUG
OG0002123	LOC120767337|XP_039949215.1|BTRY	LOC108107033|XP_017069879.1|DEUG
OG0002124	LOC120775759|XP_039962026.1|BTRY	LOC108110002|XP_017074328.1|DEUG
OG0002125	LOC120771596|XP_039955601.1|BTRY	LOC108106383|XP_017068872.1|DEUG
OG0002126	LOC120779102|XP_039967204.1|BTRY	LOC108113940|XP_017080137.1|DEUG
OG0002126	LOC120779103|XP_039967208.1|BTRY	LOC108117991|XP_017086023.1|DEUG
OG0002127	LOC120774307|XP_039959772.1|BTRY	LOC108105381|XP_017067411.1|DEUG
OG0002128	LOC120773874|XP_039958962.1|BTRY	LOC108109934|XP_017074225.1|DEUG
OG0002129	LOC120769003|XP_039951780.1|BTRY	LOC108117176|XP_017084949.1|DEUG
OG0002130	LOC120775666|XP_039961869.1|BTRY	LOC108102459|XP_017062956.1|DEUG
OG0002131	LOC120766285|XP_039947621.1|BTRY	LOC108105267|XP_017067236.1|DEUG
OG0002132	LOC120768065|XP_039950519.1|BTRY	LOC108110968|XP_017075758.1|DEUG
OG0002133	LOC120775535|XP_039961691.1|BTRY	LOC108103859|XP_017065055.1|DEUG
OG0002134	LOC120774399|XP_039959952.1|BTRY	LOC108105364|XP_017067379.1|DEUG
OG0002135	LOC120774092|XP_039959360.1|BTRY, LOC120776012|XP_039962389.1|BTRY	LOC108103448|XP_017064418.1|DEUG
OG0002136	LOC120781308|XP_039969442.1|BTRY	LOC108111424|XP_017076372.1|DEUG
OG0002137	LOC120773714|XP_039958693.1|BTRY	LOC108116599|XP_017084042.1|DEUG
OG0002138	LOC120774425|XP_039959993.1|BTRY	LOC108117624|XP_017085643.1|DEUG
OG0002139	LOC120774492|XP_039960097.1|BTRY	LOC108110403|XP_017074958.1|DEUG
OG0002140	LOC120775870|XP_039962174.1|BTRY	LOC108103158|XP_017064028.1|DEUG
OG0002141	LOC120780589|XP_039968783.1|BTRY	LOC108108645|XP_017072240.1|DEUG
OG0002142	LOC120780614|XP_039968812.1|BTRY	LOC108115018|XP_017081749.1|DEUG
OG0002143	LOC120768579|XP_039951269.1|BTRY	LOC108102643|XP_017063254.1|DEUG
OG0002144	LOC120779093|XP_039967190.1|BTRY	LOC108102358|XP_017062743.1|DEUG, LOC108102307|XP_017062556.1|DEUG
OG0002145	LOC120779008|XP_039967065.1|BTRY	LOC108117286|XP_017085129.1|DEUG
OG0002146	LOC120777451|XP_039964709.1|BTRY	LOC108104166|XP_017065558.1|DEUG, LOC108114993|XP_017081716.1|DEUG
OG0002147	LOC120775231|XP_039961238.1|BTRY	LOC108110130|XP_017074525.1|DEUG
OG0002148	LOC120776565|XP_039963261.1|BTRY, LOC120776564|XP_039963260.1|BTRY	LOC108108210|XP_017071660.1|DEUG
OG0002149	LOC120779909|XP_039968188.1|BTRY	LOC108102369|XP_017062776.1|DEUG
OG0002150	LOC120774658|XP_039960320.1|BTRY	LOC108110054|XP_017074418.1|DEUG
OG0002151	LOC120774426|XP_039959994.1|BTRY	LOC108110512|XP_017075081.1|DEUG
OG0002152	LOC120768670|XP_039951389.1|BTRY	LOC108116875|XP_017084457.1|DEUG
OG0002153	LOC120779000|XP_039967040.1|BTRY	LOC108115946|XP_017083071.1|DEUG
OG0002154	LOC120774004|XP_039959214.1|BTRY	LOC108102458|XP_017062955.1|DEUG
OG0002155	LOC120782501|XP_039970742.1|BTRY	LOC108113490|XP_017079565.1|DEUG
OG0002156	LOC120777357|XP_039964559.1|BTRY	LOC108116780|XP_017084305.1|DEUG
OG0002157	LOC120782568|XP_039970840.1|BTRY	LOC108116869|XP_017084436.1|DEUG
OG0002158	LOC120770530|XP_039954015.1|BTRY	LOC108113091|XP_017079025.1|DEUG
OG0002159	LOC120778695|XP_039966587.1|BTRY	LOC108109115|XP_017072997.1|DEUG
OG0002160	LOC120778737|XP_039966642.1|BTRY	LOC108110669|XP_017075279.1|DEUG
OG0002161	LOC120778165|XP_039965837.1|BTRY	LOC108117250|XP_017085088.1|DEUG
OG0002162	LOC120769743|XP_039952873.1|BTRY, LOC120777117|XP_039964189.1|BTRY	LOC108111994|XP_017077395.1|DEUG
OG0002163	LOC120775200|XP_039961197.1|BTRY	LOC108103362|XP_017064296.1|DEUG
OG0002164	LOC120777436|XP_039964677.1|BTRY	LOC108113645|XP_017079803.1|DEUG
OG0002165	LOC120777673|XP_039965076.1|BTRY	LOC108118453|XP_017086660.1|DEUG
OG0002166	LOC120769440|XP_039952357.1|BTRY	LOC108108460|XP_017072006.1|DEUG
OG0002167	LOC120771298|XP_039955167.1|BTRY, LOC120780128|XP_039968343.1|BTRY	LOC108112053|XP_017077296.1|DEUG
OG0002168	LOC120774016|XP_039959233.1|BTRY	LOC108107401|XP_017070410.1|DEUG
OG0002169	LOC120776572|XP_039963269.1|BTRY	LOC108114710|XP_017081298.1|DEUG
OG0002170	LOC120779906|XP_039968187.1|BTRY	LOC108108703|XP_017072301.1|DEUG
OG0002171	LOC120782875|XP_039971355.1|BTRY	LOC108116598|XP_017084040.1|DEUG
OG0002172	LOC120782385|XP_039970562.1|BTRY	LOC108115638|XP_017082680.1|DEUG
OG0002173	LOC120769489|XP_039952453.1|BTRY	LOC108110505|XP_017075073.1|DEUG
OG0002174	LOC120766345|XP_039947706.1|BTRY	LOC108111636|XP_017076655.1|DEUG, LOC108111642|XP_017076662.1|DEUG
OG0002175	LOC120766346|XP_039947707.1|BTRY	LOC108111643|XP_017076663.1|DEUG
OG0002176	LOC120777817|XP_039965291.1|BTRY	LOC108117119|XP_017084839.1|DEUG
OG0002177	LOC120782633|XP_039970935.1|BTRY	LOC108111530|XP_017076539.1|DEUG
OG0002178	LOC120776177|XP_039962728.1|BTRY	LOC108115806|XP_017082884.1|DEUG
OG0002179	LOC120780756|XP_039968945.1|BTRY	LOC108113790|XP_017079987.1|DEUG
OG0002180	LOC120782301|XP_039970445.1|BTRY	LOC108111335|XP_017076245.1|DEUG
OG0002181	LOC120775451|XP_039961571.1|BTRY	LOC108103139|XP_017064000.1|DEUG
OG0002182	LOC120767932|XP_039950230.1|BTRY	LOC108115148|XP_017081941.1|DEUG
OG0002183	LOC120771506|XP_039955493.1|BTRY	LOC108112034|XP_017077270.1|DEUG
OG0002184	LOC120772371|XP_039956882.1|BTRY	LOC108111682|XP_017076711.1|DEUG
OG0002185	LOC120774548|XP_039960216.1|BTRY	LOC108105622|XP_017067793.1|DEUG
OG0002186	LOC120782727|XP_039971089.1|BTRY	LOC108113405|XP_017079447.1|DEUG
OG0002187	LOC120776616|XP_039963345.1|BTRY	LOC108115626|XP_017082666.1|DEUG
OG0002188	LOC120772246|XP_039956676.1|BTRY, LOC120780043|XP_039968250.1|BTRY	LOC108107435|XP_017070460.1|DEUG
OG0002189	LOC120780476|XP_039968686.1|BTRY	LOC108113826|XP_017080024.1|DEUG
OG0002190	LOC120772217|XP_039956633.1|BTRY	LOC108116678|XP_017084167.1|DEUG
OG0002191	LOC120777624|XP_039965011.1|BTRY	LOC108114199|XP_017080506.1|DEUG
OG0002192	LOC120778176|XP_039965845.1|BTRY	LOC108108657|XP_017072250.1|DEUG
OG0002193	LOC120782496|XP_039970734.1|BTRY	LOC108117515|XP_017085500.1|DEUG
OG0002194	LOC120766641|XP_039948194.1|BTRY	LOC108115796|XP_017082865.1|DEUG
OG0002195	LOC120782513|XP_039970755.1|BTRY	LOC108116690|XP_017084193.1|DEUG
OG0002196	LOC120782698|XP_039971032.1|BTRY	LOC108116282|XP_017083558.1|DEUG, LOC108109727|XP_017073906.1|DEUG
OG0002197	LOC120782519|XP_039970762.1|BTRY	LOC108104627|XP_017066291.1|DEUG
OG0002198	LOC120766982|XP_039948711.1|BTRY	LOC108115056|XP_017081791.1|DEUG
OG0002199	LOC120782742|XP_039971109.1|BTRY	LOC108109516|XP_017073556.1|DEUG
OG0002200	LOC120780430|XP_039968640.1|BTRY	LOC108105104|XP_017067028.1|DEUG
OG0002202	LOC120769735|XP_039952825.1|BTRY	LOC108110707|XP_017075342.1|DEUG, LOC108116893|XP_017084488.1|DEUG
OG0002203	LOC120768318|XP_039950895.1|BTRY	LOC108111635|XP_017076654.1|DEUG, LOC108111675|XP_017076701.1|DEUG
OG0002204	LOC120774250|XP_039959651.1|BTRY	LOC108113729|XP_017079904.1|DEUG
OG0002205	LOC120766979|XP_039948709.1|BTRY	LOC108116835|XP_017084376.1|DEUG
OG0002206	LOC120766255|XP_039947575.1|BTRY	LOC108115700|XP_017082759.1|DEUG
OG0002207	LOC120782703|XP_039971043.1|BTRY	LOC108116056|XP_017083246.1|DEUG
OG0002208	LOC120766200|XP_039947494.1|BTRY	LOC108116109|XP_017083320.1|DEUG
OG0002209	LOC120772440|XP_039956991.1|BTRY	LOC108109750|XP_017073907.1|DEUG
OG0002210	LOC120782766|XP_039971161.1|BTRY	LOC108115386|XP_017082310.1|DEUG
OG0002211	LOC120772181|XP_039956567.1|BTRY	LOC108116953|XP_017084596.1|DEUG
OG0002212	LOC120766260|XP_039947580.1|BTRY	LOC108117121|XP_017084841.1|DEUG
OG0002213	LOC120771487|XP_039955464.1|BTRY	LOC108116146|XP_017083371.1|DEUG
OG0002214	LOC120766242|XP_039947559.1|BTRY	LOC108109432|XP_017073421.1|DEUG
OG0002215	LOC120773612|XP_039958583.1|BTRY	LOC108109209|XP_017073143.1|DEUG
OG0002216	LOC120771455|XP_039955400.1|BTRY	LOC108116071|XP_017083275.1|DEUG
OG0002217	LOC120782590|XP_039970875.1|BTRY	LOC108105241|XP_017067205.1|DEUG
OG0002218	LOC120773744|XP_039958739.1|BTRY	LOC108110066|XP_017074436.1|DEUG
OG0002219	LOC120782215|XP_039970309.1|BTRY	LOC108116976|XP_017084625.1|DEUG
OG0002220	LOC120778357|XP_039966078.1|BTRY	LOC108116798|XP_017084334.1|DEUG
OG0002221	LOC120777064|XP_039964122.1|BTRY, LOC120777060|XP_039964107.1|BTRY	LOC108114624|XP_017081180.1|DEUG
OG0002222	LOC120770939|XP_039954583.1|BTRY	LOC108107367|XP_017070360.1|DEUG
OG0002223	LOC120772878|XP_039957654.1|BTRY	LOC108112636|XP_017078234.1|DEUG
OG0002224	LOC120781272|XP_039969397.1|BTRY	LOC108112564|XP_017078001.1|DEUG
OG0002225	LOC120778238|XP_039965929.1|BTRY	LOC108104917|XP_017066754.1|DEUG
OG0002226	LOC120770385|XP_039953740.1|BTRY	LOC108106403|XP_017068903.1|DEUG
OG0002227	LOC120771486|XP_039955458.1|BTRY	LOC108106474|XP_017069039.1|DEUG
OG0002228	LOC120771656|XP_039955705.1|BTRY	LOC108105408|XP_017067444.1|DEUG
OG0002229	LOC120773050|XP_039957915.1|BTRY	LOC108107358|XP_017070348.1|DEUG
OG0002230	LOC120770234|XP_039953455.1|BTRY	LOC108112543|XP_017077968.1|DEUG
OG0002231	LOC120771227|XP_039955072.1|BTRY	LOC108113113|XP_017079099.1|DEUG
OG0002232	LOC120781262|XP_039969351.1|BTRY, LOC120781261|XP_039969349.1|BTRY, LOC120781255|XP_039969340.1|BTRY	LOC108109160|XP_017073072.1|DEUG
OG0002233	LOC120778278|XP_039965998.1|BTRY	LOC108108208|XP_017071658.1|DEUG
OG0002234	LOC120772414|XP_039956947.1|BTRY	LOC108106692|XP_017069414.1|DEUG
OG0002235	LOC120772533|XP_039957135.1|BTRY	LOC108112672|XP_017078300.1|DEUG
OG0002236	LOC120771370|XP_039955263.1|BTRY	LOC108107315|XP_017070277.1|DEUG
OG0002237	LOC120771521|XP_039955513.1|BTRY	LOC108107434|XP_017070457.1|DEUG
OG0002238	LOC120769974|XP_039952978.1|BTRY	LOC108113024|XP_017078940.1|DEUG
OG0002239	LOC120770376|XP_039953727.1|BTRY	LOC108112846|XP_017078648.1|DEUG
OG0002240	LOC120772781|XP_039957493.1|BTRY	LOC108112933|XP_017078813.1|DEUG
OG0002241	LOC120778384|XP_039966105.1|BTRY	LOC108117391|XP_017085278.1|DEUG
OG0002242	LOC120776862|XP_039963842.1|BTRY	LOC108109825|XP_017074050.1|DEUG
OG0002243	LOC120768263|XP_039950794.1|BTRY	LOC108117146|XP_017084893.1|DEUG
OG0002244	LOC120777793|XP_039965258.1|BTRY	LOC108114342|XP_017080763.1|DEUG
OG0002245	LOC120777233|XP_039964349.1|BTRY	LOC108109815|XP_017074029.1|DEUG
OG0002246	LOC120771006|XP_039954701.1|BTRY	LOC108113183|XP_017079197.1|DEUG
OG0002247	LOC120778552|XP_039966337.1|BTRY	LOC108107402|XP_017070411.1|DEUG
OG0002248	LOC120778173|XP_039965843.1|BTRY, LOC120778810|XP_039966747.1|BTRY	LOC108107912|XP_017071221.1|DEUG
OG0002249	LOC120777043|XP_039964088.1|BTRY	LOC108109911|XP_017074208.1|DEUG
OG0002250	LOC120772826|XP_039957567.1|BTRY	LOC108108901|XP_017072614.1|DEUG
OG0002251	LOC120772890|XP_039957694.1|BTRY	LOC108109274|XP_017073254.1|DEUG
OG0002252	LOC120772168|XP_039956542.1|BTRY	LOC108109205|XP_017073136.1|DEUG
OG0002253	LOC120770911|XP_039954522.1|BTRY	LOC108107461|XP_017070496.1|DEUG
OG0002254	LOC120766760|XP_039948372.1|BTRY	LOC108117462|XP_017085373.1|DEUG
OG0002255	LOC120775528|XP_039961683.1|BTRY	LOC108103759|XP_017064866.1|DEUG
OG0002256	LOC120773042|XP_039957905.1|BTRY	LOC108112585|XP_017078113.1|DEUG
OG0002257	LOC120771877|XP_039956066.1|BTRY	LOC108106420|XP_017068938.1|DEUG
OG0002258	LOC120778840|XP_039966797.1|BTRY, LOC120777948|XP_039965494.1|BTRY	LOC108114104|XP_017080352.1|DEUG
OG0002259	LOC120773946|XP_039959096.1|BTRY	LOC108115198|XP_017082008.1|DEUG
OG0002260	LOC120778607|XP_039966417.1|BTRY	LOC108107974|XP_017071307.1|DEUG
OG0002261	LOC120777953|XP_039965500.1|BTRY	LOC108108675|XP_017072268.1|DEUG
OG0002262	LOC120780102|XP_039968319.1|BTRY	LOC108104833|XP_017066623.1|DEUG
OG0002263	LOC120777692|XP_039965099.1|BTRY	LOC108114539|XP_017081071.1|DEUG
OG0002264	LOC120770936|XP_039954578.1|BTRY	LOC108107366|XP_017070359.1|DEUG
OG0002265	LOC120778554|XP_039966339.1|BTRY	LOC108113991|XP_017080223.1|DEUG
OG0002266	LOC120778689|XP_039966568.1|BTRY	LOC108107614|XP_017070673.1|DEUG
OG0002267	LOC120776839|XP_039963799.1|BTRY	LOC108108322|XP_017071839.1|DEUG
OG0002268	LOC120777703|XP_039965117.1|BTRY	LOC108114546|XP_017081080.1|DEUG
OG0002269	LOC120771964|XP_039956233.1|BTRY	LOC108112777|XP_017078539.1|DEUG
OG0002270	LOC120771342|XP_039955222.1|BTRY	LOC108112999|XP_017078899.1|DEUG
OG0002271	LOC120777520|XP_039964823.1|BTRY	LOC108108347|XP_017071877.1|DEUG
OG0002272	LOC120776838|XP_039963798.1|BTRY	LOC108102805|XP_017063473.1|DEUG
OG0002273	LOC120779177|XP_039967349.1|BTRY	LOC108118204|XP_017086252.1|DEUG
OG0002274	LOC120779182|XP_039967360.1|BTRY	LOC108108708|XP_017072306.1|DEUG
OG0002275	LOC120777698|XP_039965106.1|BTRY	LOC108114632|XP_017081187.1|DEUG
OG0002276	LOC120776330|XP_039962794.1|BTRY	LOC108102789|XP_017063439.1|DEUG
OG0002277	LOC120776334|XP_039962802.1|BTRY	LOC108102863|XP_017063554.1|DEUG
OG0002278	LOC120776981|XP_039964014.1|BTRY, LOC120782013|XP_039970106.1|BTRY	LOC108107518|XP_017070548.1|DEUG
OG0002279	LOC120776414|XP_039962977.1|BTRY	LOC108117372|XP_017085247.1|DEUG
OG0002280	LOC120776635|XP_039963387.1|BTRY	LOC108114186|XP_017080484.1|DEUG
OG0002281	LOC120778106|XP_039965742.1|BTRY	LOC108114463|XP_017080957.1|DEUG
OG0002282	LOC120778021|XP_039965626.1|BTRY	LOC108108032|XP_017071393.1|DEUG
OG0002283	LOC120772928|XP_039957762.1|BTRY	LOC108109188|XP_017073111.1|DEUG
OG0002284	LOC120772674|XP_039957345.1|BTRY	LOC108109068|XP_017072901.1|DEUG
OG0002285	LOC120777223|XP_039964337.1|BTRY	LOC108103286|XP_017064186.1|DEUG
OG0002286	LOC120776729|XP_039963588.1|BTRY	LOC108113194|XP_017079210.1|DEUG
OG0002287	LOC120771279|XP_039955139.1|BTRY	LOC108113123|XP_017079115.1|DEUG
