Orthogroup	BTRY.longest_only	HILL.longest_only
OG0002228	LOC120771656|XP_039955705.1|BTRY	LOC119646814|XP_037903343.1|HILL
OG0002229	LOC120773050|XP_039957915.1|BTRY	LOC119647063|XP_037903749.1|HILL, LOC119647328|XP_037904194.1|HILL
OG0002230	LOC120770234|XP_039953455.1|BTRY	LOC119651222|XP_037910610.1|HILL
OG0002231	LOC120771227|XP_039955072.1|BTRY	LOC119650627|XP_037909458.1|HILL
OG0002232	LOC120781262|XP_039969351.1|BTRY, LOC120781261|XP_039969349.1|BTRY, LOC120781255|XP_039969340.1|BTRY	LOC119647095|XP_037903793.1|HILL
OG0002233	LOC120778278|XP_039965998.1|BTRY	LOC119649443|XP_037907522.1|HILL
OG0002234	LOC120772414|XP_039956947.1|BTRY	LOC119659812|XP_037924026.1|HILL
OG0002235	LOC120772533|XP_039957135.1|BTRY	LOC119656207|XP_037918530.1|HILL
OG0002236	LOC120771370|XP_039955263.1|BTRY	LOC119654446|XP_037915780.1|HILL
OG0002237	LOC120771521|XP_039955513.1|BTRY	LOC119648981|XP_037906834.1|HILL
OG0002238	LOC120769974|XP_039952978.1|BTRY	LOC119646673|XP_037903131.1|HILL
OG0002239	LOC120770376|XP_039953727.1|BTRY	LOC119650661|XP_037909529.1|HILL, LOC119660823|XP_037925614.1|HILL
OG0002240	LOC120772781|XP_039957493.1|BTRY	LOC119653608|XP_037914303.1|HILL
OG0002241	LOC120778384|XP_039966105.1|BTRY	LOC119649540|XP_037907655.1|HILL
OG0002242	LOC120776862|XP_039963842.1|BTRY	LOC119650457|XP_037909241.1|HILL
OG0002243	LOC120768263|XP_039950794.1|BTRY	LOC119648974|XP_037906824.1|HILL
OG0002244	LOC120777793|XP_039965258.1|BTRY	LOC119648399|XP_037906071.1|HILL
OG0002245	LOC120777233|XP_039964349.1|BTRY	LOC119647821|XP_037904979.1|HILL
OG0002246	LOC120771006|XP_039954701.1|BTRY	LOC119661166|XP_037926309.1|HILL
OG0002247	LOC120778552|XP_039966337.1|BTRY	LOC119649772|XP_037908000.1|HILL
OG0002248	LOC120778173|XP_039965843.1|BTRY, LOC120778810|XP_039966747.1|BTRY	LOC119650105|XP_037908553.1|HILL
OG0002249	LOC120777043|XP_039964088.1|BTRY	LOC119650067|XP_037908492.1|HILL
OG0002250	LOC120772826|XP_039957567.1|BTRY	LOC119661059|XP_037926188.1|HILL
OG0002251	LOC120772890|XP_039957694.1|BTRY	LOC119646912|XP_037903511.1|HILL
OG0002252	LOC120772168|XP_039956542.1|BTRY	LOC119647096|XP_037903794.1|HILL, LOC119661252|XP_037926428.1|HILL, LOC119661187|XP_037926335.1|HILL
OG0002253	LOC120770911|XP_039954522.1|BTRY	LOC119661309|XP_037926529.1|HILL
OG0002254	LOC120766760|XP_039948372.1|BTRY	LOC119659864|XP_037924104.1|HILL
OG0002255	LOC120775528|XP_039961683.1|BTRY	LOC119659877|XP_037924124.1|HILL
OG0002256	LOC120773042|XP_039957905.1|BTRY	LOC119647267|XP_037904084.1|HILL
OG0002257	LOC120771877|XP_039956066.1|BTRY	LOC119659138|XP_037923001.1|HILL
OG0002258	LOC120778840|XP_039966797.1|BTRY, LOC120777948|XP_039965494.1|BTRY	LOC119649712|XP_037907914.1|HILL
OG0002259	LOC120773946|XP_039959096.1|BTRY	LOC119660723|XP_037925304.1|HILL
OG0002260	LOC120778607|XP_039966417.1|BTRY	LOC119650103|XP_037908551.1|HILL
OG0002261	LOC120777953|XP_039965500.1|BTRY	LOC119649098|XP_037907029.1|HILL
OG0002262	LOC120780102|XP_039968319.1|BTRY	LOC119655348|XP_037917128.1|HILL
OG0002263	LOC120777692|XP_039965099.1|BTRY	LOC119649924|XP_037908255.1|HILL
OG0002264	LOC120770936|XP_039954578.1|BTRY	LOC119646417|XP_037902791.1|HILL
OG0002265	LOC120778554|XP_039966339.1|BTRY	LOC119649321|XP_037907351.1|HILL
OG0002266	LOC120778689|XP_039966568.1|BTRY	LOC119649683|XP_037907872.1|HILL
OG0002267	LOC120776839|XP_039963799.1|BTRY	LOC119647746|XP_037904789.1|HILL
OG0002268	LOC120777703|XP_039965117.1|BTRY	LOC119648816|XP_037906597.1|HILL
OG0002269	LOC120771964|XP_039956233.1|BTRY	LOC119661153|XP_037926293.1|HILL
OG0002270	LOC120771342|XP_039955222.1|BTRY	LOC119646408|XP_037902781.1|HILL
OG0002271	LOC120777520|XP_039964823.1|BTRY	LOC119647797|XP_037904933.1|HILL
OG0002272	LOC120776838|XP_039963798.1|BTRY	LOC119647750|XP_037904797.1|HILL
OG0002273	LOC120779177|XP_039967349.1|BTRY	LOC119649571|XP_037907701.1|HILL
OG0002274	LOC120779182|XP_039967360.1|BTRY	LOC119647790|XP_037904910.1|HILL
OG0002275	LOC120777698|XP_039965106.1|BTRY	LOC119647795|XP_037904925.1|HILL
OG0002277	LOC120776334|XP_039962802.1|BTRY	LOC119649061|XP_037906973.1|HILL
OG0002278	LOC120776981|XP_039964014.1|BTRY, LOC120782013|XP_039970106.1|BTRY	LOC119650383|XP_037909050.1|HILL
OG0002279	LOC120776414|XP_039962977.1|BTRY	LOC119648852|XP_037906657.1|HILL, LOC119649155|XP_037907094.1|HILL
OG0002280	LOC120776635|XP_039963387.1|BTRY	LOC119648199|XP_037905723.1|HILL
OG0002281	LOC120778106|XP_039965742.1|BTRY	LOC119648008|XP_037905336.1|HILL
OG0002282	LOC120778021|XP_039965626.1|BTRY	LOC119649086|XP_037907016.1|HILL
OG0002283	LOC120772928|XP_039957762.1|BTRY	LOC119657305|XP_037920132.1|HILL, LOC119657228|XP_037920008.1|HILL, LOC119657393|XP_037920249.1|HILL
OG0002284	LOC120772674|XP_039957345.1|BTRY	LOC119646518|XP_037902906.1|HILL
OG0002285	LOC120777223|XP_039964337.1|BTRY	LOC119650463|XP_037909255.1|HILL
OG0002286	LOC120776729|XP_039963588.1|BTRY	LOC119649955|XP_037908319.1|HILL
OG0002287	LOC120771279|XP_039955139.1|BTRY	LOC119653021|XP_037913392.1|HILL
OG0002288	LOC120778775|XP_039966690.1|BTRY	LOC119648663|XP_037906373.1|HILL
OG0002289	LOC120778582|XP_039966383.1|BTRY	LOC119649250|XP_037907246.1|HILL
OG0002290	LOC120782139|XP_039970212.1|BTRY	LOC119651797|XP_037911508.1|HILL
OG0002291	LOC120772918|XP_039957752.1|BTRY, LOC120771641|XP_039955675.1|BTRY	LOC119647226|XP_037903991.1|HILL
OG0002292	LOC120770846|XP_039954380.1|BTRY	LOC119653533|XP_037914141.1|HILL
OG0002293	LOC120771024|XP_039954734.1|BTRY	LOC119659415|XP_037923419.1|HILL
OG0002294	LOC120771017|XP_039954726.1|BTRY	LOC119661107|XP_037926231.1|HILL
OG0002295	LOC120768116|XP_039950598.1|BTRY	LOC119653230|XP_037913745.1|HILL
OG0002297	LOC120769798|XP_039952923.1|BTRY	LOC119659876|XP_037924122.1|HILL
OG0002298	LOC120771231|XP_039955077.1|BTRY	LOC119656593|XP_037918937.1|HILL
OG0002299	LOC120774431|XP_039960003.1|BTRY	LOC119657831|XP_037920880.1|HILL
OG0002300	LOC120768260|XP_039950788.1|BTRY	LOC119653080|XP_037913497.1|HILL
OG0002301	LOC120768854|XP_039951544.1|BTRY	LOC119653049|XP_037913441.1|HILL
OG0002302	LOC120768013|XP_039950383.1|BTRY	LOC119650848|XP_037909921.1|HILL
OG0002303	LOC120775941|XP_039962285.1|BTRY	LOC119653669|XP_037914431.1|HILL
OG0002304	LOC120768600|XP_039951296.1|BTRY	LOC119652508|XP_037912624.1|HILL
OG0002305	LOC120777269|XP_039964407.1|BTRY	LOC119651745|XP_037911403.1|HILL, LOC119651397|XP_037910906.1|HILL, LOC119652571|XP_037912713.1|HILL
OG0002306	LOC120781484|XP_039969636.1|BTRY	LOC119653029|XP_037913402.1|HILL
OG0002308	LOC120781412|XP_039969558.1|BTRY	LOC119650780|XP_037909817.1|HILL
OG0002309	LOC120768145|XP_039950638.1|BTRY	LOC119651381|XP_037910882.1|HILL
OG0002310	LOC120769727|XP_039952808.1|BTRY	LOC119647257|XP_037904066.1|HILL
OG0002311	LOC120769706|XP_039952774.1|BTRY	LOC119652655|XP_037912835.1|HILL
OG0002312	LOC120769816|XP_039952957.1|BTRY	LOC119652707|XP_037912916.1|HILL
OG0002313	LOC120771621|XP_039955645.1|BTRY	LOC119655802|XP_037917826.1|HILL
OG0002314	LOC120772175|XP_039956556.1|BTRY	LOC119655834|XP_037917872.1|HILL, LOC119655507|XP_037917343.1|HILL
OG0002315	LOC120772590|XP_039957232.1|BTRY	LOC119655367|XP_037917156.1|HILL
OG0002316	LOC120771015|XP_039954724.1|BTRY	LOC119651316|XP_037910774.1|HILL, LOC119646240|XP_037902563.1|HILL
OG0002317	LOC120778631|XP_039966460.1|BTRY	LOC119648385|XP_037906049.1|HILL
OG0002318	LOC120768376|XP_039950976.1|BTRY	LOC119655108|XP_037916758.1|HILL
OG0002319	LOC120769267|XP_039952107.1|BTRY	LOC119652959|XP_037913282.1|HILL
OG0002320	LOC120772300|XP_039956743.1|BTRY	LOC119661768|XP_037927170.1|HILL
OG0002321	LOC120769152|XP_039951965.1|BTRY	LOC119654879|XP_037916414.1|HILL
OG0002322	LOC120769349|XP_039952246.1|BTRY	LOC119651720|XP_037911370.1|HILL
OG0002323	LOC120767299|XP_039949119.1|BTRY	LOC119655386|XP_037917185.1|HILL
OG0002324	LOC120778954|XP_039966959.1|BTRY	LOC119649617|XP_037907765.1|HILL
OG0002325	LOC120777126|XP_039964204.1|BTRY	LOC119649629|XP_037907792.1|HILL
OG0002326	LOC120777602|XP_039964974.1|BTRY	LOC119649630|XP_037907797.1|HILL
OG0002327	LOC120777338|XP_039964517.1|BTRY	LOC119647579|XP_037904514.1|HILL
OG0002328	LOC120769220|XP_039952050.1|BTRY	LOC119651995|XP_037911843.1|HILL
OG0002329	LOC120769131|XP_039951932.1|BTRY	LOC119661282|XP_037926486.1|HILL
OG0002330	LOC120768641|XP_039951345.1|BTRY	LOC119659245|XP_037923156.1|HILL
OG0002331	LOC120774109|XP_039959402.1|BTRY	LOC119646483|XP_037902866.1|HILL, LOC119646794|XP_037903311.1|HILL
OG0002332	LOC120780112|XP_039968329.1|BTRY	LOC119659200|XP_037923095.1|HILL
OG0002333	LOC120771097|XP_039954864.1|BTRY	LOC119657902|XP_037920990.1|HILL
OG0002334	LOC120769117|XP_039951911.1|BTRY	LOC119652270|XP_037912182.1|HILL
OG0002335	LOC120772571|XP_039957196.1|BTRY	LOC119656022|XP_037918209.1|HILL
OG0002336	LOC120777770|XP_039965217.1|BTRY	LOC119648710|XP_037906447.1|HILL
OG0002337	LOC120772471|XP_039957043.1|BTRY	LOC119661456|XP_037926740.1|HILL
OG0002338	LOC120768639|XP_039951339.1|BTRY	LOC119646257|XP_037902586.1|HILL
OG0002339	LOC120768163|XP_039950658.1|BTRY	LOC119661238|XP_037926395.1|HILL, LOC119658619|XP_037922043.1|HILL
OG0002340	LOC120767919|XP_039950212.1|BTRY	LOC119646924|XP_037903532.1|HILL
OG0002341	LOC120770028|XP_039953073.1|BTRY	LOC119646973|XP_037903605.1|HILL
OG0002342	LOC120768577|XP_039951263.1|BTRY	LOC119649030|XP_037906931.1|HILL
OG0002343	LOC120767462|XP_039949479.1|BTRY	LOC119660713|XP_037925287.1|HILL
OG0002344	LOC120767687|XP_039949812.1|BTRY	LOC119651744|XP_037911406.1|HILL
OG0002345	LOC120771052|XP_039954789.1|BTRY	LOC119657767|XP_037920762.1|HILL
OG0002346	LOC120768222|XP_039950733.1|BTRY	LOC119651353|XP_037910840.1|HILL, LOC119653163|XP_037913631.1|HILL
OG0002347	LOC120771155|XP_039954965.1|BTRY	LOC119646674|XP_037903132.1|HILL
OG0002348	LOC120769723|XP_039952799.1|BTRY	LOC119647049|XP_037903733.1|HILL
OG0002349	LOC120772314|XP_039956765.1|BTRY	LOC119658296|XP_037921522.1|HILL
OG0002350	LOC120771050|XP_039954787.1|BTRY	LOC119657278|XP_037920050.1|HILL
OG0002351	LOC120772212|XP_039956626.1|BTRY	LOC119646879|XP_037903434.1|HILL
OG0002352	LOC120772550|XP_039957168.1|BTRY	LOC119647139|XP_037903859.1|HILL
OG0002353	LOC120768963|XP_039951691.1|BTRY	LOC119652308|XP_037912247.1|HILL
OG0002354	LOC120767827|XP_039950049.1|BTRY	LOC119652287|XP_037912211.1|HILL
OG0002355	LOC120768404|XP_039951013.1|BTRY	LOC119651278|XP_037910710.1|HILL
OG0002356	LOC120769561|XP_039952547.1|BTRY	LOC119660436|XP_037924918.1|HILL
OG0002357	LOC120771208|XP_039955048.1|BTRY	LOC119653801|XP_037914745.1|HILL
OG0002358	LOC120778549|XP_039966336.1|BTRY	LOC119656951|XP_037919596.1|HILL
OG0002359	LOC120773616|XP_039958549.1|BTRY	LOC119657707|XP_037920678.1|HILL
OG0002360	LOC120781380|XP_039969520.1|BTRY	LOC119652938|XP_037913255.1|HILL
OG0002361	LOC120779084|XP_039967168.1|BTRY	LOC119650828|XP_037909898.1|HILL
OG0002362	LOC120767544|XP_039949584.1|BTRY	LOC119647434|XP_037904283.1|HILL
OG0002363	LOC120769728|XP_039952809.1|BTRY	LOC119652537|XP_037912672.1|HILL
OG0002364	LOC120781486|XP_039969642.1|BTRY	LOC119649693|XP_037907892.1|HILL
OG0002365	LOC120781450|XP_039969599.1|BTRY	LOC119661179|XP_037926325.1|HILL
OG0002366	LOC120768482|XP_039951130.1|BTRY	LOC119661623|XP_037926971.1|HILL
OG0002367	LOC120768394|XP_039951000.1|BTRY	LOC119661318|XP_037926538.1|HILL
OG0002368	LOC120769200|XP_039952029.1|BTRY	LOC119652467|XP_037912566.1|HILL
OG0002369	LOC120767924|XP_039950217.1|BTRY	LOC119649382|XP_037907428.1|HILL, LOC119660565|XP_037925142.1|HILL
OG0002370	LOC120768100|XP_039950577.1|BTRY	LOC119651809|XP_037911527.1|HILL
OG0002371	LOC120767929|XP_039950224.1|BTRY	LOC119656539|XP_037918816.1|HILL, LOC119651032|XP_037910274.1|HILL, LOC119650814|XP_037909880.1|HILL
OG0002372	LOC120767678|XP_039949787.1|BTRY	LOC119660545|XP_037925112.1|HILL, LOC119646395|XP_037902770.1|HILL
OG0002373	LOC120767790|XP_039949987.1|BTRY	LOC119661102|XP_037926219.1|HILL
OG0002374	LOC120777442|XP_039964728.1|BTRY, LOC120777360|XP_039964606.1|BTRY, LOC120777206|XP_039964354.1|BTRY, LOC120774062|XP_039959305.1|BTRY	LOC119653043|XP_037913433.1|HILL
OG0002375	LOC120782127|XP_039970202.1|BTRY	LOC119660203|XP_037924565.1|HILL
OG0002376	LOC120767809|XP_039950021.1|BTRY	LOC119651132|XP_037910455.1|HILL
OG0002377	LOC120766959|XP_039948683.1|BTRY	LOC119659088|XP_037922929.1|HILL
OG0002378	LOC120778503|XP_039966266.1|BTRY	LOC119649998|XP_037908388.1|HILL
OG0002379	LOC120767333|XP_039949210.1|BTRY	LOC119660040|XP_037924350.1|HILL
OG0002380	LOC120774049|XP_039959285.1|BTRY	LOC119646172|XP_037902478.1|HILL
OG0002381	LOC120772596|XP_039957243.1|BTRY, LOC120772619|XP_039957268.1|BTRY	LOC119653793|XP_037914727.1|HILL
OG0002382	LOC120774097|XP_039959379.1|BTRY	LOC119654175|XP_037915288.1|HILL
OG0002383	LOC120778327|XP_039966057.1|BTRY, LOC120777564|XP_039964894.1|BTRY	LOC119655164|XP_037916840.1|HILL
OG0002384	LOC120775472|XP_039961602.1|BTRY	LOC119655722|XP_037917683.1|HILL
OG0002386	LOC120782409|XP_039970590.1|BTRY	LOC119660530|XP_037925082.1|HILL
OG0002387	LOC120782202|XP_039970284.1|BTRY	LOC119658632|XP_037922074.1|HILL
OG0002388	LOC120775028|XP_039960923.1|BTRY	LOC119660597|XP_037925202.1|HILL
OG0002389	LOC120766629|XP_039948179.1|BTRY	LOC119659861|XP_037924097.1|HILL
OG0002390	LOC120779581|XP_039967858.1|BTRY	LOC119660777|XP_037925481.1|HILL
OG0002391	LOC120771582|XP_039955588.1|BTRY	LOC119654799|XP_037916278.1|HILL
OG0002392	LOC120776705|XP_039963535.1|BTRY	LOC119648776|XP_037906538.1|HILL
OG0002393	LOC120777764|XP_039965202.1|BTRY	LOC119650098|XP_037908545.1|HILL
OG0002394	LOC120775635|XP_039961827.1|BTRY	LOC119660569|XP_037925148.1|HILL
OG0002395	LOC120782288|XP_039970426.1|BTRY	LOC119660359|XP_037924794.1|HILL
OG0002396	LOC120770500|XP_039953958.1|BTRY	LOC119646132|XP_037902409.1|HILL
OG0002397	LOC120772045|XP_039956352.1|BTRY	LOC119660308|XP_037924711.1|HILL
OG0002398	LOC120775389|XP_039961483.1|BTRY	LOC119655398|XP_037917203.1|HILL
OG0002399	LOC120772107|XP_039956452.1|BTRY	LOC119654108|XP_037915199.1|HILL
OG0002400	LOC120771689|XP_039955756.1|BTRY	LOC119655117|XP_037916767.1|HILL
OG0002401	LOC120779601|XP_039967880.1|BTRY	LOC119660972|XP_037925964.1|HILL
OG0002402	LOC120766837|XP_039948482.1|BTRY, LOC120766268|XP_039947591.1|BTRY	LOC119658794|XP_037922439.1|HILL
OG0002403	LOC120777028|XP_039964077.1|BTRY	LOC119658795|XP_037922441.1|HILL
OG0002404	LOC120772978|XP_039957828.1|BTRY	LOC119658822|XP_037922481.1|HILL
OG0002405	LOC120782476|XP_039970704.1|BTRY	LOC119658571|XP_037921946.1|HILL
OG0002406	LOC120777421|XP_039964656.1|BTRY	LOC119648375|XP_037906032.1|HILL
OG0002407	LOC120766669|XP_039948238.1|BTRY	LOC119658730|XP_037922320.1|HILL
OG0002408	LOC120766956|XP_039948679.1|BTRY	LOC119660604|XP_037925218.1|HILL
OG0002410	LOC120782394|XP_039970571.1|BTRY	LOC119660586|XP_037925170.1|HILL
OG0002411	LOC120772673|XP_039957348.1|BTRY	LOC119659118|XP_037922970.1|HILL
OG0002412	LOC120780948|XP_039969112.1|BTRY	LOC119658884|XP_037922597.1|HILL
OG0002413	LOC120774104|XP_039959394.1|BTRY	LOC119655404|XP_037917215.1|HILL
OG0002414	LOC120777597|XP_039964967.1|BTRY	LOC119649954|XP_037908318.1|HILL
OG0002415	LOC120773409|XP_039958220.1|BTRY	LOC119659203|XP_037923099.1|HILL
OG0002416	LOC120779494|XP_039967713.1|BTRY	LOC119660796|XP_037925541.1|HILL
OG0002417	LOC120769366|XP_039952261.1|BTRY	LOC119660805|XP_037925571.1|HILL, LOC119646214|XP_037902524.1|HILL
OG0002418	LOC120780296|XP_039968522.1|BTRY	LOC119658681|XP_037922173.1|HILL
OG0002419	LOC120775375|XP_039961471.1|BTRY	LOC119653741|XP_037914593.1|HILL
OG0002420	LOC120777824|XP_039965294.1|BTRY	LOC119647472|XP_037904337.1|HILL
OG0002421	LOC120766324|XP_039947682.1|BTRY	LOC119647190|XP_037903929.1|HILL
OG0002422	LOC120782707|XP_039971057.1|BTRY	LOC119659721|XP_037923904.1|HILL
OG0002423	LOC120776760|XP_039963655.1|BTRY	LOC119649055|XP_037906961.1|HILL, LOC119647733|XP_037904768.1|HILL
OG0002424	LOC120776735|XP_039963597.1|BTRY	LOC119652081|XP_037911950.1|HILL
OG0002425	LOC120774039|XP_039959273.1|BTRY	LOC119657196|XP_037919928.1|HILL
OG0002426	LOC120777657|XP_039965044.1|BTRY	LOC119653442|XP_037913957.1|HILL
OG0002427	LOC120779682|XP_039967974.1|BTRY	LOC119660873|XP_037925712.1|HILL
OG0002428	LOC120775449|XP_039961568.1|BTRY	LOC119654226|XP_037915372.1|HILL
OG0002429	LOC120779062|XP_039967129.1|BTRY	LOC119649762|XP_037907984.1|HILL
OG0002430	LOC120771257|XP_039955108.1|BTRY	LOC119655477|XP_037917306.1|HILL
OG0002431	LOC120770134|XP_039953251.1|BTRY	LOC119654180|XP_037915295.1|HILL
OG0002432	LOC120775497|XP_039961638.1|BTRY	LOC119655856|XP_037917903.1|HILL
OG0002433	LOC120772986|XP_039957833.1|BTRY, LOC120766556|XP_039948074.1|BTRY	LOC119660906|XP_037925781.1|HILL
OG0002434	LOC120782031|XP_039970121.1|BTRY	LOC119660559|XP_037925127.1|HILL, LOC119660560|XP_037925128.1|HILL
OG0002436	LOC120771066|XP_039954806.1|BTRY	LOC119654974|XP_037916562.1|HILL
OG0002437	LOC120770736|XP_039954258.1|BTRY	LOC119656106|XP_037918349.1|HILL
OG0002438	LOC120772843|XP_039957589.1|BTRY	LOC119654228|XP_037915376.1|HILL
OG0002439	LOC120769154|XP_039951970.1|BTRY	LOC119652633|XP_037912809.1|HILL
OG0002440	LOC120777611|XP_039964994.1|BTRY	LOC119650031|XP_037908440.1|HILL
OG0002441	LOC120781985|XP_039970089.1|BTRY	LOC119654363|XP_037915637.1|HILL
OG0002442	LOC120771280|XP_039955140.1|BTRY, LOC120771819|XP_039955970.1|BTRY	LOC119654472|XP_037915818.1|HILL
OG0002443	LOC120770424|XP_039953807.1|BTRY	LOC119655257|XP_037916981.1|HILL
OG0002444	LOC120771392|XP_039955292.1|BTRY	LOC119655585|XP_037917455.1|HILL
OG0002445	LOC120771921|XP_039956145.1|BTRY	LOC119654997|XP_037916592.1|HILL
OG0002446	LOC120771129|XP_039954919.1|BTRY	LOC119655351|XP_037917131.1|HILL
OG0002447	LOC120777891|XP_039965388.1|BTRY	LOC119648048|XP_037905436.1|HILL
OG0002448	LOC120768487|XP_039951137.1|BTRY	LOC119655254|XP_037916980.1|HILL
OG0002449	LOC120777834|XP_039965305.1|BTRY, LOC120772658|XP_039957323.1|BTRY	LOC119655516|XP_037917352.1|HILL
OG0002450	LOC120777182|XP_039964280.1|BTRY	LOC119651379|XP_037910880.1|HILL
OG0002451	LOC120770096|XP_039953188.1|BTRY	LOC119654699|XP_037916141.1|HILL
OG0002452	LOC120771019|XP_039954728.1|BTRY	LOC119656072|XP_037918280.1|HILL
OG0002453	LOC120771706|XP_039955774.1|BTRY	LOC119654909|XP_037916465.1|HILL
OG0002454	LOC120777671|XP_039965064.1|BTRY	LOC119648715|XP_037906451.1|HILL, LOC119646825|XP_037903372.1|HILL
OG0002455	LOC120777669|XP_039965061.1|BTRY	LOC119648741|XP_037906486.1|HILL
OG0002456	LOC120772805|XP_039957521.1|BTRY	LOC119655658|XP_037917570.1|HILL
OG0002457	LOC120781234|XP_039969306.1|BTRY	LOC119646410|XP_037902782.1|HILL
OG0002458	LOC120779032|XP_039967088.1|BTRY	LOC119647523|XP_037904421.1|HILL
OG0002459	LOC120770448|XP_039953858.1|BTRY	LOC119655273|XP_037917013.1|HILL
OG0002460	LOC120771644|XP_039955689.1|BTRY	LOC119654957|XP_037916543.1|HILL
OG0002461	LOC120772043|XP_039956349.1|BTRY	LOC119655739|XP_037917720.1|HILL
OG0002462	LOC120772889|XP_039957674.1|BTRY	LOC119653574|XP_037914235.1|HILL
OG0002463	LOC120771625|XP_039955649.1|BTRY	LOC119653475|XP_037914021.1|HILL
OG0002464	LOC120771338|XP_039955217.1|BTRY, LOC120771330|XP_039955209.1|BTRY	LOC119654425|XP_037915744.1|HILL
OG0002465	LOC120772423|XP_039956968.1|BTRY, LOC120772199|XP_039956599.1|BTRY	LOC119655627|XP_037917525.1|HILL
OG0002466	LOC120772969|XP_039957810.1|BTRY	LOC119660981|XP_037925992.1|HILL
OG0002467	LOC120778616|XP_039966428.1|BTRY, LOC120777648|XP_039965034.1|BTRY	LOC119649915|XP_037908245.1|HILL
OG0002468	LOC120777808|XP_039965277.1|BTRY, LOC120777065|XP_039964124.1|BTRY	LOC119647951|XP_037905266.1|HILL
OG0002469	LOC120780051|XP_039968258.1|BTRY, LOC120768776|XP_039951473.1|BTRY	LOC119658964|XP_037922766.1|HILL
OG0002470	LOC120770392|XP_039953756.1|BTRY	LOC119655032|XP_037916637.1|HILL
OG0002471	LOC120772957|XP_039957795.1|BTRY	LOC119654376|XP_037915661.1|HILL, LOC119661413|XP_037926676.1|HILL
OG0002472	LOC120772377|XP_039956895.1|BTRY	LOC119654274|XP_037915474.1|HILL
OG0002473	LOC120772947|XP_039957784.1|BTRY	LOC119653549|XP_037914165.1|HILL
OG0002474	LOC120779129|XP_039967267.1|BTRY	LOC119649201|XP_037907174.1|HILL
OG0002475	LOC120782329|XP_039970489.1|BTRY	LOC119654429|XP_037915751.1|HILL
OG0002476	LOC120772437|XP_039956988.1|BTRY	LOC119656275|XP_037918628.1|HILL
OG0002477	LOC120772891|XP_039957695.1|BTRY	LOC119654629|XP_037916028.1|HILL
OG0002478	LOC120771501|XP_039955488.1|BTRY	LOC119653653|XP_037914401.1|HILL
OG0002479	LOC120772626|XP_039957276.1|BTRY	LOC119653693|XP_037914491.1|HILL
OG0002480	LOC120771008|XP_039954707.1|BTRY	LOC119656249|XP_037918591.1|HILL
OG0002481	LOC120775556|XP_039961716.1|BTRY	LOC119654359|XP_037915631.1|HILL
OG0002482	LOC120772446|XP_039957000.1|BTRY	LOC119654812|XP_037916296.1|HILL
OG0002483	LOC120772494|XP_039957075.1|BTRY	LOC119654265|XP_037915460.1|HILL
OG0002484	LOC120772191|XP_039956591.1|BTRY	LOC119656027|XP_037918219.1|HILL
OG0002485	LOC120771032|XP_039954749.1|BTRY	LOC119655679|XP_037917607.1|HILL
OG0002486	LOC120776531|XP_039963198.1|BTRY	LOC119648139|XP_037905613.1|HILL
OG0002487	LOC120769616|XP_039952650.1|BTRY	LOC119653874|XP_037914910.1|HILL
OG0002488	LOC120779561|XP_039967836.1|BTRY, LOC120780372|XP_039968595.1|BTRY	LOC119660954|XP_037925920.1|HILL
OG0002489	LOC120776802|XP_039963730.1|BTRY	LOC119660887|XP_037925736.1|HILL
OG0002490	LOC120772999|XP_039957845.1|BTRY	LOC119654280|XP_037915491.1|HILL
OG0002491	LOC120776601|XP_039963319.1|BTRY	LOC119647915|XP_037905165.1|HILL
OG0002492	LOC120772808|XP_039957532.1|BTRY	LOC119654307|XP_037915554.1|HILL
OG0002493	LOC120774414|XP_039959974.1|BTRY	LOC119655465|XP_037917293.1|HILL
OG0002494	LOC120782638|XP_039970940.1|BTRY	LOC119659460|XP_037923474.1|HILL, LOC119660367|XP_037924804.1|HILL
OG0002495	LOC120771466|XP_039955411.1|BTRY	LOC119654722|XP_037916172.1|HILL
OG0002496	LOC120779431|XP_039967601.1|BTRY	LOC119649826|XP_037908093.1|HILL, LOC119649761|XP_037907983.1|HILL
OG0002496	LOC120767211|XP_039948954.1|BTRY	LOC119652298|XP_037912224.1|HILL, LOC119651941|XP_037911721.1|HILL, LOC119652809|XP_037913060.1|HILL
OG0002497	LOC120778318|XP_039966047.1|BTRY	LOC119655269|XP_037917012.1|HILL, LOC119658933|XP_037922695.1|HILL, LOC119649531|XP_037907646.1|HILL, LOC119650156|XP_037908629.1|HILL
OG0002498	LOC120777732|XP_039965156.1|BTRY	LOC119647689|XP_037904700.1|HILL, LOC119649036|XP_037906923.1|HILL
OG0002499	LOC120777009|XP_039964044.1|BTRY	LOC119648384|XP_037906048.1|HILL, LOC119649210|XP_037907195.1|HILL, LOC119648699|XP_037906435.1|HILL, LOC119649326|XP_037907355.1|HILL, LOC119649447|XP_037907526.1|HILL, LOC119648383|XP_037906047.1|HILL
OG0002499	LOC120779849|XP_039968143.1|BTRY	LOC119660531|XP_037925089.1|HILL
OG0002500	LOC120766723|XP_039948304.1|BTRY	LOC119649957|XP_037908322.1|HILL
OG0002501	LOC120768913|XP_039951614.1|BTRY, LOC120774038|XP_039959309.1|BTRY, LOC120766516|XP_039948015.1|BTRY, LOC120769151|XP_039951964.1|BTRY	LOC119653412|XP_037913907.1|HILL
OG0002508	LOC120776174|XP_039962721.1|BTRY	LOC119656934|XP_037919560.1|HILL
