Orthogroup	DGUA.longest_only	CPIP.longest_only
OG0002223	LOC117592488|XP_034142223.1|DGUA	LOC120430974|XP_039452040.1|CPIP
OG0002224	LOC117584693|XP_034129621.1|DGUA	LOC120430981|XP_039452053.1|CPIP
OG0002225	LOC117589448|XP_034137283.1|DGUA	LOC120423006|XP_039442563.1|CPIP, LOC120423028|XP_039442603.1|CPIP
OG0002226	LOC117592615|XP_034142391.1|DGUA	LOC120422859|XP_039442342.1|CPIP, LOC120425224|XP_039445589.1|CPIP
OG0002227	LOC117592458|XP_034142161.1|DGUA	LOC120417793|XP_039435896.1|CPIP
OG0002228	LOC117581644|XP_034124911.1|DGUA	LOC120422874|XP_039442355.1|CPIP
OG0002229	LOC117578880|XP_034120565.1|DGUA	LOC120422876|XP_039442369.1|CPIP
OG0002230	LOC117578724|XP_034120273.1|DGUA	LOC120422845|XP_039442323.1|CPIP
OG0002231	LOC117583464|XP_034127665.1|DGUA	LOC120419763|XP_039438524.1|CPIP, LOC120427223|XP_039448024.1|CPIP
OG0002232	LOC117592594|XP_034142411.1|DGUA	LOC120417389|XP_039435342.1|CPIP, LOC120417390|XP_039435345.1|CPIP
OG0002233	LOC117589376|XP_034137179.1|DGUA	LOC120424797|XP_039444943.1|CPIP, LOC120424803|XP_039444951.1|CPIP
OG0002234	LOC117591868|XP_034141128.1|DGUA	LOC120419836|XP_039438606.1|CPIP, LOC120427571|XP_039448380.1|CPIP, LOC120427578|XP_039448392.1|CPIP
OG0002235	LOC117592387|XP_034141989.1|DGUA	LOC120422922|XP_039442430.1|CPIP
OG0002236	LOC117578718|XP_034120262.1|DGUA	LOC120427083|XP_039447862.1|CPIP
OG0002237	LOC117584832|XP_034129857.1|DGUA	LOC120425904|XP_039446461.1|CPIP
OG0002238	LOC117578440|XP_034119850.1|DGUA	LOC120423496|XP_039443270.1|CPIP
OG0002239	LOC117588842|XP_034136230.1|DGUA	LOC120422883|XP_039442377.1|CPIP
OG0002240	LOC117578661|XP_034120174.1|DGUA	LOC120426030|XP_039446645.1|CPIP
OG0002241	LOC117580342|XP_034122738.1|DGUA	LOC120425351|XP_039445787.1|CPIP, LOC120429623|XP_039450587.1|CPIP
OG0002243	LOC117584986|XP_034130100.1|DGUA	LOC120420561|XP_039439563.1|CPIP
OG0002244	LOC117579434|XP_034121212.1|DGUA	LOC120420568|XP_039439580.1|CPIP
OG0002245	LOC117589317|XP_034137017.1|DGUA	LOC120430538|XP_039451586.1|CPIP, LOC120431293|XP_039452369.1|CPIP, LOC120422431|XP_039441782.1|CPIP
OG0002246	LOC117578493|XP_034119917.1|DGUA	LOC120415738|XP_039433273.1|CPIP
OG0002247	LOC117582749|XP_034126584.1|DGUA	LOC120424882|XP_039445080.1|CPIP
OG0002248	LOC117579587|XP_034121408.1|DGUA	LOC120424795|XP_039444940.1|CPIP
OG0002249	LOC117586822|XP_034132993.1|DGUA	LOC120429924|XP_039450955.1|CPIP
OG0002250	LOC117592006|XP_034141345.1|DGUA	LOC120420700|XP_039439731.1|CPIP
OG0002251	LOC117580016|XP_034122118.1|DGUA	LOC120420698|XP_039439726.1|CPIP
OG0002253	LOC117585240|XP_034130534.1|DGUA	LOC120417420|XP_039435397.1|CPIP, LOC120431078|XP_039452164.1|CPIP
OG0002254	LOC117583814|XP_034128288.1|DGUA	LOC120420684|XP_039439713.1|CPIP
OG0002255	LOC117583100|XP_034127170.1|DGUA, LOC117591518|XP_034140705.1|DGUA	LOC120426800|XP_039447515.1|CPIP
OG0002256	LOC117579318|XP_034121025.1|DGUA	LOC120421528|XP_039440681.1|CPIP
OG0002257	LOC117591866|XP_034141125.1|DGUA	LOC120420092|XP_039438958.1|CPIP
OG0002258	LOC117589055|XP_034136575.1|DGUA	LOC120413191|XP_039429838.1|CPIP
OG0002259	LOC117588716|XP_034136060.1|DGUA	LOC120413269|XP_039429932.1|CPIP, LOC120413262|XP_039429924.1|CPIP
OG0002260	LOC117580470|XP_034122937.1|DGUA	LOC120413256|XP_039429919.1|CPIP
OG0002261	LOC117580142|XP_034122334.1|DGUA	LOC120413231|XP_039429894.1|CPIP
OG0002263	LOC117588877|XP_034136276.1|DGUA	LOC120424834|XP_039444997.1|CPIP
OG0002264	LOC117578446|XP_034119864.1|DGUA	LOC120420087|XP_039438951.1|CPIP
OG0002265	LOC117579764|XP_034121708.1|DGUA	LOC120432434|XP_039453586.1|CPIP
OG0002266	LOC117591264|XP_034140345.1|DGUA	LOC120418016|XP_039436191.1|CPIP
OG0002267	LOC117580166|XP_034122377.1|DGUA	LOC120418934|XP_039437405.1|CPIP
OG0002268	LOC117587182|XP_034133593.1|DGUA	LOC120418918|XP_039437383.1|CPIP
OG0002269	LOC117591814|XP_034141039.1|DGUA	LOC120414641|XP_039431811.1|CPIP, LOC120420157|XP_039439057.1|CPIP
OG0002270	LOC117578405|XP_034123775.1|DGUA	LOC120427423|XP_039448217.1|CPIP, LOC120428825|XP_039449866.1|CPIP
OG0002271	LOC117587171|XP_034133578.1|DGUA	LOC120416566|XP_039434232.1|CPIP
OG0002272	LOC117579461|XP_034121240.1|DGUA	LOC120430341|XP_039451378.1|CPIP
OG0002273	LOC117587308|XP_034133797.1|DGUA	LOC120424315|XP_039444333.1|CPIP
OG0002274	LOC117579365|XP_034121091.1|DGUA	LOC120424318|XP_039444343.1|CPIP
OG0002275	LOC117586988|XP_034133278.1|DGUA	LOC120414431|XP_039431548.1|CPIP
OG0002276	LOC117587162|XP_034133559.1|DGUA	LOC120417610|XP_039435653.1|CPIP
OG0002277	LOC117587393|XP_034133938.1|DGUA	LOC120426777|XP_039447484.1|CPIP
OG0002278	LOC117580537|XP_034123021.1|DGUA	LOC120413394|XP_039430126.1|CPIP
OG0002279	LOC117579265|XP_034120952.1|DGUA	LOC120413424|XP_039430170.1|CPIP
OG0002280	LOC117589290|XP_034136971.1|DGUA	LOC120413392|XP_039430124.1|CPIP
OG0002281	LOC117589224|XP_034136865.1|DGUA	LOC120420039|XP_039438873.1|CPIP
OG0002282	LOC117589398|XP_034137208.1|DGUA	LOC120425134|XP_039445494.1|CPIP
OG0002283	LOC117591943|XP_034141246.1|DGUA	LOC120423762|XP_039443609.1|CPIP, LOC120423759|XP_039443608.1|CPIP
OG0002284	LOC117578695|XP_034120230.1|DGUA	LOC120423775|XP_039443628.1|CPIP
OG0002285	LOC117580824|XP_034123435.1|DGUA	LOC120420921|XP_039439982.1|CPIP, LOC120420914|XP_039439973.1|CPIP
OG0002286	LOC117591864|XP_034141127.1|DGUA	LOC120412637|XP_039429125.1|CPIP
OG0002287	LOC117591232|XP_034141323.1|DGUA	LOC120431346|XP_039452412.1|CPIP, LOC120427734|XP_039448576.1|CPIP, LOC120425689|XP_039446207.1|CPIP
OG0002288	LOC117587169|XP_034133572.1|DGUA	LOC120427730|XP_039448567.1|CPIP
OG0002289	LOC117580208|XP_034122492.1|DGUA	LOC120415802|XP_039433361.1|CPIP
OG0002290	LOC117588029|XP_034134966.1|DGUA	LOC120426546|XP_039447250.1|CPIP, LOC120426350|XP_039447046.1|CPIP
OG0002291	LOC117578596|XP_034120075.1|DGUA	LOC120417473|XP_039435481.1|CPIP
OG0002292	LOC117589474|XP_034137306.1|DGUA, LOC117578445|XP_034119859.1|DGUA	LOC120429716|XP_039450692.1|CPIP
OG0002293	LOC117590960|XP_034139906.1|DGUA	LOC120421396|XP_039440531.1|CPIP
OG0002294	LOC117585058|XP_034130208.1|DGUA	LOC120431185|XP_039452261.1|CPIP
OG0002296	LOC117588004|XP_034134917.1|DGUA	LOC120431809|XP_039452861.1|CPIP
OG0002297	LOC117585980|XP_034131688.1|DGUA	LOC120428723|XP_039449730.1|CPIP
OG0002298	LOC117588397|XP_034135545.1|DGUA	LOC120425452|XP_039445918.1|CPIP
OG0002299	LOC117581633|XP_034124894.1|DGUA	LOC120425451|XP_039445917.1|CPIP
OG0002300	LOC117587922|XP_034134800.1|DGUA	LOC120422193|XP_039441508.1|CPIP
OG0002301	LOC117588141|XP_034135125.1|DGUA	LOC120414667|XP_039431876.1|CPIP
OG0002302	LOC117591086|XP_034140077.1|DGUA	LOC120426537|XP_039447237.1|CPIP, LOC120426346|XP_039447041.1|CPIP
OG0002303	LOC117580640|XP_034123123.1|DGUA, LOC117591571|XP_034140775.1|DGUA	LOC120417163|XP_039435078.1|CPIP
OG0002304	LOC117591570|XP_034140774.1|DGUA, LOC117591539|XP_034140724.1|DGUA	LOC120422787|XP_039442259.1|CPIP
OG0002305	LOC117588891|XP_034136331.1|DGUA	LOC120428091|XP_039449009.1|CPIP
OG0002306	LOC117584760|XP_034129753.1|DGUA	LOC120425855|XP_039446412.1|CPIP
OG0002307	LOC117582017|XP_034125429.1|DGUA	LOC120428131|XP_039449048.1|CPIP
OG0002308	LOC117588005|XP_034134921.1|DGUA	LOC120413536|XP_039430344.1|CPIP
OG0002309	LOC117582416|XP_034125999.1|DGUA	LOC120413609|XP_039430447.1|CPIP
OG0002310	LOC117584850|XP_034129879.1|DGUA	LOC120413615|XP_039430454.1|CPIP
OG0002311	LOC117587942|XP_034134827.1|DGUA	LOC120416326|XP_039433984.1|CPIP
OG0002312	LOC117587761|XP_034134584.1|DGUA	LOC120424906|XP_039445132.1|CPIP
OG0002313	LOC117592442|XP_034142088.1|DGUA	LOC120413117|XP_039429760.1|CPIP
OG0002314	LOC117581476|XP_034124608.1|DGUA	LOC120413143|XP_039429785.1|CPIP
OG0002315	LOC117587651|XP_034134436.1|DGUA	LOC120413127|XP_039429766.1|CPIP, LOC120431577|XP_039452623.1|CPIP
OG0002316	LOC117582582|XP_034126319.1|DGUA	LOC120416329|XP_039433993.1|CPIP
OG0002317	LOC117580544|XP_034123029.1|DGUA	LOC120413106|XP_039429746.1|CPIP
OG0002318	LOC117582400|XP_034125978.1|DGUA	LOC120431698|XP_039452747.1|CPIP, LOC120424106|XP_039444050.1|CPIP
OG0002319	LOC117587827|XP_034134678.1|DGUA	LOC120428535|XP_039449501.1|CPIP
OG0002320	LOC117578499|XP_034119969.1|DGUA	LOC120418944|XP_039437416.1|CPIP
OG0002321	LOC117578756|XP_034120336.1|DGUA	LOC120414767|XP_039432014.1|CPIP
OG0002322	LOC117588145|XP_034135131.1|DGUA	LOC120428054|XP_039448951.1|CPIP
OG0002323	LOC117584600|XP_034129497.1|DGUA	LOC120424360|XP_039444389.1|CPIP
OG0002324	LOC117580140|XP_034122329.1|DGUA	LOC120420799|XP_039439851.1|CPIP
OG0002325	LOC117587470|XP_034134091.1|DGUA	LOC120420805|XP_039439860.1|CPIP
OG0002326	LOC117587469|XP_034134084.1|DGUA	LOC120420810|XP_039439865.1|CPIP
OG0002327	LOC117585209|XP_034130478.1|DGUA	LOC120420797|XP_039439843.1|CPIP
OG0002328	LOC117587879|XP_034134747.1|DGUA	LOC120426846|XP_039447568.1|CPIP
OG0002329	LOC117582080|XP_034125531.1|DGUA	LOC120420602|XP_039439614.1|CPIP
OG0002330	LOC117591620|XP_034140824.1|DGUA, LOC117591681|XP_034140897.1|DGUA, LOC117582082|XP_034125532.1|DGUA	LOC120420151|XP_039439051.1|CPIP
OG0002331	LOC117588414|XP_034135574.1|DGUA	LOC120420046|XP_039438891.1|CPIP
OG0002332	LOC117579662|XP_034121536.1|DGUA	LOC120428257|XP_039449185.1|CPIP
OG0002333	LOC117582551|XP_034126262.1|DGUA	LOC120431110|XP_039452197.1|CPIP
OG0002334	LOC117587669|XP_034134451.1|DGUA	LOC120428324|XP_039449255.1|CPIP
OG0002335	LOC117579294|XP_034120995.1|DGUA	LOC120425202|XP_039445567.1|CPIP, LOC120418964|XP_039437443.1|CPIP
OG0002336	LOC117579489|XP_034121278.1|DGUA	LOC120423645|XP_039443452.1|CPIP
OG0002337	LOC117592681|XP_034142531.1|DGUA	LOC120423129|XP_039442742.1|CPIP
OG0002338	LOC117584723|XP_034129667.1|DGUA	LOC120420900|XP_039439956.1|CPIP
OG0002339	LOC117583927|XP_034128498.1|DGUA	LOC120419774|XP_039438542.1|CPIP, LOC120415198|XP_039432590.1|CPIP
OG0002340	LOC117581685|XP_034124951.1|DGUA	LOC120424350|XP_039444376.1|CPIP
OG0002341	LOC117586441|XP_034132374.1|DGUA	LOC120421110|XP_039440203.1|CPIP
OG0002342	LOC117584774|XP_034129768.1|DGUA	LOC120421117|XP_039440211.1|CPIP
OG0002343	LOC117583939|XP_034128513.1|DGUA	LOC120415454|XP_039432933.1|CPIP
OG0002344	LOC117587831|XP_034134684.1|DGUA	LOC120415489|XP_039432990.1|CPIP
OG0002345	LOC117591812|XP_034141032.1|DGUA	LOC120415995|XP_039433582.1|CPIP
OG0002346	LOC117584295|XP_034129009.1|DGUA	LOC120416779|XP_039434578.1|CPIP
OG0002347	LOC117584125|XP_034128771.1|DGUA	LOC120416776|XP_039434575.1|CPIP
OG0002348	LOC117581854|XP_034125202.1|DGUA	LOC120416069|XP_039433671.1|CPIP
OG0002349	LOC117584583|XP_034129453.1|DGUA	LOC120426128|XP_039446764.1|CPIP, LOC120427962|XP_039448851.1|CPIP
OG0002350	LOC117591802|XP_034141006.1|DGUA	LOC120427961|XP_039448850.1|CPIP, LOC120426127|XP_039446763.1|CPIP
OG0002351	LOC117584075|XP_034128716.1|DGUA	LOC120419854|XP_039438625.1|CPIP
OG0002352	LOC117589923|XP_034138100.1|DGUA	LOC120427335|XP_039448120.1|CPIP
OG0002353	LOC117588082|XP_034135041.1|DGUA	LOC120419803|XP_039438573.1|CPIP
OG0002354	LOC117583902|XP_034128466.1|DGUA	LOC120416777|XP_039434576.1|CPIP
OG0002355	LOC117587577|XP_034134298.1|DGUA	LOC120424552|XP_039444651.1|CPIP
OG0002356	LOC117581839|XP_034125182.1|DGUA	LOC120412848|XP_039429404.1|CPIP
OG0002357	LOC117584906|XP_034129940.1|DGUA	LOC120412846|XP_039429403.1|CPIP
OG0002358	LOC117584348|XP_034129071.1|DGUA	LOC120415720|XP_039433249.1|CPIP
OG0002359	LOC117580894|XP_034123543.1|DGUA	LOC120427816|XP_039448674.1|CPIP
OG0002360	LOC117582549|XP_034126252.1|DGUA	LOC120415533|XP_039433026.1|CPIP
OG0002361	LOC117580068|XP_034122200.1|DGUA	LOC120415542|XP_039433043.1|CPIP, LOC120421990|XP_039441238.1|CPIP
OG0002362	LOC117582418|XP_034126000.1|DGUA	LOC120417700|XP_039435783.1|CPIP, LOC120412454|XP_039428854.1|CPIP
OG0002363	LOC117584362|XP_034129091.1|DGUA	LOC120423975|XP_039443901.1|CPIP
OG0002364	LOC117583862|XP_034128382.1|DGUA	LOC120423992|XP_039443923.1|CPIP
OG0002365	LOC117584445|XP_034129252.1|DGUA	LOC120423996|XP_039443939.1|CPIP
OG0002366	LOC117582604|XP_034126364.1|DGUA	LOC120412503|XP_039428936.1|CPIP, LOC120418410|XP_039436723.1|CPIP
OG0002367	LOC117582525|XP_034126214.1|DGUA	LOC120421150|XP_039440274.1|CPIP
OG0002368	LOC117587612|XP_034134353.1|DGUA	LOC120419647|XP_039438337.1|CPIP
OG0002369	LOC117580677|XP_034123186.1|DGUA	LOC120429906|XP_039450934.1|CPIP
OG0002370	LOC117584535|XP_034129377.1|DGUA	LOC120415512|XP_039433002.1|CPIP
OG0002371	LOC117583885|XP_034128432.1|DGUA	LOC120415513|XP_039433004.1|CPIP
OG0002372	LOC117582626|XP_034126392.1|DGUA	LOC120417285|XP_039435170.1|CPIP
OG0002373	LOC117584054|XP_034128686.1|DGUA	LOC120419153|XP_039437731.1|CPIP
OG0002374	LOC117583571|XP_034127838.1|DGUA	LOC120429067|XP_039450143.1|CPIP
OG0002375	LOC117589955|XP_034138144.1|DGUA	LOC120416343|XP_039434003.1|CPIP
OG0002376	LOC117584864|XP_034129904.1|DGUA	LOC120414302|XP_039431374.1|CPIP
OG0002377	LOC117586577|XP_034132633.1|DGUA	LOC120414304|XP_039431377.1|CPIP
OG0002378	LOC117579078|XP_034120677.1|DGUA	LOC120426574|XP_039447293.1|CPIP
OG0002379	LOC117582072|XP_034125520.1|DGUA	LOC120425772|XP_039446316.1|CPIP
OG0002380	LOC117588270|XP_034135316.1|DGUA	LOC120424705|XP_039444819.1|CPIP
OG0002381	LOC117592013|XP_034141358.1|DGUA	LOC120432390|XP_039453519.1|CPIP
OG0002382	LOC117590387|XP_034138853.1|DGUA	LOC120426818|XP_039447535.1|CPIP
OG0002383	LOC117587103|XP_034133485.1|DGUA	LOC120426827|XP_039447548.1|CPIP
OG0002384	LOC117591181|XP_034140198.1|DGUA	LOC120431525|XP_039452555.1|CPIP, LOC120418785|XP_039437200.1|CPIP, LOC120418839|XP_039437298.1|CPIP
OG0002386	LOC117586482|XP_034132470.1|DGUA	LOC120419452|XP_039438071.1|CPIP
OG0002387	LOC117582986|XP_034127008.1|DGUA	LOC120417667|XP_039435725.1|CPIP
OG0002388	LOC117580892|XP_034123535.1|DGUA, LOC117585978|XP_034131685.1|DGUA	LOC120426320|XP_039447013.1|CPIP
OG0002389	LOC117582919|XP_034126908.1|DGUA	LOC120425212|XP_039445577.1|CPIP
OG0002390	LOC117584427|XP_034129215.1|DGUA	LOC120421608|XP_039440768.1|CPIP
OG0002391	LOC117580961|XP_034123642.1|DGUA	LOC120416973|XP_039434828.1|CPIP
OG0002392	LOC117579693|XP_034121574.1|DGUA	LOC120419110|XP_039437638.1|CPIP
OG0002393	LOC117589075|XP_034136601.1|DGUA	LOC120432181|XP_039453255.1|CPIP
OG0002394	LOC117585608|XP_034131051.1|DGUA	LOC120432201|XP_039453292.1|CPIP
OG0002395	LOC117585316|XP_034130637.1|DGUA	LOC120432165|XP_039453231.1|CPIP
OG0002396	LOC117592181|XP_034141671.1|DGUA, LOC117592170|XP_034141657.1|DGUA, LOC117592706|XP_034142565.1|DGUA	LOC120413852|XP_039430746.1|CPIP
OG0002397	LOC117591932|XP_034141231.1|DGUA	LOC120419717|XP_039438438.1|CPIP, LOC120424009|XP_039443957.1|CPIP
OG0002398	LOC117590405|XP_034138893.1|DGUA	LOC120416749|XP_039434516.1|CPIP, LOC120427911|XP_039448784.1|CPIP
OG0002399	LOC117592225|XP_034141751.1|DGUA	LOC120427919|XP_039448791.1|CPIP
OG0002400	LOC117589344|XP_034137098.1|DGUA	LOC120417067|XP_039434958.1|CPIP
OG0002401	LOC117590603|XP_034139273.1|DGUA	LOC120417110|XP_039435020.1|CPIP, LOC120415889|XP_039433464.1|CPIP
OG0002402	LOC117585955|XP_034131645.1|DGUA	LOC120417504|XP_039435515.1|CPIP
OG0002403	LOC117585956|XP_034131651.1|DGUA	LOC120417531|XP_039435547.1|CPIP
OG0002404	LOC117590079|XP_034138308.1|DGUA	LOC120417503|XP_039435513.1|CPIP
OG0002405	LOC117586323|XP_034132203.1|DGUA	LOC120421244|XP_039440379.1|CPIP
OG0002406	LOC117589255|XP_034136921.1|DGUA	LOC120417335|XP_039435270.1|CPIP
OG0002407	LOC117582759|XP_034126611.1|DGUA	LOC120413756|XP_039430624.1|CPIP
OG0002408	LOC117585941|XP_034131601.1|DGUA	LOC120413753|XP_039430619.1|CPIP, LOC120413777|XP_039430654.1|CPIP
OG0002410	LOC117586339|XP_034132225.1|DGUA	LOC120413937|XP_039430868.1|CPIP
OG0002411	LOC117586611|XP_034132692.1|DGUA	LOC120413072|XP_039429708.1|CPIP
OG0002412	LOC117585823|XP_034131444.1|DGUA	LOC120413056|XP_039429694.1|CPIP
OG0002413	LOC117588332|XP_034135434.1|DGUA	LOC120413062|XP_039429698.1|CPIP
OG0002414	LOC117586957|XP_034133221.1|DGUA	LOC120413065|XP_039429703.1|CPIP
OG0002415	LOC117586024|XP_034131751.1|DGUA	LOC120413068|XP_039429704.1|CPIP, LOC120423283|XP_039442983.1|CPIP
OG0002417	LOC117582628|XP_034126394.1|DGUA	LOC120417884|XP_039436038.1|CPIP
OG0002418	LOC117590140|XP_034138403.1|DGUA	LOC120432324|XP_039453444.1|CPIP, LOC120417865|XP_039436018.1|CPIP
OG0002419	LOC117590862|XP_034139763.1|DGUA	LOC120419334|XP_039437939.1|CPIP, LOC120421352|XP_039440471.1|CPIP
OG0002420	LOC117589401|XP_034137211.1|DGUA	LOC120414018|XP_039430967.1|CPIP
OG0002421	LOC117585055|XP_034130205.1|DGUA	LOC120425950|XP_039446521.1|CPIP
OG0002422	LOC117585245|XP_034130548.1|DGUA	LOC120425902|XP_039446456.1|CPIP
OG0002423	LOC117579193|XP_034120853.1|DGUA	LOC120423429|XP_039443167.1|CPIP
OG0002424	LOC117590661|XP_034139405.1|DGUA	LOC120421718|XP_039440903.1|CPIP
OG0002425	LOC117581304|XP_034124236.1|DGUA	LOC120422248|XP_039441578.1|CPIP
OG0002426	LOC117587193|XP_034133628.1|DGUA	LOC120418236|XP_039436472.1|CPIP, LOC120422710|XP_039442159.1|CPIP
OG0002427	LOC117590663|XP_034139406.1|DGUA	LOC120418259|XP_039436510.1|CPIP, LOC120422748|XP_039442225.1|CPIP
OG0002428	LOC117581419|XP_034124467.1|DGUA, LOC117581413|XP_034124459.1|DGUA, LOC117581532|XP_034124733.1|DGUA	LOC120431600|XP_039452639.1|CPIP
OG0002429	LOC117587074|XP_034133417.1|DGUA	LOC120427310|XP_039448096.1|CPIP
OG0002430	LOC117585029|XP_034130168.1|DGUA	LOC120423155|XP_039442768.1|CPIP
OG0002431	LOC117578681|XP_034120199.1|DGUA	LOC120419418|XP_039438029.1|CPIP
OG0002432	LOC117580739|XP_034123307.1|DGUA	LOC120419450|XP_039438064.1|CPIP
OG0002433	LOC117589963|XP_034138156.1|DGUA	LOC120430598|XP_039451637.1|CPIP, LOC120424117|XP_039444090.1|CPIP
OG0002434	LOC117585802|XP_034131401.1|DGUA	LOC120421346|XP_039440459.1|CPIP
OG0002435	LOC117590863|XP_034139769.1|DGUA	LOC120427004|XP_039447756.1|CPIP
OG0002436	LOC117578632|XP_034120129.1|DGUA	LOC120419932|XP_039438731.1|CPIP
OG0002437	LOC117581330|XP_034124338.1|DGUA	LOC120420861|XP_039439913.1|CPIP
OG0002438	LOC117591485|XP_034140664.1|DGUA	LOC120429857|XP_039450858.1|CPIP, LOC120432033|XP_039453101.1|CPIP
OG0002439	LOC117588124|XP_034135092.1|DGUA	LOC120428165|XP_039449079.1|CPIP
OG0002440	LOC117580572|XP_034123066.1|DGUA	LOC120422160|XP_039441467.1|CPIP
OG0002441	LOC117581293|XP_034124225.1|DGUA	LOC120427538|XP_039448341.1|CPIP
OG0002442	LOC117578842|XP_034120516.1|DGUA	LOC120418442|XP_039436785.1|CPIP, LOC120416743|XP_039434512.1|CPIP
OG0002443	LOC117578617|XP_034120107.1|DGUA	LOC120424759|XP_039444887.1|CPIP, LOC120414225|XP_039431270.1|CPIP
OG0002444	LOC117591815|XP_034141045.1|DGUA	LOC120414219|XP_039431260.1|CPIP, LOC120424751|XP_039444878.1|CPIP
OG0002446	LOC117584597|XP_034129529.1|DGUA	LOC120417578|XP_039435622.1|CPIP
OG0002447	LOC117580222|XP_034122520.1|DGUA	LOC120415256|XP_039432656.1|CPIP
OG0002448	LOC117592406|XP_034142034.1|DGUA	LOC120429321|XP_039450475.1|CPIP
OG0002449	LOC117580050|XP_034122218.1|DGUA	LOC120415320|XP_039432737.1|CPIP
OG0002450	LOC117586566|XP_034132617.1|DGUA	LOC120424564|XP_039444670.1|CPIP
OG0002451	LOC117592243|XP_034141769.1|DGUA	LOC120424319|XP_039444350.1|CPIP
OG0002452	LOC117591846|XP_034141102.1|DGUA	LOC120418456|XP_039436815.1|CPIP
OG0002453	LOC117585470|XP_034130855.1|DGUA	LOC120418430|XP_039436743.1|CPIP
OG0002454	LOC117589297|XP_034136980.1|DGUA	LOC120420393|XP_039439339.1|CPIP
OG0002455	LOC117589293|XP_034136976.1|DGUA	LOC120420386|XP_039439333.1|CPIP
OG0002456	LOC117591857|XP_034141118.1|DGUA	LOC120416221|XP_039433854.1|CPIP
OG0002457	LOC117590902|XP_034139827.1|DGUA	LOC120414896|XP_039432156.1|CPIP
OG0002458	LOC117587816|XP_034134664.1|DGUA	LOC120427334|XP_039448119.1|CPIP
OG0002459	LOC117592514|XP_034142252.1|DGUA	LOC120427047|XP_039447812.1|CPIP
OG0002460	LOC117587476|XP_034134098.1|DGUA	LOC120425007|XP_039445316.1|CPIP
OG0002461	LOC117586182|XP_034131990.1|DGUA	LOC120425044|XP_039445353.1|CPIP
OG0002462	LOC117592447|XP_034142183.1|DGUA	LOC120428513|XP_039449460.1|CPIP
OG0002463	LOC117584530|XP_034129374.1|DGUA	LOC120421450|XP_039440593.1|CPIP
OG0002464	LOC117578865|XP_034120547.1|DGUA	LOC120421465|XP_039440614.1|CPIP
OG0002465	LOC117589034|XP_034136556.1|DGUA	LOC120421458|XP_039440603.1|CPIP
OG0002466	LOC117590623|XP_034139321.1|DGUA	LOC120426849|XP_039447573.1|CPIP, LOC120427342|XP_039448132.1|CPIP
OG0002467	LOC117579963|XP_034122029.1|DGUA	LOC120428607|XP_039449563.1|CPIP
OG0002468	LOC117579714|XP_034121599.1|DGUA	LOC120414044|XP_039430998.1|CPIP
OG0002469	LOC117589997|XP_034138169.1|DGUA	LOC120415164|XP_039432535.1|CPIP
OG0002470	LOC117586993|XP_034133287.1|DGUA	LOC120415205|XP_039432594.1|CPIP
OG0002471	LOC117589911|XP_034138079.1|DGUA	LOC120419167|XP_039437753.1|CPIP
OG0002472	LOC117581357|XP_034124420.1|DGUA	LOC120419151|XP_039437724.1|CPIP
OG0002473	LOC117589288|XP_034137009.1|DGUA	LOC120425528|XP_039446016.1|CPIP, LOC120419160|XP_039437743.1|CPIP
OG0002474	LOC117591248|XP_034140318.1|DGUA	LOC120415830|XP_039433394.1|CPIP
OG0002475	LOC117591468|XP_034140643.1|DGUA	LOC120412342|XP_039428676.1|CPIP
OG0002476	LOC117578616|XP_034120106.1|DGUA	LOC120416844|XP_039434666.1|CPIP
OG0002477	LOC117591856|XP_034141115.1|DGUA	LOC120418586|XP_039436967.1|CPIP
OG0002478	LOC117582901|XP_034126888.1|DGUA	LOC120427138|XP_039447928.1|CPIP
OG0002479	LOC117591798|XP_034140998.1|DGUA	LOC120421876|XP_039441107.1|CPIP
OG0002480	LOC117591298|XP_034140389.1|DGUA	LOC120415167|XP_039432539.1|CPIP
OG0002481	LOC117580735|XP_034123297.1|DGUA, LOC117586552|XP_034132606.1|DGUA	LOC120430865|XP_039451923.1|CPIP, LOC120429783|XP_039450775.1|CPIP
OG0002482	LOC117581353|XP_034124380.1|DGUA	LOC120416382|XP_039434051.1|CPIP
OG0002483	LOC117578420|XP_034119772.1|DGUA	LOC120415878|XP_039433450.1|CPIP
OG0002484	LOC117589365|XP_034137166.1|DGUA	LOC120415857|XP_039433428.1|CPIP
OG0002485	LOC117592363|XP_034141950.1|DGUA	LOC120427508|XP_039448303.1|CPIP
OG0002486	LOC117589266|XP_034136937.1|DGUA	LOC120425824|XP_039446376.1|CPIP
OG0002487	LOC117587572|XP_034134289.1|DGUA	LOC120416712|XP_039434467.1|CPIP, LOC120425825|XP_039446377.1|CPIP
OG0002488	LOC117585588|XP_034131020.1|DGUA	LOC120422213|XP_039441532.1|CPIP
OG0002489	LOC117579635|XP_034121500.1|DGUA	LOC120423892|XP_039443802.1|CPIP
OG0002490	LOC117579760|XP_034121706.1|DGUA	LOC120423910|XP_039443824.1|CPIP
OG0002491	LOC117579148|XP_034120794.1|DGUA	LOC120429115|XP_039450224.1|CPIP
OG0002492	LOC117586913|XP_034133156.1|DGUA	LOC120428267|XP_039449193.1|CPIP
OG0002493	LOC117582668|XP_034126493.1|DGUA	LOC120428251|XP_039449175.1|CPIP
OG0002494	LOC117586742|XP_034132935.1|DGUA	LOC120425864|XP_039446419.1|CPIP
