Orthogroup	DGUA.longest_only	ASTE.longest_only
OG0000414	LOC117588524|XP_034135774.1|DGUA	LOC118503670|XP_035893102.1|ASTE
OG0000415	LOC117578642|XP_034120140.1|DGUA, LOC117578641|XP_034120139.1|DGUA	LOC118508405|XP_035904060.1|ASTE
OG0000416	LOC117590565|XP_034139197.1|DGUA	LOC118507749|XP_035902652.1|ASTE
OG0000416	LOC117588631|XP_034135951.1|DGUA	LOC118504808|XP_035895706.1|ASTE
OG0000417	LOC117583643|XP_034127984.1|DGUA	LOC118508484|XP_035904194.1|ASTE
OG0000417	LOC117583326|XP_034127477.1|DGUA	LOC118503054|XP_035891810.1|ASTE
OG0000418	LOC117588309|XP_034135388.1|DGUA, LOC117581104|XP_034123886.1|DGUA	LOC118511011|XP_035909425.1|ASTE
OG0000419	LOC117588049|XP_034134996.1|DGUA	LOC118509659|XP_035906513.1|ASTE
OG0000421	LOC117591541|XP_034140726.1|DGUA	LOC118509291|XP_035905600.1|ASTE
OG0000421	LOC117582420|XP_034126017.1|DGUA	LOC118514675|XP_035917611.1|ASTE
OG0000422	LOC117590138|XP_034138401.1|DGUA	LOC118514284|XP_035916919.1|ASTE, LOC118514285|XP_035916920.1|ASTE, LOC118506620|XP_035899881.1|ASTE
OG0000423	LOC117581794|XP_034125122.1|DGUA, LOC117585308|XP_034130631.1|DGUA	LOC118504619|XP_035895193.1|ASTE
OG0000424	LOC117586813|XP_034132982.1|DGUA	LOC118517218|XP_035919093.1|ASTE, LOC118505272|XP_035896721.1|ASTE
OG0000425	LOC117592223|XP_034141748.1|DGUA	LOC118517690|XP_035920002.1|ASTE
OG0000425	LOC117578576|XP_034120050.1|DGUA	LOC118517694|XP_035920010.1|ASTE
OG0000426	LOC117592470|XP_034142197.1|DGUA	LOC118507414|XP_035901770.1|ASTE
OG0000433	LOC117580680|XP_034123190.1|DGUA	LOC118505165|XP_035896463.1|ASTE
OG0000433	LOC117580302|XP_034122681.1|DGUA	LOC118512855|XP_035913824.1|ASTE
OG0000434	LOC117583335|XP_034127487.1|DGUA	LOC118517616|XP_035919805.1|ASTE
OG0000434	LOC117578429|XP_034119782.1|DGUA	LOC118517618|XP_035919808.1|ASTE
OG0000435	LOC117580904|XP_034123556.1|DGUA	LOC118507860|XP_035902949.1|ASTE
OG0000437	LOC117584397|XP_034129145.1|DGUA	LOC118508849|XP_035904493.1|ASTE, LOC118511583|XP_035910726.1|ASTE
OG0000437	LOC117584788|XP_034129791.1|DGUA	LOC118510312|XP_035907842.1|ASTE
OG0000438	LOC117582859|XP_034126820.1|DGUA	LOC118513845|XP_035916016.1|ASTE
OG0000439	LOC117584363|XP_034129092.1|DGUA	LOC118512646|XP_035913255.1|ASTE
OG0000439	LOC117579927|XP_034121963.1|DGUA	LOC118507322|XP_035901602.1|ASTE
OG0000440	LOC117592319|XP_034141888.1|DGUA, LOC117583369|XP_034127577.1|DGUA	LOC118512560|XP_035913042.1|ASTE
OG0000441	LOC117583830|XP_034128315.1|DGUA, LOC117582339|XP_034125885.1|DGUA	LOC118514050|XP_035919001.1|ASTE, LOC118513749|XP_035915802.1|ASTE
OG0000443	LOC117588908|XP_034136355.1|DGUA, LOC117588907|XP_034136354.1|DGUA	LOC118507285|XP_035901528.1|ASTE
OG0000444	LOC117584452|XP_034129260.1|DGUA, LOC117584451|XP_034129259.1|DGUA	LOC118507267|XP_035901459.1|ASTE, LOC118507257|XP_035901439.1|ASTE, LOC118504142|XP_035894133.1|ASTE
OG0000448	LOC117583337|XP_034127489.1|DGUA, LOC117583429|XP_034127618.1|DGUA	LOC118513273|XP_035914735.1|ASTE
OG0000449	LOC117587003|XP_034133298.1|DGUA	LOC118517706|XP_035920035.1|ASTE
OG0000449	LOC117588063|XP_034135013.1|DGUA	LOC118507943|XP_035903161.1|ASTE
OG0000450	LOC117591621|XP_034140825.1|DGUA, LOC117590849|XP_034139737.1|DGUA	LOC118517463|XP_035919517.1|ASTE
OG0000450	LOC117588313|XP_034135395.1|DGUA	LOC118517465|XP_035919527.1|ASTE
OG0000451	LOC117588348|XP_034135448.1|DGUA	LOC118511200|XP_035909872.1|ASTE, LOC118517335|XP_035919212.1|ASTE
OG0000451	LOC117588347|XP_034135447.1|DGUA	LOC118517725|XP_035920069.1|ASTE
OG0000453	LOC117589897|XP_034138059.1|DGUA	LOC118505626|XP_035897592.1|ASTE, LOC118505625|XP_035897590.1|ASTE
OG0000454	LOC117583444|XP_034127636.1|DGUA, LOC117587102|XP_034133484.1|DGUA	LOC118514430|XP_035917226.1|ASTE
OG0000456	LOC117590610|XP_034139289.1|DGUA	LOC118513206|XP_035914598.1|ASTE
OG0000456	LOC117584021|XP_034128645.1|DGUA	LOC118514158|XP_035916683.1|ASTE
OG0000457	LOC117587918|XP_034134794.1|DGUA	LOC118513461|XP_035915122.1|ASTE
OG0000457	LOC117587660|XP_034134441.1|DGUA	LOC118512640|XP_035913235.1|ASTE
OG0000458	LOC117583989|XP_034128586.1|DGUA	LOC118512626|XP_035913215.1|ASTE, LOC118512628|XP_035913217.1|ASTE, LOC118512625|XP_035913213.1|ASTE, LOC118512627|XP_035913216.1|ASTE, LOC118512621|XP_035913194.1|ASTE, LOC118513387|XP_035914949.1|ASTE
OG0000460	LOC117582150|XP_034125625.1|DGUA	LOC118510053|XP_035907335.1|ASTE
OG0000465	LOC117583450|XP_034127641.1|DGUA, LOC117582876|XP_034126837.1|DGUA	LOC118507839|XP_035902847.1|ASTE
OG0000466	LOC117588394|XP_034135539.1|DGUA	LOC118502878|XP_035891488.1|ASTE
OG0000466	LOC117582021|XP_034125437.1|DGUA	LOC118508980|XP_035904859.1|ASTE
OG0000467	LOC117578662|XP_034120177.1|DGUA, LOC117578438|XP_034119844.1|DGUA	LOC118508869|XP_035904551.1|ASTE
OG0000468	LOC117583667|XP_034128025.1|DGUA	LOC118504246|XP_035894362.1|ASTE
OG0000469	LOC117582010|XP_034125413.1|DGUA, LOC117581678|XP_034124942.1|DGUA	LOC118510739|XP_035908849.1|ASTE
OG0000470	LOC117579246|XP_034120924.1|DGUA	LOC118508249|XP_035903756.1|ASTE
OG0000470	LOC117579577|XP_034121395.1|DGUA	LOC118507386|XP_035901732.1|ASTE
OG0000471	LOC117587105|XP_034133490.1|DGUA, LOC117584425|XP_034129211.1|DGUA	LOC118512976|XP_035914102.1|ASTE
OG0000474	LOC117580835|XP_034123464.1|DGUA, LOC117580545|XP_034123033.1|DGUA, LOC117591050|XP_034140039.1|DGUA, LOC117585028|XP_034130163.1|DGUA, LOC117591726|XP_034140933.1|DGUA	LOC118513494|XP_035915262.1|ASTE
OG0000475	LOC117589841|XP_034137984.1|DGUA, LOC117589842|XP_034137988.1|DGUA	LOC118507516|XP_035901965.1|ASTE
OG0000476	LOC117583420|XP_034127603.1|DGUA, LOC117583418|XP_034127600.1|DGUA	LOC118507686|XP_035902381.1|ASTE
OG0000477	LOC117585447|XP_034130815.1|DGUA, LOC117585472|XP_034130853.1|DGUA	LOC118502859|XP_035891460.1|ASTE, LOC118502860|XP_035891461.1|ASTE
OG0000479	LOC117582805|XP_034126727.1|DGUA	LOC118510580|XP_035908465.1|ASTE, LOC118511908|XP_035911436.1|ASTE
OG0000480	LOC117584642|XP_034129555.1|DGUA, LOC117583874|XP_034128414.1|DGUA	LOC118509317|XP_035905663.1|ASTE
OG0000482	LOC117586692|XP_034132848.1|DGUA	LOC118506564|XP_035899779.1|ASTE
OG0000483	LOC117585056|XP_034130206.1|DGUA	LOC118504510|XP_035894934.1|ASTE, LOC118504512|XP_035894937.1|ASTE
OG0000484	LOC117586523|XP_034132548.1|DGUA, LOC117586525|XP_034132550.1|DGUA	LOC118508428|XP_035904098.1|ASTE
OG0000485	LOC117579236|XP_034120907.1|DGUA, LOC117590907|XP_034139828.1|DGUA, LOC117579185|XP_034120845.1|DGUA	LOC118504882|XP_035895831.1|ASTE
OG0000486	LOC117584159|XP_034128816.1|DGUA, LOC117584135|XP_034128783.1|DGUA	LOC118517681|XP_035919984.1|ASTE
OG0000489	LOC117583800|XP_034128273.1|DGUA, LOC117588694|XP_034136033.1|DGUA	LOC118516505|XP_035918331.1|ASTE
OG0000490	LOC117588582|XP_034135879.1|DGUA	LOC118512589|XP_035913124.1|ASTE
OG0000490	LOC117581241|XP_034124118.1|DGUA	LOC118508284|XP_035903822.1|ASTE
OG0000491	LOC117589625|XP_034137603.1|DGUA, LOC117584745|XP_034129724.1|DGUA	LOC118517081|XP_035918829.1|ASTE, LOC118504998|XP_035896068.1|ASTE
OG0000492	LOC117591151|XP_034140157.1|DGUA	LOC118503196|XP_035892071.1|ASTE
OG0000492	LOC117584157|XP_034128810.1|DGUA	LOC118511685|XP_035910960.1|ASTE
OG0000494	LOC117591542|XP_034140730.1|DGUA	LOC118506499|XP_035899590.1|ASTE
OG0000495	LOC117590990|XP_034139956.1|DGUA, LOC117589834|XP_034137972.1|DGUA	LOC118510027|XP_035907307.1|ASTE, LOC118511763|XP_035911128.1|ASTE
OG0000496	LOC117588011|XP_034134928.1|DGUA	LOC118510796|XP_035908995.1|ASTE
OG0000497	LOC117584460|XP_034129267.1|DGUA	LOC118510659|XP_035908677.1|ASTE
OG0000498	LOC117585069|XP_034130223.1|DGUA, LOC117585053|XP_034130203.1|DGUA	LOC118504511|XP_035894936.1|ASTE
OG0000499	LOC117588142|XP_034135132.1|DGUA	LOC118510945|XP_035909276.1|ASTE
OG0000500	LOC117579239|XP_034120912.1|DGUA, LOC117579751|XP_034121663.1|DGUA	LOC118503087|XP_035891864.1|ASTE, LOC118506001|XP_035898475.1|ASTE
OG0000504	LOC117588862|XP_034136256.1|DGUA	LOC118509587|XP_035906250.1|ASTE, LOC118509584|XP_035906247.1|ASTE, LOC118509583|XP_035906246.1|ASTE, LOC118509586|XP_035906249.1|ASTE, LOC118509585|XP_035906248.1|ASTE
OG0000505	LOC117590284|XP_034138662.1|DGUA, LOC117590289|XP_034138665.1|DGUA	LOC118506652|XP_035899953.1|ASTE, LOC118506634|XP_035899902.1|ASTE
OG0000506	LOC117584952|XP_034130039.1|DGUA	LOC118507793|XP_035902736.1|ASTE, LOC118502973|XP_035891637.1|ASTE, LOC118502974|XP_035891639.1|ASTE
OG0000507	LOC117590947|XP_034139886.1|DGUA	LOC118514453|XP_035917263.1|ASTE
OG0000507	LOC117590948|XP_034139887.1|DGUA	LOC118502886|XP_035891498.1|ASTE
OG0000508	LOC117587140|XP_034133538.1|DGUA, LOC117586889|XP_034133113.1|DGUA	LOC118510073|XP_035907361.1|ASTE
OG0000509	LOC117592291|XP_034141849.1|DGUA	LOC118514336|XP_035917038.1|ASTE
OG0000509	LOC117592289|XP_034141847.1|DGUA	LOC118515884|XP_035917966.1|ASTE, LOC118514333|XP_035917033.1|ASTE
OG0000510	LOC117592543|XP_034142305.1|DGUA, LOC117592544|XP_034142306.1|DGUA	LOC118511976|XP_035911605.1|ASTE
OG0000511	LOC117584423|XP_034129210.1|DGUA, LOC117584517|XP_034129352.1|DGUA	LOC118511104|XP_035909718.1|ASTE
OG0000512	LOC117581831|XP_034125170.1|DGUA, LOC117580410|XP_034122848.1|DGUA	LOC118513429|XP_035915048.1|ASTE, LOC118513428|XP_035915046.1|ASTE, LOC118513431|XP_035915052.1|ASTE
OG0000513	LOC117588275|XP_034135344.1|DGUA, LOC117591762|XP_034140964.1|DGUA, LOC117586393|XP_034132319.1|DGUA, LOC117587784|XP_034134619.1|DGUA	LOC118513330|XP_035914837.1|ASTE
OG0000514	LOC117582192|XP_034125686.1|DGUA, LOC117582374|XP_034125930.1|DGUA	LOC118510714|XP_035908806.1|ASTE
OG0000515	LOC117590615|XP_034139298.1|DGUA, LOC117587137|XP_034133535.1|DGUA	LOC118503970|XP_035893785.1|ASTE, LOC118503968|XP_035893780.1|ASTE
OG0000516	LOC117581038|XP_034123759.1|DGUA, LOC117581035|XP_034123755.1|DGUA	LOC118502624|XP_035890896.1|ASTE, LOC118502623|XP_035890894.1|ASTE
OG0000517	LOC117580264|XP_034122592.1|DGUA, LOC117580262|XP_034122590.1|DGUA	LOC118508089|XP_035903461.1|ASTE
OG0000522	LOC117584103|XP_034128743.1|DGUA, LOC117586110|XP_034131862.1|DGUA, LOC117588531|XP_034135781.1|DGUA	LOC118504331|XP_035894563.1|ASTE
OG0000523	LOC117585167|XP_034130399.1|DGUA	LOC118506898|XP_035900571.1|ASTE
OG0000523	LOC117581281|XP_034124193.1|DGUA	LOC118506073|XP_035898633.1|ASTE
OG0000524	LOC117585858|XP_034131500.1|DGUA, LOC117589529|XP_034137413.1|DGUA	LOC118510198|XP_035907622.1|ASTE
OG0000525	LOC117588692|XP_034136035.1|DGUA, LOC117588681|XP_034136024.1|DGUA	LOC118508949|XP_035904756.1|ASTE
OG0000526	LOC117587947|XP_034134838.1|DGUA, LOC117582321|XP_034125862.1|DGUA	LOC118511037|XP_035909521.1|ASTE
OG0000527	LOC117582543|XP_034126242.1|DGUA, LOC117582261|XP_034125773.1|DGUA	LOC118511075|XP_035909634.1|ASTE, LOC118511077|XP_035909640.1|ASTE
OG0000528	LOC117582217|XP_034125715.1|DGUA	LOC118513942|XP_035916218.1|ASTE, LOC118513508|XP_035915251.1|ASTE
OG0000529	LOC117584201|XP_034128861.1|DGUA	LOC118513864|XP_035916059.1|ASTE
OG0000530	LOC117587107|XP_034133492.1|DGUA, LOC117586930|XP_034133183.1|DGUA	LOC118509091|XP_035905129.1|ASTE
OG0000531	LOC117587886|XP_034134754.1|DGUA, LOC117581913|XP_034125274.1|DGUA	LOC118514636|XP_035917540.1|ASTE
OG0000532	LOC117586174|XP_034131976.1|DGUA, LOC117586168|XP_034131968.1|DGUA	LOC118503682|XP_035893117.1|ASTE, LOC118517098|XP_035918848.1|ASTE
OG0000533	LOC117591023|XP_034140002.1|DGUA	LOC118517490|XP_035919581.1|ASTE
OG0000533	LOC117584918|XP_034129955.1|DGUA	LOC118507960|XP_035903180.1|ASTE
OG0000535	LOC117592473|XP_034142205.1|DGUA, LOC117588538|XP_034135799.1|DGUA	LOC118504114|XP_035894098.1|ASTE
OG0000536	LOC117579628|XP_034121474.1|DGUA	LOC118503546|XP_035892838.1|ASTE, LOC118504104|XP_035894084.1|ASTE, LOC118504090|XP_035894057.1|ASTE
OG0000537	LOC117581231|XP_034124111.1|DGUA	LOC118505997|XP_035898468.1|ASTE
OG0000538	LOC117578875|XP_034120561.1|DGUA, LOC117592248|XP_034141774.1|DGUA	LOC118506098|XP_035898675.1|ASTE
OG0000539	LOC117591092|XP_034140084.1|DGUA, LOC117591108|XP_034140101.1|DGUA	LOC118508392|XP_035904035.1|ASTE
OG0000542	LOC117586318|XP_034132198.1|DGUA, LOC117590622|XP_034139320.1|DGUA	LOC118515253|XP_035917832.1|ASTE, LOC118512691|XP_035913377.1|ASTE, LOC118507284|XP_035901526.1|ASTE
OG0000543	LOC117582918|XP_034126907.1|DGUA, LOC117585389|XP_034130745.1|DGUA	LOC118503113|XP_035891949.1|ASTE, LOC118503120|XP_035891962.1|ASTE
OG0000544	LOC117589142|XP_034136720.1|DGUA, LOC117586516|XP_034132540.1|DGUA	LOC118511902|XP_035911464.1|ASTE
OG0000545	LOC117583333|XP_034127484.1|DGUA, LOC117583306|XP_034127441.1|DGUA	LOC118507911|XP_035903096.1|ASTE
OG0000546	LOC117590120|XP_034138375.1|DGUA, LOC117588273|XP_034135326.1|DGUA	LOC118508578|XP_035904374.1|ASTE
OG0000547	LOC117591012|XP_034139990.1|DGUA	LOC118517015|XP_035918760.1|ASTE, LOC118508923|XP_035904699.1|ASTE
OG0000548	LOC117586846|XP_034133032.1|DGUA, LOC117586854|XP_034133040.1|DGUA	LOC118514395|XP_035917169.1|ASTE
OG0000549	LOC117592114|XP_034141537.1|DGUA	LOC118512873|XP_035913859.1|ASTE, LOC118510278|XP_035907786.1|ASTE, LOC118514282|XP_035916917.1|ASTE
OG0000550	LOC117589006|XP_034136514.1|DGUA, LOC117588562|XP_034135840.1|DGUA	LOC118513463|XP_035915131.1|ASTE
OG0000551	LOC117592665|XP_034142499.1|DGUA	LOC118505035|XP_035896160.1|ASTE
OG0000552	LOC117591454|XP_034140614.1|DGUA	LOC118506896|XP_035900569.1|ASTE
OG0000553	LOC117587553|XP_034134250.1|DGUA	LOC118510605|XP_035908506.1|ASTE
OG0000554	LOC117582816|XP_034126746.1|DGUA, LOC117582812|XP_034126738.1|DGUA	LOC118504452|XP_035894837.1|ASTE, LOC118502445|XP_035890567.1|ASTE
OG0000555	LOC117587275|XP_034133749.1|DGUA, LOC117580172|XP_034122390.1|DGUA	LOC118506682|XP_035900029.1|ASTE
OG0000556	LOC117590430|XP_034138939.1|DGUA, LOC117585901|XP_034131547.1|DGUA	LOC118505119|XP_035896326.1|ASTE
OG0000557	LOC117586284|XP_034132129.1|DGUA, LOC117586286|XP_034132131.1|DGUA	LOC118507592|XP_035902152.1|ASTE
OG0000558	LOC117586154|XP_034131944.1|DGUA, LOC117580884|XP_034123527.1|DGUA	LOC118507689|XP_035902384.1|ASTE
OG0000559	LOC117589837|XP_034137978.1|DGUA, LOC117579238|XP_034120911.1|DGUA	LOC118505970|XP_035898407.1|ASTE
OG0000560	LOC117585147|XP_034130371.1|DGUA, LOC117585128|XP_034130348.1|DGUA	LOC118507215|XP_035901208.1|ASTE
OG0000561	LOC117589361|XP_034137148.1|DGUA, LOC117589364|XP_034137157.1|DGUA	LOC118507251|XP_035901427.1|ASTE
OG0000562	LOC117580154|XP_034122359.1|DGUA, LOC117579209|XP_034120869.1|DGUA	LOC118507448|XP_035901825.1|ASTE
OG0000566	LOC117584925|XP_034129967.1|DGUA, LOC117587076|XP_034133429.1|DGUA	LOC118507292|XP_035901548.1|ASTE
OG0000567	LOC117581492|XP_034124630.1|DGUA	LOC118503035|XP_035891764.1|ASTE
OG0000567	LOC117581493|XP_034124631.1|DGUA	LOC118503006|XP_035891713.1|ASTE
OG0000568	LOC117588354|XP_034135457.1|DGUA, LOC117590112|XP_034138353.1|DGUA	LOC118504788|XP_035895651.1|ASTE
OG0000569	LOC117589738|XP_034137805.1|DGUA, LOC117590059|XP_034138271.1|DGUA	LOC118506489|XP_035899567.1|ASTE
OG0000570	LOC117585278|XP_034130592.1|DGUA, LOC117585271|XP_034130583.1|DGUA	LOC118504677|XP_035895376.1|ASTE, LOC118517181|XP_035918986.1|ASTE
OG0000571	LOC117583103|XP_034127172.1|DGUA, LOC117582993|XP_034127032.1|DGUA	LOC118511968|XP_035911592.1|ASTE
OG0000572	LOC117589584|XP_034137538.1|DGUA, LOC117589787|XP_034137877.1|DGUA	LOC118508887|XP_035904609.1|ASTE
OG0000573	LOC117587512|XP_034134197.1|DGUA, LOC117592092|XP_034141502.1|DGUA	LOC118513083|XP_035914344.1|ASTE, LOC118513081|XP_035914337.1|ASTE
OG0000574	LOC117589057|XP_034136577.1|DGUA, LOC117586278|XP_034132121.1|DGUA	LOC118510308|XP_035907837.1|ASTE
OG0000575	LOC117586972|XP_034133239.1|DGUA, LOC117586973|XP_034133242.1|DGUA	LOC118509655|XP_035906502.1|ASTE
OG0000576	LOC117586383|XP_034132304.1|DGUA	LOC118513944|XP_035916225.1|ASTE
OG0000577	LOC117582212|XP_034125711.1|DGUA	LOC118514080|XP_035916502.1|ASTE
OG0000578	LOC117584092|XP_034128731.1|DGUA, LOC117592651|XP_034142486.1|DGUA	LOC118504462|XP_035894854.1|ASTE
OG0000579	LOC117589609|XP_034137575.1|DGUA, LOC117579079|XP_034120678.1|DGUA	LOC118505261|XP_035896716.1|ASTE
OG0000580	LOC117585508|XP_034130898.1|DGUA, LOC117585507|XP_034130897.1|DGUA	LOC118502357|XP_035890448.1|ASTE
OG0000581	LOC117585100|XP_034130268.1|DGUA	LOC118502634|XP_035890961.1|ASTE
OG0000582	LOC117587453|XP_034134065.1|DGUA, LOC117591657|XP_034140875.1|DGUA	LOC118507364|XP_035901672.1|ASTE
OG0000583	LOC117578733|XP_034120287.1|DGUA, LOC117579684|XP_034121566.1|DGUA	LOC118513513|XP_035915263.1|ASTE, LOC118503240|XP_035892142.1|ASTE
OG0000589	LOC117588744|XP_034136112.1|DGUA	LOC118516222|XP_035918005.1|ASTE
OG0000590	LOC117582989|XP_034127028.1|DGUA	LOC118507493|XP_035901910.1|ASTE
OG0000590	LOC117580648|XP_034123138.1|DGUA	LOC118517509|XP_035919627.1|ASTE
OG0000592	LOC117585643|XP_034131123.1|DGUA, LOC117581799|XP_034125134.1|DGUA	LOC118502774|XP_035891260.1|ASTE
OG0000593	LOC117585054|XP_034130204.1|DGUA, LOC117588805|XP_034136211.1|DGUA	LOC118505795|XP_035898021.1|ASTE, LOC118511944|XP_035911545.1|ASTE
OG0000594	LOC117582712|XP_034126526.1|DGUA, LOC117586283|XP_034132128.1|DGUA	LOC118506452|XP_035899484.1|ASTE
OG0000595	LOC117589615|XP_034137583.1|DGUA, LOC117583377|XP_034127551.1|DGUA	LOC118502880|XP_035891492.1|ASTE
OG0000596	LOC117590742|XP_034139543.1|DGUA, LOC117586675|XP_034132815.1|DGUA	LOC118504366|XP_035894656.1|ASTE
OG0000597	LOC117583126|XP_034127208.1|DGUA, LOC117582731|XP_034126549.1|DGUA	LOC118502491|XP_035890616.1|ASTE
OG0000598	LOC117589712|XP_034137767.1|DGUA	LOC118505440|XP_035897130.1|ASTE, LOC118505439|XP_035897129.1|ASTE, LOC118505441|XP_035897131.1|ASTE
OG0000599	LOC117587247|XP_034133709.1|DGUA, LOC117587144|XP_034133541.1|DGUA	LOC118506973|XP_035900724.1|ASTE
OG0000600	LOC117578500|XP_034119939.1|DGUA, LOC117586868|XP_034133060.1|DGUA	LOC118514324|XP_035917002.1|ASTE, LOC118509562|XP_035906211.1|ASTE
OG0000601	LOC117584252|XP_034128946.1|DGUA, LOC117587595|XP_034134337.1|DGUA	LOC118510451|XP_035908160.1|ASTE
OG0000602	LOC117587992|XP_034134897.1|DGUA, LOC117587993|XP_034134898.1|DGUA	LOC118513667|XP_035915661.1|ASTE
OG0000603	LOC117581775|XP_034125089.1|DGUA	LOC118514035|XP_035916404.1|ASTE, LOC118514034|XP_035916403.1|ASTE
OG0000604	LOC117584229|XP_034128902.1|DGUA, LOC117584228|XP_034128901.1|DGUA	LOC118512476|XP_035912857.1|ASTE
OG0000605	LOC117583867|XP_034128404.1|DGUA	LOC118514042|XP_035916420.1|ASTE, LOC118514044|XP_035916423.1|ASTE, LOC118502943|XP_035891587.1|ASTE, LOC118514046|XP_035916430.1|ASTE
OG0000606	LOC117584923|XP_034129964.1|DGUA	LOC118505294|XP_035896782.1|ASTE, LOC118517185|XP_035918998.1|ASTE
OG0000607	LOC117585348|XP_034130682.1|DGUA, LOC117586092|XP_034131839.1|DGUA	LOC118502727|XP_035891180.1|ASTE
OG0000608	LOC117585552|XP_034130967.1|DGUA, LOC117584929|XP_034129976.1|DGUA	LOC118508267|XP_035903792.1|ASTE
OG0000609	LOC117581840|XP_034125185.1|DGUA, LOC117590797|XP_034139643.1|DGUA	LOC118506550|XP_035899741.1|ASTE
OG0000610	LOC117579557|XP_034121368.1|DGUA, LOC117583646|XP_034127993.1|DGUA	LOC118505284|XP_035896758.1|ASTE
OG0000611	LOC117585964|XP_034131668.1|DGUA, LOC117592288|XP_034141840.1|DGUA	LOC118503929|XP_035893657.1|ASTE
OG0000616	LOC117588730|XP_034136090.1|DGUA	LOC118516919|XP_035918657.1|ASTE, LOC118512418|XP_035912710.1|ASTE
OG0000617	LOC117582826|XP_034126768.1|DGUA, LOC117582775|XP_034126636.1|DGUA	LOC118505117|XP_035896324.1|ASTE
OG0000618	LOC117579105|XP_034120722.1|DGUA	LOC118507908|XP_035903091.1|ASTE
OG0000619	LOC117579367|XP_034121122.1|DGUA	LOC118507862|XP_035902958.1|ASTE, LOC118504753|XP_035895566.1|ASTE
OG0000620	LOC117581579|XP_034124820.1|DGUA, LOC117580022|XP_034122135.1|DGUA	LOC118511483|XP_035910514.1|ASTE
OG0000621	LOC117584987|XP_034130101.1|DGUA, LOC117580759|XP_034123345.1|DGUA, LOC117581388|XP_034124421.1|DGUA	LOC118508894|XP_035904623.1|ASTE
OG0000622	LOC117589044|XP_034136563.1|DGUA, LOC117587041|XP_034133363.1|DGUA	LOC118510537|XP_035908385.1|ASTE
OG0000623	LOC117586964|XP_034133228.1|DGUA, LOC117579413|XP_034121183.1|DGUA	LOC118509124|XP_035905205.1|ASTE
OG0000624	LOC117582085|XP_034125540.1|DGUA, LOC117582076|XP_034125527.1|DGUA	LOC118513045|XP_035914230.1|ASTE
OG0000625	LOC117580303|XP_034122684.1|DGUA, LOC117580313|XP_034122699.1|DGUA	LOC118512856|XP_035913828.1|ASTE
OG0000626	LOC117582928|XP_034126923.1|DGUA, LOC117591983|XP_034141316.1|DGUA	LOC118509722|XP_035906704.1|ASTE
OG0000627	LOC117589193|XP_034136811.1|DGUA, LOC117591399|XP_034140535.1|DGUA	LOC118511642|XP_035910859.1|ASTE
OG0000628	LOC117587890|XP_034134758.1|DGUA, LOC117584012|XP_034128635.1|DGUA	LOC118510998|XP_035909406.1|ASTE
OG0000629	LOC117585483|XP_034130868.1|DGUA, LOC117584833|XP_034129854.1|DGUA	LOC118514145|XP_035916649.1|ASTE
OG0000630	LOC117587638|XP_034134413.1|DGUA, LOC117587683|XP_034134467.1|DGUA	LOC118513837|XP_035915998.1|ASTE
OG0000631	LOC117581821|XP_034125155.1|DGUA, LOC117591147|XP_034140146.1|DGUA	LOC118512040|XP_035911733.1|ASTE
OG0000632	LOC117582272|XP_034125792.1|DGUA, LOC117582523|XP_034126212.1|DGUA	LOC118510869|XP_035909110.1|ASTE
OG0000635	LOC117579755|XP_034121676.1|DGUA, LOC117589248|XP_034136912.1|DGUA	LOC118502578|XP_035890805.1|ASTE
OG0000636	LOC117587665|XP_034134447.1|DGUA, LOC117587680|XP_034134462.1|DGUA	LOC118506854|XP_035900476.1|ASTE
OG0000637	LOC117581470|XP_034124597.1|DGUA, LOC117581269|XP_034124171.1|DGUA	LOC118503638|XP_035893029.1|ASTE
OG0000638	LOC117585494|XP_034130883.1|DGUA, LOC117581215|XP_034124084.1|DGUA	LOC118507208|XP_035901188.1|ASTE
OG0000639	LOC117579090|XP_034120691.1|DGUA	LOC118507233|XP_035901363.1|ASTE
OG0000646	LOC117585005|XP_034130135.1|DGUA, LOC117589673|XP_034137707.1|DGUA	LOC118509356|XP_035905771.1|ASTE
OG0000647	LOC117582836|XP_034126783.1|DGUA, LOC117588352|XP_034135455.1|DGUA	LOC118510462|XP_035908198.1|ASTE
OG0000648	LOC117581366|XP_034124390.1|DGUA	LOC118512623|XP_035913212.1|ASTE
OG0000649	LOC117588311|XP_034135392.1|DGUA, LOC117588433|XP_034135605.1|DGUA	LOC118512828|XP_035913732.1|ASTE
OG0000650	LOC117585598|XP_034131034.1|DGUA	LOC118517430|XP_035919441.1|ASTE
OG0000651	LOC117587038|XP_034133359.1|DGUA, LOC117587089|XP_034133450.1|DGUA	LOC118505562|XP_035897410.1|ASTE
OG0000652	LOC117591566|XP_034140771.1|DGUA, LOC117581065|XP_034123828.1|DGUA	LOC118504666|XP_035895343.1|ASTE
OG0000653	LOC117583021|XP_034127062.1|DGUA, LOC117583524|XP_034127762.1|DGUA	LOC118502716|XP_035891160.1|ASTE, LOC118504969|XP_035895993.1|ASTE
OG0000654	LOC117586979|XP_034133259.1|DGUA	LOC118509527|XP_035906131.1|ASTE
OG0000655	LOC117580176|XP_034122421.1|DGUA, LOC117582532|XP_034126228.1|DGUA	LOC118513237|XP_035914683.1|ASTE
OG0000656	LOC117586054|XP_034131788.1|DGUA, LOC117586055|XP_034131790.1|DGUA	LOC118510959|XP_035909315.1|ASTE
