Orthogroup	DGUA.longest_only	BCOP.longest_only
OG0001462	LOC117579705|XP_034121587.1|DGUA	LOC119080004|XP_037044071.1|BCOP
OG0001463	LOC117584902|XP_034129932.1|DGUA	LOC119081083|XP_037045720.1|BCOP, LOC119082702|XP_037048175.1|BCOP, LOC119074416|XP_037036440.1|BCOP
OG0001464	LOC117581618|XP_034124871.1|DGUA	LOC119073222|XP_037034428.1|BCOP, LOC119085508|XP_037051817.1|BCOP, LOC119085075|XP_037051210.1|BCOP, LOC119085507|XP_037051816.1|BCOP, LOC119085501|XP_037051812.1|BCOP, LOC119082133|XP_037047406.1|BCOP, LOC119085074|XP_037051207.1|BCOP, LOC119073018|XP_037034235.1|BCOP
OG0001465	LOC117592691|XP_034142546.1|DGUA	LOC119081152|XP_037045800.1|BCOP
OG0001466	LOC117583997|XP_034128616.1|DGUA	LOC119079375|XP_037043143.1|BCOP, LOC119079376|XP_037043148.1|BCOP
OG0001467	LOC117581946|XP_034125319.1|DGUA	LOC119085874|XP_037052278.1|BCOP
OG0001468	LOC117587068|XP_034133402.1|DGUA	LOC119080863|XP_037045335.1|BCOP
OG0001469	LOC117592548|XP_034142311.1|DGUA	LOC119081330|XP_037046012.1|BCOP
OG0001470	LOC117579850|XP_034121839.1|DGUA	LOC119074223|XP_037036130.1|BCOP, LOC119074224|XP_037036133.1|BCOP, LOC119074272|XP_037036189.1|BCOP
OG0001471	LOC117587190|XP_034133609.1|DGUA	LOC119075238|XP_037037529.1|BCOP
OG0001472	LOC117589087|XP_034136616.1|DGUA	LOC119073631|XP_037035117.1|BCOP
OG0001473	LOC117590176|XP_034138462.1|DGUA	LOC119068774|XP_037028428.1|BCOP
OG0001474	LOC117588661|XP_034135995.1|DGUA, LOC117591934|XP_034141234.1|DGUA	LOC119083216|XP_037048778.1|BCOP
OG0001475	LOC117586172|XP_034131977.1|DGUA, LOC117586186|XP_034132003.1|DGUA	LOC119085938|XP_037052386.1|BCOP
OG0001476	LOC117591332|XP_034140443.1|DGUA	LOC119073252|XP_037034502.1|BCOP
OG0001477	LOC117585839|XP_034131471.1|DGUA	LOC119080073|XP_037044187.1|BCOP
OG0001478	LOC117582637|XP_034126408.1|DGUA	LOC119084634|XP_037050598.1|BCOP, LOC119066327|XP_037024619.1|BCOP
OG0001479	LOC117590708|XP_034139497.1|DGUA	LOC119081696|XP_037046691.1|BCOP
OG0001480	LOC117581380|XP_034124409.1|DGUA, LOC117582634|XP_034126403.1|DGUA	LOC119079619|XP_037043510.1|BCOP
OG0001481	LOC117584077|XP_034128714.1|DGUA	LOC119085854|XP_037052259.1|BCOP
OG0001482	LOC117588384|XP_034135503.1|DGUA	LOC119078892|XP_037042517.1|BCOP
OG0001483	LOC117587575|XP_034134293.1|DGUA	LOC119069194|XP_037029036.1|BCOP
OG0001485	LOC117579615|XP_034121441.1|DGUA	LOC119066875|XP_037025444.1|BCOP
OG0001486	LOC117581711|XP_034124979.1|DGUA	LOC119075372|XP_037037693.1|BCOP
OG0001487	LOC117588171|XP_034135173.1|DGUA	LOC119071292|XP_037032057.1|BCOP
OG0001488	LOC117581975|XP_034125356.1|DGUA	LOC119080267|XP_037044416.1|BCOP, LOC119080265|XP_037044409.1|BCOP
OG0001489	LOC117587869|XP_034134727.1|DGUA	LOC119082548|XP_037047954.1|BCOP
OG0001490	LOC117584591|XP_034129459.1|DGUA	LOC119082084|XP_037047339.1|BCOP
OG0001491	LOC117582493|XP_034126156.1|DGUA	LOC119078712|XP_037042279.1|BCOP
OG0001493	LOC117583529|XP_034127769.1|DGUA, LOC117590919|XP_034139841.1|DGUA	LOC119075234|XP_037037521.1|BCOP
OG0001494	LOC117580881|XP_034123523.1|DGUA	LOC119077643|XP_037040759.1|BCOP
OG0001495	LOC117578870|XP_034120555.1|DGUA	LOC119074897|XP_037037139.1|BCOP
OG0001496	LOC117591191|XP_034140219.1|DGUA	LOC119074211|XP_037036147.1|BCOP
OG0001497	LOC117588980|XP_034136463.1|DGUA	LOC119078593|XP_037042074.1|BCOP, LOC119081292|XP_037045948.1|BCOP, LOC119072594|XP_037033744.1|BCOP
OG0001498	LOC117586107|XP_034131859.1|DGUA	LOC119074573|XP_037036695.1|BCOP
OG0001500	LOC117592220|XP_034141738.1|DGUA, LOC117591707|XP_034140917.1|DGUA, LOC117592211|XP_034141714.1|DGUA, LOC117592034|XP_034141386.1|DGUA	LOC119068893|XP_037028658.1|BCOP
OG0001501	LOC117586638|XP_034132759.1|DGUA	LOC119080610|XP_037044907.1|BCOP
OG0001502	LOC117592141|XP_034141587.1|DGUA	LOC119079851|XP_037043814.1|BCOP
OG0001503	LOC117585163|XP_034130397.1|DGUA	LOC119083702|XP_037049389.1|BCOP, LOC119077333|XP_037040410.1|BCOP
OG0001504	LOC117582231|XP_034125733.1|DGUA, LOC117581167|XP_034124001.1|DGUA	LOC119072387|XP_037033490.1|BCOP
OG0001506	LOC117592622|XP_034142449.1|DGUA	LOC119079020|XP_037042692.1|BCOP
OG0001507	LOC117580295|XP_034122670.1|DGUA	LOC119071742|XP_037032669.1|BCOP
OG0001508	LOC117583291|XP_034127424.1|DGUA	LOC119080040|XP_037044136.1|BCOP, LOC119066573|XP_037025018.1|BCOP
OG0001509	LOC117592436|XP_034142084.1|DGUA	LOC119083247|XP_037048804.1|BCOP
OG0001510	LOC117591111|XP_034140105.1|DGUA, LOC117587821|XP_034134670.1|DGUA	LOC119081977|XP_037047185.1|BCOP, LOC119072757|XP_037033941.1|BCOP
OG0001511	LOC117584677|XP_034129601.1|DGUA	LOC119066136|XP_037024322.1|BCOP
OG0001512	LOC117579925|XP_034121960.1|DGUA	LOC119071191|XP_037031860.1|BCOP, LOC119077034|XP_037040054.1|BCOP, LOC119071183|XP_037031848.1|BCOP, LOC119071407|XP_037032181.1|BCOP, LOC119071406|XP_037032179.1|BCOP, LOC119071408|XP_037032182.1|BCOP, LOC119071188|XP_037031857.1|BCOP
OG0001513	LOC117588880|XP_034136297.1|DGUA	LOC119071130|XP_037031699.1|BCOP
OG0001515	LOC117590750|XP_034139550.1|DGUA, LOC117583281|XP_034127405.1|DGUA	LOC119076873|XP_037039777.1|BCOP
OG0001517	LOC117583268|XP_034127386.1|DGUA	LOC119085002|XP_037051073.1|BCOP
OG0001518	LOC117590392|XP_034138874.1|DGUA	LOC119067207|XP_037025945.1|BCOP
OG0001534	LOC117590834|XP_034139704.1|DGUA	LOC119069790|XP_037029827.1|BCOP
OG0001535	LOC117581298|XP_034124229.1|DGUA	LOC119081291|XP_037045952.1|BCOP
OG0001536	LOC117580690|XP_034123206.1|DGUA	LOC119083641|XP_037049277.1|BCOP
OG0001537	LOC117581972|XP_034125349.1|DGUA	LOC119070285|XP_037030449.1|BCOP, LOC119070287|XP_037030450.1|BCOP
OG0001538	LOC117581639|XP_034124899.1|DGUA	LOC119084761|XP_037050722.1|BCOP
OG0001539	LOC117578728|XP_034120278.1|DGUA	LOC119080435|XP_037044693.1|BCOP
OG0001540	LOC117581851|XP_034125199.1|DGUA	LOC119077061|XP_037040084.1|BCOP
OG0001541	LOC117580432|XP_034122878.1|DGUA	LOC119067503|XP_037026408.1|BCOP, LOC119074747|XP_037036905.1|BCOP
OG0001542	LOC117585256|XP_034130558.1|DGUA	LOC119083755|XP_037049434.1|BCOP
OG0001543	LOC117588443|XP_034135617.1|DGUA	LOC119067212|XP_037025951.1|BCOP
OG0001544	LOC117581212|XP_034124077.1|DGUA	LOC119068022|XP_037027277.1|BCOP
OG0001545	LOC117581656|XP_034124926.1|DGUA	LOC119071911|XP_037032925.1|BCOP, LOC119067565|XP_037026541.1|BCOP
OG0001546	LOC117581655|XP_034124924.1|DGUA	LOC119084624|XP_037050587.1|BCOP, LOC119069480|XP_037029442.1|BCOP, LOC119071884|XP_037032878.1|BCOP
OG0001547	LOC117581566|XP_034124789.1|DGUA	LOC119083969|XP_037049669.1|BCOP
OG0001548	LOC117581841|XP_034125187.1|DGUA, LOC117581327|XP_034124327.1|DGUA	LOC119067604|XP_037026594.1|BCOP
OG0001549	LOC117584420|XP_034129195.1|DGUA	LOC119078658|XP_037042167.1|BCOP
OG0001550	LOC117589685|XP_034137732.1|DGUA	LOC119067024|XP_037025651.1|BCOP
OG0001551	LOC117584920|XP_034129957.1|DGUA	LOC119068659|XP_037028230.1|BCOP
OG0001552	LOC117583494|XP_034127725.1|DGUA	LOC119069945|XP_037030067.1|BCOP
OG0001553	LOC117580811|XP_034123417.1|DGUA	LOC119068481|XP_037027987.1|BCOP, LOC119077795|XP_037041001.1|BCOP
OG0001554	LOC117589662|XP_034137689.1|DGUA	LOC119068534|XP_037028040.1|BCOP
OG0001556	LOC117592180|XP_034141670.1|DGUA	LOC119069503|XP_037029472.1|BCOP
OG0001557	LOC117581015|XP_034123728.1|DGUA	LOC119077131|XP_037040206.1|BCOP
OG0001558	LOC117588768|XP_034136139.1|DGUA	LOC119085650|XP_037051990.1|BCOP
OG0001559	LOC117585268|XP_034130578.1|DGUA	LOC119069552|XP_037029526.1|BCOP, LOC119067227|XP_037025974.1|BCOP
OG0001560	LOC117589956|XP_034138145.1|DGUA	LOC119070423|XP_037030655.1|BCOP
OG0001561	LOC117583511|XP_034127745.1|DGUA	LOC119078770|XP_037042373.1|BCOP
OG0001562	LOC117584307|XP_034129023.1|DGUA	LOC119073818|XP_037035490.1|BCOP
OG0001563	LOC117590068|XP_034138289.1|DGUA	LOC119067500|XP_037026402.1|BCOP
OG0001564	LOC117585388|XP_034130728.1|DGUA	LOC119067239|XP_037025996.1|BCOP
OG0001565	LOC117589699|XP_034137751.1|DGUA	LOC119067360|XP_037026166.1|BCOP
OG0001566	LOC117581666|XP_034124940.1|DGUA, LOC117585764|XP_034131330.1|DGUA	LOC119067590|XP_037026583.1|BCOP
OG0001567	LOC117590347|XP_034138769.1|DGUA	LOC119085861|XP_037052270.1|BCOP
OG0001568	LOC117583802|XP_034128274.1|DGUA	LOC119069780|XP_037029810.1|BCOP
OG0001570	LOC117589887|XP_034138049.1|DGUA	LOC119070649|XP_037030978.1|BCOP, LOC119070659|XP_037030988.1|BCOP, LOC119067461|XP_037026342.1|BCOP
OG0001571	LOC117584011|XP_034128632.1|DGUA	LOC119066962|XP_037025589.1|BCOP
OG0001572	LOC117588412|XP_034135571.1|DGUA	LOC119073400|XP_037034725.1|BCOP
OG0001573	LOC117579054|XP_034120644.1|DGUA	LOC119082450|XP_037047868.1|BCOP, LOC119083348|XP_037048936.1|BCOP
OG0001574	LOC117590503|XP_034139056.1|DGUA	LOC119071041|XP_037031536.1|BCOP, LOC119073628|XP_037035113.1|BCOP
OG0001575	LOC117585654|XP_034131131.1|DGUA	LOC119070120|XP_037030329.1|BCOP, LOC119071146|XP_037031769.1|BCOP
OG0001576	LOC117585132|XP_034130351.1|DGUA	LOC119082146|XP_037047441.1|BCOP, LOC119084794|XP_037050755.1|BCOP
OG0001577	LOC117582932|XP_034126924.1|DGUA, LOC117582743|XP_034126574.1|DGUA	LOC119076585|XP_037039324.1|BCOP
OG0001578	LOC117587943|XP_034134835.1|DGUA	LOC119066452|XP_037024848.1|BCOP, LOC119085051|XP_037051162.1|BCOP, LOC119085839|XP_037052237.1|BCOP, LOC119082619|XP_037048073.1|BCOP
OG0001579	LOC117579491|XP_034121281.1|DGUA, LOC117591408|XP_034140551.1|DGUA	LOC119083540|XP_037049158.1|BCOP
OG0001580	LOC117592687|XP_034142542.1|DGUA, LOC117591763|XP_034140965.1|DGUA, LOC117592685|XP_034142537.1|DGUA	LOC119080394|XP_037044608.1|BCOP
OG0001581	LOC117580747|XP_034123324.1|DGUA	LOC119081125|XP_037045764.1|BCOP
OG0001582	LOC117592138|XP_034141578.1|DGUA	LOC119073350|XP_037034640.1|BCOP
OG0001584	LOC117587251|XP_034133715.1|DGUA, LOC117587250|XP_034133714.1|DGUA	LOC119074639|XP_037036814.1|BCOP, LOC119067311|XP_037026114.1|BCOP
OG0001585	LOC117588422|XP_034135590.1|DGUA, LOC117588430|XP_034135601.1|DGUA	LOC119067960|XP_037027182.1|BCOP
OG0001586	LOC117580112|XP_034122282.1|DGUA	LOC119081213|XP_037045828.1|BCOP
OG0001587	LOC117588970|XP_034136452.1|DGUA	LOC119071784|XP_037032739.1|BCOP
OG0001588	LOC117590665|XP_034139421.1|DGUA	LOC119073902|XP_037035686.1|BCOP
OG0001589	LOC117587770|XP_034134597.1|DGUA	LOC119072887|XP_037034105.1|BCOP
OG0001590	LOC117591600|XP_034140807.1|DGUA	LOC119071876|XP_037032846.1|BCOP
OG0001591	LOC117585194|XP_034130435.1|DGUA	LOC119082064|XP_037047296.1|BCOP
OG0001592	LOC117582373|XP_034125924.1|DGUA	LOC119066743|XP_037025260.1|BCOP
OG0001593	LOC117582137|XP_034125610.1|DGUA	LOC119066748|XP_037025272.1|BCOP, LOC119066741|XP_037025258.1|BCOP
OG0001595	LOC117587330|XP_034133857.1|DGUA	LOC119073618|XP_037035090.1|BCOP
OG0001596	LOC117584621|XP_034129533.1|DGUA	LOC119074048|XP_037035889.1|BCOP, LOC119082323|XP_037047717.1|BCOP, LOC119078412|XP_037041808.1|BCOP, LOC119077099|XP_037040151.1|BCOP
OG0001597	LOC117587606|XP_034134348.1|DGUA	LOC119081933|XP_037047081.1|BCOP
OG0001598	LOC117584830|XP_034129849.1|DGUA	LOC119081944|XP_037047103.1|BCOP
OG0001599	LOC117587664|XP_034134446.1|DGUA	LOC119077001|XP_037040003.1|BCOP
OG0001601	LOC117588103|XP_034135065.1|DGUA	LOC119078696|XP_037042253.1|BCOP
OG0001602	LOC117588186|XP_034135197.1|DGUA	LOC119085260|XP_037051503.1|BCOP
OG0001603	LOC117588008|XP_034134923.1|DGUA	LOC119072752|XP_037033933.1|BCOP, LOC119072750|XP_037033931.1|BCOP
OG0001604	LOC117581022|XP_034123739.1|DGUA	LOC119084493|XP_037050394.1|BCOP
OG0001606	LOC117591303|XP_034140399.1|DGUA	LOC119071515|XP_037032285.1|BCOP
OG0001607	LOC117584051|XP_034128682.1|DGUA	LOC119081917|XP_037047049.1|BCOP
OG0001608	LOC117588153|XP_034135141.1|DGUA	LOC119069430|XP_037029382.1|BCOP, LOC119070907|XP_037031331.1|BCOP
OG0001609	LOC117592175|XP_034141665.1|DGUA	LOC119080234|XP_037044376.1|BCOP
OG0001610	LOC117587904|XP_034134773.1|DGUA	LOC119085960|XP_037052411.1|BCOP
OG0001611	LOC117582651|XP_034126441.1|DGUA	LOC119078606|XP_037042095.1|BCOP
OG0001612	LOC117581789|XP_034125110.1|DGUA	LOC119068420|XP_037027884.1|BCOP, LOC119085336|XP_037051614.1|BCOP
OG0001613	LOC117584513|XP_034129344.1|DGUA	LOC119078421|XP_037041823.1|BCOP
OG0001614	LOC117588893|XP_034136336.1|DGUA	LOC119084837|XP_037050828.1|BCOP
OG0001615	LOC117588084|XP_034135043.1|DGUA	LOC119082410|XP_037047838.1|BCOP
OG0001616	LOC117584255|XP_034128950.1|DGUA	LOC119075332|XP_037037655.1|BCOP
OG0001617	LOC117588210|XP_034135239.1|DGUA	LOC119071474|XP_037032218.1|BCOP
OG0001618	LOC117584508|XP_034129334.1|DGUA	LOC119078628|XP_037042122.1|BCOP
OG0001619	LOC117588216|XP_034135249.1|DGUA	LOC119071103|XP_037031640.1|BCOP
OG0001620	LOC117581391|XP_034124428.1|DGUA	LOC119085342|XP_037051620.1|BCOP
OG0001621	LOC117579213|XP_034120875.1|DGUA	LOC119066774|XP_037025323.1|BCOP, LOC119080914|XP_037045424.1|BCOP, LOC119077640|XP_037040755.1|BCOP, LOC119070524|XP_037030795.1|BCOP, LOC119066295|XP_037024565.1|BCOP, LOC119083210|XP_037048772.1|BCOP
OG0001622	LOC117590256|XP_034138627.1|DGUA	LOC119068566|XP_037028089.1|BCOP
OG0001623	LOC117582069|XP_034125516.1|DGUA	LOC119083103|XP_037048625.1|BCOP, LOC119083105|XP_037048631.1|BCOP, LOC119083108|XP_037048635.1|BCOP
OG0001624	LOC117591561|XP_034140757.1|DGUA	LOC119085274|XP_037051523.1|BCOP, LOC119075636|XP_037038012.1|BCOP
OG0001625	LOC117584761|XP_034129754.1|DGUA	LOC119066260|XP_037024508.1|BCOP
OG0001626	LOC117581866|XP_034125220.1|DGUA	LOC119074811|XP_037036993.1|BCOP
OG0001628	LOC117585416|XP_034130780.1|DGUA	LOC119076696|XP_037039506.1|BCOP
OG0001629	LOC117590142|XP_034138406.1|DGUA	LOC119077391|XP_037040487.1|BCOP
OG0001630	LOC117585651|XP_034131129.1|DGUA	LOC119077822|XP_037041025.1|BCOP
OG0001631	LOC117585890|XP_034131536.1|DGUA	LOC119083402|XP_037049016.1|BCOP, LOC119076405|XP_037039027.1|BCOP
OG0001632	LOC117587767|XP_034134594.1|DGUA	LOC119068038|XP_037027298.1|BCOP, LOC119068036|XP_037027296.1|BCOP
OG0001633	LOC117590009|XP_034138188.1|DGUA	LOC119084121|XP_037049869.1|BCOP, LOC119077838|XP_037041049.1|BCOP
OG0001634	LOC117590141|XP_034138405.1|DGUA	LOC119073458|XP_037034849.1|BCOP, LOC119071722|XP_037032634.1|BCOP, LOC119085412|XP_037051717.1|BCOP
OG0001635	LOC117591101|XP_034140094.1|DGUA	LOC119073768|XP_037035330.1|BCOP
OG0001636	LOC117586373|XP_034132292.1|DGUA	LOC119066825|XP_037025377.1|BCOP, LOC119069449|XP_037029399.1|BCOP, LOC119086042|XP_037052511.1|BCOP
OG0001637	LOC117582735|XP_034126556.1|DGUA	LOC119072635|XP_037033773.1|BCOP, LOC119085107|XP_037051257.1|BCOP
OG0001638	LOC117580743|XP_034123319.1|DGUA	LOC119076967|XP_037039954.1|BCOP, LOC119073720|XP_037035241.1|BCOP
OG0001639	LOC117585172|XP_034130408.1|DGUA	LOC119076591|XP_037039330.1|BCOP
OG0001640	LOC117586412|XP_034132338.1|DGUA	LOC119076800|XP_037039659.1|BCOP
OG0001641	LOC117590019|XP_034138199.1|DGUA	LOC119083470|XP_037049086.1|BCOP, LOC119079711|XP_037043663.1|BCOP
OG0001642	LOC117590520|XP_034139125.1|DGUA, LOC117585177|XP_034130411.1|DGUA	LOC119066090|XP_037024257.1|BCOP
OG0001643	LOC117581925|XP_034125291.1|DGUA	LOC119078224|XP_037041579.1|BCOP
OG0001645	LOC117587802|XP_034134649.1|DGUA	LOC119071400|XP_037032171.1|BCOP, LOC119071401|XP_037032172.1|BCOP
OG0001646	LOC117591963|XP_034141291.1|DGUA	LOC119071297|XP_037032066.1|BCOP, LOC119071313|XP_037032088.1|BCOP, LOC119071315|XP_037032093.1|BCOP, LOC119071414|XP_037032186.1|BCOP, LOC119071415|XP_037032187.1|BCOP, LOC119071312|XP_037032086.1|BCOP
OG0001647	LOC117592618|XP_034142394.1|DGUA	LOC119066071|XP_037024196.1|BCOP
OG0001648	LOC117580345|XP_034122742.1|DGUA	LOC119074220|XP_037036116.1|BCOP
OG0001649	LOC117592128|XP_034141564.1|DGUA	LOC119082638|XP_037048099.1|BCOP, LOC119082195|XP_037047524.1|BCOP
OG0001650	LOC117582790|XP_034126682.1|DGUA	LOC119085352|XP_037051622.1|BCOP
OG0001651	LOC117592082|XP_034141485.1|DGUA	LOC119081719|XP_037046753.1|BCOP
OG0001652	LOC117579190|XP_034120849.1|DGUA	LOC119070872|XP_037031280.1|BCOP
OG0001653	LOC117580235|XP_034122548.1|DGUA	LOC119071874|XP_037032844.1|BCOP
OG0001654	LOC117578837|XP_034120504.1|DGUA	LOC119069545|XP_037029520.1|BCOP
OG0001655	LOC117592021|XP_034141367.1|DGUA	LOC119077077|XP_037040131.1|BCOP, LOC119083695|XP_037049375.1|BCOP
OG0001656	LOC117583974|XP_034128572.1|DGUA	LOC119068316|XP_037027759.1|BCOP, LOC119067357|XP_037026162.1|BCOP, LOC119071770|XP_037032715.1|BCOP
OG0001657	LOC117585207|XP_034130476.1|DGUA, LOC117591237|XP_034140302.1|DGUA	LOC119086068|XP_037052539.1|BCOP
OG0001658	LOC117580128|XP_034122313.1|DGUA	LOC119071227|XP_037031938.1|BCOP
OG0001659	LOC117580109|XP_034122276.1|DGUA	LOC119071248|XP_037031981.1|BCOP
OG0001660	LOC117579530|XP_034121337.1|DGUA	LOC119082328|XP_037047729.1|BCOP
OG0001661	LOC117584993|XP_034130113.1|DGUA	LOC119078813|XP_037042413.1|BCOP, LOC119085962|XP_037052414.1|BCOP
OG0001663	LOC117589819|XP_034137942.1|DGUA, LOC117589817|XP_034137940.1|DGUA	LOC119068581|XP_037028121.1|BCOP, LOC119068578|XP_037028118.1|BCOP
OG0001678	LOC117580896|XP_034123547.1|DGUA	LOC119084546|XP_037050454.1|BCOP, LOC119077826|XP_037041028.1|BCOP
OG0001679	LOC117581490|XP_034124628.1|DGUA	LOC119068406|XP_037027864.1|BCOP
OG0001680	LOC117582166|XP_034125656.1|DGUA, LOC117580821|XP_034123432.1|DGUA	LOC119067812|XP_037026859.1|BCOP
OG0001681	LOC117581508|XP_034124675.1|DGUA	LOC119070363|XP_037030555.1|BCOP, LOC119076744|XP_037039584.1|BCOP
OG0001682	LOC117582248|XP_034125750.1|DGUA, LOC117580507|XP_034122988.1|DGUA	LOC119085255|XP_037051487.1|BCOP, LOC119069413|XP_037029357.1|BCOP, LOC119078998|XP_037042658.1|BCOP
OG0001683	LOC117588117|XP_034135082.1|DGUA	LOC119070881|XP_037031295.1|BCOP
OG0001684	LOC117590653|XP_034139388.1|DGUA	LOC119077200|XP_037040276.1|BCOP, LOC119076428|XP_037039068.1|BCOP
OG0001685	LOC117584670|XP_034129589.1|DGUA	LOC119077691|XP_037040851.1|BCOP
OG0001686	LOC117580626|XP_034123100.1|DGUA	LOC119069627|XP_037029621.1|BCOP
OG0001687	LOC117590479|XP_034139028.1|DGUA	LOC119068651|XP_037028222.1|BCOP
OG0001688	LOC117579093|XP_034120706.1|DGUA	LOC119076000|XP_037038468.1|BCOP
OG0001689	LOC117580915|XP_034123568.1|DGUA	LOC119075265|XP_037037557.1|BCOP, LOC119084308|XP_037050123.1|BCOP, LOC119069045|XP_037028810.1|BCOP
OG0001690	LOC117580390|XP_034122821.1|DGUA	LOC119080524|XP_037044829.1|BCOP
OG0001691	LOC117581910|XP_034125270.1|DGUA	LOC119077971|XP_037041247.1|BCOP
OG0001693	LOC117580958|XP_034123634.1|DGUA	LOC119069078|XP_037028850.1|BCOP
OG0001694	LOC117589892|XP_034138053.1|DGUA, LOC117589533|XP_034137417.1|DGUA	LOC119069932|XP_037030051.1|BCOP
OG0001695	LOC117587860|XP_034134717.1|DGUA	LOC119067243|XP_037026004.1|BCOP
OG0001696	LOC117589540|XP_034137425.1|DGUA	LOC119067018|XP_037025641.1|BCOP
OG0001697	LOC117585180|XP_034130414.1|DGUA	LOC119067851|XP_037026983.1|BCOP
OG0001698	LOC117581435|XP_034124498.1|DGUA	LOC119068832|XP_037028497.1|BCOP
OG0001699	LOC117589829|XP_034137951.1|DGUA	LOC119067858|XP_037026990.1|BCOP
OG0001700	LOC117586019|XP_034131740.1|DGUA	LOC119077575|XP_037040681.1|BCOP, LOC119084064|XP_037049798.1|BCOP
OG0001701	LOC117583263|XP_034127381.1|DGUA	LOC119069177|XP_037028999.1|BCOP
OG0001702	LOC117587852|XP_034134709.1|DGUA	LOC119066373|XP_037024692.1|BCOP
OG0001703	LOC117585491|XP_034130877.1|DGUA	LOC119068930|XP_037028690.1|BCOP
OG0001704	LOC117585013|XP_034130144.1|DGUA	LOC119068928|XP_037028688.1|BCOP
OG0001705	LOC117591475|XP_034140649.1|DGUA	LOC119067910|XP_037027098.1|BCOP
OG0001706	LOC117587585|XP_034134316.1|DGUA	LOC119081527|XP_037046427.1|BCOP
OG0001707	LOC117583055|XP_034127110.1|DGUA	LOC119070533|XP_037030802.1|BCOP
OG0001708	LOC117583352|XP_034127513.1|DGUA	LOC119068790|XP_037028445.1|BCOP
OG0001709	LOC117589187|XP_034136802.1|DGUA	LOC119068970|XP_037028730.1|BCOP
OG0001711	LOC117589870|XP_034138030.1|DGUA	LOC119070360|XP_037030550.1|BCOP
OG0001712	LOC117585309|XP_034130628.1|DGUA	LOC119069168|XP_037028972.1|BCOP
OG0001713	LOC117585961|XP_034131661.1|DGUA	LOC119070411|XP_037030638.1|BCOP
OG0001714	LOC117586740|XP_034132928.1|DGUA	LOC119068105|XP_037027426.1|BCOP
OG0001715	LOC117581080|XP_034123854.1|DGUA	LOC119068244|XP_037027670.1|BCOP
OG0001716	LOC117590526|XP_034139134.1|DGUA	LOC119081196|XP_037045807.1|BCOP
OG0001717	LOC117583617|XP_034127950.1|DGUA	LOC119067038|XP_037025668.1|BCOP
OG0001718	LOC117589563|XP_034137493.1|DGUA	LOC119067040|XP_037025672.1|BCOP
OG0001719	LOC117583057|XP_034127114.1|DGUA	LOC119068687|XP_037028261.1|BCOP, LOC119068679|XP_037028259.1|BCOP
OG0001720	LOC117585414|XP_034130778.1|DGUA	LOC119070509|XP_037030762.1|BCOP
OG0001721	LOC117585067|XP_034130220.1|DGUA	LOC119067428|XP_037026293.1|BCOP
OG0001722	LOC117587459|XP_034134071.1|DGUA	LOC119074593|XP_037036734.1|BCOP
OG0001723	LOC117580060|XP_034122201.1|DGUA	LOC119083678|XP_037049357.1|BCOP
OG0001724	LOC117587766|XP_034134596.1|DGUA	LOC119074111|XP_037035969.1|BCOP
OG0001725	LOC117592422|XP_034142059.1|DGUA	LOC119073997|XP_037035821.1|BCOP
OG0001726	LOC117580508|XP_034122990.1|DGUA	LOC119073360|XP_037034663.1|BCOP
OG0001727	LOC117583245|XP_034127359.1|DGUA	LOC119070539|XP_037030810.1|BCOP
OG0001728	LOC117592107|XP_034141519.1|DGUA	LOC119076376|XP_037038987.1|BCOP, LOC119081678|XP_037046662.1|BCOP
OG0001729	LOC117592417|XP_034142049.1|DGUA	LOC119079298|XP_037042980.1|BCOP
OG0001730	LOC117584661|XP_034129580.1|DGUA	LOC119085974|XP_037052431.1|BCOP
OG0001731	LOC117585594|XP_034131033.1|DGUA	LOC119077466|XP_037040571.1|BCOP
OG0001733	LOC117578536|XP_034119994.1|DGUA	LOC119083620|XP_037049252.1|BCOP, LOC119083619|XP_037049251.1|BCOP
OG0001734	LOC117578802|XP_034120422.1|DGUA	LOC119075456|XP_037037792.1|BCOP, LOC119070476|XP_037030728.1|BCOP
OG0001735	LOC117586810|XP_034132975.1|DGUA	LOC119073264|XP_037034537.1|BCOP
OG0001736	LOC117589838|XP_034137985.1|DGUA	LOC119080231|XP_037044373.1|BCOP
OG0001737	LOC117591964|XP_034141296.1|DGUA	LOC119080960|XP_037045487.1|BCOP
OG0001738	LOC117589205|XP_034136830.1|DGUA	LOC119080843|XP_037045298.1|BCOP
OG0001739	LOC117580682|XP_034123196.1|DGUA	LOC119080808|XP_037045274.1|BCOP
OG0001740	LOC117579568|XP_034121387.1|DGUA	LOC119075498|XP_037037858.1|BCOP, LOC119070240|XP_037030407.1|BCOP
OG0001741	LOC117583676|XP_034128037.1|DGUA	LOC119073401|XP_037034730.1|BCOP, LOC119085850|XP_037052253.1|BCOP
OG0001742	LOC117591680|XP_034140896.1|DGUA, LOC117584262|XP_034128965.1|DGUA	LOC119080199|XP_037044335.1|BCOP
OG0001743	LOC117586836|XP_034133018.1|DGUA	LOC119076138|XP_037038711.1|BCOP
OG0001744	LOC117578436|XP_034119826.1|DGUA	LOC119079410|XP_037043196.1|BCOP
OG0001745	LOC117592156|XP_034141619.1|DGUA	LOC119081729|XP_037046785.1|BCOP
OG0001746	LOC117579763|XP_034121707.1|DGUA	LOC119085490|XP_037051801.1|BCOP
OG0001747	LOC117591952|XP_034141258.1|DGUA	LOC119079630|XP_037043520.1|BCOP
