Orthogroup	CPIP.longest_only	DSUP.longest_only
OG0000251	LOC120422742|XP_039442215.1|CPIP, LOC120418281|XP_039436536.1|CPIP	LOC119556074|XP_037723824.1|DSUP, LOC119550640|XP_037715406.1|DSUP, LOC119552909|XP_037718763.1|DSUP
OG0000255	LOC120415434|XP_039432916.1|CPIP, LOC120432133|XP_039453196.1|CPIP	LOC119550177|XP_037714640.1|DSUP
OG0000256	LOC120412460|XP_039428865.1|CPIP, LOC120417648|XP_039435705.1|CPIP	LOC119549631|XP_037713745.1|DSUP, LOC119551040|XP_037716079.1|DSUP
OG0000257	LOC120418458|XP_039436817.1|CPIP	LOC119550632|XP_037715395.1|DSUP, LOC119551882|XP_037717405.1|DSUP
OG0000260	LOC120417901|XP_039436064.1|CPIP	LOC119551806|XP_037717295.1|DSUP, LOC119556961|XP_037725400.1|DSUP, LOC119551812|XP_037717301.1|DSUP
OG0000261	LOC120426758|XP_039447469.1|CPIP, LOC120421582|XP_039440748.1|CPIP, LOC120421564|XP_039440725.1|CPIP, LOC120426746|XP_039447459.1|CPIP, LOC120426236|XP_039446907.1|CPIP	LOC119546031|XP_037707977.1|DSUP, LOC119546035|XP_037707983.1|DSUP, LOC119546033|XP_037707978.1|DSUP
OG0000262	LOC120430126|XP_039451145.1|CPIP, LOC120430107|XP_039451126.1|CPIP	LOC119549115|XP_037712796.1|DSUP, LOC119549114|XP_037712795.1|DSUP
OG0000263	LOC120419837|XP_039438607.1|CPIP	LOC119551478|XP_037716769.1|DSUP
OG0000263	LOC120419831|XP_039438599.1|CPIP	LOC119553936|XP_037720554.1|DSUP
OG0000264	LOC120417668|XP_039435729.1|CPIP	LOC119558277|XP_037727580.1|DSUP, LOC119556362|XP_037724452.1|DSUP, LOC119555380|XP_037722655.1|DSUP
OG0000267	LOC120416411|XP_039434097.1|CPIP, LOC120416412|XP_039434098.1|CPIP	LOC119556078|XP_037723854.1|DSUP, LOC119554298|XP_037721090.1|DSUP
OG0000268	LOC120422136|XP_039441445.1|CPIP	LOC119559990|XP_037729182.1|DSUP, LOC119559982|XP_037729168.1|DSUP
OG0000269	LOC120422540|XP_039441938.1|CPIP	LOC119545773|XP_037707551.1|DSUP
OG0000269	LOC120418937|XP_039437409.1|CPIP	LOC119553179|XP_037719351.1|DSUP, LOC119553185|XP_037719365.1|DSUP, LOC119553164|XP_037719330.1|DSUP, LOC119560426|XP_037729794.1|DSUP
OG0000270	LOC120420334|XP_039439263.1|CPIP, LOC120421653|XP_039440819.1|CPIP, LOC120422543|XP_039441941.1|CPIP, LOC120416680|XP_039434433.1|CPIP, LOC120416678|XP_039434431.1|CPIP, LOC120416677|XP_039434430.1|CPIP, LOC120416679|XP_039434432.1|CPIP	LOC119550202|XP_037714679.1|DSUP, LOC119558806|XP_037727999.1|DSUP
OG0000271	LOC120428097|XP_039449015.1|CPIP	LOC119562583|XP_037731732.1|DSUP, LOC119549441|XP_037713462.1|DSUP, LOC119551720|XP_037717149.1|DSUP
OG0000272	LOC120422628|XP_039442061.1|CPIP	LOC119547069|XP_037709722.1|DSUP
OG0000273	LOC120413666|XP_039430524.1|CPIP	LOC119563192|XP_037732407.1|DSUP, LOC119547220|XP_037709907.1|DSUP, LOC119560514|XP_037729917.1|DSUP
OG0000279	LOC120421804|XP_039441016.1|CPIP	LOC119554005|XP_037720640.1|DSUP, LOC119554006|XP_037720641.1|DSUP
OG0000280	LOC120427572|XP_039448381.1|CPIP	LOC119555128|XP_037722282.1|DSUP, LOC119555129|XP_037722283.1|DSUP, LOC119555127|XP_037722281.1|DSUP
OG0000281	LOC120427259|XP_039448056.1|CPIP	LOC119562376|XP_037731466.1|DSUP, LOC119553767|XP_037720302.1|DSUP, LOC119556996|XP_037725454.1|DSUP, LOC119556544|XP_037724755.1|DSUP
OG0000282	LOC120415925|XP_039433505.1|CPIP	LOC119555257|XP_037722483.1|DSUP
OG0000283	LOC120432500|XP_039453647.1|CPIP	LOC119550607|XP_037715358.1|DSUP
OG0000283	LOC120412492|XP_039428925.1|CPIP, LOC120429082|XP_039450173.1|CPIP	LOC119545703|XP_037707384.1|DSUP
OG0000284	LOC120421270|XP_039440400.1|CPIP, LOC120430152|XP_039451171.1|CPIP	LOC119546200|XP_037708256.1|DSUP
OG0000284	LOC120421261|XP_039440390.1|CPIP, LOC120418617|XP_039436995.1|CPIP	LOC119546678|XP_037709069.1|DSUP
OG0000292	LOC120416288|XP_039433936.1|CPIP	LOC119551580|XP_037716910.1|DSUP
OG0000292	LOC120414172|XP_039431168.1|CPIP	LOC119555309|XP_037722556.1|DSUP
OG0000293	LOC120420737|XP_039439765.1|CPIP	LOC119560571|XP_037730022.1|DSUP, LOC119547401|XP_037710178.1|DSUP, LOC119563029|XP_037732155.1|DSUP
OG0000294	LOC120431678|XP_039452731.1|CPIP	LOC119548346|XP_037711489.1|DSUP
OG0000294	LOC120417323|XP_039435223.1|CPIP	LOC119556226|XP_037724143.1|DSUP
OG0000296	LOC120414343|XP_039431436.1|CPIP	LOC119547676|XP_037710564.1|DSUP, LOC119553390|XP_037719677.1|DSUP, LOC119556856|XP_037725256.1|DSUP
OG0000299	LOC120424342|XP_039444366.1|CPIP	LOC119550548|XP_037715212.1|DSUP, LOC119554628|XP_037721555.1|DSUP, LOC119554618|XP_037721543.1|DSUP
OG0000300	LOC120428536|XP_039449505.1|CPIP, LOC120428065|XP_039448962.1|CPIP	LOC119555430|XP_037722727.1|DSUP, LOC119555517|XP_037722869.1|DSUP, LOC119555516|XP_037722867.1|DSUP
OG0000301	LOC120419023|XP_039437523.1|CPIP	LOC119557972|XP_037727014.1|DSUP
OG0000301	LOC120429918|XP_039450946.1|CPIP	LOC119547423|XP_037710205.1|DSUP
OG0000302	LOC120423387|XP_039443103.1|CPIP, LOC120423396|XP_039443123.1|CPIP, LOC120423407|XP_039443142.1|CPIP	LOC119553035|XP_037719025.1|DSUP, LOC119553036|XP_037719027.1|DSUP
OG0000303	LOC120420952|XP_039440021.1|CPIP	LOC119554469|XP_037721312.1|DSUP, LOC119556702|XP_037725028.1|DSUP, LOC119548434|XP_037711611.1|DSUP
OG0000304	LOC120421429|XP_039440575.1|CPIP	LOC119548725|XP_037712149.1|DSUP, LOC119548727|XP_037712163.1|DSUP, LOC119548733|XP_037712178.1|DSUP
OG0000306	LOC120417677|XP_039435739.1|CPIP	LOC119550377|XP_037714952.1|DSUP, LOC119550280|XP_037714797.1|DSUP, LOC119556224|XP_037724136.1|DSUP
OG0000307	LOC120420509|XP_039439496.1|CPIP, LOC120413894|XP_039430804.1|CPIP	LOC119563457|XP_037732788.1|DSUP
OG0000307	LOC120418357|XP_039436644.1|CPIP	LOC119563134|XP_037732313.1|DSUP
OG0000311	LOC120413294|XP_039429986.1|CPIP	LOC119549100|XP_037712775.1|DSUP, LOC119559754|XP_037728756.1|DSUP, LOC119556049|XP_037723771.1|DSUP
OG0000312	LOC120419919|XP_039438720.1|CPIP, LOC120417727|XP_039435814.1|CPIP	LOC119548754|XP_037712203.1|DSUP
OG0000312	LOC120417731|XP_039435820.1|CPIP, LOC120419906|XP_039438708.1|CPIP, LOC120417735|XP_039435827.1|CPIP, LOC120419917|XP_039438717.1|CPIP	LOC119547235|XP_037709936.1|DSUP
OG0000313	LOC120426648|XP_039447370.1|CPIP, LOC120426647|XP_039447369.1|CPIP	LOC119547230|XP_037709918.1|DSUP, LOC119546767|XP_037709242.1|DSUP, LOC119546766|XP_037709241.1|DSUP
OG0000314	LOC120412692|XP_039429202.1|CPIP, LOC120412667|XP_039429163.1|CPIP, LOC120412698|XP_039429210.1|CPIP, LOC120412703|XP_039429219.1|CPIP, LOC120412680|XP_039429189.1|CPIP	LOC119546240|XP_037708314.1|DSUP
OG0000315	LOC120416378|XP_039434046.1|CPIP, LOC120416367|XP_039434036.1|CPIP	LOC119552129|XP_037717845.1|DSUP, LOC119547563|XP_037710392.1|DSUP, LOC119546320|XP_037708447.1|DSUP, LOC119547967|XP_037710945.1|DSUP, LOC119546318|XP_037708444.1|DSUP, LOC119550577|XP_037715296.1|DSUP, LOC119548123|XP_037711147.1|DSUP
OG0000320	LOC120427175|XP_039447969.1|CPIP	LOC119555629|XP_037723080.1|DSUP, LOC119547495|XP_037710313.1|DSUP, LOC119560473|XP_037729861.1|DSUP
OG0000321	LOC120427143|XP_039447933.1|CPIP, LOC120419082|XP_039437600.1|CPIP, LOC120427141|XP_039447932.1|CPIP	LOC119548734|XP_037712174.1|DSUP, LOC119548735|XP_037712177.1|DSUP
OG0000323	LOC120417568|XP_039435599.1|CPIP	LOC119547612|XP_037710464.1|DSUP, LOC119560269|XP_037729567.1|DSUP, LOC119563462|XP_037732802.1|DSUP
OG0000324	LOC120412324|XP_039428659.1|CPIP	LOC119549257|XP_037713092.1|DSUP
OG0000325	LOC120428936|XP_039450017.1|CPIP, LOC120428935|XP_039450016.1|CPIP, LOC120416676|XP_039434429.1|CPIP	LOC119553256|XP_037719470.1|DSUP, LOC119554358|XP_037721153.1|DSUP
OG0000331	LOC120422612|XP_039442040.1|CPIP, LOC120417304|XP_039435189.1|CPIP, LOC120430062|XP_039451086.1|CPIP	LOC119546909|XP_037709462.1|DSUP, LOC119546916|XP_037709473.1|DSUP
OG0000332	LOC120421395|XP_039440530.1|CPIP	LOC119546804|XP_037709311.1|DSUP
OG0000332	LOC120426456|XP_039447152.1|CPIP, LOC120417781|XP_039435871.1|CPIP, LOC120425611|XP_039446127.1|CPIP	LOC119560276|XP_037729572.1|DSUP, LOC119560281|XP_037729579.1|DSUP, LOC119557897|XP_037726831.1|DSUP
OG0000333	LOC120424840|XP_039445006.1|CPIP	LOC119555289|XP_037722531.1|DSUP, LOC119554137|XP_037720839.1|DSUP
OG0000334	LOC120416302|XP_039433955.1|CPIP	LOC119549576|XP_037713661.1|DSUP, LOC119557988|XP_037727010.1|DSUP, LOC119550790|XP_037715649.1|DSUP
OG0000335	LOC120428707|XP_039449716.1|CPIP, LOC120419779|XP_039438546.1|CPIP	LOC119547445|XP_037710233.1|DSUP, LOC119546863|XP_037709394.1|DSUP
OG0000338	LOC120421524|XP_039440674.1|CPIP	LOC119554236|XP_037720995.1|DSUP
OG0000338	LOC120425715|XP_039446257.1|CPIP	LOC119556910|XP_037725325.1|DSUP, LOC119549111|XP_037712785.1|DSUP
OG0000339	LOC120431645|XP_039452686.1|CPIP, LOC120431644|XP_039452685.1|CPIP	LOC119554320|XP_037721109.1|DSUP, LOC119554498|XP_037721359.1|DSUP
OG0000340	LOC120413985|XP_039430925.1|CPIP	LOC119559712|XP_037728701.1|DSUP, LOC119559713|XP_037728703.1|DSUP, LOC119551447|XP_037716717.1|DSUP
OG0000342	LOC120412889|XP_039429454.1|CPIP	LOC119557920|XP_037726856.1|DSUP, LOC119559800|XP_037728814.1|DSUP, LOC119550627|XP_037715384.1|DSUP
OG0000343	LOC120422144|XP_039441449.1|CPIP	LOC119555857|XP_037723429.1|DSUP, LOC119555862|XP_037723444.1|DSUP
OG0000343	LOC120422146|XP_039441451.1|CPIP, LOC120422145|XP_039441450.1|CPIP, LOC120422148|XP_039441453.1|CPIP, LOC120422147|XP_039441452.1|CPIP	LOC119560936|XP_037730600.1|DSUP
OG0000344	LOC120416961|XP_039434810.1|CPIP, LOC120416841|XP_039434667.1|CPIP, LOC120416449|XP_039434135.1|CPIP	LOC119550929|XP_037715874.1|DSUP, LOC119563417|XP_037732714.1|DSUP
OG0000345	LOC120419771|XP_039438535.1|CPIP	LOC119549289|XP_037713166.1|DSUP
OG0000345	LOC120426404|XP_039447094.1|CPIP, LOC120421676|XP_039440841.1|CPIP, LOC120420862|XP_039439914.1|CPIP	LOC119549838|XP_037714045.1|DSUP
OG0000346	LOC120421622|XP_039440784.1|CPIP	LOC119551013|XP_037715993.1|DSUP, LOC119549611|XP_037713709.1|DSUP, LOC119549609|XP_037713708.1|DSUP, LOC119550259|XP_037714765.1|DSUP, LOC119549714|XP_037713875.1|DSUP, LOC119549559|XP_037713637.1|DSUP, LOC119552051|XP_037717722.1|DSUP, LOC119549626|XP_037713736.1|DSUP, LOC119549622|XP_037713727.1|DSUP
OG0000347	LOC120412397|XP_039428787.1|CPIP	LOC119554451|XP_037721291.1|DSUP
OG0000347	LOC120427353|XP_039448141.1|CPIP	LOC119547755|XP_037710685.1|DSUP
OG0000348	LOC120412820|XP_039429361.1|CPIP	LOC119548541|XP_037711764.1|DSUP, LOC119546670|XP_037709057.1|DSUP
OG0000349	LOC120412526|XP_039428957.1|CPIP	LOC119547767|XP_037710704.1|DSUP, LOC119547766|XP_037710702.1|DSUP
OG0000351	LOC120415587|XP_039433116.1|CPIP, LOC120415595|XP_039433124.1|CPIP	LOC119550250|XP_037714753.1|DSUP, LOC119550738|XP_037715582.1|DSUP
OG0000353	LOC120428015|XP_039448920.1|CPIP	LOC119560509|XP_037729911.1|DSUP
OG0000353	LOC120414684|XP_039431901.1|CPIP	LOC119562713|XP_037731829.1|DSUP
OG0000355	LOC120415782|XP_039433346.1|CPIP	LOC119550656|XP_037715428.1|DSUP, LOC119550325|XP_037714859.1|DSUP
OG0000356	LOC120412654|XP_039429142.1|CPIP, LOC120412652|XP_039429140.1|CPIP	LOC119546574|XP_037708899.1|DSUP, LOC119546573|XP_037708897.1|DSUP
OG0000361	LOC120418099|XP_039436304.1|CPIP	LOC119555916|XP_037723545.1|DSUP, LOC119560168|XP_037729455.1|DSUP, LOC119559346|XP_037728322.1|DSUP, LOC119548445|XP_037711635.1|DSUP
OG0000362	LOC120425499|XP_039445982.1|CPIP	LOC119552668|XP_037718347.1|DSUP
OG0000362	LOC120426851|XP_039447577.1|CPIP	LOC119552847|XP_037718643.1|DSUP
OG0000363	LOC120432160|XP_039453221.1|CPIP	LOC119547186|XP_037709852.1|DSUP
OG0000363	LOC120432606|XP_039453787.1|CPIP	LOC119553817|XP_037720366.1|DSUP
OG0000365	LOC120420694|XP_039439722.1|CPIP	LOC119550914|XP_037715834.1|DSUP
OG0000365	LOC120413627|XP_039430471.1|CPIP	LOC119548405|XP_037711569.1|DSUP
OG0000366	LOC120423443|XP_039443194.1|CPIP	LOC119556170|XP_037724017.1|DSUP
OG0000366	LOC120432188|XP_039453261.1|CPIP	LOC119548850|XP_037712403.1|DSUP
OG0000367	LOC120424436|XP_039444491.1|CPIP, LOC120424439|XP_039444503.1|CPIP, LOC120424437|XP_039444493.1|CPIP	LOC119555393|XP_037722668.1|DSUP, LOC119549132|XP_037712829.1|DSUP
OG0000368	LOC120428925|XP_039450000.1|CPIP, LOC120428924|XP_039449999.1|CPIP	LOC119553186|XP_037719361.1|DSUP
OG0000376	LOC120421054|XP_039440133.1|CPIP	LOC119556425|XP_037724572.1|DSUP, LOC119556388|XP_037724491.1|DSUP
OG0000377	LOC120421116|XP_039440209.1|CPIP, LOC120429900|XP_039450928.1|CPIP, LOC120429901|XP_039450929.1|CPIP, LOC120413801|XP_039430685.1|CPIP	LOC119557124|XP_037725636.1|DSUP, LOC119560957|XP_037730633.1|DSUP
OG0000378	LOC120424707|XP_039444825.1|CPIP, LOC120432593|XP_039453765.1|CPIP, LOC120432591|XP_039453764.1|CPIP	LOC119550111|XP_037714520.1|DSUP
OG0000379	LOC120412383|XP_039428749.1|CPIP	LOC119549991|XP_037714328.1|DSUP, LOC119549908|XP_037714156.1|DSUP, LOC119549184|XP_037712931.1|DSUP
OG0000380	LOC120412615|XP_039429100.1|CPIP	LOC119559414|XP_037728436.1|DSUP, LOC119554199|XP_037720927.1|DSUP
OG0000381	LOC120422795|XP_039442269.1|CPIP	LOC119547683|XP_037710570.1|DSUP, LOC119546749|XP_037709177.1|DSUP
OG0000382	LOC120419098|XP_039437626.1|CPIP, LOC120414668|XP_039431879.1|CPIP, LOC120426131|XP_039446768.1|CPIP, LOC120427967|XP_039448857.1|CPIP	LOC119554122|XP_037720823.1|DSUP, LOC119555075|XP_037722213.1|DSUP
OG0000383	LOC120418645|XP_039437024.1|CPIP, LOC120413507|XP_039430300.1|CPIP	LOC119548376|XP_037711522.1|DSUP, LOC119546383|XP_037708547.1|DSUP
OG0000384	LOC120430008|XP_039451042.1|CPIP	LOC119549845|XP_037714065.1|DSUP
OG0000384	LOC120427187|XP_039447985.1|CPIP, LOC120432418|XP_039453552.1|CPIP	LOC119551674|XP_037717056.1|DSUP
OG0000385	LOC120417574|XP_039435617.1|CPIP	LOC119557725|XP_037726535.1|DSUP
OG0000385	LOC120429081|XP_039450174.1|CPIP	LOC119557035|XP_037725509.1|DSUP
OG0000386	LOC120416721|XP_039434481.1|CPIP	LOC119553894|XP_037720489.1|DSUP, LOC119553842|XP_037720414.1|DSUP, LOC119563059|XP_037732202.1|DSUP
OG0000389	LOC120415028|XP_039432327.1|CPIP	LOC119560017|XP_037729231.1|DSUP
OG0000389	LOC120422935|XP_039442448.1|CPIP, LOC120431851|XP_039452911.1|CPIP	LOC119554027|XP_037720671.1|DSUP
OG0000390	LOC120414874|XP_039432130.1|CPIP, LOC120414875|XP_039432132.1|CPIP, LOC120416901|XP_039434732.1|CPIP, LOC120417294|XP_039435179.1|CPIP, LOC120419049|XP_039437548.1|CPIP, LOC120419077|XP_039437596.1|CPIP	LOC119546509|XP_037708759.1|DSUP, LOC119547695|XP_037710595.1|DSUP
OG0000391	LOC120422918|XP_039442423.1|CPIP	LOC119551111|XP_037716219.1|DSUP
OG0000391	LOC120424996|XP_039445300.1|CPIP, LOC120416738|XP_039434503.1|CPIP, LOC120431359|XP_039452421.1|CPIP	LOC119550814|XP_037715683.1|DSUP
OG0000392	LOC120428941|XP_039450020.1|CPIP, LOC120420899|XP_039439954.1|CPIP	LOC119548478|XP_037711677.1|DSUP, LOC119546875|XP_037709410.1|DSUP
OG0000393	LOC120421038|XP_039440110.1|CPIP	LOC119547457|XP_037710248.1|DSUP
OG0000393	LOC120425239|XP_039445607.1|CPIP	LOC119547459|XP_037710263.1|DSUP
OG0000394	LOC120414379|XP_039431488.1|CPIP, LOC120416671|XP_039434420.1|CPIP, LOC120416672|XP_039434421.1|CPIP, LOC120416670|XP_039434419.1|CPIP, LOC120414653|XP_039431848.1|CPIP	LOC119556496|XP_037724684.1|DSUP, LOC119556495|XP_037724682.1|DSUP
OG0000399	LOC120418112|XP_039436316.1|CPIP	LOC119563056|XP_037732197.1|DSUP, LOC119551789|XP_037717263.1|DSUP
OG0000400	LOC120419277|XP_039437877.1|CPIP	LOC119556453|XP_037724621.1|DSUP, LOC119557100|XP_037725605.1|DSUP
OG0000402	LOC120416154|XP_039433766.1|CPIP, LOC120423494|XP_039443268.1|CPIP, LOC120412465|XP_039428874.1|CPIP, LOC120417671|XP_039435738.1|CPIP, LOC120424023|XP_039443978.1|CPIP, LOC120424051|XP_039444009.1|CPIP, LOC120424030|XP_039443989.1|CPIP, LOC120424040|XP_039443999.1|CPIP, LOC120417683|XP_039435752.1|CPIP	LOC119557469|XP_037726163.1|DSUP
OG0000404	LOC120423304|XP_039443003.1|CPIP, LOC120423298|XP_039442996.1|CPIP, LOC120423297|XP_039442995.1|CPIP, LOC120423303|XP_039443001.1|CPIP, LOC120423296|XP_039442994.1|CPIP, LOC120423305|XP_039443004.1|CPIP, LOC120423306|XP_039443005.1|CPIP	LOC119545650|XP_037707303.1|DSUP, LOC119545651|XP_037707304.1|DSUP
OG0000406	LOC120412614|XP_039429097.1|CPIP, LOC120432595|XP_039453767.1|CPIP	LOC119554505|XP_037721370.1|DSUP, LOC119549895|XP_037714132.1|DSUP
OG0000407	LOC120418636|XP_039437019.1|CPIP	LOC119555101|XP_037722247.1|DSUP
OG0000407	LOC120430781|XP_039451828.1|CPIP	LOC119555099|XP_037722244.1|DSUP
OG0000408	LOC120421205|XP_039440343.1|CPIP	LOC119562080|XP_037731322.1|DSUP, LOC119548120|XP_037711144.1|DSUP
OG0000409	LOC120422968|XP_039442490.1|CPIP	LOC119550517|XP_037715154.1|DSUP, LOC119551014|XP_037715996.1|DSUP
OG0000410	LOC120413556|XP_039430370.1|CPIP	LOC119548863|XP_037712418.1|DSUP, LOC119546841|XP_037709363.1|DSUP, LOC119547080|XP_037709701.1|DSUP
OG0000411	LOC120414899|XP_039432164.1|CPIP	LOC119545800|XP_037707611.1|DSUP
OG0000411	LOC120423399|XP_039443132.1|CPIP	LOC119546640|XP_037709012.1|DSUP
OG0000412	LOC120426326|XP_039447020.1|CPIP, LOC120426327|XP_039447021.1|CPIP	LOC119549146|XP_037712853.1|DSUP, LOC119554858|XP_037721865.1|DSUP
OG0000413	LOC120421219|XP_039440355.1|CPIP	LOC119560345|XP_037729669.1|DSUP, LOC119560335|XP_037729655.1|DSUP
OG0000414	LOC120412527|XP_039428958.1|CPIP	LOC119556951|XP_037725378.1|DSUP, LOC119559427|XP_037728451.1|DSUP
OG0000415	LOC120415123|XP_039432478.1|CPIP	LOC119549103|XP_037712766.1|DSUP, LOC119549104|XP_037712769.1|DSUP
OG0000416	LOC120420679|XP_039439741.1|CPIP	LOC119556380|XP_037724480.1|DSUP
OG0000416	LOC120418060|XP_039436250.1|CPIP	LOC119556401|XP_037724505.1|DSUP
OG0000417	LOC120431669|XP_039452720.1|CPIP	LOC119563234|XP_037732467.1|DSUP
OG0000417	LOC120416402|XP_039434086.1|CPIP	LOC119557738|XP_037726555.1|DSUP
OG0000418	LOC120414537|XP_039431681.1|CPIP	LOC119556822|XP_037725201.1|DSUP, LOC119557471|XP_037726167.1|DSUP
OG0000419	LOC120421536|XP_039440691.1|CPIP	LOC119552103|XP_037717816.1|DSUP
OG0000421	LOC120417741|XP_039435836.1|CPIP, LOC120412467|XP_039428877.1|CPIP	LOC119546111|XP_037708126.1|DSUP
OG0000421	LOC120427954|XP_039448841.1|CPIP	LOC119548325|XP_037711434.1|DSUP
OG0000422	LOC120429917|XP_039450945.1|CPIP, LOC120429905|XP_039450932.1|CPIP, LOC120414303|XP_039431376.1|CPIP	LOC119562340|XP_037731434.1|DSUP, LOC119562330|XP_037731416.1|DSUP, LOC119559649|XP_037728624.1|DSUP
OG0000423	LOC120417114|XP_039435031.1|CPIP, LOC120417115|XP_039435032.1|CPIP, LOC120417116|XP_039435033.1|CPIP	LOC119549820|XP_037714026.1|DSUP, LOC119550725|XP_037715551.1|DSUP
OG0000424	LOC120420435|XP_039439392.1|CPIP	LOC119551327|XP_037716549.1|DSUP
OG0000425	LOC120427988|XP_039448878.1|CPIP	LOC119550604|XP_037715347.1|DSUP
OG0000425	LOC120427992|XP_039448884.1|CPIP	LOC119550190|XP_037714659.1|DSUP
OG0000426	LOC120418578|XP_039436957.1|CPIP	LOC119549662|XP_037713794.1|DSUP, LOC119549661|XP_037713793.1|DSUP
OG0000429	LOC120417695|XP_039435769.1|CPIP	LOC119549733|XP_037713903.1|DSUP
OG0000433	LOC120421058|XP_039440137.1|CPIP	LOC119558311|XP_037727641.1|DSUP
OG0000433	LOC120420042|XP_039438878.1|CPIP	LOC119555375|XP_037722646.1|DSUP
OG0000434	LOC120423849|XP_039443732.1|CPIP	LOC119563256|XP_037732498.1|DSUP
OG0000434	LOC120412456|XP_039428864.1|CPIP	LOC119551878|XP_037717401.1|DSUP
OG0000435	LOC120414452|XP_039431574.1|CPIP, LOC120414451|XP_039431573.1|CPIP, LOC120420256|XP_039439186.1|CPIP, LOC120414458|XP_039431578.1|CPIP, LOC120424325|XP_039444355.1|CPIP, LOC120416868|XP_039434698.1|CPIP, LOC120417973|XP_039436146.1|CPIP, LOC120417972|XP_039436145.1|CPIP, LOC120414449|XP_039431572.1|CPIP, LOC120414460|XP_039431582.1|CPIP, LOC120414459|XP_039431580.1|CPIP, LOC120421258|XP_039440388.1|CPIP, LOC120421273|XP_039440402.1|CPIP, LOC120418623|XP_039437000.1|CPIP, LOC120412322|XP_039432290.1|CPIP	LOC119557652|XP_037726434.1|DSUP
OG0000437	LOC120419801|XP_039438570.1|CPIP	LOC119547341|XP_037710081.1|DSUP
OG0000437	LOC120412912|XP_039429481.1|CPIP	LOC119547982|XP_037710966.1|DSUP
OG0000438	LOC120431197|XP_039452273.1|CPIP	LOC119555094|XP_037722239.1|DSUP, LOC119555085|XP_037722229.1|DSUP, LOC119554319|XP_037721112.1|DSUP
OG0000439	LOC120416076|XP_039433680.1|CPIP	LOC119547797|XP_037710741.1|DSUP
OG0000439	LOC120426729|XP_039447436.1|CPIP	LOC119553151|XP_037719299.1|DSUP
OG0000440	LOC120415469|XP_039432963.1|CPIP	LOC119550131|XP_037714555.1|DSUP, LOC119549331|XP_037713239.1|DSUP
OG0000441	LOC120416108|XP_039433725.1|CPIP	LOC119551999|XP_037717651.1|DSUP, LOC119550691|XP_037715484.1|DSUP
OG0000442	LOC120414543|XP_039431694.1|CPIP	LOC119558385|XP_037727840.1|DSUP
OG0000443	LOC120415117|XP_039432468.1|CPIP, LOC120415100|XP_039432452.1|CPIP	LOC119553469|XP_037719800.1|DSUP, LOC119553297|XP_037719542.1|DSUP
OG0000444	LOC120428867|XP_039449928.1|CPIP, LOC120415196|XP_039432588.1|CPIP	LOC119546225|XP_037708292.1|DSUP, LOC119548125|XP_037711150.1|DSUP
OG0000448	LOC120415029|XP_039432328.1|CPIP, LOC120415026|XP_039432325.1|CPIP	LOC119556193|XP_037724070.1|DSUP, LOC119563196|XP_037732411.1|DSUP
OG0000449	LOC120421081|XP_039440162.1|CPIP	LOC119546864|XP_037709396.1|DSUP
OG0000450	LOC120413717|XP_039430573.1|CPIP	LOC119558415|XP_037727876.1|DSUP
OG0000450	LOC120416596|XP_039434341.1|CPIP	LOC119556428|XP_037724576.1|DSUP
OG0000451	LOC120418056|XP_039436242.1|CPIP, LOC120419880|XP_039438678.1|CPIP	LOC119557243|XP_037725855.1|DSUP
OG0000451	LOC120418057|XP_039436244.1|CPIP, LOC120419879|XP_039438677.1|CPIP	LOC119557245|XP_037725859.1|DSUP
OG0000453	LOC120420717|XP_039439749.1|CPIP, LOC120420725|XP_039439756.1|CPIP	LOC119560958|XP_037730634.1|DSUP
OG0000454	LOC120424417|XP_039444462.1|CPIP	LOC119560282|XP_037729581.1|DSUP, LOC119555486|XP_037722824.1|DSUP
OG0000456	LOC120432463|XP_039453619.1|CPIP	LOC119549981|XP_037714352.1|DSUP
OG0000456	LOC120413530|XP_039430338.1|CPIP	LOC119546515|XP_037708769.1|DSUP
OG0000457	LOC120414078|XP_039431034.1|CPIP	LOC119546756|XP_037709215.1|DSUP
OG0000457	LOC120430699|XP_039451741.1|CPIP	LOC119559010|XP_037728078.1|DSUP
OG0000458	LOC120420484|XP_039439460.1|CPIP, LOC120420485|XP_039439461.1|CPIP, LOC120420501|XP_039439488.1|CPIP, LOC120422898|XP_039442391.1|CPIP, LOC120422907|XP_039442406.1|CPIP	LOC119546566|XP_037708867.1|DSUP
OG0000460	LOC120412817|XP_039429355.1|CPIP	LOC119546740|XP_037709167.1|DSUP
OG0000465	LOC120419750|XP_039438500.1|CPIP, LOC120428665|XP_039449647.1|CPIP, LOC120427076|XP_039447848.1|CPIP	LOC119553937|XP_037720558.1|DSUP, LOC119551019|XP_037716006.1|DSUP
OG0000466	LOC120431993|XP_039453062.1|CPIP, LOC120425156|XP_039445519.1|CPIP	LOC119556223|XP_037724135.1|DSUP
OG0000466	LOC120412806|XP_039429340.1|CPIP	LOC119547429|XP_037710216.1|DSUP
OG0000467	LOC120419489|XP_039438111.1|CPIP	LOC119549785|XP_037713975.1|DSUP, LOC119551145|XP_037716264.1|DSUP
OG0000468	LOC120413760|XP_039430632.1|CPIP	LOC119546514|XP_037708773.1|DSUP
OG0000468	LOC120427560|XP_039448371.1|CPIP	LOC119549197|XP_037712954.1|DSUP
OG0000469	LOC120412659|XP_039429152.1|CPIP	LOC119548647|XP_037711978.1|DSUP, LOC119548833|XP_037712378.1|DSUP
