Orthogroup	CPIP.longest_only	DSUZ.longest_only
OG0000391	LOC120422918|XP_039442423.1|CPIP	LOC108018183|XP_016941173.2|DSUZ
OG0000391	LOC120424996|XP_039445300.1|CPIP, LOC120416738|XP_039434503.1|CPIP, LOC120431359|XP_039452421.1|CPIP	LOC108017731|XP_036669963.1|DSUZ
OG0000392	LOC120428941|XP_039450020.1|CPIP, LOC120420899|XP_039439954.1|CPIP	LOC108005147|XP_016923847.2|DSUZ, LOC108009595|XP_016929560.1|DSUZ
OG0000393	LOC120421038|XP_039440110.1|CPIP	LOC108014792|XP_016936477.1|DSUZ
OG0000393	LOC120425239|XP_039445607.1|CPIP	LOC108014867|XP_016936581.1|DSUZ
OG0000394	LOC120414379|XP_039431488.1|CPIP, LOC120416671|XP_039434420.1|CPIP, LOC120416672|XP_039434421.1|CPIP, LOC120416670|XP_039434419.1|CPIP, LOC120414653|XP_039431848.1|CPIP	LOC108004724|XP_016923235.1|DSUZ, LOC108004723|XP_016923233.1|DSUZ
OG0000399	LOC120418112|XP_039436316.1|CPIP	LOC108016136|XP_016938232.2|DSUZ, LOC108008568|XP_016927927.1|DSUZ
OG0000400	LOC120419277|XP_039437877.1|CPIP	LOC108013681|XP_016935089.1|DSUZ, LOC108014268|XP_016935800.2|DSUZ, LOC108013687|XP_016935094.1|DSUZ
OG0000402	LOC120416154|XP_039433766.1|CPIP, LOC120423494|XP_039443268.1|CPIP, LOC120412465|XP_039428874.1|CPIP, LOC120417671|XP_039435738.1|CPIP, LOC120424023|XP_039443978.1|CPIP, LOC120424051|XP_039444009.1|CPIP, LOC120424030|XP_039443989.1|CPIP, LOC120424040|XP_039443999.1|CPIP, LOC120417683|XP_039435752.1|CPIP	LOC108010454|XP_016930809.2|DSUZ
OG0000404	LOC120423304|XP_039443003.1|CPIP, LOC120423298|XP_039442996.1|CPIP, LOC120423297|XP_039442995.1|CPIP, LOC120423303|XP_039443001.1|CPIP, LOC120423296|XP_039442994.1|CPIP, LOC120423305|XP_039443004.1|CPIP, LOC120423306|XP_039443005.1|CPIP	LOC108016451|XP_036675438.1|DSUZ, LOC108018436|XP_036675625.1|DSUZ, LOC108016466|XP_036677671.1|DSUZ
OG0000406	LOC120412614|XP_039429097.1|CPIP, LOC120432595|XP_039453767.1|CPIP	LOC108012463|XP_016933342.1|DSUZ, LOC108008615|XP_016927985.1|DSUZ
OG0000407	LOC120418636|XP_039437019.1|CPIP	LOC108013044|XP_016934143.1|DSUZ
OG0000407	LOC120430781|XP_039451828.1|CPIP	LOC108013043|XP_016934141.1|DSUZ
OG0000408	LOC120421205|XP_039440343.1|CPIP	LOC108018482|XP_016941528.1|DSUZ, LOC108021715|XP_016946040.1|DSUZ
OG0000409	LOC120422968|XP_039442490.1|CPIP	LOC108008656|XP_016928030.1|DSUZ, LOC108010150|XP_016930474.1|DSUZ
OG0000410	LOC120413556|XP_039430370.1|CPIP	LOC108019214|XP_016942502.1|DSUZ, LOC108021733|XP_016946060.1|DSUZ, LOC108008493|XP_016927846.1|DSUZ
OG0000411	LOC120414899|XP_039432164.1|CPIP	LOC108007976|XP_016927240.1|DSUZ
OG0000411	LOC120423399|XP_039443132.1|CPIP	LOC108021717|XP_016946043.1|DSUZ
OG0000412	LOC120426326|XP_039447020.1|CPIP, LOC120426327|XP_039447021.1|CPIP	LOC108012058|XP_016932826.1|DSUZ, LOC108012372|XP_016933216.1|DSUZ
OG0000413	LOC120421219|XP_039440355.1|CPIP	LOC108007054|XP_016926149.2|DSUZ, LOC108016241|XP_036674981.1|DSUZ
OG0000414	LOC120412527|XP_039428958.1|CPIP	LOC108004607|XP_016923036.1|DSUZ, LOC118876758|XP_036669984.1|DSUZ, LOC108010718|XP_016931127.2|DSUZ
OG0000415	LOC120415123|XP_039432478.1|CPIP	LOC108009799|XP_016929952.1|DSUZ, LOC108010054|XP_016930355.1|DSUZ
OG0000416	LOC120420679|XP_039439741.1|CPIP	LOC108016931|XP_016939348.1|DSUZ
OG0000416	LOC120418060|XP_039436250.1|CPIP	LOC108016946|XP_016939368.2|DSUZ
OG0000417	LOC120431669|XP_039452720.1|CPIP	LOC108017293|XP_036673996.1|DSUZ
OG0000417	LOC120416402|XP_039434086.1|CPIP	LOC108017246|XP_016939737.2|DSUZ
OG0000418	LOC120414537|XP_039431681.1|CPIP	LOC108016681|XP_036676753.1|DSUZ, LOC108010424|XP_016930772.1|DSUZ
OG0000419	LOC120421536|XP_039440691.1|CPIP	LOC108017993|XP_016940829.1|DSUZ
OG0000421	LOC120417741|XP_039435836.1|CPIP, LOC120412467|XP_039428877.1|CPIP	LOC108020167|XP_016943760.1|DSUZ
OG0000421	LOC120427954|XP_039448841.1|CPIP	LOC108014991|XP_016936706.1|DSUZ
OG0000422	LOC120429917|XP_039450945.1|CPIP, LOC120429905|XP_039450932.1|CPIP, LOC120414303|XP_039431376.1|CPIP	LOC108019545|XP_016942872.2|DSUZ
OG0000423	LOC120417114|XP_039435031.1|CPIP, LOC120417115|XP_039435032.1|CPIP, LOC120417116|XP_039435033.1|CPIP	LOC108018126|XP_016941056.1|DSUZ, LOC108018203|XP_016941208.1|DSUZ
OG0000424	LOC120420435|XP_039439392.1|CPIP	LOC108018232|XP_016941243.1|DSUZ
OG0000425	LOC120427988|XP_039448878.1|CPIP	LOC108008739|XP_016928125.1|DSUZ
OG0000425	LOC120427992|XP_039448884.1|CPIP	LOC108008648|XP_016928023.1|DSUZ
OG0000426	LOC120418578|XP_039436957.1|CPIP	LOC108009868|XP_016930059.1|DSUZ, LOC108008524|XP_016927883.1|DSUZ, LOC108009867|XP_016930058.1|DSUZ
OG0000429	LOC120417695|XP_039435769.1|CPIP	LOC108008176|XP_036668955.1|DSUZ, LOC108010272|XP_016930622.2|DSUZ
OG0000433	LOC120421058|XP_039440137.1|CPIP	LOC108016799|XP_016939062.1|DSUZ
OG0000433	LOC120420042|XP_039438878.1|CPIP	LOC108011433|XP_036672323.1|DSUZ
OG0000434	LOC120423849|XP_039443732.1|CPIP	LOC108013873|XP_036673401.1|DSUZ
OG0000434	LOC120412456|XP_039428864.1|CPIP	LOC108019832|XP_016943340.1|DSUZ
OG0000435	LOC120414452|XP_039431574.1|CPIP, LOC120414451|XP_039431573.1|CPIP, LOC120420256|XP_039439186.1|CPIP, LOC120414458|XP_039431578.1|CPIP, LOC120424325|XP_039444355.1|CPIP, LOC120416868|XP_039434698.1|CPIP, LOC120417973|XP_039436146.1|CPIP, LOC120417972|XP_039436145.1|CPIP, LOC120414449|XP_039431572.1|CPIP, LOC120414460|XP_039431582.1|CPIP, LOC120414459|XP_039431580.1|CPIP, LOC120421258|XP_039440388.1|CPIP, LOC120421273|XP_039440402.1|CPIP, LOC120418623|XP_039437000.1|CPIP, LOC120412322|XP_039432290.1|CPIP	LOC108015101|XP_016936834.1|DSUZ
OG0000437	LOC120419801|XP_039438570.1|CPIP	LOC108005108|XP_016923774.1|DSUZ
OG0000437	LOC120412912|XP_039429481.1|CPIP	LOC108005847|XP_016924699.1|DSUZ
OG0000438	LOC120431197|XP_039452273.1|CPIP	LOC108010648|XP_036670526.1|DSUZ, LOC118877223|XP_036670529.1|DSUZ, LOC108019453|XP_036675388.1|DSUZ
OG0000439	LOC120416076|XP_039433680.1|CPIP	LOC108018966|XP_036678170.1|DSUZ
OG0000439	LOC120426729|XP_039447436.1|CPIP	LOC108013344|XP_016934639.1|DSUZ
OG0000440	LOC120415469|XP_039432963.1|CPIP	LOC108008672|XP_016928055.1|DSUZ, LOC108019879|XP_016943439.1|DSUZ
OG0000441	LOC120416108|XP_039433725.1|CPIP	LOC108008822|XP_016928217.1|DSUZ, LOC108008775|XP_016928162.1|DSUZ
OG0000443	LOC120415117|XP_039432468.1|CPIP, LOC120415100|XP_039432452.1|CPIP	LOC108013304|XP_016934583.1|DSUZ, LOC108012529|XP_016933432.1|DSUZ
OG0000444	LOC120428867|XP_039449928.1|CPIP, LOC120415196|XP_039432588.1|CPIP	LOC108007875|XP_016927132.1|DSUZ, LOC108007868|XP_016927122.1|DSUZ
OG0000448	LOC120415029|XP_039432328.1|CPIP, LOC120415026|XP_039432325.1|CPIP	LOC108017085|XP_016939533.2|DSUZ, LOC108014083|XP_016935592.2|DSUZ
OG0000449	LOC120421081|XP_039440162.1|CPIP	LOC108021257|XP_016945368.1|DSUZ
OG0000450	LOC120413717|XP_039430573.1|CPIP	LOC108019075|XP_016942217.1|DSUZ
OG0000450	LOC120416596|XP_039434341.1|CPIP	LOC108016894|XP_036676322.1|DSUZ
OG0000451	LOC120418056|XP_039436242.1|CPIP, LOC120419880|XP_039438678.1|CPIP	LOC108016591|XP_016938766.1|DSUZ
OG0000451	LOC120418057|XP_039436244.1|CPIP, LOC120419879|XP_039438677.1|CPIP	LOC108016592|XP_036676188.1|DSUZ
OG0000453	LOC120420717|XP_039439749.1|CPIP, LOC120420725|XP_039439756.1|CPIP	LOC108020851|XP_036672808.1|DSUZ, LOC118877962|XP_036674640.1|DSUZ
OG0000454	LOC120424417|XP_039444462.1|CPIP	LOC108015818|XP_016937871.2|DSUZ, LOC108013082|XP_016934196.1|DSUZ
OG0000456	LOC120432463|XP_039453619.1|CPIP	LOC108020414|XP_016944206.1|DSUZ
OG0000456	LOC120413530|XP_039430338.1|CPIP	LOC108020927|XP_036671536.1|DSUZ
OG0000457	LOC120414078|XP_039431034.1|CPIP	LOC108005323|XP_016924031.1|DSUZ
OG0000457	LOC120430699|XP_039451741.1|CPIP	LOC108019578|XP_016942904.2|DSUZ
OG0000458	LOC120420484|XP_039439460.1|CPIP, LOC120420485|XP_039439461.1|CPIP, LOC120420501|XP_039439488.1|CPIP, LOC120422898|XP_039442391.1|CPIP, LOC120422907|XP_039442406.1|CPIP	LOC108014288|XP_016935825.1|DSUZ
OG0000460	LOC120412817|XP_039429355.1|CPIP	LOC108007890|XP_016927151.1|DSUZ
OG0000465	LOC120419750|XP_039438500.1|CPIP, LOC120428665|XP_039449647.1|CPIP, LOC120427076|XP_039447848.1|CPIP	LOC108011527|XP_036673957.1|DSUZ, LOC108011523|XP_036673955.1|DSUZ
OG0000466	LOC120431993|XP_039453062.1|CPIP, LOC120425156|XP_039445519.1|CPIP	LOC108016918|XP_016939330.1|DSUZ
OG0000466	LOC120412806|XP_039429340.1|CPIP	LOC108013661|XP_016935075.1|DSUZ
OG0000467	LOC120419489|XP_039438111.1|CPIP	LOC108018020|XP_036670100.1|DSUZ, LOC108017712|XP_036669874.1|DSUZ
OG0000468	LOC120413760|XP_039430632.1|CPIP	LOC108010784|XP_016931201.1|DSUZ
OG0000468	LOC120427560|XP_039448371.1|CPIP	LOC108009113|XP_016928673.1|DSUZ
OG0000469	LOC120412659|XP_039429152.1|CPIP	LOC108014119|XP_036668774.1|DSUZ, LOC108014052|XP_016935562.1|DSUZ
OG0000470	LOC120426361|XP_039447055.1|CPIP	LOC108017617|XP_036672103.1|DSUZ, LOC108020082|XP_036677850.1|DSUZ
OG0000470	LOC120424591|XP_039444688.1|CPIP	LOC108013619|XP_036671664.1|DSUZ
OG0000471	LOC120414579|XP_039431749.1|CPIP	LOC108012591|XP_016933499.1|DSUZ, LOC108013162|XP_016934348.1|DSUZ, LOC108009126|XP_016928709.1|DSUZ
OG0000472	LOC120418064|XP_039436256.1|CPIP	LOC108004665|XP_016923135.1|DSUZ
OG0000473	LOC120422534|XP_039441930.1|CPIP	LOC108014968|XP_016936678.2|DSUZ, LOC108016544|XP_036676746.1|DSUZ
OG0000474	LOC120430806|XP_039451890.1|CPIP	LOC108005377|XP_016924125.1|DSUZ, LOC108015900|XP_036671476.1|DSUZ
OG0000475	LOC120424232|XP_039444225.1|CPIP	LOC108020525|XP_036672950.1|DSUZ, LOC118877864|XP_036674078.1|DSUZ, LOC118877773|XP_036673696.1|DSUZ, LOC108020495|XP_016944315.2|DSUZ
OG0000476	LOC120428008|XP_039448912.1|CPIP	LOC108016105|XP_036673125.1|DSUZ, LOC108016110|XP_016938200.1|DSUZ, LOC108016111|XP_016938201.1|DSUZ
OG0000477	LOC120423579|XP_039443373.1|CPIP	LOC108014382|XP_016935973.2|DSUZ, LOC108006246|XP_036673189.1|DSUZ
OG0000478	LOC120429962|XP_039450993.1|CPIP, LOC120429967|XP_039451000.1|CPIP, LOC120429975|XP_039451005.1|CPIP, LOC120425699|XP_039446221.1|CPIP	LOC108004597|XP_016923025.2|DSUZ, LOC108014075|XP_016935585.1|DSUZ
OG0000479	LOC120414477|XP_039431605.1|CPIP, LOC120414434|XP_039431553.1|CPIP, LOC120414435|XP_039431554.1|CPIP	LOC108006976|XP_016926072.2|DSUZ, LOC118877645|XP_036673110.1|DSUZ
OG0000480	LOC120422963|XP_039442489.1|CPIP	LOC108016562|XP_016938727.1|DSUZ, LOC108016583|XP_016938760.1|DSUZ
OG0000481	LOC120422489|XP_039441880.1|CPIP, LOC120415357|XP_039432780.1|CPIP	LOC118878841|XP_036677762.1|DSUZ, LOC118879406|XP_036678164.1|DSUZ, LOC118877083|XP_036669891.1|DSUZ, LOC118879541|XP_036678291.1|DSUZ, LOC118879540|XP_036678288.1|DSUZ, LOC118878558|XP_036677470.1|DSUZ, LOC118878041|XP_036675073.1|DSUZ, LOC118879744|XP_036678563.1|DSUZ, LOC118877999|XP_036674897.1|DSUZ, LOC118878719|XP_036677633.1|DSUZ, LOC118878026|XP_036675044.1|DSUZ, LOC118879397|XP_036678159.1|DSUZ, LOC118879547|XP_036678317.1|DSUZ, LOC118878056|XP_036675132.1|DSUZ, LOC108012091|XP_036674635.1|DSUZ, LOC118878555|XP_036677463.1|DSUZ, LOC108005988|XP_036675148.1|DSUZ, LOC118876798|XP_036668601.1|DSUZ, LOC118878237|XP_036675982.1|DSUZ, LOC118876828|XP_036668785.1|DSUZ, LOC118877715|XP_036673500.1|DSUZ, LOC118878239|XP_036675986.1|DSUZ, LOC108004840|XP_036675938.1|DSUZ
OG0000482	LOC120424395|XP_039444427.1|CPIP, LOC120424394|XP_039444426.1|CPIP	LOC108015957|XP_016938028.2|DSUZ
OG0000483	LOC120425946|XP_039446517.1|CPIP, LOC120425945|XP_039446515.1|CPIP, LOC120425947|XP_039446518.1|CPIP	LOC108005709|XP_016924526.2|DSUZ, LOC108005710|XP_016924527.2|DSUZ
OG0000484	LOC120421837|XP_039441054.1|CPIP, LOC120421845|XP_039441068.1|CPIP	LOC108017569|XP_016940145.2|DSUZ, LOC108017567|XP_016940142.1|DSUZ
OG0000485	LOC120416669|XP_039434418.1|CPIP	LOC118877427|XP_036672099.1|DSUZ, LOC108012216|XP_036672092.1|DSUZ
OG0000486	LOC120419307|XP_039437909.1|CPIP	LOC108009654|XP_016929661.1|DSUZ, LOC108009652|XP_016929658.1|DSUZ
OG0000489	LOC120418130|XP_039436342.1|CPIP, LOC120418126|XP_039436337.1|CPIP	LOC108010818|XP_016931254.2|DSUZ, LOC108021797|XP_016946089.1|DSUZ
OG0000490	LOC120414538|XP_039431683.1|CPIP	LOC108018890|XP_036675837.1|DSUZ
OG0000490	LOC120420403|XP_039439346.1|CPIP	LOC108011228|XP_016931816.1|DSUZ
OG0000491	LOC120430223|XP_039451236.1|CPIP	LOC108009360|XP_016929150.1|DSUZ, LOC108009361|XP_016929151.1|DSUZ, LOC108009359|XP_016929149.1|DSUZ
OG0000492	LOC120412808|XP_039429343.1|CPIP	LOC108011906|XP_016932648.1|DSUZ
OG0000493	LOC120420047|XP_039438888.1|CPIP	LOC108014841|XP_016936538.2|DSUZ, LOC108014842|XP_036673575.1|DSUZ
OG0000496	LOC120417351|XP_039435289.1|CPIP	LOC108021138|XP_016945185.1|DSUZ
OG0000496	LOC120418242|XP_039436492.1|CPIP	LOC108011947|XP_016932688.1|DSUZ
OG0000497	LOC120429075|XP_039450164.1|CPIP	LOC108007523|XP_016926701.1|DSUZ, LOC108021185|XP_016945258.1|DSUZ
OG0000498	LOC120425951|XP_039446523.1|CPIP	LOC108005704|XP_036673202.1|DSUZ, LOC108020620|XP_036673411.1|DSUZ
OG0000499	LOC120429629|XP_039450596.1|CPIP, LOC120426655|XP_039447382.1|CPIP	LOC108017809|XP_016940446.1|DSUZ
OG0000499	LOC120427332|XP_039448115.1|CPIP	LOC108016836|XP_016939147.1|DSUZ
OG0000500	LOC120423742|XP_039443588.1|CPIP, LOC120425271|XP_039445651.1|CPIP	LOC108007747|XP_036672076.1|DSUZ, LOC108007757|XP_016927000.2|DSUZ
OG0000504	LOC120420034|XP_039438869.1|CPIP, LOC120420053|XP_039438899.1|CPIP, LOC120420033|XP_039438868.1|CPIP, LOC120420050|XP_039438896.1|CPIP, LOC120420032|XP_039438867.1|CPIP	LOC108006687|XP_016925714.2|DSUZ
OG0000505	LOC120420407|XP_039439358.1|CPIP, LOC120430294|XP_039451324.1|CPIP	LOC108018884|XP_036675752.1|DSUZ, LOC108019217|XP_016942501.1|DSUZ
OG0000506	LOC120415717|XP_039433250.1|CPIP, LOC120415729|XP_039433260.1|CPIP, LOC120426164|XP_039446822.1|CPIP, LOC120425474|XP_039445947.1|CPIP, LOC120423334|XP_039443038.1|CPIP	LOC108005036|XP_036673419.1|DSUZ, LOC108005035|XP_016923661.2|DSUZ
OG0000507	LOC120416489|XP_039434142.1|CPIP	LOC108004663|XP_016923128.1|DSUZ
OG0000507	LOC120431083|XP_039452173.1|CPIP	LOC108004664|XP_016923129.1|DSUZ
OG0000508	LOC120422027|XP_039441285.1|CPIP	LOC108012744|XP_016933667.2|DSUZ, LOC108013204|XP_016934403.1|DSUZ
OG0000509	LOC120412892|XP_039429456.1|CPIP	LOC108009916|XP_016930130.1|DSUZ
OG0000510	LOC120430997|XP_039452090.1|CPIP	LOC108010013|XP_016930294.2|DSUZ, LOC108010012|XP_016930293.2|DSUZ, LOC108010011|XP_016930292.1|DSUZ
OG0000511	LOC120424968|XP_039445259.1|CPIP, LOC120424959|XP_039445246.1|CPIP	LOC108004657|XP_016923106.1|DSUZ, LOC108021478|XP_016945709.1|DSUZ
OG0000512	LOC120424352|XP_039444380.1|CPIP, LOC120424370|XP_039444400.1|CPIP	LOC108016168|XP_016938282.1|DSUZ, LOC108010686|XP_016931084.2|DSUZ
OG0000513	LOC120415521|XP_039433012.1|CPIP	LOC108018186|XP_016941179.1|DSUZ, LOC108021195|XP_016945274.1|DSUZ
OG0000514	LOC120427085|XP_039447860.1|CPIP	LOC108014280|XP_016935813.1|DSUZ, LOC108014302|XP_016935858.1|DSUZ
OG0000515	LOC120418437|XP_039436779.1|CPIP	LOC108020422|XP_016944219.1|DSUZ, LOC108014633|XP_036672114.1|DSUZ
OG0000516	LOC120425668|XP_039446186.1|CPIP, LOC120425662|XP_039446176.1|CPIP, LOC120425669|XP_039446187.1|CPIP	LOC108005280|XP_016923959.1|DSUZ, LOC108005288|XP_016923973.1|DSUZ
OG0000517	LOC120415407|XP_039432869.1|CPIP, LOC120415408|XP_039432870.1|CPIP	LOC118877282|XP_036671111.1|DSUZ, LOC108013769|XP_036671112.1|DSUZ
OG0000521	LOC120415088|XP_039432438.1|CPIP	LOC108004832|XP_016923397.2|DSUZ, LOC108004831|XP_036676028.1|DSUZ
OG0000522	LOC120431780|XP_039452835.1|CPIP, LOC120414515|XP_039431656.1|CPIP	LOC108011282|XP_016931877.2|DSUZ, LOC108006311|XP_036676167.1|DSUZ
OG0000523	LOC120414519|XP_039431662.1|CPIP	LOC108015167|XP_016936933.1|DSUZ
OG0000524	LOC120428395|XP_039449339.1|CPIP	LOC108005987|XP_016924916.2|DSUZ, LOC118877643|XP_036673089.1|DSUZ, LOC108020562|XP_036673033.1|DSUZ
OG0000525	LOC120430954|XP_039452016.1|CPIP, LOC120430952|XP_039452011.1|CPIP	LOC108009363|XP_016929153.1|DSUZ, LOC108009362|XP_016929152.1|DSUZ
OG0000526	LOC120422198|XP_039441514.1|CPIP	LOC108009284|XP_016929006.1|DSUZ, LOC108018138|XP_016941084.1|DSUZ
OG0000527	LOC120415668|XP_039433183.1|CPIP	LOC108021217|XP_036668816.1|DSUZ, LOC108021083|XP_016945090.1|DSUZ
OG0000528	LOC120413594|XP_039430436.1|CPIP, LOC120418630|XP_039437007.1|CPIP, LOC120418634|XP_039437013.1|CPIP, LOC120418635|XP_039437015.1|CPIP, LOC120418638|XP_039437017.1|CPIP	LOC108019656|XP_016943037.1|DSUZ
OG0000529	LOC120420612|XP_039439623.1|CPIP	LOC108009810|XP_016929980.1|DSUZ, LOC108014970|XP_016936683.1|DSUZ
OG0000530	LOC120420815|XP_039439870.1|CPIP	LOC108018736|XP_016941799.2|DSUZ, LOC108012589|XP_016933496.1|DSUZ
OG0000531	LOC120418596|XP_039436976.1|CPIP	LOC118878486|XP_036677385.1|DSUZ, LOC108005650|XP_036677398.1|DSUZ, LOC108019142|XP_016942383.1|DSUZ
OG0000532	LOC120415086|XP_039432439.1|CPIP	LOC118877580|XP_036672733.1|DSUZ, LOC108014326|XP_016935889.1|DSUZ, LOC108018295|XP_016941310.2|DSUZ
OG0000533	LOC120427980|XP_039448871.1|CPIP	LOC108015350|XP_016937250.1|DSUZ
OG0000533	LOC120423795|XP_039443648.1|CPIP	LOC108007862|XP_016927115.2|DSUZ, LOC108007957|XP_016927216.1|DSUZ
OG0000535	LOC120419938|XP_039438736.1|CPIP	LOC108009646|XP_016929639.1|DSUZ, LOC108019892|XP_016943460.1|DSUZ
OG0000536	LOC120420853|XP_039439905.1|CPIP, LOC120429579|XP_039450557.1|CPIP, LOC120429576|XP_039450554.1|CPIP	LOC108013610|XP_036671670.1|DSUZ
OG0000537	LOC120412729|XP_039429253.1|CPIP	LOC108017788|XP_016940419.1|DSUZ
OG0000538	LOC120415393|XP_039432853.1|CPIP	LOC108009193|XP_016928834.1|DSUZ, LOC108018106|XP_016941009.1|DSUZ
OG0000539	LOC120423804|XP_039443655.1|CPIP	LOC108016309|XP_016938432.1|DSUZ, LOC108014057|XP_016935564.1|DSUZ
OG0000542	LOC120415062|XP_039432384.1|CPIP	LOC108015729|XP_036674607.1|DSUZ, LOC108020426|XP_016944227.1|DSUZ
OG0000543	LOC120414176|XP_039431183.1|CPIP, LOC120414177|XP_039431184.1|CPIP	LOC108007777|XP_016927022.2|DSUZ, LOC108019564|XP_016942891.1|DSUZ
OG0000544	LOC120413340|XP_039430050.1|CPIP	LOC108013470|XP_016934841.1|DSUZ, LOC108011785|XP_016932511.1|DSUZ
OG0000545	LOC120432499|XP_039453646.1|CPIP, LOC120430290|XP_039451318.1|CPIP	LOC108020783|XP_016944650.2|DSUZ, LOC108020785|XP_036674579.1|DSUZ
OG0000546	LOC120425411|XP_039445875.1|CPIP	LOC108007653|XP_016926865.2|DSUZ, LOC108006568|XP_016925592.1|DSUZ
OG0000547	LOC120429775|XP_039450766.1|CPIP	LOC108004754|XP_016923280.1|DSUZ, LOC108019357|XP_016942667.1|DSUZ, LOC108010540|XP_016930908.2|DSUZ
OG0000548	LOC120420653|XP_039439671.1|CPIP	LOC108013099|XP_016934234.1|DSUZ, LOC108013301|XP_016934581.1|DSUZ
OG0000549	LOC120429126|XP_039450252.1|CPIP, LOC120429130|XP_039450259.1|CPIP, LOC120429127|XP_039450254.1|CPIP	LOC108010152|XP_016930476.1|DSUZ
OG0000550	LOC120430650|XP_039451689.1|CPIP, LOC120425137|XP_039445498.1|CPIP	LOC108013050|XP_016934149.1|DSUZ, LOC108012932|XP_016933956.1|DSUZ
OG0000552	LOC120430491|XP_039451519.1|CPIP, LOC120417370|XP_039435317.1|CPIP	LOC108016487|XP_016938643.2|DSUZ, LOC108016486|XP_036675629.1|DSUZ
OG0000553	LOC120428198|XP_039449114.1|CPIP, LOC120428547|XP_039449516.1|CPIP, LOC120428493|XP_039449443.1|CPIP	LOC108021070|XP_016945071.1|DSUZ
OG0000554	LOC120420637|XP_039439649.1|CPIP	LOC118877964|XP_036674650.1|DSUZ, LOC108007839|XP_036674679.1|DSUZ
OG0000555	LOC120415906|XP_039433483.1|CPIP	LOC108012627|XP_016933538.1|DSUZ, LOC108007179|XP_016926300.1|DSUZ
OG0000556	LOC120417500|XP_039435511.1|CPIP	LOC108005241|XP_016923923.1|DSUZ, LOC108014553|XP_016936186.1|DSUZ
OG0000557	LOC120413021|XP_039429623.1|CPIP	LOC108019244|XP_016942529.2|DSUZ, LOC108019281|XP_016942584.2|DSUZ
OG0000558	LOC120427435|XP_039448225.1|CPIP	LOC108014558|XP_016936194.1|DSUZ, LOC108004619|XP_016923048.1|DSUZ
OG0000559	LOC120426477|XP_039447174.1|CPIP	LOC108006792|XP_036675688.1|DSUZ, LOC108006769|XP_036674765.1|DSUZ, LOC108008001|XP_016927270.2|DSUZ
OG0000560	LOC120420416|XP_039439369.1|CPIP	LOC108018218|XP_016941226.1|DSUZ, LOC108018217|XP_016941225.1|DSUZ
OG0000561	LOC120429693|XP_039450666.1|CPIP	LOC108013627|XP_016935060.1|DSUZ, LOC108012283|XP_036671710.1|DSUZ
OG0000562	LOC120420548|XP_039439551.1|CPIP	LOC108017382|XP_036670681.1|DSUZ, LOC108015911|XP_016937972.1|DSUZ
OG0000566	LOC120415037|XP_039432342.1|CPIP	LOC108019989|XP_036673858.1|DSUZ, LOC108019988|XP_036677534.1|DSUZ, LOC108013263|XP_016934511.1|DSUZ
OG0000567	LOC120432277|XP_039453398.1|CPIP	LOC108011118|XP_016931679.1|DSUZ
OG0000567	LOC120432280|XP_039453400.1|CPIP	LOC108011116|XP_016931676.1|DSUZ
OG0000568	LOC120430557|XP_039451606.1|CPIP, LOC120416898|XP_039434730.1|CPIP	LOC108019001|XP_016942104.1|DSUZ, LOC108011600|XP_016932258.2|DSUZ
OG0000569	LOC120428788|XP_039449810.1|CPIP	LOC108017047|XP_016939493.2|DSUZ
OG0000570	LOC120418345|XP_039436631.1|CPIP	LOC108020633|XP_016944474.1|DSUZ, LOC108020629|XP_016944470.2|DSUZ
OG0000571	LOC120422115|XP_039441417.1|CPIP	LOC108014798|XP_036673543.1|DSUZ, LOC108014799|XP_036673519.1|DSUZ, LOC118878705|XP_036677613.1|DSUZ
OG0000572	LOC120417835|XP_039435984.1|CPIP	LOC108005692|XP_036673926.1|DSUZ, LOC108005702|XP_016924518.1|DSUZ
OG0000573	LOC120416539|XP_039434194.1|CPIP	LOC108013380|XP_016934693.1|DSUZ, LOC108009661|XP_016929672.1|DSUZ
OG0000574	LOC120413383|XP_039430115.1|CPIP	LOC108006668|XP_036671918.1|DSUZ, LOC108005059|XP_016923687.2|DSUZ, LOC118877675|XP_036673252.1|DSUZ
OG0000575	LOC120426920|XP_039447658.1|CPIP	LOC108007272|XP_036671843.1|DSUZ, LOC108007279|XP_036671959.1|DSUZ
OG0000576	LOC120432079|XP_039453146.1|CPIP, LOC120418632|XP_039437011.1|CPIP	LOC108017112|XP_016939561.2|DSUZ, LOC108017098|XP_036675117.1|DSUZ
OG0000577	LOC120412653|XP_039429141.1|CPIP	LOC108016302|XP_016938428.1|DSUZ
OG0000578	LOC120420633|XP_039439643.1|CPIP	LOC108020947|XP_016944875.1|DSUZ, LOC108008448|XP_016927789.1|DSUZ
OG0000579	LOC120429903|XP_039450930.1|CPIP	LOC108017214|XP_016938011.2|DSUZ, LOC108006714|XP_016925745.1|DSUZ
OG0000580	LOC120413757|XP_039430626.1|CPIP	LOC108012120|XP_036674774.1|DSUZ, LOC108012121|XP_016932896.2|DSUZ
OG0000581	LOC120413933|XP_039430859.1|CPIP	LOC108018390|XP_036672534.1|DSUZ
OG0000582	LOC120424290|XP_039444311.1|CPIP	LOC108014224|XP_016935746.2|DSUZ, LOC108009763|XP_016929875.1|DSUZ
OG0000583	LOC120416812|XP_039434621.1|CPIP	LOC108008792|XP_016928178.1|DSUZ, LOC108009036|XP_016928499.1|DSUZ
