Orthogroup	CPIP.longest_only	DMIR.longest_only
OG0001105	LOC120432555|XP_039453718.1|CPIP	LOC108155303|XP_017141510.1|DMIR
OG0001106	LOC120431888|XP_039452951.1|CPIP, LOC120422223|XP_039441542.1|CPIP	LOC108164406|XP_033250268.1|DMIR
OG0001107	LOC120418615|XP_039436994.1|CPIP	LOC117191086|XP_033251940.1|DMIR, LOC117192489|XP_033253083.1|DMIR, LOC117190266|XP_033251214.1|DMIR, LOC117189778|XP_033250738.1|DMIR, LOC117187883|XP_033246694.1|DMIR, LOC117190674|XP_033251633.1|DMIR, LOC117186406|XP_033243052.1|DMIR, LOC117191592|XP_033252306.1|DMIR, LOC117190934|XP_033251824.1|DMIR
OG0001118	LOC120413330|XP_039430037.1|CPIP	LOC117186194|XP_033242377.1|DMIR
OG0001119	LOC120420344|XP_039439272.1|CPIP, LOC120424039|XP_039443997.1|CPIP	LOC108157273|XP_017144754.1|DMIR
OG0001120	LOC120423577|XP_039443370.1|CPIP, LOC120425386|XP_039445836.1|CPIP	LOC108154191|XP_017139892.1|DMIR
OG0001121	LOC120425861|XP_039446420.1|CPIP	LOC108159560|XP_017148477.2|DMIR
OG0001121	LOC120425839|XP_039446395.1|CPIP, LOC120417386|XP_039435339.1|CPIP	LOC117190088|XP_033251061.1|DMIR
OG0001122	LOC120412874|XP_039429439.1|CPIP	LOC108153592|XP_017139162.1|DMIR
OG0001124	LOC120425352|XP_039445788.1|CPIP, LOC120429621|XP_039450585.1|CPIP	LOC108156495|XP_017143476.1|DMIR
OG0001125	LOC120413485|XP_039430269.1|CPIP, LOC120413467|XP_039430239.1|CPIP, LOC120413468|XP_039430240.1|CPIP	LOC108157632|XP_017145261.1|DMIR
OG0001127	LOC120415811|XP_039433372.1|CPIP, LOC120429657|XP_039450624.1|CPIP	LOC108151020|XP_017134868.1|DMIR
OG0001128	LOC120429702|XP_039450671.1|CPIP, LOC120427739|XP_039448579.1|CPIP, LOC120430786|XP_039451833.1|CPIP	LOC108160905|XP_017150667.1|DMIR, LOC117191428|XP_033252189.1|DMIR
OG0001129	LOC120422189|XP_039441499.1|CPIP	LOC108163115|XP_017153705.1|DMIR
OG0001130	LOC120424895|XP_039445117.1|CPIP	LOC108162050|XP_017152072.1|DMIR, LOC117189233|XP_033250255.1|DMIR
OG0001131	LOC120419785|XP_039438552.1|CPIP, LOC120429031|XP_039450101.1|CPIP, LOC120419786|XP_039438553.1|CPIP	LOC108164409|XP_017155564.1|DMIR
OG0001133	LOC120416081|XP_039433692.1|CPIP	LOC108162431|XP_017152655.2|DMIR
OG0001134	LOC120419185|XP_039437793.1|CPIP, LOC120421259|XP_039440389.1|CPIP, LOC120420150|XP_039439048.1|CPIP, LOC120415343|XP_039432765.1|CPIP, LOC120417188|XP_039435089.1|CPIP	LOC108159571|XP_017148502.1|DMIR
OG0001135	LOC120414352|XP_039431447.1|CPIP, LOC120422246|XP_039441573.1|CPIP	LOC108156925|XP_017144166.1|DMIR
OG0001136	LOC120417494|XP_039435503.1|CPIP	LOC108154994|XP_017141026.1|DMIR
OG0001137	LOC120418769|XP_039437179.1|CPIP	LOC108155810|XP_033245499.1|DMIR
OG0001138	LOC120421356|XP_039440478.1|CPIP, LOC120432104|XP_039453171.1|CPIP, LOC120429313|XP_039450469.1|CPIP	LOC108152223|XP_017136894.1|DMIR, LOC117189262|XP_033250330.1|DMIR, LOC117194543|XP_033254983.1|DMIR, LOC117195187|XP_033255719.1|DMIR, LOC117194366|XP_033254829.1|DMIR, LOC117186190|XP_033242374.1|DMIR, LOC117194520|XP_033254961.1|DMIR, LOC117189334|XP_033250369.1|DMIR, LOC117194867|XP_033255223.1|DMIR, LOC117195188|XP_033255720.1|DMIR, LOC108153473|XP_017138994.2|DMIR
OG0001139	LOC120415108|XP_039432461.1|CPIP	LOC117186106|XP_033242092.1|DMIR, LOC117195283|XP_033255786.1|DMIR, LOC117186485|XP_033243255.1|DMIR, LOC108164710|XP_033242804.1|DMIR, LOC117195275|XP_033255779.1|DMIR, LOC117186169|XP_033242298.1|DMIR, LOC117195277|XP_033255781.1|DMIR, LOC117186490|XP_033243260.1|DMIR, LOC117186105|XP_033242091.1|DMIR
OG0001153	LOC120420201|XP_039439120.1|CPIP	LOC117190686|XP_033251638.1|DMIR, LOC108160250|XP_017149601.1|DMIR
OG0001154	LOC120419964|XP_039438772.1|CPIP, LOC120432189|XP_039453265.1|CPIP	LOC108163388|XP_017154132.1|DMIR
OG0001155	LOC120430949|XP_039452010.1|CPIP	LOC108162857|XP_017153295.1|DMIR
OG0001157	LOC120424145|XP_039444120.1|CPIP	LOC108156800|XP_017143970.1|DMIR
OG0001158	LOC120423984|XP_039443915.1|CPIP	LOC108161836|XP_017151684.1|DMIR
OG0001159	LOC120432503|XP_039453649.1|CPIP	LOC108155766|XP_017142301.1|DMIR
OG0001160	LOC120430694|XP_039451737.1|CPIP, LOC120427184|XP_039447982.1|CPIP	LOC108154723|XP_017140574.1|DMIR
OG0001162	LOC120424769|XP_039444908.1|CPIP, LOC120431325|XP_039452391.1|CPIP, LOC120425407|XP_039445871.1|CPIP	LOC108154099|XP_017139709.1|DMIR, LOC108157826|XP_017145515.1|DMIR
OG0001163	LOC120422549|XP_039441951.1|CPIP	LOC108155132|XP_017141268.1|DMIR
OG0001164	LOC120428014|XP_039448919.1|CPIP, LOC120428005|XP_039448908.1|CPIP	LOC108154435|XP_017140194.2|DMIR, LOC108154532|XP_017140325.1|DMIR
OG0001167	LOC120426173|XP_039446825.1|CPIP	LOC117189416|XP_033250433.1|DMIR, LOC117191937|XP_033252575.1|DMIR, LOC117191926|XP_033252562.1|DMIR, LOC117191454|XP_033252207.1|DMIR, LOC117191927|XP_033252563.1|DMIR, LOC117191453|XP_033252206.1|DMIR, LOC117191455|XP_033252208.1|DMIR, LOC108158251|XP_017145975.1|DMIR, LOC117191452|XP_033252205.1|DMIR
OG0001169	LOC120413210|XP_039429863.1|CPIP, LOC120413209|XP_039429861.1|CPIP, LOC120428119|XP_039449038.1|CPIP	LOC108164973|XP_017156477.1|DMIR
OG0001170	LOC120414137|XP_039431105.1|CPIP	LOC108155887|XP_017142516.1|DMIR
OG0001171	LOC120414141|XP_039431114.1|CPIP, LOC120414113|XP_039431074.1|CPIP	LOC108152288|XP_017136995.1|DMIR
OG0001172	LOC120422279|XP_039441597.1|CPIP	LOC108160323|XP_017149738.1|DMIR, LOC117193546|XP_033254182.1|DMIR
OG0001173	LOC120424131|XP_039444104.1|CPIP, LOC120424129|XP_039444102.1|CPIP, LOC120415745|XP_039433285.1|CPIP, LOC120424132|XP_039444106.1|CPIP, LOC120415300|XP_039432705.1|CPIP, LOC120415341|XP_039432764.1|CPIP	LOC108154895|XP_033245245.1|DMIR
OG0001174	LOC120418803|XP_039437221.1|CPIP	LOC108165485|XP_017157027.1|DMIR
OG0001176	LOC120414663|XP_039431867.1|CPIP	LOC108157221|XP_017144667.1|DMIR, LOC108159217|XP_017147801.1|DMIR
OG0001177	LOC120419053|XP_039437553.1|CPIP	LOC108162807|XP_033248563.1|DMIR
OG0001178	LOC120416798|XP_039434608.1|CPIP	LOC108159963|XP_017149130.2|DMIR, LOC117187994|XP_033246969.1|DMIR
OG0001179	LOC120415576|XP_039433089.1|CPIP	LOC108160734|XP_017150410.2|DMIR, LOC117185736|XP_033247252.1|DMIR
OG0001180	LOC120427095|XP_039447881.1|CPIP	LOC108164427|XP_017155596.1|DMIR
OG0001181	LOC120423217|XP_039442860.1|CPIP	LOC108162168|XP_017152250.1|DMIR, LOC108162167|XP_017152249.1|DMIR, LOC108151409|XP_017135485.1|DMIR
OG0001182	LOC120417657|XP_039435713.1|CPIP, LOC120417666|XP_039435721.1|CPIP	LOC108157213|XP_033243433.1|DMIR, LOC117187217|XP_033245309.1|DMIR
OG0001183	LOC120416960|XP_039434805.1|CPIP	LOC108156255|XP_033244626.1|DMIR
OG0001185	LOC120423279|XP_039442953.1|CPIP	LOC108155320|XP_017141530.1|DMIR
OG0001186	LOC120416650|XP_039434393.1|CPIP	LOC108161562|XP_017151336.1|DMIR, LOC108154853|XP_017140763.1|DMIR
OG0001187	LOC120417575|XP_039435620.1|CPIP, LOC120417596|XP_039435643.1|CPIP	LOC108159946|XP_017149092.2|DMIR, LOC117185744|XP_033246895.1|DMIR
OG0001188	LOC120424646|XP_039444753.1|CPIP, LOC120425447|XP_039445916.1|CPIP	LOC117185723|XP_033250824.1|DMIR, LOC108159485|XP_017148305.1|DMIR
OG0001189	LOC120416208|XP_039433833.1|CPIP, LOC120421579|XP_039440745.1|CPIP	LOC108158609|XP_017146572.1|DMIR, LOC117193325|XP_033253944.1|DMIR
OG0001190	LOC120421476|XP_039440627.1|CPIP, LOC120421479|XP_039440630.1|CPIP	LOC108165140|XP_017156694.1|DMIR
OG0001191	LOC120423257|XP_039442920.1|CPIP, LOC120423245|XP_039442896.1|CPIP	LOC108163235|XP_017153882.1|DMIR
OG0001192	LOC120427744|XP_039448583.1|CPIP	LOC108163206|XP_017153847.1|DMIR, LOC108164197|XP_017155309.1|DMIR
OG0001193	LOC120429883|XP_039450897.1|CPIP, LOC120432494|XP_039453642.1|CPIP, LOC120432117|XP_039453186.1|CPIP, LOC120412329|XP_039428664.1|CPIP	LOC108155671|XP_017142123.1|DMIR
OG0001194	LOC120416843|XP_039434665.1|CPIP	LOC117187789|XP_033246529.1|DMIR, LOC117187786|XP_033246522.1|DMIR, LOC117187794|XP_033246536.1|DMIR, LOC117187801|XP_033246545.1|DMIR, LOC108164604|XP_017155932.2|DMIR, LOC117188817|XP_033249134.1|DMIR, LOC108164080|XP_033249177.1|DMIR
OG0001195	LOC120418583|XP_039436964.1|CPIP	LOC108158185|XP_017145892.1|DMIR
OG0001201	LOC120414220|XP_039431262.1|CPIP, LOC120424752|XP_039444879.1|CPIP	LOC108157227|XP_017144673.1|DMIR
OG0001202	LOC120432258|XP_039453373.1|CPIP, LOC120432229|XP_039453340.1|CPIP, LOC120432251|XP_039453359.1|CPIP	LOC108160362|XP_017149833.1|DMIR
OG0001203	LOC120413295|XP_039429987.1|CPIP	LOC108164475|XP_017155716.1|DMIR
OG0001204	LOC120414306|XP_039431381.1|CPIP, LOC120431630|XP_039452673.1|CPIP, LOC120416723|XP_039434484.1|CPIP, LOC120419358|XP_039437962.1|CPIP, LOC120431542|XP_039452584.1|CPIP, LOC120414694|XP_039431918.1|CPIP, LOC120412414|XP_039428811.1|CPIP, LOC120416024|XP_039433620.1|CPIP	LOC108163159|XP_017153768.2|DMIR
OG0001205	LOC120429512|XP_039450516.1|CPIP, LOC120431269|XP_039452337.1|CPIP, LOC120429510|XP_039450513.1|CPIP	LOC108155961|XP_017142623.1|DMIR
OG0001206	LOC120432275|XP_039453392.1|CPIP	LOC108155914|XP_017142549.1|DMIR
OG0001207	LOC120422052|XP_039441319.1|CPIP	LOC108157711|XP_017145371.2|DMIR, LOC108153694|XP_017139312.1|DMIR
OG0001208	LOC120424548|XP_039444645.1|CPIP	LOC108164581|XP_017155898.1|DMIR
OG0001209	LOC120428053|XP_039448988.1|CPIP, LOC120424496|XP_039444616.1|CPIP	LOC108154331|XP_017140082.1|DMIR
OG0001210	LOC120419105|XP_039437659.1|CPIP, LOC120416387|XP_039434100.1|CPIP, LOC120414618|XP_039431815.1|CPIP	LOC108162800|XP_017153196.1|DMIR
OG0001211	LOC120421097|XP_039440174.1|CPIP, LOC120418759|XP_039437170.1|CPIP	LOC108156084|XP_017142861.1|DMIR
OG0001212	LOC120416356|XP_039434027.1|CPIP, LOC120419697|XP_039438418.1|CPIP, LOC120419684|XP_039438405.1|CPIP, LOC120419698|XP_039438419.1|CPIP	LOC108164733|XP_017156114.1|DMIR
OG0001213	LOC120429287|XP_039450448.1|CPIP, LOC120425721|XP_039446260.1|CPIP	LOC108164816|XP_017156226.1|DMIR
OG0001214	LOC120431086|XP_039452176.1|CPIP, LOC120430926|XP_039451981.1|CPIP	LOC117194051|XP_033254584.1|DMIR, LOC108160075|XP_017149322.1|DMIR, LOC117186628|XP_033243530.1|DMIR, LOC108152015|XP_033243531.1|DMIR
OG0001215	LOC120424669|XP_039444778.1|CPIP, LOC120424614|XP_039444709.1|CPIP, LOC120424675|XP_039444782.1|CPIP, LOC120424616|XP_039444712.1|CPIP	LOC108157521|XP_017145113.1|DMIR
OG0001216	LOC120424679|XP_039444789.1|CPIP, LOC120424629|XP_039444729.1|CPIP, LOC120424633|XP_039444733.1|CPIP, LOC120424686|XP_039444796.1|CPIP	LOC108156383|XP_017143288.1|DMIR
OG0001217	LOC120423813|XP_039443667.1|CPIP	LOC108161214|XP_033248812.1|DMIR
OG0001218	LOC120422590|XP_039442016.1|CPIP	LOC108153767|XP_017139395.1|DMIR, LOC108155888|XP_017142517.1|DMIR
OG0001220	LOC120419490|XP_039438112.1|CPIP, LOC120419491|XP_039438113.1|CPIP	LOC117190882|XP_033251789.1|DMIR, LOC117192050|XP_033252657.1|DMIR, LOC108160998|XP_017150795.1|DMIR
OG0001221	LOC120422630|XP_039442062.1|CPIP	LOC108158845|XP_017147055.2|DMIR, LOC117188407|XP_033248133.1|DMIR
OG0001223	LOC120416560|XP_039434225.1|CPIP	LOC108160062|XP_017149298.1|DMIR, LOC117190666|XP_033251621.1|DMIR
OG0001224	LOC120416226|XP_039433860.1|CPIP	LOC117192980|XP_033253597.1|DMIR, LOC108159553|XP_017148468.1|DMIR
OG0001225	LOC120417471|XP_039435475.1|CPIP, LOC120417456|XP_039435448.1|CPIP	LOC117185684|XP_033252996.1|DMIR, LOC108158107|XP_017145764.2|DMIR
OG0001226	LOC120418804|XP_039437222.1|CPIP	LOC108159714|XP_017148723.1|DMIR
OG0001227	LOC120420146|XP_039439038.1|CPIP	LOC108161474|XP_033249823.1|DMIR, LOC117189041|XP_033249821.1|DMIR
OG0001229	LOC120430378|XP_039451410.1|CPIP	LOC117188472|XP_033248276.1|DMIR, LOC117191854|XP_033252512.1|DMIR
OG0001230	LOC120422782|XP_039442254.1|CPIP	LOC117190545|XP_033251496.1|DMIR, LOC117189458|XP_033250477.1|DMIR, LOC117189459|XP_033250478.1|DMIR, LOC117189470|XP_033250494.1|DMIR, LOC117190544|XP_033251495.1|DMIR, LOC117189460|XP_033250479.1|DMIR, LOC108160123|XP_017149405.1|DMIR, LOC117189452|XP_033250468.1|DMIR, LOC117190547|XP_033251498.1|DMIR, LOC117190546|XP_033251497.1|DMIR
OG0001231	LOC120419802|XP_039438571.1|CPIP	LOC108161913|XP_017151814.1|DMIR
OG0001233	LOC120419669|XP_039438368.1|CPIP	LOC108162942|XP_017153422.1|DMIR
OG0001234	LOC120414574|XP_039431745.1|CPIP	LOC108158581|XP_017146513.1|DMIR, LOC117194186|XP_033254736.1|DMIR
OG0001235	LOC120417314|XP_039435211.1|CPIP, LOC120431742|XP_039452801.1|CPIP, LOC120431749|XP_039452807.1|CPIP, LOC120431747|XP_039452806.1|CPIP, LOC120417299|XP_039435183.1|CPIP, LOC120417300|XP_039435184.1|CPIP	LOC108163988|XP_017155042.1|DMIR
OG0001236	LOC120423226|XP_039442868.1|CPIP	LOC108151625|XP_017135813.1|DMIR
OG0001237	LOC120414317|XP_039431388.1|CPIP	LOC108154801|XP_017140688.1|DMIR
OG0001238	LOC120426763|XP_039447471.1|CPIP	LOC108155059|XP_017141132.1|DMIR
OG0001240	LOC120421246|XP_039440381.1|CPIP, LOC120420595|XP_039439605.1|CPIP, LOC120421250|XP_039440383.1|CPIP	LOC108157833|XP_017145525.1|DMIR
OG0001241	LOC120417870|XP_039436024.1|CPIP	LOC108160571|XP_017150145.1|DMIR, LOC117190374|XP_033251346.1|DMIR, LOC108154973|XP_017140980.1|DMIR
OG0001242	LOC120425656|XP_039446171.1|CPIP	LOC108163347|XP_017154076.1|DMIR, LOC108153068|XP_017138340.1|DMIR
OG0001244	LOC120421573|XP_039440738.1|CPIP, LOC120421830|XP_039441041.1|CPIP	LOC108160647|XP_033245165.1|DMIR, LOC108156406|XP_017143337.1|DMIR
OG0001245	LOC120423077|XP_039442687.1|CPIP, LOC120430091|XP_039451112.1|CPIP, LOC120423090|XP_039442699.1|CPIP, LOC120421067|XP_039440146.1|CPIP, LOC120423067|XP_039442673.1|CPIP, LOC120423076|XP_039442686.1|CPIP	LOC108153934|XP_017139520.1|DMIR
OG0001246	LOC120421869|XP_039441099.1|CPIP, LOC120421861|XP_039441094.1|CPIP, LOC120421865|XP_039441097.1|CPIP	LOC117188431|XP_033248200.1|DMIR
OG0001247	LOC120432576|XP_039453739.1|CPIP	LOC117187834|XP_033246597.1|DMIR, LOC117189493|XP_033250523.1|DMIR, LOC117187837|XP_033246599.1|DMIR, LOC117187836|XP_033246598.1|DMIR, LOC117187744|XP_033246437.1|DMIR, LOC117187741|XP_033246432.1|DMIR, LOC117189492|XP_033250519.1|DMIR, LOC117187833|XP_033246593.1|DMIR
OG0001248	LOC120422204|XP_039441519.1|CPIP	LOC108152264|XP_017136968.1|DMIR
OG0001249	LOC120423895|XP_039443810.1|CPIP	LOC108154906|XP_017140851.1|DMIR
OG0001256	LOC120422406|XP_039441758.1|CPIP	LOC108165228|XP_033242595.1|DMIR, LOC108158023|XP_017145655.1|DMIR
OG0001257	LOC120413281|XP_039429947.1|CPIP	LOC108164394|XP_033250161.1|DMIR
OG0001258	LOC120432334|XP_039453457.1|CPIP	LOC108155808|XP_017142377.1|DMIR
OG0001259	LOC120430956|XP_039452022.1|CPIP, LOC120416739|XP_039434507.1|CPIP	LOC108162699|XP_017153045.1|DMIR
OG0001260	LOC120420175|XP_039439075.1|CPIP, LOC120420182|XP_039439091.1|CPIP	LOC108157135|XP_017144525.1|DMIR
OG0001261	LOC120427227|XP_039448025.1|CPIP	LOC108161346|XP_017151072.1|DMIR, LOC108162253|XP_017152393.1|DMIR
OG0001263	LOC120432642|XP_039453825.1|CPIP	LOC108161281|XP_033250003.1|DMIR, LOC117189102|XP_033249990.1|DMIR, LOC117188699|XP_033248831.1|DMIR, LOC117188700|XP_033248832.1|DMIR, LOC117188973|XP_033249631.1|DMIR, LOC108155349|XP_017141597.2|DMIR
OG0001264	LOC120429252|XP_039450399.1|CPIP, LOC120426464|XP_039447160.1|CPIP	LOC108164151|XP_017155244.2|DMIR
OG0001265	LOC120428458|XP_039449403.1|CPIP	LOC108157372|XP_033247158.1|DMIR
OG0001266	LOC120417192|XP_039435093.1|CPIP	LOC108159856|XP_017148944.1|DMIR
OG0001267	LOC120424506|XP_039444591.1|CPIP, LOC120426739|XP_039447450.1|CPIP	LOC108154761|XP_017140631.1|DMIR
OG0001269	LOC120429645|XP_039450605.1|CPIP	LOC108159849|XP_033253926.1|DMIR, LOC117187930|XP_033246797.1|DMIR
OG0001270	LOC120425363|XP_039445806.1|CPIP, LOC120431090|XP_039452180.1|CPIP, LOC120430927|XP_039451982.1|CPIP	LOC108155145|XP_017141288.1|DMIR
OG0001271	LOC120430259|XP_039451279.1|CPIP, LOC120419757|XP_039438514.1|CPIP, LOC120419744|XP_039438480.1|CPIP	LOC108158457|XP_017146235.1|DMIR, LOC117191921|XP_033252559.1|DMIR
OG0001272	LOC120424869|XP_039445058.1|CPIP	LOC108151032|XP_033242646.1|DMIR, LOC117186247|XP_033242644.1|DMIR, LOC117186248|XP_033242649.1|DMIR, LOC108165301|XP_033242648.1|DMIR
OG0001273	LOC120429935|XP_039450967.1|CPIP	LOC108154575|XP_017140364.1|DMIR
OG0001274	LOC120418048|XP_039436233.1|CPIP	LOC108151717|XP_017135977.1|DMIR
OG0001276	LOC120413456|XP_039430225.1|CPIP	LOC108152778|XP_017137849.1|DMIR, LOC108161461|XP_017151213.1|DMIR
OG0001277	LOC120424852|XP_039445035.1|CPIP	LOC108152716|XP_017137739.1|DMIR
OG0001278	LOC120419963|XP_039438765.1|CPIP	LOC108152532|XP_017137428.1|DMIR, LOC108161441|XP_017151192.1|DMIR
OG0001279	LOC120419970|XP_039438780.1|CPIP	LOC108153003|XP_017138233.1|DMIR
OG0001280	LOC120431879|XP_039452941.1|CPIP, LOC120414432|XP_039431549.1|CPIP	LOC108151532|XP_017135674.1|DMIR
OG0001281	LOC120421671|XP_039440836.1|CPIP, LOC120421627|XP_039440789.1|CPIP	LOC108150821|XP_017134617.1|DMIR
OG0001282	LOC120429812|XP_039450796.1|CPIP, LOC120425025|XP_039445333.1|CPIP	LOC108163644|XP_017154543.1|DMIR
OG0001283	LOC120427036|XP_039447800.1|CPIP	LOC117192487|XP_033253081.1|DMIR, LOC117193890|XP_033254464.1|DMIR, LOC117192481|XP_033253068.1|DMIR, LOC117192485|XP_033253075.1|DMIR, LOC108159046|XP_033248066.1|DMIR, LOC117192488|XP_033253082.1|DMIR, LOC117188385|XP_033248070.1|DMIR, LOC117192495|XP_033253094.1|DMIR, LOC117192482|XP_033253072.1|DMIR, LOC117192483|XP_033253073.1|DMIR
OG0001284	LOC120414678|XP_039431897.1|CPIP	LOC117188987|XP_033249676.1|DMIR
OG0001285	LOC120429106|XP_039450203.1|CPIP, LOC120414724|XP_039431961.1|CPIP	LOC108152026|XP_017136496.1|DMIR
OG0001286	LOC120429762|XP_039450749.1|CPIP	LOC108164105|XP_017155185.1|DMIR
OG0001287	LOC120426934|XP_039447680.1|CPIP, LOC120426947|XP_039447703.1|CPIP, LOC120426556|XP_039447257.1|CPIP	LOC108155154|XP_017141303.2|DMIR
OG0001288	LOC120420968|XP_039440035.1|CPIP	LOC108163582|XP_017154443.1|DMIR
OG0001289	LOC120418705|XP_039437108.1|CPIP, LOC120418706|XP_039437109.1|CPIP	LOC108161385|XP_017151123.2|DMIR
OG0001290	LOC120429839|XP_039450837.1|CPIP, LOC120429074|XP_039450161.1|CPIP	LOC108161745|XP_033249429.1|DMIR
OG0001291	LOC120414339|XP_039431425.1|CPIP	LOC108160498|XP_017150024.1|DMIR, LOC117190561|XP_033251507.1|DMIR
OG0001292	LOC120423698|XP_039443534.1|CPIP, LOC120423701|XP_039443537.1|CPIP	LOC117192871|XP_033253514.1|DMIR, LOC108159611|XP_017148554.1|DMIR
OG0001293	LOC120414358|XP_039431455.1|CPIP	LOC108164588|XP_017155903.1|DMIR
OG0001294	LOC120426999|XP_039447750.1|CPIP	LOC108156837|XP_017144035.1|DMIR
OG0001295	LOC120431459|XP_039452510.1|CPIP	LOC108162367|XP_017152569.1|DMIR, LOC108154810|XP_033245977.1|DMIR
OG0001296	LOC120419233|XP_039437826.1|CPIP	LOC108160067|XP_017149306.1|DMIR
OG0001297	LOC120423588|XP_039443387.1|CPIP	LOC108154764|XP_017140635.1|DMIR
OG0001298	LOC120417916|XP_039436086.1|CPIP, LOC120416955|XP_039434793.1|CPIP	LOC108155192|XP_017141353.1|DMIR
OG0001299	LOC120422007|XP_039441255.1|CPIP, LOC120432174|XP_039453246.1|CPIP	LOC108153385|XP_033242955.1|DMIR
OG0001300	LOC120415419|XP_039432887.1|CPIP	LOC117186434|XP_033243131.1|DMIR, LOC108157098|XP_017144452.1|DMIR
OG0001301	LOC120423370|XP_039443087.1|CPIP, LOC120423371|XP_039443088.1|CPIP	LOC108164204|XP_017155323.1|DMIR
OG0001302	LOC120417543|XP_039435559.1|CPIP	LOC108160735|XP_033254209.1|DMIR
OG0001303	LOC120425865|XP_039446421.1|CPIP	LOC108156496|XP_017143478.1|DMIR
OG0001304	LOC120417898|XP_039436053.1|CPIP	LOC108158520|XP_017146388.1|DMIR, LOC117192440|XP_033253011.1|DMIR
OG0001305	LOC120427519|XP_039448316.1|CPIP	LOC108155146|XP_017141290.1|DMIR
OG0001306	LOC120423281|XP_039442982.1|CPIP	LOC108156304|XP_017143181.1|DMIR
OG0001307	LOC120414405|XP_039431518.1|CPIP	LOC108152327|XP_017137062.1|DMIR, LOC108157831|XP_017145523.1|DMIR, LOC108151754|XP_017136081.1|DMIR
OG0001308	LOC120414403|XP_039431514.1|CPIP	LOC108161191|XP_017150911.1|DMIR, LOC117186562|XP_033243401.1|DMIR, LOC108153754|XP_033243397.1|DMIR, LOC117186561|XP_033243399.1|DMIR
OG0001309	LOC120414020|XP_039430971.1|CPIP, LOC120414000|XP_039430943.1|CPIP	LOC108155099|XP_017141216.1|DMIR
OG0001311	LOC120417566|XP_039435594.1|CPIP, LOC120420210|XP_039439128.1|CPIP	LOC108159813|XP_017148876.1|DMIR, LOC117189098|XP_033249984.1|DMIR, LOC108163801|XP_017154779.1|DMIR
OG0001312	LOC120431895|XP_039452958.1|CPIP, LOC120424481|XP_039444557.1|CPIP	LOC108165290|XP_017156814.1|DMIR
OG0001313	LOC120416827|XP_039434648.1|CPIP	LOC117188333|XP_033247892.1|DMIR, LOC117188334|XP_033247893.1|DMIR, LOC117188331|XP_033247889.1|DMIR, LOC117188332|XP_033247890.1|DMIR, LOC117188329|XP_033247887.1|DMIR, LOC117188330|XP_033247888.1|DMIR, LOC108159248|XP_017147859.2|DMIR, LOC117192675|XP_033253288.1|DMIR
OG0001314	LOC120418103|XP_039436307.1|CPIP, LOC120431543|XP_039452585.1|CPIP, LOC120431629|XP_039452672.1|CPIP, LOC120423143|XP_039442759.1|CPIP, LOC120414582|XP_039431751.1|CPIP, LOC120412578|XP_039429022.1|CPIP, LOC120416026|XP_039433621.1|CPIP, LOC120412415|XP_039428812.1|CPIP, LOC120421472|XP_039440623.1|CPIP	LOC108163160|XP_017153769.1|DMIR
OG0001315	LOC120420411|XP_039439364.1|CPIP	LOC108164631|XP_017155968.1|DMIR
OG0001322	LOC120426837|XP_039447560.1|CPIP	LOC108154695|XP_017140533.2|DMIR, LOC108156161|XP_017142978.1|DMIR
OG0001326	LOC120417038|XP_039434922.1|CPIP, LOC120419278|XP_039437878.1|CPIP, LOC120420268|XP_039439201.1|CPIP	LOC108156454|XP_033244788.1|DMIR
OG0001328	LOC120414973|XP_039432241.1|CPIP, LOC120421074|XP_039440154.1|CPIP	LOC117186172|XP_033242308.1|DMIR, LOC117186171|XP_033242301.1|DMIR
OG0001329	LOC120425636|XP_039446157.1|CPIP, LOC120417782|XP_039435872.1|CPIP	LOC108158289|XP_017146018.2|DMIR, LOC117186578|XP_033243429.1|DMIR
OG0001330	LOC120422463|XP_039441846.1|CPIP	LOC108154454|XP_033252854.1|DMIR, LOC117192357|XP_033252887.1|DMIR
OG0001331	LOC120417708|XP_039435788.1|CPIP, LOC120417710|XP_039435793.1|CPIP	LOC108151464|XP_017135574.1|DMIR
OG0001332	LOC120413145|XP_039429789.1|CPIP, LOC120412616|XP_039429104.1|CPIP	LOC108161729|XP_017151545.1|DMIR
OG0001333	LOC120417034|XP_039434912.1|CPIP, LOC120417028|XP_039434904.1|CPIP	LOC108163846|XP_017154852.2|DMIR
OG0001334	LOC120414158|XP_039431133.1|CPIP, LOC120414159|XP_039431134.1|CPIP	LOC108157355|XP_017144864.1|DMIR
OG0001335	LOC120425484|XP_039445962.1|CPIP, LOC120425483|XP_039445956.1|CPIP	LOC108155421|XP_033245279.1|DMIR
OG0001337	LOC120432047|XP_039453113.1|CPIP, LOC120427370|XP_039448159.1|CPIP	LOC117195341|XP_033255821.1|DMIR, LOC117186085|XP_033242076.1|DMIR, LOC117186165|XP_033242278.1|DMIR, LOC117195340|XP_033255818.1|DMIR, LOC108151170|XP_033255819.1|DMIR, LOC117195344|XP_033255825.1|DMIR, LOC117186174|XP_033242310.1|DMIR, LOC117186495|XP_033243265.1|DMIR, LOC117195338|XP_033255817.1|DMIR, LOC117186111|XP_033242122.1|DMIR
