Orthogroup	CPIP.longest_only	DVIR.longest_only
OG0000765	LOC120417525|XP_039435542.1|CPIP	LOC6624580|XP_002046489.1|DVIR, LOC6631765|XP_002055173.1|DVIR
OG0000766	LOC120414850|XP_039432108.1|CPIP	LOC6627631|XP_002051097.1|DVIR, LOC6631511|XP_015026573.1|DVIR
OG0000767	LOC120423444|XP_039443195.1|CPIP	LOC6630760|XP_015027742.1|DVIR, LOC6622830|XP_002047544.1|DVIR
OG0000768	LOC120421500|XP_039440653.1|CPIP	LOC6622842|XP_002048022.1|DVIR
OG0000769	LOC120412516|XP_039428946.1|CPIP	LOC6632663|XP_002056469.2|DVIR, LOC6631593|XP_002055445.1|DVIR
OG0000770	LOC120432659|XP_039453839.1|CPIP, LOC120413150|XP_039429790.1|CPIP, LOC120432661|XP_039453841.1|CPIP	LOC6625588|XP_002051038.1|DVIR, LOC6625675|XP_002048793.1|DVIR
OG0000771	LOC120422224|XP_039441543.1|CPIP, LOC120431658|XP_039452697.1|CPIP	LOC6624693|XP_002046564.1|DVIR
OG0000779	LOC120429662|XP_039450626.1|CPIP, LOC120416907|XP_039434740.1|CPIP, LOC120421811|XP_039441023.1|CPIP, LOC120430888|XP_039451974.1|CPIP, LOC120424409|XP_039444448.1|CPIP	LOC6632011|XP_002055384.1|DVIR
OG0000780	LOC120418409|XP_039436760.1|CPIP, LOC120418035|XP_039436253.1|CPIP, LOC120418333|XP_039436646.1|CPIP	LOC6627263|XP_002049919.2|DVIR
OG0000781	LOC120414167|XP_039431153.1|CPIP	LOC6633312|XP_002056889.2|DVIR, LOC6622381|XP_002047939.1|DVIR
OG0000782	LOC120425469|XP_039445938.1|CPIP	LOC6622281|XP_002047909.2|DVIR, LOC6636141|XP_002059535.1|DVIR
OG0000783	LOC120425480|XP_039445951.1|CPIP	LOC6630577|XP_002053926.1|DVIR, LOC6634533|XP_002057962.1|DVIR
OG0000784	LOC120428957|XP_039450028.1|CPIP	LOC6623091|XP_002046722.1|DVIR, LOC6635465|XP_032295860.1|DVIR
OG0000785	LOC120425382|XP_039445831.1|CPIP, LOC120425381|XP_039445830.1|CPIP	LOC6629780|XP_002054742.1|DVIR
OG0000786	LOC120429815|XP_039450805.1|CPIP	LOC6636911|XP_032289373.1|DVIR, LOC6632311|XP_015026019.1|DVIR
OG0000787	LOC120430342|XP_039451379.1|CPIP	LOC6622513|XP_002046994.2|DVIR
OG0000788	LOC120416496|XP_039434146.1|CPIP	LOC6624637|XP_002046647.1|DVIR
OG0000789	LOC120414727|XP_039431965.1|CPIP	LOC6627990|XP_002051427.2|DVIR, LOC6627989|XP_002051426.1|DVIR
OG0000790	LOC120412832|XP_039429373.1|CPIP	LOC6635654|XP_032294677.1|DVIR, LOC6635655|XP_002059123.1|DVIR
OG0000791	LOC120421987|XP_039441235.1|CPIP, LOC120415555|XP_039433063.1|CPIP	LOC6632559|XP_032288733.1|DVIR
OG0000792	LOC120415597|XP_039433125.1|CPIP	LOC6627625|XP_002051716.3|DVIR
OG0000793	LOC120423637|XP_039443443.1|CPIP	LOC6632500|XP_002056518.1|DVIR
OG0000794	LOC120430634|XP_039451663.1|CPIP, LOC120430632|XP_039451661.1|CPIP, LOC120431042|XP_039452127.1|CPIP, LOC120430630|XP_039451659.1|CPIP, LOC120431043|XP_039452128.1|CPIP	LOC6634590|XP_002058091.1|DVIR
OG0000796	LOC120432573|XP_039453733.1|CPIP	LOC6629888|XP_002054548.2|DVIR, LOC6634547|XP_002058291.1|DVIR
OG0000797	LOC120414099|XP_039431056.1|CPIP, LOC120419430|XP_039438042.1|CPIP	LOC6632762|XP_002056367.1|DVIR
OG0000798	LOC120415294|XP_039432697.1|CPIP	LOC6635331|XP_015024688.1|DVIR
OG0000799	LOC120424434|XP_039444488.1|CPIP, LOC120428134|XP_039449050.1|CPIP	LOC6633238|XP_015025714.1|DVIR
OG0000801	LOC120431544|XP_039452587.1|CPIP	LOC6625941|XP_002049052.2|DVIR, LOC6626481|XP_002049075.1|DVIR
OG0000802	LOC120419165|XP_039437749.1|CPIP, LOC120419161|XP_039437744.1|CPIP, LOC120419173|XP_039437760.1|CPIP	LOC6633657|XP_032288959.1|DVIR
OG0000803	LOC120412688|XP_039429199.1|CPIP	LOC6629240|XP_002052616.1|DVIR, LOC6623371|XP_002047771.1|DVIR
OG0000810	LOC120430093|XP_039451114.1|CPIP, LOC120424339|XP_039444365.1|CPIP	LOC6636428|XP_002059979.1|DVIR
OG0000811	LOC120430979|XP_039452051.1|CPIP	LOC6630874|XP_015027648.1|DVIR, LOC6636321|XP_032292056.1|DVIR
OG0000812	LOC120427000|XP_039447755.1|CPIP	LOC6632156|XP_032295603.1|DVIR
OG0000813	LOC120416571|XP_039434239.1|CPIP	LOC6628191|XP_032294235.1|DVIR
OG0000814	LOC120419319|XP_039437923.1|CPIP, LOC120414046|XP_039431001.1|CPIP	LOC6627699|XP_002052259.1|DVIR
OG0000815	LOC120420094|XP_039438966.1|CPIP, LOC120420412|XP_039439366.1|CPIP, LOC120419953|XP_039438750.1|CPIP, LOC120419959|XP_039438759.1|CPIP	LOC6628125|XP_002052925.1|DVIR
OG0000816	LOC120415564|XP_039433070.1|CPIP	LOC6632530|XP_002056428.1|DVIR
OG0000817	LOC120432393|XP_039453522.1|CPIP	LOC6630257|XP_002053416.1|DVIR, LOC116650677|XP_032290910.1|DVIR
OG0000818	LOC120420870|XP_039439923.1|CPIP, LOC120417437|XP_039435412.1|CPIP	LOC6634408|XP_032289264.1|DVIR, LOC6628749|XP_002052318.2|DVIR
OG0000820	LOC120418431|XP_039436744.1|CPIP	LOC6634671|XP_002057987.1|DVIR, LOC6625568|XP_002050047.2|DVIR
OG0000821	LOC120414923|XP_039432191.1|CPIP	LOC6632416|XP_032289668.1|DVIR, LOC6626058|XP_002049613.2|DVIR
OG0000822	LOC120428520|XP_039449477.1|CPIP, LOC120416210|XP_039433836.1|CPIP	LOC6634306|XP_002057557.1|DVIR
OG0000831	LOC120427282|XP_039448065.1|CPIP, LOC120427278|XP_039448062.1|CPIP, LOC120414834|XP_039432094.1|CPIP	LOC6625241|XP_002049487.2|DVIR
OG0000832	LOC120421010|XP_039440062.1|CPIP	LOC6626534|XP_002050658.1|DVIR, LOC6629184|XP_002051589.2|DVIR
OG0000833	LOC120422698|XP_039442145.1|CPIP	LOC6624444|XP_032291098.1|DVIR
OG0000834	LOC120418860|XP_039437327.1|CPIP	LOC6633028|XP_002055945.2|DVIR, LOC6633027|XP_002055944.1|DVIR
OG0000836	LOC120415979|XP_039433566.1|CPIP	LOC6628158|XP_002052413.2|DVIR
OG0000839	LOC120413954|XP_039430891.1|CPIP	LOC6632399|XP_002056616.1|DVIR, LOC6630190|XP_002053259.2|DVIR
OG0000840	LOC120423439|XP_039443189.1|CPIP	LOC6633792|XP_002057312.1|DVIR, LOC6634616|XP_002058101.1|DVIR
OG0000841	LOC120421143|XP_039440270.1|CPIP	LOC6630870|XP_032295039.1|DVIR
OG0000843	LOC120431268|XP_039452336.1|CPIP	LOC6625440|XP_002049976.1|DVIR
OG0000844	LOC120414979|XP_039432248.1|CPIP	LOC6630708|XP_015026868.1|DVIR
OG0000845	LOC120417392|XP_039435347.1|CPIP, LOC120417419|XP_039435396.1|CPIP	LOC6633786|XP_002056958.1|DVIR
OG0000854	LOC120432213|XP_039453307.1|CPIP	LOC6636018|XP_002059542.2|DVIR
OG0000855	LOC120419350|XP_039437982.1|CPIP	LOC6634688|XP_015024995.1|DVIR
OG0000856	LOC120421057|XP_039440135.1|CPIP	LOC6623955|XP_032291091.1|DVIR
OG0000857	LOC120424313|XP_039444331.1|CPIP, LOC120418642|XP_039437022.1|CPIP	LOC6632157|XP_002055766.2|DVIR
OG0000858	LOC120426684|XP_039447392.1|CPIP	LOC6632372|XP_002056202.1|DVIR
OG0000860	LOC120428391|XP_039449328.1|CPIP	LOC6623143|XP_032291446.1|DVIR
OG0000861	LOC120428748|XP_039449764.1|CPIP	LOC6626039|XP_002050806.1|DVIR, LOC6625578|XP_032292032.1|DVIR
OG0000862	LOC120418915|XP_039437380.1|CPIP	LOC6625963|XP_002050957.1|DVIR
OG0000863	LOC120412605|XP_039429087.1|CPIP	LOC6629942|XP_002054370.1|DVIR, LOC26530889|XP_032290605.1|DVIR, LOC6627133|XP_002048951.1|DVIR
OG0000865	LOC120423669|XP_039443489.1|CPIP	LOC6631823|XP_002055195.1|DVIR, LOC6633000|XP_002056358.2|DVIR
OG0000866	LOC120422619|XP_039442049.1|CPIP	LOC6627533|XP_015028233.1|DVIR
OG0000867	LOC120413111|XP_039429751.1|CPIP	LOC6628571|XP_002051522.2|DVIR, LOC6633885|XP_002057418.1|DVIR
OG0000868	LOC120419336|XP_039437941.1|CPIP, LOC120414763|XP_039432009.1|CPIP	LOC6634452|XP_032296283.1|DVIR
OG0000869	LOC120431030|XP_039452116.1|CPIP	LOC6632268|XP_002056396.1|DVIR, LOC6632266|XP_002056394.1|DVIR, LOC6632271|XP_002056399.1|DVIR, LOC6632267|XP_002056395.1|DVIR, LOC6632332|XP_002056392.1|DVIR, LOC6637140|XP_032289696.1|DVIR, LOC6632331|XP_002056391.2|DVIR, LOC6632269|XP_002056397.1|DVIR, LOC6632272|XP_002056400.1|DVIR, LOC6632333|XP_002056393.1|DVIR
OG0000871	LOC120416744|XP_039434513.1|CPIP	LOC6625147|XP_002049556.1|DVIR
OG0000872	LOC120418438|XP_039436780.1|CPIP	LOC6631325|XP_002055783.1|DVIR, LOC6626143|XP_002050008.1|DVIR
OG0000873	LOC120414951|XP_039432215.1|CPIP, LOC120423917|XP_039443832.1|CPIP, LOC120414941|XP_039432205.1|CPIP	LOC6622111|XP_015031357.1|DVIR
OG0000874	LOC120423682|XP_039443508.1|CPIP	LOC6631717|XP_002055159.1|DVIR, LOC6625497|XP_002049014.1|DVIR
OG0000875	LOC120429100|XP_039450197.1|CPIP	LOC6629953|XP_002053611.1|DVIR, LOC6633836|XP_002057047.1|DVIR, LOC6633835|XP_002057046.1|DVIR, LOC6622785|XP_002048011.1|DVIR
OG0000882	LOC120415611|XP_039433139.1|CPIP	LOC26530844|XP_015026764.1|DVIR, LOC6628029|XP_002052906.1|DVIR
OG0000884	LOC120427201|XP_039447995.1|CPIP	LOC6631600|XP_002055717.2|DVIR
OG0000885	LOC120424055|XP_039444010.1|CPIP, LOC120424044|XP_039444000.1|CPIP, LOC120424045|XP_039444001.1|CPIP	LOC6630753|XP_015026921.1|DVIR
OG0000887	LOC120420686|XP_039439715.1|CPIP, LOC120420673|XP_039439704.1|CPIP, LOC120425775|XP_039446321.1|CPIP	LOC6634450|XP_032296288.1|DVIR
OG0000888	LOC120412402|XP_039428795.1|CPIP	LOC6636828|XP_002060318.2|DVIR, LOC116650251|XP_032289385.1|DVIR, LOC6631185|XP_002053240.1|DVIR
OG0000889	LOC120418561|XP_039436926.1|CPIP	LOC6622341|XP_002047922.1|DVIR
OG0000890	LOC120422694|XP_039442137.1|CPIP	LOC6625601|XP_002050261.2|DVIR
OG0000891	LOC120413113|XP_039429753.1|CPIP	LOC6628951|XP_002052354.1|DVIR
OG0000892	LOC120428476|XP_039449427.1|CPIP	LOC6624054|XP_015030510.1|DVIR
OG0000893	LOC120414042|XP_039431000.1|CPIP, LOC120415367|XP_039432803.1|CPIP, LOC120413619|XP_039430463.1|CPIP, LOC120414024|XP_039430983.1|CPIP, LOC120414031|XP_039430990.1|CPIP, LOC120413628|XP_039430476.1|CPIP	LOC6632284|XP_002056422.2|DVIR
OG0000894	LOC120412970|XP_039429552.1|CPIP	LOC6633189|XP_015025780.1|DVIR, LOC6630703|XP_002054643.1|DVIR
OG0000895	LOC120430631|XP_039451660.1|CPIP, LOC120431041|XP_039452126.1|CPIP	LOC6626507|XP_002050206.2|DVIR, LOC6637024|XP_002060449.3|DVIR, LOC6626508|XP_002050207.1|DVIR
OG0000896	LOC120422176|XP_039441485.1|CPIP	LOC6633307|XP_002057406.2|DVIR
OG0000907	LOC120422532|XP_039441927.1|CPIP	LOC6625441|XP_002049977.1|DVIR
OG0000909	LOC120424456|XP_039444523.1|CPIP	LOC6630227|XP_032295014.1|DVIR
OG0000910	LOC120432597|XP_039453770.1|CPIP	LOC6636138|XP_032296077.1|DVIR, LOC6633132|XP_015025958.1|DVIR
OG0000911	LOC120417462|XP_039435459.1|CPIP	LOC6625813|XP_002050595.1|DVIR
OG0000912	LOC120418557|XP_039436921.1|CPIP	LOC6622240|XP_002048678.1|DVIR
OG0000913	LOC120426921|XP_039447661.1|CPIP	LOC116650716|XP_032291066.1|DVIR, LOC26530516|XP_032294701.1|DVIR
OG0000913	LOC120418826|XP_039437276.1|CPIP	LOC6622394|XP_015031465.1|DVIR, LOC116649768|XP_032294766.1|DVIR
OG0000914	LOC120418298|XP_039436562.1|CPIP, LOC120418292|XP_039436556.1|CPIP, LOC120418291|XP_039436554.1|CPIP, LOC120418294|XP_039436558.1|CPIP, LOC120418293|XP_039436557.1|CPIP, LOC120419858|XP_039438629.1|CPIP	LOC6625634|XP_002050759.1|DVIR
OG0000915	LOC120416134|XP_039433742.1|CPIP, LOC120423137|XP_039442750.1|CPIP	LOC6624907|XP_002050220.1|DVIR
OG0000916	LOC120419180|XP_039437774.1|CPIP, LOC120419181|XP_039437782.1|CPIP	LOC6628383|XP_015028628.1|DVIR
OG0000917	LOC120414568|XP_039431721.1|CPIP	LOC116650092|XP_032289321.1|DVIR, LOC26531740|XP_032289056.1|DVIR, LOC6636301|XP_032289055.1|DVIR, LOC6628562|XP_032294275.1|DVIR
OG0000918	LOC120420514|XP_039439508.1|CPIP, LOC120413898|XP_039430809.1|CPIP	LOC6633907|XP_002057600.2|DVIR
OG0000920	LOC120415401|XP_039432861.1|CPIP, LOC120415381|XP_039432839.1|CPIP, LOC120415349|XP_039432772.1|CPIP, LOC120415392|XP_039432852.1|CPIP, LOC120415348|XP_039432771.1|CPIP, LOC120415389|XP_039432846.1|CPIP, LOC120430879|XP_039451942.1|CPIP	LOC6631868|XP_002055729.1|DVIR
OG0000921	LOC120413978|XP_039430918.1|CPIP	LOC6633285|XP_032296543.1|DVIR
OG0000922	LOC120422036|XP_039441299.1|CPIP	LOC6624203|XP_002046311.1|DVIR
OG0000923	LOC120423161|XP_039442776.1|CPIP, LOC120429725|XP_039450705.1|CPIP	LOC6633149|XP_032289546.1|DVIR
OG0000924	LOC120418575|XP_039436954.1|CPIP	LOC6634642|XP_032296402.1|DVIR
OG0000925	LOC120423899|XP_039443814.1|CPIP, LOC120423887|XP_039443795.1|CPIP	LOC6629469|XP_002054084.1|DVIR, LOC6629470|XP_002054085.1|DVIR
OG0000935	LOC120413347|XP_039430059.1|CPIP	LOC6629935|XP_032295282.1|DVIR
OG0000936	LOC120424541|XP_039444639.1|CPIP	LOC26531850|XP_015027951.1|DVIR
OG0000937	LOC120421436|XP_039440578.1|CPIP, LOC120423044|XP_039442646.1|CPIP	LOC6630245|XP_032291170.1|DVIR
OG0000938	LOC120418068|XP_039436262.1|CPIP	LOC6634443|XP_002058058.2|DVIR
OG0000939	LOC120429750|XP_039451052.1|CPIP	LOC6628877|XP_002051657.1|DVIR
OG0000941	LOC120416887|XP_039434719.1|CPIP	LOC6632210|XP_032295832.1|DVIR, LOC26530762|XP_015028854.1|DVIR
OG0000942	LOC120420666|XP_039439697.1|CPIP	LOC6622183|XP_002048272.2|DVIR
OG0000943	LOC120419988|XP_039438800.1|CPIP	LOC6625103|XP_032291712.1|DVIR, LOC26531691|XP_032293157.1|DVIR
OG0000944	LOC120414476|XP_039431604.1|CPIP	LOC6631350|XP_002054991.1|DVIR, LOC6629350|XP_002053266.1|DVIR
OG0000945	LOC120422285|XP_039441609.1|CPIP	LOC116650756|XP_032291321.1|DVIR, LOC6622580|XP_002046437.1|DVIR
OG0000946	LOC120428439|XP_039449389.1|CPIP, LOC120427626|XP_039448449.1|CPIP	LOC6628668|XP_002051824.1|DVIR
OG0000947	LOC120427061|XP_039447834.1|CPIP, LOC120421155|XP_039440279.1|CPIP, LOC120421145|XP_039440268.1|CPIP, LOC120421144|XP_039440267.1|CPIP	LOC6625546|XP_002049981.1|DVIR
OG0000948	LOC120413180|XP_039429827.1|CPIP	LOC6623734|XP_002046831.1|DVIR, LOC6637061|XP_002060479.2|DVIR
OG0000949	LOC120419243|XP_039437835.1|CPIP	LOC6633358|XP_002056982.2|DVIR
OG0000949	LOC120419259|XP_039437851.1|CPIP	LOC6633356|XP_015025630.1|DVIR
OG0000950	LOC120423626|XP_039443431.1|CPIP	LOC116649735|XP_032296341.1|DVIR, LOC6634491|XP_002058229.2|DVIR, LOC6632489|XP_015026143.1|DVIR
OG0000951	LOC120424899|XP_039445123.1|CPIP, LOC120432196|XP_039453284.1|CPIP	LOC6629850|XP_002054471.1|DVIR, LOC6633470|XP_002057061.1|DVIR
OG0000952	LOC120417629|XP_039435675.1|CPIP	LOC6628104|XP_002052009.2|DVIR
OG0000963	LOC120432205|XP_039453301.1|CPIP, LOC120432197|XP_039453288.1|CPIP, LOC120432186|XP_039453264.1|CPIP	LOC6635434|XP_002059070.1|DVIR
OG0000964	LOC120432247|XP_039453355.1|CPIP, LOC120425740|XP_039446280.1|CPIP	LOC6625956|XP_002049587.1|DVIR
OG0000965	LOC120412464|XP_039428876.1|CPIP	LOC6636029|XP_002059634.1|DVIR
OG0000966	LOC120418083|XP_039436275.1|CPIP, LOC120419866|XP_039438651.1|CPIP	LOC6624790|XP_002049341.2|DVIR
OG0000968	LOC120413224|XP_039429884.1|CPIP, LOC120413265|XP_039429927.1|CPIP	LOC6623806|XP_002046259.1|DVIR, LOC116650601|XP_032290582.1|DVIR, LOC6623986|XP_002046258.1|DVIR
OG0000969	LOC120422701|XP_039442146.1|CPIP	LOC6626177|XP_002050162.1|DVIR
OG0000970	LOC120412746|XP_039429272.1|CPIP, LOC120414836|XP_039432096.1|CPIP, LOC120416782|XP_039434584.1|CPIP	LOC6633180|XP_002055968.1|DVIR
OG0000971	LOC120412655|XP_039429144.1|CPIP, LOC120420893|XP_039439948.1|CPIP	LOC6629045|XP_002052191.2|DVIR
OG0000972	LOC120415719|XP_039433248.1|CPIP	LOC6624445|XP_002046535.1|DVIR
OG0000973	LOC120415145|XP_039432513.1|CPIP, LOC120415146|XP_039432515.1|CPIP, LOC120429862|XP_039450871.1|CPIP	LOC6635438|XP_032295624.1|DVIR
OG0000974	LOC120415931|XP_039433510.1|CPIP, LOC120415915|XP_039433495.1|CPIP, LOC120415929|XP_039433509.1|CPIP, LOC120415934|XP_039433514.1|CPIP, LOC120415935|XP_039433515.1|CPIP	LOC6623372|XP_002047777.1|DVIR
OG0000975	LOC120424400|XP_039444433.1|CPIP	LOC6632293|XP_002056735.3|DVIR
OG0000978	LOC120414919|XP_039432185.1|CPIP	LOC6630415|XP_002053290.1|DVIR
OG0000988	LOC120421063|XP_039440142.1|CPIP	LOC6625619|XP_032293310.1|DVIR, LOC6633589|XP_015025696.1|DVIR, LOC6633210|XP_002055975.1|DVIR, LOC6627863|XP_015028725.1|DVIR
OG0000990	LOC120420232|XP_039439155.1|CPIP	LOC116652292|XP_032296491.1|DVIR, LOC6634419|XP_002058225.1|DVIR
OG0000991	LOC120422538|XP_039441935.1|CPIP, LOC120417786|XP_039435882.1|CPIP	LOC6631787|XP_032295461.1|DVIR
OG0000992	LOC120423852|XP_039443737.1|CPIP	LOC6631174|XP_002054304.1|DVIR
OG0000993	LOC120430226|XP_039451240.1|CPIP	LOC6633168|XP_002056150.1|DVIR
OG0000994	LOC120424677|XP_039444787.1|CPIP, LOC120424619|XP_039444717.1|CPIP	LOC6634086|XP_002057506.1|DVIR
OG0000994	LOC120424683|XP_039444794.1|CPIP, LOC120424625|XP_039444724.1|CPIP	LOC6633639|XP_002056833.1|DVIR
OG0000995	LOC120427566|XP_039448374.1|CPIP	LOC116651825|XP_032294795.1|DVIR, LOC6631774|XP_002055182.1|DVIR
OG0000996	LOC120427074|XP_039447850.1|CPIP	LOC6635431|XP_002059067.1|DVIR, LOC6635959|XP_015024279.1|DVIR
OG0000997	LOC120420924|XP_039439987.1|CPIP	LOC6626261|XP_002048774.3|DVIR, LOC6626262|XP_032291610.1|DVIR
OG0000998	LOC120424650|XP_039444755.1|CPIP, LOC120424647|XP_039444749.1|CPIP	LOC6624648|XP_032290195.1|DVIR
OG0000999	LOC120423615|XP_039443416.1|CPIP	LOC6636087|XP_002059618.1|DVIR
OG0001000	LOC120424549|XP_039444648.1|CPIP	LOC6625993|XP_002050016.2|DVIR
OG0001001	LOC120419379|XP_039437985.1|CPIP, LOC120419368|XP_039437971.1|CPIP, LOC120428792|XP_039449824.1|CPIP	LOC6636378|XP_002059907.1|DVIR
OG0001002	LOC120420795|XP_039439844.1|CPIP, LOC120420762|XP_039439801.1|CPIP, LOC120419729|XP_039438460.1|CPIP	LOC6628652|XP_015028543.1|DVIR
OG0001003	LOC120417872|XP_039436027.1|CPIP	LOC6629305|XP_032288771.1|DVIR
OG0001004	LOC120427940|XP_039448820.1|CPIP	LOC6630123|XP_002053394.1|DVIR
OG0001006	LOC120412343|XP_039428677.1|CPIP	LOC6624367|XP_002047642.1|DVIR
OG0001007	LOC120412364|XP_039428722.1|CPIP	LOC6636203|XP_002059693.1|DVIR, LOC6622784|XP_002046475.1|DVIR
OG0001008	LOC120425096|XP_039445425.1|CPIP	LOC6636669|XP_002060147.1|DVIR
OG0001009	LOC120422414|XP_039441762.1|CPIP	LOC6630937|XP_002053490.1|DVIR
OG0001019	LOC120431968|XP_039453040.1|CPIP, LOC120426070|XP_039446688.1|CPIP, LOC120420148|XP_039439078.1|CPIP	LOC6630451|XP_002053912.2|DVIR
OG0001020	LOC120432292|XP_039453413.1|CPIP, LOC120432291|XP_039453412.1|CPIP, LOC120432246|XP_039453354.1|CPIP, LOC120432290|XP_039453411.1|CPIP	LOC6632054|XP_002055107.2|DVIR
OG0001021	LOC120414374|XP_039431472.1|CPIP, LOC120415238|XP_039432635.1|CPIP, LOC120422475|XP_039441864.1|CPIP, LOC120422464|XP_039441851.1|CPIP	LOC6627907|XP_002051400.1|DVIR
OG0001022	LOC120418094|XP_039436296.1|CPIP, LOC120419901|XP_039438703.1|CPIP	LOC6636715|XP_002060188.2|DVIR
OG0001024	LOC120427860|XP_039448711.1|CPIP, LOC120418640|XP_039437020.1|CPIP	LOC6630574|XP_032294346.1|DVIR
OG0001025	LOC120425358|XP_039445799.1|CPIP, LOC120429619|XP_039450584.1|CPIP	LOC6623286|XP_002046728.1|DVIR
OG0001026	LOC120422301|XP_039441626.1|CPIP, LOC120422302|XP_039441627.1|CPIP	LOC6623761|XP_002047354.1|DVIR, LOC6625057|XP_002050591.2|DVIR
OG0001027	LOC120416048|XP_039433643.1|CPIP, LOC120423608|XP_039443408.1|CPIP, LOC120423611|XP_039443410.1|CPIP, LOC120416052|XP_039433646.1|CPIP	LOC6622884|XP_015031437.1|DVIR
OG0001028	LOC120427120|XP_039447907.1|CPIP, LOC120425132|XP_039445491.1|CPIP	LOC6627398|XP_002052150.1|DVIR
OG0001029	LOC120428402|XP_039449350.1|CPIP, LOC120423780|XP_039443632.1|CPIP, LOC120419109|XP_039437637.1|CPIP, LOC120417576|XP_039435621.1|CPIP	LOC6635696|XP_002059269.1|DVIR
OG0001031	LOC120422610|XP_039442034.1|CPIP	LOC6627800|XP_032293533.1|DVIR
OG0001032	LOC120420748|XP_039439778.1|CPIP	LOC6629006|XP_015028159.1|DVIR
OG0001033	LOC120412515|XP_039428945.1|CPIP	LOC6626211|XP_032292001.1|DVIR, LOC6625177|XP_002049251.2|DVIR
OG0001042	LOC120415636|XP_039433169.1|CPIP, LOC120415634|XP_039433167.1|CPIP	LOC6630467|XP_002054103.1|DVIR
OG0001043	LOC120428461|XP_039449409.1|CPIP, LOC120428460|XP_039449408.1|CPIP	LOC116651817|XP_032294780.1|DVIR, LOC6631776|XP_002055184.1|DVIR, LOC6634126|XP_002057727.1|DVIR
OG0001044	LOC120430637|XP_039451667.1|CPIP, LOC120414295|XP_039431364.1|CPIP, LOC120431058|XP_039452146.1|CPIP, LOC120423322|XP_039443017.1|CPIP, LOC120426241|XP_039446912.1|CPIP	LOC6626377|XP_002050354.1|DVIR
OG0001045	LOC120418895|XP_039437360.1|CPIP, LOC120418897|XP_039437362.1|CPIP, LOC120418896|XP_039437361.1|CPIP	LOC6625875|XP_032292732.1|DVIR
OG0001046	LOC120414288|XP_039431353.1|CPIP	LOC6625276|XP_002049861.2|DVIR
OG0001047	LOC120419261|XP_039437850.1|CPIP	LOC6627141|XP_032293161.1|DVIR, LOC6635343|XP_002058870.1|DVIR
OG0001048	LOC120427460|XP_039448272.1|CPIP, LOC120415347|XP_039432770.1|CPIP, LOC120415491|XP_039432993.1|CPIP	LOC6627020|XP_002049730.2|DVIR
OG0001049	LOC120418908|XP_039437369.1|CPIP	LOC6628822|XP_002052587.3|DVIR, LOC6636597|XP_015023830.1|DVIR
OG0001050	LOC120424973|XP_039445263.1|CPIP	LOC6622895|XP_002046500.2|DVIR
OG0001051	LOC120428680|XP_039449673.1|CPIP	LOC116649777|XP_032293688.1|DVIR
OG0001052	LOC120423094|XP_039442705.1|CPIP	LOC6628907|XP_032293406.1|DVIR
OG0001053	LOC120414310|XP_039431383.1|CPIP	LOC6633376|XP_002057329.3|DVIR
OG0001054	LOC120426826|XP_039447547.1|CPIP	LOC6635135|XP_002058374.1|DVIR
OG0001056	LOC120418272|XP_039436525.1|CPIP	LOC6634767|XP_002058006.2|DVIR
OG0001057	LOC120430572|XP_039451611.1|CPIP	LOC6634108|XP_002057876.1|DVIR
OG0001058	LOC120416636|XP_039434382.1|CPIP	LOC6633332|XP_032288937.1|DVIR
OG0001073	LOC120431391|XP_039452478.1|CPIP	LOC6631108|XP_032294775.1|DVIR
OG0001074	LOC120414966|XP_039432232.1|CPIP	LOC6625756|XP_002048722.1|DVIR
OG0001077	LOC120425417|XP_039445881.1|CPIP	LOC6636762|XP_002060214.1|DVIR
OG0001078	LOC120417092|XP_039435005.1|CPIP, LOC120418041|XP_039436223.1|CPIP	LOC6631344|XP_002055781.1|DVIR
OG0001079	LOC120413721|XP_039430582.1|CPIP	LOC6623691|XP_002046332.3|DVIR
OG0001080	LOC120424184|XP_039444173.1|CPIP	LOC6622805|XP_002047052.1|DVIR
OG0001081	LOC120424185|XP_039444176.1|CPIP, LOC120422819|XP_039442287.1|CPIP	LOC6626019|XP_002050434.1|DVIR, LOC6625716|XP_002051048.1|DVIR
OG0001082	LOC120422638|XP_039442070.1|CPIP	LOC6635821|XP_032292116.1|DVIR
OG0001083	LOC120424383|XP_039444416.1|CPIP	LOC6624556|XP_002046600.1|DVIR
OG0001084	LOC120414378|XP_039431483.1|CPIP, LOC120428045|XP_039448942.1|CPIP, LOC120415730|XP_039433256.1|CPIP	LOC6625770|XP_032291601.1|DVIR
OG0001085	LOC120429944|XP_039450976.1|CPIP	LOC6635877|XP_032292195.1|DVIR
OG0001086	LOC120420100|XP_039438981.1|CPIP	LOC6627259|XP_002049915.1|DVIR
OG0001087	LOC120412412|XP_039428808.1|CPIP	LOC6629230|XP_002051256.1|DVIR
OG0001088	LOC120418521|XP_039436891.1|CPIP, LOC120414624|XP_039431791.1|CPIP	LOC6623616|XP_032290761.1|DVIR
OG0001089	LOC120424839|XP_039445003.1|CPIP	LOC6622218|XP_002046343.1|DVIR
OG0001090	LOC120423504|XP_039443279.1|CPIP, LOC120423512|XP_039443287.1|CPIP, LOC120431958|XP_039453026.1|CPIP, LOC120423513|XP_039443290.1|CPIP	LOC6624624|XP_002046559.3|DVIR
