Orthogroup	CPIP.longest_only	DSER.longest_only
OG0001122	LOC120412874|XP_039429439.1|CPIP	LOC110178657|XP_020801507.1|DSER
OG0001124	LOC120425352|XP_039445788.1|CPIP, LOC120429621|XP_039450585.1|CPIP	LOC110191214|XP_020817639.1|DSER
OG0001125	LOC120413485|XP_039430269.1|CPIP, LOC120413467|XP_039430239.1|CPIP, LOC120413468|XP_039430240.1|CPIP	LOC110188383|XP_020813761.1|DSER
OG0001126	LOC120429600|XP_039450566.1|CPIP, LOC120431181|XP_039452258.1|CPIP, LOC120418013|XP_039436189.1|CPIP	LOC110176234|XP_020798187.1|DSER
OG0001127	LOC120415811|XP_039433372.1|CPIP, LOC120429657|XP_039450624.1|CPIP	LOC110178887|XP_020801819.1|DSER
OG0001128	LOC120429702|XP_039450671.1|CPIP, LOC120427739|XP_039448579.1|CPIP, LOC120430786|XP_039451833.1|CPIP	LOC110177911|XP_020800541.1|DSER
OG0001129	LOC120422189|XP_039441499.1|CPIP	LOC110185865|XP_020810533.1|DSER
OG0001130	LOC120424895|XP_039445117.1|CPIP	LOC110183191|XP_020807053.1|DSER
OG0001131	LOC120419785|XP_039438552.1|CPIP, LOC120429031|XP_039450101.1|CPIP, LOC120419786|XP_039438553.1|CPIP	LOC110185470|XP_020809985.1|DSER
OG0001133	LOC120416081|XP_039433692.1|CPIP	LOC110180308|XP_020803621.1|DSER, LOC110182695|XP_020806449.1|DSER
OG0001134	LOC120419185|XP_039437793.1|CPIP, LOC120421259|XP_039440389.1|CPIP, LOC120420150|XP_039439048.1|CPIP, LOC120415343|XP_039432765.1|CPIP, LOC120417188|XP_039435089.1|CPIP	LOC110178469|XP_020801271.1|DSER
OG0001135	LOC120414352|XP_039431447.1|CPIP, LOC120422246|XP_039441573.1|CPIP	LOC110191174|XP_020817596.1|DSER
OG0001136	LOC120417494|XP_039435503.1|CPIP	LOC110186892|XP_020811850.1|DSER
OG0001137	LOC120418769|XP_039437179.1|CPIP	LOC110186364|XP_020811172.1|DSER
OG0001138	LOC120421356|XP_039440478.1|CPIP, LOC120432104|XP_039453171.1|CPIP, LOC120429313|XP_039450469.1|CPIP	LOC110188494|XP_020813883.1|DSER
OG0001139	LOC120415108|XP_039432461.1|CPIP	LOC110177508|XP_020799921.1|DSER
OG0001153	LOC120420201|XP_039439120.1|CPIP	LOC110191482|XP_020818005.1|DSER
OG0001154	LOC120419964|XP_039438772.1|CPIP, LOC120432189|XP_039453265.1|CPIP	LOC110187359|XP_020812409.1|DSER
OG0001155	LOC120430949|XP_039452010.1|CPIP	LOC110187109|XP_020812177.1|DSER
OG0001157	LOC120424145|XP_039444120.1|CPIP	LOC110184882|XP_020809190.1|DSER
OG0001158	LOC120423984|XP_039443915.1|CPIP	LOC110187418|XP_020812466.1|DSER
OG0001159	LOC120432503|XP_039453649.1|CPIP	LOC110186958|XP_020811958.1|DSER
OG0001160	LOC120430694|XP_039451737.1|CPIP, LOC120427184|XP_039447982.1|CPIP	LOC110188410|XP_020813797.1|DSER
OG0001162	LOC120424769|XP_039444908.1|CPIP, LOC120431325|XP_039452391.1|CPIP, LOC120425407|XP_039445871.1|CPIP	LOC110185498|XP_020810055.1|DSER
OG0001163	LOC120422549|XP_039441951.1|CPIP	LOC110184394|XP_020808570.1|DSER
OG0001164	LOC120428014|XP_039448919.1|CPIP, LOC120428005|XP_039448908.1|CPIP	LOC110187971|XP_020813150.1|DSER
OG0001167	LOC120426173|XP_039446825.1|CPIP	LOC110178257|XP_020800970.1|DSER
OG0001169	LOC120413210|XP_039429863.1|CPIP, LOC120413209|XP_039429861.1|CPIP, LOC120428119|XP_039449038.1|CPIP	LOC110184292|XP_020808436.1|DSER
OG0001170	LOC120414137|XP_039431105.1|CPIP	LOC110190957|XP_020817303.1|DSER
OG0001171	LOC120414141|XP_039431114.1|CPIP, LOC120414113|XP_039431074.1|CPIP	LOC110190349|XP_020816409.1|DSER, LOC110190076|XP_020816041.1|DSER
OG0001172	LOC120422279|XP_039441597.1|CPIP	LOC110178488|XP_020801292.1|DSER
OG0001173	LOC120424131|XP_039444104.1|CPIP, LOC120424129|XP_039444102.1|CPIP, LOC120415745|XP_039433285.1|CPIP, LOC120424132|XP_039444106.1|CPIP, LOC120415300|XP_039432705.1|CPIP, LOC120415341|XP_039432764.1|CPIP	LOC110186390|XP_020811209.1|DSER
OG0001174	LOC120418803|XP_039437221.1|CPIP	LOC110184681|XP_020808953.1|DSER
OG0001176	LOC120414663|XP_039431867.1|CPIP	LOC110189215|XP_020814846.1|DSER
OG0001177	LOC120419053|XP_039437553.1|CPIP	LOC110184819|XP_020809119.1|DSER
OG0001178	LOC120416798|XP_039434608.1|CPIP	LOC110182997|XP_020806848.1|DSER
OG0001179	LOC120415576|XP_039433089.1|CPIP	LOC110179311|XP_020802455.1|DSER
OG0001180	LOC120427095|XP_039447881.1|CPIP	LOC110185430|XP_020809909.1|DSER
OG0001181	LOC120423217|XP_039442860.1|CPIP	LOC110176209|XP_020798132.1|DSER
OG0001182	LOC120417657|XP_039435713.1|CPIP, LOC120417666|XP_039435721.1|CPIP	LOC110185043|XP_020809358.1|DSER
OG0001183	LOC120416960|XP_039434805.1|CPIP	LOC110186583|XP_020811456.1|DSER
OG0001185	LOC120423279|XP_039442953.1|CPIP	LOC110188193|XP_020813445.1|DSER, LOC110188191|XP_020813430.1|DSER
OG0001186	LOC120416650|XP_039434393.1|CPIP	LOC110184532|XP_020808771.1|DSER
OG0001187	LOC120417575|XP_039435620.1|CPIP, LOC120417596|XP_039435643.1|CPIP	LOC110190345|XP_020816445.1|DSER
OG0001188	LOC120424646|XP_039444753.1|CPIP, LOC120425447|XP_039445916.1|CPIP	LOC110182476|XP_020806184.1|DSER
OG0001189	LOC120416208|XP_039433833.1|CPIP, LOC120421579|XP_039440745.1|CPIP	LOC110179310|XP_020802458.1|DSER
OG0001190	LOC120421476|XP_039440627.1|CPIP, LOC120421479|XP_039440630.1|CPIP	LOC110180335|XP_020803653.1|DSER
OG0001191	LOC120423257|XP_039442920.1|CPIP, LOC120423245|XP_039442896.1|CPIP	LOC110183786|XP_020807802.1|DSER
OG0001192	LOC120427744|XP_039448583.1|CPIP	LOC110185723|XP_020810364.1|DSER
OG0001193	LOC120429883|XP_039450897.1|CPIP, LOC120432494|XP_039453642.1|CPIP, LOC120432117|XP_039453186.1|CPIP, LOC120412329|XP_039428664.1|CPIP	LOC110177158|XP_020799402.1|DSER
OG0001194	LOC120416843|XP_039434665.1|CPIP	LOC110182835|XP_020806627.1|DSER
OG0001195	LOC120418583|XP_039436964.1|CPIP	LOC110177613|XP_020800076.1|DSER
OG0001201	LOC120414220|XP_039431262.1|CPIP, LOC120424752|XP_039444879.1|CPIP	LOC110186280|XP_020811053.1|DSER
OG0001202	LOC120432258|XP_039453373.1|CPIP, LOC120432229|XP_039453340.1|CPIP, LOC120432251|XP_039453359.1|CPIP	LOC110180344|XP_020803665.1|DSER
OG0001203	LOC120413295|XP_039429987.1|CPIP	LOC110185435|XP_020809918.1|DSER
OG0001204	LOC120414306|XP_039431381.1|CPIP, LOC120431630|XP_039452673.1|CPIP, LOC120416723|XP_039434484.1|CPIP, LOC120419358|XP_039437962.1|CPIP, LOC120431542|XP_039452584.1|CPIP, LOC120414694|XP_039431918.1|CPIP, LOC120412414|XP_039428811.1|CPIP, LOC120416024|XP_039433620.1|CPIP	LOC110185637|XP_020810253.1|DSER
OG0001205	LOC120429512|XP_039450516.1|CPIP, LOC120431269|XP_039452337.1|CPIP, LOC120429510|XP_039450513.1|CPIP	LOC110177265|XP_020799575.1|DSER
OG0001206	LOC120432275|XP_039453392.1|CPIP	LOC110188679|XP_020814141.1|DSER
OG0001207	LOC120422052|XP_039441319.1|CPIP	LOC110184356|XP_020808509.1|DSER
OG0001208	LOC120424548|XP_039444645.1|CPIP	LOC110179065|XP_020802086.1|DSER
OG0001209	LOC120428053|XP_039448988.1|CPIP, LOC120424496|XP_039444616.1|CPIP	LOC110187828|XP_020812966.1|DSER
OG0001210	LOC120419105|XP_039437659.1|CPIP, LOC120416387|XP_039434100.1|CPIP, LOC120414618|XP_039431815.1|CPIP	LOC110181932|XP_020805526.1|DSER
OG0001211	LOC120421097|XP_039440174.1|CPIP, LOC120418759|XP_039437170.1|CPIP	LOC110188460|XP_020813849.1|DSER
OG0001212	LOC120416356|XP_039434027.1|CPIP, LOC120419697|XP_039438418.1|CPIP, LOC120419684|XP_039438405.1|CPIP, LOC120419698|XP_039438419.1|CPIP	LOC110183232|XP_020807106.1|DSER
OG0001213	LOC120429287|XP_039450448.1|CPIP, LOC120425721|XP_039446260.1|CPIP	LOC110188588|XP_020814009.1|DSER
OG0001214	LOC120431086|XP_039452176.1|CPIP, LOC120430926|XP_039451981.1|CPIP	LOC110177301|XP_020799625.1|DSER
OG0001215	LOC120424669|XP_039444778.1|CPIP, LOC120424614|XP_039444709.1|CPIP, LOC120424675|XP_039444782.1|CPIP, LOC120424616|XP_039444712.1|CPIP	LOC110189040|XP_020814671.1|DSER
OG0001216	LOC120424679|XP_039444789.1|CPIP, LOC120424629|XP_039444729.1|CPIP, LOC120424633|XP_039444733.1|CPIP, LOC120424686|XP_039444796.1|CPIP	LOC110186167|XP_020810879.1|DSER
OG0001217	LOC120423813|XP_039443667.1|CPIP	LOC110185069|XP_020809408.1|DSER
OG0001218	LOC120422590|XP_039442016.1|CPIP	LOC110191013|XP_020817390.1|DSER
OG0001220	LOC120419490|XP_039438112.1|CPIP, LOC120419491|XP_039438113.1|CPIP	LOC110189573|XP_020815362.1|DSER
OG0001221	LOC120422630|XP_039442062.1|CPIP	LOC110182910|XP_020806728.1|DSER
OG0001223	LOC120416560|XP_039434225.1|CPIP	LOC110176670|XP_020798763.1|DSER
OG0001224	LOC120416226|XP_039433860.1|CPIP	LOC110176761|XP_020798869.1|DSER
OG0001225	LOC120417471|XP_039435475.1|CPIP, LOC120417456|XP_039435448.1|CPIP	LOC110180045|XP_020803317.1|DSER
OG0001226	LOC120418804|XP_039437222.1|CPIP	LOC110179328|XP_020802479.1|DSER
OG0001227	LOC120420146|XP_039439038.1|CPIP	LOC110182673|XP_020806413.1|DSER, LOC110180309|XP_020803622.1|DSER
OG0001228	LOC120414239|XP_039431284.1|CPIP, LOC120424577|XP_039444677.1|CPIP	LOC110179641|XP_020802912.1|DSER
OG0001229	LOC120430378|XP_039451410.1|CPIP	LOC110185535|XP_020810101.1|DSER
OG0001230	LOC120422782|XP_039442254.1|CPIP	LOC110182355|XP_020806057.1|DSER
OG0001231	LOC120419802|XP_039438571.1|CPIP	LOC110182819|XP_020806614.1|DSER
OG0001233	LOC120419669|XP_039438368.1|CPIP	LOC110176905|XP_020799051.1|DSER
OG0001234	LOC120414574|XP_039431745.1|CPIP	LOC110188933|XP_020814530.1|DSER, LOC110176381|XP_020798371.1|DSER, LOC110178517|XP_020801328.1|DSER
OG0001235	LOC120417314|XP_039435211.1|CPIP, LOC120431742|XP_039452801.1|CPIP, LOC120431749|XP_039452807.1|CPIP, LOC120431747|XP_039452806.1|CPIP, LOC120417299|XP_039435183.1|CPIP, LOC120417300|XP_039435184.1|CPIP	LOC110178124|XP_020800804.1|DSER
OG0001236	LOC120423226|XP_039442868.1|CPIP	LOC110184617|XP_020808869.1|DSER
OG0001237	LOC120414317|XP_039431388.1|CPIP	LOC110188234|XP_020813550.1|DSER
OG0001238	LOC120426763|XP_039447471.1|CPIP	LOC110186135|XP_020810840.1|DSER
OG0001240	LOC120421246|XP_039440381.1|CPIP, LOC120420595|XP_039439605.1|CPIP, LOC120421250|XP_039440383.1|CPIP	LOC110186155|XP_020810864.1|DSER
OG0001241	LOC120417870|XP_039436024.1|CPIP	LOC110178227|XP_020800935.1|DSER
OG0001242	LOC120425656|XP_039446171.1|CPIP	LOC110185597|XP_020810195.1|DSER, LOC110181928|XP_020805523.1|DSER
OG0001244	LOC120421573|XP_039440738.1|CPIP, LOC120421830|XP_039441041.1|CPIP	LOC110176507|XP_020798539.1|DSER
OG0001245	LOC120423077|XP_039442687.1|CPIP, LOC120430091|XP_039451112.1|CPIP, LOC120423090|XP_039442699.1|CPIP, LOC120421067|XP_039440146.1|CPIP, LOC120423067|XP_039442673.1|CPIP, LOC120423076|XP_039442686.1|CPIP	LOC110188646|XP_020814083.1|DSER
OG0001246	LOC120421869|XP_039441099.1|CPIP, LOC120421861|XP_039441094.1|CPIP, LOC120421865|XP_039441097.1|CPIP	LOC110191492|XP_020818015.1|DSER
OG0001247	LOC120432576|XP_039453739.1|CPIP	LOC110189412|XP_020815126.1|DSER
OG0001248	LOC120422204|XP_039441519.1|CPIP	LOC110190488|XP_020816663.1|DSER
OG0001249	LOC120423895|XP_039443810.1|CPIP	LOC110182831|XP_020806623.1|DSER
OG0001256	LOC120422406|XP_039441758.1|CPIP	LOC110182756|XP_020806526.1|DSER, LOC110184045|XP_020808078.1|DSER
OG0001257	LOC120413281|XP_039429947.1|CPIP	LOC110185455|XP_020809950.1|DSER
OG0001258	LOC120432334|XP_039453457.1|CPIP	LOC110186697|XP_020811628.1|DSER
OG0001259	LOC120430956|XP_039452022.1|CPIP, LOC120416739|XP_039434507.1|CPIP	LOC110178561|XP_020801392.1|DSER
OG0001260	LOC120420175|XP_039439075.1|CPIP, LOC120420182|XP_039439091.1|CPIP	LOC110188452|XP_020813840.1|DSER, LOC110188355|XP_020813722.1|DSER
OG0001261	LOC120427227|XP_039448025.1|CPIP	LOC110190230|XP_020816250.1|DSER, LOC110176049|XP_020797922.1|DSER
OG0001263	LOC120432642|XP_039453825.1|CPIP	LOC110188014|XP_020813197.1|DSER
OG0001264	LOC120429252|XP_039450399.1|CPIP, LOC120426464|XP_039447160.1|CPIP	LOC110178214|XP_020800915.1|DSER
OG0001265	LOC120428458|XP_039449403.1|CPIP	LOC110182507|XP_020806217.1|DSER
OG0001266	LOC120417192|XP_039435093.1|CPIP	LOC110176927|XP_020799086.1|DSER
OG0001267	LOC120424506|XP_039444591.1|CPIP, LOC120426739|XP_039447450.1|CPIP	LOC110188013|XP_020813196.1|DSER
OG0001269	LOC120429645|XP_039450605.1|CPIP	LOC110180732|XP_020804073.1|DSER, LOC110180266|XP_020803581.1|DSER
OG0001270	LOC120425363|XP_039445806.1|CPIP, LOC120431090|XP_039452180.1|CPIP, LOC120430927|XP_039451982.1|CPIP	LOC110177268|XP_020799579.1|DSER
OG0001271	LOC120430259|XP_039451279.1|CPIP, LOC120419757|XP_039438514.1|CPIP, LOC120419744|XP_039438480.1|CPIP	LOC110178003|XP_020800662.1|DSER
OG0001272	LOC120424869|XP_039445058.1|CPIP	LOC110188883|XP_020814459.1|DSER
OG0001273	LOC120429935|XP_039450967.1|CPIP	LOC110188047|XP_020813255.1|DSER
OG0001274	LOC120418048|XP_039436233.1|CPIP	LOC110178986|XP_020801960.1|DSER
OG0001276	LOC120413456|XP_039430225.1|CPIP	LOC110183641|XP_020807621.1|DSER
OG0001277	LOC120424852|XP_039445035.1|CPIP	LOC110185326|XP_020809757.1|DSER
OG0001278	LOC120419963|XP_039438765.1|CPIP	LOC110190777|XP_020817067.1|DSER
OG0001279	LOC120419970|XP_039438780.1|CPIP	LOC110190634|XP_020816889.1|DSER
OG0001280	LOC120431879|XP_039452941.1|CPIP, LOC120414432|XP_039431549.1|CPIP	LOC110178813|XP_020801731.1|DSER, LOC110178814|XP_020801734.1|DSER, LOC110178718|XP_020801581.1|DSER
OG0001281	LOC120421671|XP_039440836.1|CPIP, LOC120421627|XP_039440789.1|CPIP	LOC110177548|XP_020799976.1|DSER
OG0001282	LOC120429812|XP_039450796.1|CPIP, LOC120425025|XP_039445333.1|CPIP	LOC110186109|XP_020810815.1|DSER
OG0001283	LOC120427036|XP_039447800.1|CPIP	LOC110188939|XP_020814537.1|DSER
OG0001284	LOC120414678|XP_039431897.1|CPIP	LOC110182846|XP_020806637.1|DSER
OG0001285	LOC120429106|XP_039450203.1|CPIP, LOC120414724|XP_039431961.1|CPIP	LOC110183656|XP_020807643.1|DSER
OG0001286	LOC120429762|XP_039450749.1|CPIP	LOC110187276|XP_020812324.1|DSER
OG0001287	LOC120426934|XP_039447680.1|CPIP, LOC120426947|XP_039447703.1|CPIP, LOC120426556|XP_039447257.1|CPIP	LOC110188353|XP_020813720.1|DSER
OG0001288	LOC120420968|XP_039440035.1|CPIP	LOC110178188|XP_020800882.1|DSER
OG0001289	LOC120418705|XP_039437108.1|CPIP, LOC120418706|XP_039437109.1|CPIP	LOC110187458|XP_020812504.1|DSER
OG0001290	LOC120429839|XP_039450837.1|CPIP, LOC120429074|XP_039450161.1|CPIP	LOC110187380|XP_020812427.1|DSER
OG0001291	LOC120414339|XP_039431425.1|CPIP	LOC110191499|XP_020818024.1|DSER
OG0001292	LOC120423698|XP_039443534.1|CPIP, LOC120423701|XP_039443537.1|CPIP	LOC110183703|XP_020807741.1|DSER, LOC110183245|XP_020807129.1|DSER
OG0001293	LOC120414358|XP_039431455.1|CPIP	LOC110181963|XP_020805571.1|DSER
OG0001294	LOC120426999|XP_039447750.1|CPIP	LOC110184142|XP_020808214.1|DSER
OG0001295	LOC120431459|XP_039452510.1|CPIP	LOC110187073|XP_020812122.1|DSER
OG0001296	LOC120419233|XP_039437826.1|CPIP	LOC110189783|XP_020815671.1|DSER
OG0001297	LOC120423588|XP_039443387.1|CPIP	LOC110190384|XP_020816477.1|DSER
OG0001298	LOC120417916|XP_039436086.1|CPIP, LOC120416955|XP_039434793.1|CPIP	LOC110188270|XP_020813618.1|DSER
OG0001299	LOC120422007|XP_039441255.1|CPIP, LOC120432174|XP_039453246.1|CPIP	LOC110185144|XP_020809505.1|DSER
OG0001300	LOC120415419|XP_039432887.1|CPIP	LOC110191216|XP_020817641.1|DSER
OG0001301	LOC120423370|XP_039443087.1|CPIP, LOC120423371|XP_039443088.1|CPIP	LOC110185822|XP_020810488.1|DSER
OG0001302	LOC120417543|XP_039435559.1|CPIP	LOC110191930|XP_020818604.1|DSER
OG0001303	LOC120425865|XP_039446421.1|CPIP	LOC110191212|XP_020817638.1|DSER
OG0001304	LOC120417898|XP_039436053.1|CPIP	LOC110178260|XP_020800981.1|DSER
OG0001305	LOC120427519|XP_039448316.1|CPIP	LOC110177242|XP_020799538.1|DSER
OG0001306	LOC120423281|XP_039442982.1|CPIP	LOC110190363|XP_020816437.1|DSER
OG0001307	LOC120414405|XP_039431518.1|CPIP	LOC110190465|XP_020816633.1|DSER
OG0001308	LOC120414403|XP_039431514.1|CPIP	LOC110183250|XP_020807132.1|DSER
OG0001309	LOC120414020|XP_039430971.1|CPIP, LOC120414000|XP_039430943.1|CPIP	LOC110177283|XP_020799591.1|DSER
OG0001311	LOC120417566|XP_039435594.1|CPIP, LOC120420210|XP_039439128.1|CPIP	LOC110182638|XP_020806365.1|DSER
OG0001312	LOC120431895|XP_039452958.1|CPIP, LOC120424481|XP_039444557.1|CPIP	LOC110185195|XP_020809579.1|DSER
OG0001313	LOC120416827|XP_039434648.1|CPIP	LOC110178474|XP_020801275.1|DSER
OG0001314	LOC120418103|XP_039436307.1|CPIP, LOC120431543|XP_039452585.1|CPIP, LOC120431629|XP_039452672.1|CPIP, LOC120423143|XP_039442759.1|CPIP, LOC120414582|XP_039431751.1|CPIP, LOC120412578|XP_039429022.1|CPIP, LOC120416026|XP_039433621.1|CPIP, LOC120412415|XP_039428812.1|CPIP, LOC120421472|XP_039440623.1|CPIP	LOC110185638|XP_020810254.1|DSER
OG0001315	LOC120420411|XP_039439364.1|CPIP	LOC110180451|XP_020803786.1|DSER
OG0001322	LOC120426837|XP_039447560.1|CPIP	LOC110186450|XP_020811294.1|DSER, LOC110177181|XP_020799431.1|DSER
OG0001326	LOC120417038|XP_039434922.1|CPIP, LOC120419278|XP_039437878.1|CPIP, LOC120420268|XP_039439201.1|CPIP	LOC110186766|XP_020811687.1|DSER
OG0001328	LOC120414973|XP_039432241.1|CPIP, LOC120421074|XP_039440154.1|CPIP	LOC110181715|XP_020805223.1|DSER
OG0001329	LOC120425636|XP_039446157.1|CPIP, LOC120417782|XP_039435872.1|CPIP	LOC110181481|XP_020804893.1|DSER
OG0001330	LOC120422463|XP_039441846.1|CPIP	LOC110179252|XP_020802369.1|DSER
OG0001331	LOC120417708|XP_039435788.1|CPIP, LOC120417710|XP_039435793.1|CPIP	LOC110182448|XP_020806142.1|DSER
OG0001332	LOC120413145|XP_039429789.1|CPIP, LOC120412616|XP_039429104.1|CPIP	LOC110179723|XP_020803001.1|DSER
OG0001333	LOC120417034|XP_039434912.1|CPIP, LOC120417028|XP_039434904.1|CPIP	LOC110183753|XP_020807768.1|DSER
OG0001334	LOC120414158|XP_039431133.1|CPIP, LOC120414159|XP_039431134.1|CPIP	LOC110186443|XP_020811286.1|DSER
OG0001335	LOC120425484|XP_039445962.1|CPIP, LOC120425483|XP_039445956.1|CPIP	LOC110176574|XP_020798642.1|DSER
OG0001337	LOC120432047|XP_039453113.1|CPIP, LOC120427370|XP_039448159.1|CPIP	LOC110191969|XP_020818643.1|DSER
OG0001338	LOC120428736|XP_039449746.1|CPIP	LOC110179656|XP_020802916.1|DSER
OG0001339	LOC120424190|XP_039444183.1|CPIP	LOC110180030|XP_020803296.1|DSER
OG0001340	LOC120425159|XP_039445523.1|CPIP, LOC120431992|XP_039453061.1|CPIP	LOC110185353|XP_020809791.1|DSER
OG0001341	LOC120431639|XP_039452681.1|CPIP	LOC110190867|XP_020817177.1|DSER
OG0001343	LOC120430148|XP_039451166.1|CPIP, LOC120430149|XP_039451167.1|CPIP	LOC110176656|XP_020798749.1|DSER
OG0001344	LOC120422010|XP_039441262.1|CPIP, LOC120422024|XP_039441280.1|CPIP	LOC110186634|XP_020811552.1|DSER
OG0001345	LOC120428740|XP_039449749.1|CPIP, LOC120427177|XP_039447971.1|CPIP	LOC110188450|XP_020813838.1|DSER
OG0001346	LOC120428013|XP_039448918.1|CPIP	LOC110186545|XP_020811407.1|DSER
OG0001347	LOC120425439|XP_039445903.1|CPIP	LOC110184801|XP_020809095.1|DSER
OG0001348	LOC120413504|XP_039430294.1|CPIP	LOC110186642|XP_020811561.1|DSER
OG0001349	LOC120424374|XP_039444404.1|CPIP	LOC110190514|XP_020816703.1|DSER
OG0001350	LOC120426570|XP_039447290.1|CPIP	LOC110181246|XP_020804609.1|DSER, LOC110181243|XP_020804607.1|DSER, LOC110181245|XP_020804608.1|DSER
OG0001351	LOC120426287|XP_039446974.1|CPIP	LOC110178004|XP_020800663.1|DSER, LOC110178011|XP_020800684.1|DSER
OG0001352	LOC120418886|XP_039437353.1|CPIP	LOC110189271|XP_020814946.1|DSER
OG0001353	LOC120419585|XP_039438249.1|CPIP, LOC120426756|XP_039447465.1|CPIP, LOC120430442|XP_039451492.1|CPIP	LOC110176147|XP_020798043.1|DSER
OG0001354	LOC120432105|XP_039453172.1|CPIP, LOC120427034|XP_039447795.1|CPIP	LOC110181140|XP_020804469.1|DSER, LOC110181101|XP_020804431.1|DSER
OG0001355	LOC120418490|XP_039436861.1|CPIP	LOC110176356|XP_020798347.1|DSER
OG0001356	LOC120429155|XP_039450297.1|CPIP, LOC120420068|XP_039438925.1|CPIP	LOC110187982|XP_020813162.1|DSER
OG0001357	LOC120418023|XP_039436200.1|CPIP	LOC110189116|XP_020814749.1|DSER
OG0001358	LOC120418025|XP_039436203.1|CPIP	LOC110176678|XP_020798774.1|DSER, LOC110185177|XP_020809554.1|DSER
OG0001359	LOC120414639|XP_039431804.1|CPIP, LOC120414627|XP_039431795.1|CPIP	LOC110186033|XP_020810729.1|DSER
OG0001360	LOC120426786|XP_039447497.1|CPIP	LOC110180786|XP_020804157.1|DSER
OG0001361	LOC120419996|XP_039438820.1|CPIP, LOC120419994|XP_039438816.1|CPIP	LOC110190504|XP_020816681.1|DSER
OG0001362	LOC120419965|XP_039438769.1|CPIP	LOC110190780|XP_020817077.1|DSER
OG0001363	LOC120432172|XP_039453243.1|CPIP, LOC120414130|XP_039431095.1|CPIP	LOC110188349|XP_020813716.1|DSER
OG0001364	LOC120417618|XP_039435666.1|CPIP, LOC120418691|XP_039437089.1|CPIP	LOC110191559|XP_020818093.1|DSER
OG0001365	LOC120426785|XP_039447496.1|CPIP	LOC110191304|XP_020817774.1|DSER
OG0001367	LOC120422283|XP_039441604.1|CPIP, LOC120423782|XP_039443634.1|CPIP	LOC110180165|XP_020803499.1|DSER
OG0001368	LOC120424976|XP_039445266.1|CPIP	LOC110188968|XP_020814572.1|DSER
OG0001369	LOC120429806|XP_039450790.1|CPIP, LOC120432065|XP_039453130.1|CPIP	LOC110183634|XP_020807611.1|DSER
OG0001373	LOC120422191|XP_039441506.1|CPIP, LOC120426638|XP_039447361.1|CPIP	LOC110182721|XP_020806480.1|DSER
OG0001374	LOC120414669|XP_039431880.1|CPIP	LOC110189535|XP_020815323.1|DSER, LOC110176776|XP_020798873.1|DSER
OG0001375	LOC120428430|XP_039449375.1|CPIP	LOC110187945|XP_020813118.1|DSER
OG0001376	LOC120430180|XP_039451195.1|CPIP, LOC120430185|XP_039451199.1|CPIP	LOC110179351|XP_020802520.1|DSER
OG0001377	LOC120424094|XP_039444041.1|CPIP	LOC110176816|XP_020798916.1|DSER
OG0001378	LOC120416104|XP_039433721.1|CPIP, LOC120430328|XP_039451362.1|CPIP	LOC110185914|XP_020810585.1|DSER
OG0001379	LOC120413125|XP_039429764.1|CPIP	LOC110182598|XP_020806311.1|DSER
OG0001380	LOC120419386|XP_039437994.1|CPIP	LOC110189757|XP_020815630.1|DSER
OG0001381	LOC120430020|XP_039451049.1|CPIP	LOC110182389|XP_020806091.1|DSER
OG0001382	LOC120420085|XP_039438952.1|CPIP	LOC110187249|XP_020812306.1|DSER
OG0001383	LOC120416800|XP_039434611.1|CPIP	LOC110176382|XP_020798372.1|DSER, LOC110188936|XP_020814534.1|DSER
OG0001384	LOC120415581|XP_039433100.1|CPIP	LOC110181428|XP_020804830.1|DSER
OG0001385	LOC120421152|XP_039440276.1|CPIP	LOC110177889|XP_020800514.1|DSER
OG0001386	LOC120413888|XP_039430795.1|CPIP, LOC120420488|XP_039439467.1|CPIP	LOC110177636|XP_020800143.1|DSER, LOC110177123|XP_020799376.1|DSER
OG0001387	LOC120413881|XP_039430789.1|CPIP, LOC120413875|XP_039430781.1|CPIP	LOC110182657|XP_020806388.1|DSER
OG0001388	LOC120425170|XP_039445537.1|CPIP, LOC120425176|XP_039445544.1|CPIP, LOC120421428|XP_039440573.1|CPIP, LOC120431693|XP_039452741.1|CPIP	LOC110183323|XP_020807228.1|DSER
OG0001389	LOC120420640|XP_039439652.1|CPIP, LOC120420638|XP_039439650.1|CPIP	LOC110185063|XP_020809402.1|DSER
OG0001390	LOC120415004|XP_039432300.1|CPIP	LOC110183025|XP_020806871.1|DSER, LOC110183011|XP_020806857.1|DSER, LOC110185616|XP_020810223.1|DSER
OG0001391	LOC120430393|XP_039451430.1|CPIP	LOC110181410|XP_020804806.1|DSER
OG0001392	LOC120420020|XP_039438855.1|CPIP, LOC120422249|XP_039441575.1|CPIP	LOC110191965|XP_020818642.1|DSER
OG0001393	LOC120424012|XP_039443960.1|CPIP, LOC120419715|XP_039438436.1|CPIP	LOC110178053|XP_020800722.1|DSER, LOC110183752|XP_020807767.1|DSER
OG0001394	LOC120428108|XP_039449024.1|CPIP, LOC120424757|XP_039444886.1|CPIP, LOC120414228|XP_039431273.1|CPIP	LOC110183308|XP_020807207.1|DSER
OG0001395	LOC120413792|XP_039430676.1|CPIP	LOC110188685|XP_020814146.1|DSER, LOC110191803|XP_020818413.1|DSER
OG0001396	LOC120431719|XP_039452778.1|CPIP, LOC120430877|XP_039451940.1|CPIP	LOC110175946|XP_020797792.1|DSER
