Orthogroup	CPIP.longest_only	DHYD.longest_only
OG0000496	LOC120417351|XP_039435289.1|CPIP	LOC111602239|XP_023174993.2|DHYD
OG0000496	LOC120418242|XP_039436492.1|CPIP	LOC111592915|XP_023161134.2|DHYD
OG0000497	LOC120429075|XP_039450164.1|CPIP	LOC111591953|XP_023159655.2|DHYD, LOC111591960|XP_023159668.2|DHYD
OG0000498	LOC120425951|XP_039446523.1|CPIP	LOC111593377|XP_023161864.2|DHYD
OG0000499	LOC120429629|XP_039450596.1|CPIP, LOC120426655|XP_039447382.1|CPIP	LOC111600628|XP_023172599.1|DHYD
OG0000499	LOC120427332|XP_039448115.1|CPIP	LOC111605300|XP_023179522.1|DHYD
OG0000500	LOC120423742|XP_039443588.1|CPIP, LOC120425271|XP_039445651.1|CPIP	LOC111603333|XP_023176637.2|DHYD, LOC111599229|XP_023170595.2|DHYD
OG0000504	LOC120420034|XP_039438869.1|CPIP, LOC120420053|XP_039438899.1|CPIP, LOC120420033|XP_039438868.1|CPIP, LOC120420050|XP_039438896.1|CPIP, LOC120420032|XP_039438867.1|CPIP	LOC111605654|XP_023180083.2|DHYD
OG0000505	LOC120420407|XP_039439358.1|CPIP, LOC120430294|XP_039451324.1|CPIP	LOC111601616|XP_023174050.2|DHYD, LOC111601617|XP_030079936.1|DHYD
OG0000506	LOC120415717|XP_039433250.1|CPIP, LOC120415729|XP_039433260.1|CPIP, LOC120426164|XP_039446822.1|CPIP, LOC120425474|XP_039445947.1|CPIP, LOC120423334|XP_039443038.1|CPIP	LOC111601316|XP_030081592.1|DHYD, LOC111601344|XP_023173644.2|DHYD
OG0000507	LOC120416489|XP_039434142.1|CPIP	LOC111593499|XP_030079940.1|DHYD
OG0000507	LOC120431083|XP_039452173.1|CPIP	LOC111593500|XP_023162035.1|DHYD
OG0000508	LOC120422027|XP_039441285.1|CPIP	LOC111596887|XP_023167105.2|DHYD, LOC111597412|XP_030079482.1|DHYD
OG0000509	LOC120412892|XP_039429456.1|CPIP	LOC111596627|XP_030081319.1|DHYD
OG0000510	LOC120430997|XP_039452090.1|CPIP	LOC111592519|XP_023160538.2|DHYD
OG0000511	LOC120424968|XP_039445259.1|CPIP, LOC120424959|XP_039445246.1|CPIP	LOC111602504|XP_023175347.2|DHYD, LOC111602452|XP_023175279.2|DHYD
OG0000512	LOC120424352|XP_039444380.1|CPIP, LOC120424370|XP_039444400.1|CPIP	LOC111602494|XP_023175331.2|DHYD
OG0000513	LOC120415521|XP_039433012.1|CPIP	LOC111597638|XP_023168211.2|DHYD, LOC111598968|XP_023170230.2|DHYD
OG0000514	LOC120427085|XP_039447860.1|CPIP	LOC111595808|XP_023165467.2|DHYD, LOC111595862|XP_030079227.1|DHYD
OG0000515	LOC120418437|XP_039436779.1|CPIP	LOC111597674|XP_023168272.1|DHYD, LOC111595057|XP_023164379.1|DHYD
OG0000516	LOC120425668|XP_039446186.1|CPIP, LOC120425662|XP_039446176.1|CPIP, LOC120425669|XP_039446187.1|CPIP	LOC111602030|XP_030079551.1|DHYD, LOC111602063|XP_023174745.2|DHYD
OG0000517	LOC120415407|XP_039432869.1|CPIP, LOC120415408|XP_039432870.1|CPIP	LOC111598097|XP_023168915.1|DHYD, LOC111598096|XP_023168914.1|DHYD
OG0000521	LOC120415088|XP_039432438.1|CPIP	LOC111595958|XP_030080031.1|DHYD, LOC111596169|XP_030080029.1|DHYD
OG0000522	LOC120431780|XP_039452835.1|CPIP, LOC120414515|XP_039431656.1|CPIP	LOC111602233|XP_023174988.2|DHYD, LOC111598827|XP_023170027.2|DHYD
OG0000523	LOC120414519|XP_039431662.1|CPIP	LOC111594079|XP_023162989.1|DHYD
OG0000524	LOC120428395|XP_039449339.1|CPIP	LOC111601791|XP_023174330.2|DHYD
OG0000525	LOC120430954|XP_039452016.1|CPIP, LOC120430952|XP_039452011.1|CPIP	LOC111602095|XP_023174797.2|DHYD
OG0000526	LOC120422198|XP_039441514.1|CPIP	LOC111594352|XP_023163380.2|DHYD, LOC111593598|XP_023162226.1|DHYD
OG0000527	LOC120415668|XP_039433183.1|CPIP	LOC111602174|XP_023174903.1|DHYD, LOC111602152|XP_023174872.2|DHYD
OG0000528	LOC120413594|XP_039430436.1|CPIP, LOC120418630|XP_039437007.1|CPIP, LOC120418634|XP_039437013.1|CPIP, LOC120418635|XP_039437015.1|CPIP, LOC120418638|XP_039437017.1|CPIP	LOC111596125|XP_023165963.2|DHYD
OG0000529	LOC120420612|XP_039439623.1|CPIP	LOC111599312|XP_023170690.2|DHYD, LOC111596088|XP_023165916.2|DHYD
OG0000530	LOC120420815|XP_039439870.1|CPIP	LOC111597573|XP_023168140.2|DHYD, LOC111603062|XP_023176287.1|DHYD
OG0000531	LOC120418596|XP_039436976.1|CPIP	LOC111592074|XP_023159857.1|DHYD, LOC111600560|XP_023172479.1|DHYD
OG0000532	LOC120415086|XP_039432439.1|CPIP	LOC111601426|XP_023173770.2|DHYD, LOC111601494|XP_023173849.1|DHYD
OG0000533	LOC120427980|XP_039448871.1|CPIP	LOC111598396|XP_023169390.1|DHYD
OG0000533	LOC120423795|XP_039443648.1|CPIP	LOC111604888|XP_023178896.1|DHYD
OG0000535	LOC120419938|XP_039438736.1|CPIP	LOC111599263|XP_023170633.1|DHYD, LOC111595592|XP_023165170.1|DHYD
OG0000536	LOC120420853|XP_039439905.1|CPIP, LOC120429579|XP_039450557.1|CPIP, LOC120429576|XP_039450554.1|CPIP	LOC111593083|XP_023161441.2|DHYD, LOC111593098|XP_023161464.2|DHYD
OG0000537	LOC120412729|XP_039429253.1|CPIP	LOC111593799|XP_023162588.2|DHYD
OG0000538	LOC120415393|XP_039432853.1|CPIP	LOC111604354|XP_023178187.1|DHYD, LOC111598006|XP_023168766.1|DHYD
OG0000539	LOC120423804|XP_039443655.1|CPIP	LOC111595172|XP_023164520.1|DHYD, LOC111595165|XP_023164513.1|DHYD
OG0000542	LOC120415062|XP_039432384.1|CPIP	LOC111604801|XP_023178789.2|DHYD, LOC111593703|XP_023162419.1|DHYD
OG0000543	LOC120414176|XP_039431183.1|CPIP, LOC120414177|XP_039431184.1|CPIP	LOC111594828|XP_023164060.1|DHYD, LOC111595610|XP_023165184.2|DHYD
OG0000544	LOC120413340|XP_039430050.1|CPIP	LOC111601045|XP_023173227.1|DHYD, LOC111595332|XP_023164764.1|DHYD
OG0000545	LOC120432499|XP_039453646.1|CPIP, LOC120430290|XP_039451318.1|CPIP	LOC111601520|XP_023173894.2|DHYD, LOC111601443|XP_030078652.1|DHYD
OG0000546	LOC120425411|XP_039445875.1|CPIP	LOC111603558|XP_023176966.2|DHYD, LOC111596748|XP_023166847.1|DHYD
OG0000547	LOC120429775|XP_039450766.1|CPIP	LOC111597263|XP_023167642.1|DHYD, LOC111602796|XP_023175848.1|DHYD
OG0000548	LOC120420653|XP_039439671.1|CPIP	LOC111594374|XP_023163406.2|DHYD, LOC111594371|XP_023163404.2|DHYD, LOC111594370|XP_023163403.2|DHYD
OG0000549	LOC120429126|XP_039450252.1|CPIP, LOC120429130|XP_039450259.1|CPIP, LOC120429127|XP_039450254.1|CPIP	LOC111593805|XP_023162598.1|DHYD
OG0000550	LOC120430650|XP_039451689.1|CPIP, LOC120425137|XP_039445498.1|CPIP	LOC111601730|XP_023174224.2|DHYD, LOC111596321|XP_023166255.1|DHYD
OG0000552	LOC120430491|XP_039451519.1|CPIP, LOC120417370|XP_039435317.1|CPIP	LOC111594479|XP_023163552.2|DHYD, LOC111594594|XP_023163725.2|DHYD, LOC111594576|XP_023163702.2|DHYD
OG0000553	LOC120428198|XP_039449114.1|CPIP, LOC120428547|XP_039449516.1|CPIP, LOC120428493|XP_039449443.1|CPIP	LOC111594723|XP_023163922.2|DHYD, LOC111594692|XP_023163880.2|DHYD, LOC111594722|XP_023163920.2|DHYD
OG0000554	LOC120420637|XP_039439649.1|CPIP	LOC111605581|XP_023179953.2|DHYD, LOC111594453|XP_023163515.2|DHYD
OG0000555	LOC120415906|XP_039433483.1|CPIP	LOC111601060|XP_023173247.1|DHYD, LOC111604484|XP_023178339.1|DHYD
OG0000556	LOC120417500|XP_039435511.1|CPIP	LOC111598310|XP_023169272.1|DHYD, LOC111603437|XP_023176789.1|DHYD
OG0000557	LOC120413021|XP_039429623.1|CPIP	LOC111604581|XP_023178452.2|DHYD, LOC111604564|XP_023178431.2|DHYD
OG0000558	LOC120427435|XP_039448225.1|CPIP	LOC111603017|XP_023176204.1|DHYD, LOC111598667|XP_023169787.2|DHYD
OG0000559	LOC120426477|XP_039447174.1|CPIP	LOC111601778|XP_023174299.2|DHYD, LOC111595083|XP_023164406.2|DHYD
OG0000560	LOC120420416|XP_039439369.1|CPIP	LOC111597007|XP_023167279.1|DHYD, LOC111597006|XP_023167278.1|DHYD
OG0000561	LOC120429693|XP_039450666.1|CPIP	LOC111598714|XP_023169871.2|DHYD, LOC111598750|XP_023169918.2|DHYD
OG0000562	LOC120420548|XP_039439551.1|CPIP	LOC111593112|XP_023161480.2|DHYD, LOC115483767|XP_030081869.1|DHYD, LOC111592803|XP_023160979.1|DHYD
OG0000566	LOC120415037|XP_039432342.1|CPIP	LOC111602385|XP_023175176.1|DHYD, LOC111604753|XP_023178707.1|DHYD
OG0000567	LOC120432277|XP_039453398.1|CPIP	LOC111597252|XP_023167623.1|DHYD
OG0000567	LOC120432280|XP_039453400.1|CPIP	LOC111597331|XP_023167742.2|DHYD
OG0000568	LOC120430557|XP_039451606.1|CPIP, LOC120416898|XP_039434730.1|CPIP	LOC111598233|XP_023169167.2|DHYD, LOC111601981|XP_023174631.2|DHYD
OG0000569	LOC120428788|XP_039449810.1|CPIP	LOC111600813|XP_023172874.1|DHYD
OG0000570	LOC120418345|XP_039436631.1|CPIP	LOC111596953|XP_023167181.2|DHYD, LOC111596961|XP_023167195.2|DHYD
OG0000571	LOC120422115|XP_039441417.1|CPIP	LOC111594258|XP_023163247.2|DHYD, LOC111594260|XP_030078679.1|DHYD
OG0000572	LOC120417835|XP_039435984.1|CPIP	LOC111596609|XP_023166661.1|DHYD, LOC111596591|XP_023166642.1|DHYD
OG0000573	LOC120416539|XP_039434194.1|CPIP	LOC111597783|XP_023168417.2|DHYD, LOC111599905|XP_023171495.1|DHYD
OG0000574	LOC120413383|XP_039430115.1|CPIP	LOC111597298|XP_023167689.2|DHYD, LOC111601545|XP_023173949.1|DHYD
OG0000575	LOC120426920|XP_039447658.1|CPIP	LOC111595126|XP_023164466.2|DHYD, LOC111595051|XP_023164346.2|DHYD
OG0000576	LOC120432079|XP_039453146.1|CPIP, LOC120418632|XP_039437011.1|CPIP	LOC111603412|XP_023176762.2|DHYD
OG0000577	LOC120412653|XP_039429141.1|CPIP	LOC111605561|XP_023179902.1|DHYD
OG0000578	LOC120420633|XP_039439643.1|CPIP	LOC111601242|XP_023173511.2|DHYD, LOC111599661|XP_023171129.2|DHYD
OG0000579	LOC120429903|XP_039450930.1|CPIP	LOC111593268|XP_023161705.1|DHYD, LOC111597243|XP_023167607.1|DHYD
OG0000580	LOC120413757|XP_039430626.1|CPIP	LOC111603021|XP_023176219.2|DHYD, LOC111602980|XP_023176142.2|DHYD
OG0000581	LOC120413933|XP_039430859.1|CPIP	LOC111596434|XP_023166418.2|DHYD
OG0000582	LOC120424290|XP_039444311.1|CPIP	LOC111595070|XP_023164398.1|DHYD
OG0000583	LOC120416812|XP_039434621.1|CPIP	LOC111593932|XP_023162778.1|DHYD, LOC111603806|XP_023177325.1|DHYD
OG0000589	LOC120426454|XP_039447150.1|CPIP	LOC111592357|XP_030080157.1|DHYD
OG0000590	LOC120421456|XP_039440638.1|CPIP	LOC111605431|XP_023179712.1|DHYD
OG0000592	LOC120413276|XP_039429940.1|CPIP	LOC111593899|XP_023162736.2|DHYD, LOC111600679|XP_023172697.2|DHYD
OG0000593	LOC120429571|XP_039450551.1|CPIP	LOC111595398|XP_023164873.1|DHYD
OG0000594	LOC120416509|XP_039434164.1|CPIP	LOC111594451|XP_023163512.1|DHYD, LOC111604560|XP_023178428.1|DHYD
OG0000595	LOC120422557|XP_039441970.1|CPIP	LOC111605572|XP_023179922.1|DHYD, LOC111598220|XP_023169146.1|DHYD
OG0000596	LOC120432526|XP_039453677.1|CPIP	LOC111601915|XP_023174530.2|DHYD, LOC111601319|XP_023173617.2|DHYD
OG0000597	LOC120420728|XP_039439757.1|CPIP	LOC111596407|XP_023166384.2|DHYD, LOC111596409|XP_023166385.2|DHYD
OG0000598	LOC120428012|XP_039448916.1|CPIP, LOC120424605|XP_039444698.1|CPIP, LOC120424609|XP_039444703.1|CPIP, LOC120424607|XP_039444701.1|CPIP, LOC120424608|XP_039444702.1|CPIP, LOC120424606|XP_039444700.1|CPIP	LOC111594455|XP_023163518.2|DHYD, LOC111594456|XP_023163520.2|DHYD
OG0000599	LOC120420911|XP_039439970.1|CPIP, LOC120415914|XP_039433494.1|CPIP	LOC111597568|XP_023168134.2|DHYD, LOC111597569|XP_023168135.2|DHYD
OG0000600	LOC120420913|XP_039439972.1|CPIP	LOC111595722|XP_023165340.1|DHYD, LOC111595725|XP_023165344.1|DHYD
OG0000601	LOC120417482|XP_039435492.1|CPIP	LOC111593157|XP_023161528.2|DHYD, LOC111593163|XP_023161533.1|DHYD
OG0000602	LOC120422812|XP_039442286.1|CPIP	LOC111603941|XP_023177537.2|DHYD, LOC111603928|XP_023177523.2|DHYD, LOC111603976|XP_023177590.2|DHYD
OG0000603	LOC120413865|XP_039430763.1|CPIP	LOC111601936|XP_023174558.2|DHYD
OG0000604	LOC120414592|XP_039431765.1|CPIP	LOC111603542|XP_023176944.1|DHYD, LOC111596067|XP_023165885.1|DHYD
OG0000605	LOC120418707|XP_039437110.1|CPIP, LOC120418728|XP_039437137.1|CPIP, LOC120418709|XP_039437111.1|CPIP, LOC120418710|XP_039437112.1|CPIP	LOC111601154|XP_023173401.2|DHYD
OG0000606	LOC120423379|XP_039443097.1|CPIP	LOC111603499|XP_023176873.2|DHYD
OG0000607	LOC120431344|XP_039452409.1|CPIP, LOC120420947|XP_039440017.1|CPIP	LOC111596833|XP_023166979.1|DHYD, LOC111595484|XP_023165048.1|DHYD
OG0000608	LOC120421236|XP_039440368.1|CPIP	LOC111600241|XP_023172044.1|DHYD, LOC111600252|XP_023172065.1|DHYD
OG0000609	LOC120413039|XP_039429662.1|CPIP	LOC111595828|XP_030079203.1|DHYD, LOC111595827|XP_023165501.1|DHYD, LOC111601816|XP_023174405.2|DHYD
OG0000610	LOC120420855|XP_039439908.1|CPIP	LOC111592275|XP_023160142.1|DHYD, LOC111601249|XP_023173516.1|DHYD
OG0000611	LOC120418459|XP_039436820.1|CPIP	LOC111600146|XP_023171891.1|DHYD, LOC111594124|XP_023163051.2|DHYD
OG0000615	LOC120420221|XP_039439143.1|CPIP	LOC111603150|XP_023176394.1|DHYD, LOC111602718|XP_023175732.2|DHYD
OG0000616	LOC120413329|XP_039430041.1|CPIP, LOC120429858|XP_039450900.1|CPIP	LOC111603109|XP_023176343.2|DHYD
OG0000617	LOC120423848|XP_039443730.1|CPIP	LOC111603495|XP_023176870.2|DHYD, LOC111598297|XP_023169253.2|DHYD
OG0000618	LOC120427285|XP_039448067.1|CPIP	LOC111594908|XP_023164162.1|DHYD
OG0000619	LOC120429166|XP_039450308.1|CPIP, LOC120415620|XP_039433151.1|CPIP	LOC111604249|XP_023178008.1|DHYD
OG0000620	LOC120428697|XP_039449702.1|CPIP	LOC111602819|XP_023175891.1|DHYD, LOC111603737|XP_023177221.2|DHYD
OG0000621	LOC120417806|XP_039435939.1|CPIP	LOC111595025|XP_030080700.1|DHYD, LOC111604520|XP_023178415.1|DHYD
OG0000622	LOC120412871|XP_039429435.1|CPIP	LOC111604778|XP_023178753.2|DHYD, LOC111600479|XP_023172358.2|DHYD
OG0000624	LOC120412594|XP_039429062.1|CPIP	LOC111603217|XP_030080968.1|DHYD
OG0000625	LOC120420027|XP_039438860.1|CPIP	LOC111594856|XP_023164103.2|DHYD, LOC111594850|XP_023164090.1|DHYD
OG0000627	LOC120427326|XP_039448110.1|CPIP	LOC111604761|XP_023178721.1|DHYD, LOC111605598|XP_023179977.1|DHYD
OG0000628	LOC120418965|XP_039437444.1|CPIP	LOC111596303|XP_023166229.1|DHYD, LOC111596646|XP_023166711.1|DHYD
OG0000629	LOC120419834|XP_039438602.1|CPIP	LOC111600276|XP_023172092.2|DHYD, LOC111599207|XP_023170571.1|DHYD
OG0000630	LOC120412813|XP_039429349.1|CPIP	LOC111600321|XP_023172152.1|DHYD, LOC111600410|XP_023172262.2|DHYD
OG0000631	LOC120416872|XP_039434701.1|CPIP	LOC111599386|XP_023170791.2|DHYD, LOC111596318|XP_023166252.2|DHYD
OG0000632	LOC120431988|XP_039453059.1|CPIP, LOC120419672|XP_039438376.1|CPIP	LOC111596100|XP_023165928.1|DHYD, LOC111599127|XP_023170457.2|DHYD
OG0000634	LOC120414394|XP_039431506.1|CPIP	LOC111597011|XP_023167283.2|DHYD
OG0000635	LOC120417897|XP_039436052.1|CPIP	LOC111594670|XP_023163849.2|DHYD, LOC111598171|XP_023169033.1|DHYD
OG0000636	LOC120427318|XP_039448105.1|CPIP	LOC111600582|XP_023172541.1|DHYD, LOC111600597|XP_023172561.1|DHYD
OG0000637	LOC120419435|XP_039438048.1|CPIP, LOC120423148|XP_039442763.1|CPIP	LOC111596742|XP_030079889.1|DHYD, LOC111596743|XP_023166843.2|DHYD
OG0000638	LOC120421466|XP_039440616.1|CPIP	LOC111593458|XP_023161987.1|DHYD
OG0000639	LOC120429394|XP_039450481.1|CPIP	LOC111597500|XP_023168029.2|DHYD
OG0000646	LOC120424024|XP_039443974.1|CPIP	LOC111598901|XP_023170138.2|DHYD, LOC111595918|XP_023165637.2|DHYD
OG0000647	LOC120417689|XP_039435759.1|CPIP	LOC111594585|XP_023163711.2|DHYD, LOC111598212|XP_023169134.2|DHYD
OG0000648	LOC120420178|XP_039439085.1|CPIP	LOC111596551|XP_030079918.1|DHYD
OG0000649	LOC120429957|XP_039450983.1|CPIP	LOC111593012|XP_023161315.1|DHYD, LOC111593067|XP_023161411.1|DHYD
OG0000651	LOC120425481|XP_039445952.1|CPIP	LOC111603676|XP_023177123.1|DHYD, LOC111597501|XP_023168033.1|DHYD
OG0000652	LOC120425999|XP_039446591.1|CPIP	LOC111595319|XP_023164744.1|DHYD, LOC111593505|XP_023162057.1|DHYD
OG0000653	LOC120427412|XP_039448210.1|CPIP, LOC120427411|XP_039448209.1|CPIP	LOC111601387|XP_023173695.1|DHYD
OG0000654	LOC120430316|XP_039451343.1|CPIP	LOC111603693|XP_023177150.1|DHYD
OG0000655	LOC120418498|XP_039436869.1|CPIP	LOC111593174|XP_023161548.1|DHYD, LOC115483070|XP_030079788.1|DHYD, LOC111599045|XP_023170329.2|DHYD
OG0000657	LOC120414701|XP_039431934.1|CPIP	LOC111595742|XP_023165364.2|DHYD, LOC115483217|XP_030080388.1|DHYD, LOC111602319|XP_023175091.1|DHYD
OG0000658	LOC120421966|XP_039441212.1|CPIP	LOC111598305|XP_023169261.1|DHYD, LOC111599566|XP_023171003.1|DHYD, LOC115483783|XP_030081897.1|DHYD
OG0000659	LOC120428322|XP_039449253.1|CPIP	LOC111603964|XP_023177569.1|DHYD, LOC111600442|XP_023172305.1|DHYD
OG0000660	LOC120432453|XP_039453605.1|CPIP	LOC115483235|XP_030080440.1|DHYD, LOC111603754|XP_023177245.1|DHYD, LOC111603769|XP_023177271.1|DHYD, LOC111605531|XP_023179859.2|DHYD, LOC111605535|XP_023179866.2|DHYD
OG0000661	LOC120427094|XP_039447878.1|CPIP	LOC111592855|XP_023161063.1|DHYD, LOC111605558|XP_023179894.1|DHYD
OG0000663	LOC120412947|XP_039429520.1|CPIP	LOC111604609|XP_023178491.2|DHYD
OG0000664	LOC120423934|XP_039443852.1|CPIP	LOC111604049|XP_023177674.1|DHYD
OG0000665	LOC120426832|XP_039447553.1|CPIP	LOC111598581|XP_023169654.2|DHYD, LOC111598579|XP_023169652.2|DHYD
OG0000666	LOC120414520|XP_039431665.1|CPIP	LOC111593572|XP_023162205.2|DHYD, LOC111602846|XP_023175926.2|DHYD
OG0000667	LOC120424397|XP_039444429.1|CPIP	LOC111598417|XP_023169427.1|DHYD, LOC111602966|XP_023176114.1|DHYD
OG0000668	LOC120417871|XP_039436025.1|CPIP	LOC111598601|XP_023169685.1|DHYD, LOC111594606|XP_023163749.1|DHYD
OG0000669	LOC120425665|XP_039446184.1|CPIP	LOC111591900|XP_023159576.1|DHYD, LOC111591886|XP_023159558.2|DHYD
OG0000670	LOC120425162|XP_039445530.1|CPIP	LOC111593648|XP_023162296.2|DHYD, LOC111604066|XP_023177700.1|DHYD
OG0000671	LOC120432663|XP_039453843.1|CPIP	LOC111598756|XP_023169935.2|DHYD, LOC111601493|XP_023173848.2|DHYD
OG0000672	LOC120423756|XP_039443605.1|CPIP	LOC111592356|XP_023160280.1|DHYD, LOC111596738|XP_023166837.1|DHYD, LOC111596730|XP_023166830.2|DHYD
OG0000673	LOC120428930|XP_039450008.1|CPIP	LOC111597231|XP_023167631.1|DHYD, LOC111604509|XP_023178372.1|DHYD
OG0000677	LOC120417794|XP_039435946.1|CPIP	LOC111599803|XP_023171352.1|DHYD, LOC111600224|XP_023172018.1|DHYD
OG0000678	LOC120413326|XP_039430034.1|CPIP	LOC111602520|XP_023175375.2|DHYD
OG0000679	LOC120422653|XP_039442092.1|CPIP, LOC120422642|XP_039442078.1|CPIP, LOC120422622|XP_039442048.1|CPIP, LOC120429663|XP_039450627.1|CPIP, LOC120413474|XP_039430247.1|CPIP, LOC120413498|XP_039430289.1|CPIP	LOC111595374|XP_023164838.2|DHYD
OG0000680	LOC120425607|XP_039446150.1|CPIP	LOC111595942|XP_023165676.1|DHYD, LOC111595941|XP_023165673.2|DHYD
OG0000681	LOC120418081|XP_039436271.1|CPIP, LOC120419864|XP_039438646.1|CPIP	LOC111594580|XP_023163705.1|DHYD, LOC111598183|XP_023169049.1|DHYD
OG0000683	LOC120421815|XP_039441026.1|CPIP, LOC120427907|XP_039448781.1|CPIP, LOC120420753|XP_039439789.1|CPIP	LOC111596499|XP_023166528.2|DHYD
OG0000684	LOC120430224|XP_039451238.1|CPIP	LOC111604568|XP_023178437.1|DHYD, LOC111601528|XP_023173925.1|DHYD
OG0000685	LOC120414285|XP_039431349.1|CPIP	LOC111602608|XP_023175536.1|DHYD
OG0000686	LOC120423501|XP_039443275.1|CPIP	LOC111601542|XP_023173984.2|DHYD, LOC111600187|XP_023171963.2|DHYD
OG0000687	LOC120413459|XP_039430230.1|CPIP	LOC111593265|XP_023161704.1|DHYD, LOC111599286|XP_023170653.1|DHYD
OG0000688	LOC120431079|XP_039452165.1|CPIP, LOC120417409|XP_039435385.1|CPIP	LOC111605369|XP_023179617.1|DHYD
OG0000689	LOC120431213|XP_039452290.1|CPIP	LOC111597704|XP_023168310.1|DHYD, LOC111597687|XP_023168287.1|DHYD
OG0000690	LOC120417154|XP_039435072.1|CPIP, LOC120414453|XP_039431575.1|CPIP, LOC120415957|XP_039433533.1|CPIP, LOC120421238|XP_039440371.1|CPIP, LOC120417133|XP_039435047.1|CPIP	LOC111593629|XP_023162267.2|DHYD
OG0000691	LOC120426138|XP_039446786.1|CPIP	LOC111600350|XP_023172189.1|DHYD, LOC115483408|XP_030081060.1|DHYD, LOC111592340|XP_023160236.1|DHYD
OG0000692	LOC120412572|XP_039429020.1|CPIP, LOC120412641|XP_039429129.1|CPIP	LOC111604703|XP_023178644.2|DHYD
OG0000694	LOC120415917|XP_039433497.1|CPIP	LOC111604055|XP_023177683.2|DHYD, LOC111592784|XP_023160955.1|DHYD
OG0000695	LOC120421982|XP_039441225.1|CPIP	LOC111602263|XP_023175026.1|DHYD, LOC111602370|XP_023175153.2|DHYD
OG0000696	LOC120430944|XP_039452001.1|CPIP	LOC111595766|XP_023165416.1|DHYD
OG0000697	LOC120428099|XP_039449017.1|CPIP	LOC111593002|XP_023161295.1|DHYD, LOC111596362|XP_023166327.1|DHYD
OG0000698	LOC120412844|XP_039429401.1|CPIP	LOC111605526|XP_023179855.2|DHYD, LOC111605545|XP_023179875.2|DHYD
OG0000699	LOC120427812|XP_039448668.1|CPIP	LOC111600984|XP_023173147.1|DHYD, LOC111600074|XP_023171782.2|DHYD
OG0000700	LOC120422038|XP_039441297.1|CPIP	LOC111599175|XP_023170526.2|DHYD, LOC111596079|XP_023165904.2|DHYD
OG0000701	LOC120432450|XP_039453600.1|CPIP	LOC111595753|XP_023165383.1|DHYD, LOC111600219|XP_023172009.2|DHYD
OG0000702	LOC120429861|XP_039450866.1|CPIP	LOC111604979|XP_023179045.2|DHYD, LOC111604983|XP_030078632.1|DHYD
OG0000703	LOC120415396|XP_039432859.1|CPIP	LOC111600361|XP_023172203.2|DHYD, LOC111595619|XP_023165193.2|DHYD
OG0000704	LOC120415202|XP_039432596.1|CPIP	LOC111594254|XP_030081774.1|DHYD, LOC111597912|XP_023168621.2|DHYD
OG0000705	LOC120415894|XP_039433467.1|CPIP	LOC111603688|XP_023177138.1|DHYD
OG0000706	LOC120431510|XP_039452545.1|CPIP, LOC120417499|XP_039435510.1|CPIP	LOC111600594|XP_023172555.2|DHYD, LOC111597324|XP_030080082.1|DHYD
OG0000707	LOC120420877|XP_039439931.1|CPIP, LOC120417438|XP_039435414.1|CPIP	LOC111593471|XP_023162004.1|DHYD, LOC111594052|XP_023162935.1|DHYD
OG0000708	LOC120414023|XP_039430974.1|CPIP	LOC111594167|XP_023163121.2|DHYD, LOC111605158|XP_030079396.1|DHYD
OG0000709	LOC120425929|XP_039446484.1|CPIP	LOC111601979|XP_023174628.2|DHYD, LOC111596813|XP_023166947.1|DHYD
OG0000710	LOC120419565|XP_039438228.1|CPIP	LOC111602767|XP_023175798.1|DHYD, LOC111605361|XP_023179608.1|DHYD
OG0000711	LOC120414993|XP_039432285.1|CPIP	LOC111597480|XP_023167999.1|DHYD, LOC111602032|XP_023174699.1|DHYD
OG0000712	LOC120415327|XP_039432747.1|CPIP	LOC111602079|XP_023174779.1|DHYD, LOC111602078|XP_023174777.1|DHYD
OG0000713	LOC120426914|XP_039447655.1|CPIP	LOC111594533|XP_023163638.2|DHYD, LOC111598556|XP_023169618.1|DHYD
OG0000714	LOC120425956|XP_039446531.1|CPIP	LOC111603141|XP_023176384.2|DHYD, LOC111599537|XP_023170964.2|DHYD
OG0000715	LOC120425955|XP_039446529.1|CPIP	LOC111603330|XP_023176632.2|DHYD
OG0000716	LOC120416855|XP_039434686.1|CPIP	LOC111591885|XP_023159557.1|DHYD, LOC111604303|XP_023178102.1|DHYD
OG0000723	LOC120415619|XP_039433149.1|CPIP	LOC111595726|XP_023165345.1|DHYD
OG0000724	LOC120424175|XP_039444197.1|CPIP	LOC111598361|XP_023169342.1|DHYD, LOC111597395|XP_023167839.1|DHYD
OG0000726	LOC120415569|XP_039433085.1|CPIP	LOC111603439|XP_023176791.2|DHYD, LOC111603423|XP_023176776.2|DHYD
OG0000727	LOC120418385|XP_039436693.1|CPIP, LOC120418370|XP_039436666.1|CPIP	LOC111596208|XP_023166089.2|DHYD, LOC111596201|XP_030080823.1|DHYD
OG0000728	LOC120423585|XP_039443379.1|CPIP	LOC111603192|XP_023176446.1|DHYD, LOC111595718|XP_023165334.2|DHYD
OG0000729	LOC120423358|XP_039443069.1|CPIP	LOC111598295|XP_023169251.1|DHYD, LOC111598296|XP_023169252.1|DHYD
OG0000730	LOC120417800|XP_039435933.1|CPIP	LOC111603318|XP_030079654.1|DHYD, LOC111596307|XP_030080540.1|DHYD
