Orthogroup	CPIP.longest_only	DSEC.longest_only
OG0001137	LOC120418769|XP_039437179.1|CPIP	LOC6607284|XP_002032063.1|DSEC
OG0001138	LOC120421356|XP_039440478.1|CPIP, LOC120432104|XP_039453171.1|CPIP, LOC120429313|XP_039450469.1|CPIP	LOC6610283|XP_002034878.1|DSEC
OG0001139	LOC120415108|XP_039432461.1|CPIP	LOC6605517|XP_002030350.1|DSEC
OG0001153	LOC120420201|XP_039439120.1|CPIP	LOC6615786|XP_032570304.1|DSEC, LOC6605769|XP_002030584.1|DSEC
OG0001154	LOC120419964|XP_039438772.1|CPIP, LOC120432189|XP_039453265.1|CPIP	LOC6611903|XP_002036420.1|DSEC
OG0001155	LOC120430949|XP_039452010.1|CPIP	LOC6612254|XP_032580183.1|DSEC
OG0001157	LOC120424145|XP_039444120.1|CPIP	LOC6606561|XP_032576532.1|DSEC
OG0001158	LOC120423984|XP_039443915.1|CPIP	LOC6613485|XP_032572790.1|DSEC
OG0001159	LOC120432503|XP_039453649.1|CPIP	LOC6612691|XP_032576251.1|DSEC
OG0001160	LOC120430694|XP_039451737.1|CPIP, LOC120427184|XP_039447982.1|CPIP	LOC6614318|XP_002038758.1|DSEC
OG0001162	LOC120424769|XP_039444908.1|CPIP, LOC120431325|XP_039452391.1|CPIP, LOC120425407|XP_039445871.1|CPIP	LOC6607098|XP_002031886.1|DSEC
OG0001163	LOC120422549|XP_039441951.1|CPIP	LOC6606502|XP_032576732.1|DSEC
OG0001164	LOC120428014|XP_039448919.1|CPIP, LOC120428005|XP_039448908.1|CPIP	LOC6607376|XP_002032149.1|DSEC
OG0001167	LOC120426173|XP_039446825.1|CPIP	LOC6608482|XP_032572231.1|DSEC
OG0001169	LOC120413210|XP_039429863.1|CPIP, LOC120413209|XP_039429861.1|CPIP, LOC120428119|XP_039449038.1|CPIP	LOC6618060|XP_002042358.2|DSEC
OG0001170	LOC120414137|XP_039431105.1|CPIP	LOC6607560|XP_002032329.1|DSEC
OG0001171	LOC120414141|XP_039431114.1|CPIP, LOC120414113|XP_039431074.1|CPIP	LOC6604935|XP_032573212.1|DSEC
OG0001172	LOC120422279|XP_039441597.1|CPIP	LOC6615404|XP_002039786.1|DSEC
OG0001173	LOC120424131|XP_039444104.1|CPIP, LOC120424129|XP_039444102.1|CPIP, LOC120415745|XP_039433285.1|CPIP, LOC120424132|XP_039444106.1|CPIP, LOC120415300|XP_039432705.1|CPIP, LOC120415341|XP_039432764.1|CPIP	LOC6619511|XP_002043726.1|DSEC
OG0001174	LOC120418803|XP_039437221.1|CPIP	LOC6611003|XP_032574783.1|DSEC
OG0001176	LOC120414663|XP_039431867.1|CPIP	LOC6609123|XP_002033825.1|DSEC
OG0001177	LOC120419053|XP_039437553.1|CPIP	LOC6614482|XP_032583259.1|DSEC
OG0001178	LOC120416798|XP_039434608.1|CPIP	LOC6615264|XP_032570988.1|DSEC
OG0001179	LOC120415576|XP_039433089.1|CPIP	LOC6608677|XP_032570874.1|DSEC
OG0001180	LOC120427095|XP_039447881.1|CPIP	LOC6620290|XP_032579845.1|DSEC
OG0001181	LOC120423217|XP_039442860.1|CPIP	LOC6605753|XP_032575649.1|DSEC
OG0001182	LOC120417657|XP_039435713.1|CPIP, LOC120417666|XP_039435721.1|CPIP	LOC6607582|XP_032577982.1|DSEC
OG0001183	LOC120416960|XP_039434805.1|CPIP	LOC6606805|XP_032577379.1|DSEC
OG0001185	LOC120423279|XP_039442953.1|CPIP	LOC116801623|XP_032578261.1|DSEC, LOC6606287|XP_032578240.1|DSEC
OG0001186	LOC120416650|XP_039434393.1|CPIP	LOC6614302|XP_032578745.1|DSEC
OG0001187	LOC120417575|XP_039435620.1|CPIP, LOC120417596|XP_039435643.1|CPIP	LOC6609199|XP_032572480.1|DSEC
OG0001188	LOC120424646|XP_039444753.1|CPIP, LOC120425447|XP_039445916.1|CPIP	LOC6608881|XP_032572144.1|DSEC
OG0001189	LOC120416208|XP_039433833.1|CPIP, LOC120421579|XP_039440745.1|CPIP	LOC6615635|XP_032571800.1|DSEC
OG0001190	LOC120421476|XP_039440627.1|CPIP, LOC120421479|XP_039440630.1|CPIP	LOC6620596|XP_002044800.1|DSEC
OG0001191	LOC120423257|XP_039442920.1|CPIP, LOC120423245|XP_039442896.1|CPIP	LOC6611793|XP_032583549.1|DSEC
OG0001192	LOC120427744|XP_039448583.1|CPIP	LOC6611447|XP_002035989.2|DSEC
OG0001193	LOC120429883|XP_039450897.1|CPIP, LOC120432494|XP_039453642.1|CPIP, LOC120432117|XP_039453186.1|CPIP, LOC120412329|XP_039428664.1|CPIP	LOC6619209|XP_002043430.1|DSEC
OG0001194	LOC120416843|XP_039434665.1|CPIP	LOC6621122|XP_032582600.1|DSEC, LOC6621271|XP_002045450.2|DSEC, LOC6615862|XP_002040232.2|DSEC, LOC6621270|XP_002045448.2|DSEC, LOC6615861|XP_032582599.1|DSEC
OG0001195	LOC120418583|XP_039436964.1|CPIP	LOC6608152|XP_002032898.2|DSEC
OG0001201	LOC120414220|XP_039431262.1|CPIP, LOC120424752|XP_039444879.1|CPIP	LOC6619723|XP_032578120.1|DSEC
OG0001203	LOC120413295|XP_039429987.1|CPIP	LOC6620100|XP_032579851.1|DSEC
OG0001204	LOC120414306|XP_039431381.1|CPIP, LOC120431630|XP_039452673.1|CPIP, LOC120416723|XP_039434484.1|CPIP, LOC120419358|XP_039437962.1|CPIP, LOC120431542|XP_039452584.1|CPIP, LOC120414694|XP_039431918.1|CPIP, LOC120412414|XP_039428811.1|CPIP, LOC120416024|XP_039433620.1|CPIP	LOC6611206|XP_002035762.2|DSEC
OG0001205	LOC120429512|XP_039450516.1|CPIP, LOC120431269|XP_039452337.1|CPIP, LOC120429510|XP_039450513.1|CPIP	LOC116801438|XP_032576861.1|DSEC
OG0001206	LOC120432275|XP_039453392.1|CPIP	LOC6619260|XP_032579143.1|DSEC
OG0001207	LOC120422052|XP_039441319.1|CPIP	LOC6619803|XP_032580990.1|DSEC
OG0001208	LOC120424548|XP_039444645.1|CPIP	LOC6617507|XP_032580801.1|DSEC
OG0001209	LOC120428053|XP_039448988.1|CPIP, LOC120424496|XP_039444616.1|CPIP	LOC6606613|XP_032578312.1|DSEC
OG0001210	LOC120419105|XP_039437659.1|CPIP, LOC120416387|XP_039434100.1|CPIP, LOC120414618|XP_039431815.1|CPIP	LOC6618546|XP_032581547.1|DSEC
OG0001212	LOC120416356|XP_039434027.1|CPIP, LOC120419697|XP_039438418.1|CPIP, LOC120419684|XP_039438405.1|CPIP, LOC120419698|XP_039438419.1|CPIP	LOC6618459|XP_002042729.1|DSEC
OG0001213	LOC120429287|XP_039450448.1|CPIP, LOC120425721|XP_039446260.1|CPIP	LOC6616695|XP_002041050.1|DSEC
OG0001214	LOC120431086|XP_039452176.1|CPIP, LOC120430926|XP_039451981.1|CPIP	LOC6607475|XP_002032244.1|DSEC
OG0001215	LOC120424669|XP_039444778.1|CPIP, LOC120424614|XP_039444709.1|CPIP, LOC120424675|XP_039444782.1|CPIP, LOC120424616|XP_039444712.1|CPIP	LOC6614039|XP_032577744.1|DSEC
OG0001216	LOC120424679|XP_039444789.1|CPIP, LOC120424629|XP_039444729.1|CPIP, LOC120424633|XP_039444733.1|CPIP, LOC120424686|XP_039444796.1|CPIP	LOC6606363|XP_032579303.1|DSEC
OG0001217	LOC120423813|XP_039443667.1|CPIP	LOC6620427|XP_032576823.1|DSEC
OG0001218	LOC120422590|XP_039442016.1|CPIP	LOC6607561|XP_002032330.1|DSEC
OG0001220	LOC120419490|XP_039438112.1|CPIP, LOC120419491|XP_039438113.1|CPIP	LOC6607972|XP_002032720.1|DSEC
OG0001221	LOC120422630|XP_039442062.1|CPIP	LOC6610110|XP_002034721.1|DSEC
OG0001223	LOC120416560|XP_039434225.1|CPIP	LOC6620604|XP_032570915.1|DSEC
OG0001224	LOC120416226|XP_039433860.1|CPIP	LOC6609491|XP_032572821.1|DSEC
OG0001225	LOC120417471|XP_039435475.1|CPIP, LOC120417456|XP_039435448.1|CPIP	LOC6608002|XP_032570203.1|DSEC
OG0001226	LOC120418804|XP_039437222.1|CPIP	LOC6608640|XP_002033374.1|DSEC
OG0001227	LOC120420146|XP_039439038.1|CPIP	LOC6611535|XP_032583360.1|DSEC
OG0001228	LOC120414239|XP_039431284.1|CPIP, LOC120424577|XP_039444677.1|CPIP	LOC6619975|XP_002044187.2|DSEC
OG0001229	LOC120430378|XP_039451410.1|CPIP	LOC6620331|XP_032579093.1|DSEC
OG0001230	LOC120422782|XP_039442254.1|CPIP	LOC6609430|XP_032571639.1|DSEC
OG0001231	LOC120419802|XP_039438571.1|CPIP	LOC6620425|XP_002044628.1|DSEC
OG0001233	LOC120419669|XP_039438368.1|CPIP	LOC6611566|XP_032583139.1|DSEC
OG0001234	LOC120414574|XP_039431745.1|CPIP	LOC6609360|XP_002034049.1|DSEC
OG0001235	LOC120417314|XP_039435211.1|CPIP, LOC120431742|XP_039452801.1|CPIP, LOC120431749|XP_039452807.1|CPIP, LOC120431747|XP_039452806.1|CPIP, LOC120417299|XP_039435183.1|CPIP, LOC120417300|XP_039435184.1|CPIP	LOC6617266|XP_002041593.1|DSEC
OG0001236	LOC120423226|XP_039442868.1|CPIP	LOC6616275|XP_002040639.1|DSEC
OG0001237	LOC120414317|XP_039431388.1|CPIP	LOC6605638|XP_032575810.1|DSEC, LOC6619024|XP_032578910.1|DSEC
OG0001238	LOC120426763|XP_039447471.1|CPIP	LOC6617015|XP_032578840.1|DSEC
OG0001239	LOC120431768|XP_039452820.1|CPIP, LOC120432400|XP_039453530.1|CPIP	LOC6606621|XP_032578855.1|DSEC
OG0001240	LOC120421246|XP_039440381.1|CPIP, LOC120420595|XP_039439605.1|CPIP, LOC120421250|XP_039440383.1|CPIP	LOC6617030|XP_002041358.2|DSEC
OG0001241	LOC120417870|XP_039436024.1|CPIP	LOC6608827|XP_002033541.1|DSEC
OG0001242	LOC120425656|XP_039446171.1|CPIP	LOC6615128|XP_002039544.2|DSEC
OG0001244	LOC120421573|XP_039440738.1|CPIP, LOC120421830|XP_039441041.1|CPIP	LOC6606374|XP_002031179.1|DSEC
OG0001245	LOC120423077|XP_039442687.1|CPIP, LOC120430091|XP_039451112.1|CPIP, LOC120423090|XP_039442699.1|CPIP, LOC120421067|XP_039440146.1|CPIP, LOC120423067|XP_039442673.1|CPIP, LOC120423076|XP_039442686.1|CPIP	LOC116801667|XP_032578483.1|DSEC, LOC6619278|XP_032582910.1|DSEC
OG0001246	LOC120421869|XP_039441099.1|CPIP, LOC120421861|XP_039441094.1|CPIP, LOC120421865|XP_039441097.1|CPIP	LOC6615818|XP_002040188.1|DSEC
OG0001247	LOC120432576|XP_039453739.1|CPIP	LOC116802443|XP_032582814.1|DSEC
OG0001248	LOC120422204|XP_039441519.1|CPIP	LOC6604957|XP_002029800.1|DSEC
OG0001249	LOC120423895|XP_039443810.1|CPIP	LOC6612343|XP_032580986.1|DSEC
OG0001256	LOC120422406|XP_039441758.1|CPIP	LOC6610590|XP_002035163.1|DSEC, LOC6618890|XP_002043138.1|DSEC
OG0001257	LOC120413281|XP_039429947.1|CPIP	LOC6619490|XP_032579678.1|DSEC
OG0001258	LOC120432334|XP_039453457.1|CPIP	LOC6607279|XP_002032058.1|DSEC
OG0001259	LOC120430956|XP_039452022.1|CPIP, LOC120416739|XP_039434507.1|CPIP	LOC6616163|XP_002040528.1|DSEC
OG0001260	LOC120420175|XP_039439075.1|CPIP, LOC120420182|XP_039439091.1|CPIP	LOC6606988|XP_002031780.1|DSEC
OG0001261	LOC120427227|XP_039448025.1|CPIP	LOC6614548|XP_002038979.1|DSEC, LOC6615178|XP_002039594.1|DSEC
OG0001263	LOC120432642|XP_039453825.1|CPIP	LOC6607825|XP_002032583.2|DSEC
OG0001264	LOC120429252|XP_039450399.1|CPIP, LOC120426464|XP_039447160.1|CPIP	LOC6613283|XP_032582919.1|DSEC
OG0001265	LOC120428458|XP_039449403.1|CPIP	LOC6616032|XP_032580361.1|DSEC
OG0001266	LOC120417192|XP_039435093.1|CPIP	LOC6615528|XP_032571446.1|DSEC
OG0001267	LOC120424506|XP_039444591.1|CPIP, LOC120426739|XP_039447450.1|CPIP	LOC6607390|XP_032577972.1|DSEC
OG0001269	LOC120429645|XP_039450605.1|CPIP	LOC6608702|XP_032572429.1|DSEC
OG0001270	LOC120425363|XP_039445806.1|CPIP, LOC120431090|XP_039452180.1|CPIP, LOC120430927|XP_039451982.1|CPIP	LOC6613970|XP_002038434.1|DSEC
OG0001271	LOC120430259|XP_039451279.1|CPIP, LOC120419757|XP_039438514.1|CPIP, LOC120419744|XP_039438480.1|CPIP	LOC6608454|XP_002033188.1|DSEC
OG0001272	LOC120424869|XP_039445058.1|CPIP	LOC6610430|XP_032574098.1|DSEC
OG0001273	LOC120429935|XP_039450967.1|CPIP	LOC6616745|XP_032577201.1|DSEC
OG0001274	LOC120418048|XP_039436233.1|CPIP	LOC6619404|XP_002043619.1|DSEC
OG0001276	LOC120413456|XP_039430225.1|CPIP	LOC6610695|XP_002035261.1|DSEC
OG0001277	LOC120424852|XP_039445035.1|CPIP	LOC6610535|XP_002035115.1|DSEC
OG0001278	LOC120419963|XP_039438765.1|CPIP	LOC6605082|XP_032575621.1|DSEC
OG0001279	LOC120419970|XP_039438780.1|CPIP	LOC6605029|XP_002029872.1|DSEC
OG0001280	LOC120431879|XP_039452941.1|CPIP, LOC120414432|XP_039431549.1|CPIP	LOC6610144|XP_002034753.2|DSEC, LOC6621246|XP_032574004.1|DSEC, LOC116802618|XP_032582920.1|DSEC, LOC116801006|XP_032573997.1|DSEC, LOC116800181|XP_032574523.1|DSEC
OG0001281	LOC120421671|XP_039440836.1|CPIP, LOC120421627|XP_039440789.1|CPIP	LOC6610411|XP_032574796.1|DSEC
OG0001282	LOC120429812|XP_039450796.1|CPIP, LOC120425025|XP_039445333.1|CPIP	LOC6613180|XP_002037661.1|DSEC
OG0001283	LOC120427036|XP_039447800.1|CPIP	LOC6609371|XP_002034060.2|DSEC
OG0001284	LOC120414678|XP_039431897.1|CPIP	LOC116801460|XP_032577086.1|DSEC
OG0001285	LOC120429106|XP_039450203.1|CPIP, LOC120414724|XP_039431961.1|CPIP	LOC6610200|XP_002034807.1|DSEC
OG0001286	LOC120429762|XP_039450749.1|CPIP	LOC6618207|XP_002042482.1|DSEC
OG0001287	LOC120426934|XP_039447680.1|CPIP, LOC120426947|XP_039447703.1|CPIP, LOC120426556|XP_039447257.1|CPIP	LOC6606307|XP_032577083.1|DSEC
OG0001288	LOC120420968|XP_039440035.1|CPIP	LOC6617296|XP_002041623.1|DSEC
OG0001289	LOC120418705|XP_039437108.1|CPIP, LOC120418706|XP_039437109.1|CPIP	LOC6618231|XP_032579509.1|DSEC
OG0001290	LOC120429839|XP_039450837.1|CPIP, LOC120429074|XP_039450161.1|CPIP	LOC6613451|XP_032579225.1|DSEC
OG0001291	LOC120414339|XP_039431425.1|CPIP	LOC6615804|XP_002040174.1|DSEC
OG0001292	LOC120423698|XP_039443534.1|CPIP, LOC120423701|XP_039443537.1|CPIP	LOC6609480|XP_002034165.1|DSEC
OG0001293	LOC120414358|XP_039431455.1|CPIP	LOC6612513|XP_002037021.1|DSEC
OG0001294	LOC120426999|XP_039447750.1|CPIP	LOC6607085|XP_032579483.1|DSEC
OG0001295	LOC120431459|XP_039452510.1|CPIP	LOC6619969|XP_032581341.1|DSEC
OG0001296	LOC120419233|XP_039437826.1|CPIP	LOC6619113|XP_032572795.1|DSEC
OG0001297	LOC120423588|XP_039443387.1|CPIP	LOC116801738|XP_032578850.1|DSEC, LOC6621778|XP_032578582.1|DSEC
OG0001298	LOC120417916|XP_039436086.1|CPIP, LOC120416955|XP_039434793.1|CPIP	LOC6620085|XP_002044235.1|DSEC
OG0001299	LOC120422007|XP_039441255.1|CPIP, LOC120432174|XP_039453246.1|CPIP	LOC6610841|XP_002035407.1|DSEC
OG0001300	LOC120415419|XP_039432887.1|CPIP	LOC6606867|XP_002031661.1|DSEC
OG0001301	LOC120423370|XP_039443087.1|CPIP, LOC120423371|XP_039443088.1|CPIP	LOC6611448|XP_002035990.1|DSEC
OG0001302	LOC120417543|XP_039435559.1|CPIP	LOC6610016|XP_032571802.1|DSEC
OG0001303	LOC120425865|XP_039446421.1|CPIP	LOC6616816|XP_032578700.1|DSEC, LOC6621266|XP_032578631.1|DSEC, LOC6621902|XP_032578649.1|DSEC, LOC116801702|XP_032578701.1|DSEC
OG0001304	LOC120417898|XP_039436053.1|CPIP	LOC6609078|XP_032572324.1|DSEC
OG0001305	LOC120427519|XP_039448316.1|CPIP	LOC6613969|XP_032578278.1|DSEC
OG0001306	LOC120423281|XP_039442982.1|CPIP	LOC6616840|XP_002041176.1|DSEC
OG0001307	LOC120414405|XP_039431518.1|CPIP	LOC6610943|XP_032576030.1|DSEC
OG0001308	LOC120414403|XP_039431514.1|CPIP	LOC6616131|XP_002040496.1|DSEC
OG0001309	LOC120414020|XP_039430971.1|CPIP, LOC120414000|XP_039430943.1|CPIP	LOC6616881|XP_002041217.2|DSEC
OG0001311	LOC120417566|XP_039435594.1|CPIP, LOC120420210|XP_039439128.1|CPIP	LOC6614884|XP_002039301.2|DSEC
OG0001312	LOC120431895|XP_039452958.1|CPIP, LOC120424481|XP_039444557.1|CPIP	LOC6605225|XP_002030063.1|DSEC, LOC6605226|XP_002030064.1|DSEC
OG0001313	LOC120416827|XP_039434648.1|CPIP	LOC6609214|XP_002033905.1|DSEC
OG0001314	LOC120418103|XP_039436307.1|CPIP, LOC120431543|XP_039452585.1|CPIP, LOC120431629|XP_039452672.1|CPIP, LOC120423143|XP_039442759.1|CPIP, LOC120414582|XP_039431751.1|CPIP, LOC120412578|XP_039429022.1|CPIP, LOC120416026|XP_039433621.1|CPIP, LOC120412415|XP_039428812.1|CPIP, LOC120421472|XP_039440623.1|CPIP	LOC6611207|XP_002035763.1|DSEC
OG0001315	LOC120420411|XP_039439364.1|CPIP	LOC6616073|XP_002040439.1|DSEC
OG0001322	LOC120426837|XP_039447560.1|CPIP	LOC6606801|XP_002031598.2|DSEC, LOC6613935|XP_002038400.1|DSEC
OG0001326	LOC120417038|XP_039434922.1|CPIP, LOC120419278|XP_039437878.1|CPIP, LOC120420268|XP_039439201.1|CPIP	LOC6612857|XP_032576857.1|DSEC
OG0001328	LOC120414973|XP_039432241.1|CPIP, LOC120421074|XP_039440154.1|CPIP	LOC6620005|XP_032582295.1|DSEC
OG0001329	LOC120425636|XP_039446157.1|CPIP, LOC120417782|XP_039435872.1|CPIP	LOC6617968|XP_002042276.1|DSEC
OG0001330	LOC120422463|XP_039441846.1|CPIP	LOC6618521|XP_032580563.1|DSEC
OG0001331	LOC120417708|XP_039435788.1|CPIP, LOC120417710|XP_039435793.1|CPIP	LOC6615994|XP_032582119.1|DSEC
OG0001332	LOC120413145|XP_039429789.1|CPIP, LOC120412616|XP_039429104.1|CPIP	LOC6618029|XP_002042337.1|DSEC
OG0001333	LOC120417034|XP_039434912.1|CPIP, LOC120417028|XP_039434904.1|CPIP	LOC6613223|XP_032583092.1|DSEC
OG0001334	LOC120414158|XP_039431133.1|CPIP, LOC120414159|XP_039431134.1|CPIP	LOC6612869|XP_032576648.1|DSEC
OG0001335	LOC120425484|XP_039445962.1|CPIP, LOC120425483|XP_039445956.1|CPIP	LOC6606741|XP_032577625.1|DSEC
OG0001337	LOC120432047|XP_039453113.1|CPIP, LOC120427370|XP_039448159.1|CPIP	LOC6618020|XP_032581258.1|DSEC
OG0001338	LOC120428736|XP_039449746.1|CPIP	LOC6609548|XP_032571492.1|DSEC
OG0001339	LOC120424190|XP_039444183.1|CPIP	LOC6608851|XP_032570789.1|DSEC
OG0001340	LOC120425159|XP_039445523.1|CPIP, LOC120431992|XP_039453061.1|CPIP	LOC116800892|XP_032573152.1|DSEC
OG0001341	LOC120431639|XP_039452681.1|CPIP	LOC116802526|XP_032582879.1|DSEC, LOC6607790|XP_002032549.1|DSEC
OG0001343	LOC120430149|XP_039451167.1|CPIP	LOC6614082|XP_032578380.1|DSEC
OG0001344	LOC120422010|XP_039441262.1|CPIP, LOC120422024|XP_039441280.1|CPIP	LOC6612932|XP_032577827.1|DSEC
OG0001345	LOC120428740|XP_039449749.1|CPIP, LOC120427177|XP_039447971.1|CPIP	LOC6607005|XP_002031794.2|DSEC
OG0001346	LOC120428013|XP_039448918.1|CPIP	LOC6607146|XP_002031932.1|DSEC
OG0001347	LOC120425439|XP_039445903.1|CPIP	LOC6620335|XP_002044544.1|DSEC
OG0001348	LOC120413504|XP_039430294.1|CPIP	LOC6617998|XP_002042306.1|DSEC
OG0001349	LOC120424374|XP_039444404.1|CPIP	LOC6604872|XP_032573382.1|DSEC
OG0001350	LOC120426570|XP_039447290.1|CPIP	LOC6605265|XP_002030103.1|DSEC
OG0001351	LOC120426287|XP_039446974.1|CPIP	LOC6608445|XP_002033179.1|DSEC
OG0001352	LOC120418886|XP_039437353.1|CPIP	LOC6619143|XP_032570357.1|DSEC
OG0001353	LOC120419585|XP_039438249.1|CPIP, LOC120426756|XP_039447465.1|CPIP, LOC120430442|XP_039451492.1|CPIP	LOC6605775|XP_002030590.1|DSEC
OG0001354	LOC120432105|XP_039453172.1|CPIP, LOC120427034|XP_039447795.1|CPIP	LOC6615749|XP_032571367.1|DSEC
OG0001355	LOC120418490|XP_039436861.1|CPIP	LOC6615558|XP_002039932.1|DSEC
OG0001356	LOC120429155|XP_039450297.1|CPIP, LOC120420068|XP_039438925.1|CPIP	LOC6606895|XP_002031689.1|DSEC
OG0001357	LOC120418023|XP_039436200.1|CPIP	LOC6604766|XP_002029619.1|DSEC
OG0001358	LOC120418025|XP_039436203.1|CPIP	LOC6618344|XP_002042616.2|DSEC
OG0001359	LOC120414639|XP_039431804.1|CPIP, LOC120414627|XP_039431795.1|CPIP	LOC6611422|XP_032569708.1|DSEC
OG0001360	LOC120426786|XP_039447497.1|CPIP	LOC6620822|XP_002045018.1|DSEC
OG0001361	LOC120419996|XP_039438820.1|CPIP, LOC120419994|XP_039438816.1|CPIP	LOC6605079|XP_032575620.1|DSEC
OG0001362	LOC120419965|XP_039438769.1|CPIP	LOC6605084|XP_002029925.1|DSEC
OG0001363	LOC120432172|XP_039453243.1|CPIP, LOC120414130|XP_039431095.1|CPIP	LOC6619055|XP_002043296.1|DSEC
OG0001364	LOC120417618|XP_039435666.1|CPIP, LOC120418691|XP_039437089.1|CPIP	LOC6608587|XP_032570057.1|DSEC
OG0001365	LOC120426785|XP_039447496.1|CPIP	LOC6604854|XP_032575510.1|DSEC
OG0001367	LOC120422283|XP_039441604.1|CPIP, LOC120423782|XP_039443634.1|CPIP	LOC6615552|XP_032570950.1|DSEC
OG0001368	LOC120424976|XP_039445266.1|CPIP	LOC6608305|XP_032570373.1|DSEC
OG0001369	LOC120429806|XP_039450790.1|CPIP, LOC120432065|XP_039453130.1|CPIP	LOC6618431|XP_032581100.1|DSEC
OG0001373	LOC120422191|XP_039441506.1|CPIP, LOC120426638|XP_039447361.1|CPIP	LOC6613509|XP_002037977.1|DSEC
OG0001374	LOC120414669|XP_039431880.1|CPIP	LOC6609120|XP_002033822.1|DSEC
OG0001375	LOC120428430|XP_039449375.1|CPIP	LOC6613861|XP_002038330.2|DSEC
OG0001376	LOC120430180|XP_039451195.1|CPIP, LOC120430185|XP_039451199.1|CPIP	LOC6608671|XP_002033400.1|DSEC
OG0001377	LOC120424094|XP_039444041.1|CPIP	LOC6611592|XP_002036129.2|DSEC
OG0001378	LOC120416104|XP_039433721.1|CPIP, LOC120430328|XP_039451362.1|CPIP	LOC6611434|XP_032572650.1|DSEC
OG0001379	LOC120413125|XP_039429764.1|CPIP	LOC6613257|XP_032581435.1|DSEC
OG0001380	LOC120419386|XP_039437994.1|CPIP	LOC6619130|XP_032572987.1|DSEC
OG0001381	LOC120430020|XP_039451049.1|CPIP	LOC6609412|XP_032570198.1|DSEC
OG0001382	LOC120420085|XP_039438952.1|CPIP	LOC6613202|XP_032583372.1|DSEC
OG0001383	LOC120416800|XP_039434611.1|CPIP	LOC6608264|XP_002033008.1|DSEC
OG0001384	LOC120415581|XP_039433100.1|CPIP	LOC6614648|XP_002039075.1|DSEC
OG0001385	LOC120421152|XP_039440276.1|CPIP	LOC6611839|XP_032569890.1|DSEC
OG0001387	LOC120413881|XP_039430789.1|CPIP, LOC120413875|XP_039430781.1|CPIP	LOC6611531|XP_002036070.1|DSEC
OG0001388	LOC120425170|XP_039445537.1|CPIP, LOC120425176|XP_039445544.1|CPIP, LOC120421428|XP_039440573.1|CPIP, LOC120431693|XP_039452741.1|CPIP	LOC6611938|XP_002036455.1|DSEC
OG0001389	LOC120420640|XP_039439652.1|CPIP, LOC120420638|XP_039439650.1|CPIP	LOC6607589|XP_002032358.1|DSEC
OG0001390	LOC120415004|XP_039432300.1|CPIP	LOC6613349|XP_032583723.1|DSEC
OG0001391	LOC120430393|XP_039451430.1|CPIP	LOC6614654|XP_002039081.1|DSEC
OG0001392	LOC120420020|XP_039438855.1|CPIP, LOC120422249|XP_039441575.1|CPIP	LOC6612584|XP_032580412.1|DSEC
OG0001393	LOC120424012|XP_039443960.1|CPIP, LOC120419715|XP_039438436.1|CPIP	LOC6614622|XP_002039050.2|DSEC
OG0001394	LOC120428108|XP_039449024.1|CPIP, LOC120424757|XP_039444886.1|CPIP, LOC120414228|XP_039431273.1|CPIP	LOC6611979|XP_002036496.1|DSEC
OG0001395	LOC120413792|XP_039430676.1|CPIP	LOC6606306|XP_002031111.1|DSEC
OG0001396	LOC120431719|XP_039452778.1|CPIP, LOC120430877|XP_039451940.1|CPIP	LOC6619807|XP_002044020.1|DSEC
OG0001397	LOC120428561|XP_039449523.1|CPIP, LOC120419349|XP_039437953.1|CPIP	LOC6606816|XP_032577987.1|DSEC
OG0001399	LOC120419438|XP_039438053.1|CPIP	LOC6620407|XP_032572959.1|DSEC
OG0001400	LOC120425035|XP_039445341.1|CPIP	LOC6606576|XP_032578792.1|DSEC
OG0001401	LOC120425805|XP_039446352.1|CPIP, LOC120415856|XP_039433426.1|CPIP, LOC120427931|XP_039448806.1|CPIP	LOC6616249|XP_002040613.1|DSEC
OG0001402	LOC120415247|XP_039432645.1|CPIP	LOC6605843|XP_032574214.1|DSEC
OG0001403	LOC120424476|XP_039444545.1|CPIP, LOC120424467|XP_039444535.1|CPIP	LOC6619384|XP_002043600.1|DSEC
OG0001404	LOC120430840|XP_039451900.1|CPIP	LOC6609011|XP_032572649.1|DSEC
OG0001405	LOC120415443|XP_039432925.1|CPIP	LOC6615485|XP_002039865.1|DSEC
OG0001406	LOC120421840|XP_039441057.1|CPIP	LOC6617664|XP_002041977.1|DSEC
OG0001407	LOC120422728|XP_039442189.1|CPIP	LOC6606080|XP_002030889.1|DSEC
OG0001408	LOC120431839|XP_039452902.1|CPIP, LOC120430296|XP_039451329.1|CPIP	LOC6609345|XP_002034034.1|DSEC
OG0001429	LOC120432323|XP_039453441.1|CPIP, LOC120432295|XP_039453415.1|CPIP	LOC6606444|XP_002031248.1|DSEC
OG0001430	LOC120415056|XP_039432371.1|CPIP	LOC6606506|XP_002031307.1|DSEC
OG0001431	LOC120428470|XP_039449419.1|CPIP	LOC6619759|XP_002043973.2|DSEC
OG0001432	LOC120430880|XP_039451943.1|CPIP	LOC6620195|XP_002044406.1|DSEC
OG0001433	LOC120432018|XP_039453088.1|CPIP, LOC120430544|XP_039451593.1|CPIP	LOC6607491|XP_002032260.1|DSEC
OG0001434	LOC120418114|XP_039436322.1|CPIP	LOC6612573|XP_032580900.1|DSEC
