Orthogroup	CPIP.longest_only	DMEL.longest_only
OG0000605	LOC120418707|XP_039437110.1|CPIP, LOC120418728|XP_039437137.1|CPIP, LOC120418709|XP_039437111.1|CPIP, LOC120418710|XP_039437112.1|CPIP	CG9259|NP_610084.1|DMEL
OG0000606	LOC120423379|XP_039443097.1|CPIP	CG6660|NP_651104.1|DMEL
OG0000607	LOC120431344|XP_039452409.1|CPIP, LOC120420947|XP_039440017.1|CPIP	CG5220|NP_650590.1|DMEL, CG7009|NP_650947.1|DMEL
OG0000608	LOC120421236|XP_039440368.1|CPIP	Ald2|NP_651476.1|DMEL, Ald1|NP_733140.2|DMEL
OG0000609	LOC120413039|XP_039429662.1|CPIP	Cdlc2|NP_477408.1|DMEL
OG0000610	LOC120420855|XP_039439908.1|CPIP	Grx1|NP_649065.1|DMEL, Grx1t|NP_611609.1|DMEL
OG0000611	LOC120418459|XP_039436820.1|CPIP	Treh|NP_726025.1|DMEL, CG6262|NP_611123.2|DMEL
OG0000615	LOC120420221|XP_039439143.1|CPIP	CG6470|NP_573304.1|DMEL, CG8478|NP_001163576.1|DMEL
OG0000616	LOC120413329|XP_039430041.1|CPIP, LOC120429858|XP_039450900.1|CPIP	Hayan|NP_001097020.1|DMEL, psh|NP_573297.1|DMEL
OG0000617	LOC120423848|XP_039443730.1|CPIP	CG5611|NP_651574.1|DMEL, Srlp|NP_650199.1|DMEL
OG0000618	LOC120427285|XP_039448067.1|CPIP	P5CDh1|NP_730695.1|DMEL
OG0000619	LOC120429166|XP_039450308.1|CPIP, LOC120415620|XP_039433151.1|CPIP	CG33998|NP_001033959.1|DMEL
OG0000620	LOC120428697|XP_039449702.1|CPIP	CG17003|NP_608365.1|DMEL, Tat|NP_648310.1|DMEL
OG0000621	LOC120417806|XP_039435939.1|CPIP	eIF3g2|NP_650887.1|DMEL, eIF3g1|NP_570011.1|DMEL
OG0000622	LOC120412871|XP_039429435.1|CPIP	GluRIA|NP_476855.1|DMEL, GluRIB|NP_001261621.2|DMEL
OG0000624	LOC120412594|XP_039429062.1|CPIP	CG5323|NP_611346.1|DMEL, CG5327|NP_725807.1|DMEL
OG0000625	LOC120420027|XP_039438860.1|CPIP	CG33523|NP_001261457.1|DMEL, CG32407|NP_729113.1|DMEL
OG0000627	LOC120427326|XP_039448110.1|CPIP	SecCl|NP_001261986.1|DMEL, CG6927|NP_572194.1|DMEL
OG0000628	LOC120418965|XP_039437444.1|CPIP	Prosalpha6T|NP_609623.1|DMEL, Prosalpha6|NP_523532.1|DMEL
OG0000629	LOC120419834|XP_039438602.1|CPIP	mAcon2|NP_650042.2|DMEL, mAcon1|NP_524708.1|DMEL
OG0000630	LOC120412813|XP_039429349.1|CPIP	dnt|NP_477341.2|DMEL, drl|NP_001260566.1|DMEL
OG0000631	LOC120416872|XP_039434701.1|CPIP	ZnT33D|NP_723732.2|DMEL, ZnT35C|NP_609741.3|DMEL
OG0000632	LOC120431988|XP_039453059.1|CPIP, LOC120419672|XP_039438376.1|CPIP	CG34351|NP_001260044.1|DMEL, CG14340|NP_608567.2|DMEL
OG0000634	LOC120414394|XP_039431506.1|CPIP	Snp|NP_611632.3|DMEL
OG0000635	LOC120417897|XP_039436052.1|CPIP	Efhc1.2|NP_611459.1|DMEL, Efhc1.1|NP_573075.1|DMEL
OG0000636	LOC120427318|XP_039448105.1|CPIP	CG17564|NP_609954.1|DMEL, CG10750|NP_001286084.1|DMEL
OG0000637	LOC120419435|XP_039438048.1|CPIP, LOC120423148|XP_039442763.1|CPIP	Vsx2|NP_001284897.1|DMEL, Vsx1|NP_572232.2|DMEL
OG0000638	LOC120421466|XP_039440616.1|CPIP	RpS19b|NP_651195.1|DMEL, RpS19a|NP_523376.1|DMEL
OG0000639	LOC120429394|XP_039450481.1|CPIP	siz|NP_730594.1|DMEL
OG0000646	LOC120424024|XP_039443974.1|CPIP	Apc2|NP_001334699.1|DMEL, Apc|NP_477152.1|DMEL
OG0000647	LOC120417689|XP_039435759.1|CPIP	CG31559|NP_731045.1|DMEL, CG12206|NP_570060.1|DMEL
OG0000648	LOC120420178|XP_039439085.1|CPIP	B-H1|NP_523387.1|DMEL
OG0000649	LOC120429957|XP_039450983.1|CPIP	Frq1|NP_573271.1|DMEL, Frq2|NP_525093.1|DMEL
OG0000650	LOC120420233|XP_039439156.1|CPIP	CG10694|NP_651212.1|DMEL
OG0000651	LOC120425481|XP_039445952.1|CPIP	Fit2|NP_648947.1|DMEL, Fit1|NP_728936.1|DMEL
OG0000652	LOC120425999|XP_039446591.1|CPIP	CanB2|NP_524874.2|DMEL, CanB|NP_524741.1|DMEL
OG0000653	LOC120427412|XP_039448210.1|CPIP, LOC120427411|XP_039448209.1|CPIP	Sccpdh2|NP_650190.1|DMEL, Sccpdh1|NP_649517.1|DMEL
OG0000654	LOC120430316|XP_039451343.1|CPIP	Nc73EF|NP_001097629.1|DMEL
OG0000655	LOC120418498|XP_039436869.1|CPIP	Nacalpha|NP_477216.1|DMEL, CG4415|NP_608561.2|DMEL
OG0000657	LOC120414701|XP_039431934.1|CPIP	CG13405|NP_611999.1|DMEL, CG3213|NP_608787.1|DMEL
OG0000658	LOC120421966|XP_039441212.1|CPIP	RpS5a|NP_523382.1|DMEL, RpS5b|NP_650407.1|DMEL
OG0000659	LOC120428322|XP_039449253.1|CPIP	gammaTub23C|NP_476804.1|DMEL, gammaTub37C|NP_476922.1|DMEL
OG0000660	LOC120432453|XP_039453605.1|CPIP	alpha4GT1|NP_608737.1|DMEL
OG0000661	LOC120427094|XP_039447878.1|CPIP	mrva|NP_648103.1|DMEL, CG12194|NP_001162873.1|DMEL
OG0000663	LOC120412947|XP_039429520.1|CPIP	pain|NP_611979.1|DMEL
OG0000664	LOC120423934|XP_039443852.1|CPIP	Cbp80|NP_726938.1|DMEL
OG0000665	LOC120426832|XP_039447553.1|CPIP	to|NP_524497.1|DMEL, CG11854|NP_651358.4|DMEL
OG0000666	LOC120414520|XP_039431665.1|CPIP	CG10444|NP_611465.2|DMEL, CG32669|NP_727460.1|DMEL
OG0000667	LOC120424397|XP_039444429.1|CPIP	Tsp3A|NP_525054.2|DMEL, Tsp86D|NP_001262468.1|DMEL
OG0000668	LOC120417871|XP_039436025.1|CPIP	CG40045|NP_001036640.1|DMEL, Ubc87F|NP_650309.1|DMEL
OG0000669	LOC120425665|XP_039446184.1|CPIP	CG9521|NP_572977.1|DMEL, CG9519|NP_572978.1|DMEL
OG0000670	LOC120425162|XP_039445530.1|CPIP	CG4438|NP_609286.1|DMEL, CG11444|NP_572171.1|DMEL
OG0000671	LOC120432663|XP_039453843.1|CPIP	Gfat1|NP_001015157.2|DMEL, Gfat2|NP_651617.1|DMEL
OG0000672	LOC120423756|XP_039443605.1|CPIP	CG18130|NP_572772.1|DMEL, CG14221|NP_001259713.1|DMEL
OG0000673	LOC120428930|XP_039450008.1|CPIP	Jafrac1|NP_477510.1|DMEL, CG6888|NP_648759.1|DMEL
OG0000677	LOC120417794|XP_039435946.1|CPIP	Lint-1|NP_572692.1|DMEL
OG0000678	LOC120413326|XP_039430034.1|CPIP	CG3534|NP_650582.1|DMEL, CG3544|NP_608543.1|DMEL
OG0000679	LOC120422653|XP_039442092.1|CPIP, LOC120422642|XP_039442078.1|CPIP, LOC120422622|XP_039442048.1|CPIP, LOC120429663|XP_039450627.1|CPIP, LOC120413474|XP_039430247.1|CPIP, LOC120413498|XP_039430289.1|CPIP	CG15739|NP_572760.1|DMEL
OG0000680	LOC120425607|XP_039446150.1|CPIP	CG14196|NP_573367.1|DMEL, out|NP_573378.1|DMEL
OG0000681	LOC120418081|XP_039436271.1|CPIP, LOC120419864|XP_039438646.1|CPIP	Nsf2|NP_788676.1|DMEL, comt|NP_524877.1|DMEL
OG0000683	LOC120421815|XP_039441026.1|CPIP, LOC120427907|XP_039448781.1|CPIP, LOC120420753|XP_039439789.1|CPIP	CG6178|NP_651221.1|DMEL
OG0000684	LOC120430224|XP_039451238.1|CPIP	eIF3d2|NP_731675.1|DMEL, eIF3d1|NP_524463.2|DMEL
OG0000685	LOC120414285|XP_039431349.1|CPIP	Rab1|NP_732610.1|DMEL
OG0000686	LOC120423501|XP_039443275.1|CPIP	SdhB|NP_477101.1|DMEL, SdhBL|NP_573340.1|DMEL
OG0000687	LOC120413459|XP_039430230.1|CPIP	CG8517|NP_611446.3|DMEL, CG8993|NP_647716.1|DMEL
OG0000688	LOC120431079|XP_039452165.1|CPIP, LOC120417409|XP_039435385.1|CPIP	olf186-F|NP_001137696.1|DMEL
OG0000689	LOC120431213|XP_039452290.1|CPIP	COX7C|NP_652397.1|DMEL, CG44296|NP_001286270.1|DMEL
OG0000690	LOC120417154|XP_039435072.1|CPIP, LOC120414453|XP_039431575.1|CPIP, LOC120415957|XP_039433533.1|CPIP, LOC120421238|XP_039440371.1|CPIP, LOC120417133|XP_039435047.1|CPIP	Obp19a|NP_728338.2|DMEL
OG0000691	LOC120426138|XP_039446786.1|CPIP	CG9314|NP_609248.1|DMEL, Cat|NP_536731.1|DMEL
OG0000692	LOC120412572|XP_039429020.1|CPIP, LOC120412641|XP_039429129.1|CPIP	Cpr72Ea|NP_648882.1|DMEL, Cpr72Eb|NP_648883.1|DMEL
OG0000694	LOC120415917|XP_039433497.1|CPIP	Tango5|NP_727444.1|DMEL, CG32087|NP_729740.2|DMEL
OG0000695	LOC120421982|XP_039441225.1|CPIP	smal|NP_723165.2|DMEL, Ddr|NP_001285666.1|DMEL
OG0000696	LOC120430944|XP_039452001.1|CPIP	baf|NP_609176.1|DMEL
OG0000697	LOC120428099|XP_039449017.1|CPIP	I-3|NP_728367.3|DMEL, CG13994|NP_608988.1|DMEL
OG0000698	LOC120412844|XP_039429401.1|CPIP	slp1|NP_476730.1|DMEL, slp2|NP_476834.1|DMEL
OG0000699	LOC120427812|XP_039448668.1|CPIP	MICU1|NP_001097110.1|DMEL, CG4704|NP_651103.1|DMEL
OG0000700	LOC120422038|XP_039441297.1|CPIP	CG4341|NP_608558.1|DMEL, CG31690|NP_995615.2|DMEL
OG0000701	LOC120432450|XP_039453600.1|CPIP	CG10814|NP_610868.1|DMEL, CG5321|NP_572967.2|DMEL
OG0000702	LOC120429861|XP_039450866.1|CPIP	LpR1|NP_001097934.2|DMEL, LpR2|NP_001097928.1|DMEL
OG0000703	LOC120415396|XP_039432859.1|CPIP	Gpo3|NP_609667.2|DMEL, Gpo1|NP_001097332.1|DMEL
OG0000704	LOC120415202|XP_039432596.1|CPIP	sgg|NP_001259193.1|DMEL, gskt|NP_733426.1|DMEL
OG0000705	LOC120415894|XP_039433467.1|CPIP	Pcyt2|NP_647622.1|DMEL, Pcyt1|NP_647621.1|DMEL
OG0000706	LOC120431510|XP_039452545.1|CPIP, LOC120417499|XP_039435510.1|CPIP	CG5790|NP_609876.2|DMEL, Cdc7|NP_727103.1|DMEL
OG0000707	LOC120420877|XP_039439931.1|CPIP, LOC120417438|XP_039435414.1|CPIP	LS2|NP_611769.2|DMEL, U2af50|NP_001245708.1|DMEL
OG0000708	LOC120414023|XP_039430974.1|CPIP	Ptp4E|NP_525076.2|DMEL, Ptp10D|NP_996413.2|DMEL
OG0000709	LOC120425929|XP_039446484.1|CPIP	eIF4H2|NP_651820.1|DMEL, eIF4H1|NP_001285330.1|DMEL
OG0000710	LOC120419565|XP_039438228.1|CPIP	Ubc84D|NP_524260.1|DMEL, Ubc10|NP_477414.1|DMEL
OG0000711	LOC120414993|XP_039432285.1|CPIP	CG12362|NP_648392.1|DMEL, ari-1|NP_523399.1|DMEL
OG0000712	LOC120415327|XP_039432747.1|CPIP	trem|NP_650861.1|DMEL, CG4936|NP_650862.1|DMEL
OG0000713	LOC120426914|XP_039447655.1|CPIP	Vha14-2|NP_649614.1|DMEL, Vha14-1|NP_476969.1|DMEL
OG0000714	LOC120425956|XP_039446531.1|CPIP	TTLL1A|NP_573197.2|DMEL, TTLL1B|NP_729025.1|DMEL
OG0000715	LOC120425955|XP_039446529.1|CPIP	CG13380|NP_001262016.1|DMEL
OG0000716	LOC120416855|XP_039434686.1|CPIP	Prosbeta2R1|NP_572267.1|DMEL, Prosbeta2|NP_524076.2|DMEL
OG0000723	LOC120415619|XP_039433149.1|CPIP	CG13323|NP_610832.1|DMEL, CG13324|NP_610833.1|DMEL
OG0000724	LOC120424175|XP_039444197.1|CPIP	Rpt6|NP_608447.1|DMEL, Rpt6R|NP_651811.1|DMEL
OG0000726	LOC120415569|XP_039433085.1|CPIP	Gyc89Db|NP_650551.1|DMEL, Gyc89Da|NP_001036718.1|DMEL
OG0000727	LOC120418385|XP_039436693.1|CPIP, LOC120418370|XP_039436666.1|CPIP	CG5316|NP_650805.1|DMEL
OG0000728	LOC120423585|XP_039443379.1|CPIP	CG15368|NP_572541.1|DMEL, CG45050|NP_001262407.1|DMEL
OG0000729	LOC120423358|XP_039443069.1|CPIP	CG42814|NP_001189301.1|DMEL, CG42813|NP_733202.2|DMEL
OG0000730	LOC120417800|XP_039435933.1|CPIP	CG34015|NP_001033848.1|DMEL, CG15362|NP_608634.1|DMEL
OG0000731	LOC120419772|XP_039438536.1|CPIP	CG11353|NP_647915.1|DMEL, CG30471|NP_001261001.1|DMEL
OG0000732	LOC120413384|XP_039430116.1|CPIP	sina|NP_476725.1|DMEL, sinah|NP_648927.1|DMEL
OG0000733	LOC120412609|XP_039429091.1|CPIP	Cyt-c1L|NP_651683.1|DMEL, Cyt-c1|NP_647958.1|DMEL
OG0000734	LOC120421378|XP_039440503.1|CPIP	CG15208|NP_572664.1|DMEL, CG14995|NP_728935.1|DMEL
OG0000735	LOC120428673|XP_039449660.1|CPIP	TrxT|NP_572212.1|DMEL, Trx-2|NP_523526.1|DMEL
OG0000736	LOC120416311|XP_039433966.1|CPIP	FASN2|NP_001259986.1|DMEL, FASN1|NP_001137778.2|DMEL
OG0000738	LOC120415559|XP_039433066.1|CPIP	Sirup|NP_609170.1|DMEL, CG15283|NP_652574.3|DMEL
OG0000739	LOC120418418|XP_039436733.1|CPIP, LOC120412505|XP_039428939.1|CPIP	VhaPPA1-2|NP_650406.2|DMEL, VhaPPA1-1|NP_652010.1|DMEL
OG0000740	LOC120432414|XP_039453547.1|CPIP	kl-3|NP_001104482.3|DMEL
OG0000740	LOC120420376|XP_039439313.1|CPIP	CG9492|NP_001287256.1|DMEL
OG0000741	LOC120413897|XP_039430812.1|CPIP, LOC120414929|XP_039432198.1|CPIP	nonA|NP_727962.1|DMEL, nonA-l|NP_536740.1|DMEL
OG0000742	LOC120423374|XP_039443091.1|CPIP	CG1695|NP_728346.2|DMEL, tbc|NP_608395.6|DMEL
OG0000743	LOC120413024|XP_039429630.1|CPIP	Ctr9|NP_788449.1|DMEL, CG9899|NP_611764.1|DMEL
OG0000744	LOC120414224|XP_039431268.1|CPIP, LOC120414230|XP_039431274.1|CPIP	CG18003|NP_001027401.1|DMEL
OG0000746	LOC120415831|XP_039433401.1|CPIP	Odc2|NP_477053.2|DMEL, Odc1|NP_477052.2|DMEL
OG0000753	LOC120432583|XP_039453755.1|CPIP	CG5196|NP_650191.1|DMEL, CG4483|NP_648294.1|DMEL
OG0000754	LOC120425633|XP_039446149.1|CPIP	CG4829|NP_728030.2|DMEL, CG1492|NP_572774.1|DMEL
OG0000755	LOC120424343|XP_039444367.1|CPIP	PK2-R2|NP_731788.1|DMEL, PK2-R1|NP_731790.1|DMEL
OG0000756	LOC120416674|XP_039434427.1|CPIP	fd96Ca|NP_524495.1|DMEL
OG0000756	LOC120417084|XP_039434998.1|CPIP	fd96Cb|NP_524496.1|DMEL
OG0000757	LOC120413458|XP_039430229.1|CPIP	eIF1|NP_647792.1|DMEL
OG0000758	LOC120426139|XP_039446787.1|CPIP	Agpat4|NP_648887.1|DMEL, Agpat3|NP_001246793.1|DMEL
OG0000760	LOC120418960|XP_039437438.1|CPIP	CG30274|NP_726252.1|DMEL
OG0000761	LOC120426315|XP_039447008.1|CPIP	RluA-1|NP_723592.1|DMEL, RluA-2|NP_609411.1|DMEL
OG0000762	LOC120431691|XP_039452740.1|CPIP, LOC120413861|XP_039430758.1|CPIP	Wdr82|NP_609217.1|DMEL, CG3515|NP_608687.2|DMEL
OG0000764	LOC120416982|XP_039434838.1|CPIP	Gld2|NP_001262829.1|DMEL, wisp|NP_572766.1|DMEL
OG0000765	LOC120417525|XP_039435542.1|CPIP	Naa30B|NP_728606.1|DMEL, Naa30A|NP_726727.1|DMEL
OG0000766	LOC120414850|XP_039432108.1|CPIP	CG9582|NP_609270.1|DMEL, CG5254|NP_569856.2|DMEL
OG0000767	LOC120423444|XP_039443195.1|CPIP	mia|NP_001138010.1|DMEL, Taf6|NP_524161.2|DMEL
OG0000768	LOC120421500|XP_039440653.1|CPIP	polo|NP_524179.2|DMEL
OG0000769	LOC120412516|XP_039428946.1|CPIP	CG5111|NP_651402.1|DMEL, CG15445|NP_728390.1|DMEL
OG0000770	LOC120432659|XP_039453839.1|CPIP, LOC120413150|XP_039429790.1|CPIP, LOC120432661|XP_039453841.1|CPIP	Def|NP_523672.1|DMEL
OG0000771	LOC120422224|XP_039441543.1|CPIP, LOC120431658|XP_039452697.1|CPIP	CG32263|NP_728903.1|DMEL, CG32262|NP_647831.1|DMEL
OG0000779	LOC120429662|XP_039450626.1|CPIP, LOC120416907|XP_039434740.1|CPIP, LOC120421811|XP_039441023.1|CPIP, LOC120430888|XP_039451974.1|CPIP, LOC120424409|XP_039444448.1|CPIP	CG1998|NP_572887.1|DMEL
OG0000780	LOC120418409|XP_039436760.1|CPIP, LOC120418035|XP_039436253.1|CPIP, LOC120418333|XP_039436646.1|CPIP	Marc|NP_610523.2|DMEL
OG0000781	LOC120414167|XP_039431153.1|CPIP	Trxr-1|NP_727251.1|DMEL, Trxr-2|NP_524216.1|DMEL
OG0000782	LOC120425469|XP_039445938.1|CPIP	CG5906|NP_648518.1|DMEL, CG1662|NP_572883.1|DMEL
OG0000783	LOC120425480|XP_039445951.1|CPIP	Rpt4R|NP_648525.1|DMEL, Rpt4|NP_572308.3|DMEL
OG0000784	LOC120428957|XP_039450028.1|CPIP	ND-24L|NP_648965.1|DMEL, ND-24|NP_573228.1|DMEL
OG0000785	LOC120425382|XP_039445831.1|CPIP, LOC120425381|XP_039445830.1|CPIP	Ssl2|NP_651656.2|DMEL, Hmu|NP_477159.1|DMEL
OG0000786	LOC120429815|XP_039450805.1|CPIP	JYalpha|NP_001104092.2|DMEL, Atpalpha|NP_732572.1|DMEL
OG0000787	LOC120430342|XP_039451379.1|CPIP	Uch-L5|NP_524003.1|DMEL, Uch-L5R|NP_572781.1|DMEL
OG0000788	LOC120416496|XP_039434146.1|CPIP	CG42830|NP_001188834.1|DMEL, akirin|NP_648113.1|DMEL
OG0000789	LOC120414727|XP_039431965.1|CPIP	CG34011|NP_001033878.3|DMEL, CG14007|NP_001097090.2|DMEL
OG0000790	LOC120412832|XP_039429373.1|CPIP	CG31975|NP_001162840.1|DMEL, CG31974|NP_001259800.1|DMEL
OG0000791	LOC120421987|XP_039441235.1|CPIP, LOC120415555|XP_039433063.1|CPIP	CG6036|NP_651472.2|DMEL, alph|NP_651701.1|DMEL
OG0000792	LOC120415597|XP_039433125.1|CPIP	NLaz|NP_001259867.1|DMEL
OG0000793	LOC120423637|XP_039443443.1|CPIP	CG4686|NP_650837.1|DMEL, CG42395|NP_001138182.3|DMEL
OG0000794	LOC120430634|XP_039451663.1|CPIP, LOC120430632|XP_039451661.1|CPIP, LOC120431042|XP_039452127.1|CPIP, LOC120430630|XP_039451659.1|CPIP, LOC120431043|XP_039452128.1|CPIP	CG5126|NP_608584.1|DMEL
OG0000796	LOC120432573|XP_039453733.1|CPIP	Rpt3R|NP_649938.2|DMEL, Rpt3|NP_572686.1|DMEL
OG0000797	LOC120414099|XP_039431056.1|CPIP, LOC120419430|XP_039438042.1|CPIP	CG9399|NP_649913.1|DMEL, CG9396|NP_649912.1|DMEL
OG0000798	LOC120415294|XP_039432697.1|CPIP	CG33156|NP_788346.1|DMEL, CG6145|NP_725314.1|DMEL
OG0000799	LOC120424434|XP_039444488.1|CPIP, LOC120428134|XP_039449050.1|CPIP	CG14740|NP_650152.1|DMEL, kdn|NP_727091.1|DMEL
OG0000801	LOC120431544|XP_039452587.1|CPIP	CG12782|NP_611772.2|DMEL, Rae1|NP_611597.1|DMEL
OG0000802	LOC120419165|XP_039437749.1|CPIP, LOC120419161|XP_039437744.1|CPIP, LOC120419173|XP_039437760.1|CPIP	vanin-like|NP_572297.1|DMEL, CG32751|NP_001284927.1|DMEL
OG0000803	LOC120412688|XP_039429199.1|CPIP	Dpy-30L1|NP_609445.1|DMEL, Dpy-30L2|NP_647854.1|DMEL
OG0000810	LOC120430093|XP_039451114.1|CPIP, LOC120424339|XP_039444365.1|CPIP	Cyp9b1|NP_523645.1|DMEL, Cyp9b2|NP_523646.1|DMEL
OG0000811	LOC120430979|XP_039452051.1|CPIP	CG7997|NP_611119.1|DMEL
OG0000812	LOC120427000|XP_039447755.1|CPIP	CG8974|NP_573076.1|DMEL, CG32581|NP_727898.2|DMEL, CG32847|NP_730026.1|DMEL
OG0000813	LOC120416571|XP_039434239.1|CPIP	CG11835|NP_608532.1|DMEL
OG0000814	LOC120419319|XP_039437923.1|CPIP, LOC120414046|XP_039431001.1|CPIP	jhamt|NP_609793.2|DMEL
OG0000815	LOC120420094|XP_039438966.1|CPIP, LOC120420412|XP_039439366.1|CPIP, LOC120419953|XP_039438750.1|CPIP, LOC120419959|XP_039438759.1|CPIP	CG12512|NP_608924.1|DMEL
OG0000816	LOC120415564|XP_039433070.1|CPIP	CG2076|NP_572681.1|DMEL, Mics1|NP_649725.2|DMEL
OG0000817	LOC120432393|XP_039453522.1|CPIP	CG6503|NP_001189297.1|DMEL, CG34291|NP_001097938.1|DMEL
OG0000818	LOC120420870|XP_039439923.1|CPIP, LOC120417437|XP_039435412.1|CPIP	CG13369|NP_569850.1|DMEL, CG17010|NP_609560.2|DMEL
OG0000820	LOC120418431|XP_039436744.1|CPIP	CG12231|NP_573390.1|DMEL, CG7222|NP_610613.1|DMEL
OG0000821	LOC120414923|XP_039432191.1|CPIP	CG10909|NP_650236.1|DMEL, Fib|NP_523817.1|DMEL
OG0000822	LOC120428520|XP_039449477.1|CPIP, LOC120416210|XP_039433836.1|CPIP	CG13727|NP_648969.1|DMEL, CG13386|NP_609226.1|DMEL
OG0000831	LOC120427282|XP_039448065.1|CPIP, LOC120427278|XP_039448062.1|CPIP, LOC120414834|XP_039432094.1|CPIP	Lsp2|NP_524816.1|DMEL
OG0000832	LOC120421010|XP_039440062.1|CPIP	EMC7|NP_611078.1|DMEL
OG0000833	LOC120422698|XP_039442145.1|CPIP	Ir75d|NP_649074.2|DMEL
OG0000834	LOC120418860|XP_039437327.1|CPIP	CG15515|NP_001263088.1|DMEL
OG0000836	LOC120415979|XP_039433566.1|CPIP	CG2528|NP_610129.3|DMEL, CG5355|NP_609397.2|DMEL
OG0000837	LOC120417498|XP_039435509.1|CPIP	fzr2|NP_611854.1|DMEL
OG0000839	LOC120413954|XP_039430891.1|CPIP	Atu|NP_524240.1|DMEL, CG10887|NP_650866.1|DMEL
OG0000840	LOC120423439|XP_039443189.1|CPIP	tomboy40|NP_610213.1|DMEL, Tom40|NP_652003.2|DMEL
OG0000843	LOC120431268|XP_039452336.1|CPIP	thoc5|NP_611856.1|DMEL
OG0000844	LOC120414979|XP_039432248.1|CPIP	Mlp60A|NP_001137750.1|DMEL, Mlp84B|NP_477122.1|DMEL
OG0000845	LOC120417392|XP_039435347.1|CPIP, LOC120417419|XP_039435396.1|CPIP	CG11695|NP_572732.1|DMEL, CG11696|NP_572731.1|DMEL
OG0000854	LOC120432213|XP_039453307.1|CPIP	CG3097|NP_572259.1|DMEL, CG3108|NP_572262.1|DMEL
OG0000855	LOC120419350|XP_039437982.1|CPIP	CG3740|NP_569932.1|DMEL, Nazo|NP_649778.1|DMEL
OG0000856	LOC120421057|XP_039440135.1|CPIP	CG5334|NP_572969.1|DMEL, CG5347|NP_572970.1|DMEL, Mkrn1|NP_524704.1|DMEL
OG0000857	LOC120424313|XP_039444331.1|CPIP, LOC120418642|XP_039437022.1|CPIP	Mgstl|NP_524696.2|DMEL
OG0000858	LOC120426684|XP_039447392.1|CPIP	yellow-f|NP_524335.1|DMEL, yellow-f2|NP_650247.1|DMEL
OG0000860	LOC120428391|XP_039449328.1|CPIP	CG5078|NP_649238.3|DMEL, CG11537|NP_001097489.1|DMEL
OG0000861	LOC120428748|XP_039449764.1|CPIP	St3|NP_001261155.1|DMEL
OG0000862	LOC120418915|XP_039437380.1|CPIP	CG15653|NP_611540.1|DMEL, CG31913|NP_723119.1|DMEL
OG0000863	LOC120412605|XP_039429087.1|CPIP	CG18596|NP_651031.1|DMEL
OG0000865	LOC120423669|XP_039443489.1|CPIP	CG34334|NP_001097042.1|DMEL, RnpS1|NP_649903.1|DMEL
OG0000866	LOC120422619|XP_039442049.1|CPIP	CG4887|NP_608582.2|DMEL, CG4896|NP_608583.5|DMEL
OG0000867	LOC120413111|XP_039429751.1|CPIP	CG4701|NP_609721.1|DMEL, nmd|NP_609373.1|DMEL
OG0000868	LOC120419336|XP_039437941.1|CPIP, LOC120414763|XP_039432009.1|CPIP	CG2061|NP_572682.1|DMEL
OG0000869	LOC120431030|XP_039452116.1|CPIP	CG14609|NP_649704.3|DMEL
OG0000871	LOC120416744|XP_039434513.1|CPIP	Smyd4-4|NP_610730.1|DMEL
OG0000872	LOC120418438|XP_039436780.1|CPIP	CG6873|NP_573321.1|DMEL, tsr|NP_477034.1|DMEL
OG0000873	LOC120414951|XP_039432215.1|CPIP, LOC120423917|XP_039443832.1|CPIP, LOC120414941|XP_039432205.1|CPIP	olf413|NP_730711.3|DMEL
OG0000874	LOC120423682|XP_039443508.1|CPIP	CG6978|NP_572188.1|DMEL, Picot|NP_725600.1|DMEL
OG0000875	LOC120429100|XP_039450197.1|CPIP	Tom20|NP_649169.3|DMEL
OG0000882	LOC120415611|XP_039433139.1|CPIP	CG34325|NP_001097003.1|DMEL, CG31624|NP_724318.1|DMEL, CG31988|NP_610098.1|DMEL
OG0000883	LOC120419054|XP_039437562.1|CPIP, LOC120420051|XP_039438897.1|CPIP, LOC120425029|XP_039445334.1|CPIP, LOC120421899|XP_039441131.1|CPIP, LOC120420379|XP_039439326.1|CPIP	CG9400|NP_572957.1|DMEL
OG0000884	LOC120427201|XP_039447995.1|CPIP	CG3251|NP_608851.1|DMEL, otu|NP_511089.2|DMEL
OG0000885	LOC120424055|XP_039444010.1|CPIP, LOC120424044|XP_039444000.1|CPIP, LOC120424045|XP_039444001.1|CPIP	euc|NP_001247188.1|DMEL
OG0000887	LOC120420686|XP_039439715.1|CPIP, LOC120420673|XP_039439704.1|CPIP, LOC120425775|XP_039446321.1|CPIP	CG42249|NP_572684.2|DMEL
OG0000888	LOC120412402|XP_039428795.1|CPIP	RhoGEF3|NP_612024.4|DMEL
OG0000889	LOC120418561|XP_039436926.1|CPIP	CG11370|NP_649408.1|DMEL
OG0000890	LOC120422694|XP_039442137.1|CPIP	CycB|NP_726244.1|DMEL
OG0000891	LOC120413113|XP_039429753.1|CPIP	CG9254|NP_609664.1|DMEL, dmGlut|NP_620115.2|DMEL
OG0000892	LOC120428476|XP_039449427.1|CPIP	CG6168|NP_648459.1|DMEL, isoQC|NP_788550.1|DMEL
OG0000893	LOC120414042|XP_039431000.1|CPIP, LOC120415367|XP_039432803.1|CPIP, LOC120413619|XP_039430463.1|CPIP, LOC120414024|XP_039430983.1|CPIP, LOC120414031|XP_039430990.1|CPIP, LOC120413628|XP_039430476.1|CPIP	Ir84a|NP_649720.2|DMEL
