Orthogroup	CPIP.longest_only	DSIM.longest_only
OG0001661	LOC120414638|XP_039431808.1|CPIP	LOC6728596|XP_016035227.1|DSIM
OG0001662	LOC120413243|XP_039429906.1|CPIP	LOC6737231|XP_002084071.2|DSIM
OG0001666	LOC120418637|XP_039437016.1|CPIP	LOC6730844|XP_002078008.1|DSIM
OG0001678	LOC120419284|XP_039437885.1|CPIP	LOC6726285|XP_016039786.1|DSIM
OG0001679	LOC120432273|XP_039453389.1|CPIP, LOC120432259|XP_039453374.1|CPIP	LOC6725238|XP_002106260.1|DSIM
OG0001680	LOC120418132|XP_039436345.1|CPIP	LOC27209313|XP_016038432.1|DSIM
OG0001681	LOC120424011|XP_039443959.1|CPIP, LOC120419710|XP_039438431.1|CPIP	LOC6740045|XP_039153259.1|DSIM
OG0001682	LOC120432300|XP_039453421.1|CPIP	LOC6726323|XP_016039879.1|DSIM
OG0001683	LOC120431556|XP_039452597.1|CPIP	LOC6731501|XP_016024177.1|DSIM
OG0001684	LOC120420164|XP_039439064.1|CPIP	LOC6739827|XP_016037276.1|DSIM
OG0001685	LOC120414662|XP_039431865.1|CPIP, LOC120415701|XP_039433226.1|CPIP	LOC6732499|XP_002079619.1|DSIM
OG0001686	LOC120423038|XP_039442630.1|CPIP	LOC27207183|XP_039153699.1|DSIM, LOC6726378|XP_039153698.1|DSIM
OG0001687	LOC120429378|XP_039450484.1|CPIP, LOC120428917|XP_039450024.1|CPIP	LOC27206376|XP_016037527.1|DSIM
OG0001688	LOC120417713|XP_039435798.1|CPIP	LOC6725232|XP_002106254.1|DSIM, LOC6725230|XP_039152811.1|DSIM
OG0001689	LOC120417698|XP_039435777.1|CPIP	LOC6725711|XP_039153549.1|DSIM
OG0001690	LOC120427975|XP_039448865.1|CPIP	LOC6739620|XP_016030577.1|DSIM
OG0001691	LOC120412506|XP_039428944.1|CPIP	LOC6731406|XP_002078559.1|DSIM
OG0001692	LOC120429639|XP_039450600.1|CPIP	LOC6727527|XP_016034103.2|DSIM
OG0001694	LOC120415614|XP_039433143.1|CPIP, LOC120430709|XP_039451751.1|CPIP	LOC6727549|XP_016034123.1|DSIM
OG0001695	LOC120427808|XP_039448667.1|CPIP, LOC120419865|XP_039438650.1|CPIP, LOC120418082|XP_039436274.1|CPIP	LOC6735146|XP_002082123.1|DSIM
OG0001696	LOC120429492|XP_039450498.1|CPIP	LOC6728668|XP_016035326.1|DSIM
OG0001700	LOC120413748|XP_039430614.1|CPIP, LOC120413786|XP_039430669.1|CPIP	LOC6728757|XP_016035430.1|DSIM
OG0001701	LOC120422133|XP_039441441.1|CPIP	LOC6726902|XP_039150462.1|DSIM
OG0001702	LOC120418959|XP_039437436.1|CPIP	LOC6731710|XP_002078845.1|DSIM
OG0001703	LOC120431818|XP_039452875.1|CPIP	LOC6729181|XP_016035827.1|DSIM
OG0001704	LOC120432144|XP_039453211.1|CPIP	LOC6729182|XP_016035829.1|DSIM
OG0001705	LOC120431584|XP_039452629.1|CPIP	LOC6730112|XP_016036871.1|DSIM
OG0001706	LOC120421783|XP_039440987.1|CPIP	LOC6733159|XP_016026032.1|DSIM
OG0001707	LOC120423819|XP_039443675.1|CPIP	LOC6729215|XP_016035868.1|DSIM
OG0001708	LOC120424254|XP_039444252.1|CPIP	LOC6728183|XP_039151564.1|DSIM
OG0001709	LOC120430071|XP_039451096.1|CPIP, LOC120429522|XP_039450525.1|CPIP, LOC120421807|XP_039441018.1|CPIP	LOC6736767|XP_016030391.1|DSIM
OG0001710	LOC120421118|XP_039440212.1|CPIP, LOC120422581|XP_039442004.1|CPIP	LOC6729020|XP_016035682.1|DSIM
OG0001711	LOC120430053|XP_039451082.1|CPIP, LOC120431438|XP_039452490.1|CPIP, LOC120432002|XP_039453068.1|CPIP, LOC120427890|XP_039448758.1|CPIP	LOC6729093|XP_016035745.1|DSIM
OG0001712	LOC120420722|XP_039439754.1|CPIP	LOC6729323|XP_016035959.1|DSIM
OG0001713	LOC120425504|XP_039445987.1|CPIP	LOC6728537|XP_002103882.1|DSIM
OG0001714	LOC120429283|XP_039450438.1|CPIP, LOC120428367|XP_039449304.1|CPIP	LOC6726760|XP_016033245.1|DSIM
OG0001715	LOC120412901|XP_039429467.1|CPIP	LOC6726194|XP_039153193.1|DSIM
OG0001716	LOC120427410|XP_039448208.1|CPIP	LOC6725423|XP_002106439.2|DSIM
OG0001717	LOC120424680|XP_039444790.1|CPIP, LOC120424622|XP_039444721.1|CPIP	LOC6730144|XP_016036910.1|DSIM
OG0001718	LOC120432527|XP_039453679.1|CPIP	LOC6729137|XP_039151090.1|DSIM
OG0001719	LOC120422589|XP_039442014.1|CPIP	LOC6729221|XP_016035872.1|DSIM
OG0001722	LOC120427608|XP_039448418.1|CPIP	LOC6738236|XP_016032085.1|DSIM
OG0001723	LOC120426984|XP_039447737.1|CPIP, LOC120419737|XP_039438472.1|CPIP	LOC6733165|XP_016026040.1|DSIM
OG0001724	LOC120419483|XP_039438100.1|CPIP	LOC6735565|XP_039148415.1|DSIM
OG0001725	LOC120429768|XP_039450757.1|CPIP	LOC6733823|XP_016026803.1|DSIM
OG0001726	LOC120416559|XP_039434224.1|CPIP, LOC120415184|XP_039432575.1|CPIP	LOC6738922|XP_016032750.1|DSIM
OG0001727	LOC120429045|XP_039450121.1|CPIP, LOC120423654|XP_039443470.1|CPIP, LOC120420428|XP_039439385.1|CPIP	LOC6729123|XP_002104444.1|DSIM
OG0001728	LOC120425582|XP_039446089.1|CPIP	LOC6734055|XP_002081091.1|DSIM
OG0001729	LOC120425590|XP_039446103.1|CPIP	LOC6736168|XP_039147471.1|DSIM
OG0001730	LOC120426311|XP_039447006.1|CPIP, LOC120425981|XP_039446572.1|CPIP	LOC6732049|XP_016024732.1|DSIM
OG0001732	LOC120415971|XP_039433554.1|CPIP, LOC120415998|XP_039433587.1|CPIP, LOC120413260|XP_039429922.1|CPIP, LOC120420563|XP_039439569.1|CPIP	LOC6731177|XP_002078336.1|DSIM
OG0001733	LOC120418891|XP_039437357.1|CPIP	LOC6735525|XP_039147347.1|DSIM
OG0001734	LOC120418881|XP_039437349.1|CPIP	LOC6733646|XP_016026610.1|DSIM
OG0001735	LOC120430048|XP_039451078.1|CPIP	LOC27206655|XP_016032825.1|DSIM
OG0001736	LOC120413202|XP_039429852.1|CPIP	LOC6735178|XP_016028461.1|DSIM
OG0001737	LOC120428758|XP_039449774.1|CPIP	LOC6735917|XP_016029272.1|DSIM
OG0001738	LOC120413222|XP_039429882.1|CPIP	LOC6738442|XP_016032279.1|DSIM
OG0001739	LOC120418492|XP_039436864.1|CPIP	LOC27208348|XP_016025988.1|DSIM
OG0001740	LOC120420119|XP_039439002.1|CPIP	LOC6735861|XP_016029226.1|DSIM
OG0001742	LOC120420062|XP_039438910.1|CPIP	LOC6733825|XP_002080869.2|DSIM
OG0001743	LOC120420083|XP_039438946.1|CPIP	LOC6736402|XP_002083274.2|DSIM
OG0001744	LOC120412391|XP_039428766.1|CPIP	LOC6733259|XP_039148793.1|DSIM
OG0001745	LOC120420149|XP_039439042.1|CPIP	LOC6735757|XP_016029126.1|DSIM
OG0001746	LOC120416574|XP_039434241.1|CPIP	LOC6737566|XP_002084399.1|DSIM
OG0001747	LOC120419966|XP_039438770.1|CPIP	LOC6735014|XP_016028287.2|DSIM
OG0001748	LOC120418537|XP_039436907.1|CPIP	LOC6737353|XP_016031087.1|DSIM
OG0001749	LOC120416049|XP_039433644.1|CPIP, LOC120423609|XP_039443409.1|CPIP	LOC6736090|XP_002082991.1|DSIM
OG0001750	LOC120423614|XP_039443415.1|CPIP, LOC120416056|XP_039433652.1|CPIP	LOC6736089|XP_016029485.1|DSIM
OG0001751	LOC120413418|XP_039430166.1|CPIP	LOC6738452|XP_016032286.1|DSIM
OG0001752	LOC120420029|XP_039438862.1|CPIP	LOC6736936|XP_002083783.1|DSIM
OG0001753	LOC120425129|XP_039445487.1|CPIP	LOC6736651|XP_016030245.2|DSIM
OG0001754	LOC120412624|XP_039429109.1|CPIP	LOC6734193|XP_016027225.1|DSIM
OG0001755	LOC120428835|XP_039449885.1|CPIP, LOC120412567|XP_039429008.1|CPIP	LOC6736659|XP_016030272.1|DSIM
OG0001756	LOC120427031|XP_039447786.1|CPIP	LOC6734703|XP_016027903.1|DSIM
OG0001757	LOC120422704|XP_039442150.1|CPIP	LOC6735112|XP_002082089.1|DSIM
OG0001758	LOC120422695|XP_039442138.1|CPIP	LOC6737975|XP_016031748.1|DSIM
OG0001759	LOC120417487|XP_039435497.1|CPIP	LOC6734900|XP_002081897.3|DSIM
OG0001760	LOC120431187|XP_039452263.1|CPIP	LOC6733677|XP_002080724.1|DSIM
OG0001761	LOC120421909|XP_039441143.1|CPIP	LOC6735523|XP_039147344.1|DSIM
OG0001762	LOC120427012|XP_039447766.1|CPIP	LOC6731255|XP_016023807.1|DSIM
OG0001764	LOC120412610|XP_039429092.1|CPIP	LOC6727811|XP_002103172.1|DSIM
OG0001765	LOC120429891|XP_039450906.1|CPIP	LOC6739367|XP_039148519.1|DSIM
OG0001766	LOC120414689|XP_039431909.1|CPIP	LOC6731541|XP_016024216.1|DSIM
OG0001767	LOC120416612|XP_039434345.1|CPIP	LOC6730837|XP_039149525.1|DSIM
OG0001768	LOC120415684|XP_039433202.1|CPIP	LOC6730456|XP_002077637.1|DSIM
OG0001769	LOC120423676|XP_039443501.1|CPIP	LOC6731130|XP_016023682.1|DSIM
OG0001770	LOC120424085|XP_039444033.1|CPIP, LOC120424104|XP_039444049.1|CPIP, LOC120424087|XP_039444036.1|CPIP	LOC6731899|XP_016024567.1|DSIM
OG0001771	LOC120420598|XP_039439606.1|CPIP	LOC6730873|XP_002078037.1|DSIM
OG0001772	LOC120430583|XP_039451623.1|CPIP, LOC120428020|XP_039448927.1|CPIP	LOC6731785|XP_002078920.1|DSIM
OG0001774	LOC120413132|XP_039429770.1|CPIP	LOC6736128|XP_016029521.1|DSIM
OG0001776	LOC120418945|XP_039437417.1|CPIP	LOC6731227|XP_002078386.1|DSIM
OG0001777	LOC120428102|XP_039449019.1|CPIP, LOC120430713|XP_039451756.1|CPIP	LOC6731350|XP_016023938.2|DSIM
OG0001778	LOC120413896|XP_039430808.1|CPIP, LOC120420538|XP_039439544.1|CPIP	LOC6732505|XP_002079625.1|DSIM
OG0001779	LOC120418404|XP_039436714.1|CPIP	LOC6731732|XP_039146990.1|DSIM
OG0001780	LOC120419389|XP_039437995.1|CPIP	LOC6733166|XP_002080242.1|DSIM
OG0001781	LOC120428163|XP_039449081.1|CPIP	LOC6732893|XP_039154289.1|DSIM
OG0001782	LOC120429265|XP_039450416.1|CPIP, LOC120430898|XP_039451955.1|CPIP	LOC6732220|XP_016024890.1|DSIM
OG0001783	LOC120418978|XP_039437459.1|CPIP, LOC120425191|XP_039445556.1|CPIP	LOC6731577|XP_016024253.1|DSIM
OG0001784	LOC120412843|XP_039429400.1|CPIP, LOC120425334|XP_039445750.1|CPIP	LOC6730587|XP_016023032.1|DSIM
OG0001785	LOC120423126|XP_039442738.1|CPIP	LOC6733729|XP_002080775.2|DSIM
OG0001786	LOC120427328|XP_039448112.1|CPIP	LOC6731324|XP_039147166.1|DSIM
OG0001787	LOC120420887|XP_039439942.1|CPIP	LOC6731326|XP_016023907.1|DSIM
OG0001788	LOC120419886|XP_039438686.1|CPIP	LOC6734370|XP_002081391.1|DSIM
OG0001789	LOC120429675|XP_039450640.1|CPIP	LOC6735813|XP_002082723.2|DSIM
OG0001790	LOC120419462|XP_039438080.1|CPIP	LOC6731346|XP_016023937.1|DSIM
OG0001791	LOC120412953|XP_039429527.1|CPIP, LOC120432422|XP_039453558.1|CPIP	LOC6734009|XP_002081050.3|DSIM
OG0001792	LOC120429790|XP_039450784.1|CPIP, LOC120431590|XP_039452630.1|CPIP	LOC6732716|XP_039150243.1|DSIM
OG0001793	LOC120432464|XP_039453626.1|CPIP	LOC6734463|XP_016027585.1|DSIM
OG0001794	LOC120416622|XP_039434357.1|CPIP, LOC120417688|XP_039435762.1|CPIP, LOC120412468|XP_039428878.1|CPIP	LOC6732506|XP_016025162.1|DSIM
OG0001795	LOC120419069|XP_039437586.1|CPIP	LOC6732532|XP_039154376.1|DSIM
OG0001797	LOC120421442|XP_039440582.1|CPIP, LOC120421439|XP_039440580.1|CPIP	LOC6724694|XP_016037248.1|DSIM
OG0001798	LOC120418692|XP_039437093.1|CPIP	LOC6734909|XP_002081906.1|DSIM
OG0001799	LOC120415295|XP_039432701.1|CPIP	LOC6740263|XP_039153806.1|DSIM
OG0001800	LOC120413669|XP_039430529.1|CPIP	LOC6731356|XP_016023948.1|DSIM
OG0001801	LOC120426324|XP_039447018.1|CPIP	LOC6737479|XP_016031263.1|DSIM
OG0001802	LOC120417646|XP_039435698.1|CPIP	LOC6728899|XP_002104232.1|DSIM
OG0001803	LOC120432192|XP_039453269.1|CPIP	LOC6727169|XP_039150783.1|DSIM
OG0001804	LOC120419224|XP_039437816.1|CPIP	LOC6726826|XP_016033329.1|DSIM
OG0001805	LOC120420953|XP_039440022.1|CPIP	LOC6737255|XP_016030965.1|DSIM
OG0001806	LOC120413925|XP_039430841.1|CPIP	LOC6729423|XP_039151892.1|DSIM
OG0001808	LOC120413020|XP_039429619.1|CPIP	LOC6739711|XP_016035161.1|DSIM
OG0001809	LOC120424387|XP_039444421.1|CPIP	LOC27206414|XP_016033198.1|DSIM
OG0001810	LOC120416840|XP_039434663.1|CPIP, LOC120421221|XP_039440360.1|CPIP	LOC6729199|XP_002104520.1|DSIM
OG0001811	LOC120422717|XP_039442178.1|CPIP	LOC6733477|XP_016026433.2|DSIM
OG0001812	LOC120422747|XP_039442224.1|CPIP, LOC120418264|XP_039436515.1|CPIP	LOC27209425|XP_016022814.2|DSIM, LOC120285467|XP_039154115.1|DSIM, LOC6726449|XP_016040016.2|DSIM
OG0001813	LOC120419408|XP_039438016.1|CPIP	LOC6727447|XP_016034021.1|DSIM
OG0001814	LOC120429061|XP_039450138.1|CPIP	LOC6727138|XP_016033615.1|DSIM
OG0001815	LOC120431023|XP_039452112.1|CPIP	LOC6726844|XP_002102248.1|DSIM
OG0001816	LOC120423156|XP_039442769.1|CPIP	LOC6734340|XP_002081362.1|DSIM
OG0001817	LOC120421367|XP_039440490.1|CPIP	LOC6733779|XP_016026730.1|DSIM
OG0001818	LOC120416654|XP_039434399.1|CPIP, LOC120416656|XP_039434400.1|CPIP	LOC6725637|XP_039152539.1|DSIM
OG0001819	LOC120424753|XP_039444880.1|CPIP, LOC120414223|XP_039431267.1|CPIP	LOC6739485|XP_002076382.1|DSIM
OG0001821	LOC120415251|XP_039432651.1|CPIP	LOC6736109|XP_016029498.1|DSIM
OG0001822	LOC120426052|XP_039446668.1|CPIP	LOC6735778|XP_002082691.1|DSIM
OG0001823	LOC120415280|XP_039432684.1|CPIP, LOC120415308|XP_039432720.1|CPIP	LOC6737625|XP_002084457.1|DSIM
OG0001824	LOC120425104|XP_039445436.1|CPIP, LOC120425222|XP_039445590.1|CPIP	LOC6730596|XP_002077775.1|DSIM
OG0001825	LOC120418446|XP_039436787.1|CPIP	LOC6735278|XP_016028642.1|DSIM
OG0001826	LOC120414889|XP_039432146.1|CPIP	LOC6733911|XP_002080955.1|DSIM
OG0001827	LOC120427761|XP_039448605.1|CPIP, LOC120427760|XP_039448604.1|CPIP	LOC6734857|XP_002081858.2|DSIM
OG0001828	LOC120427284|XP_039448066.1|CPIP, LOC120415447|XP_039432929.1|CPIP	LOC6725867|XP_039153913.1|DSIM
OG0001829	LOC120412766|XP_039429291.1|CPIP	LOC6734085|XP_016027083.1|DSIM
OG0001830	LOC120429987|XP_039451014.1|CPIP	LOC6735805|XP_002082718.1|DSIM
OG0001831	LOC120425250|XP_039445630.1|CPIP, LOC120425252|XP_039445632.1|CPIP	LOC6738529|XP_016032371.1|DSIM
OG0001832	LOC120415194|XP_039432585.1|CPIP	LOC6725262|XP_016038267.1|DSIM
OG0001833	LOC120415845|XP_039433414.1|CPIP	LOC6735972|XP_002082881.2|DSIM
OG0001834	LOC120427429|XP_039448220.1|CPIP, LOC120426063|XP_039446683.1|CPIP	LOC6728045|XP_002103397.1|DSIM
OG0001848	LOC120415033|XP_039432335.1|CPIP	LOC27208523|XP_039149102.1|DSIM
OG0001849	LOC120415057|XP_039432376.1|CPIP	LOC6729309|XP_002104626.1|DSIM
OG0001850	LOC120413283|XP_039429951.1|CPIP	LOC6724728|XP_016037363.1|DSIM
OG0001851	LOC120413275|XP_039429938.1|CPIP	LOC6724712|XP_039152130.1|DSIM
OG0001852	LOC120413287|XP_039429958.1|CPIP, LOC120413313|XP_039430014.1|CPIP	LOC6734424|XP_039149373.1|DSIM
OG0001853	LOC120413290|XP_039429965.1|CPIP	LOC6729749|XP_039151401.1|DSIM
OG0001854	LOC120417681|XP_039435750.1|CPIP, LOC120432279|XP_039453399.1|CPIP	LOC6726011|XP_002106993.2|DSIM
OG0001855	LOC120431217|XP_039452295.1|CPIP, LOC120430280|XP_039451306.1|CPIP	LOC6734816|XP_002081819.1|DSIM
OG0001856	LOC120432215|XP_039453313.1|CPIP	LOC27206345|XP_016038609.1|DSIM
OG0001857	LOC120427567|XP_039448403.1|CPIP, LOC120430610|XP_039451949.1|CPIP	LOC6740541|XP_016040168.1|DSIM
OG0001858	LOC120432212|XP_039453305.1|CPIP	LOC6740206|XP_016022758.1|DSIM
OG0001859	LOC120416215|XP_039433880.1|CPIP	LOC120285321|XP_039153174.1|DSIM, LOC6726614|XP_039153175.1|DSIM
OG0001860	LOC120432252|XP_039453361.1|CPIP, LOC120422822|XP_039442291.1|CPIP	LOC6738547|XP_016032396.1|DSIM
OG0001861	LOC120414178|XP_039431186.1|CPIP	LOC6725914|XP_016039276.1|DSIM, LOC6729784|XP_002105089.2|DSIM
OG0001862	LOC120424282|XP_039444287.1|CPIP, LOC120424297|XP_039444314.1|CPIP	LOC6726557|XP_016040227.1|DSIM
OG0001863	LOC120424288|XP_039444295.1|CPIP	LOC6725886|XP_002106881.1|DSIM
OG0001864	LOC120417696|XP_039435771.1|CPIP	LOC6728060|XP_016034672.1|DSIM
OG0001865	LOC120432161|XP_039453263.1|CPIP	LOC6726200|XP_039152449.1|DSIM
OG0001866	LOC120424588|XP_039444715.1|CPIP	LOC6728263|XP_039150828.1|DSIM
OG0001867	LOC120424690|XP_039444799.1|CPIP, LOC120413652|XP_039430503.1|CPIP	LOC6738476|XP_016032320.1|DSIM
OG0001868	LOC120424695|XP_039444808.1|CPIP	LOC6733059|XP_016025744.1|DSIM
OG0001869	LOC120425313|XP_039445713.1|CPIP	LOC6727262|XP_039150747.1|DSIM
OG0001870	LOC120424530|XP_039444625.1|CPIP	LOC6725226|XP_002106248.1|DSIM
OG0001871	LOC120432495|XP_039453645.1|CPIP	LOC6725683|XP_002106687.1|DSIM
OG0001872	LOC120416400|XP_039434080.1|CPIP	LOC6730224|XP_016036976.1|DSIM
OG0001873	LOC120415625|XP_039433159.1|CPIP	LOC6726643|XP_016033131.1|DSIM
OG0001874	LOC120416923|XP_039434763.1|CPIP	LOC6729519|XP_002104827.1|DSIM
OG0001875	LOC120418476|XP_039436877.1|CPIP, LOC120423876|XP_039443758.1|CPIP	LOC6730277|XP_016037043.1|DSIM
OG0001876	LOC120418093|XP_039436295.1|CPIP, LOC120419900|XP_039438702.1|CPIP	LOC27209364|XP_016039447.1|DSIM
OG0001877	LOC120418096|XP_039436298.1|CPIP, LOC120419899|XP_039438701.1|CPIP	LOC6724969|XP_016037913.1|DSIM
OG0001878	LOC120426437|XP_039447133.1|CPIP	LOC6728224|XP_016034863.1|DSIM
OG0001879	LOC120427444|XP_039448246.1|CPIP	LOC6729526|XP_016036204.1|DSIM
OG0001880	LOC120417856|XP_039436010.1|CPIP	LOC6727499|XP_002102879.2|DSIM
OG0001881	LOC120417206|XP_039435105.1|CPIP	LOC6727184|XP_002102576.1|DSIM
OG0001882	LOC120417207|XP_039435107.1|CPIP	LOC27207590|XP_016036528.1|DSIM
OG0001883	LOC120429671|XP_039450634.1|CPIP, LOC120424512|XP_039444600.1|CPIP	LOC6729190|XP_016035841.1|DSIM
OG0001884	LOC120427183|XP_039447981.1|CPIP	LOC6727281|XP_039150422.1|DSIM
OG0001886	LOC120426734|XP_039447440.1|CPIP	LOC6728797|XP_002104132.1|DSIM
OG0001887	LOC120421810|XP_039441022.1|CPIP, LOC120420156|XP_039439056.1|CPIP	LOC6739378|XP_002076286.1|DSIM
OG0001888	LOC120421794|XP_039440999.1|CPIP	LOC6726779|XP_002102187.1|DSIM
OG0001889	LOC120421817|XP_039441029.1|CPIP	LOC6725500|XP_002106514.2|DSIM
OG0001890	LOC120421819|XP_039441031.1|CPIP	LOC6738852|XP_016032670.1|DSIM
OG0001891	LOC120421797|XP_039441002.1|CPIP	LOC6727349|XP_016033876.1|DSIM
OG0001892	LOC120415681|XP_039433204.1|CPIP	LOC6740360|XP_016033113.1|DSIM
OG0001893	LOC120425738|XP_039446277.1|CPIP	LOC6739775|XP_002076668.2|DSIM
OG0001894	LOC120425748|XP_039446287.1|CPIP	LOC6733438|XP_016026387.1|DSIM
OG0001895	LOC120418343|XP_039436626.1|CPIP	LOC6724730|XP_039152122.1|DSIM
OG0001896	LOC120415694|XP_039433223.1|CPIP	LOC27208341|XP_039148281.1|DSIM
OG0001897	LOC120427898|XP_039448767.1|CPIP	LOC6728674|XP_016035340.1|DSIM
OG0001898	LOC120416658|XP_039434404.1|CPIP	LOC27209153|XP_039153571.1|DSIM, LOC120284223|XP_039153575.1|DSIM
OG0001899	LOC120428908|XP_039449983.1|CPIP	LOC6727528|XP_016034104.1|DSIM
OG0001900	LOC120416618|XP_039434352.1|CPIP	LOC6738710|XP_002085511.1|DSIM
OG0001901	LOC120426679|XP_039447386.1|CPIP	LOC6731241|XP_016023781.1|DSIM
OG0001902	LOC120431651|XP_039452692.1|CPIP	LOC120285683|XP_039154265.1|DSIM, LOC27206887|XP_039154264.1|DSIM, LOC27208787|XP_039154212.1|DSIM
OG0001903	LOC120430274|XP_039451297.1|CPIP	LOC6726673|XP_016033166.1|DSIM
OG0001904	LOC120432505|XP_039453659.1|CPIP, LOC120415965|XP_039433543.1|CPIP, LOC120431715|XP_039452771.1|CPIP	LOC6729900|XP_016036654.2|DSIM
OG0001906	LOC120429813|XP_039450797.1|CPIP	LOC6727257|XP_016033763.1|DSIM
OG0001907	LOC120421012|XP_039440065.1|CPIP	LOC6726118|XP_039152921.1|DSIM
OG0001908	LOC120423816|XP_039443671.1|CPIP	LOC6729875|XP_016036637.1|DSIM
OG0001909	LOC120417097|XP_039435009.1|CPIP	LOC6725475|XP_016038583.1|DSIM
OG0001910	LOC120420775|XP_039439820.1|CPIP, LOC120420773|XP_039439816.1|CPIP	LOC6728694|XP_002104030.1|DSIM
OG0001911	LOC120428292|XP_039449219.1|CPIP, LOC120423330|XP_039443025.1|CPIP	LOC6727805|XP_039151898.1|DSIM
OG0001912	LOC120423593|XP_039443389.1|CPIP	LOC6734590|XP_002081598.1|DSIM
OG0001913	LOC120423525|XP_039443306.1|CPIP, LOC120423522|XP_039443304.1|CPIP, LOC120423523|XP_039443305.1|CPIP, LOC120423565|XP_039443350.1|CPIP, LOC120423584|XP_039443378.1|CPIP	LOC6731870|XP_002079005.1|DSIM
OG0001914	LOC120428358|XP_039449297.1|CPIP, LOC120432115|XP_039453184.1|CPIP, LOC120423554|XP_039443332.1|CPIP	LOC6729375|XP_039151825.1|DSIM
OG0001915	LOC120428071|XP_039448978.1|CPIP	LOC6736468|XP_016030007.1|DSIM
OG0001916	LOC120428687|XP_039449691.1|CPIP	LOC6735204|XP_016028483.1|DSIM
OG0001917	LOC120423008|XP_039442572.1|CPIP	LOC27206240|XP_016030858.1|DSIM
OG0001918	LOC120421757|XP_039440964.1|CPIP, LOC120413534|XP_039430343.1|CPIP, LOC120418882|XP_039437350.1|CPIP	LOC6736769|XP_002083625.2|DSIM
OG0001919	LOC120424196|XP_039444189.1|CPIP	LOC6734628|XP_016027789.2|DSIM
OG0001920	LOC120429774|XP_039450765.1|CPIP	LOC6734412|XP_016029686.1|DSIM
OG0001921	LOC120417829|XP_039435979.1|CPIP	LOC6734325|XP_002081348.1|DSIM
OG0001922	LOC120419738|XP_039438474.1|CPIP, LOC120426631|XP_039447357.1|CPIP	LOC6735782|XP_016029158.1|DSIM
OG0001924	LOC120417414|XP_039435391.1|CPIP	LOC6739824|XP_039147404.1|DSIM
OG0001925	LOC120426340|XP_039447039.1|CPIP	LOC27208441|XP_016030499.1|DSIM
OG0001926	LOC120424376|XP_039444407.1|CPIP	LOC6739625|XP_016030984.1|DSIM
OG0001927	LOC120422853|XP_039442336.1|CPIP	LOC6734161|XP_002081190.1|DSIM
OG0001928	LOC120422882|XP_039442376.1|CPIP	LOC27207739|XP_016031351.1|DSIM
OG0001929	LOC120425920|XP_039446477.1|CPIP	LOC6737554|XP_039149718.1|DSIM
OG0001930	LOC120424411|XP_039444453.1|CPIP, LOC120426050|XP_039446672.1|CPIP	LOC6735135|XP_016028418.1|DSIM
OG0001932	LOC120420572|XP_039439584.1|CPIP	LOC6737614|XP_039149895.1|DSIM
OG0001933	LOC120429654|XP_039450614.1|CPIP	LOC6734927|XP_002081924.1|DSIM
OG0001934	LOC120415740|XP_039433276.1|CPIP	LOC6737550|XP_016031335.2|DSIM
OG0001935	LOC120424879|XP_039445074.1|CPIP	LOC6738265|XP_002085076.1|DSIM
OG0001937	LOC120429902|XP_039450933.1|CPIP	LOC6734595|XP_016027719.1|DSIM
OG0001938	LOC120430101|XP_039451124.1|CPIP	LOC6733971|XP_002081015.1|DSIM
OG0001939	LOC120430953|XP_039452015.1|CPIP	LOC6735463|XP_002082402.2|DSIM
OG0001940	LOC120421328|XP_039440429.1|CPIP	LOC6733426|XP_016026374.1|DSIM
OG0001941	LOC120412386|XP_039428757.1|CPIP	LOC120284757|XP_039149394.1|DSIM, LOC6734415|XP_039149386.1|DSIM
OG0001942	LOC120428746|XP_039449758.1|CPIP, LOC120428752|XP_039449767.1|CPIP	LOC6733281|XP_016026178.1|DSIM
OG0001943	LOC120424832|XP_039444994.1|CPIP	LOC27206219|XP_016032140.1|DSIM
OG0001944	LOC120413226|XP_039429886.1|CPIP	LOC6736203|XP_016029644.1|DSIM
OG0001945	LOC120418475|XP_039436842.1|CPIP	LOC6733441|XP_039147236.1|DSIM
OG0001946	LOC120420123|XP_039439006.1|CPIP	LOC6733389|XP_002080446.1|DSIM
OG0001947	LOC120420099|XP_039438979.1|CPIP	LOC6734999|XP_002081981.1|DSIM
OG0001948	LOC120418050|XP_039436235.1|CPIP	LOC6726341|XP_016039915.1|DSIM
OG0001949	LOC120420658|XP_039439682.1|CPIP	LOC6738968|XP_039149067.1|DSIM
OG0001950	LOC120412372|XP_039428727.1|CPIP	LOC6726821|XP_016033322.1|DSIM
OG0001951	LOC120420155|XP_039439052.1|CPIP	LOC6735756|XP_016029121.2|DSIM
OG0001952	LOC120412591|XP_039429053.1|CPIP	LOC6725076|XP_002106104.1|DSIM
OG0001953	LOC120412898|XP_039429463.1|CPIP	LOC6739488|XP_039147535.1|DSIM
OG0001954	LOC120428611|XP_039449573.1|CPIP, LOC120423613|XP_039443414.1|CPIP	LOC6733830|XP_016026824.1|DSIM
OG0001955	LOC120423605|XP_039443404.1|CPIP	LOC6733876|XP_002080920.1|DSIM
OG0001956	LOC120416540|XP_039434197.1|CPIP	LOC6737197|XP_002084043.1|DSIM
OG0001957	LOC120420076|XP_039438934.1|CPIP	LOC6735527|XP_016028871.1|DSIM
OG0001958	LOC120418538|XP_039436908.1|CPIP	LOC6735125|XP_039147429.1|DSIM
