Orthogroup	CPIP.longest_only	BTRY.longest_only
OG0000423	LOC120417114|XP_039435031.1|CPIP, LOC120417115|XP_039435032.1|CPIP, LOC120417116|XP_039435033.1|CPIP	LOC120770394|XP_039953759.1|BTRY, LOC120770005|XP_039953031.1|BTRY
OG0000424	LOC120420435|XP_039439392.1|CPIP	LOC120770914|XP_039954538.1|BTRY
OG0000425	LOC120427988|XP_039448878.1|CPIP	LOC120772681|XP_039957353.1|BTRY
OG0000425	LOC120427992|XP_039448884.1|CPIP	LOC120770802|XP_039954315.1|BTRY
OG0000426	LOC120418578|XP_039436957.1|CPIP	LOC120767283|XP_039949097.1|BTRY, LOC120769710|XP_039952783.1|BTRY, LOC120769049|XP_039951833.1|BTRY
OG0000429	LOC120417695|XP_039435769.1|CPIP	LOC120772287|XP_039956731.1|BTRY, LOC120770795|XP_039954308.1|BTRY, LOC120771992|XP_039956282.1|BTRY, LOC120771757|XP_039955873.1|BTRY, LOC120771336|XP_039955215.1|BTRY
OG0000433	LOC120421058|XP_039440137.1|CPIP	LOC120774862|XP_039960624.1|BTRY
OG0000433	LOC120420042|XP_039438878.1|CPIP	LOC120778215|XP_039965906.1|BTRY
OG0000434	LOC120423849|XP_039443732.1|CPIP	LOC120772696|XP_039957370.1|BTRY, LOC120772247|XP_039956678.1|BTRY
OG0000434	LOC120412456|XP_039428864.1|CPIP	LOC120771558|XP_039955554.1|BTRY, LOC120771322|XP_039955200.1|BTRY
OG0000435	LOC120414452|XP_039431574.1|CPIP, LOC120414451|XP_039431573.1|CPIP, LOC120420256|XP_039439186.1|CPIP, LOC120414458|XP_039431578.1|CPIP, LOC120424325|XP_039444355.1|CPIP, LOC120416868|XP_039434698.1|CPIP, LOC120417973|XP_039436146.1|CPIP, LOC120417972|XP_039436145.1|CPIP, LOC120414449|XP_039431572.1|CPIP, LOC120414460|XP_039431582.1|CPIP, LOC120414459|XP_039431580.1|CPIP, LOC120421258|XP_039440388.1|CPIP, LOC120421273|XP_039440402.1|CPIP, LOC120418623|XP_039437000.1|CPIP, LOC120412322|XP_039432290.1|CPIP	LOC120774231|XP_039959624.1|BTRY
OG0000436	LOC120418726|XP_039437135.1|CPIP, LOC120415118|XP_039432469.1|CPIP, LOC120414630|XP_039431799.1|CPIP, LOC120418191|XP_039436427.1|CPIP, LOC120428695|XP_039449699.1|CPIP, LOC120428694|XP_039449696.1|CPIP, LOC120415095|XP_039432447.1|CPIP, LOC120423925|XP_039443840.1|CPIP, LOC120429268|XP_039450419.1|CPIP, LOC120429271|XP_039450421.1|CPIP, LOC120429273|XP_039450423.1|CPIP, LOC120423920|XP_039443837.1|CPIP, LOC120423926|XP_039443841.1|CPIP, LOC120423929|XP_039443845.1|CPIP, LOC120414254|XP_039431301.1|CPIP, LOC120414238|XP_039431283.1|CPIP, LOC120414255|XP_039431302.1|CPIP, LOC120424575|XP_039444675.1|CPIP, LOC120423927|XP_039443843.1|CPIP, LOC120423928|XP_039443844.1|CPIP, LOC120423918|XP_039443833.1|CPIP, LOC120429272|XP_039450422.1|CPIP, LOC120423919|XP_039443836.1|CPIP, LOC120429099|XP_039450199.1|CPIP, LOC120414631|XP_039431801.1|CPIP, LOC120430203|XP_039451215.1|CPIP, LOC120427772|XP_039448626.1|CPIP, LOC120430205|XP_039451217.1|CPIP, LOC120427781|XP_039448636.1|CPIP, LOC120430204|XP_039451216.1|CPIP, LOC120430210|XP_039451222.1|CPIP, LOC120415002|XP_039432293.1|CPIP, LOC120430214|XP_039451224.1|CPIP, LOC120427782|XP_039448637.1|CPIP, LOC120429197|XP_039450338.1|CPIP	LOC120768968|XP_039951696.1|BTRY
OG0000437	LOC120419801|XP_039438570.1|CPIP	LOC120781389|XP_039969532.1|BTRY
OG0000437	LOC120412912|XP_039429481.1|CPIP	LOC120769054|XP_039951837.1|BTRY
OG0000438	LOC120431197|XP_039452273.1|CPIP	LOC120775835|XP_039962138.1|BTRY
OG0000439	LOC120416076|XP_039433680.1|CPIP	LOC120767996|XP_039950349.1|BTRY
OG0000439	LOC120426729|XP_039447436.1|CPIP	LOC120778369|XP_039966090.1|BTRY
OG0000440	LOC120415469|XP_039432963.1|CPIP	LOC120771326|XP_039955205.1|BTRY, LOC120771453|XP_039955398.1|BTRY
OG0000441	LOC120416108|XP_039433725.1|CPIP	LOC120773630|XP_039958570.1|BTRY, LOC120770035|XP_039953084.1|BTRY, LOC120772426|XP_039956971.1|BTRY, LOC120772252|XP_039956689.1|BTRY
OG0000443	LOC120415117|XP_039432468.1|CPIP, LOC120415100|XP_039432452.1|CPIP	LOC120767448|XP_039949449.1|BTRY
OG0000444	LOC120428867|XP_039449928.1|CPIP, LOC120415196|XP_039432588.1|CPIP	LOC120777609|XP_039964992.1|BTRY, LOC120777797|XP_039965263.1|BTRY
OG0000448	LOC120415029|XP_039432328.1|CPIP, LOC120415026|XP_039432325.1|CPIP	LOC120782620|XP_039970921.1|BTRY
OG0000449	LOC120421081|XP_039440162.1|CPIP	LOC120767465|XP_039949487.1|BTRY
OG0000450	LOC120413717|XP_039430573.1|CPIP	LOC120774365|XP_039959889.1|BTRY
OG0000450	LOC120416596|XP_039434341.1|CPIP	LOC120774824|XP_039960565.1|BTRY
OG0000451	LOC120418056|XP_039436242.1|CPIP, LOC120419880|XP_039438678.1|CPIP	LOC120775737|XP_039961988.1|BTRY
OG0000451	LOC120418057|XP_039436244.1|CPIP, LOC120419879|XP_039438677.1|CPIP	LOC120775735|XP_039961987.1|BTRY, LOC120775418|XP_039961530.1|BTRY
OG0000453	LOC120420717|XP_039439749.1|CPIP, LOC120420725|XP_039439756.1|CPIP	LOC120782890|XP_039971372.1|BTRY
OG0000454	LOC120424417|XP_039444462.1|CPIP	LOC120771593|XP_039955599.1|BTRY, LOC120771036|XP_039954758.1|BTRY
OG0000456	LOC120432463|XP_039453619.1|CPIP	LOC120779448|XP_039967629.1|BTRY
OG0000456	LOC120413530|XP_039430338.1|CPIP	LOC120768512|XP_039951171.1|BTRY
OG0000457	LOC120414078|XP_039431034.1|CPIP	LOC120781641|XP_039969806.1|BTRY
OG0000457	LOC120430699|XP_039451741.1|CPIP	LOC120768879|XP_039951566.1|BTRY
OG0000458	LOC120420484|XP_039439460.1|CPIP, LOC120420485|XP_039439461.1|CPIP, LOC120420501|XP_039439488.1|CPIP, LOC120422898|XP_039442391.1|CPIP, LOC120422907|XP_039442406.1|CPIP	LOC120768030|XP_039950444.1|BTRY
OG0000460	LOC120412817|XP_039429355.1|CPIP	LOC120768381|XP_039950981.1|BTRY
OG0000465	LOC120419750|XP_039438500.1|CPIP, LOC120428665|XP_039449647.1|CPIP, LOC120427076|XP_039447848.1|CPIP	LOC120780110|XP_039968359.1|BTRY, LOC120772118|XP_039956467.1|BTRY
OG0000466	LOC120431993|XP_039453062.1|CPIP, LOC120425156|XP_039445519.1|CPIP	LOC120773729|XP_039958719.1|BTRY
OG0000466	LOC120412806|XP_039429340.1|CPIP	LOC120768513|XP_039951175.1|BTRY
OG0000467	LOC120419489|XP_039438111.1|CPIP	LOC120772136|XP_039956488.1|BTRY, LOC120772332|XP_039956808.1|BTRY
OG0000468	LOC120413760|XP_039430632.1|CPIP	LOC120766448|XP_039947890.1|BTRY
OG0000468	LOC120427560|XP_039448371.1|CPIP	LOC120772763|XP_039957470.1|BTRY
OG0000469	LOC120412659|XP_039429152.1|CPIP	LOC120767891|XP_039950151.1|BTRY, LOC120767613|XP_039949700.1|BTRY
OG0000470	LOC120426361|XP_039447055.1|CPIP	LOC120778542|XP_039966325.1|BTRY
OG0000470	LOC120424591|XP_039444688.1|CPIP	LOC120782030|XP_039970120.1|BTRY
OG0000471	LOC120414579|XP_039431749.1|CPIP	LOC120767631|XP_039949725.1|BTRY, LOC120769192|XP_039952020.1|BTRY
OG0000472	LOC120426056|XP_039446676.1|CPIP	LOC120780079|XP_039968283.1|BTRY, LOC120781524|XP_039969679.1|BTRY
OG0000472	LOC120418064|XP_039436256.1|CPIP	LOC120767472|XP_039949529.1|BTRY, LOC120770657|XP_039954184.1|BTRY, LOC120781188|XP_039969245.1|BTRY, LOC120780761|XP_039968948.1|BTRY, LOC120780810|XP_039968990.1|BTRY, LOC120782422|XP_039970608.1|BTRY, LOC120781189|XP_039969246.1|BTRY, LOC120781936|XP_039970037.1|BTRY, LOC120780319|XP_039968546.1|BTRY, LOC120779517|XP_039967781.1|BTRY, LOC120768797|XP_039951487.1|BTRY, LOC120781655|XP_039969813.1|BTRY, LOC120766387|XP_039947759.1|BTRY, LOC120781765|XP_039969931.1|BTRY, LOC120780732|XP_039968924.1|BTRY, LOC120773791|XP_039958820.1|BTRY, LOC120781063|XP_039969149.1|BTRY, LOC120779523|XP_039967786.1|BTRY, LOC120780824|XP_039969002.1|BTRY, LOC120779778|XP_039968089.1|BTRY, LOC120779741|XP_039968049.1|BTRY, LOC120778353|XP_039966076.1|BTRY, LOC120781148|XP_039969215.1|BTRY, LOC120781365|XP_039969507.1|BTRY, LOC120780877|XP_039969045.1|BTRY, LOC120780873|XP_039969041.1|BTRY, LOC120768838|XP_039951524.1|BTRY, LOC120780711|XP_039968904.1|BTRY, LOC120779530|XP_039967810.1|BTRY, LOC120779348|XP_039967478.1|BTRY, LOC120780752|XP_039968941.1|BTRY, LOC120780540|XP_039968736.1|BTRY
OG0000473	LOC120422534|XP_039441930.1|CPIP	LOC120775766|XP_039962033.1|BTRY, LOC120775662|XP_039961864.1|BTRY
OG0000474	LOC120430806|XP_039451890.1|CPIP	LOC120775186|XP_039961175.1|BTRY
OG0000475	LOC120424232|XP_039444225.1|CPIP	LOC120767162|XP_039948919.1|BTRY, LOC120770612|XP_039954148.1|BTRY
OG0000476	LOC120428008|XP_039448912.1|CPIP	LOC120766557|XP_039948077.1|BTRY, LOC120770518|XP_039953995.1|BTRY
OG0000477	LOC120423579|XP_039443373.1|CPIP	LOC120775069|XP_039960995.1|BTRY, LOC120782442|XP_039970662.1|BTRY, LOC120774017|XP_039959237.1|BTRY, LOC120774008|XP_039959225.1|BTRY
OG0000478	LOC120429962|XP_039450993.1|CPIP, LOC120429967|XP_039451000.1|CPIP, LOC120429975|XP_039451005.1|CPIP, LOC120425699|XP_039446221.1|CPIP	LOC120772691|XP_039957364.1|BTRY, LOC120773038|XP_039957901.1|BTRY
OG0000479	LOC120414477|XP_039431605.1|CPIP, LOC120414434|XP_039431553.1|CPIP, LOC120414435|XP_039431554.1|CPIP	LOC120782720|XP_039971077.1|BTRY, LOC120779825|XP_039968130.1|BTRY, LOC120766753|XP_039948360.1|BTRY
OG0000480	LOC120422963|XP_039442489.1|CPIP	LOC120768928|XP_039951642.1|BTRY
OG0000481	LOC120422489|XP_039441880.1|CPIP, LOC120415357|XP_039432780.1|CPIP	LOC120772556|XP_039957174.1|BTRY, LOC120780528|XP_039968727.1|BTRY, LOC120780600|XP_039968790.1|BTRY, LOC120779423|XP_039967555.1|BTRY, LOC120780366|XP_039968591.1|BTRY, LOC120766910|XP_039948592.1|BTRY, LOC120781694|XP_039969845.1|BTRY, LOC120779715|XP_039968014.1|BTRY
OG0000483	LOC120425946|XP_039446517.1|CPIP, LOC120425945|XP_039446515.1|CPIP, LOC120425947|XP_039446518.1|CPIP	LOC120766986|XP_039948724.1|BTRY
OG0000484	LOC120421837|XP_039441054.1|CPIP, LOC120421845|XP_039441068.1|CPIP	LOC120766420|XP_039947886.1|BTRY, LOC120766487|XP_039948012.1|BTRY
OG0000485	LOC120416669|XP_039434418.1|CPIP	LOC120777647|XP_039965033.1|BTRY, LOC120777339|XP_039964522.1|BTRY
OG0000486	LOC120419307|XP_039437909.1|CPIP	LOC120771363|XP_039955254.1|BTRY, LOC120772509|XP_039957088.1|BTRY
OG0000489	LOC120418130|XP_039436342.1|CPIP, LOC120418126|XP_039436337.1|CPIP	LOC120766213|XP_039947516.1|BTRY, LOC120769711|XP_039952787.1|BTRY
OG0000490	LOC120414538|XP_039431683.1|CPIP	LOC120775304|XP_039961372.1|BTRY
OG0000490	LOC120420403|XP_039439346.1|CPIP	LOC120776015|XP_039962394.1|BTRY
OG0000491	LOC120430223|XP_039451236.1|CPIP	LOC120772631|XP_039957287.1|BTRY
OG0000492	LOC120412808|XP_039429343.1|CPIP	LOC120774473|XP_039960063.1|BTRY
OG0000493	LOC120420047|XP_039438888.1|CPIP	LOC120768974|XP_039951710.1|BTRY
OG0000496	LOC120417351|XP_039435289.1|CPIP	LOC120768068|XP_039950524.1|BTRY
OG0000497	LOC120429075|XP_039450164.1|CPIP	LOC120768950|XP_039951670.1|BTRY, LOC120769545|XP_039952523.1|BTRY
OG0000498	LOC120425951|XP_039446523.1|CPIP	LOC120782315|XP_039970465.1|BTRY, LOC120768227|XP_039950745.1|BTRY
OG0000499	LOC120429629|XP_039450596.1|CPIP, LOC120426655|XP_039447382.1|CPIP	LOC120774341|XP_039959837.1|BTRY
OG0000499	LOC120427332|XP_039448115.1|CPIP	LOC120766275|XP_039947611.1|BTRY
OG0000500	LOC120423742|XP_039443588.1|CPIP, LOC120425271|XP_039445651.1|CPIP	LOC120778821|XP_039966760.1|BTRY, LOC120778855|XP_039966817.1|BTRY, LOC120778259|XP_039965970.1|BTRY
OG0000504	LOC120420034|XP_039438869.1|CPIP, LOC120420053|XP_039438899.1|CPIP, LOC120420033|XP_039438868.1|CPIP, LOC120420050|XP_039438896.1|CPIP, LOC120420032|XP_039438867.1|CPIP	LOC120776440|XP_039963029.1|BTRY, LOC120776441|XP_039963032.1|BTRY, LOC120778621|XP_039966438.1|BTRY, LOC120776645|XP_039963412.1|BTRY, LOC120777904|XP_039965419.1|BTRY
OG0000505	LOC120420407|XP_039439358.1|CPIP, LOC120430294|XP_039451324.1|CPIP	LOC120775324|XP_039961397.1|BTRY, LOC120774415|XP_039959976.1|BTRY
OG0000506	LOC120415717|XP_039433250.1|CPIP, LOC120415729|XP_039433260.1|CPIP, LOC120426164|XP_039446822.1|CPIP, LOC120425474|XP_039445947.1|CPIP, LOC120423334|XP_039443038.1|CPIP	LOC120766859|XP_039948522.1|BTRY, LOC120782649|XP_039970957.1|BTRY
OG0000507	LOC120416489|XP_039434142.1|CPIP	LOC120773974|XP_039959153.1|BTRY
OG0000507	LOC120431083|XP_039452173.1|CPIP	LOC120773975|XP_039959154.1|BTRY
OG0000508	LOC120422027|XP_039441285.1|CPIP	LOC120776949|XP_039963970.1|BTRY
OG0000509	LOC120412892|XP_039429456.1|CPIP	LOC120772985|XP_039957831.1|BTRY
OG0000510	LOC120430997|XP_039452090.1|CPIP	LOC120768650|XP_039951355.1|BTRY, LOC120770550|XP_039954057.1|BTRY, LOC120772271|XP_039956709.1|BTRY
OG0000511	LOC120424968|XP_039445259.1|CPIP, LOC120424959|XP_039445246.1|CPIP	LOC120769370|XP_039952267.1|BTRY, LOC120769224|XP_039952054.1|BTRY
OG0000512	LOC120424352|XP_039444380.1|CPIP, LOC120424370|XP_039444400.1|CPIP	LOC120768852|XP_039951539.1|BTRY, LOC120767601|XP_039949685.1|BTRY, LOC120768275|XP_039950808.1|BTRY, LOC120767602|XP_039949686.1|BTRY
OG0000513	LOC120415521|XP_039433012.1|CPIP	LOC120769179|XP_039951999.1|BTRY, LOC120768966|XP_039951693.1|BTRY
OG0000514	LOC120427085|XP_039447860.1|CPIP	LOC120769684|XP_039952740.1|BTRY, LOC120769689|XP_039952749.1|BTRY
OG0000515	LOC120418437|XP_039436779.1|CPIP	LOC120779487|XP_039967707.1|BTRY, LOC120779596|XP_039967875.1|BTRY, LOC120782348|XP_039970514.1|BTRY
OG0000516	LOC120425668|XP_039446186.1|CPIP, LOC120425662|XP_039446176.1|CPIP, LOC120425669|XP_039446187.1|CPIP	LOC120774305|XP_039959770.1|BTRY, LOC120774648|XP_039960307.1|BTRY
OG0000517	LOC120415407|XP_039432869.1|CPIP, LOC120415408|XP_039432870.1|CPIP	LOC120777075|XP_039964137.1|BTRY, LOC120777077|XP_039964140.1|BTRY
OG0000521	LOC120415088|XP_039432438.1|CPIP	LOC120775638|XP_039961825.1|BTRY
OG0000522	LOC120431780|XP_039452835.1|CPIP, LOC120414515|XP_039431656.1|CPIP	LOC120774539|XP_039960199.1|BTRY
OG0000523	LOC120414519|XP_039431662.1|CPIP	LOC120774979|XP_039960814.1|BTRY
OG0000524	LOC120428395|XP_039449339.1|CPIP	LOC120769532|XP_039952508.1|BTRY
OG0000525	LOC120430954|XP_039452016.1|CPIP, LOC120430952|XP_039452011.1|CPIP	LOC120770398|XP_039953764.1|BTRY, LOC120770397|XP_039953762.1|BTRY, LOC120770400|XP_039953768.1|BTRY, LOC120771845|XP_039956021.1|BTRY
OG0000526	LOC120422198|XP_039441514.1|CPIP	LOC120780162|XP_039968375.1|BTRY
OG0000527	LOC120415668|XP_039433183.1|CPIP	LOC120767406|XP_039949378.1|BTRY, LOC120769357|XP_039952252.1|BTRY
OG0000528	LOC120413594|XP_039430436.1|CPIP, LOC120418630|XP_039437007.1|CPIP, LOC120418634|XP_039437013.1|CPIP, LOC120418635|XP_039437015.1|CPIP, LOC120418638|XP_039437017.1|CPIP	LOC120767683|XP_039949807.1|BTRY
OG0000529	LOC120420612|XP_039439623.1|CPIP	LOC120767635|XP_039949736.1|BTRY
OG0000530	LOC120420815|XP_039439870.1|CPIP	LOC120776537|XP_039963209.1|BTRY, LOC120778816|XP_039966756.1|BTRY
OG0000531	LOC120418596|XP_039436976.1|CPIP	LOC120767638|XP_039949739.1|BTRY
OG0000532	LOC120415086|XP_039432439.1|CPIP	LOC120766923|XP_039948602.1|BTRY
OG0000533	LOC120427980|XP_039448871.1|CPIP	LOC120775711|XP_039961956.1|BTRY
OG0000533	LOC120423795|XP_039443648.1|CPIP	LOC120776600|XP_039963320.1|BTRY
OG0000534	LOC120416625|XP_039434364.1|CPIP	LOC120774093|XP_039959362.1|BTRY
OG0000535	LOC120419938|XP_039438736.1|CPIP	LOC120771683|XP_039955748.1|BTRY
OG0000536	LOC120420853|XP_039439905.1|CPIP, LOC120429579|XP_039450557.1|CPIP, LOC120429576|XP_039450554.1|CPIP	LOC120778760|XP_039966672.1|BTRY
OG0000537	LOC120412729|XP_039429253.1|CPIP	LOC120772240|XP_039956668.1|BTRY
OG0000538	LOC120415393|XP_039432853.1|CPIP	LOC120771082|XP_039954840.1|BTRY, LOC120769984|XP_039952994.1|BTRY
OG0000539	LOC120423804|XP_039443655.1|CPIP	LOC120782873|XP_039971349.1|BTRY, LOC120766319|XP_039947675.1|BTRY
OG0000542	LOC120415062|XP_039432384.1|CPIP	LOC120770999|XP_039954690.1|BTRY, LOC120768572|XP_039951254.1|BTRY
OG0000543	LOC120414176|XP_039431183.1|CPIP, LOC120414177|XP_039431184.1|CPIP	LOC120775741|XP_039962000.1|BTRY, LOC120781210|XP_039969264.1|BTRY
OG0000544	LOC120413340|XP_039430050.1|CPIP	LOC120778784|XP_039966705.1|BTRY, LOC120782819|XP_039971267.1|BTRY
OG0000545	LOC120432499|XP_039453646.1|CPIP, LOC120430290|XP_039451318.1|CPIP	LOC120779132|XP_039967273.1|BTRY, LOC120777855|XP_039965332.1|BTRY
OG0000546	LOC120425411|XP_039445875.1|CPIP	LOC120774190|XP_039959553.1|BTRY
OG0000547	LOC120429775|XP_039450766.1|CPIP	LOC120775742|XP_039962001.1|BTRY
OG0000548	LOC120420653|XP_039439671.1|CPIP	LOC120778152|XP_039965809.1|BTRY
OG0000549	LOC120429126|XP_039450252.1|CPIP, LOC120429130|XP_039450259.1|CPIP, LOC120429127|XP_039450254.1|CPIP	LOC120770506|XP_039953967.1|BTRY
OG0000550	LOC120430650|XP_039451689.1|CPIP, LOC120425137|XP_039445498.1|CPIP	LOC120777862|XP_039965345.1|BTRY, LOC120777763|XP_039965201.1|BTRY
OG0000552	LOC120430491|XP_039451519.1|CPIP, LOC120417370|XP_039435317.1|CPIP	LOC120766712|XP_039948292.1|BTRY
OG0000553	LOC120428198|XP_039449114.1|CPIP, LOC120428547|XP_039449516.1|CPIP, LOC120428493|XP_039449443.1|CPIP	LOC120768198|XP_039950704.1|BTRY, LOC120768197|XP_039950702.1|BTRY, LOC120769626|XP_039952665.1|BTRY
OG0000554	LOC120420637|XP_039439649.1|CPIP	LOC120775942|XP_039962289.1|BTRY
OG0000555	LOC120415906|XP_039433483.1|CPIP	LOC120777453|XP_039964706.1|BTRY
OG0000556	LOC120417500|XP_039435511.1|CPIP	LOC120766962|XP_039948685.1|BTRY
OG0000557	LOC120413021|XP_039429623.1|CPIP	LOC120766756|XP_039948364.1|BTRY, LOC120782350|XP_039970516.1|BTRY
OG0000558	LOC120427435|XP_039448225.1|CPIP	LOC120776305|XP_039962785.1|BTRY, LOC120776489|XP_039963107.1|BTRY
OG0000559	LOC120426477|XP_039447174.1|CPIP	LOC120782203|XP_039970326.1|BTRY, LOC120778831|XP_039966776.1|BTRY, LOC120778424|XP_039966141.1|BTRY
OG0000560	LOC120420416|XP_039439369.1|CPIP	LOC120771404|XP_039955313.1|BTRY
OG0000561	LOC120429693|XP_039450666.1|CPIP	LOC120778148|XP_039965805.1|BTRY, LOC120778579|XP_039966376.1|BTRY
OG0000562	LOC120420548|XP_039439551.1|CPIP	LOC120776985|XP_039964018.1|BTRY, LOC120776671|XP_039963479.1|BTRY
OG0000566	LOC120415037|XP_039432342.1|CPIP	LOC120780611|XP_039968803.1|BTRY, LOC120778897|XP_039966879.1|BTRY
OG0000567	LOC120432277|XP_039453398.1|CPIP	LOC120775696|XP_039961941.1|BTRY
OG0000567	LOC120432280|XP_039453400.1|CPIP	LOC120774482|XP_039960077.1|BTRY
OG0000568	LOC120430557|XP_039451606.1|CPIP, LOC120416898|XP_039434730.1|CPIP	LOC120782259|XP_039970358.1|BTRY
OG0000569	LOC120428788|XP_039449810.1|CPIP	LOC120780914|XP_039969079.1|BTRY
OG0000570	LOC120418345|XP_039436631.1|CPIP	LOC120782352|XP_039970518.1|BTRY, LOC120781684|XP_039969839.1|BTRY
OG0000571	LOC120422115|XP_039441417.1|CPIP	LOC120776321|XP_039962789.1|BTRY, LOC120782759|XP_039971147.1|BTRY
OG0000572	LOC120417835|XP_039435984.1|CPIP	LOC120766363|XP_039947727.1|BTRY, LOC120766624|XP_039948170.1|BTRY
OG0000573	LOC120416539|XP_039434194.1|CPIP	LOC120777513|XP_039964812.1|BTRY, LOC120777517|XP_039964820.1|BTRY
OG0000574	LOC120413383|XP_039430115.1|CPIP	LOC120776636|XP_039963388.1|BTRY
OG0000575	LOC120426920|XP_039447658.1|CPIP	LOC120777122|XP_039964199.1|BTRY, LOC120778944|XP_039966939.1|BTRY, LOC120778817|XP_039966757.1|BTRY
OG0000576	LOC120432079|XP_039453146.1|CPIP, LOC120418632|XP_039437011.1|CPIP	LOC120766767|XP_039948379.1|BTRY, LOC120766768|XP_039948381.1|BTRY, LOC120782247|XP_039970347.1|BTRY, LOC120781291|XP_039969427.1|BTRY, LOC120781613|XP_039969786.1|BTRY, LOC120766766|XP_039948378.1|BTRY, LOC120766695|XP_039948274.1|BTRY, LOC120766780|XP_039948406.1|BTRY
OG0000577	LOC120412653|XP_039429141.1|CPIP	LOC120769242|XP_039952076.1|BTRY
OG0000578	LOC120420633|XP_039439643.1|CPIP	LOC120768542|XP_039951215.1|BTRY, LOC120777900|XP_039965413.1|BTRY, LOC120769124|XP_039951920.1|BTRY
OG0000579	LOC120429903|XP_039450930.1|CPIP	LOC120771467|XP_039955413.1|BTRY, LOC120778504|XP_039966267.1|BTRY
OG0000580	LOC120413757|XP_039430626.1|CPIP	LOC120766709|XP_039948290.1|BTRY, LOC120782512|XP_039970754.1|BTRY
OG0000581	LOC120413933|XP_039430859.1|CPIP	LOC120766216|XP_039947533.1|BTRY
OG0000582	LOC120424290|XP_039444311.1|CPIP	LOC120772613|XP_039957261.1|BTRY, LOC120770442|XP_039953845.1|BTRY
OG0000583	LOC120416812|XP_039434621.1|CPIP	LOC120772305|XP_039956751.1|BTRY
OG0000589	LOC120426454|XP_039447150.1|CPIP	LOC120775967|XP_039962317.1|BTRY
OG0000592	LOC120413276|XP_039429940.1|CPIP	LOC120772914|XP_039957748.1|BTRY
OG0000593	LOC120429571|XP_039450551.1|CPIP	LOC120774484|XP_039960081.1|BTRY
OG0000594	LOC120416509|XP_039434164.1|CPIP	LOC120776937|XP_039963952.1|BTRY, LOC120776957|XP_039963985.1|BTRY
OG0000595	LOC120422557|XP_039441970.1|CPIP	LOC120778985|XP_039967021.1|BTRY, LOC120773103|XP_039958013.1|BTRY
OG0000596	LOC120432526|XP_039453677.1|CPIP	LOC120775092|XP_039961027.1|BTRY, LOC120766611|XP_039948152.1|BTRY, LOC120778360|XP_039966084.1|BTRY
OG0000597	LOC120420728|XP_039439757.1|CPIP	LOC120773972|XP_039959191.1|BTRY, LOC120766973|XP_039948698.1|BTRY
OG0000598	LOC120428012|XP_039448916.1|CPIP, LOC120424605|XP_039444698.1|CPIP, LOC120424609|XP_039444703.1|CPIP, LOC120424607|XP_039444701.1|CPIP, LOC120424608|XP_039444702.1|CPIP, LOC120424606|XP_039444700.1|CPIP	LOC120766839|XP_039948484.1|BTRY, LOC120766841|XP_039948485.1|BTRY
OG0000599	LOC120420911|XP_039439970.1|CPIP, LOC120415914|XP_039433494.1|CPIP	LOC120777152|XP_039964231.1|BTRY
OG0000600	LOC120420913|XP_039439972.1|CPIP	LOC120771549|XP_039955542.1|BTRY
OG0000601	LOC120417482|XP_039435492.1|CPIP	LOC120769303|XP_039952170.1|BTRY
OG0000602	LOC120422812|XP_039442286.1|CPIP	LOC120768420|XP_039951035.1|BTRY, LOC120769465|XP_039952411.1|BTRY
OG0000603	LOC120413865|XP_039430763.1|CPIP	LOC120769731|XP_039952813.1|BTRY
OG0000604	LOC120414592|XP_039431765.1|CPIP	LOC120768047|XP_039950490.1|BTRY, LOC120768046|XP_039950487.1|BTRY
OG0000605	LOC120418707|XP_039437110.1|CPIP, LOC120418728|XP_039437137.1|CPIP, LOC120418709|XP_039437111.1|CPIP, LOC120418710|XP_039437112.1|CPIP	LOC120769679|XP_039952733.1|BTRY, LOC120768195|XP_039950700.1|BTRY
OG0000606	LOC120423379|XP_039443097.1|CPIP	LOC120776032|XP_039962410.1|BTRY
OG0000606	LOC120423367|XP_039443077.1|CPIP, LOC120415397|XP_039432858.1|CPIP, LOC120427103|XP_039447889.1|CPIP, LOC120415344|XP_039432767.1|CPIP, LOC120427106|XP_039447891.1|CPIP, LOC120423368|XP_039443078.1|CPIP, LOC120420316|XP_039439242.1|CPIP	LOC120773634|XP_039958576.1|BTRY
OG0000607	LOC120431344|XP_039452409.1|CPIP, LOC120420947|XP_039440017.1|CPIP	LOC120775170|XP_039961159.1|BTRY
OG0000608	LOC120421236|XP_039440368.1|CPIP	LOC120771362|XP_039955252.1|BTRY, LOC120768382|XP_039951008.1|BTRY
OG0000609	LOC120413039|XP_039429662.1|CPIP	LOC120774369|XP_039959897.1|BTRY
OG0000610	LOC120420855|XP_039439908.1|CPIP	LOC120776826|XP_039963780.1|BTRY
OG0000611	LOC120418459|XP_039436820.1|CPIP	LOC120771420|XP_039955336.1|BTRY
OG0000615	LOC120420221|XP_039439143.1|CPIP	LOC120766300|XP_039947638.1|BTRY
OG0000616	LOC120413329|XP_039430041.1|CPIP, LOC120429858|XP_039450900.1|CPIP	LOC120775348|XP_039961431.1|BTRY, LOC120775714|XP_039961960.1|BTRY, LOC120775702|XP_039961947.1|BTRY, LOC120775470|XP_039961596.1|BTRY, LOC120775611|XP_039961785.1|BTRY
OG0000617	LOC120423848|XP_039443730.1|CPIP	LOC120766658|XP_039948225.1|BTRY, LOC120766225|XP_039947535.1|BTRY
