Orthogroup	CPIP.longest_only	HILL.longest_only
OG0000794	LOC120430634|XP_039451663.1|CPIP, LOC120430632|XP_039451661.1|CPIP, LOC120431042|XP_039452127.1|CPIP, LOC120430630|XP_039451659.1|CPIP, LOC120431043|XP_039452128.1|CPIP	LOC119658328|XP_037921598.1|HILL, LOC119661720|XP_037927102.1|HILL
OG0000796	LOC120432573|XP_039453733.1|CPIP	LOC119654527|XP_037915899.1|HILL
OG0000797	LOC120414099|XP_039431056.1|CPIP, LOC120419430|XP_039438042.1|CPIP	LOC119659393|XP_037923383.1|HILL
OG0000798	LOC120415294|XP_039432697.1|CPIP	LOC119653731|XP_037914572.1|HILL
OG0000799	LOC120424434|XP_039444488.1|CPIP, LOC120428134|XP_039449050.1|CPIP	LOC119653680|XP_037914462.1|HILL
OG0000801	LOC120431544|XP_039452587.1|CPIP	LOC119655634|XP_037917534.1|HILL
OG0000802	LOC120419165|XP_039437749.1|CPIP, LOC120419161|XP_039437744.1|CPIP, LOC120419173|XP_039437760.1|CPIP	LOC119655789|XP_037917810.1|HILL
OG0000803	LOC120412688|XP_039429199.1|CPIP	LOC119661390|XP_037926641.1|HILL
OG0000809	LOC120416271|XP_039433911.1|CPIP, LOC120422032|XP_039441293.1|CPIP, LOC120424511|XP_039444598.1|CPIP, LOC120422121|XP_039441425.1|CPIP, LOC120422126|XP_039441434.1|CPIP, LOC120422125|XP_039441432.1|CPIP, LOC120422113|XP_039441414.1|CPIP, LOC120422112|XP_039441413.1|CPIP, LOC120425691|XP_039446209.1|CPIP, LOC120425693|XP_039446210.1|CPIP, LOC120423175|XP_039442796.1|CPIP	LOC119653177|XP_037913657.1|HILL, LOC119652717|XP_037912936.1|HILL, LOC119653076|XP_037913491.1|HILL, LOC119653000|XP_037913353.1|HILL
OG0000810	LOC120430093|XP_039451114.1|CPIP, LOC120424339|XP_039444365.1|CPIP	LOC119652580|XP_037912724.1|HILL
OG0000811	LOC120430979|XP_039452051.1|CPIP	LOC119659042|XP_037922871.1|HILL
OG0000812	LOC120427000|XP_039447755.1|CPIP	LOC119647943|XP_037905233.1|HILL
OG0000813	LOC120416571|XP_039434239.1|CPIP	LOC119649371|XP_037907416.1|HILL
OG0000814	LOC120419319|XP_039437923.1|CPIP, LOC120414046|XP_039431001.1|CPIP	LOC119646163|XP_037902464.1|HILL, LOC119661727|XP_037927120.1|HILL, LOC119646661|XP_037903122.1|HILL, LOC119646655|XP_037903113.1|HILL, LOC119661251|XP_037926427.1|HILL, LOC119660561|XP_037925132.1|HILL
OG0000815	LOC120420094|XP_039438966.1|CPIP, LOC120420412|XP_039439366.1|CPIP, LOC120419953|XP_039438750.1|CPIP, LOC120419959|XP_039438759.1|CPIP	LOC119661476|XP_037926767.1|HILL, LOC119652622|XP_037912797.1|HILL
OG0000816	LOC120415564|XP_039433070.1|CPIP	LOC119652594|XP_037912747.1|HILL, LOC119646619|XP_037903054.1|HILL
OG0000818	LOC120420870|XP_039439923.1|CPIP, LOC120417437|XP_039435412.1|CPIP	LOC119653492|XP_037914048.1|HILL
OG0000820	LOC120418431|XP_039436744.1|CPIP	LOC119654911|XP_037916472.1|HILL
OG0000821	LOC120414923|XP_039432191.1|CPIP	LOC119649066|XP_037906982.1|HILL
OG0000831	LOC120427282|XP_039448065.1|CPIP, LOC120427278|XP_039448062.1|CPIP, LOC120414834|XP_039432094.1|CPIP	LOC119651526|XP_037911086.1|HILL, LOC119651216|XP_037910598.1|HILL
OG0000832	LOC120421010|XP_039440062.1|CPIP	LOC119646406|XP_037902778.1|HILL
OG0000833	LOC120422698|XP_039442145.1|CPIP	LOC119648899|XP_037906731.1|HILL
OG0000833	LOC120424189|XP_039444181.1|CPIP, LOC120422316|XP_039441637.1|CPIP	LOC119653973|XP_037915063.1|HILL
OG0000834	LOC120418860|XP_039437327.1|CPIP	LOC119650167|XP_037908642.1|HILL
OG0000835	LOC120426136|XP_039446782.1|CPIP	LOC119649256|XP_037907253.1|HILL
OG0000836	LOC120415979|XP_039433566.1|CPIP	LOC119651568|XP_037911131.1|HILL
OG0000839	LOC120413954|XP_039430891.1|CPIP	LOC119659633|XP_037923760.1|HILL
OG0000840	LOC120423439|XP_039443189.1|CPIP	LOC119646376|XP_037902743.1|HILL, LOC119660962|XP_037925935.1|HILL
OG0000841	LOC120421143|XP_039440270.1|CPIP	LOC119660163|XP_037924495.1|HILL
OG0000843	LOC120431268|XP_039452336.1|CPIP	LOC119654815|XP_037916301.1|HILL
OG0000844	LOC120414979|XP_039432248.1|CPIP	LOC119653876|XP_037914916.1|HILL
OG0000854	LOC120432213|XP_039453307.1|CPIP	LOC119658525|XP_037921931.1|HILL, LOC119658527|XP_037921933.1|HILL
OG0000855	LOC120419350|XP_039437982.1|CPIP	LOC119657117|XP_037919806.1|HILL, LOC119658156|XP_037921351.1|HILL
OG0000856	LOC120421057|XP_039440135.1|CPIP	LOC119661011|XP_037926086.1|HILL
OG0000857	LOC120424313|XP_039444331.1|CPIP, LOC120418642|XP_039437022.1|CPIP	LOC119657417|XP_037920242.1|HILL, LOC119658236|XP_037921441.1|HILL
OG0000858	LOC120426684|XP_039447392.1|CPIP	LOC119651400|XP_037910915.1|HILL
OG0000860	LOC120428391|XP_039449328.1|CPIP	LOC119650458|XP_037909242.1|HILL
OG0000861	LOC120428748|XP_039449764.1|CPIP	LOC119660138|XP_037924469.1|HILL
OG0000862	LOC120418915|XP_039437380.1|CPIP	LOC119647046|XP_037903730.1|HILL
OG0000865	LOC120423669|XP_039443489.1|CPIP	LOC119660267|XP_037924654.1|HILL
OG0000866	LOC120422619|XP_039442049.1|CPIP	LOC119651344|XP_037910827.1|HILL
OG0000867	LOC120413111|XP_039429751.1|CPIP	LOC119661534|XP_037926842.1|HILL
OG0000868	LOC120419336|XP_039437941.1|CPIP, LOC120414763|XP_039432009.1|CPIP	LOC119651020|XP_037910251.1|HILL
OG0000869	LOC120431030|XP_039452116.1|CPIP	LOC119659879|XP_037924126.1|HILL
OG0000870	LOC120420963|XP_039440031.1|CPIP, LOC120430852|XP_039451910.1|CPIP, LOC120430853|XP_039451911.1|CPIP, LOC120421977|XP_039441221.1|CPIP	LOC119648032|XP_037905385.1|HILL
OG0000871	LOC120416744|XP_039434513.1|CPIP	LOC119655804|XP_037917831.1|HILL
OG0000872	LOC120418438|XP_039436780.1|CPIP	LOC119653635|XP_037914344.1|HILL
OG0000873	LOC120414951|XP_039432215.1|CPIP, LOC120423917|XP_039443832.1|CPIP, LOC120414941|XP_039432205.1|CPIP	LOC119649384|XP_037907430.1|HILL
OG0000874	LOC120423682|XP_039443508.1|CPIP	LOC119653451|XP_037913986.1|HILL
OG0000875	LOC120429100|XP_039450197.1|CPIP	LOC119648335|XP_037905957.1|HILL
OG0000882	LOC120415611|XP_039433139.1|CPIP	LOC119657550|XP_037920431.1|HILL
OG0000883	LOC120419054|XP_039437562.1|CPIP, LOC120420051|XP_039438897.1|CPIP, LOC120425029|XP_039445334.1|CPIP, LOC120421899|XP_039441131.1|CPIP, LOC120420379|XP_039439326.1|CPIP	LOC119658367|XP_037921656.1|HILL
OG0000884	LOC120427201|XP_039447995.1|CPIP	LOC119657713|XP_037920680.1|HILL
OG0000886	LOC120423639|XP_039443447.1|CPIP, LOC120416546|XP_039434210.1|CPIP	LOC119655020|XP_037916622.1|HILL, LOC119655019|XP_037916619.1|HILL, LOC119661304|XP_037926521.1|HILL
OG0000887	LOC120420686|XP_039439715.1|CPIP, LOC120420673|XP_039439704.1|CPIP, LOC120425775|XP_039446321.1|CPIP	LOC119654667|XP_037916090.1|HILL, LOC119654834|XP_037916334.1|HILL
OG0000888	LOC120412402|XP_039428795.1|CPIP	LOC119647432|XP_037904268.1|HILL
OG0000889	LOC120418561|XP_039436926.1|CPIP	LOC119649708|XP_037907907.1|HILL
OG0000890	LOC120422694|XP_039442137.1|CPIP	LOC119647425|XP_037904258.1|HILL
OG0000891	LOC120413113|XP_039429753.1|CPIP	LOC119651506|XP_037911062.1|HILL
OG0000892	LOC120428476|XP_039449427.1|CPIP	LOC119650186|XP_037908674.1|HILL
OG0000893	LOC120414042|XP_039431000.1|CPIP, LOC120415367|XP_039432803.1|CPIP, LOC120413619|XP_039430463.1|CPIP, LOC120414024|XP_039430983.1|CPIP, LOC120414031|XP_039430990.1|CPIP, LOC120413628|XP_039430476.1|CPIP	LOC119661300|XP_037926517.1|HILL
OG0000894	LOC120412970|XP_039429552.1|CPIP	LOC119659992|XP_037924292.1|HILL
OG0000895	LOC120430631|XP_039451660.1|CPIP, LOC120431041|XP_039452126.1|CPIP	LOC119655493|XP_037917323.1|HILL
OG0000896	LOC120422176|XP_039441485.1|CPIP	LOC119655524|XP_037917362.1|HILL
OG0000907	LOC120422532|XP_039441927.1|CPIP	LOC119657822|XP_037920864.1|HILL
OG0000909	LOC120424456|XP_039444523.1|CPIP	LOC119657311|XP_037920098.1|HILL
OG0000910	LOC120432597|XP_039453770.1|CPIP	LOC119647744|XP_037904787.1|HILL
OG0000911	LOC120417462|XP_039435459.1|CPIP	LOC119659735|XP_037923922.1|HILL
OG0000912	LOC120418557|XP_039436921.1|CPIP	LOC119649903|XP_037908223.1|HILL, LOC119648205|XP_037905735.1|HILL
OG0000913	LOC120426921|XP_039447661.1|CPIP	LOC119648598|XP_037906296.1|HILL
OG0000913	LOC120418826|XP_039437276.1|CPIP	LOC119649914|XP_037908241.1|HILL
OG0000914	LOC120418298|XP_039436562.1|CPIP, LOC120418292|XP_039436556.1|CPIP, LOC120418291|XP_039436554.1|CPIP, LOC120418294|XP_039436558.1|CPIP, LOC120418293|XP_039436557.1|CPIP, LOC120419858|XP_039438629.1|CPIP	LOC119659280|XP_037923220.1|HILL
OG0000915	LOC120416134|XP_039433742.1|CPIP, LOC120423137|XP_039442750.1|CPIP	LOC119661273|XP_037926469.1|HILL
OG0000916	LOC120419180|XP_039437774.1|CPIP, LOC120419181|XP_039437782.1|CPIP	LOC119649969|XP_037908336.1|HILL
OG0000917	LOC120414568|XP_039431721.1|CPIP	LOC119653264|XP_037913804.1|HILL
OG0000918	LOC120420514|XP_039439508.1|CPIP, LOC120413898|XP_039430809.1|CPIP	LOC119661271|XP_037926460.1|HILL
OG0000920	LOC120415401|XP_039432861.1|CPIP, LOC120415381|XP_039432839.1|CPIP, LOC120415349|XP_039432772.1|CPIP, LOC120415392|XP_039432852.1|CPIP, LOC120415348|XP_039432771.1|CPIP, LOC120415389|XP_039432846.1|CPIP, LOC120430879|XP_039451942.1|CPIP	LOC119655503|XP_037917334.1|HILL
OG0000921	LOC120413978|XP_039430918.1|CPIP	LOC119646868|XP_037903420.1|HILL
OG0000922	LOC120422036|XP_039441299.1|CPIP	LOC119648848|XP_037906650.1|HILL, LOC119648849|XP_037906654.1|HILL
OG0000923	LOC120423161|XP_039442776.1|CPIP, LOC120429725|XP_039450705.1|CPIP	LOC119659268|XP_037923196.1|HILL
OG0000924	LOC120418575|XP_039436954.1|CPIP	LOC119653921|XP_037915008.1|HILL
OG0000925	LOC120423899|XP_039443814.1|CPIP, LOC120423887|XP_039443795.1|CPIP	LOC119654032|XP_037915122.1|HILL, LOC119654830|XP_037916325.1|HILL
OG0000935	LOC120413347|XP_039430059.1|CPIP	LOC119652079|XP_037911945.1|HILL
OG0000936	LOC120424541|XP_039444639.1|CPIP	LOC119658888|XP_037922606.1|HILL
OG0000937	LOC120421436|XP_039440578.1|CPIP, LOC120423044|XP_039442646.1|CPIP	LOC119657145|XP_037919850.1|HILL, LOC119657808|XP_037920833.1|HILL, LOC119658309|XP_037921544.1|HILL, LOC119658006|XP_037921155.1|HILL, LOC119657604|XP_037920530.1|HILL, LOC119649299|XP_037907321.1|HILL, LOC119649212|XP_037907197.1|HILL
OG0000938	LOC120418068|XP_039436262.1|CPIP	LOC119657122|XP_037919814.1|HILL
OG0000939	LOC120429750|XP_039451052.1|CPIP	LOC119661716|XP_037927099.1|HILL
OG0000941	LOC120416887|XP_039434719.1|CPIP	LOC119657198|XP_037919932.1|HILL
OG0000942	LOC120420666|XP_039439697.1|CPIP	LOC119648309|XP_037905916.1|HILL
OG0000943	LOC120419988|XP_039438800.1|CPIP	LOC119661204|XP_037926354.1|HILL, LOC119661205|XP_037926357.1|HILL
OG0000944	LOC120414476|XP_039431604.1|CPIP	LOC119660771|XP_037925462.1|HILL
OG0000945	LOC120422285|XP_039441609.1|CPIP	LOC119661753|XP_037927151.1|HILL
OG0000946	LOC120428101|XP_039449022.1|CPIP	LOC119661708|XP_037927089.1|HILL
OG0000946	LOC120428439|XP_039449389.1|CPIP, LOC120427626|XP_039448449.1|CPIP	LOC119661296|XP_037926510.1|HILL
OG0000947	LOC120427061|XP_039447834.1|CPIP, LOC120421155|XP_039440279.1|CPIP, LOC120421145|XP_039440268.1|CPIP, LOC120421144|XP_039440267.1|CPIP	LOC119659221|XP_037923125.1|HILL
OG0000948	LOC120413180|XP_039429827.1|CPIP	LOC119650053|XP_037908470.1|HILL
OG0000949	LOC120419243|XP_039437835.1|CPIP, LOC120419259|XP_039437851.1|CPIP	LOC119655964|XP_037918123.1|HILL
OG0000950	LOC120423626|XP_039443431.1|CPIP	LOC119656859|XP_037919440.1|HILL
OG0000951	LOC120424899|XP_039445123.1|CPIP, LOC120432196|XP_039453284.1|CPIP	LOC119660211|XP_037924573.1|HILL
OG0000952	LOC120417629|XP_039435675.1|CPIP, LOC120421245|XP_039440380.1|CPIP	LOC119647108|XP_037903814.1|HILL
OG0000963	LOC120432205|XP_039453301.1|CPIP, LOC120432197|XP_039453288.1|CPIP, LOC120432186|XP_039453264.1|CPIP	LOC119654346|XP_037915614.1|HILL, LOC119655736|XP_037917714.1|HILL, LOC119658493|XP_037921884.1|HILL, LOC119658308|XP_037921548.1|HILL, LOC119646871|XP_037903426.1|HILL, LOC119646573|XP_037902991.1|HILL, LOC119658492|XP_037921883.1|HILL, LOC119657269|XP_037920030.1|HILL
OG0000964	LOC120432247|XP_039453355.1|CPIP, LOC120425740|XP_039446280.1|CPIP	LOC119660339|XP_037924753.1|HILL
OG0000965	LOC120412464|XP_039428876.1|CPIP	LOC119657119|XP_037919807.1|HILL
OG0000966	LOC120418083|XP_039436275.1|CPIP, LOC120419866|XP_039438651.1|CPIP	LOC119659817|XP_037924028.1|HILL
OG0000968	LOC120413224|XP_039429884.1|CPIP, LOC120413265|XP_039429927.1|CPIP	LOC119650278|XP_037908831.1|HILL, LOC119648563|XP_037906261.1|HILL, LOC119648564|XP_037906262.1|HILL, LOC119648565|XP_037906263.1|HILL, LOC119649022|XP_037906905.1|HILL, LOC119650083|XP_037908515.1|HILL, LOC119649837|XP_037908109.1|HILL, LOC119650193|XP_037908687.1|HILL
OG0000969	LOC120422701|XP_039442146.1|CPIP	LOC119655293|XP_037917046.1|HILL
OG0000970	LOC120412746|XP_039429272.1|CPIP, LOC120414836|XP_039432096.1|CPIP, LOC120416782|XP_039434584.1|CPIP	LOC119660558|XP_037925126.1|HILL
OG0000971	LOC120412655|XP_039429144.1|CPIP, LOC120420893|XP_039439948.1|CPIP	LOC119646696|XP_037903188.1|HILL
OG0000972	LOC120415719|XP_039433248.1|CPIP	LOC119655462|XP_037917295.1|HILL
OG0000975	LOC120424400|XP_039444433.1|CPIP	LOC119659274|XP_037923207.1|HILL
OG0000976	LOC120421927|XP_039441173.1|CPIP	LOC119659502|XP_037923556.1|HILL
OG0000978	LOC120414919|XP_039432185.1|CPIP	LOC119659555|XP_037923632.1|HILL
OG0000988	LOC120421063|XP_039440142.1|CPIP	LOC119656493|XP_037918752.1|HILL
OG0000990	LOC120420232|XP_039439155.1|CPIP	LOC119658075|XP_037921263.1|HILL
OG0000991	LOC120422538|XP_039441935.1|CPIP, LOC120417786|XP_039435882.1|CPIP	LOC119656681|XP_037919092.1|HILL
OG0000992	LOC120423852|XP_039443737.1|CPIP	LOC119646600|XP_037903022.1|HILL
OG0000993	LOC120430226|XP_039451240.1|CPIP	LOC119650867|XP_037909956.1|HILL
OG0000994	LOC120424683|XP_039444794.1|CPIP, LOC120424625|XP_039444724.1|CPIP	LOC119658292|XP_037921515.1|HILL
OG0000995	LOC120427566|XP_039448374.1|CPIP	LOC119658915|XP_037922663.1|HILL
OG0000996	LOC120427074|XP_039447850.1|CPIP	LOC119646992|XP_037903636.1|HILL
OG0000997	LOC120420924|XP_039439987.1|CPIP	LOC119661765|XP_037927163.1|HILL
OG0000998	LOC120424650|XP_039444755.1|CPIP, LOC120424647|XP_039444749.1|CPIP	LOC119647895|XP_037905126.1|HILL, LOC119647894|XP_037905121.1|HILL
OG0000999	LOC120423615|XP_039443416.1|CPIP	LOC119653389|XP_037913868.1|HILL
OG0001000	LOC120424549|XP_039444648.1|CPIP	LOC119661572|XP_037926898.1|HILL
OG0001001	LOC120419379|XP_039437985.1|CPIP, LOC120419368|XP_039437971.1|CPIP, LOC120428792|XP_039449824.1|CPIP	LOC119661125|XP_037926250.1|HILL
OG0001002	LOC120420795|XP_039439844.1|CPIP, LOC120420762|XP_039439801.1|CPIP, LOC120419729|XP_039438460.1|CPIP	LOC119654243|XP_037915413.1|HILL
OG0001003	LOC120417872|XP_039436027.1|CPIP	LOC119658682|XP_037922174.1|HILL
OG0001004	LOC120427940|XP_039448820.1|CPIP	LOC119660421|XP_037924896.1|HILL
OG0001006	LOC120412343|XP_039428677.1|CPIP	LOC119649453|XP_037907535.1|HILL
OG0001007	LOC120412364|XP_039428722.1|CPIP	LOC119656271|XP_037918622.1|HILL
OG0001008	LOC120425096|XP_039445425.1|CPIP	LOC119655408|XP_037917219.1|HILL
OG0001009	LOC120422414|XP_039441762.1|CPIP	LOC119656127|XP_037918388.1|HILL
OG0001019	LOC120431968|XP_039453040.1|CPIP, LOC120426070|XP_039446688.1|CPIP, LOC120420148|XP_039439078.1|CPIP	LOC119657389|XP_037920202.1|HILL
OG0001020	LOC120432292|XP_039453413.1|CPIP, LOC120432291|XP_039453412.1|CPIP, LOC120432246|XP_039453354.1|CPIP, LOC120432290|XP_039453411.1|CPIP	LOC119657985|XP_037921129.1|HILL, LOC119657205|XP_037919940.1|HILL, LOC119657634|XP_037920567.1|HILL
OG0001021	LOC120414374|XP_039431472.1|CPIP, LOC120415238|XP_039432635.1|CPIP, LOC120422475|XP_039441864.1|CPIP, LOC120422464|XP_039441851.1|CPIP	LOC119651094|XP_037910375.1|HILL
OG0001022	LOC120418094|XP_039436296.1|CPIP, LOC120419901|XP_039438703.1|CPIP	LOC119658389|XP_037921700.1|HILL
OG0001024	LOC120427860|XP_039448711.1|CPIP, LOC120418640|XP_039437020.1|CPIP	LOC119659862|XP_037924098.1|HILL, LOC119660009|XP_037924314.1|HILL
OG0001025	LOC120425358|XP_039445799.1|CPIP, LOC120429619|XP_039450584.1|CPIP	LOC119649739|XP_037907949.1|HILL
OG0001026	LOC120422301|XP_039441626.1|CPIP, LOC120422302|XP_039441627.1|CPIP	LOC119655498|XP_037917331.1|HILL
OG0001027	LOC120416048|XP_039433643.1|CPIP, LOC120423608|XP_039443408.1|CPIP, LOC120423611|XP_039443410.1|CPIP, LOC120416052|XP_039433646.1|CPIP	LOC119648947|XP_037906790.1|HILL, LOC119647827|XP_037904993.1|HILL
OG0001028	LOC120427120|XP_039447907.1|CPIP, LOC120425132|XP_039445491.1|CPIP	LOC119649985|XP_037908355.1|HILL
OG0001029	LOC120428402|XP_039449350.1|CPIP	LOC119654282|XP_037915492.1|HILL, LOC119651816|XP_037911534.1|HILL, LOC119648751|XP_037906502.1|HILL
OG0001029	LOC120423780|XP_039443632.1|CPIP, LOC120419109|XP_039437637.1|CPIP, LOC120417576|XP_039435621.1|CPIP	LOC119648440|XP_037906122.1|HILL
OG0001031	LOC120422610|XP_039442034.1|CPIP	LOC119650960|XP_037910134.1|HILL
OG0001032	LOC120420748|XP_039439778.1|CPIP	LOC119653033|XP_037913407.1|HILL
OG0001033	LOC120412515|XP_039428945.1|CPIP	LOC119656017|XP_037918195.1|HILL
OG0001042	LOC120415636|XP_039433169.1|CPIP, LOC120415634|XP_039433167.1|CPIP	LOC119646639|XP_037903080.1|HILL
OG0001043	LOC120428461|XP_039449409.1|CPIP, LOC120428460|XP_039449408.1|CPIP	LOC119658007|XP_037921157.1|HILL, LOC119657881|XP_037920940.1|HILL, LOC119657268|XP_037920029.1|HILL
OG0001044	LOC120430637|XP_039451667.1|CPIP, LOC120414295|XP_039431364.1|CPIP, LOC120431058|XP_039452146.1|CPIP	LOC119647224|XP_037903984.1|HILL
OG0001045	LOC120418895|XP_039437360.1|CPIP, LOC120418897|XP_039437362.1|CPIP, LOC120418896|XP_039437361.1|CPIP	LOC119652268|XP_037912181.1|HILL
OG0001046	LOC120414288|XP_039431353.1|CPIP	LOC119654795|XP_037916272.1|HILL
OG0001047	LOC120419261|XP_039437850.1|CPIP	LOC119657541|XP_037920411.1|HILL
OG0001048	LOC120427460|XP_039448272.1|CPIP, LOC120415347|XP_039432770.1|CPIP, LOC120415491|XP_039432993.1|CPIP	LOC119647179|XP_037903915.1|HILL
OG0001049	LOC120418908|XP_039437369.1|CPIP	LOC119647474|XP_037904341.1|HILL
OG0001050	LOC120424973|XP_039445263.1|CPIP	LOC119647631|XP_037904616.1|HILL
OG0001051	LOC120428680|XP_039449673.1|CPIP	LOC119652144|XP_037912013.1|HILL, LOC119652142|XP_037912011.1|HILL, LOC119652143|XP_037912012.1|HILL
OG0001051	LOC120427127|XP_039447913.1|CPIP	LOC119649498|XP_037907593.1|HILL
OG0001052	LOC120423094|XP_039442705.1|CPIP	LOC119646181|XP_037902491.1|HILL
OG0001053	LOC120414310|XP_039431383.1|CPIP	LOC119655659|XP_037917572.1|HILL
OG0001054	LOC120426826|XP_039447547.1|CPIP	LOC119660306|XP_037924708.1|HILL
OG0001056	LOC120418272|XP_039436525.1|CPIP	LOC119655097|XP_037916740.1|HILL
OG0001057	LOC120430572|XP_039451611.1|CPIP	LOC119653748|XP_037914605.1|HILL
OG0001058	LOC120416636|XP_039434382.1|CPIP	LOC119653471|XP_037914017.1|HILL
OG0001059	LOC120415206|XP_039432595.1|CPIP	LOC119647686|XP_037904696.1|HILL
OG0001072	LOC120432331|XP_039453453.1|CPIP	LOC119653742|XP_037914594.1|HILL
OG0001073	LOC120431391|XP_039452478.1|CPIP	LOC119656558|XP_037918865.1|HILL, LOC119656559|XP_037918867.1|HILL, LOC119656562|XP_037918871.1|HILL, LOC119656561|XP_037918870.1|HILL, LOC119656557|XP_037918863.1|HILL
OG0001074	LOC120427970|XP_039448860.1|CPIP	LOC119661284|XP_037926525.1|HILL
OG0001074	LOC120414966|XP_039432232.1|CPIP	LOC119653482|XP_037914037.1|HILL, LOC119653483|XP_037914038.1|HILL
OG0001075	LOC120427450|XP_039448252.1|CPIP	LOC119653121|XP_037913575.1|HILL, LOC119655936|XP_037918051.1|HILL
OG0001077	LOC120425417|XP_039445881.1|CPIP	LOC119658889|XP_037922615.1|HILL
OG0001078	LOC120417092|XP_039435005.1|CPIP	LOC119656783|XP_037919297.1|HILL
OG0001078	LOC120418041|XP_039436223.1|CPIP	LOC119647701|XP_037904714.1|HILL
OG0001079	LOC120413721|XP_039430582.1|CPIP	LOC119650348|XP_037908950.1|HILL
OG0001080	LOC120424184|XP_039444173.1|CPIP	LOC119650340|XP_037908935.1|HILL
OG0001081	LOC120424185|XP_039444176.1|CPIP, LOC120422819|XP_039442287.1|CPIP	LOC119654600|XP_037915997.1|HILL
OG0001082	LOC120422638|XP_039442070.1|CPIP	LOC119658666|XP_037922151.1|HILL
OG0001083	LOC120424383|XP_039444416.1|CPIP	LOC119648140|XP_037905614.1|HILL
OG0001084	LOC120414378|XP_039431483.1|CPIP, LOC120428045|XP_039448942.1|CPIP	LOC119658838|XP_037922509.1|HILL
OG0001085	LOC120429944|XP_039450976.1|CPIP	LOC119661259|XP_037926439.1|HILL
OG0001086	LOC120420100|XP_039438981.1|CPIP	LOC119654908|XP_037916469.1|HILL
OG0001087	LOC120412412|XP_039428808.1|CPIP	LOC119661246|XP_037926413.1|HILL
OG0001088	LOC120418521|XP_039436891.1|CPIP, LOC120414624|XP_039431791.1|CPIP	LOC119647748|XP_037904795.1|HILL
OG0001089	LOC120424839|XP_039445003.1|CPIP	LOC119649506|XP_037907604.1|HILL
OG0001090	LOC120423504|XP_039443279.1|CPIP, LOC120423512|XP_039443287.1|CPIP, LOC120431958|XP_039453026.1|CPIP, LOC120423513|XP_039443290.1|CPIP	LOC119650125|XP_037908578.1|HILL
OG0001091	LOC120421916|XP_039441151.1|CPIP, LOC120421906|XP_039441142.1|CPIP, LOC120421891|XP_039441118.1|CPIP, LOC120421900|XP_039441132.1|CPIP	LOC119648589|XP_037906287.1|HILL, LOC119650284|XP_037908839.1|HILL, LOC119650359|XP_037908974.1|HILL, LOC119649844|XP_037908117.1|HILL, LOC119648299|XP_037905885.1|HILL
OG0001092	LOC120413539|XP_039430351.1|CPIP	LOC119651442|XP_037910974.1|HILL
OG0001093	LOC120413540|XP_039430353.1|CPIP	LOC119651291|XP_037910736.1|HILL, LOC119652250|XP_037912158.1|HILL
OG0001094	LOC120413630|XP_039430474.1|CPIP	LOC119653073|XP_037913485.1|HILL
OG0001095	LOC120417378|XP_039435329.1|CPIP, LOC120417361|XP_039435306.1|CPIP, LOC120417357|XP_039435303.1|CPIP	LOC119651165|XP_037910511.1|HILL
OG0001096	LOC120424098|XP_039444044.1|CPIP, LOC120431700|XP_039452749.1|CPIP, LOC120431699|XP_039452748.1|CPIP, LOC120424107|XP_039444051.1|CPIP	LOC119654769|XP_037916238.1|HILL, LOC119655109|XP_037916759.1|HILL
OG0001097	LOC120415700|XP_039433225.1|CPIP	LOC119661406|XP_037926663.1|HILL
OG0001099	LOC120419084|XP_039437601.1|CPIP	LOC119649218|XP_037907205.1|HILL, LOC119648717|XP_037906453.1|HILL, LOC119649369|XP_037907413.1|HILL
OG0001100	LOC120415264|XP_039432666.1|CPIP	LOC119655645|XP_037917552.1|HILL
OG0001101	LOC120425311|XP_039445716.1|CPIP	LOC119656262|XP_037918608.1|HILL
OG0001102	LOC120414050|XP_039431003.1|CPIP, LOC120414045|XP_039430999.1|CPIP	LOC119647913|XP_037905163.1|HILL
OG0001103	LOC120416829|XP_039434650.1|CPIP	LOC119651483|XP_037911022.1|HILL
OG0001104	LOC120432582|XP_039453752.1|CPIP	LOC119654690|XP_037916128.1|HILL
OG0001105	LOC120432555|XP_039453718.1|CPIP	LOC119654540|XP_037915913.1|HILL
OG0001106	LOC120431888|XP_039452951.1|CPIP, LOC120422223|XP_039441542.1|CPIP	LOC119660910|XP_037925785.1|HILL
OG0001118	LOC120413330|XP_039430037.1|CPIP	LOC119658022|XP_037921179.1|HILL
OG0001119	LOC120420344|XP_039439272.1|CPIP, LOC120424039|XP_039443997.1|CPIP	LOC119658275|XP_037921494.1|HILL
OG0001120	LOC120423577|XP_039443370.1|CPIP, LOC120425386|XP_039445836.1|CPIP	LOC119651250|XP_037910659.1|HILL
OG0001121	LOC120425839|XP_039446395.1|CPIP, LOC120417386|XP_039435339.1|CPIP	LOC119647714|XP_037904737.1|HILL
OG0001122	LOC120412874|XP_039429439.1|CPIP	LOC119650129|XP_037908586.1|HILL
OG0001124	LOC120425352|XP_039445788.1|CPIP, LOC120429621|XP_039450585.1|CPIP	LOC119661581|XP_037926908.1|HILL, LOC119653509|XP_037914097.1|HILL
OG0001125	LOC120413485|XP_039430269.1|CPIP, LOC120413467|XP_039430239.1|CPIP, LOC120413468|XP_039430240.1|CPIP	LOC119648754|XP_037906506.1|HILL
OG0001126	LOC120418013|XP_039436189.1|CPIP	LOC119650445|XP_037909228.1|HILL
