Orthogroup	CPIP.longest_only	DBIA.longest_only
OG0001157	LOC120424145|XP_039444120.1|CPIP	LOC108024110|XP_016949380.1|DBIA
OG0001158	LOC120423984|XP_039443915.1|CPIP	LOC108034152|XP_016964440.1|DBIA
OG0001159	LOC120432503|XP_039453649.1|CPIP	LOC108026209|XP_016952507.1|DBIA
OG0001160	LOC120430694|XP_039451737.1|CPIP, LOC120427184|XP_039447982.1|CPIP	LOC108031492|XP_016960474.1|DBIA
OG0001162	LOC120424769|XP_039444908.1|CPIP, LOC120431325|XP_039452391.1|CPIP, LOC120425407|XP_039445871.1|CPIP	LOC108024735|XP_016950320.1|DBIA
OG0001163	LOC120422549|XP_039441951.1|CPIP	LOC108031575|XP_016960622.1|DBIA
OG0001164	LOC120428014|XP_039448919.1|CPIP, LOC120428005|XP_039448908.1|CPIP	LOC108031431|XP_016960331.1|DBIA
OG0001167	LOC120426173|XP_039446825.1|CPIP	LOC108022176|XP_016946512.1|DBIA
OG0001169	LOC120413210|XP_039429863.1|CPIP, LOC120413209|XP_039429861.1|CPIP, LOC120428119|XP_039449038.1|CPIP	LOC108033198|XP_016962933.1|DBIA
OG0001170	LOC120414137|XP_039431105.1|CPIP	LOC108024718|XP_016950298.1|DBIA
OG0001171	LOC120414141|XP_039431114.1|CPIP, LOC120414113|XP_039431074.1|CPIP	LOC108029333|XP_016957018.1|DBIA
OG0001172	LOC120422279|XP_039441597.1|CPIP	LOC108022456|XP_016946853.1|DBIA
OG0001173	LOC120424131|XP_039444104.1|CPIP, LOC120424129|XP_039444102.1|CPIP, LOC120415745|XP_039433285.1|CPIP, LOC120424132|XP_039444106.1|CPIP, LOC120415300|XP_039432705.1|CPIP, LOC120415341|XP_039432764.1|CPIP	LOC108023855|XP_016948991.1|DBIA
OG0001174	LOC120418803|XP_039437221.1|CPIP	LOC108028277|XP_016955470.1|DBIA, LOC108028523|XP_016955895.1|DBIA
OG0001176	LOC120414663|XP_039431867.1|CPIP	LOC108036220|XP_016967701.1|DBIA
OG0001177	LOC120419053|XP_039437553.1|CPIP	LOC108033344|XP_016963136.1|DBIA
OG0001178	LOC120416798|XP_039434608.1|CPIP	LOC108022948|XP_016947653.1|DBIA
OG0001179	LOC120415576|XP_039433089.1|CPIP	LOC108030181|XP_016958416.1|DBIA
OG0001180	LOC120427095|XP_039447881.1|CPIP	LOC108024915|XP_016950603.1|DBIA
OG0001181	LOC120423217|XP_039442860.1|CPIP	LOC108030664|XP_016959177.1|DBIA
OG0001182	LOC120417657|XP_039435713.1|CPIP, LOC120417666|XP_039435721.1|CPIP	LOC108024650|XP_016950197.1|DBIA
OG0001183	LOC120416960|XP_039434805.1|CPIP	LOC108026249|XP_016952581.1|DBIA
OG0001185	LOC120423279|XP_039442953.1|CPIP	LOC108030946|XP_016959634.1|DBIA, LOC108031371|XP_016960179.1|DBIA
OG0001186	LOC120416650|XP_039434393.1|CPIP	LOC108027198|XP_016953994.1|DBIA
OG0001187	LOC120417575|XP_039435620.1|CPIP, LOC120417596|XP_039435643.1|CPIP	LOC108022866|XP_016947533.1|DBIA
OG0001188	LOC120424646|XP_039444753.1|CPIP, LOC120425447|XP_039445916.1|CPIP	LOC108029644|XP_016957542.1|DBIA
OG0001189	LOC120416208|XP_039433833.1|CPIP, LOC120421579|XP_039440745.1|CPIP	LOC108023037|XP_016947767.1|DBIA
OG0001190	LOC120421476|XP_039440627.1|CPIP, LOC120421479|XP_039440630.1|CPIP	LOC108033393|XP_016963204.1|DBIA
OG0001191	LOC120423257|XP_039442920.1|CPIP, LOC120423245|XP_039442896.1|CPIP	LOC108032794|XP_016962288.1|DBIA
OG0001192	LOC120427744|XP_039448583.1|CPIP	LOC108033368|XP_016963172.1|DBIA
OG0001193	LOC120429883|XP_039450897.1|CPIP, LOC120432494|XP_039453642.1|CPIP, LOC120432117|XP_039453186.1|CPIP, LOC120412329|XP_039428664.1|CPIP	LOC108032209|XP_016961558.1|DBIA
OG0001194	LOC120416843|XP_039434665.1|CPIP	LOC108023567|XP_016948647.1|DBIA
OG0001195	LOC120418583|XP_039436964.1|CPIP	LOC108029787|XP_016957786.1|DBIA
OG0001201	LOC120414220|XP_039431262.1|CPIP, LOC120424752|XP_039444879.1|CPIP	LOC108026346|XP_016952740.1|DBIA
OG0001202	LOC120432258|XP_039453373.1|CPIP, LOC120432229|XP_039453340.1|CPIP, LOC120432251|XP_039453359.1|CPIP	LOC108027181|XP_016953965.1|DBIA
OG0001203	LOC120413295|XP_039429987.1|CPIP	LOC108036025|XP_016967445.1|DBIA
OG0001204	LOC120414306|XP_039431381.1|CPIP, LOC120431630|XP_039452673.1|CPIP, LOC120416723|XP_039434484.1|CPIP, LOC120419358|XP_039437962.1|CPIP, LOC120431542|XP_039452584.1|CPIP, LOC120414694|XP_039431918.1|CPIP, LOC120412414|XP_039428811.1|CPIP, LOC120416024|XP_039433620.1|CPIP	LOC108032662|XP_016962112.1|DBIA
OG0001205	LOC120429512|XP_039450516.1|CPIP, LOC120431269|XP_039452337.1|CPIP, LOC120429510|XP_039450513.1|CPIP	LOC108027289|XP_016954168.1|DBIA
OG0001206	LOC120432275|XP_039453392.1|CPIP	LOC108031508|XP_016960506.1|DBIA
OG0001207	LOC120422052|XP_039441319.1|CPIP	LOC108023955|XP_016949148.1|DBIA
OG0001208	LOC120424548|XP_039444645.1|CPIP	LOC108027557|XP_016954518.1|DBIA
OG0001209	LOC120428053|XP_039448988.1|CPIP, LOC120424496|XP_039444616.1|CPIP	LOC108025654|XP_016951685.1|DBIA
OG0001210	LOC120419105|XP_039437659.1|CPIP, LOC120416387|XP_039434100.1|CPIP, LOC120414618|XP_039431815.1|CPIP	LOC108025896|XP_016952067.1|DBIA
OG0001212	LOC120416356|XP_039434027.1|CPIP, LOC120419697|XP_039438418.1|CPIP, LOC120419684|XP_039438405.1|CPIP, LOC120419698|XP_039438419.1|CPIP	LOC108024031|XP_016949290.1|DBIA
OG0001213	LOC120429287|XP_039450448.1|CPIP, LOC120425721|XP_039446260.1|CPIP	LOC108025518|XP_016951528.1|DBIA
OG0001214	LOC120431086|XP_039452176.1|CPIP, LOC120430926|XP_039451981.1|CPIP	LOC108032004|XP_016961291.1|DBIA
OG0001215	LOC120424669|XP_039444778.1|CPIP, LOC120424614|XP_039444709.1|CPIP, LOC120424675|XP_039444782.1|CPIP, LOC120424616|XP_039444712.1|CPIP	LOC108027342|XP_016954243.1|DBIA
OG0001216	LOC120424679|XP_039444789.1|CPIP, LOC120424629|XP_039444729.1|CPIP, LOC120424633|XP_039444733.1|CPIP, LOC120424686|XP_039444796.1|CPIP	LOC108024651|XP_016950199.1|DBIA
OG0001217	LOC120423813|XP_039443667.1|CPIP	LOC108023210|XP_016948004.1|DBIA, LOC108034371|XP_016964747.1|DBIA
OG0001218	LOC120422590|XP_039442016.1|CPIP	LOC108024411|XP_016949816.1|DBIA
OG0001220	LOC120419490|XP_039438112.1|CPIP, LOC120419491|XP_039438113.1|CPIP	LOC108029895|XP_016957873.1|DBIA
OG0001221	LOC120422630|XP_039442062.1|CPIP	LOC108022848|XP_016947509.1|DBIA
OG0001223	LOC120416560|XP_039434225.1|CPIP	LOC108035983|XP_016967358.1|DBIA
OG0001224	LOC120420778|XP_039439824.1|CPIP	LOC108036707|XP_016968498.1|DBIA
OG0001224	LOC120416226|XP_039433860.1|CPIP	LOC108036228|XP_016967728.1|DBIA
OG0001225	LOC120417471|XP_039435475.1|CPIP, LOC120417456|XP_039435448.1|CPIP	LOC108030210|XP_016958459.1|DBIA
OG0001226	LOC120418804|XP_039437222.1|CPIP	LOC108022587|XP_016947103.1|DBIA
OG0001227	LOC120420146|XP_039439038.1|CPIP	LOC108033453|XP_016963276.1|DBIA, LOC108033240|XP_016962995.1|DBIA
OG0001228	LOC120414239|XP_039431284.1|CPIP, LOC120424577|XP_039444677.1|CPIP	LOC108032986|XP_016962553.1|DBIA
OG0001229	LOC120430378|XP_039451410.1|CPIP	LOC108032733|XP_016962206.1|DBIA, LOC108030945|XP_016959633.1|DBIA, LOC108032682|XP_016962150.1|DBIA
OG0001230	LOC120422782|XP_039442254.1|CPIP	LOC108036481|XP_016968151.1|DBIA
OG0001231	LOC120419802|XP_039438571.1|CPIP	LOC108030491|XP_016958866.1|DBIA
OG0001233	LOC120419669|XP_039438368.1|CPIP	LOC108033321|XP_016963089.1|DBIA
OG0001234	LOC120414574|XP_039431745.1|CPIP	LOC108036538|XP_016968251.1|DBIA
OG0001235	LOC120417314|XP_039435211.1|CPIP, LOC120431742|XP_039452801.1|CPIP, LOC120431749|XP_039452807.1|CPIP, LOC120431747|XP_039452806.1|CPIP, LOC120417299|XP_039435183.1|CPIP, LOC120417300|XP_039435184.1|CPIP	LOC108029136|XP_016956748.1|DBIA
OG0001236	LOC120423226|XP_039442868.1|CPIP	LOC108028394|XP_016955696.1|DBIA, LOC108028398|XP_016955699.1|DBIA, LOC108028399|XP_016955703.1|DBIA
OG0001237	LOC120414317|XP_039431388.1|CPIP	LOC108034531|XP_016964946.1|DBIA, LOC108031349|XP_016960103.1|DBIA
OG0001238	LOC120426763|XP_039447471.1|CPIP	LOC108025285|XP_016951151.1|DBIA
OG0001239	LOC120431768|XP_039452820.1|CPIP, LOC120432400|XP_039453530.1|CPIP	LOC108031735|XP_016960906.1|DBIA
OG0001240	LOC120421246|XP_039440381.1|CPIP, LOC120420595|XP_039439605.1|CPIP, LOC120421250|XP_039440383.1|CPIP	LOC108025555|XP_016951578.1|DBIA
OG0001241	LOC120417870|XP_039436024.1|CPIP	LOC108022337|XP_016946688.1|DBIA
OG0001242	LOC120425656|XP_039446171.1|CPIP	LOC108028561|XP_016955956.1|DBIA, LOC108025769|XP_016951855.1|DBIA
OG0001244	LOC120421573|XP_039440738.1|CPIP, LOC120421830|XP_039441041.1|CPIP	LOC108024371|XP_016949763.1|DBIA
OG0001245	LOC120423077|XP_039442687.1|CPIP, LOC120430091|XP_039451112.1|CPIP, LOC120423090|XP_039442699.1|CPIP, LOC120421067|XP_039440146.1|CPIP, LOC120423067|XP_039442673.1|CPIP, LOC120423076|XP_039442686.1|CPIP	LOC108031044|XP_016959734.1|DBIA
OG0001246	LOC120421869|XP_039441099.1|CPIP, LOC120421861|XP_039441094.1|CPIP, LOC120421865|XP_039441097.1|CPIP	LOC108026538|XP_016952975.1|DBIA
OG0001247	LOC120432576|XP_039453739.1|CPIP	LOC108036882|XP_016968746.1|DBIA
OG0001248	LOC120422204|XP_039441519.1|CPIP	LOC108031009|XP_016959701.1|DBIA
OG0001249	LOC120423895|XP_039443810.1|CPIP	LOC108036325|XP_016967831.1|DBIA
OG0001256	LOC120422406|XP_039441758.1|CPIP	LOC108022371|XP_016946741.1|DBIA
OG0001257	LOC120413281|XP_039429947.1|CPIP	LOC108035914|XP_016967189.1|DBIA
OG0001258	LOC120432334|XP_039453457.1|CPIP	LOC108031944|XP_016961213.1|DBIA
OG0001259	LOC120430956|XP_039452022.1|CPIP, LOC120416739|XP_039434507.1|CPIP	LOC108023590|XP_016948681.1|DBIA
OG0001260	LOC120420175|XP_039439075.1|CPIP, LOC120420182|XP_039439091.1|CPIP	LOC108031595|XP_016960660.1|DBIA
OG0001261	LOC120427227|XP_039448025.1|CPIP	LOC108027609|XP_016954619.1|DBIA
OG0001263	LOC120432642|XP_039453825.1|CPIP	LOC108031993|XP_016961276.1|DBIA
OG0001264	LOC120429252|XP_039450399.1|CPIP, LOC120426464|XP_039447160.1|CPIP	LOC108029105|XP_016956698.1|DBIA
OG0001265	LOC120428458|XP_039449403.1|CPIP	LOC108023490|XP_016948503.1|DBIA
OG0001266	LOC120417192|XP_039435093.1|CPIP	LOC108026878|XP_016953559.1|DBIA
OG0001267	LOC120424506|XP_039444591.1|CPIP, LOC120426739|XP_039447450.1|CPIP	LOC108031938|XP_016961207.1|DBIA
OG0001269	LOC120429645|XP_039450605.1|CPIP	LOC108022387|XP_016946763.1|DBIA, LOC108030084|XP_016958211.1|DBIA
OG0001270	LOC120425363|XP_039445806.1|CPIP, LOC120431090|XP_039452180.1|CPIP, LOC120430927|XP_039451982.1|CPIP	LOC108027243|XP_016954082.1|DBIA
OG0001271	LOC120430259|XP_039451279.1|CPIP, LOC120419757|XP_039438514.1|CPIP, LOC120419744|XP_039438480.1|CPIP	LOC108022814|XP_016947440.1|DBIA
OG0001272	LOC120424869|XP_039445058.1|CPIP	LOC108035327|XP_016966390.1|DBIA
OG0001273	LOC120429935|XP_039450967.1|CPIP	LOC108024444|XP_016949850.1|DBIA
OG0001274	LOC120418048|XP_039436233.1|CPIP	LOC108028472|XP_016955823.1|DBIA
OG0001276	LOC120413456|XP_039430225.1|CPIP	LOC108035463|XP_016966598.1|DBIA
OG0001277	LOC120424852|XP_039445035.1|CPIP	LOC108034695|XP_016965124.1|DBIA
OG0001278	LOC120419963|XP_039438765.1|CPIP	LOC108034932|XP_016965679.1|DBIA
OG0001279	LOC120419970|XP_039438780.1|CPIP	LOC108028182|XP_016955335.1|DBIA
OG0001280	LOC120431879|XP_039452941.1|CPIP, LOC120414432|XP_039431549.1|CPIP	LOC108029516|XP_016957307.1|DBIA
OG0001281	LOC120421671|XP_039440836.1|CPIP, LOC120421627|XP_039440789.1|CPIP	LOC108035485|XP_016966625.1|DBIA
OG0001282	LOC120429812|XP_039450796.1|CPIP, LOC120425025|XP_039445333.1|CPIP	LOC108027763|XP_016954810.1|DBIA
OG0001283	LOC120427036|XP_039447800.1|CPIP	LOC108036218|XP_016967699.1|DBIA
OG0001284	LOC120414678|XP_039431897.1|CPIP	LOC108027603|XP_016954616.1|DBIA, LOC108027594|XP_016954604.1|DBIA
OG0001285	LOC120429106|XP_039450203.1|CPIP, LOC120414724|XP_039431961.1|CPIP	LOC108030815|XP_016959408.1|DBIA
OG0001286	LOC120429762|XP_039450749.1|CPIP	LOC108034295|XP_016964646.1|DBIA
OG0001287	LOC120426934|XP_039447680.1|CPIP, LOC120426947|XP_039447703.1|CPIP, LOC120426556|XP_039447257.1|CPIP	LOC108032255|XP_016961608.1|DBIA
OG0001288	LOC120420968|XP_039440035.1|CPIP	LOC108029194|XP_016956859.1|DBIA
OG0001289	LOC120418705|XP_039437108.1|CPIP, LOC120418706|XP_039437109.1|CPIP	LOC108033279|XP_016963034.1|DBIA
OG0001290	LOC120429839|XP_039450837.1|CPIP, LOC120429074|XP_039450161.1|CPIP	LOC108028949|XP_016956458.1|DBIA
OG0001291	LOC120414339|XP_039431425.1|CPIP	LOC108026738|XP_016953347.1|DBIA
OG0001292	LOC120423698|XP_039443534.1|CPIP, LOC120423701|XP_039443537.1|CPIP	LOC108036368|XP_016967939.1|DBIA
OG0001293	LOC120414358|XP_039431455.1|CPIP	LOC108021971|XP_016946297.1|DBIA
OG0001294	LOC120426999|XP_039447750.1|CPIP	LOC108034648|XP_016965076.1|DBIA, LOC108024763|XP_016950365.1|DBIA
OG0001295	LOC120431459|XP_039452510.1|CPIP	LOC108033190|XP_016962921.1|DBIA
OG0001296	LOC120419233|XP_039437826.1|CPIP	LOC108030486|XP_016958856.1|DBIA
OG0001297	LOC120423588|XP_039443387.1|CPIP	LOC108031742|XP_016960926.1|DBIA
OG0001298	LOC120417916|XP_039436086.1|CPIP, LOC120416955|XP_039434793.1|CPIP	LOC108027437|XP_016954374.1|DBIA
OG0001299	LOC120422007|XP_039441255.1|CPIP, LOC120432174|XP_039453246.1|CPIP	LOC108035390|XP_016966491.1|DBIA
OG0001300	LOC120415419|XP_039432887.1|CPIP	LOC108024842|XP_016950469.1|DBIA
OG0001301	LOC120423370|XP_039443087.1|CPIP, LOC120423371|XP_039443088.1|CPIP	LOC108033378|XP_016963187.1|DBIA
OG0001302	LOC120417543|XP_039435559.1|CPIP	LOC108029755|XP_016957741.1|DBIA
OG0001303	LOC120425865|XP_039446421.1|CPIP	LOC108025344|XP_016951277.1|DBIA
OG0001304	LOC120417898|XP_039436053.1|CPIP	LOC108030192|XP_016958433.1|DBIA
OG0001305	LOC120427519|XP_039448316.1|CPIP	LOC108027314|XP_016954198.1|DBIA
OG0001306	LOC120423281|XP_039442982.1|CPIP	LOC108025565|XP_016951585.1|DBIA
OG0001307	LOC120414405|XP_039431518.1|CPIP	LOC108028380|XP_016955665.1|DBIA
OG0001308	LOC120414403|XP_039431514.1|CPIP	LOC108023519|XP_016948555.1|DBIA
OG0001309	LOC120414020|XP_039430971.1|CPIP, LOC120414000|XP_039430943.1|CPIP	LOC108024074|XP_016949338.1|DBIA
OG0001311	LOC120417566|XP_039435594.1|CPIP, LOC120420210|XP_039439128.1|CPIP	LOC108035769|XP_016966962.1|DBIA
OG0001312	LOC120431895|XP_039452958.1|CPIP, LOC120424481|XP_039444557.1|CPIP	LOC108028630|XP_016956040.1|DBIA
OG0001313	LOC120416827|XP_039434648.1|CPIP	LOC108022998|XP_016947718.1|DBIA
OG0001314	LOC120418103|XP_039436307.1|CPIP, LOC120431543|XP_039452585.1|CPIP, LOC120431629|XP_039452672.1|CPIP, LOC120423143|XP_039442759.1|CPIP, LOC120414582|XP_039431751.1|CPIP, LOC120412578|XP_039429022.1|CPIP, LOC120416026|XP_039433621.1|CPIP, LOC120412415|XP_039428812.1|CPIP, LOC120421472|XP_039440623.1|CPIP	LOC108032664|XP_016962113.1|DBIA
OG0001315	LOC120420411|XP_039439364.1|CPIP	LOC108023281|XP_016948062.1|DBIA
OG0001322	LOC120426837|XP_039447560.1|CPIP	LOC108026027|XP_016952207.1|DBIA, LOC108032866|XP_016962355.1|DBIA
OG0001326	LOC120417038|XP_039434922.1|CPIP, LOC120419278|XP_039437878.1|CPIP, LOC120420268|XP_039439201.1|CPIP	LOC108025465|XP_016951456.1|DBIA
OG0001328	LOC120414973|XP_039432241.1|CPIP, LOC120421074|XP_039440154.1|CPIP	LOC108025909|XP_016952082.1|DBIA
OG0001329	LOC120425636|XP_039446157.1|CPIP, LOC120417782|XP_039435872.1|CPIP	LOC108036877|XP_016968742.1|DBIA, LOC108024037|XP_016949300.1|DBIA
OG0001330	LOC120422463|XP_039441846.1|CPIP	LOC108023908|XP_016949082.1|DBIA
OG0001331	LOC120417708|XP_039435788.1|CPIP, LOC120417710|XP_039435793.1|CPIP	LOC108023215|XP_016947974.1|DBIA
OG0001332	LOC120413145|XP_039429789.1|CPIP, LOC120412616|XP_039429104.1|CPIP	LOC108033169|XP_016962891.1|DBIA
OG0001333	LOC120417034|XP_039434912.1|CPIP, LOC120417028|XP_039434904.1|CPIP	LOC108035042|XP_016965903.1|DBIA
OG0001334	LOC120414158|XP_039431133.1|CPIP, LOC120414159|XP_039431134.1|CPIP	LOC108025452|XP_016951441.1|DBIA
OG0001335	LOC120425484|XP_039445962.1|CPIP, LOC120425483|XP_039445956.1|CPIP	LOC108031918|XP_016961179.1|DBIA
OG0001337	LOC120432047|XP_039453113.1|CPIP, LOC120427370|XP_039448159.1|CPIP	LOC108033081|XP_016962740.1|DBIA
OG0001338	LOC120428736|XP_039449746.1|CPIP	LOC108022971|XP_016947685.1|DBIA
OG0001339	LOC120424190|XP_039444183.1|CPIP	LOC108022704|XP_016947267.1|DBIA
OG0001340	LOC120425159|XP_039445523.1|CPIP, LOC120431992|XP_039453061.1|CPIP	LOC108036873|XP_016968739.1|DBIA, LOC108026757|XP_016953746.1|DBIA
OG0001341	LOC120431639|XP_039452681.1|CPIP	LOC108031650|XP_016960769.1|DBIA
OG0001343	LOC120430149|XP_039451167.1|CPIP	LOC108027128|XP_016953836.1|DBIA
OG0001344	LOC120422010|XP_039441262.1|CPIP, LOC120422024|XP_039441280.1|CPIP	LOC108025403|XP_016951368.1|DBIA
OG0001345	LOC120428740|XP_039449749.1|CPIP, LOC120427177|XP_039447971.1|CPIP	LOC108032178|XP_016961522.1|DBIA
OG0001346	LOC120428013|XP_039448918.1|CPIP	LOC108032145|XP_016961475.1|DBIA
OG0001347	LOC120425439|XP_039445903.1|CPIP	LOC108028892|XP_016956402.1|DBIA
OG0001348	LOC120413504|XP_039430294.1|CPIP	LOC108033074|XP_016962732.1|DBIA
OG0001349	LOC120424374|XP_039444404.1|CPIP	LOC108035499|XP_016966642.1|DBIA
OG0001350	LOC120426570|XP_039447290.1|CPIP	LOC108028082|XP_016955213.1|DBIA
OG0001351	LOC120426287|XP_039446974.1|CPIP	LOC108036383|XP_016967976.1|DBIA, LOC108036382|XP_016967974.1|DBIA
OG0001352	LOC120418886|XP_039437353.1|CPIP	LOC108024268|XP_016949643.1|DBIA
OG0001353	LOC120419585|XP_039438249.1|CPIP, LOC120426756|XP_039447465.1|CPIP, LOC120430442|XP_039451492.1|CPIP	LOC108030668|XP_016959184.1|DBIA
OG0001354	LOC120432105|XP_039453172.1|CPIP, LOC120427034|XP_039447795.1|CPIP	LOC108022880|XP_016947563.1|DBIA
OG0001355	LOC120418490|XP_039436861.1|CPIP	LOC108026526|XP_016952962.1|DBIA
OG0001356	LOC120429155|XP_039450297.1|CPIP, LOC120420068|XP_039438925.1|CPIP	LOC108024819|XP_016950435.1|DBIA
OG0001357	LOC120418023|XP_039436200.1|CPIP	LOC108034830|XP_016965431.1|DBIA
OG0001358	LOC120418025|XP_039436203.1|CPIP	LOC108035907|XP_016967162.1|DBIA
OG0001359	LOC120414639|XP_039431804.1|CPIP, LOC120414627|XP_039431795.1|CPIP	LOC108033712|XP_016963734.1|DBIA
OG0001360	LOC120426786|XP_039447497.1|CPIP	LOC108036679|XP_016968450.1|DBIA
OG0001361	LOC120419996|XP_039438820.1|CPIP, LOC120419994|XP_039438816.1|CPIP	LOC108034812|XP_016965346.1|DBIA
OG0001362	LOC120419965|XP_039438769.1|CPIP	LOC108034934|XP_016965687.1|DBIA
OG0001363	LOC120432172|XP_039453243.1|CPIP, LOC120414130|XP_039431095.1|CPIP	LOC108031082|XP_016959777.1|DBIA
OG0001364	LOC120417618|XP_039435666.1|CPIP, LOC120418691|XP_039437089.1|CPIP	LOC108022533|XP_016946999.1|DBIA
OG0001365	LOC120426785|XP_039447496.1|CPIP	LOC108034748|XP_016965185.1|DBIA
OG0001367	LOC120422283|XP_039441604.1|CPIP, LOC120423782|XP_039443634.1|CPIP	LOC108026756|XP_016953376.1|DBIA
OG0001368	LOC120424976|XP_039445266.1|CPIP	LOC108036545|XP_016968261.1|DBIA
OG0001369	LOC120429806|XP_039450790.1|CPIP, LOC120432065|XP_039453130.1|CPIP	LOC108024049|XP_016949315.1|DBIA, LOC108032955|XP_016962515.1|DBIA
OG0001373	LOC120422191|XP_039441506.1|CPIP, LOC120426638|XP_039447361.1|CPIP	LOC108034327|XP_016964692.1|DBIA
OG0001374	LOC120414669|XP_039431880.1|CPIP	LOC108036560|XP_016968288.1|DBIA
OG0001375	LOC120428430|XP_039449375.1|CPIP	LOC108032923|XP_016962479.1|DBIA
OG0001376	LOC120430180|XP_039451195.1|CPIP, LOC120430185|XP_039451199.1|CPIP	LOC108022765|XP_016947359.1|DBIA
OG0001377	LOC120424094|XP_039444041.1|CPIP	LOC108036743|XP_016968541.1|DBIA
OG0001378	LOC120416104|XP_039433721.1|CPIP, LOC120430328|XP_039451362.1|CPIP	LOC108034355|XP_016964730.1|DBIA
OG0001380	LOC120419386|XP_039437994.1|CPIP	LOC108021916|XP_016946230.1|DBIA
OG0001381	LOC120430020|XP_039451049.1|CPIP	LOC108036409|XP_016968017.1|DBIA
OG0001382	LOC120420085|XP_039438952.1|CPIP	LOC108027664|XP_016954692.1|DBIA
OG0001383	LOC120416800|XP_039434611.1|CPIP	LOC108029956|XP_016957948.1|DBIA
OG0001384	LOC120415581|XP_039433100.1|CPIP	LOC108034260|XP_016964606.1|DBIA
OG0001385	LOC120421152|XP_039440276.1|CPIP	LOC108032601|XP_016962017.1|DBIA
OG0001387	LOC120413881|XP_039430789.1|CPIP, LOC120413875|XP_039430781.1|CPIP	LOC108033768|XP_016963853.1|DBIA
OG0001388	LOC120425170|XP_039445537.1|CPIP, LOC120425176|XP_039445544.1|CPIP, LOC120421428|XP_039440573.1|CPIP, LOC120431693|XP_039452741.1|CPIP	LOC108034870|XP_016965552.1|DBIA
OG0001389	LOC120420640|XP_039439652.1|CPIP, LOC120420638|XP_039439650.1|CPIP	LOC108024847|XP_016950474.1|DBIA
OG0001390	LOC120415004|XP_039432300.1|CPIP	LOC108027927|XP_016955040.1|DBIA
OG0001391	LOC120430393|XP_039451430.1|CPIP	LOC108034060|XP_016964304.1|DBIA
OG0001392	LOC120420020|XP_039438855.1|CPIP, LOC120422249|XP_039441575.1|CPIP	LOC108025824|XP_016951965.1|DBIA
OG0001393	LOC120424012|XP_039443960.1|CPIP, LOC120419715|XP_039438436.1|CPIP	LOC108033877|XP_016964009.1|DBIA
OG0001394	LOC120428108|XP_039449024.1|CPIP, LOC120424757|XP_039444886.1|CPIP, LOC120414228|XP_039431273.1|CPIP	LOC108034091|XP_016964347.1|DBIA
OG0001395	LOC120413792|XP_039430676.1|CPIP	LOC108031900|XP_016961156.1|DBIA
OG0001396	LOC120431719|XP_039452778.1|CPIP, LOC120430877|XP_039451940.1|CPIP	LOC108033160|XP_016962878.1|DBIA
OG0001397	LOC120428561|XP_039449523.1|CPIP, LOC120419349|XP_039437953.1|CPIP	LOC108024805|XP_016950416.1|DBIA
OG0001399	LOC120419438|XP_039438053.1|CPIP	LOC108036172|XP_016967651.1|DBIA, LOC108031518|XP_016960529.1|DBIA, LOC108023802|XP_016948932.1|DBIA
OG0001400	LOC120425035|XP_039445341.1|CPIP	LOC108025330|XP_016951250.1|DBIA
OG0001401	LOC120425805|XP_039446352.1|CPIP, LOC120415856|XP_039433426.1|CPIP, LOC120427931|XP_039448806.1|CPIP	LOC108028071|XP_016955201.1|DBIA
OG0001402	LOC120415247|XP_039432645.1|CPIP	LOC108030562|XP_016958948.1|DBIA, LOC108030557|XP_016958941.1|DBIA
OG0001403	LOC120424476|XP_039444545.1|CPIP, LOC120424467|XP_039444535.1|CPIP	LOC108030889|XP_016959549.1|DBIA
OG0001404	LOC120430840|XP_039451900.1|CPIP	LOC108029630|XP_016957513.1|DBIA
OG0001405	LOC120415443|XP_039432925.1|CPIP	LOC108036246|XP_016967744.1|DBIA
OG0001406	LOC120421840|XP_039441057.1|CPIP	LOC108023250|XP_016948019.1|DBIA
OG0001407	LOC120422728|XP_039442189.1|CPIP	LOC108034567|XP_016964987.1|DBIA
OG0001408	LOC120431839|XP_039452902.1|CPIP, LOC120430296|XP_039451329.1|CPIP	LOC108029903|XP_016957882.1|DBIA
OG0001429	LOC120432323|XP_039453441.1|CPIP, LOC120432295|XP_039453415.1|CPIP	LOC108031807|XP_016961018.1|DBIA
OG0001430	LOC120415056|XP_039432371.1|CPIP	LOC108031463|XP_016960391.1|DBIA
OG0001431	LOC120428470|XP_039449419.1|CPIP	LOC108023671|XP_016948782.1|DBIA, LOC108023178|XP_016947909.1|DBIA
OG0001432	LOC120430880|XP_039451943.1|CPIP	LOC108033178|XP_016962905.1|DBIA
OG0001433	LOC120432018|XP_039453088.1|CPIP, LOC120430544|XP_039451593.1|CPIP	LOC108031974|XP_016961257.1|DBIA
OG0001434	LOC120418114|XP_039436322.1|CPIP	LOC108025717|XP_016951762.1|DBIA
OG0001435	LOC120420122|XP_039439005.1|CPIP, LOC120414716|XP_039431956.1|CPIP, LOC120424307|XP_039444326.1|CPIP	LOC108029506|XP_016957279.1|DBIA
OG0001436	LOC120420231|XP_039439154.1|CPIP	LOC108023619|XP_016948719.1|DBIA
OG0001437	LOC120417714|XP_039435800.1|CPIP	LOC108036048|XP_016967479.1|DBIA
OG0001438	LOC120414175|XP_039431182.1|CPIP	LOC108024655|XP_016950203.1|DBIA
