Orthogroup	CPIP.longest_only	DBUS.longest_only
OG0002206	LOC120431088|XP_039452178.1|CPIP, LOC120430929|XP_039451983.1|CPIP	LOC108602176|XP_017845702.1|DBUS
OG0002207	LOC120414299|XP_039431367.1|CPIP	LOC108604660|XP_017849701.2|DBUS
OG0002208	LOC120426162|XP_039446814.1|CPIP	LOC108603306|XP_017847476.1|DBUS
OG0002209	LOC120424682|XP_039444792.1|CPIP, LOC120424624|XP_039444723.1|CPIP	LOC108605670|XP_017850951.1|DBUS
OG0002210	LOC120424666|XP_039444773.1|CPIP, LOC120424615|XP_039444710.1|CPIP	LOC108603040|XP_017846947.1|DBUS
OG0002211	LOC120424634|XP_039444734.1|CPIP	LOC108603206|XP_017847280.1|DBUS
OG0002212	LOC120421021|XP_039440078.1|CPIP	LOC108602997|XP_017846881.1|DBUS
OG0002213	LOC120424610|XP_039444704.1|CPIP	LOC108606120|XP_033150360.1|DBUS, LOC108603368|XP_017847620.1|DBUS
OG0002214	LOC120417090|XP_039435002.1|CPIP	LOC108602664|XP_017846300.1|DBUS
OG0002215	LOC120422123|XP_039441427.1|CPIP	LOC108603279|XP_033150047.1|DBUS
OG0002216	LOC120422564|XP_039441984.1|CPIP, LOC120426174|XP_039446824.1|CPIP	LOC108596455|XP_017837691.1|DBUS
OG0002217	LOC120425369|XP_039445812.1|CPIP	LOC108603461|XP_017847783.1|DBUS
OG0002218	LOC120427415|XP_039448216.1|CPIP	LOC108606960|XP_017853009.1|DBUS
OG0002219	LOC120425436|XP_039445901.1|CPIP	LOC108604765|XP_017849848.1|DBUS
OG0002220	LOC120425434|XP_039445899.1|CPIP	LOC108601387|XP_017844776.1|DBUS
OG0002221	LOC120428082|XP_039448995.1|CPIP	LOC108598063|XP_033149585.1|DBUS
OG0002222	LOC120428079|XP_039448990.1|CPIP	LOC108595387|XP_017836102.1|DBUS
OG0002224	LOC120430981|XP_039452053.1|CPIP	LOC108596318|XP_017837424.1|DBUS
OG0002225	LOC120423006|XP_039442563.1|CPIP, LOC120423028|XP_039442603.1|CPIP	LOC108600897|XP_017844210.1|DBUS
OG0002226	LOC120422859|XP_039442342.1|CPIP, LOC120425224|XP_039445589.1|CPIP	LOC108596252|XP_017837294.1|DBUS
OG0002227	LOC120417793|XP_039435896.1|CPIP	LOC108596494|XP_033149116.1|DBUS
OG0002228	LOC120422874|XP_039442355.1|CPIP	LOC108597535|XP_017839624.1|DBUS, LOC108605881|XP_017851186.2|DBUS
OG0002229	LOC120422876|XP_039442369.1|CPIP	LOC108597171|XP_017839074.1|DBUS
OG0002230	LOC120422845|XP_039442323.1|CPIP	LOC108597390|XP_017839413.1|DBUS
OG0002231	LOC120419763|XP_039438524.1|CPIP, LOC120427223|XP_039448024.1|CPIP	LOC108597713|XP_017839891.1|DBUS
OG0002232	LOC120417389|XP_039435342.1|CPIP, LOC120417390|XP_039435345.1|CPIP	LOC108597132|XP_017839006.1|DBUS
OG0002233	LOC120424797|XP_039444943.1|CPIP, LOC120424803|XP_039444951.1|CPIP	LOC108600814|XP_017844089.1|DBUS
OG0002235	LOC120422922|XP_039442430.1|CPIP	LOC108596646|XP_017838110.1|DBUS
OG0002236	LOC120427083|XP_039447862.1|CPIP	LOC108596047|XP_017836922.1|DBUS
OG0002237	LOC120425904|XP_039446461.1|CPIP	LOC108596076|XP_017836978.1|DBUS
OG0002238	LOC120423496|XP_039443270.1|CPIP	LOC108596892|XP_017838566.1|DBUS
OG0002239	LOC120422883|XP_039442377.1|CPIP	LOC108596947|XP_017838675.1|DBUS
OG0002240	LOC120426030|XP_039446645.1|CPIP	LOC108596447|XP_017837680.1|DBUS
OG0002241	LOC120425351|XP_039445787.1|CPIP, LOC120429623|XP_039450587.1|CPIP	LOC108600708|XP_017843927.1|DBUS
OG0002243	LOC120420561|XP_039439563.1|CPIP	LOC108603300|XP_017847466.1|DBUS
OG0002244	LOC120420568|XP_039439580.1|CPIP	LOC108600572|XP_017843730.2|DBUS
OG0002245	LOC120430538|XP_039451586.1|CPIP, LOC120431293|XP_039452369.1|CPIP, LOC120422431|XP_039441782.1|CPIP	LOC108599828|XP_017842424.1|DBUS
OG0002246	LOC120415738|XP_039433273.1|CPIP	LOC108597526|XP_017839612.1|DBUS
OG0002247	LOC120424882|XP_039445080.1|CPIP	LOC108597335|XP_017839321.1|DBUS
OG0002248	LOC120424795|XP_039444940.1|CPIP	LOC108600577|XP_017843735.2|DBUS
OG0002249	LOC120429924|XP_039450955.1|CPIP	LOC108598563|XP_017840736.1|DBUS
OG0002250	LOC120420700|XP_039439731.1|CPIP	LOC108594857|XP_017835485.1|DBUS
OG0002251	LOC120420698|XP_039439726.1|CPIP	LOC108594793|XP_033148901.1|DBUS
OG0002252	LOC120417416|XP_039435393.1|CPIP, LOC120430669|XP_039451704.1|CPIP	LOC108597349|XP_017839345.1|DBUS
OG0002253	LOC120417420|XP_039435397.1|CPIP, LOC120431078|XP_039452164.1|CPIP	LOC108597637|XP_017839770.1|DBUS
OG0002254	LOC120420684|XP_039439713.1|CPIP	LOC108602655|XP_017846290.1|DBUS
OG0002255	LOC120426800|XP_039447515.1|CPIP	LOC108606742|XP_017852629.1|DBUS
OG0002256	LOC120421528|XP_039440681.1|CPIP	LOC108596980|XP_017838725.1|DBUS
OG0002257	LOC120420092|XP_039438958.1|CPIP	LOC108597752|XP_017839950.1|DBUS
OG0002258	LOC120413191|XP_039429838.1|CPIP	LOC108600398|XP_017843435.1|DBUS
OG0002259	LOC120413269|XP_039429932.1|CPIP, LOC120413262|XP_039429924.1|CPIP	LOC108606369|XP_017851906.1|DBUS
OG0002260	LOC120413256|XP_039429919.1|CPIP	LOC108600387|XP_017843422.1|DBUS
OG0002261	LOC120413231|XP_039429894.1|CPIP	LOC108598994|XP_017841258.1|DBUS
OG0002263	LOC120424834|XP_039444997.1|CPIP	LOC108600256|XP_017843183.1|DBUS
OG0002264	LOC120420087|XP_039438951.1|CPIP	LOC108595084|XP_017835724.1|DBUS
OG0002265	LOC120432434|XP_039453586.1|CPIP	LOC108598928|XP_017843961.1|DBUS
OG0002266	LOC120418016|XP_039436191.1|CPIP	LOC117134994|XP_033150599.1|DBUS, LOC117134995|XP_033150600.1|DBUS
OG0002267	LOC120418934|XP_039437405.1|CPIP	LOC108601089|XP_033149589.1|DBUS
OG0002268	LOC120418918|XP_039437383.1|CPIP	LOC108598844|XP_017841087.1|DBUS
OG0002269	LOC120414641|XP_039431811.1|CPIP, LOC120420157|XP_039439057.1|CPIP	LOC108597393|XP_017839418.1|DBUS
OG0002270	LOC120427423|XP_039448217.1|CPIP, LOC120428825|XP_039449866.1|CPIP	LOC108597202|XP_017839129.1|DBUS
OG0002271	LOC120416566|XP_039434232.1|CPIP	LOC108599179|XP_017841456.1|DBUS
OG0002272	LOC120430341|XP_039451378.1|CPIP	LOC108598172|XP_033149555.1|DBUS
OG0002273	LOC120424315|XP_039444333.1|CPIP	LOC108599877|XP_017842522.1|DBUS
OG0002274	LOC120424318|XP_039444343.1|CPIP	LOC108598341|XP_033149723.1|DBUS
OG0002275	LOC120414431|XP_039431548.1|CPIP	LOC108601019|XP_017844382.1|DBUS
OG0002276	LOC120417610|XP_039435653.1|CPIP	LOC108599841|XP_017842450.2|DBUS
OG0002277	LOC120426777|XP_039447484.1|CPIP	LOC108598739|XP_033150626.1|DBUS
OG0002278	LOC120413394|XP_039430126.1|CPIP	LOC108597888|XP_017839995.1|DBUS
OG0002279	LOC120413424|XP_039430170.1|CPIP	LOC108600073|XP_017842918.1|DBUS
OG0002280	LOC120413392|XP_039430124.1|CPIP	LOC108600141|XP_017843023.2|DBUS
OG0002281	LOC120420039|XP_039438873.1|CPIP	LOC108600021|XP_017842828.1|DBUS
OG0002282	LOC120425134|XP_039445494.1|CPIP	LOC108599639|XP_017842100.1|DBUS
OG0002283	LOC120423762|XP_039443609.1|CPIP, LOC120423759|XP_039443608.1|CPIP	LOC117134718|XP_033149189.1|DBUS
OG0002284	LOC120423775|XP_039443628.1|CPIP	LOC108595577|XP_017836327.1|DBUS
OG0002285	LOC120420921|XP_039439982.1|CPIP, LOC120420914|XP_039439973.1|CPIP	LOC108605938|XP_017851248.1|DBUS
OG0002286	LOC120412637|XP_039429125.1|CPIP	LOC108597606|XP_017839732.1|DBUS
OG0002287	LOC120431346|XP_039452412.1|CPIP, LOC120427734|XP_039448576.1|CPIP, LOC120425689|XP_039446207.1|CPIP	LOC108597429|XP_017839473.1|DBUS
OG0002288	LOC120427730|XP_039448567.1|CPIP	LOC108599178|XP_017841454.1|DBUS
OG0002289	LOC120415802|XP_039433361.1|CPIP	LOC108598865|XP_017841112.1|DBUS
OG0002290	LOC120426546|XP_039447250.1|CPIP, LOC120426350|XP_039447046.1|CPIP	LOC108594425|XP_017835088.2|DBUS, LOC117135025|XP_033150725.1|DBUS
OG0002291	LOC120417473|XP_039435481.1|CPIP	LOC108595545|XP_033149021.1|DBUS
OG0002292	LOC120429716|XP_039450692.1|CPIP	LOC108597312|XP_017839287.1|DBUS
OG0002293	LOC120421396|XP_039440531.1|CPIP	LOC108596515|XP_017837846.1|DBUS
OG0002294	LOC120431185|XP_039452261.1|CPIP	LOC108604456|XP_017849425.1|DBUS
OG0002296	LOC120431809|XP_039452861.1|CPIP	LOC108607595|XP_017851272.2|DBUS
OG0002297	LOC120428723|XP_039449730.1|CPIP	LOC108603180|XP_017847227.1|DBUS
OG0002298	LOC120425452|XP_039445918.1|CPIP	LOC108596773|XP_017838361.1|DBUS
OG0002299	LOC120425451|XP_039445917.1|CPIP	LOC108595725|XP_017836496.1|DBUS
OG0002300	LOC120422193|XP_039441508.1|CPIP	LOC108600064|XP_017842909.1|DBUS
OG0002301	LOC120414667|XP_039431876.1|CPIP	LOC108607442|XP_017853762.2|DBUS
OG0002302	LOC120426537|XP_039447237.1|CPIP, LOC120426346|XP_039447041.1|CPIP	LOC108608099|XP_017854794.1|DBUS
OG0002303	LOC120417163|XP_039435078.1|CPIP	LOC108605492|XP_017850726.1|DBUS
OG0002304	LOC120422787|XP_039442259.1|CPIP	LOC108594417|XP_017835075.2|DBUS
OG0002305	LOC120428091|XP_039449009.1|CPIP	LOC108601003|XP_017844357.1|DBUS
OG0002306	LOC120425855|XP_039446412.1|CPIP	LOC108594502|XP_017835190.2|DBUS
OG0002307	LOC120428131|XP_039449048.1|CPIP	LOC108604272|XP_033149867.1|DBUS
OG0002308	LOC120413536|XP_039430344.1|CPIP	LOC108608092|XP_033149028.1|DBUS
OG0002309	LOC120413609|XP_039430447.1|CPIP	LOC108603479|XP_017847820.1|DBUS
OG0002310	LOC120413615|XP_039430454.1|CPIP	LOC108594511|XP_033150958.1|DBUS
OG0002311	LOC120416326|XP_039433984.1|CPIP	LOC108607860|XP_017854432.1|DBUS
OG0002312	LOC120424906|XP_039445132.1|CPIP	LOC108594527|XP_017835219.2|DBUS
OG0002313	LOC120413117|XP_039429760.1|CPIP	LOC108596616|XP_017838048.1|DBUS
OG0002314	LOC120413143|XP_039429785.1|CPIP	LOC108595384|XP_017836098.1|DBUS
OG0002315	LOC120413127|XP_039429766.1|CPIP, LOC120431577|XP_039452623.1|CPIP	LOC108596794|XP_033150903.1|DBUS
OG0002316	LOC120416329|XP_039433993.1|CPIP	LOC108602477|XP_017846093.1|DBUS
OG0002317	LOC120413106|XP_039429746.1|CPIP	LOC108600900|XP_017844214.1|DBUS
OG0002318	LOC120431698|XP_039452747.1|CPIP, LOC120424106|XP_039444050.1|CPIP	LOC108607814|XP_017854351.1|DBUS
OG0002319	LOC120428535|XP_039449501.1|CPIP	LOC108607599|XP_017853991.1|DBUS
OG0002320	LOC120418944|XP_039437416.1|CPIP	LOC108597643|XP_017839781.1|DBUS
OG0002321	LOC120414767|XP_039432014.1|CPIP	LOC108595228|XP_017835912.1|DBUS, LOC108597895|XP_033150610.1|DBUS
OG0002322	LOC120428054|XP_039448951.1|CPIP	LOC108608478|XP_017855359.1|DBUS
OG0002323	LOC120424360|XP_039444389.1|CPIP	LOC108607505|XP_017853857.1|DBUS
OG0002324	LOC120420799|XP_039439851.1|CPIP	LOC108601005|XP_017844360.1|DBUS
OG0002325	LOC120420805|XP_039439860.1|CPIP	LOC108600301|XP_017843275.1|DBUS
OG0002326	LOC120420810|XP_039439865.1|CPIP	LOC108600663|XP_017843848.1|DBUS
OG0002327	LOC120420797|XP_039439843.1|CPIP	LOC108603572|XP_017847979.1|DBUS
OG0002328	LOC120426846|XP_039447568.1|CPIP	LOC108596495|XP_017837810.1|DBUS
OG0002329	LOC120420602|XP_039439614.1|CPIP	LOC108607634|XP_017854047.1|DBUS, LOC108607632|XP_017854045.1|DBUS
OG0002330	LOC120420151|XP_039439051.1|CPIP	LOC108607637|XP_017854049.1|DBUS
OG0002331	LOC120420046|XP_039438891.1|CPIP	LOC108606419|XP_017852004.1|DBUS
OG0002332	LOC120428257|XP_039449185.1|CPIP	LOC108600051|XP_017842887.1|DBUS
OG0002333	LOC120431110|XP_039452197.1|CPIP	LOC108595684|XP_017836454.1|DBUS
OG0002334	LOC120428324|XP_039449255.1|CPIP	LOC108596792|XP_017838388.1|DBUS
OG0002335	LOC120425202|XP_039445567.1|CPIP, LOC120418964|XP_039437443.1|CPIP	LOC108595361|XP_017836074.1|DBUS
OG0002336	LOC120423645|XP_039443452.1|CPIP	LOC108600317|XP_017843304.1|DBUS
OG0002337	LOC120423129|XP_039442742.1|CPIP	LOC108596348|XP_017837492.1|DBUS
OG0002338	LOC120420900|XP_039439956.1|CPIP	LOC108594452|XP_017835116.1|DBUS
OG0002339	LOC120419774|XP_039438542.1|CPIP, LOC120415198|XP_039432590.1|CPIP	LOC108608445|XP_017855310.1|DBUS
OG0002340	LOC120424350|XP_039444376.1|CPIP	LOC108598668|XP_033150831.1|DBUS
OG0002341	LOC120421110|XP_039440203.1|CPIP	LOC108595340|XP_017836050.1|DBUS
OG0002342	LOC120421117|XP_039440211.1|CPIP	LOC108608147|XP_017854881.2|DBUS
OG0002343	LOC120415454|XP_039432933.1|CPIP	LOC108607937|XP_017854543.2|DBUS
OG0002344	LOC120415489|XP_039432990.1|CPIP	LOC108599497|XP_017841849.1|DBUS
OG0002345	LOC120415995|XP_039433582.1|CPIP	LOC108596352|XP_017837499.1|DBUS
OG0002346	LOC120416779|XP_039434578.1|CPIP	LOC108594219|XP_017834817.2|DBUS
OG0002347	LOC120416776|XP_039434575.1|CPIP	LOC108597495|XP_017839568.1|DBUS
OG0002348	LOC120416069|XP_039433671.1|CPIP	LOC108607888|XP_017854481.1|DBUS
OG0002349	LOC120426128|XP_039446764.1|CPIP, LOC120427962|XP_039448851.1|CPIP	LOC108596354|XP_017837505.1|DBUS
OG0002350	LOC120427961|XP_039448850.1|CPIP, LOC120426127|XP_039446763.1|CPIP	LOC108596351|XP_017837497.1|DBUS
OG0002351	LOC120419854|XP_039438625.1|CPIP	LOC108595185|XP_017835853.1|DBUS
OG0002352	LOC120427335|XP_039448120.1|CPIP	LOC108597611|XP_017839737.1|DBUS
OG0002353	LOC120419803|XP_039438573.1|CPIP	LOC108594262|XP_033150353.1|DBUS
OG0002354	LOC120416777|XP_039434576.1|CPIP	LOC108608242|XP_017855018.2|DBUS
OG0002355	LOC120424552|XP_039444651.1|CPIP	LOC108594342|XP_033150584.1|DBUS
OG0002356	LOC120412848|XP_039429404.1|CPIP	LOC108608288|XP_017855096.1|DBUS
OG0002357	LOC120412846|XP_039429403.1|CPIP	LOC108604314|XP_017849225.1|DBUS
OG0002358	LOC120415720|XP_039433249.1|CPIP	LOC108603176|XP_017847225.2|DBUS, LOC108598806|XP_017841041.2|DBUS
OG0002359	LOC120427816|XP_039448674.1|CPIP	LOC108606824|XP_017852796.1|DBUS
OG0002360	LOC120415533|XP_039433026.1|CPIP	LOC108607431|XP_017853736.2|DBUS
OG0002361	LOC120415542|XP_039433043.1|CPIP, LOC120421990|XP_039441238.1|CPIP	LOC108600877|XP_017844180.1|DBUS
OG0002362	LOC120417700|XP_039435783.1|CPIP, LOC120412454|XP_039428854.1|CPIP	LOC108607704|XP_017854187.2|DBUS
OG0002363	LOC120423975|XP_039443901.1|CPIP	LOC108607434|XP_017853754.1|DBUS
OG0002364	LOC120423992|XP_039443923.1|CPIP	LOC108607432|XP_017853737.1|DBUS
OG0002365	LOC120423996|XP_039443939.1|CPIP	LOC108601622|XP_017845013.1|DBUS
OG0002366	LOC120412503|XP_039428936.1|CPIP, LOC120418410|XP_039436723.1|CPIP	LOC108607789|XP_017854317.1|DBUS
OG0002367	LOC120421150|XP_039440274.1|CPIP	LOC108607572|XP_017853952.1|DBUS
OG0002368	LOC120419647|XP_039438337.1|CPIP	LOC108594432|XP_017835095.1|DBUS
OG0002370	LOC120415512|XP_039433002.1|CPIP	LOC108600274|XP_033150066.1|DBUS
OG0002371	LOC120415513|XP_039433004.1|CPIP	LOC108596123|XP_017837503.2|DBUS
OG0002372	LOC120417285|XP_039435170.1|CPIP	LOC108607604|XP_017853997.2|DBUS
OG0002373	LOC120419153|XP_039437731.1|CPIP	LOC108596741|XP_017838300.1|DBUS
OG0002374	LOC120429067|XP_039450143.1|CPIP	LOC108602165|XP_017845687.1|DBUS
OG0002375	LOC120416343|XP_039434003.1|CPIP	LOC108604776|XP_017849862.2|DBUS
OG0002376	LOC120414302|XP_039431374.1|CPIP	LOC108608413|XP_017855261.1|DBUS
OG0002377	LOC120414304|XP_039431377.1|CPIP	LOC108603645|XP_017848098.1|DBUS
OG0002378	LOC120426574|XP_039447293.1|CPIP	LOC108600914|XP_017844235.1|DBUS
OG0002379	LOC120425772|XP_039446316.1|CPIP	LOC108598136|XP_017840246.1|DBUS
OG0002380	LOC120424705|XP_039444819.1|CPIP	LOC108606412|XP_017851985.1|DBUS
OG0002381	LOC120432390|XP_039453519.1|CPIP	LOC108595360|XP_017836073.1|DBUS
OG0002382	LOC120426818|XP_039447535.1|CPIP	LOC108607484|XP_033149935.1|DBUS, LOC108606275|XP_017851742.1|DBUS
OG0002383	LOC120426827|XP_039447548.1|CPIP	LOC108601084|XP_017844475.1|DBUS
OG0002384	LOC120418839|XP_039437298.1|CPIP	LOC108605052|XP_017850109.1|DBUS
OG0002386	LOC120419452|XP_039438071.1|CPIP	LOC108601538|XP_033149927.1|DBUS
OG0002387	LOC120417667|XP_039435725.1|CPIP	LOC108603651|XP_017848108.1|DBUS
OG0002388	LOC120426320|XP_039447013.1|CPIP	LOC108604343|XP_017849259.1|DBUS
OG0002389	LOC120425212|XP_039445577.1|CPIP	LOC108601760|XP_017845173.1|DBUS
OG0002390	LOC120421608|XP_039440768.1|CPIP	LOC108600370|XP_017843399.2|DBUS
OG0002391	LOC120416973|XP_039434828.1|CPIP	LOC108597024|XP_017838794.1|DBUS
OG0002392	LOC120419110|XP_039437638.1|CPIP	LOC108598459|XP_017840593.1|DBUS
OG0002393	LOC120432181|XP_039453255.1|CPIP	LOC108599990|XP_017842738.2|DBUS
OG0002394	LOC120432201|XP_039453292.1|CPIP	LOC108602882|XP_017846672.1|DBUS
OG0002395	LOC120432165|XP_039453231.1|CPIP	LOC108604408|XP_017849364.1|DBUS
OG0002396	LOC120413852|XP_039430746.1|CPIP	LOC108596697|XP_017838209.1|DBUS
OG0002397	LOC120419717|XP_039438438.1|CPIP, LOC120424009|XP_039443957.1|CPIP	LOC108595260|XP_017835960.1|DBUS
OG0002398	LOC120416749|XP_039434516.1|CPIP, LOC120427911|XP_039448784.1|CPIP	LOC108607031|XP_017853110.1|DBUS
OG0002399	LOC120427919|XP_039448791.1|CPIP	LOC108597039|XP_017838823.1|DBUS
OG0002400	LOC120417067|XP_039434958.1|CPIP	LOC108595196|XP_017835869.1|DBUS
OG0002401	LOC120417110|XP_039435020.1|CPIP, LOC120415889|XP_039433464.1|CPIP	LOC108607354|XP_017853536.1|DBUS
OG0002402	LOC120417504|XP_039435515.1|CPIP	LOC108604374|XP_017849313.1|DBUS
OG0002403	LOC120417531|XP_039435547.1|CPIP	LOC108601700|XP_017845103.1|DBUS
OG0002404	LOC120417503|XP_039435513.1|CPIP	LOC108603950|XP_017848632.1|DBUS
OG0002405	LOC120421244|XP_039440379.1|CPIP	LOC108603679|XP_017848171.1|DBUS, LOC117134778|XP_033149379.1|DBUS
OG0002406	LOC120417335|XP_039435270.1|CPIP	LOC108600211|XP_017843116.1|DBUS
OG0002407	LOC120413756|XP_039430624.1|CPIP	LOC108601341|XP_017844729.1|DBUS
OG0002408	LOC120413753|XP_039430619.1|CPIP, LOC120413777|XP_039430654.1|CPIP	LOC108603680|XP_017848172.1|DBUS
OG0002410	LOC120413937|XP_039430868.1|CPIP	LOC108604019|XP_017848754.1|DBUS
OG0002411	LOC120413072|XP_039429708.1|CPIP	LOC108602851|XP_017846609.1|DBUS, LOC108601732|XP_017845142.1|DBUS
OG0002412	LOC120413056|XP_039429694.1|CPIP	LOC117134712|XP_033149137.1|DBUS
OG0002414	LOC120413065|XP_039429703.1|CPIP	LOC108605165|XP_017850238.1|DBUS
OG0002415	LOC120413068|XP_039429704.1|CPIP, LOC120423283|XP_039442983.1|CPIP	LOC108603682|XP_017848178.2|DBUS
OG0002417	LOC120417884|XP_039436038.1|CPIP	LOC108594348|XP_017834991.1|DBUS
OG0002418	LOC120432324|XP_039453444.1|CPIP, LOC120417865|XP_039436018.1|CPIP	LOC108603977|XP_017848692.1|DBUS
OG0002419	LOC120419334|XP_039437939.1|CPIP, LOC120421352|XP_039440471.1|CPIP	LOC108607191|XP_017853339.1|DBUS
OG0002420	LOC120414018|XP_039430967.1|CPIP	LOC108599641|XP_017842103.1|DBUS
OG0002421	LOC120425950|XP_039446521.1|CPIP	LOC108601524|XP_017844912.2|DBUS
OG0002422	LOC120425902|XP_039446456.1|CPIP	LOC108602807|XP_017846524.1|DBUS
OG0002423	LOC120423429|XP_039443167.1|CPIP	LOC108605592|XP_017850854.1|DBUS, LOC108601162|XP_017844583.1|DBUS
OG0002425	LOC120422248|XP_039441578.1|CPIP	LOC108607112|XP_017853230.1|DBUS
OG0002426	LOC120418236|XP_039436472.1|CPIP, LOC120422710|XP_039442159.1|CPIP	LOC108598357|XP_017840464.1|DBUS
OG0002427	LOC120418259|XP_039436510.1|CPIP, LOC120422748|XP_039442225.1|CPIP	LOC108607351|XP_017853532.1|DBUS
OG0002428	LOC120431600|XP_039452639.1|CPIP	LOC108606649|XP_017852451.2|DBUS
OG0002429	LOC120427310|XP_039448096.1|CPIP	LOC108600198|XP_017843097.2|DBUS
OG0002430	LOC120423155|XP_039442768.1|CPIP	LOC108597714|XP_017839892.1|DBUS
OG0002431	LOC120419418|XP_039438029.1|CPIP	LOC108595094|XP_017835735.1|DBUS
OG0002432	LOC120419450|XP_039438064.1|CPIP	LOC108605692|XP_017850973.1|DBUS
OG0002433	LOC120430598|XP_039451637.1|CPIP, LOC120424117|XP_039444090.1|CPIP	LOC108603941|XP_017848624.1|DBUS
OG0002434	LOC120421346|XP_039440459.1|CPIP	LOC108597515|XP_017839597.1|DBUS
OG0002435	LOC120427004|XP_039447756.1|CPIP	LOC108605042|XP_033150241.1|DBUS
OG0002436	LOC120419932|XP_039438731.1|CPIP	LOC108597257|XP_017839203.1|DBUS
OG0002437	LOC120420861|XP_039439913.1|CPIP	LOC108596226|XP_017837243.1|DBUS
OG0002438	LOC120429857|XP_039450858.1|CPIP, LOC120432033|XP_039453101.1|CPIP	LOC108605342|XP_033150251.1|DBUS
OG0002439	LOC120428165|XP_039449079.1|CPIP	LOC108608357|XP_017855193.1|DBUS
OG0002440	LOC120422160|XP_039441467.1|CPIP	LOC108598425|XP_017840540.1|DBUS
OG0002441	LOC120427538|XP_039448341.1|CPIP	LOC108596750|XP_017838314.2|DBUS
OG0002442	LOC120418442|XP_039436785.1|CPIP, LOC120416743|XP_039434512.1|CPIP	LOC108597440|XP_017839492.1|DBUS
OG0002443	LOC120424759|XP_039444887.1|CPIP, LOC120414225|XP_039431270.1|CPIP	LOC108596959|XP_017838693.1|DBUS
OG0002444	LOC120414219|XP_039431260.1|CPIP, LOC120424751|XP_039444878.1|CPIP	LOC108597095|XP_017838949.2|DBUS
OG0002446	LOC120417578|XP_039435622.1|CPIP	LOC108596889|XP_017838559.1|DBUS
OG0002447	LOC120415256|XP_039432656.1|CPIP	LOC108598491|XP_033149389.1|DBUS
OG0002448	LOC120429321|XP_039450475.1|CPIP	LOC108595690|XP_017836460.1|DBUS
OG0002449	LOC120415320|XP_039432737.1|CPIP	LOC108595334|XP_017836042.1|DBUS
OG0002450	LOC120424564|XP_039444670.1|CPIP	LOC108603099|XP_017847084.1|DBUS
OG0002451	LOC120424319|XP_039444350.1|CPIP	LOC108595473|XP_017836212.2|DBUS
OG0002452	LOC120418456|XP_039436815.1|CPIP	LOC108595057|XP_017835689.1|DBUS
OG0002453	LOC120418430|XP_039436743.1|CPIP	LOC108596198|XP_017837203.1|DBUS
OG0002454	LOC120420393|XP_039439339.1|CPIP	LOC108599923|XP_017842619.1|DBUS
OG0002455	LOC120420386|XP_039439333.1|CPIP	LOC108599921|XP_017842616.1|DBUS
OG0002456	LOC120416221|XP_039433854.1|CPIP	LOC108594845|XP_033148954.1|DBUS
OG0002457	LOC120414896|XP_039432156.1|CPIP	LOC108597494|XP_017839566.1|DBUS
OG0002458	LOC120427334|XP_039448119.1|CPIP	LOC108608346|XP_017855182.2|DBUS
OG0002459	LOC120427047|XP_039447812.1|CPIP	LOC108597139|XP_017839019.1|DBUS
OG0002460	LOC120425007|XP_039445316.1|CPIP	LOC108596591|XP_017838009.1|DBUS
OG0002461	LOC120425044|XP_039445353.1|CPIP	LOC108597775|XP_017839979.1|DBUS
OG0002462	LOC120428513|XP_039449460.1|CPIP	LOC108596867|XP_017838512.2|DBUS
OG0002463	LOC120421450|XP_039440593.1|CPIP	LOC108596078|XP_017836982.1|DBUS
OG0002464	LOC120421465|XP_039440614.1|CPIP	LOC108597468|XP_017839530.1|DBUS
OG0002465	LOC120421458|XP_039440603.1|CPIP	LOC108595231|XP_017835918.2|DBUS
OG0002466	LOC120426849|XP_039447573.1|CPIP, LOC120427342|XP_039448132.1|CPIP	LOC108607340|XP_017853512.1|DBUS
OG0002467	LOC120428607|XP_039449563.1|CPIP	LOC108601092|XP_017844491.2|DBUS
OG0002468	LOC120414044|XP_039430998.1|CPIP	LOC108598435|XP_017840555.2|DBUS
OG0002469	LOC120415164|XP_039432535.1|CPIP	LOC108604014|XP_017848745.1|DBUS
OG0002470	LOC120415205|XP_039432594.1|CPIP	LOC108597301|XP_017839269.1|DBUS
OG0002471	LOC120419167|XP_039437753.1|CPIP	LOC108594988|XP_017835609.1|DBUS
OG0002472	LOC120419151|XP_039437724.1|CPIP	LOC108597540|XP_017839629.1|DBUS
OG0002473	LOC120425528|XP_039446016.1|CPIP, LOC120419160|XP_039437743.1|CPIP	LOC108595211|XP_017835888.1|DBUS
OG0002474	LOC120415830|XP_039433394.1|CPIP	LOC108600406|XP_017843447.2|DBUS
OG0002475	LOC120412342|XP_039428676.1|CPIP	LOC117134857|XP_033149994.1|DBUS
OG0002476	LOC120416844|XP_039434666.1|CPIP	LOC108595404|XP_017836119.1|DBUS
OG0002477	LOC120418586|XP_039436967.1|CPIP	LOC108595238|XP_017835925.1|DBUS
OG0002478	LOC120427138|XP_039447928.1|CPIP	LOC108595413|XP_017836130.1|DBUS
OG0002479	LOC120421876|XP_039441107.1|CPIP	LOC108596097|XP_017837005.1|DBUS
OG0002480	LOC120415167|XP_039432539.1|CPIP	LOC108596547|XP_017837928.1|DBUS
OG0002481	LOC120430865|XP_039451923.1|CPIP, LOC120429783|XP_039450775.1|CPIP	LOC108606508|XP_017852167.1|DBUS
