Orthogroup	CPIP.longest_only	DANA.longest_only
OG0001101	LOC120425311|XP_039445716.1|CPIP	LOC6496268|XP_032306371.1|DANA
OG0001102	LOC120414050|XP_039431003.1|CPIP, LOC120414045|XP_039430999.1|CPIP	LOC6507232|XP_001956425.3|DANA
OG0001103	LOC120416829|XP_039434650.1|CPIP	LOC6500718|XP_001953787.1|DANA
OG0001104	LOC120432582|XP_039453752.1|CPIP	LOC6502561|XP_001959387.2|DANA
OG0001105	LOC120432555|XP_039453718.1|CPIP	LOC6503124|XP_001963467.1|DANA
OG0001106	LOC120431888|XP_039452951.1|CPIP, LOC120422223|XP_039441542.1|CPIP	LOC6502092|XP_032311726.1|DANA
OG0001118	LOC120413330|XP_039430037.1|CPIP	LOC6502461|XP_001962445.1|DANA
OG0001119	LOC120420344|XP_039439272.1|CPIP, LOC120424039|XP_039443997.1|CPIP	LOC6503261|XP_001965829.2|DANA
OG0001120	LOC120423577|XP_039443370.1|CPIP, LOC120425386|XP_039445836.1|CPIP	LOC6501048|XP_014766872.1|DANA
OG0001121	LOC120425861|XP_039446420.1|CPIP	LOC6496680|XP_032311515.1|DANA
OG0001122	LOC120412874|XP_039429439.1|CPIP	LOC6507065|XP_001956726.1|DANA
OG0001124	LOC120425352|XP_039445788.1|CPIP, LOC120429621|XP_039450585.1|CPIP	LOC6499861|XP_001953751.1|DANA
OG0001125	LOC120413485|XP_039430269.1|CPIP, LOC120413467|XP_039430239.1|CPIP, LOC120413468|XP_039430240.1|CPIP	LOC6505849|XP_001964481.1|DANA
OG0001127	LOC120415811|XP_039433372.1|CPIP, LOC120429657|XP_039450624.1|CPIP	LOC6507129|XP_001956620.2|DANA
OG0001128	LOC120429702|XP_039450671.1|CPIP, LOC120427739|XP_039448579.1|CPIP, LOC120430786|XP_039451833.1|CPIP	LOC6496056|XP_001960126.2|DANA
OG0001129	LOC120422189|XP_039441499.1|CPIP	LOC6498396|XP_014762113.1|DANA
OG0001130	LOC120424895|XP_039445117.1|CPIP	LOC6496979|XP_001963009.1|DANA, LOC6502599|XP_001967702.2|DANA
OG0001131	LOC120419785|XP_039438552.1|CPIP, LOC120429031|XP_039450101.1|CPIP, LOC120419786|XP_039438553.1|CPIP	LOC6501803|XP_032308074.1|DANA
OG0001133	LOC120416081|XP_039433692.1|CPIP	LOC6497357|XP_001962255.1|DANA
OG0001134	LOC120419185|XP_039437793.1|CPIP, LOC120421259|XP_039440389.1|CPIP, LOC120420150|XP_039439048.1|CPIP, LOC120415343|XP_039432765.1|CPIP, LOC120417188|XP_039435089.1|CPIP	LOC6496015|XP_032306105.1|DANA
OG0001135	LOC120414352|XP_039431447.1|CPIP, LOC120422246|XP_039441573.1|CPIP	LOC6499029|XP_014765875.1|DANA
OG0001136	LOC120417494|XP_039435503.1|CPIP	LOC6501200|XP_014766930.1|DANA
OG0001137	LOC120418769|XP_039437179.1|CPIP	LOC6499465|XP_032307090.1|DANA
OG0001138	LOC120421356|XP_039440478.1|CPIP, LOC120432104|XP_039453171.1|CPIP, LOC120429313|XP_039450469.1|CPIP	LOC6507074|XP_001956711.1|DANA
OG0001139	LOC120415108|XP_039432461.1|CPIP	LOC6507258|XP_001956374.1|DANA
OG0001153	LOC120420201|XP_039439120.1|CPIP	LOC6495302|XP_001958665.1|DANA
OG0001154	LOC120419964|XP_039438772.1|CPIP, LOC120432189|XP_039453265.1|CPIP	LOC6498541|XP_014762175.1|DANA
OG0001155	LOC120430949|XP_039452010.1|CPIP	LOC6504931|XP_001966609.2|DANA
OG0001157	LOC120424145|XP_039444120.1|CPIP	LOC6500183|XP_032305917.1|DANA
OG0001158	LOC120423984|XP_039443915.1|CPIP	LOC6497957|XP_001961792.3|DANA
OG0001159	LOC120432503|XP_039453649.1|CPIP	LOC6505984|XP_032305333.1|DANA
OG0001160	LOC120430694|XP_039451737.1|CPIP, LOC120427184|XP_039447982.1|CPIP	LOC6499665|XP_001954191.1|DANA
OG0001162	LOC120424769|XP_039444908.1|CPIP, LOC120431325|XP_039452391.1|CPIP, LOC120425407|XP_039445871.1|CPIP	LOC6498852|XP_001955800.1|DANA
OG0001163	LOC120422549|XP_039441951.1|CPIP	LOC6500392|XP_014766526.1|DANA
OG0001164	LOC120428014|XP_039448919.1|CPIP, LOC120428005|XP_039448908.1|CPIP	LOC6500846|XP_001954026.2|DANA
OG0001167	LOC120426173|XP_039446825.1|CPIP	LOC6495633|XP_032307093.1|DANA
OG0001169	LOC120413210|XP_039429863.1|CPIP, LOC120413209|XP_039429861.1|CPIP, LOC120428119|XP_039449038.1|CPIP	LOC6504991|XP_001965677.1|DANA
OG0001170	LOC120414137|XP_039431105.1|CPIP	LOC6500795|XP_001953934.1|DANA, LOC6500794|XP_001953933.1|DANA, LOC6500796|XP_001953935.1|DANA, LOC6500797|XP_001953936.1|DANA
OG0001171	LOC120414141|XP_039431114.1|CPIP, LOC120414113|XP_039431074.1|CPIP	LOC6506988|XP_014765020.1|DANA
OG0001172	LOC120422279|XP_039441597.1|CPIP	LOC6494636|XP_001959972.1|DANA
OG0001173	LOC120424131|XP_039444104.1|CPIP, LOC120424129|XP_039444102.1|CPIP, LOC120415745|XP_039433285.1|CPIP, LOC120424132|XP_039444106.1|CPIP, LOC120415300|XP_039432705.1|CPIP, LOC120415341|XP_039432764.1|CPIP	LOC6505900|XP_001964577.1|DANA
OG0001174	LOC120418803|XP_039437221.1|CPIP	LOC6506174|XP_001958413.1|DANA
OG0001176	LOC120414663|XP_039431867.1|CPIP	LOC6494221|XP_014762673.1|DANA
OG0001177	LOC120419053|XP_039437553.1|CPIP	LOC6497916|XP_032307758.1|DANA
OG0001178	LOC120416798|XP_039434608.1|CPIP	LOC6495060|XP_001959148.1|DANA
OG0001179	LOC120415576|XP_039433089.1|CPIP	LOC6495406|XP_032307195.1|DANA
OG0001180	LOC120427095|XP_039447881.1|CPIP	LOC6506057|XP_001966646.2|DANA
OG0001181	LOC120423217|XP_039442860.1|CPIP	LOC6506328|XP_032310084.1|DANA
OG0001182	LOC120417657|XP_039435713.1|CPIP, LOC120417666|XP_039435721.1|CPIP	LOC6501533|XP_014767093.1|DANA
OG0001183	LOC120416960|XP_039434805.1|CPIP	LOC6499429|XP_032307004.1|DANA
OG0001185	LOC120423279|XP_039442953.1|CPIP	LOC6494317|XP_014760068.1|DANA
OG0001186	LOC120416650|XP_039434393.1|CPIP	LOC6500957|XP_001954242.1|DANA
OG0001187	LOC120417575|XP_039435620.1|CPIP, LOC120417596|XP_039435643.1|CPIP	LOC6496355|XP_014763778.1|DANA
OG0001188	LOC120424646|XP_039444753.1|CPIP, LOC120425447|XP_039445916.1|CPIP	LOC6494330|XP_001960524.2|DANA
OG0001189	LOC120416208|XP_039433833.1|CPIP, LOC120421579|XP_039440745.1|CPIP	LOC6494172|XP_001960828.1|DANA, LOC6494173|XP_001960827.1|DANA
OG0001190	LOC120421476|XP_039440627.1|CPIP, LOC120421479|XP_039440630.1|CPIP	LOC6504693|XP_001966392.2|DANA
OG0001191	LOC120423257|XP_039442920.1|CPIP, LOC120423245|XP_039442896.1|CPIP	LOC6504707|XP_001964861.1|DANA
OG0001192	LOC120427744|XP_039448583.1|CPIP	LOC26515108|XP_032307727.1|DANA, LOC6498236|XP_001962362.2|DANA, LOC6497301|XP_032307725.1|DANA
OG0001193	LOC120429883|XP_039450897.1|CPIP, LOC120432494|XP_039453642.1|CPIP, LOC120432117|XP_039453186.1|CPIP, LOC120412329|XP_039428664.1|CPIP	LOC6500766|XP_001953880.1|DANA
OG0001194	LOC120416843|XP_039434665.1|CPIP	LOC6504137|XP_001964256.1|DANA
OG0001195	LOC120418583|XP_039436964.1|CPIP	LOC6495447|XP_001958865.1|DANA
OG0001201	LOC120414220|XP_039431262.1|CPIP, LOC120424752|XP_039444879.1|CPIP	LOC6500864|XP_001954060.1|DANA
OG0001202	LOC120432258|XP_039453373.1|CPIP, LOC120432229|XP_039453340.1|CPIP, LOC120432251|XP_039453359.1|CPIP	LOC6504820|XP_001966397.2|DANA
OG0001203	LOC120413295|XP_039429987.1|CPIP	LOC6504547|XP_001967430.1|DANA
OG0001204	LOC120414306|XP_039431381.1|CPIP, LOC120431630|XP_039452673.1|CPIP, LOC120416723|XP_039434484.1|CPIP, LOC120419358|XP_039437962.1|CPIP, LOC120431542|XP_039452584.1|CPIP, LOC120414694|XP_039431918.1|CPIP, LOC120412414|XP_039428811.1|CPIP, LOC120416024|XP_039433620.1|CPIP	LOC6502470|XP_001962780.2|DANA
OG0001205	LOC120429512|XP_039450516.1|CPIP, LOC120431269|XP_039452337.1|CPIP, LOC120429510|XP_039450513.1|CPIP	LOC6494458|XP_001965917.2|DANA
OG0001206	LOC120432275|XP_039453392.1|CPIP	LOC6505848|XP_001964479.2|DANA
OG0001207	LOC120422052|XP_039441319.1|CPIP	LOC26513919|XP_014759490.1|DANA
OG0001208	LOC120424548|XP_039444645.1|CPIP	LOC6501911|XP_032308117.1|DANA
OG0001209	LOC120428053|XP_039448988.1|CPIP, LOC120424496|XP_039444616.1|CPIP	LOC6500876|XP_001954088.2|DANA
OG0001210	LOC120419105|XP_039437659.1|CPIP, LOC120416387|XP_039434100.1|CPIP, LOC120414618|XP_039431815.1|CPIP	LOC6502060|XP_001967440.1|DANA
OG0001212	LOC120416356|XP_039434027.1|CPIP, LOC120419697|XP_039438418.1|CPIP, LOC120419684|XP_039438405.1|CPIP, LOC120419698|XP_039438419.1|CPIP	LOC6505053|XP_001965553.1|DANA
OG0001213	LOC120429287|XP_039450448.1|CPIP, LOC120425721|XP_039446260.1|CPIP	LOC6505727|XP_001964374.1|DANA
OG0001214	LOC120431086|XP_039452176.1|CPIP, LOC120430926|XP_039451981.1|CPIP	LOC6499792|XP_001953904.1|DANA
OG0001215	LOC120424669|XP_039444778.1|CPIP, LOC120424614|XP_039444709.1|CPIP, LOC120424675|XP_039444782.1|CPIP, LOC120424616|XP_039444712.1|CPIP	LOC6499158|XP_001955197.1|DANA
OG0001216	LOC120424679|XP_039444789.1|CPIP, LOC120424629|XP_039444729.1|CPIP, LOC120424633|XP_039444733.1|CPIP, LOC120424686|XP_039444796.1|CPIP	LOC6500322|XP_014766503.1|DANA
OG0001217	LOC120423813|XP_039443667.1|CPIP	LOC6502333|XP_001967631.2|DANA
OG0001218	LOC120422590|XP_039442016.1|CPIP	LOC6500793|XP_001953932.1|DANA
OG0001220	LOC120419490|XP_039438112.1|CPIP, LOC120419491|XP_039438113.1|CPIP	LOC6495550|XP_001959083.1|DANA
OG0001223	LOC120416560|XP_039434225.1|CPIP	LOC6495127|XP_032306369.1|DANA
OG0001224	LOC120416226|XP_039433860.1|CPIP	LOC6496288|XP_001960624.3|DANA
OG0001225	LOC120417471|XP_039435475.1|CPIP, LOC120417456|XP_039435448.1|CPIP	LOC6496516|XP_014763864.2|DANA
OG0001226	LOC120418804|XP_039437222.1|CPIP	LOC6495260|XP_001958742.1|DANA
OG0001227	LOC120420146|XP_039439038.1|CPIP	LOC6496850|XP_014761401.1|DANA
OG0001228	LOC120414239|XP_039431284.1|CPIP, LOC120424577|XP_039444677.1|CPIP	LOC6494328|XP_032305515.1|DANA
OG0001229	LOC120430378|XP_039451410.1|CPIP	LOC26515246|XP_032312042.1|DANA
OG0001230	LOC120422782|XP_039442254.1|CPIP	LOC6494134|XP_032307143.1|DANA
OG0001231	LOC120419802|XP_039438571.1|CPIP	LOC6505408|XP_001966905.1|DANA
OG0001233	LOC120419669|XP_039438368.1|CPIP	LOC6498133|XP_001962148.1|DANA
OG0001234	LOC120414574|XP_039431745.1|CPIP	LOC6496168|XP_001960364.1|DANA
OG0001235	LOC120417314|XP_039435211.1|CPIP, LOC120431742|XP_039452801.1|CPIP, LOC120431749|XP_039452807.1|CPIP, LOC120431747|XP_039452806.1|CPIP, LOC120417299|XP_039435183.1|CPIP, LOC120417300|XP_039435184.1|CPIP	LOC6503363|XP_001965357.2|DANA
OG0001236	LOC120423226|XP_039442868.1|CPIP	LOC6493200|XP_001957251.2|DANA
OG0001237	LOC120414317|XP_039431388.1|CPIP	LOC6500136|XP_014766395.1|DANA
OG0001238	LOC120426763|XP_039447471.1|CPIP	LOC6499597|XP_032312139.1|DANA
OG0001239	LOC120431768|XP_039452820.1|CPIP, LOC120432400|XP_039453530.1|CPIP	LOC6499905|XP_032306296.1|DANA
OG0001240	LOC120421246|XP_039440381.1|CPIP, LOC120420595|XP_039439605.1|CPIP, LOC120421250|XP_039440383.1|CPIP	LOC6499556|XP_001954389.1|DANA
OG0001241	LOC120417870|XP_039436024.1|CPIP	LOC6495700|XP_001959400.1|DANA
OG0001242	LOC120425656|XP_039446171.1|CPIP	LOC6502245|XP_001966075.1|DANA
OG0001244	LOC120421573|XP_039440738.1|CPIP, LOC120421830|XP_039441041.1|CPIP	LOC6500325|XP_001952976.1|DANA
OG0001245	LOC120423077|XP_039442687.1|CPIP, LOC120430091|XP_039451112.1|CPIP, LOC120423090|XP_039442699.1|CPIP, LOC120421067|XP_039440146.1|CPIP, LOC120423067|XP_039442673.1|CPIP, LOC120423076|XP_039442686.1|CPIP	LOC6505672|XP_032305737.1|DANA
OG0001246	LOC120421869|XP_039441099.1|CPIP, LOC120421861|XP_039441094.1|CPIP, LOC120421865|XP_039441097.1|CPIP	LOC6495728|XP_014763470.1|DANA
OG0001247	LOC120432576|XP_039453739.1|CPIP	LOC26514097|XP_032311496.1|DANA
OG0001248	LOC120422204|XP_039441519.1|CPIP	LOC6506997|XP_001956857.1|DANA
OG0001249	LOC120423895|XP_039443810.1|CPIP	LOC6503750|XP_001963809.2|DANA
OG0001256	LOC120422406|XP_039441758.1|CPIP	LOC6496186|XP_001960401.1|DANA
OG0001257	LOC120413281|XP_039429947.1|CPIP	LOC6501778|XP_032311763.1|DANA
OG0001258	LOC120432334|XP_039453457.1|CPIP	LOC6501118|XP_001954585.1|DANA
OG0001259	LOC120430956|XP_039452022.1|CPIP, LOC120416739|XP_039434507.1|CPIP	LOC6504614|XP_001966525.1|DANA
OG0001260	LOC120420175|XP_039439075.1|CPIP, LOC120420182|XP_039439091.1|CPIP	LOC6500642|XP_001953630.2|DANA
OG0001261	LOC120427227|XP_039448025.1|CPIP	LOC6504380|XP_001967079.2|DANA
OG0001263	LOC120432642|XP_039453825.1|CPIP	LOC6500783|XP_001953912.1|DANA
OG0001264	LOC120429252|XP_039450399.1|CPIP, LOC120426464|XP_039447160.1|CPIP	LOC6498064|XP_001962010.2|DANA
OG0001265	LOC120428458|XP_039449403.1|CPIP	LOC6503884|XP_014761110.2|DANA
OG0001266	LOC120417192|XP_039435093.1|CPIP	LOC6494753|XP_001959734.1|DANA
OG0001267	LOC120424506|XP_039444591.1|CPIP, LOC120426739|XP_039447450.1|CPIP	LOC6500853|XP_032310250.1|DANA
OG0001269	LOC120429645|XP_039450605.1|CPIP	LOC6496251|XP_001960544.1|DANA
OG0001270	LOC120425363|XP_039445806.1|CPIP, LOC120431090|XP_039452180.1|CPIP, LOC120430927|XP_039451982.1|CPIP	LOC6503457|XP_001967519.2|DANA
OG0001271	LOC120430259|XP_039451279.1|CPIP, LOC120419757|XP_039438514.1|CPIP, LOC120419744|XP_039438480.1|CPIP	LOC6494873|XP_001959510.1|DANA
OG0001272	LOC120424869|XP_039445058.1|CPIP	LOC6507573|XP_001955933.2|DANA
OG0001273	LOC120429935|XP_039450967.1|CPIP	LOC6501382|XP_001955119.3|DANA
OG0001274	LOC120418048|XP_039436233.1|CPIP	LOC6493714|XP_001958291.1|DANA
OG0001276	LOC120413456|XP_039430225.1|CPIP	LOC6507649|XP_001956071.1|DANA
OG0001277	LOC120424852|XP_039445035.1|CPIP	LOC6506888|XP_001957055.1|DANA
OG0001278	LOC120419963|XP_039438765.1|CPIP	LOC6507280|XP_032310005.1|DANA, LOC6498637|XP_001963216.1|DANA
OG0001279	LOC120419970|XP_039438780.1|CPIP	LOC6507782|XP_001956335.1|DANA
OG0001280	LOC120431879|XP_039452941.1|CPIP, LOC120414432|XP_039431549.1|CPIP	LOC6506507|XP_001957750.1|DANA
OG0001281	LOC120421671|XP_039440836.1|CPIP, LOC120421627|XP_039440789.1|CPIP	LOC6507584|XP_001955950.1|DANA
OG0001282	LOC120429812|XP_039450796.1|CPIP, LOC120425025|XP_039445333.1|CPIP	LOC6497809|XP_001961489.1|DANA
OG0001283	LOC120427036|XP_039447800.1|CPIP	LOC6496410|XP_001960858.2|DANA
OG0001284	LOC120414678|XP_039431897.1|CPIP	LOC6497272|XP_001965911.2|DANA
OG0001285	LOC120429106|XP_039450203.1|CPIP, LOC120414724|XP_039431961.1|CPIP	LOC6507093|XP_014765063.1|DANA
OG0001286	LOC120429762|XP_039450749.1|CPIP	LOC6503632|XP_014760393.2|DANA
OG0001287	LOC120426934|XP_039447680.1|CPIP, LOC120426947|XP_039447703.1|CPIP, LOC120426556|XP_039447257.1|CPIP	LOC6494675|XP_001965955.1|DANA
OG0001288	LOC120420968|XP_039440035.1|CPIP	LOC6497690|XP_001961565.1|DANA
OG0001289	LOC120418705|XP_039437108.1|CPIP, LOC120418706|XP_039437109.1|CPIP	LOC6502767|XP_001965256.2|DANA
OG0001290	LOC120429839|XP_039450837.1|CPIP, LOC120429074|XP_039450161.1|CPIP	LOC6497204|XP_032307733.1|DANA
OG0001291	LOC120414339|XP_039431425.1|CPIP	LOC6494912|XP_014763071.2|DANA
OG0001292	LOC120423698|XP_039443534.1|CPIP, LOC120423701|XP_039443537.1|CPIP	LOC6496297|XP_001960635.2|DANA
OG0001293	LOC120414358|XP_039431455.1|CPIP	LOC6504155|XP_001964289.1|DANA
OG0001294	LOC120426999|XP_039447750.1|CPIP	LOC6499327|XP_001954859.1|DANA
OG0001295	LOC120431459|XP_039452510.1|CPIP	LOC6502235|XP_001966036.1|DANA, LOC6496457|XP_001960949.1|DANA
OG0001296	LOC120419233|XP_039437826.1|CPIP	LOC6493893|XP_032311522.1|DANA
OG0001297	LOC120423588|XP_039443387.1|CPIP	LOC6499040|XP_001955448.1|DANA
OG0001298	LOC120417916|XP_039436086.1|CPIP, LOC120416955|XP_039434793.1|CPIP	LOC6500044|XP_032312361.1|DANA
OG0001299	LOC120422007|XP_039441255.1|CPIP, LOC120432174|XP_039453246.1|CPIP	LOC6507340|XP_032309757.1|DANA
OG0001300	LOC120415419|XP_039432887.1|CPIP	LOC6499532|XP_001954428.1|DANA
OG0001301	LOC120423370|XP_039443087.1|CPIP, LOC120423371|XP_039443088.1|CPIP	LOC6498237|XP_001962364.1|DANA
OG0001302	LOC120417543|XP_039435559.1|CPIP	LOC6494604|XP_032306614.1|DANA
OG0001303	LOC120425865|XP_039446421.1|CPIP	LOC6500698|XP_001953750.1|DANA
OG0001304	LOC120417898|XP_039436053.1|CPIP	LOC6505436|XP_032308649.1|DANA, LOC6494011|XP_001961150.1|DANA
OG0001305	LOC120427519|XP_039448316.1|CPIP	LOC6503390|XP_001967520.2|DANA
OG0001306	LOC120423281|XP_039442982.1|CPIP	LOC6500706|XP_001953762.1|DANA
OG0001307	LOC120414405|XP_039431518.1|CPIP	LOC6493303|XP_001957486.1|DANA
OG0001308	LOC120414403|XP_039431514.1|CPIP	LOC6504634|XP_032309303.1|DANA
OG0001309	LOC120414020|XP_039430971.1|CPIP, LOC120414000|XP_039430943.1|CPIP	LOC6501270|XP_001954892.1|DANA
OG0001311	LOC120417566|XP_039435594.1|CPIP, LOC120420210|XP_039439128.1|CPIP	LOC6505194|XP_001965524.2|DANA
OG0001312	LOC120431895|XP_039452958.1|CPIP, LOC120424481|XP_039444557.1|CPIP	LOC6493418|XP_001957711.1|DANA
OG0001313	LOC120416827|XP_039434648.1|CPIP	LOC6494637|XP_001959971.3|DANA
OG0001314	LOC120418103|XP_039436307.1|CPIP, LOC120431543|XP_039452585.1|CPIP, LOC120431629|XP_039452672.1|CPIP, LOC120423143|XP_039442759.1|CPIP, LOC120414582|XP_039431751.1|CPIP, LOC120412578|XP_039429022.1|CPIP, LOC120416026|XP_039433621.1|CPIP, LOC120412415|XP_039428812.1|CPIP, LOC120421472|XP_039440623.1|CPIP	LOC6502469|XP_001962779.1|DANA
OG0001315	LOC120420411|XP_039439364.1|CPIP	LOC6504655|XP_001966464.1|DANA
OG0001322	LOC120426837|XP_039447560.1|CPIP	LOC6502624|XP_001954660.2|DANA, LOC6500034|XP_001953350.1|DANA
OG0001326	LOC120417038|XP_039434922.1|CPIP, LOC120419278|XP_039437878.1|CPIP, LOC120420268|XP_039439201.1|CPIP	LOC6501601|XP_001955566.1|DANA
OG0001328	LOC120414973|XP_039432241.1|CPIP, LOC120421074|XP_039440154.1|CPIP	LOC26515035|XP_032311989.1|DANA
OG0001329	LOC120425636|XP_039446157.1|CPIP, LOC120417782|XP_039435872.1|CPIP	LOC6505307|XP_001965728.2|DANA
OG0001330	LOC120422463|XP_039441846.1|CPIP	LOC6505211|XP_032307795.1|DANA
OG0001331	LOC120417708|XP_039435788.1|CPIP, LOC120417710|XP_039435793.1|CPIP	LOC6502047|XP_032311934.1|DANA
OG0001332	LOC120413145|XP_039429789.1|CPIP, LOC120412616|XP_039429104.1|CPIP	LOC6504416|XP_032308163.1|DANA
OG0001333	LOC120417034|XP_039434912.1|CPIP, LOC120417028|XP_039434904.1|CPIP	LOC6505113|XP_001964793.2|DANA
OG0001334	LOC120414158|XP_039431133.1|CPIP, LOC120414159|XP_039431134.1|CPIP	LOC6505553|XP_001964713.1|DANA
OG0001335	LOC120425484|XP_039445962.1|CPIP, LOC120425483|XP_039445956.1|CPIP	LOC6500011|XP_001953409.1|DANA
OG0001337	LOC120432047|XP_039453113.1|CPIP, LOC120427370|XP_039448159.1|CPIP	LOC6504487|XP_032308308.1|DANA
OG0001338	LOC120428736|XP_039449746.1|CPIP	LOC6496265|XP_014763712.1|DANA
OG0001339	LOC120424190|XP_039444183.1|CPIP	LOC6495364|XP_001958670.1|DANA
OG0001340	LOC120425159|XP_039445523.1|CPIP, LOC120431992|XP_039453061.1|CPIP	LOC6503257|XP_032309758.1|DANA
OG0001341	LOC120431639|XP_039452681.1|CPIP	LOC6500539|XP_032310342.1|DANA
OG0001343	LOC120430148|XP_039451166.1|CPIP, LOC120430149|XP_039451167.1|CPIP	LOC6499178|XP_001955160.2|DANA
OG0001344	LOC120422010|XP_039441262.1|CPIP, LOC120422024|XP_039441280.1|CPIP	LOC6505942|XP_032305468.1|DANA
OG0001345	LOC120428740|XP_039449749.1|CPIP, LOC120427177|XP_039447971.1|CPIP	LOC6499926|XP_001953617.1|DANA
OG0001346	LOC120428013|XP_039448918.1|CPIP	LOC6499381|XP_001954747.1|DANA
OG0001347	LOC120425439|XP_039445903.1|CPIP	LOC6503956|XP_001963915.1|DANA
OG0001348	LOC120413504|XP_039430294.1|CPIP	LOC6505354|XP_001967828.2|DANA, LOC6504497|XP_001967015.1|DANA
OG0001349	LOC120424374|XP_039444404.1|CPIP	LOC6507029|XP_014765038.1|DANA
OG0001350	LOC120426570|XP_039447290.1|CPIP	LOC6507885|XP_001956525.3|DANA
OG0001351	LOC120426287|XP_039446974.1|CPIP	LOC6494868|XP_001959521.1|DANA
OG0001352	LOC120418886|XP_039437353.1|CPIP	LOC6493905|XP_032311477.1|DANA
OG0001353	LOC120419585|XP_039438249.1|CPIP, LOC120426756|XP_039447465.1|CPIP, LOC120430442|XP_039451492.1|CPIP	LOC6506341|XP_001958072.1|DANA
OG0001354	LOC120432105|XP_039453172.1|CPIP, LOC120427034|XP_039447795.1|CPIP	LOC6495912|XP_014763532.1|DANA
OG0001355	LOC120418490|XP_039436861.1|CPIP	LOC6495849|XP_001959707.1|DANA
OG0001356	LOC120429155|XP_039450297.1|CPIP, LOC120420068|XP_039438925.1|CPIP	LOC6498969|XP_032312081.1|DANA
OG0001357	LOC120418023|XP_039436200.1|CPIP	LOC6493524|XP_001957929.1|DANA
OG0001358	LOC120418025|XP_039436203.1|CPIP	LOC6493887|XP_001961393.1|DANA, LOC6493673|XP_001958205.1|DANA
OG0001359	LOC120414639|XP_039431804.1|CPIP, LOC120414627|XP_039431795.1|CPIP	LOC6497282|XP_001962395.1|DANA
OG0001360	LOC120426786|XP_039447497.1|CPIP	LOC6496405|XP_001960845.1|DANA
OG0001361	LOC120419996|XP_039438820.1|CPIP, LOC120419994|XP_039438816.1|CPIP	LOC6507777|XP_001956328.2|DANA
OG0001362	LOC120419965|XP_039438769.1|CPIP	LOC6507781|XP_001956333.1|DANA
OG0001363	LOC120432172|XP_039453243.1|CPIP, LOC120414130|XP_039431095.1|CPIP	LOC6500148|XP_001953128.1|DANA
OG0001364	LOC120417618|XP_039435666.1|CPIP, LOC120418691|XP_039437089.1|CPIP	LOC6495293|XP_032307170.1|DANA
OG0001365	LOC120426785|XP_039447496.1|CPIP	LOC6506203|XP_001958350.1|DANA
OG0001367	LOC120422283|XP_039441604.1|CPIP, LOC120423782|XP_039443634.1|CPIP	LOC6494766|XP_032306575.1|DANA
OG0001368	LOC120424976|XP_039445266.1|CPIP	LOC6494818|XP_001959603.1|DANA
OG0001369	LOC120429806|XP_039450790.1|CPIP, LOC120432065|XP_039453130.1|CPIP	LOC6505035|XP_001965594.1|DANA
OG0001373	LOC120422191|XP_039441506.1|CPIP, LOC120426638|XP_039447361.1|CPIP	LOC6497138|XP_001962680.1|DANA
OG0001374	LOC120414669|XP_039431880.1|CPIP	LOC6494222|XP_001960712.1|DANA
OG0001375	LOC120428430|XP_039449375.1|CPIP	LOC6498889|XP_014765800.1|DANA
OG0001376	LOC120430180|XP_039451195.1|CPIP, LOC120430185|XP_039451199.1|CPIP	LOC6495404|XP_001958769.1|DANA
OG0001377	LOC120424094|XP_039444041.1|CPIP	LOC6505475|XP_001964934.2|DANA
OG0001378	LOC120416104|XP_039433721.1|CPIP, LOC120430328|XP_039451362.1|CPIP	LOC6498231|XP_032307509.1|DANA
OG0001379	LOC120413125|XP_039429764.1|CPIP	LOC6498057|XP_014761951.1|DANA
OG0001380	LOC120419386|XP_039437994.1|CPIP	LOC6496671|XP_001961371.2|DANA
OG0001381	LOC120430020|XP_039451049.1|CPIP	LOC6496421|XP_032307210.1|DANA
OG0001382	LOC120420085|XP_039438952.1|CPIP	LOC6503284|XP_014759110.1|DANA
OG0001383	LOC120416800|XP_039434611.1|CPIP	LOC6495075|XP_001959121.1|DANA
OG0001384	LOC120415581|XP_039433100.1|CPIP	LOC6497523|XP_014761719.1|DANA
OG0001385	LOC120421152|XP_039440276.1|CPIP	LOC6504562|XP_001964906.2|DANA
OG0001387	LOC120413881|XP_039430789.1|CPIP, LOC120413875|XP_039430781.1|CPIP	LOC6496853|XP_001963272.1|DANA
OG0001388	LOC120425170|XP_039445537.1|CPIP, LOC120425176|XP_039445544.1|CPIP, LOC120421428|XP_039440573.1|CPIP, LOC120431693|XP_039452741.1|CPIP	LOC6496954|XP_001963064.2|DANA
OG0001389	LOC120420640|XP_039439652.1|CPIP, LOC120420638|XP_039439650.1|CPIP	LOC6499044|XP_032311132.1|DANA
OG0001390	LOC120415004|XP_039432300.1|CPIP	LOC6506658|XP_032310901.1|DANA
OG0001391	LOC120430393|XP_039451430.1|CPIP	LOC6498019|XP_001961904.1|DANA
OG0001392	LOC120420020|XP_039438855.1|CPIP, LOC120422249|XP_039441575.1|CPIP	LOC6505294|XP_001965704.2|DANA
OG0001393	LOC120424012|XP_039443960.1|CPIP, LOC120419715|XP_039438436.1|CPIP	LOC6505212|XP_001965556.1|DANA
OG0001394	LOC120428108|XP_039449024.1|CPIP, LOC120424757|XP_039444886.1|CPIP, LOC120414228|XP_039431273.1|CPIP	LOC6496933|XP_014761435.1|DANA
OG0001395	LOC120413792|XP_039430676.1|CPIP	LOC6494219|XP_001965954.1|DANA
