Orthogroup	CPIP.longest_only	DMAU.longest_only
OG0002207	LOC120414299|XP_039431367.1|CPIP	LOC117144525|XP_033165638.1|DMAU
OG0002208	LOC120426162|XP_039446814.1|CPIP	LOC117144919|XP_033166257.1|DMAU
OG0002209	LOC120424682|XP_039444792.1|CPIP, LOC120424624|XP_039444723.1|CPIP	LOC117147137|XP_033169807.1|DMAU
OG0002210	LOC120424666|XP_039444773.1|CPIP, LOC120424615|XP_039444710.1|CPIP	LOC117145123|XP_033166532.1|DMAU
OG0002211	LOC120424634|XP_039444734.1|CPIP	LOC117143846|XP_033164593.1|DMAU
OG0002212	LOC120421021|XP_039440078.1|CPIP	LOC117143106|XP_033163479.1|DMAU
OG0002213	LOC120424610|XP_039444704.1|CPIP	LOC117145724|XP_033167364.1|DMAU
OG0002214	LOC120417090|XP_039435002.1|CPIP	LOC117143713|XP_033164403.1|DMAU
OG0002215	LOC120422123|XP_039441427.1|CPIP	LOC117143000|XP_033163250.1|DMAU
OG0002216	LOC120422564|XP_039441984.1|CPIP, LOC120426174|XP_039446824.1|CPIP	LOC117142485|XP_033162400.1|DMAU
OG0002217	LOC120425369|XP_039445812.1|CPIP	LOC117143383|XP_033163954.1|DMAU
OG0002218	LOC120427415|XP_039448216.1|CPIP	LOC117148606|XP_033171977.1|DMAU, LOC117148607|XP_033171979.1|DMAU
OG0002219	LOC120425436|XP_039445901.1|CPIP	LOC117145144|XP_033166575.1|DMAU
OG0002220	LOC120425434|XP_039445899.1|CPIP	LOC117145441|XP_033166989.1|DMAU
OG0002221	LOC120428082|XP_039448995.1|CPIP	LOC117140700|XP_033159654.1|DMAU
OG0002222	LOC120428079|XP_039448990.1|CPIP	LOC117136329|XP_033153074.1|DMAU
OG0002224	LOC120430981|XP_039452053.1|CPIP	LOC117136078|XP_033152637.1|DMAU
OG0002225	LOC120423006|XP_039442563.1|CPIP, LOC120423028|XP_039442603.1|CPIP	LOC117140967|XP_033160083.1|DMAU
OG0002226	LOC120422859|XP_039442342.1|CPIP, LOC120425224|XP_039445589.1|CPIP	LOC117136178|XP_033152811.1|DMAU
OG0002227	LOC120417793|XP_039435896.1|CPIP	LOC117136100|XP_033152685.1|DMAU
OG0002228	LOC120422874|XP_039442355.1|CPIP	LOC117136665|XP_033153556.1|DMAU
OG0002229	LOC120422876|XP_039442369.1|CPIP	LOC117135533|XP_033151695.1|DMAU
OG0002230	LOC120422845|XP_039442323.1|CPIP	LOC117137764|XP_033155274.1|DMAU
OG0002231	LOC120419763|XP_039438524.1|CPIP, LOC120427223|XP_039448024.1|CPIP	LOC117136271|XP_033152991.1|DMAU
OG0002232	LOC120417389|XP_039435342.1|CPIP, LOC120417390|XP_039435345.1|CPIP	LOC117135755|XP_033152102.1|DMAU
OG0002233	LOC120424797|XP_039444943.1|CPIP, LOC120424803|XP_039444951.1|CPIP	LOC117139820|XP_033158343.1|DMAU
OG0002234	LOC120419836|XP_039438606.1|CPIP, LOC120427571|XP_039448380.1|CPIP, LOC120427578|XP_039448392.1|CPIP	LOC117137667|XP_033155117.1|DMAU
OG0002235	LOC120422922|XP_039442430.1|CPIP	LOC117135967|XP_033152460.1|DMAU
OG0002236	LOC120427083|XP_039447862.1|CPIP	LOC117138523|XP_033156552.1|DMAU
OG0002237	LOC120425904|XP_039446461.1|CPIP	LOC117136231|XP_033152902.1|DMAU
OG0002238	LOC120423496|XP_039443270.1|CPIP	LOC117135940|XP_033152411.1|DMAU
OG0002239	LOC120422883|XP_039442377.1|CPIP	LOC117135780|XP_033152144.1|DMAU
OG0002240	LOC120426030|XP_039446645.1|CPIP	LOC117135866|XP_033152286.1|DMAU
OG0002241	LOC120425351|XP_039445787.1|CPIP, LOC120429623|XP_039450587.1|CPIP	LOC117141574|XP_033160978.1|DMAU
OG0002243	LOC120420561|XP_039439563.1|CPIP	LOC117144170|XP_033165103.1|DMAU
OG0002244	LOC120420568|XP_039439580.1|CPIP	LOC117139964|XP_033158554.1|DMAU
OG0002245	LOC120430538|XP_039451586.1|CPIP, LOC120431293|XP_039452369.1|CPIP, LOC120422431|XP_039441782.1|CPIP	LOC117139865|XP_033158413.1|DMAU
OG0002246	LOC120415738|XP_039433273.1|CPIP	LOC117137110|XP_033154288.1|DMAU
OG0002247	LOC120424882|XP_039445080.1|CPIP	LOC117136438|XP_033153244.1|DMAU
OG0002248	LOC120424795|XP_039444940.1|CPIP	LOC117139501|XP_033157723.1|DMAU
OG0002249	LOC120429924|XP_039450955.1|CPIP	LOC117141202|XP_033160445.1|DMAU
OG0002250	LOC120420700|XP_039439731.1|CPIP	LOC117137931|XP_033155575.1|DMAU
OG0002251	LOC120420698|XP_039439726.1|CPIP	LOC117137656|XP_033155084.1|DMAU
OG0002252	LOC120417416|XP_039435393.1|CPIP, LOC120430669|XP_039451704.1|CPIP	LOC117137419|XP_033154739.1|DMAU
OG0002253	LOC120417420|XP_039435397.1|CPIP, LOC120431078|XP_039452164.1|CPIP	LOC117138302|XP_033156193.1|DMAU
OG0002254	LOC120420684|XP_039439713.1|CPIP	LOC117143114|XP_033163490.1|DMAU
OG0002255	LOC120426800|XP_039447515.1|CPIP	LOC117146438|XP_033168542.1|DMAU
OG0002256	LOC120421528|XP_039440681.1|CPIP	LOC117135421|XP_033151465.1|DMAU
OG0002257	LOC120420092|XP_039438958.1|CPIP	LOC117138324|XP_033156251.1|DMAU
OG0002258	LOC120413191|XP_039429838.1|CPIP	LOC117140748|XP_033159720.1|DMAU
OG0002259	LOC120413269|XP_039429932.1|CPIP, LOC120413262|XP_039429924.1|CPIP	LOC117148462|XP_033171725.1|DMAU
OG0002260	LOC120413256|XP_039429919.1|CPIP	LOC117139535|XP_033157799.1|DMAU
OG0002261	LOC120413231|XP_039429894.1|CPIP	LOC117139398|XP_033157556.1|DMAU
OG0002263	LOC120424834|XP_039444997.1|CPIP	LOC117139338|XP_033157476.1|DMAU
OG0002264	LOC120420087|XP_039438951.1|CPIP	LOC117136327|XP_033153073.1|DMAU
OG0002265	LOC120432434|XP_039453586.1|CPIP	LOC117139851|XP_033158389.1|DMAU
OG0002266	LOC120418016|XP_039436191.1|CPIP	LOC117140229|XP_033158919.1|DMAU
OG0002267	LOC120418934|XP_039437405.1|CPIP	LOC117139740|XP_033158188.1|DMAU
OG0002268	LOC120418918|XP_039437383.1|CPIP	LOC117139324|XP_033157460.1|DMAU
OG0002269	LOC120414641|XP_039431811.1|CPIP, LOC120420157|XP_039439057.1|CPIP	LOC117136099|XP_033152671.1|DMAU
OG0002270	LOC120427423|XP_039448217.1|CPIP, LOC120428825|XP_039449866.1|CPIP	LOC117136449|XP_033153257.1|DMAU
OG0002271	LOC120416566|XP_039434232.1|CPIP	LOC117141543|XP_033160937.1|DMAU
OG0002272	LOC120430341|XP_039451378.1|CPIP	LOC117142116|XP_033161903.1|DMAU
OG0002273	LOC120424315|XP_039444333.1|CPIP	LOC117140423|XP_033159199.1|DMAU
OG0002274	LOC120424318|XP_039444343.1|CPIP	LOC117140838|XP_033159837.1|DMAU
OG0002275	LOC120414431|XP_039431548.1|CPIP	LOC117140282|XP_033159001.1|DMAU
OG0002276	LOC120417610|XP_039435653.1|CPIP	LOC117140015|XP_033158626.1|DMAU
OG0002277	LOC120426777|XP_039447484.1|CPIP	LOC117140594|XP_033159493.1|DMAU
OG0002278	LOC120413394|XP_039430126.1|CPIP	LOC117140077|XP_033158720.1|DMAU
OG0002279	LOC120413424|XP_039430170.1|CPIP	LOC117139560|XP_033157846.1|DMAU
OG0002280	LOC120413392|XP_039430124.1|CPIP	LOC117140990|XP_033160132.1|DMAU
OG0002281	LOC120420039|XP_039438873.1|CPIP	LOC117139189|XP_033157249.1|DMAU
OG0002282	LOC120425134|XP_039445494.1|CPIP	LOC117141966|XP_033161654.1|DMAU
OG0002283	LOC120423762|XP_039443609.1|CPIP, LOC120423759|XP_039443608.1|CPIP	LOC117138076|XP_033155790.1|DMAU
OG0002284	LOC120423775|XP_039443628.1|CPIP	LOC117138421|XP_033156418.1|DMAU
OG0002285	LOC120420921|XP_039439982.1|CPIP, LOC120420914|XP_039439973.1|CPIP	LOC117147380|XP_033170141.1|DMAU
OG0002286	LOC120412637|XP_039429125.1|CPIP	LOC117136949|XP_033153989.1|DMAU
OG0002287	LOC120431346|XP_039452412.1|CPIP, LOC120427734|XP_039448576.1|CPIP, LOC120425689|XP_039446207.1|CPIP	LOC117136310|XP_033153048.1|DMAU
OG0002288	LOC120427730|XP_039448567.1|CPIP	LOC117141542|XP_033160932.1|DMAU
OG0002289	LOC120415802|XP_039433361.1|CPIP	LOC117141424|XP_033160747.1|DMAU
OG0002290	LOC120426546|XP_039447250.1|CPIP, LOC120426350|XP_039447046.1|CPIP	LOC117143128|XP_033163513.1|DMAU
OG0002291	LOC120417473|XP_039435481.1|CPIP	LOC117137345|XP_033154630.1|DMAU
OG0002292	LOC120429716|XP_039450692.1|CPIP	LOC117137065|XP_033154170.1|DMAU
OG0002293	LOC120421396|XP_039440531.1|CPIP	LOC117137532|XP_033154909.1|DMAU
OG0002294	LOC120431185|XP_039452261.1|CPIP	LOC117143864|XP_033164621.1|DMAU
OG0002296	LOC120431809|XP_039452861.1|CPIP	LOC117144011|XP_033164860.1|DMAU
OG0002297	LOC120428723|XP_039449730.1|CPIP	LOC117142435|XP_033162287.1|DMAU
OG0002298	LOC120425452|XP_039445918.1|CPIP	LOC117138456|XP_033156474.1|DMAU
OG0002299	LOC120425451|XP_039445917.1|CPIP	LOC117138375|XP_033156334.1|DMAU
OG0002300	LOC120422193|XP_039441508.1|CPIP	LOC117150662|XP_033173542.1|DMAU
OG0002301	LOC120414667|XP_039431876.1|CPIP	LOC117147318|XP_033170098.1|DMAU
OG0002302	LOC120426537|XP_039447237.1|CPIP, LOC120426346|XP_039447041.1|CPIP	LOC117135264|XP_033151305.1|DMAU
OG0002303	LOC120417163|XP_039435078.1|CPIP	LOC117148887|XP_033172482.1|DMAU
OG0002304	LOC120422787|XP_039442259.1|CPIP	LOC117148870|XP_033172436.1|DMAU
OG0002305	LOC120428091|XP_039449009.1|CPIP	LOC117140177|XP_033158843.1|DMAU
OG0002306	LOC120425855|XP_039446412.1|CPIP	LOC117150885|XP_033173913.1|DMAU
OG0002307	LOC120428131|XP_039449048.1|CPIP	LOC117150512|XP_033173310.1|DMAU
OG0002308	LOC120413536|XP_039430344.1|CPIP	LOC117136654|XP_033153548.1|DMAU
OG0002309	LOC120413609|XP_039430447.1|CPIP	LOC117150704|XP_033173607.1|DMAU
OG0002310	LOC120413615|XP_039430454.1|CPIP	LOC117138580|XP_033156651.1|DMAU
OG0002311	LOC120416326|XP_039433984.1|CPIP	LOC117140604|XP_033159509.1|DMAU
OG0002312	LOC120424906|XP_039445132.1|CPIP	LOC117150436|XP_033173209.1|DMAU
OG0002313	LOC120413117|XP_039429760.1|CPIP	LOC117137603|XP_033155012.1|DMAU
OG0002314	LOC120413143|XP_039429785.1|CPIP	LOC117135894|XP_033152332.1|DMAU
OG0002315	LOC120413127|XP_039429766.1|CPIP, LOC120431577|XP_039452623.1|CPIP	LOC117136771|XP_033153709.1|DMAU
OG0002316	LOC120416329|XP_039433993.1|CPIP	LOC117150773|XP_033173705.1|DMAU
OG0002317	LOC120413106|XP_039429746.1|CPIP	LOC117142017|XP_033161770.1|DMAU
OG0002318	LOC120431698|XP_039452747.1|CPIP, LOC120424106|XP_039444050.1|CPIP	LOC117146583|XP_033168792.1|DMAU
OG0002319	LOC120428535|XP_039449501.1|CPIP	LOC117149997|XP_033172778.1|DMAU
OG0002320	LOC120418944|XP_039437416.1|CPIP	LOC117138176|XP_033155956.1|DMAU
OG0002321	LOC120414767|XP_039432014.1|CPIP	LOC117137428|XP_033154749.1|DMAU
OG0002322	LOC120428054|XP_039448951.1|CPIP	LOC117150522|XP_033173333.1|DMAU
OG0002323	LOC120424360|XP_039444389.1|CPIP	LOC117136596|XP_033153473.1|DMAU
OG0002324	LOC120420799|XP_039439851.1|CPIP	LOC117140132|XP_033158787.1|DMAU
OG0002325	LOC120420805|XP_039439860.1|CPIP	LOC117140965|XP_033160082.1|DMAU
OG0002326	LOC120420810|XP_039439865.1|CPIP	LOC117139870|XP_033158418.1|DMAU
OG0002327	LOC120420797|XP_039439843.1|CPIP	LOC117145809|XP_033167501.1|DMAU, LOC117145811|XP_033167504.1|DMAU
OG0002328	LOC120426846|XP_039447568.1|CPIP	LOC117146661|XP_033168897.1|DMAU
OG0002329	LOC120420602|XP_039439614.1|CPIP	LOC117135233|XP_033151246.1|DMAU
OG0002330	LOC120420151|XP_039439051.1|CPIP	LOC117135234|XP_033151247.1|DMAU
OG0002331	LOC120420046|XP_039438891.1|CPIP	LOC117148617|XP_033171996.1|DMAU
OG0002332	LOC120428257|XP_039449185.1|CPIP	LOC117140844|XP_033159859.1|DMAU
OG0002333	LOC120431110|XP_039452197.1|CPIP	LOC117138652|XP_033156771.1|DMAU
OG0002334	LOC120428324|XP_039449255.1|CPIP	LOC117148490|XP_033171764.1|DMAU
OG0002335	LOC120425202|XP_039445567.1|CPIP, LOC120418964|XP_039437443.1|CPIP	LOC117138199|XP_033156018.1|DMAU
OG0002336	LOC120423645|XP_039443452.1|CPIP	LOC117141775|XP_033161296.1|DMAU
OG0002337	LOC120423129|XP_039442742.1|CPIP	LOC117136453|XP_033153263.1|DMAU
OG0002338	LOC120420900|XP_039439956.1|CPIP	LOC117148187|XP_033171351.1|DMAU
OG0002339	LOC120419774|XP_039438542.1|CPIP, LOC120415198|XP_039432590.1|CPIP	LOC117139204|XP_033157271.1|DMAU
OG0002340	LOC120424350|XP_039444376.1|CPIP	LOC117139907|XP_033158514.1|DMAU
OG0002341	LOC120421110|XP_039440203.1|CPIP	LOC117137433|XP_033154755.1|DMAU
OG0002342	LOC120421117|XP_039440211.1|CPIP	LOC117137768|XP_033155659.1|DMAU
OG0002343	LOC120415454|XP_039432933.1|CPIP	LOC117151013|XP_033174114.1|DMAU
OG0002344	LOC120415489|XP_039432990.1|CPIP	LOC117135601|XP_033151839.1|DMAU
OG0002345	LOC120415995|XP_039433582.1|CPIP	LOC117138268|XP_033156124.1|DMAU
OG0002346	LOC120416779|XP_039434578.1|CPIP	LOC117150598|XP_033173446.1|DMAU
OG0002347	LOC120416776|XP_039434575.1|CPIP	LOC117136705|XP_033153615.1|DMAU
OG0002348	LOC120416069|XP_039433671.1|CPIP	LOC117136916|XP_033153945.1|DMAU
OG0002349	LOC120426128|XP_039446764.1|CPIP, LOC120427962|XP_039448851.1|CPIP	LOC117138275|XP_033156133.1|DMAU
OG0002350	LOC120427961|XP_039448850.1|CPIP, LOC120426127|XP_039446763.1|CPIP	LOC117138264|XP_033156119.1|DMAU
OG0002351	LOC120419854|XP_039438625.1|CPIP	LOC117137955|XP_033155608.1|DMAU
OG0002352	LOC120427335|XP_039448120.1|CPIP	LOC117137886|XP_033155507.1|DMAU
OG0002353	LOC120419803|XP_039438573.1|CPIP	LOC117137326|XP_033154604.1|DMAU
OG0002354	LOC120416777|XP_039434576.1|CPIP	LOC117145910|XP_033167659.1|DMAU
OG0002355	LOC120424552|XP_039444651.1|CPIP	LOC117138171|XP_033155944.1|DMAU
OG0002356	LOC120412848|XP_039429404.1|CPIP	LOC117140066|XP_033158706.1|DMAU
OG0002357	LOC120412846|XP_039429403.1|CPIP	LOC117142500|XP_033162424.1|DMAU
OG0002358	LOC120415720|XP_039433249.1|CPIP	LOC117136165|XP_033152801.1|DMAU
OG0002359	LOC120427816|XP_039448674.1|CPIP	LOC117147754|XP_033170656.1|DMAU, LOC117147700|XP_033170579.1|DMAU
OG0002360	LOC120415533|XP_039433026.1|CPIP	LOC117143165|XP_033163572.1|DMAU
OG0002361	LOC120415542|XP_039433043.1|CPIP, LOC120421990|XP_039441238.1|CPIP	LOC117139541|XP_033157807.1|DMAU
OG0002362	LOC120417700|XP_039435783.1|CPIP, LOC120412454|XP_039428854.1|CPIP	LOC117140434|XP_033159247.1|DMAU
OG0002363	LOC120423975|XP_039443901.1|CPIP	LOC117148381|XP_033171633.1|DMAU
OG0002364	LOC120423992|XP_039443923.1|CPIP	LOC117137822|XP_033155401.1|DMAU
OG0002365	LOC120423996|XP_039443939.1|CPIP	LOC117143796|XP_033164534.1|DMAU
OG0002366	LOC120412503|XP_039428936.1|CPIP, LOC120418410|XP_039436723.1|CPIP	LOC117139700|XP_033158106.1|DMAU
OG0002367	LOC120421150|XP_039440274.1|CPIP	LOC117141606|XP_033161016.1|DMAU
OG0002368	LOC120419647|XP_039438337.1|CPIP	LOC117135162|XP_033151114.1|DMAU
OG0002369	LOC120429906|XP_039450934.1|CPIP	LOC117147568|XP_033170402.1|DMAU
OG0002370	LOC120415512|XP_039433002.1|CPIP	LOC117150525|XP_033173339.1|DMAU
OG0002371	LOC120415513|XP_039433004.1|CPIP	LOC117146264|XP_033168134.1|DMAU
OG0002372	LOC120417285|XP_039435170.1|CPIP	LOC117150697|XP_033173600.1|DMAU
OG0002373	LOC120419153|XP_039437731.1|CPIP	LOC117135205|XP_033151181.1|DMAU
OG0002374	LOC120429067|XP_039450143.1|CPIP	LOC117142274|XP_033162043.1|DMAU
OG0002375	LOC120416343|XP_039434003.1|CPIP	LOC117142777|XP_033162856.1|DMAU
OG0002376	LOC120414302|XP_039431374.1|CPIP	LOC117140820|XP_033159821.1|DMAU
OG0002377	LOC120414304|XP_039431377.1|CPIP	LOC117144383|XP_033165407.1|DMAU
OG0002378	LOC120426574|XP_039447293.1|CPIP	LOC117142104|XP_033161880.1|DMAU
OG0002379	LOC120425772|XP_039446316.1|CPIP	LOC117141491|XP_033160871.1|DMAU
OG0002380	LOC120424705|XP_039444819.1|CPIP	LOC117147062|XP_033169712.1|DMAU
OG0002381	LOC120432390|XP_039453519.1|CPIP	LOC117138445|XP_033156449.1|DMAU
OG0002382	LOC120426818|XP_039447535.1|CPIP	LOC117146594|XP_033168807.1|DMAU
OG0002383	LOC120426827|XP_039447548.1|CPIP	LOC117140391|XP_033159149.1|DMAU
OG0002384	LOC120431525|XP_039452555.1|CPIP, LOC120418785|XP_039437200.1|CPIP, LOC120418839|XP_039437298.1|CPIP	LOC117146766|XP_033169158.1|DMAU
OG0002386	LOC120419452|XP_039438071.1|CPIP	LOC117145512|XP_033167092.1|DMAU
OG0002387	LOC120417667|XP_039435725.1|CPIP	LOC117144477|XP_033165544.1|DMAU
OG0002388	LOC120426320|XP_039447013.1|CPIP	LOC117142705|XP_033162755.1|DMAU
OG0002389	LOC120425212|XP_039445577.1|CPIP	LOC117145535|XP_033167120.1|DMAU
OG0002390	LOC120421608|XP_039440768.1|CPIP	LOC117150414|XP_033173172.1|DMAU
OG0002391	LOC120416973|XP_039434828.1|CPIP	LOC117137438|XP_033154764.1|DMAU
OG0002392	LOC120419110|XP_039437638.1|CPIP	LOC117141322|XP_033160607.1|DMAU
OG0002393	LOC120432181|XP_039453255.1|CPIP	LOC117139630|XP_033157979.1|DMAU
OG0002394	LOC120432201|XP_039453292.1|CPIP	LOC117142308|XP_033162091.1|DMAU
OG0002395	LOC120432165|XP_039453231.1|CPIP	LOC117144465|XP_033165518.1|DMAU
OG0002396	LOC120413852|XP_039430746.1|CPIP	LOC117138417|XP_033156405.1|DMAU
OG0002397	LOC120419717|XP_039438438.1|CPIP, LOC120424009|XP_039443957.1|CPIP	LOC117137696|XP_033155156.1|DMAU
OG0002398	LOC120416749|XP_039434516.1|CPIP, LOC120427911|XP_039448784.1|CPIP	LOC117146953|XP_033169505.1|DMAU
OG0002399	LOC120427919|XP_039448791.1|CPIP	LOC117137773|XP_033155286.1|DMAU
OG0002400	LOC120417067|XP_039434958.1|CPIP	LOC117136047|XP_033152581.1|DMAU
OG0002401	LOC120417110|XP_039435020.1|CPIP, LOC120415889|XP_039433464.1|CPIP	LOC117146322|XP_033168276.1|DMAU
OG0002402	LOC120417504|XP_039435515.1|CPIP	LOC117144737|XP_033165976.1|DMAU
OG0002403	LOC120417531|XP_039435547.1|CPIP	LOC117145260|XP_033166734.1|DMAU
OG0002404	LOC120417503|XP_039435513.1|CPIP	LOC117145996|XP_033167801.1|DMAU
OG0002405	LOC120421244|XP_039440379.1|CPIP	LOC117144879|XP_033166181.1|DMAU
OG0002406	LOC120417335|XP_039435270.1|CPIP	LOC117140489|XP_033159339.1|DMAU
OG0002407	LOC120413756|XP_039430624.1|CPIP	LOC117142537|XP_033162474.1|DMAU
OG0002408	LOC120413753|XP_039430619.1|CPIP, LOC120413777|XP_039430654.1|CPIP	LOC117143065|XP_033163413.1|DMAU
OG0002410	LOC120413937|XP_039430868.1|CPIP	LOC117144167|XP_033165093.1|DMAU
OG0002411	LOC120413072|XP_039429708.1|CPIP	LOC117143397|XP_033163977.1|DMAU
OG0002412	LOC120413056|XP_039429694.1|CPIP	LOC117141953|XP_033161600.1|DMAU
OG0002413	LOC120413062|XP_039429698.1|CPIP	LOC117146537|XP_033168703.1|DMAU
OG0002414	LOC120413065|XP_039429703.1|CPIP	LOC117141932|XP_033161561.1|DMAU
OG0002415	LOC120413068|XP_039429704.1|CPIP, LOC120423283|XP_039442983.1|CPIP	LOC117143530|XP_033164152.1|DMAU
OG0002417	LOC120417884|XP_039436038.1|CPIP	LOC117135176|XP_033151132.1|DMAU
OG0002418	LOC120432324|XP_039453444.1|CPIP, LOC120417865|XP_039436018.1|CPIP	LOC117139388|XP_033157541.1|DMAU
OG0002419	LOC120419334|XP_039437939.1|CPIP, LOC120421352|XP_039440471.1|CPIP	LOC117147567|XP_033170401.1|DMAU
OG0002420	LOC120414018|XP_039430967.1|CPIP	LOC117141967|XP_033161655.1|DMAU
OG0002421	LOC120425950|XP_039446521.1|CPIP	LOC117145765|XP_033167422.1|DMAU
OG0002422	LOC120425902|XP_039446456.1|CPIP	LOC117143695|XP_033164381.1|DMAU
OG0002423	LOC120423429|XP_039443167.1|CPIP	LOC117141946|XP_033161594.1|DMAU
OG0002424	LOC120421718|XP_039440903.1|CPIP	LOC117146288|XP_033168185.1|DMAU
OG0002425	LOC120422248|XP_039441578.1|CPIP	LOC117146905|XP_033169406.1|DMAU
OG0002426	LOC120418236|XP_039436472.1|CPIP, LOC120422710|XP_039442159.1|CPIP	LOC117140523|XP_033159393.1|DMAU
OG0002427	LOC120418259|XP_039436510.1|CPIP, LOC120422748|XP_039442225.1|CPIP	LOC117146304|XP_033168234.1|DMAU
OG0002428	LOC120431600|XP_039452639.1|CPIP	LOC117148820|XP_033172358.1|DMAU
OG0002429	LOC120427310|XP_039448096.1|CPIP	LOC117139709|XP_033158116.1|DMAU
OG0002430	LOC120423155|XP_039442768.1|CPIP	LOC117138383|XP_033156343.1|DMAU
OG0002431	LOC120419418|XP_039438029.1|CPIP	LOC117138527|XP_033156556.1|DMAU
OG0002432	LOC120419450|XP_039438064.1|CPIP	LOC117148848|XP_033172398.1|DMAU
OG0002433	LOC120430598|XP_039451637.1|CPIP, LOC120424117|XP_039444090.1|CPIP	LOC117146109|XP_033167985.1|DMAU
OG0002434	LOC120421346|XP_039440459.1|CPIP	LOC117143056|XP_033163395.1|DMAU
OG0002435	LOC120427004|XP_039447756.1|CPIP	LOC117146372|XP_033168419.1|DMAU
OG0002436	LOC120419932|XP_039438731.1|CPIP	LOC117135825|XP_033152224.1|DMAU
OG0002437	LOC120420861|XP_039439913.1|CPIP	LOC117136420|XP_033153222.1|DMAU
OG0002438	LOC120429857|XP_039450858.1|CPIP, LOC120432033|XP_039453101.1|CPIP	LOC117146990|XP_033169552.1|DMAU
OG0002439	LOC120428165|XP_039449079.1|CPIP	LOC117135150|XP_033151099.1|DMAU
OG0002440	LOC120422160|XP_039441467.1|CPIP	LOC117140022|XP_033158643.1|DMAU
OG0002441	LOC120427538|XP_039448341.1|CPIP	LOC117137564|XP_033154960.1|DMAU, LOC117137563|XP_033154958.1|DMAU
OG0002442	LOC120418442|XP_039436785.1|CPIP, LOC120416743|XP_039434512.1|CPIP	LOC117137180|XP_033154393.1|DMAU
OG0002443	LOC120424759|XP_039444887.1|CPIP, LOC120414225|XP_039431270.1|CPIP	LOC117135552|XP_033151742.1|DMAU
OG0002444	LOC120414219|XP_039431260.1|CPIP, LOC120424751|XP_039444878.1|CPIP	LOC117135452|XP_033151527.1|DMAU
OG0002446	LOC120417578|XP_039435622.1|CPIP	LOC117137944|XP_033155597.1|DMAU
OG0002447	LOC120415256|XP_039432656.1|CPIP	LOC117139419|XP_033157589.1|DMAU
OG0002448	LOC120429321|XP_039450475.1|CPIP	LOC117136219|XP_033152885.1|DMAU
OG0002449	LOC120415320|XP_039432737.1|CPIP	LOC117137906|XP_033155542.1|DMAU
OG0002450	LOC120424564|XP_039444670.1|CPIP	LOC117144611|XP_033165794.1|DMAU
OG0002451	LOC120424319|XP_039444350.1|CPIP	LOC117137394|XP_033154705.1|DMAU
OG0002452	LOC120418456|XP_039436815.1|CPIP	LOC117135980|XP_033152485.1|DMAU
OG0002453	LOC120418430|XP_039436743.1|CPIP	LOC117135969|XP_033152466.1|DMAU
OG0002454	LOC120420393|XP_039439339.1|CPIP	LOC117139638|XP_033157989.1|DMAU
OG0002455	LOC120420386|XP_039439333.1|CPIP	LOC117139637|XP_033157988.1|DMAU
OG0002456	LOC120416221|XP_039433854.1|CPIP	LOC117136876|XP_033153870.1|DMAU
OG0002457	LOC120414896|XP_039432156.1|CPIP	LOC117136650|XP_033153536.1|DMAU
OG0002458	LOC120427334|XP_039448119.1|CPIP	LOC117150446|XP_033173223.1|DMAU
OG0002459	LOC120427047|XP_039447812.1|CPIP	LOC117135942|XP_033152413.1|DMAU
OG0002460	LOC120425007|XP_039445316.1|CPIP	LOC117137521|XP_033154896.1|DMAU
OG0002461	LOC120425044|XP_039445353.1|CPIP	LOC117138571|XP_033156634.1|DMAU
OG0002462	LOC120428513|XP_039449460.1|CPIP	LOC117136162|XP_033152775.1|DMAU
OG0002463	LOC120421450|XP_039440593.1|CPIP	LOC117136232|XP_033152905.1|DMAU
OG0002464	LOC120421465|XP_039440614.1|CPIP	LOC117137182|XP_033154395.1|DMAU
OG0002465	LOC120421458|XP_039440603.1|CPIP	LOC117137215|XP_033154462.1|DMAU
OG0002466	LOC120426849|XP_039447573.1|CPIP, LOC120427342|XP_039448132.1|CPIP	LOC117146344|XP_033168372.1|DMAU
OG0002467	LOC120428607|XP_039449563.1|CPIP	LOC117141462|XP_033160810.1|DMAU
OG0002468	LOC120414044|XP_039430998.1|CPIP	LOC117140006|XP_033158611.1|DMAU
OG0002469	LOC120415164|XP_039432535.1|CPIP	LOC117144065|XP_033164965.1|DMAU
OG0002470	LOC120415205|XP_039432594.1|CPIP	LOC117138201|XP_033156022.1|DMAU
OG0002471	LOC120419167|XP_039437753.1|CPIP	LOC117137386|XP_033154691.1|DMAU
OG0002472	LOC120419151|XP_039437724.1|CPIP	LOC117137522|XP_033154897.1|DMAU
OG0002473	LOC120425528|XP_039446016.1|CPIP, LOC120419160|XP_039437743.1|CPIP	LOC117137044|XP_033154144.1|DMAU
OG0002474	LOC120415830|XP_039433394.1|CPIP	LOC117141904|XP_033161501.1|DMAU
OG0002475	LOC120412342|XP_039428676.1|CPIP	LOC117142295|XP_033162073.1|DMAU
OG0002476	LOC120416844|XP_039434666.1|CPIP	LOC117136008|XP_033152515.1|DMAU
OG0002477	LOC120418586|XP_039436967.1|CPIP	LOC117138100|XP_033155848.1|DMAU
OG0002478	LOC120427138|XP_039447928.1|CPIP	LOC117136687|XP_033153591.1|DMAU
OG0002479	LOC120421876|XP_039441107.1|CPIP	LOC117136375|XP_033153156.1|DMAU
OG0002480	LOC120415167|XP_039432539.1|CPIP	LOC117138285|XP_033156147.1|DMAU
