Orthogroup	CPIP.longest_only	SLEB.longest_only
OG0001869	LOC120425313|XP_039445713.1|CPIP	LOC115620529|XP_030369658.1|SLEB
OG0001870	LOC120424530|XP_039444625.1|CPIP	LOC115628839|XP_030380941.1|SLEB
OG0001871	LOC120432495|XP_039453645.1|CPIP	LOC115628959|XP_030381094.1|SLEB
OG0001872	LOC120416400|XP_039434080.1|CPIP	LOC115621411|XP_030370918.1|SLEB
OG0001873	LOC120415625|XP_039433159.1|CPIP	LOC115620540|XP_030369680.1|SLEB
OG0001874	LOC120416923|XP_039434763.1|CPIP	LOC115626911|XP_030378281.1|SLEB, LOC115620812|XP_030370098.1|SLEB
OG0001875	LOC120418476|XP_039436877.1|CPIP, LOC120423876|XP_039443758.1|CPIP	LOC115620582|XP_030369747.1|SLEB
OG0001876	LOC120418093|XP_039436295.1|CPIP, LOC120419900|XP_039438702.1|CPIP	LOC115629125|XP_030381321.1|SLEB
OG0001877	LOC120418096|XP_039436298.1|CPIP, LOC120419899|XP_039438701.1|CPIP	LOC115627395|XP_030378910.1|SLEB
OG0001878	LOC120426437|XP_039447133.1|CPIP	LOC115621262|XP_030370720.1|SLEB
OG0001879	LOC120427444|XP_039448246.1|CPIP	LOC115620786|XP_030370060.1|SLEB
OG0001880	LOC120417856|XP_039436010.1|CPIP	LOC115621089|XP_030370482.1|SLEB
OG0001881	LOC120417206|XP_039435105.1|CPIP	LOC115623879|XP_030374289.1|SLEB
OG0001882	LOC120417207|XP_039435107.1|CPIP	LOC115620456|XP_030369546.1|SLEB
OG0001883	LOC120429671|XP_039450634.1|CPIP, LOC120424512|XP_039444600.1|CPIP	LOC115621930|XP_030371637.1|SLEB
OG0001884	LOC120427183|XP_039447981.1|CPIP	LOC115620600|XP_030369773.1|SLEB
OG0001886	LOC120426734|XP_039447440.1|CPIP	LOC115625519|XP_030376443.1|SLEB
OG0001887	LOC120421810|XP_039441022.1|CPIP, LOC120420156|XP_039439056.1|CPIP	LOC115625274|XP_030376141.1|SLEB
OG0001888	LOC120421794|XP_039440999.1|CPIP	LOC115624398|XP_030374987.1|SLEB
OG0001889	LOC120421817|XP_039441029.1|CPIP	LOC115627423|XP_030378952.1|SLEB
OG0001890	LOC120421819|XP_039441031.1|CPIP	LOC115628171|XP_030380013.1|SLEB
OG0001891	LOC120421797|XP_039441002.1|CPIP	LOC115620477|XP_030369570.1|SLEB
OG0001892	LOC120415681|XP_039433204.1|CPIP	LOC115628648|XP_030380677.1|SLEB
OG0001893	LOC120425738|XP_039446277.1|CPIP	LOC115621158|XP_030370575.1|SLEB
OG0001894	LOC120425748|XP_039446287.1|CPIP	LOC115634812|XP_030388588.1|SLEB
OG0001895	LOC120418343|XP_039436626.1|CPIP	LOC115627735|XP_030379364.1|SLEB
OG0001896	LOC120415694|XP_039433223.1|CPIP	LOC115627734|XP_030379358.1|SLEB
OG0001897	LOC120427898|XP_039448767.1|CPIP	LOC115629453|XP_030381777.1|SLEB
OG0001898	LOC120416658|XP_039434404.1|CPIP	LOC115627506|XP_030379059.1|SLEB
OG0001899	LOC120428908|XP_039449983.1|CPIP	LOC115620936|XP_030370307.1|SLEB
OG0001900	LOC120416618|XP_039434352.1|CPIP	LOC115630576|XP_030383057.1|SLEB
OG0001901	LOC120426679|XP_039447386.1|CPIP	LOC115626207|XP_030377351.1|SLEB
OG0001902	LOC120431651|XP_039452692.1|CPIP	LOC115628647|XP_030380676.1|SLEB
OG0001903	LOC120430274|XP_039451297.1|CPIP	LOC115620357|XP_030369420.1|SLEB
OG0001904	LOC120432505|XP_039453659.1|CPIP, LOC120415965|XP_039433543.1|CPIP, LOC120431715|XP_039452771.1|CPIP	LOC115621793|XP_030371425.1|SLEB
OG0001906	LOC120429813|XP_039450797.1|CPIP	LOC115621567|XP_030371108.1|SLEB
OG0001907	LOC120421012|XP_039440065.1|CPIP	LOC115627853|XP_030379574.1|SLEB
OG0001908	LOC120423816|XP_039443671.1|CPIP	LOC115620336|XP_030369393.1|SLEB
OG0001909	LOC120417097|XP_039435009.1|CPIP	LOC115628677|XP_030380711.1|SLEB
OG0001910	LOC120420775|XP_039439820.1|CPIP, LOC120420773|XP_039439816.1|CPIP	LOC115625361|XP_030376256.1|SLEB
OG0001911	LOC120428292|XP_039449219.1|CPIP, LOC120423330|XP_039443025.1|CPIP	LOC115621012|XP_030370392.1|SLEB
OG0001912	LOC120423593|XP_039443389.1|CPIP	LOC115626721|XP_030378029.1|SLEB
OG0001913	LOC120423525|XP_039443306.1|CPIP, LOC120423522|XP_039443304.1|CPIP, LOC120423523|XP_039443305.1|CPIP, LOC120423565|XP_039443350.1|CPIP, LOC120423584|XP_039443378.1|CPIP	LOC115630737|XP_030383251.1|SLEB
OG0001914	LOC120428358|XP_039449297.1|CPIP, LOC120432115|XP_039453184.1|CPIP, LOC120423554|XP_039443332.1|CPIP	LOC115625053|XP_030375765.1|SLEB
OG0001915	LOC120428071|XP_039448978.1|CPIP	LOC115622564|XP_030372394.1|SLEB
OG0001916	LOC120428687|XP_039449691.1|CPIP	LOC115620169|XP_030369158.1|SLEB, LOC115630214|XP_030382640.1|SLEB
OG0001917	LOC120423008|XP_039442572.1|CPIP	LOC115632734|XP_030385840.1|SLEB, LOC115632382|XP_030385371.1|SLEB
OG0001918	LOC120421757|XP_039440964.1|CPIP, LOC120413534|XP_039430343.1|CPIP, LOC120418882|XP_039437350.1|CPIP	LOC115622243|XP_030371999.1|SLEB
OG0001919	LOC120424196|XP_039444189.1|CPIP	LOC115625611|XP_030376610.1|SLEB
OG0001920	LOC120429774|XP_039450765.1|CPIP	LOC115633095|XP_030386335.1|SLEB
OG0001921	LOC120417829|XP_039435979.1|CPIP	LOC115633945|XP_030387322.1|SLEB
OG0001922	LOC120419738|XP_039438474.1|CPIP, LOC120426631|XP_039447357.1|CPIP	LOC115632761|XP_030385873.1|SLEB
OG0001923	LOC120414208|XP_039431227.1|CPIP	LOC115633094|XP_030386334.1|SLEB
OG0001924	LOC120417414|XP_039435391.1|CPIP	LOC115624314|XP_030374803.1|SLEB
OG0001925	LOC120426340|XP_039447039.1|CPIP	LOC115622308|XP_030372073.1|SLEB
OG0001926	LOC120424376|XP_039444407.1|CPIP	LOC115622517|XP_030372332.1|SLEB
OG0001927	LOC120422853|XP_039442336.1|CPIP	LOC115629465|XP_030381799.1|SLEB
OG0001928	LOC120422882|XP_039442376.1|CPIP	LOC115622816|XP_030372746.1|SLEB
OG0001929	LOC120425920|XP_039446477.1|CPIP	LOC115622118|XP_030371823.1|SLEB
OG0001930	LOC120424411|XP_039444453.1|CPIP, LOC120426050|XP_039446672.1|CPIP	LOC115631050|XP_030383548.1|SLEB
OG0001932	LOC120420572|XP_039439584.1|CPIP	LOC115633085|XP_030386320.1|SLEB
OG0001933	LOC120429654|XP_039450614.1|CPIP	LOC115634066|XP_030387471.1|SLEB
OG0001934	LOC120415740|XP_039433276.1|CPIP	LOC115622258|XP_030372018.1|SLEB
OG0001935	LOC120424879|XP_039445074.1|CPIP	LOC115632367|XP_030385344.1|SLEB
OG0001937	LOC120429902|XP_039450933.1|CPIP	LOC115620076|XP_030369101.1|SLEB
OG0001938	LOC120430101|XP_039451124.1|CPIP	LOC115633357|XP_030386661.1|SLEB
OG0001939	LOC120430953|XP_039452015.1|CPIP	LOC115624643|XP_030375277.1|SLEB
OG0001940	LOC120421328|XP_039440429.1|CPIP	LOC115634150|XP_030387583.1|SLEB
OG0001941	LOC120412386|XP_039428757.1|CPIP	LOC115632452|XP_030385463.1|SLEB
OG0001942	LOC120428746|XP_039449758.1|CPIP, LOC120428752|XP_039449767.1|CPIP	LOC115625054|XP_030375821.1|SLEB
OG0001943	LOC120424832|XP_039444994.1|CPIP	LOC115633024|XP_030386208.1|SLEB
OG0001944	LOC120413226|XP_039429886.1|CPIP	LOC115624798|XP_030375502.1|SLEB
OG0001945	LOC120418475|XP_039436842.1|CPIP	LOC115630519|XP_030382984.1|SLEB
OG0001946	LOC120420123|XP_039439006.1|CPIP	LOC115630326|XP_030382727.1|SLEB
OG0001947	LOC120420099|XP_039438979.1|CPIP	LOC115633391|XP_030386736.1|SLEB
OG0001948	LOC120418050|XP_039436235.1|CPIP	LOC115624732|XP_030375418.1|SLEB
OG0001949	LOC120420658|XP_039439682.1|CPIP	LOC115622502|XP_030372310.1|SLEB
OG0001950	LOC120412372|XP_039428727.1|CPIP	LOC115625531|XP_030376464.1|SLEB
OG0001951	LOC120420155|XP_039439052.1|CPIP	LOC115634452|XP_030388033.1|SLEB
OG0001952	LOC120412591|XP_039429053.1|CPIP	LOC115627259|XP_030378757.1|SLEB
OG0001953	LOC120412898|XP_039429463.1|CPIP	LOC115621298|XP_030370768.1|SLEB
OG0001954	LOC120428611|XP_039449573.1|CPIP, LOC120423613|XP_039443414.1|CPIP	LOC115631191|XP_030383745.1|SLEB
OG0001955	LOC120423605|XP_039443404.1|CPIP	LOC115631313|XP_030383887.1|SLEB, LOC115622273|XP_030372038.1|SLEB
OG0001956	LOC120416540|XP_039434197.1|CPIP	LOC115632557|XP_030385630.1|SLEB
OG0001957	LOC120420076|XP_039438934.1|CPIP	LOC115629432|XP_030381753.1|SLEB
OG0001958	LOC120418538|XP_039436908.1|CPIP	LOC115628749|XP_030380851.1|SLEB
OG0001960	LOC120417614|XP_039435662.1|CPIP	LOC115628349|XP_030380282.1|SLEB
OG0001961	LOC120423619|XP_039443423.1|CPIP, LOC120416060|XP_039433658.1|CPIP	LOC115625912|XP_030377008.1|SLEB
OG0001962	LOC120419531|XP_039438176.1|CPIP	LOC115634803|XP_030388576.1|SLEB
OG0001963	LOC120424975|XP_039445265.1|CPIP	LOC115632270|XP_030385211.1|SLEB
OG0001964	LOC120414117|XP_039431078.1|CPIP	LOC115628265|XP_030380144.1|SLEB
OG0001966	LOC120415806|XP_039433364.1|CPIP, LOC120426922|XP_039447663.1|CPIP	LOC115621306|XP_030370778.1|SLEB
OG0001967	LOC120427113|XP_039447896.1|CPIP	LOC115633270|XP_030386542.1|SLEB
OG0001968	LOC120427121|XP_039447908.1|CPIP	LOC115632235|XP_030385154.1|SLEB
OG0001969	LOC120422690|XP_039442133.1|CPIP	LOC115629718|XP_030382103.1|SLEB
OG0001970	LOC120417470|XP_039435472.1|CPIP	LOC115631595|XP_030384260.1|SLEB
OG0001971	LOC120421398|XP_039440533.1|CPIP	LOC115626900|XP_030378269.1|SLEB
OG0001972	LOC120421381|XP_039440511.1|CPIP	LOC115633736|XP_030387067.1|SLEB
OG0001973	LOC120429163|XP_039450304.1|CPIP, LOC120430005|XP_039451041.1|CPIP	LOC115630544|XP_030383017.1|SLEB
OG0001974	LOC120414968|XP_039432233.1|CPIP	LOC115623352|XP_030373499.1|SLEB
OG0001975	LOC120416053|XP_039433649.1|CPIP	LOC115632670|XP_030385764.1|SLEB, LOC115632667|XP_030385761.1|SLEB, LOC115632672|XP_030385766.1|SLEB
OG0001976	LOC120416313|XP_039433969.1|CPIP	LOC115620028|XP_030368991.1|SLEB
OG0001977	LOC120426547|XP_039447251.1|CPIP, LOC120426354|XP_039447050.1|CPIP	LOC115626144|XP_030377268.1|SLEB
OG0001978	LOC120427687|XP_039448510.1|CPIP	LOC115630531|XP_030382995.1|SLEB
OG0001979	LOC120419194|XP_039437800.1|CPIP	LOC115622414|XP_030372208.1|SLEB, LOC115630969|XP_030383408.1|SLEB
OG0001980	LOC120415672|XP_039433189.1|CPIP	LOC115628545|XP_030380566.1|SLEB
OG0001982	LOC120419190|XP_039437794.1|CPIP	LOC115626379|XP_030377594.1|SLEB
OG0001983	LOC120414077|XP_039431032.1|CPIP	LOC115630060|XP_030382554.1|SLEB
OG0001984	LOC120414105|XP_039431063.1|CPIP	LOC115626407|XP_030377632.1|SLEB
OG0001985	LOC120422386|XP_039441733.1|CPIP	LOC115626195|XP_030377336.1|SLEB
OG0001986	LOC120430331|XP_039451366.1|CPIP	LOC115629074|XP_030381250.1|SLEB
OG0001987	LOC120431823|XP_039452877.1|CPIP, LOC120414770|XP_039432018.1|CPIP	LOC115627361|XP_030378870.1|SLEB
OG0001988	LOC120418943|XP_039437415.1|CPIP	LOC115624248|XP_030375102.1|SLEB
OG0001989	LOC120414766|XP_039432013.1|CPIP	LOC115631503|XP_030384123.1|SLEB
OG0001990	LOC120427784|XP_039448642.1|CPIP	LOC115631549|XP_030384186.1|SLEB
OG0001991	LOC120414782|XP_039432028.1|CPIP	LOC115633459|XP_030386774.1|SLEB
OG0001992	LOC120429761|XP_039450747.1|CPIP, LOC120430622|XP_039451649.1|CPIP, LOC120431608|XP_039452646.1|CPIP	LOC115631134|XP_030383662.1|SLEB
OG0001993	LOC120415092|XP_039432445.1|CPIP, LOC120420891|XP_039439947.1|CPIP	LOC115626212|XP_030377363.1|SLEB
OG0001994	LOC120420105|XP_039438990.1|CPIP	LOC115620309|XP_030369353.1|SLEB
OG0001995	LOC120423638|XP_039443446.1|CPIP	LOC115625791|XP_030376825.1|SLEB
OG0001997	LOC120423172|XP_039442793.1|CPIP	LOC115623018|XP_030373048.1|SLEB, LOC115626740|XP_030378052.1|SLEB
OG0001998	LOC120422362|XP_039441707.1|CPIP	LOC115627825|XP_030379523.1|SLEB
OG0001999	LOC120424412|XP_039444454.1|CPIP	LOC115627840|XP_030379555.1|SLEB
OG0002000	LOC120416072|XP_039433675.1|CPIP	LOC115631813|XP_030384509.1|SLEB
OG0002001	LOC120430517|XP_039451561.1|CPIP	LOC115630473|XP_030382905.1|SLEB
OG0002002	LOC120419842|XP_039438611.1|CPIP	LOC115631299|XP_030383877.1|SLEB
OG0002003	LOC120412842|XP_039429398.1|CPIP	LOC115626386|XP_030377604.1|SLEB
OG0002004	LOC120413518|XP_039430313.1|CPIP	LOC115630532|XP_030382996.1|SLEB
OG0002005	LOC120416771|XP_039434563.1|CPIP	LOC115626358|XP_030377569.1|SLEB
OG0002006	LOC120423468|XP_039443227.1|CPIP	LOC115631952|XP_030384666.1|SLEB
OG0002008	LOC120415534|XP_039433027.1|CPIP	LOC115628013|XP_030379798.1|SLEB
OG0002009	LOC120415589|XP_039433114.1|CPIP	LOC115633645|XP_030386950.1|SLEB
OG0002010	LOC120421995|XP_039441241.1|CPIP	LOC115626262|XP_030377431.1|SLEB
OG0002011	LOC120421156|XP_039440280.1|CPIP	LOC115625985|XP_030377091.1|SLEB
OG0002012	LOC120417784|XP_039435880.1|CPIP, LOC120412482|XP_039428907.1|CPIP	LOC115630790|XP_030383305.1|SLEB
OG0002013	LOC120415549|XP_039433053.1|CPIP	LOC115625787|XP_030376817.1|SLEB
OG0002014	LOC120418715|XP_039437122.1|CPIP	LOC115624613|XP_030375225.1|SLEB
OG0002015	LOC120419666|XP_039438364.1|CPIP	LOC115632054|XP_030384888.1|SLEB
OG0002016	LOC120432429|XP_039453578.1|CPIP	LOC115634113|XP_030387531.1|SLEB
OG0002017	LOC120432426|XP_039453565.1|CPIP	LOC115630966|XP_030383405.1|SLEB
OG0002018	LOC120423389|XP_039443107.1|CPIP	LOC115626211|XP_030377362.1|SLEB
OG0002019	LOC120412660|XP_039429156.1|CPIP	LOC115631601|XP_030384263.1|SLEB, LOC115631600|XP_030384262.1|SLEB
OG0002020	LOC120423990|XP_039443921.1|CPIP	LOC115625933|XP_030377030.1|SLEB
OG0002021	LOC120430575|XP_039451616.1|CPIP, LOC120423971|XP_039443897.1|CPIP	LOC115634191|XP_030387638.1|SLEB
OG0002022	LOC120414027|XP_039430984.1|CPIP	LOC115630511|XP_030382971.1|SLEB
OG0002023	LOC120412669|XP_039429165.1|CPIP	LOC115620321|XP_030369374.1|SLEB
OG0002024	LOC120419040|XP_039437540.1|CPIP	LOC115625374|XP_030376271.1|SLEB, LOC115630976|XP_030383415.1|SLEB, LOC115627214|XP_030378694.1|SLEB
OG0002025	LOC120429066|XP_039450141.1|CPIP	LOC115631413|XP_030383999.1|SLEB
OG0002026	LOC120423191|XP_039442824.1|CPIP	LOC115634024|XP_030387417.1|SLEB, LOC115625951|XP_030377050.1|SLEB
OG0002027	LOC120420630|XP_039439637.1|CPIP	LOC115620035|XP_030369006.1|SLEB
OG0002028	LOC120420635|XP_039439645.1|CPIP	LOC115629426|XP_030381744.1|SLEB
OG0002029	LOC120416142|XP_039433752.1|CPIP	LOC115623073|XP_030373134.1|SLEB
OG0002030	LOC120416219|XP_039433852.1|CPIP	LOC115632284|XP_030385238.1|SLEB
OG0002031	LOC120415104|XP_039432456.1|CPIP	LOC115622922|XP_030372907.1|SLEB, LOC115633238|XP_030386493.1|SLEB, LOC115622929|XP_030372917.1|SLEB, LOC115627216|XP_030378699.1|SLEB
OG0002032	LOC120419421|XP_039438033.1|CPIP	LOC115623392|XP_030373559.1|SLEB
OG0002033	LOC120418864|XP_039437335.1|CPIP	LOC115629149|XP_030381371.1|SLEB
OG0002034	LOC120419537|XP_039438184.1|CPIP	LOC115627811|XP_030379501.1|SLEB
OG0002035	LOC120418911|XP_039437376.1|CPIP	LOC115623568|XP_030373825.1|SLEB
OG0002036	LOC120413806|XP_039430699.1|CPIP	LOC115625563|XP_030376516.1|SLEB
OG0002037	LOC120426341|XP_039447036.1|CPIP	LOC115624723|XP_030375404.1|SLEB
OG0002038	LOC120419712|XP_039438434.1|CPIP	LOC115623497|XP_030373734.1|SLEB
OG0002039	LOC120432387|XP_039453516.1|CPIP	LOC115628097|XP_030379938.1|SLEB
OG0002040	LOC120424088|XP_039444039.1|CPIP	LOC115621440|XP_030370953.1|SLEB
OG0002041	LOC120417055|XP_039434941.1|CPIP	LOC115620037|XP_030369016.1|SLEB
OG0002042	LOC120421220|XP_039440356.1|CPIP	LOC115623851|XP_030374255.1|SLEB
OG0002043	LOC120428111|XP_039449028.1|CPIP	LOC115625179|XP_030376004.1|SLEB
OG0002044	LOC120413784|XP_039430662.1|CPIP	LOC115621986|XP_030371698.1|SLEB
OG0002045	LOC120422098|XP_039441384.1|CPIP	LOC115624425|XP_030375024.1|SLEB
OG0002046	LOC120413953|XP_039430890.1|CPIP	LOC115626883|XP_030378253.1|SLEB
OG0002047	LOC120413023|XP_039429625.1|CPIP	LOC115629153|XP_030381378.1|SLEB
OG0002048	LOC120413048|XP_039429675.1|CPIP	LOC115623913|XP_030374329.1|SLEB, LOC115624061|XP_030374506.1|SLEB
OG0002049	LOC120413018|XP_039429611.1|CPIP	LOC115623340|XP_030373471.1|SLEB
OG0002050	LOC120430297|XP_039451330.1|CPIP	LOC115625161|XP_030375950.1|SLEB
OG0002053	LOC120421361|XP_039440494.1|CPIP	LOC115623759|XP_030374154.1|SLEB
OG0002054	LOC120422046|XP_039441311.1|CPIP	LOC115621869|XP_030371551.1|SLEB
OG0002055	LOC120432078|XP_039453145.1|CPIP	LOC115623698|XP_030374034.1|SLEB
OG0002056	LOC120422725|XP_039442187.1|CPIP	LOC115624615|XP_030375226.1|SLEB
OG0002057	LOC120422721|XP_039442185.1|CPIP	LOC115631304|XP_030383879.1|SLEB
OG0002058	LOC120422720|XP_039442184.1|CPIP	LOC115623467|XP_030373689.1|SLEB
OG0002059	LOC120422719|XP_039442181.1|CPIP	LOC115625167|XP_030375958.1|SLEB
OG0002060	LOC120418253|XP_039436500.1|CPIP, LOC120422711|XP_039442170.1|CPIP	LOC115623559|XP_030373854.1|SLEB
OG0002061	LOC120422716|XP_039442176.1|CPIP, LOC120418238|XP_039436475.1|CPIP	LOC115620148|XP_030369153.1|SLEB
OG0002064	LOC120427824|XP_039448680.1|CPIP	LOC115629217|XP_030381483.1|SLEB
OG0002066	LOC120424112|XP_039444072.1|CPIP	LOC115625064|XP_030375799.1|SLEB
OG0002067	LOC120424122|XP_039444097.1|CPIP	LOC115624831|XP_030375538.1|SLEB, LOC115629428|XP_030381746.1|SLEB
OG0002068	LOC120429305|XP_039450465.1|CPIP	LOC115630546|XP_030383015.1|SLEB
OG0002069	LOC120416648|XP_039434392.1|CPIP	LOC115625986|XP_030377092.1|SLEB
OG0002070	LOC120416657|XP_039434401.1|CPIP	LOC115625296|XP_030376171.1|SLEB
OG0002071	LOC120414983|XP_039432267.1|CPIP	LOC115621844|XP_030371516.1|SLEB
OG0002072	LOC120419937|XP_039438734.1|CPIP	LOC115630045|XP_030382539.1|SLEB
OG0002073	LOC120414173|XP_039431171.1|CPIP	LOC115632904|XP_030386056.1|SLEB
OG0002074	LOC120430722|XP_039451768.1|CPIP	LOC115623135|XP_030373208.1|SLEB
OG0002075	LOC120429589|XP_039450560.1|CPIP, LOC120424597|XP_039444695.1|CPIP	LOC115631765|XP_030384461.1|SLEB
OG0002076	LOC120421685|XP_039440849.1|CPIP	LOC115624601|XP_030375202.1|SLEB
OG0002077	LOC120421681|XP_039440845.1|CPIP	LOC115624795|XP_030375498.1|SLEB, LOC115624933|XP_030375643.1|SLEB
OG0002079	LOC120425808|XP_039446361.1|CPIP	LOC115623009|XP_030373040.1|SLEB
OG0002080	LOC120425571|XP_039446070.1|CPIP	LOC115630010|XP_030382497.1|SLEB, LOC115633907|XP_030387272.1|SLEB
OG0002081	LOC120415329|XP_039432751.1|CPIP, LOC120415281|XP_039432685.1|CPIP	LOC115624699|XP_030375374.1|SLEB
OG0002082	LOC120416205|XP_039433827.1|CPIP	LOC115620006|XP_030368956.1|SLEB
OG0002083	LOC120421448|XP_039440588.1|CPIP	LOC115629905|XP_030382370.1|SLEB
OG0002084	LOC120431265|XP_039452332.1|CPIP	LOC115633999|XP_030387383.1|SLEB
OG0002085	LOC120417969|XP_039436139.1|CPIP	LOC115633911|XP_030387280.1|SLEB
OG0002086	LOC120431538|XP_039452581.1|CPIP	LOC115626810|XP_030378146.1|SLEB
OG0002087	LOC120412754|XP_039429281.1|CPIP, LOC120424471|XP_039444539.1|CPIP	LOC115622580|XP_030372427.1|SLEB
OG0002088	LOC120415883|XP_039433454.1|CPIP	LOC115629448|XP_030381775.1|SLEB
OG0002089	LOC120415358|XP_039432781.1|CPIP	LOC115624440|XP_030375026.1|SLEB
OG0002090	LOC120415870|XP_039433440.1|CPIP	LOC115633667|XP_030386971.1|SLEB
OG0002091	LOC120416853|XP_039434677.1|CPIP	LOC115624859|XP_030375564.1|SLEB
OG0002092	LOC120416818|XP_039434633.1|CPIP, LOC120412524|XP_039428953.1|CPIP	LOC115622120|XP_030371827.1|SLEB
OG0002093	LOC120413492|XP_039430283.1|CPIP, LOC120421859|XP_039441091.1|CPIP	LOC115624531|XP_030375115.1|SLEB
OG0002094	LOC120413273|XP_039429936.1|CPIP, LOC120414977|XP_039432245.1|CPIP	LOC115633832|XP_030387179.1|SLEB
OG0002095	LOC120415199|XP_039432591.1|CPIP	LOC115628909|XP_030381029.1|SLEB
OG0002096	LOC120424725|XP_039444841.1|CPIP	LOC115628190|XP_030380042.1|SLEB
OG0002097	LOC120421572|XP_039440737.1|CPIP	LOC115633710|XP_030387031.1|SLEB
OG0002098	LOC120432554|XP_039453717.1|CPIP, LOC120432556|XP_039453719.1|CPIP	LOC115624927|XP_030375638.1|SLEB
OG0002099	LOC120425826|XP_039446378.1|CPIP, LOC120416713|XP_039434469.1|CPIP	LOC115620410|XP_030369490.1|SLEB
OG0002100	LOC120431445|XP_039452497.1|CPIP, LOC120422226|XP_039441545.1|CPIP, LOC120422221|XP_039441539.1|CPIP	LOC115624637|XP_030375259.1|SLEB
OG0002101	LOC120423808|XP_039443658.1|CPIP	LOC115634535|XP_030388205.1|SLEB
OG0002102	LOC120428249|XP_039449169.1|CPIP	LOC115624985|XP_030375702.1|SLEB
OG0002103	LOC120424261|XP_039444257.1|CPIP	LOC115620416|XP_030369499.1|SLEB
OG0002105	LOC120423727|XP_039443567.1|CPIP	LOC115624853|XP_030375558.1|SLEB, LOC115628155|XP_030379988.1|SLEB
OG0002117	LOC120422063|XP_039441333.1|CPIP	LOC115633265|XP_030386529.1|SLEB
OG0002119	LOC120428556|XP_039449519.1|CPIP, LOC120413279|XP_039429944.1|CPIP	LOC115621113|XP_030370517.1|SLEB
OG0002120	LOC120413305|XP_039430000.1|CPIP	LOC115627826|XP_030379521.1|SLEB
OG0002121	LOC120431490|XP_039452556.1|CPIP	LOC115621258|XP_030370715.1|SLEB
OG0002123	LOC120419276|XP_039437875.1|CPIP	LOC115631094|XP_030383605.1|SLEB
OG0002124	LOC120428874|XP_039449934.1|CPIP	LOC115627689|XP_030379292.1|SLEB
OG0002125	LOC120431117|XP_039452206.1|CPIP	LOC115634444|XP_030388013.1|SLEB
OG0002126	LOC120422458|XP_039441834.1|CPIP	LOC115634377|XP_030387917.1|SLEB
OG0002127	LOC120420229|XP_039439152.1|CPIP	LOC115628717|XP_030380773.1|SLEB, LOC115621757|XP_030371351.1|SLEB
OG0002128	LOC120420212|XP_039439133.1|CPIP	LOC115627455|XP_030378983.1|SLEB
OG0002129	LOC120432319|XP_039453437.1|CPIP	LOC115621730|XP_030371319.1|SLEB
OG0002131	LOC120430730|XP_039451775.1|CPIP, LOC120413341|XP_039430054.1|CPIP	LOC115621353|XP_030370836.1|SLEB
OG0002132	LOC120428359|XP_039449300.1|CPIP	LOC115625780|XP_030376811.1|SLEB
OG0002133	LOC120413362|XP_039430081.1|CPIP	LOC115629924|XP_030382389.1|SLEB
OG0002134	LOC120417703|XP_039435782.1|CPIP	LOC115627168|XP_030378618.1|SLEB
OG0002135	LOC120432195|XP_039453283.1|CPIP, LOC120427666|XP_039448477.1|CPIP	LOC115626712|XP_030378012.1|SLEB
OG0002136	LOC120417027|XP_039434901.1|CPIP	LOC115621955|XP_030371662.1|SLEB
OG0002137	LOC120422079|XP_039441358.1|CPIP	LOC115621392|XP_030370893.1|SLEB
OG0002138	LOC120413337|XP_039430047.1|CPIP	LOC115626773|XP_030378095.1|SLEB
OG0002139	LOC120413324|XP_039430031.1|CPIP	LOC115628962|XP_030381098.1|SLEB
OG0002140	LOC120431394|XP_039452455.1|CPIP	LOC115633405|XP_030386708.1|SLEB
OG0002141	LOC120424691|XP_039444804.1|CPIP	LOC115628074|XP_030379908.1|SLEB
OG0002142	LOC120416920|XP_039434760.1|CPIP, LOC120430553|XP_039451603.1|CPIP	LOC115621132|XP_030370544.1|SLEB
OG0002143	LOC120430599|XP_039451639.1|CPIP	LOC115630615|XP_030383101.1|SLEB
OG0002144	LOC120426029|XP_039446642.1|CPIP	LOC115627724|XP_030379334.1|SLEB
OG0002145	LOC120427971|XP_039448861.1|CPIP	LOC115624035|XP_030374473.1|SLEB
OG0002146	LOC120429017|XP_039450091.1|CPIP	LOC115620575|XP_030369736.1|SLEB
OG0002147	LOC120413718|XP_039430575.1|CPIP	LOC115629482|XP_030381813.1|SLEB
OG0002148	LOC120416248|XP_039433884.1|CPIP, LOC120416247|XP_039433883.1|CPIP, LOC120416256|XP_039433892.1|CPIP	LOC115632865|XP_030385988.1|SLEB
OG0002149	LOC120431264|XP_039452335.1|CPIP	LOC115627831|XP_030379531.1|SLEB
OG0002150	LOC120419617|XP_039438292.1|CPIP	LOC115629871|XP_030382326.1|SLEB
OG0002151	LOC120419620|XP_039438294.1|CPIP	LOC115622316|XP_030372082.1|SLEB, LOC115628387|XP_030380331.1|SLEB
OG0002152	LOC120416903|XP_039434733.1|CPIP	LOC115621415|XP_030370923.1|SLEB
OG0002153	LOC120424542|XP_039444640.1|CPIP, LOC120429007|XP_039450079.1|CPIP	LOC115621584|XP_030371135.1|SLEB
OG0002154	LOC120426470|XP_039447167.1|CPIP	LOC115626760|XP_030378076.1|SLEB
OG0002155	LOC120423054|XP_039442659.1|CPIP	LOC115621539|XP_030371065.1|SLEB
OG0002156	LOC120419889|XP_039438688.1|CPIP	LOC115632371|XP_030385350.1|SLEB
OG0002157	LOC120424135|XP_039444112.1|CPIP	LOC115620998|XP_030370378.1|SLEB
