Orthogroup	DSEC.longest_only	AEAL.longest_only
OG0000790	LOC6617205|XP_002041532.1|DSEC, LOC6617206|XP_002041533.1|DSEC	LOC109427799|XP_019558935.2|AEAL
OG0000791	LOC6617041|XP_032576682.1|DSEC, LOC6621278|XP_032579604.1|DSEC	LOC109432777|XP_029727425.1|AEAL, LOC109427581|XP_029727454.1|AEAL
OG0000792	LOC6617375|XP_002041700.1|DSEC	LOC109421174|XP_029725317.1|AEAL, LOC115264489|XP_029724089.1|AEAL, LOC115264490|XP_029724090.1|AEAL
OG0000793	LOC6619031|XP_002043276.1|DSEC, LOC116802353|XP_032582737.1|DSEC	LOC109429508|XP_019561024.2|AEAL
OG0000794	LOC6617357|XP_002041682.2|DSEC	LOC109433437|XP_019565410.2|AEAL, LOC109403326|XP_019531680.2|AEAL, LOC115261304|XP_029718561.1|AEAL, LOC115261305|XP_029718562.1|AEAL, LOC109433439|XP_019565412.2|AEAL
OG0000795	LOC6617583|XP_002041896.1|DSEC	LOC115261488|XP_029719065.1|AEAL, LOC109406305|XP_019534945.1|AEAL, LOC109404489|XP_029719108.1|AEAL
OG0000796	LOC6607048|XP_032577637.1|DSEC, LOC6617627|XP_032580867.1|DSEC	LOC109402787|XP_019531040.1|AEAL
OG0000797	LOC6607086|XP_002031874.1|DSEC, LOC6607087|XP_002031875.1|DSEC	LOC115268944|XP_029733009.1|AEAL, LOC109419433|XP_019549227.1|AEAL
OG0000798	LOC6609023|XP_032570213.1|DSEC, LOC6609021|XP_002033725.1|DSEC	LOC109422376|XP_029716854.1|AEAL
OG0000799	LOC6606732|XP_002031529.1|DSEC, LOC6612276|XP_032580979.1|DSEC	LOC109433123|XP_019565067.2|AEAL
OG0000801	LOC6615675|XP_002040046.1|DSEC, LOC6615412|XP_002039794.1|DSEC	LOC115262691|XP_029721192.1|AEAL, LOC109623328|XP_019933426.1|AEAL, LOC109426914|XP_019558017.1|AEAL
OG0000802	LOC6612305|XP_002036815.1|DSEC, LOC6612306|XP_032581336.1|DSEC	LOC109421940|XP_029720929.1|AEAL
OG0000803	LOC6612053|XP_002036570.1|DSEC, LOC6610706|XP_002035272.1|DSEC	LOC115262149|XP_029720158.1|AEAL, LOC109398306|XP_029716217.1|AEAL
OG0000811	LOC6609435|XP_032571645.1|DSEC	LOC115265751|XP_029727560.1|AEAL, LOC109409681|XP_019538700.2|AEAL
OG0000812	LOC6619982|XP_032580729.1|DSEC, LOC6605745|XP_002030561.1|DSEC	LOC109397944|XP_029709795.1|AEAL, LOC109418984|XP_029733553.1|AEAL
OG0000813	LOC6617271|XP_002041598.1|DSEC	LOC109415873|XP_019545365.1|AEAL
OG0000814	LOC6613700|XP_002038170.1|DSEC	LOC109408242|XP_029728869.1|AEAL, LOC115266576|XP_029728814.1|AEAL
OG0000815	LOC6613476|XP_002037946.2|DSEC	LOC115255413|XP_029709380.1|AEAL, LOC109417644|XP_019547239.2|AEAL, LOC115255517|XP_029709505.1|AEAL, LOC115255411|XP_029709376.1|AEAL, LOC109417648|XP_029709407.1|AEAL, LOC109417645|XP_029709379.1|AEAL, LOC109410244|XP_029708455.1|AEAL, LOC115255421|XP_029709409.1|AEAL, LOC115255412|XP_029709378.1|AEAL, LOC115255406|XP_029709341.1|AEAL
OG0000816	LOC6617623|XP_002041936.1|DSEC, LOC6614262|XP_002038702.1|DSEC	LOC109432671|XP_029727429.1|AEAL
OG0000818	LOC6615878|XP_002040248.1|DSEC, LOC116800230|XP_032570006.1|DSEC	LOC109408469|XP_019537351.2|AEAL, LOC115266284|XP_029728114.1|AEAL, LOC109419332|XP_029734904.1|AEAL
OG0000819	LOC6615253|XP_032582184.1|DSEC, LOC6618113|XP_032581480.1|DSEC	LOC109432771|XP_029710328.1|AEAL
OG0000820	LOC6615002|XP_002039419.2|DSEC, LOC6608562|XP_002033296.1|DSEC	LOC115254691|XP_029708205.1|AEAL, LOC109422351|XP_029708224.1|AEAL
OG0000821	LOC6606604|XP_002031405.1|DSEC, LOC6615648|XP_002040020.1|DSEC	LOC109418575|XP_019548331.2|AEAL
OG0000822	LOC6606069|XP_002030878.1|DSEC, LOC6611685|XP_002036219.1|DSEC	LOC109623382|XP_019933484.2|AEAL, LOC115262704|XP_029721236.1|AEAL, LOC115257272|XP_029712577.1|AEAL, LOC109401187|XP_029720854.1|AEAL
OG0000823	LOC6606636|XP_032578738.1|DSEC, LOC6606635|XP_032577851.1|DSEC, LOC6606634|XP_002031435.1|DSEC, LOC6606637|XP_002031438.1|DSEC, LOC6606638|XP_002031439.1|DSEC	LOC115258804|XP_029715091.1|AEAL
OG0000830	LOC6615097|XP_032580568.1|DSEC	LOC115259530|XP_029716043.1|AEAL, LOC109429309|XP_029716109.1|AEAL, LOC109400865|XP_029722756.1|AEAL, LOC109429308|XP_029722755.1|AEAL, LOC115259583|XP_029716163.1|AEAL, LOC115259764|XP_029716418.1|AEAL, LOC109429305|XP_029715822.1|AEAL, LOC115259581|XP_029716160.1|AEAL, LOC109400844|XP_019528877.2|AEAL, LOC109429307|XP_019560758.2|AEAL, LOC115259582|XP_029716162.1|AEAL
OG0000831	LOC116801062|XP_032574389.1|DSEC	LOC115264158|XP_029723400.1|AEAL, LOC109398361|XP_019526254.2|AEAL, LOC109398560|XP_019526489.2|AEAL, LOC109398359|XP_019526250.2|AEAL, LOC115264157|XP_029723397.1|AEAL, LOC109398558|XP_019526487.2|AEAL
OG0000832	LOC6609362|XP_032570555.1|DSEC	LOC109405471|XP_019534102.2|AEAL, LOC115267847|XP_029731218.1|AEAL, LOC109402416|XP_019530635.2|AEAL
OG0000833	LOC6618366|XP_032574179.1|DSEC	LOC109402795|XP_019531056.2|AEAL
OG0000834	LOC6612771|XP_002037272.1|DSEC	LOC109413999|XP_019543271.2|AEAL
OG0000836	LOC6619322|XP_032583478.1|DSEC, LOC6611993|XP_002036510.1|DSEC	LOC109410194|XP_029715298.1|AEAL, LOC115254024|XP_029715191.1|AEAL
OG0000837	LOC6612477|XP_032580071.1|DSEC	LOC109409562|XP_019538552.1|AEAL
OG0000838	LOC116803381|XP_032583018.1|DSEC, LOC116803561|XP_032583254.1|DSEC	LOC109419394|XP_029708117.1|AEAL
OG0000839	LOC6613986|XP_002038442.1|DSEC, LOC6619298|XP_032578654.1|DSEC	LOC109426226|XP_019557228.2|AEAL
OG0000840	LOC6619186|XP_002043410.1|DSEC, LOC6619006|XP_002043251.1|DSEC	LOC109398864|XP_019526853.1|AEAL
OG0000842	LOC6608090|XP_002032838.2|DSEC, LOC6619247|XP_002043465.1|DSEC	LOC115256946|XP_029712012.1|AEAL, LOC109420358|XP_019550231.1|AEAL
OG0000843	LOC6615814|XP_002040184.1|DSEC	LOC109418496|XP_019548244.2|AEAL, LOC109413068|XP_019542282.2|AEAL
OG0000844	LOC6613015|XP_032570967.1|DSEC, LOC6614198|XP_032577071.1|DSEC	LOC109426397|XP_029731429.1|AEAL, LOC109403610|XP_029729358.1|AEAL
OG0000845	LOC6619881|XP_002044094.1|DSEC, LOC6619879|XP_002044092.2|DSEC	LOC109426767|XP_019557852.2|AEAL
OG0000854	LOC6612361|XP_032580875.1|DSEC, LOC6612358|XP_002036867.2|DSEC	LOC109428370|XP_019559639.2|AEAL, LOC115256047|XP_029710158.1|AEAL
OG0000855	LOC6616013|XP_002040379.1|DSEC, LOC6607293|XP_002032072.1|DSEC	LOC109428409|XP_029710601.1|AEAL
OG0000856	LOC6619550|XP_002043765.1|DSEC, LOC6619551|XP_002043766.1|DSEC, LOC6616461|XP_002040822.1|DSEC	LOC109406975|XP_029708044.1|AEAL, LOC109397865|XP_029710475.1|AEAL, LOC115266045|XP_029727747.1|AEAL
OG0000857	LOC6615180|XP_032580051.1|DSEC	LOC115256454|XP_029710940.1|AEAL, LOC115256453|XP_029710939.1|AEAL, LOC109427516|XP_019558614.2|AEAL, LOC115256455|XP_029710941.1|AEAL, LOC109427517|XP_019558615.2|AEAL, LOC109419784|XP_019549616.2|AEAL, LOC115255011|XP_029708574.1|AEAL, LOC115259235|XP_029715630.1|AEAL, LOC115255008|XP_029708573.1|AEAL, LOC109398253|XP_019526124.2|AEAL, LOC109398226|XP_019526098.2|AEAL
OG0000858	LOC6606593|XP_002031394.1|DSEC, LOC6606592|XP_002031393.1|DSEC	LOC109433623|XP_019565610.2|AEAL, LOC109412583|XP_029715982.1|AEAL, LOC109412586|XP_019541756.2|AEAL, LOC115259651|XP_029716294.1|AEAL
OG0000860	LOC6616325|XP_032575833.1|DSEC, LOC6610561|XP_032573775.1|DSEC	LOC109409739|XP_019538781.2|AEAL, LOC109431958|XP_029726103.1|AEAL
OG0000861	LOC6615752|XP_002040123.2|DSEC	LOC109417981|XP_029732524.1|AEAL
OG0000862	LOC6615291|XP_002039695.1|DSEC, LOC6613526|XP_002037994.1|DSEC	LOC109408157|XP_029720622.1|AEAL, LOC109400633|XP_019528665.2|AEAL
OG0000863	LOC6607410|XP_002032183.2|DSEC	LOC109425704|XP_029734636.1|AEAL, LOC109422737|XP_019553164.2|AEAL
OG0000864	LOC6617869|XP_002042177.1|DSEC, LOC116801964|XP_032580257.1|DSEC	LOC109411532|XP_029709937.1|AEAL, LOC109421734|XP_029709934.1|AEAL
OG0000865	LOC6620091|XP_002044300.1|DSEC, LOC6607096|XP_002031884.1|DSEC	LOC109408287|XP_029713247.1|AEAL
OG0000866	LOC6617355|XP_002041680.2|DSEC, LOC6617356|XP_002041681.2|DSEC	LOC109415039|XP_029724914.1|AEAL, LOC109621949|XP_029724955.1|AEAL
OG0000867	LOC6611304|XP_002035851.1|DSEC, LOC6611955|XP_002036472.1|DSEC	LOC109409615|XP_019538612.2|AEAL
OG0000868	LOC6617624|XP_032580770.1|DSEC	LOC109406157|XP_019534769.2|AEAL, LOC109397498|XP_019525343.2|AEAL
OG0000869	LOC6614216|XP_002038661.1|DSEC	LOC109406264|XP_029732991.1|AEAL
OG0000871	LOC6608759|XP_002033482.1|DSEC	LOC115253682|XP_029713657.1|AEAL, LOC109433174|XP_019565117.2|AEAL, LOC109433173|XP_029712902.1|AEAL
OG0000872	LOC6613004|XP_002037494.1|DSEC	LOC109424453|XP_019555118.1|AEAL, LOC109422355|XP_019552624.1|AEAL
OG0000873	LOC6616542|XP_032574086.1|DSEC	LOC109410542|XP_029731283.1|AEAL, LOC109414400|XP_029731282.1|AEAL, LOC115267869|XP_029731288.1|AEAL, LOC115267863|XP_029731281.1|AEAL, LOC115267451|XP_029730306.1|AEAL, LOC115267446|XP_029730303.1|AEAL, LOC109421132|XP_029731285.1|AEAL
OG0000874	LOC6612464|XP_002036972.1|DSEC, LOC6609478|XP_032570897.1|DSEC	LOC109425830|XP_029720412.1|AEAL
OG0000875	LOC6619438|XP_002043653.1|DSEC	LOC109425800|XP_019556687.2|AEAL, LOC109407537|XP_019536146.1|AEAL
OG0000882	LOC6617983|XP_032581715.1|DSEC, LOC116801202|XP_032575212.1|DSEC, LOC6621701|XP_032583442.1|DSEC	LOC115253972|XP_029711172.1|AEAL, LOC109421997|XP_019552173.1|AEAL
OG0000883	LOC6618529|XP_002042789.1|DSEC	LOC109419153|XP_019548920.2|AEAL, LOC109407076|XP_029722970.1|AEAL, LOC109415595|XP_019545035.2|AEAL, LOC109423715|XP_019554245.2|AEAL, LOC115257682|XP_029713402.1|AEAL, LOC109412918|XP_029713776.1|AEAL
OG0000884	LOC6613370|XP_032583366.1|DSEC, LOC6619822|XP_032582633.1|DSEC	LOC109405532|XP_029712464.1|AEAL, LOC115257260|XP_029712560.1|AEAL, LOC109405671|XP_029712311.1|AEAL
OG0000885	LOC6620702|XP_032578832.1|DSEC	LOC109430027|XP_029712946.1|AEAL, LOC109430695|XP_029713082.1|AEAL, LOC109430722|XP_019562342.1|AEAL, LOC115257553|XP_029713159.1|AEAL, LOC109430699|XP_019562315.2|AEAL, LOC109430696|XP_019562313.2|AEAL, LOC115257552|XP_029713158.1|AEAL, LOC115257484|XP_029712972.1|AEAL, LOC109430753|XP_019562378.2|AEAL, LOC109430729|XP_019562354.1|AEAL, LOC115257592|XP_029713238.1|AEAL
OG0000887	LOC6617625|XP_032580768.1|DSEC	LOC109426760|XP_029725487.1|AEAL, LOC109426761|XP_019557843.2|AEAL, LOC109417614|XP_019547205.2|AEAL, LOC109421741|XP_019551817.2|AEAL
OG0000888	LOC6610169|XP_032575458.1|DSEC	LOC109417820|XP_029725462.1|AEAL, LOC115265256|XP_029725479.1|AEAL
OG0000889	LOC6616583|XP_032574208.1|DSEC	LOC109416628|XP_019546243.2|AEAL, LOC115263112|XP_029721886.1|AEAL, LOC109416657|XP_019546261.2|AEAL, LOC115254862|XP_029708410.1|AEAL, LOC109416670|XP_019546270.2|AEAL, LOC109407403|XP_019535961.2|AEAL, LOC109416637|XP_029721887.1|AEAL, LOC109416681|XP_019546290.1|AEAL, LOC115254863|XP_029708411.1|AEAL, LOC109416619|XP_019546233.2|AEAL, LOC109407449|XP_019536040.1|AEAL, LOC115263111|XP_029721885.1|AEAL, LOC109416608|XP_019546223.2|AEAL, LOC109416155|XP_019545674.1|AEAL, LOC115254869|XP_029708416.1|AEAL, LOC109407400|XP_019535955.2|AEAL
OG0000890	LOC6615597|XP_002039971.1|DSEC	LOC115270215|XP_029735334.1|AEAL, LOC115270245|XP_029735371.1|AEAL
OG0000891	LOC6617894|XP_002042202.1|DSEC, LOC6617693|XP_032570020.1|DSEC	LOC115259148|XP_029715523.1|AEAL, LOC109408138|XP_019536917.2|AEAL
OG0000892	LOC6605258|XP_032575307.1|DSEC, LOC6616319|XP_002040679.1|DSEC	LOC109419580|XP_019549347.2|AEAL
OG0000894	LOC6614194|XP_002038641.1|DSEC	LOC109422727|XP_019553139.2|AEAL
OG0000895	LOC6609422|XP_002034107.1|DSEC	LOC109433433|XP_019565406.2|AEAL, LOC109403314|XP_019531667.2|AEAL
OG0000907	LOC6615815|XP_002040185.1|DSEC	LOC109427500|XP_019558595.2|AEAL
OG0000909	LOC6615932|XP_002040299.1|DSEC, LOC6607638|XP_002032403.1|DSEC	LOC109397293|XP_019525165.1|AEAL, LOC109416831|XP_019546450.1|AEAL
OG0000910	LOC6606919|XP_002031713.1|DSEC, LOC6618671|XP_032582139.1|DSEC	LOC109397646|XP_029709768.1|AEAL, LOC109418954|XP_029733589.1|AEAL
OG0000911	LOC6609682|XP_002034340.1|DSEC	LOC109403803|XP_029722364.1|AEAL
OG0000912	LOC116801077|XP_032574508.1|DSEC, LOC6605832|XP_032574507.1|DSEC	LOC109407390|XP_019535943.1|AEAL, LOC109416014|XP_029722180.1|AEAL, LOC115263252|XP_029722175.1|AEAL
OG0000913	LOC116801028|XP_032574183.1|DSEC	LOC109414963|XP_029728930.1|AEAL, LOC109415153|XP_029729078.1|AEAL
OG0000914	LOC6608834|XP_002033548.1|DSEC	LOC109412349|XP_019541537.2|AEAL, LOC109416192|XP_019545725.2|AEAL, LOC109419851|XP_029708855.1|AEAL, LOC115255562|XP_029709541.1|AEAL, LOC109420602|XP_019550508.1|AEAL, LOC109419834|XP_019549667.1|AEAL, LOC109419835|XP_029709547.1|AEAL, LOC115255563|XP_029709542.1|AEAL
OG0000915	LOC6609408|XP_002034093.1|DSEC, LOC6612492|XP_002037000.1|DSEC	LOC115258519|XP_029714503.1|AEAL, LOC109410253|XP_029721830.1|AEAL
OG0000916	LOC6611642|XP_032580078.1|DSEC	LOC109417728|XP_029709163.1|AEAL, LOC109415159|XP_029719636.1|AEAL
OG0000917	LOC6611627|XP_032583393.1|DSEC	LOC109402487|XP_029720072.1|AEAL
OG0000918	LOC116800465|XP_032571502.1|DSEC, LOC6613207|XP_002037687.2|DSEC	LOC109429677|XP_019561229.2|AEAL
OG0000920	LOC6619810|XP_032580254.1|DSEC	LOC109432334|XP_019564219.2|AEAL, LOC109432255|XP_029732163.1|AEAL, LOC109432313|XP_019564197.2|AEAL, LOC109419378|XP_029735157.1|AEAL
OG0000922	LOC6610726|XP_002035292.1|DSEC	LOC109409026|XP_019537987.1|AEAL, LOC109429147|XP_029719389.1|AEAL
OG0000923	LOC6618300|XP_002042573.1|DSEC, LOC6607230|XP_032577914.1|DSEC	LOC109417152|XP_019546823.1|AEAL
OG0000924	LOC6618584|XP_002042843.1|DSEC	LOC109622219|XP_019932015.2|AEAL, LOC115253634|XP_029731518.1|AEAL, LOC109431563|XP_019563336.2|AEAL
OG0000925	LOC6612909|XP_032578017.1|DSEC, LOC6612908|XP_002037400.1|DSEC	LOC109407685|XP_019536382.1|AEAL, LOC109425930|XP_019556862.1|AEAL
OG0000935	LOC6612625|XP_032578720.1|DSEC	LOC115267132|XP_029729828.1|AEAL, LOC109401879|XP_029709717.1|AEAL, LOC109414708|XP_029709689.1|AEAL
OG0000936	LOC116801584|XP_032577980.1|DSEC, LOC6618499|XP_002042759.1|DSEC	LOC109398378|XP_019526267.1|AEAL
OG0000937	LOC6617126|XP_032579342.1|DSEC	LOC115261123|XP_029718352.1|AEAL, LOC109433419|XP_019565395.2|AEAL, LOC109403292|XP_019531642.2|AEAL, LOC115260685|XP_029717733.1|AEAL, LOC109424625|XP_029717727.1|AEAL, LOC109412940|XP_029717671.1|AEAL, LOC109412941|XP_019542135.2|AEAL, LOC115253687|XP_029717721.1|AEAL, LOC109424643|XP_019555354.1|AEAL
OG0000938	LOC6615658|XP_002040029.1|DSEC, LOC6619597|XP_002043812.1|DSEC	LOC115257155|XP_029712412.1|AEAL, LOC109427753|XP_029717813.1|AEAL, LOC109409289|XP_019538309.2|AEAL, LOC109431357|XP_019563123.1|AEAL
OG0000940	LOC6618983|XP_002043228.1|DSEC, LOC6610338|XP_002034924.1|DSEC	LOC109405642|XP_019534258.2|AEAL
OG0000941	LOC6617464|XP_002041781.1|DSEC	LOC109621632|XP_019931274.1|AEAL, LOC109400128|XP_019528162.1|AEAL
OG0000942	LOC6616407|XP_032574982.1|DSEC	LOC109400734|XP_019528773.2|AEAL
OG0000943	LOC6608698|XP_002033422.1|DSEC, LOC6608699|XP_002033423.1|DSEC	LOC109406109|XP_029722410.1|AEAL, LOC109403772|XP_029722401.1|AEAL
OG0000944	LOC6618481|XP_032581292.1|DSEC, LOC6611285|XP_002035835.1|DSEC	LOC109430831|XP_019562464.1|AEAL, LOC115254104|XP_029722020.1|AEAL, LOC115263221|XP_029722072.1|AEAL
OG0000945	LOC6610272|XP_002034867.1|DSEC, LOC6610271|XP_002034866.1|DSEC	LOC109399440|XP_019527427.2|AEAL, LOC109398068|XP_019525978.2|AEAL
OG0000946	LOC6611600|XP_002036137.1|DSEC	LOC115260918|XP_029718135.1|AEAL, LOC109409286|XP_019538266.2|AEAL, LOC109419566|XP_019549323.2|AEAL, LOC109409281|XP_029714428.1|AEAL, LOC115253445|XP_029718127.1|AEAL
OG0000947	LOC6612995|XP_002037486.1|DSEC	LOC109421462|XP_019551502.1|AEAL, LOC115261046|XP_029718267.1|AEAL, LOC109421452|XP_019551491.1|AEAL, LOC109432494|XP_019564371.2|AEAL, LOC109421386|XP_029718266.1|AEAL, LOC115262899|XP_029721647.1|AEAL
OG0000948	LOC6610640|XP_002035207.1|DSEC	LOC109414160|XP_019543485.2|AEAL, LOC115257199|XP_029712494.1|AEAL
OG0000949	LOC6618660|XP_032581651.1|DSEC	LOC115263953|XP_029723118.1|AEAL, LOC109426084|XP_029721569.1|AEAL, LOC115253787|XP_029721893.1|AEAL, LOC115262578|XP_029720830.1|AEAL
OG0000950	LOC6615018|XP_032580003.1|DSEC, LOC6614277|XP_002038717.2|DSEC	LOC109429504|XP_019561020.2|AEAL
OG0000951	LOC6606663|XP_002031463.1|DSEC	LOC109400200|XP_019528224.1|AEAL, LOC109427110|XP_019558226.1|AEAL
OG0000963	LOC6614871|XP_002039289.1|DSEC	LOC109427046|XP_019558142.2|AEAL, LOC109623357|XP_019933460.1|AEAL, LOC115262669|XP_029721132.1|AEAL, LOC109424775|XP_019555505.2|AEAL, LOC115256573|XP_029711205.1|AEAL
OG0000964	LOC6614881|XP_002039299.1|DSEC, LOC6609407|XP_032571870.1|DSEC	LOC109415209|XP_029710432.1|AEAL, LOC109423491|XP_019554003.2|AEAL
OG0000965	LOC6620465|XP_002044646.1|DSEC	LOC109433003|XP_029709754.1|AEAL, LOC109397576|XP_029734225.1|AEAL
OG0000966	LOC6609068|XP_002033771.1|DSEC, LOC6612914|XP_002037406.2|DSEC	LOC109431398|XP_019563160.1|AEAL
OG0000968	LOC6605972|XP_032574238.1|DSEC	LOC109412121|XP_029732345.1|AEAL, LOC115253446|XP_029723160.1|AEAL, LOC109417626|XP_029727505.1|AEAL
OG0000969	LOC6615281|XP_002039685.1|DSEC, LOC6612946|XP_002037438.1|DSEC	LOC115270221|XP_029735341.1|AEAL, LOC109430680|XP_019562304.1|AEAL, LOC115270242|XP_029735369.1|AEAL
OG0000970	LOC6618721|XP_002042980.1|DSEC	LOC115254074|XP_029718985.1|AEAL, LOC109427211|XP_019558262.2|AEAL, LOC115262420|XP_029720674.1|AEAL
OG0000971	LOC6614440|XP_002038873.1|DSEC	LOC115255419|XP_029709397.1|AEAL, LOC109417637|XP_029709415.1|AEAL
OG0000972	LOC6610964|XP_002035521.1|DSEC, LOC6616140|XP_002040505.1|DSEC	LOC115266793|XP_029729236.1|AEAL, LOC109433592|XP_029729229.1|AEAL
OG0000973	LOC6616205|XP_032581130.1|DSEC	LOC115262652|XP_029721047.1|AEAL, LOC109397414|XP_019525280.2|AEAL, LOC115262789|XP_029721535.1|AEAL, LOC109405854|XP_019534458.2|AEAL
OG0000974	LOC6610698|XP_002035264.1|DSEC	LOC109415133|XP_029728070.1|AEAL, LOC109414954|XP_029718762.1|AEAL, LOC115266231|XP_029728071.1|AEAL, LOC109415287|XP_029728077.1|AEAL, LOC109414965|XP_019544357.2|AEAL, LOC109416051|XP_019545558.2|AEAL
OG0000975	LOC6606813|XP_032576736.1|DSEC	LOC115265118|XP_029725210.1|AEAL, LOC109422629|XP_029725215.1|AEAL, LOC109402818|XP_029736442.1|AEAL, LOC115253468|XP_019552997.1|AEAL
OG0000976	LOC6607264|XP_032577403.1|DSEC	LOC109429101|XP_029719401.1|AEAL
OG0000977	LOC6606297|XP_002031102.2|DSEC	LOC115268914|XP_029732985.1|AEAL, LOC109411942|XP_029733037.1|AEAL
OG0000978	LOC6608510|XP_032571996.1|DSEC, LOC6606843|XP_002031640.1|DSEC	LOC109418544|XP_029712891.1|AEAL
OG0000988	LOC6617686|XP_002041998.2|DSEC	LOC109397933|XP_029709610.1|AEAL
OG0000990	LOC6618696|XP_002042955.1|DSEC, LOC6615014|XP_002039431.1|DSEC	LOC109401923|XP_029711018.1|AEAL, LOC115253970|XP_029710973.1|AEAL
OG0000991	LOC6619823|XP_032582639.1|DSEC	LOC109405326|XP_029717354.1|AEAL, LOC109422984|XP_029717370.1|AEAL
OG0000992	LOC6608511|XP_002033245.1|DSEC, LOC6607556|XP_032577108.1|DSEC	LOC109423501|XP_029722788.1|AEAL
OG0000993	LOC6612814|XP_002037315.1|DSEC, LOC6612813|XP_002037314.1|DSEC	LOC109430248|XP_019561844.1|AEAL
OG0000994	LOC6612314|XP_002036824.1|DSEC	LOC115264150|XP_029723388.1|AEAL, LOC109423637|XP_029719504.1|AEAL, LOC115264138|XP_029723372.1|AEAL
OG0000995	LOC6606093|XP_002030902.1|DSEC, LOC116802021|XP_032580766.1|DSEC, LOC6619930|XP_002044143.1|DSEC	LOC109418045|XP_019547754.2|AEAL
OG0000996	LOC6608733|XP_002033456.2|DSEC	LOC109413170|XP_029716557.1|AEAL, LOC109418102|XP_019547834.2|AEAL
OG0000997	LOC6608935|XP_032571774.1|DSEC	LOC109403065|XP_029710284.1|AEAL, LOC109623182|XP_029734570.1|AEAL, LOC115256166|XP_029710287.1|AEAL
OG0000998	LOC6621276|XP_032573674.1|DSEC	LOC109622191|XP_029735847.1|AEAL, LOC109408655|XP_019537542.2|AEAL
OG0000999	LOC6615673|XP_002040044.1|DSEC, LOC6615898|XP_002040268.1|DSEC	LOC115266678|XP_029729061.1|AEAL, LOC109408226|XP_019537027.1|AEAL
OG0001000	LOC116802433|XP_032582803.1|DSEC	LOC115257630|XP_029713317.1|AEAL, LOC109408059|XP_029720699.1|AEAL
OG0001001	LOC6609276|XP_032572227.1|DSEC	LOC115258869|XP_029715165.1|AEAL, LOC115258862|XP_029715154.1|AEAL, LOC109398676|XP_029714592.1|AEAL, LOC109407264|XP_029715002.1|AEAL, LOC115258466|XP_029714442.1|AEAL, LOC115258469|XP_029714445.1|AEAL, LOC115258467|XP_029714443.1|AEAL, LOC109398727|XP_029714441.1|AEAL, LOC109407263|XP_029715150.1|AEAL
OG0001002	LOC6614556|XP_002038984.2|DSEC	LOC115255070|XP_029708692.1|AEAL, LOC109417021|XP_019546696.2|AEAL, LOC115255075|XP_029708701.1|AEAL, LOC115255433|XP_029709428.1|AEAL
OG0001003	LOC6620475|XP_002044681.1|DSEC, LOC116800331|XP_032570320.1|DSEC	LOC109422594|XP_019552943.1|AEAL, LOC109402843|XP_019531124.1|AEAL
OG0001004	LOC6620038|XP_002044250.1|DSEC, LOC6607065|XP_002031853.1|DSEC	LOC115269140|XP_029733401.1|AEAL, LOC115261448|XP_029718978.1|AEAL, LOC109427224|XP_029718936.1|AEAL
OG0001005	LOC6614645|XP_002039072.1|DSEC, LOC116802128|XP_032581252.1|DSEC	LOC109416159|XP_019545676.1|AEAL, LOC109404974|XP_019533501.2|AEAL, LOC115261536|XP_029719233.1|AEAL
OG0001006	LOC6606329|XP_002031134.1|DSEC, LOC6605347|XP_002030182.1|DSEC	LOC109411193|XP_019540233.1|AEAL
OG0001007	LOC6613009|XP_032571832.1|DSEC	LOC109399093|XP_019527067.1|AEAL
OG0001008	LOC6618753|XP_002043011.1|DSEC, LOC6617907|XP_002042214.1|DSEC	LOC109410641|XP_019539710.1|AEAL
OG0001009	LOC6620892|XP_002045084.2|DSEC, LOC6617022|XP_032578844.1|DSEC	LOC109404809|XP_019533303.1|AEAL
OG0001019	LOC6617123|XP_002041450.2|DSEC	LOC109427444|XP_029710436.1|AEAL, LOC109410171|XP_029729551.1|AEAL, LOC115269118|XP_029733390.1|AEAL, LOC115256458|XP_029710945.1|AEAL, LOC109433640|XP_019565640.2|AEAL, LOC115269277|XP_029733714.1|AEAL
OG0001020	LOC6615137|XP_032581956.1|DSEC	LOC109428446|XP_019559756.2|AEAL, LOC109422153|XP_019552341.2|AEAL, LOC109428444|XP_029710681.1|AEAL
OG0001022	LOC6606986|XP_002031778.1|DSEC, LOC6619991|XP_002044203.1|DSEC	LOC115260504|XP_029717288.1|AEAL, LOC109427745|XP_019558884.1|AEAL
OG0001024	LOC6617108|XP_032579182.1|DSEC	LOC109400992|XP_019529005.2|AEAL, LOC109398248|XP_019526120.2|AEAL, LOC115255015|XP_029708580.1|AEAL
OG0001025	LOC6605410|XP_002030243.1|DSEC	LOC109411807|XP_029725877.1|AEAL, LOC109419671|XP_029725920.1|AEAL
OG0001026	LOC6608092|XP_032570255.1|DSEC	LOC115254755|XP_029708284.1|AEAL, LOC115256370|XP_029710595.1|AEAL, LOC109427470|XP_019558569.2|AEAL, LOC115254769|XP_029708296.1|AEAL
OG0001027	LOC6618348|XP_002042620.1|DSEC	LOC109430927|XP_019562583.1|AEAL, LOC109431669|XP_019563464.1|AEAL, LOC115259273|XP_029715663.1|AEAL, LOC109430982|XP_019562651.2|AEAL, LOC115267514|XP_029730464.1|AEAL, LOC109431720|XP_029714372.1|AEAL, LOC115259271|XP_029715661.1|AEAL, LOC115267493|XP_029730371.1|AEAL
