Orthogroup	DSEC.longest_only	AALB.longest_only
OG0000731	LOC6610801|XP_002035367.2|DSEC, LOC6609295|XP_032572203.1|DSEC	LOC118464461|XP_035787755.1|AALB
OG0000732	LOC6606021|XP_002030832.1|DSEC, LOC6606022|XP_002030833.1|DSEC	LOC118466282|XP_035791255.1|AALB
OG0000733	LOC6612672|XP_002037176.1|DSEC, LOC6610871|XP_002035434.1|DSEC	LOC118466217|XP_035791133.1|AALB
OG0000734	LOC6617603|XP_032581064.1|DSEC, LOC6610716|XP_032575973.1|DSEC	LOC118463976|XP_035786870.1|AALB
OG0000735	LOC6612426|XP_032580957.1|DSEC, LOC6611832|XP_032574909.1|DSEC	LOC118457158|XP_035774377.1|AALB
OG0000736	LOC116803584|XP_032583368.1|DSEC, LOC6613200|XP_032583363.1|DSEC	LOC118460963|XP_035781632.1|AALB
OG0000738	LOC6611598|XP_002036135.1|DSEC, LOC6611275|XP_032581181.1|DSEC	LOC118458725|XP_035777386.1|AALB
OG0000739	LOC6606335|XP_002031140.2|DSEC, LOC6606333|XP_002031138.1|DSEC	LOC118467299|XP_035793513.1|AALB
OG0000740	LOC6621084|XP_032576740.1|DSEC	LOC118456537|XP_035773278.1|AALB
OG0000741	LOC6617926|XP_032582035.1|DSEC, LOC6616847|XP_032578025.1|DSEC	LOC118459732|XP_035779299.1|AALB
OG0000742	LOC6615134|XP_032580224.1|DSEC, LOC6615135|XP_032581955.1|DSEC	LOC118457488|XP_035775012.1|AALB
OG0000743	LOC6610298|XP_002034893.1|DSEC, LOC6615667|XP_032572008.1|DSEC	LOC118461608|XP_035783027.1|AALB
OG0000744	LOC6608576|XP_002033310.1|DSEC	LOC118464721|XP_035788186.1|AALB
OG0000745	LOC6615266|XP_002039671.1|DSEC, LOC6608550|XP_002033284.2|DSEC	LOC118463435|XP_035785897.1|AALB
OG0000746	LOC116800377|XP_032570841.1|DSEC, LOC116800376|XP_032570840.1|DSEC	LOC118463465|XP_035785948.1|AALB
OG0000753	LOC6621504|XP_032577189.1|DSEC, LOC6604993|XP_002029836.1|DSEC	LOC118463405|XP_035785850.1|AALB
OG0000754	LOC6618001|XP_032580653.1|DSEC, LOC6620308|XP_002044516.1|DSEC	LOC118459560|XP_035778956.1|AALB
OG0000755	LOC6606546|XP_002031347.2|DSEC, LOC6606545|XP_002031346.2|DSEC	LOC118456484|XP_035773202.1|AALB
OG0000756	LOC6619652|XP_002043867.1|DSEC	LOC118459267|XP_035778383.1|AALB
OG0000756	LOC6619654|XP_002043869.2|DSEC	LOC118459021|XP_035777918.1|AALB
OG0000757	LOC6610603|XP_002035171.1|DSEC	LOC118466731|XP_035792307.1|AALB
OG0000758	LOC6605953|XP_002030765.1|DSEC, LOC6605954|XP_032574932.1|DSEC	LOC118464489|XP_035787809.1|AALB
OG0000759	LOC6610475|XP_032575156.1|DSEC, LOC6610473|XP_032575059.1|DSEC	LOC118464958|XP_035788642.1|AALB
OG0000761	LOC6612010|XP_032569931.1|DSEC, LOC6612011|XP_002036528.2|DSEC	LOC118459145|XP_035778122.1|AALB
OG0000762	LOC6611670|XP_002036205.1|DSEC, LOC6613112|XP_002037593.1|DSEC	LOC118468393|XP_035795050.1|AALB
OG0000763	LOC6618232|XP_002042507.1|DSEC, LOC6618233|XP_002042508.1|DSEC	LOC118461552|XP_035782895.1|AALB
OG0000764	LOC6607387|XP_002032160.1|DSEC, LOC6620293|XP_032582190.1|DSEC	LOC118458907|XP_035777759.1|AALB
OG0000765	LOC6610328|XP_002034915.1|DSEC, LOC6615965|XP_032580702.1|DSEC	LOC118461038|XP_035781818.1|AALB
OG0000766	LOC6611779|XP_002036302.1|DSEC, LOC6615896|XP_002040266.1|DSEC	LOC118459074|XP_035778009.1|AALB
OG0000767	LOC6613960|XP_032578374.1|DSEC, LOC6619373|XP_002043589.1|DSEC	LOC118460152|XP_035780143.1|AALB
OG0000768	LOC6616273|XP_002040637.1|DSEC	LOC118461516|XP_035782839.1|AALB
OG0000769	LOC6616935|XP_002041265.1|DSEC, LOC6615195|XP_032580780.1|DSEC	LOC118466179|XP_035791062.1|AALB
OG0000770	LOC6608449|XP_002033183.1|DSEC	LOC118465276|XP_035789210.1|AALB
OG0000771	LOC6610662|XP_002035229.1|DSEC, LOC6610661|XP_002035228.2|DSEC	LOC118465832|XP_035790318.1|AALB
OG0000778	LOC6610890|XP_002035453.2|DSEC, LOC116801578|XP_032577955.1|DSEC	LOC118467710|XP_035794817.1|AALB
OG0000779	LOC6618679|XP_002042938.1|DSEC	LOC118464822|XP_035788386.1|AALB, LOC118464827|XP_035788399.1|AALB, LOC118461976|XP_035783792.1|AALB, LOC118468874|XP_035796053.1|AALB
OG0000780	LOC6608413|XP_002033147.1|DSEC	LOC118461097|XP_035781946.1|AALB, LOC118460885|XP_035781560.1|AALB
OG0000781	LOC6620193|XP_032582703.1|DSEC, LOC6616565|XP_002040924.1|DSEC	LOC118466381|XP_035791507.1|AALB, LOC118459642|XP_035779115.1|AALB
OG0000782	LOC6605361|XP_002030195.1|DSEC, LOC6618674|XP_002042933.1|DSEC	LOC118462004|XP_035783833.1|AALB
OG0000783	LOC6605369|XP_002030203.1|DSEC, LOC116802020|XP_032580764.1|DSEC	LOC118461989|XP_035783818.1|AALB
OG0000784	LOC6606063|XP_002030873.1|DSEC, LOC6618099|XP_002042397.1|DSEC	LOC118457596|XP_035775188.1|AALB
OG0000785	LOC6612637|XP_032577719.1|DSEC, LOC6617172|XP_032576431.1|DSEC	LOC118459271|XP_035778400.1|AALB
OG0000786	LOC6613800|XP_002038269.2|DSEC, LOC6620080|XP_032578453.1|DSEC	LOC118457367|XP_035774777.1|AALB
OG0000787	LOC6605042|XP_002029884.1|DSEC, LOC6620320|XP_002044528.1|DSEC	LOC118467704|XP_035794380.1|AALB
OG0000788	LOC116803603|XP_032583513.1|DSEC, LOC6611137|XP_032575863.1|DSEC	LOC118466414|XP_035791576.1|AALB
OG0000789	LOC6613514|XP_002037982.1|DSEC, LOC6613513|XP_032580641.1|DSEC	LOC118468941|XP_035796172.1|AALB
OG0000790	LOC6617205|XP_002041532.1|DSEC, LOC6617206|XP_002041533.1|DSEC	LOC118466930|XP_035792713.1|AALB
OG0000791	LOC6617041|XP_032576682.1|DSEC, LOC6621278|XP_032579604.1|DSEC	LOC118456204|XP_035772663.1|AALB
OG0000792	LOC6617375|XP_002041700.1|DSEC	LOC118458779|XP_035777497.1|AALB
OG0000793	LOC6619031|XP_002043276.1|DSEC, LOC116802353|XP_032582737.1|DSEC	LOC118459860|XP_035779527.1|AALB
OG0000794	LOC6617357|XP_002041682.2|DSEC	LOC118460044|XP_035779899.1|AALB, LOC118458710|XP_035777343.1|AALB, LOC118458832|XP_035777620.1|AALB
OG0000795	LOC6617583|XP_002041896.1|DSEC	LOC118456526|XP_035773263.1|AALB
OG0000796	LOC6607048|XP_032577637.1|DSEC, LOC6617627|XP_032580867.1|DSEC	LOC118459067|XP_035777997.1|AALB
OG0000797	LOC6607086|XP_002031874.1|DSEC, LOC6607087|XP_002031875.1|DSEC	LOC118463511|XP_035786006.1|AALB
OG0000798	LOC6609023|XP_032570213.1|DSEC, LOC6609021|XP_002033725.1|DSEC	LOC118464225|XP_035787294.1|AALB
OG0000799	LOC6606732|XP_002031529.1|DSEC, LOC6612276|XP_032580979.1|DSEC	LOC118462798|XP_035784688.1|AALB
OG0000801	LOC6615675|XP_002040046.1|DSEC, LOC6615412|XP_002039794.1|DSEC	LOC118463198|XP_035785525.1|AALB
OG0000802	LOC6612305|XP_002036815.1|DSEC, LOC6612306|XP_032581336.1|DSEC	LOC118467277|XP_035793472.1|AALB
OG0000803	LOC6612053|XP_002036570.1|DSEC, LOC6610706|XP_002035272.1|DSEC	LOC118467719|XP_035794418.1|AALB
OG0000810	LOC6607952|XP_002032700.2|DSEC, LOC6607955|XP_002032703.1|DSEC	LOC118456265|XP_035772760.1|AALB
OG0000811	LOC6609435|XP_032571645.1|DSEC	LOC118466450|XP_035791682.1|AALB
OG0000812	LOC6619982|XP_032580729.1|DSEC, LOC6605745|XP_002030561.1|DSEC	LOC118467412|XP_035793789.1|AALB
OG0000813	LOC6617271|XP_002041598.1|DSEC	LOC118463261|XP_035785624.1|AALB
OG0000814	LOC6613700|XP_002038170.1|DSEC	LOC118465745|XP_035790105.1|AALB
OG0000815	LOC6613476|XP_002037946.2|DSEC	LOC118459814|XP_035779450.1|AALB
OG0000816	LOC6617623|XP_002041936.1|DSEC, LOC6614262|XP_002038702.1|DSEC	LOC118466970|XP_035792778.1|AALB
OG0000818	LOC6615878|XP_002040248.1|DSEC, LOC116800230|XP_032570006.1|DSEC	LOC118461934|XP_035783701.1|AALB
OG0000819	LOC6615253|XP_032582184.1|DSEC, LOC6618113|XP_032581480.1|DSEC	LOC118457457|XP_035774950.1|AALB
OG0000820	LOC6615002|XP_002039419.2|DSEC, LOC6608562|XP_002033296.1|DSEC	LOC118463815|XP_035786587.1|AALB
OG0000821	LOC6606604|XP_002031405.1|DSEC, LOC6615648|XP_002040020.1|DSEC	LOC118465578|XP_035789840.1|AALB
OG0000822	LOC6606069|XP_002030878.1|DSEC, LOC6611685|XP_002036219.1|DSEC	LOC118466197|XP_035791108.1|AALB
OG0000830	LOC6615097|XP_032580568.1|DSEC	LOC118459962|XP_035779743.1|AALB, LOC118459960|XP_035779742.1|AALB, LOC118459959|XP_035779740.1|AALB
OG0000831	LOC116801062|XP_032574389.1|DSEC	LOC118459079|XP_035778024.1|AALB, LOC118461902|XP_035783648.1|AALB, LOC118458536|XP_035777010.1|AALB
OG0000832	LOC6609362|XP_032570555.1|DSEC	LOC118460735|XP_035781187.1|AALB
OG0000833	LOC6618366|XP_032574179.1|DSEC	LOC118463051|XP_035785194.1|AALB
OG0000834	LOC6612771|XP_002037272.1|DSEC	LOC118464380|XP_035787616.1|AALB
OG0000836	LOC6619322|XP_032583478.1|DSEC, LOC6611993|XP_002036510.1|DSEC	LOC118460970|XP_035781675.1|AALB
OG0000837	LOC116800673|XP_032572828.1|DSEC, LOC6612477|XP_032580071.1|DSEC	LOC118459718|XP_035779272.1|AALB
OG0000838	LOC116803381|XP_032583018.1|DSEC, LOC116803561|XP_032583254.1|DSEC	LOC118458035|XP_035776046.1|AALB
OG0000839	LOC6613986|XP_002038442.1|DSEC, LOC6619298|XP_032578654.1|DSEC	LOC118460038|XP_035779893.1|AALB
OG0000840	LOC6619186|XP_002043410.1|DSEC, LOC6619006|XP_002043251.1|DSEC	LOC118460519|XP_035780787.1|AALB
OG0000842	LOC6608090|XP_002032838.2|DSEC, LOC6619247|XP_002043465.1|DSEC	LOC118467493|XP_035793936.1|AALB
OG0000843	LOC6615814|XP_002040184.1|DSEC	LOC118467383|XP_035793713.1|AALB
OG0000844	LOC6613015|XP_032570967.1|DSEC, LOC6614198|XP_032577071.1|DSEC	LOC118462801|XP_035784693.1|AALB
OG0000845	LOC6619881|XP_002044094.1|DSEC, LOC6619879|XP_002044092.2|DSEC	LOC118464667|XP_035788072.1|AALB
OG0000854	LOC6612361|XP_032580875.1|DSEC, LOC6612358|XP_002036867.2|DSEC	LOC118468375|XP_035795031.1|AALB
OG0000855	LOC6616013|XP_002040379.1|DSEC, LOC6607293|XP_002032072.1|DSEC	LOC118462018|XP_035783872.1|AALB
OG0000856	LOC6619551|XP_002043766.1|DSEC, LOC6616461|XP_002040822.1|DSEC	LOC118462080|XP_035783992.1|AALB
OG0000857	LOC6615180|XP_032580051.1|DSEC	LOC118461650|XP_035783123.1|AALB, LOC118461663|XP_035783145.1|AALB
OG0000858	LOC6606593|XP_002031394.1|DSEC, LOC6606592|XP_002031393.1|DSEC	LOC118460903|XP_035781540.1|AALB
OG0000860	LOC6616325|XP_032575833.1|DSEC, LOC6610561|XP_032573775.1|DSEC	LOC118467315|XP_035793543.1|AALB
OG0000861	LOC6615752|XP_002040123.2|DSEC	LOC118467097|XP_035793036.1|AALB
OG0000862	LOC6615291|XP_002039695.1|DSEC, LOC6613526|XP_002037994.1|DSEC	LOC118467136|XP_035793144.1|AALB
OG0000863	LOC6607410|XP_002032183.2|DSEC	LOC118462855|XP_035784804.1|AALB
OG0000864	LOC6617869|XP_002042177.1|DSEC, LOC116801964|XP_032580257.1|DSEC	LOC118461400|XP_035782558.1|AALB
OG0000865	LOC6620091|XP_002044300.1|DSEC, LOC6607096|XP_002031884.1|DSEC	LOC118457283|XP_035774637.1|AALB
OG0000866	LOC6617355|XP_002041680.2|DSEC, LOC6617356|XP_002041681.2|DSEC	LOC118461640|XP_035783103.1|AALB
OG0000867	LOC6611304|XP_002035851.1|DSEC, LOC6611955|XP_002036472.1|DSEC	LOC118457872|XP_035775679.1|AALB
OG0000868	LOC6617624|XP_032580770.1|DSEC	LOC118457576|XP_035775146.1|AALB, LOC118459923|XP_035779666.1|AALB
OG0000870	LOC6615802|XP_032571678.1|DSEC	LOC118463907|XP_035786738.1|AALB
OG0000871	LOC6608759|XP_002033482.1|DSEC	LOC118466733|XP_035792309.1|AALB
OG0000872	LOC6614901|XP_002039318.1|DSEC, LOC6613004|XP_002037494.1|DSEC	LOC118463586|XP_035786133.1|AALB
OG0000873	LOC6616542|XP_032574086.1|DSEC	LOC118464246|XP_035787341.1|AALB, LOC118463744|XP_035786431.1|AALB, LOC118464222|XP_035787287.1|AALB
OG0000874	LOC6612464|XP_002036972.1|DSEC, LOC6609478|XP_032570897.1|DSEC	LOC118463225|XP_035785567.1|AALB
OG0000875	LOC6619438|XP_002043653.1|DSEC	LOC118466928|XP_035792707.1|AALB
OG0000882	LOC6617983|XP_032581715.1|DSEC, LOC116801202|XP_032575212.1|DSEC, LOC6621701|XP_032583442.1|DSEC	LOC118460321|XP_035780429.1|AALB
OG0000883	LOC6618529|XP_002042789.1|DSEC	LOC118456749|XP_035773701.1|AALB, LOC118457045|XP_035774188.1|AALB, LOC118466014|XP_035790719.1|AALB
OG0000884	LOC6613370|XP_032583366.1|DSEC, LOC6619822|XP_032582633.1|DSEC	LOC118468700|XP_035795717.1|AALB
OG0000885	LOC6620702|XP_032578832.1|DSEC	LOC118457725|XP_035775410.1|AALB, LOC118457727|XP_035775411.1|AALB, LOC118457724|XP_035775409.1|AALB
OG0000887	LOC6617625|XP_032580768.1|DSEC	LOC118463310|XP_035785687.1|AALB, LOC118465846|XP_035790350.1|AALB, LOC118463810|XP_035786579.1|AALB, LOC118468811|XP_035795919.1|AALB, LOC118468809|XP_035795918.1|AALB
OG0000888	LOC6610169|XP_032575458.1|DSEC	LOC118465638|XP_035789937.1|AALB, LOC118465634|XP_035789929.1|AALB
OG0000889	LOC6616583|XP_032574208.1|DSEC	LOC118463477|XP_035785960.1|AALB
OG0000890	LOC6615597|XP_002039971.1|DSEC	LOC118465805|XP_035790266.1|AALB
OG0000891	LOC6617894|XP_002042202.1|DSEC, LOC6617693|XP_032570020.1|DSEC	LOC118457690|XP_035775354.1|AALB
OG0000892	LOC6605258|XP_032575307.1|DSEC, LOC6616319|XP_002040679.1|DSEC	LOC118461667|XP_035783148.1|AALB
OG0000893	LOC6614248|XP_002038693.2|DSEC	LOC118461100|XP_035781909.1|AALB
OG0000894	LOC6614194|XP_002038641.1|DSEC	LOC118457777|XP_035775501.1|AALB
OG0000895	LOC6609422|XP_002034107.1|DSEC	LOC118458352|XP_035776596.1|AALB
OG0000907	LOC6615815|XP_002040185.1|DSEC	LOC118459253|XP_035778358.1|AALB
OG0000909	LOC6615932|XP_002040299.1|DSEC, LOC6607638|XP_002032403.1|DSEC	LOC118459629|XP_035779099.1|AALB
OG0000910	LOC6606919|XP_002031713.1|DSEC, LOC6618671|XP_032582139.1|DSEC	LOC118462988|XP_035785093.1|AALB
OG0000911	LOC6609682|XP_002034340.1|DSEC	LOC118464594|XP_035787930.1|AALB
OG0000912	LOC116801077|XP_032574508.1|DSEC, LOC6605832|XP_032574507.1|DSEC	LOC118467011|XP_035792847.1|AALB, LOC118462929|XP_035784931.1|AALB
OG0000913	LOC116801028|XP_032574183.1|DSEC	LOC118462547|XP_035784207.1|AALB
OG0000913	LOC6605466|XP_032574182.1|DSEC	LOC118462550|XP_035784209.1|AALB
OG0000914	LOC6608834|XP_002033548.1|DSEC	LOC118467845|XP_035794645.1|AALB, LOC118459089|XP_035778047.1|AALB
OG0000915	LOC6609408|XP_002034093.1|DSEC, LOC6612492|XP_002037000.1|DSEC	LOC118457378|XP_035774806.1|AALB, LOC118459897|XP_035779606.1|AALB
OG0000916	LOC6611642|XP_032580078.1|DSEC	LOC118458441|XP_035776810.1|AALB, LOC118458711|XP_035777344.1|AALB, LOC118456560|XP_035773322.1|AALB, LOC118468342|XP_035794994.1|AALB, LOC118459910|XP_035779638.1|AALB, LOC118458633|XP_035777215.1|AALB, LOC118456982|XP_035774080.1|AALB, LOC118460472|XP_035780690.1|AALB, LOC118459193|XP_035778247.1|AALB, LOC118468359|XP_035795012.1|AALB
OG0000917	LOC6611627|XP_032583393.1|DSEC	LOC118458771|XP_035777457.1|AALB
OG0000918	LOC116800465|XP_032571502.1|DSEC, LOC6613207|XP_002037687.2|DSEC	LOC118460938|XP_035781593.1|AALB
OG0000920	LOC6619810|XP_032580254.1|DSEC	LOC118462795|XP_035784685.1|AALB, LOC118462796|XP_035784686.1|AALB, LOC118458426|XP_035776774.1|AALB
OG0000921	LOC6616091|XP_032580964.1|DSEC, LOC6616090|XP_032582357.1|DSEC	LOC118460639|XP_035780986.1|AALB
OG0000922	LOC6610726|XP_002035292.1|DSEC	LOC118456255|XP_035772750.1|AALB
OG0000923	LOC6618300|XP_002042573.1|DSEC, LOC6607230|XP_032577914.1|DSEC	LOC118466584|XP_035792037.1|AALB
OG0000924	LOC6618584|XP_002042843.1|DSEC	LOC118463875|XP_035786688.1|AALB
OG0000925	LOC6612909|XP_032578017.1|DSEC, LOC6612908|XP_002037400.1|DSEC	LOC118467575|XP_035794113.1|AALB
OG0000935	LOC6612625|XP_032578720.1|DSEC	LOC118457386|XP_035774818.1|AALB, LOC118459374|XP_035778563.1|AALB
OG0000936	LOC116801584|XP_032577980.1|DSEC, LOC6618499|XP_002042759.1|DSEC	LOC118461155|XP_035782074.1|AALB
OG0000938	LOC6615658|XP_002040029.1|DSEC, LOC6619597|XP_002043812.1|DSEC	LOC118458727|XP_035777387.1|AALB
OG0000939	LOC116802135|XP_032581286.1|DSEC, LOC116802146|XP_032581342.1|DSEC, LOC6611576|XP_002036114.1|DSEC, LOC6611582|XP_002036120.1|DSEC	LOC118458045|XP_035776058.1|AALB
OG0000940	LOC6618983|XP_002043228.1|DSEC, LOC6610338|XP_002034924.1|DSEC	LOC118457807|XP_035775553.1|AALB
OG0000941	LOC6617464|XP_002041781.1|DSEC	LOC118457833|XP_035775602.1|AALB
OG0000942	LOC6616407|XP_032574982.1|DSEC	LOC118461937|XP_035783705.1|AALB
OG0000943	LOC6608698|XP_002033422.1|DSEC, LOC6608699|XP_002033423.1|DSEC	LOC118464680|XP_035788095.1|AALB
OG0000944	LOC6618481|XP_032581292.1|DSEC, LOC6611285|XP_002035835.1|DSEC	LOC118463430|XP_035785890.1|AALB
OG0000945	LOC6610272|XP_002034867.1|DSEC, LOC6610271|XP_002034866.1|DSEC	LOC118462643|XP_035784385.1|AALB
OG0000946	LOC6611600|XP_002036137.1|DSEC	LOC118468439|XP_035795094.1|AALB, LOC118458079|XP_035776129.1|AALB
OG0000947	LOC6612995|XP_002037486.1|DSEC	LOC118459427|XP_035778666.1|AALB, LOC118459425|XP_035778663.1|AALB, LOC118459426|XP_035778664.1|AALB
OG0000948	LOC6610640|XP_002035207.1|DSEC	LOC118460957|XP_035781625.1|AALB
OG0000949	LOC6618660|XP_032581651.1|DSEC	LOC118461660|XP_035783134.1|AALB, LOC118461659|XP_035783133.1|AALB
OG0000950	LOC6615018|XP_032580003.1|DSEC, LOC6614277|XP_002038717.2|DSEC	LOC118459856|XP_035779521.1|AALB
OG0000951	LOC6606663|XP_002031463.1|DSEC	LOC118467062|XP_035792970.1|AALB
OG0000952	LOC116803447|XP_032583053.1|DSEC, LOC6617705|XP_002042017.1|DSEC, LOC116803451|XP_032583054.1|DSEC	LOC118463414|XP_035785859.1|AALB
OG0000964	LOC6614881|XP_002039299.1|DSEC, LOC6609407|XP_032571870.1|DSEC	LOC118461375|XP_035782519.1|AALB
OG0000965	LOC6620465|XP_002044646.1|DSEC	LOC118458186|XP_035776321.1|AALB
OG0000966	LOC6609068|XP_002033771.1|DSEC, LOC6612914|XP_002037406.2|DSEC	LOC118463865|XP_035786672.1|AALB
OG0000968	LOC6605972|XP_032574238.1|DSEC	LOC118464835|XP_035788404.1|AALB
OG0000969	LOC6615281|XP_002039685.1|DSEC, LOC6612946|XP_002037438.1|DSEC	LOC118467288|XP_035793494.1|AALB
OG0000970	LOC6618721|XP_002042980.1|DSEC	LOC118459232|XP_035778322.1|AALB
OG0000971	LOC6614440|XP_002038873.1|DSEC	LOC118467673|XP_035794337.1|AALB, LOC118461168|XP_035782061.1|AALB
OG0000972	LOC6610964|XP_002035521.1|DSEC, LOC6616140|XP_002040505.1|DSEC	LOC118457048|XP_035774189.1|AALB
OG0000974	LOC6610698|XP_002035264.1|DSEC	LOC118460056|XP_035779933.1|AALB, LOC118463138|XP_035785391.1|AALB
OG0000975	LOC6606813|XP_032576736.1|DSEC	LOC118461802|XP_035783438.1|AALB
OG0000976	LOC6607264|XP_032577403.1|DSEC	LOC118460713|XP_035781136.1|AALB, LOC118460739|XP_035781190.1|AALB
OG0000977	LOC6606297|XP_002031102.2|DSEC	LOC118468937|XP_035796163.1|AALB
OG0000978	LOC6608510|XP_032571996.1|DSEC, LOC6606843|XP_002031640.1|DSEC	LOC118464760|XP_035788272.1|AALB
OG0000979	LOC6615565|XP_032571845.1|DSEC, LOC6615541|XP_002039920.1|DSEC, LOC6615437|XP_002039819.1|DSEC, LOC6618229|XP_002042504.1|DSEC, LOC6618212|XP_002042487.1|DSEC, LOC6615523|XP_002039902.2|DSEC	LOC118459941|XP_035779710.1|AALB
OG0000988	LOC6617686|XP_002041998.2|DSEC	LOC118465612|XP_035789882.1|AALB
OG0000990	LOC6618696|XP_002042955.1|DSEC, LOC6615014|XP_002039431.1|DSEC	LOC118461263|XP_035782289.1|AALB
OG0000991	LOC6619823|XP_032582639.1|DSEC	LOC118460991|XP_035781709.1|AALB
OG0000992	LOC6608511|XP_002033245.1|DSEC, LOC6607556|XP_032577108.1|DSEC	LOC118467370|XP_035793679.1|AALB
OG0000993	LOC6612814|XP_002037315.1|DSEC, LOC6612813|XP_002037314.1|DSEC	LOC118458879|XP_035777722.1|AALB
OG0000994	LOC6612314|XP_002036824.1|DSEC	LOC118460067|XP_035779957.1|AALB
OG0000995	LOC6606093|XP_002030902.1|DSEC, LOC116802021|XP_032580766.1|DSEC, LOC6619930|XP_002044143.1|DSEC	LOC118467882|XP_035794687.1|AALB
OG0000996	LOC6608733|XP_002033456.2|DSEC	LOC118464625|XP_035787964.1|AALB
OG0000997	LOC6608935|XP_032571774.1|DSEC	LOC118463841|XP_035786637.1|AALB
OG0000998	LOC6621276|XP_032573674.1|DSEC	LOC118463641|XP_035786269.1|AALB
OG0000999	LOC6615673|XP_002040044.1|DSEC, LOC6615898|XP_002040268.1|DSEC	LOC118464812|XP_035788372.1|AALB
OG0001000	LOC116802433|XP_032582803.1|DSEC	LOC118468586|XP_035795411.1|AALB
OG0001001	LOC6609276|XP_032572227.1|DSEC	LOC118468736|XP_035795777.1|AALB, LOC118457961|XP_035775887.1|AALB
OG0001002	LOC6614556|XP_002038984.2|DSEC	LOC118462052|XP_035783931.1|AALB, LOC118457269|XP_035774556.1|AALB
OG0001003	LOC6620475|XP_002044681.1|DSEC, LOC116800331|XP_032570320.1|DSEC	LOC118458880|XP_035777724.1|AALB
OG0001004	LOC6620038|XP_002044250.1|DSEC, LOC6607065|XP_002031853.1|DSEC	LOC118461508|XP_035782830.1|AALB
OG0001005	LOC6614645|XP_002039072.1|DSEC, LOC116802128|XP_032581252.1|DSEC	LOC118457323|XP_035774708.1|AALB
OG0001006	LOC6606329|XP_002031134.1|DSEC, LOC6605347|XP_002030182.1|DSEC	LOC118466540|XP_035791949.1|AALB
OG0001007	LOC6613009|XP_032571832.1|DSEC	LOC118465783|XP_035790210.1|AALB
OG0001008	LOC6618753|XP_002043011.1|DSEC, LOC6617907|XP_002042214.1|DSEC	LOC118465025|XP_035788783.1|AALB
OG0001009	LOC6620892|XP_002045084.2|DSEC, LOC6617022|XP_032578844.1|DSEC	LOC118457397|XP_035774827.1|AALB
OG0001019	LOC6617123|XP_002041450.2|DSEC	LOC118465401|XP_035789500.1|AALB
OG0001020	LOC6615137|XP_032581956.1|DSEC	LOC118456197|XP_035772655.1|AALB, LOC118456190|XP_035772644.1|AALB
OG0001022	LOC6606986|XP_002031778.1|DSEC, LOC6619991|XP_002044203.1|DSEC	LOC118459591|XP_035779012.1|AALB, LOC118464497|XP_035787825.1|AALB
OG0001024	LOC6617108|XP_032579182.1|DSEC	LOC118458539|XP_035777014.1|AALB, LOC118457811|XP_035775564.1|AALB
OG0001025	LOC6605410|XP_002030243.1|DSEC	LOC118462991|XP_035785097.1|AALB, LOC118459096|XP_035778052.1|AALB
OG0001026	LOC6608092|XP_032570255.1|DSEC	LOC118467194|XP_035793298.1|AALB, LOC118463597|XP_035786150.1|AALB
OG0001027	LOC6618348|XP_002042620.1|DSEC	LOC118462690|XP_035784501.1|AALB, LOC118462691|XP_035784507.1|AALB
OG0001028	LOC6611347|XP_002035893.1|DSEC	LOC118466252|XP_035791197.1|AALB
OG0001029	LOC6608579|XP_032570102.1|DSEC	LOC118459516|XP_035778851.1|AALB
OG0001031	LOC6619338|XP_032583163.1|DSEC	LOC118458005|XP_035775973.1|AALB
OG0001032	LOC6620695|XP_002044899.1|DSEC, LOC6621234|XP_002045411.1|DSEC, LOC6620696|XP_002044898.2|DSEC, LOC6620697|XP_002044897.2|DSEC, LOC6620520|XP_032571457.1|DSEC	LOC118456400|XP_035772993.1|AALB
OG0001033	LOC6616612|XP_002040969.2|DSEC	LOC118466176|XP_035791056.1|AALB
OG0001042	LOC6612924|XP_002037416.1|DSEC	LOC118458317|XP_035776557.1|AALB, LOC118460405|XP_035780581.1|AALB
OG0001043	LOC116802168|XP_032581465.1|DSEC	LOC118458781|XP_035777499.1|AALB
OG0001044	LOC6608046|XP_032571244.1|DSEC	LOC118466750|XP_035792336.1|AALB
OG0001045	LOC6609232|XP_032572772.1|DSEC	LOC118460207|XP_035780211.1|AALB
OG0001046	LOC6609647|XP_002034321.1|DSEC, LOC6609648|XP_002034322.1|DSEC	LOC118461602|XP_035783012.1|AALB
OG0001048	LOC6615445|XP_002039827.1|DSEC	LOC118463800|XP_035786560.1|AALB, LOC118467828|XP_035794612.1|AALB
OG0001049	LOC6610803|XP_032574486.1|DSEC	LOC118467134|XP_035793137.1|AALB
OG0001050	LOC6605984|XP_032574052.1|DSEC	LOC118466206|XP_035791116.1|AALB
OG0001051	LOC6611855|XP_002036377.1|DSEC	LOC118458232|XP_035776394.1|AALB
OG0001052	LOC6611669|XP_002036204.1|DSEC	LOC118456651|XP_035773484.1|AALB
OG0001053	LOC6612514|XP_032582127.1|DSEC, LOC116802029|XP_032580820.1|DSEC	LOC118468491|XP_035795212.1|AALB
OG0001054	LOC6607495|XP_002032264.1|DSEC, LOC6607494|XP_002032263.1|DSEC	LOC118458947|XP_035777823.1|AALB
OG0001055	LOC6606789|XP_002031586.2|DSEC, LOC6606788|XP_002031585.2|DSEC	LOC118457762|XP_035775478.1|AALB, LOC118457761|XP_035775477.1|AALB
OG0001056	LOC6614525|XP_002038956.1|DSEC, LOC6620726|XP_032581188.1|DSEC	LOC118458531|XP_035777002.1|AALB
