Orthogroup	DSEC.longest_only	CQUI.longest_only
OG0002232	LOC6615284|XP_002039688.1|DSEC	LOC6040636|XP_001850004.1|CQUI
OG0002233	LOC6605448|XP_032575274.1|DSEC	LOC6047308|XP_038120904.1|CQUI, LOC6047313|XP_038119049.1|CQUI
OG0002234	LOC6608622|XP_002033356.1|DSEC	LOC6042094|XP_038109897.1|CQUI, LOC6049788|XP_038119930.1|CQUI, LOC6049787|XP_001866494.1|CQUI
OG0002235	LOC6615515|XP_032570923.1|DSEC	LOC6040757|XP_038115690.1|CQUI
OG0002236	LOC6615827|XP_002040197.1|DSEC	LOC6030997|XP_001841850.1|CQUI
OG0002237	LOC6613001|XP_032571525.1|DSEC	LOC6047076|XP_001864183.2|CQUI
OG0002238	LOC6607899|XP_032570329.1|DSEC	LOC6049703|XP_038118161.1|CQUI
OG0002239	LOC6608877|XP_002033591.1|DSEC	LOC6042825|XP_001870822.1|CQUI
OG0002240	LOC6615497|XP_002039877.2|DSEC	LOC6041172|XP_038118497.1|CQUI
OG0002241	LOC6605037|XP_032576023.1|DSEC	LOC6044078|XP_038116059.1|CQUI
OG0002243	LOC6619271|XP_002043488.1|DSEC	LOC6044961|XP_038119719.1|CQUI
OG0002244	LOC6605220|XP_002030058.1|DSEC	LOC119767375|XP_038111774.1|CQUI, LOC6044948|XP_001862380.2|CQUI
OG0002245	LOC6604780|XP_002029631.2|DSEC	LOC6045680|XP_038114857.1|CQUI
OG0002246	LOC6607901|XP_032571779.1|DSEC	LOC6049979|XP_038118799.1|CQUI
OG0002247	LOC116800317|XP_032570295.1|DSEC	LOC6038803|XP_001848521.2|CQUI
OG0002248	LOC6610763|XP_002035329.1|DSEC	LOC6047330|XP_038119197.1|CQUI
OG0002249	LOC6604859|XP_032574986.1|DSEC	LOC6046727|XP_038111587.1|CQUI, LOC6052976|XP_001869143.1|CQUI
OG0002250	LOC6615267|XP_002039672.1|DSEC	LOC6050221|XP_038121273.1|CQUI
OG0002251	LOC6615265|XP_002039670.1|DSEC	LOC6049011|XP_038120599.1|CQUI
OG0002252	LOC6610121|XP_032571536.1|DSEC	LOC6040660|XP_001850021.2|CQUI
OG0002253	LOC116800449|XP_032571383.1|DSEC	LOC119768700|XP_038115241.1|CQUI
OG0002254	LOC116801595|XP_032578049.1|DSEC, LOC6607810|XP_032578585.1|DSEC, LOC6619623|XP_032578584.1|DSEC, LOC6621779|XP_032578581.1|DSEC, LOC6607808|XP_032578580.1|DSEC	LOC6052417|XP_038119674.1|CQUI
OG0002255	LOC6614993|XP_032581490.1|DSEC	LOC6041121|XP_001850425.2|CQUI
OG0002256	LOC6608555|XP_002033289.1|DSEC	LOC6053962|XP_038117648.1|CQUI
OG0002257	LOC6608630|XP_032571284.1|DSEC	LOC6036306|XP_038120022.1|CQUI
OG0002260	LOC6619399|XP_002043614.1|DSEC	LOC6051586|XP_001868005.2|CQUI
OG0002261	LOC6619380|XP_002043596.2|DSEC	LOC6039430|XP_038119745.1|CQUI
OG0002263	LOC6605878|XP_002030692.1|DSEC	LOC6037305|XP_001847231.1|CQUI
OG0002264	LOC6618834|XP_002043083.1|DSEC	LOC6036281|XP_001846347.2|CQUI
OG0002265	LOC6605174|XP_032575180.1|DSEC	LOC6054106|XP_001870076.2|CQUI
OG0002266	LOC6619434|XP_002043649.2|DSEC	LOC6040111|XP_038114718.1|CQUI
OG0002267	LOC6604960|XP_002029803.1|DSEC	LOC6041091|XP_001850398.2|CQUI
OG0002268	LOC6616429|XP_032573201.1|DSEC	LOC6041087|XP_001850394.2|CQUI
OG0002269	LOC6609325|XP_002034014.1|DSEC	LOC6044693|XP_038114553.1|CQUI
OG0002270	LOC6609365|XP_002034054.1|DSEC	LOC6037148|XP_038117201.1|CQUI
OG0002271	LOC6604972|XP_032574688.1|DSEC	LOC6036553|XP_038118891.1|CQUI
OG0002272	LOC6610371|XP_002034957.1|DSEC	LOC6035611|XP_001845760.1|CQUI
OG0002273	LOC6605835|XP_032573345.1|DSEC	LOC6033527|XP_038115340.1|CQUI
OG0002274	LOC6616522|XP_032574717.1|DSEC	LOC6048902|XP_038116037.1|CQUI
OG0002275	LOC6606057|XP_032573402.1|DSEC	LOC6038251|XP_038118213.1|CQUI
OG0002276	LOC6610337|XP_032574218.1|DSEC	LOC6040614|XP_038116102.1|CQUI
OG0002277	LOC6610329|XP_032573717.1|DSEC	LOC6035466|XP_038118942.1|CQUI
OG0002278	LOC6610875|XP_002035438.1|DSEC	LOC6042858|XP_038117047.1|CQUI
OG0002279	LOC6605005|XP_032573392.1|DSEC	LOC6054516|XP_001870416.2|CQUI
OG0002280	LOC6606018|XP_032575769.1|DSEC	LOC6041979|XP_038116671.1|CQUI
OG0002281	LOC6606008|XP_002030819.1|DSEC	LOC6041008|XP_001850323.2|CQUI
OG0002282	LOC6610622|XP_002035189.1|DSEC	LOC119769211|XP_038117058.1|CQUI, LOC6031311|XP_001842128.2|CQUI
OG0002283	LOC6615728|XP_002040099.1|DSEC	LOC6035584|XP_038117065.1|CQUI
OG0002284	LOC6608106|XP_002032854.1|DSEC	LOC6035592|XP_001845743.1|CQUI
OG0002285	LOC6618965|XP_002043210.1|DSEC	LOC6050360|XP_001866980.2|CQUI
OG0002286	LOC6615651|XP_002040022.2|DSEC	LOC6047555|XP_038121299.1|CQUI
OG0002287	LOC6609366|XP_032571030.1|DSEC	LOC6036821|XP_038115121.1|CQUI
OG0002288	LOC6604971|XP_032574686.1|DSEC	LOC6036823|XP_038115902.1|CQUI
OG0002289	LOC6604898|XP_002029743.1|DSEC	LOC6048142|XP_001865105.1|CQUI
OG0002290	LOC6613595|XP_002038064.1|DSEC	LOC6032490|XP_001843080.1|CQUI
OG0002291	LOC6608003|XP_032570199.1|DSEC	LOC6033513|XP_038118297.1|CQUI
OG0002292	LOC6620684|XP_032572178.1|DSEC	LOC6033463|XP_038119085.1|CQUI
OG0002293	LOC6620409|XP_002044617.2|DSEC	LOC119770382|XP_038121063.1|CQUI
OG0002294	LOC6607286|XP_002032065.1|DSEC	LOC6053981|XP_001869971.2|CQUI
OG0002295	LOC6611481|XP_032569888.1|DSEC	LOC6043755|XP_038110402.1|CQUI
OG0002296	LOC6611824|XP_032583531.1|DSEC	LOC6053408|XP_038107636.1|CQUI
OG0002297	LOC6606300|XP_002031105.1|DSEC	LOC6047771|XP_038111266.1|CQUI
OG0002298	LOC6613010|XP_032571756.1|DSEC	LOC6048640|XP_001865531.1|CQUI
OG0002299	LOC6608582|XP_002033316.1|DSEC	LOC6048634|XP_001865530.1|CQUI
OG0002300	LOC6613507|XP_032582789.1|DSEC	LOC6041296|XP_038109865.1|CQUI
OG0002301	LOC6619301|XP_002043519.1|DSEC	LOC6032442|XP_038109104.1|CQUI
OG0002302	LOC6619309|XP_032583585.1|DSEC	LOC6032494|XP_038107401.1|CQUI
OG0002303	LOC6615881|XP_032582602.1|DSEC	LOC119770001|XP_038119947.1|CQUI
OG0002304	LOC116802041|XP_032580947.1|DSEC	LOC6034145|XP_038110271.1|CQUI
OG0002305	LOC6616295|XP_002040659.2|DSEC	LOC6037882|XP_038108990.1|CQUI
OG0002306	LOC6611697|XP_002036231.2|DSEC	LOC6048483|XP_038112798.1|CQUI
OG0002307	LOC6617417|XP_032571705.1|DSEC	LOC6032953|XP_038114107.1|CQUI
OG0002308	LOC6611826|XP_002036348.1|DSEC	LOC6054586|XP_038108430.1|CQUI
OG0002309	LOC116803546|XP_032583183.1|DSEC	LOC6031325|XP_001842140.1|CQUI
OG0002310	LOC6618258|XP_032575201.1|DSEC	LOC6031360|XP_038109101.1|CQUI
OG0002311	LOC6614726|XP_032569750.1|DSEC	LOC6046331|XP_038108958.1|CQUI
OG0002312	LOC6617850|XP_032581809.1|DSEC	LOC6046701|XP_038110846.1|CQUI
OG0002313	LOC6609164|XP_032571980.1|DSEC	LOC6050065|XP_038111372.1|CQUI
OG0002314	LOC6608201|XP_002032946.2|DSEC	LOC6050053|XP_001866720.2|CQUI
OG0002315	LOC6608745|XP_002033468.1|DSEC	LOC6031936|XP_038109302.1|CQUI, LOC6031768|XP_038109420.1|CQUI
OG0002316	LOC6612103|XP_002036620.2|DSEC	LOC6037125|XP_001847068.1|CQUI
OG0002317	LOC6605740|XP_032574339.1|DSEC	LOC6050062|XP_038111373.1|CQUI
OG0002318	LOC6614584|XP_002039012.1|DSEC	LOC6031952|XP_038108738.1|CQUI
OG0002319	LOC6617823|XP_002042133.2|DSEC	LOC119767871|XP_038113550.1|CQUI, LOC6039423|XP_038106730.1|CQUI
OG0002320	LOC6615283|XP_002039687.1|DSEC	LOC6031812|XP_001842519.2|CQUI
OG0002321	LOC6608784|XP_032571583.1|DSEC	LOC6038275|XP_001848098.1|CQUI
OG0002322	LOC6618274|XP_032569805.1|DSEC	LOC6044453|XP_038109073.1|CQUI
OG0002323	LOC6618243|XP_002042518.1|DSEC	LOC6041510|XP_001850760.2|CQUI
OG0002324	LOC6619383|XP_032574528.1|DSEC	LOC6043907|XP_001861490.1|CQUI
OG0002325	LOC6605207|XP_032574033.1|DSEC	LOC6043898|XP_038113606.1|CQUI
OG0002326	LOC6605209|XP_002030047.1|DSEC	LOC6043897|XP_038106830.1|CQUI
OG0002327	LOC116801625|XP_032578263.1|DSEC	LOC6043899|XP_038108302.1|CQUI
OG0002328	LOC6614752|XP_032570293.1|DSEC	LOC6036378|XP_001846433.2|CQUI
OG0002329	LOC6617343|XP_002041668.1|DSEC	LOC6036369|XP_038110618.1|CQUI
OG0002330	LOC6617345|XP_002041670.1|DSEC	LOC6031186|XP_038106119.1|CQUI
OG0002331	LOC6614922|XP_002039339.1|DSEC	LOC6031208|XP_001842042.2|CQUI
OG0002332	LOC6610536|XP_002035116.1|DSEC	LOC6042252|XP_001851390.2|CQUI
OG0002333	LOC6618895|XP_002043143.1|DSEC	LOC6032002|XP_038113463.1|CQUI
OG0002334	LOC6613529|XP_032582889.1|DSEC	LOC6037004|XP_001846968.2|CQUI
OG0002335	LOC6608259|XP_032570482.1|DSEC	LOC6031823|XP_038109961.1|CQUI
OG0002336	LOC6618379|XP_002042649.1|DSEC	LOC6033193|XP_038109781.1|CQUI
OG0002337	LOC6608368|XP_032570792.1|DSEC	LOC6040014|XP_038106019.1|CQUI
OG0002338	LOC6611505|XP_002036046.1|DSEC	LOC6040854|XP_038109267.1|CQUI
OG0002339	LOC6613210|XP_032569817.1|DSEC	LOC6031261|XP_038109126.1|CQUI, LOC6036110|XP_001846158.2|CQUI
OG0002340	LOC6617683|XP_002041995.2|DSEC	LOC6041523|XP_001850773.2|CQUI
OG0002341	LOC6620880|XP_032571727.1|DSEC	LOC6040128|XP_001849587.2|CQUI
OG0002342	LOC6613446|XP_032569878.1|DSEC	LOC6040132|XP_038114414.1|CQUI
OG0002343	LOC6613428|XP_032581231.1|DSEC	LOC6036647|XP_038106750.1|CQUI
OG0002344	LOC6620522|XP_032582777.1|DSEC	LOC6036655|XP_038114418.1|CQUI
OG0002345	LOC6608081|XP_002032829.1|DSEC	LOC6033169|XP_038112404.1|CQUI
OG0002346	LOC6611476|XP_032579432.1|DSEC	LOC6033282|XP_001843752.2|CQUI
OG0002347	LOC6608772|XP_002033493.1|DSEC	LOC6048996|XP_001865830.2|CQUI
OG0002348	LOC6611657|XP_032569801.1|DSEC	LOC6050418|XP_038113237.1|CQUI
OG0002349	LOC116800484|XP_032571627.1|DSEC	LOC6044752|XP_038122121.1|CQUI, LOC6039494|XP_038105822.1|CQUI, LOC119766897|XP_038109217.1|CQUI
OG0002350	LOC6608080|XP_032571621.1|DSEC	LOC6031634|XP_038119250.1|CQUI, LOC6033104|XP_001843599.2|CQUI
OG0002351	LOC6608832|XP_002033546.1|DSEC	LOC6042105|XP_038114014.1|CQUI
OG0002352	LOC6608915|XP_032571363.1|DSEC	LOC6042118|XP_038112064.1|CQUI
OG0002353	LOC6620700|XP_032570889.1|DSEC	LOC6043228|XP_001857727.2|CQUI
OG0002354	LOC6611761|XP_002036284.1|DSEC	LOC6033274|XP_038113892.1|CQUI
OG0002355	LOC6620680|XP_032576491.1|DSEC	LOC6038937|XP_038108240.1|CQUI
OG0002356	LOC6614384|XP_002038822.2|DSEC	LOC6044243|XP_038114335.1|CQUI
OG0002357	LOC6621048|XP_032576158.1|DSEC, LOC6621586|XP_032576152.1|DSEC	LOC6052967|XP_038113574.1|CQUI, LOC6052659|XP_038106613.1|CQUI, LOC6044241|XP_001861780.2|CQUI
OG0002358	LOC6611936|XP_002036453.1|DSEC	LOC6031859|XP_038106717.1|CQUI
OG0002359	LOC6612569|XP_002037074.2|DSEC	LOC6031881|XP_038111803.1|CQUI
OG0002360	LOC6618188|XP_002042463.1|DSEC	LOC6036445|XP_001846496.2|CQUI
OG0002361	LOC6619423|XP_002043638.1|DSEC	LOC119766965|XP_038109659.1|CQUI
OG0002362	LOC6611549|XP_032573720.1|DSEC	LOC6054587|XP_038107867.1|CQUI
OG0002363	LOC6611507|XP_002036048.1|DSEC	LOC6038008|XP_001847855.1|CQUI
OG0002364	LOC6611509|XP_032570699.1|DSEC	LOC6038009|XP_038113072.1|CQUI
OG0002365	LOC6611511|XP_002036052.2|DSEC	LOC6038010|XP_001847857.2|CQUI
OG0002366	LOC6613396|XP_032573932.1|DSEC	LOC6036339|XP_038111196.1|CQUI
OG0002367	LOC6620616|XP_002044819.1|DSEC	LOC6034393|XP_038109097.1|CQUI
OG0002368	LOC6613572|XP_002038040.1|DSEC	LOC6039844|XP_038108567.1|CQUI
OG0002369	LOC6615061|XP_002039478.1|DSEC	LOC6034866|XP_001845136.2|CQUI
OG0002370	LOC6611227|XP_002035783.2|DSEC	LOC6042079|XP_038107575.1|CQUI
OG0002371	LOC6611225|XP_002035781.1|DSEC	LOC6042074|XP_038107576.1|CQUI
OG0002372	LOC6613320|XP_002037796.2|DSEC	LOC6033604|XP_038107033.1|CQUI
OG0002373	LOC6614411|XP_002038844.1|DSEC	LOC6042945|XP_001870884.2|CQUI, LOC6053051|XP_001869210.1|CQUI
OG0002374	LOC6607842|XP_002032599.2|DSEC	LOC6048336|XP_038110935.1|CQUI
OG0002375	LOC6614308|XP_002038748.2|DSEC	LOC6037683|XP_038108247.1|CQUI
OG0002376	LOC6611465|XP_032578353.1|DSEC	LOC6048804|XP_038122078.1|CQUI
OG0002377	LOC6613949|XP_002038413.1|DSEC	LOC6040478|XP_001849864.2|CQUI
OG0002378	LOC6605522|XP_002030355.1|DSEC	LOC6042670|XP_001853364.1|CQUI
OG0002379	LOC6613699|XP_002038169.1|DSEC	LOC6039013|XP_001848695.2|CQUI
OG0002380	LOC6612298|XP_032581622.1|DSEC	LOC6047575|XP_001864617.1|CQUI
OG0002381	LOC6609108|XP_002033811.1|DSEC	LOC6032249|XP_001842887.1|CQUI
OG0002382	LOC6619829|XP_032580861.1|DSEC	LOC6048718|XP_038115337.1|CQUI
OG0002383	LOC6610391|XP_032574445.1|DSEC	LOC6054417|XP_038118937.1|CQUI
OG0002384	LOC6616088|XP_032582358.1|DSEC	LOC6048311|XP_038119472.1|CQUI, LOC6048302|XP_038116611.1|CQUI
OG0002386	LOC6619025|XP_002043270.1|DSEC	LOC6033077|XP_038120640.1|CQUI
OG0002387	LOC6607546|XP_032576220.1|DSEC	LOC6051016|XP_038115133.1|CQUI
OG0002388	LOC6606296|XP_032576272.1|DSEC	LOC6053486|XP_038122199.1|CQUI
OG0002389	LOC6607569|XP_002032338.1|DSEC	LOC6047438|XP_001864493.1|CQUI, LOC6034238|XP_038106278.1|CQUI
OG0002390	LOC6612048|XP_002036565.1|DSEC	LOC6049310|XP_001866082.2|CQUI
OG0002391	LOC6609584|XP_032570892.1|DSEC	LOC6039477|XP_038119173.1|CQUI
OG0002392	LOC6610840|XP_002035406.2|DSEC	LOC6044685|XP_038120275.1|CQUI
OG0002393	LOC6605974|XP_002030786.1|DSEC	LOC6045689|XP_038119329.1|CQUI
OG0002394	LOC6616939|XP_032577301.1|DSEC	LOC6039388|XP_038121848.1|CQUI
OG0002395	LOC6606889|XP_032577672.1|DSEC	LOC6046522|XP_038121760.1|CQUI
OG0002396	LOC6609270|XP_032570141.1|DSEC	LOC6035019|XP_038119412.1|CQUI
OG0002397	LOC6619120|XP_002043360.1|DSEC	LOC6043888|XP_001861470.1|CQUI
OG0002398	LOC6619770|XP_032582020.1|DSEC	LOC6050951|XP_001867465.2|CQUI
OG0002399	LOC6619153|XP_002043393.1|DSEC	LOC119768868|XP_038116323.1|CQUI
OG0002400	LOC6609610|XP_002034287.2|DSEC	LOC6049235|XP_038120383.1|CQUI
OG0002401	LOC6620284|XP_002044492.1|DSEC	LOC6050680|XP_001867244.2|CQUI
OG0002402	LOC6606156|XP_002030964.2|DSEC	LOC6047584|XP_038116540.1|CQUI
OG0002403	LOC6606155|XP_032577022.1|DSEC	LOC6053670|XP_038118861.1|CQUI
OG0002404	LOC6613778|XP_002038248.1|DSEC	LOC6044716|XP_038118794.1|CQUI
OG0002405	LOC6613942|XP_002038406.2|DSEC	LOC6042040|XP_038118600.1|CQUI
OG0002406	LOC6605961|XP_002030773.1|DSEC	LOC119768831|XP_038116131.1|CQUI
OG0002407	LOC6619510|XP_032576641.1|DSEC	LOC6039819|XP_038116523.1|CQUI
OG0002408	LOC6613955|XP_032578381.1|DSEC	LOC6039804|XP_038119512.1|CQUI
OG0002410	LOC6619037|XP_032577333.1|DSEC	LOC6054177|XP_038119593.1|CQUI
OG0002411	LOC6607171|XP_002031957.1|DSEC	LOC6032563|XP_001843139.1|CQUI
OG0002412	LOC116801292|XP_032575838.1|DSEC	LOC6032566|XP_038122161.1|CQUI
OG0002413	LOC6612220|XP_032582055.1|DSEC	LOC6048880|XP_001865726.1|CQUI
OG0002414	LOC6610296|XP_002034891.1|DSEC	LOC6048854|XP_001865693.2|CQUI
OG0002415	LOC6606704|XP_032577217.1|DSEC	LOC6047147|XP_038117524.1|CQUI
OG0002417	LOC6617207|XP_002041534.1|DSEC	LOC6050407|XP_001867022.2|CQUI
OG0002418	LOC6620474|XP_002044683.1|DSEC	LOC6046399|XP_038121391.1|CQUI
OG0002419	LOC6612510|XP_032582126.1|DSEC	LOC6037577|XP_038116558.1|CQUI, LOC6050586|XP_001867168.2|CQUI
OG0002420	LOC6610624|XP_032575504.1|DSEC	LOC6037564|XP_038119772.1|CQUI
OG0002421	LOC6607743|XP_002032506.1|DSEC	LOC6048010|XP_001864984.2|CQUI
OG0002422	LOC6614327|XP_002038767.1|DSEC	LOC6032747|XP_038118698.1|CQUI
OG0002423	LOC6605235|XP_002030073.2|DSEC	LOC6033816|XP_038118435.1|CQUI
OG0002424	LOC6620278|XP_002044487.2|DSEC	LOC6040845|XP_038118999.1|CQUI
OG0002425	LOC6619938|XP_002044150.1|DSEC	LOC6053197|XP_038120572.1|CQUI, LOC6040839|XP_038122185.1|CQUI
OG0002426	LOC6610245|XP_002034840.2|DSEC	LOC6033988|XP_038115446.1|CQUI
OG0002427	LOC6620285|XP_002044493.1|DSEC	LOC6033992|XP_001844380.1|CQUI
OG0002428	LOC6615032|XP_002039449.2|DSEC	LOC6034042|XP_038116028.1|CQUI
OG0002429	LOC6610512|XP_002035092.2|DSEC	LOC6050578|XP_038121197.1|CQUI
OG0002430	LOC6607982|XP_002032730.1|DSEC	LOC6039947|XP_001849442.1|CQUI
OG0002431	LOC6609942|XP_032572390.1|DSEC	LOC6046184|XP_001863416.2|CQUI
OG0002432	LOC6612482|XP_002036990.2|DSEC	LOC6045833|XP_038112946.1|CQUI
OG0002434	LOC6607075|XP_002031863.1|DSEC	LOC6033790|XP_001844192.2|CQUI
OG0002435	LOC6617556|XP_002041869.2|DSEC	LOC6046932|XP_038109485.1|CQUI
OG0002436	LOC6609077|XP_002033780.1|DSEC	LOC6054064|XP_001870042.2|CQUI, LOC119767530|XP_038112259.1|CQUI
OG0002437	LOC6609040|XP_002033743.1|DSEC	LOC6051233|XP_038109096.1|CQUI
OG0002438	LOC6616046|XP_032581935.1|DSEC	LOC6043548|XP_038110094.1|CQUI, LOC6032484|XP_038116010.1|CQUI
OG0002439	LOC116802469|XP_032582834.1|DSEC, LOC6613571|XP_032572291.1|DSEC	LOC119766963|XP_038109630.1|CQUI
OG0002440	LOC6606141|XP_002030949.2|DSEC	LOC6048677|XP_001865561.2|CQUI
OG0002441	LOC6608387|XP_002033123.1|DSEC	LOC6032364|XP_038107613.1|CQUI
OG0002442	LOC6609630|XP_002034307.1|DSEC	LOC6038122|XP_038111278.1|CQUI
OG0002443	LOC6608570|XP_032572699.1|DSEC	LOC6053099|XP_038108249.1|CQUI
OG0002444	LOC6615489|XP_032570846.1|DSEC	LOC6052487|XP_038106064.1|CQUI
OG0002445	LOC6609058|XP_002033761.1|DSEC	LOC6038541|XP_001848328.1|CQUI
OG0002446	LOC6609198|XP_002033889.1|DSEC	LOC6033408|XP_001843861.2|CQUI
OG0002447	LOC6605499|XP_032574557.1|DSEC	LOC6052098|XP_038111823.1|CQUI
OG0002448	LOC6615421|XP_002039803.1|DSEC	LOC6051563|XP_001867979.2|CQUI
OG0002449	LOC6609509|XP_002034193.1|DSEC	LOC6053515|XP_001869584.1|CQUI
OG0002450	LOC6606933|XP_032578029.1|DSEC	LOC6043656|XP_038114104.1|CQUI
OG0002451	LOC6608247|XP_032570484.1|DSEC	LOC6043669|XP_038109669.1|CQUI
OG0002452	LOC6615518|XP_002039897.1|DSEC	LOC6050180|XP_038110120.1|CQUI
OG0002453	LOC6615517|XP_002039896.1|DSEC	LOC6038085|XP_038109782.1|CQUI
OG0002454	LOC6610237|XP_002034832.1|DSEC	LOC6047683|XP_038108688.1|CQUI
OG0002455	LOC6610238|XP_002034833.1|DSEC	LOC6047681|XP_001864711.2|CQUI
OG0002456	LOC6615637|XP_032571850.1|DSEC	LOC6036749|XP_038106369.1|CQUI
OG0002457	LOC6608025|XP_032572841.1|DSEC	LOC6037973|XP_038109981.1|CQUI
OG0002459	LOC6609014|XP_002033719.1|DSEC	LOC6040278|XP_038110319.1|CQUI
OG0002460	LOC6613048|XP_002037531.1|DSEC	LOC6046545|XP_038107177.1|CQUI
OG0002461	LOC6609545|XP_002034228.1|DSEC	LOC6037728|XP_001847609.2|CQUI
OG0002462	LOC6609898|XP_032570713.1|DSEC	LOC6036728|XP_038106021.1|CQUI
OG0002463	LOC6613000|XP_032572495.1|DSEC	LOC6035951|XP_038107997.1|CQUI
OG0002464	LOC6609628|XP_002034305.1|DSEC	LOC6035936|XP_038113029.1|CQUI
OG0002465	LOC6619150|XP_002043390.1|DSEC	LOC6035937|XP_038107822.1|CQUI
OG0002466	LOC6619465|XP_032579749.1|DSEC	LOC6035693|XP_038106107.1|CQUI
OG0002467	LOC6610881|XP_002035444.2|DSEC	LOC6045031|XP_038113008.1|CQUI
OG0002468	LOC6605542|XP_002030370.1|DSEC	LOC6040091|XP_038107963.1|CQUI
OG0002469	LOC6613789|XP_032578079.1|DSEC	LOC6036071|XP_038108768.1|CQUI
OG0002470	LOC6608255|XP_002032999.1|DSEC	LOC6036080|XP_001846173.1|CQUI
OG0002471	LOC6608351|XP_032572636.1|DSEC	LOC6040384|XP_038107221.1|CQUI
OG0002472	LOC6608797|XP_002033516.1|DSEC	LOC6042946|XP_038108067.1|CQUI
OG0002473	LOC6608713|XP_002033437.1|DSEC	LOC6042941|XP_001870880.2|CQUI
OG0002474	LOC6605800|XP_032573308.1|DSEC	LOC6049842|XP_038108015.1|CQUI
OG0002475	LOC6612836|XP_002037337.1|DSEC	LOC6038339|XP_001848154.1|CQUI
OG0002476	LOC6615544|XP_002039923.1|DSEC	LOC6040191|XP_001849641.1|CQUI
OG0002477	LOC6621650|XP_032572210.1|DSEC	LOC6043951|XP_038110645.1|CQUI
OG0002478	LOC6620803|XP_032571514.1|DSEC	LOC6043127|XP_001855949.2|CQUI
OG0002479	LOC6609094|XP_002033797.1|DSEC	LOC6046503|XP_001863689.2|CQUI
OG0002480	LOC6620153|XP_032578044.1|DSEC	LOC6036095|XP_038111231.1|CQUI
OG0002481	LOC6616036|XP_002040402.1|DSEC	LOC6037433|XP_001847344.2|CQUI
OG0002482	LOC6609038|XP_002033741.1|DSEC	LOC6054086|XP_001870060.2|CQUI
OG0002483	LOC6615792|XP_002040162.1|DSEC	LOC6043110|XP_001855883.2|CQUI
OG0002484	LOC6609616|XP_002034293.1|DSEC	LOC6043115|XP_001855904.1|CQUI
OG0002485	LOC6608228|XP_002032972.1|DSEC	LOC6051768|XP_001868152.2|CQUI
OG0002486	LOC6619444|XP_002043659.1|DSEC	LOC6050978|XP_001867487.1|CQUI
OG0002487	LOC6620140|XP_032569716.1|DSEC	LOC6052913|XP_038108954.1|CQUI
OG0002488	LOC6615475|XP_002039855.1|DSEC	LOC6053873|XP_038111830.1|CQUI
OG0002489	LOC6618397|XP_032573265.1|DSEC	LOC6037239|XP_038114170.1|CQUI
OG0002490	LOC6621698|XP_032573097.1|DSEC	LOC6037217|XP_038112765.1|CQUI
OG0002491	LOC6616482|XP_002040843.1|DSEC	LOC6040530|XP_001849914.2|CQUI
OG0002492	LOC6609737|XP_032572777.1|DSEC	LOC6040552|XP_001849934.2|CQUI
OG0002493	LOC6608239|XP_002032983.1|DSEC	LOC6040556|XP_038111560.1|CQUI
OG0002494	LOC6607082|XP_032579513.1|DSEC	LOC6045149|XP_038118792.1|CQUI
OG0002495	LOC6609250|XP_002033940.1|DSEC	LOC6036631|XP_038111990.1|CQUI
OG0002508	LOC6614888|XP_032582162.1|DSEC	LOC6035088|XP_038122670.1|CQUI
OG0002509	LOC6608035|XP_002032783.1|DSEC	LOC119765394|XP_038105104.1|CQUI, LOC119770056|XP_038120124.1|CQUI
OG0002510	LOC6620348|XP_002044556.1|DSEC	LOC6038187|XP_001848017.1|CQUI
OG0002511	LOC6606505|XP_032576461.1|DSEC	LOC6044330|XP_038110665.1|CQUI
OG0002512	LOC6619457|XP_002043672.2|DSEC	LOC6038318|XP_038117657.1|CQUI
OG0002513	LOC6607046|XP_002031834.1|DSEC	LOC6038305|XP_001848124.2|CQUI
OG0002514	LOC6610287|XP_002034882.1|DSEC	LOC6044319|XP_001861845.1|CQUI
OG0002516	LOC6616959|XP_032579164.1|DSEC	LOC6042706|XP_038116833.1|CQUI
OG0002517	LOC6618445|XP_032582256.1|DSEC	LOC6053207|XP_038116640.1|CQUI, LOC6053206|XP_038121940.1|CQUI, LOC119770678|XP_038121928.1|CQUI
OG0002518	LOC6616617|XP_032577014.1|DSEC	LOC6040416|XP_038105923.1|CQUI
OG0002519	LOC6615299|XP_002039703.1|DSEC	LOC119765096|XP_038104153.1|CQUI
OG0002520	LOC6612341|XP_002036851.2|DSEC	LOC119765152|XP_038104337.1|CQUI
OG0002521	LOC6614864|XP_032581378.1|DSEC	LOC6045823|XP_038115345.1|CQUI
OG0002522	LOC6613767|XP_002038236.1|DSEC	LOC6041768|XP_001850986.2|CQUI
OG0002523	LOC6612964|XP_032577166.1|DSEC	LOC6040429|XP_038121903.1|CQUI
OG0002524	LOC6612408|XP_032582007.1|DSEC	LOC6043383|XP_038116054.1|CQUI
OG0002525	LOC6610862|XP_002035428.1|DSEC	LOC6041756|XP_038104229.1|CQUI
OG0002526	LOC6606278|XP_002031083.1|DSEC	LOC6041757|XP_001850972.2|CQUI
OG0002527	LOC6619229|XP_032577423.1|DSEC	LOC6053287|XP_038105571.1|CQUI
OG0002528	LOC6612208|XP_032582381.1|DSEC	LOC6053284|XP_038111580.1|CQUI
OG0002529	LOC6616814|XP_002041151.1|DSEC	LOC6049217|XP_001866017.1|CQUI
OG0002530	LOC6614721|XP_002039145.1|DSEC	LOC6049213|XP_001866014.1|CQUI
