Orthogroup	DHYD.longest_only	AALB.longest_only
OG0001212	LOC111603094|XP_023176322.2|DHYD	LOC118468555|XP_035795349.1|AALB, LOC118468554|XP_035795348.1|AALB
OG0001213	LOC111598501|XP_023169535.2|DHYD	LOC118457446|XP_035774931.1|AALB, LOC118460886|XP_035781522.1|AALB
OG0001214	LOC111603474|XP_023176831.2|DHYD	LOC118459114|XP_035778071.1|AALB
OG0001215	LOC115483345|XP_030080707.1|DHYD	LOC118459805|XP_035779435.1|AALB, LOC118459806|XP_035779436.1|AALB
OG0001216	LOC111595681|XP_023165287.2|DHYD	LOC118459804|XP_035779433.1|AALB, LOC118459112|XP_035778068.1|AALB
OG0001217	LOC111592086|XP_023159877.2|DHYD	LOC118457400|XP_035774830.1|AALB
OG0001218	LOC111596601|XP_023166651.1|DHYD, LOC111596602|XP_023166652.1|DHYD	LOC118460730|XP_035781179.1|AALB
OG0001220	LOC111593870|XP_023162699.2|DHYD	LOC118467131|XP_035793134.1|AALB
OG0001222	LOC111592328|XP_023160221.1|DHYD	LOC118467980|XP_035794861.1|AALB
OG0001223	LOC111600062|XP_023171760.1|DHYD, LOC111600121|XP_023171854.1|DHYD	LOC118463241|XP_035785600.1|AALB
OG0001224	LOC111592548|XP_023160608.1|DHYD	LOC118466057|XP_035790800.1|AALB
OG0001225	LOC111599921|XP_023171525.2|DHYD	LOC118465045|XP_035788815.1|AALB
OG0001226	LOC111604439|XP_023178278.1|DHYD	LOC118466987|XP_035792797.1|AALB
OG0001227	LOC111602155|XP_023174881.2|DHYD, LOC111602147|XP_023174868.2|DHYD, LOC111602136|XP_023174856.1|DHYD	LOC118458780|XP_035777498.1|AALB
OG0001228	LOC111598175|XP_023169039.1|DHYD	LOC118467222|XP_035793365.1|AALB
OG0001229	LOC111600119|XP_030081242.1|DHYD	LOC118457878|XP_035775694.1|AALB
OG0001230	LOC111604577|XP_030081069.1|DHYD	LOC118458823|XP_035777600.1|AALB
OG0001231	LOC111592054|XP_023159822.1|DHYD	LOC118468340|XP_035794992.1|AALB
OG0001232	LOC111599363|XP_023170763.2|DHYD	LOC118459302|XP_035778443.1|AALB
OG0001233	LOC111595816|XP_023165489.1|DHYD	LOC118458684|XP_035777288.1|AALB
OG0001234	LOC111592110|XP_023159912.1|DHYD, LOC111594012|XP_023162878.1|DHYD	LOC118458826|XP_035777605.1|AALB
OG0001235	LOC111599105|XP_023170424.2|DHYD	LOC118468919|XP_035796122.1|AALB
OG0001236	LOC111605688|XP_023180127.2|DHYD	LOC118457340|XP_035774731.1|AALB
OG0001237	LOC111596687|XP_023166761.1|DHYD	LOC118462010|XP_035783840.1|AALB
OG0001238	LOC111595167|XP_023164515.1|DHYD	LOC118458685|XP_035777293.1|AALB
OG0001239	LOC111598313|XP_023169277.1|DHYD	LOC118467960|XP_035794836.1|AALB, LOC118456572|XP_035773344.1|AALB
OG0001240	LOC111595162|XP_030078658.1|DHYD	LOC118458705|XP_035777339.1|AALB, LOC118457657|XP_035775294.1|AALB
OG0001241	LOC111598531|XP_023169583.2|DHYD	LOC118458875|XP_035777718.1|AALB
OG0001242	LOC111593632|XP_023162272.1|DHYD	LOC118457790|XP_035775529.1|AALB
OG0001246	LOC111600084|XP_023171791.2|DHYD	LOC118465964|XP_035790605.1|AALB, LOC118465963|XP_035790603.1|AALB, LOC118465965|XP_035790606.1|AALB
OG0001247	LOC111600130|XP_023171863.1|DHYD	LOC118466018|XP_035790726.1|AALB
OG0001248	LOC111592739|XP_023160904.2|DHYD	LOC118465826|XP_035790307.1|AALB
OG0001249	LOC111605291|XP_023179509.1|DHYD	LOC118463759|XP_035786466.1|AALB
OG0001257	LOC111593704|XP_023162420.2|DHYD	LOC118469009|XP_035796340.1|AALB
OG0001258	LOC111602741|XP_023175762.1|DHYD	LOC118458042|XP_035776057.1|AALB
OG0001260	LOC111594477|XP_023163546.1|DHYD	LOC118460936|XP_035781596.1|AALB
OG0001261	LOC111600196|XP_023171977.1|DHYD	LOC118458797|XP_035777536.1|AALB, LOC118462849|XP_035784802.1|AALB
OG0001263	LOC111596397|XP_023166371.1|DHYD	LOC118465872|XP_035790398.1|AALB
OG0001264	LOC111601567|XP_030080310.1|DHYD	LOC118457456|XP_035774947.1|AALB, LOC118458006|XP_035775989.1|AALB
OG0001266	LOC111605272|XP_023179483.2|DHYD	LOC118457732|XP_035775418.1|AALB
OG0001267	LOC111597805|XP_023168458.1|DHYD	LOC118461275|XP_035782320.1|AALB, LOC118462032|XP_035783899.1|AALB
OG0001269	LOC111592203|XP_023160038.1|DHYD	LOC118458301|XP_035776522.1|AALB
OG0001270	LOC111598646|XP_023169761.2|DHYD	LOC118464162|XP_035787188.1|AALB, LOC118459117|XP_035778078.1|AALB
OG0001271	LOC111600731|XP_023172771.2|DHYD	LOC118463456|XP_035785937.1|AALB, LOC118464610|XP_035787948.1|AALB
OG0001273	LOC111601442|XP_023173786.1|DHYD	LOC118463749|XP_035786442.1|AALB, LOC118462639|XP_035784379.1|AALB
OG0001274	LOC111604427|XP_023178256.1|DHYD	LOC118466941|XP_035792733.1|AALB
OG0001276	LOC111596616|XP_023166671.1|DHYD	LOC118467508|XP_035793953.1|AALB
OG0001277	LOC111597564|XP_023168131.2|DHYD	LOC118463487|XP_035785971.1|AALB
OG0001278	LOC111603732|XP_023177212.1|DHYD	LOC118467600|XP_035794181.1|AALB
OG0001279	LOC111603742|XP_023177228.1|DHYD	LOC118467611|XP_035794206.1|AALB
OG0001280	LOC111600514|XP_023172411.1|DHYD	LOC118464283|XP_035787451.1|AALB
OG0001281	LOC111591857|XP_023159507.1|DHYD	LOC118464877|XP_035788512.1|AALB
OG0001282	LOC111603965|XP_023177571.2|DHYD	LOC118463127|XP_035785377.1|AALB
OG0001283	LOC111594018|XP_023162888.2|DHYD	LOC118463747|XP_035786435.1|AALB
OG0001284	LOC115483177|XP_030080195.1|DHYD, LOC111599984|XP_030079074.1|DHYD	LOC118460504|XP_035780751.1|AALB
OG0001285	LOC111598758|XP_023169934.1|DHYD	LOC118462686|XP_035784493.1|AALB, LOC118456479|XP_035773184.1|AALB
OG0001286	LOC111596084|XP_023165913.1|DHYD	LOC118457587|XP_035775168.1|AALB
OG0001287	LOC111600268|XP_023172084.2|DHYD	LOC118463595|XP_035786147.1|AALB
OG0001288	LOC111599114|XP_023170442.2|DHYD	LOC118457380|XP_035774808.1|AALB
OG0001290	LOC115483773|XP_030081876.1|DHYD, LOC115483774|XP_030081877.1|DHYD, LOC111599449|XP_030080202.1|DHYD	LOC118460506|XP_035780752.1|AALB
OG0001291	LOC111600014|XP_023171687.1|DHYD	LOC118460352|XP_035780485.1|AALB
OG0001292	LOC111594729|XP_023163932.2|DHYD	LOC118467205|XP_035793316.1|AALB, LOC118467208|XP_035793324.1|AALB
OG0001293	LOC111605594|XP_023179971.1|DHYD	LOC118468502|XP_035795229.1|AALB
OG0001294	LOC111603471|XP_023176829.1|DHYD	LOC118456945|XP_035774009.1|AALB
OG0001295	LOC111602855|XP_023175938.1|DHYD	LOC118468446|XP_035795109.1|AALB
OG0001296	LOC111605641|XP_023180070.2|DHYD, LOC111593242|XP_030081695.1|DHYD	LOC118457243|XP_035774518.1|AALB
OG0001297	LOC111601790|XP_023174327.1|DHYD	LOC118459854|XP_035779518.1|AALB
OG0001298	LOC111602638|XP_023175567.1|DHYD	LOC118460327|XP_035780431.1|AALB, LOC118468886|XP_035796071.1|AALB
OG0001299	LOC111604503|XP_023178363.2|DHYD	LOC118457187|XP_035774428.1|AALB, LOC118456842|XP_035773830.1|AALB
OG0001300	LOC111598513|XP_023169555.1|DHYD, LOC111605417|XP_023179693.2|DHYD	LOC118459364|XP_035778556.1|AALB
OG0001301	LOC111597755|XP_023168378.2|DHYD	LOC118468872|XP_035796051.1|AALB, LOC118468870|XP_035796046.1|AALB
OG0001302	LOC111594327|XP_023163342.1|DHYD	LOC118461957|XP_035783751.1|AALB
OG0001303	LOC111602449|XP_023175280.2|DHYD	LOC118458916|XP_035777776.1|AALB
OG0001304	LOC111592217|XP_023160058.1|DHYD	LOC118460328|XP_035780432.1|AALB
OG0001305	LOC111594314|XP_023163324.2|DHYD, LOC111598519|XP_023169563.1|DHYD	LOC118457357|XP_035774756.1|AALB
OG0001306	LOC111595196|XP_023164559.1|DHYD	LOC118457402|XP_035774859.1|AALB
OG0001307	LOC111594841|XP_023164075.2|DHYD	LOC118459515|XP_035778850.1|AALB
OG0001308	LOC111596830|XP_023166969.1|DHYD	LOC118461312|XP_035782395.1|AALB
OG0001309	LOC111604956|XP_023179001.1|DHYD	LOC118468823|XP_035795946.1|AALB, LOC118468824|XP_035795947.1|AALB
OG0001311	LOC111603228|XP_030079291.1|DHYD	LOC118466703|XP_035792236.1|AALB, LOC118459594|XP_035779019.1|AALB
OG0001312	LOC111592737|XP_023160899.1|DHYD	LOC118464188|XP_035787233.1|AALB
OG0001313	LOC111600546|XP_023172459.2|DHYD	LOC118464219|XP_035787284.1|AALB
OG0001314	LOC111600371|XP_023172216.2|DHYD	LOC118463333|XP_035785730.1|AALB
OG0001315	LOC111604067|XP_023177704.1|DHYD	LOC118468527|XP_035795288.1|AALB
OG0001316	LOC111593925|XP_023162767.1|DHYD	LOC118465245|XP_035789159.1|AALB
OG0001326	LOC111603295|XP_023176585.1|DHYD	LOC118461381|XP_035782530.1|AALB
OG0001328	LOC111596963|XP_030079613.1|DHYD	LOC118464706|XP_035788125.1|AALB
OG0001329	LOC111594997|XP_023164264.1|DHYD	LOC118460972|XP_035781678.1|AALB
OG0001330	LOC111592999|XP_023161285.2|DHYD	LOC118461203|XP_035782155.1|AALB, LOC118463356|XP_035785765.1|AALB
OG0001331	LOC111598637|XP_023169785.2|DHYD	LOC118462606|XP_035784333.1|AALB, LOC118462593|XP_035784313.1|AALB
OG0001332	LOC111598290|XP_023169241.1|DHYD	LOC118465333|XP_035789375.1|AALB, LOC118465705|XP_035790032.1|AALB, LOC118468817|XP_035795937.1|AALB, LOC118465393|XP_035789487.1|AALB
OG0001333	LOC111591909|XP_023159609.1|DHYD	LOC118464993|XP_035788730.1|AALB, LOC118464974|XP_035788702.1|AALB
OG0001334	LOC111592492|XP_023160479.2|DHYD	LOC118459147|XP_035778129.1|AALB, LOC118457223|XP_035774494.1|AALB
OG0001335	LOC111592028|XP_023159791.2|DHYD	LOC118460447|XP_035780655.1|AALB, LOC118460448|XP_035780657.1|AALB
OG0001337	LOC111603386|XP_023176713.1|DHYD	LOC118457682|XP_035775340.1|AALB
OG0001338	LOC111595542|XP_023165095.1|DHYD	LOC118458991|XP_035777882.1|AALB
OG0001339	LOC111604516|XP_023178383.1|DHYD	LOC118459811|XP_035779446.1|AALB, LOC118466695|XP_035792218.1|AALB
OG0001340	LOC111600939|XP_023173078.2|DHYD	LOC118458161|XP_035776256.1|AALB
OG0001341	LOC111593681|XP_023162341.1|DHYD	LOC118458126|XP_035776201.1|AALB
OG0001342	LOC111599480|XP_023170916.2|DHYD	LOC118457922|XP_035775816.1|AALB
OG0001343	LOC111594441|XP_023163497.2|DHYD	LOC118460358|XP_035780496.1|AALB
OG0001344	LOC111597828|XP_023168492.1|DHYD	LOC118456416|XP_035773028.1|AALB, LOC118456475|XP_035773174.1|AALB
OG0001345	LOC111594624|XP_023163782.2|DHYD	LOC118460736|XP_035781188.1|AALB, LOC118460737|XP_035781189.1|AALB
OG0001346	LOC111599551|XP_023170985.2|DHYD	LOC118460211|XP_035780218.1|AALB
OG0001347	LOC111593051|XP_023161392.1|DHYD	LOC118456588|XP_035773378.1|AALB
OG0001349	LOC111595298|XP_023164721.2|DHYD, LOC111601590|XP_023174013.2|DHYD, LOC111601557|XP_023173967.2|DHYD	LOC118467457|XP_035793858.1|AALB
OG0001350	LOC111593115|XP_030080248.1|DHYD, LOC115483195|XP_030080249.1|DHYD, LOC111601129|XP_023173353.2|DHYD	LOC118467767|XP_035794488.1|AALB
OG0001351	LOC111593942|XP_023162798.2|DHYD	LOC118464619|XP_035787957.1|AALB
OG0001352	LOC111603185|XP_023176440.1|DHYD	LOC118466479|XP_035791754.1|AALB
OG0001353	LOC111595065|XP_023164389.1|DHYD	LOC118459943|XP_035779714.1|AALB, LOC118464453|XP_035787733.1|AALB
OG0001354	LOC111603814|XP_023177337.2|DHYD	LOC118466957|XP_035792751.1|AALB
OG0001355	LOC111593924|XP_023162766.1|DHYD	LOC118463066|XP_035785216.1|AALB
OG0001356	LOC111600282|XP_023172100.1|DHYD	LOC118466407|XP_035791568.1|AALB, LOC118466289|XP_035791268.1|AALB
OG0001357	LOC111595087|XP_023164411.2|DHYD	LOC118465108|XP_035788945.1|AALB
OG0001358	LOC111592324|XP_023160214.2|DHYD	LOC118466506|XP_035791828.1|AALB
OG0001359	LOC111605041|XP_023179145.1|DHYD	LOC118462688|XP_035784498.1|AALB, LOC118464550|XP_035787881.1|AALB
OG0001360	LOC111593857|XP_023162672.1|DHYD	LOC118462579|XP_035784280.1|AALB
OG0001361	LOC111603699|XP_023177167.2|DHYD	LOC118464900|XP_035788553.1|AALB, LOC118464901|XP_035788554.1|AALB
OG0001362	LOC111603733|XP_023177217.1|DHYD	LOC118467608|XP_035794202.1|AALB
OG0001363	LOC111604218|XP_023177955.1|DHYD	LOC118461109|XP_035781921.1|AALB, LOC118467751|XP_035794457.1|AALB
OG0001364	LOC111593177|XP_023161552.1|DHYD	LOC118464823|XP_035788382.1|AALB, LOC118466891|XP_035792643.1|AALB
OG0001365	LOC111601058|XP_023173244.1|DHYD	LOC118464898|XP_035788551.1|AALB
OG0001367	LOC111593872|XP_023162701.1|DHYD	LOC118467236|XP_035793387.1|AALB
OG0001368	LOC111603475|XP_023176836.1|DHYD	LOC118464370|XP_035787602.1|AALB
OG0001369	LOC111597472|XP_023167992.1|DHYD	LOC118463125|XP_035785375.1|AALB
OG0001370	LOC111603836|XP_023177369.2|DHYD	LOC118463513|XP_035786008.1|AALB
OG0001371	LOC111594747|XP_023163961.1|DHYD	LOC118462782|XP_035784652.1|AALB
OG0001372	LOC111597681|XP_023168279.2|DHYD	LOC118465741|XP_035790096.1|AALB
OG0001373	LOC111602382|XP_023175171.1|DHYD	LOC118469078|XP_035796453.1|AALB
OG0001374	LOC111593743|XP_023162504.1|DHYD	LOC118460501|XP_035780748.1|AALB
OG0001376	LOC111605395|XP_023179662.2|DHYD	LOC118468385|XP_035795038.1|AALB
OG0001377	LOC111602512|XP_023175361.2|DHYD	LOC118459042|XP_035777956.1|AALB
OG0001378	LOC111596339|XP_023166288.1|DHYD	LOC118457312|XP_035774691.1|AALB
OG0001379	LOC111600796|XP_023172858.1|DHYD, LOC115482908|XP_030079014.1|DHYD	LOC118457594|XP_035775183.1|AALB
OG0001380	LOC111600910|XP_030081111.1|DHYD	LOC118460719|XP_035781157.1|AALB
OG0001381	LOC111600717|XP_023172742.2|DHYD	LOC118461747|XP_035783354.1|AALB
OG0001382	LOC111599073|XP_023170369.2|DHYD, LOC111599125|XP_030080390.1|DHYD	LOC118459816|XP_035779454.1|AALB
OG0001383	LOC111597690|XP_023168291.1|DHYD	LOC118461252|XP_035782261.1|AALB
OG0001384	LOC111600249|XP_023172061.1|DHYD	LOC118456735|XP_035773678.1|AALB
OG0001385	LOC111602262|XP_023175025.1|DHYD, LOC115483017|XP_030079576.1|DHYD	LOC118459840|XP_035779500.1|AALB, LOC118458596|XP_035777159.1|AALB
OG0001387	LOC111600902|XP_023173025.2|DHYD	LOC118458278|XP_035776493.1|AALB, LOC118458277|XP_035776492.1|AALB
OG0001388	LOC111603998|XP_023177615.1|DHYD	LOC118461841|XP_035783509.1|AALB, LOC118461839|XP_035783506.1|AALB
OG0001389	LOC111605506|XP_023179824.1|DHYD	LOC118458179|XP_035776285.1|AALB, LOC118458615|XP_035777185.1|AALB
OG0001390	LOC111599163|XP_023170506.1|DHYD	LOC118458124|XP_035776197.1|AALB
OG0001391	LOC111600368|XP_023172217.2|DHYD	LOC118459337|XP_035778502.1|AALB
OG0001392	LOC111601853|XP_030079346.1|DHYD	LOC118468995|XP_035796313.1|AALB
OG0001393	LOC111592710|XP_023160864.1|DHYD	LOC118461806|XP_035783445.1|AALB
OG0001394	LOC111597405|XP_023167852.1|DHYD	LOC118459934|XP_035779691.1|AALB, LOC118466935|XP_035792719.1|AALB
OG0001395	LOC111602982|XP_023176145.1|DHYD	LOC118461065|XP_035781850.1|AALB
OG0001396	LOC111598790|XP_023169974.2|DHYD, LOC111600228|XP_023172022.2|DHYD	LOC118461617|XP_035783052.1|AALB
OG0001397	LOC111604566|XP_023178435.1|DHYD	LOC118457308|XP_035774684.1|AALB, LOC118457712|XP_035775388.1|AALB
OG0001399	LOC111599996|XP_023171663.2|DHYD	LOC118467164|XP_035793213.1|AALB
OG0001400	LOC111594555|XP_023163678.2|DHYD	LOC118467333|XP_035793580.1|AALB
OG0001401	LOC111600941|XP_023173080.2|DHYD	LOC118465172|XP_035789027.1|AALB
OG0001402	LOC111595346|XP_023164788.1|DHYD	LOC118462786|XP_035784666.1|AALB
OG0001403	LOC111605103|XP_030079565.1|DHYD	LOC118465458|XP_035789641.1|AALB
OG0001404	LOC111599715|XP_023171220.2|DHYD	LOC118466099|XP_035790907.1|AALB
OG0001405	LOC111597065|XP_023167360.2|DHYD	LOC118462520|XP_035784158.1|AALB
OG0001406	LOC111601815|XP_023174404.1|DHYD	LOC118467314|XP_035793542.1|AALB
OG0001407	LOC111594879|XP_023164132.1|DHYD	LOC118462750|XP_035784606.1|AALB
OG0001408	LOC111592144|XP_023159958.1|DHYD	LOC118459018|XP_035777913.1|AALB
OG0001429	LOC111593244|XP_023161665.2|DHYD	LOC118462353|XP_035784012.1|AALB
OG0001430	LOC111605551|XP_023179880.1|DHYD	LOC118463054|XP_035785198.1|AALB, LOC118462484|XP_035784114.1|AALB
OG0001431	LOC111598306|XP_023169262.2|DHYD	LOC118456390|XP_035772976.1|AALB
OG0001432	LOC111605605|XP_023179987.1|DHYD	LOC118462553|XP_035784225.1|AALB
OG0001433	LOC111595674|XP_023165277.2|DHYD	LOC118463279|XP_035785648.1|AALB
OG0001434	LOC111603346|XP_023176651.1|DHYD	LOC118461158|XP_035782047.1|AALB, LOC118457372|XP_035774794.1|AALB
OG0001435	LOC111600790|XP_023172848.2|DHYD	LOC118468680|XP_035795684.1|AALB
OG0001436	LOC111596721|XP_023166817.1|DHYD	LOC118462763|XP_035784623.1|AALB
OG0001437	LOC111598551|XP_023169612.1|DHYD, LOC111598951|XP_023170202.1|DHYD	LOC118467096|XP_035793035.1|AALB
OG0001438	LOC111596159|XP_023166018.2|DHYD	LOC118461615|XP_035783053.1|AALB
OG0001439	LOC111600727|XP_023172767.1|DHYD	LOC118464402|XP_035787653.1|AALB
OG0001442	LOC111605027|XP_023179126.1|DHYD, LOC111592719|XP_023160876.1|DHYD	LOC118460818|XP_035781331.1|AALB
OG0001443	LOC111603236|XP_023176508.1|DHYD	LOC118458118|XP_035776184.1|AALB, LOC118458117|XP_035776183.1|AALB
OG0001444	LOC111599036|XP_023170319.2|DHYD	LOC118459988|XP_035779777.1|AALB, LOC118459989|XP_035779778.1|AALB
OG0001445	LOC111595445|XP_023164942.1|DHYD	LOC118468537|XP_035795312.1|AALB
OG0001446	LOC111603490|XP_023176857.2|DHYD	LOC118459986|XP_035779776.1|AALB, LOC118457058|XP_035774206.1|AALB, LOC118457059|XP_035774208.1|AALB
OG0001447	LOC111592010|XP_023159766.2|DHYD, LOC111592002|XP_023159736.2|DHYD	LOC118460135|XP_035780092.1|AALB
OG0001448	LOC111603294|XP_023176584.1|DHYD	LOC118461382|XP_035782531.1|AALB
OG0001449	LOC111599987|XP_023171649.2|DHYD, LOC111605092|XP_023179199.2|DHYD	LOC118461800|XP_035783436.1|AALB
OG0001450	LOC111603620|XP_023177058.2|DHYD, LOC111602242|XP_023174999.1|DHYD	LOC118466662|XP_035792153.1|AALB
OG0001451	LOC111593943|XP_023162800.1|DHYD	LOC118456242|XP_035772729.1|AALB, LOC118466667|XP_035792163.1|AALB
OG0001452	LOC111603841|XP_023177378.2|DHYD, LOC111603823|XP_030081370.1|DHYD	LOC118467047|XP_035792926.1|AALB
OG0001453	LOC111600455|XP_023172325.1|DHYD	LOC118464727|XP_035788201.1|AALB, LOC118464726|XP_035788199.1|AALB
OG0001454	LOC111602615|XP_023175548.2|DHYD	LOC118469058|XP_035796423.1|AALB, LOC118462835|XP_035784782.1|AALB
OG0001455	LOC111603719|XP_023177197.2|DHYD	LOC118462833|XP_035784775.1|AALB
OG0001456	LOC115482755|XP_030078923.1|DHYD, LOC115482831|XP_030078925.1|DHYD, LOC111591923|XP_030080873.1|DHYD	LOC118465294|XP_035789261.1|AALB
OG0001457	LOC111595327|XP_023164754.2|DHYD	LOC118463147|XP_035785415.1|AALB
OG0001458	LOC111600681|XP_023172703.2|DHYD	LOC118464241|XP_035787325.1|AALB, LOC118463827|XP_035786603.1|AALB
OG0001459	LOC111592442|XP_023160394.2|DHYD	LOC118462862|XP_035784812.1|AALB
OG0001460	LOC111604106|XP_030081318.1|DHYD	LOC118464506|XP_035787835.1|AALB, LOC118466337|XP_035791350.1|AALB
OG0001461	LOC111595425|XP_023164956.1|DHYD	LOC118467643|XP_035794267.1|AALB
OG0001462	LOC111598466|XP_030081599.1|DHYD	LOC118464830|XP_035788398.1|AALB, LOC118464831|XP_035788400.1|AALB
OG0001464	LOC111596778|XP_023166897.1|DHYD	LOC118467133|XP_035793136.1|AALB
OG0001465	LOC111604103|XP_023177773.1|DHYD	LOC118464144|XP_035787142.1|AALB
OG0001466	LOC111595844|XP_023165522.2|DHYD	LOC118465793|XP_035790245.1|AALB
OG0001467	LOC111592659|XP_023160779.1|DHYD	LOC118467000|XP_035792818.1|AALB, LOC118467351|XP_035793627.1|AALB
OG0001468	LOC111604758|XP_023178716.1|DHYD	LOC118463433|XP_035785895.1|AALB
OG0001469	LOC111592530|XP_030081414.1|DHYD	LOC118467373|XP_035793680.1|AALB
OG0001470	LOC115483748|XP_030081856.1|DHYD, LOC111600957|XP_023173104.2|DHYD	LOC118463134|XP_035785386.1|AALB
OG0001471	LOC111597605|XP_023168174.2|DHYD	LOC118465752|XP_035790117.1|AALB
OG0001472	LOC111598109|XP_023168930.1|DHYD, LOC111592437|XP_023160389.1|DHYD	LOC118466349|XP_035791375.1|AALB
OG0001473	LOC111602654|XP_023175595.1|DHYD	LOC118467286|XP_035793489.1|AALB, LOC118457990|XP_035775950.1|AALB
OG0001474	LOC111600030|XP_023171714.1|DHYD	LOC118464199|XP_035787251.1|AALB
OG0001475	LOC111599436|XP_023170858.2|DHYD	LOC118461063|XP_035781846.1|AALB
OG0001476	LOC111600139|XP_030081248.1|DHYD	LOC118461681|XP_035783163.1|AALB
OG0001477	LOC111597831|XP_023168495.1|DHYD	LOC118460502|XP_035780749.1|AALB
OG0001478	LOC111599052|XP_030080233.1|DHYD	LOC118460386|XP_035780538.1|AALB, LOC118458564|XP_035777101.1|AALB
OG0001479	LOC111593433|XP_023161948.2|DHYD	LOC118460847|XP_035781441.1|AALB
OG0001480	LOC111599043|XP_023170327.2|DHYD	LOC118458422|XP_035776770.1|AALB
OG0001481	LOC111599138|XP_023170469.2|DHYD	LOC118460390|XP_035780556.1|AALB
OG0001482	LOC115483370|XP_030080939.1|DHYD, LOC111600777|XP_030080941.1|DHYD	LOC118468347|XP_035795000.1|AALB
OG0001483	LOC111592078|XP_023159866.1|DHYD	LOC118460969|XP_035781674.1|AALB
OG0001484	LOC111599348|XP_023170745.1|DHYD	LOC118468693|XP_035795702.1|AALB
OG0001485	LOC111592295|XP_023160166.2|DHYD	LOC118459248|XP_035778352.1|AALB, LOC118458152|XP_035776241.1|AALB
OG0001486	LOC111595784|XP_023165436.2|DHYD	LOC118461187|XP_035782109.1|AALB, LOC118461185|XP_035782106.1|AALB
OG0001487	LOC111594717|XP_023163911.1|DHYD	LOC118458271|XP_035776477.1|AALB
OG0001488	LOC111595752|XP_023165382.2|DHYD	LOC118456299|XP_035772830.1|AALB
OG0001489	LOC111592571|XP_030079053.1|DHYD	LOC118459507|XP_035778825.1|AALB
OG0001490	LOC111594662|XP_023163832.1|DHYD	LOC118459402|XP_035778604.1|AALB
OG0001491	LOC111595544|XP_023165098.1|DHYD	LOC118458493|XP_035776939.1|AALB
OG0001492	LOC111601013|XP_030079271.1|DHYD, LOC111600159|XP_030080151.1|DHYD, LOC111601857|XP_030080153.1|DHYD	LOC118468433|XP_035795089.1|AALB
OG0001493	LOC111605124|XP_023179248.1|DHYD	LOC118469002|XP_035796329.1|AALB
OG0001494	LOC111598455|XP_023169478.1|DHYD	LOC118461696|XP_035783208.1|AALB
OG0001495	LOC111600795|XP_023172854.1|DHYD	LOC118468998|XP_035796320.1|AALB
OG0001496	LOC111591999|XP_023159732.1|DHYD	LOC118461832|XP_035783486.1|AALB
OG0001497	LOC111604114|XP_023177789.2|DHYD	LOC118461801|XP_035783437.1|AALB
OG0001500	LOC111594305|XP_023163312.2|DHYD	LOC118456637|XP_035773464.1|AALB
OG0001501	LOC111592022|XP_023159783.2|DHYD	LOC118461685|XP_035783172.1|AALB, LOC118458942|XP_035777813.1|AALB
OG0001502	LOC111602552|XP_023175475.2|DHYD	LOC118461259|XP_035782272.1|AALB
OG0001503	LOC111597044|XP_023167327.1|DHYD	LOC118466174|XP_035791054.1|AALB
OG0001504	LOC111597223|XP_023167577.2|DHYD	LOC118466794|XP_035792431.1|AALB
OG0001505	LOC111595460|XP_030078560.1|DHYD	LOC118467613|XP_035794208.1|AALB
OG0001506	LOC111592724|XP_023160883.2|DHYD	LOC118464164|XP_035787192.1|AALB
OG0001507	LOC111601268|XP_030082053.1|DHYD	LOC118463692|XP_035786362.1|AALB, LOC118463647|XP_035786283.1|AALB
OG0001508	LOC111594050|XP_023162936.2|DHYD	LOC118463606|XP_035786167.1|AALB, LOC118465181|XP_035789036.1|AALB
OG0001509	LOC111597985|XP_023168732.2|DHYD, LOC115482749|XP_030081254.1|DHYD	LOC118467501|XP_035793944.1|AALB
OG0001510	LOC111602344|XP_023175124.1|DHYD	LOC118466044|XP_035790773.1|AALB, LOC118466046|XP_035790777.1|AALB
OG0001511	LOC111593941|XP_023162799.2|DHYD, LOC115483807|XP_030081996.1|DHYD	LOC118462626|XP_035784359.1|AALB
OG0001512	LOC111593210|XP_023161623.2|DHYD	LOC118467300|XP_035793512.1|AALB
OG0001513	LOC111595754|XP_023165384.2|DHYD	LOC118463792|XP_035786520.1|AALB
OG0001515	LOC111601870|XP_023174478.1|DHYD	LOC118460654|XP_035781010.1|AALB
OG0001534	LOC111596460|XP_023166459.2|DHYD, LOC111596462|XP_023166481.2|DHYD	LOC118465774|XP_035790226.1|AALB
OG0001535	LOC111600195|XP_023171976.1|DHYD	LOC118457255|XP_035774538.1|AALB
OG0001536	LOC111602401|XP_023175188.1|DHYD	LOC118457824|XP_035775592.1|AALB
OG0001537	LOC111599173|XP_023170523.1|DHYD	LOC118462838|XP_035784792.1|AALB
OG0001538	LOC111596884|XP_023167100.1|DHYD	LOC118460246|XP_035780308.1|AALB
OG0001539	LOC111603797|XP_023177313.2|DHYD	LOC118463471|XP_035785957.1|AALB
OG0001540	LOC111595018|XP_023164295.2|DHYD	LOC118460831|XP_035781392.1|AALB
OG0001541	LOC111597549|XP_023168113.2|DHYD	LOC118461438|XP_035782643.1|AALB
OG0001542	LOC111602601|XP_030081615.1|DHYD	LOC118459326|XP_035778479.1|AALB
OG0001544	LOC111605662|XP_030079693.1|DHYD	LOC118460133|XP_035780094.1|AALB, LOC118468628|XP_035795540.1|AALB
OG0001545	LOC111602407|XP_023175203.1|DHYD	LOC118463055|XP_035785202.1|AALB
