Orthogroup	DHYD.longest_only	DBIA.longest_only
OG0000650	LOC111593709|XP_023162440.1|DHYD	LOC108036023|XP_016967442.1|DBIA
OG0000651	LOC111603676|XP_023177123.1|DHYD	LOC108034888|XP_016965587.1|DBIA
OG0000651	LOC111597501|XP_023168033.1|DHYD	LOC108035363|XP_016966450.1|DBIA
OG0000652	LOC111595319|XP_023164744.1|DHYD	LOC108036625|XP_016968386.1|DBIA
OG0000652	LOC111593505|XP_023162057.1|DHYD	LOC108032672|XP_016962129.1|DBIA
OG0000653	LOC111601387|XP_023173695.1|DHYD	LOC108027436|XP_016954373.1|DBIA, LOC108032925|XP_016962483.1|DBIA
OG0000654	LOC111602885|XP_023175985.2|DHYD	LOC108028616|XP_016956028.1|DBIA
OG0000654	LOC111603693|XP_023177150.1|DHYD	LOC108035010|XP_016965842.1|DBIA
OG0000655	LOC111593174|XP_023161548.1|DHYD, LOC115483070|XP_030079788.1|DHYD	LOC108029636|XP_016957528.1|DBIA
OG0000655	LOC111599045|XP_023170329.2|DHYD	LOC108027756|XP_016954798.1|DBIA
OG0000656	LOC111592027|XP_023159790.1|DHYD	LOC108031829|XP_016961056.1|DBIA
OG0000657	LOC111595742|XP_023165364.2|DHYD	LOC108028063|XP_016955196.1|DBIA
OG0000657	LOC115483217|XP_030080388.1|DHYD, LOC111602319|XP_023175091.1|DHYD	LOC108032751|XP_016962230.1|DBIA
OG0000658	LOC111598305|XP_023169261.1|DHYD	LOC108033182|XP_016962912.1|DBIA
OG0000658	LOC111599566|XP_023171003.1|DHYD, LOC115483783|XP_030081897.1|DHYD	LOC108031067|XP_016959762.1|DBIA
OG0000659	LOC111603964|XP_023177569.1|DHYD	LOC108027925|XP_016955038.1|DBIA
OG0000659	LOC111600442|XP_023172305.1|DHYD	LOC108033384|XP_016963192.1|DBIA
OG0000660	LOC115483235|XP_030080440.1|DHYD, LOC111603754|XP_023177245.1|DHYD	LOC108027908|XP_016955018.1|DBIA
OG0000661	LOC111592855|XP_023161063.1|DHYD	LOC108028534|XP_016955919.1|DBIA
OG0000661	LOC111605558|XP_023179894.1|DHYD	LOC108027800|XP_016954865.1|DBIA
OG0000662	LOC111601559|XP_023173969.1|DHYD	LOC108035530|XP_016966688.1|DBIA
OG0000662	LOC111601892|XP_023174503.2|DHYD	LOC108031364|XP_016960132.1|DBIA
OG0000663	LOC111604609|XP_023178491.2|DHYD	LOC108022450|XP_016946846.1|DBIA
OG0000664	LOC111603773|XP_023177276.2|DHYD	LOC108027049|XP_016953739.1|DBIA
OG0000664	LOC111604049|XP_023177674.1|DHYD	LOC108021960|XP_016946279.1|DBIA
OG0000665	LOC111598581|XP_023169654.2|DHYD	LOC108026350|XP_016952745.1|DBIA
OG0000665	LOC111598579|XP_023169652.2|DHYD	LOC108026348|XP_016952742.1|DBIA
OG0000666	LOC111593572|XP_023162205.2|DHYD	LOC108029729|XP_016957700.1|DBIA
OG0000666	LOC111602846|XP_023175926.2|DHYD	LOC108025749|XP_016951833.1|DBIA
OG0000667	LOC111598417|XP_023169427.1|DHYD	LOC108024249|XP_016949620.1|DBIA
OG0000667	LOC111602966|XP_023176114.1|DHYD	LOC108024585|XP_016950077.1|DBIA
OG0000668	LOC111598601|XP_023169685.1|DHYD	LOC108025566|XP_016951584.1|DBIA
OG0000668	LOC111594606|XP_023163749.1|DHYD	LOC108031439|XP_016960357.1|DBIA
OG0000669	LOC111591900|XP_023159576.1|DHYD	LOC108025870|XP_016952035.1|DBIA
OG0000669	LOC111591886|XP_023159558.2|DHYD	LOC108025889|XP_016952059.1|DBIA
OG0000670	LOC111593648|XP_023162296.2|DHYD	LOC108023575|XP_016948658.1|DBIA
OG0000670	LOC111604066|XP_023177700.1|DHYD	LOC108021976|XP_016946306.1|DBIA
OG0000671	LOC111598756|XP_023169935.2|DHYD	LOC108031729|XP_016960894.1|DBIA
OG0000671	LOC111601493|XP_023173848.2|DHYD	LOC108024768|XP_016950370.1|DBIA
OG0000672	LOC111592356|XP_023160280.1|DHYD	LOC108025630|XP_016951655.1|DBIA
OG0000672	LOC111596738|XP_023166837.1|DHYD	LOC108024241|XP_016949611.1|DBIA
OG0000673	LOC111597231|XP_023167631.1|DHYD	LOC108036345|XP_016967905.1|DBIA
OG0000673	LOC111604509|XP_023178372.1|DHYD	LOC108030525|XP_016958904.1|DBIA
OG0000675	LOC111591969|XP_023159683.1|DHYD	LOC108033882|XP_016964015.1|DBIA
OG0000677	LOC111599803|XP_023171352.1|DHYD	LOC108035631|XP_016966818.1|DBIA
OG0000677	LOC111600224|XP_023172018.1|DHYD	LOC108032589|XP_016961990.1|DBIA
OG0000678	LOC111602520|XP_023175375.2|DHYD	LOC108024952|XP_016950678.1|DBIA
OG0000679	LOC111595374|XP_023164838.2|DHYD	LOC108025928|XP_016952110.1|DBIA
OG0000680	LOC111595942|XP_023165676.1|DHYD	LOC108024261|XP_016949636.1|DBIA
OG0000680	LOC111595941|XP_023165673.2|DHYD	LOC108024237|XP_016949605.1|DBIA
OG0000681	LOC111594580|XP_023163705.1|DHYD	LOC108032038|XP_016961338.1|DBIA
OG0000681	LOC111598183|XP_023169049.1|DHYD	LOC108033060|XP_016962698.1|DBIA
OG0000683	LOC111596499|XP_023166528.2|DHYD	LOC108026243|XP_016952573.1|DBIA
OG0000684	LOC111604568|XP_023178437.1|DHYD	LOC108031144|XP_016959847.1|DBIA
OG0000684	LOC111601528|XP_023173925.1|DHYD	LOC108024799|XP_016950408.1|DBIA
OG0000685	LOC111602608|XP_023175536.1|DHYD	LOC108027258|XP_016954109.1|DBIA
OG0000686	LOC111601542|XP_023173984.2|DHYD	LOC108030401|XP_016958774.1|DBIA
OG0000686	LOC111600187|XP_023171963.2|DHYD	LOC108027497|XP_016954429.1|DBIA
OG0000687	LOC111593265|XP_023161704.1|DHYD	LOC108026577|XP_016953018.1|DBIA
OG0000687	LOC111599286|XP_023170653.1|DHYD	LOC108034522|XP_016964935.1|DBIA
OG0000688	LOC111605369|XP_023179617.1|DHYD	LOC108022488|XP_016946930.1|DBIA
OG0000689	LOC111597704|XP_023168310.1|DHYD	LOC108022271|XP_016946618.1|DBIA
OG0000689	LOC111597687|XP_023168287.1|DHYD	LOC108022166|XP_016946499.1|DBIA
OG0000690	LOC111593629|XP_023162267.2|DHYD	LOC108025632|XP_016951657.1|DBIA
OG0000691	LOC111600350|XP_023172189.1|DHYD, LOC115483408|XP_030081060.1|DHYD	LOC108036758|XP_016968576.1|DBIA
OG0000691	LOC111592340|XP_023160236.1|DHYD	LOC108035947|XP_016967238.1|DBIA
OG0000692	LOC111604703|XP_023178644.2|DHYD	LOC108034414|XP_016964786.1|DBIA
OG0000693	LOC111596581|XP_023166623.1|DHYD	LOC108023625|XP_016948724.1|DBIA
OG0000693	LOC111602074|XP_023174767.1|DHYD	LOC108031881|XP_016961134.1|DBIA
OG0000694	LOC111604055|XP_023177683.2|DHYD	LOC108025866|XP_016952025.1|DBIA
OG0000694	LOC111592784|XP_023160955.1|DHYD	LOC108030530|XP_016958908.1|DBIA
OG0000695	LOC111602263|XP_023175026.1|DHYD	LOC108024892|XP_016950523.1|DBIA
OG0000696	LOC111595766|XP_023165416.1|DHYD	LOC108036717|XP_016968506.1|DBIA
OG0000697	LOC111593002|XP_023161295.1|DHYD	LOC108027541|XP_016954479.1|DBIA
OG0000697	LOC111596362|XP_023166327.1|DHYD	LOC108027091|XP_016953800.1|DBIA
OG0000698	LOC111605526|XP_023179855.2|DHYD	LOC108028980|XP_016956509.1|DBIA
OG0000698	LOC111605545|XP_023179875.2|DHYD	LOC108029304|XP_016956996.1|DBIA
OG0000699	LOC111600984|XP_023173147.1|DHYD	LOC108034117|XP_016964386.1|DBIA
OG0000699	LOC111600074|XP_023171782.2|DHYD	LOC108031225|XP_016959950.1|DBIA
OG0000700	LOC111599175|XP_023170526.2|DHYD	LOC108029188|XP_016956849.1|DBIA
OG0000700	LOC111596079|XP_023165904.2|DHYD	LOC108027917|XP_016955029.1|DBIA
OG0000701	LOC111595753|XP_023165383.1|DHYD	LOC108029443|XP_016957181.1|DBIA
OG0000701	LOC111600219|XP_023172009.2|DHYD	LOC108025939|XP_016952126.1|DBIA
OG0000702	LOC111604979|XP_023179045.2|DHYD	LOC108026164|XP_016952409.1|DBIA
OG0000702	LOC111604983|XP_030078632.1|DHYD	LOC108026163|XP_016952386.1|DBIA
OG0000703	LOC111600361|XP_023172203.2|DHYD	LOC108032597|XP_016962001.1|DBIA
OG0000703	LOC111595619|XP_023165193.2|DHYD	LOC108030103|XP_016958279.1|DBIA
OG0000704	LOC111594254|XP_030081774.1|DHYD	LOC108024154|XP_016949446.1|DBIA
OG0000704	LOC111597912|XP_023168621.2|DHYD	LOC108025061|XP_016950808.1|DBIA
OG0000705	LOC111603688|XP_023177138.1|DHYD	LOC108028884|XP_016956392.1|DBIA
OG0000706	LOC111600594|XP_023172555.2|DHYD	LOC108033329|XP_016963104.1|DBIA
OG0000706	LOC111597324|XP_030080082.1|DHYD	LOC108023483|XP_016948494.1|DBIA
OG0000707	LOC111593471|XP_023162004.1|DHYD	LOC108022300|XP_016946649.1|DBIA
OG0000707	LOC111594052|XP_023162935.1|DHYD	LOC108025880|XP_016952044.1|DBIA
OG0000708	LOC111594167|XP_023163121.2|DHYD	LOC108023383|XP_016948279.1|DBIA
OG0000708	LOC111605158|XP_030079396.1|DHYD	LOC108031991|XP_016961314.1|DBIA
OG0000709	LOC111601979|XP_023174628.2|DHYD	LOC108025090|XP_016950840.1|DBIA
OG0000709	LOC111596813|XP_023166947.1|DHYD	LOC108033068|XP_016962721.1|DBIA
OG0000710	LOC111602767|XP_023175798.1|DHYD	LOC108027098|XP_016953805.1|DBIA
OG0000710	LOC111605361|XP_023179608.1|DHYD	LOC108022922|XP_016947622.1|DBIA
OG0000711	LOC111597480|XP_023167999.1|DHYD	LOC108034580|XP_016965002.1|DBIA
OG0000711	LOC111602032|XP_023174699.1|DHYD	LOC108023642|XP_016948747.1|DBIA
OG0000712	LOC111602079|XP_023174779.1|DHYD	LOC108031543|XP_016960569.1|DBIA
OG0000712	LOC111602078|XP_023174777.1|DHYD	LOC108030963|XP_016959652.1|DBIA
OG0000713	LOC111594533|XP_023163638.2|DHYD	LOC108027090|XP_016953795.1|DBIA
OG0000713	LOC111598556|XP_023169618.1|DHYD	LOC108030368|XP_016958726.1|DBIA
OG0000714	LOC111603141|XP_023176384.2|DHYD	LOC108033067|XP_016962720.1|DBIA
OG0000714	LOC111599537|XP_023170964.2|DHYD	LOC108035044|XP_016965908.1|DBIA
OG0000715	LOC111603330|XP_023176632.2|DHYD	LOC108028120|XP_016955257.1|DBIA
OG0000716	LOC111591885|XP_023159557.1|DHYD	LOC108029412|XP_016957175.1|DBIA
OG0000716	LOC111604303|XP_023178102.1|DHYD	LOC108035372|XP_016966461.1|DBIA
OG0000717	LOC111597527|XP_023168071.2|DHYD	LOC108030783|XP_016959324.1|DBIA
OG0000718	LOC111597716|XP_023168327.1|DHYD	LOC108036007|XP_016967396.1|DBIA
OG0000718	LOC111594402|XP_023163442.1|DHYD	LOC108036030|XP_016967461.1|DBIA
OG0000719	LOC111598676|XP_023169803.2|DHYD	LOC108034944|XP_016965712.1|DBIA
OG0000719	LOC111597606|XP_023168175.2|DHYD	LOC108035245|XP_016966268.1|DBIA
OG0000720	LOC111603291|XP_023176579.2|DHYD	LOC108024738|XP_016950324.1|DBIA, LOC108030988|XP_016959677.1|DBIA, LOC108027059|XP_016953757.1|DBIA, LOC108036266|XP_016967766.1|DBIA, LOC108022170|XP_016946503.1|DBIA, LOC108025120|XP_016950875.1|DBIA
OG0000721	LOC111602251|XP_023175010.2|DHYD, LOC111602250|XP_023175009.2|DHYD	LOC108033493|XP_016963322.1|DBIA, LOC108033471|XP_016963296.1|DBIA
OG0000722	LOC111594330|XP_023163343.2|DHYD	LOC108022109|XP_016946441.1|DBIA, LOC108022110|XP_016946442.1|DBIA, LOC108022111|XP_016946443.1|DBIA
OG0000723	LOC111595726|XP_023165345.1|DHYD	LOC108036899|XP_016968768.1|DBIA
OG0000724	LOC111598361|XP_023169342.1|DHYD	LOC108027611|XP_016954621.1|DBIA
OG0000724	LOC111597395|XP_023167839.1|DHYD	LOC108025091|XP_016950841.1|DBIA
OG0000726	LOC111603439|XP_023176791.2|DHYD	LOC108025453|XP_016951446.1|DBIA
OG0000726	LOC111603423|XP_023176776.2|DHYD	LOC108023479|XP_016948493.1|DBIA
OG0000727	LOC111596208|XP_023166089.2|DHYD, LOC111596201|XP_030080823.1|DHYD	LOC108032079|XP_016961391.1|DBIA
OG0000728	LOC111603192|XP_023176446.1|DHYD	LOC108023315|XP_016948107.1|DBIA
OG0000729	LOC111598295|XP_023169251.1|DHYD	LOC108025515|XP_016951525.1|DBIA
OG0000729	LOC111598296|XP_023169252.1|DHYD	LOC108025517|XP_016951527.1|DBIA
OG0000730	LOC111603318|XP_030079654.1|DHYD	LOC108033136|XP_016962847.1|DBIA
OG0000730	LOC111596307|XP_030080540.1|DHYD	LOC108032433|XP_016961745.1|DBIA
OG0000731	LOC111599468|XP_023170909.2|DHYD	LOC108035519|XP_016966670.1|DBIA
OG0000731	LOC111597709|XP_023168317.2|DHYD	LOC108029952|XP_016957943.1|DBIA
OG0000732	LOC111594874|XP_023164122.1|DHYD	LOC108035034|XP_016965868.1|DBIA
OG0000732	LOC111594873|XP_023164119.1|DHYD	LOC108035036|XP_016965870.1|DBIA
OG0000733	LOC111595239|XP_023164645.2|DHYD	LOC108026069|XP_016952254.1|DBIA
OG0000733	LOC111601687|XP_023174161.1|DHYD	LOC108035381|XP_016966476.1|DBIA
OG0000734	LOC111597535|XP_023168081.2|DHYD	LOC108035374|XP_016966463.1|DBIA
OG0000735	LOC111593485|XP_023162014.1|DHYD	LOC108032637|XP_016962073.1|DBIA
OG0000735	LOC111603872|XP_023177447.2|DHYD	LOC108032775|XP_016962266.1|DBIA
OG0000736	LOC111603989|XP_030079038.1|DHYD	LOC108027663|XP_016954691.1|DBIA
OG0000736	LOC111604008|XP_023177632.2|DHYD	LOC108027662|XP_016954690.1|DBIA
OG0000737	LOC111597693|XP_023168296.1|DHYD	LOC108030161|XP_016958380.1|DBIA
OG0000738	LOC111599329|XP_023170718.1|DHYD	LOC108036739|XP_016968537.1|DBIA
OG0000738	LOC111603947|XP_023177545.2|DHYD	LOC108032452|XP_016961767.1|DBIA
OG0000739	LOC111599568|XP_023171008.1|DHYD	LOC108031098|XP_016959797.1|DBIA
OG0000739	LOC111599567|XP_023171005.1|DHYD	LOC108032103|XP_016961421.1|DBIA
OG0000740	LOC111602803|XP_030080183.1|DHYD	LOC108034609|XP_016965460.1|DBIA
OG0000740	LOC111592038|XP_030081565.1|DHYD	LOC108031622|XP_016960716.1|DBIA
OG0000741	LOC111594076|XP_030080042.1|DHYD	LOC108025774|XP_016951861.1|DBIA, LOC108023204|XP_016947959.1|DBIA
OG0000742	LOC111593044|XP_023161381.2|DHYD	LOC108027567|XP_016954543.1|DBIA
OG0000742	LOC111593026|XP_023161346.2|DHYD	LOC108027568|XP_016954546.1|DBIA
OG0000743	LOC111595385|XP_023164852.2|DHYD	LOC108029604|XP_016957473.1|DBIA
OG0000743	LOC111594398|XP_023163437.2|DHYD	LOC108022318|XP_016946666.1|DBIA, LOC108022141|XP_016946472.1|DBIA
OG0000744	LOC111600028|XP_023171711.2|DHYD, LOC115483369|XP_030080936.1|DHYD, LOC111596984|XP_023167236.2|DHYD	LOC108036599|XP_016968348.1|DBIA
OG0000745	LOC111602121|XP_023174838.2|DHYD	LOC108022305|XP_016946654.1|DBIA
OG0000745	LOC111593300|XP_023161750.2|DHYD	LOC108036358|XP_016967925.1|DBIA
OG0000746	LOC111604126|XP_023177811.1|DHYD	LOC108026954|XP_016953656.1|DBIA, LOC108029399|XP_016957118.1|DBIA, LOC108029792|XP_016957794.1|DBIA
OG0000747	LOC111592869|XP_023161084.2|DHYD	LOC108030865|XP_016959500.1|DBIA
OG0000747	LOC111592871|XP_023161088.2|DHYD	LOC108030911|XP_016959585.1|DBIA
OG0000748	LOC111596108|XP_023165938.2|DHYD	LOC108027729|XP_016954770.1|DBIA
OG0000748	LOC111602043|XP_023174760.1|DHYD	LOC108023546|XP_016948612.1|DBIA
OG0000750	LOC111595704|XP_023165317.2|DHYD	LOC108031073|XP_016959768.1|DBIA
OG0000751	LOC111605228|XP_023179423.2|DHYD	LOC108026795|XP_016953445.1|DBIA
OG0000751	LOC111605245|XP_023179449.2|DHYD, LOC111605225|XP_023179421.2|DHYD	LOC108026907|XP_016953605.1|DBIA
OG0000753	LOC111601406|XP_023173732.2|DHYD	LOC108027421|XP_016954354.1|DBIA
OG0000753	LOC111600487|XP_023172382.2|DHYD	LOC108028458|XP_016955804.1|DBIA
OG0000754	LOC111598326|XP_023169292.2|DHYD	LOC108033179|XP_016962907.1|DBIA
OG0000754	LOC111600192|XP_023171969.2|DHYD	LOC108025623|XP_016951647.1|DBIA
OG0000755	LOC111605480|XP_023179783.2|DHYD	LOC108032125|XP_016961446.1|DBIA
OG0000755	LOC111605577|XP_023179949.2|DHYD	LOC108031065|XP_016959759.1|DBIA
OG0000756	LOC111600842|XP_023172915.1|DHYD	LOC108026053|XP_016952236.1|DBIA
OG0000757	LOC111604493|XP_023178352.1|DHYD	LOC108035695|XP_016966903.1|DBIA
OG0000758	LOC111604669|XP_023178599.2|DHYD	LOC108035675|XP_016966872.1|DBIA
OG0000758	LOC111604667|XP_023178596.1|DHYD	LOC108035594|XP_016966756.1|DBIA
OG0000759	LOC111596610|XP_023166657.2|DHYD	LOC108035597|XP_016966762.1|DBIA
OG0000759	LOC111596613|XP_023166664.1|DHYD	LOC108035598|XP_016966763.1|DBIA
OG0000760	LOC111604005|XP_023177633.2|DHYD	LOC108026874|XP_016953552.1|DBIA
OG0000761	LOC111592650|XP_023160762.2|DHYD	LOC108034138|XP_016964417.1|DBIA
OG0000761	LOC111592651|XP_023160767.2|DHYD	LOC108034210|XP_016964533.1|DBIA
OG0000762	LOC111598979|XP_023170247.1|DHYD	LOC108036149|XP_016967625.1|DBIA
OG0000762	LOC111599345|XP_023170743.2|DHYD	LOC108028919|XP_016956427.1|DBIA
OG0000763	LOC111601599|XP_023174035.2|DHYD	LOC108034359|XP_016964736.1|DBIA
OG0000763	LOC111601574|XP_023173998.2|DHYD	LOC108033353|XP_016963152.1|DBIA
OG0000764	LOC111605326|XP_030080107.1|DHYD	LOC108025767|XP_016951851.1|DBIA
OG0000765	LOC111592450|XP_023160403.1|DHYD	LOC108028454|XP_016955791.1|DBIA
OG0000765	LOC111601888|XP_023174498.2|DHYD	LOC108023523|XP_016948565.1|DBIA
OG0000766	LOC111593770|XP_023162558.2|DHYD	LOC108032442|XP_016961756.1|DBIA
OG0000766	LOC111598124|XP_023168951.1|DHYD	LOC108023738|XP_016948865.1|DBIA
OG0000767	LOC111603555|XP_023176956.2|DHYD	LOC108036673|XP_016946133.1|DBIA
OG0000767	LOC111605085|XP_023179189.2|DHYD	LOC108030915|XP_016959594.1|DBIA
OG0000768	LOC111592326|XP_023160219.1|DHYD	LOC108028723|XP_016956173.1|DBIA
OG0000769	LOC111602937|XP_030080831.1|DHYD	LOC108026044|XP_016952228.1|DBIA
OG0000769	LOC111596866|XP_023167077.1|DHYD	LOC108027588|XP_016954594.1|DBIA
OG0000770	LOC111595314|XP_023164737.2|DHYD	LOC108022680|XP_016947240.1|DBIA
OG0000771	LOC111601570|XP_023173987.1|DHYD	LOC108035494|XP_016966636.1|DBIA
OG0000772	LOC111595620|XP_023165195.2|DHYD, LOC111601518|XP_023173892.1|DHYD	LOC108022155|XP_016946486.1|DBIA, LOC108030104|XP_016958282.1|DBIA
OG0000773	LOC111593167|XP_023161540.2|DHYD	LOC108029555|XP_016957368.1|DBIA, LOC108027077|XP_016953781.1|DBIA
OG0000774	LOC111600768|XP_023172815.2|DHYD, LOC111600749|XP_023172796.2|DHYD	LOC108026861|XP_016953536.1|DBIA, LOC108026859|XP_016953530.1|DBIA, LOC108026860|XP_016953533.1|DBIA
OG0000775	LOC111592126|XP_023159929.1|DHYD	LOC108029500|XP_016957270.1|DBIA
OG0000775	LOC111604797|XP_023178785.1|DHYD, LOC115483368|XP_030080935.1|DHYD	LOC108022329|XP_016946680.1|DBIA
OG0000778	LOC111598269|XP_023169214.2|DHYD, LOC111598537|XP_023169593.2|DHYD	LOC108031447|XP_016960372.1|DBIA
OG0000779	LOC111603369|XP_023176688.1|DHYD	LOC108033144|XP_016962855.1|DBIA
OG0000780	LOC115483424|XP_030081224.1|DHYD, LOC111600027|XP_030081223.1|DHYD	LOC108036440|XP_016968067.1|DBIA
OG0000781	LOC111605606|XP_023179989.1|DHYD	LOC108033115|XP_016962808.1|DBIA
OG0000781	LOC111597617|XP_023168184.2|DHYD	LOC108030739|XP_016959275.1|DBIA
OG0000782	LOC111599810|XP_023171364.1|DHYD	LOC108035092|XP_016966002.1|DBIA
OG0000782	LOC111596880|XP_023167097.1|DHYD	LOC108036484|XP_016968163.1|DBIA
OG0000783	LOC111597765|XP_023168390.1|DHYD	LOC108035514|XP_016966666.1|DBIA
OG0000783	LOC111603539|XP_023176981.1|DHYD	LOC108023666|XP_016948777.1|DBIA
OG0000784	LOC111605186|XP_023179351.2|DHYD	LOC108034664|XP_016965092.1|DBIA
OG0000784	LOC111601828|XP_023174422.1|DHYD	LOC108023493|XP_016948510.1|DBIA
OG0000785	LOC111599617|XP_023171077.2|DHYD	LOC108025060|XP_016950806.1|DBIA, LOC108024774|XP_016950376.1|DBIA
OG0000786	LOC111603492|XP_023176864.1|DHYD	LOC108027163|XP_016953912.1|DBIA
OG0000787	LOC111605676|XP_023180110.2|DHYD	LOC108034920|XP_016965664.1|DBIA
OG0000788	LOC111602901|XP_023176006.1|DHYD	LOC108033866|XP_016963998.1|DBIA, LOC108028513|XP_016955884.1|DBIA
OG0000789	LOC111602289|XP_023175057.2|DHYD	LOC108033318|XP_016963085.1|DBIA
OG0000790	LOC111595996|XP_023165763.1|DHYD	LOC108036835|XP_016968671.1|DBIA
OG0000790	LOC111595995|XP_023165760.1|DHYD	LOC108036834|XP_016968670.1|DBIA
OG0000791	LOC111604253|XP_023178009.1|DHYD	LOC108026284|XP_016952639.1|DBIA
OG0000792	LOC111595832|XP_023165507.2|DHYD	LOC108027946|XP_016955064.1|DBIA, LOC108027945|XP_016955063.1|DBIA
OG0000793	LOC111596696|XP_023166780.1|DHYD	LOC108031540|XP_016960566.1|DBIA, LOC108023431|XP_016948407.1|DBIA
OG0000794	LOC111593988|XP_023162847.2|DHYD	LOC108027802|XP_016954870.1|DBIA, LOC108023334|XP_016948150.1|DBIA
OG0000795	LOC111604041|XP_023177664.1|DHYD	LOC108025744|XP_016951821.1|DBIA
OG0000795	LOC111598502|XP_023169536.2|DHYD	LOC108025147|XP_016950912.1|DBIA
OG0000796	LOC111602793|XP_023175834.1|DHYD	LOC108031143|XP_016959846.1|DBIA
OG0000796	LOC111598156|XP_023169009.1|DHYD	LOC108025835|XP_016951982.1|DBIA
OG0000797	LOC111603429|XP_023176782.1|DHYD	LOC108024609|XP_016950117.1|DBIA
OG0000798	LOC111599738|XP_023171266.1|DHYD	LOC108029669|XP_016957594.1|DBIA
OG0000798	LOC111599668|XP_023171141.2|DHYD	LOC108029646|XP_016957545.1|DBIA
OG0000799	LOC111602034|XP_023174701.1|DHYD	LOC108023502|XP_016948526.1|DBIA
OG0000800	LOC111592310|XP_023160185.1|DHYD, LOC111592307|XP_023160183.1|DHYD, LOC111592306|XP_023160181.2|DHYD	LOC108028026|XP_016955151.1|DBIA
OG0000801	LOC111593229|XP_023161653.1|DHYD	LOC108022806|XP_016947429.1|DBIA
OG0000802	LOC111605690|XP_030079411.1|DHYD, LOC111602509|XP_023175400.2|DHYD, LOC111603624|XP_023177102.2|DHYD	LOC108033222|XP_016962975.1|DBIA, LOC108033034|XP_016962649.1|DBIA
OG0000803	LOC111601618|XP_023174056.2|DHYD	LOC108033859|XP_016963985.1|DBIA
OG0000803	LOC111597531|XP_023168076.1|DHYD	LOC108035452|XP_016966579.1|DBIA
OG0000804	LOC111597973|XP_023168715.1|DHYD	LOC108022258|XP_016946606.1|DBIA
OG0000804	LOC111592397|XP_023160341.1|DHYD, LOC111592396|XP_023160340.2|DHYD	LOC108027309|XP_016954192.1|DBIA
OG0000805	LOC111593850|XP_023162664.1|DHYD, LOC111593851|XP_023162665.1|DHYD	LOC108029382|XP_016957099.1|DBIA
OG0000805	LOC111599324|XP_023170709.1|DHYD	LOC108029385|XP_016957102.1|DBIA
OG0000806	LOC115482948|XP_030079241.1|DHYD	LOC108027682|XP_016954719.1|DBIA
OG0000807	LOC111596264|XP_023166168.1|DHYD, LOC111601765|XP_023174273.2|DHYD	LOC108030930|XP_016959613.1|DBIA, LOC108036096|XP_016967550.1|DBIA, LOC108034618|XP_016965042.1|DBIA, LOC108027905|XP_016955012.1|DBIA
OG0000808	LOC111597397|XP_023167842.2|DHYD	LOC108025152|XP_016950916.1|DBIA, LOC108025148|XP_016950913.1|DBIA
OG0000810	LOC111593812|XP_023162609.2|DHYD, LOC115483386|XP_030080990.1|DHYD	LOC108030287|XP_016958607.1|DBIA, LOC108030286|XP_016958605.1|DBIA, LOC108030430|XP_016958806.1|DBIA
OG0000811	LOC111598739|XP_023169906.2|DHYD	LOC108024956|XP_016950679.1|DBIA
OG0000811	LOC111605280|XP_023179492.2|DHYD	LOC108036336|XP_016967866.1|DBIA
OG0000812	LOC111600182|XP_023171953.1|DHYD	LOC108032985|XP_016962551.1|DBIA
OG0000813	LOC111605203|XP_023179383.1|DHYD	LOC108029492|XP_016957251.1|DBIA
OG0000813	LOC111599215|XP_030080392.1|DHYD	LOC108029232|XP_016956915.1|DBIA
OG0000814	LOC111594183|XP_023163134.1|DHYD	LOC108033733|XP_016963777.1|DBIA
OG0000815	LOC111599074|XP_023170372.2|DHYD	LOC108029237|XP_016956920.1|DBIA
OG0000816	LOC111602802|XP_023175862.2|DHYD	LOC108027246|XP_016954087.1|DBIA
OG0000817	LOC111600289|XP_023172109.1|DHYD	LOC108025082|XP_016950830.1|DBIA
OG0000817	LOC111600290|XP_023172110.2|DHYD	LOC108025081|XP_016950829.1|DBIA
OG0000818	LOC111593432|XP_023161946.2|DHYD	LOC108023739|XP_016948866.1|DBIA
OG0000818	LOC111594237|XP_023163213.1|DHYD, LOC111594241|XP_030080265.1|DHYD	LOC108033682|XP_016963637.1|DBIA
OG0000819	LOC111602423|XP_030079873.1|DHYD	LOC108023181|XP_016947912.1|DBIA
OG0000819	LOC111602412|XP_023175211.1|DHYD	LOC108023746|XP_016948873.1|DBIA
OG0000820	LOC111601041|XP_023173262.1|DHYD	LOC108024118|XP_016949387.1|DBIA
OG0000820	LOC111600099|XP_023171828.1|DHYD	LOC108036674|XP_016968445.1|DBIA
OG0000821	LOC111596653|XP_023166726.2|DHYD	LOC108023050|XP_016947786.1|DBIA
OG0000821	LOC111595515|XP_023165063.1|DHYD	LOC108023119|XP_016947875.1|DBIA
OG0000822	LOC111599008|XP_023170290.1|DHYD	LOC108036136|XP_016967611.1|DBIA
OG0000824	LOC111599066|XP_023170355.1|DHYD	LOC108034366|XP_016964745.1|DBIA
OG0000825	LOC111605187|XP_023179353.2|DHYD	LOC108034767|XP_016965201.1|DBIA
OG0000825	LOC111601197|XP_023173452.2|DHYD	LOC108032483|XP_016961793.1|DBIA
OG0000826	LOC115482816|XP_030078840.1|DHYD, LOC111600577|XP_030082032.1|DHYD	LOC108022661|XP_016947216.1|DBIA
OG0000828	LOC111601490|XP_023173845.2|DHYD	LOC108024456|XP_016949862.1|DBIA
