Orthogroup	DHYD.longest_only	CCAP.longest_only
OG0001181	LOC111595062|XP_023164384.2|DHYD	CCAP1982_LOCUS13780|CAD7005417.1|CCAP, CCAP1982_LOCUS13817|CAD7005457.1|CCAP
OG0001182	LOC111605533|XP_023179860.2|DHYD	CCAP1982_LOCUS461|CAD6991542.1|CCAP
OG0001183	LOC111602417|XP_023175223.1|DHYD	CCAP1982_LOCUS393|CAD6991469.1|CCAP
OG0001185	LOC111602952|XP_023176084.2|DHYD	CCAP1982_LOCUS235|CAD6991306.1|CCAP
OG0001186	LOC111598852|XP_023170055.1|DHYD, LOC111600673|XP_023172691.2|DHYD	CCAP1982_LOCUS4357|CAD6995650.1|CCAP
OG0001187	LOC111601199|XP_023173455.2|DHYD	CCAP1982_LOCUS20646|CAD7012561.1|CCAP
OG0001188	LOC111593081|XP_023161440.2|DHYD	CCAP1982_LOCUS20310|CAD7012211.1|CCAP, CCAP1982_LOCUS20309|CAD7012208.1|CCAP, CCAP1982_LOCUS20311|CAD7012212.1|CCAP, CCAP1982_LOCUS20308|CAD7012207.1|CCAP
OG0001191	LOC111593152|XP_023161523.2|DHYD	CCAP1982_LOCUS19467|CAD7011363.1|CCAP
OG0001192	LOC111599526|XP_023170948.1|DHYD	CCAP1982_LOCUS5423|CAD6996743.1|CCAP
OG0001193	LOC111600699|XP_023172721.1|DHYD, LOC115483343|XP_030080692.1|DHYD	CCAP1982_LOCUS1428|CAD6992580.1|CCAP
OG0001195	LOC111594151|XP_023163097.2|DHYD	CCAP1982_LOCUS21002|CAD7012903.1|CCAP
OG0001200	LOC111604434|XP_023178267.2|DHYD	CCAP1982_LOCUS4180|CAD6995465.1|CCAP
OG0001201	LOC111604872|XP_023178875.1|DHYD	CCAP1982_LOCUS703|CAD6991799.1|CCAP
OG0001202	LOC111598412|XP_023169418.2|DHYD	CCAP1982_LOCUS12204|CAD7003768.1|CCAP
OG0001203	LOC111597683|XP_023168285.1|DHYD	CCAP1982_LOCUS9590|CAD7001118.1|CCAP, CCAP1982_LOCUS9348|CAD7000874.1|CCAP
OG0001205	LOC111603587|XP_023177011.2|DHYD	CCAP1982_LOCUS4555|CAD6995854.1|CCAP
OG0001206	LOC115483329|XP_030080604.1|DHYD, LOC111595033|XP_023164326.1|DHYD	CCAP1982_LOCUS3112|CAD6994358.1|CCAP, CCAP1982_LOCUS3113|CAD6994359.1|CCAP, CCAP1982_LOCUS3114|CAD6994360.1|CCAP
OG0001209	LOC111596661|XP_023166738.1|DHYD	CCAP1982_LOCUS1957|CAD6993131.1|CCAP, CCAP1982_LOCUS1956|CAD6993130.1|CCAP
OG0001211	LOC111602636|XP_023175566.1|DHYD	CCAP1982_LOCUS2793|CAD6994016.1|CCAP
OG0001213	LOC111598501|XP_023169535.2|DHYD	CCAP1982_LOCUS4317|CAD6995611.1|CCAP
OG0001214	LOC111603474|XP_023176831.2|DHYD	CCAP1982_LOCUS1460|CAD6992611.1|CCAP
OG0001215	LOC115483345|XP_030080707.1|DHYD	CCAP1982_LOCUS2002|CAD6993180.1|CCAP
OG0001216	LOC111595681|XP_023165287.2|DHYD	CCAP1982_LOCUS2004|CAD6993182.1|CCAP
OG0001217	LOC111592086|XP_023159877.2|DHYD	CCAP1982_LOCUS6159|CAD6997520.1|CCAP
OG0001218	LOC111596601|XP_023166651.1|DHYD, LOC111596602|XP_023166652.1|DHYD	CCAP1982_LOCUS3380|CAD6994645.1|CCAP
OG0001220	LOC111593870|XP_023162699.2|DHYD	CCAP1982_LOCUS21522|CAD7013457.1|CCAP
OG0001221	LOC111602120|XP_023174837.1|DHYD	CCAP1982_LOCUS22041|CAD7014035.1|CCAP
OG0001222	LOC111602731|XP_023175749.2|DHYD	CCAP1982_LOCUS5153|CAD6996484.1|CCAP
OG0001223	LOC111600062|XP_023171760.1|DHYD, LOC111600121|XP_023171854.1|DHYD	CCAP1982_LOCUS22608|CAD7014617.1|CCAP
OG0001224	LOC111592548|XP_023160608.1|DHYD	CCAP1982_LOCUS20318|CAD7012220.1|CCAP
OG0001225	LOC111599921|XP_023171525.2|DHYD	CCAP1982_LOCUS21678|CAD7013628.1|CCAP
OG0001226	LOC111604439|XP_023178278.1|DHYD	CCAP1982_LOCUS21755|CAD7013718.1|CCAP, CCAP1982_LOCUS21759|CAD7013728.1|CCAP, CCAP1982_LOCUS21756|CAD7013719.1|CCAP, CCAP1982_LOCUS21757|CAD7013724.1|CCAP, CCAP1982_LOCUS21758|CAD7013727.1|CCAP, CCAP1982_LOCUS21765|CAD7013734.1|CCAP
OG0001227	LOC111602155|XP_023174881.2|DHYD, LOC111602147|XP_023174868.2|DHYD	CCAP1982_LOCUS8848|CAD7000368.1|CCAP
OG0001227	LOC111602136|XP_023174856.1|DHYD	CCAP1982_LOCUS8849|CAD7000369.1|CCAP
OG0001229	LOC111600119|XP_030081242.1|DHYD	CCAP1982_LOCUS21558|CAD7013498.1|CCAP
OG0001230	LOC111604577|XP_030081069.1|DHYD	CCAP1982_LOCUS22839|CAD7014875.1|CCAP
OG0001231	LOC111592054|XP_023159822.1|DHYD	CCAP1982_LOCUS5440|CAD6996761.1|CCAP
OG0001232	LOC111599363|XP_023170763.2|DHYD	CCAP1982_LOCUS6770|CAD6998154.1|CCAP, CCAP1982_LOCUS6767|CAD6998152.1|CCAP, CCAP1982_LOCUS6769|CAD6998153.1|CCAP, CCAP1982_LOCUS6766|CAD6998151.1|CCAP
OG0001233	LOC111595816|XP_023165489.1|DHYD	CCAP1982_LOCUS8291|CAD6999768.1|CCAP
OG0001234	LOC111592110|XP_023159912.1|DHYD, LOC111594012|XP_023162878.1|DHYD	CCAP1982_LOCUS19773|CAD7011689.1|CCAP
OG0001235	LOC111599105|XP_023170424.2|DHYD	CCAP1982_LOCUS7409|CAD6998860.1|CCAP
OG0001236	LOC111605688|XP_023180127.2|DHYD	CCAP1982_LOCUS14234|CAD7005894.1|CCAP
OG0001237	LOC111596687|XP_023166761.1|DHYD	CCAP1982_LOCUS96|CAD6991156.1|CCAP
OG0001238	LOC111595167|XP_023164515.1|DHYD	CCAP1982_LOCUS5052|CAD6996373.1|CCAP
OG0001240	LOC111595162|XP_030078658.1|DHYD	CCAP1982_LOCUS286|CAD6991356.1|CCAP
OG0001243	LOC111605069|XP_023179168.2|DHYD	CCAP1982_LOCUS13382|CAD7005007.1|CCAP
OG0001244	LOC111595689|XP_023165299.2|DHYD	CCAP1982_LOCUS2040|CAD6993221.1|CCAP
OG0001245	LOC111595974|XP_023165720.2|DHYD	CCAP1982_LOCUS2941|CAD6994176.1|CCAP
OG0001247	LOC111600130|XP_023171863.1|DHYD	CCAP1982_LOCUS21110|CAD7013024.1|CCAP
OG0001251	LOC111602766|XP_023175796.2|DHYD	CCAP1982_LOCUS4741|CAD6996035.1|CCAP
OG0001252	LOC111603655|XP_023177104.2|DHYD	CCAP1982_LOCUS3201|CAD6994454.1|CCAP, CCAP1982_LOCUS3202|CAD6994455.1|CCAP
OG0001253	LOC111594064|XP_023162964.1|DHYD	CCAP1982_LOCUS5362|CAD6996678.1|CCAP
OG0001254	LOC111602137|XP_023174853.2|DHYD	CCAP1982_LOCUS22056|CAD7014049.1|CCAP
OG0001255	LOC111597003|XP_023167273.2|DHYD	CCAP1982_LOCUS20294|CAD7012192.1|CCAP
OG0001257	LOC111593704|XP_023162420.2|DHYD	CCAP1982_LOCUS10591|CAD7002103.1|CCAP, CCAP1982_LOCUS10594|CAD7002106.1|CCAP, CCAP1982_LOCUS10593|CAD7002105.1|CCAP
OG0001258	LOC111602741|XP_023175762.1|DHYD	CCAP1982_LOCUS1633|CAD6992794.1|CCAP, CCAP1982_LOCUS1643|CAD6992804.1|CCAP, CCAP1982_LOCUS1652|CAD6992813.1|CCAP, CCAP1982_LOCUS1634|CAD6992795.1|CCAP, CCAP1982_LOCUS1644|CAD6992805.1|CCAP, CCAP1982_LOCUS1653|CAD6992814.1|CCAP
OG0001260	LOC111594477|XP_023163546.1|DHYD	CCAP1982_LOCUS3092|CAD6994336.1|CCAP
OG0001262	LOC111604471|XP_023178320.2|DHYD	CCAP1982_LOCUS13374|CAD7004998.1|CCAP
OG0001263	LOC111596397|XP_023166371.1|DHYD	CCAP1982_LOCUS1201|CAD6992337.1|CCAP
OG0001264	LOC111601567|XP_030080310.1|DHYD	CCAP1982_LOCUS8734|CAD7000242.1|CCAP, CCAP1982_LOCUS8733|CAD7000241.1|CCAP
OG0001266	LOC111605272|XP_023179483.2|DHYD	CCAP1982_LOCUS20417|CAD7012323.1|CCAP, CCAP1982_LOCUS20418|CAD7012324.1|CCAP
OG0001267	LOC111597805|XP_023168458.1|DHYD	CCAP1982_LOCUS3717|CAD6994986.1|CCAP
OG0001269	LOC111592203|XP_023160038.1|DHYD	CCAP1982_LOCUS20837|CAD7012733.1|CCAP
OG0001270	LOC111598646|XP_023169761.2|DHYD	CCAP1982_LOCUS1004|CAD6992122.1|CCAP
OG0001271	LOC111600731|XP_023172771.2|DHYD	CCAP1982_LOCUS22619|CAD7014628.1|CCAP
OG0001272	LOC111601736|XP_023174228.2|DHYD	CCAP1982_LOCUS10784|CAD7002292.1|CCAP, CCAP1982_LOCUS10783|CAD7002291.1|CCAP
OG0001273	LOC111601442|XP_023173786.1|DHYD	CCAP1982_LOCUS3030|CAD6994269.1|CCAP
OG0001274	LOC111604427|XP_023178256.1|DHYD	CCAP1982_LOCUS14515|CAD7006186.1|CCAP
OG0001276	LOC111596616|XP_023166671.1|DHYD	CCAP1982_LOCUS11502|CAD7003039.1|CCAP
OG0001277	LOC111597564|XP_023168131.2|DHYD	CCAP1982_LOCUS13150|CAD7004758.1|CCAP
OG0001279	LOC111603742|XP_023177228.1|DHYD	CCAP1982_LOCUS11832|CAD7003373.1|CCAP
OG0001280	LOC111600514|XP_023172411.1|DHYD	CCAP1982_LOCUS12570|CAD7004150.1|CCAP, CCAP1982_LOCUS10454|CAD7001967.1|CCAP
OG0001281	LOC111591857|XP_023159507.1|DHYD	CCAP1982_LOCUS12999|CAD7004604.1|CCAP
OG0001282	LOC111603965|XP_023177571.2|DHYD	CCAP1982_LOCUS5546|CAD6996873.1|CCAP
OG0001283	LOC111594018|XP_023162888.2|DHYD	CCAP1982_LOCUS22647|CAD7014659.1|CCAP
OG0001284	LOC115483177|XP_030080195.1|DHYD, LOC111599984|XP_030079074.1|DHYD	CCAP1982_LOCUS6493|CAD6997874.1|CCAP
OG0001285	LOC111598758|XP_023169934.1|DHYD	CCAP1982_LOCUS11810|CAD7003351.1|CCAP
OG0001286	LOC111596084|XP_023165913.1|DHYD	CCAP1982_LOCUS7999|CAD6999475.1|CCAP, CCAP1982_LOCUS7997|CAD6999473.1|CCAP
OG0001287	LOC111600268|XP_023172084.2|DHYD	CCAP1982_LOCUS907|CAD6992023.1|CCAP
OG0001288	LOC111599114|XP_023170442.2|DHYD	CCAP1982_LOCUS6082|CAD6997436.1|CCAP
OG0001289	LOC111601651|XP_023174105.2|DHYD	CCAP1982_LOCUS7968|CAD6999444.1|CCAP
OG0001290	LOC115483773|XP_030081876.1|DHYD, LOC115483774|XP_030081877.1|DHYD, LOC111599449|XP_030080202.1|DHYD	CCAP1982_LOCUS8372|CAD6999862.1|CCAP, CCAP1982_LOCUS8371|CAD6999861.1|CCAP
OG0001291	LOC111600014|XP_023171687.1|DHYD	CCAP1982_LOCUS21121|CAD7013037.1|CCAP
OG0001294	LOC111603471|XP_023176829.1|DHYD	CCAP1982_LOCUS4430|CAD6995724.1|CCAP
OG0001295	LOC111602855|XP_023175938.1|DHYD	CCAP1982_LOCUS9728|CAD7001230.1|CCAP, CCAP1982_LOCUS9729|CAD7001231.1|CCAP
OG0001296	LOC111605641|XP_023180070.2|DHYD	CCAP1982_LOCUS23289|CAD7015344.1|CCAP
OG0001296	LOC111593242|XP_030081695.1|DHYD	CCAP1982_LOCUS2727|CAD6993942.1|CCAP
OG0001297	LOC111601790|XP_023174327.1|DHYD	CCAP1982_LOCUS856|CAD6991969.1|CCAP
OG0001298	LOC111602638|XP_023175567.1|DHYD	CCAP1982_LOCUS2803|CAD6994026.1|CCAP
OG0001299	LOC111604503|XP_023178363.2|DHYD	CCAP1982_LOCUS12486|CAD7004061.1|CCAP, CCAP1982_LOCUS12484|CAD7004059.1|CCAP
OG0001301	LOC111597755|XP_023168378.2|DHYD	CCAP1982_LOCUS19842|CAD7011729.1|CCAP
OG0001302	LOC111594327|XP_023163342.1|DHYD	CCAP1982_LOCUS5077|CAD6996403.1|CCAP, CCAP1982_LOCUS5079|CAD6996405.1|CCAP
OG0001303	LOC111602449|XP_023175280.2|DHYD	CCAP1982_LOCUS3529|CAD6994798.1|CCAP
OG0001304	LOC111592217|XP_023160058.1|DHYD	CCAP1982_LOCUS20156|CAD7012054.1|CCAP
OG0001305	LOC111594314|XP_023163324.2|DHYD, LOC111598519|XP_023169563.1|DHYD	CCAP1982_LOCUS228|CAD6991299.1|CCAP
OG0001306	LOC111595196|XP_023164559.1|DHYD	CCAP1982_LOCUS4381|CAD6995674.1|CCAP
OG0001307	LOC111594841|XP_023164075.2|DHYD	CCAP1982_LOCUS10909|CAD7002418.1|CCAP
OG0001309	LOC111604956|XP_023179001.1|DHYD	CCAP1982_LOCUS5112|CAD6996440.1|CCAP, CCAP1982_LOCUS5113|CAD6996441.1|CCAP
OG0001312	LOC111592737|XP_023160899.1|DHYD	CCAP1982_LOCUS12830|CAD7004421.1|CCAP
OG0001313	LOC111600546|XP_023172459.2|DHYD	CCAP1982_LOCUS20437|CAD7012343.1|CCAP, CCAP1982_LOCUS20438|CAD7012344.1|CCAP
OG0001314	LOC111600371|XP_023172216.2|DHYD	CCAP1982_LOCUS5817|CAD6997175.1|CCAP
OG0001316	LOC111593925|XP_023162767.1|DHYD	CCAP1982_LOCUS22757|CAD7014787.1|CCAP
OG0001317	LOC111601159|XP_023173405.2|DHYD	CCAP1982_LOCUS7889|CAD6999362.1|CCAP, CCAP1982_LOCUS7890|CAD6999363.1|CCAP
OG0001319	LOC111600413|XP_023172261.2|DHYD	CCAP1982_LOCUS6593|CAD6997976.1|CCAP
OG0001320	LOC111597960|XP_023168692.2|DHYD	CCAP1982_LOCUS20037|CAD7011925.1|CCAP
OG0001321	LOC111593285|XP_023161726.2|DHYD	CCAP1982_LOCUS1849|CAD6993014.1|CCAP, CCAP1982_LOCUS20384|CAD7012288.1|CCAP, CCAP1982_LOCUS20385|CAD7012289.1|CCAP, CCAP1982_LOCUS20386|CAD7012290.1|CCAP
OG0001326	LOC111603295|XP_023176585.1|DHYD	CCAP1982_LOCUS1119|CAD6992249.1|CCAP
OG0001334	LOC111592492|XP_023160479.2|DHYD	CCAP1982_LOCUS1135|CAD6992268.1|CCAP, CCAP1982_LOCUS1130|CAD6992263.1|CCAP, CCAP1982_LOCUS1136|CAD6992269.1|CCAP
OG0001335	LOC111592028|XP_023159791.2|DHYD	CCAP1982_LOCUS5161|CAD6996492.1|CCAP
OG0001339	LOC111604516|XP_023178383.1|DHYD	CCAP1982_LOCUS21893|CAD7013878.1|CCAP, CCAP1982_LOCUS21898|CAD7013883.1|CCAP
OG0001341	LOC111593681|XP_023162341.1|DHYD	CCAP1982_LOCUS3260|CAD6994516.1|CCAP
OG0001342	LOC111599480|XP_023170916.2|DHYD	CCAP1982_LOCUS2025|CAD6993205.1|CCAP
OG0001342	LOC111596410|XP_023166387.2|DHYD	CCAP1982_LOCUS2024|CAD6993204.1|CCAP
OG0001344	LOC111597828|XP_023168492.1|DHYD	CCAP1982_LOCUS2156|CAD6993338.1|CCAP
OG0001345	LOC111594624|XP_023163782.2|DHYD	CCAP1982_LOCUS1741|CAD6992908.1|CCAP
OG0001349	LOC111595298|XP_023164721.2|DHYD, LOC111601590|XP_023174013.2|DHYD, LOC111601557|XP_023173967.2|DHYD	CCAP1982_LOCUS14892|CAD7006578.1|CCAP
OG0001351	LOC111593942|XP_023162798.2|DHYD	CCAP1982_LOCUS21830|CAD7013810.1|CCAP
OG0001352	LOC111603185|XP_023176440.1|DHYD	CCAP1982_LOCUS21313|CAD7013242.1|CCAP, CCAP1982_LOCUS21311|CAD7013240.1|CCAP
OG0001354	LOC111603814|XP_023177337.2|DHYD	CCAP1982_LOCUS23423|CAD7015484.1|CCAP
OG0001355	LOC111593924|XP_023162766.1|DHYD	CCAP1982_LOCUS21737|CAD7013696.1|CCAP
OG0001356	LOC111600282|XP_023172100.1|DHYD	CCAP1982_LOCUS404|CAD6991479.1|CCAP
OG0001357	LOC111595087|XP_023164411.2|DHYD	CCAP1982_LOCUS12062|CAD7003622.1|CCAP
OG0001358	LOC111592324|XP_023160214.2|DHYD	CCAP1982_LOCUS14516|CAD7006187.1|CCAP
OG0001359	LOC111605041|XP_023179145.1|DHYD	CCAP1982_LOCUS5267|CAD6996597.1|CCAP, CCAP1982_LOCUS5262|CAD6996592.1|CCAP
OG0001360	LOC111593857|XP_023162672.1|DHYD	CCAP1982_LOCUS21902|CAD7013888.1|CCAP
OG0001361	LOC111603699|XP_023177167.2|DHYD	CCAP1982_LOCUS11412|CAD7002948.1|CCAP
OG0001362	LOC111603733|XP_023177217.1|DHYD	CCAP1982_LOCUS11823|CAD7003364.1|CCAP
OG0001363	LOC111604218|XP_023177955.1|DHYD	CCAP1982_LOCUS87|CAD6991145.1|CCAP
OG0001364	LOC111593177|XP_023161552.1|DHYD	CCAP1982_LOCUS21222|CAD7013151.1|CCAP
OG0001365	LOC111601058|XP_023173244.1|DHYD	CCAP1982_LOCUS11263|CAD7002793.1|CCAP
OG0001366	LOC111601693|XP_023174172.2|DHYD	CCAP1982_LOCUS12991|CAD7004596.1|CCAP
OG0001367	LOC111593872|XP_023162701.1|DHYD	CCAP1982_LOCUS23136|CAD7015185.1|CCAP
OG0001368	LOC111603475|XP_023176836.1|DHYD	CCAP1982_LOCUS21725|CAD7013684.1|CCAP, CCAP1982_LOCUS21727|CAD7013686.1|CCAP
OG0001370	LOC111603836|XP_023177369.2|DHYD	CCAP1982_LOCUS22021|CAD7014015.1|CCAP
OG0001371	LOC111594747|XP_023163961.1|DHYD	CCAP1982_LOCUS5717|CAD6997064.1|CCAP
OG0001372	LOC111597681|XP_023168279.2|DHYD	CCAP1982_LOCUS21855|CAD7013835.1|CCAP
OG0001373	LOC111602382|XP_023175171.1|DHYD	CCAP1982_LOCUS7766|CAD6999234.1|CCAP
OG0001374	LOC111593743|XP_023162504.1|DHYD	CCAP1982_LOCUS7146|CAD6998564.1|CCAP
OG0001375	LOC111604830|XP_023178822.2|DHYD	CCAP1982_LOCUS675|CAD6991768.1|CCAP
OG0001376	LOC111605395|XP_023179662.2|DHYD	CCAP1982_LOCUS22471|CAD7014475.1|CCAP
OG0001377	LOC111602512|XP_023175361.2|DHYD	CCAP1982_LOCUS6993|CAD6998393.1|CCAP, CCAP1982_LOCUS6987|CAD6998387.1|CCAP
OG0001378	LOC111596339|XP_023166288.1|DHYD	CCAP1982_LOCUS6408|CAD6997783.1|CCAP
OG0001379	LOC111600796|XP_023172858.1|DHYD, LOC115482908|XP_030079014.1|DHYD	CCAP1982_LOCUS6710|CAD6998096.1|CCAP
OG0001380	LOC111600910|XP_030081111.1|DHYD	CCAP1982_LOCUS21334|CAD7013263.1|CCAP
OG0001381	LOC111600717|XP_023172742.2|DHYD	CCAP1982_LOCUS21553|CAD7013493.1|CCAP
OG0001382	LOC111599073|XP_023170369.2|DHYD, LOC111599125|XP_030080390.1|DHYD	CCAP1982_LOCUS6829|CAD6998216.1|CCAP, CCAP1982_LOCUS6816|CAD6998201.1|CCAP
OG0001384	LOC111600249|XP_023172061.1|DHYD	CCAP1982_LOCUS5835|CAD6997196.1|CCAP
OG0001385	LOC111602262|XP_023175025.1|DHYD, LOC115483017|XP_030079576.1|DHYD	CCAP1982_LOCUS5650|CAD6996988.1|CCAP
OG0001386	LOC111594767|XP_023163984.2|DHYD	CCAP1982_LOCUS5861|CAD6997226.1|CCAP, CCAP1982_LOCUS5869|CAD6997235.1|CCAP, CCAP1982_LOCUS5860|CAD6997225.1|CCAP
OG0001387	LOC111600902|XP_023173025.2|DHYD	CCAP1982_LOCUS8048|CAD6999526.1|CCAP
OG0001388	LOC111603998|XP_023177615.1|DHYD	CCAP1982_LOCUS9027|CAD7000551.1|CCAP
OG0001389	LOC111605506|XP_023179824.1|DHYD	CCAP1982_LOCUS1903|CAD6993073.1|CCAP
OG0001390	LOC111599163|XP_023170506.1|DHYD	CCAP1982_LOCUS7880|CAD6999353.1|CCAP
OG0001391	LOC111600368|XP_023172217.2|DHYD	CCAP1982_LOCUS5828|CAD6997188.1|CCAP
OG0001392	LOC111601853|XP_030079346.1|DHYD	CCAP1982_LOCUS19357|CAD7011249.1|CCAP, CCAP1982_LOCUS9514|CAD7001042.1|CCAP, CCAP1982_LOCUS19552|CAD7011452.1|CCAP, CCAP1982_LOCUS9895|CAD7001398.1|CCAP, CCAP1982_LOCUS9987|CAD7001490.1|CCAP, CCAP1982_LOCUS19356|CAD7011248.1|CCAP, CCAP1982_LOCUS19355|CAD7011247.1|CCAP
OG0001394	LOC111597405|XP_023167852.1|DHYD	CCAP1982_LOCUS19538|CAD7011438.1|CCAP
OG0001395	LOC111602982|XP_023176145.1|DHYD	CCAP1982_LOCUS388|CAD6991463.1|CCAP
OG0001397	LOC111604566|XP_023178435.1|DHYD	CCAP1982_LOCUS4998|CAD6996319.1|CCAP
OG0001399	LOC111599996|XP_023171663.2|DHYD	CCAP1982_LOCUS21132|CAD7013050.1|CCAP
OG0001400	LOC111594555|XP_023163678.2|DHYD	CCAP1982_LOCUS6142|CAD6997503.1|CCAP
OG0001401	LOC111600941|XP_023173080.2|DHYD	CCAP1982_LOCUS13471|CAD7005109.1|CCAP
OG0001402	LOC111595346|XP_023164788.1|DHYD	CCAP1982_LOCUS14088|CAD7005737.1|CCAP
OG0001403	LOC111605103|XP_030079565.1|DHYD	CCAP1982_LOCUS14624|CAD7006302.1|CCAP, CCAP1982_LOCUS14622|CAD7006300.1|CCAP
OG0001404	LOC111599715|XP_023171220.2|DHYD	CCAP1982_LOCUS20365|CAD7012269.1|CCAP
OG0001405	LOC111597065|XP_023167360.2|DHYD	CCAP1982_LOCUS20893|CAD7012792.1|CCAP
OG0001407	LOC111594879|XP_023164132.1|DHYD	CCAP1982_LOCUS12032|CAD7003583.1|CCAP
OG0001408	LOC111592144|XP_023159958.1|DHYD	CCAP1982_LOCUS20682|CAD7012597.1|CCAP, CCAP1982_LOCUS20660|CAD7012575.1|CCAP
OG0001411	LOC111602616|XP_030081661.1|DHYD	CCAP1982_LOCUS2759|CAD6993975.1|CCAP
OG0001412	LOC111596374|XP_023166347.2|DHYD	CCAP1982_LOCUS8110|CAD6999586.1|CCAP
OG0001413	LOC111600762|XP_023172808.1|DHYD	CCAP1982_LOCUS23079|CAD7015129.1|CCAP, CCAP1982_LOCUS23077|CAD7015127.1|CCAP, CCAP1982_LOCUS23078|CAD7015128.1|CCAP
OG0001415	LOC111594762|XP_023163982.2|DHYD	CCAP1982_LOCUS20024|CAD7011913.1|CCAP
OG0001416	LOC111598782|XP_023169964.2|DHYD, LOC111598694|XP_023169827.2|DHYD	CCAP1982_LOCUS20705|CAD7012621.1|CCAP
OG0001417	LOC111598836|XP_023170041.2|DHYD, LOC111591890|XP_023159565.2|DHYD	CCAP1982_LOCUS21009|CAD7012910.1|CCAP, CCAP1982_LOCUS21010|CAD7012911.1|CCAP, CCAP1982_LOCUS21011|CAD7012912.1|CCAP
OG0001418	LOC111592762|XP_023160930.2|DHYD	CCAP1982_LOCUS11084|CAD7002598.1|CCAP
OG0001429	LOC111593244|XP_023161665.2|DHYD	CCAP1982_LOCUS1446|CAD6992597.1|CCAP
OG0001430	LOC111605551|XP_023179880.1|DHYD	CCAP1982_LOCUS1915|CAD6993088.1|CCAP
OG0001437	LOC111598551|XP_023169612.1|DHYD, LOC111598951|XP_023170202.1|DHYD	CCAP1982_LOCUS1003|CAD6992121.1|CCAP
OG0001438	LOC111596159|XP_023166018.2|DHYD	CCAP1982_LOCUS1198|CAD6992334.1|CCAP
OG0001439	LOC111600727|XP_023172767.1|DHYD	CCAP1982_LOCUS2418|CAD6993608.1|CCAP
OG0001443	LOC111603236|XP_023176508.1|DHYD	CCAP1982_LOCUS1087|CAD6992217.1|CCAP
OG0001444	LOC111599036|XP_023170319.2|DHYD	CCAP1982_LOCUS3898|CAD6995177.1|CCAP
OG0001445	LOC111595445|XP_023164942.1|DHYD	CCAP1982_LOCUS21225|CAD7013154.1|CCAP, CCAP1982_LOCUS2777|CAD6993996.1|CCAP
OG0001446	LOC111603490|XP_023176857.2|DHYD	CCAP1982_LOCUS2757|CAD6993972.1|CCAP
OG0001447	LOC111592002|XP_023159736.2|DHYD	CCAP1982_LOCUS61|CAD6991115.1|CCAP
OG0001448	LOC111603294|XP_023176584.1|DHYD	CCAP1982_LOCUS1118|CAD6992248.1|CCAP
OG0001449	LOC111599987|XP_023171649.2|DHYD, LOC111605092|XP_023179199.2|DHYD	CCAP1982_LOCUS12143|CAD7003706.1|CCAP
OG0001450	LOC111603620|XP_023177058.2|DHYD, LOC111602242|XP_023174999.1|DHYD	CCAP1982_LOCUS1353|CAD6992503.1|CCAP
OG0001451	LOC111593943|XP_023162800.1|DHYD	CCAP1982_LOCUS21472|CAD7013410.1|CCAP
OG0001452	LOC111603823|XP_030081370.1|DHYD	CCAP1982_LOCUS22575|CAD7014576.1|CCAP
OG0001453	LOC111600455|XP_023172325.1|DHYD	CCAP1982_LOCUS12525|CAD7004102.1|CCAP
OG0001454	LOC111602615|XP_023175548.2|DHYD	CCAP1982_LOCUS4208|CAD6995495.1|CCAP
OG0001455	LOC111603719|XP_023177197.2|DHYD	CCAP1982_LOCUS14934|CAD7006627.1|CCAP, CCAP1982_LOCUS14933|CAD7006626.1|CCAP
OG0001456	LOC115482755|XP_030078923.1|DHYD	CCAP1982_LOCUS23228|CAD7015281.1|CCAP, CCAP1982_LOCUS23229|CAD7015282.1|CCAP, CCAP1982_LOCUS23226|CAD7015279.1|CCAP
OG0001457	LOC111595327|XP_023164754.2|DHYD	CCAP1982_LOCUS23313|CAD7015368.1|CCAP
OG0001458	LOC111600681|XP_023172703.2|DHYD	CCAP1982_LOCUS21991|CAD7013982.1|CCAP
OG0001459	LOC111592442|XP_023160394.2|DHYD	CCAP1982_LOCUS12616|CAD7004197.1|CCAP, CCAP1982_LOCUS12627|CAD7004208.1|CCAP
OG0001460	LOC111604106|XP_030081318.1|DHYD	CCAP1982_LOCUS22491|CAD7014489.1|CCAP, CCAP1982_LOCUS22493|CAD7014491.1|CCAP
OG0001462	LOC111598466|XP_030081599.1|DHYD	CCAP1982_LOCUS12226|CAD7003792.1|CCAP
OG0001463	LOC111596676|XP_023166748.2|DHYD	CCAP1982_LOCUS4832|CAD6996139.1|CCAP
OG0001465	LOC111604103|XP_023177773.1|DHYD	CCAP1982_LOCUS23292|CAD7015347.1|CCAP
OG0001466	LOC111595844|XP_023165522.2|DHYD	CCAP1982_LOCUS8263|CAD6999737.1|CCAP
OG0001467	LOC111592659|XP_023160779.1|DHYD	CCAP1982_LOCUS8527|CAD7000023.1|CCAP
OG0001468	LOC111604758|XP_023178716.1|DHYD	CCAP1982_LOCUS12076|CAD7003637.1|CCAP, CCAP1982_LOCUS1503|CAD6992658.1|CCAP
OG0001469	LOC111592530|XP_030081414.1|DHYD	CCAP1982_LOCUS21877|CAD7013858.1|CCAP
OG0001470	LOC115483748|XP_030081856.1|DHYD, LOC111600957|XP_023173104.2|DHYD	CCAP1982_LOCUS14046|CAD7005694.1|CCAP
OG0001471	LOC111597605|XP_023168174.2|DHYD	CCAP1982_LOCUS10995|CAD7002506.1|CCAP
