Orthogroup	DHYD.longest_only	AAEG.longest_only
OG0000349	LOC111596325|XP_023166258.1|DHYD	LOC5567301|XP_001651734.2|AAEG
OG0000351	LOC111601216|XP_023173479.2|DHYD, LOC111601213|XP_023173474.2|DHYD	LOC5569262|XP_001658407.1|AAEG, LOC5568831|XP_001658197.2|AAEG, LOC5569260|XP_021712585.1|AAEG, LOC5564699|XP_001649042.2|AAEG
OG0000353	LOC111602736|XP_023175756.1|DHYD	LOC5564379|XP_001648723.1|AAEG
OG0000353	LOC111602343|XP_023175121.1|DHYD	LOC5577723|XP_001656676.1|AAEG
OG0000355	LOC111593307|XP_023161766.2|DHYD, LOC111597722|XP_030080937.1|DHYD, LOC111597723|XP_023168332.2|DHYD	LOC5567698|XP_021699785.1|AAEG, LOC5567699|XP_021699787.1|AAEG
OG0000356	LOC111605563|XP_023179903.2|DHYD, LOC111605585|XP_023179956.2|DHYD	LOC5565896|XP_001650274.2|AAEG, LOC5575669|XP_001662128.2|AAEG
OG0000361	LOC111593143|XP_023161511.1|DHYD, LOC111593142|XP_023161509.2|DHYD	LOC5574713|XP_021694717.1|AAEG
OG0000362	LOC111595892|XP_023165594.1|DHYD	LOC5565060|XP_021705306.1|AAEG
OG0000362	LOC111592868|XP_023161082.1|DHYD	LOC5568690|XP_021707623.1|AAEG
OG0000363	LOC111602995|XP_023176163.1|DHYD	LOC5567380|XP_021708774.1|AAEG
OG0000363	LOC111602934|XP_023176052.2|DHYD	LOC5566288|XP_021696532.1|AAEG
OG0000364	LOC115483467|XP_030081409.1|DHYD	LOC5566330|XP_021696724.1|AAEG
OG0000364	LOC111596139|XP_023165990.2|DHYD	LOC5566335|XP_021696726.1|AAEG
OG0000365	LOC111602135|XP_030081067.1|DHYD	LOC5571839|XP_021697172.1|AAEG
OG0000365	LOC111595928|XP_023165654.2|DHYD	LOC5568775|XP_021700717.1|AAEG
OG0000366	LOC111600179|XP_030079361.1|DHYD	LOC5568664|XP_021705763.1|AAEG
OG0000366	LOC111604235|XP_023177980.1|DHYD	LOC5567388|XP_021707665.1|AAEG
OG0000367	LOC111598741|XP_023169904.1|DHYD, LOC111600010|XP_023171681.1|DHYD	LOC5579666|XP_001648122.2|AAEG, LOC5579650|XP_021705459.1|AAEG, LOC5579651|XP_021708583.1|AAEG
OG0000368	LOC111592790|XP_023160965.1|DHYD	LOC5564133|XP_001648461.1|AAEG, LOC5564130|XP_001648458.1|AAEG
OG0000376	LOC111594267|XP_023163262.1|DHYD, LOC111594319|XP_023163330.1|DHYD, LOC111602839|XP_023175919.1|DHYD	LOC5566228|XP_001650616.1|AAEG
OG0000377	LOC111596775|XP_023166893.1|DHYD	LOC5566613|XP_021700697.1|AAEG, LOC5579903|XP_001657883.2|AAEG, LOC5579904|XP_021711596.1|AAEG, LOC5578379|XP_021707368.1|AAEG
OG0000378	LOC111605353|XP_023179598.1|DHYD	LOC5570810|XP_021704356.1|AAEG, LOC5566281|XP_001650659.2|AAEG
OG0000379	LOC111595315|XP_023164738.2|DHYD	LOC5571189|XP_001653515.1|AAEG
OG0000380	LOC111595459|XP_030078559.1|DHYD, LOC111595474|XP_023165008.2|DHYD, LOC111592299|XP_023160171.1|DHYD	LOC5575706|XP_001662150.1|AAEG
OG0000381	LOC111597216|XP_023167559.2|DHYD, LOC111597212|XP_023167551.2|DHYD, LOC111593660|XP_023162314.2|DHYD, LOC111597214|XP_023167552.1|DHYD, LOC111597207|XP_023167542.2|DHYD	LOC5569374|XP_021700452.1|AAEG
OG0000382	LOC111599796|XP_023171340.2|DHYD	LOC5567819|XP_021704185.1|AAEG, LOC5570832|XP_001653339.1|AAEG
OG0000383	LOC111595497|XP_023165035.1|DHYD, LOC111601181|XP_023173427.2|DHYD	LOC5572674|XP_001660494.2|AAEG, LOC5575161|XP_001655538.2|AAEG
OG0000384	LOC111605411|XP_023179682.2|DHYD	LOC5564813|XP_001649162.2|AAEG
OG0000384	LOC115483808|XP_030082003.1|DHYD	LOC110677033|XP_021703202.1|AAEG
OG0000385	LOC111605364|XP_023179615.2|DHYD	LOC5570568|XP_001653236.2|AAEG
OG0000385	LOC111605383|XP_023179644.2|DHYD	LOC5577771|XP_001663546.2|AAEG
OG0000386	LOC111599579|XP_030079646.1|DHYD, LOC111604264|XP_023178028.1|DHYD	LOC23687815|XP_021704948.1|AAEG
OG0000389	LOC111598512|XP_023169553.2|DHYD	LOC5575835|XP_021694446.1|AAEG
OG0000389	LOC111600463|XP_023172336.1|DHYD	LOC5578678|XP_021708389.1|AAEG
OG0000390	LOC111592645|XP_023160759.1|DHYD	LOC5577491|XP_021707307.1|AAEG, LOC5577490|XP_021707306.1|AAEG, LOC110680865|XP_021712346.1|AAEG, LOC5567714|XP_001657626.2|AAEG, LOC5578405|XP_001663870.2|AAEG, LOC5570107|XP_001653082.1|AAEG, LOC5569521|XP_001652831.1|AAEG
OG0000391	LOC111602348|XP_023175128.1|DHYD	LOC5570464|XP_021701402.1|AAEG
OG0000391	LOC111592405|XP_023160348.2|DHYD	LOC23687692|XP_021704615.1|AAEG
OG0000392	LOC111599085|XP_023170389.2|DHYD, LOC111599109|XP_023170430.2|DHYD	LOC5570445|XP_021701887.1|AAEG, LOC5564419|XP_021701877.1|AAEG
OG0000393	LOC111594226|XP_023163194.2|DHYD	LOC110675223|XP_021695341.1|AAEG
OG0000393	LOC111594195|XP_023163159.2|DHYD	LOC5569062|XP_021703018.1|AAEG
OG0000394	LOC111597264|XP_023167645.1|DHYD, LOC111597352|XP_023167767.1|DHYD	LOC5570039|XP_001658928.1|AAEG
OG0000399	LOC111596181|XP_023166053.2|DHYD, LOC111596173|XP_023166039.1|DHYD	LOC5567097|XP_001651486.2|AAEG
OG0000400	LOC111598815|XP_023170008.1|DHYD	LOC5580067|XP_021694881.1|AAEG
OG0000404	LOC111603266|XP_023176545.2|DHYD	LOC5578688|XP_001657086.2|AAEG, LOC5578691|XP_001657089.2|AAEG, LOC5579410|XP_021711070.1|AAEG, LOC5578692|XP_021711033.1|AAEG, LOC5578689|XP_001657087.2|AAEG
OG0000405	LOC111598152|XP_023169003.1|DHYD	LOC5576131|XP_001662477.2|AAEG
OG0000406	LOC111602933|XP_023176050.1|DHYD, LOC111605231|XP_023179433.1|DHYD	LOC5568131|XP_021698131.1|AAEG, LOC5566267|XP_001650660.1|AAEG
OG0000407	LOC111592977|XP_023161240.1|DHYD	LOC5567374|XP_001657389.1|AAEG
OG0000407	LOC111592949|XP_023161194.2|DHYD	LOC5571596|XP_021697332.1|AAEG
OG0000408	LOC111600399|XP_023172247.1|DHYD, LOC111600417|XP_023172265.1|DHYD, LOC111600418|XP_023172267.1|DHYD, LOC111602217|XP_023174961.2|DHYD	LOC5570724|XP_001659317.1|AAEG
OG0000409	LOC111600540|XP_023172448.2|DHYD, LOC111593093|XP_023161462.1|DHYD, LOC111595055|XP_023164375.1|DHYD, LOC111599936|XP_023171551.2|DHYD	LOC5570907|XP_021700630.1|AAEG
OG0000410	LOC111594204|XP_023163170.2|DHYD	LOC5575157|XP_001655534.1|AAEG
OG0000411	LOC111601476|XP_023173830.2|DHYD	LOC5566158|XP_001650539.1|AAEG
OG0000411	LOC111600445|XP_023172308.1|DHYD	LOC5564918|XP_001649286.1|AAEG
OG0000412	LOC111597002|XP_023167271.2|DHYD, LOC111599776|XP_023171306.1|DHYD	LOC5574516|XP_021708166.1|AAEG, LOC5574515|XP_021708169.1|AAEG
OG0000413	LOC111604879|XP_023178884.2|DHYD, LOC111598617|XP_023169719.2|DHYD	LOC5567054|XP_001651429.2|AAEG
OG0000414	LOC111592103|XP_023159898.2|DHYD, LOC111592184|XP_023160017.2|DHYD, LOC111592102|XP_023159896.2|DHYD	LOC23687918|XP_021709829.1|AAEG, LOC5567300|XP_021709833.1|AAEG, LOC5567305|XP_021709831.1|AAEG
OG0000415	LOC111601221|XP_023173484.1|DHYD, LOC111601251|XP_023173518.1|DHYD	LOC5574783|XP_001655340.1|AAEG
OG0000416	LOC111591973|XP_023159688.2|DHYD	LOC5568416|XP_001658068.2|AAEG
OG0000416	LOC111596632|XP_023166688.1|DHYD	LOC5564064|XP_001648376.1|AAEG
OG0000417	LOC111598521|XP_023169571.2|DHYD	LOC5566091|XP_021708981.1|AAEG
OG0000417	LOC111597394|XP_023167838.2|DHYD	LOC5567927|XP_021699404.1|AAEG
OG0000418	LOC111596736|XP_023166835.2|DHYD, LOC111603112|XP_023176349.1|DHYD	LOC5564390|XP_001648753.2|AAEG, LOC5575420|XP_021699880.1|AAEG, LOC5575418|XP_021699898.1|AAEG
OG0000419	LOC111597727|XP_023168337.2|DHYD	LOC5570733|XP_021697362.1|AAEG
OG0000419	LOC111605322|XP_023179559.2|DHYD, LOC111597670|XP_023168262.2|DHYD	LOC110674637|XP_021694407.1|AAEG
OG0000421	LOC115483291|XP_030080494.1|DHYD, LOC111598933|XP_023170175.1|DHYD	LOC5569086|XP_021703057.1|AAEG
OG0000421	LOC111595197|XP_030079195.1|DHYD	LOC5570822|XP_021702186.1|AAEG
OG0000422	LOC111598659|XP_030080615.1|DHYD	LOC5573930|XP_021703369.1|AAEG, LOC110681118|XP_021712577.1|AAEG, LOC110675236|XP_021695377.1|AAEG, LOC5573929|XP_021703368.1|AAEG, LOC5573927|XP_001654963.2|AAEG, LOC5573931|XP_001654967.2|AAEG, LOC5570229|XP_001659008.2|AAEG
OG0000423	LOC111594333|XP_023163346.1|DHYD, LOC111594334|XP_023163347.2|DHYD	LOC5563591|XP_001647935.2|AAEG, LOC5563575|XP_001647937.2|AAEG, LOC5563586|XP_001647936.2|AAEG
OG0000424	LOC111594329|XP_023163340.2|DHYD	LOC23687932|XP_021710750.1|AAEG
OG0000425	LOC111594405|XP_023163450.2|DHYD	LOC5571033|XP_001659462.2|AAEG
OG0000425	LOC115483812|XP_030082012.1|DHYD, LOC111597041|XP_023167323.1|DHYD	LOC5571023|XP_021708459.1|AAEG
OG0000426	LOC111599243|XP_023170614.1|DHYD	LOC5574193|XP_001661250.1|AAEG
OG0000433	LOC111602397|XP_023175180.2|DHYD	LOC5574521|XP_001655172.1|AAEG
OG0000433	LOC111594844|XP_023164078.2|DHYD	LOC5564077|XP_001648404.2|AAEG
OG0000434	LOC111593230|XP_023161649.2|DHYD	LOC5574590|XP_011493595.2|AAEG
OG0000434	LOC111600885|XP_023172991.2|DHYD, LOC111600884|XP_023172990.2|DHYD	LOC5570528|XP_001659208.2|AAEG
OG0000435	LOC111596567|XP_030079553.1|DHYD	LOC5580076|XP_001654832.2|AAEG, LOC5580075|XP_021698638.1|AAEG, LOC5574934|XP_001661737.2|AAEG, LOC5565897|XP_001650275.2|AAEG, LOC5568375|XP_001658029.2|AAEG, LOC5568373|XP_001658027.2|AAEG, LOC5569828|XP_001658735.2|AAEG, LOC5574241|XP_021697225.1|AAEG
OG0000437	LOC111592673|XP_023160808.1|DHYD	LOC5577304|XP_001663334.1|AAEG
OG0000437	LOC111600934|XP_023173074.1|DHYD	LOC5573669|XP_001660991.1|AAEG
OG0000438	LOC111594574|XP_023163700.1|DHYD	LOC5578150|XP_001663721.2|AAEG
OG0000439	LOC111600365|XP_023172210.2|DHYD	LOC5564327|XP_001648654.2|AAEG
OG0000439	LOC111600925|XP_023173057.2|DHYD	LOC5567214|XP_001651644.2|AAEG
OG0000440	LOC111595258|XP_023164672.2|DHYD, LOC111595260|XP_023164674.2|DHYD, LOC111597981|XP_023168725.2|DHYD, LOC111593894|XP_023162730.1|DHYD	LOC110676860|XP_021701990.1|AAEG
OG0000441	LOC111593558|XP_023162182.1|DHYD, LOC111593559|XP_023162183.2|DHYD	LOC5573074|XP_001660703.2|AAEG
OG0000443	LOC111598768|XP_023169950.1|DHYD, LOC111598767|XP_023169949.2|DHYD	LOC5568713|XP_021709748.1|AAEG, LOC5569780|XP_001658722.1|AAEG
OG0000444	LOC111599487|XP_023170922.2|DHYD, LOC111599490|XP_023170924.2|DHYD	LOC5567217|XP_001651646.3|AAEG, LOC5567436|XP_021706495.1|AAEG
OG0000448	LOC111597881|XP_023168576.2|DHYD, LOC111597883|XP_023168583.2|DHYD, LOC111599486|XP_023170921.2|DHYD	LOC23687587|XP_021694447.1|AAEG
OG0000449	LOC111601066|XP_023173257.2|DHYD	LOC5572858|XP_001660618.2|AAEG
OG0000449	LOC111600523|XP_023172428.2|DHYD, LOC111598928|XP_023170171.2|DHYD	LOC5574532|XP_021694481.1|AAEG
OG0000450	LOC111595982|XP_030080038.1|DHYD	LOC110680460|XP_021711955.1|AAEG, LOC5576465|XP_021700332.1|AAEG
OG0000450	LOC111596583|XP_023166624.1|DHYD	LOC110674772|XP_021694752.1|AAEG
OG0000451	LOC111600827|XP_023172938.1|DHYD	LOC5571503|XP_001659753.1|AAEG
OG0000451	LOC111600661|XP_023172700.1|DHYD	LOC5571502|XP_021704118.1|AAEG
OG0000453	LOC111602787|XP_023175828.2|DHYD	LOC5578274|XP_001663802.2|AAEG, LOC5578275|XP_001663803.2|AAEG
OG0000454	LOC111592640|XP_023160753.2|DHYD	LOC5569151|XP_021700040.1|AAEG
OG0000456	LOC111595874|XP_023165565.2|DHYD	LOC5572063|XP_021703567.1|AAEG
OG0000456	LOC111600346|XP_023172181.2|DHYD	LOC5570893|XP_021700660.1|AAEG
OG0000457	LOC111593779|XP_023162564.2|DHYD	LOC5565766|XP_001650147.2|AAEG
OG0000457	LOC111602307|XP_030079070.1|DHYD	LOC5564329|XP_021700919.1|AAEG
OG0000458	LOC111595812|XP_023165471.2|DHYD	LOC5565843|XP_021703626.1|AAEG, LOC23687629|XP_021706599.1|AAEG, LOC5565841|XP_021703625.1|AAEG, LOC5565842|XP_001650218.2|AAEG, LOC5565387|XP_021700996.1|AAEG
OG0000460	LOC111595833|XP_023165509.1|DHYD	LOC5577624|XP_001656618.2|AAEG
OG0000465	LOC111593699|XP_023162412.2|DHYD, LOC111593687|XP_023162351.2|DHYD	LOC5571253|XP_001653551.1|AAEG, LOC5577529|XP_021712948.1|AAEG
OG0000466	LOC111601829|XP_023174424.1|DHYD	LOC5577984|XP_021713022.1|AAEG
OG0000466	LOC111595994|XP_023165759.1|DHYD	LOC5572786|XP_001654185.1|AAEG
OG0000467	LOC111593806|XP_023162599.2|DHYD, LOC111593964|XP_023162823.1|DHYD, LOC111593807|XP_030078931.1|DHYD, LOC115483377|XP_030080957.1|DHYD	LOC5568475|XP_021695985.1|AAEG
OG0000468	LOC111594544|XP_023163664.1|DHYD	LOC23687721|XP_021709274.1|AAEG
OG0000468	LOC111603285|XP_023176571.1|DHYD	LOC23687516|XP_011493435.1|AAEG
OG0000469	LOC111599103|XP_030080377.1|DHYD, LOC111594196|XP_023163161.2|DHYD	LOC5565883|XP_021703807.1|AAEG
OG0000470	LOC111597450|XP_023167940.2|DHYD	LOC5578138|XP_021707709.1|AAEG
OG0000470	LOC111605702|XP_023180148.2|DHYD	LOC5574556|XP_001661506.1|AAEG
OG0000471	LOC111596972|XP_023167216.2|DHYD, LOC115483414|XP_030081135.1|DHYD, LOC111599379|XP_023170781.2|DHYD	LOC110674399|XP_021694347.1|AAEG, LOC110678109|XP_021706404.1|AAEG, LOC5567989|XP_001657815.1|AAEG
OG0000473	LOC111603131|XP_023176373.2|DHYD, LOC111596836|XP_023166978.1|DHYD	LOC5569934|XP_001658830.2|AAEG
OG0000474	LOC111598285|XP_023169235.1|DHYD, LOC111593118|XP_023161487.1|DHYD	LOC5569558|XP_001658624.2|AAEG
OG0000475	LOC111603597|XP_023177023.1|DHYD, LOC111603622|XP_023177060.1|DHYD	LOC5565629|XP_001649983.1|AAEG
OG0000476	LOC111593686|XP_023162350.2|DHYD, LOC111593679|XP_023162339.2|DHYD	LOC5575604|XP_001662086.2|AAEG
OG0000477	LOC111605451|XP_023179735.2|DHYD, LOC111605452|XP_023179737.2|DHYD	LOC5564209|XP_001648552.1|AAEG
OG0000478	LOC111597454|XP_023167974.2|DHYD, LOC111595621|XP_023165200.1|DHYD	LOC5566225|XP_021696850.1|AAEG, LOC5566220|XP_001650605.1|AAEG
OG0000479	LOC111595696|XP_023165309.2|DHYD	LOC5571039|XP_001659472.1|AAEG, LOC5571038|XP_001659473.2|AAEG, LOC5571037|XP_001659474.1|AAEG
OG0000480	LOC111596053|XP_023165869.2|DHYD, LOC111596048|XP_023165854.2|DHYD	LOC5565774|XP_001650133.1|AAEG
OG0000482	LOC111596695|XP_023166779.2|DHYD	LOC5564156|XP_001648504.1|AAEG, LOC5564158|XP_001648505.2|AAEG, LOC110680419|XP_021711910.1|AAEG
OG0000483	LOC111593381|XP_023161868.2|DHYD, LOC111593380|XP_023161867.1|DHYD	LOC5563950|XP_001648275.2|AAEG, LOC5563953|XP_001648304.2|AAEG
OG0000484	LOC111596206|XP_023166087.2|DHYD, LOC111596207|XP_023166088.2|DHYD	LOC5576159|XP_001662504.2|AAEG
OG0000485	LOC111599248|XP_023170617.1|DHYD, LOC111599245|XP_023170613.2|DHYD	LOC5570054|XP_001658946.1|AAEG
OG0000486	LOC111603844|XP_023177385.1|DHYD, LOC111603843|XP_023177381.2|DHYD	LOC5565804|XP_001650170.2|AAEG
OG0000489	LOC111601480|XP_023173837.2|DHYD, LOC111600206|XP_023171991.2|DHYD	LOC5566180|XP_021693011.1|AAEG, LOC5566818|XP_001651225.2|AAEG, LOC5566819|XP_001651227.2|AAEG, LOC5566178|XP_001650550.2|AAEG
OG0000490	LOC111601842|XP_023174444.1|DHYD	LOC5564407|XP_021699908.1|AAEG
OG0000490	LOC111594278|XP_030078911.1|DHYD	LOC5564043|XP_021703783.1|AAEG
OG0000491	LOC111603099|XP_023176331.1|DHYD	LOC5568339|XP_021710734.1|AAEG
OG0000492	LOC111600144|XP_023171889.1|DHYD	LOC5576114|XP_001662460.1|AAEG
OG0000492	LOC111593668|XP_023162325.1|DHYD	LOC5577628|XP_021702254.1|AAEG
OG0000493	LOC115482941|XP_030079169.1|DHYD, LOC111603176|XP_023176429.1|DHYD	LOC5571043|XP_021696304.1|AAEG
OG0000494	LOC115482733|XP_030078968.1|DHYD, LOC111599006|XP_023170287.1|DHYD	LOC5569984|XP_001658869.1|AAEG
OG0000495	LOC111592988|XP_023161258.2|DHYD, LOC111593176|XP_023161550.1|DHYD	LOC5576051|XP_021701656.1|AAEG, LOC5576056|XP_021701652.1|AAEG
OG0000496	LOC111602239|XP_023174993.2|DHYD	LOC5575526|XP_021703709.1|AAEG
OG0000496	LOC111592915|XP_023161134.2|DHYD	LOC5575525|XP_021703714.1|AAEG
OG0000497	LOC111591953|XP_023159655.2|DHYD, LOC111591960|XP_023159668.2|DHYD	LOC5569758|XP_021704072.1|AAEG
OG0000498	LOC111593377|XP_023161864.2|DHYD	LOC5563949|XP_001648276.2|AAEG, LOC5563976|XP_001648277.2|AAEG
OG0000499	LOC111600628|XP_023172599.1|DHYD	LOC5572478|XP_001660426.1|AAEG
OG0000500	LOC111603333|XP_023176637.2|DHYD, LOC111599229|XP_023170595.2|DHYD	LOC5576162|XP_001662510.3|AAEG, LOC5577003|XP_021705393.1|AAEG
OG0000504	LOC111605654|XP_023180083.2|DHYD	LOC5571710|XP_021698830.1|AAEG, LOC5565972|XP_001650340.2|AAEG, LOC110674831|XP_021694990.1|AAEG, LOC110676201|XP_021698831.1|AAEG, LOC5565973|XP_021698828.1|AAEG
OG0000505	LOC111601616|XP_023174050.2|DHYD, LOC111601617|XP_030079936.1|DHYD	LOC5575878|XP_021703710.1|AAEG, LOC5575881|XP_021703689.1|AAEG
OG0000506	LOC111601316|XP_030081592.1|DHYD, LOC111601344|XP_023173644.2|DHYD	LOC5575876|XP_021709863.1|AAEG, LOC5575877|XP_021709869.1|AAEG, LOC5568369|XP_021693930.1|AAEG
OG0000507	LOC111593499|XP_030079940.1|DHYD	LOC5565544|XP_001649911.1|AAEG
OG0000507	LOC111593500|XP_023162035.1|DHYD	LOC5574054|XP_021713281.1|AAEG
OG0000508	LOC111596887|XP_023167105.2|DHYD, LOC111597412|XP_030079482.1|DHYD	LOC5568311|XP_021695181.1|AAEG, LOC110677246|XP_021704041.1|AAEG
OG0000509	LOC111596627|XP_030081319.1|DHYD	LOC5567324|XP_021698227.1|AAEG
OG0000510	LOC111592519|XP_023160538.2|DHYD	LOC5567701|XP_021699791.1|AAEG
OG0000511	LOC111602504|XP_023175347.2|DHYD, LOC111602452|XP_023175279.2|DHYD	LOC5566989|XP_001651389.2|AAEG, LOC5564510|XP_001648852.1|AAEG
OG0000512	LOC111602494|XP_023175331.2|DHYD	LOC23687743|XP_021701399.1|AAEG, LOC23687655|XP_011493370.2|AAEG
OG0000513	LOC111597638|XP_023168211.2|DHYD, LOC111598968|XP_023170230.2|DHYD	LOC5575852|XP_001662263.2|AAEG
OG0000514	LOC111595808|XP_023165467.2|DHYD, LOC111595862|XP_030079227.1|DHYD	LOC23687865|XP_021704006.1|AAEG
OG0000515	LOC111597674|XP_023168272.1|DHYD, LOC111595057|XP_023164379.1|DHYD	LOC5577999|XP_001656737.2|AAEG, LOC5576214|XP_001655991.1|AAEG
OG0000516	LOC111602030|XP_030079551.1|DHYD, LOC111602063|XP_023174745.2|DHYD	LOC5563973|XP_001648306.2|AAEG, LOC5563958|XP_001648307.2|AAEG, LOC5563956|XP_001648305.2|AAEG
OG0000517	LOC111598097|XP_023168915.1|DHYD, LOC111598096|XP_023168914.1|DHYD	LOC5565741|XP_001650092.2|AAEG
OG0000521	LOC111595958|XP_030080031.1|DHYD, LOC111596169|XP_030080029.1|DHYD	LOC23687658|XP_021694216.1|AAEG
OG0000522	LOC111602233|XP_023174988.2|DHYD, LOC111598827|XP_023170027.2|DHYD	LOC5578806|XP_021699844.1|AAEG
OG0000523	LOC111600814|XP_023172881.1|DHYD	LOC5576121|XP_001662467.1|AAEG
OG0000523	LOC111594079|XP_023162989.1|DHYD	LOC5564391|XP_001648748.1|AAEG
OG0000524	LOC111601791|XP_023174330.2|DHYD	LOC5570276|XP_001659032.1|AAEG
OG0000525	LOC111602095|XP_023174797.2|DHYD	LOC5571821|XP_001659953.1|AAEG, LOC5571822|XP_001659954.2|AAEG
OG0000526	LOC111594352|XP_023163380.2|DHYD, LOC111593598|XP_023162226.1|DHYD	LOC5580247|XP_001662644.1|AAEG
OG0000527	LOC111602174|XP_023174903.1|DHYD, LOC111602152|XP_023174872.2|DHYD	LOC5577413|XP_021700511.1|AAEG, LOC5564164|XP_021700512.1|AAEG
OG0000528	LOC111596125|XP_023165963.2|DHYD	LOC5568778|XP_021700715.1|AAEG, LOC5568779|XP_001658144.1|AAEG, LOC5568783|XP_001658148.2|AAEG, LOC5568782|XP_001658147.1|AAEG, LOC5574730|XP_021700710.1|AAEG
OG0000529	LOC111599312|XP_023170690.2|DHYD, LOC111596088|XP_023165916.2|DHYD	LOC5572655|XP_021700824.1|AAEG
OG0000530	LOC111597573|XP_023168140.2|DHYD, LOC111603062|XP_023176287.1|DHYD	LOC5570472|XP_021701466.1|AAEG
OG0000531	LOC111592074|XP_023159857.1|DHYD, LOC111600560|XP_023172479.1|DHYD	LOC5566804|XP_001651213.1|AAEG
OG0000532	LOC111601426|XP_023173770.2|DHYD, LOC111601494|XP_023173849.1|DHYD	LOC5577450|XP_001663376.2|AAEG
OG0000533	LOC111604888|XP_023178896.1|DHYD	LOC5568210|XP_021707094.1|AAEG
OG0000535	LOC111599263|XP_023170633.1|DHYD, LOC111595592|XP_023165170.1|DHYD	LOC110679157|XP_021708917.1|AAEG, LOC5579833|XP_001651508.2|AAEG
OG0000536	LOC111593083|XP_023161441.2|DHYD, LOC111593098|XP_023161464.2|DHYD	LOC5570239|XP_001659019.2|AAEG, LOC5574261|XP_001655077.2|AAEG, LOC5574259|XP_001655076.1|AAEG, LOC5574263|XP_021707712.1|AAEG
OG0000537	LOC111593799|XP_023162588.2|DHYD	LOC5572401|XP_001660343.2|AAEG
OG0000538	LOC111604354|XP_023178187.1|DHYD, LOC111598006|XP_023168766.1|DHYD	LOC5574674|XP_021709504.1|AAEG
OG0000539	LOC111595172|XP_023164520.1|DHYD, LOC111595165|XP_023164513.1|DHYD	LOC5564126|XP_001648447.1|AAEG
OG0000542	LOC111604801|XP_023178789.2|DHYD, LOC111593703|XP_023162419.1|DHYD	LOC5574746|XP_001655316.1|AAEG
OG0000543	LOC111594828|XP_023164060.1|DHYD, LOC111595610|XP_023165184.2|DHYD	LOC5577559|XP_021694639.1|AAEG, LOC5579016|XP_001664196.2|AAEG
OG0000544	LOC111601045|XP_023173227.1|DHYD, LOC111595332|XP_023164764.1|DHYD	LOC5578623|XP_001657045.2|AAEG
OG0000545	LOC111601520|XP_023173894.2|DHYD, LOC111601443|XP_030078652.1|DHYD	LOC5564746|XP_021693658.1|AAEG, LOC5566409|XP_021693084.1|AAEG
OG0000546	LOC111603558|XP_023176966.2|DHYD, LOC111596748|XP_023166847.1|DHYD	LOC5575232|XP_021694125.1|AAEG
OG0000547	LOC111597263|XP_023167642.1|DHYD, LOC111602796|XP_023175848.1|DHYD	LOC5571763|XP_021695756.1|AAEG
OG0000548	LOC111594374|XP_023163406.2|DHYD, LOC111594371|XP_023163404.2|DHYD, LOC111594370|XP_023163403.2|DHYD	LOC5575141|XP_021697915.1|AAEG
OG0000549	LOC111593805|XP_023162598.1|DHYD	LOC5577716|XP_001663497.1|AAEG, LOC5577704|XP_021698193.1|AAEG, LOC5577714|XP_001663495.1|AAEG, LOC5573687|XP_001661010.2|AAEG, LOC5573688|XP_001661011.1|AAEG, LOC5577711|XP_001663492.1|AAEG, LOC5577713|XP_001663494.1|AAEG, LOC5577709|XP_001663490.2|AAEG, LOC5577717|XP_001663499.2|AAEG
OG0000550	LOC111601730|XP_023174224.2|DHYD, LOC111596321|XP_023166255.1|DHYD	LOC5578287|XP_001663815.1|AAEG
OG0000552	LOC111594479|XP_023163552.2|DHYD, LOC111594594|XP_023163725.2|DHYD, LOC111594576|XP_023163702.2|DHYD	LOC110676642|XP_021701014.1|AAEG
OG0000553	LOC111594723|XP_023163922.2|DHYD, LOC111594692|XP_023163880.2|DHYD, LOC111594722|XP_023163920.2|DHYD	LOC5573859|XP_001654890.1|AAEG, LOC5573858|XP_001654889.1|AAEG, LOC5573855|XP_001654886.2|AAEG
OG0000554	LOC111605581|XP_023179953.2|DHYD, LOC111594453|XP_023163515.2|DHYD	LOC5573301|XP_021708251.1|AAEG
OG0000555	LOC111601060|XP_023173247.1|DHYD, LOC111604484|XP_023178339.1|DHYD	LOC5575012|XP_021710949.1|AAEG
OG0000556	LOC111598310|XP_023169272.1|DHYD, LOC111603437|XP_023176789.1|DHYD	LOC110681197|XP_021712666.1|AAEG, LOC5564890|XP_001649215.1|AAEG
OG0000557	LOC111604581|XP_023178452.2|DHYD, LOC111604564|XP_023178431.2|DHYD	LOC5568513|XP_001652336.1|AAEG
OG0000558	LOC111603017|XP_023176204.1|DHYD, LOC111598667|XP_023169787.2|DHYD	LOC5575971|XP_001662322.1|AAEG
OG0000559	LOC111601778|XP_023174299.2|DHYD, LOC111595083|XP_023164406.2|DHYD	LOC110681168|XP_021712631.1|AAEG, LOC5577241|XP_021709285.1|AAEG
OG0000560	LOC111597007|XP_023167279.1|DHYD, LOC111597006|XP_023167278.1|DHYD	LOC5563762|XP_021707462.1|AAEG
OG0000561	LOC111598714|XP_023169871.2|DHYD, LOC111598750|XP_023169918.2|DHYD	LOC110678585|XP_021707316.1|AAEG
OG0000562	LOC111593112|XP_023161480.2|DHYD, LOC115483767|XP_030081869.1|DHYD, LOC111592803|XP_023160979.1|DHYD	LOC5569968|XP_021710058.1|AAEG
OG0000566	LOC111602385|XP_023175176.1|DHYD, LOC111604753|XP_023178707.1|DHYD	LOC5579820|XP_001651051.1|AAEG
