Orthogroup	DHYD.longest_only	AEAL.longest_only
OG0002138	LOC111602851|XP_023175932.1|DHYD	LOC109416561|XP_019546185.3|AEAL, LOC109416543|XP_019546166.2|AEAL
OG0002139	LOC111596324|XP_030079962.1|DHYD	LOC109405079|XP_029710896.1|AEAL
OG0002140	LOC111603132|XP_023176374.2|DHYD	LOC109398423|XP_029710676.1|AEAL
OG0002141	LOC111600803|XP_023172861.1|DHYD	LOC109400383|XP_019528433.1|AEAL, LOC109398405|XP_019526300.1|AEAL
OG0002142	LOC111601983|XP_023174635.1|DHYD	LOC109432703|XP_029710954.1|AEAL, LOC115256464|XP_029710965.1|AEAL
OG0002143	LOC111599471|XP_023170910.2|DHYD	LOC115269819|XP_029734464.1|AEAL, LOC109409465|XP_019538451.2|AEAL, LOC115256471|XP_029710976.1|AEAL, LOC115256566|XP_029711182.1|AEAL, LOC109412985|XP_029736288.1|AEAL
OG0002144	LOC111595890|XP_023165587.2|DHYD	LOC109409483|XP_019538480.1|AEAL, LOC109397642|XP_029736274.1|AEAL
OG0002145	LOC111601449|XP_023173794.1|DHYD	LOC109432989|XP_019564906.1|AEAL, LOC115269579|XP_029734256.1|AEAL, LOC109397705|XP_019525563.1|AEAL
OG0002146	LOC111605592|XP_023179964.1|DHYD	LOC115253959|XP_029710181.1|AEAL, LOC109414087|XP_029710185.1|AEAL
OG0002148	LOC111598080|XP_023168894.2|DHYD	LOC109403530|XP_019531897.2|AEAL, LOC115260591|XP_029717441.1|AEAL
OG0002149	LOC111597923|XP_030081705.1|DHYD	LOC115264860|XP_029724755.1|AEAL, LOC109422960|XP_029717434.1|AEAL, LOC109403555|XP_029717407.1|AEAL
OG0002150	LOC111598117|XP_023168939.1|DHYD	LOC109422966|XP_029717424.1|AEAL, LOC109403567|XP_029717393.1|AEAL
OG0002151	LOC111592672|XP_023160804.1|DHYD	LOC109403568|XP_029717394.1|AEAL, LOC109422967|XP_019553412.2|AEAL
OG0002152	LOC111592937|XP_030080725.1|DHYD	LOC115269504|XP_029734147.1|AEAL, LOC109422825|XP_029734151.1|AEAL, LOC115260611|XP_029717502.1|AEAL, LOC115260636|XP_029717563.1|AEAL
OG0002153	LOC111592690|XP_023160825.2|DHYD, LOC111592691|XP_023160826.2|DHYD	LOC109422812|XP_029723052.1|AEAL, LOC109400888|XP_029717582.1|AEAL, LOC109400890|XP_029717516.1|AEAL
OG0002154	LOC111605112|XP_023179231.1|DHYD	LOC115260628|XP_029717547.1|AEAL, LOC109422801|XP_019553227.1|AEAL, LOC109421815|XP_019551916.1|AEAL
OG0002155	LOC111602000|XP_023174657.1|DHYD	LOC109425456|XP_019556274.2|AEAL, LOC115260961|XP_029718182.1|AEAL, LOC109412969|XP_019542172.2|AEAL
OG0002156	LOC111595337|XP_023164777.2|DHYD	LOC109431451|XP_019563200.2|AEAL, LOC109427678|XP_029717851.1|AEAL, LOC115260560|XP_029717336.1|AEAL
OG0002157	LOC111594627|XP_030080772.1|DHYD, LOC115483332|XP_030080650.1|DHYD	LOC109431463|XP_029717880.1|AEAL
OG0002158	LOC111603527|XP_023176931.2|DHYD	LOC109415571|XP_019545000.2|AEAL
OG0002159	LOC111603840|XP_023177377.1|DHYD	LOC109415590|XP_029717899.1|AEAL
OG0002160	LOC111601511|XP_023173874.2|DHYD	LOC115260910|XP_029718110.1|AEAL, LOC109415593|XP_019545034.2|AEAL
OG0002161	LOC111595976|XP_023165725.1|DHYD	LOC109417113|XP_019546784.1|AEAL, LOC109405961|XP_019534556.2|AEAL
OG0002162	LOC111601799|XP_023174344.2|DHYD	LOC109405955|XP_029729107.1|AEAL, LOC109406950|XP_029728642.1|AEAL
OG0002163	LOC111594282|XP_023163320.1|DHYD, LOC111593097|XP_023161463.1|DHYD	LOC109405962|XP_029729123.1|AEAL, LOC109406932|XP_029728673.1|AEAL
OG0002164	LOC111603016|XP_023176207.1|DHYD	LOC109412138|XP_019541329.2|AEAL
OG0002165	LOC111595924|XP_023165645.2|DHYD	LOC109412145|XP_019541339.2|AEAL
OG0002166	LOC111592913|XP_023161130.1|DHYD	LOC109431508|XP_019563280.1|AEAL
OG0002167	LOC111597987|XP_023168733.1|DHYD	LOC109431514|XP_019563288.2|AEAL
OG0002168	LOC111600075|XP_023171780.2|DHYD	LOC109404025|XP_019532466.2|AEAL
OG0002169	LOC111598675|XP_023169802.2|DHYD	LOC109405634|XP_019534250.2|AEAL
OG0002170	LOC111594140|XP_030080182.1|DHYD	LOC115269231|XP_029733621.1|AEAL, LOC109419457|XP_029733623.1|AEAL, LOC109423119|XP_029708011.1|AEAL
OG0002171	LOC111602739|XP_023175758.1|DHYD	LOC109419102|XP_019548870.2|AEAL
OG0002172	LOC111599589|XP_023171034.1|DHYD	LOC109397306|XP_019525181.1|AEAL, LOC109423199|XP_029729631.1|AEAL, LOC115254539|XP_029707966.1|AEAL
OG0002173	LOC111600888|XP_023172997.1|DHYD, LOC111601532|XP_023173936.1|DHYD	LOC115267000|XP_029729627.1|AEAL, LOC109423204|XP_029707961.1|AEAL, LOC109397302|XP_029712444.1|AEAL
OG0002174	LOC111601452|XP_023173797.2|DHYD	LOC115254535|XP_029707951.1|AEAL, LOC109397290|XP_029712407.1|AEAL, LOC109423210|XP_029729619.1|AEAL
OG0002175	LOC111601453|XP_023173798.1|DHYD	LOC115266999|XP_029729622.1|AEAL, LOC109423177|XP_029707955.1|AEAL, LOC109397291|XP_019525159.1|AEAL, LOC115258245|XP_029714174.1|AEAL
OG0002176	LOC111601502|XP_023173864.1|DHYD	LOC109397239|XP_019525111.2|AEAL
OG0002177	LOC111598604|XP_023169694.1|DHYD	LOC109423481|XP_019553999.1|AEAL, LOC109432158|XP_019564021.1|AEAL
OG0002178	LOC111598226|XP_023169153.2|DHYD	LOC109425435|XP_029713496.1|AEAL, LOC115263710|XP_029722815.1|AEAL, LOC115262275|XP_029720532.1|AEAL, LOC115263719|XP_029722830.1|AEAL
OG0002179	LOC111601350|XP_023173650.2|DHYD	LOC109430250|XP_029722714.1|AEAL
OG0002180	LOC111603233|XP_023176505.2|DHYD	LOC109430353|XP_029722918.1|AEAL
OG0002181	LOC115483039|XP_030079705.1|DHYD, LOC111594255|XP_023163244.1|DHYD	LOC109412455|XP_019541637.2|AEAL
OG0002182	LOC111594612|XP_023163763.2|DHYD	LOC115253587|XP_029707694.1|AEAL, LOC109400069|XP_029707661.1|AEAL
OG0002183	LOC111597978|XP_023168721.1|DHYD	LOC109399271|XP_019527254.2|AEAL, LOC109429086|XP_019560469.2|AEAL, LOC115254315|XP_029707582.1|AEAL, LOC109621635|XP_019931279.1|AEAL
OG0002184	LOC111593245|XP_023161667.1|DHYD	LOC109621573|XP_019931184.2|AEAL, LOC109400064|XP_019528077.2|AEAL
OG0002185	LOC111594967|XP_023164234.2|DHYD	LOC115254377|XP_029707733.1|AEAL, LOC109400080|XP_019528093.2|AEAL
OG0002186	LOC111602295|XP_023175064.2|DHYD	LOC109400056|XP_019528074.1|AEAL, LOC115260226|XP_029717018.1|AEAL, LOC109621569|XP_019931181.2|AEAL
OG0002187	LOC111599876|XP_023171462.1|DHYD	LOC109430224|XP_019561821.2|AEAL, LOC115257371|XP_029712746.1|AEAL, LOC109410080|XP_029712795.1|AEAL
OG0002188	LOC111600103|XP_023171832.1|DHYD	LOC109410076|XP_019539152.1|AEAL, LOC115257638|XP_029713324.1|AEAL
OG0002189	LOC111600826|XP_023172898.1|DHYD	LOC109429966|XP_029713118.1|AEAL, LOC115253993|XP_029713018.1|AEAL, LOC115257535|XP_029713121.1|AEAL
OG0002190	LOC111598274|XP_023169219.1|DHYD	LOC109430715|XP_029713413.1|AEAL, LOC109429732|XP_029726723.1|AEAL
OG0002191	LOC111605711|XP_023180165.2|DHYD	LOC109430737|XP_019562359.2|AEAL, LOC109429722|XP_029726726.1|AEAL, LOC115257509|XP_029713043.1|AEAL
OG0002192	LOC115482932|XP_030079128.1|DHYD, LOC111594367|XP_023163400.2|DHYD	LOC109623330|XP_029721189.1|AEAL, LOC109426920|XP_019558024.2|AEAL
OG0002193	LOC111601798|XP_023174343.2|DHYD	LOC109425392|XP_019556204.1|AEAL
OG0002194	LOC111603488|XP_023176854.1|DHYD	LOC115267008|XP_029729638.1|AEAL, LOC109399871|XP_019527903.2|AEAL, LOC109425377|XP_029729744.1|AEAL
OG0002195	LOC111596485|XP_023166514.2|DHYD	LOC115267044|XP_029729697.1|AEAL, LOC109399844|XP_029729686.1|AEAL, LOC109425353|XP_019556149.2|AEAL, LOC115267045|XP_029729698.1|AEAL
OG0002196	LOC111601347|XP_023173647.1|DHYD	LOC109415615|XP_029716428.1|AEAL, LOC109416905|XP_029716224.1|AEAL
OG0002197	LOC111596885|XP_023167103.2|DHYD, LOC115482997|XP_030079513.1|DHYD	LOC109417742|XP_029716104.1|AEAL, LOC109400529|XP_019528592.2|AEAL
OG0002198	LOC111602795|XP_023175837.2|DHYD	LOC109429334|XP_029715865.1|AEAL, LOC109401162|XP_029716539.1|AEAL
OG0002199	LOC111605428|XP_023179705.1|DHYD, LOC111605438|XP_023179721.2|DHYD	LOC109412570|XP_029715959.1|AEAL, LOC109397026|XP_019524896.2|AEAL, LOC109397016|XP_029715958.1|AEAL
OG0002200	LOC111600866|XP_023172956.1|DHYD	LOC109433542|XP_029716275.1|AEAL, LOC109412591|XP_029716183.1|AEAL
OG0002202	LOC111594506|XP_023163587.2|DHYD	LOC109622975|XP_029713509.1|AEAL, LOC109409074|XP_029713480.1|AEAL
OG0002203	LOC111597067|XP_023167365.2|DHYD	LOC109403600|XP_029730135.1|AEAL, LOC115262426|XP_029720677.1|AEAL, LOC109414766|XP_029730133.1|AEAL
OG0002204	LOC111598811|XP_023170003.1|DHYD	LOC115267359|XP_029730189.1|AEAL, LOC109416347|XP_019545918.2|AEAL
OG0002205	LOC111603304|XP_023176597.1|DHYD	LOC109416386|XP_019545972.2|AEAL, LOC109430007|XP_019561563.2|AEAL, LOC115267392|XP_029730237.1|AEAL, LOC115267395|XP_029730239.1|AEAL
OG0002206	LOC111603502|XP_023176877.2|DHYD	LOC115258242|XP_029714173.1|AEAL, LOC109623211|XP_029733779.1|AEAL, LOC115269315|XP_029733783.1|AEAL, LOC109415281|XP_019544703.2|AEAL
OG0002207	LOC111595898|XP_023165610.2|DHYD	LOC109411048|XP_019540032.1|AEAL, LOC109400268|XP_019528295.1|AEAL, LOC109411047|XP_019540031.2|AEAL
OG0002208	LOC111595362|XP_023164819.2|DHYD	LOC115266888|XP_029729352.1|AEAL, LOC109411045|XP_019540030.2|AEAL, LOC109400265|XP_029734082.1|AEAL, LOC115264165|XP_029723415.1|AEAL
OG0002209	LOC111596470|XP_023166490.2|DHYD	LOC115264148|XP_029723387.1|AEAL, LOC115264135|XP_029723360.1|AEAL, LOC109423636|XP_019554170.2|AEAL
OG0002210	LOC111595687|XP_030080629.1|DHYD	LOC109398580|XP_029714106.1|AEAL, LOC109423634|XP_029723339.1|AEAL, LOC115264139|XP_029723374.1|AEAL, LOC115264133|XP_029723349.1|AEAL, LOC115264142|XP_029723382.1|AEAL
OG0002211	LOC111605521|XP_023179850.1|DHYD	LOC109400248|XP_029723293.1|AEAL, LOC109423623|XP_029723318.1|AEAL
OG0002212	LOC111604273|XP_023178039.2|DHYD	LOC115254058|XP_029717996.1|AEAL, LOC115260814|XP_029717995.1|AEAL, LOC109405457|XP_029717119.1|AEAL, LOC109402442|XP_029732771.1|AEAL
OG0002213	LOC111600825|XP_023172897.1|DHYD	LOC115269183|XP_029733457.1|AEAL, LOC109405423|XP_019534033.1|AEAL, LOC109402447|XP_019530682.1|AEAL
OG0002214	LOC111605460|XP_023179745.2|DHYD	LOC109402950|XP_019531235.2|AEAL, LOC109416092|XP_019545605.2|AEAL
OG0002215	LOC111602008|XP_023174666.2|DHYD	LOC109406392|XP_029723522.1|AEAL, LOC109423654|XP_029723532.1|AEAL
OG0002216	LOC111597048|XP_030082026.1|DHYD	LOC109432052|XP_029723608.1|AEAL, LOC109404013|XP_029723675.1|AEAL
OG0002217	LOC111595685|XP_023165294.2|DHYD	LOC109405208|XP_019533769.2|AEAL
OG0002218	LOC111596820|XP_023166955.2|DHYD	LOC109432048|XP_019532443.2|AEAL
OG0002219	LOC111605547|XP_023179877.2|DHYD	LOC115264234|XP_029723655.1|AEAL
OG0002220	LOC111605498|XP_023179816.2|DHYD	LOC109432041|XP_029723883.1|AEAL, LOC109432033|XP_019563879.2|AEAL
OG0002221	LOC111595656|XP_023165247.2|DHYD	LOC109409660|XP_029726005.1|AEAL, LOC115265367|XP_029725982.1|AEAL
OG0002222	LOC111604082|XP_023177734.1|DHYD	LOC109409670|XP_029726002.1|AEAL, LOC109406068|XP_029725978.1|AEAL
OG0002223	LOC111605288|XP_023179508.1|DHYD	LOC109409682|XP_029725971.1|AEAL, LOC109406052|XP_029726009.1|AEAL
OG0002224	LOC111604174|XP_030081415.1|DHYD	LOC109409684|XP_029725970.1|AEAL, LOC109406048|XP_029726015.1|AEAL
OG0002225	LOC111603070|XP_023176296.2|DHYD	LOC109404745|XP_029726135.1|AEAL
OG0002226	LOC111597645|XP_023168219.1|DHYD	LOC109410099|XP_019539184.2|AEAL
OG0002227	LOC111605706|XP_030080884.1|DHYD, LOC115482833|XP_030078927.1|DHYD	LOC115265424|XP_029726304.1|AEAL, LOC109622509|XP_029726305.1|AEAL, LOC109408817|XP_029716641.1|AEAL
OG0002228	LOC111594154|XP_023163103.1|DHYD	LOC109621310|XP_029726341.1|AEAL, LOC109408584|XP_029733122.1|AEAL
OG0002229	LOC111593896|XP_023162733.2|DHYD	LOC109408654|XP_029726355.1|AEAL
OG0002230	LOC111605264|XP_023179470.2|DHYD	LOC109408557|XP_029733135.1|AEAL, LOC115268988|XP_029733139.1|AEAL, LOC109622493|XP_029726357.1|AEAL
OG0002231	LOC111593798|XP_023162587.2|DHYD	LOC115257528|XP_029713106.1|AEAL, LOC109423370|XP_019553901.2|AEAL
OG0002232	LOC111593327|XP_023161807.1|DHYD	LOC109623143|XP_019933185.2|AEAL, LOC109623152|XP_019933198.2|AEAL
OG0002233	LOC111598706|XP_023169859.1|DHYD	LOC109413983|XP_019543258.2|AEAL
OG0002235	LOC111593755|XP_030081275.1|DHYD	LOC109418028|XP_029726616.1|AEAL, LOC109622785|XP_029711997.1|AEAL
OG0002236	LOC111600106|XP_023171836.1|DHYD	LOC109418106|XP_029716549.1|AEAL, LOC109413127|XP_029726746.1|AEAL
OG0002237	LOC111600104|XP_023171833.2|DHYD	LOC109418107|XP_029716558.1|AEAL, LOC109413107|XP_029726748.1|AEAL
OG0002238	LOC111604657|XP_023178594.2|DHYD	LOC109397786|XP_029733578.1|AEAL
OG0002239	LOC111593555|XP_023162179.1|DHYD	LOC109419721|XP_019549532.1|AEAL, LOC109398638|XP_019526570.1|AEAL
OG0002240	LOC111603847|XP_023177399.1|DHYD	LOC109419705|XP_029709832.1|AEAL, LOC109398274|XP_019526143.2|AEAL
OG0002241	LOC111605680|XP_023180116.1|DHYD	LOC109419674|XP_019549454.2|AEAL, LOC115265750|XP_029727559.1|AEAL
OG0002243	LOC111595978|XP_023165730.2|DHYD	LOC115260850|XP_029718037.1|AEAL, LOC109409986|XP_019539057.2|AEAL
OG0002244	LOC111604777|XP_023178752.2|DHYD	LOC109420213|XP_019550082.2|AEAL, LOC109409980|XP_029715797.1|AEAL
OG0002245	LOC111603035|XP_023176231.2|DHYD	LOC109420236|XP_029725779.1|AEAL, LOC109397351|XP_029725794.1|AEAL
OG0002246	LOC111605736|XP_030080948.1|DHYD	LOC109420166|XP_029725764.1|AEAL, LOC109397311|XP_029725744.1|AEAL
OG0002247	LOC111600076|XP_023171783.1|DHYD	LOC109402590|XP_019530834.2|AEAL
OG0002248	LOC111595271|XP_023164686.2|DHYD	LOC109417270|XP_029725741.1|AEAL, LOC109406422|XP_029725716.1|AEAL
OG0002249	LOC111601563|XP_023173977.1|DHYD	LOC109414720|XP_019544101.1|AEAL, LOC115265296|XP_029725649.1|AEAL, LOC109427302|XP_029725650.1|AEAL
OG0002250	LOC111602128|XP_023174844.2|DHYD	LOC115267292|XP_029730066.1|AEAL, LOC109410520|XP_029725554.1|AEAL
OG0002251	LOC111602085|XP_023174787.1|DHYD	LOC109426672|XP_019557749.1|AEAL, LOC115265276|XP_029725587.1|AEAL, LOC115264036|XP_029723201.1|AEAL
OG0002252	LOC111602115|XP_023174831.2|DHYD	LOC109426637|XP_019557710.2|AEAL, LOC109417608|XP_029727509.1|AEAL
OG0002253	LOC111604085|XP_023177743.2|DHYD	LOC109417779|XP_029725534.1|AEAL, LOC109426682|XP_029725544.1|AEAL
OG0002254	LOC111594825|XP_023164058.1|DHYD	LOC109417615|XP_029725485.1|AEAL
OG0002255	LOC111604737|XP_023178682.1|DHYD	LOC109417839|XP_019547558.2|AEAL
OG0002256	LOC111604080|XP_030081286.1|DHYD	LOC109417951|XP_029727476.1|AEAL, LOC115257221|XP_029712523.1|AEAL, LOC109426839|XP_029725396.1|AEAL
OG0002257	LOC111605261|XP_023179467.2|DHYD	LOC109417975|XP_029728213.1|AEAL, LOC109426855|XP_029732512.1|AEAL
OG0002258	LOC111601029|XP_023173206.2|DHYD	LOC109417992|XP_029732384.1|AEAL, LOC109621930|XP_019931682.2|AEAL
OG0002259	LOC111596523|XP_030079580.1|DHYD	LOC109417936|XP_029732491.1|AEAL, LOC109417994|XP_029732393.1|AEAL, LOC109621924|XP_029732386.1|AEAL
OG0002260	LOC111604465|XP_023178315.2|DHYD	LOC115268514|XP_029732466.1|AEAL, LOC109406026|XP_029732398.1|AEAL, LOC109418001|XP_029732394.1|AEAL
OG0002261	LOC111605067|XP_023179166.2|DHYD	LOC109403655|XP_029735114.1|AEAL, LOC109403654|XP_019532014.1|AEAL
OG0002263	LOC111596940|XP_023167160.1|DHYD	LOC109407927|XP_019536667.1|AEAL, LOC109413862|XP_029732340.1|AEAL
OG0002264	LOC111604081|XP_023177733.2|DHYD	LOC109405140|XP_019533693.2|AEAL
OG0002265	LOC111592965|XP_023161225.1|DHYD	LOC109410793|XP_019539874.2|AEAL
OG0002266	LOC111605624|XP_023180044.1|DHYD	LOC109404951|XP_029735001.1|AEAL, LOC109400616|XP_029735015.1|AEAL, LOC115270126|XP_029735070.1|AEAL, LOC115270128|XP_029735075.1|AEAL
OG0002267	LOC111592740|XP_023160906.1|DHYD	LOC109400684|XP_019528725.2|AEAL, LOC115270088|XP_029734914.1|AEAL, LOC115254247|XP_029734929.1|AEAL
OG0002268	LOC111601675|XP_023174142.1|DHYD	LOC115270092|XP_029734916.1|AEAL, LOC109400649|XP_029734931.1|AEAL, LOC109404580|XP_019533021.2|AEAL
OG0002269	LOC111599941|XP_023171558.2|DHYD	LOC115269977|XP_029734705.1|AEAL, LOC115265078|XP_029725149.1|AEAL
OG0002270	LOC111594034|XP_023162915.2|DHYD	LOC109430547|XP_029716894.1|AEAL
OG0002271	LOC111599814|XP_023171369.2|DHYD	LOC109415881|XP_019932697.2|AEAL, LOC109622621|XP_029712527.1|AEAL
OG0002272	LOC111595282|XP_023164703.1|DHYD	LOC109416729|XP_019546327.1|AEAL, LOC115254100|XP_029721898.1|AEAL, LOC115263107|XP_029721881.1|AEAL
OG0002273	LOC111593544|XP_023162134.1|DHYD	LOC115263250|XP_029722167.1|AEAL, LOC109407385|XP_029722197.1|AEAL, LOC109415948|XP_029722154.1|AEAL
OG0002274	LOC111594922|XP_030081211.1|DHYD	LOC109419413|XP_029722137.1|AEAL, LOC109407441|XP_029722088.1|AEAL, LOC115263249|XP_029722161.1|AEAL, LOC115263368|XP_029722526.1|AEAL
OG0002275	LOC111602913|XP_023176024.2|DHYD	LOC109424157|XP_029722011.1|AEAL, LOC109430833|XP_029722024.1|AEAL
OG0002276	LOC111592456|XP_023160413.2|DHYD	LOC109430907|XP_019562550.2|AEAL, LOC115263178|XP_029721969.1|AEAL, LOC115263184|XP_029721980.1|AEAL, LOC115263171|XP_029721961.1|AEAL
OG0002277	LOC111592449|XP_023160402.1|DHYD	LOC109431677|XP_019563481.1|AEAL
OG0002278	LOC111604776|XP_023178750.2|DHYD	LOC109397949|XP_029719548.1|AEAL, LOC109431607|XP_029730328.1|AEAL, LOC115261799|XP_029719545.1|AEAL, LOC115267489|XP_029730366.1|AEAL
OG0002279	LOC111597493|XP_023168019.1|DHYD	LOC115267504|XP_029730441.1|AEAL, LOC109398044|XP_029730350.1|AEAL, LOC109431683|XP_029730337.1|AEAL
OG0002280	LOC111594881|XP_023164135.2|DHYD	LOC109431655|XP_029730342.1|AEAL
OG0002281	LOC111605666|XP_023180098.2|DHYD	LOC115267621|XP_029730624.1|AEAL, LOC109431688|XP_019563499.2|AEAL, LOC115267609|XP_029730598.1|AEAL
OG0002282	LOC111595300|XP_023164723.2|DHYD	LOC109398065|XP_019525973.2|AEAL
OG0002283	LOC111605260|XP_023179466.2|DHYD	LOC109399443|XP_029730631.1|AEAL, LOC109398118|XP_029730550.1|AEAL
OG0002284	LOC111593295|XP_023161743.1|DHYD	LOC115267575|XP_029730512.1|AEAL, LOC109398015|XP_019525900.1|AEAL
OG0002285	LOC111593416|XP_023161926.2|DHYD	LOC115270392|XP_029735812.1|AEAL, LOC109403077|XP_019531359.2|AEAL, LOC115259999|XP_029716697.1|AEAL
OG0002286	LOC111593911|XP_023162754.2|DHYD	LOC115254000|XP_029713825.1|AEAL, LOC109412526|XP_019541694.2|AEAL
OG0002287	LOC111594033|XP_023162913.2|DHYD	LOC109411069|XP_029736017.1|AEAL, LOC109420856|XP_029735935.1|AEAL
OG0002288	LOC111599778|XP_023171313.2|DHYD	LOC109420858|XP_019550876.2|AEAL, LOC109411068|XP_029736012.1|AEAL
OG0002289	LOC111605170|XP_023179326.1|DHYD	LOC109401025|XP_029735943.1|AEAL, LOC109420869|XP_019550899.2|AEAL
OG0002290	LOC111602260|XP_023175022.2|DHYD	LOC109430645|XP_019562284.2|AEAL, LOC109423806|XP_019554383.1|AEAL
OG0002291	LOC111599945|XP_023171564.1|DHYD	LOC109423813|XP_029735409.1|AEAL, LOC109430616|XP_029735435.1|AEAL
OG0002292	LOC111599942|XP_023171559.1|DHYD	LOC115270289|XP_029735482.1|AEAL, LOC109430619|XP_029735511.1|AEAL
OG0002293	LOC111600001|XP_023171671.2|DHYD	LOC109423753|XP_019554301.2|AEAL, LOC109414259|XP_019543618.2|AEAL
OG0002294	LOC111596259|XP_023166162.1|DHYD	LOC109423740|XP_019554279.2|AEAL, LOC109414246|XP_019543602.2|AEAL
OG0002295	LOC111602338|XP_023175111.1|DHYD	LOC109403746|XP_029709909.1|AEAL
OG0002296	LOC111603874|XP_023177449.2|DHYD	LOC109421801|XP_019551899.2|AEAL
OG0002297	LOC111602985|XP_023176148.2|DHYD	LOC109414457|XP_019543832.1|AEAL, LOC115266329|XP_029728280.1|AEAL, LOC109622265|XP_029728161.1|AEAL
OG0002298	LOC111600034|XP_023171720.1|DHYD	LOC109414431|XP_029732967.1|AEAL, LOC115266339|XP_029728304.1|AEAL
OG0002299	LOC111593196|XP_023161588.1|DHYD	LOC109414429|XP_019543790.1|AEAL, LOC109622536|XP_029732969.1|AEAL
OG0002300	LOC111602223|XP_023174970.2|DHYD	LOC109428278|XP_029728476.1|AEAL, LOC109397796|XP_029728316.1|AEAL, LOC115263960|XP_029723122.1|AEAL, LOC115266385|XP_029728473.1|AEAL, LOC115266381|XP_029728472.1|AEAL
OG0002301	LOC111592510|XP_023160508.2|DHYD	LOC115258271|XP_029714204.1|AEAL, LOC109427908|XP_029728376.1|AEAL, LOC109428225|XP_029714343.1|AEAL, LOC115258317|XP_029714262.1|AEAL
OG0002302	LOC111603743|XP_023177229.2|DHYD	LOC115254026|XP_029715311.1|AEAL, LOC115259146|XP_029715524.1|AEAL, LOC109427864|XP_029715428.1|AEAL
OG0002303	LOC111593483|XP_023162012.1|DHYD, LOC111593125|XP_023161494.2|DHYD	LOC109406191|XP_029730920.1|AEAL, LOC109400867|XP_019528896.1|AEAL
OG0002304	LOC111598991|XP_023170262.1|DHYD	LOC115258551|XP_029714572.1|AEAL, LOC109622896|XP_029714419.1|AEAL, LOC115258243|XP_029714175.1|AEAL
OG0002305	LOC111592277|XP_023160146.2|DHYD	LOC109622876|XP_019932887.2|AEAL, LOC115258013|XP_029713870.1|AEAL
OG0002306	LOC111603953|XP_023177556.2|DHYD	LOC115257984|XP_029713826.1|AEAL, LOC115258034|XP_029713888.1|AEAL, LOC109622864|XP_019932872.2|AEAL
OG0002307	LOC111596297|XP_023166221.2|DHYD	LOC115255964|XP_029710054.1|AEAL, LOC109400958|XP_029712853.1|AEAL, LOC115257432|XP_029712874.1|AEAL, LOC109401076|XP_029713061.1|AEAL
OG0002308	LOC111603880|XP_023177462.2|DHYD	LOC109401379|XP_029711758.1|AEAL, LOC109432898|XP_029711973.1|AEAL
OG0002309	LOC111603932|XP_023177526.1|DHYD	LOC115261809|XP_029719553.1|AEAL, LOC109433039|XP_019564964.1|AEAL
OG0002310	LOC111599187|XP_030080347.1|DHYD	LOC109420544|XP_029710543.1|AEAL, LOC109621254|XP_029710641.1|AEAL
OG0002311	LOC111594348|XP_023163372.2|DHYD	LOC109425214|XP_029724846.1|AEAL
OG0002313	LOC111602589|XP_023175514.1|DHYD	LOC115253565|XP_029734367.1|AEAL, LOC109425089|XP_029725015.1|AEAL
OG0002314	LOC111602277|XP_023175041.2|DHYD	LOC115258458|XP_029714418.1|AEAL, LOC109429411|XP_019560907.2|AEAL
OG0002315	LOC111595473|XP_023165006.2|DHYD	LOC109419028|XP_019548792.1|AEAL
OG0002316	LOC111596128|XP_023165967.1|DHYD	LOC109425118|XP_019555857.2|AEAL, LOC115266964|XP_029729542.1|AEAL, LOC109429382|XP_019560837.2|AEAL
OG0002317	LOC111604313|XP_023178131.1|DHYD	LOC109413695|XP_029729448.1|AEAL
OG0002318	LOC111599332|XP_023170721.2|DHYD	LOC109419065|XP_029729417.1|AEAL, LOC109408111|XP_029729382.1|AEAL
OG0002319	LOC111603913|XP_023177504.1|DHYD	LOC109419070|XP_019548826.2|AEAL
OG0002320	LOC111593382|XP_023161872.2|DHYD	LOC109419100|XP_019548865.2|AEAL, LOC115262905|XP_029721655.1|AEAL, LOC109409325|XP_019538319.2|AEAL
OG0002321	LOC111598013|XP_023168780.1|DHYD	LOC115258589|XP_029714704.1|AEAL, LOC109409318|XP_029714773.1|AEAL, LOC109419106|XP_029721666.1|AEAL
OG0002322	LOC111600374|XP_023172220.2|DHYD	LOC115258593|XP_029714708.1|AEAL, LOC109409301|XP_029718139.1|AEAL, LOC115258648|XP_029714815.1|AEAL
OG0002323	LOC111605568|XP_023179912.1|DHYD	LOC109622810|XP_019932811.2|AEAL, LOC115258600|XP_029714742.1|AEAL, LOC109397528|XP_019525373.2|AEAL
OG0002324	LOC111605097|XP_023179204.2|DHYD	LOC109398624|XP_029715039.1|AEAL
OG0002325	LOC111597517|XP_023168057.1|DHYD	LOC109398702|XP_029715228.1|AEAL, LOC115258909|XP_029715231.1|AEAL, LOC109404843|XP_029715250.1|AEAL
OG0002326	LOC111597595|XP_023168164.1|DHYD	LOC115258651|XP_029714818.1|AEAL, LOC115258916|XP_029715253.1|AEAL, LOC109404860|XP_029725189.1|AEAL
OG0002327	LOC111600242|XP_023172050.2|DHYD	LOC109398703|XP_029715053.1|AEAL, LOC109404878|XP_029725171.1|AEAL
OG0002328	LOC111592577|XP_023160656.2|DHYD	LOC109398714|XP_029708249.1|AEAL, LOC109406928|XP_029723176.1|AEAL
OG0002329	LOC111599094|XP_023170403.2|DHYD, LOC111599108|XP_023170429.1|DHYD	LOC109407009|XP_029714678.1|AEAL
