Orthogroup	DHYD.longest_only	CQUI.longest_only
OG0000691	LOC111600350|XP_023172189.1|DHYD, LOC115483408|XP_030081060.1|DHYD, LOC111592340|XP_023160236.1|DHYD	LOC6038874|XP_038122076.1|CQUI
OG0000692	LOC111604703|XP_023178644.2|DHYD	LOC6050833|XP_038117216.1|CQUI, LOC6050834|XP_001867362.2|CQUI
OG0000694	LOC111604055|XP_023177683.2|DHYD, LOC111592784|XP_023160955.1|DHYD	LOC6047733|XP_038120382.1|CQUI
OG0000695	LOC111602263|XP_023175026.1|DHYD, LOC111602370|XP_023175153.2|DHYD	LOC6043622|XP_038113841.1|CQUI
OG0000696	LOC111595766|XP_023165416.1|DHYD	LOC6034106|XP_001844471.1|CQUI
OG0000697	LOC111593002|XP_023161295.1|DHYD, LOC111596362|XP_023166327.1|DHYD	LOC6037877|XP_001847743.2|CQUI
OG0000698	LOC111605526|XP_023179855.2|DHYD, LOC111605545|XP_023179875.2|DHYD	LOC6054309|XP_038113357.1|CQUI
OG0000699	LOC111600984|XP_023173147.1|DHYD, LOC111600074|XP_023171782.2|DHYD	LOC6031882|XP_038111805.1|CQUI
OG0000700	LOC111599175|XP_023170526.2|DHYD, LOC111596079|XP_023165904.2|DHYD	LOC6045669|XP_038108368.1|CQUI
OG0000701	LOC111595753|XP_023165383.1|DHYD, LOC111600219|XP_023172009.2|DHYD	LOC6050972|XP_038112604.1|CQUI
OG0000702	LOC111604979|XP_023179045.2|DHYD, LOC111604983|XP_030078632.1|DHYD	LOC6052432|XP_038117603.1|CQUI
OG0000703	LOC111600361|XP_023172203.2|DHYD, LOC111595619|XP_023165193.2|DHYD	LOC6035033|XP_038122275.1|CQUI
OG0000704	LOC111594254|XP_030081774.1|DHYD, LOC111597912|XP_023168621.2|DHYD	LOC6038164|XP_038120107.1|CQUI
OG0000705	LOC111603688|XP_023177138.1|DHYD	LOC6052245|XP_038115015.1|CQUI
OG0000706	LOC111600594|XP_023172555.2|DHYD, LOC111597324|XP_030080082.1|DHYD	LOC6046887|XP_038117985.1|CQUI
OG0000707	LOC111593471|XP_023162004.1|DHYD, LOC111594052|XP_023162935.1|DHYD	LOC6045804|XP_038117453.1|CQUI
OG0000708	LOC111594167|XP_023163121.2|DHYD, LOC111605158|XP_030079396.1|DHYD	LOC6037569|XP_038120474.1|CQUI
OG0000709	LOC111601979|XP_023174628.2|DHYD, LOC111596813|XP_023166947.1|DHYD	LOC6039218|XP_038117369.1|CQUI
OG0000710	LOC111602767|XP_023175798.1|DHYD, LOC111605361|XP_023179608.1|DHYD	LOC6031510|XP_001842300.1|CQUI
OG0000711	LOC111597480|XP_023167999.1|DHYD, LOC111602032|XP_023174699.1|DHYD	LOC6036869|XP_001846852.1|CQUI
OG0000712	LOC111602079|XP_023174779.1|DHYD, LOC111602078|XP_023174777.1|DHYD	LOC119766789|XP_038108506.1|CQUI, LOC6045985|XP_038106057.1|CQUI
OG0000713	LOC111594533|XP_023163638.2|DHYD, LOC111598556|XP_023169618.1|DHYD	LOC6049870|XP_001866561.1|CQUI
OG0000714	LOC111603141|XP_023176384.2|DHYD, LOC111599537|XP_023170964.2|DHYD	LOC6045584|XP_038113889.1|CQUI
OG0000715	LOC111603330|XP_023176632.2|DHYD	LOC119767953|XP_038113953.1|CQUI
OG0000716	LOC111591885|XP_023159557.1|DHYD, LOC111604303|XP_023178102.1|DHYD	LOC6040190|XP_001849640.2|CQUI
OG0000724	LOC111598361|XP_023169342.1|DHYD, LOC111597395|XP_023167839.1|DHYD	LOC6042711|XP_001870728.1|CQUI
OG0000726	LOC111603439|XP_023176791.2|DHYD, LOC111603423|XP_023176776.2|DHYD	LOC6035562|XP_038104583.1|CQUI
OG0000727	LOC111596208|XP_023166089.2|DHYD, LOC111596201|XP_030080823.1|DHYD	LOC6032646|XP_001843213.2|CQUI, LOC6032648|XP_038122826.1|CQUI
OG0000730	LOC111603318|XP_030079654.1|DHYD, LOC111596307|XP_030080540.1|DHYD	LOC6031123|XP_001841967.1|CQUI
OG0000731	LOC111599468|XP_023170909.2|DHYD, LOC111597709|XP_023168317.2|DHYD	LOC6043928|XP_001861511.1|CQUI
OG0000732	LOC111594874|XP_023164122.1|DHYD, LOC111594873|XP_023164119.1|DHYD	LOC6041983|XP_001851156.1|CQUI
OG0000733	LOC111595239|XP_023164645.2|DHYD, LOC111601687|XP_023174161.1|DHYD	LOC6047563|XP_001864598.2|CQUI
OG0000734	LOC111597535|XP_023168081.2|DHYD	LOC6052234|XP_038116578.1|CQUI
OG0000735	LOC111593485|XP_023162014.1|DHYD, LOC111603872|XP_023177447.2|DHYD	LOC6044469|XP_001861983.1|CQUI
OG0000736	LOC111603989|XP_030079038.1|DHYD, LOC111604008|XP_023177632.2|DHYD	LOC6037099|XP_038112503.1|CQUI
OG0000738	LOC111599329|XP_023170718.1|DHYD, LOC111603947|XP_023177545.2|DHYD	LOC6036448|XP_001846499.1|CQUI
OG0000739	LOC111599568|XP_023171008.1|DHYD, LOC111599567|XP_023171005.1|DHYD	LOC6036343|XP_038110352.1|CQUI
OG0000740	LOC111602803|XP_030080183.1|DHYD	LOC6045778|XP_038107229.1|CQUI
OG0000740	LOC111592038|XP_030081565.1|DHYD	LOC6038854|XP_038113339.1|CQUI
OG0000741	LOC111595576|XP_030080375.1|DHYD, LOC111594076|XP_030080042.1|DHYD	LOC6038156|XP_038115491.1|CQUI, LOC6038158|XP_001847991.2|CQUI
OG0000742	LOC111593044|XP_023161381.2|DHYD, LOC111593026|XP_023161346.2|DHYD	LOC6046871|XP_038115688.1|CQUI
OG0000743	LOC111595385|XP_023164852.2|DHYD, LOC111594398|XP_023163437.2|DHYD	LOC6050273|XP_001866910.2|CQUI
OG0000744	LOC111600028|XP_023171711.2|DHYD, LOC115483369|XP_030080936.1|DHYD, LOC111596984|XP_023167236.2|DHYD	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI
OG0000746	LOC111604126|XP_023177811.1|DHYD	LOC6043117|XP_001855912.2|CQUI
OG0000753	LOC111601406|XP_023173732.2|DHYD, LOC111600487|XP_023172382.2|DHYD	LOC6048959|XP_038122824.1|CQUI
OG0000754	LOC111598326|XP_023169292.2|DHYD, LOC111600192|XP_023171969.2|DHYD	LOC6049897|XP_001866577.2|CQUI
OG0000756	LOC111600842|XP_023172915.1|DHYD	LOC6046145|XP_001863379.2|CQUI
OG0000757	LOC111594214|XP_023163181.1|DHYD, LOC111604493|XP_023178352.1|DHYD	LOC6046554|XP_038118070.1|CQUI
OG0000758	LOC111604669|XP_023178599.2|DHYD, LOC111604667|XP_023178596.1|DHYD	LOC6040607|XP_038119298.1|CQUI
OG0000761	LOC111592650|XP_023160762.2|DHYD, LOC111592651|XP_023160767.2|DHYD	LOC6033760|XP_038107373.1|CQUI
OG0000762	LOC111598979|XP_023170247.1|DHYD, LOC111599345|XP_023170743.2|DHYD	LOC6037908|XP_001847768.1|CQUI
OG0000764	LOC111605326|XP_030080107.1|DHYD	LOC6039471|XP_038122347.1|CQUI
OG0000765	LOC111592450|XP_023160403.1|DHYD, LOC111601888|XP_023174498.2|DHYD	LOC6049633|XP_038120394.1|CQUI
OG0000766	LOC111593770|XP_023162558.2|DHYD, LOC111598124|XP_023168951.1|DHYD	LOC6046669|XP_001863836.1|CQUI
OG0000767	LOC111603555|XP_023176956.2|DHYD, LOC111605085|XP_023179189.2|DHYD	LOC6033818|XP_001844213.2|CQUI
OG0000768	LOC111592326|XP_023160219.1|DHYD	LOC6037757|XP_038118780.1|CQUI
OG0000769	LOC111602937|XP_030080831.1|DHYD, LOC111596866|XP_023167077.1|DHYD	LOC6036915|XP_001846890.2|CQUI
OG0000770	LOC111595314|XP_023164737.2|DHYD	LOC119766679|XP_038107821.1|CQUI, LOC6032313|XP_001842945.1|CQUI
OG0000771	LOC111601570|XP_023173987.1|DHYD	LOC6037662|XP_038113592.1|CQUI
OG0000778	LOC111598269|XP_023169214.2|DHYD, LOC111598537|XP_023169593.2|DHYD	LOC6038198|XP_038117770.1|CQUI
OG0000779	LOC111603369|XP_023176688.1|DHYD	LOC6051382|XP_038104144.1|CQUI, LOC6051383|XP_038115271.1|CQUI, LOC6041720|XP_038104033.1|CQUI, LOC6044161|XP_001861710.2|CQUI, LOC6044291|XP_038121588.1|CQUI
OG0000780	LOC115483424|XP_030081224.1|DHYD, LOC111600027|XP_030081223.1|DHYD	LOC6044209|XP_038104803.1|CQUI, LOC6044211|XP_038104434.1|CQUI, LOC6044213|XP_038122683.1|CQUI
OG0000781	LOC111605606|XP_023179989.1|DHYD, LOC111597617|XP_023168184.2|DHYD	LOC6037941|XP_038110485.1|CQUI
OG0000782	LOC111599810|XP_023171364.1|DHYD, LOC111596880|XP_023167097.1|DHYD	LOC6034796|XP_038114655.1|CQUI
OG0000783	LOC111597765|XP_023168390.1|DHYD, LOC111603539|XP_023176981.1|DHYD	LOC6034787|XP_001845060.1|CQUI
OG0000784	LOC111605186|XP_023179351.2|DHYD, LOC111601828|XP_023174422.1|DHYD	LOC6052698|XP_038104428.1|CQUI
OG0000785	LOC111599617|XP_023171077.2|DHYD	LOC6046529|XP_001863710.2|CQUI, LOC6046527|XP_001863709.2|CQUI
OG0000786	LOC111603492|XP_023176864.1|DHYD	LOC6037507|XP_038107901.1|CQUI
OG0000787	LOC111605676|XP_023180110.2|DHYD	LOC6035614|XP_001845763.1|CQUI
OG0000788	LOC111602901|XP_023176006.1|DHYD	LOC6045925|XP_001863200.1|CQUI
OG0000789	LOC111602289|XP_023175057.2|DHYD	LOC6047537|XP_001864587.2|CQUI
OG0000790	LOC111595996|XP_023165763.1|DHYD, LOC111595995|XP_023165760.1|DHYD	LOC119767740|XP_038113035.1|CQUI
OG0000791	LOC111604253|XP_023178009.1|DHYD	LOC6036471|XP_001846521.1|CQUI
OG0000792	LOC111595832|XP_023165507.2|DHYD	LOC119767396|XP_038111828.1|CQUI, LOC6046623|XP_001863795.2|CQUI
OG0000793	LOC111596696|XP_023166780.1|DHYD	LOC6046063|XP_001863318.1|CQUI
OG0000794	LOC111593988|XP_023162847.2|DHYD	LOC6050901|XP_001867420.2|CQUI, LOC6050899|XP_001867422.2|CQUI
OG0000795	LOC111604041|XP_023177664.1|DHYD, LOC111598502|XP_023169536.2|DHYD	LOC6034049|XP_001844428.2|CQUI
OG0000796	LOC111602793|XP_023175834.1|DHYD, LOC111598156|XP_023169009.1|DHYD	LOC6036713|XP_001846717.2|CQUI
OG0000797	LOC111603429|XP_023176782.1|DHYD	LOC6037066|XP_001847023.1|CQUI, LOC6046197|XP_001863428.1|CQUI
OG0000798	LOC111599738|XP_023171266.1|DHYD, LOC111599668|XP_023171141.2|DHYD	LOC6052446|XP_038107346.1|CQUI
OG0000799	LOC111602034|XP_023174701.1|DHYD	LOC6054174|XP_038108545.1|CQUI
OG0000801	LOC111593229|XP_023161653.1|DHYD	LOC6046949|XP_001864068.1|CQUI
OG0000802	LOC111605690|XP_030079411.1|DHYD, LOC111602509|XP_023175400.2|DHYD, LOC111603624|XP_023177102.2|DHYD	LOC6040365|XP_001849765.2|CQUI, LOC6051527|XP_038106125.1|CQUI, LOC6040366|XP_038110323.1|CQUI
OG0000803	LOC111601618|XP_023174056.2|DHYD, LOC111597531|XP_023168076.1|DHYD	LOC6036009|XP_001846113.1|CQUI
OG0000811	LOC111598739|XP_023169906.2|DHYD, LOC111605280|XP_023179492.2|DHYD	LOC6032795|XP_001843334.2|CQUI
OG0000812	LOC111600182|XP_023171953.1|DHYD	LOC6031005|XP_038117373.1|CQUI
OG0000813	LOC111599215|XP_030080392.1|DHYD	LOC6036541|XP_001846586.2|CQUI
OG0000814	LOC111594183|XP_023163134.1|DHYD	LOC6042898|XP_038118763.1|CQUI
OG0000815	LOC111599074|XP_023170372.2|DHYD	LOC6031268|XP_038112299.1|CQUI, LOC6031267|XP_001842093.2|CQUI, LOC119766437|XP_038106914.1|CQUI, LOC6031271|XP_038111478.1|CQUI, LOC6031270|XP_038110981.1|CQUI
OG0000816	LOC111602802|XP_023175862.2|DHYD	LOC6036458|XP_001846508.1|CQUI
OG0000817	LOC111600289|XP_023172109.1|DHYD, LOC111600290|XP_023172110.2|DHYD	LOC6041737|XP_001850957.1|CQUI
OG0000819	LOC111602423|XP_030079873.1|DHYD, LOC111602412|XP_023175211.1|DHYD	LOC6051147|XP_038117088.1|CQUI
OG0000820	LOC111601041|XP_023173262.1|DHYD, LOC111600099|XP_023171828.1|DHYD	LOC6038086|XP_038108938.1|CQUI
OG0000821	LOC111596653|XP_023166726.2|DHYD, LOC111595515|XP_023165063.1|DHYD	LOC6036623|XP_001846651.2|CQUI
OG0000822	LOC111599008|XP_023170290.1|DHYD	LOC6036736|XP_001846735.2|CQUI
OG0000830	LOC111593439|XP_023161958.2|DHYD	LOC6040678|XP_001850034.1|CQUI, LOC6040677|XP_001850032.1|CQUI, LOC6040679|XP_001850033.2|CQUI
OG0000831	LOC111594304|XP_023163310.2|DHYD	LOC6032985|XP_038104688.1|CQUI, LOC6032982|XP_001843494.2|CQUI, LOC6039734|XP_001849286.2|CQUI
OG0000832	LOC111594011|XP_023162876.1|DHYD, LOC111603652|XP_023177103.2|DHYD	LOC6038039|XP_001847884.1|CQUI
OG0000833	LOC111592289|XP_023160160.2|DHYD	LOC119770850|XP_038122366.1|CQUI, LOC6043801|XP_038117043.1|CQUI
OG0000834	LOC111597801|XP_023168453.2|DHYD, LOC111597802|XP_023168455.1|DHYD	LOC6049792|XP_001866498.2|CQUI
OG0000836	LOC111603869|XP_023177444.1|DHYD	LOC6033191|XP_038110903.1|CQUI
OG0000837	LOC111604060|XP_023177694.1|DHYD	LOC6046885|XP_038117989.1|CQUI
OG0000838	LOC111605537|XP_023179868.1|DHYD	LOC6039707|XP_001849263.2|CQUI
OG0000839	LOC111604820|XP_023178810.2|DHYD, LOC111601448|XP_023173792.2|DHYD	LOC6032544|XP_001843124.2|CQUI
OG0000840	LOC111592527|XP_023160599.2|DHYD, LOC111593987|XP_023162845.1|DHYD	LOC6033814|XP_001844211.2|CQUI
OG0000841	LOC111598493|XP_023169523.2|DHYD	LOC6043584|XP_038118851.1|CQUI
OG0000842	LOC111600736|XP_023172780.1|DHYD	LOC6052627|XP_038111165.1|CQUI
OG0000843	LOC111600100|XP_030081241.1|DHYD	LOC6052901|XP_001869081.2|CQUI
OG0000844	LOC111603601|XP_023177028.1|DHYD	LOC6040955|XP_038108140.1|CQUI
OG0000845	LOC111602427|XP_023175234.2|DHYD	LOC119769629|XP_038118744.1|CQUI, LOC6040642|XP_001850007.2|CQUI
OG0000854	LOC111596711|XP_023166799.1|DHYD	LOC6041770|XP_001850988.2|CQUI
OG0000855	LOC111596692|XP_023167190.1|DHYD	LOC6040439|XP_038111121.1|CQUI
OG0000856	LOC111605741|XP_030078605.1|DHYD	LOC6042751|XP_038104746.1|CQUI
OG0000857	LOC111600183|XP_023171956.2|DHYD	LOC6045738|XP_038104079.1|CQUI, LOC6045740|XP_001863047.2|CQUI, LOC6048852|XP_001865699.1|CQUI, LOC6052371|XP_001868657.2|CQUI
OG0000858	LOC111594489|XP_023163566.2|DHYD	LOC6033717|XP_001844137.2|CQUI
OG0000860	LOC111591932|XP_023159631.2|DHYD	LOC6032867|XP_038115886.1|CQUI
OG0000861	LOC111593891|XP_023162726.2|DHYD	LOC6037309|XP_001847235.1|CQUI
OG0000862	LOC111597955|XP_023168687.1|DHYD	LOC6043976|XP_001861556.2|CQUI
OG0000863	LOC111603621|XP_023177059.2|DHYD, LOC111593340|XP_023161819.2|DHYD, LOC111594125|XP_023163055.1|DHYD	LOC6044024|XP_038115592.1|CQUI
OG0000864	LOC111593452|XP_023161977.2|DHYD	LOC6041419|XP_038113943.1|CQUI
OG0000865	LOC115482964|XP_030079343.1|DHYD, LOC111598443|XP_023169452.2|DHYD, LOC111603467|XP_023176824.2|DHYD	LOC6032934|XP_038112958.1|CQUI
OG0000866	LOC111595850|XP_023165528.2|DHYD	LOC6041493|XP_038110702.1|CQUI
OG0000867	LOC111598972|XP_023170234.2|DHYD, LOC111594407|XP_023163451.1|DHYD	LOC6050061|XP_001866728.2|CQUI
OG0000868	LOC111604964|XP_023179016.1|DHYD	LOC6037576|XP_001847472.2|CQUI, LOC6038283|XP_038112513.1|CQUI
OG0000869	LOC111603414|XP_023176764.2|DHYD, LOC111603419|XP_023176769.1|DHYD, LOC111603417|XP_023176766.1|DHYD, LOC111603430|XP_023176783.2|DHYD, LOC111603418|XP_023176768.2|DHYD	LOC119767364|XP_038111763.1|CQUI
OG0000871	LOC111595570|XP_023165135.1|DHYD	LOC6038540|XP_001848327.2|CQUI, LOC6038577|XP_038106280.1|CQUI, LOC6038538|XP_001848325.2|CQUI
OG0000872	LOC111595960|XP_023165700.1|DHYD, LOC111600085|XP_023171792.1|DHYD	LOC6038131|XP_001847929.1|CQUI
OG0000873	LOC111600930|XP_030078651.1|DHYD	LOC6047243|XP_001864326.2|CQUI, LOC6038744|XP_038111904.1|CQUI, LOC6036763|XP_038106219.1|CQUI
OG0000874	LOC111593252|XP_023161684.2|DHYD	LOC6037196|XP_038109655.1|CQUI
OG0000875	LOC111601340|XP_023173637.1|DHYD, LOC111598850|XP_023170053.1|DHYD, LOC111592327|XP_023160220.1|DHYD	LOC6040537|XP_038110191.1|CQUI
OG0000882	LOC111596542|XP_023166582.1|DHYD	LOC6051045|XP_038104452.1|CQUI
OG0000885	LOC111601408|XP_023173734.1|DHYD	LOC6048168|XP_001865124.1|CQUI, LOC6048169|XP_001865125.1|CQUI, LOC6048170|XP_001865126.1|CQUI
OG0000887	LOC111593634|XP_023162274.2|DHYD	LOC6052421|XP_038120936.1|CQUI, LOC6052420|XP_038121806.1|CQUI, LOC6039002|XP_001848684.2|CQUI
OG0000888	LOC111596521|XP_030081178.1|DHYD, LOC111601464|XP_023173813.2|DHYD	LOC6036591|XP_038115396.1|CQUI, LOC6036581|XP_038118642.1|CQUI
OG0000889	LOC111597555|XP_023168120.1|DHYD	LOC6033544|XP_001843978.2|CQUI
OG0000890	LOC111604129|XP_023177817.2|DHYD	LOC6043796|XP_001861395.2|CQUI
OG0000891	LOC111601133|XP_023173368.1|DHYD	LOC6041067|XP_038111593.1|CQUI
OG0000892	LOC111605703|XP_023180149.1|DHYD	LOC6041555|XP_001850801.2|CQUI
OG0000893	LOC111603400|XP_030081730.1|DHYD	LOC6034999|XP_001845244.2|CQUI, LOC6034994|XP_038116648.1|CQUI, LOC6034998|XP_038115749.1|CQUI, LOC6034997|XP_038115753.1|CQUI, LOC6034995|XP_001845241.2|CQUI, LOC119768921|XP_038116647.1|CQUI, LOC119768764|XP_038115747.1|CQUI, LOC119768763|XP_038115744.1|CQUI, LOC119768765|XP_038115748.1|CQUI
OG0000894	LOC111592386|XP_023160329.2|DHYD, LOC111603565|XP_023176979.1|DHYD	LOC6043434|XP_001859054.2|CQUI
OG0000895	LOC111600689|XP_023172710.2|DHYD, LOC111600695|XP_023172717.2|DHYD	LOC6050900|XP_001867421.2|CQUI
OG0000896	LOC111602033|XP_030079545.1|DHYD	LOC6048670|XP_038107984.1|CQUI
OG0000907	LOC111600102|XP_023171831.1|DHYD	LOC6052354|XP_001868642.2|CQUI
OG0000909	LOC111602822|XP_023175898.1|DHYD	LOC6039203|XP_038105481.1|CQUI
OG0000910	LOC111596877|XP_023167093.2|DHYD, LOC111601296|XP_023173576.1|DHYD	LOC6034092|XP_038116190.1|CQUI
OG0000911	LOC111595624|XP_023165202.1|DHYD	LOC6033485|XP_001843927.2|CQUI
OG0000912	LOC111593528|XP_023162089.1|DHYD	LOC6033531|XP_001843968.1|CQUI, LOC6033530|XP_001843967.1|CQUI
OG0000914	LOC111593570|XP_023162200.1|DHYD	LOC6032957|XP_001843473.2|CQUI, LOC6032960|XP_001843476.1|CQUI, LOC6032959|XP_001843475.1|CQUI, LOC6042107|XP_001851258.1|CQUI
OG0000915	LOC111600704|XP_023172729.2|DHYD	LOC6049126|XP_038107760.1|CQUI
OG0000916	LOC111596228|XP_030080351.1|DHYD	LOC6044540|XP_038107414.1|CQUI, LOC6044537|XP_038109271.1|CQUI
OG0000917	LOC111598523|XP_030081590.1|DHYD, LOC111599399|XP_030079268.1|DHYD	LOC6036130|XP_038112959.1|CQUI
OG0000918	LOC111594098|XP_023163018.2|DHYD	LOC6053853|XP_038107451.1|CQUI
OG0000920	LOC111600229|XP_023172024.1|DHYD	LOC6037854|XP_038106185.1|CQUI, LOC119766065|XP_038106368.1|CQUI, LOC6037857|XP_001847730.2|CQUI, LOC6037858|XP_038106186.1|CQUI, LOC119765965|XP_038106190.1|CQUI, LOC119765963|XP_038106188.1|CQUI, LOC119765964|XP_038106189.1|CQUI, LOC6039737|XP_001849288.1|CQUI
OG0000921	LOC111593394|XP_030079432.1|DHYD	LOC119770129|XP_038120407.1|CQUI, LOC6032513|XP_038120403.1|CQUI
OG0000922	LOC111596016|XP_023165808.1|DHYD	LOC6035826|XP_001845946.2|CQUI
OG0000923	LOC111604969|XP_023179027.2|DHYD	LOC6039960|XP_001849453.1|CQUI
OG0000924	LOC111598118|XP_023168943.2|DHYD	LOC6052729|XP_038108922.1|CQUI
OG0000925	LOC111602003|XP_023174659.1|DHYD	LOC6037245|XP_038114185.1|CQUI, LOC6037244|XP_001847173.1|CQUI
OG0000935	LOC111603562|XP_023176970.2|DHYD	LOC6041293|XP_038115420.1|CQUI
OG0000936	LOC111600846|XP_023172918.1|DHYD, LOC111605035|XP_023179138.1|DHYD	LOC6044999|XP_001862423.1|CQUI
OG0000937	LOC111603287|XP_023176568.2|DHYD	LOC6047549|XP_038122304.1|CQUI, LOC6038645|XP_038109622.1|CQUI
OG0000938	LOC111598130|XP_023168959.1|DHYD	LOC6041884|XP_001851080.1|CQUI
OG0000939	LOC111592903|XP_023161118.1|DHYD	LOC6044428|XP_001861946.1|CQUI
OG0000941	LOC111594257|XP_023163246.1|DHYD, LOC111595857|XP_023165540.1|DHYD	LOC6049171|XP_001865978.1|CQUI
OG0000942	LOC111594382|XP_023163416.2|DHYD	LOC6050303|XP_001866931.2|CQUI
OG0000943	LOC111600602|XP_023172564.1|DHYD	LOC6036204|XP_038120020.1|CQUI
OG0000944	LOC111605014|XP_023179111.1|DHYD, LOC111601506|XP_023173868.1|DHYD	LOC6038238|XP_038118238.1|CQUI
OG0000945	LOC111596888|XP_023167106.2|DHYD, LOC115482987|XP_030079477.1|DHYD	LOC6040018|XP_001849494.2|CQUI
OG0000946	LOC111599327|XP_023170716.2|DHYD	LOC6044471|XP_038106712.1|CQUI, LOC6041548|XP_038107584.1|CQUI
OG0000947	LOC111600133|XP_023171873.2|DHYD	LOC6034360|XP_001844678.1|CQUI, LOC6034379|XP_038109332.1|CQUI, LOC6034378|XP_038109331.1|CQUI, LOC6034359|XP_001844677.2|CQUI
OG0000948	LOC111601083|XP_023173277.1|DHYD	LOC6048908|XP_001865747.2|CQUI
OG0000949	LOC111602432|XP_023175239.2|DHYD	LOC6033022|XP_038115508.1|CQUI, LOC6033023|XP_038115510.1|CQUI
OG0000950	LOC111591996|XP_023159725.2|DHYD, LOC111602682|XP_023175670.1|DHYD	LOC6046062|XP_001863317.2|CQUI
OG0000951	LOC111601478|XP_023173833.1|DHYD, LOC111598832|XP_023170035.1|DHYD	LOC119769688|XP_038118996.1|CQUI, LOC6039379|XP_038121296.1|CQUI
OG0000952	LOC111602441|XP_023175263.1|DHYD	LOC119770231|XP_038120613.1|CQUI
OG0000963	LOC111603160|XP_023176406.1|DHYD	LOC119765405|XP_038105122.1|CQUI, LOC6052738|XP_001868962.2|CQUI, LOC6052742|XP_001868961.1|CQUI, LOC6052739|XP_001868963.1|CQUI
OG0000964	LOC111595516|XP_030082039.1|DHYD	LOC6047021|XP_038104314.1|CQUI, LOC6032708|XP_001843260.2|CQUI
OG0000965	LOC111603225|XP_023176497.2|DHYD, LOC111603084|XP_023176311.2|DHYD	LOC6039055|XP_001848733.2|CQUI
OG0000966	LOC111592182|XP_023160016.1|DHYD	LOC6034419|XP_038105028.1|CQUI
OG0000969	LOC111592490|XP_023160482.1|DHYD	LOC6043792|XP_001861393.1|CQUI
OG0000970	LOC111594966|XP_023164232.1|DHYD	LOC6033272|XP_001843743.2|CQUI
OG0000971	LOC111601135|XP_023173370.1|DHYD	LOC6036039|XP_001846141.1|CQUI, LOC6040867|XP_001850197.1|CQUI
OG0000972	LOC111596947|XP_023167171.1|DHYD	LOC6031858|XP_038113015.1|CQUI
OG0000973	LOC111601622|XP_023174058.1|DHYD	LOC119766829|XP_038108809.1|CQUI, LOC6034199|XP_038108806.1|CQUI, LOC6047448|XP_038120387.1|CQUI
OG0000974	LOC111597477|XP_023167994.2|DHYD	LOC6049993|XP_038116186.1|CQUI, LOC6049992|XP_038116176.1|CQUI, LOC6049994|XP_038116185.1|CQUI, LOC6049990|XP_001866665.1|CQUI
OG0000975	LOC111604558|XP_023178420.1|DHYD	LOC6046902|XP_001864030.2|CQUI
OG0000977	LOC111602997|XP_030078749.1|DHYD	LOC6053094|XP_038112904.1|CQUI
OG0000978	LOC111593607|XP_023162236.1|DHYD	LOC6051170|XP_038108380.1|CQUI
OG0000988	LOC111594899|XP_023164156.2|DHYD, LOC111597315|XP_023167712.2|DHYD, LOC111593241|XP_023161662.2|DHYD, LOC111603766|XP_023177268.2|DHYD	LOC6042735|XP_001870746.2|CQUI
OG0000990	LOC111591970|XP_023159685.1|DHYD	LOC119767687|XP_038112787.1|CQUI
OG0000991	LOC111597532|XP_023168084.2|DHYD	LOC6040891|XP_038105368.1|CQUI, LOC6042501|XP_038104580.1|CQUI
OG0000992	LOC111596603|XP_023166653.1|DHYD	LOC6042422|XP_001851542.2|CQUI
OG0000994	LOC111600340|XP_023172172.2|DHYD	LOC6045591|XP_001862932.2|CQUI
OG0000994	LOC111596479|XP_023166504.1|DHYD	LOC6045593|XP_001862934.2|CQUI
OG0000995	LOC111601960|XP_023174602.2|DHYD	LOC6041608|XP_001850846.1|CQUI
OG0000996	LOC111603111|XP_023176348.2|DHYD, LOC111603350|XP_023176667.1|DHYD	LOC6030996|XP_001841849.2|CQUI, LOC119769660|XP_038118872.1|CQUI
OG0000997	LOC111598802|XP_030080966.1|DHYD, LOC115483382|XP_030080965.1|DHYD	LOC6052525|XP_038120680.1|CQUI
OG0000998	LOC111601079|XP_023173274.2|DHYD, LOC111601016|XP_030079456.1|DHYD	LOC6047261|XP_001864343.2|CQUI, LOC6047263|XP_038117138.1|CQUI, LOC6047258|XP_038118868.1|CQUI
OG0000999	LOC111604040|XP_023177663.1|DHYD	LOC6036403|XP_001846456.1|CQUI
OG0001000	LOC111599998|XP_023171666.2|DHYD	LOC6032922|XP_038108749.1|CQUI
OG0001002	LOC111595595|XP_023165176.2|DHYD	LOC6031176|XP_001842019.1|CQUI, LOC6031178|XP_038111945.1|CQUI, LOC6031180|XP_038106920.1|CQUI
OG0001003	LOC111598583|XP_023169657.1|DHYD	LOC6040169|XP_001849620.1|CQUI
OG0001004	LOC111593325|XP_023161802.1|DHYD	LOC6038961|XP_001848650.1|CQUI
OG0001005	LOC111596807|XP_023166936.1|DHYD	LOC6047963|XP_038122308.1|CQUI
OG0001006	LOC111605737|XP_023180206.1|DHYD	LOC6032307|XP_001842939.1|CQUI
OG0001007	LOC111597641|XP_023168217.1|DHYD, LOC111601124|XP_023173346.1|DHYD	LOC6032328|XP_001842958.1|CQUI
OG0001008	LOC111598835|XP_023170040.1|DHYD	LOC6054260|XP_001870205.2|CQUI
OG0001009	LOC111595166|XP_023164514.1|DHYD	LOC6038900|XP_001848599.2|CQUI
OG0001019	LOC111603273|XP_023176554.2|DHYD	LOC6052564|XP_001868810.2|CQUI
