Orthogroup	DHYD.longest_only	DSUP.longest_only
OG0000299	LOC111601613|XP_030079663.1|DHYD	LOC119554628|XP_037721555.1|DSUP
OG0000299	LOC111603243|XP_023176518.2|DHYD	LOC119554618|XP_037721543.1|DSUP
OG0000300	LOC111597335|XP_030081654.1|DHYD	LOC119555430|XP_037722727.1|DSUP
OG0000300	LOC111597336|XP_023167748.2|DHYD	LOC119555516|XP_037722867.1|DSUP
OG0000301	LOC111599784|XP_023171324.2|DHYD	LOC119557972|XP_037727014.1|DSUP
OG0000301	LOC111599140|XP_023170471.1|DHYD	LOC119547423|XP_037710205.1|DSUP
OG0000302	LOC111601700|XP_023174184.1|DHYD	LOC119553035|XP_037719025.1|DSUP
OG0000302	LOC111601699|XP_023174183.1|DHYD	LOC119553036|XP_037719027.1|DSUP
OG0000303	LOC111592808|XP_023160987.1|DHYD	LOC119554469|XP_037721312.1|DSUP
OG0000303	LOC111602461|XP_023175289.1|DHYD	LOC119548434|XP_037711611.1|DSUP
OG0000304	LOC111594571|XP_023163697.2|DHYD	LOC119548725|XP_037712149.1|DSUP
OG0000304	LOC111594524|XP_023163622.1|DHYD	LOC119548727|XP_037712163.1|DSUP
OG0000305	LOC111595115|XP_023164451.1|DHYD	LOC119554163|XP_037720880.1|DSUP
OG0000305	LOC111595037|XP_023164331.2|DHYD	LOC119554470|XP_037721313.1|DSUP
OG0000305	LOC111595038|XP_023164332.2|DHYD	LOC119554561|XP_037721460.1|DSUP
OG0000306	LOC111592694|XP_023160835.2|DHYD	LOC119550377|XP_037714952.1|DSUP
OG0000306	LOC111598995|XP_023170268.1|DHYD	LOC119550280|XP_037714797.1|DSUP
OG0000306	LOC111597371|XP_023167796.1|DHYD	LOC119556224|XP_037724136.1|DSUP
OG0000307	LOC111601299|XP_023173583.2|DHYD	LOC119563457|XP_037732788.1|DSUP
OG0000307	LOC111603477|XP_023176834.1|DHYD	LOC119563134|XP_037732313.1|DSUP
OG0000308	LOC111598342|XP_023169317.1|DHYD	LOC119547885|XP_037710851.1|DSUP, LOC119560637|XP_037730117.1|DSUP, LOC119560638|XP_037730118.1|DSUP
OG0000308	LOC111594292|XP_023163301.1|DHYD	LOC119547663|XP_037710541.1|DSUP
OG0000309	LOC115483692|XP_030081585.1|DHYD, LOC115483691|XP_030081584.1|DHYD, LOC115483695|XP_030081604.1|DHYD, LOC115483693|XP_030081586.1|DHYD, LOC115483690|XP_030081583.1|DHYD, LOC111597185|XP_030081605.1|DHYD	LOC119556877|XP_037725284.1|DSUP, LOC119560028|XP_037729255.1|DSUP, LOC119560022|XP_037729243.1|DSUP, LOC119557476|XP_037726176.1|DSUP
OG0000310	LOC111604130|XP_023177814.2|DHYD	LOC119558410|XP_037727870.1|DSUP, LOC119553995|XP_037720629.1|DSUP
OG0000311	LOC111595678|XP_023165282.2|DHYD, LOC111595217|XP_023164599.1|DHYD	LOC119549100|XP_037712775.1|DSUP, LOC119559754|XP_037728756.1|DSUP
OG0000311	LOC111593077|XP_023161432.1|DHYD	LOC119556049|XP_037723771.1|DSUP
OG0000312	LOC111600363|XP_023172207.2|DHYD	LOC119548754|XP_037712203.1|DSUP
OG0000312	LOC111601668|XP_023174130.2|DHYD	LOC119547235|XP_037709936.1|DSUP
OG0000313	LOC111603917|XP_023177510.2|DHYD	LOC119547230|XP_037709918.1|DSUP
OG0000313	LOC111600323|XP_023172153.2|DHYD	LOC119546767|XP_037709242.1|DSUP, LOC119546766|XP_037709241.1|DSUP
OG0000314	LOC111599113|XP_030080290.1|DHYD, LOC111599168|XP_023170516.2|DHYD	LOC119546240|XP_037708314.1|DSUP
OG0000315	LOC111602178|XP_030079199.1|DHYD	LOC119552129|XP_037717845.1|DSUP, LOC119547563|XP_037710392.1|DSUP, LOC119546320|XP_037708447.1|DSUP, LOC119547967|XP_037710945.1|DSUP, LOC119546318|XP_037708444.1|DSUP, LOC119550577|XP_037715296.1|DSUP, LOC119548123|XP_037711147.1|DSUP
OG0000316	LOC111592420|XP_023160363.2|DHYD	LOC119551732|XP_037717161.1|DSUP
OG0000316	LOC111592422|XP_023160365.2|DHYD, LOC111592424|XP_023160367.2|DHYD, LOC111592423|XP_023160366.1|DHYD	LOC119551733|XP_037717162.1|DSUP
OG0000317	LOC111594810|XP_023164041.2|DHYD	LOC119557210|XP_037725797.1|DSUP
OG0000318	LOC111603720|XP_023177201.2|DHYD	LOC119554771|XP_037721740.1|DSUP
OG0000319	LOC111601303|XP_030081597.1|DHYD, LOC111601369|XP_023173675.1|DHYD, LOC115483689|XP_030081582.1|DHYD, LOC115483694|XP_030081593.1|DHYD, LOC115482807|XP_030078802.1|DHYD	LOC119550402|XP_037714988.1|DSUP, LOC119550410|XP_037715000.1|DSUP, LOC119550427|XP_037715026.1|DSUP, LOC119550419|XP_037715013.1|DSUP
OG0000320	LOC111601294|XP_023173573.1|DHYD	LOC119555629|XP_037723080.1|DSUP
OG0000321	LOC111603780|XP_023177289.2|DHYD	LOC119548734|XP_037712174.1|DSUP
OG0000321	LOC111603779|XP_023177288.1|DHYD	LOC119548735|XP_037712177.1|DSUP
OG0000322	LOC111593337|XP_023161815.2|DHYD	LOC119560924|XP_037730572.1|DSUP
OG0000322	LOC111605147|XP_023179297.2|DHYD	LOC119557233|XP_037725842.1|DSUP
OG0000322	LOC111592998|XP_023161272.1|DHYD	LOC119556485|XP_037724668.1|DSUP
OG0000323	LOC111594644|XP_023163806.1|DHYD	LOC119547612|XP_037710464.1|DSUP
OG0000323	LOC111596502|XP_023166531.1|DHYD	LOC119563462|XP_037732802.1|DSUP
OG0000324	LOC111599680|XP_023171153.2|DHYD	LOC119549257|XP_037713092.1|DSUP
OG0000325	LOC111592280|XP_023160149.2|DHYD	LOC119553256|XP_037719470.1|DSUP
OG0000325	LOC111592279|XP_023160148.2|DHYD	LOC119554358|XP_037721153.1|DSUP
OG0000327	LOC111595626|XP_023165204.2|DHYD	LOC119551896|XP_037717426.1|DSUP
OG0000327	LOC111595616|XP_023165190.1|DHYD	LOC119551833|XP_037717331.1|DSUP
OG0000327	LOC111604135|XP_023177821.2|DHYD	LOC119551879|XP_037717402.1|DSUP
OG0000328	LOC111597582|XP_023168149.2|DHYD	LOC119549853|XP_037714076.1|DSUP
OG0000328	LOC111597581|XP_023168148.2|DHYD	LOC119553612|XP_037719998.1|DSUP
OG0000329	LOC111599828|XP_023171389.2|DHYD	LOC119546773|XP_037709252.1|DSUP
OG0000329	LOC111602463|XP_030079181.1|DHYD, LOC111595185|XP_023164533.2|DHYD	LOC119548430|XP_037711602.1|DSUP, LOC119548554|XP_037711779.1|DSUP
OG0000330	LOC111596787|XP_023166911.1|DHYD, LOC111596776|XP_023166900.2|DHYD, LOC111596767|XP_023166887.2|DHYD	LOC119557404|XP_037726083.1|DSUP, LOC119553339|XP_037719606.1|DSUP
OG0000331	LOC111594951|XP_023164216.2|DHYD	LOC119546916|XP_037709473.1|DSUP
OG0000332	LOC111593643|XP_023162289.2|DHYD	LOC119546804|XP_037709311.1|DSUP
OG0000332	LOC111598247|XP_023169179.2|DHYD	LOC119560276|XP_037729572.1|DSUP, LOC119560281|XP_037729579.1|DSUP, LOC119557897|XP_037726831.1|DSUP
OG0000333	LOC111597590|XP_023168156.1|DHYD	LOC119555289|XP_037722531.1|DSUP, LOC119554137|XP_037720839.1|DSUP
OG0000334	LOC111597049|XP_023167335.1|DHYD	LOC119557988|XP_037727010.1|DSUP
OG0000334	LOC111592156|XP_023159974.1|DHYD	LOC119550790|XP_037715649.1|DSUP
OG0000335	LOC111598927|XP_023170170.1|DHYD	LOC119547445|XP_037710233.1|DSUP
OG0000335	LOC115482930|XP_030079106.1|DHYD, LOC111600476|XP_023172359.2|DHYD	LOC119546863|XP_037709394.1|DSUP
OG0000336	LOC111592042|XP_023159806.2|DHYD	LOC119545643|XP_037707292.1|DSUP
OG0000336	LOC111604870|XP_023178874.1|DHYD	LOC119551123|XP_037716238.1|DSUP
OG0000336	LOC111604868|XP_023178871.2|DHYD	LOC119551114|XP_037716227.1|DSUP
OG0000337	LOC111605083|XP_023179187.2|DHYD	LOC119555125|XP_037722277.1|DSUP, LOC119555126|XP_037722279.1|DSUP
OG0000337	LOC111605075|XP_023179177.2|DHYD	LOC119556819|XP_037725197.1|DSUP
OG0000337	LOC111595697|XP_023165310.1|DHYD	LOC119553769|XP_037720303.1|DSUP
OG0000338	LOC111595291|XP_023164714.1|DHYD	LOC119554236|XP_037720995.1|DSUP
OG0000338	LOC111599560|XP_023171035.1|DHYD	LOC119549111|XP_037712785.1|DSUP
OG0000339	LOC111604664|XP_023178592.1|DHYD	LOC119554320|XP_037721109.1|DSUP
OG0000339	LOC111604713|XP_023178653.2|DHYD	LOC119554498|XP_037721359.1|DSUP
OG0000340	LOC111597031|XP_023167314.2|DHYD	LOC119551447|XP_037716717.1|DSUP
OG0000341	LOC111597306|XP_023167698.1|DHYD	LOC119555188|XP_037722369.1|DSUP, LOC119555196|XP_037722382.1|DSUP, LOC119555221|XP_037722421.1|DSUP
OG0000342	LOC111598837|XP_023170043.1|DHYD	LOC119557920|XP_037726856.1|DSUP
OG0000342	LOC111594655|XP_023163823.1|DHYD, LOC111594318|XP_023163329.1|DHYD	LOC119550627|XP_037715384.1|DSUP
OG0000343	LOC111595711|XP_030081562.1|DHYD, LOC111595720|XP_030081560.1|DHYD	LOC119555857|XP_037723429.1|DSUP, LOC119555862|XP_037723444.1|DSUP
OG0000343	LOC111602607|XP_023175535.2|DHYD	LOC119560936|XP_037730600.1|DSUP
OG0000344	LOC111595618|XP_030081313.1|DHYD	LOC119550929|XP_037715874.1|DSUP
OG0000344	LOC111596415|XP_023166395.2|DHYD	LOC119563417|XP_037732714.1|DSUP
OG0000345	LOC111599885|XP_023171473.1|DHYD	LOC119549289|XP_037713166.1|DSUP
OG0000345	LOC111592178|XP_030081925.1|DHYD	LOC119549838|XP_037714045.1|DSUP
OG0000346	LOC111600912|XP_023173042.2|DHYD	LOC119551013|XP_037715993.1|DSUP, LOC119549611|XP_037713709.1|DSUP, LOC119549609|XP_037713708.1|DSUP, LOC119550259|XP_037714765.1|DSUP, LOC119549714|XP_037713875.1|DSUP, LOC119549559|XP_037713637.1|DSUP, LOC119552051|XP_037717722.1|DSUP, LOC119549626|XP_037713736.1|DSUP, LOC119549622|XP_037713727.1|DSUP
OG0000347	LOC111597750|XP_023168367.1|DHYD	LOC119554451|XP_037721291.1|DSUP
OG0000347	LOC111595852|XP_023165532.1|DHYD	LOC119547755|XP_037710685.1|DSUP
OG0000348	LOC111596110|XP_023165941.2|DHYD	LOC119548541|XP_037711764.1|DSUP
OG0000348	LOC111596095|XP_030080399.1|DHYD	LOC119546670|XP_037709057.1|DSUP
OG0000349	LOC111596325|XP_023166258.1|DHYD	LOC119547767|XP_037710704.1|DSUP, LOC119547766|XP_037710702.1|DSUP
OG0000350	LOC111599265|XP_030081622.1|DHYD	LOC119555541|XP_037722902.1|DSUP
OG0000350	LOC111599232|XP_023170598.2|DHYD	LOC119555372|XP_037722641.1|DSUP
OG0000350	LOC111598919|XP_023170157.2|DHYD	LOC119545693|XP_037707373.1|DSUP
OG0000351	LOC111601216|XP_023173479.2|DHYD	LOC119550250|XP_037714753.1|DSUP
OG0000351	LOC111601213|XP_023173474.2|DHYD	LOC119550738|XP_037715582.1|DSUP
OG0000353	LOC111602736|XP_023175756.1|DHYD	LOC119560509|XP_037729911.1|DSUP
OG0000353	LOC111602343|XP_023175121.1|DHYD	LOC119562713|XP_037731829.1|DSUP
OG0000354	LOC111595578|XP_023165152.2|DHYD	LOC119548388|XP_037711541.1|DSUP
OG0000354	LOC111595580|XP_023165154.1|DHYD	LOC119548389|XP_037711542.1|DSUP
OG0000355	LOC111593307|XP_023161766.2|DHYD	LOC119550656|XP_037715428.1|DSUP
OG0000355	LOC111597722|XP_030080937.1|DHYD, LOC111597723|XP_023168332.2|DHYD	LOC119550325|XP_037714859.1|DSUP
OG0000356	LOC111605563|XP_023179903.2|DHYD	LOC119546574|XP_037708899.1|DSUP
OG0000356	LOC111605585|XP_023179956.2|DHYD	LOC119546573|XP_037708897.1|DSUP
OG0000358	LOC111595980|XP_023165733.1|DHYD	LOC119560224|XP_037729513.1|DSUP
OG0000358	LOC115483336|XP_030080669.1|DHYD, LOC111595034|XP_023164328.1|DHYD	LOC119563475|XP_037732827.1|DSUP
OG0000359	LOC111597305|XP_023167697.1|DHYD	LOC119554785|XP_037721759.1|DSUP, LOC119554558|XP_037721457.1|DSUP, LOC119554901|XP_037721931.1|DSUP
OG0000360	LOC111597503|XP_023168036.1|DHYD	LOC119555993|XP_037723655.1|DSUP, LOC119563409|XP_037732704.1|DSUP, LOC119553546|XP_037719916.1|DSUP, LOC119552055|XP_037717741.1|DSUP
OG0000361	LOC111593143|XP_023161511.1|DHYD	LOC119555916|XP_037723545.1|DSUP, LOC119560168|XP_037729455.1|DSUP
OG0000361	LOC111593142|XP_023161509.2|DHYD	LOC119559346|XP_037728322.1|DSUP, LOC119548445|XP_037711635.1|DSUP
OG0000362	LOC111595892|XP_023165594.1|DHYD	LOC119552668|XP_037718347.1|DSUP
OG0000362	LOC111592868|XP_023161082.1|DHYD	LOC119552847|XP_037718643.1|DSUP
OG0000363	LOC111602995|XP_023176163.1|DHYD	LOC119547186|XP_037709852.1|DSUP
OG0000363	LOC111602934|XP_023176052.2|DHYD	LOC119553817|XP_037720366.1|DSUP
OG0000365	LOC111602135|XP_030081067.1|DHYD	LOC119550914|XP_037715834.1|DSUP
OG0000365	LOC111595928|XP_023165654.2|DHYD	LOC119548405|XP_037711569.1|DSUP
OG0000366	LOC111600179|XP_030079361.1|DHYD	LOC119556170|XP_037724017.1|DSUP
OG0000366	LOC111604235|XP_023177980.1|DHYD	LOC119548850|XP_037712403.1|DSUP
OG0000367	LOC111598741|XP_023169904.1|DHYD	LOC119555393|XP_037722668.1|DSUP
OG0000367	LOC111600010|XP_023171681.1|DHYD	LOC119549132|XP_037712829.1|DSUP
OG0000368	LOC111592768|XP_023160937.2|DHYD	LOC119553184|XP_037719355.1|DSUP
OG0000368	LOC111592790|XP_023160965.1|DHYD	LOC119553186|XP_037719361.1|DSUP
OG0000370	LOC111604375|XP_023178217.2|DHYD	LOC119553257|XP_037719471.1|DSUP
OG0000370	LOC111603682|XP_023177133.2|DHYD	LOC119549387|XP_037713362.1|DSUP
OG0000371	LOC111602071|XP_023174763.1|DHYD	LOC119557078|XP_037725559.1|DSUP
OG0000372	LOC111602361|XP_030079071.1|DHYD, LOC111602359|XP_023175136.2|DHYD	LOC119557698|XP_037726500.1|DSUP, LOC119552814|XP_037718586.1|DSUP, LOC119547224|XP_037709913.1|DSUP, LOC119547223|XP_037709911.1|DSUP
OG0000373	LOC111601807|XP_023174370.1|DHYD	LOC119550744|XP_037715592.1|DSUP
OG0000373	LOC111605509|XP_023179829.2|DHYD, LOC111605583|XP_030080396.1|DHYD	LOC119555666|XP_037723201.1|DSUP
OG0000374	LOC111605076|XP_023179178.2|DHYD	LOC119549660|XP_037713792.1|DSUP, LOC119555091|XP_037722237.1|DSUP, LOC119555848|XP_037723407.1|DSUP, LOC119558473|XP_037727913.1|DSUP, LOC119555858|XP_037723426.1|DSUP, LOC119555856|XP_037723425.1|DSUP, LOC119557773|XP_037726599.1|DSUP
OG0000375	LOC111603725|XP_023177205.1|DHYD, LOC111603726|XP_023177206.2|DHYD, LOC111603724|XP_023177204.1|DHYD, LOC111603674|XP_023177121.2|DHYD	LOC119553106|XP_037719204.1|DSUP, LOC119553108|XP_037719207.1|DSUP, LOC119553107|XP_037719205.1|DSUP
OG0000377	LOC111596775|XP_023166893.1|DHYD	LOC119557124|XP_037725636.1|DSUP
OG0000378	LOC111605353|XP_023179598.1|DHYD	LOC119550111|XP_037714520.1|DSUP
OG0000378	LOC111602421|XP_030079880.1|DHYD	LOC119557385|XP_037726058.1|DSUP
OG0000379	LOC111595315|XP_023164738.2|DHYD	LOC119549991|XP_037714328.1|DSUP, LOC119549908|XP_037714156.1|DSUP, LOC119549184|XP_037712931.1|DSUP
OG0000380	LOC111592299|XP_023160171.1|DHYD	LOC119554199|XP_037720927.1|DSUP
OG0000381	LOC111597216|XP_023167559.2|DHYD, LOC111597212|XP_023167551.2|DHYD	LOC119547683|XP_037710570.1|DSUP
OG0000381	LOC111597214|XP_023167552.1|DHYD, LOC111597207|XP_023167542.2|DHYD	LOC119546749|XP_037709177.1|DSUP
OG0000382	LOC111599796|XP_023171340.2|DHYD	LOC119554122|XP_037720823.1|DSUP, LOC119555075|XP_037722213.1|DSUP
OG0000383	LOC111595497|XP_023165035.1|DHYD	LOC119548376|XP_037711522.1|DSUP
OG0000383	LOC111601181|XP_023173427.2|DHYD	LOC119546383|XP_037708547.1|DSUP
OG0000384	LOC111605411|XP_023179682.2|DHYD	LOC119549845|XP_037714065.1|DSUP
OG0000384	LOC115483808|XP_030082003.1|DHYD	LOC119551674|XP_037717056.1|DSUP
OG0000385	LOC111605364|XP_023179615.2|DHYD	LOC119557725|XP_037726535.1|DSUP
OG0000385	LOC111605383|XP_023179644.2|DHYD	LOC119557035|XP_037725509.1|DSUP
OG0000386	LOC111599579|XP_030079646.1|DHYD	LOC119553894|XP_037720489.1|DSUP
OG0000386	LOC111604264|XP_023178028.1|DHYD	LOC119563059|XP_037732202.1|DSUP
OG0000388	LOC115482933|XP_030079132.1|DHYD, LOC115483358|XP_030080899.1|DHYD, LOC111596142|XP_023165993.1|DHYD	LOC119553474|XP_037719811.1|DSUP, LOC119553475|XP_037719812.1|DSUP, LOC119553476|XP_037719814.1|DSUP, LOC119553664|XP_037720103.1|DSUP
OG0000389	LOC111598512|XP_023169553.2|DHYD	LOC119560017|XP_037729231.1|DSUP
OG0000389	LOC111600463|XP_023172336.1|DHYD	LOC119554027|XP_037720671.1|DSUP
OG0000390	LOC111592645|XP_023160759.1|DHYD	LOC119546509|XP_037708759.1|DSUP, LOC119547695|XP_037710595.1|DSUP
OG0000391	LOC111602348|XP_023175128.1|DHYD	LOC119551111|XP_037716219.1|DSUP
OG0000391	LOC111592405|XP_023160348.2|DHYD	LOC119550814|XP_037715683.1|DSUP
OG0000392	LOC111599085|XP_023170389.2|DHYD	LOC119548478|XP_037711677.1|DSUP
OG0000392	LOC111599109|XP_023170430.2|DHYD	LOC119546875|XP_037709410.1|DSUP
OG0000393	LOC111594226|XP_023163194.2|DHYD	LOC119547457|XP_037710248.1|DSUP
OG0000393	LOC111594195|XP_023163159.2|DHYD	LOC119547459|XP_037710263.1|DSUP
OG0000394	LOC111597264|XP_023167645.1|DHYD	LOC119556496|XP_037724684.1|DSUP
OG0000394	LOC111597352|XP_023167767.1|DHYD	LOC119556495|XP_037724682.1|DSUP
OG0000395	LOC111599225|XP_023170590.2|DHYD	LOC119555542|XP_037722903.1|DSUP
OG0000395	LOC111599261|XP_023170628.2|DHYD	LOC119555384|XP_037722656.1|DSUP
OG0000396	LOC111599139|XP_023170470.2|DHYD	LOC119548566|XP_037711810.1|DSUP, LOC119547422|XP_037710204.1|DSUP, LOC119548565|XP_037711808.1|DSUP, LOC119547421|XP_037710202.1|DSUP, LOC119546648|XP_037709023.1|DSUP, LOC119547424|XP_037710208.1|DSUP, LOC119546992|XP_037709581.1|DSUP, LOC119546550|XP_037708833.1|DSUP, LOC119546551|XP_037708837.1|DSUP, LOC119548444|XP_037711634.1|DSUP
OG0000397	LOC111604142|XP_030081368.1|DHYD	LOC119549472|XP_037713501.1|DSUP
OG0000398	LOC111604414|XP_023178241.2|DHYD	LOC119549391|XP_037713369.1|DSUP
OG0000398	LOC111595755|XP_023165396.1|DHYD	LOC119549389|XP_037713365.1|DSUP
OG0000399	LOC111596181|XP_023166053.2|DHYD	LOC119563056|XP_037732197.1|DSUP
OG0000399	LOC111596173|XP_023166039.1|DHYD	LOC119551789|XP_037717263.1|DSUP
OG0000400	LOC111598815|XP_023170008.1|DHYD	LOC119556453|XP_037724621.1|DSUP
OG0000401	LOC111595351|XP_023164790.2|DHYD	LOC119553683|XP_037720161.1|DSUP, LOC119556330|XP_037724347.1|DSUP
OG0000403	LOC111594818|XP_023164047.1|DHYD	LOC119545637|XP_037707276.1|DSUP
OG0000403	LOC111603800|XP_023177317.2|DHYD	LOC119549817|XP_037714023.1|DSUP
OG0000404	LOC111603266|XP_023176545.2|DHYD	LOC119545651|XP_037707304.1|DSUP
OG0000405	LOC111598152|XP_023169003.1|DHYD	LOC119557502|XP_037726203.1|DSUP
OG0000405	LOC111605436|XP_023179720.1|DHYD	LOC119559889|XP_037728955.1|DSUP
OG0000406	LOC111602933|XP_023176050.1|DHYD	LOC119554505|XP_037721370.1|DSUP
OG0000406	LOC111605231|XP_023179433.1|DHYD	LOC119549895|XP_037714132.1|DSUP
OG0000407	LOC111592977|XP_023161240.1|DHYD	LOC119555101|XP_037722247.1|DSUP
OG0000407	LOC111592949|XP_023161194.2|DHYD	LOC119555099|XP_037722244.1|DSUP
OG0000408	LOC111600399|XP_023172247.1|DHYD, LOC111600417|XP_023172265.1|DHYD, LOC111600418|XP_023172267.1|DHYD	LOC119562080|XP_037731322.1|DSUP
OG0000408	LOC111602217|XP_023174961.2|DHYD	LOC119548120|XP_037711144.1|DSUP
OG0000409	LOC111600540|XP_023172448.2|DHYD	LOC119550517|XP_037715154.1|DSUP
OG0000409	LOC111593093|XP_023161462.1|DHYD	LOC119551014|XP_037715996.1|DSUP
OG0000410	LOC111594204|XP_023163170.2|DHYD	LOC119548863|XP_037712418.1|DSUP, LOC119546841|XP_037709363.1|DSUP, LOC119547080|XP_037709701.1|DSUP
OG0000411	LOC111601476|XP_023173830.2|DHYD	LOC119545800|XP_037707611.1|DSUP
OG0000411	LOC111600445|XP_023172308.1|DHYD	LOC119546640|XP_037709012.1|DSUP
OG0000412	LOC111597002|XP_023167271.2|DHYD	LOC119549146|XP_037712853.1|DSUP
OG0000412	LOC111599776|XP_023171306.1|DHYD	LOC119554858|XP_037721865.1|DSUP
OG0000413	LOC111604879|XP_023178884.2|DHYD	LOC119560345|XP_037729669.1|DSUP
OG0000413	LOC111598617|XP_023169719.2|DHYD	LOC119560335|XP_037729655.1|DSUP
OG0000414	LOC111592103|XP_023159898.2|DHYD, LOC111592184|XP_023160017.2|DHYD, LOC111592102|XP_023159896.2|DHYD	LOC119559427|XP_037728451.1|DSUP
OG0000415	LOC111601221|XP_023173484.1|DHYD	LOC119549103|XP_037712766.1|DSUP
OG0000415	LOC111601251|XP_023173518.1|DHYD	LOC119549104|XP_037712769.1|DSUP
OG0000416	LOC111591973|XP_023159688.2|DHYD	LOC119556380|XP_037724480.1|DSUP
OG0000416	LOC111596632|XP_023166688.1|DHYD	LOC119556401|XP_037724505.1|DSUP
OG0000417	LOC111598521|XP_023169571.2|DHYD	LOC119563234|XP_037732467.1|DSUP
OG0000417	LOC111597394|XP_023167838.2|DHYD	LOC119557738|XP_037726555.1|DSUP
OG0000418	LOC111596736|XP_023166835.2|DHYD	LOC119556822|XP_037725201.1|DSUP
OG0000418	LOC111603112|XP_023176349.1|DHYD	LOC119557471|XP_037726167.1|DSUP
OG0000419	LOC111597727|XP_023168337.2|DHYD	LOC119552103|XP_037717816.1|DSUP
OG0000419	LOC111605322|XP_023179559.2|DHYD	LOC119556660|XP_037724931.1|DSUP
OG0000421	LOC115483291|XP_030080494.1|DHYD, LOC111598933|XP_023170175.1|DHYD	LOC119546111|XP_037708126.1|DSUP
OG0000421	LOC111595197|XP_030079195.1|DHYD	LOC119548325|XP_037711434.1|DSUP
OG0000422	LOC111598659|XP_030080615.1|DHYD	LOC119562340|XP_037731434.1|DSUP, LOC119562330|XP_037731416.1|DSUP
OG0000423	LOC111594333|XP_023163346.1|DHYD	LOC119549820|XP_037714026.1|DSUP
OG0000423	LOC111594334|XP_023163347.2|DHYD	LOC119550725|XP_037715551.1|DSUP
OG0000424	LOC111594326|XP_023163337.2|DHYD	LOC119549318|XP_037713221.1|DSUP, LOC119547017|XP_037709618.1|DSUP
OG0000424	LOC111594329|XP_023163340.2|DHYD	LOC119551327|XP_037716549.1|DSUP
OG0000425	LOC111594405|XP_023163450.2|DHYD	LOC119550604|XP_037715347.1|DSUP
OG0000425	LOC115483812|XP_030082012.1|DHYD, LOC111597041|XP_023167323.1|DHYD	LOC119550190|XP_037714659.1|DSUP
OG0000426	LOC111599243|XP_023170614.1|DHYD	LOC119549662|XP_037713794.1|DSUP, LOC119549661|XP_037713793.1|DSUP
OG0000428	LOC111592976|XP_030079483.1|DHYD	LOC119554368|XP_037721174.1|DSUP, LOC119554367|XP_037721171.1|DSUP
OG0000428	LOC111592963|XP_023161221.2|DHYD	LOC119554366|XP_037721168.1|DSUP
OG0000429	LOC111592139|XP_023159951.2|DHYD	LOC119549733|XP_037713903.1|DSUP
OG0000430	LOC111602016|XP_023174681.2|DHYD	LOC119560996|XP_037730721.1|DSUP, LOC119561094|XP_037730919.1|DSUP
OG0000430	LOC111601327|XP_023173624.1|DHYD	LOC119563315|XP_037732578.1|DSUP
OG0000433	LOC111602397|XP_023175180.2|DHYD	LOC119558311|XP_037727641.1|DSUP
OG0000433	LOC111594844|XP_023164078.2|DHYD	LOC119555375|XP_037722646.1|DSUP
OG0000434	LOC111593230|XP_023161649.2|DHYD	LOC119563256|XP_037732498.1|DSUP
OG0000434	LOC111600885|XP_023172991.2|DHYD, LOC111600884|XP_023172990.2|DHYD	LOC119551878|XP_037717401.1|DSUP
OG0000435	LOC111596567|XP_030079553.1|DHYD	LOC119557652|XP_037726434.1|DSUP
OG0000437	LOC111592673|XP_023160808.1|DHYD	LOC119547341|XP_037710081.1|DSUP
OG0000437	LOC111600934|XP_023173074.1|DHYD	LOC119547982|XP_037710966.1|DSUP
OG0000438	LOC111594574|XP_023163700.1|DHYD	LOC119555094|XP_037722239.1|DSUP, LOC119555085|XP_037722229.1|DSUP, LOC119554319|XP_037721112.1|DSUP
OG0000439	LOC111600365|XP_023172210.2|DHYD	LOC119547797|XP_037710741.1|DSUP
OG0000439	LOC111600925|XP_023173057.2|DHYD	LOC119553151|XP_037719299.1|DSUP
OG0000440	LOC111595258|XP_023164672.2|DHYD	LOC119550131|XP_037714555.1|DSUP
OG0000440	LOC111593894|XP_023162730.1|DHYD	LOC119549331|XP_037713239.1|DSUP
OG0000441	LOC111593558|XP_023162182.1|DHYD	LOC119551999|XP_037717651.1|DSUP
OG0000441	LOC111593559|XP_023162183.2|DHYD	LOC119550691|XP_037715484.1|DSUP
OG0000443	LOC111598768|XP_023169950.1|DHYD	LOC119553469|XP_037719800.1|DSUP
OG0000443	LOC111598767|XP_023169949.2|DHYD	LOC119553297|XP_037719542.1|DSUP
OG0000444	LOC111599487|XP_023170922.2|DHYD	LOC119546225|XP_037708292.1|DSUP
OG0000444	LOC111599490|XP_023170924.2|DHYD	LOC119548125|XP_037711150.1|DSUP
OG0000446	LOC111604590|XP_030078624.1|DHYD	LOC119557516|XP_037726217.1|DSUP
OG0000447	LOC111592859|XP_023161072.2|DHYD	LOC119555487|XP_037722825.1|DSUP
OG0000448	LOC111597881|XP_023168576.2|DHYD	LOC119556193|XP_037724070.1|DSUP
OG0000448	LOC111599486|XP_023170921.2|DHYD	LOC119563196|XP_037732411.1|DSUP
OG0000449	LOC111601066|XP_023173257.2|DHYD	LOC119554650|XP_037721579.1|DSUP
OG0000449	LOC111600523|XP_023172428.2|DHYD, LOC111598928|XP_023170171.2|DHYD	LOC119546864|XP_037709396.1|DSUP
OG0000450	LOC111595982|XP_030080038.1|DHYD	LOC119558415|XP_037727876.1|DSUP
OG0000450	LOC111596583|XP_023166624.1|DHYD	LOC119556428|XP_037724576.1|DSUP
