Orthogroup	DHYD.longest_only	BCOP.longest_only
OG0001435	LOC111600790|XP_023172848.2|DHYD	LOC119070281|XP_037030442.1|BCOP
OG0001436	LOC111596721|XP_023166817.1|DHYD	LOC119070372|XP_037030568.1|BCOP
OG0001437	LOC111598551|XP_023169612.1|DHYD, LOC111598951|XP_023170202.1|DHYD	LOC119077714|XP_037040888.1|BCOP
OG0001438	LOC111596159|XP_023166018.2|DHYD	LOC119070579|XP_037030882.1|BCOP
OG0001439	LOC111600727|XP_023172767.1|DHYD	LOC119068124|XP_037027476.1|BCOP
OG0001440	LOC111603161|XP_023176407.1|DHYD	LOC119070767|XP_037031143.1|BCOP
OG0001442	LOC111605027|XP_023179126.1|DHYD, LOC111592719|XP_023160876.1|DHYD	LOC119085588|XP_037051900.1|BCOP
OG0001443	LOC111603236|XP_023176508.1|DHYD	LOC119068350|XP_037027809.1|BCOP
OG0001444	LOC111599036|XP_023170319.2|DHYD	LOC119074569|XP_037036689.1|BCOP, LOC119082837|XP_037048387.1|BCOP
OG0001445	LOC111595445|XP_023164942.1|DHYD	LOC119066291|XP_037024561.1|BCOP
OG0001446	LOC111603490|XP_023176857.2|DHYD	LOC119067925|XP_037027128.1|BCOP, LOC119066853|XP_037025416.1|BCOP, LOC119067923|XP_037027122.1|BCOP
OG0001447	LOC111592002|XP_023159736.2|DHYD	LOC119067041|XP_037025676.1|BCOP
OG0001448	LOC111603294|XP_023176584.1|DHYD	LOC119084574|XP_037050524.1|BCOP, LOC119068674|XP_037028251.1|BCOP
OG0001449	LOC111599987|XP_023171649.2|DHYD, LOC111605092|XP_023179199.2|DHYD	LOC119067787|XP_037026829.1|BCOP
OG0001450	LOC111603620|XP_023177058.2|DHYD, LOC111602242|XP_023174999.1|DHYD	LOC119068156|XP_037027525.1|BCOP
OG0001451	LOC111593943|XP_023162800.1|DHYD	LOC119083373|XP_037048982.1|BCOP, LOC119083330|XP_037048911.1|BCOP
OG0001452	LOC111603841|XP_023177378.2|DHYD, LOC111603823|XP_030081370.1|DHYD	LOC119084935|XP_037050969.1|BCOP
OG0001453	LOC111600455|XP_023172325.1|DHYD	LOC119080452|XP_037044714.1|BCOP, LOC119080451|XP_037044711.1|BCOP
OG0001454	LOC111602615|XP_023175548.2|DHYD	LOC119068491|XP_037027998.1|BCOP, LOC119069190|XP_037029031.1|BCOP
OG0001455	LOC111603719|XP_023177197.2|DHYD	LOC119077311|XP_037040372.1|BCOP
OG0001456	LOC115482755|XP_030078923.1|DHYD, LOC115482831|XP_030078925.1|DHYD, LOC111591923|XP_030080873.1|DHYD	LOC119083642|XP_037049278.1|BCOP
OG0001457	LOC111595327|XP_023164754.2|DHYD	LOC119081950|XP_037047134.1|BCOP, LOC119072427|XP_037033540.1|BCOP
OG0001458	LOC111600681|XP_023172703.2|DHYD	LOC119079434|XP_037043242.1|BCOP
OG0001459	LOC111592442|XP_023160394.2|DHYD	LOC119081762|XP_037046850.1|BCOP
OG0001460	LOC111604106|XP_030081318.1|DHYD	LOC119079206|XP_037042887.1|BCOP, LOC119079363|XP_037043106.1|BCOP, LOC119079207|XP_037042889.1|BCOP
OG0001461	LOC111595425|XP_023164956.1|DHYD	LOC119084438|XP_037050343.1|BCOP, LOC119085389|XP_037051678.1|BCOP
OG0001462	LOC111598466|XP_030081599.1|DHYD	LOC119080004|XP_037044071.1|BCOP
OG0001463	LOC111596676|XP_023166748.2|DHYD	LOC119081083|XP_037045720.1|BCOP, LOC119082702|XP_037048175.1|BCOP, LOC119074416|XP_037036440.1|BCOP
OG0001464	LOC111596778|XP_023166897.1|DHYD	LOC119073222|XP_037034428.1|BCOP, LOC119085508|XP_037051817.1|BCOP, LOC119085075|XP_037051210.1|BCOP, LOC119085507|XP_037051816.1|BCOP, LOC119085501|XP_037051812.1|BCOP, LOC119082133|XP_037047406.1|BCOP, LOC119085074|XP_037051207.1|BCOP, LOC119073018|XP_037034235.1|BCOP
OG0001465	LOC111604103|XP_023177773.1|DHYD	LOC119081152|XP_037045800.1|BCOP
OG0001466	LOC111595844|XP_023165522.2|DHYD	LOC119079375|XP_037043143.1|BCOP, LOC119079376|XP_037043148.1|BCOP
OG0001467	LOC111592659|XP_023160779.1|DHYD	LOC119085874|XP_037052278.1|BCOP
OG0001468	LOC111604758|XP_023178716.1|DHYD	LOC119080863|XP_037045335.1|BCOP
OG0001469	LOC111592530|XP_030081414.1|DHYD	LOC119081330|XP_037046012.1|BCOP
OG0001470	LOC115483748|XP_030081856.1|DHYD, LOC111600957|XP_023173104.2|DHYD	LOC119074223|XP_037036130.1|BCOP, LOC119074224|XP_037036133.1|BCOP, LOC119074272|XP_037036189.1|BCOP
OG0001471	LOC111597605|XP_023168174.2|DHYD	LOC119075238|XP_037037529.1|BCOP
OG0001472	LOC111598109|XP_023168930.1|DHYD, LOC111592437|XP_023160389.1|DHYD	LOC119073631|XP_037035117.1|BCOP
OG0001473	LOC111602654|XP_023175595.1|DHYD	LOC119068774|XP_037028428.1|BCOP
OG0001474	LOC111600030|XP_023171714.1|DHYD	LOC119083216|XP_037048778.1|BCOP
OG0001475	LOC111599436|XP_023170858.2|DHYD	LOC119085938|XP_037052386.1|BCOP
OG0001476	LOC111600139|XP_030081248.1|DHYD	LOC119073252|XP_037034502.1|BCOP
OG0001477	LOC111597831|XP_023168495.1|DHYD	LOC119080073|XP_037044187.1|BCOP
OG0001478	LOC111599052|XP_030080233.1|DHYD	LOC119084634|XP_037050598.1|BCOP, LOC119066327|XP_037024619.1|BCOP
OG0001479	LOC111593433|XP_023161948.2|DHYD	LOC119081696|XP_037046691.1|BCOP
OG0001480	LOC111599043|XP_023170327.2|DHYD	LOC119079619|XP_037043510.1|BCOP
OG0001481	LOC111599138|XP_023170469.2|DHYD	LOC119085854|XP_037052259.1|BCOP
OG0001482	LOC115483370|XP_030080939.1|DHYD, LOC111600777|XP_030080941.1|DHYD	LOC119078892|XP_037042517.1|BCOP
OG0001483	LOC111592078|XP_023159866.1|DHYD	LOC119069194|XP_037029036.1|BCOP
OG0001485	LOC111592295|XP_023160166.2|DHYD	LOC119066875|XP_037025444.1|BCOP
OG0001486	LOC111595784|XP_023165436.2|DHYD	LOC119075372|XP_037037693.1|BCOP
OG0001487	LOC111594717|XP_023163911.1|DHYD	LOC119071292|XP_037032057.1|BCOP
OG0001488	LOC111595752|XP_023165382.2|DHYD	LOC119080267|XP_037044416.1|BCOP, LOC119080265|XP_037044409.1|BCOP
OG0001489	LOC111592571|XP_030079053.1|DHYD	LOC119082548|XP_037047954.1|BCOP
OG0001490	LOC111594662|XP_023163832.1|DHYD	LOC119082084|XP_037047339.1|BCOP
OG0001491	LOC111595544|XP_023165098.1|DHYD	LOC119078712|XP_037042279.1|BCOP
OG0001493	LOC111605124|XP_023179248.1|DHYD	LOC119075234|XP_037037521.1|BCOP
OG0001494	LOC111598455|XP_023169478.1|DHYD	LOC119077643|XP_037040759.1|BCOP
OG0001495	LOC111600795|XP_023172854.1|DHYD	LOC119074897|XP_037037139.1|BCOP
OG0001496	LOC111591999|XP_023159732.1|DHYD	LOC119074211|XP_037036147.1|BCOP
OG0001497	LOC111604114|XP_023177789.2|DHYD	LOC119078593|XP_037042074.1|BCOP, LOC119081292|XP_037045948.1|BCOP, LOC119072594|XP_037033744.1|BCOP
OG0001498	LOC111603394|XP_023176727.2|DHYD	LOC119074573|XP_037036695.1|BCOP
OG0001500	LOC111594305|XP_023163312.2|DHYD	LOC119068893|XP_037028658.1|BCOP
OG0001501	LOC111592022|XP_023159783.2|DHYD	LOC119080610|XP_037044907.1|BCOP
OG0001502	LOC111602552|XP_023175475.2|DHYD	LOC119079851|XP_037043814.1|BCOP
OG0001503	LOC111597044|XP_023167327.1|DHYD	LOC119083702|XP_037049389.1|BCOP, LOC119077333|XP_037040410.1|BCOP
OG0001504	LOC111597223|XP_023167577.2|DHYD	LOC119072387|XP_037033490.1|BCOP
OG0001505	LOC111595460|XP_030078560.1|DHYD	LOC119082642|XP_037048106.1|BCOP, LOC119082674|XP_037048147.1|BCOP
OG0001506	LOC111592733|XP_023160896.2|DHYD	LOC119081897|XP_037047018.1|BCOP, LOC119073229|XP_037034435.1|BCOP
OG0001506	LOC111592724|XP_023160883.2|DHYD	LOC119079020|XP_037042692.1|BCOP
OG0001507	LOC111601268|XP_030082053.1|DHYD	LOC119071742|XP_037032669.1|BCOP
OG0001508	LOC111594050|XP_023162936.2|DHYD	LOC119080040|XP_037044136.1|BCOP, LOC119066573|XP_037025018.1|BCOP
OG0001509	LOC111597985|XP_023168732.2|DHYD, LOC115482749|XP_030081254.1|DHYD	LOC119083247|XP_037048804.1|BCOP
OG0001510	LOC111602344|XP_023175124.1|DHYD	LOC119081977|XP_037047185.1|BCOP, LOC119072757|XP_037033941.1|BCOP
OG0001511	LOC111593941|XP_023162799.2|DHYD, LOC115483807|XP_030081996.1|DHYD	LOC119066136|XP_037024322.1|BCOP
OG0001512	LOC111593210|XP_023161623.2|DHYD	LOC119071191|XP_037031860.1|BCOP, LOC119077034|XP_037040054.1|BCOP, LOC119071183|XP_037031848.1|BCOP, LOC119071407|XP_037032181.1|BCOP, LOC119071406|XP_037032179.1|BCOP, LOC119071408|XP_037032182.1|BCOP, LOC119071188|XP_037031857.1|BCOP
OG0001513	LOC111595754|XP_023165384.2|DHYD	LOC119071130|XP_037031699.1|BCOP
OG0001515	LOC111601870|XP_023174478.1|DHYD	LOC119076873|XP_037039777.1|BCOP
OG0001517	LOC111593231|XP_023161650.1|DHYD	LOC119085002|XP_037051073.1|BCOP
OG0001518	LOC111598273|XP_030080141.1|DHYD, LOC111598292|XP_023169243.2|DHYD	LOC119067207|XP_037025945.1|BCOP
OG0001534	LOC111596460|XP_023166459.2|DHYD, LOC111596462|XP_023166481.2|DHYD	LOC119069790|XP_037029827.1|BCOP
OG0001535	LOC111600195|XP_023171976.1|DHYD	LOC119081291|XP_037045952.1|BCOP
OG0001536	LOC111602401|XP_023175188.1|DHYD	LOC119083641|XP_037049277.1|BCOP
OG0001537	LOC111599173|XP_023170523.1|DHYD	LOC119070285|XP_037030449.1|BCOP, LOC119070287|XP_037030450.1|BCOP
OG0001538	LOC111596884|XP_023167100.1|DHYD	LOC119084761|XP_037050722.1|BCOP
OG0001539	LOC111603797|XP_023177313.2|DHYD	LOC119080435|XP_037044693.1|BCOP
OG0001540	LOC111595018|XP_023164295.2|DHYD	LOC119077061|XP_037040084.1|BCOP
OG0001541	LOC111597549|XP_023168113.2|DHYD	LOC119067503|XP_037026408.1|BCOP, LOC119074747|XP_037036905.1|BCOP
OG0001542	LOC111602601|XP_030081615.1|DHYD	LOC119083755|XP_037049434.1|BCOP
OG0001543	LOC111598350|XP_023169325.2|DHYD	LOC119067212|XP_037025951.1|BCOP
OG0001544	LOC111604980|XP_023179085.2|DHYD	LOC119068022|XP_037027277.1|BCOP
OG0001544	LOC111605662|XP_030079693.1|DHYD	LOC119068082|XP_037027392.1|BCOP
OG0001545	LOC111602407|XP_023175203.1|DHYD	LOC119071911|XP_037032925.1|BCOP, LOC119067565|XP_037026541.1|BCOP
OG0001546	LOC111602420|XP_023175225.1|DHYD	LOC119084624|XP_037050587.1|BCOP, LOC119069480|XP_037029442.1|BCOP, LOC119071884|XP_037032878.1|BCOP
OG0001547	LOC111601641|XP_023174078.1|DHYD	LOC119067177|XP_037025885.1|BCOP
OG0001548	LOC111593080|XP_023161435.1|DHYD	LOC119067604|XP_037026594.1|BCOP
OG0001549	LOC111602527|XP_023175422.1|DHYD	LOC119078658|XP_037042167.1|BCOP
OG0001550	LOC111601752|XP_023174259.2|DHYD	LOC119067024|XP_037025651.1|BCOP
OG0001551	LOC111603483|XP_023176843.2|DHYD	LOC119068659|XP_037028230.1|BCOP
OG0001552	LOC111597840|XP_023168513.1|DHYD, LOC111593968|XP_023162827.2|DHYD	LOC119069945|XP_037030067.1|BCOP
OG0001553	LOC111604728|XP_023178668.1|DHYD	LOC119068481|XP_037027987.1|BCOP, LOC119077795|XP_037041001.1|BCOP
OG0001554	LOC111601753|XP_023174260.1|DHYD, LOC111601771|XP_030081549.1|DHYD	LOC119068534|XP_037028040.1|BCOP
OG0001556	LOC111602227|XP_023174976.1|DHYD	LOC119069503|XP_037029472.1|BCOP
OG0001557	LOC111605114|XP_023179232.2|DHYD	LOC119077131|XP_037040206.1|BCOP
OG0001558	LOC111596962|XP_023167191.1|DHYD	LOC119085650|XP_037051990.1|BCOP
OG0001559	LOC111596999|XP_023167268.2|DHYD	LOC119069552|XP_037029526.1|BCOP, LOC119067227|XP_037025974.1|BCOP
OG0001560	LOC111604908|XP_023178918.2|DHYD	LOC119070423|XP_037030655.1|BCOP
OG0001561	LOC111601395|XP_023173706.1|DHYD	LOC119078770|XP_037042373.1|BCOP
OG0001562	LOC111605034|XP_023179137.1|DHYD	LOC119073818|XP_037035490.1|BCOP
OG0001563	LOC111598591|XP_023169675.1|DHYD	LOC119067500|XP_037026402.1|BCOP
OG0001564	LOC111596355|XP_023166322.1|DHYD	LOC119067239|XP_037025996.1|BCOP
OG0001565	LOC111605440|XP_023179723.1|DHYD	LOC119067360|XP_037026166.1|BCOP
OG0001566	LOC111602693|XP_023175691.1|DHYD	LOC119067590|XP_037026583.1|BCOP
OG0001567	LOC111592148|XP_023159963.1|DHYD	LOC119085861|XP_037052270.1|BCOP
OG0001568	LOC111601530|XP_023173927.2|DHYD	LOC119069780|XP_037029810.1|BCOP
OG0001570	LOC111605502|XP_023179819.2|DHYD	LOC119070649|XP_037030978.1|BCOP, LOC119070659|XP_037030988.1|BCOP, LOC119067461|XP_037026342.1|BCOP
OG0001571	LOC111597441|XP_023167924.1|DHYD	LOC119066962|XP_037025589.1|BCOP
OG0001572	LOC111595357|XP_023164802.2|DHYD	LOC119073400|XP_037034725.1|BCOP
OG0001573	LOC111599571|XP_030081124.1|DHYD, LOC115483418|XP_030081175.1|DHYD	LOC119082450|XP_037047868.1|BCOP, LOC119083348|XP_037048936.1|BCOP
OG0001574	LOC111602830|XP_023175908.1|DHYD	LOC119071041|XP_037031536.1|BCOP, LOC119073628|XP_037035113.1|BCOP
OG0001575	LOC111597176|XP_023167506.2|DHYD, LOC111597177|XP_030080780.1|DHYD	LOC119070120|XP_037030329.1|BCOP, LOC119071146|XP_037031769.1|BCOP
OG0001576	LOC111604201|XP_023177926.2|DHYD	LOC119082146|XP_037047441.1|BCOP, LOC119084794|XP_037050755.1|BCOP
OG0001577	LOC111592681|XP_023160811.1|DHYD	LOC119076585|XP_037039324.1|BCOP
OG0001578	LOC111602367|XP_023175147.2|DHYD	LOC119066452|XP_037024848.1|BCOP, LOC119085051|XP_037051162.1|BCOP, LOC119085839|XP_037052237.1|BCOP, LOC119082619|XP_037048073.1|BCOP
OG0001579	LOC111603085|XP_023176506.1|DHYD	LOC119083540|XP_037049158.1|BCOP
OG0001580	LOC111604128|XP_023177813.2|DHYD	LOC119080394|XP_037044608.1|BCOP
OG0001581	LOC111592348|XP_023160251.2|DHYD	LOC119081125|XP_037045764.1|BCOP
OG0001582	LOC111593190|XP_023161576.1|DHYD	LOC119073350|XP_037034640.1|BCOP
OG0001584	LOC111597473|XP_023167989.2|DHYD	LOC119074639|XP_037036814.1|BCOP, LOC119067311|XP_037026114.1|BCOP
OG0001585	LOC111605115|XP_023179235.2|DHYD	LOC119067960|XP_037027182.1|BCOP
OG0001586	LOC111602892|XP_023175996.1|DHYD	LOC119081213|XP_037045828.1|BCOP
OG0001587	LOC111600136|XP_023171880.2|DHYD	LOC119071784|XP_037032739.1|BCOP
OG0001588	LOC111604121|XP_023177799.1|DHYD	LOC119073902|XP_037035686.1|BCOP
OG0001589	LOC111594727|XP_023163926.2|DHYD	LOC119072887|XP_037034105.1|BCOP
OG0001590	LOC111597111|XP_023167423.2|DHYD	LOC119071876|XP_037032846.1|BCOP
OG0001591	LOC111595234|XP_030080674.1|DHYD	LOC119082064|XP_037047296.1|BCOP
OG0001592	LOC111591966|XP_030079228.1|DHYD	LOC119066743|XP_037025260.1|BCOP
OG0001593	LOC111591959|XP_030079217.1|DHYD	LOC119066748|XP_037025272.1|BCOP, LOC119066741|XP_037025258.1|BCOP
OG0001595	LOC111605407|XP_023179676.2|DHYD	LOC119073618|XP_037035090.1|BCOP
OG0001596	LOC111594086|XP_023163001.2|DHYD	LOC119074048|XP_037035889.1|BCOP, LOC119082323|XP_037047717.1|BCOP, LOC119078412|XP_037041808.1|BCOP, LOC119077099|XP_037040151.1|BCOP
OG0001597	LOC111593145|XP_023161513.1|DHYD	LOC119081933|XP_037047081.1|BCOP
OG0001598	LOC111600438|XP_030080568.1|DHYD	LOC119081944|XP_037047103.1|BCOP
OG0001599	LOC111596279|XP_023166194.2|DHYD	LOC119077001|XP_037040003.1|BCOP
OG0001601	LOC111596363|XP_023166328.2|DHYD	LOC119078696|XP_037042253.1|BCOP
OG0001602	LOC111600360|XP_023172202.2|DHYD, LOC115483400|XP_030081050.1|DHYD	LOC119085260|XP_037051503.1|BCOP
OG0001603	LOC111603981|XP_023177593.2|DHYD	LOC119072752|XP_037033933.1|BCOP, LOC119072750|XP_037033931.1|BCOP
OG0001604	LOC111602048|XP_023174726.1|DHYD, LOC111601362|XP_023173665.1|DHYD	LOC119084493|XP_037050394.1|BCOP
OG0001605	LOC111602228|XP_023174977.1|DHYD	LOC119073863|XP_037035623.1|BCOP
OG0001606	LOC111600107|XP_023171837.1|DHYD	LOC119071515|XP_037032285.1|BCOP
OG0001607	LOC111602518|XP_023175369.1|DHYD	LOC119081917|XP_037047049.1|BCOP
OG0001608	LOC115483014|XP_030079570.1|DHYD, LOC111600351|XP_023172190.2|DHYD	LOC119069430|XP_037029382.1|BCOP, LOC119070907|XP_037031331.1|BCOP
OG0001609	LOC111600895|XP_023173003.1|DHYD	LOC119080234|XP_037044376.1|BCOP
OG0001610	LOC111600391|XP_023172237.1|DHYD	LOC119085960|XP_037052411.1|BCOP
OG0001611	LOC111599485|XP_023170920.2|DHYD, LOC111594947|XP_023164211.1|DHYD	LOC119078606|XP_037042095.1|BCOP
OG0001612	LOC111596219|XP_023166104.1|DHYD	LOC119068420|XP_037027884.1|BCOP, LOC119085336|XP_037051614.1|BCOP
OG0001613	LOC111592562|XP_023160628.1|DHYD	LOC119078421|XP_037041823.1|BCOP
OG0001614	LOC111597661|XP_023168251.2|DHYD	LOC119084837|XP_037050828.1|BCOP
OG0001615	LOC111592068|XP_023159841.2|DHYD	LOC119082410|XP_037047838.1|BCOP
OG0001616	LOC111595408|XP_023164889.2|DHYD	LOC119075332|XP_037037655.1|BCOP
OG0001617	LOC111597200|XP_030079024.1|DHYD	LOC119071474|XP_037032218.1|BCOP
OG0001618	LOC111597859|XP_023168547.1|DHYD	LOC119078628|XP_037042122.1|BCOP
OG0001619	LOC115483087|XP_030080023.1|DHYD, LOC111593764|XP_023162550.1|DHYD	LOC119071103|XP_037031640.1|BCOP
OG0001620	LOC111594421|XP_023163514.1|DHYD	LOC119085342|XP_037051620.1|BCOP
OG0001621	LOC111594039|XP_023162922.2|DHYD	LOC119066774|XP_037025323.1|BCOP, LOC119080914|XP_037045424.1|BCOP, LOC119077640|XP_037040755.1|BCOP, LOC119070524|XP_037030795.1|BCOP, LOC119066295|XP_037024565.1|BCOP, LOC119083210|XP_037048772.1|BCOP
OG0001622	LOC111603223|XP_023176489.1|DHYD	LOC119068566|XP_037028089.1|BCOP
OG0001623	LOC111599075|XP_023170373.2|DHYD	LOC119083103|XP_037048625.1|BCOP, LOC119083105|XP_037048631.1|BCOP, LOC119083108|XP_037048635.1|BCOP
OG0001624	LOC111596283|XP_023166201.1|DHYD	LOC119085274|XP_037051523.1|BCOP, LOC119075636|XP_037038012.1|BCOP
OG0001625	LOC111604342|XP_023178172.2|DHYD, LOC111592498|XP_023160491.1|DHYD	LOC119066260|XP_037024508.1|BCOP
OG0001626	LOC111594956|XP_023164221.1|DHYD	LOC119074811|XP_037036993.1|BCOP
OG0001628	LOC111600279|XP_023172096.2|DHYD	LOC119076696|XP_037039506.1|BCOP
OG0001629	LOC111598505|XP_023169543.2|DHYD	LOC119077391|XP_037040487.1|BCOP
OG0001630	LOC111597165|XP_023167491.2|DHYD	LOC119077822|XP_037041025.1|BCOP
OG0001631	LOC111599574|XP_023171014.2|DHYD	LOC119083402|XP_037049016.1|BCOP, LOC119076405|XP_037039027.1|BCOP
OG0001632	LOC111603580|XP_023177005.1|DHYD	LOC119068038|XP_037027298.1|BCOP, LOC119068036|XP_037027296.1|BCOP
OG0001633	LOC111604559|XP_023178427.1|DHYD	LOC119084121|XP_037049869.1|BCOP, LOC119077838|XP_037041049.1|BCOP
OG0001634	LOC111598529|XP_023169582.2|DHYD	LOC119073458|XP_037034849.1|BCOP, LOC119071722|XP_037032634.1|BCOP, LOC119085412|XP_037051717.1|BCOP, LOC119066118|XP_037024294.1|BCOP
OG0001635	LOC111602957|XP_023176097.1|DHYD	LOC119073768|XP_037035330.1|BCOP
OG0001636	LOC111603635|XP_023177073.1|DHYD	LOC119066825|XP_037025377.1|BCOP, LOC119069449|XP_037029399.1|BCOP, LOC119086042|XP_037052511.1|BCOP
OG0001637	LOC111595693|XP_023165306.2|DHYD	LOC119072635|XP_037033773.1|BCOP, LOC119085107|XP_037051257.1|BCOP
OG0001638	LOC111596783|XP_023166904.2|DHYD	LOC119076967|XP_037039954.1|BCOP, LOC119073720|XP_037035241.1|BCOP
OG0001639	LOC111600886|XP_030080932.1|DHYD	LOC119076591|XP_037039330.1|BCOP
OG0001640	LOC111603569|XP_023176983.1|DHYD	LOC119076800|XP_037039659.1|BCOP
OG0001641	LOC111593317|XP_023161788.1|DHYD	LOC119083470|XP_037049086.1|BCOP, LOC119079711|XP_037043663.1|BCOP
OG0001642	LOC111594990|XP_023164258.1|DHYD	LOC119066090|XP_037024257.1|BCOP
OG0001643	LOC111602458|XP_023175286.2|DHYD	LOC119078224|XP_037041579.1|BCOP
OG0001645	LOC111597101|XP_023167411.1|DHYD	LOC119071400|XP_037032171.1|BCOP, LOC119071401|XP_037032172.1|BCOP
OG0001646	LOC111595404|XP_023164883.1|DHYD	LOC119071297|XP_037032066.1|BCOP, LOC119071313|XP_037032088.1|BCOP, LOC119071315|XP_037032093.1|BCOP, LOC119071414|XP_037032186.1|BCOP, LOC119071415|XP_037032187.1|BCOP, LOC119071312|XP_037032086.1|BCOP
OG0001647	LOC111601264|XP_030081947.1|DHYD	LOC119066071|XP_037024196.1|BCOP
OG0001648	LOC111603320|XP_023176610.2|DHYD	LOC119074220|XP_037036116.1|BCOP
OG0001649	LOC111593741|XP_023162501.1|DHYD	LOC119082638|XP_037048099.1|BCOP, LOC119082195|XP_037047524.1|BCOP
OG0001650	LOC111594609|XP_023163757.1|DHYD	LOC119085352|XP_037051622.1|BCOP
OG0001651	LOC111600615|XP_023172581.2|DHYD	LOC119081719|XP_037046753.1|BCOP
OG0001652	LOC111603313|XP_023176602.1|DHYD	LOC119070872|XP_037031280.1|BCOP
OG0001653	LOC111600997|XP_023173159.2|DHYD	LOC119071874|XP_037032844.1|BCOP
OG0001654	LOC111604364|XP_023178200.2|DHYD	LOC119069545|XP_037029520.1|BCOP
OG0001655	LOC111592168|XP_023159990.2|DHYD	LOC119077077|XP_037040131.1|BCOP, LOC119083695|XP_037049375.1|BCOP
OG0001656	LOC111597211|XP_023167547.2|DHYD	LOC119068316|XP_037027759.1|BCOP, LOC119067357|XP_037026162.1|BCOP, LOC119071770|XP_037032715.1|BCOP
OG0001657	LOC111595069|XP_023164394.1|DHYD	LOC119086068|XP_037052539.1|BCOP
OG0001658	LOC111591858|XP_023159508.1|DHYD	LOC119071227|XP_037031938.1|BCOP
OG0001659	LOC111604328|XP_023178156.1|DHYD	LOC119071248|XP_037031981.1|BCOP
OG0001660	LOC111602918|XP_023176031.2|DHYD	LOC119082328|XP_037047729.1|BCOP
OG0001661	LOC111602175|XP_023174905.2|DHYD, LOC111602562|XP_023175490.1|DHYD	LOC119078813|XP_037042413.1|BCOP, LOC119085962|XP_037052414.1|BCOP
OG0001663	LOC111594420|XP_023163476.2|DHYD, LOC111594557|XP_023163681.2|DHYD	LOC119068581|XP_037028121.1|BCOP, LOC119068578|XP_037028118.1|BCOP
OG0001678	LOC111596592|XP_030079912.1|DHYD	LOC119084546|XP_037050454.1|BCOP, LOC119077826|XP_037041028.1|BCOP
OG0001679	LOC111597238|XP_023167600.2|DHYD	LOC119068406|XP_037027864.1|BCOP
OG0001680	LOC111594508|XP_023163593.2|DHYD, LOC111593990|XP_023162849.2|DHYD	LOC119067812|XP_037026859.1|BCOP
OG0001681	LOC111596548|XP_023166589.2|DHYD	LOC119070363|XP_037030555.1|BCOP, LOC119076744|XP_037039584.1|BCOP
OG0001682	LOC111602400|XP_023175186.2|DHYD	LOC119085255|XP_037051487.1|BCOP, LOC119069413|XP_037029357.1|BCOP, LOC119078998|XP_037042658.1|BCOP
OG0001683	LOC111598945|XP_023170191.1|DHYD	LOC119070881|XP_037031295.1|BCOP
OG0001684	LOC111597773|XP_023168404.2|DHYD	LOC119077200|XP_037040276.1|BCOP, LOC119076428|XP_037039068.1|BCOP
OG0001685	LOC111602495|XP_023175334.2|DHYD	LOC119077691|XP_037040851.1|BCOP
OG0001686	LOC111595961|XP_023165703.2|DHYD	LOC119069627|XP_037029621.1|BCOP
OG0001687	LOC111591990|XP_023159718.1|DHYD	LOC119068651|XP_037028222.1|BCOP
OG0001688	LOC111597304|XP_023167696.2|DHYD	LOC119076000|XP_037038468.1|BCOP
OG0001689	LOC111597266|XP_030078961.1|DHYD	LOC119075265|XP_037037557.1|BCOP, LOC119084308|XP_037050123.1|BCOP, LOC119069045|XP_037028810.1|BCOP
OG0001690	LOC111594835|XP_023164068.1|DHYD	LOC119080524|XP_037044829.1|BCOP
OG0001691	LOC111602506|XP_023175352.1|DHYD	LOC119077971|XP_037041247.1|BCOP
OG0001693	LOC111604955|XP_023179004.1|DHYD	LOC119069078|XP_037028850.1|BCOP
OG0001694	LOC111596682|XP_023166758.2|DHYD	LOC119069932|XP_037030051.1|BCOP
OG0001695	LOC111594618|XP_023163776.2|DHYD, LOC111597791|XP_030080056.1|DHYD	LOC119067243|XP_037026004.1|BCOP
OG0001696	LOC111601802|XP_023174351.1|DHYD, LOC111601770|XP_023174281.2|DHYD	LOC119067018|XP_037025641.1|BCOP
OG0001697	LOC111598559|XP_023169624.1|DHYD	LOC119067851|XP_037026983.1|BCOP
OG0001698	LOC111593415|XP_023161916.1|DHYD	LOC119068832|XP_037028497.1|BCOP
OG0001699	LOC111601805|XP_023174360.1|DHYD	LOC119067858|XP_037026990.1|BCOP
OG0001700	LOC111603629|XP_023177066.2|DHYD	LOC119077575|XP_037040681.1|BCOP, LOC119084064|XP_037049798.1|BCOP
OG0001701	LOC111594514|XP_030080684.1|DHYD	LOC119069177|XP_037028999.1|BCOP
OG0001702	LOC111603883|XP_023177467.2|DHYD	LOC119066373|XP_037024692.1|BCOP
OG0001703	LOC111603478|XP_023176837.2|DHYD	LOC119068930|XP_037028690.1|BCOP
OG0001704	LOC111603487|XP_023176852.1|DHYD	LOC119068928|XP_037028688.1|BCOP
OG0001705	LOC111595246|XP_023164654.2|DHYD, LOC115483437|XP_030081268.1|DHYD	LOC119067910|XP_037027098.1|BCOP
OG0001706	LOC111594101|XP_030079104.1|DHYD	LOC119081527|XP_037046427.1|BCOP
OG0001707	LOC111596596|XP_030080570.1|DHYD	LOC119070533|XP_037030802.1|BCOP
OG0001708	LOC111594471|XP_023163540.1|DHYD	LOC119068790|XP_037028445.1|BCOP
OG0001709	LOC111598683|XP_023169814.2|DHYD	LOC119068970|XP_037028730.1|BCOP
