Orthogroup	DHYD.longest_only	HILL.longest_only
OG0002216	LOC111597048|XP_030082026.1|DHYD	LOC119658048|XP_037921220.1|HILL
OG0002217	LOC111595685|XP_023165294.2|DHYD	LOC119651310|XP_037910765.1|HILL
OG0002218	LOC111596820|XP_023166955.2|DHYD	LOC119657383|XP_037920196.1|HILL
OG0002219	LOC111605547|XP_023179877.2|DHYD	LOC119657494|XP_037920350.1|HILL
OG0002220	LOC111605498|XP_023179816.2|DHYD	LOC119658101|XP_037921295.1|HILL
OG0002221	LOC111595656|XP_023165247.2|DHYD	LOC119648528|XP_037906224.1|HILL
OG0002222	LOC111604082|XP_023177734.1|DHYD	LOC119659466|XP_037923481.1|HILL
OG0002223	LOC111605288|XP_023179508.1|DHYD	LOC119660616|XP_037925236.1|HILL
OG0002224	LOC111604174|XP_030081415.1|DHYD	LOC119659327|XP_037923288.1|HILL
OG0002225	LOC111603070|XP_023176296.2|DHYD	LOC119647812|XP_037904959.1|HILL
OG0002226	LOC111597645|XP_023168219.1|DHYD	LOC119646855|XP_037903406.1|HILL
OG0002227	LOC111605706|XP_030080884.1|DHYD, LOC115482833|XP_030078927.1|DHYD	LOC119654275|XP_037915480.1|HILL
OG0002228	LOC111594154|XP_023163103.1|DHYD	LOC119646814|XP_037903343.1|HILL
OG0002229	LOC111593896|XP_023162733.2|DHYD	LOC119647063|XP_037903749.1|HILL, LOC119647328|XP_037904194.1|HILL
OG0002230	LOC111605264|XP_023179470.2|DHYD	LOC119651222|XP_037910610.1|HILL
OG0002231	LOC111593798|XP_023162587.2|DHYD	LOC119650627|XP_037909458.1|HILL
OG0002232	LOC111593327|XP_023161807.1|DHYD	LOC119647095|XP_037903793.1|HILL
OG0002233	LOC111598706|XP_023169859.1|DHYD	LOC119649443|XP_037907522.1|HILL
OG0002235	LOC111593755|XP_030081275.1|DHYD	LOC119656207|XP_037918530.1|HILL
OG0002236	LOC111600106|XP_023171836.1|DHYD	LOC119654446|XP_037915780.1|HILL
OG0002237	LOC111600104|XP_023171833.2|DHYD	LOC119648981|XP_037906834.1|HILL
OG0002238	LOC111604657|XP_023178594.2|DHYD	LOC119646673|XP_037903131.1|HILL
OG0002239	LOC111593555|XP_023162179.1|DHYD	LOC119650661|XP_037909529.1|HILL, LOC119660823|XP_037925614.1|HILL
OG0002240	LOC111603847|XP_023177399.1|DHYD	LOC119653608|XP_037914303.1|HILL
OG0002241	LOC111605680|XP_023180116.1|DHYD	LOC119649540|XP_037907655.1|HILL
OG0002242	LOC111602911|XP_023176021.2|DHYD	LOC119650457|XP_037909241.1|HILL
OG0002243	LOC111595978|XP_023165730.2|DHYD	LOC119648974|XP_037906824.1|HILL
OG0002244	LOC111604777|XP_023178752.2|DHYD	LOC119648399|XP_037906071.1|HILL
OG0002245	LOC111603035|XP_023176231.2|DHYD	LOC119647821|XP_037904979.1|HILL
OG0002246	LOC111605736|XP_030080948.1|DHYD	LOC119661166|XP_037926309.1|HILL
OG0002247	LOC111600076|XP_023171783.1|DHYD	LOC119649772|XP_037908000.1|HILL
OG0002248	LOC111595271|XP_023164686.2|DHYD	LOC119650105|XP_037908553.1|HILL
OG0002249	LOC111601563|XP_023173977.1|DHYD	LOC119650067|XP_037908492.1|HILL
OG0002250	LOC111602128|XP_023174844.2|DHYD	LOC119661059|XP_037926188.1|HILL
OG0002251	LOC111602085|XP_023174787.1|DHYD	LOC119646912|XP_037903511.1|HILL
OG0002252	LOC111602115|XP_023174831.2|DHYD	LOC119647096|XP_037903794.1|HILL, LOC119661252|XP_037926428.1|HILL, LOC119661187|XP_037926335.1|HILL
OG0002253	LOC111604085|XP_023177743.2|DHYD	LOC119661309|XP_037926529.1|HILL
OG0002254	LOC111594825|XP_023164058.1|DHYD	LOC119659864|XP_037924104.1|HILL
OG0002255	LOC111604737|XP_023178682.1|DHYD	LOC119659877|XP_037924124.1|HILL
OG0002256	LOC111604080|XP_030081286.1|DHYD	LOC119647267|XP_037904084.1|HILL
OG0002257	LOC111605261|XP_023179467.2|DHYD	LOC119659138|XP_037923001.1|HILL
OG0002258	LOC111601029|XP_023173206.2|DHYD	LOC119649712|XP_037907914.1|HILL
OG0002259	LOC111596523|XP_030079580.1|DHYD	LOC119660723|XP_037925304.1|HILL
OG0002260	LOC111604465|XP_023178315.2|DHYD	LOC119650103|XP_037908551.1|HILL
OG0002261	LOC111605067|XP_023179166.2|DHYD	LOC119649098|XP_037907029.1|HILL
OG0002262	LOC111592113|XP_030081976.1|DHYD	LOC119655348|XP_037917128.1|HILL
OG0002263	LOC111596940|XP_023167160.1|DHYD	LOC119649924|XP_037908255.1|HILL
OG0002264	LOC111604081|XP_023177733.2|DHYD	LOC119646417|XP_037902791.1|HILL
OG0002265	LOC111592965|XP_023161225.1|DHYD	LOC119649321|XP_037907351.1|HILL
OG0002266	LOC111605624|XP_023180044.1|DHYD	LOC119649683|XP_037907872.1|HILL
OG0002267	LOC111592740|XP_023160906.1|DHYD	LOC119647746|XP_037904789.1|HILL
OG0002268	LOC111601675|XP_023174142.1|DHYD	LOC119648816|XP_037906597.1|HILL
OG0002269	LOC111599941|XP_023171558.2|DHYD	LOC119661153|XP_037926293.1|HILL
OG0002270	LOC111594034|XP_023162915.2|DHYD	LOC119646408|XP_037902781.1|HILL
OG0002271	LOC111599814|XP_023171369.2|DHYD	LOC119647797|XP_037904933.1|HILL
OG0002272	LOC111595282|XP_023164703.1|DHYD	LOC119647750|XP_037904797.1|HILL
OG0002273	LOC111593544|XP_023162134.1|DHYD	LOC119649571|XP_037907701.1|HILL
OG0002274	LOC111594922|XP_030081211.1|DHYD	LOC119647790|XP_037904910.1|HILL
OG0002275	LOC111602913|XP_023176024.2|DHYD	LOC119647795|XP_037904925.1|HILL
OG0002277	LOC111592449|XP_023160402.1|DHYD	LOC119649061|XP_037906973.1|HILL
OG0002278	LOC111604776|XP_023178750.2|DHYD	LOC119650383|XP_037909050.1|HILL
OG0002279	LOC111597493|XP_023168019.1|DHYD	LOC119648852|XP_037906657.1|HILL, LOC119649155|XP_037907094.1|HILL
OG0002280	LOC111594881|XP_023164135.2|DHYD	LOC119648199|XP_037905723.1|HILL
OG0002281	LOC111605666|XP_023180098.2|DHYD	LOC119648008|XP_037905336.1|HILL
OG0002282	LOC111595300|XP_023164723.2|DHYD	LOC119649086|XP_037907016.1|HILL
OG0002283	LOC111605260|XP_023179466.2|DHYD	LOC119657305|XP_037920132.1|HILL, LOC119657228|XP_037920008.1|HILL, LOC119657393|XP_037920249.1|HILL
OG0002284	LOC111593295|XP_023161743.1|DHYD	LOC119646518|XP_037902906.1|HILL
OG0002285	LOC111593416|XP_023161926.2|DHYD	LOC119650463|XP_037909255.1|HILL
OG0002286	LOC111593911|XP_023162754.2|DHYD	LOC119649955|XP_037908319.1|HILL
OG0002287	LOC111594033|XP_023162913.2|DHYD	LOC119653021|XP_037913392.1|HILL
OG0002288	LOC111599778|XP_023171313.2|DHYD	LOC119648663|XP_037906373.1|HILL
OG0002289	LOC111605170|XP_023179326.1|DHYD	LOC119649250|XP_037907246.1|HILL
OG0002290	LOC111602260|XP_023175022.2|DHYD	LOC119651797|XP_037911508.1|HILL
OG0002291	LOC111599945|XP_023171564.1|DHYD	LOC119647226|XP_037903991.1|HILL
OG0002292	LOC111599942|XP_023171559.1|DHYD	LOC119653533|XP_037914141.1|HILL
OG0002293	LOC111600001|XP_023171671.2|DHYD	LOC119659415|XP_037923419.1|HILL
OG0002294	LOC111596259|XP_023166162.1|DHYD	LOC119661107|XP_037926231.1|HILL
OG0002295	LOC111602338|XP_023175111.1|DHYD	LOC119653230|XP_037913745.1|HILL
OG0002296	LOC111603874|XP_023177449.2|DHYD	LOC119652982|XP_037913322.1|HILL
OG0002297	LOC111602985|XP_023176148.2|DHYD	LOC119659876|XP_037924122.1|HILL
OG0002298	LOC111600034|XP_023171720.1|DHYD	LOC119656593|XP_037918937.1|HILL
OG0002299	LOC111593196|XP_023161588.1|DHYD	LOC119657831|XP_037920880.1|HILL
OG0002300	LOC111602223|XP_023174970.2|DHYD	LOC119653080|XP_037913497.1|HILL
OG0002301	LOC111592510|XP_023160508.2|DHYD	LOC119653049|XP_037913441.1|HILL
OG0002302	LOC111603743|XP_023177229.2|DHYD	LOC119650848|XP_037909921.1|HILL
OG0002303	LOC111593483|XP_023162012.1|DHYD, LOC111593125|XP_023161494.2|DHYD	LOC119653669|XP_037914431.1|HILL
OG0002304	LOC111598991|XP_023170262.1|DHYD	LOC119652508|XP_037912624.1|HILL
OG0002305	LOC111592277|XP_023160146.2|DHYD	LOC119651745|XP_037911403.1|HILL, LOC119651397|XP_037910906.1|HILL, LOC119652571|XP_037912713.1|HILL
OG0002306	LOC111603953|XP_023177556.2|DHYD	LOC119653029|XP_037913402.1|HILL
OG0002308	LOC111603880|XP_023177462.2|DHYD	LOC119650780|XP_037909817.1|HILL
OG0002309	LOC111603932|XP_023177526.1|DHYD	LOC119651381|XP_037910882.1|HILL
OG0002310	LOC111599187|XP_030080347.1|DHYD	LOC119647257|XP_037904066.1|HILL
OG0002311	LOC111594348|XP_023163372.2|DHYD	LOC119652655|XP_037912835.1|HILL
OG0002312	LOC111592565|XP_023160630.2|DHYD	LOC119652707|XP_037912916.1|HILL
OG0002313	LOC111602589|XP_023175514.1|DHYD	LOC119655802|XP_037917826.1|HILL
OG0002314	LOC111602277|XP_023175041.2|DHYD	LOC119655834|XP_037917872.1|HILL, LOC119655507|XP_037917343.1|HILL
OG0002315	LOC111595473|XP_023165006.2|DHYD	LOC119655367|XP_037917156.1|HILL
OG0002316	LOC111596128|XP_023165967.1|DHYD	LOC119651316|XP_037910774.1|HILL, LOC119646240|XP_037902563.1|HILL
OG0002317	LOC111604313|XP_023178131.1|DHYD	LOC119648385|XP_037906049.1|HILL
OG0002318	LOC111599332|XP_023170721.2|DHYD	LOC119655108|XP_037916758.1|HILL
OG0002319	LOC111603913|XP_023177504.1|DHYD	LOC119652959|XP_037913282.1|HILL
OG0002320	LOC111593382|XP_023161872.2|DHYD	LOC119661768|XP_037927170.1|HILL
OG0002321	LOC111598013|XP_023168780.1|DHYD	LOC119654879|XP_037916414.1|HILL
OG0002322	LOC111600374|XP_023172220.2|DHYD	LOC119651720|XP_037911370.1|HILL
OG0002323	LOC111605568|XP_023179912.1|DHYD	LOC119655386|XP_037917185.1|HILL
OG0002324	LOC111605097|XP_023179204.2|DHYD	LOC119649617|XP_037907765.1|HILL
OG0002325	LOC111597517|XP_023168057.1|DHYD	LOC119649629|XP_037907792.1|HILL
OG0002326	LOC111597595|XP_023168164.1|DHYD	LOC119649630|XP_037907797.1|HILL
OG0002327	LOC111600242|XP_023172050.2|DHYD	LOC119647579|XP_037904514.1|HILL
OG0002328	LOC111592577|XP_023160656.2|DHYD	LOC119651995|XP_037911843.1|HILL
OG0002329	LOC111599094|XP_023170403.2|DHYD, LOC111599108|XP_023170429.1|DHYD	LOC119661282|XP_037926486.1|HILL
OG0002330	LOC111600271|XP_023172087.2|DHYD, LOC111599095|XP_023170404.1|DHYD	LOC119659245|XP_037923156.1|HILL
OG0002331	LOC111594901|XP_023164154.2|DHYD	LOC119646483|XP_037902866.1|HILL, LOC119646794|XP_037903311.1|HILL
OG0002332	LOC111597483|XP_023168002.1|DHYD	LOC119659200|XP_037923095.1|HILL
OG0002333	LOC111593912|XP_023162753.1|DHYD	LOC119657902|XP_037920990.1|HILL
OG0002334	LOC111596277|XP_023166190.2|DHYD	LOC119652270|XP_037912182.1|HILL
OG0002335	LOC111594091|XP_023163009.2|DHYD	LOC119656022|XP_037918209.1|HILL
OG0002336	LOC111592278|XP_023160147.2|DHYD	LOC119648710|XP_037906447.1|HILL
OG0002337	LOC111605214|XP_030081081.1|DHYD	LOC119661456|XP_037926740.1|HILL
OG0002338	LOC111600812|XP_023172878.2|DHYD	LOC119646257|XP_037902586.1|HILL
OG0002339	LOC111599171|XP_030080329.1|DHYD	LOC119661238|XP_037926395.1|HILL, LOC119658619|XP_037922043.1|HILL
OG0002340	LOC111603770|XP_030080423.1|DHYD	LOC119646924|XP_037903532.1|HILL
OG0002341	LOC111597686|XP_023168286.1|DHYD	LOC119646973|XP_037903605.1|HILL
OG0002342	LOC111599315|XP_023170693.1|DHYD	LOC119649030|XP_037906931.1|HILL
OG0002343	LOC111599301|XP_023170679.2|DHYD	LOC119660713|XP_037925287.1|HILL
OG0002344	LOC111594679|XP_023163858.1|DHYD	LOC119651744|XP_037911406.1|HILL
OG0002345	LOC111599897|XP_023171488.2|DHYD	LOC119657767|XP_037920762.1|HILL
OG0002346	LOC111598778|XP_023169958.2|DHYD	LOC119651353|XP_037910840.1|HILL, LOC119653163|XP_037913631.1|HILL
OG0002347	LOC111602321|XP_023175090.2|DHYD	LOC119646674|XP_037903132.1|HILL
OG0002348	LOC111596221|XP_023166106.2|DHYD	LOC119647049|XP_037903733.1|HILL
OG0002349	LOC111599887|XP_023171478.1|DHYD	LOC119658296|XP_037921522.1|HILL
OG0002350	LOC111599916|XP_023171513.2|DHYD	LOC119657278|XP_037920050.1|HILL
OG0002351	LOC111593548|XP_023162169.2|DHYD	LOC119646879|XP_037903434.1|HILL
OG0002352	LOC111592699|XP_023160849.1|DHYD	LOC119647139|XP_037903859.1|HILL
OG0002353	LOC111592066|XP_023159836.1|DHYD	LOC119652308|XP_037912247.1|HILL
OG0002354	LOC111600385|XP_023172230.2|DHYD	LOC119652287|XP_037912211.1|HILL
OG0002355	LOC111592075|XP_023159859.2|DHYD	LOC119651278|XP_037910710.1|HILL
OG0002356	LOC111594185|XP_023163136.2|DHYD	LOC119660436|XP_037924918.1|HILL
OG0002357	LOC111597075|XP_023167377.2|DHYD	LOC119653801|XP_037914745.1|HILL
OG0002358	LOC111597443|XP_023167930.1|DHYD	LOC119656951|XP_037919596.1|HILL
OG0002359	LOC111605292|XP_023179511.1|DHYD	LOC119657707|XP_037920678.1|HILL
OG0002360	LOC111594705|XP_023163895.2|DHYD	LOC119652938|XP_037913255.1|HILL
OG0002361	LOC111604452|XP_023178290.1|DHYD	LOC119650828|XP_037909898.1|HILL
OG0002362	LOC111595195|XP_023164554.2|DHYD	LOC119647434|XP_037904283.1|HILL
OG0002363	LOC111602107|XP_023174822.2|DHYD	LOC119652537|XP_037912672.1|HILL
OG0002364	LOC111602018|XP_023174689.2|DHYD	LOC119649693|XP_037907892.1|HILL
OG0002365	LOC111601061|XP_023173254.2|DHYD	LOC119661179|XP_037926325.1|HILL
OG0002366	LOC111591961|XP_023159672.1|DHYD	LOC119661623|XP_037926971.1|HILL
OG0002367	LOC111599402|XP_023170823.1|DHYD	LOC119661318|XP_037926538.1|HILL
OG0002368	LOC111596358|XP_023166323.1|DHYD	LOC119652467|XP_037912566.1|HILL
OG0002369	LOC111596876|XP_023167092.2|DHYD	LOC119649382|XP_037907428.1|HILL, LOC119660565|XP_037925142.1|HILL
OG0002370	LOC111600333|XP_030081032.1|DHYD, LOC115483001|XP_030079516.1|DHYD	LOC119651809|XP_037911527.1|HILL
OG0002371	LOC111600319|XP_023172146.1|DHYD	LOC119656539|XP_037918816.1|HILL, LOC119651032|XP_037910274.1|HILL, LOC119650814|XP_037909880.1|HILL
OG0002372	LOC111598489|XP_023169514.2|DHYD	LOC119660545|XP_037925112.1|HILL, LOC119646395|XP_037902770.1|HILL
OG0002373	LOC111592923|XP_023161143.1|DHYD	LOC119661102|XP_037926219.1|HILL
OG0002374	LOC111596179|XP_023166050.1|DHYD	LOC119653043|XP_037913433.1|HILL
OG0002375	LOC111604968|XP_023179025.2|DHYD	LOC119660203|XP_037924565.1|HILL
OG0002376	LOC111605053|XP_023179158.1|DHYD	LOC119651132|XP_037910455.1|HILL
OG0002377	LOC111603573|XP_023176991.2|DHYD	LOC119659088|XP_037922929.1|HILL
OG0002378	LOC111597242|XP_023167605.2|DHYD	LOC119649998|XP_037908388.1|HILL
OG0002379	LOC111595825|XP_023165499.2|DHYD, LOC111594182|XP_023163133.1|DHYD	LOC119660040|XP_037924350.1|HILL
OG0002380	LOC111605141|XP_023179289.1|DHYD	LOC119646172|XP_037902478.1|HILL
OG0002381	LOC111595640|XP_023165221.1|DHYD	LOC119653793|XP_037914727.1|HILL
OG0002382	LOC111598281|XP_023169229.2|DHYD	LOC119654175|XP_037915288.1|HILL
OG0002383	LOC111596973|XP_023167217.2|DHYD	LOC119655164|XP_037916840.1|HILL
OG0002384	LOC111597221|XP_030079955.1|DHYD	LOC119655722|XP_037917683.1|HILL
OG0002386	LOC111596694|XP_023166778.2|DHYD	LOC119660530|XP_037925082.1|HILL
OG0002387	LOC111598255|XP_023169189.2|DHYD	LOC119658632|XP_037922074.1|HILL
OG0002388	LOC111602950|XP_023176079.2|DHYD	LOC119660597|XP_037925202.1|HILL
OG0002389	LOC111594830|XP_023164063.1|DHYD	LOC119659861|XP_037924097.1|HILL
OG0002390	LOC111600943|XP_023173085.2|DHYD	LOC119660777|XP_037925481.1|HILL
OG0002391	LOC111595471|XP_023165005.2|DHYD	LOC119654799|XP_037916278.1|HILL
OG0002392	LOC111604483|XP_023178338.2|DHYD	LOC119648776|XP_037906538.1|HILL
OG0002393	LOC111597775|XP_030079468.1|DHYD	LOC119650098|XP_037908545.1|HILL
OG0002394	LOC111603008|XP_023176184.1|DHYD	LOC119660569|XP_037925148.1|HILL
OG0002395	LOC111600267|XP_023172083.2|DHYD	LOC119660359|XP_037924794.1|HILL
OG0002396	LOC111600890|XP_023172995.2|DHYD	LOC119646132|XP_037902409.1|HILL
OG0002397	LOC111600123|XP_023171856.1|DHYD	LOC119660308|XP_037924711.1|HILL
OG0002398	LOC111603215|XP_030079312.1|DHYD	LOC119655398|XP_037917203.1|HILL
OG0002399	LOC111604369|XP_030081985.1|DHYD	LOC119654108|XP_037915199.1|HILL
OG0002400	LOC111600567|XP_023172519.2|DHYD	LOC119655117|XP_037916767.1|HILL
OG0002401	LOC111595880|XP_023165574.2|DHYD	LOC119660972|XP_037925964.1|HILL
OG0002402	LOC111604631|XP_023178530.2|DHYD	LOC119658794|XP_037922439.1|HILL
OG0002403	LOC111604650|XP_023178575.2|DHYD	LOC119658795|XP_037922441.1|HILL
OG0002404	LOC111598325|XP_023169290.2|DHYD	LOC119658822|XP_037922481.1|HILL
OG0002405	LOC111598640|XP_023169755.1|DHYD	LOC119658571|XP_037921946.1|HILL
OG0002406	LOC111604721|XP_030079639.1|DHYD	LOC119648375|XP_037906032.1|HILL
OG0002407	LOC111594430|XP_023163487.2|DHYD	LOC119658730|XP_037922320.1|HILL
OG0002408	LOC111603553|XP_030080599.1|DHYD	LOC119660604|XP_037925218.1|HILL
OG0002410	LOC111604994|XP_023179080.2|DHYD	LOC119660586|XP_037925170.1|HILL
OG0002411	LOC111604919|XP_023178935.1|DHYD	LOC119659118|XP_037922970.1|HILL
OG0002412	LOC111600801|XP_030081575.1|DHYD	LOC119658884|XP_037922597.1|HILL
OG0002413	LOC111602039|XP_023174713.1|DHYD	LOC119655404|XP_037917215.1|HILL
OG0002414	LOC111595390|XP_023164860.1|DHYD	LOC119649954|XP_037908318.1|HILL
OG0002415	LOC111604574|XP_023178444.2|DHYD	LOC119659203|XP_037923099.1|HILL
OG0002416	LOC111593712|XP_023162445.1|DHYD	LOC119660796|XP_037925541.1|HILL
OG0002417	LOC111596000|XP_023165769.1|DHYD	LOC119660805|XP_037925571.1|HILL, LOC119646214|XP_037902524.1|HILL
OG0002418	LOC111598520|XP_023169570.2|DHYD	LOC119658681|XP_037922173.1|HILL
OG0002419	LOC111596815|XP_023166951.2|DHYD	LOC119653741|XP_037914593.1|HILL
OG0002420	LOC111595301|XP_023164724.1|DHYD	LOC119647472|XP_037904337.1|HILL
OG0002421	LOC111593366|XP_023161846.2|DHYD	LOC119647190|XP_037903929.1|HILL
OG0002422	LOC111597159|XP_023167483.2|DHYD	LOC119659721|XP_037923904.1|HILL
OG0002423	LOC111604467|XP_023178317.2|DHYD	LOC119649055|XP_037906961.1|HILL, LOC119647733|XP_037904768.1|HILL
OG0002424	LOC111597707|XP_023168316.1|DHYD	LOC119652081|XP_037911950.1|HILL
OG0002425	LOC111601954|XP_023174586.2|DHYD	LOC119657196|XP_037919928.1|HILL
OG0002426	LOC111597471|XP_023167988.2|DHYD	LOC119653442|XP_037913957.1|HILL
OG0002427	LOC111595885|XP_023165581.1|DHYD	LOC119660873|XP_037925712.1|HILL
OG0002428	LOC111593497|XP_023162032.2|DHYD	LOC119654226|XP_037915372.1|HILL
OG0002429	LOC111604750|XP_023178698.1|DHYD	LOC119649762|XP_037907984.1|HILL
OG0002430	LOC111597043|XP_023167325.2|DHYD	LOC119655477|XP_037917306.1|HILL
OG0002431	LOC111600050|XP_023171742.1|DHYD	LOC119654180|XP_037915295.1|HILL
OG0002432	LOC111600164|XP_023171965.1|DHYD	LOC119655856|XP_037917903.1|HILL
OG0002433	LOC111603484|XP_023176848.1|DHYD	LOC119660906|XP_037925781.1|HILL
OG0002434	LOC111598562|XP_023169628.1|DHYD	LOC119660559|XP_037925127.1|HILL, LOC119660560|XP_037925128.1|HILL
OG0002436	LOC111592228|XP_023160078.1|DHYD	LOC119654974|XP_037916562.1|HILL
OG0002437	LOC111595466|XP_023164997.2|DHYD	LOC119656106|XP_037918349.1|HILL
OG0002438	LOC111596840|XP_030079892.1|DHYD	LOC119654228|XP_037915376.1|HILL
OG0002439	LOC111596336|XP_023166279.2|DHYD	LOC119652633|XP_037912809.1|HILL
OG0002440	LOC111603334|XP_030080927.1|DHYD	LOC119650031|XP_037908440.1|HILL
OG0002441	LOC111592154|XP_023159970.2|DHYD	LOC119654363|XP_037915637.1|HILL
OG0002442	LOC111604371|XP_023178210.2|DHYD	LOC119654472|XP_037915818.1|HILL
OG0002443	LOC111596994|XP_023167258.2|DHYD	LOC119655257|XP_037916981.1|HILL
OG0002444	LOC111596986|XP_023167238.2|DHYD	LOC119655585|XP_037917455.1|HILL
OG0002445	LOC111595530|XP_023165080.1|DHYD	LOC119654997|XP_037916592.1|HILL
OG0002446	LOC111601202|XP_023173460.1|DHYD	LOC119655351|XP_037917131.1|HILL
OG0002447	LOC111597227|XP_023167584.2|DHYD	LOC119648048|XP_037905436.1|HILL
OG0002448	LOC111597948|XP_023168678.1|DHYD	LOC119655254|XP_037916980.1|HILL
OG0002449	LOC111593612|XP_023162250.1|DHYD	LOC119655516|XP_037917352.1|HILL
OG0002450	LOC111597186|XP_023167524.1|DHYD	LOC119651379|XP_037910880.1|HILL
OG0002451	LOC111598040|XP_023168845.1|DHYD	LOC119654699|XP_037916141.1|HILL
OG0002452	LOC111595249|XP_023164662.2|DHYD, LOC115483432|XP_030081259.1|DHYD	LOC119656072|XP_037918280.1|HILL
OG0002453	LOC111595255|XP_023164669.2|DHYD	LOC119654909|XP_037916465.1|HILL
OG0002454	LOC111598690|XP_023169823.2|DHYD	LOC119648715|XP_037906451.1|HILL, LOC119646825|XP_037903372.1|HILL
OG0002455	LOC111598686|XP_023169818.2|DHYD	LOC119648741|XP_037906486.1|HILL
OG0002456	LOC111599729|XP_023171243.2|DHYD	LOC119655658|XP_037917570.1|HILL
OG0002457	LOC111604118|XP_023177793.2|DHYD	LOC119646410|XP_037902782.1|HILL
OG0002458	LOC111602221|XP_023174968.1|DHYD	LOC119647523|XP_037904421.1|HILL
OG0002459	LOC111599691|XP_023171166.2|DHYD	LOC119655273|XP_037917013.1|HILL
OG0002460	LOC111599711|XP_023171211.2|DHYD	LOC119654957|XP_037916543.1|HILL
OG0002461	LOC111599755|XP_023171277.1|DHYD	LOC119655739|XP_037917720.1|HILL
OG0002462	LOC111597922|XP_030081203.1|DHYD	LOC119653574|XP_037914235.1|HILL
OG0002463	LOC111600051|XP_023171743.1|DHYD	LOC119653475|XP_037914021.1|HILL
OG0002464	LOC111604373|XP_023178212.1|DHYD	LOC119654425|XP_037915744.1|HILL
OG0002465	LOC111604365|XP_023178203.1|DHYD	LOC119655627|XP_037917525.1|HILL
OG0002466	LOC111593707|XP_023162433.2|DHYD	LOC119660981|XP_037925992.1|HILL
OG0002467	LOC111593084|XP_023161446.1|DHYD	LOC119649915|XP_037908245.1|HILL
OG0002468	LOC111604515|XP_023178380.2|DHYD	LOC119647951|XP_037905266.1|HILL
OG0002469	LOC111602649|XP_023175585.2|DHYD	LOC119658964|XP_037922766.1|HILL
OG0002470	LOC111599305|XP_023170683.1|DHYD, LOC111597936|XP_023168658.1|DHYD	LOC119655032|XP_037916637.1|HILL
OG0002471	LOC111592655|XP_023160778.1|DHYD	LOC119654376|XP_037915661.1|HILL, LOC119661413|XP_037926676.1|HILL
OG0002472	LOC111598015|XP_023168783.1|DHYD	LOC119654274|XP_037915474.1|HILL
OG0002473	LOC111592197|XP_023160033.1|DHYD	LOC119653549|XP_037914165.1|HILL
OG0002474	LOC111597217|XP_023167560.2|DHYD	LOC119649201|XP_037907174.1|HILL
OG0002475	LOC111603239|XP_023176513.1|DHYD	LOC119654429|XP_037915751.1|HILL
OG0002476	LOC111600554|XP_023172471.1|DHYD	LOC119656275|XP_037918628.1|HILL
OG0002477	LOC111594683|XP_023163874.1|DHYD	LOC119654629|XP_037916028.1|HILL
OG0002478	LOC111598024|XP_023168804.2|DHYD	LOC119653653|XP_037914401.1|HILL
OG0002479	LOC111597982|XP_023168726.2|DHYD	LOC119653693|XP_037914491.1|HILL
OG0002480	LOC111600089|XP_023171797.1|DHYD	LOC119656249|XP_037918591.1|HILL
OG0002481	LOC111593406|XP_023161894.1|DHYD	LOC119654359|XP_037915631.1|HILL
OG0002482	LOC111595485|XP_023165023.2|DHYD	LOC119654812|XP_037916296.1|HILL
OG0002483	LOC111600012|XP_023171685.2|DHYD	LOC119654265|XP_037915460.1|HILL
OG0002484	LOC111600564|XP_023172516.2|DHYD	LOC119656027|XP_037918219.1|HILL
OG0002485	LOC111598001|XP_023168759.2|DHYD	LOC119655679|XP_037917607.1|HILL
OG0002486	LOC111592334|XP_023160228.1|DHYD	LOC119648139|XP_037905613.1|HILL
OG0002487	LOC111592097|XP_023159891.2|DHYD	LOC119653874|XP_037914910.1|HILL
OG0002488	LOC111597107|XP_023167418.1|DHYD	LOC119660954|XP_037925920.1|HILL
OG0002489	LOC111604512|XP_023178376.1|DHYD	LOC119660887|XP_037925736.1|HILL
OG0002490	LOC111594694|XP_023163885.1|DHYD	LOC119654280|XP_037915491.1|HILL
OG0002491	LOC111600975|XP_030082021.1|DHYD, LOC111600992|XP_030081640.1|DHYD	LOC119647915|XP_037905165.1|HILL
OG0002492	LOC111595509|XP_023165051.1|DHYD	LOC119654307|XP_037915554.1|HILL
OG0002493	LOC111598007|XP_023168770.1|DHYD	LOC119655465|XP_037917293.1|HILL
OG0002494	LOC111603470|XP_023176828.2|DHYD	LOC119659460|XP_037923474.1|HILL, LOC119660367|XP_037924804.1|HILL
OG0002495	LOC111602548|XP_023175467.2|DHYD	LOC119654722|XP_037916172.1|HILL
OG0002496	LOC111595169|XP_023164518.1|DHYD	LOC119649826|XP_037908093.1|HILL, LOC119649761|XP_037907983.1|HILL
OG0002497	LOC111604662|XP_023178590.2|DHYD	LOC119655269|XP_037917012.1|HILL, LOC119658933|XP_037922695.1|HILL, LOC119649531|XP_037907646.1|HILL, LOC119650156|XP_037908629.1|HILL
OG0002498	LOC111601670|XP_023174128.2|DHYD	LOC119647689|XP_037904700.1|HILL, LOC119649036|XP_037906923.1|HILL
OG0002499	LOC111598720|XP_030081471.1|DHYD	LOC119648384|XP_037906048.1|HILL, LOC119649210|XP_037907195.1|HILL, LOC119648699|XP_037906435.1|HILL, LOC119649326|XP_037907355.1|HILL, LOC119649447|XP_037907526.1|HILL, LOC119648383|XP_037906047.1|HILL
