Orthogroup	DALB.longest_only	DERE.longest_only
OG0001334	LOC117574234|XP_034113835.1|DALB	LOC6555347|XP_026839639.1|DERE
OG0001335	LOC117575035|XP_034115005.1|DALB	LOC6553840|XP_026839811.1|DERE
OG0001337	LOC117578201|XP_034119421.1|DALB	LOC6550059|XP_026838050.1|DERE
OG0001338	LOC117569979|XP_034107247.1|DALB	LOC6548277|XP_001975259.1|DERE
OG0001339	LOC117571897|XP_034110256.1|DALB	LOC6546591|XP_001975905.2|DERE
OG0001340	LOC117567430|XP_034103319.1|DALB	LOC6544880|XP_001973840.2|DERE
OG0001341	LOC117575550|XP_034115702.1|DALB	LOC6554548|XP_001981949.1|DERE
OG0001342	LOC117573586|XP_034112768.1|DALB	LOC6554185|XP_001981261.1|DERE
OG0001343	LOC117573444|XP_034112556.1|DALB	LOC6552718|XP_001979047.1|DERE
OG0001344	LOC117573437|XP_034112547.1|DALB	LOC6554960|XP_026839874.1|DERE
OG0001345	LOC117573917|XP_034113321.1|DALB	LOC6552044|XP_001980720.1|DERE
OG0001346	LOC117573938|XP_034113355.1|DALB	LOC6552501|XP_001980856.2|DERE, LOC6552502|XP_026834514.1|DERE
OG0001347	LOC117578117|XP_034119193.1|DALB	LOC6549692|XP_001978725.1|DERE
OG0001348	LOC117578246|XP_034119556.1|DALB	LOC6550033|XP_001977499.1|DERE
OG0001349	LOC117570051|XP_034107370.1|DALB, LOC117571506|XP_034109566.1|DALB	LOC6545659|XP_026833979.1|DERE
OG0001350	LOC117568355|XP_034104847.1|DALB, LOC117568352|XP_034104841.1|DALB, LOC117568351|XP_034104839.1|DALB	LOC6544580|XP_026833344.1|DERE
OG0001351	LOC117569929|XP_034107180.1|DALB	LOC6541096|XP_001969111.1|DERE
OG0001352	LOC117568256|XP_034104629.1|DALB	LOC6541987|XP_015014695.1|DERE
OG0001353	LOC117572807|XP_034111804.1|DALB	LOC6544339|XP_026833190.1|DERE
OG0001354	LOC117567795|XP_034103909.1|DALB	LOC6547922|XP_015012652.1|DERE
OG0001355	LOC117567116|XP_034102810.1|DALB	LOC6546656|XP_001974499.1|DERE
OG0001356	LOC117575623|XP_034115790.1|DALB	LOC6551923|XP_026832033.1|DERE
OG0001357	LOC117571169|XP_034109090.1|DALB	LOC6543839|XP_001971411.1|DERE
OG0001358	LOC117568486|XP_034105064.1|DALB	LOC6546068|XP_001972809.1|DERE
OG0001359	LOC117565039|XP_034099878.1|DALB	LOC6541153|XP_001970052.1|DERE
OG0001360	LOC117568862|XP_034105640.1|DALB	LOC6541940|XP_001969119.1|DERE
OG0001361	LOC117567241|XP_034102979.1|DALB	LOC6543973|XP_001972207.2|DERE
OG0001362	LOC117567238|XP_034102964.1|DALB	LOC6543978|XP_001972212.1|DERE
OG0001363	LOC117574942|XP_034114882.1|DALB	LOC6554076|XP_001979514.1|DERE
OG0001364	LOC117567621|XP_034103604.1|DALB	LOC6547257|XP_026836172.1|DERE
OG0001365	LOC117572073|XP_034110551.1|DALB	LOC6544771|XP_001971677.1|DERE
OG0001366	LOC117566876|XP_034102376.1|DALB	LOC6543807|XP_026833950.1|DERE
OG0001367	LOC117568932|XP_034105743.1|DALB	LOC6546677|XP_026837008.1|DERE
OG0001368	LOC117566811|XP_034102250.1|DALB	LOC6541043|XP_026834794.1|DERE
OG0001369	LOC117577649|XP_034118425.1|DALB	LOC6551035|XP_001978254.1|DERE
OG0001370	LOC117569818|XP_034107030.1|DALB	LOC6547807|XP_026836625.1|DERE
OG0001371	LOC117565129|XP_034099985.1|DALB	LOC113564599|XP_026838610.1|DERE, LOC26526097|XP_026838621.1|DERE, LOC26526453|XP_026838611.1|DERE
OG0001372	LOC117571211|XP_034109148.1|DALB	LOC6547078|XP_026836645.1|DERE
OG0001373	LOC117564504|XP_034099212.1|DALB	LOC6543284|XP_026834406.1|DERE
OG0001374	LOC117570254|XP_034107658.1|DALB	LOC6549420|XP_001975653.1|DERE
OG0001375	LOC117575073|XP_034115055.1|DALB	LOC6551754|XP_026831965.1|DERE
OG0001376	LOC117572781|XP_034111768.1|DALB	LOC6546866|XP_001976062.1|DERE
OG0001377	LOC117566053|XP_034101399.1|DALB	LOC6541109|XP_001970215.2|DERE
OG0001378	LOC117565030|XP_034099868.1|DALB, LOC117565313|XP_034100240.1|DALB	LOC6542871|XP_026834559.1|DERE
OG0001379	LOC117565235|XP_034100133.1|DALB	LOC6541976|XP_015015288.1|DERE
OG0001380	LOC117571067|XP_034108927.1|DALB	LOC6542628|XP_001970807.1|DERE
OG0001381	LOC117566945|XP_034102468.1|DALB	LOC6548647|XP_026835712.1|DERE
OG0001382	LOC117577268|XP_034118144.1|DALB, LOC117566716|XP_034102152.1|DALB, LOC117565103|XP_034099952.1|DALB	LOC6541384|XP_015015166.1|DERE
OG0001383	LOC117570330|XP_034107769.1|DALB	LOC6540772|XP_001970388.1|DERE
OG0001384	LOC117566033|XP_034101370.1|DALB	LOC6549501|XP_001974292.1|DERE
OG0001387	LOC117564013|XP_034098503.1|DALB	LOC6542134|XP_026835090.1|DERE
OG0001388	LOC117564849|XP_034099675.1|DALB	LOC6543257|XP_001969423.1|DERE
OG0001389	LOC117573791|XP_034113089.1|DALB	LOC6554303|XP_001982127.2|DERE
OG0001390	LOC117564791|XP_034099600.1|DALB	LOC6542226|XP_001968679.2|DERE
OG0001391	LOC117565682|XP_034100806.1|DALB	LOC6549495|XP_001974286.1|DERE
OG0001392	LOC117578023|XP_034119013.1|DALB	LOC6550767|XP_026838112.1|DERE
OG0001393	LOC117576139|XP_034116599.1|DALB	LOC6549410|XP_001974316.1|DERE
OG0001394	LOC117573215|XP_034112121.1|DALB	LOC6541303|XP_001969465.1|DERE
OG0001395	LOC117576142|XP_034116598.1|DALB	LOC6553175|XP_001980011.1|DERE
OG0001396	LOC117570481|XP_034108057.1|DALB, LOC117578267|XP_034119579.1|DALB	LOC6549705|XP_001977447.1|DERE
OG0001397	LOC117575580|XP_034115737.1|DALB	LOC6554065|XP_026834878.1|DERE
OG0001398	LOC117578216|XP_034119479.1|DALB	LOC6551727|XP_026838833.1|DERE
OG0001399	LOC117567369|XP_034103202.1|DALB	LOC6541212|XP_026839330.1|DERE, LOC26526050|XP_015015440.1|DERE
OG0001400	LOC117575733|XP_034115969.1|DALB	LOC6553635|XP_001980318.1|DERE
OG0001401	LOC117568707|XP_034105412.1|DALB	LOC6545791|XP_001973441.1|DERE
OG0001402	LOC117571806|XP_034110067.1|DALB	LOC6544887|XP_001973151.1|DERE
OG0001403	LOC117569395|XP_034106422.1|DALB	LOC6545527|XP_026832664.1|DERE
OG0001404	LOC117568164|XP_034104485.1|DALB	LOC6549550|XP_015012456.1|DERE
OG0001405	LOC117571173|XP_034109092.1|DALB	LOC6548175|XP_001975158.1|DERE
OG0001406	LOC117574610|XP_034114389.1|DALB	LOC6551605|XP_001977130.1|DERE
OG0001407	LOC117572098|XP_034110596.1|DALB	LOC6543615|XP_026832845.1|DERE
OG0001408	LOC117571374|XP_034109380.1|DALB	LOC6548865|XP_001975451.1|DERE
OG0001411	LOC117575151|XP_034115145.1|DALB, LOC117574447|XP_034114176.1|DALB, LOC117575262|XP_034115289.1|DALB, LOC117574448|XP_034114177.1|DALB, LOC117574843|XP_034114730.1|DALB, LOC117575293|XP_034115331.1|DALB, LOC117574446|XP_034114175.1|DALB, LOC117575026|XP_034114996.1|DALB, LOC117576912|XP_034117942.1|DALB, LOC117575145|XP_034115142.1|DALB	LOC6552522|XP_001979914.1|DERE
OG0001412	LOC117575047|XP_034115021.1|DALB	LOC6547502|XP_001976235.1|DERE, LOC6541658|XP_001969709.1|DERE
OG0001413	LOC117568456|XP_034105023.1|DALB	LOC6546963|XP_001974605.3|DERE, LOC6546962|XP_001974604.1|DERE
OG0001414	LOC117566479|XP_034101902.1|DALB	LOC6541117|XP_026834278.1|DERE
OG0001415	LOC117566782|XP_034102216.1|DALB	LOC6549032|XP_001975541.2|DERE, LOC6549031|XP_001975540.1|DERE
OG0001416	LOC117565921|XP_034101182.1|DALB	LOC6542305|XP_001970047.1|DERE
OG0001417	LOC117566674|XP_034102115.1|DALB	LOC6551564|XP_001978603.1|DERE
OG0001418	LOC117569807|XP_034107012.1|DALB	LOC6544782|XP_001971602.1|DERE, LOC6544781|XP_001971601.1|DERE
OG0001419	LOC117564763|XP_034099552.1|DALB	LOC6540825|XP_001970301.3|DERE
OG0001420	LOC117567112|XP_034102807.1|DALB, LOC117568544|XP_034105152.1|DALB	LOC6555139|XP_001982254.1|DERE
OG0001421	LOC117563418|XP_034097643.1|DALB, LOC117563419|XP_034097644.1|DALB, LOC117563420|XP_034097645.1|DALB	LOC6554053|XP_001980494.1|DERE, LOC6541785|XP_001968472.1|DERE
OG0001422	LOC117569022|XP_034105902.1|DALB	LOC6545541|XP_001971106.1|DERE
OG0001422	LOC117569020|XP_034105900.1|DALB	LOC6545542|XP_026833561.1|DERE
OG0001423	LOC117570593|XP_034108228.1|DALB, LOC117574159|XP_034113735.1|DALB	LOC26525991|XP_015010436.1|DERE, LOC6553128|XP_001980073.1|DERE
OG0001424	LOC117570677|XP_034108367.1|DALB	LOC113563700|XP_026836676.1|DERE, LOC6553480|XP_001980274.1|DERE, LOC6553481|XP_001980275.1|DERE
OG0001429	LOC117575675|XP_034115854.1|DALB	LOC6552691|XP_001979879.1|DERE
OG0001430	LOC117575859|XP_034116169.1|DALB	LOC6553615|XP_001980244.1|DERE
OG0001431	LOC117569330|XP_034106354.1|DALB	LOC6549900|XP_026838512.1|DERE
OG0001432	LOC117570359|XP_034107822.1|DALB	LOC6550246|XP_001977921.2|DERE
OG0001434	LOC117565423|XP_034100401.1|DALB	LOC6550874|XP_015010954.1|DERE
OG0001435	LOC117572107|XP_034110617.1|DALB	LOC6541406|XP_001970512.1|DERE
OG0001436	LOC117568711|XP_034105420.1|DALB	LOC6554905|XP_001981590.3|DERE
OG0001437	LOC117576707|XP_034117613.1|DALB, LOC117563458|XP_034097702.1|DALB	LOC6543470|XP_001970286.1|DERE
OG0001438	LOC117573392|XP_034112483.1|DALB	LOC6555103|XP_001981430.1|DERE
OG0001440	LOC117577621|XP_034118366.1|DALB	LOC6550226|XP_001978194.3|DERE
OG0001441	LOC117577855|XP_034118694.1|DALB	LOC6550364|XP_001977861.1|DERE
OG0001442	LOC117565043|XP_034099881.1|DALB	LOC6542126|XP_001970104.1|DERE
OG0001443	LOC117573360|XP_034112379.1|DALB	LOC6554210|XP_001981227.1|DERE
OG0001444	LOC117576733|XP_034117650.1|DALB	LOC6552944|XP_001981021.1|DERE
OG0001445	LOC117574322|XP_034114024.1|DALB, LOC117575699|XP_034115902.1|DALB	LOC6552130|XP_015009536.1|DERE
OG0001446	LOC117576974|XP_034118042.1|DALB	LOC6554755|XP_001982191.2|DERE
OG0001447	LOC117575421|XP_034115497.1|DALB	LOC6554034|XP_001980507.2|DERE
OG0001448	LOC117573496|XP_034112615.1|DALB	LOC6555324|XP_015009174.1|DERE
OG0001449	LOC117571782|XP_034110030.1|DALB	LOC6548929|XP_001975416.2|DERE
OG0001450	LOC117564631|XP_034099380.1|DALB	LOC6542538|XP_001968861.1|DERE
OG0001451	LOC117569725|XP_034106887.1|DALB	LOC6541747|XP_026834553.1|DERE
OG0001452	LOC117566376|XP_034101763.1|DALB	LOC6547333|XP_026836098.1|DERE
OG0001453	LOC117570774|XP_034108502.1|DALB, LOC117568706|XP_034105411.1|DALB	LOC6546227|XP_001973569.1|DERE
OG0001454	LOC117574547|XP_034114309.1|DALB	LOC6552408|XP_001979806.1|DERE
OG0001455	LOC117572363|XP_034111018.1|DALB	LOC6543913|XP_026833507.1|DERE
OG0001456	LOC117569258|XP_034106224.1|DALB	LOC6541201|XP_026834192.1|DERE
OG0001457	LOC117567126|XP_034102824.1|DALB	LOC6549525|XP_001975817.1|DERE
OG0001458	LOC117571454|XP_034109492.1|DALB	LOC6549335|XP_001975635.1|DERE
OG0001459	LOC117571287|XP_034109245.1|DALB	LOC6545097|XP_001972048.1|DERE
OG0001460	LOC117570283|XP_034107694.1|DALB	LOC6541701|XP_026834623.1|DERE
OG0001461	LOC117578320|XP_034119667.1|DALB	LOC6550354|XP_026837973.1|DERE
OG0001462	LOC117567719|XP_034103769.1|DALB	LOC6545412|XP_001971711.1|DERE
OG0001463	LOC117575123|XP_034115113.1|DALB	LOC6554667|XP_026832162.1|DERE
OG0001464	LOC117573580|XP_034112762.1|DALB	LOC6555714|XP_001982558.1|DERE
OG0001465	LOC117571890|XP_034110246.1|DALB	LOC6547168|XP_001976169.1|DERE
OG0001466	LOC117563863|XP_034098310.1|DALB	LOC6541235|XP_001969712.2|DERE
OG0001467	LOC117563522|XP_034097791.1|DALB	LOC6542256|XP_001969842.1|DERE
OG0001468	LOC117570211|XP_034107593.1|DALB	LOC6545453|XP_015013866.2|DERE
OG0001469	LOC117572439|XP_034111159.1|DALB	LOC6549218|XP_026836328.1|DERE, LOC6554284|XP_001981752.2|DERE
OG0001470	LOC117571048|XP_034108907.1|DALB	LOC6545889|XP_001973431.1|DERE
OG0001471	LOC117572188|XP_034110734.1|DALB	LOC6545127|XP_015013607.1|DERE
OG0001472	LOC117570808|XP_034108554.1|DALB	LOC6544218|XP_001973034.1|DERE
OG0001473	LOC117575244|XP_034115267.1|DALB	LOC6552084|XP_026838647.1|DERE
OG0001475	LOC117568011|XP_034104225.1|DALB	LOC6542184|XP_001969104.1|DERE
OG0001476	LOC117568523|XP_034105116.1|DALB	LOC6550249|XP_026838261.1|DERE
OG0001477	LOC117575131|XP_034115124.1|DALB	LOC6554557|XP_026837003.1|DERE
OG0001478	LOC117565652|XP_034100757.1|DALB	LOC6540776|XP_026834221.1|DERE
OG0001479	LOC117567052|XP_034102671.1|DALB, LOC117577976|XP_034118949.1|DALB	LOC6541335|XP_001969646.1|DERE, LOC6555552|XP_001982410.1|DERE
OG0001480	LOC117563564|XP_034097835.1|DALB	LOC6540822|XP_001968167.1|DERE
OG0001481	LOC117565786|XP_034100953.1|DALB	LOC6549125|XP_026836120.1|DERE
OG0001482	LOC117569703|XP_034106858.1|DALB	LOC6548662|XP_001975384.1|DERE
OG0001483	LOC117565667|XP_034100789.1|DALB, LOC117565666|XP_034100787.1|DALB	LOC6548635|XP_026838669.1|DERE
OG0001484	LOC117565643|XP_034100747.1|DALB	LOC6542544|XP_001968559.1|DERE
OG0001485	LOC117569275|XP_034106268.1|DALB	LOC6545090|XP_001973276.1|DERE
OG0001486	LOC117563237|XP_034097333.1|DALB	LOC6541677|XP_001970227.1|DERE
OG0001487	LOC117564113|XP_034098657.1|DALB	LOC26527072|XP_026838615.1|DERE
OG0001488	LOC117571377|XP_034109381.1|DALB	LOC6549471|XP_001975777.1|DERE
OG0001489	LOC117563385|XP_034097590.1|DALB	LOC6548947|XP_015011964.2|DERE
OG0001490	LOC117564064|XP_034098579.1|DALB	LOC6541656|XP_001968482.1|DERE
OG0001491	LOC117565855|XP_034101072.1|DALB, LOC117565854|XP_034101063.1|DALB	LOC6541139|XP_026835079.1|DERE
OG0001492	LOC117565645|XP_034100750.1|DALB	LOC6542576|XP_001970122.1|DERE
OG0001493	LOC117569113|XP_034106028.1|DALB	LOC6550437|XP_026837813.1|DERE
OG0001494	LOC117571367|XP_034109373.1|DALB	LOC6551443|XP_001978541.1|DERE
OG0001495	LOC117572110|XP_034110620.1|DALB	LOC113563683|XP_026835340.1|DERE
OG0001496	LOC117577775|XP_034118585.1|DALB	LOC6551510|XP_001978581.2|DERE
OG0001497	LOC117567005|XP_034102581.1|DALB	LOC6540620|XP_001970338.1|DERE
OG0001498	LOC117575611|XP_034115774.1|DALB	LOC6552666|XP_001979174.1|DERE
OG0001500	LOC117566489|XP_034101913.1|DALB	LOC6547292|XP_001974774.1|DERE
OG0001501	LOC117575823|XP_034116118.1|DALB	LOC6553784|XP_001980483.1|DERE
OG0001502	LOC117567678|XP_034103691.1|DALB	LOC6548971|XP_026835932.1|DERE
OG0001503	LOC117570265|XP_034107671.1|DALB	LOC6542918|XP_026834344.1|DERE
OG0001504	LOC117573734|XP_034113038.1|DALB	LOC6551549|XP_026837217.1|DERE
OG0001505	LOC117567062|XP_034102680.1|DALB	LOC6548040|XP_015011766.1|DERE
OG0001506	LOC117566402|XP_034101806.1|DALB	LOC6546723|XP_015011626.1|DERE
OG0001507	LOC117572390|XP_034111053.1|DALB	LOC6547979|XP_015012258.1|DERE
OG0001508	LOC117570323|XP_034107755.1|DALB	LOC6547756|XP_001974879.1|DERE
OG0001509	LOC117566800|XP_034102233.1|DALB	LOC6548184|XP_001975093.2|DERE
OG0001510	LOC117563248|XP_034097352.1|DALB	LOC6540675|XP_001968874.1|DERE
OG0001511	LOC117569805|XP_034107010.1|DALB	LOC6548421|XP_026835740.1|DERE
OG0001512	LOC117571410|XP_034109439.1|DALB	LOC6544099|XP_001971440.2|DERE
OG0001513	LOC117569553|XP_034106651.1|DALB	LOC6544654|XP_026832267.1|DERE
OG0001515	LOC117576400|XP_034117009.1|DALB	LOC6555609|XP_001982444.1|DERE
OG0001517	LOC117576969|XP_034118038.1|DALB	LOC6554449|XP_001981517.1|DERE
OG0001518	LOC117578032|XP_034119035.1|DALB	LOC6549683|XP_001977425.1|DERE
OG0001520	LOC117574751|XP_034114583.1|DALB	LOC6552714|XP_001979006.1|DERE, LOC6552567|XP_001979008.1|DERE
OG0001521	LOC117565802|XP_034100979.1|DALB	LOC6549310|XP_001974232.1|DERE
OG0001522	LOC117564513|XP_034099224.1|DALB	LOC26526635|XP_015015542.1|DERE
OG0001523	LOC117571976|XP_034110372.1|DALB, LOC117571110|XP_034108984.1|DALB	LOC6548082|XP_001975173.1|DERE, LOC6548081|XP_001975172.1|DERE
OG0001524	LOC117566744|XP_034102178.1|DALB	LOC6546995|XP_001976037.2|DERE
OG0001525	LOC117576752|XP_034117676.1|DALB	LOC6551052|XP_001977037.3|DERE
OG0001525	LOC117567661|XP_034103674.1|DALB	LOC6551051|XP_026838768.1|DERE
OG0001526	LOC117577691|XP_034118482.1|DALB	LOC6551162|XP_001977060.1|DERE, LOC6551163|XP_001977061.1|DERE
OG0001527	LOC117573777|XP_034113072.1|DALB, LOC117567735|XP_034103796.1|DALB	LOC26526831|XP_015011482.2|DERE
OG0001528	LOC117576895|XP_034117929.1|DALB, LOC117576935|XP_034117970.1|DALB, LOC117574701|XP_034114505.1|DALB, LOC117574879|XP_034114800.1|DALB	LOC26526505|XP_026836306.1|DERE, LOC6552031|XP_015010058.2|DERE
OG0001529	LOC117572442|XP_034111167.1|DALB	LOC6551161|XP_001976862.1|DERE
OG0001530	LOC117565716|XP_034100855.1|DALB	LOC6543271|XP_001969282.1|DERE
OG0001531	LOC117571201|XP_034109137.1|DALB	LOC6547288|XP_001974770.1|DERE
OG0001534	LOC117568395|XP_034104912.1|DALB	LOC6551545|XP_015011364.1|DERE
OG0001535	LOC117575985|XP_034116367.1|DALB	LOC6549873|XP_001978654.1|DERE
OG0001536	LOC117575953|XP_034116323.1|DALB	LOC6550269|XP_001977628.1|DERE
OG0001537	LOC117566226|XP_034101663.1|DALB	LOC6540761|XP_001968181.1|DERE
OG0001538	LOC117577694|XP_034118488.1|DALB	LOC6550836|XP_026837662.1|DERE
OG0001539	LOC117569449|XP_034106504.1|DALB	LOC6547767|XP_001976389.1|DERE
OG0001540	LOC117564789|XP_034099598.1|DALB	LOC6541512|XP_026834456.1|DERE
OG0001541	LOC117569730|XP_034106894.1|DALB	LOC6544234|XP_026833043.1|DERE
OG0001542	LOC117574521|XP_034114272.1|DALB	LOC6551767|XP_026833239.1|DERE
OG0001543	LOC117567228|XP_034102953.1|DALB	LOC6550003|XP_026837345.1|DERE
OG0001544	LOC117570438|XP_034108023.1|DALB	LOC6551110|XP_026837986.1|DERE
OG0001545	LOC117578266|XP_034119582.1|DALB	LOC6549659|XP_001978708.3|DERE
OG0001546	LOC117578255|XP_034119570.1|DALB	LOC6549658|XP_001978707.1|DERE
OG0001547	LOC117573400|XP_034112496.1|DALB	LOC6550847|XP_026837707.1|DERE
OG0001548	LOC117570968|XP_034108805.1|DALB	LOC6550488|XP_026838086.1|DERE
OG0001549	LOC117564445|XP_034099097.1|DALB	LOC6547749|XP_015012611.1|DERE
OG0001550	LOC117575559|XP_034115711.1|DALB	LOC6552053|XP_001980689.1|DERE
OG0001551	LOC117574656|XP_034114451.1|DALB	LOC6554766|XP_026839830.1|DERE
OG0001552	LOC117575024|XP_034114993.1|DALB	LOC6552497|XP_001980852.1|DERE
OG0001553	LOC117577676|XP_034118460.1|DALB	LOC6550902|XP_001976810.1|DERE
OG0001554	LOC117576849|XP_034117832.1|DALB	LOC6551978|XP_015010059.2|DERE
OG0001555	LOC117565340|XP_034100281.1|DALB	LOC6549323|XP_026836131.1|DERE
OG0001556	LOC117572757|XP_034111732.1|DALB	LOC6547046|XP_001974635.1|DERE
OG0001557	LOC117568810|XP_034105565.1|DALB	LOC6551323|XP_026838850.1|DERE
OG0001558	LOC117570538|XP_034108140.1|DALB	LOC6550689|XP_026837905.1|DERE
OG0001559	LOC117575279|XP_034115311.1|DALB	LOC6554942|XP_001982013.1|DERE
OG0001560	LOC117576536|XP_034117252.1|DALB	LOC6553436|XP_026836830.1|DERE
OG0001561	LOC117576029|XP_034116429.1|DALB	LOC6552350|XP_026831936.1|DERE
OG0001562	LOC117578399|XP_034119745.1|DALB	LOC6540869|XP_001970054.2|DERE
OG0001563	LOC117573081|XP_034111862.1|DALB	LOC6544512|XP_001973796.1|DERE
OG0001564	LOC117576321|XP_034116873.1|DALB	LOC6552960|XP_026832137.1|DERE
OG0001565	LOC117575608|XP_034115770.1|DALB	LOC6552927|XP_026839509.1|DERE
OG0001566	LOC117575414|XP_034115485.1|DALB	LOC6551943|XP_001980631.1|DERE
OG0001567	LOC117569382|XP_034106403.1|DALB	LOC6547178|XP_001976076.1|DERE
OG0001568	LOC117576252|XP_034116770.1|DALB	LOC6552626|XP_015010203.1|DERE
OG0001569	LOC117575871|XP_034116193.1|DALB	LOC6553502|XP_001980229.1|DERE
OG0001570	LOC117574197|XP_034113791.1|DALB	LOC6553588|XP_001980284.1|DERE
OG0001571	LOC117565176|XP_034100059.1|DALB	LOC6541476|XP_026835060.1|DERE
OG0001572	LOC117577690|XP_034118481.1|DALB	LOC6550559|XP_001977959.1|DERE
OG0001573	LOC117572789|XP_034111783.1|DALB	LOC6544082|XP_001971939.1|DERE
OG0001574	LOC117572816|XP_034111809.1|DALB	LOC6555805|XP_001982379.1|DERE
OG0001575	LOC117576805|XP_034117756.1|DALB, LOC117576803|XP_034117754.1|DALB	LOC6555108|XP_001982024.1|DERE
OG0001576	LOC117576636|XP_034117453.1|DALB	LOC6551778|XP_001980591.3|DERE
OG0001577	LOC117574344|XP_034114056.1|DALB	LOC6554334|XP_026831720.1|DERE
OG0001578	LOC117572717|XP_034111671.1|DALB	LOC6546929|XP_001974690.1|DERE
OG0001579	LOC117565436|XP_034100421.1|DALB	LOC6550448|XP_026838209.1|DERE
OG0001580	LOC117571885|XP_034110235.1|DALB	LOC6547552|XP_026836095.1|DERE
OG0001581	LOC117570788|XP_034108531.1|DALB	LOC6549792|XP_001977315.2|DERE
OG0001582	LOC117571902|XP_034110265.1|DALB	LOC6546803|XP_001975897.3|DERE
OG0001583	LOC117572182|XP_034110724.1|DALB	LOC6541034|XP_001970560.1|DERE
OG0001584	LOC117566394|XP_034101793.1|DALB	LOC6545203|XP_001971064.1|DERE
OG0001585	LOC117568547|XP_034105160.1|DALB	LOC6551327|XP_015010906.1|DERE
OG0001586	LOC117571409|XP_034109438.1|DALB	LOC6544578|XP_001971457.1|DERE
OG0001587	LOC117567367|XP_034103200.1|DALB	LOC6542066|XP_001970845.1|DERE
OG0001588	LOC117569674|XP_034106812.1|DALB	LOC6542666|XP_026834902.1|DERE
OG0001589	LOC117566042|XP_034101383.1|DALB	LOC6543033|XP_001970884.1|DERE
OG0001590	LOC117571731|XP_034109930.1|DALB	LOC6547424|XP_026835999.1|DERE
OG0001591	LOC117574871|XP_034114786.1|DALB	LOC6554774|XP_015009196.1|DERE
OG0001592	LOC117563622|XP_034097914.1|DALB	LOC6541198|XP_001969725.2|DERE
OG0001593	LOC117563626|XP_034097923.1|DALB	LOC6542752|XP_001969735.1|DERE
OG0001594	LOC117565809|XP_034100989.1|DALB	LOC6543522|XP_026835252.1|DERE
OG0001595	LOC117566957|XP_034102491.1|DALB	LOC6546864|XP_001976060.1|DERE
OG0001596	LOC117565803|XP_034100983.1|DALB	LOC6549312|XP_001974234.1|DERE
OG0001597	LOC117565725|XP_034100865.1|DALB	LOC26526449|XP_015012804.1|DERE
OG0001599	LOC117565621|XP_034100725.1|DALB	LOC6542962|XP_001970072.1|DERE
OG0001600	LOC117578388|XP_034119715.1|DALB	LOC6541124|XP_001968921.2|DERE
OG0001601	LOC117564402|XP_034099018.1|DALB	LOC6543528|XP_001969494.1|DERE
OG0001602	LOC117565233|XP_034100131.1|DALB	LOC6541349|XP_001969299.2|DERE
OG0001603	LOC117565779|XP_034100946.1|DALB	LOC6541741|XP_001969320.2|DERE
OG0001604	LOC117577587|XP_034118322.1|DALB	LOC6551380|XP_026838202.1|DERE
OG0001605	LOC117572758|XP_034111733.1|DALB	LOC6541962|XP_001970442.1|DERE
OG0001606	LOC117569914|XP_034107148.1|DALB	LOC26526125|XP_015015454.1|DERE
OG0001607	LOC117564003|XP_034098484.1|DALB	LOC6547612|XP_001976249.1|DERE
OG0001608	LOC117564349|XP_034098956.1|DALB	LOC6548733|XP_001973984.1|DERE
OG0001609	LOC117571363|XP_034109363.1|DALB	LOC6548348|XP_001975519.2|DERE
OG0001610	LOC117566059|XP_034101406.1|DALB	LOC6549115|XP_001974187.1|DERE
OG0001611	LOC117563994|XP_034098474.1|DALB	LOC6548268|XP_001974114.1|DERE
OG0001612	LOC117565142|XP_034100013.1|DALB	LOC6543536|XP_001970266.1|DERE
OG0001614	LOC117571740|XP_034109948.1|DALB	LOC6543169|XP_026835190.1|DERE
OG0001615	LOC117563797|XP_034098220.1|DALB, LOC117563798|XP_034098221.1|DALB	LOC26526341|XP_015012785.1|DERE, LOC113564623|XP_026838710.1|DERE
OG0001616	LOC117578392|XP_034119731.1|DALB	LOC6541538|XP_001969786.1|DERE
OG0001617	LOC117563315|XP_034097464.1|DALB	LOC6549098|XP_001974210.1|DERE
OG0001618	LOC117573230|XP_034112170.1|DALB	LOC6542940|XP_001969459.2|DERE
OG0001619	LOC117578402|XP_034119747.1|DALB	LOC6541411|XP_001969266.1|DERE
OG0001620	LOC117569327|XP_034106345.1|DALB, LOC117574561|XP_034114327.1|DALB	LOC6548386|XP_001976467.1|DERE
OG0001621	LOC117569383|XP_034106404.1|DALB	LOC6548774|XP_001975429.1|DERE
OG0001622	LOC117563560|XP_034097834.1|DALB	LOC6549894|XP_001977371.1|DERE
OG0001623	LOC117566113|XP_034101474.1|DALB	LOC6540782|XP_001968178.1|DERE
OG0001624	LOC117563365|XP_034097555.1|DALB	LOC6540930|XP_026835251.1|DERE
OG0001625	LOC117571672|XP_034109802.1|DALB, LOC117577418|XP_034118222.1|DALB	LOC6548879|XP_001973975.1|DERE
OG0001626	LOC117565885|XP_034101118.1|DALB	LOC6542166|XP_001970232.1|DERE
OG0001627	LOC117573549|XP_034112719.1|DALB	LOC6553164|XP_026831472.1|DERE
OG0001628	LOC117574367|XP_034114092.1|DALB, LOC117575908|XP_034116245.1|DALB	LOC6554261|XP_001981682.2|DERE
OG0001629	LOC117573131|XP_034111953.1|DALB	LOC26526708|XP_026832188.1|DERE
OG0001630	LOC117574186|XP_034113769.1|DALB	LOC6555109|XP_026832741.1|DERE
