Orthogroup	DALB.longest_only	AEAL.longest_only
OG0000225	LOC117574895|XP_034114823.1|DALB, LOC117576058|XP_034116481.1|DALB, LOC117573300|XP_034112295.1|DALB	LOC109433405|XP_019565381.2|AEAL, LOC115261126|XP_029718353.1|AEAL, LOC109403257|XP_019531584.2|AEAL, LOC109433403|XP_019565379.2|AEAL
OG0000226	LOC117569215|XP_034106180.1|DALB, LOC117569217|XP_034106182.1|DALB, LOC117572309|XP_034110930.1|DALB	LOC109403183|XP_019531486.2|AEAL
OG0000228	LOC117566121|XP_034101488.1|DALB, LOC117576698|XP_034117586.1|DALB, LOC117565580|XP_034100666.1|DALB	LOC109621587|XP_019931211.1|AEAL, LOC115253924|XP_029707601.1|AEAL, LOC109400111|XP_029707641.1|AEAL
OG0000229	LOC117574960|XP_034114913.1|DALB	LOC109411049|XP_029723426.1|AEAL, LOC109400255|XP_029723418.1|AEAL
OG0000229	LOC117574924|XP_034114864.1|DALB	LOC109406499|XP_029713513.1|AEAL
OG0000230	LOC117566559|XP_034101992.1|DALB	LOC109409690|XP_029727561.1|AEAL, LOC109409691|XP_019538711.2|AEAL, LOC109409692|XP_019538712.2|AEAL, LOC109409689|XP_029726018.1|AEAL
OG0000232	LOC117576650|XP_034117478.1|DALB, LOC117566481|XP_034101904.1|DALB, LOC117569347|XP_034106371.1|DALB	LOC109431490|XP_029717845.1|AEAL, LOC115266217|XP_029728050.1|AEAL, LOC109427688|XP_019558823.2|AEAL
OG0000233	LOC117576034|XP_034116445.1|DALB, LOC117576779|XP_034117722.1|DALB, LOC117574223|XP_034113820.1|DALB, LOC117574222|XP_034113819.1|DALB	LOC109397248|XP_019525113.2|AEAL
OG0000235	LOC117574358|XP_034114083.1|DALB, LOC117575557|XP_034115708.1|DALB, LOC117575558|XP_034115709.1|DALB	LOC109418333|XP_029721156.1|AEAL, LOC109427304|XP_029720926.1|AEAL
OG0000236	LOC117563565|XP_034097836.1|DALB, LOC117565148|XP_034100017.1|DALB, LOC117569618|XP_034106749.1|DALB	LOC109425591|XP_029729762.1|AEAL, LOC109411288|XP_029729649.1|AEAL
OG0000237	LOC117572202|XP_034110748.1|DALB	LOC109405971|XP_029732949.1|AEAL, LOC109403775|XP_029722466.1|AEAL
OG0000237	LOC117569093|XP_034106004.1|DALB	LOC109411476|XP_019540549.2|AEAL
OG0000238	LOC117564900|XP_034099743.1|DALB, LOC117565438|XP_034100419.1|DALB	LOC109397549|XP_019525397.2|AEAL, LOC109397530|XP_029714833.1|AEAL, LOC109622822|XP_029714895.1|AEAL
OG0000239	LOC117573550|XP_034112721.1|DALB, LOC117573544|XP_034112714.1|DALB	LOC109415971|XP_029730256.1|AEAL, LOC115264009|XP_029723173.1|AEAL
OG0000240	LOC117576203|XP_034116687.1|DALB, LOC117575742|XP_034115986.1|DALB, LOC117573830|XP_034113151.1|DALB	LOC109428777|XP_029733998.1|AEAL, LOC109397740|XP_029718214.1|AEAL, LOC115267533|XP_029730476.1|AEAL
OG0000241	LOC117572642|XP_034111510.1|DALB, LOC117566477|XP_034101899.1|DALB	LOC109424480|XP_029716851.1|AEAL, LOC115269266|XP_029733679.1|AEAL
OG0000246	LOC117569776|XP_034106966.1|DALB, LOC117569978|XP_034107246.1|DALB	LOC109403367|XP_029731598.1|AEAL, LOC109414932|XP_019544327.3|AEAL, LOC109403351|XP_029731597.1|AEAL, LOC109403373|XP_029731600.1|AEAL, LOC109410735|XP_019539795.2|AEAL, LOC109403353|XP_029731596.1|AEAL, LOC109410739|XP_029731593.1|AEAL, LOC109410743|XP_019539801.2|AEAL, LOC109410762|XP_029731601.1|AEAL, LOC109403372|XP_029733656.1|AEAL
OG0000247	LOC117574615|XP_034114394.1|DALB, LOC117576863|XP_034117856.1|DALB, LOC117576864|XP_034117857.1|DALB, LOC117576102|XP_034116550.1|DALB, LOC117575700|XP_034115904.1|DALB	LOC109406417|XP_019535055.2|AEAL
OG0000248	LOC117572628|XP_034111474.1|DALB, LOC117572312|XP_034110934.1|DALB, LOC117571230|XP_034109169.1|DALB	LOC109425681|XP_019556509.2|AEAL, LOC109423014|XP_019553474.2|AEAL
OG0000249	LOC117565967|XP_034101255.1|DALB, LOC117565966|XP_034101254.1|DALB, LOC117565964|XP_034101251.1|DALB	LOC109404611|XP_019533057.2|AEAL, LOC109411684|XP_019540798.2|AEAL
OG0000250	LOC117565993|XP_034101303.1|DALB, LOC117565991|XP_034101299.1|DALB, LOC117565102|XP_034099951.1|DALB	LOC109419385|XP_019549163.1|AEAL
OG0000251	LOC117578326|XP_034119679.1|DALB, LOC117571305|XP_034109267.1|DALB, LOC117572293|XP_034110893.1|DALB	LOC115254071|XP_029718940.1|AEAL, LOC109411640|XP_029717178.1|AEAL, LOC109428133|XP_019559363.1|AEAL
OG0000252	LOC117568566|XP_034105185.1|DALB, LOC117568667|XP_034105361.1|DALB, LOC117568789|XP_034105519.1|DALB	LOC115265430|XP_029726384.1|AEAL, LOC109408350|XP_029707900.1|AEAL
OG0000255	LOC117569643|XP_034106773.1|DALB	LOC109428976|XP_029730816.1|AEAL
OG0000256	LOC117567676|XP_034103689.1|DALB, LOC117571090|XP_034108965.1|DALB, LOC117568646|XP_034105332.1|DALB, LOC117568158|XP_034104468.1|DALB, LOC117568156|XP_034104465.1|DALB	LOC109421653|XP_019551719.2|AEAL
OG0000257	LOC117567921|XP_034104096.1|DALB	LOC109418502|XP_019548248.2|AEAL
OG0000260	LOC117575882|XP_034116210.1|DALB	LOC109424589|XP_019555308.2|AEAL, LOC109416228|XP_019545766.2|AEAL, LOC115263574|XP_029722673.1|AEAL
OG0000261	LOC117564576|XP_034099309.1|DALB, LOC117564577|XP_034099310.1|DALB, LOC117569119|XP_034106031.1|DALB	LOC109418973|XP_029733571.1|AEAL, LOC109397856|XP_029709785.1|AEAL, LOC115255809|XP_029709851.1|AEAL, LOC109397863|XP_019525749.2|AEAL, LOC109418975|XP_019548745.2|AEAL, LOC109398593|XP_019526530.2|AEAL, LOC109418974|XP_019548744.2|AEAL, LOC109397872|XP_029733464.1|AEAL, LOC115253515|XP_019525758.2|AEAL, LOC109418976|XP_019548746.2|AEAL
OG0000262	LOC117570757|XP_034108471.1|DALB	LOC109403048|XP_029735814.1|AEAL, LOC109408676|XP_029735703.1|AEAL
OG0000263	LOC117569278|XP_034106275.1|DALB	LOC109420562|XP_019550480.2|AEAL, LOC109419859|XP_019549689.2|AEAL
OG0000264	LOC117572669|XP_034111581.1|DALB, LOC117569747|XP_034106929.1|DALB, LOC117573436|XP_034112542.1|DALB	LOC109401451|XP_019529559.1|AEAL, LOC109410471|XP_019539575.1|AEAL
OG0000267	LOC117575604|XP_034115767.1|DALB, LOC117575890|XP_034116222.1|DALB	LOC115256115|XP_029710232.1|AEAL, LOC109414072|XP_019543353.2|AEAL, LOC115256103|XP_029710222.1|AEAL, LOC109414070|XP_019543352.2|AEAL
OG0000268	LOC117576598|XP_034117382.1|DALB	LOC115253511|XP_029707968.1|AEAL, LOC109422203|XP_029732916.1|AEAL, LOC109423167|XP_029710344.1|AEAL, LOC115257163|XP_029712420.1|AEAL, LOC115253928|XP_029707973.1|AEAL, LOC109423111|XP_019553558.1|AEAL, LOC109419080|XP_029736214.1|AEAL, LOC109423112|XP_019553559.1|AEAL, LOC109419888|XP_019549723.1|AEAL, LOC115254542|XP_029707972.1|AEAL
OG0000268	LOC117576597|XP_034117377.1|DALB, LOC117576599|XP_034117384.1|DALB	LOC115254540|XP_029707970.1|AEAL, LOC115257152|XP_029712410.1|AEAL
OG0000269	LOC117573419|XP_034112516.1|DALB	LOC115264224|XP_029723610.1|AEAL, LOC109406198|XP_029732511.1|AEAL
OG0000269	LOC117573427|XP_034112530.1|DALB	LOC109424662|XP_019555377.2|AEAL
OG0000270	LOC117571480|XP_034109533.1|DALB	LOC109425703|XP_019556548.2|AEAL, LOC109422774|XP_019553202.2|AEAL, LOC109425702|XP_019556547.2|AEAL, LOC109422766|XP_019553189.2|AEAL, LOC109397149|XP_019525033.2|AEAL, LOC109411753|XP_029720193.1|AEAL, LOC109425990|XP_019556959.2|AEAL, LOC115268063|XP_029731851.1|AEAL, LOC115268062|XP_029731849.1|AEAL, LOC109425987|XP_019556955.2|AEAL, LOC115268065|XP_029731854.1|AEAL, LOC109425992|XP_019556962.2|AEAL, LOC115268043|XP_029731816.1|AEAL, LOC109425991|XP_019556960.2|AEAL, LOC109425988|XP_019556956.2|AEAL, LOC115268064|XP_029731853.1|AEAL, LOC115264162|XP_029723410.1|AEAL, LOC115269453|XP_029734081.1|AEAL, LOC109398567|XP_029732652.1|AEAL, LOC109425989|XP_019556957.2|AEAL, LOC115268042|XP_029731814.1|AEAL
OG0000271	LOC117564798|XP_034099609.1|DALB, LOC117567329|XP_034103132.1|DALB, LOC117570388|XP_034107892.1|DALB	LOC109622877|XP_019932888.2|AEAL
OG0000272	LOC117571165|XP_034109084.1|DALB	LOC109423438|XP_029733446.1|AEAL
OG0000272	LOC117573246|XP_034112196.1|DALB	LOC115253947|XP_029709284.1|AEAL, LOC109417689|XP_029709257.1|AEAL
OG0000273	LOC117563332|XP_034097491.1|DALB, LOC117574589|XP_034114363.1|DALB	LOC109427331|XP_019558404.2|AEAL
OG0000274	LOC117566436|XP_034101857.1|DALB, LOC117566434|XP_034101856.1|DALB, LOC117566438|XP_034101858.1|DALB	LOC109399761|XP_029723081.1|AEAL, LOC109402005|XP_019530162.2|AEAL
OG0000275	LOC117573200|XP_034112084.1|DALB	LOC115265057|XP_029725114.1|AEAL
OG0000279	LOC117572012|XP_034110424.1|DALB, LOC117572514|XP_034111259.1|DALB	LOC109420901|XP_019550930.2|AEAL, LOC115268383|XP_029732251.1|AEAL, LOC109425977|XP_019556940.2|AEAL
OG0000280	LOC117569633|XP_034106763.1|DALB, LOC117570763|XP_034108486.1|DALB, LOC117569632|XP_034106762.1|DALB	LOC109418076|XP_019547794.2|AEAL
OG0000281	LOC117566933|XP_034102446.1|DALB, LOC117577983|XP_034118970.1|DALB, LOC117577962|XP_034118902.1|DALB	LOC109426582|XP_019557661.2|AEAL
OG0000282	LOC117566397|XP_034101797.1|DALB	LOC109415107|XP_029728069.1|AEAL, LOC115266232|XP_029728072.1|AEAL, LOC109416040|XP_019545551.2|AEAL, LOC109416050|XP_029718774.1|AEAL
OG0000283	LOC117567216|XP_034102936.1|DALB	LOC109400257|XP_019528285.1|AEAL
OG0000284	LOC117566193|XP_034101602.1|DALB	LOC109419776|XP_029708575.1|AEAL, LOC109398225|XP_029708570.1|AEAL
OG0000284	LOC117565092|XP_034099937.1|DALB	LOC115257137|XP_029712380.1|AEAL, LOC115254479|XP_029707890.1|AEAL, LOC115254998|XP_029708564.1|AEAL, LOC109419778|XP_029708567.1|AEAL
OG0000285	LOC117570627|XP_034108284.1|DALB, LOC117570626|XP_034108283.1|DALB	LOC115267674|XP_029730694.1|AEAL, LOC109420926|XP_019550943.2|AEAL, LOC109412662|XP_019541839.2|AEAL
OG0000285	LOC117570629|XP_034108288.1|DALB	LOC115264445|XP_029723996.1|AEAL
OG0000286	LOC117563682|XP_034098004.1|DALB, LOC117564422|XP_034099045.1|DALB, LOC117564425|XP_034099050.1|DALB, LOC117564423|XP_034099046.1|DALB	LOC115268022|XP_029731772.1|AEAL, LOC109426058|XP_029732816.1|AEAL, LOC115268789|XP_029732820.1|AEAL, LOC115268019|XP_029731768.1|AEAL, LOC115268796|XP_029732826.1|AEAL
OG0000292	LOC117566765|XP_034102198.1|DALB, LOC117566712|XP_034102148.1|DALB	LOC115255175|XP_029708967.1|AEAL, LOC109431821|XP_029708512.1|AEAL
OG0000292	LOC117570542|XP_034108147.1|DALB	LOC109402659|XP_029710984.1|AEAL, LOC115268762|XP_029732782.1|AEAL, LOC109402671|XP_029711557.1|AEAL, LOC109402682|XP_019530931.2|AEAL
OG0000293	LOC117575634|XP_034115805.1|DALB, LOC117575635|XP_034115806.1|DALB, LOC117564688|XP_034099454.1|DALB	LOC109401355|XP_019529411.1|AEAL
OG0000294	LOC117563450|XP_034097679.1|DALB	LOC109415132|XP_029728964.1|AEAL
OG0000294	LOC117575672|XP_034115861.1|DALB	LOC115269200|XP_029733519.1|AEAL, LOC115268722|XP_029732732.1|AEAL, LOC109433313|XP_029729095.1|AEAL
OG0000295	LOC117567138|XP_034102843.1|DALB, LOC117576168|XP_034116639.1|DALB	LOC109404608|XP_019533055.2|AEAL, LOC109411777|XP_019540929.2|AEAL
OG0000296	LOC117564154|XP_034098711.1|DALB, LOC117571176|XP_034109094.1|DALB, LOC117577590|XP_034118327.1|DALB	LOC109415679|XP_019545151.2|AEAL
OG0000299	LOC117576279|XP_034116817.1|DALB, LOC117576284|XP_034116822.1|DALB, LOC117576281|XP_034116820.1|DALB	LOC115253904|XP_029730213.1|AEAL
OG0000300	LOC117566465|XP_034101887.1|DALB, LOC117569406|XP_034106433.1|DALB, LOC117566464|XP_034101886.1|DALB	LOC115258786|XP_029715049.1|AEAL, LOC109419513|XP_029715106.1|AEAL, LOC109419514|XP_029715148.1|AEAL, LOC109409354|XP_029715111.1|AEAL
OG0000301	LOC117573169|XP_034112031.1|DALB	LOC109409183|XP_019538149.2|AEAL, LOC109421620|XP_019551667.2|AEAL
OG0000301	LOC117563221|XP_034097306.1|DALB	LOC109432473|XP_029727060.1|AEAL, LOC115265529|XP_029726932.1|AEAL, LOC109432476|XP_019564348.2|AEAL, LOC109421182|XP_029725330.1|AEAL
OG0000302	LOC117569640|XP_034106768.1|DALB, LOC117569641|XP_034106769.1|DALB, LOC117569165|XP_034106119.1|DALB	LOC109429594|XP_019561129.2|AEAL, LOC115264896|XP_029724787.1|AEAL, LOC109408547|XP_019537415.2|AEAL, LOC109429593|XP_019561128.2|AEAL, LOC115264897|XP_029724788.1|AEAL, LOC109408545|XP_019537413.2|AEAL
OG0000303	LOC117569110|XP_034106019.1|DALB, LOC117565274|XP_034100193.1|DALB	LOC115269173|XP_029733441.1|AEAL, LOC115269176|XP_029733444.1|AEAL, LOC109414644|XP_019544031.1|AEAL, LOC115261397|XP_029718867.1|AEAL, LOC109423425|XP_019553953.1|AEAL
OG0000304	LOC117578397|XP_034119743.1|DALB	LOC109429100|XP_019560484.2|AEAL, LOC115258186|XP_029714111.1|AEAL
OG0000305	LOC117571220|XP_034109158.1|DALB	LOC109403458|XP_019531834.2|AEAL
OG0000306	LOC117570753|XP_034108467.1|DALB, LOC117565465|XP_034100462.1|DALB, LOC117575093|XP_034115088.1|DALB	LOC109412996|XP_029729989.1|AEAL, LOC109402217|XP_029730002.1|AEAL
OG0000307	LOC117576837|XP_034117803.1|DALB	LOC115262115|XP_029720007.1|AEAL, LOC109429667|XP_029719854.1|AEAL, LOC109406521|XP_019535159.2|AEAL
OG0000307	LOC117576237|XP_034116747.1|DALB	LOC109399839|XP_029729709.1|AEAL, LOC109425375|XP_029729733.1|AEAL
OG0000311	LOC117565040|XP_034099882.1|DALB	LOC109425252|XP_029716158.1|AEAL, LOC109421877|XP_029716149.1|AEAL, LOC115254050|XP_029717613.1|AEAL
OG0000312	LOC117563255|XP_034097364.1|DALB	LOC109421548|XP_029727106.1|AEAL
OG0000312	LOC117566014|XP_034101325.1|DALB	LOC109409155|XP_029730485.1|AEAL, LOC109421546|XP_019551611.1|AEAL, LOC109409153|XP_019538113.1|AEAL
OG0000313	LOC117565945|XP_034101221.1|DALB, LOC117563792|XP_034098213.1|DALB, LOC117563796|XP_034098217.1|DALB, LOC117563795|XP_034098216.1|DALB	LOC109410834|XP_029725326.1|AEAL, LOC115256251|XP_029710381.1|AEAL, LOC109421171|XP_029710371.1|AEAL
OG0000314	LOC117565974|XP_034101267.1|DALB, LOC117565972|XP_034101260.1|DALB	LOC109429978|XP_019561531.2|AEAL
OG0000315	LOC117565065|XP_034099903.1|DALB	LOC115268056|XP_029731841.1|AEAL, LOC109426005|XP_019556976.2|AEAL, LOC115268055|XP_029731840.1|AEAL, LOC109426006|XP_029731802.1|AEAL
OG0000320	LOC117574102|XP_034113634.1|DALB	LOC109621579|XP_019931201.1|AEAL, LOC115254363|XP_029707705.1|AEAL, LOC109400097|XP_019528122.2|AEAL
OG0000321	LOC117563967|XP_034098445.1|DALB, LOC117563428|XP_034097652.1|DALB	LOC109418355|XP_019548096.2|AEAL, LOC109398616|XP_019526544.2|AEAL, LOC109415681|XP_019545152.2|AEAL, LOC109418348|XP_019548085.2|AEAL, LOC115258848|XP_029715142.1|AEAL, LOC115268209|XP_029732126.1|AEAL, LOC109418328|XP_019548068.2|AEAL, LOC109398596|XP_029715276.1|AEAL
OG0000322	LOC117569192|XP_034106154.1|DALB, LOC117564218|XP_034098837.1|DALB	LOC109404970|XP_019533497.2|AEAL, LOC115261543|XP_029719244.1|AEAL
OG0000323	LOC117563912|XP_034098365.1|DALB, LOC117573484|XP_034112602.1|DALB	LOC115253754|XP_029724316.1|AEAL, LOC109420146|XP_029724344.1|AEAL, LOC109431243|XP_029724314.1|AEAL
OG0000324	LOC117567191|XP_034102909.1|DALB	LOC109399111|XP_019527103.2|AEAL
OG0000325	LOC117570766|XP_034108491.1|DALB, LOC117570970|XP_034108803.1|DALB	LOC115268390|XP_029732255.1|AEAL, LOC109407690|XP_019536384.2|AEAL, LOC109425982|XP_019556949.2|AEAL, LOC115268066|XP_029731855.1|AEAL
OG0000332	LOC117565679|XP_034100804.1|DALB	LOC109621714|XP_019931412.2|AEAL
OG0000333	LOC117569724|XP_034106883.1|DALB	LOC109422359|XP_029721734.1|AEAL, LOC109401270|XP_029725071.1|AEAL, LOC115253507|XP_029716824.1|AEAL
OG0000333	LOC117567518|XP_034103454.1|DALB	LOC115260347|XP_029717135.1|AEAL
OG0000334	LOC117568608|XP_034105260.1|DALB, LOC117566762|XP_034102196.1|DALB	LOC109413713|XP_019542998.1|AEAL
OG0000335	LOC117564531|XP_034099242.1|DALB, LOC117565324|XP_034100254.1|DALB	LOC115258579|XP_029714671.1|AEAL, LOC115262908|XP_029721667.1|AEAL, LOC109409360|XP_029714711.1|AEAL
OG0000338	LOC117570056|XP_034107380.1|DALB	LOC109426844|XP_029725391.1|AEAL
OG0000338	LOC117568531|XP_034105127.1|DALB	LOC109398320|XP_019526219.1|AEAL, LOC109419702|XP_029709837.1|AEAL
OG0000339	LOC117570737|XP_034108450.1|DALB	LOC109417941|XP_029716726.1|AEAL, LOC109426741|XP_019557822.2|AEAL, LOC115255920|XP_029709981.1|AEAL
OG0000339	LOC117570748|XP_034108461.1|DALB	LOC109426655|XP_019557724.2|AEAL, LOC109426657|XP_019557726.2|AEAL, LOC115253908|XP_029727513.1|AEAL
OG0000340	LOC117567156|XP_034102859.1|DALB	LOC109398956|XP_019526953.2|AEAL
OG0000342	LOC117576112|XP_034116564.1|DALB, LOC117574579|XP_034114350.1|DALB, LOC117571086|XP_034108960.1|DALB	LOC109423012|XP_019553471.1|AEAL, LOC109415625|XP_019545070.1|AEAL
OG0000343	LOC117573686|XP_034112930.1|DALB	LOC109430404|XP_019562010.2|AEAL, LOC109430403|XP_019562009.2|AEAL
OG0000343	LOC117576089|XP_034116529.1|DALB	LOC109430394|XP_019562002.2|AEAL, LOC109408865|XP_019537778.2|AEAL, LOC109430401|XP_019562007.2|AEAL
OG0000344	LOC117570793|XP_034108539.1|DALB, LOC117576726|XP_034117639.1|DALB	LOC109399854|XP_019527889.2|AEAL, LOC109425365|XP_019556158.2|AEAL, LOC109399864|XP_019527898.2|AEAL, LOC109425363|XP_019556156.2|AEAL
OG0000345	LOC117572184|XP_034110729.1|DALB	LOC109423314|XP_019553792.2|AEAL
OG0000345	LOC117572575|XP_034111348.1|DALB	LOC109420413|XP_019550291.2|AEAL, LOC115253807|XP_029712798.1|AEAL
OG0000346	LOC117570387|XP_034107890.1|DALB	LOC115270450|XP_029736043.1|AEAL, LOC115270456|XP_029736046.1|AEAL
OG0000347	LOC117565574|XP_034100645.1|DALB, LOC117571200|XP_034109135.1|DALB	LOC109402735|XP_019530990.2|AEAL
OG0000347	LOC117564059|XP_034098572.1|DALB	LOC109398531|XP_029710049.1|AEAL, LOC115253617|XP_029715199.1|AEAL
OG0000348	LOC117565333|XP_034100273.1|DALB	LOC109427907|XP_019559072.2|AEAL
OG0000349	LOC117566057|XP_034101404.1|DALB	LOC109401544|XP_029715710.1|AEAL, LOC115254135|XP_029724522.1|AEAL, LOC109412611|XP_029724434.1|AEAL
OG0000351	LOC117568760|XP_034105487.1|DALB, LOC117566488|XP_034101912.1|DALB	LOC109430379|XP_019561986.1|AEAL, LOC109622829|XP_029715244.1|AEAL, LOC109413276|XP_019542546.1|AEAL, LOC109430385|XP_019561994.2|AEAL, LOC109413278|XP_029713171.1|AEAL
OG0000353	LOC117574901|XP_034114830.1|DALB	LOC109402421|XP_029729908.1|AEAL, LOC109405422|XP_019534032.1|AEAL
OG0000353	LOC117563247|XP_034097350.1|DALB	LOC109428239|XP_029728367.1|AEAL, LOC115266377|XP_029728466.1|AEAL
OG0000355	LOC117572656|XP_034111540.1|DALB, LOC117566977|XP_034102529.1|DALB	LOC109408907|XP_019537835.2|AEAL, LOC109418464|XP_029728816.1|AEAL, LOC109408909|XP_019537837.2|AEAL
OG0000356	LOC117563677|XP_034097995.1|DALB, LOC117564977|XP_034099813.1|DALB	LOC109429923|XP_029728612.1|AEAL, LOC109429550|XP_029720091.1|AEAL, LOC109429787|XP_029720175.1|AEAL, LOC109398287|XP_029720168.1|AEAL
OG0000357	LOC117577468|XP_034118242.1|DALB, LOC117577469|XP_034118244.1|DALB, LOC117577301|XP_034118165.1|DALB, LOC117577306|XP_034118167.1|DALB, LOC117577449|XP_034118231.1|DALB, LOC117577305|XP_034118166.1|DALB, LOC117577307|XP_034118168.1|DALB, LOC117577471|XP_034118245.1|DALB	LOC115266728|XP_029729127.1|AEAL, LOC109408589|XP_029734567.1|AEAL
OG0000361	LOC117565676|XP_034100800.1|DALB, LOC117565673|XP_034100796.1|DALB	LOC109431162|XP_019562911.2|AEAL
OG0000362	LOC117573184|XP_034112059.1|DALB	LOC109406929|XP_019535478.2|AEAL, LOC109405946|XP_019534539.1|AEAL
OG0000362	LOC117568679|XP_034105375.1|DALB	LOC109426897|XP_029721185.1|AEAL
OG0000363	LOC117575649|XP_034115823.1|DALB	LOC109400186|XP_029728046.1|AEAL, LOC109427106|XP_029728131.1|AEAL
OG0000363	LOC117568929|XP_034105731.1|DALB	LOC115253732|XP_029726693.1|AEAL, LOC109418888|XP_029725302.1|AEAL
OG0000364	LOC117567728|XP_034103780.1|DALB	LOC115265361|XP_029725956.1|AEAL, LOC115265147|XP_029725258.1|AEAL, LOC109419627|XP_029725946.1|AEAL, LOC115265146|XP_029725257.1|AEAL
OG0000364	LOC117567729|XP_034103781.1|DALB	LOC115265359|XP_029725933.1|AEAL, LOC109419679|XP_029725958.1|AEAL
OG0000365	LOC117567394|XP_034103236.1|DALB	LOC115269981|XP_029734708.1|AEAL, LOC109426679|XP_029725547.1|AEAL
OG0000365	LOC117566145|XP_034101522.1|DALB	LOC109433025|XP_029716907.1|AEAL, LOC115259068|XP_029715441.1|AEAL
OG0000366	LOC117578282|XP_034119610.1|DALB	LOC109429237|XP_029718708.1|AEAL, LOC109398891|XP_029714395.1|AEAL
OG0000366	LOC117575390|XP_034115456.1|DALB	LOC109427117|XP_029727911.1|AEAL, LOC115266261|XP_029728094.1|AEAL
OG0000367	LOC117568412|XP_034104944.1|DALB, LOC117569812|XP_034107020.1|DALB	LOC115254671|XP_029708149.1|AEAL, LOC109424434|XP_019555089.2|AEAL, LOC109422336|XP_029708161.1|AEAL, LOC109424433|XP_029708143.1|AEAL, LOC109422335|XP_029708155.1|AEAL
OG0000368	LOC117567356|XP_034103184.1|DALB	LOC109425955|XP_029731785.1|AEAL, LOC109407632|XP_029731882.1|AEAL, LOC109425952|XP_019556902.2|AEAL, LOC109407629|XP_019536314.2|AEAL, LOC115256951|XP_029712015.1|AEAL
OG0000376	LOC117568119|XP_034104412.1|DALB, LOC117577604|XP_034118341.1|DALB, LOC117577611|XP_034118351.1|DALB	LOC115255627|XP_029709576.1|AEAL, LOC109405358|XP_019533957.1|AEAL, LOC109397814|XP_019525684.1|AEAL, LOC115255639|XP_029709595.1|AEAL
OG0000377	LOC117564203|XP_034098784.1|DALB, LOC117571135|XP_034109028.1|DALB	LOC109404664|XP_019533138.2|AEAL, LOC109401438|XP_019529541.2|AEAL, LOC109410397|XP_019547024.2|AEAL, LOC109417375|XP_019547022.2|AEAL, LOC109405673|XP_019534284.2|AEAL
OG0000378	LOC117567006|XP_034102582.1|DALB	LOC109431293|XP_019563055.1|AEAL, LOC109431993|XP_029710254.1|AEAL, LOC109407753|XP_029715571.1|AEAL, LOC109418937|XP_029729314.1|AEAL
OG0000379	LOC117566832|XP_034102296.1|DALB	LOC109403232|XP_019531556.1|AEAL
OG0000380	LOC117570332|XP_034107774.1|DALB	LOC109412504|XP_019541667.1|AEAL, LOC109420807|XP_019550799.1|AEAL, LOC115270399|XP_029735874.1|AEAL
OG0000381	LOC117563594|XP_034097872.1|DALB, LOC117563630|XP_034097928.1|DALB, LOC117563599|XP_034097879.1|DALB, LOC117563591|XP_034097867.1|DALB, LOC117565286|XP_034100205.1|DALB, LOC117569481|XP_034106541.1|DALB, LOC117564593|XP_034099331.1|DALB	LOC115258588|XP_029714697.1|AEAL, LOC109622899|XP_019932914.1|AEAL, LOC115258623|XP_029714780.1|AEAL
OG0000382	LOC117571255|XP_034109200.1|DALB	LOC109426146|XP_029721602.1|AEAL, LOC109418415|XP_019548145.2|AEAL, LOC115262872|XP_029721609.1|AEAL, LOC109426147|XP_029708055.1|AEAL, LOC109418366|XP_029721920.1|AEAL, LOC115263629|XP_029722706.1|AEAL, LOC109417593|XP_019547198.2|AEAL
OG0000383	LOC117565186|XP_034100079.1|DALB, LOC117564663|XP_034099417.1|DALB	LOC109398262|XP_029708578.1|AEAL, LOC109419782|XP_029715631.1|AEAL, LOC115255013|XP_029708576.1|AEAL, LOC109420591|XP_019550499.2|AEAL
OG0000384	LOC117571100|XP_034108973.1|DALB	LOC109621343|XP_019930937.2|AEAL
OG0000384	LOC117568302|XP_034104736.1|DALB	LOC109421514|XP_019930939.2|AEAL
OG0000385	LOC117577817|XP_034118639.1|DALB	LOC109420121|XP_019549975.2|AEAL, LOC115254129|XP_029724332.1|AEAL
OG0000385	LOC117577818|XP_034118643.1|DALB	LOC109411423|XP_029730869.1|AEAL, LOC109428856|XP_019560234.2|AEAL
OG0000386	LOC117568177|XP_034104503.1|DALB, LOC117575199|XP_034115207.1|DALB	LOC115260377|XP_029717200.1|AEAL
OG0000389	LOC117577392|XP_034118191.1|DALB	LOC109402171|XP_029715114.1|AEAL
OG0000389	LOC117570394|XP_034107903.1|DALB	LOC109623394|XP_019933496.2|AEAL
OG0000390	LOC117565866|XP_034101093.1|DALB	LOC109418558|XP_029713073.1|AEAL, LOC109413120|XP_029713072.1|AEAL, LOC109422824|XP_019553263.2|AEAL, LOC115260637|XP_029717566.1|AEAL, LOC109401827|XP_019529985.2|AEAL, LOC109412092|XP_019541278.2|AEAL, LOC109412093|XP_029709661.1|AEAL, LOC109401826|XP_029709663.1|AEAL, LOC109404625|XP_019533080.2|AEAL
OG0000391	LOC117572754|XP_034111729.1|DALB	LOC109622842|XP_029726622.1|AEAL, LOC115256936|XP_029711996.1|AEAL
OG0000391	LOC117570348|XP_034107796.1|DALB	LOC115257016|XP_029712117.1|AEAL, LOC109623276|XP_019933333.1|AEAL
