Orthogroup	DALB.longest_only	DEUG.longest_only
OG0002063	LOC117575547|XP_034115699.1|DALB	LOC108109724|XP_017073858.1|DEUG
OG0002064	LOC117578154|XP_034119264.1|DALB	LOC108108141|XP_017071557.1|DEUG
OG0002065	LOC117572355|XP_034111009.1|DALB	LOC108107826|XP_017071065.1|DEUG
OG0002066	LOC117576032|XP_034116433.1|DALB	LOC108116352|XP_017083656.1|DEUG
OG0002067	LOC117567923|XP_034104098.1|DALB	LOC108107327|XP_017070302.1|DEUG
OG0002068	LOC117570527|XP_034108121.1|DALB	LOC108113089|XP_017079024.1|DEUG
OG0002069	LOC117570311|XP_034107746.1|DALB	LOC108107025|XP_017069862.1|DEUG
OG0002070	LOC117573548|XP_034112718.1|DALB	LOC108116524|XP_017083950.1|DEUG
OG0002071	LOC117576524|XP_034117237.1|DALB	LOC108113742|XP_017079920.1|DEUG
OG0002072	LOC117571985|XP_034110383.1|DALB	LOC108113368|XP_017079424.1|DEUG
OG0002073	LOC117570467|XP_034108020.1|DALB	LOC108104276|XP_017065716.1|DEUG
OG0002074	LOC117567099|XP_034102769.1|DALB	LOC108106780|XP_017069510.1|DEUG
OG0002075	LOC117565273|XP_034100192.1|DALB	LOC108107164|XP_017070065.1|DEUG
OG0002076	LOC117572640|XP_034111502.1|DALB	LOC108112911|XP_017078771.1|DEUG
OG0002077	LOC117567511|XP_034103443.1|DALB	LOC108102794|XP_017063451.1|DEUG
OG0002078	LOC117568965|XP_034105814.1|DALB	LOC108106249|XP_017068704.1|DEUG
OG0002079	LOC117568582|XP_034105206.1|DALB	LOC108114332|XP_017080745.1|DEUG
OG0002080	LOC117568762|XP_034105489.1|DALB	LOC108113176|XP_017079182.1|DEUG
OG0002081	LOC117572064|XP_034110534.1|DALB	LOC108107495|XP_017070532.1|DEUG
OG0002082	LOC117572725|XP_034111681.1|DALB	LOC108112714|XP_017078429.1|DEUG
OG0002083	LOC117572231|XP_034110843.1|DALB	LOC108103296|XP_017064204.1|DEUG
OG0002084	LOC117568546|XP_034105155.1|DALB	LOC108112671|XP_017078299.1|DEUG
OG0002085	LOC117569081|XP_034105988.1|DALB	LOC108112964|XP_017078853.1|DEUG
OG0002086	LOC117570289|XP_034107701.1|DALB	LOC108113323|XP_017079366.1|DEUG
OG0002087	LOC117571793|XP_034110045.1|DALB	LOC108107558|XP_017070600.1|DEUG
OG0002088	LOC117571146|XP_034109039.1|DALB	LOC108114396|XP_017080858.1|DEUG
OG0002089	LOC117567435|XP_034103333.1|DALB	LOC108103916|XP_017065152.1|DEUG, LOC108104511|XP_017066120.1|DEUG
OG0002090	LOC117567440|XP_034103339.1|DALB, LOC117566532|XP_034101963.1|DALB, LOC117570033|XP_034107347.1|DALB	LOC108114570|XP_017081110.1|DEUG
OG0002091	LOC117566708|XP_034102144.1|DALB	LOC108107234|XP_017070141.1|DEUG
OG0002092	LOC117572319|XP_034110942.1|DALB	LOC108114255|XP_017080640.1|DEUG
OG0002093	LOC117571533|XP_034109614.1|DALB	LOC108112009|XP_017077236.1|DEUG
OG0002094	LOC117569587|XP_034106708.1|DALB	LOC108107232|XP_017070139.1|DEUG
OG0002095	LOC117568934|XP_034105754.1|DALB	LOC108105108|XP_017067031.1|DEUG
OG0002096	LOC117570725|XP_034108430.1|DALB	LOC108106469|XP_017069028.1|DEUG
OG0002097	LOC117566759|XP_034102193.1|DALB	LOC108104812|XP_017066585.1|DEUG
OG0002098	LOC117571606|XP_034109714.1|DALB	LOC108108800|XP_017072470.1|DEUG
OG0002099	LOC117574988|XP_034114949.1|DALB	LOC108109528|XP_017073581.1|DEUG
OG0002100	LOC117572806|XP_034111798.1|DALB	LOC108118242|XP_017086319.1|DEUG
OG0002101	LOC117567076|XP_034102713.1|DALB	LOC108113412|XP_017079458.1|DEUG
OG0002102	LOC117566809|XP_034102248.1|DALB	LOC108109088|XP_017072946.1|DEUG
OG0002103	LOC117574900|XP_034114829.1|DALB	LOC108109548|XP_017073607.1|DEUG
OG0002106	LOC117575973|XP_034116342.1|DALB	LOC108109540|XP_017073598.1|DEUG
OG0002109	LOC117574723|XP_034114542.1|DALB, LOC117575278|XP_034115310.1|DALB	LOC108109016|XP_017072790.1|DEUG, LOC108109007|XP_017072770.1|DEUG
OG0002110	LOC117563700|XP_034098035.1|DALB	LOC108108509|XP_017072066.1|DEUG, LOC108105720|XP_017067924.1|DEUG
OG0002111	LOC117564493|XP_034099198.1|DALB	LOC108110618|XP_017075206.1|DEUG, LOC108110426|XP_017074982.1|DEUG
OG0002112	LOC117565016|XP_034099852.1|DALB	LOC108111346|XP_017076270.1|DEUG
OG0002113	LOC117575367|XP_034115423.1|DALB	LOC108106109|XP_017068515.1|DEUG, LOC108106186|XP_017068634.1|DEUG
OG0002114	LOC117575306|XP_034115350.1|DALB	LOC108111296|XP_017076175.1|DEUG, LOC108111315|XP_017076198.1|DEUG
OG0002117	LOC117578098|XP_034119164.1|DALB	LOC108109279|XP_017073260.1|DEUG
OG0002118	LOC117573149|XP_034111989.1|DALB	LOC108117448|XP_017085354.1|DEUG
OG0002119	LOC117576428|XP_034117065.1|DALB	LOC108113728|XP_017079903.1|DEUG
OG0002120	LOC117573221|XP_034112140.1|DALB	LOC108102378|XP_017062791.1|DEUG
OG0002121	LOC117576121|XP_034116570.1|DALB	LOC108116026|XP_017083202.1|DEUG
OG0002123	LOC117564608|XP_034099354.1|DALB	LOC108107033|XP_017069879.1|DEUG
OG0002124	LOC117577700|XP_034118490.1|DALB	LOC108110002|XP_017074328.1|DEUG
OG0002125	LOC117571548|XP_034109641.1|DALB	LOC108106383|XP_017068872.1|DEUG
OG0002126	LOC117571805|XP_034110062.1|DALB	LOC108113940|XP_017080137.1|DEUG
OG0002127	LOC117578196|XP_034119409.1|DALB	LOC108105381|XP_017067411.1|DEUG
OG0002128	LOC117578063|XP_034119092.1|DALB	LOC108109934|XP_017074225.1|DEUG
OG0002129	LOC117573358|XP_034112376.1|DALB	LOC108117176|XP_017084949.1|DEUG
OG0002130	LOC117572250|XP_034110832.1|DALB	LOC108102459|XP_017062956.1|DEUG
OG0002131	LOC117575274|XP_034115304.1|DALB	LOC108105267|XP_017067236.1|DEUG
OG0002133	LOC117574504|XP_034114250.1|DALB	LOC108103859|XP_017065055.1|DEUG
OG0002134	LOC117577475|XP_034118251.1|DALB	LOC108105364|XP_017067379.1|DEUG
OG0002135	LOC117577802|XP_034118622.1|DALB	LOC108103448|XP_017064418.1|DEUG
OG0002136	LOC117574812|XP_034114670.1|DALB	LOC108111424|XP_017076372.1|DEUG
OG0002137	LOC117574105|XP_034113644.1|DALB	LOC108116599|XP_017084042.1|DEUG
OG0002138	LOC117566886|XP_034102394.1|DALB	LOC108117624|XP_017085643.1|DEUG
OG0002139	LOC117569399|XP_034106429.1|DALB	LOC108110403|XP_017074958.1|DEUG
OG0002140	LOC117573192|XP_034112078.1|DALB	LOC108103158|XP_017064028.1|DEUG
OG0002141	LOC117573177|XP_034112038.1|DALB	LOC108108645|XP_017072240.1|DEUG
OG0002142	LOC117575223|XP_034115241.1|DALB	LOC108115018|XP_017081749.1|DEUG
OG0002143	LOC117564347|XP_034098953.1|DALB	LOC108102643|XP_017063254.1|DEUG
OG0002144	LOC117573240|XP_034112180.1|DALB	LOC108102358|XP_017062743.1|DEUG, LOC108102307|XP_017062556.1|DEUG
OG0002145	LOC117575449|XP_034115552.1|DALB	LOC108117286|XP_017085129.1|DEUG
OG0002146	LOC117575237|XP_034115259.1|DALB	LOC108104166|XP_017065558.1|DEUG, LOC108114993|XP_017081716.1|DEUG
OG0002147	LOC117567338|XP_034103153.1|DALB	LOC108110130|XP_017074525.1|DEUG
OG0002148	LOC117568116|XP_034104411.1|DALB	LOC108108210|XP_017071660.1|DEUG
OG0002149	LOC117573116|XP_034111932.1|DALB	LOC108102369|XP_017062776.1|DEUG
OG0002150	LOC117573954|XP_034113379.1|DALB	LOC108110054|XP_017074418.1|DEUG
OG0002152	LOC117576273|XP_034116810.1|DALB	LOC108116875|XP_017084457.1|DEUG
OG0002153	LOC117574006|XP_034113472.1|DALB	LOC108115946|XP_017083071.1|DEUG
OG0002154	LOC117566000|XP_034101316.1|DALB	LOC108102458|XP_017062955.1|DEUG
OG0002155	LOC117574886|XP_034114809.1|DALB	LOC108113490|XP_017079565.1|DEUG
OG0002156	LOC117568890|XP_034105681.1|DALB	LOC108116780|XP_017084305.1|DEUG
OG0002157	LOC117573681|XP_034112917.1|DALB	LOC108116869|XP_017084436.1|DEUG
OG0002158	LOC117570529|XP_034108124.1|DALB	LOC108113091|XP_017079025.1|DEUG
OG0002159	LOC117570298|XP_034107713.1|DALB	LOC108109115|XP_017072997.1|DEUG
OG0002160	LOC117576324|XP_034116883.1|DALB	LOC108115066|XP_017081804.1|DEUG
OG0002161	LOC117576624|XP_034117435.1|DALB	LOC108117250|XP_017085088.1|DEUG
OG0002162	LOC117575167|XP_034115161.1|DALB	LOC108111994|XP_017077395.1|DEUG
OG0002163	LOC117578321|XP_034119672.1|DALB, LOC117568784|XP_034105512.1|DALB	LOC108103362|XP_017064296.1|DEUG
OG0002164	LOC117574074|XP_034113598.1|DALB	LOC108113645|XP_017079803.1|DEUG
OG0002165	LOC117574558|XP_034114321.1|DALB	LOC108118453|XP_017086660.1|DEUG
OG0002166	LOC117565083|XP_034099924.1|DALB	LOC108108460|XP_017072006.1|DEUG
OG0002167	LOC117571036|XP_034108889.1|DALB	LOC108112053|XP_017077296.1|DEUG
OG0002168	LOC117569112|XP_034106022.1|DALB	LOC108107401|XP_017070410.1|DEUG
OG0002169	LOC117567283|XP_034103040.1|DALB	LOC108114710|XP_017081298.1|DEUG
OG0002170	LOC117573167|XP_034112027.1|DALB	LOC108108703|XP_017072301.1|DEUG
OG0002171	LOC117575340|XP_034115389.1|DALB	LOC108116598|XP_017084040.1|DEUG
OG0002172	LOC117576146|XP_034116604.1|DALB	LOC108115638|XP_017082680.1|DEUG
OG0002173	LOC117565449|XP_034100436.1|DALB	LOC108110505|XP_017075073.1|DEUG
OG0002174	LOC117575154|XP_034115149.1|DALB	LOC108111636|XP_017076655.1|DEUG, LOC108111642|XP_017076662.1|DEUG
OG0002175	LOC117575155|XP_034115150.1|DALB	LOC108111643|XP_017076663.1|DEUG
OG0002176	LOC117575821|XP_034116115.1|DALB	LOC108117119|XP_017084839.1|DEUG
OG0002177	LOC117575313|XP_034115358.1|DALB	LOC108111530|XP_017076539.1|DEUG
OG0002179	LOC117575056|XP_034115028.1|DALB	LOC108113790|XP_017079987.1|DEUG
OG0002180	LOC117576832|XP_034117797.1|DALB	LOC108111335|XP_017076245.1|DEUG
OG0002181	LOC117574235|XP_034113841.1|DALB	LOC108103139|XP_017064000.1|DEUG
OG0002182	LOC117574131|XP_034113680.1|DALB	LOC108115148|XP_017081941.1|DEUG
OG0002184	LOC117576672|XP_034117554.1|DALB	LOC108111682|XP_017076711.1|DEUG
OG0002185	LOC117576268|XP_034116802.1|DALB	LOC108105622|XP_017067793.1|DEUG
OG0002186	LOC117565307|XP_034100236.1|DALB	LOC108113405|XP_017079447.1|DEUG
OG0002187	LOC117573772|XP_034113062.1|DALB	LOC108115626|XP_017082666.1|DEUG
OG0002188	LOC117571450|XP_034109488.1|DALB	LOC108107435|XP_017070460.1|DEUG
OG0002189	LOC117573162|XP_034112015.1|DALB	LOC108113826|XP_017080024.1|DEUG
OG0002190	LOC117575502|XP_034115636.1|DALB	LOC108116678|XP_017084167.1|DEUG
OG0002191	LOC117571808|XP_034110070.1|DALB	LOC108114199|XP_017080506.1|DEUG
OG0002192	LOC117572541|XP_034111301.1|DALB	LOC108108657|XP_017072250.1|DEUG
OG0002193	LOC117574971|XP_034114927.1|DALB	LOC108117515|XP_017085500.1|DEUG
OG0002194	LOC117576038|XP_034116451.1|DALB	LOC108115796|XP_017082865.1|DEUG
OG0002195	LOC117576512|XP_034117212.1|DALB	LOC108116690|XP_017084193.1|DEUG
OG0002196	LOC117573273|XP_034112244.1|DALB	LOC108116282|XP_017083558.1|DEUG
OG0002197	LOC117569515|XP_034106597.1|DALB	LOC108104627|XP_017066291.1|DEUG
OG0002198	LOC117573997|XP_034113437.1|DALB	LOC108115056|XP_017081791.1|DEUG
OG0002199	LOC117575253|XP_034115278.1|DALB	LOC108109516|XP_017073556.1|DEUG
OG0002200	LOC117574361|XP_034114085.1|DALB	LOC108105104|XP_017067028.1|DEUG
OG0002202	LOC117574693|XP_034114492.1|DALB	LOC108110707|XP_017075342.1|DEUG, LOC108116893|XP_017084488.1|DEUG
OG0002203	LOC117574012|XP_034113487.1|DALB	LOC108111635|XP_017076654.1|DEUG, LOC108111675|XP_017076701.1|DEUG
OG0002204	LOC117574509|XP_034114259.1|DALB	LOC108113729|XP_017079904.1|DEUG
OG0002205	LOC117575610|XP_034115773.1|DALB	LOC108116835|XP_017084376.1|DEUG
OG0002206	LOC117574996|XP_034114960.1|DALB	LOC108115700|XP_017082759.1|DEUG
OG0002207	LOC117575300|XP_034115341.1|DALB	LOC108116056|XP_017083246.1|DEUG
OG0002208	LOC117575631|XP_034115800.1|DALB	LOC108116109|XP_017083320.1|DEUG
OG0002209	LOC117568859|XP_034105641.1|DALB	LOC108109750|XP_017073907.1|DEUG
OG0002211	LOC117574193|XP_034113782.1|DALB, LOC117574194|XP_034113784.1|DALB	LOC108116953|XP_017084596.1|DEUG
OG0002212	LOC117576354|XP_034116933.1|DALB	LOC108117121|XP_017084841.1|DEUG
OG0002213	LOC117575644|XP_034115815.1|DALB	LOC108116146|XP_017083371.1|DEUG
OG0002214	LOC117576737|XP_034117659.1|DALB	LOC108109432|XP_017073421.1|DEUG
OG0002215	LOC117575628|XP_034115796.1|DALB	LOC108109209|XP_017073143.1|DEUG
OG0002216	LOC117569369|XP_034106391.1|DALB	LOC108116071|XP_017083275.1|DEUG
OG0002218	LOC117567011|XP_034102591.1|DALB	LOC108110066|XP_017074436.1|DEUG
OG0002219	LOC117575470|XP_034115578.1|DALB	LOC108116976|XP_017084625.1|DEUG
OG0002220	LOC117574468|XP_034114196.1|DALB	LOC108116798|XP_017084334.1|DEUG
OG0002221	LOC117571758|XP_034110001.1|DALB	LOC108114624|XP_017081180.1|DEUG
OG0002222	LOC117567742|XP_034103818.1|DALB	LOC108107367|XP_017070360.1|DEUG
OG0002223	LOC117572210|XP_034110774.1|DALB	LOC108112636|XP_017078234.1|DEUG
OG0002224	LOC117570364|XP_034107823.1|DALB	LOC108112564|XP_017078001.1|DEUG
OG0002225	LOC117570861|XP_034108632.1|DALB	LOC108104917|XP_017066754.1|DEUG
OG0002226	LOC117566905|XP_034102414.1|DALB	LOC108106403|XP_017068903.1|DEUG
OG0002227	LOC117568731|XP_034105440.1|DALB	LOC108106474|XP_017069039.1|DEUG
OG0002228	LOC117568725|XP_034105434.1|DALB	LOC108105408|XP_017067444.1|DEUG
OG0002229	LOC117567463|XP_034103368.1|DALB	LOC108107358|XP_017070348.1|DEUG
OG0002230	LOC117571078|XP_034108944.1|DALB	LOC108112543|XP_017077968.1|DEUG
OG0002231	LOC117568454|XP_034105021.1|DALB	LOC108113113|XP_017079099.1|DEUG
OG0002232	LOC117572516|XP_034111262.1|DALB	LOC108109160|XP_017073072.1|DEUG
OG0002233	LOC117569420|XP_034106465.1|DALB	LOC108108208|XP_017071658.1|DEUG
OG0002235	LOC117568616|XP_034105277.1|DALB	LOC108112672|XP_017078300.1|DEUG
OG0002236	LOC117571403|XP_034109428.1|DALB	LOC108107315|XP_017070277.1|DEUG
OG0002237	LOC117571445|XP_034109480.1|DALB	LOC108107434|XP_017070457.1|DEUG
OG0002238	LOC117568311|XP_034104752.1|DALB	LOC108113024|XP_017078940.1|DEUG
OG0002239	LOC117568203|XP_034104562.1|DALB	LOC108112846|XP_017078648.1|DEUG
OG0002240	LOC117566964|XP_034102508.1|DALB	LOC108112933|XP_017078813.1|DEUG
OG0002241	LOC117571493|XP_034109552.1|DALB	LOC108117391|XP_017085278.1|DEUG
OG0002242	LOC117568463|XP_034105031.1|DALB	LOC108109825|XP_017074050.1|DEUG
OG0002243	LOC117576521|XP_034117230.1|DALB	LOC108117146|XP_017084893.1|DEUG
OG0002244	LOC117572699|XP_034111644.1|DALB	LOC108114342|XP_017080763.1|DEUG
OG0002245	LOC117566958|XP_034102495.1|DALB	LOC108109815|XP_017074029.1|DEUG
OG0002246	LOC117569569|XP_034106682.1|DALB	LOC108113183|XP_017079197.1|DEUG
OG0002247	LOC117569114|XP_034106025.1|DALB	LOC108107402|XP_017070411.1|DEUG
OG0002248	LOC117571910|XP_034110279.1|DALB	LOC108107912|XP_017071221.1|DEUG
OG0002249	LOC117568708|XP_034105413.1|DALB	LOC108109911|XP_017074208.1|DEUG
OG0002250	LOC117571676|XP_034109808.1|DALB	LOC108108901|XP_017072614.1|DEUG
OG0002251	LOC117571366|XP_034109368.1|DALB	LOC108109274|XP_017073254.1|DEUG
OG0002252	LOC117571245|XP_034109190.1|DALB	LOC108109205|XP_017073136.1|DEUG
OG0002253	LOC117567632|XP_034103622.1|DALB	LOC108107461|XP_017070496.1|DEUG
OG0002254	LOC117573898|XP_034113297.1|DALB	LOC108117462|XP_017085373.1|DEUG
OG0002255	LOC117578330|XP_034119684.1|DALB	LOC108103759|XP_017064866.1|DEUG
OG0002256	LOC117572229|XP_034110798.1|DALB	LOC108112585|XP_017078113.1|DEUG
OG0002257	LOC117566926|XP_034102437.1|DALB	LOC108106420|XP_017068938.1|DEUG
OG0002258	LOC117571384|XP_034109393.1|DALB, LOC117571385|XP_034109394.1|DALB	LOC108114104|XP_017080352.1|DEUG
OG0002259	LOC117571042|XP_034108904.1|DALB	LOC108115198|XP_017082008.1|DEUG
OG0002260	LOC117569472|XP_034106531.1|DALB	LOC108107974|XP_017071307.1|DEUG
OG0002261	LOC117572053|XP_034110520.1|DALB	LOC108108675|XP_017072268.1|DEUG
OG0002262	LOC117569196|XP_034106155.1|DALB	LOC108104833|XP_017066623.1|DEUG
OG0002263	LOC117567500|XP_034103422.1|DALB	LOC108114539|XP_017081071.1|DEUG
OG0002264	LOC117567741|XP_034103817.1|DALB	LOC108107366|XP_017070359.1|DEUG
OG0002265	LOC117570064|XP_034107389.1|DALB	LOC108113991|XP_017080223.1|DEUG
OG0002266	LOC117567385|XP_034103225.1|DALB	LOC108107614|XP_017070673.1|DEUG
OG0002267	LOC117572625|XP_034111472.1|DALB	LOC108108322|XP_017071839.1|DEUG
OG0002268	LOC117569164|XP_034106118.1|DALB	LOC108114546|XP_017081080.1|DEUG
OG0002269	LOC117568191|XP_034104540.1|DALB	LOC108112777|XP_017078539.1|DEUG
OG0002270	LOC117568779|XP_034105508.1|DALB	LOC108112999|XP_017078899.1|DEUG
OG0002271	LOC117571935|XP_034110317.1|DALB	LOC108108347|XP_017071877.1|DEUG
OG0002272	LOC117570673|XP_034108361.1|DALB	LOC108102805|XP_017063473.1|DEUG
OG0002273	LOC117567734|XP_034103792.1|DALB	LOC108118204|XP_017086252.1|DEUG
OG0002274	LOC117572344|XP_034110984.1|DALB	LOC108108708|XP_017072306.1|DEUG
OG0002275	LOC117568671|XP_034105366.1|DALB	LOC108114632|XP_017081187.1|DEUG
OG0002276	LOC117568102|XP_034104376.1|DALB	LOC108102789|XP_017063439.1|DEUG
OG0002277	LOC117569903|XP_034107135.1|DALB	LOC108102863|XP_017063554.1|DEUG
OG0002278	LOC117571012|XP_034108861.1|DALB	LOC108107518|XP_017070548.1|DEUG
OG0002279	LOC117568215|XP_034104580.1|DALB	LOC108117372|XP_017085247.1|DEUG
OG0002280	LOC117569559|XP_034106669.1|DALB	LOC108114186|XP_017080484.1|DEUG
OG0002281	LOC117571132|XP_034109025.1|DALB	LOC108114463|XP_017080957.1|DEUG
OG0002282	LOC117570053|XP_034107372.1|DALB	LOC108108032|XP_017071393.1|DEUG
OG0002283	LOC117566623|XP_034102055.1|DALB	LOC108109188|XP_017073111.1|DEUG
OG0002284	LOC117572663|XP_034111551.1|DALB	LOC108109068|XP_017072901.1|DEUG
OG0002285	LOC117565602|XP_034100698.1|DALB	LOC108103286|XP_017064186.1|DEUG
OG0002286	LOC117569292|XP_034106290.1|DALB	LOC108113194|XP_017079210.1|DEUG
OG0002287	LOC117568370|XP_034104861.1|DALB	LOC108113123|XP_017079115.1|DEUG
OG0002288	LOC117571934|XP_034110314.1|DALB	LOC108108303|XP_017071806.1|DEUG
OG0002289	LOC117572018|XP_034110455.1|DALB	LOC108109822|XP_017074047.1|DEUG
OG0002290	LOC117563899|XP_034098351.1|DALB	LOC108113415|XP_017079457.1|DEUG
OG0002291	LOC117568034|XP_034104266.1|DALB	LOC108112619|XP_017078200.1|DEUG
OG0002292	LOC117568426|XP_034104973.1|DALB	LOC108113072|XP_017079001.1|DEUG
OG0002293	LOC117567365|XP_034103199.1|DALB	LOC108118498|XP_017086722.1|DEUG, LOC108117562|XP_017085559.1|DEUG
OG0002294	LOC117576826|XP_034117791.1|DALB	LOC108109421|XP_017073408.1|DEUG
OG0002295	LOC117564065|XP_034098580.1|DALB	LOC108106973|XP_017069778.1|DEUG
OG0002297	LOC117576140|XP_034116596.1|DALB	LOC108105609|XP_017067775.1|DEUG
OG0002298	LOC117572736|XP_034111703.1|DALB	LOC108107345|XP_017070332.1|DEUG
OG0002299	LOC117568021|XP_034104240.1|DALB	LOC108106651|XP_017069356.1|DEUG
OG0002300	LOC117565370|XP_034100325.1|DALB	LOC108103376|XP_017064311.1|DEUG
OG0002301	LOC117577409|XP_034118210.1|DALB, LOC117577404|XP_034118209.1|DALB	LOC108114863|XP_017081504.1|DEUG
OG0002302	LOC117565913|XP_034101171.1|DALB	LOC108114826|XP_017081447.1|DEUG
OG0002303	LOC117577625|XP_034118382.1|DALB	LOC108103290|XP_017064192.1|DEUG
OG0002304	LOC117564835|XP_034099650.1|DALB	LOC108105844|XP_017068094.1|DEUG
OG0002305	LOC117568901|XP_034105695.1|DALB	LOC108114625|XP_017081181.1|DEUG
OG0002306	LOC117563439|XP_034097666.1|DALB	LOC108106176|XP_017068586.1|DEUG
OG0002307	LOC117563312|XP_034097458.1|DALB	LOC108111738|XP_017076784.1|DEUG
OG0002308	LOC117563953|XP_034098417.1|DALB	LOC108110916|XP_017075675.1|DEUG
OG0002309	LOC117564367|XP_034098975.1|DALB	LOC108102589|XP_017063180.1|DEUG
OG0002310	LOC117566006|XP_034101315.1|DALB	LOC108115511|XP_017082495.1|DEUG
OG0002311	LOC117564094|XP_034098621.1|DALB	LOC108114807|XP_017081409.1|DEUG
OG0002312	LOC117565106|XP_034099955.1|DALB	LOC108111143|XP_017076000.1|DEUG
OG0002313	LOC117572453|XP_034111175.1|DALB	LOC108106659|XP_017069369.1|DEUG
OG0002314	LOC117571462|XP_034109504.1|DALB	LOC108104454|XP_017066007.1|DEUG
OG0002315	LOC117569779|XP_034106970.1|DALB	LOC108106805|XP_017069539.1|DEUG
OG0002316	LOC117565459|XP_034100452.1|DALB	LOC108111837|XP_017076934.1|DEUG
OG0002317	LOC117568375|XP_034104869.1|DALB	LOC108104281|XP_017065732.1|DEUG
OG0002318	LOC117564717|XP_034099491.1|DALB	LOC108105690|XP_017067889.1|DEUG
OG0002320	LOC117572517|XP_034111263.1|DALB	LOC108109078|XP_017072929.1|DEUG
OG0002321	LOC117566962|XP_034102503.1|DALB	LOC108106785|XP_017069518.1|DEUG
OG0002322	LOC117564691|XP_034099457.1|DALB	LOC108103415|XP_017064362.1|DEUG
OG0002323	LOC117577722|XP_034118517.1|DALB, LOC117564591|XP_034099328.1|DALB	LOC108115532|XP_017082524.1|DEUG
OG0002324	LOC117569300|XP_034106301.1|DALB	LOC108108795|XP_017072460.1|DEUG
OG0002325	LOC117568196|XP_034104552.1|DALB	LOC108114148|XP_017080422.1|DEUG
OG0002326	LOC117567536|XP_034103472.1|DALB	LOC108114152|XP_017080431.1|DEUG
OG0002327	LOC117574888|XP_034114812.1|DALB	LOC108116370|XP_017083696.1|DEUG, LOC108116372|XP_017083701.1|DEUG
OG0002328	LOC117563393|XP_034097615.1|DALB	LOC108114876|XP_017081521.1|DEUG
OG0002329	LOC117565371|XP_034100326.1|DALB	LOC108102680|XP_017063310.1|DEUG
OG0002330	LOC117563504|XP_034097769.1|DALB	LOC108102682|XP_017063312.1|DEUG
OG0002331	LOC117578165|XP_034119334.1|DALB, LOC117568173|XP_034104496.1|DALB	LOC108106048|XP_017068391.1|DEUG
OG0002332	LOC117569910|XP_034107140.1|DALB	LOC108108173|XP_017071604.1|DEUG
OG0002333	LOC117566675|XP_034102113.1|DALB	LOC108107334|XP_017070309.1|DEUG
OG0002334	LOC117564891|XP_034099729.1|DALB	LOC108102504|XP_017063017.1|DEUG
OG0002335	LOC117569937|XP_034107185.1|DALB	LOC108104594|XP_017066246.1|DEUG
OG0002336	LOC117568195|XP_034104547.1|DALB	LOC108108515|XP_017072073.1|DEUG
OG0002337	LOC117571394|XP_034109404.1|DALB	LOC108104793|XP_017066546.1|DEUG
OG0002338	LOC117563788|XP_034098207.1|DALB	LOC108107142|XP_017070035.1|DEUG
OG0002339	LOC117564071|XP_034098587.1|DALB	LOC108110999|XP_017075797.1|DEUG
OG0002340	LOC117565937|XP_034101214.1|DALB	LOC108104088|XP_017065472.1|DEUG
OG0002341	LOC117570129|XP_034107485.1|DALB	LOC108104870|XP_017066685.1|DEUG
OG0002342	LOC117563671|XP_034097985.1|DALB	LOC108102567|XP_017063135.1|DEUG
OG0002343	LOC117563923|XP_034098383.1|DALB	LOC108102598|XP_017063191.1|DEUG
OG0002344	LOC117564050|XP_034098554.1|DALB	LOC108104240|XP_017065679.1|DEUG, LOC108103094|XP_017063940.1|DEUG
OG0002345	LOC117572522|XP_034111273.1|DALB	LOC108112623|XP_017078214.1|DEUG
OG0002346	LOC117563303|XP_034097437.1|DALB	LOC108106979|XP_017069800.1|DEUG
OG0002347	LOC117568528|XP_034105123.1|DALB	LOC108106718|XP_017069440.1|DEUG
OG0002348	LOC117566036|XP_034101376.1|DALB	LOC108106166|XP_017068566.1|DEUG
OG0002349	LOC117572525|XP_034111275.1|DALB	LOC108112628|XP_017078223.1|DEUG
OG0002350	LOC117572521|XP_034111272.1|DALB	LOC108112621|XP_017078212.1|DEUG
OG0002351	LOC117570561|XP_034108182.1|DALB	LOC108106782|XP_017069513.1|DEUG
OG0002352	LOC117570301|XP_034107718.1|DALB	LOC108112965|XP_017078855.1|DEUG
OG0002353	LOC117565696|XP_034100823.1|DALB	LOC108112067|XP_017077302.1|DEUG
OG0002354	LOC117563381|XP_034097579.1|DALB	LOC108110981|XP_017075777.1|DEUG
OG0002355	LOC117565671|XP_034100794.1|DALB	LOC108118125|XP_017086161.1|DEUG
OG0002356	LOC117564149|XP_034098705.1|DALB	LOC108118473|XP_017086686.1|DEUG
OG0002357	LOC117574548|XP_034114310.1|DALB	LOC108105239|XP_017067199.1|DEUG
OG0002358	LOC117564880|XP_034099718.1|DALB	LOC108110921|XP_017075685.1|DEUG
OG0002359	LOC117571924|XP_034110302.1|DALB	LOC108118298|XP_017086399.1|DEUG
OG0002360	LOC117563723|XP_034098076.1|DALB	LOC108115466|XP_017082409.1|DEUG
OG0002361	LOC117572380|XP_034111040.1|DALB	LOC108107565|XP_017070612.1|DEUG
OG0002362	LOC117565565|XP_034100624.1|DALB	LOC108118328|XP_017086436.1|DEUG
OG0002363	LOC117563786|XP_034098204.1|DALB	LOC108107148|XP_017070040.1|DEUG
OG0002364	LOC117563783|XP_034098183.1|DALB	LOC108106960|XP_017069730.1|DEUG
OG0002365	LOC117563498|XP_034097757.1|DALB	LOC108107085|XP_017069951.1|DEUG
