Orthogroup	DALB.longest_only	DSER.longest_only
OG0002118	LOC117573149|XP_034111989.1|DALB	LOC110187751|XP_020812869.1|DSER
OG0002119	LOC117576428|XP_034117065.1|DALB	LOC110189484|XP_020815235.1|DSER
OG0002120	LOC117573221|XP_034112140.1|DALB	LOC110185469|XP_020809981.1|DSER
OG0002121	LOC117576121|XP_034116570.1|DALB	LOC110186855|XP_020811800.1|DSER
OG0002123	LOC117564608|XP_034099354.1|DALB	LOC110176917|XP_020799068.1|DSER
OG0002124	LOC117577700|XP_034118490.1|DALB	LOC110175973|XP_020797827.1|DSER, LOC110176017|XP_020797885.1|DSER
OG0002125	LOC117571548|XP_034109641.1|DALB	LOC110177753|XP_020800273.1|DSER
OG0002126	LOC117571805|XP_034110062.1|DALB	LOC110176706|XP_020798803.1|DSER
OG0002127	LOC117578196|XP_034119409.1|DALB	LOC110187462|XP_020812509.1|DSER, LOC110177088|XP_020799275.1|DSER, LOC110184429|XP_020808624.1|DSER
OG0002128	LOC117578063|XP_034119092.1|DALB	LOC110182636|XP_020806364.1|DSER
OG0002129	LOC117573358|XP_034112376.1|DALB	LOC110186947|XP_020811941.1|DSER
OG0002130	LOC117572250|XP_034110832.1|DALB	LOC110183549|XP_020807503.1|DSER, LOC110183491|XP_020807433.1|DSER
OG0002131	LOC117575274|XP_034115304.1|DALB	LOC110188284|XP_020813640.1|DSER
OG0002133	LOC117574504|XP_034114250.1|DALB	LOC110180572|XP_020803925.1|DSER
OG0002134	LOC117577475|XP_034118251.1|DALB	LOC110178203|XP_020800898.1|DSER
OG0002135	LOC117577802|XP_034118622.1|DALB	LOC110182187|XP_020805851.1|DSER
OG0002136	LOC117574812|XP_034114670.1|DALB	LOC110190092|XP_020816060.1|DSER
OG0002137	LOC117574105|XP_034113644.1|DALB	LOC110191381|XP_020817894.1|DSER
OG0002138	LOC117566886|XP_034102394.1|DALB	LOC110184289|XP_020808433.1|DSER
OG0002139	LOC117569399|XP_034106429.1|DALB	LOC110184605|XP_020808857.1|DSER
OG0002140	LOC117573192|XP_034112078.1|DALB	LOC110179088|XP_020802133.1|DSER
OG0002141	LOC117573177|XP_034112038.1|DALB	LOC110179902|XP_020803158.1|DSER
OG0002142	LOC117575223|XP_034115241.1|DALB	LOC110176470|XP_020798489.1|DSER
OG0002143	LOC117564347|XP_034098953.1|DALB	LOC110186105|XP_020810809.1|DSER
OG0002144	LOC117573240|XP_034112180.1|DALB	LOC110184524|XP_020808754.1|DSER
OG0002145	LOC117575449|XP_034115552.1|DALB	LOC110187720|XP_020812823.1|DSER
OG0002146	LOC117575237|XP_034115259.1|DALB	LOC110176430|XP_020798438.1|DSER
OG0002147	LOC117567338|XP_034103153.1|DALB	LOC110181777|XP_020805314.1|DSER
OG0002148	LOC117568116|XP_034104411.1|DALB	LOC110187571|XP_020812620.1|DSER
OG0002149	LOC117573116|XP_034111932.1|DALB	LOC110185441|XP_020809923.1|DSER
OG0002150	LOC117573954|XP_034113379.1|DALB	LOC110187032|XP_020812054.1|DSER, LOC110185534|XP_020810100.1|DSER
OG0002152	LOC117576273|XP_034116810.1|DALB	LOC110187633|XP_020812700.1|DSER, LOC110187630|XP_020812695.1|DSER
OG0002153	LOC117574006|XP_034113472.1|DALB	LOC110186478|XP_020811324.1|DSER
OG0002154	LOC117566000|XP_034101316.1|DALB	LOC110183529|XP_020807486.1|DSER, LOC110183490|XP_020807432.1|DSER
OG0002155	LOC117574886|XP_034114809.1|DALB	LOC110186839|XP_020811788.1|DSER
OG0002156	LOC117568890|XP_034105681.1|DALB	LOC110190241|XP_020816264.1|DSER
OG0002157	LOC117573681|XP_034112917.1|DALB	LOC110186435|XP_020811280.1|DSER
OG0002158	LOC117570529|XP_034108124.1|DALB	LOC110189568|XP_020815358.1|DSER
OG0002159	LOC117570298|XP_034107713.1|DALB	LOC110178448|XP_020801242.1|DSER
OG0002160	LOC117576324|XP_034116883.1|DALB	LOC110188610|XP_020814033.1|DSER
OG0002161	LOC117576624|XP_034117435.1|DALB	LOC110186666|XP_020811590.1|DSER
OG0002162	LOC117575167|XP_034115161.1|DALB	LOC110186235|XP_020810961.1|DSER
OG0002163	LOC117578321|XP_034119672.1|DALB, LOC117568784|XP_034105512.1|DALB	LOC110183064|XP_020806910.1|DSER
OG0002164	LOC117574074|XP_034113598.1|DALB	LOC110191764|XP_020818362.1|DSER
OG0002165	LOC117574558|XP_034114321.1|DALB	LOC110179787|XP_020803060.1|DSER, LOC110184853|XP_020809152.1|DSER
OG0002166	LOC117565083|XP_034099924.1|DALB	LOC110178415|XP_020801217.1|DSER, LOC110183943|XP_020807963.1|DSER
OG0002167	LOC117571036|XP_034108889.1|DALB	LOC110177853|XP_020800458.1|DSER
OG0002168	LOC117569112|XP_034106022.1|DALB	LOC110191490|XP_020818014.1|DSER
OG0002169	LOC117567283|XP_034103040.1|DALB	LOC110190516|XP_020816707.1|DSER
OG0002170	LOC117573167|XP_034112027.1|DALB	LOC110185446|XP_020809933.1|DSER
OG0002171	LOC117575340|XP_034115389.1|DALB	LOC110191309|XP_020817781.1|DSER
OG0002172	LOC117576146|XP_034116604.1|DALB	LOC110191005|XP_020817382.1|DSER
OG0002173	LOC117565449|XP_034100436.1|DALB	LOC110183452|XP_020807390.1|DSER
OG0002174	LOC117575154|XP_034115149.1|DALB	LOC110176514|XP_020798550.1|DSER
OG0002175	LOC117575155|XP_034115150.1|DALB	LOC110176516|XP_020798551.1|DSER
OG0002176	LOC117575821|XP_034116115.1|DALB	LOC110191176|XP_020817600.1|DSER
OG0002177	LOC117575313|XP_034115358.1|DALB	LOC110190696|XP_020816970.1|DSER
OG0002179	LOC117575056|XP_034115028.1|DALB	LOC110191387|XP_020817902.1|DSER
OG0002180	LOC117576832|XP_034117797.1|DALB	LOC110186968|XP_020811973.1|DSER
OG0002181	LOC117574235|XP_034113841.1|DALB	LOC110184372|XP_020808530.1|DSER
OG0002182	LOC117574131|XP_034113680.1|DALB	LOC110188364|XP_020813737.1|DSER
OG0002184	LOC117576672|XP_034117554.1|DALB	LOC110186954|XP_020811948.1|DSER
OG0002185	LOC117576268|XP_034116802.1|DALB	LOC110191873|XP_020818515.1|DSER
OG0002186	LOC117565307|XP_034100236.1|DALB	LOC110185821|XP_020810487.1|DSER
OG0002187	LOC117573772|XP_034113062.1|DALB	LOC110188250|XP_020813582.1|DSER
OG0002188	LOC117571450|XP_034109488.1|DALB	LOC110191667|XP_020818227.1|DSER
OG0002189	LOC117573162|XP_034112015.1|DALB	LOC110179405|XP_020802589.1|DSER
OG0002190	LOC117575502|XP_034115636.1|DALB	LOC110188486|XP_020813878.1|DSER
OG0002191	LOC117571808|XP_034110070.1|DALB	LOC110176701|XP_020798796.1|DSER
OG0002192	LOC117572541|XP_034111301.1|DALB	LOC110185213|XP_020809602.1|DSER
OG0002193	LOC117574971|XP_034114927.1|DALB	LOC110188622|XP_020814051.1|DSER
OG0002194	LOC117576038|XP_034116451.1|DALB	LOC110177367|XP_020799718.1|DSER
OG0002195	LOC117576512|XP_034117212.1|DALB	LOC110191068|XP_020817459.1|DSER
OG0002196	LOC117573273|XP_034112244.1|DALB	LOC110176471|XP_020798490.1|DSER
OG0002197	LOC117569515|XP_034106597.1|DALB	LOC110178823|XP_020801749.1|DSER
OG0002198	LOC117573997|XP_034113437.1|DALB	LOC110185693|XP_020810323.1|DSER
OG0002199	LOC117575253|XP_034115278.1|DALB	LOC110186474|XP_020811319.1|DSER, LOC110186476|XP_020811322.1|DSER
OG0002200	LOC117574361|XP_034114085.1|DALB	LOC110179459|XP_020802677.1|DSER
OG0002202	LOC117574693|XP_034114492.1|DALB	LOC110191284|XP_020817750.1|DSER
OG0002203	LOC117574012|XP_034113487.1|DALB	LOC110176487|XP_020798519.1|DSER
OG0002204	LOC117574509|XP_034114259.1|DALB	LOC110189477|XP_020815222.1|DSER
OG0002205	LOC117575610|XP_034115773.1|DALB	LOC110186218|XP_020810943.1|DSER
OG0002206	LOC117574996|XP_034114960.1|DALB	LOC110177398|XP_020799762.1|DSER
OG0002207	LOC117575300|XP_034115341.1|DALB	LOC110186398|XP_020811220.1|DSER
OG0002208	LOC117575631|XP_034115800.1|DALB	LOC110186565|XP_020811431.1|DSER
OG0002209	LOC117568859|XP_034105641.1|DALB	LOC110187071|XP_020812120.1|DSER
OG0002211	LOC117574193|XP_034113782.1|DALB, LOC117574194|XP_034113784.1|DALB	LOC110184099|XP_020808150.1|DSER
OG0002212	LOC117576354|XP_034116933.1|DALB	LOC110191220|XP_020817646.1|DSER
OG0002213	LOC117575644|XP_034115815.1|DALB	LOC110191754|XP_020818351.1|DSER
OG0002214	LOC117576737|XP_034117659.1|DALB	LOC110191194|XP_020817621.1|DSER
OG0002215	LOC117575628|XP_034115796.1|DALB	LOC110188042|XP_020813245.1|DSER
OG0002216	LOC117569369|XP_034106391.1|DALB	LOC110179190|XP_020802262.1|DSER
OG0002218	LOC117567011|XP_034102591.1|DALB	LOC110184272|XP_020808396.1|DSER
OG0002219	LOC117575470|XP_034115578.1|DALB	LOC110184261|XP_020808386.1|DSER
OG0002220	LOC117574468|XP_034114196.1|DALB	LOC110184900|XP_020809208.1|DSER
OG0002221	LOC117571758|XP_034110001.1|DALB	LOC110190672|XP_020816936.1|DSER
OG0002222	LOC117567742|XP_034103818.1|DALB	LOC110189758|XP_020815675.1|DSER
OG0002223	LOC117572210|XP_034110774.1|DALB	LOC110181613|XP_020805091.1|DSER
OG0002224	LOC117570364|XP_034107823.1|DALB	LOC110182647|XP_020806377.1|DSER
OG0002225	LOC117570861|XP_034108632.1|DALB	LOC110189124|XP_020814757.1|DSER
OG0002226	LOC117566905|XP_034102414.1|DALB	LOC110189733|XP_020815586.1|DSER
OG0002227	LOC117568731|XP_034105440.1|DALB	LOC110191670|XP_020818238.1|DSER
OG0002228	LOC117568725|XP_034105434.1|DALB	LOC110191203|XP_020817632.1|DSER
OG0002229	LOC117567463|XP_034103368.1|DALB	LOC110190114|XP_020816126.1|DSER, LOC110177208|XP_020799489.1|DSER
OG0002230	LOC117571078|XP_034108944.1|DALB	LOC110182221|XP_020805910.1|DSER
OG0002231	LOC117568454|XP_034105021.1|DALB	LOC110189427|XP_020815149.1|DSER
OG0002232	LOC117572516|XP_034111262.1|DALB	LOC110179201|XP_020802278.1|DSER
OG0002233	LOC117569420|XP_034106465.1|DALB	LOC110190548|XP_020816757.1|DSER
OG0002235	LOC117568616|XP_034105277.1|DALB	LOC110177441|XP_020799831.1|DSER
OG0002236	LOC117571403|XP_034109428.1|DALB	LOC110191555|XP_020818089.1|DSER
OG0002237	LOC117571445|XP_034109480.1|DALB	LOC110191666|XP_020818223.1|DSER
OG0002238	LOC117568311|XP_034104752.1|DALB	LOC110189773|XP_020815653.1|DSER
OG0002239	LOC117568203|XP_034104562.1|DALB	LOC110182501|XP_020806212.1|DSER
OG0002240	LOC117566964|XP_034102508.1|DALB	LOC110184537|XP_020808807.1|DSER
OG0002241	LOC117571493|XP_034109552.1|DALB	LOC110190690|XP_020816961.1|DSER
OG0002242	LOC117568463|XP_034105031.1|DALB	LOC110190648|XP_020816905.1|DSER
OG0002243	LOC117576521|XP_034117230.1|DALB	LOC110188200|XP_020813456.1|DSER
OG0002244	LOC117572699|XP_034111644.1|DALB	LOC110183695|XP_020807693.1|DSER
OG0002245	LOC117566958|XP_034102495.1|DALB	LOC110189120|XP_020814754.1|DSER
OG0002246	LOC117569569|XP_034106682.1|DALB	LOC110189649|XP_020815452.1|DSER
OG0002247	LOC117569114|XP_034106025.1|DALB	LOC110191518|XP_020818045.1|DSER
OG0002248	LOC117571910|XP_034110279.1|DALB	LOC110183582|XP_020807552.1|DSER
OG0002249	LOC117568708|XP_034105413.1|DALB	LOC110190717|XP_020816998.1|DSER
OG0002250	LOC117571676|XP_034109808.1|DALB	LOC110182993|XP_020806844.1|DSER
OG0002251	LOC117571366|XP_034109368.1|DALB	LOC110182999|XP_020806850.1|DSER
OG0002252	LOC117571245|XP_034109190.1|DALB	LOC110182980|XP_020806831.1|DSER
OG0002253	LOC117567632|XP_034103622.1|DALB	LOC110178688|XP_020801553.1|DSER
OG0002254	LOC117573898|XP_034113297.1|DALB	LOC110190390|XP_020816502.1|DSER
OG0002255	LOC117578330|XP_034119684.1|DALB	LOC110180132|XP_020803435.1|DSER
OG0002256	LOC117572229|XP_034110798.1|DALB	LOC110189550|XP_020815339.1|DSER
OG0002257	LOC117566926|XP_034102437.1|DALB	LOC110179306|XP_020802451.1|DSER
OG0002258	LOC117571384|XP_034109393.1|DALB, LOC117571385|XP_034109394.1|DALB	LOC110189313|XP_020815018.1|DSER
OG0002259	LOC117571042|XP_034108904.1|DALB	LOC110184395|XP_020808566.1|DSER
OG0002260	LOC117569472|XP_034106531.1|DALB	LOC110179040|XP_020802055.1|DSER
OG0002261	LOC117572053|XP_034110520.1|DALB	LOC110190148|XP_020816136.1|DSER
OG0002262	LOC117569196|XP_034106155.1|DALB	LOC110179249|XP_020802370.1|DSER
OG0002263	LOC117567500|XP_034103422.1|DALB	LOC110190814|XP_020817124.1|DSER
OG0002264	LOC117567741|XP_034103817.1|DALB	LOC110189684|XP_020815546.1|DSER
OG0002265	LOC117570064|XP_034107389.1|DALB	LOC110185164|XP_020809528.1|DSER
OG0002266	LOC117567385|XP_034103225.1|DALB	LOC110189981|XP_020815928.1|DSER
OG0002267	LOC117572625|XP_034111472.1|DALB	LOC110190496|XP_020816671.1|DSER
OG0002268	LOC117569164|XP_034106118.1|DALB	LOC110189889|XP_020815798.1|DSER
OG0002269	LOC117568191|XP_034104540.1|DALB	LOC110178249|XP_020800960.1|DSER
OG0002270	LOC117568779|XP_034105508.1|DALB	LOC110188922|XP_020814505.1|DSER
OG0002271	LOC117571935|XP_034110317.1|DALB	LOC110190475|XP_020816644.1|DSER
OG0002272	LOC117570673|XP_034108361.1|DALB	LOC110177614|XP_020800078.1|DSER
OG0002273	LOC117567734|XP_034103792.1|DALB	LOC110189870|XP_020815754.1|DSER
OG0002274	LOC117572344|XP_034110984.1|DALB	LOC110188197|XP_020813454.1|DSER
OG0002275	LOC117568671|XP_034105366.1|DALB	LOC110190622|XP_020816876.1|DSER
OG0002276	LOC117568102|XP_034104376.1|DALB	LOC110178725|XP_020801590.1|DSER
OG0002277	LOC117569903|XP_034107135.1|DALB	LOC110178820|XP_020801745.1|DSER
OG0002278	LOC117571012|XP_034108861.1|DALB	LOC110176305|XP_020798285.1|DSER
OG0002279	LOC117568215|XP_034104580.1|DALB	LOC110190592|XP_020816843.1|DSER
OG0002280	LOC117569559|XP_034106669.1|DALB	LOC110189982|XP_020815929.1|DSER
OG0002281	LOC117571132|XP_034109025.1|DALB	LOC110183605|XP_020807580.1|DSER
OG0002282	LOC117570053|XP_034107372.1|DALB	LOC110187663|XP_020812744.1|DSER, LOC110183328|XP_020807236.1|DSER
OG0002283	LOC117566623|XP_034102055.1|DALB	LOC110181107|XP_020804436.1|DSER
OG0002284	LOC117572663|XP_034111551.1|DALB	LOC110182921|XP_020806744.1|DSER
OG0002285	LOC117565602|XP_034100698.1|DALB	LOC110183526|XP_020807479.1|DSER
OG0002286	LOC117569292|XP_034106290.1|DALB	LOC110184063|XP_020808100.1|DSER
OG0002287	LOC117568370|XP_034104861.1|DALB	LOC110188934|XP_020814531.1|DSER
OG0002288	LOC117571934|XP_034110314.1|DALB	LOC110190796|XP_020817097.1|DSER
OG0002289	LOC117572018|XP_034110455.1|DALB	LOC110190026|XP_020815988.1|DSER
OG0002290	LOC117563899|XP_034098351.1|DALB	LOC110185819|XP_020810483.1|DSER
OG0002291	LOC117568034|XP_034104266.1|DALB	LOC110180011|XP_020803262.1|DSER
OG0002292	LOC117568426|XP_034104973.1|DALB	LOC110189226|XP_020814866.1|DSER
OG0002293	LOC117567365|XP_034103199.1|DALB	LOC110176697|XP_020798831.1|DSER
OG0002294	LOC117576826|XP_034117791.1|DALB	LOC110186705|XP_020811637.1|DSER
OG0002295	LOC117564065|XP_034098580.1|DALB	LOC110185581|XP_020810169.1|DSER
OG0002296	LOC117564436|XP_034099063.1|DALB	LOC110176803|XP_020798898.1|DSER
OG0002297	LOC117576140|XP_034116596.1|DALB	LOC110188604|XP_020814026.1|DSER
OG0002298	LOC117572736|XP_034111703.1|DALB	LOC110191563|XP_020818099.1|DSER
OG0002299	LOC117568021|XP_034104240.1|DALB	LOC110180017|XP_020803274.1|DSER
OG0002300	LOC117565370|XP_034100325.1|DALB	LOC110182726|XP_020806486.1|DSER
OG0002301	LOC117577409|XP_034118210.1|DALB, LOC117577404|XP_034118209.1|DALB	LOC110185085|XP_020809427.1|DSER
OG0002302	LOC117565913|XP_034101171.1|DALB	LOC110185050|XP_020809374.1|DSER
OG0002303	LOC117577625|XP_034118382.1|DALB	LOC110183513|XP_020807458.1|DSER
OG0002304	LOC117564835|XP_034099650.1|DALB	LOC110185705|XP_020810335.1|DSER
OG0002305	LOC117568901|XP_034105695.1|DALB	LOC110184655|XP_020808914.1|DSER
OG0002306	LOC117563439|XP_034097666.1|DALB	LOC110183858|XP_020807872.1|DSER
OG0002307	LOC117563312|XP_034097458.1|DALB	LOC110179133|XP_020802183.1|DSER, LOC110181312|XP_020804689.1|DSER
OG0002308	LOC117563953|XP_034098417.1|DALB	LOC110176800|XP_020798894.1|DSER
OG0002309	LOC117564367|XP_034098975.1|DALB	LOC110187391|XP_020812439.1|DSER, LOC110177658|XP_020800129.1|DSER
OG0002310	LOC117566006|XP_034101315.1|DALB	LOC110187405|XP_020812452.1|DSER
OG0002311	LOC117564094|XP_034098621.1|DALB	LOC110181339|XP_020804716.1|DSER
OG0002312	LOC117565106|XP_034099955.1|DALB	LOC110185696|XP_020810322.1|DSER
OG0002313	LOC117572453|XP_034111175.1|DALB	LOC110188770|XP_020814303.1|DSER
OG0002314	LOC117571462|XP_034109504.1|DALB	LOC110190899|XP_020817221.1|DSER
OG0002315	LOC117569779|XP_034106970.1|DALB	LOC110176323|XP_020798301.1|DSER
OG0002316	LOC117565459|XP_034100452.1|DALB	LOC110183172|XP_020807023.1|DSER
OG0002317	LOC117568375|XP_034104869.1|DALB	LOC110176167|XP_020798063.1|DSER
OG0002318	LOC117564717|XP_034099491.1|DALB	LOC110187488|XP_020812538.1|DSER, LOC110187505|XP_020812557.1|DSER, LOC110179884|XP_020803144.1|DSER
OG0002320	LOC117572517|XP_034111263.1|DALB	LOC110179214|XP_020802307.1|DSER
OG0002321	LOC117566962|XP_034102503.1|DALB	LOC110189267|XP_020814941.1|DSER
OG0002322	LOC117564691|XP_034099457.1|DALB	LOC110185978|XP_020810660.1|DSER
OG0002323	LOC117577722|XP_034118517.1|DALB, LOC117564591|XP_034099328.1|DALB	LOC110187443|XP_020812491.1|DSER
OG0002324	LOC117569300|XP_034106301.1|DALB	LOC110187840|XP_020812981.1|DSER, LOC110190223|XP_020816240.1|DSER
OG0002325	LOC117568196|XP_034104552.1|DALB	LOC110178673|XP_020801533.1|DSER
OG0002326	LOC117567536|XP_034103472.1|DALB	LOC110178674|XP_020801534.1|DSER
OG0002327	LOC117574888|XP_034114812.1|DALB	LOC110188135|XP_020813382.1|DSER
OG0002328	LOC117563393|XP_034097615.1|DALB	LOC110181369|XP_020804756.1|DSER
OG0002329	LOC117565371|XP_034100326.1|DALB	LOC110185810|XP_020810473.1|DSER
OG0002330	LOC117563504|XP_034097769.1|DALB	LOC110185651|XP_020810267.1|DSER
OG0002331	LOC117578165|XP_034119334.1|DALB, LOC117568173|XP_034104496.1|DALB	LOC110179463|XP_020802681.1|DSER
OG0002332	LOC117569910|XP_034107140.1|DALB	LOC110185290|XP_020809698.1|DSER
OG0002333	LOC117566675|XP_034102113.1|DALB	LOC110184111|XP_020808163.1|DSER
OG0002334	LOC117564891|XP_034099729.1|DALB	LOC110183124|XP_020806974.1|DSER
OG0002335	LOC117569937|XP_034107185.1|DALB	LOC110178264|XP_020800988.1|DSER
OG0002336	LOC117568195|XP_034104547.1|DALB	LOC110185301|XP_020809711.1|DSER
OG0002337	LOC117571394|XP_034109404.1|DALB	LOC110177027|XP_020799205.1|DSER
OG0002338	LOC117563788|XP_034098207.1|DALB	LOC110180229|XP_020803541.1|DSER, LOC110182660|XP_020806397.1|DSER
OG0002339	LOC117564071|XP_034098587.1|DALB	LOC110187208|XP_020812267.1|DSER
OG0002340	LOC117565937|XP_034101214.1|DALB	LOC110183998|XP_020808014.1|DSER
OG0002341	LOC117570129|XP_034107485.1|DALB	LOC110178012|XP_020800685.1|DSER
OG0002342	LOC117563671|XP_034097985.1|DALB	LOC110184862|XP_020809165.1|DSER
OG0002343	LOC117563923|XP_034098383.1|DALB	LOC110182349|XP_020806048.1|DSER
OG0002344	LOC117564050|XP_034098554.1|DALB	LOC110182853|XP_020806646.1|DSER
OG0002345	LOC117572522|XP_034111273.1|DALB	LOC110182890|XP_020806693.1|DSER
OG0002346	LOC117563303|XP_034097437.1|DALB	LOC110185698|XP_020810325.1|DSER
OG0002347	LOC117568528|XP_034105123.1|DALB	LOC110177693|XP_020800175.1|DSER
OG0002348	LOC117566036|XP_034101376.1|DALB	LOC110176849|XP_020798969.1|DSER
OG0002349	LOC117572525|XP_034111275.1|DALB	LOC110182892|XP_020806701.1|DSER
OG0002350	LOC117572521|XP_034111272.1|DALB	LOC110184192|XP_020808277.1|DSER
OG0002351	LOC117570561|XP_034108182.1|DALB	LOC110178229|XP_020800937.1|DSER
OG0002352	LOC117570301|XP_034107718.1|DALB	LOC110189396|XP_020815110.1|DSER
OG0002353	LOC117565696|XP_034100823.1|DALB	LOC110185013|XP_020809324.1|DSER, LOC110185119|XP_020809470.1|DSER, LOC110176568|XP_020798618.1|DSER, LOC110185019|XP_020809330.1|DSER
OG0002354	LOC117563381|XP_034097579.1|DALB	LOC110180603|XP_020803947.1|DSER, LOC110183034|XP_020806879.1|DSER, LOC110183013|XP_020806862.1|DSER
OG0002355	LOC117565671|XP_034100794.1|DALB	LOC110176560|XP_020798607.1|DSER
OG0002356	LOC117564149|XP_034098705.1|DALB	LOC110181173|XP_020804508.1|DSER
OG0002357	LOC117574548|XP_034114310.1|DALB	LOC110176433|XP_020798441.1|DSER
OG0002358	LOC117564880|XP_034099718.1|DALB	LOC110183294|XP_020807187.1|DSER
OG0002359	LOC117571924|XP_034110302.1|DALB	LOC110183236|XP_020807111.1|DSER
OG0002360	LOC117563723|XP_034098076.1|DALB	LOC110184990|XP_020809301.1|DSER
OG0002361	LOC117572380|XP_034111040.1|DALB	LOC110190134|XP_020816116.1|DSER
OG0002362	LOC117565565|XP_034100624.1|DALB	LOC110182696|XP_020806450.1|DSER
OG0002363	LOC117563786|XP_034098204.1|DALB	LOC110182664|XP_020806401.1|DSER, LOC110180221|XP_020803531.1|DSER
OG0002364	LOC117563783|XP_034098183.1|DALB	LOC110182655|XP_020806385.1|DSER, LOC110180222|XP_020803532.1|DSER
OG0002365	LOC117563498|XP_034097757.1|DALB	LOC110182681|XP_020806432.1|DSER
OG0002366	LOC117563616|XP_034097908.1|DALB, LOC117563609|XP_034097897.1|DALB	LOC110179181|XP_020802243.1|DSER
OG0002367	LOC117564962|XP_034099808.1|DALB	LOC110182246|XP_020805922.1|DSER
OG0002368	LOC117563216|XP_034097296.1|DALB, LOC117563976|XP_034098452.1|DALB	LOC110186098|XP_020810799.1|DSER
OG0002369	LOC117577664|XP_034118445.1|DALB	LOC110180118|XP_020803417.1|DSER
OG0002370	LOC117566101|XP_034101461.1|DALB	LOC110185988|XP_020810673.1|DSER
OG0002371	LOC117566105|XP_034101467.1|DALB	LOC110185728|XP_020810371.1|DSER
OG0002372	LOC117565496|XP_034100494.1|DALB	LOC110177067|XP_020799244.1|DSER
OG0002373	LOC117565252|XP_034100156.1|DALB	LOC110187338|XP_020812384.1|DSER
OG0002374	LOC117575364|XP_034115418.1|DALB	LOC110190556|XP_020816775.1|DSER
OG0002375	LOC117576535|XP_034117250.1|DALB, LOC117574759|XP_034114594.1|DALB	LOC110185391|XP_020809829.1|DSER
OG0002376	LOC117564723|XP_034099496.1|DALB	LOC110185552|XP_020810129.1|DSER
OG0002377	LOC117573671|XP_034112891.1|DALB	LOC110177196|XP_020799451.1|DSER
OG0002378	LOC117568032|XP_034104263.1|DALB	LOC110177485|XP_020799896.1|DSER
OG0002379	LOC117564621|XP_034099368.1|DALB	LOC110181184|XP_020804521.1|DSER
OG0002380	LOC117563625|XP_034097926.1|DALB	LOC110182063|XP_020805684.1|DSER
OG0002381	LOC117572440|XP_034111162.1|DALB	LOC110179263|XP_020802377.1|DSER
OG0002382	LOC117564627|XP_034099374.1|DALB, LOC117578028|XP_034119019.1|DALB	LOC110184120|XP_020808184.1|DSER
OG0002383	LOC117569053|XP_034105948.1|DALB	LOC110177590|XP_020800033.1|DSER
OG0002384	LOC117564092|XP_034098624.1|DALB	LOC110180159|XP_020803473.1|DSER
OG0002385	LOC117573067|XP_034111828.1|DALB	LOC110185418|XP_020809890.1|DSER
OG0002386	LOC117576190|XP_034116671.1|DALB	LOC110188468|XP_020813857.1|DSER
OG0002387	LOC117573888|XP_034113267.1|DALB	LOC110190974|XP_020817328.1|DSER
OG0002388	LOC117573540|XP_034112710.1|DALB	LOC110188720|XP_020814193.1|DSER
OG0002389	LOC117573907|XP_034113306.1|DALB	LOC110185244|XP_020809642.1|DSER
OG0002390	LOC117565167|XP_034100044.1|DALB	LOC110183431|XP_020807371.1|DSER
OG0002391	LOC117567556|XP_034103506.1|DALB	LOC110177337|XP_020799685.1|DSER
OG0002392	LOC117567270|XP_034103024.1|DALB	LOC110185201|XP_020809586.1|DSER
OG0002393	LOC117568511|XP_034105104.1|DALB	LOC110177572|XP_020800007.1|DSER
OG0002394	LOC117574073|XP_034113594.1|DALB	LOC110191787|XP_020818396.1|DSER
OG0002395	LOC117573859|XP_034113223.1|DALB	LOC110187721|XP_020812825.1|DSER
OG0002396	LOC117567602|XP_034103580.1|DALB	LOC110177796|XP_020800344.1|DSER
OG0002397	LOC117571826|XP_034110096.1|DALB	LOC110181850|XP_020805418.1|DSER
OG0002398	LOC117577616|XP_034118358.1|DALB, LOC117563359|XP_034097539.1|DALB	LOC110184421|XP_020808615.1|DSER
OG0002399	LOC117570510|XP_034108099.1|DALB	LOC110189368|XP_020815074.1|DSER
OG0002400	LOC117571465|XP_034109508.1|DALB	LOC110180023|XP_020803282.1|DSER
OG0002401	LOC117573180|XP_034112045.1|DALB	LOC110185450|XP_020809943.1|DSER
OG0002402	LOC117575084|XP_034115072.1|DALB	LOC110191741|XP_020818331.1|DSER
OG0002403	LOC117575893|XP_034116227.1|DALB	LOC110191801|XP_020818412.1|DSER
OG0002404	LOC117575008|XP_034114976.1|DALB	LOC110187662|XP_020812740.1|DSER
OG0002405	LOC117575433|XP_034115528.1|DALB	LOC110177165|XP_020799410.1|DSER
OG0002406	LOC117567891|XP_034104054.1|DALB	LOC110188532|XP_020813935.1|DSER
OG0002408	LOC117575865|XP_034116177.1|DALB	LOC110177129|XP_020799357.1|DSER
OG0002409	LOC117570792|XP_034108538.1|DALB	LOC110185298|XP_020809707.1|DSER
OG0002410	LOC117574724|XP_034114543.1|DALB	LOC110188314|XP_020813681.1|DSER
OG0002411	LOC117576388|XP_034116991.1|DALB	LOC110186338|XP_020811145.1|DSER
OG0002412	LOC117573452|XP_034112565.1|DALB	LOC110188919|XP_020814500.1|DSER
OG0002413	LOC117577581|XP_034118352.1|DALB	LOC110179631|XP_020802901.1|DSER
OG0002414	LOC117569823|XP_034107038.1|DALB	LOC110186976|XP_020811987.1|DSER
OG0002415	LOC117574320|XP_034114020.1|DALB	LOC110176591|XP_020798666.1|DSER
OG0002416	LOC117573233|XP_034112175.1|DALB	LOC110185423|XP_020809895.1|DSER
