Orthogroup	DALB.longest_only	CPIP.longest_only
OG0001621	LOC117569383|XP_034106404.1|DALB	LOC120432437|XP_039453589.1|CPIP
OG0001622	LOC117563560|XP_034097834.1|DALB	LOC120432427|XP_039453566.1|CPIP, LOC120418668|XP_039437055.1|CPIP
OG0001623	LOC117566113|XP_034101474.1|DALB	LOC120420521|XP_039439520.1|CPIP
OG0001624	LOC117563365|XP_034097555.1|DALB	LOC120423390|XP_039443109.1|CPIP
OG0001625	LOC117571672|XP_034109802.1|DALB, LOC117577418|XP_034118222.1|DALB	LOC120423393|XP_039443115.1|CPIP, LOC120423414|XP_039443148.1|CPIP
OG0001626	LOC117565885|XP_034101118.1|DALB	LOC120414851|XP_039432111.1|CPIP
OG0001627	LOC117573549|XP_034112719.1|DALB	LOC120432366|XP_039453493.1|CPIP, LOC120414733|XP_039431979.1|CPIP
OG0001628	LOC117574367|XP_034114092.1|DALB, LOC117575908|XP_034116245.1|DALB	LOC120427953|XP_039448839.1|CPIP, LOC120426132|XP_039446769.1|CPIP
OG0001630	LOC117574186|XP_034113769.1|DALB	LOC120413746|XP_039430604.1|CPIP
OG0001631	LOC117576611|XP_034117402.1|DALB	LOC120422096|XP_039441377.1|CPIP
OG0001632	LOC117565827|XP_034101025.1|DALB	LOC120412941|XP_039429512.1|CPIP
OG0001633	LOC117573971|XP_034113404.1|DALB	LOC120424393|XP_039444425.1|CPIP
OG0001634	LOC117577388|XP_034118186.1|DALB	LOC120417868|XP_039436023.1|CPIP
OG0001635	LOC117576211|XP_034116707.1|DALB	LOC120421493|XP_039440646.1|CPIP, LOC120421517|XP_039440669.1|CPIP
OG0001636	LOC117574591|XP_034114365.1|DALB	LOC120421751|XP_039440961.1|CPIP, LOC120421508|XP_039440662.1|CPIP
OG0001637	LOC117575082|XP_034115070.1|DALB	LOC120425675|XP_039446192.1|CPIP, LOC120425682|XP_039446199.1|CPIP
OG0001638	LOC117575434|XP_034115532.1|DALB	LOC120418263|XP_039436514.1|CPIP, LOC120422746|XP_039442223.1|CPIP
OG0001640	LOC117573677|XP_034112896.1|DALB	LOC120419431|XP_039438043.1|CPIP
OG0001641	LOC117575815|XP_034116101.1|DALB	LOC120426911|XP_039447651.1|CPIP, LOC120429731|XP_039450717.1|CPIP, LOC120423165|XP_039442780.1|CPIP
OG0001642	LOC117566419|XP_034101842.1|DALB	LOC120419434|XP_039438047.1|CPIP
OG0001643	LOC117565272|XP_034100191.1|DALB	LOC120429849|XP_039450856.1|CPIP, LOC120429588|XP_039450559.1|CPIP, LOC120424595|XP_039444692.1|CPIP
OG0001644	LOC117571125|XP_034109018.1|DALB	LOC120426488|XP_039447190.1|CPIP
OG0001645	LOC117569251|XP_034106216.1|DALB	LOC120418465|XP_039436834.1|CPIP
OG0001646	LOC117569983|XP_034107252.1|DALB	LOC120424451|XP_039444526.1|CPIP
OG0001647	LOC117564522|XP_034099233.1|DALB, LOC117571866|XP_034110153.1|DALB	LOC120424726|XP_039444847.1|CPIP
OG0001648	LOC117572729|XP_034111691.1|DALB	LOC120414035|XP_039430991.1|CPIP
OG0001649	LOC117571863|XP_034110149.1|DALB	LOC120430247|XP_039451262.1|CPIP
OG0001650	LOC117566996|XP_034102562.1|DALB	LOC120412727|XP_039429247.1|CPIP
OG0001651	LOC117567943|XP_034104129.1|DALB	LOC120419314|XP_039437917.1|CPIP, LOC120430523|XP_039451573.1|CPIP
OG0001652	LOC117567790|XP_034103905.1|DALB	LOC120412353|XP_039428701.1|CPIP
OG0001653	LOC117568506|XP_034105093.1|DALB	LOC120416809|XP_039434617.1|CPIP
OG0001654	LOC117571670|XP_034109801.1|DALB	LOC120426496|XP_039447199.1|CPIP
OG0001655	LOC117570147|XP_034107503.1|DALB, LOC117570149|XP_034107505.1|DALB, LOC117570148|XP_034107504.1|DALB	LOC120420338|XP_039439267.1|CPIP
OG0001656	LOC117565285|XP_034100204.1|DALB	LOC120423728|XP_039443568.1|CPIP
OG0001657	LOC117572810|XP_034111807.1|DALB	LOC120422234|XP_039441552.1|CPIP
OG0001658	LOC117568941|XP_034105770.1|DALB	LOC120431660|XP_039452701.1|CPIP, LOC120422225|XP_039441544.1|CPIP
OG0001659	LOC117572162|XP_034110702.1|DALB	LOC120423689|XP_039443515.1|CPIP
OG0001661	LOC117563433|XP_034097658.1|DALB, LOC117575679|XP_034115858.1|DALB, LOC117575678|XP_034115857.1|DALB	LOC120414638|XP_039431808.1|CPIP
OG0001662	LOC117570844|XP_034108616.1|DALB	LOC120413243|XP_039429906.1|CPIP
OG0001666	LOC117578384|XP_034119711.1|DALB	LOC120418637|XP_039437016.1|CPIP
OG0001678	LOC117578104|XP_034119172.1|DALB	LOC120419284|XP_039437885.1|CPIP
OG0001679	LOC117570744|XP_034108460.1|DALB	LOC120432273|XP_039453389.1|CPIP, LOC120432259|XP_039453374.1|CPIP
OG0001680	LOC117578171|XP_034119354.1|DALB	LOC120418132|XP_039436345.1|CPIP
OG0001681	LOC117577630|XP_034118388.1|DALB	LOC120424011|XP_039443959.1|CPIP, LOC120419710|XP_039438431.1|CPIP
OG0001682	LOC117571378|XP_034109382.1|DALB, LOC117575951|XP_034116309.1|DALB	LOC120432300|XP_039453421.1|CPIP
OG0001683	LOC117563348|XP_034097523.1|DALB	LOC120431556|XP_039452597.1|CPIP
OG0001684	LOC117573079|XP_034111853.1|DALB	LOC120420164|XP_039439064.1|CPIP
OG0001685	LOC117565874|XP_034101105.1|DALB	LOC120414662|XP_039431865.1|CPIP, LOC120415701|XP_039433226.1|CPIP
OG0001686	LOC117577946|XP_034118912.1|DALB	LOC120423038|XP_039442630.1|CPIP
OG0001687	LOC117574685|XP_034114485.1|DALB	LOC120429378|XP_039450484.1|CPIP, LOC120428917|XP_039450024.1|CPIP
OG0001688	LOC117567588|XP_034103565.1|DALB	LOC120417713|XP_039435798.1|CPIP
OG0001689	LOC117571053|XP_034108915.1|DALB	LOC120417698|XP_039435777.1|CPIP
OG0001690	LOC117570248|XP_034107647.1|DALB	LOC120427975|XP_039448865.1|CPIP
OG0001691	LOC117565095|XP_034099943.1|DALB	LOC120412506|XP_039428944.1|CPIP
OG0001693	LOC117572263|XP_034110858.1|DALB	LOC120425318|XP_039445730.1|CPIP
OG0001694	LOC117575747|XP_034115996.1|DALB	LOC120415614|XP_039433143.1|CPIP, LOC120430709|XP_039451751.1|CPIP
OG0001695	LOC117565244|XP_034100147.1|DALB	LOC120427808|XP_039448667.1|CPIP, LOC120419865|XP_039438650.1|CPIP, LOC120418082|XP_039436274.1|CPIP
OG0001696	LOC117574668|XP_034114464.1|DALB	LOC120429492|XP_039450498.1|CPIP
OG0001700	LOC117576469|XP_034117131.1|DALB	LOC120413748|XP_039430614.1|CPIP, LOC120413786|XP_039430669.1|CPIP
OG0001701	LOC117576600|XP_034117385.1|DALB	LOC120422133|XP_039441441.1|CPIP
OG0001702	LOC117566248|XP_034101690.1|DALB	LOC120418959|XP_039437436.1|CPIP
OG0001703	LOC117575736|XP_034115973.1|DALB	LOC120431818|XP_039452875.1|CPIP
OG0001704	LOC117575737|XP_034115977.1|DALB	LOC120432144|XP_039453211.1|CPIP
OG0001705	LOC117575820|XP_034116111.1|DALB	LOC120431584|XP_039452629.1|CPIP
OG0001706	LOC117563641|XP_034097942.1|DALB	LOC120421783|XP_039440987.1|CPIP
OG0001707	LOC117573422|XP_034112522.1|DALB	LOC120423819|XP_039443675.1|CPIP
OG0001708	LOC117575914|XP_034116259.1|DALB	LOC120424254|XP_039444252.1|CPIP
OG0001709	LOC117570030|XP_034107343.1|DALB	LOC120430071|XP_039451096.1|CPIP, LOC120429522|XP_039450525.1|CPIP, LOC120421807|XP_039441018.1|CPIP
OG0001710	LOC117573706|XP_034112965.1|DALB	LOC120421118|XP_039440212.1|CPIP, LOC120422581|XP_039442004.1|CPIP
OG0001711	LOC117576227|XP_034116731.1|DALB	LOC120430053|XP_039451082.1|CPIP, LOC120431438|XP_039452490.1|CPIP, LOC120432002|XP_039453068.1|CPIP, LOC120427890|XP_039448758.1|CPIP
OG0001712	LOC117574734|XP_034114558.1|DALB	LOC120420722|XP_039439754.1|CPIP
OG0001713	LOC117573695|XP_034112946.1|DALB, LOC117576157|XP_034116622.1|DALB	LOC120425504|XP_039445987.1|CPIP
OG0001714	LOC117576667|XP_034117529.1|DALB	LOC120429283|XP_039450438.1|CPIP, LOC120428367|XP_039449304.1|CPIP
OG0001715	LOC117566904|XP_034102416.1|DALB	LOC120412901|XP_039429467.1|CPIP
OG0001716	LOC117567760|XP_034103847.1|DALB	LOC120427410|XP_039448208.1|CPIP
OG0001717	LOC117576936|XP_034117971.1|DALB	LOC120424680|XP_039444790.1|CPIP, LOC120424622|XP_039444721.1|CPIP
OG0001718	LOC117573733|XP_034112995.1|DALB	LOC120432527|XP_039453679.1|CPIP
OG0001719	LOC117573423|XP_034112523.1|DALB	LOC120422589|XP_039442014.1|CPIP
OG0001722	LOC117567853|XP_034103998.1|DALB	LOC120427608|XP_039448418.1|CPIP
OG0001723	LOC117569179|XP_034106139.1|DALB	LOC120426984|XP_039447737.1|CPIP, LOC120419737|XP_039438472.1|CPIP
OG0001724	LOC117566870|XP_034102359.1|DALB	LOC120419483|XP_039438100.1|CPIP
OG0001725	LOC117567144|XP_034102847.1|DALB	LOC120429768|XP_039450757.1|CPIP
OG0001726	LOC117568460|XP_034105027.1|DALB	LOC120416559|XP_039434224.1|CPIP, LOC120415184|XP_039432575.1|CPIP
OG0001727	LOC117575579|XP_034115736.1|DALB	LOC120429045|XP_039450121.1|CPIP, LOC120423654|XP_039443470.1|CPIP, LOC120420428|XP_039439385.1|CPIP
OG0001728	LOC117571921|XP_034110293.1|DALB	LOC120425582|XP_039446089.1|CPIP
OG0001729	LOC117570427|XP_034107971.1|DALB	LOC120425590|XP_039446103.1|CPIP
OG0001730	LOC117564334|XP_034098931.1|DALB, LOC117564951|XP_034099796.1|DALB	LOC120426311|XP_039447006.1|CPIP, LOC120425981|XP_039446572.1|CPIP
OG0001732	LOC117564845|XP_034099670.1|DALB	LOC120415971|XP_039433554.1|CPIP, LOC120415998|XP_039433587.1|CPIP, LOC120413260|XP_039429922.1|CPIP, LOC120420563|XP_039439569.1|CPIP
OG0001733	LOC117568574|XP_034105194.1|DALB	LOC120418891|XP_039437357.1|CPIP
OG0001734	LOC117570685|XP_034108377.1|DALB	LOC120418881|XP_039437349.1|CPIP
OG0001735	LOC117567713|XP_034103764.1|DALB	LOC120430048|XP_039451078.1|CPIP
OG0001736	LOC117568389|XP_034104892.1|DALB	LOC120413202|XP_039429852.1|CPIP
OG0001737	LOC117572739|XP_034111706.1|DALB	LOC120428758|XP_039449774.1|CPIP
OG0001738	LOC117569577|XP_034106691.1|DALB	LOC120413222|XP_039429882.1|CPIP
OG0001740	LOC117570294|XP_034107706.1|DALB	LOC120420119|XP_039439002.1|CPIP
OG0001742	LOC117570749|XP_034108462.1|DALB	LOC120420062|XP_039438910.1|CPIP
OG0001743	LOC117568985|XP_034105847.1|DALB	LOC120420083|XP_039438946.1|CPIP
OG0001744	LOC117567109|XP_034102785.1|DALB	LOC120412391|XP_039428766.1|CPIP
OG0001745	LOC117572236|XP_034110809.1|DALB	LOC120420149|XP_039439042.1|CPIP
OG0001746	LOC117570976|XP_034108812.1|DALB	LOC120416574|XP_039434241.1|CPIP
OG0001747	LOC117566934|XP_034102447.1|DALB	LOC120419966|XP_039438770.1|CPIP
OG0001748	LOC117571326|XP_034109303.1|DALB	LOC120418537|XP_039436907.1|CPIP
OG0001749	LOC117566554|XP_034101986.1|DALB	LOC120416049|XP_039433644.1|CPIP, LOC120423609|XP_039443409.1|CPIP
OG0001750	LOC117571472|XP_034109521.1|DALB	LOC120423614|XP_039443415.1|CPIP, LOC120416056|XP_039433652.1|CPIP
OG0001751	LOC117572096|XP_034110592.1|DALB	LOC120413418|XP_039430166.1|CPIP
OG0001752	LOC117571214|XP_034109152.1|DALB	LOC120420029|XP_039438862.1|CPIP
OG0001753	LOC117567712|XP_034103760.1|DALB	LOC120425129|XP_039445487.1|CPIP
OG0001754	LOC117568560|XP_034105179.1|DALB	LOC120412624|XP_039429109.1|CPIP
OG0001755	LOC117570920|XP_034108726.1|DALB	LOC120428835|XP_039449885.1|CPIP, LOC120412567|XP_039429008.1|CPIP
OG0001756	LOC117569043|XP_034105931.1|DALB, LOC117572438|XP_034111158.1|DALB	LOC120427031|XP_039447786.1|CPIP
OG0001757	LOC117567091|XP_034102762.1|DALB	LOC120422704|XP_039442150.1|CPIP
OG0001758	LOC117570006|XP_034107292.1|DALB	LOC120422695|XP_039442138.1|CPIP
OG0001759	LOC117566891|XP_034102397.1|DALB	LOC120417487|XP_039435497.1|CPIP
OG0001760	LOC117570291|XP_034107703.1|DALB	LOC120431187|XP_039452263.1|CPIP
OG0001761	LOC117567004|XP_034102575.1|DALB	LOC120421909|XP_039441143.1|CPIP
OG0001762	LOC117566209|XP_034101632.1|DALB	LOC120427012|XP_039447766.1|CPIP
OG0001764	LOC117575530|XP_034115670.1|DALB	LOC120412610|XP_039429092.1|CPIP
OG0001765	LOC117568183|XP_034104522.1|DALB	LOC120429891|XP_039450906.1|CPIP
OG0001766	LOC117565946|XP_034101222.1|DALB	LOC120414689|XP_039431909.1|CPIP
OG0001767	LOC117563210|XP_034097290.1|DALB, LOC117565355|XP_034100304.1|DALB	LOC120416612|XP_039434345.1|CPIP
OG0001768	LOC117563570|XP_034097845.1|DALB	LOC120415684|XP_039433202.1|CPIP
OG0001769	LOC117564709|XP_034099480.1|DALB	LOC120423676|XP_039443501.1|CPIP
OG0001770	LOC117565264|XP_034100179.1|DALB	LOC120424085|XP_039444033.1|CPIP, LOC120424104|XP_039444049.1|CPIP, LOC120424087|XP_039444036.1|CPIP
OG0001771	LOC117564766|XP_034099555.1|DALB, LOC117564765|XP_034099554.1|DALB	LOC120420598|XP_039439606.1|CPIP
OG0001772	LOC117564206|XP_034098778.1|DALB	LOC120430583|XP_039451623.1|CPIP, LOC120428020|XP_039448927.1|CPIP
OG0001774	LOC117568853|XP_034105624.1|DALB	LOC120413132|XP_039429770.1|CPIP
OG0001775	LOC117576763|XP_034117700.1|DALB	LOC120413130|XP_039429769.1|CPIP
OG0001776	LOC117564357|XP_034098962.1|DALB	LOC120418945|XP_039437417.1|CPIP
OG0001777	LOC117564135|XP_034098686.1|DALB	LOC120428102|XP_039449019.1|CPIP, LOC120430713|XP_039451756.1|CPIP
OG0001778	LOC117577884|XP_034118752.1|DALB, LOC117565793|XP_034100966.1|DALB	LOC120413896|XP_039430808.1|CPIP, LOC120420538|XP_039439544.1|CPIP
OG0001779	LOC117564697|XP_034099461.1|DALB	LOC120418404|XP_039436714.1|CPIP
OG0001780	LOC117569263|XP_034106254.1|DALB	LOC120419389|XP_039437995.1|CPIP
OG0001781	LOC117566058|XP_034101405.1|DALB	LOC120428163|XP_039449081.1|CPIP
OG0001782	LOC117564679|XP_034099436.1|DALB	LOC120429265|XP_039450416.1|CPIP, LOC120430898|XP_039451955.1|CPIP
OG0001783	LOC117563379|XP_034097576.1|DALB	LOC120418978|XP_039437459.1|CPIP, LOC120425191|XP_039445556.1|CPIP
OG0001784	LOC117563801|XP_034098224.1|DALB	LOC120412843|XP_039429400.1|CPIP, LOC120425334|XP_039445750.1|CPIP
OG0001785	LOC117567290|XP_034103052.1|DALB	LOC120423126|XP_039442738.1|CPIP
OG0001786	LOC117565115|XP_034099965.1|DALB	LOC120427328|XP_039448112.1|CPIP
OG0001787	LOC117563785|XP_034098203.1|DALB	LOC120420887|XP_039439942.1|CPIP
OG0001788	LOC117566985|XP_034102541.1|DALB	LOC120419886|XP_039438686.1|CPIP
OG0001789	LOC117569294|XP_034106292.1|DALB, LOC117568138|XP_034104436.1|DALB, LOC117571398|XP_034109411.1|DALB	LOC120429675|XP_039450640.1|CPIP
OG0001790	LOC117564352|XP_034098958.1|DALB	LOC120419462|XP_039438080.1|CPIP
OG0001791	LOC117568301|XP_034104726.1|DALB	LOC120412953|XP_039429527.1|CPIP, LOC120432422|XP_039453558.1|CPIP
OG0001792	LOC117564090|XP_034098614.1|DALB	LOC120429790|XP_039450784.1|CPIP, LOC120431590|XP_039452630.1|CPIP
OG0001793	LOC117567080|XP_034102722.1|DALB	LOC120432464|XP_039453626.1|CPIP
OG0001794	LOC117565792|XP_034100964.1|DALB	LOC120416622|XP_039434357.1|CPIP, LOC120417688|XP_039435762.1|CPIP, LOC120412468|XP_039428878.1|CPIP
OG0001795	LOC117564467|XP_034099146.1|DALB	LOC120419069|XP_039437586.1|CPIP
OG0001797	LOC117573152|XP_034111999.1|DALB	LOC120421442|XP_039440582.1|CPIP, LOC120421439|XP_039440580.1|CPIP
OG0001798	LOC117568430|XP_034104980.1|DALB	LOC120418692|XP_039437093.1|CPIP
OG0001799	LOC117575351|XP_034115411.1|DALB, LOC117575342|XP_034115398.1|DALB	LOC120415295|XP_039432701.1|CPIP
OG0001800	LOC117565025|XP_034099861.1|DALB	LOC120413669|XP_039430529.1|CPIP
OG0001801	LOC117567284|XP_034103041.1|DALB	LOC120426324|XP_039447018.1|CPIP
OG0001802	LOC117575428|XP_034115523.1|DALB	LOC120417646|XP_039435698.1|CPIP
OG0001803	LOC117575248|XP_034115270.1|DALB	LOC120432192|XP_039453269.1|CPIP
OG0001804	LOC117576679|XP_034117564.1|DALB	LOC120419224|XP_039437816.1|CPIP
OG0001805	LOC117572070|XP_034110544.1|DALB	LOC120420953|XP_039440022.1|CPIP
OG0001806	LOC117574794|XP_034114644.1|DALB, LOC117574567|XP_034114333.1|DALB	LOC120413925|XP_039430841.1|CPIP
OG0001808	LOC117576960|XP_034118025.1|DALB	LOC120413020|XP_039429619.1|CPIP
OG0001809	LOC117576328|XP_034116886.1|DALB	LOC120424387|XP_039444421.1|CPIP
OG0001810	LOC117575997|XP_034116386.1|DALB	LOC120416840|XP_039434663.1|CPIP, LOC120421221|XP_039440360.1|CPIP
OG0001811	LOC117570244|XP_034107639.1|DALB	LOC120422717|XP_039442178.1|CPIP
OG0001812	LOC117578332|XP_034119688.1|DALB	LOC120422747|XP_039442224.1|CPIP, LOC120418264|XP_039436515.1|CPIP
OG0001813	LOC117576480|XP_034117142.1|DALB	LOC120419408|XP_039438016.1|CPIP
OG0001814	LOC117576740|XP_034117661.1|DALB	LOC120429061|XP_039450138.1|CPIP
OG0001815	LOC117566370|XP_034101759.1|DALB, LOC117575404|XP_034115475.1|DALB	LOC120431023|XP_039452112.1|CPIP
OG0001816	LOC117570703|XP_034108397.1|DALB	LOC120423156|XP_039442769.1|CPIP
OG0001817	LOC117567469|XP_034103379.1|DALB	LOC120421367|XP_039440490.1|CPIP
OG0001818	LOC117569504|XP_034106621.1|DALB	LOC120416654|XP_039434399.1|CPIP, LOC120416656|XP_039434400.1|CPIP
OG0001819	LOC117572128|XP_034110653.1|DALB	LOC120424753|XP_039444880.1|CPIP, LOC120414223|XP_039431267.1|CPIP
OG0001821	LOC117570804|XP_034108551.1|DALB	LOC120415251|XP_039432651.1|CPIP
OG0001822	LOC117568631|XP_034105312.1|DALB	LOC120426052|XP_039446668.1|CPIP
OG0001823	LOC117569664|XP_034106802.1|DALB, LOC117572174|XP_034110716.1|DALB	LOC120415280|XP_039432684.1|CPIP, LOC120415308|XP_039432720.1|CPIP
OG0001824	LOC117564893|XP_034099731.1|DALB	LOC120425104|XP_039445436.1|CPIP, LOC120425222|XP_039445590.1|CPIP
OG0001825	LOC117568316|XP_034104763.1|DALB	LOC120418446|XP_039436787.1|CPIP
OG0001826	LOC117567409|XP_034103274.1|DALB	LOC120414889|XP_039432146.1|CPIP
OG0001827	LOC117568450|XP_034105015.1|DALB	LOC120427761|XP_039448605.1|CPIP, LOC120427760|XP_039448604.1|CPIP
OG0001828	LOC117568417|XP_034104953.1|DALB, LOC117578108|XP_034119176.1|DALB	LOC120427284|XP_039448066.1|CPIP, LOC120415447|XP_039432929.1|CPIP
OG0001829	LOC117569282|XP_034106279.1|DALB	LOC120412766|XP_039429291.1|CPIP
OG0001830	LOC117566836|XP_034102309.1|DALB	LOC120429987|XP_039451014.1|CPIP
OG0001831	LOC117569815|XP_034107026.1|DALB	LOC120425250|XP_039445630.1|CPIP, LOC120425252|XP_039445632.1|CPIP
OG0001832	LOC117578207|XP_034119441.1|DALB	LOC120415194|XP_039432585.1|CPIP
OG0001833	LOC117570360|XP_034107821.1|DALB, LOC117572032|XP_034110478.1|DALB	LOC120415845|XP_039433414.1|CPIP
OG0001834	LOC117575271|XP_034115296.1|DALB	LOC120427429|XP_039448220.1|CPIP, LOC120426063|XP_039446683.1|CPIP
OG0001848	LOC117573245|XP_034112195.1|DALB	LOC120415033|XP_039432335.1|CPIP
OG0001849	LOC117574913|XP_034114850.1|DALB, LOC117575504|XP_034115638.1|DALB	LOC120415057|XP_039432376.1|CPIP
OG0001850	LOC117573070|XP_034111829.1|DALB	LOC120413283|XP_039429951.1|CPIP
OG0001851	LOC117573088|XP_034111871.1|DALB	LOC120413275|XP_039429938.1|CPIP
OG0001852	LOC117567048|XP_034102656.1|DALB	LOC120413287|XP_039429958.1|CPIP, LOC120413313|XP_039430014.1|CPIP
OG0001854	LOC117566365|XP_034101754.1|DALB	LOC120417681|XP_039435750.1|CPIP, LOC120432279|XP_039453399.1|CPIP
OG0001855	LOC117569054|XP_034105955.1|DALB	LOC120431217|XP_039452295.1|CPIP, LOC120430280|XP_039451306.1|CPIP
OG0001856	LOC117578103|XP_034119171.1|DALB	LOC120432215|XP_039453313.1|CPIP
OG0001857	LOC117573494|XP_034112616.1|DALB	LOC120427567|XP_039448403.1|CPIP, LOC120430610|XP_039451949.1|CPIP
OG0001858	LOC117570007|XP_034107310.1|DALB	LOC120432212|XP_039453305.1|CPIP
OG0001859	LOC117577748|XP_034118551.1|DALB	LOC120416215|XP_039433880.1|CPIP
OG0001860	LOC117569627|XP_034106755.1|DALB	LOC120432252|XP_039453361.1|CPIP, LOC120422822|XP_039442291.1|CPIP
OG0001862	LOC117574866|XP_034114774.1|DALB, LOC117575031|XP_034115001.1|DALB	LOC120424282|XP_039444287.1|CPIP, LOC120424297|XP_039444314.1|CPIP
OG0001863	LOC117564266|XP_034098863.1|DALB, LOC117564256|XP_034098853.1|DALB	LOC120424288|XP_039444295.1|CPIP
OG0001864	LOC117576309|XP_034116855.1|DALB	LOC120417696|XP_039435771.1|CPIP
OG0001865	LOC117574378|XP_034114103.1|DALB, LOC117567273|XP_034103031.1|DALB	LOC120432161|XP_039453263.1|CPIP
OG0001866	LOC117575801|XP_034116070.1|DALB	LOC120424588|XP_039444715.1|CPIP
OG0001867	LOC117572102|XP_034110601.1|DALB	LOC120424690|XP_039444799.1|CPIP, LOC120413652|XP_039430503.1|CPIP
OG0001868	LOC117563849|XP_034098269.1|DALB	LOC120424695|XP_039444808.1|CPIP
OG0001869	LOC117575740|XP_034115980.1|DALB	LOC120425313|XP_039445713.1|CPIP
OG0001870	LOC117568087|XP_034104360.1|DALB	LOC120424530|XP_039444625.1|CPIP
OG0001871	LOC117569373|XP_034106398.1|DALB	LOC120432495|XP_039453645.1|CPIP
OG0001872	LOC117575605|XP_034115768.1|DALB	LOC120416400|XP_039434080.1|CPIP
OG0001873	LOC117574993|XP_034114953.1|DALB	LOC120415625|XP_039433159.1|CPIP
OG0001874	LOC117573073|XP_034111843.1|DALB	LOC120416923|XP_039434763.1|CPIP
OG0001875	LOC117576755|XP_034117683.1|DALB	LOC120418476|XP_039436877.1|CPIP, LOC120423876|XP_039443758.1|CPIP
OG0001876	LOC117567146|XP_034102849.1|DALB	LOC120418093|XP_039436295.1|CPIP, LOC120419900|XP_039438702.1|CPIP
OG0001877	LOC117578147|XP_034119255.1|DALB	LOC120418096|XP_039436298.1|CPIP, LOC120419899|XP_039438701.1|CPIP
OG0001878	LOC117573768|XP_034113054.1|DALB	LOC120426437|XP_039447133.1|CPIP
OG0001879	LOC117573130|XP_034111949.1|DALB	LOC120427444|XP_039448246.1|CPIP
OG0001880	LOC117575819|XP_034116110.1|DALB	LOC120417856|XP_039436010.1|CPIP
OG0001881	LOC117576218|XP_034116715.1|DALB	LOC120417206|XP_039435105.1|CPIP
OG0001883	LOC117573866|XP_034113232.1|DALB	LOC120429671|XP_039450634.1|CPIP, LOC120424512|XP_039444600.1|CPIP
OG0001886	LOC117576949|XP_034117998.1|DALB	LOC120426734|XP_039447440.1|CPIP
OG0001887	LOC117569788|XP_034106981.1|DALB	LOC120421810|XP_039441022.1|CPIP, LOC120420156|XP_039439056.1|CPIP
OG0001888	LOC117575854|XP_034116165.1|DALB	LOC120421794|XP_039440999.1|CPIP
OG0001889	LOC117570571|XP_034108201.1|DALB	LOC120421817|XP_039441029.1|CPIP
OG0001890	LOC117571216|XP_034109155.1|DALB	LOC120421819|XP_039441031.1|CPIP
OG0001891	LOC117576520|XP_034117229.1|DALB	LOC120421797|XP_039441002.1|CPIP
OG0001892	LOC117564533|XP_034099245.1|DALB	LOC120415681|XP_039433204.1|CPIP
OG0001893	LOC117575416|XP_034115490.1|DALB	LOC120425738|XP_039446277.1|CPIP
OG0001894	LOC117568419|XP_034104955.1|DALB, LOC117570940|XP_034108762.1|DALB	LOC120425748|XP_039446287.1|CPIP
OG0001895	LOC117573252|XP_034112220.1|DALB	LOC120418343|XP_039436626.1|CPIP
OG0001896	LOC117565240|XP_034100141.1|DALB	LOC120415694|XP_039433223.1|CPIP
OG0001897	LOC117576774|XP_034117716.1|DALB	LOC120427898|XP_039448767.1|CPIP
OG0001898	LOC117567000|XP_034102570.1|DALB	LOC120416658|XP_039434404.1|CPIP
OG0001899	LOC117573998|XP_034113438.1|DALB	LOC120428908|XP_039449983.1|CPIP
OG0001900	LOC117572336|XP_034110967.1|DALB	LOC120416618|XP_039434352.1|CPIP
OG0001901	LOC117565918|XP_034101178.1|DALB	LOC120426679|XP_039447386.1|CPIP
OG0001902	LOC117573094|XP_034111889.1|DALB	LOC120431651|XP_039452692.1|CPIP
OG0001903	LOC117576066|XP_034116491.1|DALB	LOC120430274|XP_039451297.1|CPIP
OG0001904	LOC117574034|XP_034113520.1|DALB	LOC120432505|XP_039453659.1|CPIP, LOC120415965|XP_039433543.1|CPIP, LOC120431715|XP_039452771.1|CPIP
OG0001906	LOC117576938|XP_034117974.1|DALB	LOC120429813|XP_039450797.1|CPIP
OG0001907	LOC117574408|XP_034114140.1|DALB	LOC120421012|XP_039440065.1|CPIP
OG0001908	LOC117576966|XP_034118034.1|DALB	LOC120423816|XP_039443671.1|CPIP
OG0001909	LOC117568988|XP_034105854.1|DALB	LOC120417097|XP_039435009.1|CPIP
OG0001910	LOC117573914|XP_034113314.1|DALB	LOC120420775|XP_039439820.1|CPIP, LOC120420773|XP_039439816.1|CPIP
OG0001911	LOC117573999|XP_034113455.1|DALB	LOC120428292|XP_039449219.1|CPIP, LOC120423330|XP_039443025.1|CPIP
OG0001912	LOC117572451|XP_034111174.1|DALB	LOC120423593|XP_039443389.1|CPIP
OG0001913	LOC117563883|XP_034098331.1|DALB	LOC120423525|XP_039443306.1|CPIP, LOC120423522|XP_039443304.1|CPIP, LOC120423523|XP_039443305.1|CPIP, LOC120423565|XP_039443350.1|CPIP, LOC120423584|XP_039443378.1|CPIP
OG0001914	LOC117576828|XP_034117793.1|DALB	LOC120428358|XP_039449297.1|CPIP, LOC120432115|XP_039453184.1|CPIP, LOC120423554|XP_039443332.1|CPIP
OG0001915	LOC117570183|XP_034107550.1|DALB	LOC120428071|XP_039448978.1|CPIP
OG0001916	LOC117569257|XP_034106222.1|DALB	LOC120428687|XP_039449691.1|CPIP
OG0001917	LOC117572151|XP_034110681.1|DALB	LOC120423008|XP_039442572.1|CPIP
