Orthogroup	DALB.longest_only	HILL.longest_only
OG0000428	LOC117568170|XP_034104494.1|DALB, LOC117568169|XP_034104493.1|DALB	LOC119654020|XP_037915111.1|HILL
OG0000433	LOC117575919|XP_034116268.1|DALB	LOC119658708|XP_037922249.1|HILL
OG0000433	LOC117572721|XP_034111674.1|DALB	LOC119650212|XP_037908705.1|HILL
OG0000434	LOC117573374|XP_034112402.1|DALB	LOC119659474|XP_037923508.1|HILL
OG0000435	LOC117567736|XP_034103812.1|DALB	LOC119657374|XP_037920187.1|HILL
OG0000438	LOC117573307|XP_034112303.1|DALB	LOC119661411|XP_037926673.1|HILL
OG0000439	LOC117565270|XP_034100188.1|DALB	LOC119651351|XP_037910838.1|HILL
OG0000439	LOC117571111|XP_034108985.1|DALB	LOC119650255|XP_037908775.1|HILL
OG0000440	LOC117570223|XP_034107613.1|DALB, LOC117570224|XP_034107614.1|DALB, LOC117570222|XP_034107612.1|DALB, LOC117567896|XP_034104059.1|DALB	LOC119647315|XP_037904170.1|HILL
OG0000441	LOC117570102|XP_034107450.1|DALB, LOC117569290|XP_034106286.1|DALB	LOC119657627|XP_037920559.1|HILL, LOC119658141|XP_037921337.1|HILL, LOC119657726|XP_037920697.1|HILL, LOC119656852|XP_037919432.1|HILL
OG0000442	LOC117568984|XP_034105842.1|DALB	LOC119655225|XP_037916933.1|HILL
OG0000443	LOC117569537|XP_034106631.1|DALB, LOC117570957|XP_034108783.1|DALB	LOC119649255|XP_037907251.1|HILL
OG0000444	LOC117564594|XP_034099337.1|DALB	LOC119650202|XP_037908696.1|HILL
OG0000444	LOC117564527|XP_034099239.1|DALB	LOC119648810|XP_037906588.1|HILL
OG0000446	LOC117575905|XP_034116240.1|DALB, LOC117569928|XP_034107178.1|DALB	LOC119647818|XP_037904975.1|HILL
OG0000448	LOC117576233|XP_034116742.1|DALB, LOC117573579|XP_034112758.1|DALB, LOC117575855|XP_034116166.1|DALB, LOC117564935|XP_034099780.1|DALB	LOC119650667|XP_037909547.1|HILL
OG0000449	LOC117572037|XP_034110488.1|DALB	LOC119654328|XP_037915585.1|HILL
OG0000449	LOC117564461|XP_034099137.1|DALB	LOC119654797|XP_037916274.1|HILL
OG0000450	LOC117578232|XP_034119507.1|DALB	LOC119657601|XP_037920517.1|HILL
OG0000450	LOC117566468|XP_034101893.1|DALB	LOC119656646|XP_037919031.1|HILL
OG0000451	LOC117577647|XP_034118420.1|DALB	LOC119656757|XP_037919252.1|HILL
OG0000451	LOC117577648|XP_034118423.1|DALB	LOC119657306|XP_037920093.1|HILL
OG0000454	LOC117563716|XP_034098064.1|DALB, LOC117565191|XP_034100086.1|DALB	LOC119646996|XP_037903646.1|HILL
OG0000455	LOC117568561|XP_034105180.1|DALB	LOC119661272|XP_037926468.1|HILL
OG0000456	LOC117573143|XP_034111972.1|DALB	LOC119660708|XP_037925268.1|HILL
OG0000456	LOC117563277|XP_034097400.1|DALB	LOC119650840|XP_037909908.1|HILL
OG0000457	LOC117565212|XP_034100110.1|DALB	LOC119650711|XP_037909644.1|HILL
OG0000457	LOC117564515|XP_034099226.1|DALB	LOC119651240|XP_037910647.1|HILL
OG0000458	LOC117563861|XP_034098286.1|DALB	LOC119658491|XP_037921882.1|HILL
OG0000460	LOC117565458|XP_034100451.1|DALB	LOC119661481|XP_037926774.1|HILL
OG0000462	LOC117575942|XP_034116293.1|DALB, LOC117575940|XP_034116292.1|DALB	LOC119660442|XP_037924924.1|HILL
OG0000465	LOC117576223|XP_034116725.1|DALB	LOC119651652|XP_037911262.1|HILL
OG0000465	LOC117576222|XP_034116722.1|DALB	LOC119651651|XP_037911257.1|HILL
OG0000466	LOC117570655|XP_034108330.1|DALB	LOC119652476|XP_037912578.1|HILL
OG0000466	LOC117564787|XP_034099588.1|DALB	LOC119661330|XP_037926559.1|HILL
OG0000467	LOC117571055|XP_034108913.1|DALB, LOC117568018|XP_034104237.1|DALB	LOC119661560|XP_037926879.1|HILL
OG0000468	LOC117571922|XP_034110294.1|DALB	LOC119661743|XP_037927136.1|HILL
OG0000469	LOC117565858|XP_034101077.1|DALB	LOC119647237|XP_037904027.1|HILL
OG0000469	LOC117565982|XP_034101278.1|DALB	LOC119656080|XP_037918298.1|HILL
OG0000470	LOC117567360|XP_034103189.1|DALB	LOC119650356|XP_037908966.1|HILL
OG0000470	LOC117570696|XP_034108390.1|DALB	LOC119649541|XP_037907656.1|HILL
OG0000471	LOC117571140|XP_034109033.1|DALB, LOC117564774|XP_034099564.1|DALB	LOC119646402|XP_037902775.1|HILL, LOC119647055|XP_037903740.1|HILL
OG0000473	LOC117573572|XP_034112789.1|DALB	LOC119657995|XP_037921141.1|HILL
OG0000474	LOC117567868|XP_034104029.1|DALB, LOC117568378|XP_034104876.1|DALB	LOC119657943|XP_037921063.1|HILL
OG0000475	LOC117575976|XP_034116347.1|DALB, LOC117568537|XP_034105146.1|DALB, LOC117575974|XP_034116343.1|DALB	LOC119650677|XP_037909555.1|HILL
OG0000476	LOC117574092|XP_034113618.1|DALB	LOC119652617|XP_037912785.1|HILL
OG0000476	LOC117574302|XP_034113999.1|DALB	LOC119650856|XP_037909934.1|HILL
OG0000477	LOC117576734|XP_034117651.1|DALB, LOC117576735|XP_034117653.1|DALB	LOC119650705|XP_037909632.1|HILL, LOC119651325|XP_037910788.1|HILL
OG0000478	LOC117577931|XP_034118825.1|DALB, LOC117574156|XP_034113728.1|DALB	LOC119661441|XP_037926715.1|HILL
OG0000479	LOC117576315|XP_034116861.1|DALB	LOC119649774|XP_037908003.1|HILL, LOC119648325|XP_037905946.1|HILL
OG0000480	LOC117564375|XP_034098985.1|DALB, LOC117564374|XP_034098982.1|DALB	LOC119656137|XP_037918398.1|HILL
OG0000482	LOC117576192|XP_034116676.1|DALB	LOC119659577|XP_037923662.1|HILL
OG0000483	LOC117574894|XP_034114822.1|DALB, LOC117573301|XP_034112297.1|DALB	LOC119659859|XP_037924096.1|HILL
OG0000484	LOC117575936|XP_034116287.1|DALB, LOC117576719|XP_034117630.1|DALB	LOC119658954|XP_037922754.1|HILL, LOC119658953|XP_037922753.1|HILL
OG0000485	LOC117568025|XP_034104248.1|DALB, LOC117570784|XP_034108516.1|DALB, LOC117570783|XP_034108515.1|DALB, LOC117570785|XP_034108517.1|DALB	LOC119648226|XP_037905772.1|HILL
OG0000486	LOC117568199|XP_034104555.1|DALB, LOC117568193|XP_034104542.1|DALB, LOC117568197|XP_034104553.1|DALB	LOC119653660|XP_037914412.1|HILL
OG0000489	LOC117576379|XP_034116968.1|DALB, LOC117567573|XP_034103540.1|DALB	LOC119658089|XP_037921281.1|HILL
OG0000490	LOC117578022|XP_034119012.1|DALB	LOC119657695|XP_037920656.1|HILL
OG0000490	LOC117574832|XP_034114709.1|DALB	LOC119658436|XP_037921765.1|HILL
OG0000491	LOC117567551|XP_034103500.1|DALB	LOC119648261|XP_037905837.1|HILL
OG0000492	LOC117569977|XP_034107244.1|DALB	LOC119659843|XP_037924069.1|HILL
OG0000492	LOC117564509|XP_034099216.1|DALB	LOC119659794|XP_037923991.1|HILL
OG0000493	LOC117577907|XP_034118795.1|DALB, LOC117574440|XP_034114172.1|DALB, LOC117577876|XP_034118725.1|DALB, LOC117574451|XP_034114183.1|DALB	LOC119654907|XP_037916463.1|HILL, LOC119651623|XP_037911213.1|HILL, LOC119654945|XP_037916531.1|HILL, LOC119649021|XP_037906904.1|HILL, LOC119649081|XP_037907006.1|HILL, LOC119657347|XP_037920148.1|HILL, LOC119655031|XP_037916636.1|HILL
OG0000494	LOC117563507|XP_034097772.1|DALB	LOC119660730|XP_037925321.1|HILL
OG0000495	LOC117570390|XP_034107900.1|DALB, LOC117570750|XP_034108463.1|DALB	LOC119647993|XP_037905310.1|HILL
OG0000496	LOC117566054|XP_034101400.1|DALB	LOC119650970|XP_037910158.1|HILL
OG0000496	LOC117565995|XP_034101305.1|DALB	LOC119651936|XP_037911713.1|HILL
OG0000497	LOC117565266|XP_034100182.1|DALB	LOC119661602|XP_037926930.1|HILL
OG0000497	LOC117564629|XP_034099376.1|DALB	LOC119661786|XP_037927197.1|HILL
OG0000498	LOC117573306|XP_034112302.1|DALB, LOC117575291|XP_034115329.1|DALB	LOC119656972|XP_037919630.1|HILL, LOC119648555|XP_037906280.1|HILL, LOC119646198|XP_037902509.1|HILL, LOC119647192|XP_037903932.1|HILL
OG0000499	LOC117566916|XP_034102428.1|DALB	LOC119655299|XP_037917052.1|HILL
OG0000499	LOC117578361|XP_034119695.1|DALB	LOC119659001|XP_037922814.1|HILL
OG0000500	LOC117568873|XP_034105654.1|DALB, LOC117568872|XP_034105653.1|DALB	LOC119649406|XP_037907469.1|HILL
OG0000504	LOC117570036|XP_034107352.1|DALB	LOC119649782|XP_037908015.1|HILL
OG0000505	LOC117573327|XP_034112331.1|DALB, LOC117571310|XP_034109279.1|DALB	LOC119657570|XP_037920458.1|HILL
OG0000506	LOC117573661|XP_034112880.1|DALB, LOC117573805|XP_034113108.1|DALB	LOC119651603|XP_037911184.1|HILL
OG0000507	LOC117576971|XP_034118043.1|DALB	LOC119648339|XP_037905962.1|HILL
OG0000507	LOC117568198|XP_034104558.1|DALB	LOC119652182|XP_037912056.1|HILL
OG0000508	LOC117571360|XP_034109359.1|DALB, LOC117571471|XP_034109516.1|DALB	LOC119648498|XP_037906193.1|HILL
OG0000509	LOC117567337|XP_034103147.1|DALB	LOC119658193|XP_037921390.1|HILL
OG0000509	LOC117567334|XP_034103144.1|DALB	LOC119646503|XP_037902887.1|HILL
OG0000510	LOC117572436|XP_034111155.1|DALB	LOC119660366|XP_037924803.1|HILL, LOC119660008|XP_037924313.1|HILL
OG0000511	LOC117564449|XP_034099117.1|DALB, LOC117564447|XP_034099116.1|DALB	LOC119652776|XP_037913012.1|HILL, LOC119652931|XP_037913249.1|HILL, LOC119652289|XP_037912214.1|HILL
OG0000512	LOC117566003|XP_034101311.1|DALB	LOC119653845|XP_037914818.1|HILL, LOC119655068|XP_037916690.1|HILL
OG0000513	LOC117566895|XP_034102401.1|DALB	LOC119652870|XP_037913157.1|HILL, LOC119651212|XP_037910591.1|HILL, LOC119651501|XP_037911047.1|HILL
OG0000513	LOC117565466|XP_034100463.1|DALB	LOC119651635|XP_037911227.1|HILL
OG0000514	LOC117565332|XP_034100270.1|DALB	LOC119646131|XP_037902408.1|HILL
OG0000514	LOC117564904|XP_034099748.1|DALB	LOC119661601|XP_037926929.1|HILL
OG0000515	LOC117573227|XP_034112167.1|DALB	LOC119660807|XP_037925575.1|HILL
OG0000515	LOC117570797|XP_034108543.1|DALB	LOC119648428|XP_037906110.1|HILL
OG0000516	LOC117578001|XP_034118993.1|DALB, LOC117564564|XP_034099291.1|DALB	LOC119655902|XP_037917986.1|HILL, LOC119655903|XP_037917987.1|HILL
OG0000517	LOC117571811|XP_034110073.1|DALB, LOC117571114|XP_034109000.1|DALB, LOC117571814|XP_034110075.1|DALB	LOC119647446|XP_037904299.1|HILL
OG0000521	LOC117577891|XP_034118760.1|DALB, LOC117567494|XP_034103418.1|DALB	LOC119658404|XP_037921721.1|HILL
OG0000522	LOC117577337|XP_034118181.1|DALB	LOC119656723|XP_037919178.1|HILL
OG0000523	LOC117574359|XP_034114084.1|DALB	LOC119650710|XP_037909643.1|HILL
OG0000523	LOC117569690|XP_034106838.1|DALB	LOC119656872|XP_037919458.1|HILL
OG0000524	LOC117573923|XP_034113327.1|DALB	LOC119651168|XP_037910515.1|HILL
OG0000525	LOC117567161|XP_034102865.1|DALB	LOC119659179|XP_037923064.1|HILL, LOC119659178|XP_037923063.1|HILL, LOC119659013|XP_037922825.1|HILL
OG0000526	LOC117564252|XP_034098847.1|DALB, LOC117572745|XP_034111713.1|DALB	LOC119651156|XP_037910492.1|HILL
OG0000527	LOC117565756|XP_034100898.1|DALB, LOC117566242|XP_034101679.1|DALB	LOC119649636|XP_037907814.1|HILL
OG0000528	LOC117578385|XP_034119712.1|DALB	LOC119656123|XP_037918378.1|HILL, LOC119655675|XP_037917593.1|HILL, LOC119654042|XP_037915133.1|HILL, LOC119654043|XP_037915134.1|HILL
OG0000529	LOC117564363|XP_034098968.1|DALB, LOC117565740|XP_034100876.1|DALB, LOC117564963|XP_034099809.1|DALB, LOC117565757|XP_034100901.1|DALB, LOC117564582|XP_034099314.1|DALB	LOC119661253|XP_037926429.1|HILL
OG0000530	LOC117571193|XP_034109126.1|DALB, LOC117571163|XP_034109065.1|DALB, LOC117571162|XP_034109063.1|DALB	LOC119649071|XP_037906991.1|HILL, LOC119648770|XP_037906525.1|HILL
OG0000531	LOC117565336|XP_034100276.1|DALB, LOC117565556|XP_034100615.1|DALB	LOC119651247|XP_037910655.1|HILL
OG0000532	LOC117576083|XP_034116522.1|DALB, LOC117575284|XP_034115318.1|DALB	LOC119659773|XP_037923962.1|HILL, LOC119659624|XP_037923752.1|HILL, LOC119658879|XP_037922578.1|HILL, LOC119658880|XP_037922579.1|HILL, LOC119660520|XP_037925069.1|HILL
OG0000533	LOC117569997|XP_034107280.1|DALB	LOC119657802|XP_037920826.1|HILL
OG0000533	LOC117573993|XP_034113432.1|DALB	LOC119659208|XP_037923104.1|HILL
OG0000535	LOC117567969|XP_034104168.1|DALB, LOC117570234|XP_034107629.1|DALB	LOC119654975|XP_037916563.1|HILL
OG0000537	LOC117570048|XP_034107366.1|DALB	LOC119656131|XP_037918391.1|HILL
OG0000538	LOC117568064|XP_034104311.1|DALB, LOC117568809|XP_034105561.1|DALB	LOC119653804|XP_037914750.1|HILL
OG0000539	LOC117574978|XP_034114935.1|DALB	LOC119659391|XP_037923380.1|HILL
OG0000539	LOC117576115|XP_034116563.1|DALB	LOC119660385|XP_037924838.1|HILL, LOC119659605|XP_037923704.1|HILL, LOC119660298|XP_037924699.1|HILL
OG0000540	LOC117565088|XP_034099930.1|DALB, LOC117565172|XP_034100054.1|DALB, LOC117565085|XP_034099926.1|DALB, LOC117564982|XP_034099819.1|DALB, LOC117565086|XP_034099928.1|DALB, LOC117565442|XP_034100424.1|DALB	LOC119655990|XP_037918159.1|HILL
OG0000542	LOC117574053|XP_034113556.1|DALB	LOC119658932|XP_037922694.1|HILL
OG0000542	LOC117573207|XP_034112097.1|DALB	LOC119659583|XP_037923667.1|HILL
OG0000543	LOC117573902|XP_034113301.1|DALB, LOC117572386|XP_034111050.1|DALB	LOC119650586|XP_037909350.1|HILL
OG0000544	LOC117568673|XP_034105370.1|DALB, LOC117575460|XP_034115560.1|DALB	LOC119656656|XP_037919055.1|HILL
OG0000545	LOC117575100|XP_034115092.1|DALB, LOC117575101|XP_034115093.1|DALB	LOC119651800|XP_037911512.1|HILL, LOC119658244|XP_037921449.1|HILL
OG0000546	LOC117573648|XP_034112859.1|DALB, LOC117565303|XP_034100231.1|DALB, LOC117577896|XP_034118770.1|DALB	LOC119657382|XP_037920195.1|HILL
OG0000547	LOC117575130|XP_034115127.1|DALB, LOC117563554|XP_034097825.1|DALB	LOC119647208|XP_037903959.1|HILL
OG0000548	LOC117571556|XP_034109651.1|DALB, LOC117571554|XP_034109648.1|DALB, LOC117570985|XP_034108822.1|DALB	LOC119648167|XP_037905674.1|HILL
OG0000549	LOC117569957|XP_034107218.1|DALB	LOC119660128|XP_037924458.1|HILL
OG0000550	LOC117570320|XP_034107753.1|DALB, LOC117569649|XP_034106785.1|DALB	LOC119650203|XP_037908697.1|HILL
OG0000551	LOC117570425|XP_034107964.1|DALB	LOC119661503|XP_037926798.1|HILL
OG0000552	LOC117576695|XP_034117582.1|DALB, LOC117576694|XP_034117581.1|DALB	LOC119657020|XP_037919696.1|HILL, LOC119657023|XP_037919700.1|HILL, LOC119657073|XP_037919758.1|HILL, LOC119656915|XP_037919535.1|HILL
OG0000553	LOC117563714|XP_034098061.1|DALB, LOC117565414|XP_034100389.1|DALB, LOC117565415|XP_034100390.1|DALB, LOC117565417|XP_034100393.1|DALB	LOC119652353|XP_037912361.1|HILL, LOC119651107|XP_037910399.1|HILL, LOC119652197|XP_037912068.1|HILL, LOC119652782|XP_037913025.1|HILL, LOC119652904|XP_037913208.1|HILL, LOC119652988|XP_037913340.1|HILL, LOC119653119|XP_037913572.1|HILL, LOC119652708|XP_037912917.1|HILL, LOC119652693|XP_037912898.1|HILL, LOC119651106|XP_037910398.1|HILL
OG0000554	LOC117576527|XP_034117241.1|DALB, LOC117574065|XP_034113579.1|DALB	LOC119651856|XP_037911586.1|HILL, LOC119652805|XP_037913057.1|HILL
OG0000555	LOC117570039|XP_034107354.1|DALB, LOC117569697|XP_034106847.1|DALB	LOC119648055|XP_037905444.1|HILL
OG0000556	LOC117569341|XP_034106365.1|DALB, LOC117575005|XP_034114973.1|DALB	LOC119659049|XP_037922885.1|HILL
OG0000557	LOC117575409|XP_034115480.1|DALB, LOC117576870|XP_034117862.1|DALB	LOC119659626|XP_037923754.1|HILL
OG0000558	LOC117576425|XP_034117059.1|DALB, LOC117565670|XP_034100797.1|DALB	LOC119659239|XP_037923147.1|HILL
OG0000559	LOC117575571|XP_034115725.1|DALB	LOC119647433|XP_037904272.1|HILL
OG0000560	LOC117567917|XP_034104087.1|DALB, LOC117567916|XP_034104086.1|DALB, LOC117567915|XP_034104085.1|DALB	LOC119654637|XP_037916040.1|HILL
OG0000561	LOC117570739|XP_034108452.1|DALB, LOC117570772|XP_034108498.1|DALB	LOC119650153|XP_037908622.1|HILL
OG0000562	LOC117568411|XP_034104943.1|DALB, LOC117567105|XP_034102777.1|DALB	LOC119649585|XP_037907718.1|HILL
OG0000564	LOC117569885|XP_034107115.1|DALB, LOC117569684|XP_034106823.1|DALB	LOC119649867|XP_037908166.1|HILL, LOC119648690|XP_037906417.1|HILL, LOC119650426|XP_037909168.1|HILL, LOC119648337|XP_037905960.1|HILL, LOC119648889|XP_037906714.1|HILL, LOC119649866|XP_037908165.1|HILL
OG0000566	LOC117575463|XP_034115566.1|DALB, LOC117572277|XP_034110872.1|DALB	LOC119660791|XP_037925522.1|HILL
OG0000567	LOC117577760|XP_034118562.1|DALB	LOC119657916|XP_037921030.1|HILL
OG0000567	LOC117577978|XP_034118955.1|DALB	LOC119658459|XP_037921792.1|HILL
OG0000568	LOC117567383|XP_034103226.1|DALB, LOC117573488|XP_034112606.1|DALB	LOC119651423|XP_037910946.1|HILL
OG0000569	LOC117573194|XP_034112079.1|DALB	LOC119652715|XP_037912930.1|HILL
OG0000570	LOC117576577|XP_034117342.1|DALB, LOC117576578|XP_034117343.1|DALB	LOC119651757|XP_037911423.1|HILL, LOC119651789|XP_037911477.1|HILL
OG0000571	LOC117574018|XP_034113497.1|DALB, LOC117576764|XP_034117702.1|DALB	LOC119650737|XP_037909726.1|HILL
OG0000572	LOC117574189|XP_034113773.1|DALB, LOC117575540|XP_034115685.1|DALB	LOC119656874|XP_037919466.1|HILL
OG0000573	LOC117568114|XP_034104406.1|DALB, LOC117566653|XP_034102087.1|DALB	LOC119647662|XP_037904661.1|HILL
OG0000574	LOC117567035|XP_034102632.1|DALB, LOC117575445|XP_034115546.1|DALB	LOC119648800|XP_037906577.1|HILL
OG0000575	LOC117570493|XP_034108078.1|DALB, LOC117570894|XP_034108687.1|DALB	LOC119649338|XP_037907372.1|HILL
OG0000576	LOC117576193|XP_034116677.1|DALB	LOC119654044|XP_037915135.1|HILL, LOC119656149|XP_037918413.1|HILL
OG0000577	LOC117563369|XP_034097560.1|DALB	LOC119647125|XP_037903840.1|HILL
OG0000578	LOC117563541|XP_034097811.1|DALB, LOC117566833|XP_034102300.1|DALB	LOC119653922|XP_037915010.1|HILL
OG0000579	LOC117574311|XP_034114011.1|DALB, LOC117568033|XP_034104264.1|DALB	LOC119649997|XP_037908386.1|HILL
OG0000580	LOC117573545|XP_034112716.1|DALB, LOC117573543|XP_034112713.1|DALB	LOC119659551|XP_037923629.1|HILL
OG0000581	LOC117574002|XP_034113459.1|DALB	LOC119660219|XP_037924581.1|HILL
OG0000581	LOC117572373|XP_034111034.1|DALB	LOC119656791|XP_037919319.1|HILL
OG0000582	LOC117572467|XP_034111205.1|DALB	LOC119654484|XP_037915832.1|HILL
OG0000582	LOC117572271|XP_034110865.1|DALB	LOC119655822|XP_037917856.1|HILL
OG0000583	LOC117569459|XP_034106516.1|DALB, LOC117569458|XP_034106515.1|DALB	LOC119652023|XP_037911888.1|HILL
OG0000590	LOC117574333|XP_034114042.1|DALB	LOC119657678|XP_037920635.1|HILL
OG0000592	LOC117572376|XP_034111035.1|DALB, LOC117571583|XP_034109690.1|DALB	LOC119659301|XP_037923242.1|HILL
OG0000593	LOC117563424|XP_034097650.1|DALB, LOC117566355|XP_034101733.1|DALB	LOC119657963|XP_037921095.1|HILL
OG0000594	LOC117574067|XP_034113581.1|DALB, LOC117576155|XP_034116619.1|DALB	LOC119650603|XP_037909390.1|HILL
OG0000595	LOC117573641|XP_034112843.1|DALB	LOC119656301|XP_037918671.1|HILL
OG0000596	LOC117577918|XP_034118806.1|DALB, LOC117573268|XP_034112239.1|DALB, LOC117573267|XP_034112238.1|DALB, LOC117563806|XP_034098230.1|DALB	LOC119660452|XP_037924939.1|HILL
OG0000597	LOC117574430|XP_034114158.1|DALB, LOC117573713|XP_034112974.1|DALB, LOC117574431|XP_034114159.1|DALB	LOC119649414|XP_037907516.1|HILL
OG0000598	LOC117574273|XP_034113913.1|DALB	LOC119658412|XP_037921737.1|HILL, LOC119658411|XP_037921736.1|HILL
OG0000599	LOC117566392|XP_034101791.1|DALB	LOC119649853|XP_037908137.1|HILL
OG0000600	LOC117570761|XP_034108482.1|DALB	LOC119649439|XP_037907520.1|HILL
OG0000601	LOC117565708|XP_034100844.1|DALB, LOC117565706|XP_034100839.1|DALB	LOC119651174|XP_037910521.1|HILL
OG0000603	LOC117566116|XP_034101478.1|DALB	LOC119648835|XP_037906632.1|HILL
OG0000604	LOC117564075|XP_034098592.1|DALB, LOC117564382|XP_034098992.1|DALB	LOC119646162|XP_037902463.1|HILL
OG0000605	LOC117563778|XP_034098176.1|DALB, LOC117563777|XP_034098175.1|DALB	LOC119648165|XP_037905672.1|HILL, LOC119648166|XP_037905673.1|HILL, LOC119646796|XP_037903313.1|HILL, LOC119646425|XP_037902800.1|HILL
OG0000606	LOC117574263|XP_034113889.1|DALB	LOC119654719|XP_037916167.1|HILL
OG0000607	LOC117573731|XP_034112993.1|DALB, LOC117573336|XP_034112336.1|DALB	LOC119658756|XP_037922377.1|HILL
OG0000608	LOC117575661|XP_034115840.1|DALB	LOC119660519|XP_037925068.1|HILL
OG0000609	LOC117564110|XP_034098658.1|DALB, LOC117564820|XP_034099634.1|DALB, LOC117564819|XP_034099631.1|DALB, LOC117564818|XP_034099630.1|DALB	LOC119656119|XP_037918372.1|HILL
OG0000610	LOC117567740|XP_034103816.1|DALB, LOC117568908|XP_034105704.1|DALB	LOC119649121|XP_037907051.1|HILL, LOC119649122|XP_037907055.1|HILL
OG0000611	LOC117572225|XP_034110794.1|DALB, LOC117569955|XP_034107216.1|DALB	LOC119653447|XP_037913970.1|HILL
OG0000614	LOC117573517|XP_034112645.1|DALB	LOC119656554|XP_037918852.1|HILL
OG0000615	LOC117569740|XP_034106917.1|DALB, LOC117574393|XP_034114122.1|DALB	LOC119660425|XP_037924901.1|HILL
OG0000616	LOC117575413|XP_034115488.1|DALB	LOC119658084|XP_037921275.1|HILL
OG0000617	LOC117575989|XP_034116376.1|DALB, LOC117575506|XP_034115640.1|DALB	LOC119657838|XP_037920889.1|HILL
OG0000618	LOC117572345|XP_034110993.1|DALB	LOC119661044|XP_037926164.1|HILL
OG0000619	LOC117572298|XP_034110901.1|DALB	LOC119651694|XP_037911332.1|HILL, LOC119651645|XP_037911248.1|HILL, LOC119651681|XP_037911308.1|HILL, LOC119661509|XP_037926807.1|HILL, LOC119660050|XP_037924358.1|HILL, LOC119651560|XP_037911121.1|HILL, LOC119652374|XP_037912399.1|HILL, LOC119651320|XP_037910781.1|HILL, LOC119652003|XP_037911861.1|HILL
OG0000620	LOC117567579|XP_034103547.1|DALB	LOC119648679|XP_037906400.1|HILL
OG0000621	LOC117576522|XP_034117232.1|DALB, LOC117570374|XP_034107863.1|DALB	LOC119657646|XP_037920585.1|HILL
OG0000622	LOC117570206|XP_034107585.1|DALB, LOC117569833|XP_034107049.1|DALB	LOC119648724|XP_037906463.1|HILL
OG0000623	LOC117569825|XP_034107040.1|DALB	LOC119660837|XP_037925637.1|HILL
OG0000624	LOC117569975|XP_034107242.1|DALB, LOC117570531|XP_034108127.1|DALB	LOC119661506|XP_037926802.1|HILL
OG0000625	LOC117572722|XP_034111677.1|DALB, LOC117572724|XP_034111680.1|DALB	LOC119647703|XP_037904716.1|HILL
OG0000626	LOC117566761|XP_034102195.1|DALB, LOC117569433|XP_034106484.1|DALB	LOC119659286|XP_037923227.1|HILL
OG0000627	LOC117572507|XP_034111252.1|DALB, LOC117574429|XP_034114161.1|DALB	LOC119659638|XP_037923770.1|HILL
OG0000628	LOC117565246|XP_034100148.1|DALB	LOC119651049|XP_037910302.1|HILL
OG0000629	LOC117574207|XP_034113802.1|DALB, LOC117574206|XP_034113801.1|DALB, LOC117565174|XP_034100057.1|DALB, LOC117564067|XP_034098584.1|DALB	LOC119648529|XP_037906227.1|HILL
OG0000630	LOC117564045|XP_034098545.1|DALB, LOC117565056|XP_034099894.1|DALB	LOC119651180|XP_037910537.1|HILL
OG0000631	LOC117564713|XP_034099485.1|DALB, LOC117565173|XP_034100055.1|DALB	LOC119652812|XP_037913063.1|HILL
OG0000632	LOC117565524|XP_034100553.1|DALB, LOC117565870|XP_034101098.1|DALB	LOC119646777|XP_037903288.1|HILL
OG0000634	LOC117568717|XP_034105424.1|DALB	LOC119654420|XP_037915738.1|HILL
OG0000635	LOC117567613|XP_034103593.1|DALB, LOC117577669|XP_034118448.1|DALB	LOC119654737|XP_037916196.1|HILL
OG0000636	LOC117564269|XP_034098862.1|DALB, LOC117564177|XP_034098736.1|DALB	LOC119655022|XP_037916625.1|HILL
OG0000637	LOC117567319|XP_034103113.1|DALB, LOC117576420|XP_034117048.1|DALB	LOC119654896|XP_037916444.1|HILL
OG0000638	LOC117569856|XP_034107080.1|DALB, LOC117565791|XP_034100967.1|DALB	LOC119655413|XP_037917226.1|HILL
OG0000639	LOC117572595|XP_034111394.1|DALB	LOC119650418|XP_037909141.1|HILL
OG0000642	LOC117563538|XP_034097808.1|DALB	LOC119660062|XP_037924369.1|HILL
OG0000644	LOC117567265|XP_034103015.1|DALB	LOC119661516|XP_037926820.1|HILL
OG0000645	LOC117564942|XP_034099787.1|DALB, LOC117563298|XP_034097433.1|DALB, LOC117563299|XP_034097434.1|DALB, LOC117563297|XP_034097432.1|DALB	LOC119655188|XP_037916881.1|HILL, LOC119654809|XP_037916292.1|HILL, LOC119653941|XP_037915029.1|HILL, LOC119656165|XP_037918438.1|HILL, LOC119656265|XP_037918614.1|HILL
OG0000646	LOC117576972|XP_034118040.1|DALB, LOC117573382|XP_034112460.1|DALB	LOC119652293|XP_037912218.1|HILL
OG0000647	LOC117575946|XP_034116298.1|DALB, LOC117569887|XP_034107121.1|DALB	LOC119657425|XP_037920255.1|HILL
OG0000648	LOC117577986|XP_034118972.1|DALB	LOC119657729|XP_037920700.1|HILL
OG0000649	LOC117577572|XP_034118299.1|DALB, LOC117577482|XP_034118253.1|DALB	LOC119656729|XP_037919190.1|HILL
OG0000650	LOC117576519|XP_034117219.1|DALB	LOC119656608|XP_037918973.1|HILL
OG0000650	LOC117573113|XP_034111930.1|DALB	LOC119660809|XP_037925577.1|HILL
OG0000651	LOC117567804|XP_034103930.1|DALB, LOC117568586|XP_034105209.1|DALB	LOC119651087|XP_037910365.1|HILL
