Orthogroup	DALB.longest_only	CCAP.longest_only
OG0002045	LOC117575040|XP_034115012.1|DALB	CCAP1982_LOCUS278|CAD6991349.1|CCAP
OG0002048	LOC117574161|XP_034113739.1|DALB	CCAP1982_LOCUS826|CAD6991936.1|CCAP
OG0002049	LOC117576956|XP_034118010.1|DALB	CCAP1982_LOCUS4976|CAD6996293.1|CCAP
OG0002050	LOC117576341|XP_034116907.1|DALB, LOC117576970|XP_034118039.1|DALB	CCAP1982_LOCUS5116|CAD6996444.1|CCAP
OG0002051	LOC117572783|XP_034111771.1|DALB	CCAP1982_LOCUS22484|CAD7014482.1|CCAP
OG0002052	LOC117572039|XP_034110493.1|DALB	CCAP1982_LOCUS14831|CAD7006517.1|CCAP
OG0002053	LOC117573278|XP_034112256.1|DALB	CCAP1982_LOCUS268|CAD6991339.1|CCAP
OG0002054	LOC117576542|XP_034117271.1|DALB	CCAP1982_LOCUS2427|CAD6993617.1|CCAP
OG0002055	LOC117574285|XP_034113927.1|DALB	CCAP1982_LOCUS382|CAD6991457.1|CCAP
OG0002056	LOC117567396|XP_034103243.1|DALB	CCAP1982_LOCUS10781|CAD7002289.1|CCAP
OG0002057	LOC117564875|XP_034099715.1|DALB	CCAP1982_LOCUS7071|CAD6998476.1|CCAP
OG0002058	LOC117569759|XP_034106943.1|DALB	CCAP1982_LOCUS2599|CAD6993803.1|CCAP, CCAP1982_LOCUS12120|CAD7003683.1|CCAP
OG0002059	LOC117576797|XP_034117748.1|DALB	CCAP1982_LOCUS862|CAD6991975.1|CCAP
OG0002060	LOC117566432|XP_034101853.1|DALB	CCAP1982_LOCUS20652|CAD7012567.1|CCAP
OG0002061	LOC117572045|XP_034110508.1|DALB	CCAP1982_LOCUS21100|CAD7013011.1|CCAP
OG0002065	LOC117572355|XP_034111009.1|DALB	CCAP1982_LOCUS10902|CAD7002410.1|CCAP, CCAP1982_LOCUS10901|CAD7002409.1|CCAP
OG0002066	LOC117576032|XP_034116433.1|DALB	CCAP1982_LOCUS4585|CAD6995884.1|CCAP, CCAP1982_LOCUS4583|CAD6995882.1|CCAP
OG0002067	LOC117567923|XP_034104098.1|DALB	CCAP1982_LOCUS20152|CAD7012050.1|CCAP
OG0002068	LOC117570527|XP_034108121.1|DALB	CCAP1982_LOCUS21706|CAD7013663.1|CCAP
OG0002070	LOC117573548|XP_034112718.1|DALB	CCAP1982_LOCUS603|CAD6991690.1|CCAP
OG0002071	LOC117576524|XP_034117237.1|DALB, LOC117576547|XP_034117275.1|DALB	CCAP1982_LOCUS2429|CAD6993619.1|CCAP
OG0002072	LOC117571985|XP_034110383.1|DALB	CCAP1982_LOCUS22664|CAD7014680.1|CCAP
OG0002073	LOC117570467|XP_034108020.1|DALB	CCAP1982_LOCUS12294|CAD7003864.1|CCAP
OG0002074	LOC117567099|XP_034102769.1|DALB	CCAP1982_LOCUS19998|CAD7011886.1|CCAP
OG0002076	LOC117566774|XP_034102208.1|DALB	CCAP1982_LOCUS20494|CAD7012407.1|CCAP
OG0002076	LOC117572640|XP_034111502.1|DALB	CCAP1982_LOCUS20493|CAD7012405.1|CCAP
OG0002077	LOC117567511|XP_034103443.1|DALB	CCAP1982_LOCUS20706|CAD7012622.1|CCAP, CCAP1982_LOCUS20719|CAD7012632.1|CCAP
OG0002078	LOC117568965|XP_034105814.1|DALB	CCAP1982_LOCUS11090|CAD7002606.1|CCAP, CCAP1982_LOCUS19774|CAD7011690.1|CCAP
OG0002079	LOC117568582|XP_034105206.1|DALB	CCAP1982_LOCUS13468|CAD7005106.1|CCAP, CCAP1982_LOCUS13467|CAD7005105.1|CCAP, CCAP1982_LOCUS13469|CAD7005107.1|CCAP
OG0002081	LOC117572064|XP_034110534.1|DALB	CCAP1982_LOCUS19470|CAD7011368.1|CCAP
OG0002082	LOC117572725|XP_034111681.1|DALB	CCAP1982_LOCUS20250|CAD7012153.1|CCAP
OG0002084	LOC117568546|XP_034105155.1|DALB	CCAP1982_LOCUS20885|CAD7012782.1|CCAP
OG0002085	LOC117569081|XP_034105988.1|DALB	CCAP1982_LOCUS20467|CAD7012373.1|CCAP
OG0002086	LOC117570289|XP_034107701.1|DALB	CCAP1982_LOCUS20236|CAD7012138.1|CCAP
OG0002087	LOC117571793|XP_034110045.1|DALB	CCAP1982_LOCUS318|CAD6991391.1|CCAP, CCAP1982_LOCUS324|CAD6991397.1|CCAP, CCAP1982_LOCUS14474|CAD7006146.1|CCAP, CCAP1982_LOCUS14470|CAD7006142.1|CCAP
OG0002088	LOC117571146|XP_034109039.1|DALB	CCAP1982_LOCUS13994|CAD7005636.1|CCAP, CCAP1982_LOCUS13982|CAD7005624.1|CCAP, CCAP1982_LOCUS13981|CAD7005623.1|CCAP, CCAP1982_LOCUS13995|CAD7005637.1|CCAP
OG0002089	LOC117567435|XP_034103333.1|DALB	CCAP1982_LOCUS19383|CAD7011275.1|CCAP
OG0002090	LOC117567440|XP_034103339.1|DALB, LOC117566532|XP_034101963.1|DALB, LOC117570033|XP_034107347.1|DALB	CCAP1982_LOCUS14391|CAD7006056.1|CCAP
OG0002091	LOC117566708|XP_034102144.1|DALB	CCAP1982_LOCUS19481|CAD7011380.1|CCAP
OG0002092	LOC117572319|XP_034110942.1|DALB	CCAP1982_LOCUS14442|CAD7006110.1|CCAP
OG0002093	LOC117571533|XP_034109614.1|DALB	CCAP1982_LOCUS19982|CAD7011870.1|CCAP, CCAP1982_LOCUS19983|CAD7011871.1|CCAP, CCAP1982_LOCUS19984|CAD7011872.1|CCAP
OG0002094	LOC117569587|XP_034106708.1|DALB	CCAP1982_LOCUS20508|CAD7012424.1|CCAP
OG0002096	LOC117570725|XP_034108430.1|DALB	CCAP1982_LOCUS20399|CAD7012303.1|CCAP
OG0002097	LOC117566759|XP_034102193.1|DALB, LOC117566758|XP_034102192.1|DALB	CCAP1982_LOCUS20691|CAD7012607.1|CCAP
OG0002098	LOC117571606|XP_034109714.1|DALB	CCAP1982_LOCUS11791|CAD7003331.1|CCAP
OG0002099	LOC117574988|XP_034114949.1|DALB	CCAP1982_LOCUS1590|CAD6992745.1|CCAP
OG0002100	LOC117572806|XP_034111798.1|DALB	CCAP1982_LOCUS13404|CAD7005032.1|CCAP
OG0002101	LOC117567076|XP_034102713.1|DALB	CCAP1982_LOCUS20972|CAD7012873.1|CCAP
OG0002102	LOC117566809|XP_034102248.1|DALB	CCAP1982_LOCUS20632|CAD7012547.1|CCAP
OG0002103	LOC117574900|XP_034114829.1|DALB	CCAP1982_LOCUS1632|CAD6992793.1|CCAP, CCAP1982_LOCUS1642|CAD6992803.1|CCAP
OG0002104	LOC117573172|XP_034112036.1|DALB	CCAP1982_LOCUS1056|CAD6992183.1|CCAP
OG0002106	LOC117575973|XP_034116342.1|DALB	CCAP1982_LOCUS11799|CAD7003340.1|CCAP, CCAP1982_LOCUS1564|CAD6992719.1|CCAP, CCAP1982_LOCUS1559|CAD6992714.1|CCAP
OG0002109	LOC117574723|XP_034114542.1|DALB, LOC117575278|XP_034115310.1|DALB	CCAP1982_LOCUS1350|CAD6992499.1|CCAP
OG0002110	LOC117563700|XP_034098035.1|DALB	CCAP1982_LOCUS14266|CAD7005928.1|CCAP, CCAP1982_LOCUS11344|CAD7002875.1|CCAP, CCAP1982_LOCUS2317|CAD6993504.1|CCAP
OG0002117	LOC117578098|XP_034119164.1|DALB	CCAP1982_LOCUS9994|CAD7001497.1|CCAP, CCAP1982_LOCUS9998|CAD7001501.1|CCAP
OG0002118	LOC117573149|XP_034111989.1|DALB	CCAP1982_LOCUS4162|CAD6995445.1|CCAP, CCAP1982_LOCUS4161|CAD6995444.1|CCAP
OG0002119	LOC117576428|XP_034117065.1|DALB	CCAP1982_LOCUS1582|CAD6992737.1|CCAP
OG0002120	LOC117573221|XP_034112140.1|DALB	CCAP1982_LOCUS9323|CAD7000849.1|CCAP, CCAP1982_LOCUS9817|CAD7001320.1|CCAP
OG0002121	LOC117576121|XP_034116570.1|DALB	CCAP1982_LOCUS38|CAD6991090.1|CCAP, CCAP1982_LOCUS37|CAD6991089.1|CCAP
OG0002123	LOC117564608|XP_034099354.1|DALB	CCAP1982_LOCUS8567|CAD7000064.1|CCAP, CCAP1982_LOCUS8568|CAD7000065.1|CCAP
OG0002125	LOC117571548|XP_034109641.1|DALB	CCAP1982_LOCUS19878|CAD7011766.1|CCAP, CCAP1982_LOCUS19879|CAD7011767.1|CCAP
OG0002126	LOC117571805|XP_034110062.1|DALB	CCAP1982_LOCUS14264|CAD7005926.1|CCAP
OG0002129	LOC117573358|XP_034112376.1|DALB	CCAP1982_LOCUS1207|CAD6992343.1|CCAP
OG0002131	LOC117575274|XP_034115304.1|DALB	CCAP1982_LOCUS1884|CAD6993052.1|CCAP
OG0002136	LOC117574812|XP_034114670.1|DALB	CCAP1982_LOCUS2138|CAD6993322.1|CCAP
OG0002142	LOC117575223|XP_034115241.1|DALB	CCAP1982_LOCUS1997|CAD6993175.1|CCAP
OG0002143	LOC117564347|XP_034098953.1|DALB	CCAP1982_LOCUS9161|CAD7000687.1|CCAP
OG0002144	LOC117573240|XP_034112180.1|DALB	CCAP1982_LOCUS13418|CAD7005047.1|CCAP
OG0002145	LOC117575449|XP_034115552.1|DALB	CCAP1982_LOCUS622|CAD6991709.1|CCAP
OG0002146	LOC117575237|XP_034115259.1|DALB	CCAP1982_LOCUS1665|CAD6992828.1|CCAP
OG0002148	LOC117568116|XP_034104411.1|DALB	CCAP1982_LOCUS13092|CAD7004699.1|CCAP
OG0002149	LOC117573116|XP_034111932.1|DALB	CCAP1982_LOCUS10222|CAD7001732.1|CCAP, CCAP1982_LOCUS10223|CAD7001733.1|CCAP, CCAP1982_LOCUS10221|CAD7001731.1|CCAP
OG0002152	LOC117576273|XP_034116810.1|DALB	CCAP1982_LOCUS2091|CAD6993275.1|CCAP
OG0002153	LOC117574006|XP_034113472.1|DALB	CCAP1982_LOCUS1613|CAD6992772.1|CCAP
OG0002154	LOC117566000|XP_034101316.1|DALB	CCAP1982_LOCUS6308|CAD6997677.1|CCAP
OG0002155	LOC117574886|XP_034114809.1|DALB	CCAP1982_LOCUS1752|CAD6992919.1|CCAP, CCAP1982_LOCUS1751|CAD6992918.1|CCAP, CCAP1982_LOCUS1753|CAD6992920.1|CCAP
OG0002156	LOC117568890|XP_034105681.1|DALB	CCAP1982_LOCUS13759|CAD7005399.1|CCAP
OG0002157	LOC117573681|XP_034112917.1|DALB	CCAP1982_LOCUS4056|CAD6995338.1|CCAP
OG0002159	LOC117570298|XP_034107713.1|DALB	CCAP1982_LOCUS2713|CAD6993925.1|CCAP
OG0002160	LOC117576324|XP_034116883.1|DALB	CCAP1982_LOCUS3058|CAD6994297.1|CCAP
OG0002161	LOC117576624|XP_034117435.1|DALB	CCAP1982_LOCUS1659|CAD6992820.1|CCAP
OG0002162	LOC117575167|XP_034115161.1|DALB	CCAP1982_LOCUS2186|CAD6993368.1|CCAP, CCAP1982_LOCUS2185|CAD6993367.1|CCAP
OG0002164	LOC117574074|XP_034113598.1|DALB	CCAP1982_LOCUS11815|CAD7003356.1|CCAP
OG0002165	LOC117574558|XP_034114321.1|DALB	CCAP1982_LOCUS3691|CAD6994959.1|CCAP
OG0002166	LOC117565083|XP_034099924.1|DALB	CCAP1982_LOCUS6734|CAD6998123.1|CCAP
OG0002167	LOC117571036|XP_034108889.1|DALB	CCAP1982_LOCUS19368|CAD7011260.1|CCAP
OG0002169	LOC117567283|XP_034103040.1|DALB	CCAP1982_LOCUS12749|CAD7004330.1|CCAP
OG0002170	LOC117573167|XP_034112027.1|DALB	CCAP1982_LOCUS10174|CAD7001683.1|CCAP, CCAP1982_LOCUS10177|CAD7001687.1|CCAP
OG0002171	LOC117575340|XP_034115389.1|DALB	CCAP1982_LOCUS3355|CAD6994620.1|CCAP
OG0002172	LOC117576146|XP_034116604.1|DALB	CCAP1982_LOCUS2672|CAD6993878.1|CCAP, CCAP1982_LOCUS2670|CAD6993876.1|CCAP
OG0002173	LOC117565449|XP_034100436.1|DALB	CCAP1982_LOCUS7908|CAD6999382.1|CCAP
OG0002174	LOC117575154|XP_034115149.1|DALB	CCAP1982_LOCUS2681|CAD6993887.1|CCAP
OG0002175	LOC117575155|XP_034115150.1|DALB	CCAP1982_LOCUS2682|CAD6993889.1|CCAP
OG0002176	LOC117575821|XP_034116115.1|DALB	CCAP1982_LOCUS1364|CAD6992515.1|CCAP
OG0002177	LOC117575313|XP_034115358.1|DALB	CCAP1982_LOCUS3852|CAD6995130.1|CCAP
OG0002179	LOC117575056|XP_034115028.1|DALB	CCAP1982_LOCUS3487|CAD6994754.1|CCAP
OG0002180	LOC117576832|XP_034117797.1|DALB	CCAP1982_LOCUS1104|CAD6992234.1|CCAP, CCAP1982_LOCUS1116|CAD6992246.1|CCAP
OG0002182	LOC117574131|XP_034113680.1|DALB	CCAP1982_LOCUS1440|CAD6992591.1|CCAP
OG0002184	LOC117576672|XP_034117554.1|DALB	CCAP1982_LOCUS9213|CAD7000740.1|CCAP, CCAP1982_LOCUS2019|CAD6993197.1|CCAP
OG0002185	LOC117576268|XP_034116802.1|DALB	CCAP1982_LOCUS3699|CAD6994967.1|CCAP
OG0002186	LOC117565307|XP_034100236.1|DALB	CCAP1982_LOCUS2857|CAD6994088.1|CCAP
OG0002187	LOC117573772|XP_034113062.1|DALB	CCAP1982_LOCUS3865|CAD6995142.1|CCAP
OG0002188	LOC117571450|XP_034109488.1|DALB	CCAP1982_LOCUS19577|CAD7011477.1|CCAP
OG0002189	LOC117573162|XP_034112015.1|DALB	CCAP1982_LOCUS4100|CAD6995382.1|CCAP
OG0002191	LOC117571808|XP_034110070.1|DALB	CCAP1982_LOCUS13802|CAD7005442.1|CCAP
OG0002192	LOC117572541|XP_034111301.1|DALB	CCAP1982_LOCUS14127|CAD7005778.1|CCAP
OG0002193	LOC117574971|XP_034114927.1|DALB	CCAP1982_LOCUS3660|CAD6994927.1|CCAP
OG0002194	LOC117576038|XP_034116451.1|DALB	CCAP1982_LOCUS2698|CAD6993906.1|CCAP
OG0002195	LOC117576512|XP_034117212.1|DALB	CCAP1982_LOCUS2686|CAD6993893.1|CCAP, CCAP1982_LOCUS2687|CAD6993894.1|CCAP
OG0002197	LOC117569515|XP_034106597.1|DALB	CCAP1982_LOCUS3658|CAD6994925.1|CCAP
OG0002198	LOC117573997|XP_034113437.1|DALB	CCAP1982_LOCUS4689|CAD6995982.1|CCAP
OG0002199	LOC117575253|XP_034115278.1|DALB	CCAP1982_LOCUS2211|CAD6993395.1|CCAP
OG0002200	LOC117574361|XP_034114085.1|DALB	CCAP1982_LOCUS3278|CAD6994535.1|CCAP, CCAP1982_LOCUS3279|CAD6994536.1|CCAP, CCAP1982_LOCUS3251|CAD6994507.1|CCAP
OG0002202	LOC117574693|XP_034114492.1|DALB	CCAP1982_LOCUS1281|CAD6992417.1|CCAP
OG0002203	LOC117574012|XP_034113487.1|DALB	CCAP1982_LOCUS2054|CAD6993237.1|CCAP
OG0002204	LOC117574509|XP_034114259.1|DALB	CCAP1982_LOCUS1580|CAD6992735.1|CCAP
OG0002205	LOC117575610|XP_034115773.1|DALB	CCAP1982_LOCUS2381|CAD6993569.1|CCAP
OG0002206	LOC117574996|XP_034114960.1|DALB	CCAP1982_LOCUS1459|CAD6992610.1|CCAP
OG0002207	LOC117575300|XP_034115341.1|DALB	CCAP1982_LOCUS2900|CAD6994134.1|CCAP
OG0002208	LOC117575631|XP_034115800.1|DALB	CCAP1982_LOCUS2891|CAD6994125.1|CCAP
OG0002209	LOC117568859|XP_034105641.1|DALB	CCAP1982_LOCUS21453|CAD7013388.1|CCAP
OG0002211	LOC117574193|XP_034113782.1|DALB, LOC117574194|XP_034113784.1|DALB	CCAP1982_LOCUS2365|CAD6993553.1|CCAP
OG0002212	LOC117576354|XP_034116933.1|DALB	CCAP1982_LOCUS3299|CAD6994559.1|CCAP
OG0002213	LOC117575644|XP_034115815.1|DALB	CCAP1982_LOCUS4071|CAD6995352.1|CCAP
OG0002214	LOC117576737|XP_034117659.1|DALB	CCAP1982_LOCUS3903|CAD6995182.1|CCAP
OG0002215	LOC117575628|XP_034115796.1|DALB	CCAP1982_LOCUS1788|CAD6992956.1|CCAP, CCAP1982_LOCUS1791|CAD6992959.1|CCAP, CCAP1982_LOCUS1790|CAD6992958.1|CCAP
OG0002216	LOC117569369|XP_034106391.1|DALB	CCAP1982_LOCUS20225|CAD7012126.1|CCAP
OG0002219	LOC117575470|XP_034115578.1|DALB	CCAP1982_LOCUS3325|CAD6994586.1|CCAP, CCAP1982_LOCUS2338|CAD6993526.1|CCAP
OG0002220	LOC117574468|XP_034114196.1|DALB	CCAP1982_LOCUS14529|CAD7006201.1|CCAP
OG0002221	LOC117571758|XP_034110001.1|DALB	CCAP1982_LOCUS11417|CAD7002953.1|CCAP, CCAP1982_LOCUS11418|CAD7002954.1|CCAP
OG0002222	LOC117567742|XP_034103818.1|DALB	CCAP1982_LOCUS22828|CAD7014862.1|CCAP, CCAP1982_LOCUS22827|CAD7014861.1|CCAP
OG0002223	LOC117572210|XP_034110774.1|DALB	CCAP1982_LOCUS23412|CAD7015472.1|CCAP, CCAP1982_LOCUS23413|CAD7015473.1|CCAP
OG0002224	LOC117570364|XP_034107823.1|DALB	CCAP1982_LOCUS22630|CAD7014640.1|CCAP, CCAP1982_LOCUS22629|CAD7014639.1|CCAP, CCAP1982_LOCUS22633|CAD7014643.1|CCAP
OG0002225	LOC117570861|XP_034108632.1|DALB	CCAP1982_LOCUS10934|CAD7002445.1|CCAP, CCAP1982_LOCUS10935|CAD7002446.1|CCAP
OG0002226	LOC117566905|XP_034102414.1|DALB	CCAP1982_LOCUS21808|CAD7013787.1|CCAP
OG0002227	LOC117568731|XP_034105440.1|DALB	CCAP1982_LOCUS21604|CAD7013545.1|CCAP
OG0002228	LOC117568725|XP_034105434.1|DALB	CCAP1982_LOCUS21006|CAD7012907.1|CCAP
OG0002229	LOC117567463|XP_034103368.1|DALB	CCAP1982_LOCUS21232|CAD7013161.1|CCAP
OG0002230	LOC117571078|XP_034108944.1|DALB	CCAP1982_LOCUS21573|CAD7013513.1|CCAP
OG0002231	LOC117568454|XP_034105021.1|DALB	CCAP1982_LOCUS21526|CAD7013461.1|CCAP
OG0002232	LOC117572516|XP_034111262.1|DALB	CCAP1982_LOCUS21781|CAD7013750.1|CCAP, CCAP1982_LOCUS21783|CAD7013752.1|CCAP
OG0002233	LOC117569420|XP_034106465.1|DALB	CCAP1982_LOCUS11802|CAD7003343.1|CCAP
OG0002235	LOC117568616|XP_034105277.1|DALB	CCAP1982_LOCUS22957|CAD7015000.1|CCAP
OG0002236	LOC117571403|XP_034109428.1|DALB	CCAP1982_LOCUS19571|CAD7011471.1|CCAP
OG0002237	LOC117571445|XP_034109480.1|DALB	CCAP1982_LOCUS19587|CAD7011488.1|CCAP
OG0002238	LOC117568311|XP_034104752.1|DALB	CCAP1982_LOCUS21182|CAD7013109.1|CCAP, CCAP1982_LOCUS21181|CAD7013108.1|CCAP, CCAP1982_LOCUS21185|CAD7013112.1|CCAP
OG0002240	LOC117566964|XP_034102508.1|DALB	CCAP1982_LOCUS22572|CAD7014573.1|CCAP
OG0002242	LOC117568463|XP_034105031.1|DALB	CCAP1982_LOCUS11880|CAD7003424.1|CCAP
OG0002243	LOC117576521|XP_034117230.1|DALB	CCAP1982_LOCUS8857|CAD7000381.1|CCAP
OG0002244	LOC117572699|XP_034111644.1|DALB	CCAP1982_LOCUS14732|CAD7006412.1|CCAP
OG0002245	LOC117566958|XP_034102495.1|DALB	CCAP1982_LOCUS10938|CAD7002449.1|CCAP, CCAP1982_LOCUS10942|CAD7002453.1|CCAP
OG0002246	LOC117569569|XP_034106682.1|DALB	CCAP1982_LOCUS21176|CAD7013102.1|CCAP, CCAP1982_LOCUS21175|CAD7013101.1|CCAP, CCAP1982_LOCUS21174|CAD7013100.1|CCAP
OG0002247	LOC117569114|XP_034106025.1|DALB	CCAP1982_LOCUS11613|CAD7003152.1|CCAP
OG0002248	LOC117571910|XP_034110279.1|DALB	CCAP1982_LOCUS11531|CAD7003068.1|CCAP, CCAP1982_LOCUS11168|CAD7002690.1|CCAP
OG0002250	LOC117571676|XP_034109808.1|DALB	CCAP1982_LOCUS22096|CAD7014090.1|CCAP, CCAP1982_LOCUS22103|CAD7014097.1|CCAP
OG0002251	LOC117571366|XP_034109368.1|DALB	CCAP1982_LOCUS22090|CAD7014083.1|CCAP, CCAP1982_LOCUS22091|CAD7014085.1|CCAP
OG0002252	LOC117571245|XP_034109190.1|DALB	CCAP1982_LOCUS22059|CAD7014051.1|CCAP
OG0002253	LOC117567632|XP_034103622.1|DALB	CCAP1982_LOCUS23400|CAD7015460.1|CCAP
OG0002254	LOC117573898|XP_034113297.1|DALB	CCAP1982_LOCUS858|CAD6991971.1|CCAP
OG0002256	LOC117572229|XP_034110798.1|DALB	CCAP1982_LOCUS23303|CAD7015358.1|CCAP
OG0002257	LOC117566926|XP_034102437.1|DALB	CCAP1982_LOCUS21457|CAD7013392.1|CCAP
OG0002258	LOC117571384|XP_034109393.1|DALB, LOC117571385|XP_034109394.1|DALB	CCAP1982_LOCUS10808|CAD7002318.1|CCAP, CCAP1982_LOCUS10810|CAD7002320.1|CCAP
OG0002260	LOC117569472|XP_034106531.1|DALB	CCAP1982_LOCUS14451|CAD7006119.1|CCAP
OG0002261	LOC117572053|XP_034110520.1|DALB	CCAP1982_LOCUS14525|CAD7006197.1|CCAP
OG0002262	LOC117569196|XP_034106155.1|DALB	CCAP1982_LOCUS20358|CAD7012262.1|CCAP
OG0002263	LOC117567500|XP_034103422.1|DALB	CCAP1982_LOCUS10964|CAD7002475.1|CCAP
OG0002264	LOC117567741|XP_034103817.1|DALB	CCAP1982_LOCUS22829|CAD7014863.1|CCAP
OG0002265	LOC117570064|XP_034107389.1|DALB	CCAP1982_LOCUS11793|CAD7003333.1|CCAP
OG0002266	LOC117567385|XP_034103225.1|DALB	CCAP1982_LOCUS14431|CAD7006099.1|CCAP
OG0002267	LOC117572625|XP_034111472.1|DALB	CCAP1982_LOCUS12835|CAD7004426.1|CCAP
OG0002268	LOC117569164|XP_034106118.1|DALB	CCAP1982_LOCUS13024|CAD7004629.1|CCAP, CCAP1982_LOCUS13025|CAD7004630.1|CCAP
OG0002269	LOC117568191|XP_034104540.1|DALB	CCAP1982_LOCUS7223|CAD6998657.1|CCAP, CCAP1982_LOCUS7222|CAD6998656.1|CCAP
OG0002270	LOC117568779|XP_034105508.1|DALB	CCAP1982_LOCUS22654|CAD7014666.1|CCAP
OG0002271	LOC117571935|XP_034110317.1|DALB	CCAP1982_LOCUS13262|CAD7004877.1|CCAP, CCAP1982_LOCUS13264|CAD7004879.1|CCAP, CCAP1982_LOCUS13263|CAD7004878.1|CCAP, CCAP1982_LOCUS13256|CAD7004871.1|CCAP
OG0002272	LOC117570673|XP_034108361.1|DALB	CCAP1982_LOCUS12832|CAD7004423.1|CCAP
OG0002273	LOC117567734|XP_034103792.1|DALB	CCAP1982_LOCUS14315|CAD7005978.1|CCAP, CCAP1982_LOCUS14316|CAD7005979.1|CCAP
OG0002274	LOC117572344|XP_034110984.1|DALB	CCAP1982_LOCUS14297|CAD7005959.1|CCAP
OG0002275	LOC117568671|XP_034105366.1|DALB	CCAP1982_LOCUS11882|CAD7003426.1|CCAP
OG0002276	LOC117568102|XP_034104376.1|DALB	CCAP1982_LOCUS12220|CAD7003784.1|CCAP
OG0002277	LOC117569903|XP_034107135.1|DALB	CCAP1982_LOCUS12211|CAD7003775.1|CCAP
OG0002278	LOC117571012|XP_034108861.1|DALB	CCAP1982_LOCUS12310|CAD7003880.1|CCAP, CCAP1982_LOCUS12309|CAD7003879.1|CCAP
OG0002279	LOC117568215|XP_034104580.1|DALB	CCAP1982_LOCUS13194|CAD7004805.1|CCAP, CCAP1982_LOCUS13209|CAD7004820.1|CCAP
OG0002280	LOC117569559|XP_034106669.1|DALB	CCAP1982_LOCUS11938|CAD7003487.1|CCAP, CCAP1982_LOCUS11939|CAD7003488.1|CCAP
OG0002281	LOC117571132|XP_034109025.1|DALB	CCAP1982_LOCUS11749|CAD7003287.1|CCAP
OG0002282	LOC117570053|XP_034107372.1|DALB	CCAP1982_LOCUS14975|CAD7006673.1|CCAP
OG0002283	LOC117566623|XP_034102055.1|DALB	CCAP1982_LOCUS22246|CAD7014243.1|CCAP, CCAP1982_LOCUS22247|CAD7014244.1|CCAP
OG0002284	LOC117572663|XP_034111551.1|DALB	CCAP1982_LOCUS21874|CAD7013855.1|CCAP
OG0002285	LOC117565602|XP_034100698.1|DALB	CCAP1982_LOCUS14043|CAD7005691.1|CCAP
OG0002286	LOC117569292|XP_034106290.1|DALB	CCAP1982_LOCUS11952|CAD7003502.1|CCAP, CCAP1982_LOCUS11953|CAD7003503.1|CCAP
OG0002287	LOC117568370|XP_034104861.1|DALB	CCAP1982_LOCUS22653|CAD7014665.1|CCAP, CCAP1982_LOCUS22652|CAD7014664.1|CCAP
OG0002288	LOC117571934|XP_034110314.1|DALB	CCAP1982_LOCUS13266|CAD7004882.1|CCAP, CCAP1982_LOCUS13265|CAD7004880.1|CCAP, CCAP1982_LOCUS13257|CAD7004872.1|CCAP, CCAP1982_LOCUS13267|CAD7004883.1|CCAP
OG0002289	LOC117572018|XP_034110455.1|DALB	CCAP1982_LOCUS11194|CAD7002719.1|CCAP
OG0002290	LOC117563899|XP_034098351.1|DALB	CCAP1982_LOCUS9006|CAD7000528.1|CCAP
OG0002291	LOC117568034|XP_034104266.1|DALB	CCAP1982_LOCUS21679|CAD7013631.1|CCAP
OG0002292	LOC117568426|XP_034104973.1|DALB	CCAP1982_LOCUS22752|CAD7014781.1|CCAP
OG0002293	LOC117567365|XP_034103199.1|DALB	CCAP1982_LOCUS23020|CAD7015064.1|CCAP
OG0002294	LOC117576826|XP_034117791.1|DALB	CCAP1982_LOCUS22296|CAD7014294.1|CCAP
OG0002295	LOC117564065|XP_034098580.1|DALB	CCAP1982_LOCUS5586|CAD6996915.1|CCAP
OG0002296	LOC117564436|XP_034099063.1|DALB	CCAP1982_LOCUS5628|CAD6996961.1|CCAP, CCAP1982_LOCUS5627|CAD6996960.1|CCAP
OG0002297	LOC117576140|XP_034116596.1|DALB	CCAP1982_LOCUS4903|CAD6996215.1|CCAP, CCAP1982_LOCUS4901|CAD6996213.1|CCAP
OG0002298	LOC117572736|XP_034111703.1|DALB	CCAP1982_LOCUS21102|CAD7013013.1|CCAP
OG0002300	LOC117565370|XP_034100325.1|DALB	CCAP1982_LOCUS7777|CAD6999246.1|CCAP
OG0002301	LOC117577409|XP_034118210.1|DALB, LOC117577404|XP_034118209.1|DALB	CCAP1982_LOCUS5582|CAD6996910.1|CCAP
OG0002302	LOC117565913|XP_034101171.1|DALB	CCAP1982_LOCUS9095|CAD7000621.1|CCAP
OG0002304	LOC117564835|XP_034099650.1|DALB	CCAP1982_LOCUS5687|CAD6997028.1|CCAP
OG0002305	LOC117568901|XP_034105695.1|DALB	CCAP1982_LOCUS13684|CAD7005324.1|CCAP, CCAP1982_LOCUS13683|CAD7005323.1|CCAP
OG0002306	LOC117563439|XP_034097666.1|DALB	CCAP1982_LOCUS7849|CAD6999322.1|CCAP
OG0002307	LOC117563312|XP_034097458.1|DALB	CCAP1982_LOCUS8359|CAD6999847.1|CCAP, CCAP1982_LOCUS8360|CAD6999848.1|CCAP
OG0002308	LOC117563953|XP_034098417.1|DALB	CCAP1982_LOCUS5615|CAD6996947.1|CCAP
OG0002309	LOC117564367|XP_034098975.1|DALB	CCAP1982_LOCUS7873|CAD6999346.1|CCAP
