Orthogroup	DSAN.longest_only	AALB.longest_only
OG0000671	LOC120451856|XP_039491783.1|DSAN, LOC120453960|XP_039494843.1|DSAN	LOC118466952|XP_035792744.1|AALB
OG0000672	LOC120456969|XP_039500049.1|DSAN, LOC120455084|XP_039496883.1|DSAN	LOC118463337|XP_035785745.1|AALB
OG0000673	LOC120457291|XP_039500680.1|DSAN, LOC120448420|XP_039486353.1|DSAN	LOC118466980|XP_035792788.1|AALB
OG0000677	LOC120450477|XP_039489455.1|DSAN, LOC120456261|XP_039498918.1|DSAN	LOC118465970|XP_035790618.1|AALB, LOC118464463|XP_035787758.1|AALB
OG0000678	LOC120451872|XP_039491813.1|DSAN, LOC120458138|XP_039501616.1|DSAN	LOC118463047|XP_035785190.1|AALB
OG0000679	LOC120456931|XP_039500003.1|DSAN	LOC118462636|XP_035784377.1|AALB, LOC118466988|XP_035792798.1|AALB, LOC118464971|XP_035788695.1|AALB
OG0000680	LOC120455793|XP_039498184.1|DSAN, LOC120456865|XP_039499889.1|DSAN	LOC118457713|XP_035775395.1|AALB
OG0000681	LOC120452262|XP_039492326.1|DSAN, LOC120456003|XP_039498495.1|DSAN	LOC118465454|XP_035789625.1|AALB
OG0000683	LOC120454361|XP_039495520.1|DSAN	LOC118457329|XP_035774716.1|AALB, LOC118457327|XP_035774713.1|AALB, LOC118457331|XP_035774718.1|AALB, LOC118460755|XP_035781245.1|AALB, LOC118461198|XP_035782136.1|AALB
OG0000684	LOC120453683|XP_039494434.1|DSAN, LOC120451566|XP_039491310.1|DSAN	LOC118468548|XP_035795336.1|AALB
OG0000685	LOC120455779|XP_039498170.1|DSAN, LOC120450973|XP_039490198.1|DSAN	LOC118460918|XP_035781564.1|AALB
OG0000686	LOC120458110|XP_039501574.1|DSAN, LOC120456828|XP_039499810.1|DSAN	LOC118466111|XP_035790938.1|AALB
OG0000687	LOC120446241|XP_039483046.1|DSAN, LOC120447842|XP_039485382.1|DSAN	LOC118467740|XP_035794439.1|AALB
OG0000688	LOC120445255|XP_039481476.1|DSAN	LOC118467394|XP_035793749.1|AALB
OG0000689	LOC120458555|XP_039502171.1|DSAN, LOC120458554|XP_039502170.1|DSAN	LOC118465952|XP_035790573.1|AALB
OG0000690	LOC120456693|XP_039499593.1|DSAN	LOC118459366|XP_035778558.1|AALB, LOC118462504|XP_035784121.1|AALB, LOC118459367|XP_035778559.1|AALB, LOC118460492|XP_035780738.1|AALB
OG0000691	LOC120458570|XP_039502202.1|DSAN, LOC120448619|XP_039486665.1|DSAN	LOC118463499|XP_035785991.1|AALB
OG0000692	LOC120449016|XP_039487227.1|DSAN, LOC120447815|XP_039485324.1|DSAN	LOC118464218|XP_035787283.1|AALB
OG0000693	LOC120456351|XP_039499071.1|DSAN, LOC120451508|XP_039491198.1|DSAN	LOC118468443|XP_035795104.1|AALB
OG0000694	LOC120456327|XP_039499027.1|DSAN, LOC120449661|XP_039488192.1|DSAN	LOC118458931|XP_035777794.1|AALB
OG0000695	LOC120457964|XP_039501403.1|DSAN, LOC120456656|XP_039499524.1|DSAN	LOC118460282|XP_035780358.1|AALB
OG0000696	LOC120449745|XP_039488314.1|DSAN	LOC118468894|XP_035796080.1|AALB
OG0000697	LOC120457330|XP_039500772.1|DSAN, LOC120458583|XP_039502216.1|DSAN	LOC118457744|XP_035775449.1|AALB
OG0000698	LOC120458870|XP_039502636.1|DSAN, LOC120458807|XP_039502537.1|DSAN	LOC118459033|XP_035777943.1|AALB
OG0000699	LOC120454037|XP_039494967.1|DSAN, LOC120454023|XP_039494946.1|DSAN	LOC118459522|XP_035778866.1|AALB
OG0000700	LOC120457293|XP_039500688.1|DSAN, LOC120458189|XP_039501691.1|DSAN	LOC118461571|XP_035782952.1|AALB
OG0000701	LOC120445978|XP_039482644.1|DSAN, LOC120456994|XP_039500080.1|DSAN	LOC118458667|XP_035777265.1|AALB
OG0000702	LOC120452386|XP_039492535.1|DSAN, LOC120452384|XP_039492511.1|DSAN	LOC118458785|XP_035777520.1|AALB
OG0000703	LOC120446160|XP_039482929.1|DSAN, LOC120447202|XP_039484628.1|DSAN	LOC118459354|XP_035778531.1|AALB
OG0000704	LOC120456663|XP_039499530.1|DSAN, LOC120453638|XP_039494365.1|DSAN	LOC118456706|XP_035773616.1|AALB
OG0000705	LOC120447910|XP_039485494.1|DSAN, LOC120447907|XP_039485490.1|DSAN	LOC118457192|XP_035774434.1|AALB
OG0000706	LOC120446469|XP_039483406.1|DSAN, LOC120457407|XP_039500938.1|DSAN	LOC118459712|XP_035779266.1|AALB
OG0000707	LOC120446827|XP_039483942.1|DSAN, LOC120455251|XP_039497182.1|DSAN	LOC118461133|XP_035781987.1|AALB
OG0000708	LOC120455177|XP_039497042.1|DSAN, LOC120457366|XP_039500830.1|DSAN	LOC118459946|XP_035779717.1|AALB
OG0000709	LOC120452929|XP_039493332.1|DSAN, LOC120457187|XP_039500464.1|DSAN	LOC118459873|XP_035779553.1|AALB
OG0000710	LOC120451962|XP_039491920.1|DSAN, LOC120444757|XP_039480619.1|DSAN	LOC118465879|XP_035790409.1|AALB
OG0000711	LOC120449857|XP_039488450.1|DSAN, LOC120455765|XP_039498152.1|DSAN	LOC118462952|XP_035784988.1|AALB
OG0000713	LOC120451767|XP_039491631.1|DSAN, LOC120446250|XP_039483055.1|DSAN	LOC118461387|XP_035782541.1|AALB
OG0000714	LOC120457381|XP_039500858.1|DSAN, LOC120450128|XP_039488887.1|DSAN	LOC118466714|XP_035792269.1|AALB
OG0000716	LOC120456891|XP_039499923.1|DSAN, LOC120448924|XP_039487089.1|DSAN	LOC118464220|XP_035787285.1|AALB
OG0000717	LOC120450008|XP_039488659.1|DSAN	LOC118466327|XP_035791336.1|AALB, LOC118467557|XP_035794080.1|AALB, LOC118464093|XP_035787051.1|AALB, LOC118467556|XP_035794078.1|AALB, LOC118465643|XP_035789945.1|AALB
OG0000724	LOC120455183|XP_039497052.1|DSAN, LOC120452933|XP_039493348.1|DSAN	LOC118464210|XP_035787273.1|AALB
OG0000726	LOC120452320|XP_039492408.1|DSAN, LOC120452321|XP_039492409.1|DSAN	LOC118458096|XP_035776151.1|AALB
OG0000727	LOC120452856|XP_039493231.1|DSAN, LOC120453659|XP_039494386.1|DSAN	LOC118461070|XP_035781855.1|AALB, LOC118460163|XP_035780158.1|AALB
OG0000728	LOC120456309|XP_039498996.1|DSAN	LOC118458251|XP_035776425.1|AALB
OG0000729	LOC120451289|XP_039490774.1|DSAN, LOC120453437|XP_039494079.1|DSAN	LOC118457526|XP_035775064.1|AALB
OG0000730	LOC120457188|XP_039500467.1|DSAN, LOC120446969|XP_039484176.1|DSAN	LOC118463159|XP_035785437.1|AALB
OG0000731	LOC120449379|XP_039487747.1|DSAN, LOC120446487|XP_039483426.1|DSAN	LOC118464461|XP_035787755.1|AALB
OG0000732	LOC120448613|XP_039486658.1|DSAN, LOC120448612|XP_039486657.1|DSAN	LOC118466282|XP_035791255.1|AALB
OG0000733	LOC120452722|XP_039493020.1|DSAN, LOC120448293|XP_039486165.1|DSAN	LOC118466217|XP_035791133.1|AALB
OG0000734	LOC120456995|XP_039500081.1|DSAN, LOC120450499|XP_039489480.1|DSAN	LOC118463976|XP_035786870.1|AALB
OG0000735	LOC120456631|XP_039499488.1|DSAN, LOC120447158|XP_039484547.1|DSAN	LOC118457158|XP_035774377.1|AALB
OG0000736	LOC120444109|XP_039479571.1|DSAN, LOC120444110|XP_039479573.1|DSAN	LOC118460963|XP_035781632.1|AALB
OG0000738	LOC120446122|XP_039482884.1|DSAN, LOC120453163|XP_039493660.1|DSAN	LOC118458725|XP_035777386.1|AALB
OG0000739	LOC120451554|XP_039491288.1|DSAN, LOC120451553|XP_039491287.1|DSAN	LOC118467299|XP_035793513.1|AALB
OG0000740	LOC120451164|XP_039490534.1|DSAN	LOC118456537|XP_035773278.1|AALB
OG0000741	LOC120455249|XP_039497179.1|DSAN, LOC120452622|XP_039492862.1|DSAN	LOC118459732|XP_035779299.1|AALB
OG0000742	LOC120456342|XP_039499055.1|DSAN, LOC120456343|XP_039499059.1|DSAN	LOC118457488|XP_035775012.1|AALB
OG0000743	LOC120450399|XP_039489328.1|DSAN, LOC120446654|XP_039483659.1|DSAN	LOC118461608|XP_035783027.1|AALB
OG0000744	LOC120445341|XP_039481611.1|DSAN	LOC118464721|XP_035788186.1|AALB
OG0000745	LOC120445279|XP_039481513.1|DSAN, LOC120445394|XP_039481739.1|DSAN	LOC118463435|XP_035785897.1|AALB
OG0000746	LOC120450433|XP_039489380.1|DSAN, LOC120458786|XP_039502501.1|DSAN	LOC118463465|XP_035785948.1|AALB
OG0000753	LOC120451405|XP_039491007.1|DSAN, LOC120448620|XP_039486666.1|DSAN	LOC118463405|XP_035785850.1|AALB
OG0000754	LOC120455549|XP_039497823.1|DSAN, LOC120456428|XP_039499194.1|DSAN	LOC118459560|XP_035778956.1|AALB
OG0000755	LOC120451610|XP_039491377.1|DSAN, LOC120451629|XP_039491420.1|DSAN	LOC118456484|XP_035773202.1|AALB
OG0000756	LOC120452282|XP_039492347.1|DSAN	LOC118459267|XP_035778383.1|AALB
OG0000756	LOC120452261|XP_039492325.1|DSAN	LOC118459021|XP_035777918.1|AALB
OG0000757	LOC120449687|XP_039488237.1|DSAN	LOC118466731|XP_035792307.1|AALB
OG0000758	LOC120448310|XP_039486189.1|DSAN, LOC120448308|XP_039486186.1|DSAN	LOC118464489|XP_035787809.1|AALB
OG0000759	LOC120449421|XP_039487813.1|DSAN, LOC120449390|XP_039487765.1|DSAN	LOC118464958|XP_035788642.1|AALB
OG0000761	LOC120458100|XP_039501561.1|DSAN, LOC120447786|XP_039485279.1|DSAN	LOC118459145|XP_035778122.1|AALB
OG0000762	LOC120443783|XP_039479046.1|DSAN, LOC120452096|XP_039492108.1|DSAN	LOC118468393|XP_035795050.1|AALB
OG0000763	LOC120457814|XP_039501245.1|DSAN, LOC120457815|XP_039501246.1|DSAN	LOC118461552|XP_035782895.1|AALB
OG0000764	LOC120454708|XP_039496187.1|DSAN, LOC120455673|XP_039498009.1|DSAN	LOC118458907|XP_035777759.1|AALB
OG0000765	LOC120448567|XP_039486557.1|DSAN, LOC120455465|XP_039497620.1|DSAN	LOC118461038|XP_035781818.1|AALB
OG0000766	LOC120451292|XP_039490783.1|DSAN, LOC120456772|XP_039499703.1|DSAN	LOC118459074|XP_035778009.1|AALB
OG0000767	LOC120454112|XP_039495075.1|DSAN, LOC120449383|XP_039487752.1|DSAN	LOC118460152|XP_035780143.1|AALB
OG0000768	LOC120449035|XP_039487252.1|DSAN	LOC118461516|XP_035782839.1|AALB
OG0000769	LOC120453946|XP_039494825.1|DSAN, LOC120456317|XP_039499005.1|DSAN	LOC118466179|XP_035791062.1|AALB
OG0000770	LOC120443993|XP_039479405.1|DSAN	LOC118465276|XP_035789210.1|AALB
OG0000771	LOC120450627|XP_039489709.1|DSAN, LOC120450626|XP_039489708.1|DSAN	LOC118465832|XP_035790318.1|AALB
OG0000778	LOC120450456|XP_039489410.1|DSAN	LOC118467710|XP_035794817.1|AALB
OG0000779	LOC120455935|XP_039498398.1|DSAN	LOC118464822|XP_035788386.1|AALB, LOC118464827|XP_035788399.1|AALB, LOC118461976|XP_035783792.1|AALB, LOC118468874|XP_035796053.1|AALB
OG0000780	LOC120447226|XP_039484684.1|DSAN	LOC118461097|XP_035781946.1|AALB, LOC118460885|XP_035781560.1|AALB
OG0000781	LOC120455404|XP_039497475.1|DSAN, LOC120449594|XP_039488093.1|DSAN	LOC118466381|XP_035791507.1|AALB, LOC118459642|XP_035779115.1|AALB
OG0000782	LOC120447554|XP_039484940.1|DSAN, LOC120456517|XP_039499319.1|DSAN	LOC118462004|XP_035783833.1|AALB
OG0000783	LOC120457419|XP_039500951.1|DSAN	LOC118461989|XP_035783818.1|AALB
OG0000784	LOC120448569|XP_039486563.1|DSAN, LOC120456359|XP_039499089.1|DSAN	LOC118457596|XP_035775188.1|AALB
OG0000785	LOC120451561|XP_039491298.1|DSAN, LOC120452243|XP_039492304.1|DSAN	LOC118459271|XP_035778400.1|AALB
OG0000786	LOC120454896|XP_039496485.1|DSAN, LOC120451725|XP_039491565.1|DSAN	LOC118457367|XP_035774777.1|AALB
OG0000787	LOC120450218|XP_039489026.1|DSAN, LOC120457321|XP_039500761.1|DSAN	LOC118467704|XP_035794380.1|AALB
OG0000788	LOC120446414|XP_039483307.1|DSAN, LOC120447944|XP_039485556.1|DSAN	LOC118466414|XP_035791576.1|AALB
OG0000789	LOC120444123|XP_039479611.1|DSAN, LOC120458655|XP_039502320.1|DSAN	LOC118468941|XP_035796172.1|AALB
OG0000790	LOC120443927|XP_039479304.1|DSAN, LOC120443926|XP_039479303.1|DSAN	LOC118466930|XP_035792713.1|AALB
OG0000791	LOC120451799|XP_039491688.1|DSAN, LOC120451390|XP_039490987.1|DSAN	LOC118456204|XP_035772663.1|AALB
OG0000792	LOC120458644|XP_039502307.1|DSAN	LOC118458779|XP_035777497.1|AALB
OG0000793	LOC120450868|XP_039490025.1|DSAN, LOC120455917|XP_039498360.1|DSAN	LOC118459860|XP_035779527.1|AALB
OG0000794	LOC120458949|XP_039502749.1|DSAN, LOC120455208|XP_039497100.1|DSAN	LOC118460044|XP_035779899.1|AALB, LOC118458710|XP_035777343.1|AALB, LOC118458832|XP_035777620.1|AALB
OG0000795	LOC120456266|XP_039498925.1|DSAN, LOC120451950|XP_039491905.1|DSAN	LOC118456526|XP_035773263.1|AALB
OG0000796	LOC120452605|XP_039492836.1|DSAN, LOC120457242|XP_039500561.1|DSAN	LOC118459067|XP_035777997.1|AALB
OG0000797	LOC120450781|XP_039489874.1|DSAN, LOC120454499|XP_039495784.1|DSAN	LOC118463511|XP_035786006.1|AALB
OG0000798	LOC120447178|XP_039484574.1|DSAN, LOC120447177|XP_039484570.1|DSAN	LOC118464225|XP_035787294.1|AALB
OG0000799	LOC120453969|XP_039494854.1|DSAN, LOC120456459|XP_039499240.1|DSAN	LOC118462798|XP_035784688.1|AALB
OG0000801	LOC120445881|XP_039482462.1|DSAN, LOC120444270|XP_039479718.1|DSAN	LOC118463198|XP_035785525.1|AALB
OG0000802	LOC120456940|XP_039500013.1|DSAN, LOC120455607|XP_039497922.1|DSAN	LOC118467277|XP_035793472.1|AALB
OG0000803	LOC120455820|XP_039498222.1|DSAN, LOC120448514|XP_039486482.1|DSAN	LOC118467719|XP_035794418.1|AALB
OG0000810	LOC120457617|XP_039501061.1|DSAN	LOC118456265|XP_035772760.1|AALB
OG0000811	LOC120444327|XP_039479813.1|DSAN	LOC118466450|XP_035791682.1|AALB
OG0000812	LOC120455352|XP_039497379.1|DSAN, LOC120450359|XP_039489275.1|DSAN	LOC118467412|XP_035793789.1|AALB
OG0000813	LOC120446280|XP_039483104.1|DSAN	LOC118463261|XP_035785624.1|AALB
OG0000814	LOC120445121|XP_039481202.1|DSAN	LOC118465745|XP_035790105.1|AALB
OG0000815	LOC120458043|XP_039501486.1|DSAN	LOC118459814|XP_035779450.1|AALB
OG0000816	LOC120456056|XP_039498572.1|DSAN, LOC120450930|XP_039490130.1|DSAN	LOC118466970|XP_035792778.1|AALB
OG0000818	LOC120456248|XP_039498903.1|DSAN, LOC120457839|XP_039501313.1|DSAN	LOC118461934|XP_035783701.1|AALB
OG0000819	LOC120455813|XP_039498207.1|DSAN, LOC120456883|XP_039499914.1|DSAN	LOC118457457|XP_035774950.1|AALB
OG0000820	LOC120455095|XP_039496906.1|DSAN, LOC120446226|XP_039483027.1|DSAN	LOC118463815|XP_035786587.1|AALB
OG0000821	LOC120452061|XP_039492058.1|DSAN, LOC120446324|XP_039483174.1|DSAN	LOC118465578|XP_035789840.1|AALB
OG0000822	LOC120447780|XP_039485268.1|DSAN, LOC120455573|XP_039497878.1|DSAN	LOC118466197|XP_035791108.1|AALB
OG0000830	LOC120456576|XP_039499398.1|DSAN	LOC118459962|XP_035779743.1|AALB, LOC118459960|XP_035779742.1|AALB, LOC118459959|XP_035779740.1|AALB
OG0000831	LOC120448994|XP_039487194.1|DSAN	LOC118459079|XP_035778024.1|AALB, LOC118461902|XP_035783648.1|AALB, LOC118458536|XP_035777010.1|AALB
OG0000832	LOC120444575|XP_039480270.1|DSAN	LOC118460735|XP_035781187.1|AALB
OG0000833	LOC120450279|XP_039489129.1|DSAN	LOC118463051|XP_035785194.1|AALB
OG0000834	LOC120452176|XP_039492218.1|DSAN	LOC118464380|XP_035787616.1|AALB
OG0000836	LOC120444786|XP_039480663.1|DSAN, LOC120446466|XP_039483405.1|DSAN	LOC118460970|XP_035781675.1|AALB
OG0000837	LOC120444654|XP_039480428.1|DSAN, LOC120456017|XP_039498514.1|DSAN	LOC118459718|XP_035779272.1|AALB
OG0000838	LOC120446392|XP_039483264.1|DSAN, LOC120445305|XP_039481548.1|DSAN	LOC118458035|XP_035776046.1|AALB
OG0000839	LOC120454532|XP_039495840.1|DSAN, LOC120451944|XP_039491897.1|DSAN	LOC118460038|XP_035779893.1|AALB
OG0000840	LOC120458694|XP_039502372.1|DSAN, LOC120455729|XP_039498077.1|DSAN	LOC118460519|XP_035780787.1|AALB
OG0000842	LOC120444150|XP_039479660.1|DSAN, LOC120453999|XP_039494901.1|DSAN	LOC118467493|XP_035793936.1|AALB
OG0000843	LOC120444653|XP_039480427.1|DSAN	LOC118467383|XP_035793713.1|AALB
OG0000844	LOC120444529|XP_039480210.1|DSAN, LOC120453662|XP_039494404.1|DSAN	LOC118462801|XP_035784693.1|AALB
OG0000845	LOC120455685|XP_039498028.1|DSAN, LOC120455684|XP_039498027.1|DSAN	LOC118464667|XP_035788072.1|AALB
OG0000854	LOC120456889|XP_039499921.1|DSAN, LOC120456885|XP_039499915.1|DSAN	LOC118468375|XP_035795031.1|AALB
OG0000855	LOC120456587|XP_039499429.1|DSAN, LOC120452454|XP_039492618.1|DSAN	LOC118462018|XP_035783872.1|AALB
OG0000856	LOC120456765|XP_039499697.1|DSAN, LOC120448942|XP_039487120.1|DSAN	LOC118462080|XP_035783992.1|AALB
OG0000857	LOC120456001|XP_039498491.1|DSAN	LOC118461650|XP_035783123.1|AALB, LOC118461663|XP_035783145.1|AALB
OG0000858	LOC120454674|XP_039496124.1|DSAN, LOC120454671|XP_039496121.1|DSAN	LOC118460903|XP_035781540.1|AALB
OG0000860	LOC120447951|XP_039485571.1|DSAN, LOC120448017|XP_039485680.1|DSAN	LOC118467315|XP_035793543.1|AALB
OG0000861	LOC120445935|XP_039482533.1|DSAN	LOC118467097|XP_035793036.1|AALB
OG0000862	LOC120445067|XP_039481127.1|DSAN, LOC120449568|XP_039488058.1|DSAN	LOC118467136|XP_035793144.1|AALB
OG0000863	LOC120452710|XP_039493008.1|DSAN, LOC120451101|XP_039490441.1|DSAN	LOC118462855|XP_035784804.1|AALB
OG0000864	LOC120458866|XP_039502633.1|DSAN, LOC120456710|XP_039499618.1|DSAN	LOC118461400|XP_035782558.1|AALB
OG0000865	LOC120457342|XP_039500785.1|DSAN, LOC120454494|XP_039495776.1|DSAN	LOC118457283|XP_035774637.1|AALB
OG0000866	LOC120458947|XP_039502742.1|DSAN, LOC120458948|XP_039502745.1|DSAN	LOC118461640|XP_035783103.1|AALB
OG0000867	LOC120458860|XP_039502624.1|DSAN, LOC120456126|XP_039498692.1|DSAN	LOC118457872|XP_035775679.1|AALB
OG0000868	LOC120456055|XP_039498570.1|DSAN	LOC118457576|XP_035775146.1|AALB, LOC118459923|XP_035779666.1|AALB
OG0000870	LOC120446059|XP_039482770.1|DSAN	LOC118463907|XP_035786738.1|AALB
OG0000871	LOC120444943|XP_039480880.1|DSAN	LOC118466733|XP_035792309.1|AALB
OG0000872	LOC120455959|XP_039498435.1|DSAN, LOC120444483|XP_039480097.1|DSAN	LOC118463586|XP_035786133.1|AALB
OG0000873	LOC120448886|XP_039487036.1|DSAN	LOC118464246|XP_035787341.1|AALB, LOC118463744|XP_035786431.1|AALB, LOC118464222|XP_035787287.1|AALB
OG0000874	LOC120455890|XP_039498317.1|DSAN, LOC120445218|XP_039481407.1|DSAN	LOC118463225|XP_035785567.1|AALB
OG0000875	LOC120449630|XP_039488152.1|DSAN	LOC118466928|XP_035792707.1|AALB
OG0000882	LOC120456525|XP_039499328.1|DSAN, LOC120457818|XP_039501248.1|DSAN	LOC118460321|XP_035780429.1|AALB
OG0000883	LOC120456738|XP_039499661.1|DSAN	LOC118456749|XP_035773701.1|AALB, LOC118457045|XP_035774188.1|AALB, LOC118466014|XP_035790719.1|AALB
OG0000884	LOC120458906|XP_039502686.1|DSAN, LOC120457285|XP_039500661.1|DSAN	LOC118468700|XP_035795717.1|AALB
OG0000885	LOC120451838|XP_039491748.1|DSAN	LOC118457725|XP_035775410.1|AALB, LOC118457727|XP_035775411.1|AALB, LOC118457724|XP_035775409.1|AALB
OG0000887	LOC120456689|XP_039499587.1|DSAN	LOC118463310|XP_035785687.1|AALB, LOC118465846|XP_035790350.1|AALB, LOC118463810|XP_035786579.1|AALB, LOC118468811|XP_035795919.1|AALB, LOC118468809|XP_035795918.1|AALB
OG0000888	LOC120447461|XP_039484775.1|DSAN	LOC118465638|XP_035789937.1|AALB, LOC118465634|XP_035789929.1|AALB
OG0000889	LOC120449582|XP_039488072.1|DSAN	LOC118463477|XP_035785960.1|AALB
OG0000890	LOC120445596|XP_039482028.1|DSAN	LOC118465805|XP_035790266.1|AALB
OG0000891	LOC120453799|XP_039494648.1|DSAN, LOC120453967|XP_039494856.1|DSAN	LOC118457690|XP_035775354.1|AALB
OG0000892	LOC120449958|XP_039488593.1|DSAN, LOC120447954|XP_039485575.1|DSAN	LOC118461667|XP_035783148.1|AALB
OG0000893	LOC120452311|XP_039492395.1|DSAN	LOC118461100|XP_035781909.1|AALB
OG0000894	LOC120454624|XP_039496026.1|DSAN	LOC118457777|XP_035775501.1|AALB
OG0000895	LOC120445658|XP_039482137.1|DSAN	LOC118458352|XP_035776596.1|AALB
OG0000907	LOC120444657|XP_039480431.1|DSAN	LOC118459253|XP_035778358.1|AALB
OG0000909	LOC120455926|XP_039498387.1|DSAN, LOC120452531|XP_039492729.1|DSAN	LOC118459629|XP_035779099.1|AALB
OG0000910	LOC120451624|XP_039491411.1|DSAN, LOC120455598|XP_039497906.1|DSAN	LOC118462988|XP_035785093.1|AALB
OG0000911	LOC120445177|XP_039481324.1|DSAN	LOC118464594|XP_035787930.1|AALB
OG0000912	LOC120449325|XP_039487657.1|DSAN, LOC120449830|XP_039488413.1|DSAN	LOC118467011|XP_035792847.1|AALB, LOC118462929|XP_035784931.1|AALB
OG0000913	LOC120448753|XP_039486871.1|DSAN	LOC118462547|XP_035784207.1|AALB
OG0000913	LOC120448754|XP_039486872.1|DSAN	LOC118462550|XP_035784209.1|AALB
OG0000914	LOC120445632|XP_039482093.1|DSAN	LOC118467845|XP_035794645.1|AALB, LOC118459089|XP_035778047.1|AALB
OG0000915	LOC120445399|XP_039481743.1|DSAN, LOC120455056|XP_039496843.1|DSAN	LOC118457378|XP_035774806.1|AALB, LOC118459897|XP_035779606.1|AALB
OG0000916	LOC120448894|XP_039487049.1|DSAN	LOC118458441|XP_035776810.1|AALB, LOC118458711|XP_035777344.1|AALB, LOC118456560|XP_035773322.1|AALB, LOC118468342|XP_035794994.1|AALB, LOC118459910|XP_035779638.1|AALB, LOC118458633|XP_035777215.1|AALB, LOC118456982|XP_035774080.1|AALB, LOC118460472|XP_035780690.1|AALB, LOC118459193|XP_035778247.1|AALB, LOC118468359|XP_035795012.1|AALB
OG0000917	LOC120457517|XP_039500999.1|DSAN, LOC120457589|XP_039501032.1|DSAN, LOC120443759|XP_039478980.1|DSAN	LOC118458771|XP_035777457.1|AALB
OG0000918	LOC120458079|XP_039501527.1|DSAN, LOC120458795|XP_039502522.1|DSAN	LOC118460938|XP_035781593.1|AALB
OG0000920	LOC120455269|XP_039497204.1|DSAN	LOC118462795|XP_035784685.1|AALB, LOC118462796|XP_035784686.1|AALB, LOC118458426|XP_035776774.1|AALB
OG0000921	LOC120455312|XP_039497296.1|DSAN, LOC120455529|XP_039497753.1|DSAN	LOC118460639|XP_035780986.1|AALB
OG0000922	LOC120449549|XP_039488010.1|DSAN	LOC118456255|XP_035772750.1|AALB
OG0000923	LOC120449799|XP_039488378.1|DSAN, LOC120452812|XP_039493149.1|DSAN	LOC118466584|XP_035792037.1|AALB
OG0000924	LOC120457146|XP_039500351.1|DSAN	LOC118463875|XP_035786688.1|AALB
OG0000925	LOC120452943|XP_039493359.1|DSAN, LOC120452942|XP_039493357.1|DSAN	LOC118467575|XP_035794113.1|AALB
OG0000935	LOC120454172|XP_039495186.1|DSAN	LOC118457386|XP_035774818.1|AALB, LOC118459374|XP_035778563.1|AALB
OG0000936	LOC120456108|XP_039498655.1|DSAN	LOC118461155|XP_035782074.1|AALB
OG0000938	LOC120446366|XP_039483232.1|DSAN, LOC120457616|XP_039501060.1|DSAN, LOC120456793|XP_039499746.1|DSAN	LOC118458727|XP_035777387.1|AALB
OG0000939	LOC120444100|XP_039479561.1|DSAN, LOC120443996|XP_039479408.1|DSAN	LOC118458045|XP_035776058.1|AALB
OG0000940	LOC120457064|XP_039500176.1|DSAN, LOC120450530|XP_039489552.1|DSAN	LOC118457807|XP_035775553.1|AALB
OG0000941	LOC120454414|XP_039495618.1|DSAN, LOC120456665|XP_039499539.1|DSAN	LOC118457833|XP_035775602.1|AALB
OG0000942	LOC120448252|XP_039486098.1|DSAN	LOC118461937|XP_035783705.1|AALB
OG0000943	LOC120446599|XP_039483563.1|DSAN	LOC118464680|XP_035788095.1|AALB
OG0000944	LOC120455886|XP_039498313.1|DSAN, LOC120451710|XP_039491549.1|DSAN	LOC118463430|XP_035785890.1|AALB
OG0000945	LOC120449724|XP_039488286.1|DSAN, LOC120449723|XP_039488285.1|DSAN	LOC118462643|XP_035784385.1|AALB
OG0000946	LOC120446102|XP_039482832.1|DSAN	LOC118468439|XP_035795094.1|AALB, LOC118458079|XP_035776129.1|AALB
OG0000947	LOC120446316|XP_039483166.1|DSAN	LOC118459427|XP_035778666.1|AALB, LOC118459425|XP_035778663.1|AALB, LOC118459426|XP_035778664.1|AALB
OG0000948	LOC120447544|XP_039484924.1|DSAN	LOC118460957|XP_035781625.1|AALB
OG0000949	LOC120457290|XP_039500675.1|DSAN	LOC118461660|XP_035783134.1|AALB, LOC118461659|XP_035783133.1|AALB
OG0000950	LOC120453981|XP_039494869.1|DSAN	LOC118459856|XP_035779521.1|AALB
OG0000951	LOC120454644|XP_039496079.1|DSAN	LOC118467062|XP_035792970.1|AALB
OG0000952	LOC120443821|XP_039479096.1|DSAN	LOC118463414|XP_035785859.1|AALB
OG0000964	LOC120446394|XP_039483265.1|DSAN	LOC118461375|XP_035782519.1|AALB
OG0000965	LOC120456306|XP_039498988.1|DSAN	LOC118458186|XP_035776321.1|AALB
OG0000966	LOC120446275|XP_039483092.1|DSAN, LOC120451682|XP_039491498.1|DSAN	LOC118463865|XP_035786672.1|AALB
OG0000968	LOC120448664|XP_039486733.1|DSAN	LOC118464835|XP_035788404.1|AALB
OG0000969	LOC120445060|XP_039481119.1|DSAN, LOC120451969|XP_039491929.1|DSAN	LOC118467288|XP_035793494.1|AALB
OG0000970	LOC120452588|XP_039492810.1|DSAN	LOC118459232|XP_035778322.1|AALB
OG0000971	LOC120446029|XP_039482723.1|DSAN	LOC118467673|XP_035794337.1|AALB, LOC118461168|XP_035782061.1|AALB
OG0000972	LOC120449099|XP_039487341.1|DSAN, LOC120456843|XP_039499832.1|DSAN	LOC118457048|XP_035774189.1|AALB
OG0000974	LOC120448578|XP_039486582.1|DSAN	LOC118460056|XP_035779933.1|AALB, LOC118463138|XP_035785391.1|AALB
