Orthogroup	DSAN.longest_only	HILL.longest_only
OG0001702	LOC120445101|XP_039481181.1|DSAN	LOC119652737|XP_037912963.1|HILL
OG0001703	LOC120453795|XP_039494600.1|DSAN	LOC119651551|XP_037911111.1|HILL
OG0001704	LOC120453939|XP_039494818.1|DSAN	LOC119651685|XP_037911314.1|HILL
OG0001705	LOC120453121|XP_039493598.1|DSAN	LOC119650660|XP_037909524.1|HILL
OG0001706	LOC120451974|XP_039491938.1|DSAN	LOC119650414|XP_037909135.1|HILL
OG0001707	LOC120454231|XP_039495266.1|DSAN	LOC119655036|XP_037916644.1|HILL
OG0001708	LOC120453909|XP_039494775.1|DSAN	LOC119654721|XP_037916171.1|HILL, LOC119654653|XP_037916069.1|HILL, LOC119654493|XP_037915844.1|HILL
OG0001709	LOC120448996|XP_039487198.1|DSAN	LOC119658818|XP_037922470.1|HILL
OG0001710	LOC120452575|XP_039492792.1|DSAN	LOC119650640|XP_037909490.1|HILL
OG0001711	LOC120450896|XP_039490071.1|DSAN	LOC119658449|XP_037921781.1|HILL
OG0001712	LOC120450772|XP_039489862.1|DSAN	LOC119656973|XP_037919631.1|HILL
OG0001713	LOC120450933|XP_039490134.1|DSAN	LOC119658767|XP_037922392.1|HILL
OG0001714	LOC120454158|XP_039495155.1|DSAN	LOC119660448|XP_037924929.1|HILL
OG0001715	LOC120456490|XP_039499290.1|DSAN	LOC119651565|XP_037911127.1|HILL
OG0001716	LOC120456200|XP_039498814.1|DSAN	LOC119652970|XP_037913302.1|HILL
OG0001717	LOC120452986|XP_039493416.1|DSAN	LOC119651035|XP_037910280.1|HILL
OG0001718	LOC120451248|XP_039490698.1|DSAN	LOC119650787|XP_037909830.1|HILL
OG0001719	LOC120451531|XP_039491240.1|DSAN	LOC119656637|XP_037919005.1|HILL
OG0001720	LOC120453439|XP_039494081.1|DSAN	LOC119650761|XP_037909780.1|HILL
OG0001721	LOC120453164|XP_039493657.1|DSAN	LOC119652390|XP_037912419.1|HILL
OG0001722	LOC120448033|XP_039485710.1|DSAN	LOC119648853|XP_037906658.1|HILL, LOC119649076|XP_037906998.1|HILL, LOC119650269|XP_037908820.1|HILL
OG0001723	LOC120458212|XP_039501725.1|DSAN	LOC119659078|XP_037922919.1|HILL, LOC119660005|XP_037924311.1|HILL, LOC119649821|XP_037908084.1|HILL
OG0001724	LOC120447076|XP_039484401.1|DSAN	LOC119647260|XP_037904068.1|HILL
OG0001725	LOC120449795|XP_039488409.1|DSAN	LOC119658869|XP_037922558.1|HILL
OG0001726	LOC120450593|XP_039489649.1|DSAN	LOC119650313|XP_037908896.1|HILL
OG0001727	LOC120453017|XP_039493468.1|DSAN	LOC119652567|XP_037912708.1|HILL
OG0001728	LOC120445328|XP_039481586.1|DSAN	LOC119653008|XP_037913368.1|HILL, LOC119652940|XP_037913258.1|HILL
OG0001729	LOC120446690|XP_039483717.1|DSAN	LOC119661747|XP_037927141.1|HILL
OG0001730	LOC120443817|XP_039479093.1|DSAN	LOC119646998|XP_037903652.1|HILL
OG0001731	LOC120446989|XP_039484223.1|DSAN	LOC119661387|XP_037926637.1|HILL
OG0001732	LOC120458760|XP_039502468.1|DSAN	LOC119648975|XP_037906825.1|HILL
OG0001733	LOC120445063|XP_039481121.1|DSAN	LOC119646388|XP_037902759.1|HILL
OG0001734	LOC120444163|XP_039479679.1|DSAN	LOC119661548|XP_037926861.1|HILL
OG0001735	LOC120447915|XP_039485499.1|DSAN	LOC119650184|XP_037908668.1|HILL
OG0001736	LOC120446346|XP_039483206.1|DSAN	LOC119661518|XP_037926821.1|HILL
OG0001737	LOC120445427|XP_039481787.1|DSAN	LOC119660090|XP_037924397.1|HILL
OG0001738	LOC120449420|XP_039487812.1|DSAN	LOC119648310|XP_037905918.1|HILL
OG0001739	LOC120447170|XP_039484561.1|DSAN	LOC119660084|XP_037924392.1|HILL
OG0001740	LOC120444550|XP_039480234.1|DSAN	LOC119661112|XP_037926235.1|HILL
OG0001741	LOC120452737|XP_039493043.1|DSAN	LOC119646911|XP_037903510.1|HILL
OG0001742	LOC120452749|XP_039493061.1|DSAN	LOC119649624|XP_037907787.1|HILL
OG0001743	LOC120450467|XP_039489440.1|DSAN	LOC119648346|XP_037905970.1|HILL
OG0001744	LOC120443948|XP_039479331.1|DSAN	LOC119649874|XP_037908212.1|HILL
OG0001745	LOC120445333|XP_039481594.1|DSAN	LOC119660852|XP_037925677.1|HILL
OG0001746	LOC120449465|XP_039487870.1|DSAN	LOC119648796|XP_037906569.1|HILL
OG0001747	LOC120445253|XP_039481461.1|DSAN	LOC119661675|XP_037927040.1|HILL
OG0001748	LOC120449612|XP_039488116.1|DSAN	LOC119648513|XP_037906210.1|HILL
OG0001749	LOC120444499|XP_039480145.1|DSAN	LOC119647052|XP_037903738.1|HILL
OG0001750	LOC120444497|XP_039480142.1|DSAN	LOC119656311|XP_037918690.1|HILL
OG0001751	LOC120450255|XP_039489079.1|DSAN	LOC119647600|XP_037904554.1|HILL
OG0001752	LOC120449014|XP_039487226.1|DSAN	LOC119648958|XP_037906804.1|HILL
OG0001753	LOC120448290|XP_039486160.1|DSAN	LOC119649117|XP_037907046.1|HILL
OG0001754	LOC120446632|XP_039483629.1|DSAN	LOC119661680|XP_037927046.1|HILL
OG0001755	LOC120450172|XP_039488954.1|DSAN	LOC119649001|XP_037906870.1|HILL, LOC119648998|XP_037906857.1|HILL
OG0001756	LOC120445363|XP_039481668.1|DSAN	LOC119646516|XP_037902900.1|HILL
OG0001757	LOC120444394|XP_039479950.1|DSAN	LOC119655543|XP_037917390.1|HILL
OG0001758	LOC120447893|XP_039485439.1|DSAN	LOC119648834|XP_037906624.1|HILL
OG0001759	LOC120446186|XP_039482962.1|DSAN	LOC119646476|XP_037902858.1|HILL
OG0001760	LOC120458717|XP_039502400.1|DSAN	LOC119648400|XP_037906104.1|HILL
OG0001761	LOC120445034|XP_039481054.1|DSAN	LOC119652565|XP_037912706.1|HILL
OG0001762	LOC120458224|XP_039501739.1|DSAN	LOC119651874|XP_037911610.1|HILL
OG0001763	LOC120455182|XP_039497481.1|DSAN	LOC119651913|XP_037911667.1|HILL
OG0001764	LOC120452322|XP_039492410.1|DSAN	LOC119659463|XP_037923478.1|HILL
OG0001765	LOC120443882|XP_039479225.1|DSAN	LOC119661249|XP_037926416.1|HILL
OG0001766	LOC120455089|XP_039496900.1|DSAN	LOC119650699|XP_037909613.1|HILL
OG0001767	LOC120458687|XP_039502358.1|DSAN	LOC119647214|XP_037903968.1|HILL
OG0001768	LOC120458338|XP_039501889.1|DSAN	LOC119654969|XP_037916560.1|HILL
OG0001769	LOC120455581|XP_039497890.1|DSAN	LOC119652173|XP_037912046.1|HILL
OG0001770	LOC120444086|XP_039479545.1|DSAN	LOC119647062|XP_037903747.1|HILL
OG0001771	LOC120458648|XP_039502311.1|DSAN	LOC119651116|XP_037910422.1|HILL
OG0001772	LOC120458029|XP_039501472.1|DSAN	LOC119661431|XP_037926704.1|HILL
OG0001773	LOC120458077|XP_039501525.1|DSAN	LOC119652398|XP_037912433.1|HILL
OG0001774	LOC120447032|XP_039484306.1|DSAN	LOC119647111|XP_037903818.1|HILL
OG0001776	LOC120452218|XP_039492281.1|DSAN	LOC119651493|XP_037911035.1|HILL
OG0001777	LOC120455891|XP_039498323.1|DSAN	LOC119650180|XP_037908664.1|HILL
OG0001778	LOC120443714|XP_039478894.1|DSAN	LOC119653702|XP_037914504.1|HILL
OG0001779	LOC120443916|XP_039479289.1|DSAN	LOC119651725|XP_037911377.1|HILL
OG0001780	LOC120455282|XP_039497246.1|DSAN	LOC119646630|XP_037903066.1|HILL
OG0001781	LOC120445714|XP_039482209.1|DSAN	LOC119653022|XP_037913393.1|HILL
OG0001782	LOC120458886|XP_039502657.1|DSAN	LOC119652414|XP_037912459.1|HILL
OG0001783	LOC120454854|XP_039496318.1|DSAN	LOC119652306|XP_037912244.1|HILL
OG0001784	LOC120454357|XP_039495515.1|DSAN	LOC119646844|XP_037903394.1|HILL
OG0001785	LOC120448209|XP_039486025.1|DSAN	LOC119646632|XP_037903070.1|HILL, LOC119646635|XP_037903076.1|HILL
OG0001786	LOC120458136|XP_039501614.1|DSAN	LOC119646394|XP_037902766.1|HILL
OG0001787	LOC120444688|XP_039480492.1|DSAN	LOC119646256|XP_037902584.1|HILL
OG0001788	LOC120444531|XP_039480212.1|DSAN	LOC119657844|XP_037920894.1|HILL
OG0001789	LOC120445670|XP_039482153.1|DSAN	LOC119648971|XP_037906821.1|HILL
OG0001790	LOC120458491|XP_039502091.1|DSAN	LOC119646437|XP_037902816.1|HILL
OG0001791	LOC120447039|XP_039484319.1|DSAN	LOC119650337|XP_037908927.1|HILL
OG0001792	LOC120444845|XP_039480737.1|DSAN	LOC119646135|XP_037902415.1|HILL
OG0001793	LOC120444259|XP_039479699.1|DSAN	LOC119647243|XP_037904036.1|HILL
OG0001794	LOC120443715|XP_039478895.1|DSAN	LOC119647312|XP_037904158.1|HILL
OG0001796	LOC120456398|XP_039499161.1|DSAN	LOC119653945|XP_037915034.1|HILL
OG0001800	LOC120458315|XP_039501855.1|DSAN	LOC119647110|XP_037903816.1|HILL
OG0001801	LOC120448929|XP_039487100.1|DSAN	LOC119649603|XP_037907747.1|HILL
OG0001802	LOC120451698|XP_039491527.1|DSAN	LOC119660149|XP_037924477.1|HILL
OG0001803	LOC120451790|XP_039491675.1|DSAN	LOC119659364|XP_037923344.1|HILL
OG0001804	LOC120454067|XP_039495010.1|DSAN	LOC119659141|XP_037923003.1|HILL
OG0001805	LOC120447931|XP_039485530.1|DSAN	LOC119648083|XP_037905500.1|HILL
OG0001806	LOC120454300|XP_039495432.1|DSAN	LOC119658939|XP_037922721.1|HILL
OG0001807	LOC120452270|XP_039492335.1|DSAN	LOC119658706|XP_037922243.1|HILL
OG0001809	LOC120451134|XP_039490481.1|DSAN	LOC119660235|XP_037924611.1|HILL
OG0001810	LOC120451066|XP_039490359.1|DSAN	LOC119648878|XP_037906698.1|HILL
OG0001811	LOC120458330|XP_039501881.1|DSAN	LOC119656076|XP_037918285.1|HILL
OG0001812	LOC120455362|XP_039497403.1|DSAN	LOC119651076|XP_037910345.1|HILL
OG0001813	LOC120451087|XP_039490412.1|DSAN	LOC119660390|XP_037924842.1|HILL
OG0001814	LOC120450755|XP_039489812.1|DSAN	LOC119658850|XP_037922528.1|HILL
OG0001815	LOC120451021|XP_039490280.1|DSAN	LOC119660115|XP_037924432.1|HILL
OG0001816	LOC120446070|XP_039482783.1|DSAN	LOC119655746|XP_037917728.1|HILL
OG0001817	LOC120458394|XP_039501948.1|DSAN	LOC119653661|XP_037914419.1|HILL
OG0001818	LOC120456086|XP_039498612.1|DSAN	LOC119655406|XP_037917217.1|HILL
OG0001819	LOC120444293|XP_039479748.1|DSAN	LOC119655833|XP_037917869.1|HILL
OG0001820	LOC120454935|XP_039496635.1|DSAN	LOC119654292|XP_037915524.1|HILL
OG0001821	LOC120446327|XP_039483176.1|DSAN	LOC119654320|XP_037915574.1|HILL
OG0001822	LOC120445237|XP_039481436.1|DSAN	LOC119654392|XP_037915694.1|HILL, LOC119654840|XP_037916346.1|HILL
OG0001823	LOC120448103|XP_039485839.1|DSAN	LOC119649125|XP_037907058.1|HILL
OG0001824	LOC120443809|XP_039479084.1|DSAN	LOC119660170|XP_037924504.1|HILL
OG0001825	LOC120445381|XP_039481698.1|DSAN	LOC119655946|XP_037918065.1|HILL
OG0001826	LOC120446223|XP_039483023.1|DSAN	LOC119655762|XP_037917745.1|HILL
OG0001827	LOC120445749|XP_039482261.1|DSAN	LOC119654394|XP_037915702.1|HILL
OG0001828	LOC120455122|XP_039496949.1|DSAN	LOC119653863|XP_037914848.1|HILL
OG0001829	LOC120446561|XP_039483514.1|DSAN	LOC119655295|XP_037917043.1|HILL
OG0001830	LOC120446488|XP_039483427.1|DSAN	LOC119655843|XP_037917883.1|HILL
OG0001831	LOC120448358|XP_039486260.1|DSAN	LOC119647884|XP_037905100.1|HILL
OG0001832	LOC120456036|XP_039498540.1|DSAN	LOC119660892|XP_037925751.1|HILL
OG0001833	LOC120445419|XP_039481769.1|DSAN	LOC119654266|XP_037915461.1|HILL
OG0001834	LOC120454094|XP_039495039.1|DSAN	LOC119651393|XP_037910903.1|HILL
OG0001848	LOC120450087|XP_039488814.1|DSAN	LOC119650675|XP_037909558.1|HILL
OG0001849	LOC120453648|XP_039494375.1|DSAN	LOC119650802|XP_037909869.1|HILL
OG0001850	LOC120454863|XP_039496346.1|DSAN	LOC119660900|XP_037925766.1|HILL
OG0001851	LOC120454831|XP_039496234.1|DSAN	LOC119660999|XP_037926025.1|HILL
OG0001852	LOC120450147|XP_039488911.1|DSAN	LOC119648791|XP_037906565.1|HILL
OG0001853	LOC120451348|XP_039490871.1|DSAN	LOC119651794|XP_037911489.1|HILL
OG0001854	LOC120457226|XP_039500534.1|DSAN	LOC119657167|XP_037919880.1|HILL
OG0001855	LOC120445233|XP_039481427.1|DSAN	LOC119657085|XP_037919768.1|HILL
OG0001856	LOC120457303|XP_039500720.1|DSAN	LOC119656794|XP_037919330.1|HILL
OG0001857	LOC120455810|XP_039498205.1|DSAN	LOC119658348|XP_037921631.1|HILL
OG0001858	LOC120456154|XP_039498725.1|DSAN	LOC119658315|XP_037921567.1|HILL
OG0001859	LOC120456732|XP_039499653.1|DSAN	LOC119656734|XP_037919204.1|HILL
OG0001860	LOC120448461|XP_039486412.1|DSAN	LOC119648757|XP_037906511.1|HILL
OG0001861	LOC120452597|XP_039492830.1|DSAN	LOC119657655|XP_037920607.1|HILL, LOC119657656|XP_037920608.1|HILL
OG0001862	LOC120456000|XP_039498490.1|DSAN	LOC119656726|XP_037919181.1|HILL, LOC119656727|XP_037919183.1|HILL
OG0001863	LOC120456859|XP_039499871.1|DSAN	LOC119657322|XP_037920111.1|HILL
OG0001864	LOC120451354|XP_039490918.1|DSAN	LOC119661721|XP_037927106.1|HILL
OG0001865	LOC120455297|XP_039497272.1|DSAN	LOC119657944|XP_037921064.1|HILL
OG0001866	LOC120453207|XP_039493727.1|DSAN	LOC119659495|XP_037923540.1|HILL
OG0001867	LOC120450300|XP_039489172.1|DSAN	LOC119647424|XP_037904251.1|HILL
OG0001868	LOC120457694|XP_039501123.1|DSAN	LOC119652674|XP_037912867.1|HILL
OG0001869	LOC120452688|XP_039492972.1|DSAN	LOC119660246|XP_037924627.1|HILL, LOC119660334|XP_037924745.1|HILL
OG0001870	LOC120456699|XP_039499599.1|DSAN	LOC119646980|XP_037903618.1|HILL
OG0001871	LOC120457336|XP_039500777.1|DSAN	LOC119657333|XP_037920130.1|HILL, LOC119657197|XP_037919930.1|HILL, LOC119657102|XP_037919785.1|HILL, LOC119657440|XP_037920276.1|HILL, LOC119657585|XP_037920492.1|HILL, LOC119657304|XP_037920092.1|HILL
OG0001872	LOC120453313|XP_039493903.1|DSAN	LOC119657360|XP_037920160.1|HILL
OG0001873	LOC120451754|XP_039491613.1|DSAN	LOC119652394|XP_037912429.1|HILL
OG0001874	LOC120450985|XP_039490220.1|DSAN	LOC119657327|XP_037920118.1|HILL
OG0001875	LOC120453545|XP_039494232.1|DSAN	LOC119646791|XP_037903303.1|HILL
OG0001876	LOC120455164|XP_039497022.1|DSAN	LOC119658387|XP_037921683.1|HILL
OG0001877	LOC120456957|XP_039500034.1|DSAN	LOC119657237|XP_037919979.1|HILL
OG0001878	LOC120454443|XP_039495680.1|DSAN	LOC119656553|XP_037918847.1|HILL
OG0001879	LOC120453673|XP_039494418.1|DSAN	LOC119658469|XP_037921815.1|HILL
OG0001880	LOC120451833|XP_039491742.1|DSAN	LOC119653041|XP_037913425.1|HILL, LOC119651221|XP_037910605.1|HILL
OG0001881	LOC120451986|XP_039491947.1|DSAN	LOC119658476|XP_037921841.1|HILL
OG0001882	LOC120451186|XP_039490569.1|DSAN	LOC119657673|XP_037920627.1|HILL
OG0001883	LOC120454501|XP_039495787.1|DSAN	LOC119651092|XP_037910374.1|HILL
OG0001884	LOC120451496|XP_039491181.1|DSAN	LOC119650850|XP_037909924.1|HILL
OG0001885	LOC120458226|XP_039501742.1|DSAN	LOC119657133|XP_037919832.1|HILL
OG0001886	LOC120452780|XP_039493103.1|DSAN	LOC119651262|XP_037910690.1|HILL
OG0001887	LOC120447223|XP_039484676.1|DSAN	LOC119654633|XP_037916033.1|HILL
OG0001888	LOC120451027|XP_039490291.1|DSAN	LOC119646671|XP_037903129.1|HILL
OG0001889	LOC120455111|XP_039496932.1|DSAN	LOC119656485|XP_037918737.1|HILL
OG0001890	LOC120450444|XP_039489391.1|DSAN	LOC119651162|XP_037910508.1|HILL
OG0001891	LOC120451268|XP_039490734.1|DSAN	LOC119652430|XP_037912482.1|HILL
OG0001892	LOC120457594|XP_039501041.1|DSAN	LOC119650670|XP_037909548.1|HILL
OG0001893	LOC120453288|XP_039493850.1|DSAN	LOC119652824|XP_037913081.1|HILL
OG0001894	LOC120443727|XP_039478916.1|DSAN	LOC119652620|XP_037912792.1|HILL
OG0001895	LOC120454821|XP_039496209.1|DSAN	LOC119658873|XP_037922570.1|HILL
OG0001897	LOC120450837|XP_039489954.1|DSAN	LOC119656602|XP_037918959.1|HILL
OG0001898	LOC120456045|XP_039498552.1|DSAN	LOC119658001|XP_037921149.1|HILL
OG0001899	LOC120453497|XP_039494170.1|DSAN	LOC119651575|XP_037911139.1|HILL
OG0001900	LOC120449763|XP_039488335.1|DSAN	LOC119648331|XP_037905953.1|HILL
OG0001901	LOC120451755|XP_039491619.1|DSAN	LOC119651068|XP_037910333.1|HILL
OG0001902	LOC120457662|XP_039501092.1|DSAN, LOC120457663|XP_039501093.1|DSAN	LOC119652347|XP_037912302.1|HILL
OG0001903	LOC120452335|XP_039492432.1|DSAN	LOC119652506|XP_037912622.1|HILL
OG0001904	LOC120453417|XP_039494050.1|DSAN	LOC119652679|XP_037912878.1|HILL
OG0001906	LOC120454264|XP_039495345.1|DSAN	LOC119650954|XP_037910123.1|HILL, LOC119650953|XP_037910117.1|HILL
OG0001907	LOC120457230|XP_039500542.1|DSAN	LOC119652852|XP_037913137.1|HILL
OG0001908	LOC120453364|XP_039493972.1|DSAN	LOC119651753|XP_037911418.1|HILL
OG0001909	LOC120456041|XP_039498548.1|DSAN	LOC119657004|XP_037919671.1|HILL
OG0001910	LOC120454449|XP_039495692.1|DSAN	LOC119652713|XP_037912926.1|HILL
OG0001911	LOC120451237|XP_039490685.1|DSAN	LOC119651203|XP_037910572.1|HILL
OG0001912	LOC120446398|XP_039483267.1|DSAN	LOC119647546|XP_037904464.1|HILL, LOC119647543|XP_037904461.1|HILL, LOC119647547|XP_037904465.1|HILL, LOC119647548|XP_037904466.1|HILL
OG0001914	LOC120451652|XP_039491455.1|DSAN	LOC119650748|XP_037909758.1|HILL
OG0001915	LOC120450112|XP_039488862.1|DSAN	LOC119649037|XP_037906924.1|HILL
OG0001916	LOC120445366|XP_039481673.1|DSAN	LOC119659318|XP_037923266.1|HILL
OG0001917	LOC120448064|XP_039485763.1|DSAN	LOC119648161|XP_037905664.1|HILL
OG0001918	LOC120448963|XP_039487156.1|DSAN	LOC119648279|XP_037905861.1|HILL
OG0001919	LOC120444489|XP_039480129.1|DSAN	LOC119661109|XP_037926233.1|HILL, LOC119660811|XP_037925584.1|HILL
OG0001920	LOC120450613|XP_039489683.1|DSAN	LOC119650198|XP_037908693.1|HILL
OG0001921	LOC120446500|XP_039483442.1|DSAN	LOC119650073|XP_037908499.1|HILL
OG0001922	LOC120446173|XP_039482941.1|DSAN	LOC119650082|XP_037908513.1|HILL
OG0001923	LOC120448378|XP_039486282.1|DSAN	LOC119650384|XP_037909052.1|HILL
OG0001924	LOC120457606|XP_039501049.1|DSAN	LOC119647996|XP_037905309.1|HILL
OG0001925	LOC120449233|XP_039487540.1|DSAN	LOC119649855|XP_037908139.1|HILL, LOC119650048|XP_037908461.1|HILL
OG0001926	LOC120448556|XP_039486545.1|DSAN	LOC119649480|XP_037907577.1|HILL
OG0001927	LOC120444767|XP_039480630.1|DSAN	LOC119646736|XP_037903241.1|HILL
OG0001928	LOC120447714|XP_039485180.1|DSAN	LOC119647619|XP_037904589.1|HILL
OG0001929	LOC120450020|XP_039488677.1|DSAN	LOC119656183|XP_037918461.1|HILL, LOC119647768|XP_037904830.1|HILL
OG0001930	LOC120444784|XP_039480657.1|DSAN	LOC119651261|XP_037910688.1|HILL
OG0001931	LOC120447851|XP_039485392.1|DSAN	LOC119648402|XP_037906072.1|HILL
OG0001932	LOC120450363|XP_039489280.1|DSAN	LOC119648398|XP_037906067.1|HILL
OG0001933	LOC120444729|XP_039480588.1|DSAN, LOC120444598|XP_039480306.1|DSAN	LOC119648765|XP_037906522.1|HILL
OG0001934	LOC120448941|XP_039487119.1|DSAN	LOC119649388|XP_037907437.1|HILL
OG0001935	LOC120448587|XP_039486602.1|DSAN	LOC119648672|XP_037906388.1|HILL, LOC119649360|XP_037907401.1|HILL
OG0001937	LOC120446926|XP_039484105.1|DSAN	LOC119661170|XP_037926313.1|HILL
OG0001938	LOC120457716|XP_039501147.1|DSAN	LOC119661149|XP_037926289.1|HILL
OG0001939	LOC120446649|XP_039483654.1|DSAN	LOC119659184|XP_037923072.1|HILL
OG0001940	LOC120443832|XP_039479117.1|DSAN	LOC119647200|XP_037903942.1|HILL
OG0001941	LOC120449489|XP_039487902.1|DSAN	LOC119648112|XP_037905558.1|HILL
OG0001943	LOC120448589|XP_039486606.1|DSAN	LOC119649455|XP_037907537.1|HILL, LOC119649625|XP_037907788.1|HILL, LOC119649112|XP_037907039.1|HILL
OG0001944	LOC120448687|XP_039486768.1|DSAN	LOC119649745|XP_037907962.1|HILL
OG0001945	LOC120443724|XP_039478907.1|DSAN	LOC119661393|XP_037926646.1|HILL
OG0001946	LOC120449185|XP_039487471.1|DSAN	LOC119653908|XP_037914985.1|HILL
OG0001947	LOC120445446|XP_039481817.1|DSAN	LOC119661314|XP_037926534.1|HILL
OG0001948	LOC120456811|XP_039499788.1|DSAN	LOC119648154|XP_037905653.1|HILL
OG0001949	LOC120448557|XP_039486546.1|DSAN	LOC119649181|XP_037907136.1|HILL
OG0001950	LOC120454255|XP_039495316.1|DSAN	LOC119661016|XP_037926092.1|HILL
OG0001951	LOC120446440|XP_039483345.1|DSAN	LOC119647100|XP_037903799.1|HILL
OG0001952	LOC120444007|XP_039479421.1|DSAN	LOC119659888|XP_037924136.1|HILL
OG0001953	LOC120445684|XP_039482174.1|DSAN	LOC119661457|XP_037926741.1|HILL
OG0001954	LOC120458321|XP_039501862.1|DSAN	LOC119647112|XP_037903819.1|HILL
OG0001955	LOC120444521|XP_039480198.1|DSAN	LOC119647118|XP_037903833.1|HILL
OG0001956	LOC120450484|XP_039489465.1|DSAN	LOC119647496|XP_037904382.1|HILL
OG0001957	LOC120445076|XP_039481137.1|DSAN	LOC119659267|XP_037923194.1|HILL
OG0001958	LOC120445203|XP_039481372.1|DSAN	LOC119661584|XP_037926911.1|HILL
OG0001959	LOC120449989|XP_039488632.1|DSAN	LOC119648719|XP_037906455.1|HILL
OG0001960	LOC120448594|XP_039486626.1|DSAN	LOC119647828|XP_037904996.1|HILL
OG0001961	LOC120446030|XP_039482725.1|DSAN	LOC119661384|XP_037926630.1|HILL
OG0001962	LOC120443725|XP_039478912.1|DSAN	LOC119653650|XP_037914398.1|HILL
OG0001963	LOC120449922|XP_039488549.1|DSAN	LOC119648319|XP_037905928.1|HILL
OG0001964	LOC120448437|XP_039486380.1|DSAN	LOC119648632|XP_037906330.1|HILL, LOC119648643|XP_037906341.1|HILL
OG0001965	LOC120449693|XP_039488243.1|DSAN	LOC119649847|XP_037908129.1|HILL
OG0001966	LOC120452257|XP_039492320.1|DSAN	LOC119646800|XP_037903318.1|HILL
OG0001967	LOC120445054|XP_039481106.1|DSAN	LOC119659887|XP_037924171.1|HILL
OG0001968	LOC120449940|XP_039488573.1|DSAN	LOC119649424|XP_037907499.1|HILL
OG0001969	LOC120447182|XP_039484607.1|DSAN	LOC119661195|XP_037926345.1|HILL
OG0001970	LOC120445261|XP_039481484.1|DSAN	LOC119648481|XP_037906174.1|HILL
OG0001971	LOC120446744|XP_039483801.1|DSAN	LOC119655219|XP_037916926.1|HILL
OG0001972	LOC120458102|XP_039501565.1|DSAN, LOC120458103|XP_039501566.1|DSAN	LOC119659168|XP_037923047.1|HILL
OG0001973	LOC120445307|XP_039481551.1|DSAN	LOC119646351|XP_037902713.1|HILL
OG0001974	LOC120447919|XP_039485513.1|DSAN	LOC119646579|XP_037902999.1|HILL
OG0001975	LOC120448630|XP_039486686.1|DSAN	LOC119648358|XP_037905999.1|HILL
OG0001976	LOC120446936|XP_039484121.1|DSAN	LOC119654729|XP_037916185.1|HILL
OG0001978	LOC120447234|XP_039484693.1|DSAN	LOC119646769|XP_037903279.1|HILL
OG0001979	LOC120446031|XP_039482729.1|DSAN	LOC119661563|XP_037926885.1|HILL
OG0001980	LOC120454459|XP_039495711.1|DSAN	LOC119649846|XP_037908130.1|HILL
OG0001981	LOC120452908|XP_039493308.1|DSAN	LOC119653257|XP_037913793.1|HILL
OG0001982	LOC120458186|XP_039501688.1|DSAN	LOC119651562|XP_037911123.1|HILL
OG0001983	LOC120450270|XP_039489110.1|DSAN	LOC119660966|XP_037925954.1|HILL
OG0001984	LOC120458577|XP_039502210.1|DSAN	LOC119651214|XP_037910593.1|HILL
OG0001985	LOC120443997|XP_039479409.1|DSAN	LOC119650304|XP_037908878.1|HILL
OG0001986	LOC120443697|XP_039478872.1|DSAN	LOC119647314|XP_037904168.1|HILL
OG0001987	LOC120456244|XP_039498896.1|DSAN	LOC119660727|XP_037925308.1|HILL
OG0001988	LOC120446181|XP_039482954.1|DSAN	LOC119661433|XP_037926706.1|HILL
OG0001989	LOC120450791|XP_039489890.1|DSAN	LOC119651051|XP_037910305.1|HILL, LOC119652146|XP_037912018.1|HILL
OG0001990	LOC120458610|XP_039502250.1|DSAN	LOC119653176|XP_037913650.1|HILL, LOC119652300|XP_037912228.1|HILL
OG0001991	LOC120444328|XP_039479818.1|DSAN	LOC119646940|XP_037903558.1|HILL
OG0001992	LOC120456567|XP_039499386.1|DSAN	LOC119647247|XP_037904053.1|HILL
OG0001993	LOC120455773|XP_039498166.1|DSAN	LOC119651039|XP_037910285.1|HILL
OG0001994	LOC120454606|XP_039495999.1|DSAN	LOC119661576|XP_037926903.1|HILL
OG0001995	LOC120446473|XP_039483410.1|DSAN	LOC119652957|XP_037913281.1|HILL
OG0001996	LOC120458124|XP_039501596.1|DSAN	LOC119646634|XP_037903074.1|HILL
OG0001997	LOC120447036|XP_039484316.1|DSAN	LOC119661401|XP_037926657.1|HILL
OG0001998	LOC120447033|XP_039484308.1|DSAN	LOC119646269|XP_037902604.1|HILL
OG0001999	LOC120458323|XP_039501873.1|DSAN	LOC119654824|XP_037916320.1|HILL
OG0002000	LOC120458885|XP_039502656.1|DSAN	LOC119657620|XP_037920554.1|HILL
OG0002001	LOC120447046|XP_039484343.1|DSAN	LOC119651608|XP_037911192.1|HILL
OG0002002	LOC120444769|XP_039480634.1|DSAN	LOC119646462|XP_037902838.1|HILL
OG0002003	LOC120443765|XP_039478996.1|DSAN	LOC119653100|XP_037913542.1|HILL, LOC119651921|XP_037911677.1|HILL
OG0002004	LOC120444803|XP_039480684.1|DSAN	LOC119652691|XP_037912896.1|HILL
OG0002005	LOC120443902|XP_039479265.1|DSAN	LOC119652676|XP_037912873.1|HILL
OG0002006	LOC120444018|XP_039479443.1|DSAN	LOC119652692|XP_037912901.1|HILL
OG0002007	LOC120446368|XP_039483236.1|DSAN	LOC119647145|XP_037903867.1|HILL
