Orthogroup	DSAN.longest_only	AEAL.longest_only
OG0001873	LOC120451754|XP_039491613.1|DSAN	LOC109423066|XP_029708369.1|AEAL, LOC109432367|XP_029717740.1|AEAL
OG0001874	LOC120450985|XP_039490220.1|DSAN	LOC115260613|XP_029717505.1|AEAL, LOC109422822|XP_019553257.1|AEAL, LOC115269510|XP_029734156.1|AEAL, LOC109400926|XP_019528958.1|AEAL
OG0001875	LOC120453545|XP_039494232.1|DSAN	LOC115253646|XP_029717688.1|AEAL, LOC109418647|XP_019548413.2|AEAL, LOC109424966|XP_019555707.2|AEAL
OG0001876	LOC120455164|XP_039497022.1|DSAN	LOC109431404|XP_019563168.2|AEAL, LOC109427742|XP_019558881.2|AEAL
OG0001877	LOC120456957|XP_039500034.1|DSAN	LOC109431400|XP_019563162.2|AEAL
OG0001878	LOC120454443|XP_039495680.1|DSAN	LOC109427648|XP_019558761.1|AEAL, LOC109431461|XP_019563212.2|AEAL, LOC115260727|XP_029717840.1|AEAL
OG0001879	LOC120453673|XP_039494418.1|DSAN	LOC109412137|XP_029718070.1|AEAL
OG0001880	LOC120451833|XP_039491742.1|DSAN	LOC109423238|XP_029722766.1|AEAL, LOC115263687|XP_029722772.1|AEAL
OG0001881	LOC120451986|XP_039491947.1|DSAN	LOC115259336|XP_029715725.1|AEAL, LOC109425431|XP_029722818.1|AEAL, LOC109432222|XP_019564090.1|AEAL
OG0001882	LOC120451186|XP_039490569.1|DSAN	LOC109425436|XP_029713268.1|AEAL
OG0001883	LOC120454501|XP_039495787.1|DSAN	LOC115254336|XP_029707620.1|AEAL, LOC109400018|XP_029707622.1|AEAL, LOC109621537|XP_029729840.1|AEAL
OG0001884	LOC120451496|XP_039491181.1|DSAN	LOC109621577|XP_029707660.1|AEAL, LOC109400090|XP_029707704.1|AEAL
OG0001885	LOC120458226|XP_039501742.1|DSAN	LOC109417009|XP_019546681.1|AEAL, LOC115268493|XP_029732375.1|AEAL, LOC109410420|XP_029732455.1|AEAL
OG0001886	LOC120452780|XP_039493103.1|DSAN	LOC109621241|XP_019931226.2|AEAL, LOC115254326|XP_029707604.1|AEAL
OG0001887	LOC120447223|XP_039484676.1|DSAN	LOC109621594|XP_029712567.1|AEAL, LOC109400116|XP_029707630.1|AEAL, LOC115254331|XP_029707615.1|AEAL
OG0001888	LOC120451027|XP_039490291.1|DSAN	LOC109621572|XP_029707618.1|AEAL, LOC109400059|XP_029707624.1|AEAL
OG0001889	LOC120455111|XP_039496932.1|DSAN	LOC115254338|XP_029707623.1|AEAL, LOC109621599|XP_019931227.2|AEAL
OG0001890	LOC120450444|XP_039489391.1|DSAN	LOC109400055|XP_029707687.1|AEAL, LOC109621568|XP_019931180.1|AEAL
OG0001891	LOC120451268|XP_039490734.1|DSAN	LOC115263765|XP_029722962.1|AEAL, LOC109408875|XP_029714159.1|AEAL
OG0001892	LOC120457594|XP_039501041.1|DSAN	LOC109415405|XP_029713552.1|AEAL, LOC109430367|XP_029713471.1|AEAL
OG0001893	LOC120453288|XP_039493850.1|DSAN	LOC109425394|XP_019556223.2|AEAL, LOC109403247|XP_019531575.2|AEAL
OG0001894	LOC120443727|XP_039478916.1|DSAN	LOC109425384|XP_019556182.1|AEAL
OG0001895	LOC120454821|XP_039496209.1|DSAN	LOC109425480|XP_029715881.1|AEAL, LOC115259479|XP_029715924.1|AEAL
OG0001896	LOC120457837|XP_039501273.1|DSAN	LOC109417800|XP_019547520.2|AEAL
OG0001897	LOC120450837|XP_039489954.1|DSAN	LOC109400400|XP_029715817.1|AEAL, LOC115259546|XP_029716087.1|AEAL
OG0001898	LOC120456045|XP_039498552.1|DSAN	LOC109412726|XP_029716094.1|AEAL, LOC115259620|XP_029716232.1|AEAL
OG0001899	LOC120453497|XP_039494170.1|DSAN	LOC115259724|XP_029716360.1|AEAL, LOC109425332|XP_029716066.1|AEAL, LOC109419787|XP_029716052.1|AEAL, LOC115259537|XP_029716057.1|AEAL
OG0001900	LOC120449763|XP_039488335.1|DSAN	LOC109399427|XP_019527418.2|AEAL, LOC109401200|XP_029716045.1|AEAL
OG0001901	LOC120451755|XP_039491619.1|DSAN	LOC115259753|XP_029716400.1|AEAL, LOC115259491|XP_029715955.1|AEAL, LOC109433664|XP_029715952.1|AEAL
OG0001902	LOC120457662|XP_039501092.1|DSAN, LOC120457663|XP_039501093.1|DSAN	LOC109623088|XP_029716374.1|AEAL, LOC109408327|XP_029716075.1|AEAL
OG0001903	LOC120452335|XP_039492432.1|DSAN	LOC109416357|XP_029730197.1|AEAL, LOC109430031|XP_029730181.1|AEAL
OG0001904	LOC120453417|XP_039494050.1|DSAN	LOC115267136|XP_029729837.1|AEAL, LOC115254184|XP_029730179.1|AEAL, LOC109416360|XP_029730196.1|AEAL
OG0001905	LOC120457124|XP_039500275.1|DSAN	LOC109430002|XP_019561560.1|AEAL, LOC115254109|XP_029722555.1|AEAL, LOC109416397|XP_019545979.1|AEAL
OG0001906	LOC120454264|XP_039495345.1|DSAN	LOC109415284|XP_029733766.1|AEAL
OG0001907	LOC120457230|XP_039500542.1|DSAN	LOC109402413|XP_029717987.1|AEAL, LOC115260811|XP_029717990.1|AEAL, LOC115253590|XP_029732774.1|AEAL, LOC109405455|XP_029717118.1|AEAL
OG0001908	LOC120453364|XP_039493972.1|DSAN	LOC109402383|XP_019530593.2|AEAL, LOC109405481|XP_019534114.2|AEAL
OG0001909	LOC120456041|XP_039498548.1|DSAN	LOC115264185|XP_029723480.1|AEAL, LOC115264180|XP_029723474.1|AEAL
OG0001910	LOC120454449|XP_039495692.1|DSAN	LOC115264208|XP_029723558.1|AEAL, LOC109424847|XP_019555590.2|AEAL, LOC109424846|XP_019555589.2|AEAL
OG0001911	LOC120451237|XP_039490685.1|DSAN	LOC115264073|XP_029723238.1|AEAL, LOC115264215|XP_029723579.1|AEAL, LOC109404189|XP_029723593.1|AEAL
OG0001913	LOC120458442|XP_039502020.1|DSAN	LOC109398444|XP_029716388.1|AEAL, LOC109412883|XP_019542083.2|AEAL, LOC109406187|XP_029712296.1|AEAL
OG0001914	LOC120451652|XP_039491455.1|DSAN	LOC109403972|XP_029723600.1|AEAL, LOC109432032|XP_029723667.1|AEAL
OG0001915	LOC120450112|XP_039488862.1|DSAN	LOC109401727|XP_019529866.2|AEAL, LOC115265368|XP_029725984.1|AEAL
OG0001916	LOC120445366|XP_039481673.1|DSAN	LOC109406055|XP_019534675.2|AEAL
OG0001917	LOC120448064|XP_039485763.1|DSAN	LOC109621842|XP_019931580.2|AEAL
OG0001918	LOC120448963|XP_039487156.1|DSAN	LOC109621708|XP_019931404.2|AEAL, LOC109410373|XP_019539468.2|AEAL
OG0001919	LOC120444489|XP_039480129.1|DSAN	LOC109622547|XP_019932500.2|AEAL, LOC109622551|XP_019932504.2|AEAL
OG0001920	LOC120450613|XP_039489683.1|DSAN	LOC109409370|XP_029726254.1|AEAL
OG0001921	LOC120446500|XP_039483442.1|DSAN	LOC109409346|XP_019538345.2|AEAL
OG0001922	LOC120446173|XP_039482941.1|DSAN	LOC109423373|XP_029727575.1|AEAL
OG0001924	LOC120457606|XP_039501049.1|DSAN	LOC109418091|XP_029726738.1|AEAL
OG0001925	LOC120449233|XP_039487540.1|DSAN	LOC109418125|XP_019547870.2|AEAL
OG0001926	LOC120448556|XP_039486545.1|DSAN	LOC109418925|XP_029726695.1|AEAL
OG0001927	LOC120444767|XP_039480630.1|DSAN	LOC115255803|XP_029709804.1|AEAL, LOC109418995|XP_019548772.2|AEAL
OG0001928	LOC120447714|XP_039485180.1|DSAN	LOC109419715|XP_019549530.1|AEAL, LOC115255816|XP_029709858.1|AEAL
OG0001929	LOC120450020|XP_039488677.1|DSAN	LOC109419707|XP_029733516.1|AEAL, LOC109398542|XP_029709818.1|AEAL
OG0001930	LOC120444784|XP_039480657.1|DSAN	LOC115269199|XP_029733510.1|AEAL, LOC109398290|XP_029709834.1|AEAL
OG0001932	LOC120450363|XP_039489280.1|DSAN	LOC109420217|XP_029725826.1|AEAL
OG0001933	LOC120444729|XP_039480588.1|DSAN, LOC120444598|XP_039480306.1|DSAN	LOC115260243|XP_029717033.1|AEAL, LOC109420186|XP_019550057.1|AEAL
OG0001934	LOC120448941|XP_039487119.1|DSAN	LOC115256192|XP_029710312.1|AEAL, LOC109397354|XP_029732959.1|AEAL, LOC115265331|XP_029725777.1|AEAL, LOC109420259|XP_019550143.2|AEAL
OG0001935	LOC120448587|XP_039486602.1|DSAN	LOC109402593|XP_029725685.1|AEAL, LOC109416472|XP_019546090.2|AEAL
OG0001937	LOC120446926|XP_039484105.1|DSAN	LOC115265680|XP_029727500.1|AEAL, LOC109426918|XP_029725651.1|AEAL, LOC115265295|XP_029725645.1|AEAL
OG0001938	LOC120457716|XP_039501147.1|DSAN	LOC109406574|XP_029712396.1|AEAL, LOC109427172|XP_029725594.1|AEAL
OG0001939	LOC120446649|XP_039483654.1|DSAN	LOC115265670|XP_029727485.1|AEAL, LOC109426632|XP_019557705.2|AEAL, LOC115267288|XP_029730062.1|AEAL, LOC109426633|XP_019557706.2|AEAL
OG0001940	LOC120443832|XP_039479117.1|DSAN	LOC115262279|XP_029720540.1|AEAL, LOC109417793|XP_019547501.2|AEAL
OG0001941	LOC120449489|XP_039487902.1|DSAN	LOC109417821|XP_019547543.1|AEAL
OG0001942	LOC120458824|XP_039502572.1|DSAN	LOC109409388|XP_019538407.2|AEAL, LOC109426708|XP_029725442.1|AEAL
OG0001943	LOC120448589|XP_039486606.1|DSAN	LOC109426738|XP_019557820.2|AEAL, LOC109417931|XP_019547621.2|AEAL, LOC115258083|XP_029713946.1|AEAL
OG0001944	LOC120448687|XP_039486768.1|DSAN	LOC109407921|XP_029732346.1|AEAL, LOC109412279|XP_029723162.1|AEAL
OG0001945	LOC120443724|XP_039478907.1|DSAN	LOC109403681|XP_029735161.1|AEAL, LOC109407968|XP_029735104.1|AEAL
OG0001946	LOC120449185|XP_039487471.1|DSAN	LOC109407986|XP_029735117.1|AEAL, LOC115258365|XP_029714313.1|AEAL, LOC115270149|XP_029735148.1|AEAL
OG0001947	LOC120445446|XP_039481817.1|DSAN	LOC109403625|XP_029735146.1|AEAL, LOC109408086|XP_019536850.2|AEAL
OG0001948	LOC120456811|XP_039499788.1|DSAN	LOC109404954|XP_019533456.2|AEAL, LOC109400617|XP_019528652.2|AEAL
OG0001949	LOC120448557|XP_039486546.1|DSAN	LOC109399436|XP_029734823.1|AEAL
OG0001950	LOC120454255|XP_039495316.1|DSAN	LOC109400722|XP_029734811.1|AEAL, LOC109402722|XP_029715806.1|AEAL
OG0001951	LOC120446440|XP_039483345.1|DSAN	LOC109415818|XP_029725138.1|AEAL, LOC115253838|XP_029734706.1|AEAL
OG0001952	LOC120444007|XP_039479421.1|DSAN	LOC115269964|XP_029734662.1|AEAL, LOC109425698|XP_029734674.1|AEAL, LOC115269966|XP_029734671.1|AEAL
OG0001953	LOC120445684|XP_039482174.1|DSAN	LOC115254608|XP_029708080.1|AEAL, LOC115260123|XP_029716886.1|AEAL, LOC109430555|XP_019562174.2|AEAL
OG0001954	LOC120458321|XP_039501862.1|DSAN	LOC115256967|XP_029712039.1|AEAL, LOC109622630|XP_029712070.1|AEAL, LOC115263144|XP_029721928.1|AEAL
OG0001955	LOC120444521|XP_039480198.1|DSAN	LOC109415865|XP_019545356.1|AEAL, LOC109622715|XP_029712059.1|AEAL, LOC115256975|XP_029712053.1|AEAL
OG0001956	LOC120450484|XP_039489465.1|DSAN	LOC109415878|XP_029722428.1|AEAL, LOC109621282|XP_029722445.1|AEAL
OG0001957	LOC120445076|XP_039481137.1|DSAN	LOC109621247|XP_019933513.2|AEAL, LOC109430239|XP_019561832.1|AEAL, LOC109428867|XP_019560249.2|AEAL
OG0001958	LOC120445203|XP_039481372.1|DSAN	LOC115263373|XP_029722531.1|AEAL, LOC109416238|XP_029722308.1|AEAL, LOC115263375|XP_029722533.1|AEAL, LOC109407411|XP_029722231.1|AEAL
OG0001959	LOC120449989|XP_039488632.1|DSAN	LOC109424175|XP_029722127.1|AEAL, LOC109413562|XP_029721402.1|AEAL, LOC115260112|XP_029716867.1|AEAL
OG0001960	LOC120448594|XP_039486626.1|DSAN	LOC115263344|XP_029722501.1|AEAL, LOC115263179|XP_029721970.1|AEAL, LOC109430897|XP_029721968.1|AEAL
OG0001961	LOC120446030|XP_039482725.1|DSAN	LOC115259287|XP_029715676.1|AEAL, LOC109430942|XP_029730376.1|AEAL, LOC109431686|XP_029715644.1|AEAL
OG0001962	LOC120443725|XP_039478912.1|DSAN	LOC109430950|XP_019562611.2|AEAL, LOC109431714|XP_019563527.2|AEAL
OG0001963	LOC120449922|XP_039488549.1|DSAN	LOC109399513|XP_029714085.1|AEAL, LOC115254259|XP_029735711.1|AEAL, LOC109398045|XP_029714084.1|AEAL
OG0001964	LOC120448437|XP_039486380.1|DSAN	LOC115254260|XP_029735856.1|AEAL, LOC109408641|XP_029736020.1|AEAL, LOC109428978|XP_029730422.1|AEAL
OG0001966	LOC120452257|XP_039492320.1|DSAN	LOC109401032|XP_019529062.1|AEAL, LOC115270470|XP_029736064.1|AEAL, LOC109414964|XP_019544355.1|AEAL, LOC109415154|XP_019544586.2|AEAL
OG0001967	LOC120445054|XP_039481106.1|DSAN	LOC109424271|XP_029719648.1|AEAL, LOC109428709|XP_029735262.1|AEAL, LOC115270173|XP_029735276.1|AEAL
OG0001968	LOC120449940|XP_039488573.1|DSAN	LOC115265043|XP_029725102.1|AEAL, LOC115269721|XP_029734406.1|AEAL, LOC115269719|XP_029734401.1|AEAL, LOC109428738|XP_019560109.2|AEAL
OG0001969	LOC120447182|XP_039484607.1|DSAN	LOC115270213|XP_029735333.1|AEAL, LOC115270240|XP_029735367.1|AEAL
OG0001970	LOC120445261|XP_039481484.1|DSAN	LOC115254256|XP_029735450.1|AEAL, LOC115270264|XP_029735393.1|AEAL, LOC109423800|XP_019554378.1|AEAL, LOC109430605|XP_019562214.2|AEAL
OG0001971	LOC120446744|XP_039483801.1|DSAN	LOC109423676|XP_019554218.2|AEAL, LOC115269757|XP_029734441.1|AEAL
OG0001972	LOC120458102|XP_039501565.1|DSAN, LOC120458103|XP_039501566.1|DSAN	LOC109423751|XP_029735575.1|AEAL, LOC109414256|XP_029735556.1|AEAL
OG0001973	LOC120445307|XP_039481551.1|DSAN	LOC109423655|XP_029715596.1|AEAL, LOC115259212|XP_029715591.1|AEAL
OG0001974	LOC120447919|XP_039485513.1|DSAN	LOC109408899|XP_019537814.2|AEAL, LOC115266575|XP_029728811.1|AEAL
OG0001975	LOC120448630|XP_039486686.1|DSAN	LOC109416689|XP_019546295.2|AEAL, LOC115266655|XP_029729044.1|AEAL, LOC109416512|XP_029729043.1|AEAL
OG0001976	LOC120446936|XP_039484121.1|DSAN	LOC115254758|XP_029708288.1|AEAL, LOC115266635|XP_029729004.1|AEAL, LOC109414979|XP_029728942.1|AEAL, LOC109415142|XP_029728995.1|AEAL
OG0001977	LOC120444098|XP_039479562.1|DSAN	LOC109427863|XP_029728530.1|AEAL, LOC115259071|XP_029715442.1|AEAL, LOC115259143|XP_029715519.1|AEAL, LOC115258928|XP_029715307.1|AEAL, LOC109428168|XP_029717224.1|AEAL
OG0001978	LOC120447234|XP_039484693.1|DSAN	LOC109433268|XP_019565239.1|AEAL, LOC109424444|XP_019555108.1|AEAL, LOC115259303|XP_029715695.1|AEAL
OG0001979	LOC120446031|XP_039482729.1|DSAN	LOC109420083|XP_019549936.1|AEAL
OG0001980	LOC120454459|XP_039495711.1|DSAN	LOC109412016|XP_019541205.1|AEAL, LOC109407960|XP_019536713.2|AEAL
OG0001982	LOC120458186|XP_039501688.1|DSAN	LOC115255682|XP_029709646.1|AEAL, LOC109432886|XP_029712419.1|AEAL, LOC109401423|XP_019529520.1|AEAL
OG0001983	LOC120450270|XP_039489110.1|DSAN	LOC109433074|XP_029711242.1|AEAL, LOC109411297|XP_029711472.1|AEAL
OG0001984	LOC120458577|XP_039502210.1|DSAN	LOC109433083|XP_019565019.2|AEAL
OG0001985	LOC120443997|XP_039479409.1|DSAN	LOC109621803|XP_029724949.1|AEAL, LOC109404203|XP_029724890.1|AEAL
OG0001986	LOC120443697|XP_039478872.1|DSAN	LOC115264922|XP_029724857.1|AEAL, LOC109414034|XP_029724875.1|AEAL, LOC115253903|XP_029724936.1|AEAL
OG0001987	LOC120456244|XP_039498896.1|DSAN	LOC109428779|XP_019560166.2|AEAL, LOC115253803|XP_029733997.1|AEAL
OG0001988	LOC120446181|XP_039482954.1|DSAN	LOC115258948|XP_029715326.1|AEAL, LOC109409322|XP_029721659.1|AEAL, LOC109419104|XP_029715310.1|AEAL
OG0001989	LOC120450791|XP_039489890.1|DSAN	LOC115258621|XP_029714772.1|AEAL, LOC109419107|XP_029721665.1|AEAL, LOC109409319|XP_029714703.1|AEAL
OG0001990	LOC120458610|XP_039502250.1|DSAN	LOC109419108|XP_029715128.1|AEAL, LOC109409361|XP_029715193.1|AEAL, LOC115262912|XP_029721672.1|AEAL
OG0001991	LOC120444328|XP_039479818.1|DSAN	LOC115269124|XP_029733393.1|AEAL, LOC109397556|XP_029715197.1|AEAL
OG0001992	LOC120456567|XP_039499386.1|DSAN	LOC115258833|XP_029715127.1|AEAL, LOC109397539|XP_029714675.1|AEAL
OG0001993	LOC120455773|XP_039498166.1|DSAN	LOC115258581|XP_029714677.1|AEAL, LOC115258553|XP_029714578.1|AEAL, LOC109397524|XP_019525370.1|AEAL
OG0001994	LOC120454606|XP_039495999.1|DSAN	LOC109405873|XP_019534477.2|AEAL, LOC109407201|XP_019535726.2|AEAL
OG0001995	LOC120446473|XP_039483410.1|DSAN	LOC115258769|XP_029715029.1|AEAL, LOC109405703|XP_019534308.2|AEAL, LOC109410201|XP_029730241.1|AEAL
OG0001996	LOC120458124|XP_039501596.1|DSAN	LOC109417642|XP_029709337.1|AEAL, LOC115255414|XP_029709383.1|AEAL, LOC115255422|XP_029709410.1|AEAL
OG0001997	LOC120447036|XP_039484316.1|DSAN	LOC115255375|XP_029709277.1|AEAL, LOC115253948|XP_029709288.1|AEAL, LOC109417687|XP_019547293.2|AEAL
OG0001998	LOC120447033|XP_039484308.1|DSAN	LOC115253946|XP_029709239.1|AEAL, LOC109416929|XP_029709253.1|AEAL, LOC109417691|XP_019547307.2|AEAL
OG0001999	LOC120458323|XP_039501873.1|DSAN	LOC109417772|XP_029709100.1|AEAL
OG0002000	LOC120458885|XP_039502656.1|DSAN	LOC109415253|XP_029709033.1|AEAL
OG0002001	LOC120447046|XP_039484343.1|DSAN	LOC109419931|XP_029708900.1|AEAL, LOC115255157|XP_029708909.1|AEAL
OG0002002	LOC120444769|XP_039480634.1|DSAN	LOC109419878|XP_019549708.2|AEAL, LOC109420708|XP_019550709.2|AEAL
OG0002003	LOC120443765|XP_039478996.1|DSAN	LOC109414247|XP_029736327.1|AEAL, LOC115253939|XP_029708865.1|AEAL, LOC109420697|XP_019550692.1|AEAL
OG0002004	LOC120444803|XP_039480684.1|DSAN	LOC109420660|XP_019550626.2|AEAL
OG0002005	LOC120443902|XP_039479265.1|DSAN	LOC109420492|XP_029708637.1|AEAL, LOC109419733|XP_029708643.1|AEAL
OG0002006	LOC120444018|XP_039479443.1|DSAN	LOC115269356|XP_029733865.1|AEAL, LOC109420302|XP_029732976.1|AEAL, LOC109419769|XP_029708609.1|AEAL, LOC115255044|XP_029708632.1|AEAL
OG0002007	LOC120446368|XP_039483236.1|DSAN	LOC115261019|XP_029718245.1|AEAL, LOC109430154|XP_019561731.1|AEAL
OG0002008	LOC120454920|XP_039496597.1|DSAN	LOC109430176|XP_029727434.1|AEAL
OG0002009	LOC120445514|XP_039481905.1|DSAN	LOC109427576|XP_019558699.2|AEAL, LOC109432855|XP_019564749.2|AEAL, LOC115268908|XP_029732979.1|AEAL
OG0002010	LOC120454850|XP_039496303.1|DSAN	LOC109427591|XP_029727422.1|AEAL, LOC109621901|XP_019931649.2|AEAL
OG0002011	LOC120444989|XP_039480954.1|DSAN	LOC109431006|XP_019562675.2|AEAL, LOC115265222|XP_029725363.1|AEAL, LOC115266443|XP_029728532.1|AEAL, LOC109421438|XP_029727014.1|AEAL, LOC109432536|XP_019564411.2|AEAL
OG0002012	LOC120458716|XP_039502399.1|DSAN	LOC109423927|XP_019554535.1|AEAL, LOC109404813|XP_019533310.1|AEAL
OG0002013	LOC120446434|XP_039483334.1|DSAN	LOC109423906|XP_029727280.1|AEAL, LOC109404819|XP_029727242.1|AEAL
OG0002014	LOC120445068|XP_039481128.1|DSAN	LOC109421536|XP_029727097.1|AEAL
OG0002015	LOC120449360|XP_039487710.1|DSAN	LOC109421342|XP_019551395.1|AEAL, LOC109432570|XP_029726915.1|AEAL
OG0002016	LOC120458941|XP_039502734.1|DSAN	LOC109415848|XP_029720051.1|AEAL
OG0002017	LOC120458004|XP_039501433.1|DSAN	LOC109416795|XP_029720043.1|AEAL, LOC109402508|XP_029732812.1|AEAL
OG0002018	LOC120444003|XP_039479414.1|DSAN	LOC109429591|XP_029719953.1|AEAL, LOC115254140|XP_029724789.1|AEAL
OG0002019	LOC120456783|XP_039499733.1|DSAN	LOC109429555|XP_019561077.2|AEAL
OG0002020	LOC120446213|XP_039483002.1|DSAN	LOC109415452|XP_019544873.2|AEAL
OG0002021	LOC120445008|XP_039480994.1|DSAN	LOC109398549|XP_029720118.1|AEAL
OG0002022	LOC120457773|XP_039501204.1|DSAN	LOC109398356|XP_029720147.1|AEAL, LOC109429827|XP_019561352.1|AEAL, LOC109401755|XP_029710059.1|AEAL, LOC109406163|XP_019534776.2|AEAL
OG0002023	LOC120452104|XP_039492114.1|DSAN	LOC109429794|XP_029719779.1|AEAL, LOC109398275|XP_019526140.2|AEAL
OG0002024	LOC120456508|XP_039499312.1|DSAN	LOC109411701|XP_019540819.1|AEAL
OG0002025	LOC120450768|XP_039489858.1|DSAN	LOC109411738|XP_019540880.3|AEAL
OG0002026	LOC120448195|XP_039485995.1|DSAN	LOC109414170|XP_019543498.2|AEAL
OG0002027	LOC120444956|XP_039480900.1|DSAN	LOC115255674|XP_029709636.1|AEAL, LOC115254439|XP_029707790.1|AEAL, LOC109421746|XP_029709633.1|AEAL
OG0002028	LOC120446846|XP_039483973.1|DSAN	LOC109421752|XP_029707787.1|AEAL
OG0002029	LOC120449876|XP_039488485.1|DSAN	LOC109423263|XP_029709312.1|AEAL
OG0002030	LOC120444508|XP_039480159.1|DSAN	LOC115262698|XP_029721219.1|AEAL, LOC109623315|XP_019933386.1|AEAL, LOC109401290|XP_019529329.1|AEAL
OG0002031	LOC120446274|XP_039483089.1|DSAN	LOC109412046|XP_019541233.2|AEAL
OG0002032	LOC120454665|XP_039496110.1|DSAN	LOC115263976|XP_029723139.1|AEAL, LOC109427293|XP_029721389.1|AEAL
OG0002033	LOC120455518|XP_039497729.1|DSAN	LOC115263095|XP_029721873.1|AEAL, LOC115263947|XP_029723115.1|AEAL, LOC109426125|XP_029721558.1|AEAL, LOC109418409|XP_029723114.1|AEAL
OG0002034	LOC120457170|XP_039500386.1|DSAN	LOC109426160|XP_029721705.1|AEAL, LOC109426156|XP_029721662.1|AEAL, LOC109418423|XP_029721956.1|AEAL
OG0002035	LOC120450923|XP_039490123.1|DSAN	LOC109426175|XP_029722195.1|AEAL, LOC109418446|XP_019548182.2|AEAL, LOC115263232|XP_029722087.1|AEAL
OG0002036	LOC120452656|XP_039492909.1|DSAN	LOC115260472|XP_029717276.1|AEAL, LOC109407471|XP_029717229.1|AEAL, LOC109419243|XP_029723569.1|AEAL
OG0002037	LOC120448394|XP_039486315.1|DSAN	LOC109410442|XP_029725870.1|AEAL, LOC115256317|XP_029710420.1|AEAL
OG0002038	LOC120451507|XP_039491195.1|DSAN	LOC109410375|XP_019539473.2|AEAL
OG0002039	LOC120457533|XP_039501012.1|DSAN	LOC109414398|XP_019543750.2|AEAL, LOC109415396|XP_019544808.2|AEAL
OG0002040	LOC120457862|XP_039501311.1|DSAN	LOC109425025|XP_019555760.2|AEAL
OG0002041	LOC120444114|XP_039479578.1|DSAN	LOC109410906|XP_029730035.1|AEAL, LOC109411113|XP_029730603.1|AEAL, LOC115253916|XP_029730013.1|AEAL
OG0002042	LOC120453377|XP_039493986.1|DSAN	LOC109399298|XP_019527278.2|AEAL, LOC109433350|XP_019565322.2|AEAL
OG0002043	LOC120452963|XP_039493387.1|DSAN	LOC109413928|XP_019543205.2|AEAL, LOC109621289|XP_019931854.2|AEAL, LOC115254236|XP_029734177.1|AEAL
OG0002044	LOC120454689|XP_039496150.1|DSAN	LOC115269272|XP_029733687.1|AEAL, LOC109400364|XP_029733583.1|AEAL, LOC109432399|XP_029715538.1|AEAL
OG0002045	LOC120453302|XP_039493869.1|DSAN	LOC109416442|XP_029729673.1|AEAL, LOC115261564|XP_029719318.1|AEAL, LOC109622373|XP_029719311.1|AEAL
OG0002046	LOC120454901|XP_039496506.1|DSAN	LOC109416293|XP_029736172.1|AEAL
OG0002047	LOC120455355|XP_039497391.1|DSAN	LOC109416414|XP_029707563.1|AEAL, LOC115253755|XP_029727739.1|AEAL, LOC115266053|XP_029727760.1|AEAL, LOC109424021|XP_029727708.1|AEAL
OG0002048	LOC120453868|XP_039494707.1|DSAN	LOC109431922|XP_029727776.1|AEAL, LOC115266066|XP_029727788.1|AEAL
OG0002049	LOC120452591|XP_039492816.1|DSAN	LOC109422734|XP_029728099.1|AEAL, LOC115254159|XP_029727908.1|AEAL, LOC109431860|XP_029727923.1|AEAL
OG0002050	LOC120453928|XP_039494796.1|DSAN	LOC115264858|XP_029724751.1|AEAL, LOC109412333|XP_019541524.2|AEAL, LOC109422696|XP_029727884.1|AEAL
OG0002051	LOC120444624|XP_039480363.1|DSAN	LOC109402833|XP_019531111.2|AEAL
OG0002052	LOC120448875|XP_039487024.1|DSAN	LOC115257064|XP_029712215.1|AEAL
OG0002053	LOC120451741|XP_039491583.1|DSAN	LOC109398800|XP_019526757.1|AEAL, LOC115261372|XP_029718786.1|AEAL
OG0002054	LOC120450802|XP_039489904.1|DSAN	LOC109398827|XP_019526802.2|AEAL
OG0002055	LOC120451784|XP_039491668.1|DSAN	LOC115261446|XP_029718976.1|AEAL, LOC109427230|XP_019558281.2|AEAL, LOC115261426|XP_029718935.1|AEAL
OG0002056	LOC120449402|XP_039487782.1|DSAN	LOC115253572|XP_029718913.1|AEAL, LOC109411614|XP_029718965.1|AEAL, LOC109427247|XP_029715618.1|AEAL
OG0002057	LOC120447827|XP_039485350.1|DSAN	LOC115261409|XP_029718888.1|AEAL, LOC115261440|XP_029718962.1|AEAL, LOC109411619|XP_019540720.2|AEAL, LOC109427253|XP_019558324.2|AEAL
OG0002058	LOC120447985|XP_039485615.1|DSAN	LOC115254069|XP_029718910.1|AEAL, LOC109427254|XP_019558325.1|AEAL, LOC115261410|XP_029718889.1|AEAL, LOC109411620|XP_029718963.1|AEAL
OG0002059	LOC120453533|XP_039494219.1|DSAN	LOC109427256|XP_019558330.1|AEAL, LOC115261411|XP_029718893.1|AEAL, LOC115261415|XP_029718907.1|AEAL, LOC109411623|XP_029717160.1|AEAL
OG0002060	LOC120445879|XP_039482457.1|DSAN	LOC109427262|XP_029718897.1|AEAL, LOC109411628|XP_029717172.1|AEAL, LOC115261435|XP_029718951.1|AEAL
OG0002061	LOC120444926|XP_039480860.1|DSAN	LOC109427263|XP_029718950.1|AEAL, LOC109411629|XP_019540734.2|AEAL, LOC115261412|XP_029718895.1|AEAL
OG0002062	LOC120456161|XP_039498734.1|DSAN	LOC109404968|XP_029719247.1|AEAL
