Orthogroup	DSAN.longest_only	CPIP.longest_only
OG0000790	LOC120443927|XP_039479304.1|DSAN, LOC120443926|XP_039479303.1|DSAN	LOC120412832|XP_039429373.1|CPIP
OG0000791	LOC120451799|XP_039491688.1|DSAN, LOC120451390|XP_039490987.1|DSAN	LOC120421987|XP_039441235.1|CPIP, LOC120415555|XP_039433063.1|CPIP
OG0000792	LOC120458644|XP_039502307.1|DSAN	LOC120415597|XP_039433125.1|CPIP
OG0000793	LOC120450868|XP_039490025.1|DSAN, LOC120455917|XP_039498360.1|DSAN	LOC120423637|XP_039443443.1|CPIP
OG0000794	LOC120458949|XP_039502749.1|DSAN, LOC120455208|XP_039497100.1|DSAN	LOC120430634|XP_039451663.1|CPIP, LOC120430632|XP_039451661.1|CPIP, LOC120431042|XP_039452127.1|CPIP, LOC120430630|XP_039451659.1|CPIP, LOC120431043|XP_039452128.1|CPIP
OG0000796	LOC120452605|XP_039492836.1|DSAN, LOC120457242|XP_039500561.1|DSAN	LOC120432573|XP_039453733.1|CPIP
OG0000797	LOC120450781|XP_039489874.1|DSAN, LOC120454499|XP_039495784.1|DSAN	LOC120414099|XP_039431056.1|CPIP, LOC120419430|XP_039438042.1|CPIP
OG0000798	LOC120447178|XP_039484574.1|DSAN, LOC120447177|XP_039484570.1|DSAN	LOC120415294|XP_039432697.1|CPIP
OG0000799	LOC120453969|XP_039494854.1|DSAN, LOC120456459|XP_039499240.1|DSAN	LOC120424434|XP_039444488.1|CPIP, LOC120428134|XP_039449050.1|CPIP
OG0000801	LOC120445881|XP_039482462.1|DSAN, LOC120444270|XP_039479718.1|DSAN	LOC120431544|XP_039452587.1|CPIP
OG0000802	LOC120456940|XP_039500013.1|DSAN, LOC120455607|XP_039497922.1|DSAN	LOC120419165|XP_039437749.1|CPIP, LOC120419161|XP_039437744.1|CPIP, LOC120419173|XP_039437760.1|CPIP
OG0000803	LOC120455820|XP_039498222.1|DSAN, LOC120448514|XP_039486482.1|DSAN	LOC120412688|XP_039429199.1|CPIP
OG0000810	LOC120457617|XP_039501061.1|DSAN	LOC120430093|XP_039451114.1|CPIP, LOC120424339|XP_039444365.1|CPIP
OG0000811	LOC120444327|XP_039479813.1|DSAN	LOC120430979|XP_039452051.1|CPIP
OG0000812	LOC120455352|XP_039497379.1|DSAN, LOC120450359|XP_039489275.1|DSAN	LOC120427000|XP_039447755.1|CPIP
OG0000813	LOC120446280|XP_039483104.1|DSAN	LOC120416571|XP_039434239.1|CPIP
OG0000814	LOC120445121|XP_039481202.1|DSAN	LOC120419319|XP_039437923.1|CPIP, LOC120414046|XP_039431001.1|CPIP
OG0000815	LOC120458043|XP_039501486.1|DSAN	LOC120420094|XP_039438966.1|CPIP, LOC120420412|XP_039439366.1|CPIP, LOC120419953|XP_039438750.1|CPIP, LOC120419959|XP_039438759.1|CPIP
OG0000816	LOC120456056|XP_039498572.1|DSAN, LOC120450930|XP_039490130.1|DSAN	LOC120415564|XP_039433070.1|CPIP
OG0000817	LOC120453171|XP_039493665.1|DSAN, LOC120453172|XP_039493666.1|DSAN	LOC120432393|XP_039453522.1|CPIP
OG0000818	LOC120456248|XP_039498903.1|DSAN, LOC120457839|XP_039501313.1|DSAN	LOC120420870|XP_039439923.1|CPIP, LOC120417437|XP_039435412.1|CPIP
OG0000820	LOC120455095|XP_039496906.1|DSAN, LOC120446226|XP_039483027.1|DSAN	LOC120418431|XP_039436744.1|CPIP
OG0000821	LOC120452061|XP_039492058.1|DSAN, LOC120446324|XP_039483174.1|DSAN	LOC120414923|XP_039432191.1|CPIP
OG0000822	LOC120447780|XP_039485268.1|DSAN, LOC120455573|XP_039497878.1|DSAN	LOC120428520|XP_039449477.1|CPIP, LOC120416210|XP_039433836.1|CPIP
OG0000831	LOC120448994|XP_039487194.1|DSAN	LOC120427282|XP_039448065.1|CPIP, LOC120427278|XP_039448062.1|CPIP, LOC120414834|XP_039432094.1|CPIP
OG0000832	LOC120444575|XP_039480270.1|DSAN	LOC120421010|XP_039440062.1|CPIP
OG0000833	LOC120450279|XP_039489129.1|DSAN	LOC120422698|XP_039442145.1|CPIP
OG0000834	LOC120452176|XP_039492218.1|DSAN	LOC120418860|XP_039437327.1|CPIP
OG0000836	LOC120444786|XP_039480663.1|DSAN, LOC120446466|XP_039483405.1|DSAN	LOC120415979|XP_039433566.1|CPIP
OG0000837	LOC120444654|XP_039480428.1|DSAN	LOC120417498|XP_039435509.1|CPIP
OG0000839	LOC120454532|XP_039495840.1|DSAN, LOC120451944|XP_039491897.1|DSAN	LOC120413954|XP_039430891.1|CPIP
OG0000840	LOC120458694|XP_039502372.1|DSAN, LOC120455729|XP_039498077.1|DSAN	LOC120423439|XP_039443189.1|CPIP
OG0000843	LOC120444653|XP_039480427.1|DSAN	LOC120431268|XP_039452336.1|CPIP
OG0000844	LOC120444529|XP_039480210.1|DSAN, LOC120453662|XP_039494404.1|DSAN	LOC120414979|XP_039432248.1|CPIP
OG0000845	LOC120455685|XP_039498028.1|DSAN, LOC120455684|XP_039498027.1|DSAN	LOC120417392|XP_039435347.1|CPIP, LOC120417419|XP_039435396.1|CPIP
OG0000854	LOC120456889|XP_039499921.1|DSAN, LOC120456885|XP_039499915.1|DSAN	LOC120432213|XP_039453307.1|CPIP
OG0000855	LOC120456587|XP_039499429.1|DSAN, LOC120452454|XP_039492618.1|DSAN	LOC120419350|XP_039437982.1|CPIP
OG0000856	LOC120456765|XP_039499697.1|DSAN, LOC120448942|XP_039487120.1|DSAN	LOC120421057|XP_039440135.1|CPIP
OG0000857	LOC120456001|XP_039498491.1|DSAN	LOC120424313|XP_039444331.1|CPIP, LOC120418642|XP_039437022.1|CPIP
OG0000858	LOC120454674|XP_039496124.1|DSAN, LOC120454671|XP_039496121.1|DSAN	LOC120426684|XP_039447392.1|CPIP
OG0000860	LOC120447951|XP_039485571.1|DSAN, LOC120448017|XP_039485680.1|DSAN	LOC120428391|XP_039449328.1|CPIP
OG0000861	LOC120445935|XP_039482533.1|DSAN	LOC120428748|XP_039449764.1|CPIP
OG0000862	LOC120445067|XP_039481127.1|DSAN, LOC120449568|XP_039488058.1|DSAN	LOC120418915|XP_039437380.1|CPIP
OG0000863	LOC120452710|XP_039493008.1|DSAN, LOC120451101|XP_039490441.1|DSAN	LOC120412605|XP_039429087.1|CPIP
OG0000865	LOC120457342|XP_039500785.1|DSAN, LOC120454494|XP_039495776.1|DSAN	LOC120423669|XP_039443489.1|CPIP
OG0000866	LOC120458947|XP_039502742.1|DSAN, LOC120458948|XP_039502745.1|DSAN	LOC120422619|XP_039442049.1|CPIP
OG0000867	LOC120458860|XP_039502624.1|DSAN, LOC120456126|XP_039498692.1|DSAN	LOC120413111|XP_039429751.1|CPIP
OG0000868	LOC120456055|XP_039498570.1|DSAN	LOC120419336|XP_039437941.1|CPIP, LOC120414763|XP_039432009.1|CPIP
OG0000869	LOC120450850|XP_039489994.1|DSAN	LOC120431030|XP_039452116.1|CPIP
OG0000871	LOC120444943|XP_039480880.1|DSAN	LOC120416744|XP_039434513.1|CPIP
OG0000872	LOC120455959|XP_039498435.1|DSAN, LOC120444483|XP_039480097.1|DSAN	LOC120418438|XP_039436780.1|CPIP
OG0000873	LOC120448886|XP_039487036.1|DSAN	LOC120414951|XP_039432215.1|CPIP, LOC120423917|XP_039443832.1|CPIP, LOC120414941|XP_039432205.1|CPIP
OG0000874	LOC120455890|XP_039498317.1|DSAN, LOC120445218|XP_039481407.1|DSAN	LOC120423682|XP_039443508.1|CPIP
OG0000875	LOC120449630|XP_039488152.1|DSAN	LOC120429100|XP_039450197.1|CPIP
OG0000882	LOC120456525|XP_039499328.1|DSAN, LOC120457818|XP_039501248.1|DSAN	LOC120415611|XP_039433139.1|CPIP
OG0000883	LOC120456738|XP_039499661.1|DSAN	LOC120419054|XP_039437562.1|CPIP, LOC120420051|XP_039438897.1|CPIP, LOC120425029|XP_039445334.1|CPIP, LOC120421899|XP_039441131.1|CPIP, LOC120420379|XP_039439326.1|CPIP
OG0000884	LOC120458906|XP_039502686.1|DSAN, LOC120457285|XP_039500661.1|DSAN	LOC120427201|XP_039447995.1|CPIP
OG0000885	LOC120451838|XP_039491748.1|DSAN	LOC120424055|XP_039444010.1|CPIP, LOC120424044|XP_039444000.1|CPIP, LOC120424045|XP_039444001.1|CPIP
OG0000887	LOC120456689|XP_039499587.1|DSAN	LOC120420686|XP_039439715.1|CPIP, LOC120420673|XP_039439704.1|CPIP, LOC120425775|XP_039446321.1|CPIP
OG0000888	LOC120447461|XP_039484775.1|DSAN	LOC120412402|XP_039428795.1|CPIP
OG0000889	LOC120449582|XP_039488072.1|DSAN	LOC120418561|XP_039436926.1|CPIP
OG0000890	LOC120445596|XP_039482028.1|DSAN	LOC120422694|XP_039442137.1|CPIP
OG0000891	LOC120453799|XP_039494648.1|DSAN, LOC120453967|XP_039494856.1|DSAN	LOC120413113|XP_039429753.1|CPIP
OG0000892	LOC120449958|XP_039488593.1|DSAN, LOC120447954|XP_039485575.1|DSAN	LOC120428476|XP_039449427.1|CPIP
OG0000893	LOC120452311|XP_039492395.1|DSAN	LOC120414042|XP_039431000.1|CPIP, LOC120415367|XP_039432803.1|CPIP, LOC120413619|XP_039430463.1|CPIP, LOC120414024|XP_039430983.1|CPIP, LOC120414031|XP_039430990.1|CPIP, LOC120413628|XP_039430476.1|CPIP
OG0000894	LOC120454624|XP_039496026.1|DSAN	LOC120412970|XP_039429552.1|CPIP
OG0000895	LOC120445658|XP_039482137.1|DSAN	LOC120430631|XP_039451660.1|CPIP, LOC120431041|XP_039452126.1|CPIP
OG0000896	LOC120455968|XP_039498448.1|DSAN, LOC120444331|XP_039479820.1|DSAN	LOC120422176|XP_039441485.1|CPIP
OG0000907	LOC120444657|XP_039480431.1|DSAN	LOC120422532|XP_039441927.1|CPIP
OG0000909	LOC120455926|XP_039498387.1|DSAN, LOC120452531|XP_039492729.1|DSAN	LOC120424456|XP_039444523.1|CPIP
OG0000910	LOC120451624|XP_039491411.1|DSAN, LOC120455598|XP_039497906.1|DSAN	LOC120432597|XP_039453770.1|CPIP
OG0000911	LOC120445177|XP_039481324.1|DSAN	LOC120417462|XP_039435459.1|CPIP
OG0000912	LOC120449325|XP_039487657.1|DSAN, LOC120449830|XP_039488413.1|DSAN	LOC120418557|XP_039436921.1|CPIP
OG0000913	LOC120448753|XP_039486871.1|DSAN	LOC120426921|XP_039447661.1|CPIP
OG0000913	LOC120448754|XP_039486872.1|DSAN	LOC120418826|XP_039437276.1|CPIP
OG0000914	LOC120445632|XP_039482093.1|DSAN	LOC120418298|XP_039436562.1|CPIP, LOC120418292|XP_039436556.1|CPIP, LOC120418291|XP_039436554.1|CPIP, LOC120418294|XP_039436558.1|CPIP, LOC120418293|XP_039436557.1|CPIP, LOC120419858|XP_039438629.1|CPIP
OG0000915	LOC120445399|XP_039481743.1|DSAN, LOC120455056|XP_039496843.1|DSAN	LOC120416134|XP_039433742.1|CPIP, LOC120423137|XP_039442750.1|CPIP
OG0000916	LOC120448894|XP_039487049.1|DSAN	LOC120419180|XP_039437774.1|CPIP, LOC120419181|XP_039437782.1|CPIP
OG0000917	LOC120457517|XP_039500999.1|DSAN, LOC120457589|XP_039501032.1|DSAN, LOC120443759|XP_039478980.1|DSAN	LOC120414568|XP_039431721.1|CPIP
OG0000918	LOC120458079|XP_039501527.1|DSAN, LOC120458795|XP_039502522.1|DSAN	LOC120420514|XP_039439508.1|CPIP, LOC120413898|XP_039430809.1|CPIP
OG0000920	LOC120455269|XP_039497204.1|DSAN	LOC120415401|XP_039432861.1|CPIP, LOC120415381|XP_039432839.1|CPIP, LOC120415349|XP_039432772.1|CPIP, LOC120415392|XP_039432852.1|CPIP, LOC120415348|XP_039432771.1|CPIP, LOC120415389|XP_039432846.1|CPIP, LOC120430879|XP_039451942.1|CPIP
OG0000921	LOC120455312|XP_039497296.1|DSAN, LOC120455529|XP_039497753.1|DSAN	LOC120413978|XP_039430918.1|CPIP
OG0000922	LOC120449549|XP_039488010.1|DSAN	LOC120422036|XP_039441299.1|CPIP
OG0000923	LOC120449799|XP_039488378.1|DSAN, LOC120452812|XP_039493149.1|DSAN	LOC120423161|XP_039442776.1|CPIP, LOC120429725|XP_039450705.1|CPIP
OG0000924	LOC120457146|XP_039500351.1|DSAN	LOC120418575|XP_039436954.1|CPIP
OG0000925	LOC120452943|XP_039493359.1|DSAN, LOC120452942|XP_039493357.1|DSAN	LOC120423899|XP_039443814.1|CPIP, LOC120423887|XP_039443795.1|CPIP
OG0000935	LOC120454172|XP_039495186.1|DSAN	LOC120413347|XP_039430059.1|CPIP
OG0000936	LOC120456108|XP_039498655.1|DSAN	LOC120424541|XP_039444639.1|CPIP
OG0000937	LOC120453196|XP_039493703.1|DSAN	LOC120421436|XP_039440578.1|CPIP, LOC120423044|XP_039442646.1|CPIP
OG0000938	LOC120446366|XP_039483232.1|DSAN, LOC120457616|XP_039501060.1|DSAN, LOC120456793|XP_039499746.1|DSAN	LOC120418068|XP_039436262.1|CPIP
OG0000939	LOC120444100|XP_039479561.1|DSAN, LOC120443996|XP_039479408.1|DSAN	LOC120429750|XP_039451052.1|CPIP
OG0000941	LOC120454414|XP_039495618.1|DSAN, LOC120456665|XP_039499539.1|DSAN	LOC120416887|XP_039434719.1|CPIP
OG0000942	LOC120448252|XP_039486098.1|DSAN	LOC120420666|XP_039439697.1|CPIP
OG0000943	LOC120446599|XP_039483563.1|DSAN	LOC120419988|XP_039438800.1|CPIP
OG0000944	LOC120455886|XP_039498313.1|DSAN, LOC120451710|XP_039491549.1|DSAN	LOC120414476|XP_039431604.1|CPIP
OG0000945	LOC120449724|XP_039488286.1|DSAN, LOC120449723|XP_039488285.1|DSAN	LOC120422285|XP_039441609.1|CPIP
OG0000946	LOC120446102|XP_039482832.1|DSAN	LOC120428439|XP_039449389.1|CPIP, LOC120427626|XP_039448449.1|CPIP
OG0000947	LOC120446316|XP_039483166.1|DSAN	LOC120427061|XP_039447834.1|CPIP, LOC120421155|XP_039440279.1|CPIP, LOC120421145|XP_039440268.1|CPIP, LOC120421144|XP_039440267.1|CPIP
OG0000948	LOC120447544|XP_039484924.1|DSAN	LOC120413180|XP_039429827.1|CPIP
OG0000949	LOC120457290|XP_039500675.1|DSAN	LOC120419243|XP_039437835.1|CPIP, LOC120419259|XP_039437851.1|CPIP
OG0000950	LOC120453981|XP_039494869.1|DSAN	LOC120423626|XP_039443431.1|CPIP
OG0000951	LOC120454644|XP_039496079.1|DSAN	LOC120424899|XP_039445123.1|CPIP, LOC120432196|XP_039453284.1|CPIP
OG0000952	LOC120443821|XP_039479096.1|DSAN	LOC120417629|XP_039435675.1|CPIP
OG0000963	LOC120455594|XP_039497901.1|DSAN	LOC120432205|XP_039453301.1|CPIP, LOC120432197|XP_039453288.1|CPIP, LOC120432186|XP_039453264.1|CPIP
OG0000964	LOC120446394|XP_039483265.1|DSAN	LOC120432247|XP_039453355.1|CPIP, LOC120425740|XP_039446280.1|CPIP
OG0000965	LOC120456306|XP_039498988.1|DSAN	LOC120412464|XP_039428876.1|CPIP
OG0000966	LOC120446275|XP_039483092.1|DSAN, LOC120451682|XP_039491498.1|DSAN	LOC120418083|XP_039436275.1|CPIP, LOC120419866|XP_039438651.1|CPIP
OG0000968	LOC120448664|XP_039486733.1|DSAN	LOC120413224|XP_039429884.1|CPIP, LOC120413265|XP_039429927.1|CPIP
OG0000969	LOC120445060|XP_039481119.1|DSAN, LOC120451969|XP_039491929.1|DSAN	LOC120422701|XP_039442146.1|CPIP
OG0000970	LOC120452588|XP_039492810.1|DSAN	LOC120412746|XP_039429272.1|CPIP, LOC120414836|XP_039432096.1|CPIP, LOC120416782|XP_039434584.1|CPIP
OG0000971	LOC120446029|XP_039482723.1|DSAN	LOC120412655|XP_039429144.1|CPIP, LOC120420893|XP_039439948.1|CPIP
OG0000972	LOC120449099|XP_039487341.1|DSAN, LOC120456843|XP_039499832.1|DSAN	LOC120415719|XP_039433248.1|CPIP
OG0000973	LOC120456547|XP_039499360.1|DSAN	LOC120415145|XP_039432513.1|CPIP, LOC120415146|XP_039432515.1|CPIP, LOC120429862|XP_039450871.1|CPIP
OG0000974	LOC120448578|XP_039486582.1|DSAN	LOC120415931|XP_039433510.1|CPIP, LOC120415915|XP_039433495.1|CPIP, LOC120415929|XP_039433509.1|CPIP, LOC120415934|XP_039433514.1|CPIP, LOC120415935|XP_039433515.1|CPIP
OG0000975	LOC120454476|XP_039495743.1|DSAN, LOC120454475|XP_039495742.1|DSAN	LOC120424400|XP_039444433.1|CPIP
OG0000978	LOC120450937|XP_039490138.1|DSAN	LOC120414919|XP_039432185.1|CPIP
OG0000981	LOC120456303|XP_039498984.1|DSAN	LOC120421034|XP_039440105.1|CPIP
OG0000988	LOC120452839|XP_039493240.1|DSAN	LOC120421063|XP_039440142.1|CPIP
OG0000990	LOC120451095|XP_039490434.1|DSAN, LOC120455100|XP_039496910.1|DSAN	LOC120420232|XP_039439155.1|CPIP
OG0000991	LOC120457286|XP_039500666.1|DSAN	LOC120422538|XP_039441935.1|CPIP, LOC120417786|XP_039435882.1|CPIP
OG0000992	LOC120454236|XP_039495274.1|DSAN	LOC120423852|XP_039443737.1|CPIP
OG0000993	LOC120453696|XP_039494451.1|DSAN, LOC120453599|XP_039494298.1|DSAN	LOC120430226|XP_039451240.1|CPIP
OG0000994	LOC120456742|XP_039499666.1|DSAN	LOC120424683|XP_039444794.1|CPIP, LOC120424625|XP_039444724.1|CPIP
OG0000995	LOC120452296|XP_039492365.1|DSAN, LOC120455545|XP_039497816.1|DSAN	LOC120427566|XP_039448374.1|CPIP
OG0000996	LOC120446908|XP_039484069.1|DSAN	LOC120427074|XP_039447850.1|CPIP
OG0000997	LOC120446528|XP_039483474.1|DSAN	LOC120420924|XP_039439987.1|CPIP
OG0000998	LOC120447516|XP_039484869.1|DSAN	LOC120424650|XP_039444755.1|CPIP, LOC120424647|XP_039444749.1|CPIP
OG0000999	LOC120445343|XP_039481614.1|DSAN, LOC120455345|XP_039497368.1|DSAN	LOC120423615|XP_039443416.1|CPIP
OG0001000	LOC120454284|XP_039495404.1|DSAN	LOC120424549|XP_039444648.1|CPIP
OG0001001	LOC120445948|XP_039482562.1|DSAN	LOC120419379|XP_039437985.1|CPIP, LOC120419368|XP_039437971.1|CPIP, LOC120428792|XP_039449824.1|CPIP
OG0001002	LOC120446278|XP_039483095.1|DSAN	LOC120420795|XP_039439844.1|CPIP, LOC120420762|XP_039439801.1|CPIP, LOC120419729|XP_039438460.1|CPIP
OG0001003	LOC120451690|XP_039491517.1|DSAN, LOC120444117|XP_039479584.1|DSAN	LOC120417872|XP_039436027.1|CPIP
OG0001004	LOC120452436|XP_039492597.1|DSAN, LOC120450853|XP_039490000.1|DSAN	LOC120427940|XP_039448820.1|CPIP
OG0001006	LOC120451890|XP_039491830.1|DSAN, LOC120448928|XP_039487098.1|DSAN	LOC120412343|XP_039428677.1|CPIP
OG0001007	LOC120444674|XP_039480464.1|DSAN	LOC120412364|XP_039428722.1|CPIP
OG0001008	LOC120452298|XP_039492368.1|DSAN, LOC120457233|XP_039500548.1|DSAN	LOC120425096|XP_039445425.1|CPIP
OG0001009	LOC120453776|XP_039494551.1|DSAN, LOC120452783|XP_039493109.1|DSAN	LOC120422414|XP_039441762.1|CPIP
OG0001019	LOC120453195|XP_039493697.1|DSAN	LOC120431968|XP_039453040.1|CPIP, LOC120426070|XP_039446688.1|CPIP, LOC120420148|XP_039439078.1|CPIP
OG0001020	LOC120456345|XP_039499062.1|DSAN, LOC120456344|XP_039499060.1|DSAN	LOC120432292|XP_039453413.1|CPIP, LOC120432291|XP_039453412.1|CPIP, LOC120432246|XP_039453354.1|CPIP, LOC120432290|XP_039453411.1|CPIP
OG0001021	LOC120452294|XP_039492367.1|DSAN	LOC120414374|XP_039431472.1|CPIP, LOC120415238|XP_039432635.1|CPIP, LOC120422475|XP_039441864.1|CPIP, LOC120422464|XP_039441851.1|CPIP
OG0001022	LOC120453436|XP_039494078.1|DSAN, LOC120455555|XP_039497835.1|DSAN	LOC120418094|XP_039436296.1|CPIP, LOC120419901|XP_039438703.1|CPIP
OG0001024	LOC120452486|XP_039492668.1|DSAN	LOC120427860|XP_039448711.1|CPIP, LOC120418640|XP_039437020.1|CPIP
OG0001025	LOC120449332|XP_039487665.1|DSAN	LOC120425358|XP_039445799.1|CPIP, LOC120429619|XP_039450584.1|CPIP
OG0001026	LOC120444133|XP_039479632.1|DSAN	LOC120422301|XP_039441626.1|CPIP, LOC120422302|XP_039441627.1|CPIP
OG0001027	LOC120450533|XP_039489556.1|DSAN	LOC120416048|XP_039433643.1|CPIP, LOC120423608|XP_039443408.1|CPIP, LOC120423611|XP_039443410.1|CPIP, LOC120416052|XP_039433646.1|CPIP
OG0001028	LOC120458808|XP_039502538.1|DSAN	LOC120427120|XP_039447907.1|CPIP, LOC120425132|XP_039445491.1|CPIP
OG0001029	LOC120447222|XP_039484675.1|DSAN	LOC120428402|XP_039449350.1|CPIP, LOC120423780|XP_039443632.1|CPIP, LOC120419109|XP_039437637.1|CPIP, LOC120417576|XP_039435621.1|CPIP
OG0001031	LOC120446002|XP_039482669.1|DSAN	LOC120422610|XP_039442034.1|CPIP
OG0001032	LOC120458909|XP_039502692.1|DSAN	LOC120420748|XP_039439778.1|CPIP
OG0001033	LOC120449125|XP_039487372.1|DSAN	LOC120412515|XP_039428945.1|CPIP
OG0001042	LOC120453353|XP_039493959.1|DSAN	LOC120415636|XP_039433169.1|CPIP, LOC120415634|XP_039433167.1|CPIP
OG0001043	LOC120455994|XP_039498486.1|DSAN	LOC120428461|XP_039449409.1|CPIP, LOC120428460|XP_039449408.1|CPIP
OG0001044	LOC120458750|XP_039502456.1|DSAN	LOC120430637|XP_039451667.1|CPIP, LOC120414295|XP_039431364.1|CPIP, LOC120431058|XP_039452146.1|CPIP, LOC120423322|XP_039443017.1|CPIP, LOC120426241|XP_039446912.1|CPIP
OG0001045	LOC120446449|XP_039483373.1|DSAN	LOC120418895|XP_039437360.1|CPIP, LOC120418897|XP_039437362.1|CPIP, LOC120418896|XP_039437361.1|CPIP
OG0001046	LOC120444454|XP_039480052.1|DSAN, LOC120444453|XP_039480051.1|DSAN	LOC120414288|XP_039431353.1|CPIP
OG0001047	LOC120444776|XP_039480645.1|DSAN	LOC120419261|XP_039437850.1|CPIP
OG0001048	LOC120444290|XP_039479742.1|DSAN	LOC120427460|XP_039448272.1|CPIP, LOC120415347|XP_039432770.1|CPIP, LOC120415491|XP_039432993.1|CPIP
OG0001049	LOC120448287|XP_039486155.1|DSAN	LOC120418908|XP_039437369.1|CPIP
OG0001050	LOC120449866|XP_039488460.1|DSAN	LOC120424973|XP_039445263.1|CPIP
OG0001051	LOC120450476|XP_039489458.1|DSAN	LOC120428680|XP_039449673.1|CPIP
OG0001052	LOC120458457|XP_039502039.1|DSAN	LOC120423094|XP_039442705.1|CPIP
OG0001053	LOC120455309|XP_039497293.1|DSAN	LOC120414310|XP_039431383.1|CPIP
OG0001054	LOC120453611|XP_039494320.1|DSAN	LOC120426826|XP_039447547.1|CPIP
OG0001056	LOC120447232|XP_039484692.1|DSAN, LOC120456120|XP_039498681.1|DSAN	LOC120418272|XP_039436525.1|CPIP
OG0001057	LOC120447044|XP_039484345.1|DSAN	LOC120430572|XP_039451611.1|CPIP
OG0001058	LOC120456498|XP_039499300.1|DSAN	LOC120416636|XP_039434382.1|CPIP
OG0001059	LOC120449208|XP_039487507.1|DSAN	LOC120415206|XP_039432595.1|CPIP
OG0001072	LOC120456585|XP_039499425.1|DSAN	LOC120432331|XP_039453453.1|CPIP
OG0001073	LOC120454273|XP_039495371.1|DSAN	LOC120431391|XP_039452478.1|CPIP
OG0001074	LOC120446558|XP_039483510.1|DSAN	LOC120414966|XP_039432232.1|CPIP
OG0001077	LOC120457600|XP_039501044.1|DSAN, LOC120449248|XP_039487557.1|DSAN	LOC120425417|XP_039445881.1|CPIP
OG0001078	LOC120456502|XP_039499303.1|DSAN	LOC120417092|XP_039435005.1|CPIP, LOC120418041|XP_039436223.1|CPIP
OG0001079	LOC120450169|XP_039488951.1|DSAN	LOC120413721|XP_039430582.1|CPIP
OG0001080	LOC120449717|XP_039488273.1|DSAN	LOC120424184|XP_039444173.1|CPIP
OG0001081	LOC120450864|XP_039490021.1|DSAN	LOC120424185|XP_039444176.1|CPIP, LOC120422819|XP_039442287.1|CPIP
OG0001082	LOC120444412|XP_039479969.1|DSAN	LOC120422638|XP_039442070.1|CPIP
OG0001083	LOC120449530|XP_039487984.1|DSAN	LOC120424383|XP_039444416.1|CPIP
OG0001084	LOC120455461|XP_039497657.1|DSAN	LOC120414378|XP_039431483.1|CPIP, LOC120428045|XP_039448942.1|CPIP, LOC120415730|XP_039433256.1|CPIP
OG0001085	LOC120458914|XP_039502697.1|DSAN	LOC120429944|XP_039450976.1|CPIP
OG0001086	LOC120452319|XP_039492406.1|DSAN, LOC120444673|XP_039480463.1|DSAN	LOC120420100|XP_039438981.1|CPIP
OG0001087	LOC120443869|XP_039479170.1|DSAN, LOC120444698|XP_039480504.1|DSAN	LOC120412412|XP_039428808.1|CPIP
OG0001088	LOC120447616|XP_039485043.1|DSAN, LOC120450317|XP_039489205.1|DSAN	LOC120418521|XP_039436891.1|CPIP, LOC120414624|XP_039431791.1|CPIP
OG0001089	LOC120447557|XP_039484944.1|DSAN	LOC120424839|XP_039445003.1|CPIP
OG0001090	LOC120448541|XP_039486520.1|DSAN	LOC120423504|XP_039443279.1|CPIP, LOC120423512|XP_039443287.1|CPIP, LOC120431958|XP_039453026.1|CPIP, LOC120423513|XP_039443290.1|CPIP
OG0001092	LOC120458364|XP_039501912.1|DSAN	LOC120413539|XP_039430351.1|CPIP
OG0001093	LOC120458873|XP_039502644.1|DSAN	LOC120413540|XP_039430353.1|CPIP
OG0001094	LOC120455016|XP_039496779.1|DSAN	LOC120413630|XP_039430474.1|CPIP
OG0001095	LOC120444920|XP_039480848.1|DSAN	LOC120417378|XP_039435329.1|CPIP, LOC120417361|XP_039435306.1|CPIP, LOC120417357|XP_039435303.1|CPIP
OG0001096	LOC120446582|XP_039483538.1|DSAN	LOC120424098|XP_039444044.1|CPIP, LOC120431700|XP_039452749.1|CPIP, LOC120431699|XP_039452748.1|CPIP, LOC120424107|XP_039444051.1|CPIP
OG0001097	LOC120444063|XP_039479508.1|DSAN	LOC120415700|XP_039433225.1|CPIP
OG0001099	LOC120449298|XP_039487623.1|DSAN	LOC120419084|XP_039437601.1|CPIP
OG0001100	LOC120453952|XP_039494832.1|DSAN, LOC120453966|XP_039494852.1|DSAN, LOC120447083|XP_039484416.1|DSAN	LOC120415264|XP_039432666.1|CPIP
OG0001101	LOC120446909|XP_039484079.1|DSAN	LOC120425311|XP_039445716.1|CPIP
OG0001102	LOC120448491|XP_039486455.1|DSAN	LOC120414050|XP_039431003.1|CPIP, LOC120414045|XP_039430999.1|CPIP
OG0001103	LOC120453655|XP_039494383.1|DSAN	LOC120416829|XP_039434650.1|CPIP
OG0001104	LOC120446512|XP_039483454.1|DSAN	LOC120432582|XP_039453752.1|CPIP
OG0001105	LOC120455850|XP_039498254.1|DSAN, LOC120446944|XP_039484127.1|DSAN	LOC120432555|XP_039453718.1|CPIP
OG0001106	LOC120454932|XP_039496623.1|DSAN	LOC120431888|XP_039452951.1|CPIP, LOC120422223|XP_039441542.1|CPIP
OG0001118	LOC120455275|XP_039497230.1|DSAN	LOC120413330|XP_039430037.1|CPIP
OG0001120	LOC120453326|XP_039493920.1|DSAN	LOC120423577|XP_039443370.1|CPIP, LOC120425386|XP_039445836.1|CPIP
