Orthogroup	DSAN.longest_only	CQUI.longest_only
OG0000730	LOC120457188|XP_039500467.1|DSAN, LOC120446969|XP_039484176.1|DSAN	LOC6031123|XP_001841967.1|CQUI
OG0000731	LOC120449379|XP_039487747.1|DSAN, LOC120446487|XP_039483426.1|DSAN	LOC6043928|XP_001861511.1|CQUI
OG0000732	LOC120448613|XP_039486658.1|DSAN, LOC120448612|XP_039486657.1|DSAN	LOC6041983|XP_001851156.1|CQUI
OG0000733	LOC120452722|XP_039493020.1|DSAN, LOC120448293|XP_039486165.1|DSAN	LOC6047563|XP_001864598.2|CQUI
OG0000734	LOC120456995|XP_039500081.1|DSAN, LOC120450499|XP_039489480.1|DSAN	LOC6052234|XP_038116578.1|CQUI
OG0000735	LOC120456631|XP_039499488.1|DSAN, LOC120447158|XP_039484547.1|DSAN	LOC6044469|XP_001861983.1|CQUI
OG0000736	LOC120444109|XP_039479571.1|DSAN, LOC120444110|XP_039479573.1|DSAN	LOC6037099|XP_038112503.1|CQUI
OG0000738	LOC120446122|XP_039482884.1|DSAN, LOC120453163|XP_039493660.1|DSAN	LOC6036448|XP_001846499.1|CQUI
OG0000739	LOC120451554|XP_039491288.1|DSAN, LOC120451553|XP_039491287.1|DSAN	LOC6036343|XP_038110352.1|CQUI
OG0000740	LOC120451164|XP_039490534.1|DSAN	LOC6038854|XP_038113339.1|CQUI
OG0000741	LOC120455249|XP_039497179.1|DSAN, LOC120452622|XP_039492862.1|DSAN	LOC6038156|XP_038115491.1|CQUI, LOC6038158|XP_001847991.2|CQUI
OG0000742	LOC120456342|XP_039499055.1|DSAN, LOC120456343|XP_039499059.1|DSAN	LOC6046871|XP_038115688.1|CQUI
OG0000743	LOC120450399|XP_039489328.1|DSAN, LOC120446654|XP_039483659.1|DSAN	LOC6050273|XP_001866910.2|CQUI
OG0000744	LOC120445341|XP_039481611.1|DSAN	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI
OG0000746	LOC120450433|XP_039489380.1|DSAN, LOC120458786|XP_039502501.1|DSAN	LOC6043117|XP_001855912.2|CQUI
OG0000753	LOC120451405|XP_039491007.1|DSAN, LOC120448620|XP_039486666.1|DSAN	LOC6048959|XP_038122824.1|CQUI
OG0000754	LOC120455549|XP_039497823.1|DSAN, LOC120456428|XP_039499194.1|DSAN	LOC6049897|XP_001866577.2|CQUI
OG0000756	LOC120452282|XP_039492347.1|DSAN	LOC6046145|XP_001863379.2|CQUI
OG0000756	LOC120452261|XP_039492325.1|DSAN	LOC6052700|XP_001868927.1|CQUI
OG0000757	LOC120449687|XP_039488237.1|DSAN	LOC6046554|XP_038118070.1|CQUI
OG0000758	LOC120448310|XP_039486189.1|DSAN, LOC120448308|XP_039486186.1|DSAN	LOC6040607|XP_038119298.1|CQUI
OG0000761	LOC120458100|XP_039501561.1|DSAN, LOC120447786|XP_039485279.1|DSAN	LOC6033760|XP_038107373.1|CQUI
OG0000762	LOC120443783|XP_039479046.1|DSAN, LOC120452096|XP_039492108.1|DSAN	LOC6037908|XP_001847768.1|CQUI
OG0000764	LOC120454708|XP_039496187.1|DSAN, LOC120455673|XP_039498009.1|DSAN	LOC6039471|XP_038122347.1|CQUI
OG0000765	LOC120448567|XP_039486557.1|DSAN, LOC120455465|XP_039497620.1|DSAN	LOC6049633|XP_038120394.1|CQUI
OG0000766	LOC120451292|XP_039490783.1|DSAN, LOC120456772|XP_039499703.1|DSAN	LOC6046669|XP_001863836.1|CQUI
OG0000767	LOC120454112|XP_039495075.1|DSAN, LOC120449383|XP_039487752.1|DSAN	LOC6033818|XP_001844213.2|CQUI
OG0000768	LOC120449035|XP_039487252.1|DSAN	LOC6037757|XP_038118780.1|CQUI
OG0000769	LOC120453946|XP_039494825.1|DSAN, LOC120456317|XP_039499005.1|DSAN	LOC6036915|XP_001846890.2|CQUI
OG0000770	LOC120443993|XP_039479405.1|DSAN	LOC119766679|XP_038107821.1|CQUI, LOC6032313|XP_001842945.1|CQUI
OG0000771	LOC120450627|XP_039489709.1|DSAN, LOC120450626|XP_039489708.1|DSAN	LOC6037662|XP_038113592.1|CQUI
OG0000778	LOC120450456|XP_039489410.1|DSAN	LOC6038198|XP_038117770.1|CQUI
OG0000779	LOC120455935|XP_039498398.1|DSAN	LOC6051382|XP_038104144.1|CQUI, LOC6051383|XP_038115271.1|CQUI, LOC6041720|XP_038104033.1|CQUI, LOC6044161|XP_001861710.2|CQUI, LOC6044291|XP_038121588.1|CQUI
OG0000780	LOC120447226|XP_039484684.1|DSAN	LOC6044209|XP_038104803.1|CQUI, LOC6044211|XP_038104434.1|CQUI, LOC6044213|XP_038122683.1|CQUI
OG0000781	LOC120455404|XP_039497475.1|DSAN, LOC120449594|XP_039488093.1|DSAN	LOC6037941|XP_038110485.1|CQUI
OG0000782	LOC120447554|XP_039484940.1|DSAN, LOC120456517|XP_039499319.1|DSAN	LOC6034796|XP_038114655.1|CQUI
OG0000783	LOC120457419|XP_039500951.1|DSAN	LOC6034787|XP_001845060.1|CQUI
OG0000784	LOC120448569|XP_039486563.1|DSAN, LOC120456359|XP_039499089.1|DSAN	LOC6052698|XP_038104428.1|CQUI
OG0000785	LOC120451561|XP_039491298.1|DSAN, LOC120452243|XP_039492304.1|DSAN	LOC6046529|XP_001863710.2|CQUI, LOC6046527|XP_001863709.2|CQUI
OG0000786	LOC120454896|XP_039496485.1|DSAN, LOC120451725|XP_039491565.1|DSAN	LOC6037507|XP_038107901.1|CQUI
OG0000787	LOC120450218|XP_039489026.1|DSAN, LOC120457321|XP_039500761.1|DSAN	LOC6035614|XP_001845763.1|CQUI
OG0000788	LOC120446414|XP_039483307.1|DSAN, LOC120447944|XP_039485556.1|DSAN	LOC6045925|XP_001863200.1|CQUI
OG0000789	LOC120444123|XP_039479611.1|DSAN, LOC120458655|XP_039502320.1|DSAN	LOC6047537|XP_001864587.2|CQUI
OG0000790	LOC120443927|XP_039479304.1|DSAN, LOC120443926|XP_039479303.1|DSAN	LOC119767740|XP_038113035.1|CQUI
OG0000791	LOC120451799|XP_039491688.1|DSAN, LOC120451390|XP_039490987.1|DSAN	LOC6036471|XP_001846521.1|CQUI
OG0000792	LOC120458644|XP_039502307.1|DSAN	LOC119767396|XP_038111828.1|CQUI, LOC6046623|XP_001863795.2|CQUI
OG0000793	LOC120450868|XP_039490025.1|DSAN, LOC120455917|XP_039498360.1|DSAN	LOC6046063|XP_001863318.1|CQUI
OG0000794	LOC120458949|XP_039502749.1|DSAN, LOC120455208|XP_039497100.1|DSAN	LOC6050901|XP_001867420.2|CQUI, LOC6050899|XP_001867422.2|CQUI
OG0000795	LOC120456266|XP_039498925.1|DSAN, LOC120451950|XP_039491905.1|DSAN	LOC6034049|XP_001844428.2|CQUI
OG0000796	LOC120452605|XP_039492836.1|DSAN, LOC120457242|XP_039500561.1|DSAN	LOC6036713|XP_001846717.2|CQUI
OG0000797	LOC120450781|XP_039489874.1|DSAN, LOC120454499|XP_039495784.1|DSAN	LOC6037066|XP_001847023.1|CQUI, LOC6046197|XP_001863428.1|CQUI
OG0000798	LOC120447178|XP_039484574.1|DSAN, LOC120447177|XP_039484570.1|DSAN	LOC6052446|XP_038107346.1|CQUI
OG0000799	LOC120453969|XP_039494854.1|DSAN, LOC120456459|XP_039499240.1|DSAN	LOC6054174|XP_038108545.1|CQUI
OG0000801	LOC120445881|XP_039482462.1|DSAN, LOC120444270|XP_039479718.1|DSAN	LOC6046949|XP_001864068.1|CQUI
OG0000802	LOC120456940|XP_039500013.1|DSAN, LOC120455607|XP_039497922.1|DSAN	LOC6040365|XP_001849765.2|CQUI, LOC6051527|XP_038106125.1|CQUI, LOC6040366|XP_038110323.1|CQUI
OG0000803	LOC120455820|XP_039498222.1|DSAN, LOC120448514|XP_039486482.1|DSAN	LOC6036009|XP_001846113.1|CQUI
OG0000811	LOC120444327|XP_039479813.1|DSAN	LOC6032795|XP_001843334.2|CQUI
OG0000812	LOC120455352|XP_039497379.1|DSAN, LOC120450359|XP_039489275.1|DSAN	LOC6031005|XP_038117373.1|CQUI
OG0000813	LOC120446280|XP_039483104.1|DSAN	LOC6036541|XP_001846586.2|CQUI
OG0000814	LOC120445121|XP_039481202.1|DSAN	LOC6042898|XP_038118763.1|CQUI
OG0000815	LOC120458043|XP_039501486.1|DSAN	LOC6031268|XP_038112299.1|CQUI, LOC6031267|XP_001842093.2|CQUI, LOC119766437|XP_038106914.1|CQUI, LOC6031271|XP_038111478.1|CQUI, LOC6031270|XP_038110981.1|CQUI
OG0000816	LOC120456056|XP_039498572.1|DSAN, LOC120450930|XP_039490130.1|DSAN	LOC6036458|XP_001846508.1|CQUI
OG0000817	LOC120453171|XP_039493665.1|DSAN, LOC120453172|XP_039493666.1|DSAN	LOC6041737|XP_001850957.1|CQUI
OG0000819	LOC120455813|XP_039498207.1|DSAN, LOC120456883|XP_039499914.1|DSAN	LOC6051147|XP_038117088.1|CQUI
OG0000820	LOC120455095|XP_039496906.1|DSAN, LOC120446226|XP_039483027.1|DSAN	LOC6038086|XP_038108938.1|CQUI
OG0000821	LOC120452061|XP_039492058.1|DSAN, LOC120446324|XP_039483174.1|DSAN	LOC6036623|XP_001846651.2|CQUI
OG0000822	LOC120447780|XP_039485268.1|DSAN, LOC120455573|XP_039497878.1|DSAN	LOC6036736|XP_001846735.2|CQUI
OG0000830	LOC120456576|XP_039499398.1|DSAN	LOC6040678|XP_001850034.1|CQUI, LOC6040677|XP_001850032.1|CQUI, LOC6040679|XP_001850033.2|CQUI
OG0000831	LOC120448994|XP_039487194.1|DSAN	LOC6032985|XP_038104688.1|CQUI, LOC6032982|XP_001843494.2|CQUI, LOC6039734|XP_001849286.2|CQUI
OG0000832	LOC120444575|XP_039480270.1|DSAN	LOC6038039|XP_001847884.1|CQUI
OG0000833	LOC120450279|XP_039489129.1|DSAN	LOC119770850|XP_038122366.1|CQUI, LOC6043801|XP_038117043.1|CQUI
OG0000834	LOC120452176|XP_039492218.1|DSAN	LOC6049792|XP_001866498.2|CQUI
OG0000836	LOC120444786|XP_039480663.1|DSAN, LOC120446466|XP_039483405.1|DSAN	LOC6033191|XP_038110903.1|CQUI
OG0000837	LOC120456017|XP_039498514.1|DSAN	LOC6046885|XP_038117989.1|CQUI
OG0000838	LOC120446392|XP_039483264.1|DSAN, LOC120445305|XP_039481548.1|DSAN	LOC6039707|XP_001849263.2|CQUI
OG0000839	LOC120454532|XP_039495840.1|DSAN, LOC120451944|XP_039491897.1|DSAN	LOC6032544|XP_001843124.2|CQUI
OG0000840	LOC120458694|XP_039502372.1|DSAN, LOC120455729|XP_039498077.1|DSAN	LOC6033814|XP_001844211.2|CQUI
OG0000842	LOC120444150|XP_039479660.1|DSAN, LOC120453999|XP_039494901.1|DSAN	LOC6052627|XP_038111165.1|CQUI
OG0000843	LOC120444653|XP_039480427.1|DSAN	LOC6052901|XP_001869081.2|CQUI
OG0000844	LOC120444529|XP_039480210.1|DSAN, LOC120453662|XP_039494404.1|DSAN	LOC6040955|XP_038108140.1|CQUI
OG0000845	LOC120455685|XP_039498028.1|DSAN, LOC120455684|XP_039498027.1|DSAN	LOC119769629|XP_038118744.1|CQUI, LOC6040642|XP_001850007.2|CQUI
OG0000854	LOC120456889|XP_039499921.1|DSAN, LOC120456885|XP_039499915.1|DSAN	LOC6041770|XP_001850988.2|CQUI
OG0000855	LOC120456587|XP_039499429.1|DSAN, LOC120452454|XP_039492618.1|DSAN	LOC6040439|XP_038111121.1|CQUI
OG0000856	LOC120456765|XP_039499697.1|DSAN, LOC120448942|XP_039487120.1|DSAN	LOC6042751|XP_038104746.1|CQUI
OG0000857	LOC120456001|XP_039498491.1|DSAN	LOC6045738|XP_038104079.1|CQUI, LOC6045740|XP_001863047.2|CQUI, LOC6048852|XP_001865699.1|CQUI, LOC6052371|XP_001868657.2|CQUI
OG0000858	LOC120454674|XP_039496124.1|DSAN, LOC120454671|XP_039496121.1|DSAN	LOC6033717|XP_001844137.2|CQUI
OG0000860	LOC120447951|XP_039485571.1|DSAN, LOC120448017|XP_039485680.1|DSAN	LOC6032867|XP_038115886.1|CQUI
OG0000861	LOC120445935|XP_039482533.1|DSAN	LOC6037309|XP_001847235.1|CQUI
OG0000862	LOC120445067|XP_039481127.1|DSAN, LOC120449568|XP_039488058.1|DSAN	LOC6043976|XP_001861556.2|CQUI
OG0000863	LOC120452710|XP_039493008.1|DSAN, LOC120451101|XP_039490441.1|DSAN	LOC6044024|XP_038115592.1|CQUI
OG0000864	LOC120458866|XP_039502633.1|DSAN, LOC120456710|XP_039499618.1|DSAN	LOC6041419|XP_038113943.1|CQUI
OG0000865	LOC120457342|XP_039500785.1|DSAN, LOC120454494|XP_039495776.1|DSAN	LOC6032934|XP_038112958.1|CQUI
OG0000866	LOC120458947|XP_039502742.1|DSAN, LOC120458948|XP_039502745.1|DSAN	LOC6041493|XP_038110702.1|CQUI
OG0000867	LOC120458860|XP_039502624.1|DSAN, LOC120456126|XP_039498692.1|DSAN	LOC6050061|XP_001866728.2|CQUI
OG0000868	LOC120456055|XP_039498570.1|DSAN	LOC6037576|XP_001847472.2|CQUI, LOC6038283|XP_038112513.1|CQUI
OG0000869	LOC120450850|XP_039489994.1|DSAN	LOC119767364|XP_038111763.1|CQUI
OG0000871	LOC120444943|XP_039480880.1|DSAN	LOC6038540|XP_001848327.2|CQUI, LOC6038577|XP_038106280.1|CQUI, LOC6038538|XP_001848325.2|CQUI
OG0000872	LOC120455959|XP_039498435.1|DSAN, LOC120444483|XP_039480097.1|DSAN	LOC6038131|XP_001847929.1|CQUI
OG0000873	LOC120448886|XP_039487036.1|DSAN	LOC6047243|XP_001864326.2|CQUI, LOC6038744|XP_038111904.1|CQUI, LOC6036763|XP_038106219.1|CQUI
OG0000874	LOC120455890|XP_039498317.1|DSAN, LOC120445218|XP_039481407.1|DSAN	LOC6037196|XP_038109655.1|CQUI
OG0000875	LOC120449630|XP_039488152.1|DSAN	LOC6040537|XP_038110191.1|CQUI
OG0000882	LOC120456525|XP_039499328.1|DSAN, LOC120457818|XP_039501248.1|DSAN	LOC6051045|XP_038104452.1|CQUI
OG0000883	LOC120456738|XP_039499661.1|DSAN	LOC6048227|XP_038121671.1|CQUI, LOC6041000|XP_038121158.1|CQUI, LOC6030792|XP_001841691.2|CQUI, LOC6047675|XP_001864705.2|CQUI
OG0000885	LOC120451838|XP_039491748.1|DSAN	LOC6048168|XP_001865124.1|CQUI, LOC6048169|XP_001865125.1|CQUI, LOC6048170|XP_001865126.1|CQUI
OG0000887	LOC120456689|XP_039499587.1|DSAN	LOC6052421|XP_038120936.1|CQUI, LOC6052420|XP_038121806.1|CQUI, LOC6039002|XP_001848684.2|CQUI
OG0000888	LOC120447461|XP_039484775.1|DSAN	LOC6036591|XP_038115396.1|CQUI, LOC6036581|XP_038118642.1|CQUI
OG0000889	LOC120449582|XP_039488072.1|DSAN	LOC6033544|XP_001843978.2|CQUI
OG0000890	LOC120445596|XP_039482028.1|DSAN	LOC6043796|XP_001861395.2|CQUI
OG0000891	LOC120453799|XP_039494648.1|DSAN, LOC120453967|XP_039494856.1|DSAN	LOC6041067|XP_038111593.1|CQUI
OG0000892	LOC120449958|XP_039488593.1|DSAN, LOC120447954|XP_039485575.1|DSAN	LOC6041555|XP_001850801.2|CQUI
OG0000893	LOC120452311|XP_039492395.1|DSAN	LOC6034999|XP_001845244.2|CQUI, LOC6034994|XP_038116648.1|CQUI, LOC6034998|XP_038115749.1|CQUI, LOC6034997|XP_038115753.1|CQUI, LOC6034995|XP_001845241.2|CQUI, LOC119768921|XP_038116647.1|CQUI, LOC119768764|XP_038115747.1|CQUI, LOC119768763|XP_038115744.1|CQUI, LOC119768765|XP_038115748.1|CQUI
OG0000894	LOC120454624|XP_039496026.1|DSAN	LOC6043434|XP_001859054.2|CQUI
OG0000895	LOC120445658|XP_039482137.1|DSAN	LOC6050900|XP_001867421.2|CQUI
OG0000896	LOC120455968|XP_039498448.1|DSAN, LOC120444331|XP_039479820.1|DSAN	LOC6048670|XP_038107984.1|CQUI
OG0000907	LOC120444657|XP_039480431.1|DSAN	LOC6052354|XP_001868642.2|CQUI
OG0000909	LOC120455926|XP_039498387.1|DSAN, LOC120452531|XP_039492729.1|DSAN	LOC6039203|XP_038105481.1|CQUI
OG0000910	LOC120451624|XP_039491411.1|DSAN, LOC120455598|XP_039497906.1|DSAN	LOC6034092|XP_038116190.1|CQUI
OG0000911	LOC120445177|XP_039481324.1|DSAN	LOC6033485|XP_001843927.2|CQUI
OG0000912	LOC120449325|XP_039487657.1|DSAN, LOC120449830|XP_039488413.1|DSAN	LOC6033531|XP_001843968.1|CQUI, LOC6033530|XP_001843967.1|CQUI
OG0000914	LOC120445632|XP_039482093.1|DSAN	LOC6032957|XP_001843473.2|CQUI, LOC6032960|XP_001843476.1|CQUI, LOC6032959|XP_001843475.1|CQUI, LOC6042107|XP_001851258.1|CQUI
OG0000915	LOC120445399|XP_039481743.1|DSAN, LOC120455056|XP_039496843.1|DSAN	LOC6049126|XP_038107760.1|CQUI
OG0000916	LOC120448894|XP_039487049.1|DSAN	LOC6044540|XP_038107414.1|CQUI, LOC6044537|XP_038109271.1|CQUI
OG0000917	LOC120457517|XP_039500999.1|DSAN, LOC120457589|XP_039501032.1|DSAN, LOC120443759|XP_039478980.1|DSAN	LOC6036130|XP_038112959.1|CQUI
OG0000918	LOC120458079|XP_039501527.1|DSAN, LOC120458795|XP_039502522.1|DSAN	LOC6053853|XP_038107451.1|CQUI
OG0000920	LOC120455269|XP_039497204.1|DSAN	LOC6037854|XP_038106185.1|CQUI, LOC119766065|XP_038106368.1|CQUI, LOC6037857|XP_001847730.2|CQUI, LOC6037858|XP_038106186.1|CQUI, LOC119765965|XP_038106190.1|CQUI, LOC119765963|XP_038106188.1|CQUI, LOC119765964|XP_038106189.1|CQUI, LOC6039737|XP_001849288.1|CQUI
OG0000921	LOC120455312|XP_039497296.1|DSAN, LOC120455529|XP_039497753.1|DSAN	LOC119770129|XP_038120407.1|CQUI, LOC6032513|XP_038120403.1|CQUI
OG0000922	LOC120449549|XP_039488010.1|DSAN	LOC6035826|XP_001845946.2|CQUI
OG0000923	LOC120449799|XP_039488378.1|DSAN, LOC120452812|XP_039493149.1|DSAN	LOC6039960|XP_001849453.1|CQUI
OG0000924	LOC120457146|XP_039500351.1|DSAN	LOC6052729|XP_038108922.1|CQUI
OG0000925	LOC120452943|XP_039493359.1|DSAN, LOC120452942|XP_039493357.1|DSAN	LOC6037245|XP_038114185.1|CQUI, LOC6037244|XP_001847173.1|CQUI
OG0000935	LOC120454172|XP_039495186.1|DSAN	LOC6041293|XP_038115420.1|CQUI
OG0000936	LOC120456108|XP_039498655.1|DSAN	LOC6044999|XP_001862423.1|CQUI
OG0000937	LOC120453196|XP_039493703.1|DSAN	LOC6047549|XP_038122304.1|CQUI, LOC6038645|XP_038109622.1|CQUI
OG0000938	LOC120446366|XP_039483232.1|DSAN, LOC120457616|XP_039501060.1|DSAN, LOC120456793|XP_039499746.1|DSAN	LOC6041884|XP_001851080.1|CQUI
OG0000939	LOC120444100|XP_039479561.1|DSAN, LOC120443996|XP_039479408.1|DSAN	LOC6044428|XP_001861946.1|CQUI
OG0000941	LOC120454414|XP_039495618.1|DSAN, LOC120456665|XP_039499539.1|DSAN	LOC6049171|XP_001865978.1|CQUI
OG0000942	LOC120448252|XP_039486098.1|DSAN	LOC6050303|XP_001866931.2|CQUI
OG0000943	LOC120446599|XP_039483563.1|DSAN	LOC6036204|XP_038120020.1|CQUI
OG0000944	LOC120455886|XP_039498313.1|DSAN, LOC120451710|XP_039491549.1|DSAN	LOC6038238|XP_038118238.1|CQUI
OG0000945	LOC120449724|XP_039488286.1|DSAN, LOC120449723|XP_039488285.1|DSAN	LOC6040018|XP_001849494.2|CQUI
OG0000946	LOC120446102|XP_039482832.1|DSAN	LOC6044471|XP_038106712.1|CQUI, LOC6041548|XP_038107584.1|CQUI
OG0000947	LOC120446316|XP_039483166.1|DSAN	LOC6034360|XP_001844678.1|CQUI, LOC6034379|XP_038109332.1|CQUI, LOC6034378|XP_038109331.1|CQUI, LOC6034359|XP_001844677.2|CQUI
OG0000948	LOC120447544|XP_039484924.1|DSAN	LOC6048908|XP_001865747.2|CQUI
OG0000949	LOC120457290|XP_039500675.1|DSAN	LOC6033022|XP_038115508.1|CQUI, LOC6033023|XP_038115510.1|CQUI
OG0000950	LOC120453981|XP_039494869.1|DSAN	LOC6046062|XP_001863317.2|CQUI
OG0000951	LOC120454644|XP_039496079.1|DSAN	LOC119769688|XP_038118996.1|CQUI, LOC6039379|XP_038121296.1|CQUI
OG0000952	LOC120443821|XP_039479096.1|DSAN	LOC119770231|XP_038120613.1|CQUI
OG0000963	LOC120455594|XP_039497901.1|DSAN	LOC119765405|XP_038105122.1|CQUI, LOC6052738|XP_001868962.2|CQUI, LOC6052742|XP_001868961.1|CQUI, LOC6052739|XP_001868963.1|CQUI
OG0000964	LOC120446394|XP_039483265.1|DSAN	LOC6047021|XP_038104314.1|CQUI, LOC6032708|XP_001843260.2|CQUI
OG0000965	LOC120456306|XP_039498988.1|DSAN	LOC6039055|XP_001848733.2|CQUI
OG0000966	LOC120446275|XP_039483092.1|DSAN, LOC120451682|XP_039491498.1|DSAN	LOC6034419|XP_038105028.1|CQUI
OG0000969	LOC120445060|XP_039481119.1|DSAN, LOC120451969|XP_039491929.1|DSAN	LOC6043792|XP_001861393.1|CQUI
OG0000970	LOC120452588|XP_039492810.1|DSAN	LOC6033272|XP_001843743.2|CQUI
OG0000971	LOC120446029|XP_039482723.1|DSAN	LOC6036039|XP_001846141.1|CQUI, LOC6040867|XP_001850197.1|CQUI
OG0000972	LOC120449099|XP_039487341.1|DSAN, LOC120456843|XP_039499832.1|DSAN	LOC6031858|XP_038113015.1|CQUI
OG0000973	LOC120456547|XP_039499360.1|DSAN	LOC119766829|XP_038108809.1|CQUI, LOC6034199|XP_038108806.1|CQUI, LOC6047448|XP_038120387.1|CQUI
OG0000974	LOC120448578|XP_039486582.1|DSAN	LOC6049993|XP_038116186.1|CQUI, LOC6049992|XP_038116176.1|CQUI, LOC6049994|XP_038116185.1|CQUI, LOC6049990|XP_001866665.1|CQUI
OG0000975	LOC120454476|XP_039495743.1|DSAN, LOC120454475|XP_039495742.1|DSAN	LOC6046902|XP_001864030.2|CQUI
OG0000977	LOC120451473|XP_039491099.1|DSAN	LOC6053094|XP_038112904.1|CQUI
OG0000978	LOC120450937|XP_039490138.1|DSAN	LOC6051170|XP_038108380.1|CQUI
OG0000988	LOC120452839|XP_039493240.1|DSAN	LOC6042735|XP_001870746.2|CQUI
OG0000990	LOC120451095|XP_039490434.1|DSAN, LOC120455100|XP_039496910.1|DSAN	LOC119767687|XP_038112787.1|CQUI
OG0000991	LOC120457286|XP_039500666.1|DSAN	LOC6040891|XP_038105368.1|CQUI, LOC6042501|XP_038104580.1|CQUI
OG0000992	LOC120454236|XP_039495274.1|DSAN	LOC6042422|XP_001851542.2|CQUI
OG0000994	LOC120456742|XP_039499666.1|DSAN	LOC6045593|XP_001862934.2|CQUI
OG0000995	LOC120452296|XP_039492365.1|DSAN, LOC120455545|XP_039497816.1|DSAN	LOC6041608|XP_001850846.1|CQUI
OG0000996	LOC120446908|XP_039484069.1|DSAN	LOC6030996|XP_001841849.2|CQUI, LOC119769660|XP_038118872.1|CQUI
OG0000997	LOC120446528|XP_039483474.1|DSAN	LOC6052525|XP_038120680.1|CQUI
OG0000998	LOC120447516|XP_039484869.1|DSAN	LOC6047261|XP_001864343.2|CQUI, LOC6047263|XP_038117138.1|CQUI, LOC6047258|XP_038118868.1|CQUI
OG0000999	LOC120445343|XP_039481614.1|DSAN, LOC120455345|XP_039497368.1|DSAN	LOC6036403|XP_001846456.1|CQUI
OG0001000	LOC120454284|XP_039495404.1|DSAN	LOC6032922|XP_038108749.1|CQUI
OG0001002	LOC120446278|XP_039483095.1|DSAN	LOC6031176|XP_001842019.1|CQUI, LOC6031178|XP_038111945.1|CQUI, LOC6031180|XP_038106920.1|CQUI
OG0001003	LOC120451690|XP_039491517.1|DSAN, LOC120444117|XP_039479584.1|DSAN	LOC6040169|XP_001849620.1|CQUI
OG0001004	LOC120452436|XP_039492597.1|DSAN, LOC120450853|XP_039490000.1|DSAN	LOC6038961|XP_001848650.1|CQUI
OG0001005	LOC120444820|XP_039480710.1|DSAN, LOC120455392|XP_039497460.1|DSAN	LOC6047963|XP_038122308.1|CQUI
OG0001006	LOC120451890|XP_039491830.1|DSAN, LOC120448928|XP_039487098.1|DSAN	LOC6032307|XP_001842939.1|CQUI
OG0001007	LOC120444674|XP_039480464.1|DSAN	LOC6032328|XP_001842958.1|CQUI
OG0001008	LOC120452298|XP_039492368.1|DSAN, LOC120457233|XP_039500548.1|DSAN	LOC6054260|XP_001870205.2|CQUI
OG0001009	LOC120453776|XP_039494551.1|DSAN, LOC120452783|XP_039493109.1|DSAN	LOC6038900|XP_001848599.2|CQUI
OG0001019	LOC120453195|XP_039493697.1|DSAN	LOC6052564|XP_001868810.2|CQUI
OG0001020	LOC120456345|XP_039499062.1|DSAN, LOC120456344|XP_039499060.1|DSAN	LOC6047041|XP_001864149.2|CQUI, LOC6047042|XP_038104222.1|CQUI, LOC6047044|XP_001864152.2|CQUI, LOC6047043|XP_001864151.2|CQUI
OG0001021	LOC120452294|XP_039492367.1|DSAN	LOC6050121|XP_038116561.1|CQUI, LOC6050119|XP_038116583.1|CQUI, LOC119768888|XP_038116570.1|CQUI
OG0001022	LOC120453436|XP_039494078.1|DSAN, LOC120455555|XP_039497835.1|DSAN	LOC6034409|XP_001844727.1|CQUI
OG0001024	LOC120452486|XP_039492668.1|DSAN	LOC6034941|XP_001845202.2|CQUI, LOC6048000|XP_001864975.2|CQUI
OG0001025	LOC120449332|XP_039487665.1|DSAN	LOC6044075|XP_038116060.1|CQUI
OG0001026	LOC120444133|XP_039479632.1|DSAN	LOC6037044|XP_001847005.2|CQUI, LOC6037036|XP_001846998.2|CQUI
OG0001027	LOC120450533|XP_039489556.1|DSAN	LOC6036423|XP_001846475.1|CQUI, LOC6036424|XP_038121459.1|CQUI
OG0001028	LOC120458808|XP_039502538.1|DSAN	LOC6053346|XP_001869449.2|CQUI, LOC119769210|XP_038117057.1|CQUI, LOC6031308|XP_001842125.1|CQUI
OG0001029	LOC120447222|XP_039484675.1|DSAN	LOC6032857|XP_038119110.1|CQUI, LOC6050363|XP_038106167.1|CQUI, LOC119770391|XP_038121084.1|CQUI, LOC119769344|XP_038117302.1|CQUI, LOC119767080|XP_038110521.1|CQUI
OG0001031	LOC120446002|XP_039482669.1|DSAN	LOC6038935|XP_038109238.1|CQUI
OG0001032	LOC120458909|XP_039502692.1|DSAN	LOC6035231|XP_001845460.2|CQUI
OG0001033	LOC120449125|XP_039487372.1|DSAN	LOC6036914|XP_038107537.1|CQUI
OG0001042	LOC120453353|XP_039493959.1|DSAN	LOC6051046|XP_038122684.1|CQUI, LOC6053042|XP_038105133.1|CQUI, LOC6053041|XP_038122772.1|CQUI
OG0001043	LOC120455994|XP_039498486.1|DSAN	LOC6034458|XP_001844771.2|CQUI, LOC6034459|XP_001844772.1|CQUI
OG0001044	LOC120458750|XP_039502456.1|DSAN	LOC6033008|XP_001843518.2|CQUI, LOC6030844|XP_038115176.1|CQUI, LOC119767848|XP_038113446.1|CQUI, LOC6052536|XP_001868789.2|CQUI
OG0001045	LOC120446449|XP_039483373.1|DSAN	LOC6049796|XP_001866502.2|CQUI, LOC6046964|XP_001864077.2|CQUI, LOC6049795|XP_001866501.2|CQUI, LOC6040700|XP_001850055.1|CQUI
