Orthogroup	DSAN.longest_only	AAEG.longest_only
OG0002159	LOC120446736|XP_039483793.1|DSAN	LOC5579199|XP_021705121.1|AAEG
OG0002160	LOC120454138|XP_039495129.1|DSAN	LOC5577891|XP_001663597.2|AAEG
OG0002161	LOC120451837|XP_039491747.1|DSAN	LOC5578146|XP_001663717.1|AAEG
OG0002162	LOC120452664|XP_039492937.1|DSAN	LOC5578143|XP_001663713.2|AAEG
OG0002163	LOC120455778|XP_039498169.1|DSAN	LOC5565033|XP_001649405.1|AAEG
OG0002164	LOC120453004|XP_039493443.1|DSAN	LOC5565255|XP_001649617.2|AAEG
OG0002165	LOC120444433|XP_039480017.1|DSAN	LOC5576560|XP_001662743.2|AAEG
OG0002166	LOC120458177|XP_039501675.1|DSAN	LOC5575292|XP_001655670.2|AAEG, LOC110680524|XP_021712013.1|AAEG
OG0002167	LOC120446552|XP_039483502.1|DSAN	LOC110673987|XP_021706322.1|AAEG, LOC5579217|XP_021712812.1|AAEG
OG0002168	LOC120445214|XP_039481402.1|DSAN	LOC5578905|XP_021708397.1|AAEG, LOC5571580|XP_001659788.1|AAEG
OG0002169	LOC120447726|XP_039485202.1|DSAN	LOC5568544|XP_021707598.1|AAEG
OG0002170	LOC120454889|XP_039496457.1|DSAN	LOC5572782|XP_001654181.2|AAEG
OG0002171	LOC120451782|XP_039491665.1|DSAN	LOC5579419|XP_021708592.1|AAEG
OG0002172	LOC120453544|XP_039494230.1|DSAN	LOC5568282|XP_001657979.2|AAEG, LOC110680636|XP_021712124.1|AAEG
OG0002173	LOC120458759|XP_039502467.1|DSAN	LOC5568277|XP_001657974.1|AAEG
OG0002174	LOC120452145|XP_039492169.1|DSAN	LOC110679174|XP_021708963.1|AAEG
OG0002175	LOC120452146|XP_039492170.1|DSAN	LOC5566081|XP_021708971.1|AAEG
OG0002176	LOC120451829|XP_039491738.1|DSAN	LOC110680241|XP_021711747.1|AAEG, LOC5570609|XP_001653273.1|AAEG, LOC110679314|XP_021709372.1|AAEG, LOC110681060|XP_021712517.1|AAEG
OG0002177	LOC120452708|XP_039493002.1|DSAN	LOC5573875|XP_021709949.1|AAEG, LOC5573874|XP_001654907.2|AAEG
OG0002178	LOC120451379|XP_039490969.1|DSAN	LOC110680388|XP_021711889.1|AAEG, LOC5566202|XP_021710220.1|AAEG, LOC110680809|XP_021712277.1|AAEG
OG0002179	LOC120452124|XP_039492140.1|DSAN	LOC5569456|XP_021710812.1|AAEG
OG0002180	LOC120450993|XP_039490232.1|DSAN	LOC110674011|XP_021710984.1|AAEG, LOC5574069|XP_021694277.1|AAEG
OG0002181	LOC120456299|XP_039498980.1|DSAN	LOC110681123|XP_021712582.1|AAEG, LOC110680479|XP_021711976.1|AAEG, LOC23687808|XP_021711326.1|AAEG
OG0002182	LOC120453875|XP_039494714.1|DSAN	LOC5577702|XP_021711690.1|AAEG
OG0002183	LOC120444608|XP_039480318.1|DSAN	LOC5564014|XP_001648337.2|AAEG, LOC5568461|XP_001652295.2|AAEG
OG0002184	LOC120451724|XP_039491561.1|DSAN	LOC23687633|XP_011493096.1|AAEG
OG0002185	LOC120451256|XP_039490715.1|DSAN	LOC5572727|XP_001660555.2|AAEG, LOC110680500|XP_021711993.1|AAEG
OG0002186	LOC120458547|XP_039502162.1|DSAN	LOC5567783|XP_001657684.2|AAEG
OG0002187	LOC120452793|XP_039493120.1|DSAN	LOC5571783|XP_001659922.2|AAEG
OG0002188	LOC120446314|XP_039483164.1|DSAN	LOC5571794|XP_001659928.1|AAEG, LOC110681308|XP_021712759.1|AAEG
OG0002189	LOC120457525|XP_039501004.1|DSAN	LOC5578994|XP_001664173.2|AAEG
OG0002190	LOC120450893|XP_039490066.1|DSAN	LOC5573374|XP_021712991.1|AAEG
OG0002191	LOC120450451|XP_039489404.1|DSAN	LOC110680462|XP_021711958.1|AAEG, LOC5573373|XP_021712993.1|AAEG
OG0002192	LOC120448422|XP_039486356.1|DSAN	LOC5577009|XP_021694395.1|AAEG, LOC5568710|XP_001652535.1|AAEG
OG0002193	LOC120452103|XP_039492113.1|DSAN	LOC5572572|XP_021713041.1|AAEG
OG0002194	LOC120453941|XP_039494820.1|DSAN	LOC5580291|XP_001662917.2|AAEG
OG0002195	LOC120451330|XP_039490841.1|DSAN	LOC5572335|XP_001654025.2|AAEG
OG0002196	LOC120452914|XP_039493311.1|DSAN	LOC5567840|XP_001657749.1|AAEG
OG0002197	LOC120449241|XP_039487550.1|DSAN	LOC5569227|XP_021713253.1|AAEG
OG0002198	LOC120450757|XP_039489819.1|DSAN	LOC110681200|XP_021712673.1|AAEG, LOC5564690|XP_021693000.1|AAEG
OG0002199	LOC120452949|XP_039493366.1|DSAN	LOC5576838|XP_001662954.2|AAEG
OG0002200	LOC120455445|XP_039497586.1|DSAN	LOC5580084|XP_001654840.2|AAEG
OG0002202	LOC120451144|XP_039490501.1|DSAN	LOC5576722|XP_021693362.1|AAEG
OG0002203	LOC120452422|XP_039492581.1|DSAN	LOC23687451|XP_021693393.1|AAEG
OG0002204	LOC120451820|XP_039491723.1|DSAN	LOC5568910|XP_001658235.3|AAEG
OG0002205	LOC120452884|XP_039493273.1|DSAN	LOC5568906|XP_001658227.1|AAEG
OG0002206	LOC120451941|XP_039491895.1|DSAN	LOC5575607|XP_001662097.2|AAEG
OG0002207	LOC120452271|XP_039492336.1|DSAN	LOC5577394|XP_021693559.1|AAEG, LOC5577396|XP_021693560.1|AAEG
OG0002208	LOC120453108|XP_039493575.1|DSAN	LOC5577397|XP_001656471.2|AAEG
OG0002209	LOC120457410|XP_039500942.1|DSAN	LOC5573438|XP_001660875.1|AAEG
OG0002210	LOC120451058|XP_039490349.1|DSAN	LOC5573431|XP_021693614.1|AAEG
OG0002211	LOC120451557|XP_039491291.1|DSAN	LOC23687928|XP_021693634.1|AAEG
OG0002212	LOC120451832|XP_039491741.1|DSAN	LOC5576199|XP_001662538.1|AAEG
OG0002213	LOC120454461|XP_039495709.1|DSAN	LOC110674166|XP_021693781.1|AAEG
OG0002214	LOC120451931|XP_039491886.1|DSAN, LOC120451442|XP_039491053.1|DSAN	LOC5569692|XP_021693813.1|AAEG
OG0002215	LOC120452674|XP_039492952.1|DSAN	LOC5577633|XP_021693875.1|AAEG
OG0002216	LOC120450886|XP_039490060.1|DSAN	LOC5565144|XP_001649509.2|AAEG
OG0002217	LOC120454397|XP_039495582.1|DSAN	LOC5577581|XP_021694029.1|AAEG
OG0002218	LOC120456047|XP_039498558.1|DSAN	LOC5576138|XP_001662485.2|AAEG
OG0002219	LOC120451981|XP_039491943.1|DSAN	LOC5575228|XP_021694130.1|AAEG
OG0002220	LOC120451139|XP_039490494.1|DSAN	LOC5575226|XP_001655632.2|AAEG, LOC5575225|XP_001655631.2|AAEG
OG0002221	LOC120448822|XP_039486955.1|DSAN	LOC5566135|XP_021699107.1|AAEG
OG0002222	LOC120444495|XP_039480138.1|DSAN	LOC5566138|XP_001650497.2|AAEG
OG0002223	LOC120444324|XP_039479807.1|DSAN	LOC110680342|XP_021711853.1|AAEG
OG0002224	LOC120448548|XP_039486540.1|DSAN	LOC5566116|XP_021695406.1|AAEG
OG0002225	LOC120449355|XP_039487701.1|DSAN	LOC5579245|XP_021699518.1|AAEG, LOC5579873|XP_021695535.1|AAEG
OG0002226	LOC120444931|XP_039480869.1|DSAN	LOC5578206|XP_001656850.1|AAEG
OG0002227	LOC120458731|XP_039502413.1|DSAN	LOC5571223|XP_021695800.1|AAEG
OG0002228	LOC120447000|XP_039484242.1|DSAN	LOC5571289|XP_021695851.1|AAEG
OG0002229	LOC120444285|XP_039479735.1|DSAN	LOC5571291|XP_001653593.1|AAEG
OG0002230	LOC120444468|XP_039480074.1|DSAN	LOC5571286|XP_021695868.1|AAEG
OG0002231	LOC120458173|XP_039501672.1|DSAN	LOC5571266|XP_021695918.1|AAEG
OG0002232	LOC120445032|XP_039481051.1|DSAN	LOC5578169|XP_001663739.2|AAEG, LOC5578177|XP_021696079.1|AAEG
OG0002233	LOC120448302|XP_039486176.1|DSAN	LOC5569904|XP_001658802.1|AAEG
OG0002235	LOC120444777|XP_039480647.1|DSAN	LOC5579251|XP_021696334.1|AAEG
OG0002236	LOC120444644|XP_039480403.1|DSAN	LOC5570501|XP_001659177.2|AAEG
OG0002237	LOC120446307|XP_039483155.1|DSAN	LOC5570540|XP_021696462.1|AAEG
OG0002238	LOC120449108|XP_039487354.1|DSAN	LOC5569218|XP_021696600.1|AAEG
OG0002239	LOC120446636|XP_039483637.1|DSAN	LOC5568112|XP_001652051.1|AAEG
OG0002240	LOC120446286|XP_039483109.1|DSAN	LOC5569443|XP_021696660.1|AAEG
OG0002241	LOC120450224|XP_039489035.1|DSAN	LOC5566343|XP_001650739.2|AAEG
OG0002243	LOC120451269|XP_039490739.1|DSAN	LOC5572349|XP_001660308.1|AAEG
OG0002244	LOC120450364|XP_039489282.1|DSAN	LOC5572345|XP_021702613.1|AAEG
OG0002245	LOC120450631|XP_039489714.1|DSAN	LOC5566222|XP_021696874.1|AAEG
OG0002246	LOC120453247|XP_039493797.1|DSAN	LOC110675641|XP_021696886.1|AAEG
OG0002247	LOC120445215|XP_039481403.1|DSAN	LOC5576411|XP_001656113.1|AAEG
OG0002248	LOC120447556|XP_039484943.1|DSAN	LOC5565215|XP_001649548.1|AAEG
OG0002249	LOC120449576|XP_039488064.1|DSAN	LOC5574899|XP_001655400.1|AAEG
OG0002250	LOC120446790|XP_039483880.1|DSAN	LOC5571831|XP_021697154.1|AAEG
OG0002251	LOC120446354|XP_039483217.1|DSAN	LOC5571834|XP_021697158.1|AAEG
OG0002252	LOC120446105|XP_039482830.1|DSAN	LOC110677272|XP_021704095.1|AAEG
OG0002253	LOC120445836|XP_039482391.1|DSAN	LOC5571489|XP_001659733.2|AAEG
OG0002254	LOC120454408|XP_039495604.1|DSAN	LOC5572700|XP_001660519.2|AAEG
OG0002255	LOC120455361|XP_039497402.1|DSAN	LOC5578538|XP_001663929.2|AAEG
OG0002256	LOC120444626|XP_039480368.1|DSAN	LOC110675816|XP_021697355.1|AAEG, LOC5576646|XP_021697346.1|AAEG
OG0002257	LOC120457728|XP_039501162.1|DSAN	LOC5578231|XP_021697380.1|AAEG
OG0002258	LOC120448024|XP_039485699.1|DSAN	LOC5571390|XP_021697410.1|AAEG
OG0002259	LOC120457236|XP_039500552.1|DSAN	LOC5579062|XP_021697431.1|AAEG, LOC5579061|XP_021697430.1|AAEG, LOC5579878|XP_021697411.1|AAEG
OG0002260	LOC120450553|XP_039489591.1|DSAN	LOC5579059|XP_001657255.2|AAEG
OG0002261	LOC120449670|XP_039488204.1|DSAN	LOC5575236|XP_001656285.1|AAEG
OG0002263	LOC120447541|XP_039484921.1|DSAN	LOC5572748|XP_001660576.1|AAEG
OG0002264	LOC120444494|XP_039480136.1|DSAN	LOC5566364|XP_021697650.1|AAEG
OG0002265	LOC120448341|XP_039486238.1|DSAN	LOC5565540|XP_001649899.1|AAEG
OG0002266	LOC120449628|XP_039488149.1|DSAN	LOC5564443|XP_001648786.1|AAEG
OG0002267	LOC120450314|XP_039489201.1|DSAN, LOC120450312|XP_039489200.1|DSAN	LOC5563744|XP_001648027.2|AAEG
OG0002268	LOC120447524|XP_039484891.1|DSAN	LOC5563742|XP_001648030.2|AAEG
OG0002269	LOC120445295|XP_039481532.1|DSAN	LOC110676024|XP_021698067.1|AAEG
OG0002270	LOC120445828|XP_039482382.1|DSAN	LOC5578284|XP_021698247.1|AAEG
OG0002271	LOC120448772|XP_039486890.1|DSAN	LOC5565466|XP_001649826.2|AAEG
OG0002272	LOC120450424|XP_039489366.1|DSAN	LOC110680930|XP_021712403.1|AAEG, LOC5574155|XP_001655062.1|AAEG
OG0002273	LOC120450361|XP_039489277.1|DSAN	LOC5579421|XP_021698495.1|AAEG
OG0002274	LOC120449495|XP_039487912.1|DSAN	LOC5569595|XP_021698523.1|AAEG
OG0002275	LOC120448570|XP_039486564.1|DSAN	LOC5570786|XP_021698601.1|AAEG
OG0002276	LOC120448593|XP_039486612.1|DSAN	LOC5576958|XP_021698655.1|AAEG
OG0002277	LOC120449739|XP_039488307.1|DSAN	LOC5572280|XP_021698730.1|AAEG
OG0002278	LOC120448389|XP_039486311.1|DSAN	LOC5574038|XP_021698765.1|AAEG
OG0002279	LOC120448237|XP_039486075.1|DSAN	LOC5572209|XP_001653877.1|AAEG
OG0002280	LOC120448606|XP_039486642.1|DSAN	LOC5572197|XP_021698799.1|AAEG
OG0002281	LOC120449921|XP_039488547.1|DSAN	LOC5571720|XP_001659858.1|AAEG
OG0002282	LOC120450192|XP_039488992.1|DSAN	LOC5566009|XP_021698864.1|AAEG
OG0002283	LOC120445682|XP_039482173.1|DSAN	LOC5577387|XP_021698901.1|AAEG
OG0002284	LOC120443905|XP_039479268.1|DSAN	LOC5574345|XP_001661380.1|AAEG
OG0002285	LOC120455898|XP_039498329.1|DSAN	LOC5573278|XP_001654490.2|AAEG
OG0002286	LOC120445669|XP_039482152.1|DSAN	LOC5575498|XP_001662010.2|AAEG, LOC5571748|XP_021710757.1|AAEG
OG0002287	LOC120445347|XP_039481618.1|DSAN	LOC5578128|XP_021699192.1|AAEG
OG0002288	LOC120450470|XP_039489443.1|DSAN	LOC5578126|XP_021699193.1|AAEG
OG0002289	LOC120449389|XP_039487764.1|DSAN	LOC5577139|XP_001663227.2|AAEG
OG0002290	LOC120443700|XP_039478875.1|DSAN	LOC5579143|XP_021699403.1|AAEG
OG0002291	LOC120443962|XP_039479359.1|DSAN	LOC110681084|XP_021712551.1|AAEG, LOC5575930|XP_021699441.1|AAEG
OG0002292	LOC120458825|XP_039502573.1|DSAN	LOC5570333|XP_021699483.1|AAEG
OG0002293	LOC120458101|XP_039501564.1|DSAN	LOC5563932|XP_001648253.1|AAEG
OG0002294	LOC120450788|XP_039489885.1|DSAN	LOC5566074|XP_001650442.1|AAEG
OG0002295	LOC120458389|XP_039501946.1|DSAN	LOC5569978|XP_021700031.1|AAEG
OG0002296	LOC120458340|XP_039501894.1|DSAN	LOC5574375|XP_021700085.1|AAEG
OG0002297	LOC120450754|XP_039489811.1|DSAN	LOC5569115|XP_021700161.1|AAEG
OG0002298	LOC120446320|XP_039483169.1|DSAN	LOC5579525|XP_001647834.1|AAEG
OG0002299	LOC120446648|XP_039483653.1|DSAN	LOC5574369|XP_001661404.1|AAEG
OG0002300	LOC120458724|XP_039502408.1|DSAN	LOC5568034|XP_021700205.1|AAEG
OG0002301	LOC120445637|XP_039482110.1|DSAN	LOC5571143|XP_021700266.1|AAEG
OG0002302	LOC120444938|XP_039480873.1|DSAN	LOC5575446|XP_021700365.1|AAEG
OG0002303	LOC120456250|XP_039498904.1|DSAN	LOC5563592|XP_001647928.1|AAEG, LOC5575450|XP_001661966.1|AAEG
OG0002304	LOC120458142|XP_039501620.1|DSAN	LOC5569376|XP_021700462.1|AAEG
OG0002305	LOC120448128|XP_039485879.1|DSAN	LOC5569504|XP_001658589.2|AAEG
OG0002306	LOC120444011|XP_039479426.1|DSAN	LOC5576949|XP_021700496.1|AAEG
OG0002307	LOC120453586|XP_039494284.1|DSAN	LOC5564174|XP_021700568.1|AAEG
OG0002308	LOC120445171|XP_039481289.1|DSAN	LOC5572923|XP_001654258.2|AAEG
OG0002309	LOC120452932|XP_039493347.1|DSAN	LOC5571735|XP_001659877.1|AAEG
OG0002310	LOC120457702|XP_039501132.1|DSAN	LOC110680434|XP_021711924.1|AAEG, LOC110675178|XP_021695265.1|AAEG, LOC5568762|XP_021695264.1|AAEG
OG0002311	LOC120446767|XP_039483838.1|DSAN	LOC5566252|XP_021700959.1|AAEG
OG0002312	LOC120455558|XP_039497843.1|DSAN	LOC5566254|XP_001650631.2|AAEG, LOC110680445|XP_021711931.1|AAEG
OG0002313	LOC120446047|XP_039482756.1|DSAN	LOC5564484|XP_001648831.2|AAEG
OG0002314	LOC120458774|XP_039502487.1|DSAN	LOC5564514|XP_001648842.1|AAEG
OG0002315	LOC120446332|XP_039483180.1|DSAN	LOC5571665|XP_001653751.2|AAEG, LOC5564483|XP_001648851.1|AAEG
OG0002316	LOC120458758|XP_039502464.1|DSAN	LOC5576571|XP_001662757.1|AAEG
OG0002317	LOC120448091|XP_039485819.1|DSAN	LOC5566525|XP_021701161.1|AAEG
OG0002318	LOC120446579|XP_039483535.1|DSAN	LOC5571653|XP_001653740.1|AAEG
OG0002319	LOC120458285|XP_039501816.1|DSAN	LOC5571644|XP_001653735.2|AAEG
OG0002320	LOC120445040|XP_039481063.1|DSAN	LOC110681281|XP_021712740.1|AAEG, LOC5574482|XP_001655142.1|AAEG
OG0002321	LOC120446873|XP_039484013.1|DSAN	LOC5574485|XP_001655146.1|AAEG
OG0002322	LOC120457797|XP_039501228.1|DSAN	LOC110680564|XP_021712042.1|AAEG, LOC5573861|XP_001654892.1|AAEG
OG0002323	LOC120457735|XP_039501169.1|DSAN	LOC5578966|XP_001664143.2|AAEG
OG0002324	LOC120450521|XP_039489533.1|DSAN	LOC5578757|XP_001657125.1|AAEG
OG0002325	LOC120449542|XP_039488002.1|DSAN	LOC5568890|XP_021701464.1|AAEG
OG0002326	LOC120449543|XP_039488003.1|DSAN	LOC5571215|XP_021701465.1|AAEG
OG0002327	LOC120452541|XP_039492743.1|DSAN	LOC5570471|XP_021701473.1|AAEG
OG0002328	LOC120445573|XP_039481995.1|DSAN	LOC5566092|XP_021701509.1|AAEG
OG0002329	LOC120458233|XP_039501752.1|DSAN	LOC5566511|XP_021701514.1|AAEG
OG0002330	LOC120458235|XP_039501754.1|DSAN	LOC5576426|XP_001662634.2|AAEG
OG0002331	LOC120457197|XP_039500485.1|DSAN	LOC5565281|XP_021701536.1|AAEG
OG0002332	LOC120448977|XP_039487171.1|DSAN	LOC5569339|XP_021701616.1|AAEG
OG0002333	LOC120444953|XP_039480892.1|DSAN	LOC5564477|XP_021701636.1|AAEG
OG0002334	LOC120456308|XP_039498995.1|DSAN	LOC5566251|XP_021701697.1|AAEG
OG0002335	LOC120448385|XP_039486307.1|DSAN	LOC5566660|XP_021701733.1|AAEG
OG0002336	LOC120449439|XP_039487843.1|DSAN	LOC5579210|XP_021701833.1|AAEG
OG0002337	LOC120448179|XP_039485964.1|DSAN	LOC5569047|XP_021701849.1|AAEG
OG0002338	LOC120457789|XP_039501221.1|DSAN	LOC5569036|XP_021701860.1|AAEG
OG0002339	LOC120453485|XP_039494158.1|DSAN	LOC5566648|XP_021701909.1|AAEG
OG0002340	LOC120452681|XP_039493003.1|DSAN	LOC5576505|XP_021701921.1|AAEG
OG0002341	LOC120458553|XP_039502168.1|DSAN	LOC5577105|XP_001663197.2|AAEG
OG0002342	LOC120444364|XP_039479916.1|DSAN	LOC5577563|XP_021701939.1|AAEG
OG0002343	LOC120444755|XP_039480621.1|DSAN	LOC110676862|XP_021701997.1|AAEG
OG0002344	LOC120443880|XP_039479199.1|DSAN	LOC5578960|XP_021702009.1|AAEG
OG0002345	LOC120445862|XP_039482441.1|DSAN	LOC110680430|XP_021711920.1|AAEG, LOC5573395|XP_001654562.1|AAEG
OG0002346	LOC120458418|XP_039501993.1|DSAN	LOC5573393|XP_001654564.2|AAEG
OG0002347	LOC120446934|XP_039484119.1|DSAN	LOC5572179|XP_001660269.1|AAEG
OG0002348	LOC120458613|XP_039502254.1|DSAN	LOC5573070|XP_001660705.2|AAEG
OG0002349	LOC120445901|XP_039482491.1|DSAN	LOC23687521|XP_011493451.1|AAEG
OG0002350	LOC120445847|XP_039482417.1|DSAN	LOC5570831|XP_001653338.1|AAEG
OG0002351	LOC120446260|XP_039483067.1|DSAN	LOC5577606|XP_001656600.1|AAEG
OG0002352	LOC120445368|XP_039481675.1|DSAN	LOC5573506|XP_021702245.1|AAEG
OG0002353	LOC120457610|XP_039501051.1|DSAN	LOC110676915|XP_021702417.1|AAEG, LOC5572432|XP_001660373.2|AAEG
OG0002354	LOC120454861|XP_039496341.1|DSAN	LOC5572464|XP_001660411.1|AAEG
OG0002355	LOC120447167|XP_039484556.1|DSAN	LOC5577427|XP_021702663.1|AAEG
OG0002356	LOC120451444|XP_039491096.1|DSAN, LOC120444458|XP_039480058.1|DSAN	LOC5572791|XP_001654193.2|AAEG
OG0002357	LOC120452419|XP_039492572.1|DSAN	LOC5572792|XP_001654191.2|AAEG
OG0002358	LOC120458875|XP_039502646.1|DSAN	LOC5570686|XP_021702711.1|AAEG
OG0002359	LOC120456295|XP_039498976.1|DSAN	LOC5575512|XP_001655769.1|AAEG
OG0002360	LOC120447126|XP_039484493.1|DSAN	LOC5577547|XP_001656563.1|AAEG
OG0002361	LOC120447970|XP_039485595.1|DSAN	LOC5577919|XP_001656704.1|AAEG
OG0002362	LOC120451306|XP_039490810.1|DSAN	LOC5575842|XP_021702943.1|AAEG
OG0002363	LOC120458051|XP_039501495.1|DSAN	LOC110680404|XP_021711898.1|AAEG, LOC5573819|XP_001661064.2|AAEG
OG0002364	LOC120444120|XP_039479588.1|DSAN	LOC5573818|XP_021702978.1|AAEG
OG0002365	LOC120458813|XP_039502545.1|DSAN	LOC5573817|XP_021702998.1|AAEG
OG0002366	LOC120453951|XP_039494833.1|DSAN	LOC5568933|XP_001658255.2|AAEG
OG0002367	LOC120458638|XP_039502297.1|DSAN	LOC5573178|XP_021703282.1|AAEG
OG0002368	LOC120443688|XP_039478862.1|DSAN	LOC5578839|XP_021703324.1|AAEG
OG0002369	LOC120445731|XP_039482235.1|DSAN	LOC5573932|XP_021703372.1|AAEG
OG0002370	LOC120458055|XP_039501498.1|DSAN	LOC5569882|XP_021703464.1|AAEG
OG0002371	LOC120458065|XP_039501510.1|DSAN	LOC110677096|XP_021703473.1|AAEG
OG0002372	LOC120446774|XP_039483856.1|DSAN	LOC110675253|XP_021695392.1|AAEG, LOC110681274|XP_021712734.1|AAEG, LOC5568083|XP_021695393.1|AAEG
OG0002373	LOC120444515|XP_039480168.1|DSAN	LOC110677914|XP_021705594.1|AAEG, LOC5564878|XP_001649236.1|AAEG
OG0002374	LOC120452645|XP_039492893.1|DSAN	LOC5569774|XP_021704068.1|AAEG
OG0002375	LOC120453138|XP_039493622.1|DSAN	LOC5567894|XP_021710638.1|AAEG
OG0002376	LOC120458802|XP_039502532.1|DSAN	LOC5570318|XP_001653144.1|AAEG
OG0002377	LOC120451036|XP_039490297.1|DSAN	LOC5570225|XP_001659004.1|AAEG, LOC110680233|XP_021711740.1|AAEG
OG0002378	LOC120448297|XP_039486168.1|DSAN	LOC5579024|XP_001664205.1|AAEG
OG0002379	LOC120445484|XP_039481865.1|DSAN	LOC5572836|XP_021710372.1|AAEG
OG0002380	LOC120455540|XP_039497811.1|DSAN	LOC5578643|XP_001663981.1|AAEG
OG0002381	LOC120447081|XP_039484412.1|DSAN	LOC5576653|XP_001656190.1|AAEG
OG0002382	LOC120455284|XP_039497251.1|DSAN	LOC5576668|XP_021708017.1|AAEG
OG0002383	LOC120448911|XP_039487068.1|DSAN	LOC5567639|XP_001651832.2|AAEG
OG0002384	LOC120455105|XP_039496920.1|DSAN	LOC5570773|XP_001659363.2|AAEG
OG0002386	LOC120454515|XP_039495808.1|DSAN	LOC110680574|XP_021712048.1|AAEG, LOC5577684|XP_021705431.1|AAEG
OG0002387	LOC120452087|XP_039492088.1|DSAN	LOC5571231|XP_021707001.1|AAEG
OG0002388	LOC120451476|XP_039491125.1|DSAN	LOC5573963|XP_021709631.1|AAEG
OG0002389	LOC120452220|XP_039492280.1|DSAN	LOC5570243|XP_001659022.1|AAEG
OG0002390	LOC120458443|XP_039502023.1|DSAN	LOC5573084|XP_001660716.2|AAEG
OG0002391	LOC120445108|XP_039481186.1|DSAN	LOC5567679|XP_021710468.1|AAEG
OG0002392	LOC120448750|XP_039486867.1|DSAN	LOC5569951|XP_021705381.1|AAEG, LOC110679141|XP_021708886.1|AAEG
OG0002393	LOC120448108|XP_039485845.1|DSAN	LOC5567391|XP_001651793.1|AAEG
OG0002394	LOC120450841|XP_039489965.1|DSAN	LOC5567399|XP_021704785.1|AAEG
OG0002395	LOC120452716|XP_039493012.1|DSAN	LOC5569257|XP_021710071.1|AAEG
OG0002396	LOC120447005|XP_039484245.1|DSAN	LOC5579179|XP_001664274.1|AAEG
OG0002397	LOC120458647|XP_039502310.1|DSAN	LOC5566175|XP_001650523.1|AAEG
OG0002398	LOC120456443|XP_039499209.1|DSAN	LOC5570976|XP_021710337.1|AAEG
OG0002399	LOC120458412|XP_039501980.1|DSAN	LOC5576189|XP_021708650.1|AAEG
OG0002400	LOC120445476|XP_039481855.1|DSAN	LOC5574224|XP_001661274.3|AAEG
OG0002401	LOC120454867|XP_039496353.1|DSAN	LOC5579277|XP_021707204.1|AAEG
OG0002402	LOC120452832|XP_039493187.1|DSAN	LOC5564866|XP_021711005.1|AAEG
OG0002403	LOC120453573|XP_039494266.1|DSAN	LOC5564863|XP_021704848.1|AAEG
OG0002404	LOC120451634|XP_039491426.1|DSAN	LOC5575190|XP_001655573.2|AAEG
OG0002405	LOC120452798|XP_039493128.1|DSAN	LOC5567058|XP_021706909.1|AAEG
OG0002406	LOC120448030|XP_039485705.1|DSAN	LOC5566937|XP_001651352.1|AAEG
OG0002407	LOC120451159|XP_039490527.1|DSAN	LOC5572556|XP_021708614.1|AAEG
OG0002408	LOC120451276|XP_039490754.1|DSAN	LOC5572568|XP_021704559.1|AAEG, LOC5572566|XP_001654082.2|AAEG
OG0002409	LOC120448230|XP_039486063.1|DSAN	LOC5580151|XP_001655292.1|AAEG
OG0002410	LOC120452892|XP_039493284.1|DSAN	LOC110678703|XP_021707609.1|AAEG, LOC110678702|XP_021707608.1|AAEG
OG0002411	LOC120452864|XP_039493243.1|DSAN	LOC5567581|XP_001651824.1|AAEG
OG0002412	LOC120457866|XP_039501324.1|DSAN, LOC120457865|XP_039501317.1|DSAN	LOC5567583|XP_001651826.2|AAEG
OG0002413	LOC120456522|XP_039499325.1|DSAN	LOC5574866|XP_021709482.1|AAEG
OG0002414	LOC120450401|XP_039489331.1|DSAN	LOC5568498|XP_001652320.1|AAEG
OG0002415	LOC120452179|XP_039492221.1|DSAN	LOC5576000|XP_021704716.1|AAEG
OG0002416	LOC120454880|XP_039496396.1|DSAN	LOC110679713|XP_021711071.1|AAEG
OG0002417	LOC120443929|XP_039479306.1|DSAN	LOC110678397|XP_021706925.1|AAEG, LOC110680763|XP_021712243.1|AAEG
OG0002418	LOC120451161|XP_039490529.1|DSAN	LOC5573880|XP_021710256.1|AAEG
OG0002419	LOC120455308|XP_039497291.1|DSAN	LOC5575798|XP_021711316.1|AAEG, LOC5572132|XP_021704323.1|AAEG
OG0002420	LOC120450195|XP_039488994.1|DSAN	LOC5575813|XP_021705457.1|AAEG
OG0002421	LOC120453352|XP_039493958.1|DSAN	LOC5563968|XP_001648274.2|AAEG
OG0002422	LOC120452509|XP_039492697.1|DSAN	LOC110681313|XP_021712763.1|AAEG, LOC5571585|XP_021704754.1|AAEG
OG0002423	LOC120448096|XP_039485833.1|DSAN	LOC5568659|XP_021704951.1|AAEG
OG0002424	LOC120454881|XP_039496402.1|DSAN	LOC5577309|XP_001663344.1|AAEG, LOC5567163|XP_021710111.1|AAEG
OG0002425	LOC120455567|XP_039497863.1|DSAN	LOC5567157|XP_001651586.1|AAEG
OG0002426	LOC120449512|XP_039487951.1|DSAN	LOC5577356|XP_021705993.1|AAEG
OG0002427	LOC120454830|XP_039496233.1|DSAN	LOC110678808|XP_021707902.1|AAEG, LOC5577360|XP_001656438.1|AAEG
OG0002428	LOC120457079|XP_039500192.1|DSAN	LOC5574165|XP_021709047.1|AAEG
OG0002429	LOC120450619|XP_039489694.1|DSAN	LOC5578296|XP_021706738.1|AAEG
